MRK.1.1	Kha mbɨghar Iesus Krais Gotɨn Otar rɨkɨnarɨ kharaghava amuisiri iŋaarir aghuuir gunɨm mbɨŋgeeghi.
MRK.1.12	Gumughun Gotɨnɨ Utum ana amandasima a gumasi iti phatɨsira aŋanan gu. 
MRK.1.13	A gugha, 40 pɨlan aroe rako rɨmaŋgarir kha aŋanani itima, Satan aŋn khori ramuamɨusua aŋga aghori. A uruaŋni itira asɨsir thooŋni itima, Gotɨn enseli mee aŋn garava ana akuruvasi.
MRK.1.14	Gumughun gumasi uruer gumagh Jon, mee ana nigha rɨvɨnan khɨrthɨgha athɨsima, Iesus gɨn Galilin distrighɨn gugha Gotɨna akamana aghuuŋ ukuri. 
MRK.1.15	A kamaghɨm mbɨŋgeeghi, “Got kha bisigha ativamirɨ uthugho otuivousua bara aghangera zee. Gee navighɨ raghɨva nɨghnɨghana aghavagharan Gotɨna akamana aghuuŋni ikhɨɨ.”
MRK.1.16	Uthughun mavɨn Iesus Galilin rɨmɨm mbɨroghɨn gua Saimon nonɨ undooghan Andru ko aniiŋn garima, aniiŋ osɨrivɨusua noniiŋ noni ivhaeri ikii ukuri. Aniiŋ osɨri nia andaghɨ uvhuesi gumaghaniiŋ. 
MRK.1.17	Mauthughura Iesus kamagha aniiŋm mbɨŋgeeghi, “Aŋgo nan gɨn zɨtima kɨ aŋgon khɨvaghtima, aŋgo osɨri nii mogh gumasi niaŋga.” 
MRK.1.18	Aniiŋ aŋna akamam mbaraghavɨre ikha, noniiŋ noni ivhea thaegha aŋn gɨn zui.
MRK.1.19	Gumughun a mange sɨvagha gua, Sebedin otar Jems nonɨ undooghan Jon ko aniiŋn garima aniiŋ noniiŋ nona akemani ikhava noni ivhaeri ikia rɨkɨri. 
MRK.1.20	Ana aniiŋn garavɨre ikha, aniiŋn deema, aniiŋ phura noniiŋ noni inaghaves Sebedi ko aŋni iŋaarir gumasia thaesima, mee norira akemani itima, aniiŋ Iesusɨn gɨn zui.
MRK.1.21	Iesus non suren gumasir phorugha Kaperneamɨn gusima avhughususanɨ uthugho otosima a gua Gotɨn phorugham mbɨŋger rɨphenana aven gugha, rɨphenan khavɨna aveni iti gumasi rako amisi men surea amui. 
MRK.1.22	A men surea amuima gumasi rako amisi bar aŋna akamamba oraegha rɨŋgavan maghatɨgha amui. Aŋm mbɨŋgɨmɨŋgɨr kharsi, anda izɨɨ iti gumagham mbɨŋgɨmɨŋgɨr mɨn gu. Aŋm mbɨŋgɨmɨŋgɨ Judariro othevi ikeeŋsi gumasi mem mbɨŋgɨmɨŋgɨr mɨn zui phatɨ. Kamagha amuisima gumasi rako amisi rɨŋgavan maghatɨgha amui.
MRK.1.23	A kamagh mem mbɨŋgɨvɨre itima utuman maghatɨgha aphasagha zii gumagh a zava Gotɨn phorugham mbɨŋger rɨphenana aven zegha deeghi. 
MRK.1.24	A dɨɨ kamaghɨm mbɨŋgeeghi, “Nɨɨ manmagh ee ramuamɨusua, Iesus Nasaretiiŋn gumagh? Nɨɨti eŋga asɨghasɨghaousua zesire? Kɨ nɨɨ ikaaŋi, nɨɨ Got amandasi gumagh, nɨɨ Gotɨn arɨmaghaniiŋn bar inderasi gumaghara.” 
MRK.1.25	A deema, Iesusa akamana aghavagharan kamagh aŋm mbɨŋgeeghi, “Nɨɨ inɨmɨre ikhɨɨ. Nɨɨ kha gumagha thaegha akɨran zɨɨ.” 
MRK.1.26	Mauthughura utuman maghatɨgh Iesusɨ oraegha gumaghan khavi ikuskusa dɨɨva arava akɨran zee. 
MRK.1.27	Ana akɨran zesima, kha gumasi rako amisi bar bighan khavɨn ganigha guisimbaaŋra rɨŋgavan maghatɨgha amuigha norira norir azaaghi, “Khara manmagha amuisi bighaaŋ? A sureno otheviri iŋgaar izɨɨ iti gumaghan mɨna andar eŋga amui. A izɨɨ itir gumaghan mɨnɨm mbɨŋgeeghi. A ivɨra akamana aghavaghar ikha unduur maghatɨsi vɨŋgeema mee aŋn mɨn zui.” 
MRK.1.28	Ana amuisi bisir niaghasi uzuamɨra Galilin distrigh bar aŋga arui.
MRK.1.29	Iesus gumasir marsi ko Gotɨn phorugham mbɨŋger rɨphena thaeghava, Saimon ri Andru rɨphenan gue. Jems ri Jon ivɨra men phorugha gu. 
MRK.1.30	Mee gua garima Saimonɨna asamuiiŋ arɨva mbɨkarɨgh siava akoghi irɨghavi itima, gumasir marsi aŋn gun Iesusɨm mbɨŋgeeghi. 
MRK.1.31	Mee aŋm mbɨkemisima, an aŋmɨusua gua aŋna afharimuunɨ usuiragha ana ufhee. Ana ufheesima aŋna arɨmarɨm ana thaesima a rɨkhavigha maghɨra aghaer meŋga anɨndi.
MRK.1.32	Kha uŋguar thughura, amɨn phɨrisima mee gumasi rako amisi, arɨmarɨr maghatɨsi iti tharsi rako unduur maghatɨsi aphasasi tharsi bar mee nigha Iesusɨusua zii. 
MRK.1.33	Uŋuun khavɨni iti gumasi rako amisi bar zava rɨphenan khavɨni itɨmana akamaniiŋn nori akuvagha iti. 
MRK.1.34	Mee itima, Iesusa arɨmarɨr guara avɨrare iti gumasi rako amisi mena arɨmarɨgha amuima mee indera. A unduur maghatɨsira avɨrara avarasima mee gumasi rako amisia thaegha akɨran zee. Unduur maghatɨsi ana ikaaŋi, a Gotɨn Otar. Kamagha amuisima a kamagh mem mbɨusue, “Gee kamaghɨm mbɨkɨman thaghri, ‘Kɨ Gotɨn Otar.’ ” A maghɨra mee rɨghorigharui.
MRK.1.35	Amɨrɨtusi rɨmaaŋra aro thighar anandima Iesusɨ rɨkhavigha rɨphena thaegha gua gumasi iti phatɨsira aŋanan gugha Gotɨn phorugham mbɨŋgeeghi. 
MRK.1.36	A gusima Saimon no rɨkurku nigha aŋmɨusua garagharui. 
MRK.1.37	Mee gua aŋn ganighava kamagh aŋm mbɨŋgeeghi, “Gumasi rako amisi bar nɨɨmɨusua garagharui.” 
MRK.1.38	Iesus mena akamani iŋgarɨgha amua kamagh mem mbɨŋgeeghi, “Ee aghani itirɨ uŋuimbari igharis thasir maŋŋaŋga. Kɨ ivɨra munagh Gotɨna akamɨ ukunaŋga. Kɨ bighan khavɨusua Kaperneama thaegha zee.” 
MRK.1.39	A kamaghɨm mbɨkemigha Galilin distrighɨna aŋani bar andagha arui. Ana arua gua Gotɨn phorugham mbɨŋger rɨphenira aven guava akamɨ ukuri. Ana akamɨ ukura gumasi rako amisigha aphasasirɨ unduur maghatɨsi vathosi.
MRK.1.40	Mamburan arɨmarɨm itir gumaghan mav Iesusɨusua zava, aŋm mbɨnɨman aviragha itɨvɨnia rɨphɨrigha phuvɨra aŋga aghori, “Nɨɨ vhusvhusighɨv, nɨɨ nara amuighti, kɨ Gotɨn arɨmaghaniiŋn inderaghɨvɨre ikaami.” 
MRK.1.41	Iesus kamagh oraegha, guisimbaaŋra bar aŋnɨ ukuarukuvi. Kamagha amuigha a nona afharimuu nigha kha gumaghani iphɨa athɨgha kamaghɨusue, “Nan vhusvhus. Nɨɨm mbɨkarɨgh nomi inderaghami.” 
MRK.1.42	Iesus kamaghɨm mbɨŋgɨvɨre itima, mamburan arɨmarɨmɨ uzuamɨra kha gumagha thaesima aŋm mbɨkarɨgh indera. 
MRK.1.43	A inderasima, Iesus kha gumagha amaŋga akamana aghavagharan kamagh aŋm mbɨŋgeeghi, 
MRK.1.44	“Nɨɨ oragh. Nɨɨ maaŋɨ bighan khavɨn gun igharisi gumagha thavɨm mbɨkɨma thaghɨri. Moses fhomɨra kamaghɨusue, ‘Nɨɨ nom mbɨkarɨghan Gotɨna aphuraphurava am mbɨŋger gumaghan khɨvaghtima a Gotɨna aphuraphurami.’ ” Iesus kamaghɨusue, “Nɨɨ Mosesɨna akaman gɨn maŋɨva nom mbɨkarɨghan Gotɨna aphuraphura am mbɨŋger gumaghan khɨvaghtima gumasi rako amisi ganighi ikeeŋgemi. Nɨɨna arɨmarɨm guisimbaaŋra gɨva.” 
MRK.1.45	Kha gumagh Iesus aŋm mbɨkemisi moghɨn amuisi phatɨ. A kha bighaaŋn gun bar mem mbɨkemi. Mamagha amuigha phoghɨni ikhɨv aŋna akuva. Kamagha amuigha a uŋuuni ikhɨva thavɨna aven mena arɨmasi rɨfhaaŋn arui phatɨ. A nombɨra gumasi iti phatɨsira aŋanan khɨnani itima gumasi rako amisi aŋmɨusua zavɨre iti.
MRK.2.1	Uthusir marsi gɨvasima, Iesus nomthegha Kaperneamɨn zee. A za rɨphenani itima gumasi rako amisira avɨrara a nomthegha zesira akamam mbaraghi. 
MRK.2.2	Mee akaman khavɨ oraegha zesima rɨphen bari izɨvasima aŋni itɨmam mburoghɨn ivɨre izɨva. Uthughun khavɨn Iesus Gotɨna akaman mem mbɨkɨri. 
MRK.2.3	Ana akamɨ ukurima, gumasir marsi gumaghanɨ usue rako afhari arɨghiresir mav nigha aŋmɨusua zii. Gumaghan phunini ko phunini akuuna aŋgi isaghuphɨgha zii. 
MRK.2.4	Mee za garima rɨphenani itɨmam mburoghɨn bar izɨvasima, mee Iesusɨusua azaaŋni iŋgura. Mee gumaghan khav nigha rɨphenani isɨɨŋn guavanambogha rɨphenani isɨɨŋn thooŋga amuigha umbuera akuu rafhagha ana amandasima a Iesusɨusua zeghiri. 
MRK.2.5	Uthughun khavɨn Iesus gumasir kharsir nɨghnɨghana aghavagharan ganigha kamaghɨ usue rako afhari amɨrasi gumagham mbɨŋgeeghi, “Nano otar, kɨ nɨɨno othevir maghatɨsi gɨna amanda.”
MRK.2.6	Iesus kamagh aŋm mbɨŋgeema, Judariro othevi ikeeŋsi gumasi apiighav ikhava norira non navira averir kamaghɨm mbɨŋgeeghi, 
MRK.2.7	“Gumaghan khav thoghousua kamaghɨm mbɨŋgeeghi? A Gotɨna aŋan niamɨusua amui! Gumaghan khɨna thav gumaghan igharisi thavɨno othevir maghatɨsi gɨna amandagham phatɨghami. Got nombɨra.” 
MRK.2.8	Mee kamaghɨ nɨghɨnɨsima, Iesusɨ uzuamɨra non navana aven men nɨghɨnɨsi ikeeŋga kamagh mem mbɨŋgeeghi, “Gee manmaghɨusua kamagh nɨghɨnɨsi? 
MRK.2.9	Kɨ manmaghatɨsira akamanɨ usue rako afhari amɨrasi gumagham mbɨkɨmti? Mana akamambaaŋ indera. Kɨ nɨɨno othevir maghatɨsi gɨna amanda, o? Kɨ kamaghɨm mbɨkɨmaŋga nɨɨ nomthegh inderaghɨri. Nɨɨ rɨkavigh nona akuu nigh maŋɨ. Kɨ manmagha amuisi akamam mbɨkɨmti, gee aŋm mbaraghɨv kamaghɨm mbɨkɨmaŋga a indera. 
MRK.2.10	Kɨ othɨvhan khav ramuightima, gee ganighi ikeeŋgemi, Gumasir Otar
MRK.2.11	“Kɨ nɨɨm mbɨŋgeeghi, nɨɨ rɨkavigh nona akuu nigh rɨphenan maaŋɨri.” 
MRK.2.12	Am mbɨŋgɨvɨre itima mee garima gumaghan khav rɨkavighava nona akuu nigha akɨran zui. Gumasi rako amisi bar aŋn ganigha rɨŋgavan maghatɨgha amuigha Gotɨni izɨɨ ufhava kamaghɨm mbɨŋgeeghi, “Ee ufhuaragha kamagha amuisi bigha thavɨn ganis phatɨ!”
MRK.2.13	Iesus nomthegha Galilin rɨmɨm mbɨroghɨn gueghiri. A gueghirima, gumasi rako amisira avɨrara zava nori akuvasima, a men surea amui. 
MRK.2.14	A men surea amuava rɨmɨm mbɨroghɨn gua Alfiusɨn otar Livain garima, a gavmanɨ ranɨɨŋgamira aŋgɨro ovɨsi nir rɨphenan apheraghav iti. Iesus aŋn garava, kamagh aŋm mbɨŋgeeghi, “Nɨɨ nan gɨn zɨri.” Maghɨra Livai aŋm mbaraegha, rɨkhavigha aŋn gɨn zui. 
MRK.2.15	Gɨn Iesus Livain rɨphenani ikhava non suren gumasir phorughava aphi. Aŋgɨro ovɨsi nii gumasira avɨrara ko othevir maghatɨsigha amuir gumasira avɨrara, mee ivɨra men phorugha aphi. Kamagha amuir gumasira avɨrara, mee ivɨra Iesusɨn gɨna arui. 
MRK.2.16	Mee apha itima, Judariro othevi ikeeŋsi Farisiiŋn gumasi mee aŋn ganigha, aŋn suren gumasira azaaghi, “A manmaghɨusua aŋgɨro ovɨsi nii gumasi rako othevir maghatɨsigha amuir gumasir phorughava aphi?” 
MRK.2.17	Iesus mena azaaŋsɨgha oraegha kamagh mem mbɨŋgeeghi, “Arɨmarɨ phatɨsir gumasi, arɨmarɨa rɨkɨrir gumaghaousua zui phatɨ. Arɨmarɨ iti gumasi, mee arɨmarɨa rɨkɨrir gumaghaousua zui. Kɨ othevira aghuigha amuir gumasi rako amisivɨusua zesi phatɨ. Kɨ othevir maghatɨsigha amuir gumasi rako amisir dɨmamɨusua zee!”
MRK.2.18	Uthughun mavɨn Jonɨn suren gumasi rako Farisiiŋn suren gumasi mee Gotɨn phorughum mbɨkɨmamɨusua aghae thamɨrasi. Iesusɨn suren gumasi uthughun khavɨn aphima gumasir marsi Iesusɨusua zava kamagh aŋna azaaghi, “Khara manmaghɨra amuisiro othɨv? Jonɨn suren gumasi rako Farisiiŋn suren gumasi mee thighira Gotɨn phorughum mbɨkɨmamɨusua aghae thamɨrasima, nɨɨn suren gumasi Gotɨn phorughum mbɨkɨmamɨusua aghae thamɨrasi phatɨ.” 
MRK.2.19	Mem mbɨŋgeema Iesus kamagh mena azaaghi, “Gumaghan mava amuuŋni ikhaousua ishamani ikhɨva amuava gumasir marsir dɨɨsima mee zee. A men phorugh ikhɨtima, mee manmaghɨra ramuti, mee aghaa thamɨraghami, o phatɨghami. A men phorugh ikhɨtima mee aghaa thaeghem phatɨghami. 
MRK.2.20	Mee aghae thamɨrasirɨ uthugh iti. Kha uthugh zɨtima, gumasir marsi amuuŋni ikhaamir gumaghanɨ usuiragh maŋɨti, mee kha uthughun aghaa thamɨraghami.
MRK.2.21	Gumagha thavɨm mbɨsasin ofhɨghan ikama thav nigha shaaran gura thavɨn phorugha ana isamisi phatɨ. A mamagh ramuighɨva ana urutima mbɨsasin ofhɨghan ikam ikonigh shaaran gure ikuighɨva, anebiightima aŋn thooŋ guisimbaaŋra bar ikhevighemi. 
MRK.2.22	Gumagha thav uainiro ovɨsiri imbooriri iŋgaa nighɨva, asɨghan nerɨm mbɨsɨvan guro uruighem phatɨghami. A kamagh ramuightima uainiro ovɨsiri imboori bughɨva asɨghan nerɨm mbɨsɨvan gura biighɨva, uainiro ovɨsiri imboori ko asɨghan ner, aniiŋ ivɨra maghatiighemi. A kamagh ramuighem phatɨghami. A uainiro ovɨsiri imbooriri iŋgaa nigh asɨghan nerɨm mbɨsɨvan ikamaro uruighemi.”
MRK.2.23	Iesus avhughususanɨ uthughun mavɨn, raisɨn mɨn garira aghan mav, uit, mee aŋn mɨghɨni ikhɨvan thooŋn zui. Aŋn suren gumasi aŋn phorugha gua uitiro ovɨsi ukuara zui. 
MRK.2.24	Mee zuima Farisiiŋn marsi men ganigha kamagh Iesusɨm mbɨŋgeeghi, “Nɨɨ ganɨri. Mee manmaghɨusua othɨvhan khav aŋga amuava avhughususanɨ uthughuno othɨvhan gɨn zui phatɨ?”
MRK.2.25	Iesus mee ikaragha kamaghɨm mbɨŋgeeghi, “Gee, Devit amuisir bighaaŋ mee ana osɨrisima a iti, gee aŋn ganisi o, phatɨ? A non gumasir phorugha mem mbɨtii mena azima a bighan khuaŋga amui. 
MRK.2.26	A gua Gotɨn rɨphenana aven gugha Gotɨ aniiŋsi uvisirɨ uthuu ame. Ana anda aphava, ivɨra marsi nigha non gumasigha aniiŋsima, mee ivɨrama anda ame. Kha uthughun Abiatar, Gotɨna aphuraphurava aghae rako bisir aŋga anɨndir gumasira aphanani itima, Devit anda ame. Judariro othɨvhan khav iti. Uvisirɨ uthuur kharsir Gotɨna aphuraphurava aghae rako bisir aŋga anɨndir gumasira anda aphi, gumasir khɨni phatɨ. Uthughun khavɨn Devit, gumaghan khɨn, uvisirɨ uthuur kharsi ame.”
MRK.2.27	Iesusɨm mbɨŋgɨ guava kamagh mem mbɨŋgeeghi, “Got gumasira akuruvaghaousua avhughususanɨ uthugha athɨ. Ana avhughususanɨ uthughuna akuruvaghaousua gumasi athɨsi phatɨ. 
MRK.2.28	Gumasir Otar ana avhughususanɨ uthughuni Ikhɨv.”
MRK.3.1+MRK.3.2	Igharisirɨ uthughun mavɨn Iesus Gotɨn phorugham mbɨŋger rɨphenan gua, garima afhari konisi gumaghan mav rɨphenan khavɨna aven gumasi rako amisira avɨrar arɨghani iti. A itima gumasir marsi ivɨre iti. Iesus bigha thavɨ ramuightima, mee akaman aŋga asaousua bar inderaghavɨra aŋn gari. Mee kamaghɨusua aŋn gari. Ana avhughususanɨ uthughun gumaghan khavɨna akuraghami, o? 
MRK.3.3	Mee bighan khavɨusua aŋn garavɨre itima, Iesus kamaghɨna afhari konisi gumagham mbɨŋgeeghi, “Nɨɨ rɨkavigh zɨɨ bar eem mbɨnɨmanɨ utughɨri.” 
MRK.3.4	Gumagh rɨkhavigha utusima, Iesus kamagh mena azaaghi, “Othɨvhan manav ana avhughususanɨ uthughuni indera? Ee othɨvhana aghuuŋ ramuaŋga, o othɨvhan maghatɨgha ramuaŋga, o gumaghana akuruvaghami, o gumagha asɨghasɨghami?” A kamagh mena azarasima, mee bar inɨmɨre iti. 
MRK.3.5	Ana arɨmaghaniiŋ bar gumasi rako amisigha aruava, navana avera meŋga avhesi. A men garima, men navia aghavagharigha ukuarukuvan nɨghɨnɨsi men phatɨ. Kamagha amuisi a bar osemigha kha gumagh kamagh aŋm mbɨŋgeeghi, “Nɨɨ nona afharimuu oneeghɨri.” Gumaghan khav nona afhari onesima, aŋna afhari nomthegha indera. 
MRK.3.6	Farisiiŋ ikha ganigha rɨphena thaegha azenan zegha Herotɨn gɨna aruir gumasir phorugha ikha Iesusɨm mbɨsoghousua akaar rɨkɨri.
MRK.3.7	Iesus non suren gumasir phorugha Galilin rɨmɨn gueghiri. A gueghirima gumasi rako amisira avɨrara Galilin distrighɨni ikegha aŋn gɨn gueghiri. 
MRK.3.8	Judian distrigh ko Jerusalemɨnɨ uŋuu phorugha Idumean distrighɨn gumasi rako amisira avɨrara Iesusɨusua gueghiri. Tairɨnɨ uŋuu ko Saidonɨnɨ uŋuum mbɨroghɨni iti marsi koma Jordanɨ rɨmɨn muaaŋmogh itir gumasi rako amisi ivɨra Iesusɨusua gueghiri. Gumasi rako amisir avɨrir kharsi, mee ana amuisir bisira akamam mbaraegha aŋmɨusua gueghiri. 
MRK.3.9+MRK.3.10	Mee gueghiresima, Iesus gumasi rako amisira avɨrara mena akurasima, mena arɨmarɨ gɨva. Arɨmarɨ itir gumasi rako amisira avɨrara nona arɨmarɨa gɨvaousua Iesusɨna aghan nori akuvagha, Iesusɨnɨ usuighaousua nori munamandi. Kamagha amuisima, Iesus non suren gumasi vɨŋgɨ kamaghɨusue, “Gee akema thav nigh zɨɨ phura anaratɨghti a ikhɨri. Gumasi rako amisi bar zɨɨ na akuvaghtima kɨ akeman anamboghomi.” 
MRK.3.11	Iesus mem mbɨŋgeema, unduur maghatɨsi aphasasi gumasir marsi zava, Iesusɨn garava unduur maghatɨsi uzuamɨra meŋga amuima mee Iesusɨm mbɨnɨman daaghira kamagh araaghi, “Nɨɨ Gotɨn Otar.” 
MRK.3.12	Mee kamagha amuima, ana akamana aghavagharan mem mbɨŋgɨ kamaghɨusue, “Gee kamaghɨm mbɨkɨman bar thaghri, ‘Kɨ Gotɨn Otar.’ ”
MRK.3.13	Iesus rɨmɨm mbɨroghɨni ikegha rɨkavighava oraghɨn guavanambogha non vhusvhusan gumasir deema, mee aŋmɨusua zii. 
MRK.3.14	Mee ziima a gumasir 12 pɨlam mbɨsevigha izɨɨn khavɨn meŋga athɨ, mbɨsevisir gumasi. Mee aŋn phorugh ikhɨtima, a gɨn mee amandaghti mee maaŋɨ Gotɨna akamana aghuuŋ ukunaŋga. 
MRK.3.15	A non gamgaaŋn mee raniiŋtima mee ivɨra unduur maghatɨsi vatoghomi izɨɨri ikhami. 
MRK.3.16	Am mbɨsevisir gumasir 12 pɨlani izɨɨri khara. Saimon (Iesus gɨni izɨɨn khavɨn aŋga athɨ Pita), 
MRK.3.17	Sebedin otaraniiŋ Jems ri Jon (A izɨɨn khavɨna aniiŋga athɨ, Boanerges. Izɨɨn khavɨm mbɨnɨɨŋ kamagh gu, avhesa mbɨghɨravɨram mbɨŋger gumaghaniiŋ), 
MRK.3.18	Andru ri Filiv, Bartolomiu, Metiu, Tomas, Alfiusɨn otar Jems, Tadius, Saimon (A Selotiiŋna akoghɨn gumaghan mav), 
MRK.3.19	ko Judas Iskariot, Iesus nigha, aphanigha aniiŋsi gumagh.
MRK.3.20	Iesus nomthegha rɨphenana aven gugha itima gumasi rako amisira avɨrara zava ana akuva. Mee bar ana akuvasima, a non suren gumasir phorugh mee aghae ramaŋgami mbaaŋn iŋgura. Mee ramaŋgamirɨ uthusi phatɨ. 
MRK.3.21	Gumasi rako amisir marsi kamaghɨm mbɨŋgeeghi, “Ana oŋani.” Iesusɨna andarsi akaman khavɨ oraegha, ana nigh maŋamɨusua zii.
MRK.3.22	Judariro othevi ikeeŋsi gumasir marsi Jerusalemɨni ikegha zeghirava kamaghɨm mbɨŋgeeghi, “Belsebul aŋga aphasa. A unduur maghatɨsir gumaghana aphanan gamgaaŋnɨ unduur maghatɨsi andavathosi.” 
MRK.3.23	Iesus mem mbɨŋgera akamam mbaraegha, kamagha amuigha a gumasi rako amisir dɨɨva aghunambagha asira akaar marsir mem mbɨŋgeeghi, “Satan manmaghɨra nombɨra nombɨ athueghti? 
MRK.3.24	Kantri thav thooŋra nomba biighɨva norira nori vɨsoghɨva kantrin khav ikeghem phatɨghami. 
MRK.3.25	Kamaghɨn ivɨra, rɨphenanɨ uvavɨra iti tharsi mee thooŋra noria biighɨva norira nori vɨsoghɨva rɨphenan khavɨni iti tharsi ikeghem phatɨghami. 
MRK.3.26	Kamaghɨra Satana andarsi norira noria biighɨva nori vɨsoghtima aŋn gamgaaŋ bar gɨvagh ikeghem phatɨghami.
MRK.3.27	Gumaghan manav phura aven maaŋɨ gumaghana aghavaghara thavɨ rɨphena akarighɨva aŋn bisi nitii? Phatɨghami. A ufhuaraghɨvɨra umbuer gumaghana aghavagharan khav ikeghemi. A kamagh aŋ ramuighɨva gumaghan khavɨn rɨphenana aven maaŋɨ, aŋn bisi niaŋga.”
MRK.3.28+MRK.3.29+MRK.3.30	Mee ufhuaragha kamagh aŋm mbɨŋgɨ kamaghɨusue, “Utuman maghatɨghan mav aŋga aphasa.” A bighan khuaŋmɨusua, akaar kharsir mem mbɨŋgeeghi, “Kɨ guisimbaaŋra gem mbɨŋgeeghi, gumasi rako amisi mee othevir maghatɨsigha amua Gotɨni izɨɨra afharavaeghtima Got anda gɨna amaaŋgamirɨ utuav iti. Gumagha thav Gotɨnɨ Utumani izɨɨra afharavaeghtima Got aŋno othɨvhan maghatɨghan khav, ana gɨna amandagham phatɨghami. Osɨmndɨghan khav aŋni ikhɨvɨre ikaami.”
MRK.3.31	Uthughun khavɨn Iesusɨni inaghamuuŋ ko aŋnɨ undoosi zava, a itir rɨphenani itɨmana akamaniiŋnɨ utughava gumaghan mava amandasima a Iesusɨm mbɨkɨmamɨusua aven zui. 
MRK.3.32	Gumasi rako amisira avɨrara aŋn phorugha apiighav ikhava kamagh aŋm mbɨŋgeeghi, “No oraesire! Nɨɨni inaghamuuŋ ko undoosi mee nɨɨmɨusua zeghava akɨrani iti.” 
MRK.3.33	Mee aŋm mbɨkemisima a kamagh mena azaaghi, “Thɨɨŋra nani inaghamuuŋ? Thaeŋ nanɨ undoosi?” 
MRK.3.34	A kamagh mena azaraghava, ana ighuighav apiighav itir gumasi rako amisir garava, kamagh mem mbɨŋgeeghi, “Gee gan! Nani inaghamuuŋ ko undoosira khara. 
MRK.3.35	Got vhusvhuisiro othevir gɨn zui gumasi rako amisira, mee nanɨ undoosi rako umbuaramisi koma nani inaghamuuigha.”
MRK.4.1	Igharisirɨ uthughun mavɨn Iesus nomthegha rɨmɨm mbɨroghɨni ikhava, gumasi rako amisir marsir surea amui. Gumasi rako amisir avɨrani ikhɨv ana akaava oraghaousua zava ana akuavasima, aŋani izɨvasi a bɨragha akemana anambogha rɨmɨni iphɨna apheraghav itima gumasi rako amisir kharsi aŋna aghan ataaŋn apiighav iti. 
MRK.4.2	Ana akaar avɨrar aghunambagha asava men surea amua kamagh mem mbɨŋgeeghi, 
MRK.4.3	“Gee oragh. Gumaghan mav raisɨn mɨn garir aghaan mav, uit, ana nigha gua non mɨghɨn anda ukuragha arui. 
MRK.4.4	Ana anda ukurima uitiro ovɨsir marsi utuavɨni iresima, ukuarasi zava anda ame. 
MRK.4.5	Marsi aŋgɨri iphɨni itirɨ unuaghɨnani ivamndɨghaaŋgi ire. Unuaghɨnan khav phum mbɨthemis phatɨsima uitiro ovɨsi uzuamɨra afhuaaŋi. 
MRK.4.6	Andar bii barɨ unuaghɨnana aven gueghiresi phatɨsi aro anaŋgava andaghi isirasima anda sia mbɨsɨɨŋi. 
