MAT.1.2	Abraham Aisak nɨŋuva. Aisak Jekop nɨŋuva. Juda nɨŋusinava naŋga nɨŋuranava nɨŋuva Jekop. 
MAT.2.8	Kamavata nurɨŋ ambami. Uta ñɨŋi kandɨha avindamata puhɨramaŋgarata ŋgata, pata yaŋ ambɨtɨra yindahara uta nuŋandɨ ñɨmbi tɨhuyahɨtɨn, vami. Kamavata sɨmbɨhi Betlehem umu. 
MAT.2.9+MAT.2.10	Aru miku Herot ambavarahi indarɨta mɨtuta umu.
MAT.2.11	Kamata indɨhuta ñɨŋi ha naŋga nɨŋum Mariaŋ ŋgata tanda mɨkwɨmɨkwɨnɨta kɨpumɨka nurɨŋandɨ ha pɨrɨyɨ tamahu mɨŋguhi ñɨŋi hamandu ñɨmbi tɨhuyahamu. Kamata paŋaŋgara ha mɨŋavɨhɨrɨta muhɨmɨmuhɨm mɨŋata payɨmu haŋɨnɨŋ, gol, naŋga sambaŋgihɨvɨ maña hɨm kɨrahu kɨnza avi yahandi hɨm, naŋga paura uvɨŋgɨnza avi yahandi haŋandɨhin asɨhuramata Jisasɨŋ ŋgumu. 
MAT.2.12	Kamatɨhu Got akwɨsɨhuyɨ nurɨŋ nɨmavami, Uta sɨhinda Herot kɨyɨ hañɨ mayɨvurahamara, vami. Kamavahi mu hɨndɨñɨ nurɨŋandɨ pɨhuyɨ aŋga umu.
MAT.2.13	Kru indarɨmit avi naŋga haŋɨnɨŋ uhuhu, Aru nɨmandu kutɨkara pata akwɨsɨhuyɨ Josepɨŋ nɨmavami, Herot ñɨŋi nɨmaŋ puhɨravuhɨraramata ŋgata yɨvutatamɨrɨman vata andɨtɨhi yahamɨrata ñɨŋi naŋga nɨŋumɨŋ tɨmbuta tɨvata Isip umara. Uta kɨta yandɨ kuyurɨm tavɨra, vami. 
MAT.2.14	Kutɨkara hama kamavahi Josep yahata nɨŋumɨŋ naŋga ñɨŋi hamaŋ tɨmbuta Isip kɨvɨyɨ umu. 
MAT.2.15	Kamata Isip kɨyɨhuhu Herot kɨmumi. Kandɨ vana nɨŋandɨhinɨrɨm Aru nɨma, kru nuŋandɨ kuyu mɨŋata ambavaravara mɨŋgaŋ ambahi, nɨmavami, Yandɨ kru ñɨŋi Isip kɨyɨhi ambahin Isip mitata payɨ, vami. Kamataharɨm Aru nɨma ambami vana nɨŋandɨhin kandɨsɨkwɨsɨkwɨ yɨvurahami.
MAT.2.16	Kru indarɨmit avi ina yahayahavundu haŋɨnɨŋ uhuhu, Herot yaŋ kuyusɨhɨrata mu hɨndɨyɨ umu vata kɨtɨrɨ kɨyɨmi. Kuha Herot kru indarɨmit avi ina yahayahavundu haŋɨnɨŋ kitɨhuhi ambamu, Kinɨkɨ ŋgamarɨŋ ha arɨkinzimbi umiha, vamu. Kamataharɨm kru muvɨraŋ sɨmbɨhi pɨhu Betlehem naŋga pɨhu makamaka arɨñɨarɨñɨ kɨyɨmuyɨ umu. Uta kru ñɨŋi taya arɨkinzimbi naŋga mɨŋgata haŋɨnɨŋ yɨvuhɨmumbɨramu. 
MAT.2.17+MAT.2.18	Muhɨmɨmuhɨm vana kanɨŋɨnɨŋɨrɨm Got ambahi, kru Gotɨndu kuyu mɨŋata ambavaravara Jeremaia ambami, Pɨhu Rama, Resel nɨŋuñɨŋgiñandu ñɨŋisɨm kɨmumbɨramu. Kamatɨhu ñɨŋi nɨŋumɨnava haŋɨnɨŋ irɨhɨnzɨhi tamamu. Kamatɨhu krunavundi muŋɨnɨŋ pata nurɨŋ mɨŋañɨŋarɨtɨrɨŋ mavɨñam hañɨ kɨyɨmu vata andɨhura kambu maŋindarɨmu, vamba ambami haŋandɨhin, kandɨsɨkwɨsɨkwɨ yɨvurahami.
MAT.2.19	Josep Isipɨndu pɨrɨvɨsayɨ kɨyɨhihi, Herot kɨmutatɨhi Aru nɨmandu kutɨkara hama Josepɨŋ akwɨsɨhuyɨ yɨvurahami. 
MAT.2.20	Kamata Josepɨŋ nɨmavami, Ñɨŋi nɨmaŋ yɨvutatamɨndaŋ vata andɨsɨmu haŋɨnɨŋ kɨmusɨmu. Harɨm yahamɨrata ñɨŋi ha naŋga nɨŋumɨŋ tɨmbuta pɨrɨvɨsa Israel aŋga umara, vami. 
MAT.2.21	Kamavahi Josep yahata ñɨŋi ha naŋga nɨŋumɨŋ urata pɨrɨvɨsa Israelɨrɨm aŋga umu. 
MAT.2.22	Hara, Arkelaus nɨŋuva Herotɨndu upɨ mɨŋata pɨrɨvɨsa Judiandu aru miku mɨŋga kɨyɨ vahu Josep indarɨta kandɨhambu uhuhurɨm pɨŋitumi.
MAT.2.23	Uta pɨhu Nasaret mɨnzɨmu. Harɨm kuha kru Gotɨndu kuyu mɨŋata ambavaravara haŋɨnɨŋ ambamu, Kru nɨma pɨhu Nasaretɨndu mɨŋga vamba ambɨrɨmandɨyu, vamu haŋandɨhin, kandɨsɨkwɨsɨkwɨ yɨvurahami.
MAT.3.2	Gotɨndu tɨwɨyɨ kɨyɨhɨyɨha arɨñɨndɨ. Harɨm ñamba vanavana ha mitata mavɨŋgimɨrumara, vami. 
MAT.3.3	Got ambahi kru Gotɨndu kuyu mɨŋata ambavaravara Aisaia Jonɨrɨm nɨmavami, Kru manɨman upɨvu kru mumɨŋga kuyu kɨmbañɨ nɨmavɨrɨmandɨ, Aru nɨmarɨm kwɨmbɨ sɨwɨtamata, kwɨmbɨsiki sukɨsɨrambɨ haŋɨnɨŋ mɨŋasɨrɨvamara, vamba ambɨrɨmandɨ, vami. 
MAT.3.4	Jonɨndu mɨkwɨrɨ ha, kamel mɨrɨkwɨyɨ sɨvirɨmu. Kandɨhaŋandɨhin tamata aŋgɨ simbɨyɨ yɨvumɨŋgundi. Aŋgɨ kandɨhaŋandɨhin memendu pɨsayɨ musa mɨŋamu. Jon kandɨhama ñaña sɨkwɨ mañandi. Kapɨrɨmbatɨvat naŋga mɨmɨ mɨkwɨ taya ñandi.
MAT.3.5	Kandɨhɨrɨvɨ haŋu Jerusalem hati, Judia hati naŋga pɨrɨvɨsa kuku Jordan arɨñɨ kɨrasɨmu haŋɨnɨŋ Jon kɨrasɨmiyɨ parasɨmu. 
MAT.3.6	Kamatɨndɨ ñamba vanavana andɨndu haŋɨnɨŋ ambavarahuhu nurɨŋ Jon, Jordan kukuyɨ mɨŋaŋgɨrundi. 
MAT.3.7	Kamatɨhihi Farisi naŋga Sadyusi muvɨra, utɨrɨŋ arɨŋ kukuyɨ mɨŋaŋgɨrum vata payɨmu. Kamatɨhu nurɨŋ ŋgata nɨmavami, Tau ñambandu ñɨŋi narɨ. Narɨŋ nin ambahi Got narɨŋɨrɨm kɨtɨrɨ kɨta ñamba hɨvɨ ŋgurɨmandɨ nɨŋandɨhinɨrɨm tarahɨrɨmɨndaŋ vata andɨra. 
MAT.3.8	Narɨ mavɨŋgimɨrurɨŋ nzɨkwɨ vataŋgata, muhɨmɨmuhɨm vana andɨtɨra kru muŋɨnɨŋ ŋgamu. Kamata ambɨrɨmandɨyu, Nurɨ mavɨŋgimɨruyu, vamba ambɨrɨmandɨyu. 
MAT.3.9	Narɨŋandɨ indarɨmitɨyɨ, Abraham arɨŋandɨ añɨŋgitak vamba maŋindarɨramamara. Narɨŋ yinda ambin, Got ambɨti tɨmba muŋgɨmuŋgɨ nɨŋɨnɨŋ narɨŋandɨ upɨ mɨŋata Abraham nɨŋuñɨŋgiña yɨvurahahu. 
MAT.3.10	Kahɨri ha ahu tahɨratahɨrarɨm kɨmɨta kɨyɨ. Harɨm ahu sɨhanaŋga kandɨ mandamandu haŋɨnɨŋ tahɨrandahɨra ahumirayɨ kavarɨmandɨyu. 
MAT.3.11	Yi narɨŋ mavɨŋgimɨrumaraŋa vata kukuyɨ mɨŋaŋgɨrundin. Hara kru sɨhɨndɨvu payɨmandɨ hama narɨŋ Gotɨndu Mavɨñɨŋiyɨ naŋga ahumirayɨ mɨŋaŋgɨrumandɨ. Nuŋandɨ tɨkatɨka ha aru sɨkwɨ, yandɨ tɨkatɨka taratɨvɨrandi. Yi avi mɨŋganzɨkwɨ ma, harɨm nuŋandɨ tandambɨsa ha maŋgavuhin. 
MAT.3.12	Nu wit taratara tɨmba ha mɨŋata payɨmandɨ. Kamata wit ha tarandara tɨhuyahɨtiti pipɨrɨmbipɨrɨ ha muvu mɨŋgaramɨti avi haŋɨnɨŋ muvu mɨŋgaramɨti mɨŋata nuŋandɨ huyɨmandavɨyɨ tamɨmandɨyu. Kamata ñambañamba haŋɨnɨŋ ahutuvarandiyɨ kɨrɨrɨmandɨ, vami.
MAT.3.13	Kandɨtɨwɨmi hañɨ Jisas pɨrɨvɨsa Galili mitata, Jon yaŋ kukuyɨ mɨŋaŋgɨrumandɨ vata kuku Jordan umi. 
MAT.3.14	Hara Jon nuŋ karirahɨrɨman vata nɨmavami, Na yaŋ kukuyɨ mɨŋaŋgɨrunanda avindɨhi. Mumɨndɨhi kɨmbɨnzɨnzɨ yi kɨnɨ nɨñɨ pana, vami. 
MAT.3.15	Kamavahira Jisas kɨmbɨ nuŋ ambami, Kɨndam, tɨhu yi ambin mañandaya andɨ. Nanaŋga kanɨmata vana andɨtanda, Got avi vana sɨhanaŋga andɨmara vata pirɨ kɨndi haŋɨnɨŋ andɨmɨndaŋ, vami. Kamavahi Jon, Jisas ambami maña andɨmi. 
MAT.3.16	Kamavahi Jon, Jisasɨŋ kukuyɨ mɨŋaŋgɨruta mɨtuhi yahami. Kamatɨhi ihunzɨhɨ haŋɨnɨŋ taruvɨhɨrɨhi, Jisas tɨhɨrata yahuta Gotɨndu Mavɨñɨŋi haŋandɨhin ŋgahi kava umari maña nu kɨyɨmiyɨ mɨŋgami. 
MAT.3.17	Kamatɨhi Gotɨndu pɨhu nɨmbu kuyu samur muŋandi nɨmavami, Ñɨŋi nɨŋandɨhin yandɨ mavɨndamandin mɨŋga. Yandɨ mavɨnɨmbu nuŋɨrɨm kɨnzɨhɨnzɨtɨ, vami.
MAT.4.2	Kamatɨhi Jisas 40 hɨvɨ itɨhañata inayɨ kɨvɨyɨ mañɨmat avɨharɨm kɨyɨmi. 
MAT.4.3	Kamatɨhi Satan pata Jisasɨrɨm nɨmavami, Kandɨ na Gotɨndu Ñɨŋitiŋgata tɨmba muŋgɨmuŋgɨ nɨŋɨnɨŋ ambɨna mavatɨmba yɨvurahamu, vami. 
MAT.4.4	Kamavahira Jisas nuŋ nɨmavami, Gotɨndu aŋgwɨmɨkɨyɨ kuyu nɨmata kɨyɨ, krunavundi ñañayɨ taya maŋgɨndu. Hara Gotɨndu kuyu mɨŋata mavɨñɨ tamata mɨŋa tɨkatɨkatɨhana handa sɨha kɨyɨhana, vami. 
MAT.4.5	Kamavahi Satan Jisasɨŋ tɨmbuta Gotɨndu pɨhu aru Jerusalem uta, Gotɨŋ kɨrañɨŋguhu tavɨ hañɨndu upɨyɨndu tapa kɨmbandɨkatɨkayɨ tamami. 
MAT.4.6	Kamata Satan yahata Jisasɨŋ nɨmavami, Gotɨndu aŋgwɨmɨkɨyɨ ambami, Got nuŋandɨ kutɨkara haŋɨnɨŋ sɨmbɨti pata kumandamata naŋ mɨŋahandata kavuta urɨmandɨyu. Kamatu tɨmba muyɨputak ndahara nandɨ tanda ha mandarahandɨrɨmandɨ, vamba ambami. Harɨm na Gotɨndu Ñɨŋitiŋgata, kumbɨtɨhuta mɨŋgu, vami. 
MAT.4.7	Kamavahi Jisas nɨmavami, Hara Gotɨndu aŋgwɨmɨkɨyɨ kuyu nɨmata ndahara kɨyɨ. Got nandɨ Aru nɨmandu tɨkatɨkarɨm mamɨŋa mɨŋga, vami. 
MAT.4.8	Jisas kamavahi, sɨhinda Satan nuŋ tɨmbuta apu kɨmbandɨkatɨkayɨ yahumi. Kamata nuŋ pɨrɨ nɨñɨndu pɨrɨvɨsa sɨhanaŋga tɨkatɨka haŋɨnɨŋ, naŋga nurɨŋandɨ muhɨmɨmuhɨm avivi kɨyɨmi haŋɨnɨŋ isɨhuramami. 
MAT.4.9	Kamata Jisasɨŋ nɨmavami, Tanda mɨkwɨmɨkwɨnɨta yandɨ ñɨmbi tɨhuyaha. Kamatɨna naŋ muhɨmɨmuhɨm kanɨŋɨnɨŋ ŋgurɨman, vami. 
MAT.4.10	Satan kamavahi Jisas nuŋ nɨmavami, Satan, mikitamata uhu. Gotɨndu aŋgwɨmɨkɨyɨ nɨmavami, Got nandɨ Aru nɨmandu tɨwɨyɨ taya kɨñɨ. Kamata nuŋandɨ ñɨmbi tɨhuyahata, nuŋandɨ sɨmbɨra taya mɨŋa, vami. 
MAT.4.11	Jisas kamavahi Satan mitata uhihi Gotɨndu kutɨkara haŋɨnɨŋ pata nuŋ ŋguramamu.
MAT.4.13	Kamata pɨhu Nasaret mitata pɨhu Kaperneam umi. Pɨhu Kaperneam kandɨha indu Galilindu tɨvɨyɨ kɨyɨmi. Krunzapa Sebulun naŋga krunzapa Naptalindu pɨrɨvɨsayɨ kɨyɨmi.
MAT.4.14+MAT.4.15+MAT.4.16	Kuha Got ambahi kru Gotɨndu kuyu mɨŋata ambavaravara Aisaia ambami, Krunzapa Sebulunɨndu pɨrɨvɨsa naŋga krunzapa Naptalindu pɨrɨvɨsa kandɨha kwɨmbɨvat aru añakɨŋgukuyɨrɨm uhuhu tɨvɨyɨ kɨndi. Pɨrɨvɨsa kandɨha kuku Jordan timukari pɨrɨvɨsa Galili kɨndi. Pɨrɨvɨsa Galili kandɨhañɨ krunavundi sambɨ muvundumuvundu ŋɨnɨŋ kɨndu. Krunavundi kɨvɨmɨŋgwɨyɨ kuyu haŋɨnɨŋ sɨña ŋgayu. Naŋga krunavundi kɨmuhɨmurɨm pɨŋituta kɨvɨmɨŋgwɨyɨ kuyu haŋɨnɨŋ, nurɨŋɨrɨm sɨña yɨvurahi, vamba Aisaia ambami. Jisas uta kandɨhambu kɨndaŋgɨnda kuyu ŋguhi, Aisaia ambami kuyu ha kandɨsɨkwɨsɨkwɨ yɨvurahami.
MAT.4.18	Jisas indu Galili tɨvɨñɨndɨvɨñɨ ndaya umi. Uta kru nɨŋusi nɨŋuraŋ ŋgahi nurɨŋandɨ kamahayɨ ha indu hañɨ kavarata kɨyɨmu. Nɨŋusi Saimon, mu ñɨmbi hambu Pita, nɨŋura Andru. Arɨkimbat asa sɨmbɨra tɨmbahɨrɨsɨrɨm mɨŋandu ŋɨnɨŋ. 
MAT.4.19	Kamata arɨkimbatɨrɨm Jisas uraramata nɨmavami, Avayɨmara, pata yi naŋga kɨndɨtɨra asa mɨŋandara maña narɨŋ krunavundiŋ mɨŋamɨŋarɨm ambaramɨtɨn ŋgamara, vami. 
MAT.4.20	Kamavahi arɨkimbat sarɨwayɨŋandi nurɨŋandɨ kamahayɨ haŋɨnɨŋ mitata Jisas naŋga umu. 
MAT.4.21	Kamata Jisas uhandata, nɨŋusi nɨŋura, Sebedindu ñɨŋisɨm, Jems naŋga Jonɨŋ ŋgami. Nurɨŋandɨ kamahayɨ haŋɨnɨŋ kundɨrahu sɨvirɨta kupik hɨmba hañɨ, nɨŋuva Sebedi nin kɨyɨmu. Kamatɨhuhu Jisas pata arɨkimbatɨŋ uraramami. 
MAT.4.22	Kamatɨhi sɨkwɨ nda nurɨŋandɨ kupik ha naŋga nɨŋuvaŋ mitata arɨkimbat Jisas naŋga umu.
MAT.4.24	Kamatɨhi nuŋambirɨm pɨrɨvɨsa Siriandu sɨhanaŋga ambavarata mɨtumu. Kamataharɨm krunavundi kru sɨhanaŋga muhɨmɨmuhɨm kandi nurɨŋ pɨsiŋgarahi kañɨnda aru kavumu haŋɨnɨŋ, sundɨ ñamba naŋga haŋɨnɨŋ, kru kandi andɨhi mɨŋgata yɨvuta nanaŋgarahu kuma tanda tɨkatɨkatɨndi haŋɨnɨŋ, naŋga punzɨ kɨmuhɨmu haŋɨnɨŋ Jisas kɨyɨmiyɨ tɨmbuta payɨmu. Kamatɨhu sundɨ ñamba haŋɨnɨŋ pɨŋguvarambara, kandi naŋga haŋɨnɨŋ mɨŋavindamami. 
MAT.4.25	Kamatɨhi krunavundi sambɨ pɨrɨvɨsa Galili hati, pɨrɨvɨsa Dekapolis hati, pɨhu Jerusalem hati, pɨrɨvɨsa Judia hati, naŋga pɨrɨvɨsa kuku Jordan timukari hati ndahara nu naŋga kɨndandu.
MAT.5.1	Jisas ŋgahi krunavundi sambɨ payɨhu, apuvu yahumi. Kamata mɨnzɨhi, nuŋandɨ sɨmbɨrasara haŋɨnɨŋ nu kɨyɨmiyɨ payɨmu.
MAT.5.2	Jisas nuŋandɨ sɨmbɨrasaraŋ ambaramata ambami,
MAT.5.3	Krunavundindu mavɨñɨŋi tɨkatɨka mandɨhi Gotɨŋ ndaya tɨhɨraramandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨ Gotɨndu tɨwɨyɨ kɨyɨmandɨyu. 
MAT.5.4	Krunavundi irɨhɨŋgukuyɨ kuyu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨŋ Got mɨŋañɨŋarɨti mavɨñamɨñɨ kɨyɨmandɨyu. 
MAT.5.5	Krunavundi nurɨŋandɨ ñɨmbi taŋguhu mɨŋgundi haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨŋ Got pɨrɨvɨsa nɨŋandɨhin sɨhanaŋga ŋgurɨmandɨ. 
MAT.5.6	Krunavundi avɨhatɨhi naŋga kukumɨtandɨhi andɨndu maña avi vana andɨtɨrɨm pirɨtamandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨŋ Got ŋguramɨti avi vana taya andɨrɨmandɨyu. 
MAT.5.7	Krunavundi muŋɨnɨŋ ŋgata sɨhisɨhitɨta ŋguramandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨŋ ndahara Got sɨhisɨhitɨta ŋguramɨrɨmandɨ. 
MAT.5.8	Krunavundi Gotɨndu avi vanarɨmɨndaya indarɨmitandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Nurɨ Gotɨŋ ŋgɨmandɨyu. 
MAT.5.9	Krunavundi kuyumɨŋguta kurɨhahu, timu mɨŋa tamu mɨŋata mɨŋasɨrɨvandu haŋɨnɨŋ kɨnzɨhɨnzɨtɨmu. Kandɨhaŋɨnɨŋɨrɨm Got yandɨ ñɨŋisɨm, vɨrɨmandɨ. 
MAT.5.10	Krunavundi avi vana andɨtu, muŋɨnɨŋ nurɨŋ kañɨnda ŋgutu kɨnzɨhɨnzɨtɨmu. Nurɨ Gotɨndu tɨwɨyɨ kɨyɨmandɨyu. 
MAT.5.11	Kamata narɨŋ ŋgɨtu yandɨ ñiŋgiñɨ kɨtɨra, narɨŋ kuyu ñamba ŋguta, narɨŋ ñamba taŋguta kuyusɨhɨrɨŋguyu ihɨvarɨtu ndahara kɨnzɨhɨnzɨtɨmara. 
MAT.5.12	Kandɨhamata musa andɨtu ndahara aru kɨnzɨhɨnzɨtɨmara. Muhɨmɨmuhɨm avihɨmɨŋgɨm narɨŋambirɨm Gotɨndu pɨhuyɨ kɨyɨ. Kru Gotɨndu kuyu mɨŋata ambavaravara Gotɨndu haŋɨnɨŋ kasiramata umu haŋɨnɨŋɨrɨm ndahara sɨhwɨmaña musa nda andɨmu, vami.
MAT.5.14	Sɨwɨmañanzihɨ narɨ pɨrɨ nɨñɨndu sɨña maña. Harɨm nɨmata nɨmbu indarɨmara, pɨhu aru muŋandɨhin apuhɨtɨyɨ kɨndi haŋandɨhin manzipɨruhi. 
MAT.5.15	Naŋga umbimbuŋgɨ sɨmuvɨramata sɨŋgɨyɨ mandarɨŋguñahu. Sɨkwɨtaya pina hɨmbañɨ tamahu sɨñandɨhi sɨhanaŋga kru tavɨ humbañɨ kɨndu haŋɨnɨŋ sɨñayɨ kɨndu. 
MAT.5.16	Kamataharɨm sɨña maña kɨta, krunavundindu tamɨŋgañɨ avi vana andɨmara. Kamatɨra avi vanavana andɨrɨmandɨra haŋɨnɨŋ ŋgɨmandɨyu. Kamata narɨŋandɨ nava nuŋandɨ pɨhuyɨ kɨyɨ hamandu ñɨmbi tɨhuyahɨrɨmandɨyu, vami.
MAT.5.18	Yi narɨŋ kandɨ ambin, ihumbɨsa naŋga pɨrɨvɨsa nɨ siŋgundɨrɨmandɨ. Hara kuyu musɨmbɨrɨ Gotɨndu tɨkatɨka kuyuyɨ kɨndi ndahara manziŋgundɨrɨmandɨ. Yɨhi suksɨrambɨ naŋga munzɨ suksɨmbɨrɨ, Gotɨndu tɨkatɨka kuyuyɨ yɨhimbɨvɨramu haŋɨnɨŋ ndahara sɨhanaŋga kɨyɨmandɨyu. Kɨtuhɨtu taya ihumbɨsa naŋga pɨrɨvɨsa siŋgundɨrɨmandɨ hɨvɨ ha yɨvurahɨmandɨ. Gotɨndu tɨkatɨka kuyu kanɨmata taya kɨtihɨti muhɨmɨmuhɨm yɨvurahata mɨtɨrɨmandɨ. 
MAT.5.19	Kru mumɨŋga Gotɨndu tɨkatɨka kuyu mu sɨmbɨrɨrɨm nda tamahubɨrata, muŋɨnɨŋɨrɨm yi andɨn maña andɨmara vɨti andɨrɨmandɨyu. Kandɨhamata hama Gotɨndu tɨwɨyɨ kɨyɨmandɨ. Hara ñɨmbi manɨman mɨŋga kɨyɨmandɨ. Kru mumɨŋga Gotɨndu tɨkatɨka kuyu mu sɨmbɨrɨrɨm nda indarɨmitata andɨrɨmandɨ. Kamata yi andɨn maña andɨmara vata ambaramɨti muŋɨnɨŋ andɨrɨmandɨyu. Kru kandɨhamata hama Gotɨndu tɨwɨyɨ ñɨmbi aru naŋga mɨŋga kɨyɨmandɨ. 
