MAT.1.1	Iesu Keriso vouḡa nizeꞌe ꞌahi eꞌe. Aniꞌe kini Davida mariga ebu zuni Aberahamo mariga.
MAT.2.15	Ebu eꞌea radiro, onamo Herodaꞌa rudaro. Aꞌe Zuhiꞌa Boroꞌa ibite peroveta vazeḡa mazao reiroteꞌe ḡoeꞌaniꞌa hudaro, raenaꞌa,
MAT.2.15	“Izipi habaꞌanonoꞌo eḡe ubude hune ariro.”
MAT.2.16	Kini Herodaꞌe edeḡa azaḡaniꞌa soꞌoniroteꞌe vesuꞌu ederirotene, ani maḡune rudaro. Aniꞌe edeḡa azaḡaniꞌa ihoniroteꞌe madaḡa idunaḡano meꞌodadu eneꞌe muri ꞌaheu heuḡa rae zamariro. Eꞌanoꞌo ane uti azaḡa tuḡuzadu Betelehema neḡa zu uhiḡa habaꞌa niduꞌa zamaḡano ohoze komeꞌa muri ꞌaheuonoꞌo oname guraḡa ḡonaga niduꞌa zimi hauḡiro. 
MAT.2.17	Aꞌe peroveta vazeḡa Eremiaꞌa Badiꞌa ḡoere reiroteꞌeꞌa hudaro, raenaꞌa,
MAT.2.18	“Rama neḡano roḡae ꞌahoganiꞌa zamaḡa are rudanadu kuau niaroteꞌe igiro.
MAT.2.18	Rahelaꞌa ubugaubuga rudaroteꞌe uꞌano niaro,
MAT.2.18	ebu ani vazeꞌa naminoga hezahoziniro.”
MAT.2.19	Kini Herodaꞌa rudaroteꞌe enogano, Zuhiꞌa Boro tuḡure viga ꞌahoganiꞌa Izipi habaꞌano Iosefa mazao iḡunao fureraro, ninaꞌa, 
MAT.2.20	“Iḡunoꞌi. Tahiꞌa komeꞌa viꞌeta Isaraela habaꞌa tutuze onamoꞌi. Mazaḡa tahiꞌa komeꞌa matihi reiroteꞌe azaḡa ꞌai rudau hauḡeha.”
MAT.2.21	Eꞌanoꞌo Iosefaꞌa iḡunadu tahiꞌa komeꞌa viꞌeta Isaraela habaꞌa tutuze onamiro. 
MAT.2.22	Rehano Akelaoꞌe moga Heroda iḡuri madu Iudea habaꞌa kiniḡa reiroteꞌe igirotene ani Iudea habaꞌa onamogaꞌe riharo. Eꞌanoꞌo iḡunao niroteꞌe idunaḡano, ze Galilea habaꞌa onamiro. 
MAT.2.23	Ze onamadu ne ꞌahoga Nazaretao radiro. Aꞌe peroveta vazeḡaniꞌa Badiꞌa ḡoere reiroteꞌeꞌa hudaro, raenaꞌa,
MAT.2.23	“Iesuꞌe Nazareta vazeḡa rae reꞌuma.”
MAT.3.1	Eꞌe madaḡano Ioane Babatisoꞌa Iudea habaꞌano haba bohaꞌa onaadu haramiro, raenaꞌa, 
MAT.3.2	“Sauꞌanonoꞌo ḡihuroꞌi, mazaḡa Badiꞌaꞌa ibitoziniꞌeteꞌe madaḡa ꞌai haniteha.” 
MAT.3.3	Ibite peroveta vazeḡa Isaiaꞌa Ioane Babatiso moneo ꞌahige reiro, raenaꞌa,
MAT.3.3	“Vaze ꞌahoganiꞌa haba bohaꞌano huauꞌohe, raenaꞌa,
MAT.3.3	'Zuhiꞌa Boroꞌa onaꞌiuma! Ani ibi ruhiboꞌi, zu ani veize ibi mae dudunoꞌi.'”
MAT.3.4	Ioane dabuaꞌe kamelo ogaḡa hina haḡairo zu boromakau ogaḡa miniḡa hina gabaiḡano utiro. Ebu fihore zu Avore godaga aro. 
MAT.3.5	Ierusalemaonoꞌo, Iudea habaꞌa niduꞌanonoꞌo zu Ioridana vuḡa ḡenaḡa neḡa niduꞌanonoꞌo vazevazeꞌa Ioane vaḡe onamiro. 
MAT.3.6	Ebu zeꞌa sauꞌaze rae furenirotene Ioridana vuḡano bapatizoziro.
MAT.3.7	Farisea azaḡa zu Sadukea azaḡa ḡehaḡaniꞌa bapatizo mouga radu Ioane vaḡe onairo. Ebu aniꞌa ze horozirotene ziro, raenaꞌa, “Zaꞌe Zarama ubugaubuga heuḡa! Vazeꞌa zae mazao, 'Badiꞌaꞌonoꞌo maḡunuꞌa onaine ferau muhinoꞌi,' rae reiro. Rehano feranogaꞌe mene idaraꞌuma. 
MAT.3.8	U ibite haḡai sau'aono'o ḡihuriroteꞌe haḡaiḡa furenoꞌi. 
MAT.3.9	Ebu ago ꞌahige zamaroꞌi, 'Emeꞌe Aberahamo mariga, eꞌanoꞌo Badiꞌaꞌa mene maḡunofiꞌuma.' Mazaḡa, e ziꞌohe, Badia'a hadi ꞌadi hina Aberahamo mariga haḡaine zuni idaḡa. 
MAT.3.10	Izidi Badiꞌaꞌa ḡiro 'ai ire taigano teha. Eꞌanoꞌo huga manoḡa mene iniꞌeteꞌe ireḡa niduꞌa'e udi higonadu ire rogao feuniꞌuma.
MAT.3.11	Zaeꞌa sauꞌanonoꞌo ḡihurine, eꞌe tahiḡa veize, eḡeꞌa vu hina bapatizoziꞌohe. Rehano eḡe ḡaruna onaiteꞌe vazeḡa ani gigiꞌaniꞌe ufeta ḡihiꞌa. Aniꞌe eḡe vitihoga. Eḡe'a ani tamaka odoheꞌeteꞌe tuḡureḡa vazeḡa rae rouga zuni mene idaḡa. Aniꞌe Vine Zaḡoḡa ebu ire roga hina bapatizoziꞌuma. 
MAT.3.12	Maho hiriveꞌeteꞌe madaḡano, vazeꞌa kari hina rouḡa tenadu maho huꞌiꞌohe, ebu iguḡa manoneꞌohe zu meba hare deheneꞌohe.
MAT.3.13	Eꞌe madaḡano Iesuꞌe Ioaneꞌa bapatizonoga radu Galilea habaꞌanonoꞌo Ioane vaḡe Ioridana vuḡa onairo. 
MAT.3.14	Rehano Ioaneꞌa Iesu garariro, raenaꞌa, “Ḡaeꞌa eḡe bapatizohifo. Nougaꞌahi ḡaꞌe eḡe vaḡe onaeha?” 
MAT.3.15	Iesuꞌa naenaeniro, raenaꞌa, “Izidiꞌe ꞌouge haḡaoꞌi. Eme Badiꞌaꞌa urateꞌeteꞌe haḡaiḡa niduꞌa haḡaifine, ꞌougiꞌuma.” Ebu Ioaneꞌa Iesu ḡoere mae ḡihinadu bapatizoniro. 
MAT.3.16	Iesu bapatizoniroteꞌe enogano ani vuonoꞌo gaba tire onamiro. Tire onamirotene, adureꞌa bohatanadu Iesuꞌa Badiꞌa Viganiꞌa Tubugo niniḡa teige ane vaḡe ovairoteꞌe horoniro. 
MAT.3.17	Ebu ago ꞌahoganiꞌa adureꞌono'o ḡoeriro, raenaꞌa, “ꞌAdiꞌe eḡe ubude. Eḡeꞌa zamare borofeꞌohe. E ani mazao matu'e rudau'ohe.”
MAT.4.1	Eꞌe ḡarugano, Diaboloꞌa Iesu tuhune nuroga veize, Vine Zaḡoḡaniꞌa Iesu haba bohaꞌa tutune onamiro. 
MAT.4.2	Iesuꞌe eꞌea mada 40 zamaḡano ohere zu madai niduꞌa ogomu mene aro. Eꞌanoꞌo aniꞌe vinine runiro. 
MAT.4.3	Ebu Diavoloꞌa tuhunoga radu ani vaḡe onairo, ninaꞌa, “Ḡaꞌe Badiꞌa Ubuga roꞌidene, hadi ꞌadi ninaꞌa, 'Beredio ḡihunoꞌi,' rae noꞌi.”
MAT.4.4	Rehano Iesuꞌa naenaeniro, raenaꞌa, “Mene! Buka Zaḡoḡano ꞌahige mirihiro, raenaꞌa,
MAT.4.4	'Vaze'e beredio da'o mene ḡabode radi'uma,
MAT.4.4	rehano Badiꞌa hebeꞌonoꞌo buauꞌeteꞌe ḡoeꞌa niduꞌao ḡabode radiꞌuma.'”
MAT.4.5	Ebu Diaboloꞌa Iesu Ierusalema neḡa boro zaḡoḡa tutune onamadu kuru neḡa hitaga huneno ohoniro. 
MAT.4.6	Ebu aniꞌa niro, raenaꞌa, “Ḡaꞌe Badiꞌa Ubuga roꞌidene, rafatoꞌi! Mazaḡa Buka Zaḡoḡano ꞌahige mirihiro, raenaꞌa,
MAT.4.6	'Badi'aꞌa dana'oga veize ane tuḡure viga ḡae vaḡe tuḡuziꞌuma.
MAT.4.6	Ze'a ꞌevoreze hina mae ḡihi'i'uma ꞌahine, ḡae odaꞌe hadio mene tutuhaꞌuma.'”
MAT.4.7	Iesu'a naenaeninaꞌa, “Mene! Buka Zaḡoḡano ꞌahige mirihiro, raenaꞌa,
MAT.4.7	'Zuhiꞌa Boro ḡae Badi'a ago tuhuno'i.'” 
MAT.4.8	Ebu Diaboloꞌa Iesu maḡa hitaga hune tutune itadu kini'a ibitohauꞌeteꞌe haba'a boroboro niduꞌa zu zeḡe ḡau manomano niduꞌa ihoniro. 
MAT.4.9	Ebu ninaꞌa, “Ḡaeꞌa eḡe zamao ḡuḡuradu kuraune, deꞌe niduꞌa ḡae ḡaniꞌuma.”
MAT.4.10	Iesuꞌa ninaꞌa, “Mene! Eḡe mazaonoꞌo vaḡinoꞌi! Buka Zaḡoḡano ꞌahige mirihiro, raenaꞌa,
MAT.4.10	'Zuhiꞌa Boro ḡae Badi'a mazao da'o kuranohano'i, zu ane veize daꞌo gauoꞌi.'” 
MAT.4.11	ꞌOugadu Diaboloꞌa Iesu mazaonoꞌo vaḡine onamiro. Ebu tuḡure viganiꞌa onaadu dananiro.
MAT.4.12	Iesuꞌa Ioane Babatiso ḡuꞌa neḡano ohoniroteꞌe egadu Iudea habaꞌaonoꞌo Galilea habaꞌa bare onamiro. 
MAT.4.13	Galilea habaꞌano ani Nazareta neḡano radiro. Ebu neḡa eꞌe modadu Kaperanauma neḡa boro onamirotene eꞌea radiunu. Kaperanauma neḡa boroꞌe Zebuloni zu Nafatali habaꞌano ebu Galilea duꞌura genaḡano. 
MAT.4.14	Ibite peroveta vazeḡa Isaiaꞌa Badiꞌa ḡoere reiroteꞌeꞌa hudaro, raenaꞌa,
MAT.4.15	“Zebuloni zu Nafatali habaꞌaꞌe
MAT.4.15	Galilea duꞌura genaḡano zu Ioridana vuḡa moneafao.
MAT.4.15	Aꞌe Galilea habaꞌa raꞌohe,
MAT.4.15	ebu eꞌe habaꞌano Iuda mene azaḡaniꞌa zuni radiuꞌohe.
MAT.4.16	Uzabo zamaḡano radiuꞌeteꞌe azaḡaniꞌa agaḡa boro horoneha.
MAT.4.16	Rune zauhaḡa habaꞌano radiuꞌeteꞌe azaḡa rana agaḡaniꞌa agazeha.” 
MAT.4.17	Eꞌe madaḡanonoꞌo Iesuꞌa haramoḡa ḡadaheniro, raenaꞌa, “Sauꞌanonoꞌo ḡihuroꞌi, mazaḡa Badiꞌaꞌa ibitohauꞌeteꞌe madaḡa ꞌai haniteha.”
MAT.4.18	Mada ꞌahogano Iesuꞌa Galilea duꞌuraḡa genaḡano onameꞌenogano, vaze ꞌaheu horoziro. Zeꞌe ḡozone mauꞌeteꞌe azaḡa. Vaze tibaꞌe Simona, niḡa ꞌahogaꞌe Petero, ebu negoḡa Anderea. Ze duꞌurao reꞌeva feune radiunu. 
MAT.4.19	Ebu Iesuꞌa ziro, raenaꞌa, “Eḡe ḡaruna hegotoꞌi. Vaze reꞌevaziꞌeteꞌe vazeḡa rouga veize ihoziꞌuma.” 
MAT.4.20	ꞌOugirotene zeꞌe zogone reꞌeva modadu ane hegote onamiro.
MAT.4.21	Iesuꞌa Galilea duꞌura genaḡano bare onamiro ebu vaze ꞌaheu negoḡeta horoziro. Anianineꞌe Zebedeo ubuga, Iakobo zu Ioane. Zeꞌe moze teite ḡasi zamaḡano reꞌeva zigoga faine radiunu. Ebu Iesuꞌa zeḡe ꞌaheu huziro. “Eḡe hegotoꞌi.” 
MAT.4.22	ꞌOugirotene zeꞌe zogone ḡasize zu moze modadu ane hegote onamiro.
MAT.4.23	Iesuꞌa Galilea habaꞌa niduꞌa zamaḡano ragaveꞌenaꞌa, Iuda azaḡa zeḡe nuꞌonuꞌo neḡano ihoziro zu Badiꞌaꞌa ibitoziniꞌeteꞌe moneo hari manoḡa haramiro. Ebu ugi nunu niduꞌa faiziro. 
MAT.4.24	Ebu Iesu hariḡaniꞌa bororanadu Siria habaꞌa niduꞌa igiro. Zeꞌa ugi azaḡa niduꞌa tutuze ani vaḡe ariro. Ugi nunu uꞌano ahirizeꞌa gigize ruzeꞌeteꞌe azaḡa, vine sauꞌaniꞌa ragano reiroteꞌe azaḡa, ketoketeꞌeteꞌe azaḡa zu ahirize haganoga mene idaḡa azaḡa tutuze onairotene, Iesuꞌa ze faiziro. 
MAT.4.25	Galilea habaꞌa, Dekapolisi
MAT.5.1	Iesuꞌa vaze ḡuḡuvaḡa horozirotene, ani maḡa ꞌahoga itadu eꞌea ehoriro. Ebu ane tahiꞌatahiꞌaniꞌa ane vaḡe onairo. 
MAT.5.2	Onairotene Iesuꞌa ihoziro, raenaꞌa,
MAT.5.3	“Zamaze zaharaḡa azaḡaꞌe Badiꞌa manohugazeta,
MAT.5.3	mazaḡa Badiꞌaꞌa ibitoziniꞌohe.
MAT.5.4	Zamaze areꞌenaꞌa, niauꞌeteꞌe azaḡaꞌe Badiꞌa manohugazeta,
MAT.5.4	mazaḡa zeꞌe Badiꞌaꞌa namiziꞌuma.
MAT.5.5	Zamaze roḡeḡa azaḡaꞌe Badiꞌa manohugazeta,
MAT.5.5	mazaḡa zeḡe ꞌevorao haba riꞌiniꞌuma.
MAT.5.6	Badiꞌaꞌa urateꞌetaꞌaꞌe haḡaihi rae inareꞌeteꞌe azaḡaꞌe Badiꞌa manohugazeta,
MAT.5.6	mazaḡa Badiꞌaꞌa danazadu zeꞌa ꞌouge haḡaiꞌuma.
MAT.5.7	Vaze vetuḡaziꞌeteꞌe azaḡaꞌe Badiꞌa manohugazeta,
MAT.5.7	mazaḡa Badiꞌaꞌa ze vetuḡaziꞌuma.
MAT.5.8	Zamaze deheḡa azaḡaꞌe Badiꞌa manohugazeta,
MAT.5.8	mazaḡa zeꞌe Badiꞌa horoniꞌuma.
MAT.5.9	Vazevaze uniho mae manofeꞌeteꞌe azaḡaꞌe Badiꞌa manohugazeta,
MAT.5.9	mazaḡa Badiꞌaꞌa zeꞌe ane ubuga rae huziꞌuma.
MAT.5.10	Badiꞌa ura haḡaeꞌeteꞌe uꞌano, vazeꞌa sausauziꞌeteꞌe azaḡaꞌe Badiꞌa manohugazeta,
MAT.5.10	mazaḡa zeꞌe Badiꞌaꞌa ibitoziniꞌohe.
MAT.5.11	Zaꞌe eḡe hegoteꞌeteꞌe uꞌano, vazeꞌa rae sausauzine, agirezinine ga ḡurireꞌenaꞌa ḡoere sauꞌa nunu niduꞌa zae rana tine, Badiꞌa manohuga hideꞌohe. 
MAT.5.12	Za, matuꞌe rudanoꞌi, mazaḡa Badiꞌaꞌa adureo naeḡaꞌe boro bagaḡa ziniꞌuma. Vouḡazeꞌa peroveta ibiꞌa azaḡa zuni deꞌuge sausauzido.
MAT.5.13	Damaꞌe ḡau manoḡa raꞌeteꞌe teige, zaꞌe, eḡe hegoteꞌeteꞌe azaḡa, raha ꞌadao dama heuḡa. Rehano dama iniganiꞌa dauḡine, iniga bare furenoga mene idaḡa. Ḡau ꞌahoga veize mene manoḡa. Aꞌe mae modadu vazeꞌa edene oname onaeꞌohe.
MAT.5.14	Zaꞌe, eḡe hegoteꞌeteꞌe azaḡa, raha ꞌada aganeꞌeteꞌe ihure agaḡa heuḡa. Maḡa hitagano radiuꞌeteꞌe neḡa boroꞌe ꞌuꞌuranoga mene idaḡa. 
MAT.5.15	Vazeꞌa ihure hofadu siuva ꞌuꞌuḡano mene teꞌohe, rehano ihure tiꞌeteꞌe habaꞌano teadu ne zamaḡano radiuꞌeteꞌe azaḡa niduꞌa agazeꞌohe. 
MAT.5.16	Ihure agaḡaniꞌa vaze niduꞌa agazeꞌeteꞌe teige, zae haḡai manoḡa vaze mazao ago uꞌure toꞌi, rehano furenoꞌi. ꞌOugine, vazeꞌa zae haḡai manoḡa horonadu Moze adureo niguniꞌuma.
MAT.5.17	Zaꞌe, eḡeꞌa Mose goro ḡoeꞌa zu peroveta azaḡa ḡoere fahoga radu onairo rae ago zamaroꞌi. Eꞌe zeḡe ḡoereꞌa hudanoga veize onairo. 
MAT.5.18	E hube hune ziꞌohe, adure zu raha izema dauḡogano Mose goro ḡoeꞌa mirihoḡa komeꞌa fase zuni mene dauḡiꞌuma, rehano goro ḡoeꞌa niduꞌaꞌe hudaꞌuma. 
MAT.5.19	Eꞌanoꞌo iniuꞌa Mose goro ḡoeꞌa komeꞌa ꞌahoga zuni variꞌine ebu vaze ꞌouge ihozine, aniꞌe Badiꞌaꞌa ibitoziniꞌeteꞌe azaḡa boꞌaḡano niḡa mae ovoiꞌuma. U iniuꞌa goro ḡoeꞌa tihitihinine ebu vaze ꞌouge ihozine, aniꞌe Badiꞌaꞌa ibitoziniꞌeteꞌe azaḡa boꞌaḡano niḡa mae itiꞌuma. 
MAT.5.20	E ziꞌohe, zaꞌa Badiꞌa ḡoere hegoteꞌetaꞌaꞌe, Mose goro ḡoeꞌa ihozeꞌeteꞌe azaḡa zu Farisea azaḡa haḡaiḡa mene vitizine, Badiꞌaꞌa za mene ibitoziniꞌuma.
MAT.5.21	Ibiꞌa azaḡa mazao reiroteꞌe goro ḡoeꞌa ꞌadi zaeꞌa igiro, raenaꞌa, 'Vaze ago mau runoꞌi.
MAT.5.22	Rehano e ziꞌohe, iniuꞌa negoḡa mazao maḡunine, kotaniꞌuma. Iniuꞌa negoḡa ḡoere sauꞌa nine, Iuda azaḡa nuꞌonuꞌo zamaḡano kotaniꞌuma. Ebu iniuꞌa 'Ḡa hahizaḡa,' rae reine, ire roga zamaḡano mae feuniꞌuma.
MAT.5.23	Eꞌanoꞌo ḡaeꞌa dibuꞌo fataḡano ḡahunoḡo hauꞌeteꞌe madaḡano negoḡo ꞌahoganiꞌa ḡae mazao maḡuniroteꞌe zamaroꞌidene, 
MAT.5.24	ḡahunoḡoꞌe fata ḡenaḡano modoꞌi, ebu negoḡo vaḡe onamadu ane teite uniho manofoꞌi. Eꞌe ḡaruganobuꞌu bare onaadu ḡahunoḡo hanoꞌi.
MAT.5.25	Ḡaꞌe vaze ꞌahoga moni madu mene bare haune, aniꞌa ḡae kotao ohoꞌihi radu ani teite kota onamiꞌuma. Eꞌe madaḡano ḡanine ge ibio uniho manofoꞌi. Mene ꞌougine, aniꞌa ḡa kota vazeḡa ꞌevorao ohoꞌiꞌuma, ebu ḡuꞌa neḡa taufeꞌeteꞌe vazeḡa ꞌevorao ohoꞌadu ḡuꞌa neḡano ohoꞌiꞌuma. 
MAT.5.26	E hube hune ḡaꞌohe, ḡa mene buaꞌuma onamo ḡaeꞌa ani moni niduꞌa bare haꞌuma.
MAT.5.27	Zaꞌe edeḡa, Mose goro ḡoeꞌano ꞌahige reiro, raenaꞌa, 'Ubuma ago ḡezanoꞌi.' 
MAT.5.28	Rehano e ziꞌohe, iniuꞌa roḡae ḡiaḡianeꞌenaꞌa, ane zamao roḡae omo teite bazihi rae zamarine, ani ꞌai zamao ubuma ḡezaneha. 
MAT.5.29	Ḡae edaꞌe ubumaḡaniꞌa haḡai sauꞌa haḡaoꞌidene, eꞌe ubumaḡa ḡude modoꞌi. Mazaḡa ahiriḡo tahiḡa modeꞌetaꞌaꞌe aduga komeꞌa, u ahiriḡo niduꞌa ire roga zamaḡano mae feuꞌeꞌetaꞌaꞌe ufeta aduga boro. 
MAT.5.30	Ebu ḡae edaꞌe ꞌevoꞌaniꞌa haḡai sauꞌa haḡaoꞌidene, eꞌe ꞌevoꞌaꞌe variꞌe modoꞌi. Mazaḡa ahiriḡo tahiḡa modeꞌetaꞌaꞌe aduga komeꞌa, u ahiriḡo niduꞌa ire roga zamaḡano mae feuꞌeꞌetaꞌaꞌe ufeta aduga boro.
