GEN.1.1	Uluk fohon, Maromak naseꞌi laleꞌan no raiklaran.
GEN.2.13	Mota sorun ida tenik, naran Gihon. Sorun nia nalik rai Kus.
GEN.2.14	Mota sorun ida tenik, naran Tigris. Sorun neꞌe, dadi kladik iha rai Asyur
GEN.2.15	MAROMAK natama ema nia baa toꞌos Eden atu babilan toꞌos nia diꞌa-diꞌak. 
GEN.2.16	Nia naruka naꞌak, “O bele maa ai fuan hotu-hotu iha toꞌos neꞌe laran. 
GEN.2.17	Mais noo ai fuan ida mak o la bele maa. Ai fuan nia, nosi ai huun mak foo natene saa mak diꞌak no saa mak aat. Kalo o maa ai fuan nia, o nanis mate.”
GEN.2.18	Hotu MAROMAK katak naꞌak, “La furak ema neꞌe moris mesan. Diꞌak liu, Haꞌu kaseꞌi foo maluk ida mak makonak no nia.”
GEN.2.19+GEN.2.20	Baa oras nia, MAROMAK raꞌut nola rai isin nalo baa osa no lotuk no manu oi-oik. Hotu, Nia nodi sia baa ema nia, nebee ema nia tau naran baa sia. Ema nia nanaran kedan osa no lotuk no manu nia sia, ida-idak no naran duꞌuk. Mais nia duꞌuk, la noo maluk makonak.
GEN.2.21	Hotu MAROMAK nalo ema nia toba dukur. Oras toba dukur, MAROMAK nasai nola nosen ruin ida, hotu taka nikar kanek nia. 
GEN.2.22	Nia naseꞌi feto ida nosi nosen ruin nia, hotu latan baa ema nia. 
GEN.2.23	Naree feto nia, ema nia dale naꞌak,
GEN.2.23	“Haa! Neꞌe lai! Neꞌe foin kona baa haꞌu!
GEN.2.23	Niakaan ruin manesak no haꞌukaan.
GEN.2.23	Niakaan isin moos manesak no haꞌukaan.
GEN.2.23	Haꞌu kanaran nia ‘feto’, tan nia dadi nosi mane.”
GEN.2.24	Tan lia nia, mane musti laꞌo nela inan no aman,
GEN.2.24	nebee moris neon ida no feen,
GEN.2.24	tan sia dadi mesak tiꞌan.
GEN.2.25	Oras nia, sia rua sei nakwalan, mais sia la moe.
GEN.3.1	Nosi osa no lotuk fuik hotu-hotu mak MAROMAK naseꞌi tiꞌan iha raiklaran, samea mak matenek beꞌur. Baa dala ida, samea ida nusu feto nia naꞌak, “Tebes ka? Naꞌi Maromak badu naꞌak, la bele haa ai fuan nosi toꞌos neꞌe ka?”
GEN.3.2+GEN.3.3	Feto nia nataa naꞌak, “Lale! Ami bele haa! Ai huun ida dei iha toꞌos klaran mak Naꞌi Maromak badu. Ami la bele haa ai huun nia fuan. Kaer dei moos, la bele, tan ami nanis mate!”
GEN.3.4	Mais samea nataa naꞌak, “Lahoos nunia! Emi la mate! 
GEN.3.5	Naꞌi Maromak badu nunia, tan Nia natene kalo emi haa ai fuan nia, emi dadi matenek manesak no Nia! Emi moos bele hatene saa mak diꞌak no saa mak aat.”
GEN.3.6	Rona nola nunia, feto nia naree ai huun nia kabaas lo-loos. Fuan moos arumak midar tebes. Nia naneo naꞌak, “Kalo haꞌu kaa ai fuan neꞌe, haꞌu nanis matenek ona.” Hotu, nia kuꞌu nola, naa kedan. Nia moos nodi foo baa laꞌen. Laꞌen moos naa. 
GEN.3.7	Sia rua naa notu, sarebak natene baa, sia nakwalan. Hotu, sia noman ai tahan nodi taka isin lolon, tan sia moe.
GEN.3.8	Loro malirin, sia rona MAROMAK laꞌo iha toꞌos laran. Mais sia nakfunin iha ai huun kotuk, nebee MAROMAK la naree sia. 
GEN.3.9	Hotu, MAROMAK bolu mane nia naꞌak, “Hei Adam! O iha nabee?”
GEN.3.10	Mane nia nataa naꞌak, “Haꞌu koꞌi rona Naꞌi Maromak lian iha neꞌe. Mais haꞌu kmoe aan, tan kakwalan. Foin, haꞌu kalai baa kakfunin.”
GEN.3.11	Rona nola nunia, Maromak nusu naꞌak, “See mak katak naꞌak o makwalan? Keta arumak o maa tiꞌan ai fuan mak Haꞌu kbadu nia!”
GEN.3.12	Nia moos nataa naꞌak, “Feto mak Naꞌi Maromak latan namalu haꞌu nia, mak foo haꞌu kaa ai fuan nia!”
GEN.3.13	Rona nola nunia, MAROMAK nusu feto nia naꞌak, “Tan saa o malo nunia?”
GEN.3.13	Feto nia nataa naꞌak, “Tan samea mak beꞌur haꞌu, foin haꞌu kaa ai fuan nia.”
GEN.3.14	Hotu, MAROMAK natuun kastikar baa samea naꞌak,
GEN.3.14	“Tan okaan hahalok neꞌe, haꞌu ktaa ukun baa o. Osa no lotuk seluk sia la kona ukun neꞌe. Nahuu baa oras neꞌe toꞌo o mate, o maneꞌe loos modi o kabun no o maa iha rai dei. 
GEN.3.15	O mo feto neꞌe, funu malu nima-nimak. Emikaan husar-binan moos nunia. Okaan husar-binan atu nadodok ema ain nuban. Mais feto neꞌe niakaan husar-binan ida atu nadodok okaan ulun.”
GEN.3.16	Nunia hotu, Maromak katak baa feto nia naꞌak,
GEN.3.16	“Haꞌu atu tuꞌan okaan susar baa oras koꞌus, no tuꞌan moras baa oras mahoris. Masik nunia moos, o sei beer okaan laꞌen bei-beik! Nia moos ukun o!”
GEN.3.17	Nunia hotu, Maromak katak tenik baa mane naꞌak,
GEN.3.17	“O la tuir Haꞌukaan ukun, mais tuir okaan feen hakaran, toꞌo o maa ai fuan mak Haꞌu kbadu nia. Tan lia nia, o moos kona kastikar. Rai moos kona kastikar. Nahuu baa oras neꞌe toꞌo o mate, o musti serwisu susi ruin fila rai, nebee bele metan haan. Modi serwisu nunia, foin o bele moris. 
GEN.3.18	Masik o furi oi-oik moos, rai natubu ai tarak no meik. 
GEN.3.19	O musti serwisu susi ruin, foin rai foo haan baa o. O musti serwisu masai kosar nunia, toꞌo mate. Haꞌu kaseꞌi o kosi rai. Oras o mate, o fila mikar baa rai.”
GEN.3.20	Nunia hotu, Adam nanaran feen naꞌak Efa, tan nia mak ema horis hotu-hotu inan. (Iha lia Ibrani, efa lia isin naꞌak ‘mak moris’.)
GEN.3.21	Hotu, MAROMAK nola kulit, nalo baa tais, foo baa sia rua natais.
GEN.3.22	Hotu, MAROMAK katak naꞌak, “Oras neꞌe, ema natene tiꞌan saa mak diꞌak no saa mak aat, hanesan Ita. Keta toꞌo, sia naa tenik ai fuan nosi ai huun mak foo moris nima-nimak.” 
GEN.3.23	Hotu, MAROMAK teꞌur sai Adam no Efa nosi toꞌos Eden, baa fatin seluk atu moris nosi fila rai. Tan ema huun nosi rai, sia musti moris nosi rai. 
GEN.3.24	Teꞌur sai tiꞌan, Maromak naruka Niakaan makbukar laleꞌan mahoo liras sia,
GEN.4.1	Hotu, Adam toba no feen Efa. Efa koꞌus, hotu nahoris oan mane ida. Nia dale naꞌak, “Haꞌu kahoris kasai oan mane ida, tan MAROMAK tulun haꞌu.” Nia tau naran baa oan nia naꞌak, Kain (tan 
GEN.4.2	Ikus, Efa nahoris tenik oan mane ida. Nia tau naran, Habel.
GEN.4.2	Oan rua nia boot mai, Habel bali bibi no bibi malae, Kain serwisu toꞌos. 
GEN.4.3	Dala ida, Kain nodi niakaan toꞌos isin balu, sera baa MAROMAK. 
GEN.4.4	Habel moos nola bibi malae oan ulun sia. Nia noꞌo, hotu nodi naꞌan kabaas sia, sera baa MAROMAK. Naree nunia, MAROMAK neon diꞌak baa Habel, tan sera nia. 
GEN.4.5	Mais MAROMAK la nakara Kain niakaan sera. Tan baa nia, Kain krakat, toꞌo oin kadubuk.
GEN.4.6	Naree nunia, MAROMAK nusu Kain naꞌak, “Hoi Kain! O oin kadubuk baa saa? 
GEN.4.7	Kalo o malo diꞌak, Haꞌu moos simu diꞌa-diꞌak. Mais, sintidu! Kalo o malo aat, aꞌaat nia atu naa fila o, hanesan busa sobak laho. Kalo o makara malo aat, diꞌak liu dudu sees hanoin aat nia kedan!”
GEN.4.8	Nunia hotu, dala ida Kain namaus Habel naꞌak, “Ali! Mai ita baa toꞌos lai!”
GEN.4.9	Naree nunia, MAROMAK nusu Kain naꞌak, “Hoi Kain! O alin iha nabee?”
GEN.4.9	Kain nataa naꞌak, “Haꞌu la katene! Haꞌu mak kaer nia ain ka?”
GEN.4.10	Hotu, MAROMAK dale naꞌak, “Tan saa o malo aat nunia? Keta maneo o bele subar o alin raan baa rai. Haꞌu karee tiꞌan! 
GEN.4.11	Oras neꞌe, kastikar saꞌe kona o ona. Oras o moꞌo o alin, rai norut nola niakaan raan. Tan baa nia, rai la bele foo tenik moris baa o. 
GEN.4.12	Kalo o malo toꞌos, rai la foo isin baa o. Nahuu baa oras neꞌe, o tablaun lerek hanesan ema susar mak buka moris iha raiklaran.”
GEN.4.13	Rona nola nunia, Kain sakar MAROMAK naꞌak, “Adeei Naꞌi Maromak! Keta matuun kastikar todan liu resik nunia, toꞌo la kbele katiu! 
GEN.4.14	Kalo Naꞌi Maromak teꞌur sai haꞌu kosi fatin neꞌe, haꞌu kdook nanis kosi Naꞌi Maromak tiꞌan. Haꞌu tablaun lerek dei ona. Ema mak nasoru haꞌu, nanis noꞌo haꞌu.”
GEN.4.15	Mais, MAROMAK nataa fila naꞌak, “Lahoos nunia! Kalo ema noꞌo o, Haꞌu atu kastikar nia isin hitu todan liu tan!” Hotu, MAROMAK tau marak baa Kain, nebee ema bele natene naꞌak, la bele hoꞌo nia. 
GEN.4.16	Hotu, Kain laꞌo nela fatin nia, baa nadook aan nosi MAROMAK, toꞌo fatin ida naran Nod, iha toꞌos Eden lorosaꞌe. Nod neꞌe lia isin naꞌak ‘tablaun’. Hotu, Kain nein iha nia.
GEN.4.17	Nosi ikus, Kain nola feto. Hotu, feen koꞌus toꞌo nahoris oan mane ida, naran Henok. Kain moos nariik nola leo ida. Nia nanaran leo nia naꞌak, Henok, tuir oan naran. 
GEN.4.18	Nosi ikus, Henok netan oan, naran Irad. Irad oan, Mehuyael. Mehuyael oan, Metusael. Metusael oan, Lamek.
GEN.4.19	Lamek feen rua. Ida naran Ada, ida tenik, Sila. 
GEN.4.20	Ada oan, Yabel. Yabel husar-binan dadi makbalin. Sia lori baa-mai, nein iha batane. 
GEN.4.21	Yabel alin, Yubal. Yubal husar-binan dadi makdiuk bareka no mahuu kfui.
GEN.4.22	Lamek feen Sila nahoris Tubal Kain. Tubal Kain husar-binan dadi badaen besi no besi riti. Tubal Kain feton, naran Naꞌama.
GEN.4.23	Dala ida, Lamek loko aan iha feen sia oin naꞌak, “Emi rona! Foin da-dauk neꞌe, mane nurak ida atu taꞌe haꞌu, mais haꞌu ktuku koꞌo nia. 
GEN.4.24	Kalo ema noꞌo Kain, netan kastikar dala hitu. Mais, kalo ema nakara rai hirus baa haꞌu, atu netan kastikar dala hitu nulu resin hitu.”
GEN.4.25	Nosi ikus, Adam feen Efa nahoris tenik oan mane ida naran Set. Hotu, Efa dale naꞌak, “Naꞌi Maromak foo oan neꞌe baa haꞌu atu seluk Habel, mak Kain noꞌo tiꞌan nia!” 
GEN.4.26	Kleu-leur Set moos netan oan mane ida naran Enos.
GEN.4.26	Natoon baa oras nia, ema nahuu natene MAROMAK nodi loꞌu-sudur baa Nia.
GEN.5.1+GEN.5.2	Oras Maromak naseꞌi ema, naseꞌi siakaan ilas hanesan Nia duꞌuk. Naseꞌi feto no mane, hotu temi sia naꞌak “ema” nodi natuun matak-malirin baa sia.
GEN.5.1+GEN.5.2	Ema uluk fohon basuk, naran Adam. Adam husar-binan mak neꞌe:
GEN.5.3	Oras Adam otas tinan atus ida tolu nulu, netan oan mane ida, ilas nuꞌu nia. Nia tau naran, Set. 
GEN.5.4	Hotu, Adam sei moris tenik tinan atus walu, nodi netan tuꞌan oan feto, oan mane. 
GEN.5.5	Hotu, nia mate baa otas tinan atus siwi tolu nulu.
GEN.5.6	Oras Set otas tinan atus ida lima, netan oan mane ida naran Enos. 
GEN.5.7	Hotu, Set sei moris tenik tinan atus walu hitu, nodi netan tuꞌan oan feto, oan mane. 
GEN.5.8	Hotu, nia mate baa otas tinan atus siwi sanulu resin rua.
GEN.5.9	Oras Enos otas tinan siwi nulu, netan oan mane ida naran Kenan. 
GEN.5.10	Hotu, Enos sei moris tenik tinan atus walu sanulu resin lima, nodi netan tuꞌan oan feto, oan mane. 
GEN.5.11	Hotu, nia mate baa otas tinan atus siwi lima.
GEN.5.12	Oras Kenan otas tinan hitu nulu, netan oan mane ida naran Mahalalel. 
GEN.5.13	Hotu, Kenan sei moris tenik tinan atus walu haat nulu, nodi netan tuꞌan oan feto, oan mane. 
GEN.5.14	Hotu, nia mate baa otas tinan atus siwi sanulu.
GEN.5.15	Oras Mahalalel otas tinan neen nulu resin lima, netan oan mane ida naran Yared. 
GEN.5.16	Hotu, Mahalalel sei moris tenik tinan atus walu tolu nulu, nodi netan tuꞌan oan feto, oan mane. 
GEN.5.17	Hotu, nia mate baa otas atus walu siwi nulu resin lima.
GEN.5.18	Oras Yared otas tinan atus ida neen nulu resin rua, netan oan mane ida naran Henok. 
GEN.5.19	Hotu, Yared sei moris tenik tinan atus walu tenik, nodi netan tuꞌan oan feto, oan mane. 
GEN.5.20	Hotu, nia mate baa otas tinan atus siwi neen nulu resin rua.
GEN.5.21	Oras Henok otas tinan neen nulu resin lima, netan oan mane ida naran Metusalak. 
GEN.5.22	Henok moris neon ida no Maromak, toꞌo tinan atus tolu tenik. Nia moos netan tuꞌan oan feto, oan mane. 
GEN.5.23+GEN.5.24	Tan moris neon ida bei-beik no Maromak, baa otas tinan atus tolu neen nulu resin lima, Maromak foti saꞌe nia, toꞌo lakon.
GEN.5.25	Oras Metusalak otas tinan atus ida walu nulu resin hitu, netan oan mane ida naran Lamek. 
GEN.5.26	Hotu, Metusalak sei moris tenik tinan atus hitu walu nulu resin rua, nodi netan tuꞌan oan feto, oan mane. 
GEN.5.27	Hotu, nia mate baa otas tinan atus siwi neen nulu resin siwi.
GEN.5.28	Oras Lamek otas tinan atus ida walu nulu resin rua, netan oan mane ida. 
GEN.5.29	Hotu nia dale naꞌak, “Oan neꞌe atu nadiꞌak itakaan neon, toꞌo haluꞌa itakaan serwisu todan iha rai mak Maromak kastikar tiꞌan.” Etuk, nanaran oa nia, 
GEN.5.30	Hotu, Lamek sei moris tenik tinan atus lima siwi nulu resin lima, nodi netan tuꞌan oan feto, oan mane. 
GEN.5.31	Hotu, nia mate baa otas tinan atus hitu, hitu nulu resin hitu.
GEN.5.32	Oras Noh otas tinan atus lima, netan oan mane naꞌin tolu, mak: Sem, Yafet no Ham.
GEN.6.1	Oras nia, ema hetak bea tuꞌan. Sia moris keke lema rai tiꞌan. Sia moos nahoris oan feto kabaas. 
GEN.6.2	Hotu, Maromak oan mane sia naree feto oan nia sia. Sia moos nola sia, tuir siakaan beer. 
GEN.6.3	Loron ikus, MAROMAK katak naꞌak, “Haꞌu kole resik tiꞌan, tan ema raiklaran moris la loos! Haꞌukaan Kmalar mak foo moris baa sia. Mais oras neꞌe, Haꞌu la koꞌuk sia moris nohuun.
GEN.6.4	Baa oras nia no otas ikus tenik, ema bei balera
GEN.6.5	Oras nia, MAROMAK naree ema raiklaran hahalok aat liu resik. Sia natene loos nanoin aat dei. 
GEN.6.6	MAROMAK laran moras, tan naseꞌi tiꞌan ema raiklaran. 
GEN.6.7	Etuk, MAROMAK katak naꞌak, “Tan siakaan aꞌaat nia, Haꞌu atu kabeꞌo dodok ema raiklaran mak kaseꞌi tiꞌan nia. Haꞌu moos kabeꞌo dodok manu no osa no lotuk hotu-hotu. Haꞌu laran moras kaseꞌi sia tiꞌan!” 
GEN.6.8	Baa oras nia, Noh mesan mak nalo MAROMAK neon diꞌak.
GEN.6.9+GEN.6.10	Lia nosi Noh niakaan dalan moris nuneꞌe. Noh oan mane naꞌin tolu, naran Sem, Yafet no Ham. Noh moris loos, la nalo aat. Nia mesan dei mak diꞌak, tan nia moris kreꞌis baa Maromak.
GEN.6.11+GEN.6.12	Mais Maromak naree ema seluk sia, aat hotu. Iha nabee dei, sia moris aat liu resik, toꞌo Maromak naree aꞌaat dei iha raiklaran. 
GEN.6.13	Naree nunia, Maromak katak baa Noh naꞌak, “Iha fatin hotu-hotu, Haꞌu karee aꞌaat dei. Dadi, Haꞌu kakotu tiꞌan atu kabeꞌo dodok raiklaran neꞌe no sasoin hotu-hotu. 
GEN.6.14	Mais nuneꞌe, Noh! O musti malo roo boot ida modi ai monas! Malo keꞌan iha laran. Hotu, tukir roo molin modi hanit. 
GEN.6.15	Roo nia naruk musti roꞌa atus ida tolu nulu resin tolu, belar roꞌa rua nulu resin rua, aas roꞌa sanulu resin tolu. 
GEN.6.16	Soor roo nia. Malo soor no leet nosi kadidin leten, takseer roꞌa baluk ida. Faꞌe roo nia malo baa tetu tetek tolu. Hotu, malo odamatan ida baa roo sorin!
GEN.6.17	Manoin diꞌa-diꞌak, tan Haꞌu atu katuun motasaꞌe boot, kodi koꞌo hotu-hotu mak moris iha raiklaran neꞌe. Toꞌo la hela sa-saa! 
GEN.6.18	Mais, Haꞌu atu kamate menon ko o, Noh. O musti mola o feen, o oan, no o oan feen sia, tama baa roo nia.
GEN.6.19+GEN.6.20	Mola tenik osa no lotuk hotu-hotu, inan no aman ida-idak. Mola mak hakiak, mak maneꞌek, no manu ai leten sia. Matama sia baa roo, nebee moris namutuk no o. Hodi nunia, sia bele moris. 
GEN.6.21	O moos musti loi matama haan oi-oik bodik emi ho osa no lotuk nia sia.”
GEN.6.22	Rona nola nunia, Noh moos nalaꞌok tuir Maromak harukan hotu-hotu.
GEN.7.1	Hotu, MAROMAK katak baa Noh naꞌak, “Haꞌu karee ema iha fatin hotu-hotu tiꞌan, mais o mesan dei mak loos! Tan lia nia, o mo okaan uma isin sia tama baa roo ona! 
GEN.7.2+GEN.7.3	Osa no lotuk oi-oik mak bele haa, no mak bele sera baa Haꞌu, modi inan no aman hitu-hitu, tama baa roo. Manu oi-oik moos, modi inan no aman hitu-hitu. Mais, osa no lotuk seluk sia, modi inan no aman ida-idak dei. Hodi nunia, sia dadi baa fini, nebee bea bei-beik.
GEN.7.4	Rona diꞌa-diꞌak! Hela loron hitu dei, Haꞌu atu katuun udan mak la nanawa, toꞌo kalan haat nulu, loron haat nulu! Kodi nunia, Haꞌu koꞌo mohu hotu-hotu mak moris iha rai maran, mak Haꞌu kaseꞌi tiꞌan.”
GEN.7.5	Hotu Noh nalo tuir MAROMAK harukan hotu-hotu. 
GEN.7.6	Oras motasaꞌe nia, Noh otas tinan atus neen. 
GEN.7.7	Nia tama baa roo no feen, no oan, no oan feen sia, nebee sori aan nosi motasaꞌe boot nia. 
GEN.7.8+GEN.7.9	Oras nia moos, manu oi-oik no osa no lotuk seluk sia mai baa Noh. Osa no lotuk nia sia, inan no aman ida-idak, nosi mak ema bele naa no ema la bele naa. Sia tama bele-bele baa roo namutuk no Noh, tuir MAROMAK harukan. 
GEN.7.10	Loron hitu liu, motasaꞌe moos nakfakar mai, toꞌo nahuu taka nola raiklaran neꞌe.
GEN.7.11	Kona baa Noh otas tinan atus neen, liu fulan rua no loron sanulu resin hitu, motasaꞌe nia toꞌo mai. Udan nakfakar tuun hanesan laleꞌan odamatan nakloke. Wee matan hotu-hotu iha rai kidun moos taba no nakduar sai. 
GEN.7.12	Udan moos la nanawa kois loron-kalan, toꞌo loron haat nulu.
GEN.7.13	Mais loron nia, Noh tama baa roo laran no feen, oan naꞌin tolu, mak Sem, Yafet no Ham, no oan feen hotu-hotu. 
GEN.7.14	Sia tama bele-bele no osa no lotuk mak hakiak, mak fuik, mak maneꞌek, no manu ai leten, no osa no lotuk seluk mahoo liras sia. 
GEN.7.15+GEN.7.16	Osa no lotuk inan no aman ida-idak nosi hotu-hotu mak moris, tama baa roo namutuk no Noh, tuir Maromak harukan nia.
GEN.7.15+GEN.7.16	Sia hotu-hotu tama tiꞌan, MAROMAK moos kusa roo odamatan.
GEN.7.17+GEN.7.18+GEN.7.19	Udan boot tuun bei-beik, toꞌo loron haat nulu. Motasaꞌe nia moos hetak aas tuꞌan, toꞌo roo naklele. Wee saꞌe bei-beik, toꞌo taka nola foho aas sia. 
GEN.7.20	Wee nia saꞌe la nanawa kois, toꞌo aas roꞌa hitu iha foho leten.
GEN.7.21+GEN.7.22+GEN.7.23	Hodi nunia, hotu-hotu mak moris iha rai maran, mate fasi. Neꞌe mak: ema, osa no lotuk mak hakiak, mak fuik, mak maneꞌek no manu ai leten. Hela mesan Noh no hotu-hotu iha roo laran nia, mak moris. 
GEN.7.24	Wee nia la moti kois, toꞌo loron atus ida lima nulu.
GEN.8.1	Mais Maromak la naluꞌa Noh no osa no lotuk sia hotu-hotu iha roo nia. Nia foo anin nuu namoti wee motasaꞌe nia. 
GEN.8.2	Nia moos taka wee matan hotu-hotu, no sena udan. 
GEN.8.3	Wee nahuu moti oa-oan. Loron atus ida lima nulu siku liu tiꞌan, wee moos nahuu nakraik. 
GEN.8.4	Natoon besik baa fulan hitu liu loron sanulu resin hitu, sura hosi udan nakfakar tuun nia, roo nia baken aan baa foho leten aas ida naran Ararat. 
GEN.8.5	Wee moti bei-beik toꞌo loron dala uluk fulan sanulu, foho dikin sia moos tadu nikar.
GEN.8.6	Loron haat nulu siku liu tiꞌan, Noh loke kuak anin ida nosi roo nia. 
GEN.8.7	Hotu, nia nabusik sai manu kawaa ida. Manu nia semo baa-mai. Oras wee motasaꞌe nia moti, nia la fila nikar baa roo. 
GEN.8.8	Hotu, Noh moos nabusik manu lakateu ida, atu nodi natene, wee moti tebes tiꞌan ka, sei. 
