MAT.1.1	Bokanda bon’eotwelo ena Yesu Masiya, bon’ona Dawidi, bon’ona Abalayama.
MAT.2.5	Ko bamosumola, iy’ate, Ena Beteleme ena Yudea; lacina yoi limotengama la bosumoli yok’one, ate,
MAT.2.6	Ko e, Beteleme, en’onyanga bona Yuda,
MAT.2.6	Ofaleki bafoka bana Yudea l’isalisali;
MAT.2.6	Lacina gouverneur onongotombanya bato’anami Yisalaele
MAT.2.6	Angoya nk’enek’e.
MAT.2.7	Nkwaho Elode aelela bato ban’omwu la lokuko, ko amaufola esike ntutuma eneki ioto oenyaka. 
MAT.2.8	Ko amatoma ena Beteleme, ate, Bocoak’oyufol’olotsi lacin’ena bon’oho, ko eneng’in’osungya, bonjele bosimo, lacina nje, njokumy’ende. 
MAT.2.9	Enek’iy’ookaka yoi lina lifoka lina roi, baocoa mboka eniyo; ko lenda, ioto inik’iy’oenaka en’ili bona Est yetaki en’oso’oniyo, yengoko iho yoyela en’edye eneki bona oyalaka, ko yemala nkwaho. 
MAT.2.10	Enem’iy’oena loto baonyangela l’enyanga bike mene. 
MAT.2.11	Ko baotua en’otumba, ko baena bona la Malia nyango enande; bamoosamela, ko bamokumya, baosongola toma toniyo, ko baolekya nganji eneyal’ende ina wolo, la falankinsensa la mula. 
MAT.2.12	Ko enek’iy’olakamaka la Yakomba ena lilotua lacina bafutwa eneyali Elode, baocoa en’onyang’oniyoamene la mboka ekina.
MAT.2.13	Enek’iy’oumaka, lenda, ekima ena Yawe eenya eneyali Yosefa ena lilotua, ate, Emala, ambola bonome ko la nyango enande, ko lota en’Ejipeto; omboyala meho yengoko lakosumola; lacina Elode angofona bon’one lacina aoyake. 
MAT.2.14	Ko aemala, aotamba bona ko la nyango enande l’oco, ko aocoa en’Ejipeto; 
MAT.2.15	aotonga nko meho yengoko bewedi bena Elode; lacina yoi liniki Yawe otendaka la bosumoli yilame, ate, Mbelelaki bon’onami nk’en’Ejipeto. 
MAT.2.16	Eneki Elode oenak’oka bato ban’omwu bamolonyeela, aolemwa la nkele mene, aotom’ato, ko aoyaka ban’ana mpame bahatu banayaakiena Beteleme ko l’en’onyang’oho bohotu, bana banakwa mbula ife ko l’iy’anatakwa mbul’ife, nk’iyatu, la lelelo lon’esike ntutuma eneki’nd’oufolaka bato ban’omwu. 
MAT.2.17	Nkwaho, yoi linaliki Yelemaya bosumoli otendaka yilamaki, ate,
MAT.2.18	Lofoso lookana ena Lama
MAT.2.18	Lilelo lina mposoli la befwi bena lilelo,
MAT.2.18	Laele aolela ban’anande la mposoli;
MAT.2.18	Ko atalanga lilombolama isei, lacin’oka ban’aho bafayali lakina tu.
MAT.2.19	Koko eneki Elode owaka, lenda, ekima ena Yawe eenyaki eneyali Yosefa ena lilotua en’Ejipeto, 
MAT.2.20	ate, Emala, ambola bonome ko la nyango enande, ko utwa en’onyanga bona Yisalaele; lacin’iyo banasokolanga bayake bon’one bamowa. 
MAT.2.21	Koko aemala, aambola bonome ko la nyango enande, ko aoya en’onyanga bona Yisalaele. 
MAT.2.22	Koko enem’end’ooka mbo, Alukelao amokitanya bafango’onande Elode ena lifoka lina Yudea, atacoa meho, lacin’oka aangaki; ko aolakama la Yakomba ena lilotua, ko aeta en’ili bona Ngalilaya; 
MAT.2.23	ko aoya oyotonga en’ongili bonotangama Nazaleta; lacina yoi linaliki bosumoli otendaka yilame, ate, Ende angotangama bise Nazaleta.
MAT.3.1	En’esik’eho Yoane Bini aoya, ayasumole bosimo ena sengelenge ena Yudea, 
MAT.3.2	ate, Boyosume en’aoyi’owe, lacina lifoka lina loola yoolama. 
MAT.3.3	One nko boto onoki Yesaya, bosumoli, otendelak’ale yoi, ate,
MAT.3.3	Lofoso lon’oto’omoi onololomwa ena sengelenge,
MAT.3.3	Boongya mboka ena Yawe,
MAT.3.3	Bonanola mboka inande cilili.
MAT.3.4	Yoane mene aolota bisenda bina besa bena ngamela, ko l’okoli bon’ekoto ena nyama ena litenaka linande; ko toma tonande tona ndaka nko mpalika la bohe. 
MAT.3.5	Ko baise Yelusalema la baise Yudea bahatu, la baise bengili ben’oli la Yoladane bahatu baocoa eneyali ende; 
MAT.3.6	ko bainama l’ende ena lose lona Yoladane, bayafisole baoyi’owe’aniyo. 
MAT.3.7	Koko eneki’nd’oenaka bike bona Bafalusi la Basadoke baoya en’inelo enande, amasumola, ate, Ino ban’ana njua, onokolakak’ino lacina bolote bolema bonongoya oka nai? 
MAT.3.8	Boot’emamo benekoli l’eumbelo en’aoyi’owe. 
MAT.3.9	Ko botakanelake oyila en’etem’enino, Mbo iso toyali l’afango’oniso oka Abalayama; lacin’oka emi lakosumol’ino, Yakomba anunolisa ban’ana Abalayama nk’ena baufe bane. 
MAT.3.10	En’esik’ene liswa yilama en’eulu ena bete; lacin’eho, bote l’ote bonofote bemamo ben’olotsi bokotama, ko bookama ena nkoi. 
MAT.3.11	Solosolo, emi lakin’ino en’asi lacin’en’eumbelo en’aoyi’owe; koko ende onoya ena mbusa enami andek’emi la mpamba, emi mpakoli lacina ntole sapata inande: Ende angokin’ino ena Bolimo bon’olotsi ko l’ena nkoi; 
MAT.3.12	lifofo linande liyali ena likasa linande, ko angomba botumba bonafifedy’ende bopunga nko njomba mene; ko angosusanya bopunga bonande en’otumba bon’emonyedyo; ohonde angotumba mposo la nkoi inifalime tu.
MAT.3.13	En’esik’eho Yesu aumaki ena Ngalilaya, aoya ena Yoladane eneyali Yoane oyinama l’ende. 
MAT.3.14	Koko Yoane amosimba, ate, Emi lalela njiname l’e, ko oya nde eneyal’emi? 
MAT.3.15	Koko Yesu amolokwela, ate, Omboila; akoli eneyal’iso tile baoyi bana mbongi bahatu yok’osamb’one. Ko aimedya. 
MAT.3.16	Koko eneki’nd’oinamaka, Yesu aotefwa isasanga en’asi; ko lenda, loola lokombwa eneyal’ende, ko aena Bolimo bona Yakomba ayakite yok’ekoso, ko aoya eneyal’ende; 
MAT.3.17	ko lenda, lofoso lookana ena loola, Mbo one Bon’onami ona nganji, onombatel’emi enyanga mene.
MAT.4.1	Nkwaho Yesu aotolama la Bolimo ena sengelenge lacina amekame la Satana. 
MAT.4.2	Koko eneki’nd’okilaka toma beco la biane ntuk’inei, ena mbus’eho aoka njala. 
MAT.4.3	Ko bomeki aoya oyolokwela, ate, Yombo oyali Bon’ona Yakomba, sumola baufe bane bahalingwa bekonga bena mata. 
MAT.4.4	Koko ende aokutola, ate, Yoi limotengama, Bot’ola afaike la mata kei: aika la baoyi bahatu banafola en’onyua bona Yakomba. 
MAT.4.5	Koko Satana amotola en’onyanga bon’oeka; ko amambya ena liko lin’otumba bona Yakomba, nk’ena nsoli; 
MAT.4.6	ko amosumola, ate, Yombo oyali Bon’ona Yakomba, oyofuse eamene en’ase; lacina yoi limotengama,
MAT.4.6	Ende angotoma bikima binande lacin’ene,
MAT.4.6	Ko bangokotola en’akas’aniyo,
MAT.4.6	Lacina likaka line litofomana la lufe.
MAT.4.7	Yesu amoutodya, ate, Yoi likina limotengama, Tamekake Yawe Yakomba ene. 
MAT.4.8	Lakina Satana amotola ena lingonji lina litale mene, ko amotuma bafoka bahatu bana benyanga behetu, ko la lokumo lona bafok’aho; 
MAT.4.9	ko amosumola, ate, Yomb’ombosamel’emi, ko onkumya, nongokofa toma tone tohatotu. 
MAT.4.10	Yesu amolokwela, ate, Uma, Satana; lacina yoi limotengama, Kumya Yawe Yakomba ene, ko okambele nk’ende kei. 
MAT.4.11	Ko Satana amocika; ko lenda, bikima bina loola baoya oyokambya.
MAT.4.12	Eneki Yesu ookak’oka Yoane amolundama, aumaki, ko aocoa ena Ngalilaya. 
MAT.4.13	Ko auma ena Nazaleta, ko aoya oyokisase ena Kapalanauma ena mbolimboli la lose, en’enyanga bena Zebulona la Napatali; 
MAT.4.14	lacina yoi linaliki Yesaya, bosumoli, otendaka yilame, ate,
MAT.4.15	Bonyanga bona Zebulona, l’onyanga bona Napatali,
MAT.4.15	Bonyanga bon’oli la lose, bili bona Yoladane,
MAT.4.15	Naglilaya ena Befenda;
MAT.4.16	Bato banakisak’ase ena luucu
MAT.4.16	Baenaki fololo en’okolo;
MAT.4.16	Ko fololo efetaki eneyal’iyo
MAT.4.16	Banakisak’ase en’ili ko l’ena lilila lin’ewedi.
MAT.4.17	En’esik’eho Yesu aomatsa osumol’ato bosimo, ate,
MAT.4.17	Bumbela baoyi’owe, lacina lifoka lina loola yoolama.
MAT.4.18	Ko enema Yesu oeta en’oseleka bona lose lona Ngalilaya, aena Simona onotangama Petelo la Andelo on’otwa l’ende en’ecimo, bayafuse lisangi ena lose, lacin’oka iyo bayaaki bakembi bana nse. 
MAT.4.19	Ko amasumola, ate, Bonkil’emi, ko nongokiil’ino boyalame bakembi ban’ato. 
MAT.4.20	Isasanga baumbela basangi, ko bamokila. 
MAT.4.21	Ko enem’end’ocoa, aena bamoi bafe, nko Yakobo, bon’ona Zebedayo, la Yoane on’otwaki l’ende, bayaaki en’atu la Zebedayo bafango’oniyo, bayatele basangi’aniyo; ko amaelela. 
MAT.4.22	Isasanga baocika boatu l’afango’oniyo, ko bamokila.
MAT.4.23	Ko Yesu aocoa ena bicimo bina Ngalilaya bihitu nselasela, ayalake ena basunagoga baniyo, ko ayasekodya bosimo bon’olotsi bona lifoka, ko ayaiky’ato nkangi ko la tongitongi bekotua l’ekotua. 
MAT.4.24	Ko lokumo lonande lolinda en’onyanga bona Sulia bohotu; ko baoyelaki bato bahatu banayaaki la nkangi la bifafo bekotua l’ekotua, ko l’iy’anayaaki la bademona ko l’esinga, ko la nkangi ena nkenyenyala; ko amaikya. 
MAT.4.25	Ko bik’ike bon’ato bamokila: bato bana Ngalilaya, l’ana Dekapoli, la Yelusalema, la Yudea, ko la bili bona Yoladane.
MAT.5.1	Eneki’nd’oenaka bik’ike bon’ato, aanda ena lingonji; ko eneki’nd’okisak’ase bakili’anande baoy’eneyal’ende; 
MAT.5.2	ko aomumola bonyua bonande, ko amalaka, ate,
MAT.5.3	Iy’anayali biinda en’olimo bakik’ekiko; lacina lifoka lina loola liyali liniyo.
MAT.5.4	Iy’an’oka lokeseli bakik’ekiko; lacin’iyo bangolombolama lokeseli.
MAT.5.5	Bana mwi bakik’ekiko; lacin’iyo bangosangola loko.
MAT.5.6	Iy’anoka baoyi bana mbongi njala la mposa bakik’ekiko; lacin’iyo bangokinda.
MAT.5.7	Iy’anokamel’ato isei bakik’ekiko; lacin’isei inguta eneyal’iyo.
MAT.5.8	Iy’anayali l’etema bena soto bakik’ekiko; lacin’iyo bangena Yakomba.
MAT.5.9	Iy’an’ambany’ato en’efili bakik’ekiko; lacin’iyo bangotangama ban’ana Yakomba.
MAT.5.10	Iy’an’enyama bino lacin’ena mbongi bakik’ekiko; lacina lifoka lina loola liyali liniyo. 
MAT.5.11	Enengi bato okotang’ino lotango ko bakoeny’ino bino, ko bakofot’ino bowe bon’ekotua behetu lacin’enami, ino bokik’ekiko. 
MAT.5.12	Bonyangelaka ko bokikak’ekiko bike, lacina nkita enino eyali bokolo ena loola, lacin’oka iyo baenyaki basumoli banayaaki en’oso’onino bino nk’osamb’oho.
MAT.5.13	Ino boyali bokwa bona loko; koko yombo bokwa bosila bolotsi, bongata bolotsi lakina ineya? Boho bofayonge lakina tu: ekoli lacina boho bookame, ko bato baikamel’oho l’akaka. 
MAT.5.14	Ino boyali fololo en’enyanga. Bonyanga bonoyali ena lingonji bofafisamisa. 
MAT.5.15	Bato bafafetsa moinda lacina baile eho en’ase ban’ifondo; bail’eho en’eilelo ena moinda, ko eofeta eneyali bato bahatu banayali en’otumba. 
MAT.5.16	Nk’osamb’oho bila fololo enino efete en’oso bon’ato, lacina baene bikambwa binino bin’olotsi, ko bakumya Bafango’onino onoyali ena loola.
MAT.5.17	Botakanelake oka njaki oyehya basangya ko l’aoyi banaki basumoli otendaka. Ntaya oyehya: njaki lacina baoyi’aho bailame. 
MAT.5.18	Solosolo, emi lakosumol’ino, yengoko loola la loko bauma, efana yoi limoko ko efana indembindembi imoko ininguma ena basangya, yengoko baoyi bahatu bailama. 
MAT.5.19	Lacin’eho, boto onotembola boek’omoi bona beeka bene beneleki tosalisali, ko alak’ato yok’oho, angotangama isalisali mene ena lifoka lina toola; ohonde boto on’ila beek’eho, ko alak’ato beho, ende angotangama ona lokumo ena lifoka lina loola. 
MAT.5.20	Emi lakosumol’ino, yombo mbongi enino efaleki mbongi ena batengi ban’ekanda l’ena Bafalusi, bofatuaki ena lifoka lina loola tu.
MAT.5.21	Ino bomoka baoyi banak’iy’osumolaka bato en’alale, iy’ate, Botayakake’oto; ko onongoyak’oto angokolana l’ekwelo ena likambo. 
MAT.5.22	Koko emi lakosumol’ino, boto l’oto onoka efili enande nkele angokolana l’ekwelo ena likambo; ko boto l’oto onila efili enande, ate, E ilemeleme! angokolana l’ekwelo ena likambo la likita lina balimo; ko boto onila, ate, E bolole! ende angokolana la Ngena ena nkoi. 
MAT.5.23	Lacin’eho, yombo olekya nganji ene ena mesa ena mbeka, ko enayel’e meho okanedy’oka e l’efili ene boyali la likambo, 
MAT.5.24	cika nganji ene en’oso bona mesa ena mbeka, ko coaka oyosimbane k’efili ene en’oso, ko omboya oyolekya nganji ene. 
MAT.5.25	Enaco’e la bookyi’owe’one ena mboka, ongya lisimbana l’ende isanga, lacina bookyi’owe’one atokotola eneyali juge, ko juge atokolekya eneyali police, ko otofusama en’otumba bon’enyolo. 
MAT.5.26	Solosolo lakosumola, ofafole meho yengoko olekya toma tohatotu, efana nko le centime emoko eneciki tu.
MAT.5.27	Bomoka yoi lin’ilamaki’ale, Tatatake likele; 
MAT.5.28	koko emi lakosumol’ino, boto l’oto onolend’oyota la mposa ena ntata ena likele l’ende, amosila litata likele l’oyoto’oko en’otem’onande. 
MAT.5.29	Yombo liso line y’ome yokokumba, kuma liho, ko oka liho nko mboka; bolotsi eneyal’e lacina elama ena emoko eehyame, yonge line lihalitu litofusama ena Ngena. 
MAT.5.30	Ko yombo likasa line y’ome yokokumba, kesa liho nko pa, ko oka liho mboka; bolotsi eneyal’e lacina elama ene emoko eehyame, yonge line lihalitu litofusama ena Ngena. 
MAT.5.31	Koko yoi yilamaki’ale, Onongumola booli’onande, ayofe bokanda bona njaka ena liala; 
MAT.5.32	koko emi lakosumol’ino, onongumola booli’onande kuma booli ataata likambo lina likele, amil’ende boyoto’ona lisamba; koko boto onosonga booli onoki bome’omoi oumolaka, atata nko likele.
MAT.5.33	Lakina, bomoka yoi lin’ilamaki eneyali bato ban’alale, Tatehake eteho ena mpoci; koko ilela Yawe bisemba binik’otehaka. 
MAT.5.34	Koko emi lakosumol’ino, Botatehake tu; botatehake la loola, lacina loho loyali nk’ieko ina Yakomba; 
MAT.5.35	botatehake la loko, lacina loho loyali nko limbolongo lin’akak’anande; botatehake la Yelusalema, lacina boho boyali bonyanga bona Lifoka lin’okolo lina Roi; 
MAT.5.36	tatehake l’ote’one, lacin’e ofilisa bese bomoko bona lifo line telele yombo tukulu. 
MAT.5.37	Yoi linino liyalamake nko O, O; la Efana, Efana; lacina baoyi banaleki baho baoya nk’eneyali Boto’oho on’owe.
MAT.5.38	Bomoka yoi lin’ilamaki’ale, Liso licindanake la liso, koko lino la lino; 
MAT.5.39	koko emi lakosumol’ino, Botasimbake on’owe. Ohonde yombo boto akofoma losoola ena litama line y’ome, ohalingwele litama limoi. 
MAT.5.40	Yombo boto alanga akotole en’etendelo en’akambo, ko asokotamba bokoto’one bona ntundulu, imedya lacina atambe bokoto’one bona liko nkoho. 
MAT.5.41	Ko yombo boto akosomya losomo lacina ocu l’ende kilometre emoko, coaka l’ende kilometres ife. 
MAT.5.42	Faka boto onokolomba, ko tatumelake boto onolanga asombe eneyal’e mbusa.
MAT.5.43	Bomoka yoi lin’ilamaki’ale, Ok’on’oli l’e nganji, koko oka bookyi’owe’one bowe; 
MAT.5.44	koko emi lakosumol’ino, boka baokyi’owe’anino nganji, bosakel’iy’anakosaiy’ino bosako, bilel’iyo banakook’ino bowe bolotsi, ko boondel’iy’anakonyom’ino ko bakoeny’ino bino; 
MAT.5.45	lacin’ino boyale ban’ana Bafango’onino onoyali ena loola; lacin’oka ende akedya bato ban’owe la bato ban’olotsi bina bonande, ko alweya banakoli l’anafakoli mbula. 
MAT.5.46	Yombo bato bakook’ino nganji, ko ino boka nko bato’aho nganji, bosokokolana l’oluko boka nai? iya, basusanyi bana mpuci bafile yok’osamb’oho? 
MAT.5.47	Ko yomb’ino beesa banotwa l’ino kei, boleki bato’akina bokotua’oya? Befenda bafile nde yok’osamb’oho? 
MAT.5.48	Lacin’eho, boyalamaka la mbongi enakolana, yoka bosamb’onoyali Bafango’onino onoyali ena loola la mbongi enakolana.
MAT.6.1	Boongya lilenda, botongoyila bikambwa binino bina mbongi en’oso bon’ato, lacin’iyo baene; yombo bila nd’oho, bofaate boluko eneyali Bafango’onino onoyali ena loola.
MAT.6.2	Lacin’eho, enakaf’e nganji in’isei, tafomake bopate en’oso’one, yok’on’ila besimo ena basunagoga l’ena mboka, lacina baate lokumo eneyali bato. Solosolo, lakosumol’ino, iyo bamosila litamba boluko’oniyo. 
MAT.6.3	Koko enakaf’e nganji in’isei, talangake likasa line y’ooli yeye ekambwa enakamba likasa line y’ome; 
MAT.6.4	lacina nganji in’isei ifame ena lokuko; ko Bafango’one on’ena ena lokuko angokolukola.
MAT.6.5	Ko en’ond’ino, botayalake l’okotua bon’esimo. Iyo balanga baemale ko baonde ena basunagoga l’en’atanu’a mboka, lacina baenya eneyali bato. Solosolo, lakosumol’ino, iyo bamosila litamba boluko’oniyo. 
MAT.6.6	Koko e, en’ond’e, tuaka en’etenyi ene ena lokuko, ko komb’otumba; koko meho onda Bafango’one onoyali ena lokuko, ko Bafango’one on’ena ena lokuko angokolukola. 
MAT.6.7	En’ond’ino, botaondake la baoyi bana njemba njemba, yoka bosamb’on’ond’iy’anafeya Yakomba: iyo bakanel’oka bangokana lacin’ena bitendelo biniyo bike. 
MAT.6.8	Lacin’eho, botayalake l’okotua’oniyo; lacina Bafango’onino ameya toma tonatoind’ino kum’ino botuufola. 
MAT.6.9	Lacin’eho, boonda yok’one: Bafango’oniso onoyali ena loola, lina line likumyame, 
MAT.6.10	lifoka line liye, eango ene eilame ena loko yoka bosamb’on’ilama eho ena loola. 
MAT.6.11	Otofe toma toniso tona bina l’ina. 
MAT.6.12	Ko ototungole ena besilo beniso, yoka bosambo bonatungol’iso banayali l’esilo l’iso. 
MAT.6.13	Tatotolake ena lomeko, ohonde ototungole eneyali On’owe; lacina lifoka liyali line, ko mpamba eyali ene, ko lokumo loyali lone, bisike la bisike. Ndoho. 
MAT.6.14	Yomb’ino botungol’ato en’akambo’aniyo, Bafango onino onoyali ena loola angokotungol’ino. 
MAT.6.15	Koko yomb’ino bofatungol’ato en’akambo’aniyo, Bafango’onino afakotungolak’ino en’akambo’anino.
MAT.6.16	Koko enakil’ino toma, botacingyake bilongi yoka bosamb’on’ila bato ban’esimo: iyo baehya bilongi biniyo lacina baenya eneyali bato yoka bakila toma. Solosolo, lakosumol’ino, iyo bamosila litamba boluko’oniyo. 
MAT.6.17	Koko e, enakil’e toma, okya bote’one bauta, ko song’elongi ene; 
MAT.6.18	lacina ofenya eneyali bato yoka okila toma: oenya nk’eneyali Bafango’one onoyali ena lokuko; koko Bafango’one on’ena ena lokuko angokolukola.
MAT.6.19	Botayomonyedyake inoamene lituka ena loko en’eha liho la tocingocingo ko la mbakwako, ko enatua baiya oyiya lituka. 
MAT.6.20	Boyomonyedyak’inoamene lituka ena loola, enefana tocingocingo la mbakwako oyehya, ko enefatua baiya oyiya lituka. 
MAT.6.21	Lacina enamonyama lituka line, botem’one bongoyala nkwaho. 
MAT.6.22	Moinda ena yonge nko liso. Lacin’eho, yombo liso line liyali sengelele, yonge line lihalitu lingofolala. 
MAT.6.23	Koko yombo liso line liyali nko bowe, yonge line lihalitu lingoyala bilima mene. Lacin’eho, yombo fololo eneyali ena ntoto ene eyali nko bilima, bilima boho boseki bike. 
MAT.6.24	Efan’oto onokambelisa banyangetuke bafe: yombo angok’emoi bowe, ko angolang’ekina; yombo angundamel’emoi ko atembol’ekina. Ino bofakambelisa Yakomba ko la lituka. 
MAT.6.25	Lacin’eho, lakosumol’ino, botakandakandake lacin’ena liiko lonino, lacin’ena toma tatong’in’ola la bimeelo bining’in’omela; koko botakandakandake lacin’ena yonge, lacin’ena bisenda bining’in’olota. Liiko lofaleki nde toma? ko yonge lifaleki nde bisenda? 
MAT.6.26	Bolenda mpulu ina liko: iho ifafuse, ko ifanuke, ko ifasusanya toma ena betumba ben’emonyedyo: Bafango’onino onoyali ena loola amafa toma. Ino bofaleki nde mpulu? 
MAT.6.27	Boto’onino onokolana lifudya botale’onande la bokandokando oka nai? 
MAT.6.28	Ko bokandakanda lacin’ena bisenda lanai? Bokanela befusi beneyali ena lisala l’okotua bonamela beho: befusi befasale, ko befafom’isenda; 
MAT.6.29	koko lakosumol’ino Solomona ena bokombe bonande bohotu atalotsama yoka bosamb’onoyali bofusi’one bomoko. 
MAT.6.30	Ko yombo Yakomba aolotsa tolenge tona basala yok’osamb’oho, tolenge tonatomela bon’in’one, koko tookama loi en’etumbelo, in’anayali l’imeedyo nk’isisali kei, afaleki nde okolots’ino bisenda? 
MAT.6.31	Lacin’eho, botakandakandake, ko botilake mbo, Tongola nai? ko tongomela nai? ko tongolota nai? 
MAT.6.32	Lacina banakemba toma tone tohatotu nko Befenda: Bafango’onino onoyali ena loola amey’oka ino boinda tome tone tohatotu. 
MAT.6.33	Koko bokemba en’oso mene lifoka linande ko la mbongi enande; ko toma tone tohatotu tongokokokedyama. 
MAT.6.34	Lacin’eho, botakandakandake lacin’ena loi; bin’ona loi bongokandakanda lacin’ena baoyi banandamene. Bowe bona bina l’ina bokoli la bin’oho.
MAT.7.1	Botakoedyake bato baoyi, botokoedyama inoamene baoyi. 
MAT.7.2	Lacina bangokokoedy’ino nko l’okotua bonakody’ino; ko bangokeledy’ino nko la lelelo lon’eledy’inoamene. 
MAT.7.3	Ko olenda ifumbufumbu iniyali ena liso lin’efili ene, ko ofakanele botondo bonoyali ena liso lineamene lanai? 
MAT.7.4	E onoyali l’otondo ena liso lineamene, ongosumola efili ene, ate, Nkofoedya ifumbufumbu iniyali ena liso line, yok’osamb’oya? 
MAT.7.5	Ebosimo! fodya botondo ena liso lineamene en’oso, ko ombena fololo lacina ofodya ifumbufumbu ena liso lina efili ene.
MAT.7.6	Botafake mbwa toma tonatoekyama en’oeka; ko botafusake perles en’oso’ona nsombo, itongoyikamel’iho, ko itohalingwa oyokook’ino mpota.
MAT.7.7	Bufola, ko engofama eneyal’ino; bofona, ko bongosungya; bofomela, ko lokombo longokombolama eneyal’ino. 
MAT.7.8	Lacina boto l’oto onufola aotamba, ko boto l’oto onofona aena, ko lokombo lokombolama eneyal’ende onofomela. 
MAT.7.9	Yombo bona bon’oto’omoi’onino alomb’afango lomata, boto’onino onongofa lufe oka nai? 
MAT.7.10	Yombo bona alomba nse, angofa njua? 
MAT.7.11	Yomb’ino bato ban’owe beya lifa ban’anino nganji in’olotsi, Bafango’onino onoyali ena loola afaleki nde yaf’iyo banalomb’ende toma ton’olotsi? 
MAT.7.12	Lacin’eho, baoyi ban’etaketaka banalang’ino bato bakilel’ino, bilela bato nko baoyi’aho; lacina bokotua bon’aoyi ban’asangya l’an’asumoli bahatu nd’oho.
MAT.7.13	Botuaka en’ofolo bona nkaka; lacina mboka eneyacu en’eehedyo eyali fololo mene, ko bofolo bona mboka eho bond’okolo, ko iy’anatua meho band’ike. 
