MAT.1.1	Ọnwan wụ ẹkụkwọ banyeni Jizọsị wụ Kraịstị hụn wụ nwa Defidi, nwa Ebraham.
MAT.2.16	Ogẹn Hẹrọdụ gi hụn nị ndị hụ marịn ẹnya kokisẹ e mẹọlẹ ẹ ẹro, eje-olulu nọ bu ẹ. Ọ nọ zi ndị o zi, wẹ nọ jẹn d'e gbupụ ụmụẹka ikẹnnyẹ ile rị Bẹtilẹhẹm lẹ ẹgbẹrẹ hụ ile, ikẹnnyẹ ndị hụn rị gha ahụa ẹbụọ lụa alị. Ogẹn hụn ndị hụ marịn ẹnya kokisẹ gwa a k'o kwọndọn ẹka mẹ ihiẹnni o mẹ.
MAT.2.17	Ya kẹ ihiẹn Osolobuẹ gi onyẹ-amụma wụ Jerimaya ku gi mẹzu, nị
MAT.2.18	“Olu ẹkwan rị a pụ imẹ Rama:
MAT.2.18	a kwan, e goo ntan, e goo imọn.
MAT.2.18	Rechẹlụ rị a kwan ụmụ a;
MAT.2.18	ọ nịnị wẹ hụhụ a,
MAT.2.18	makẹni a nwụnchanrịngụọ wẹ.”
MAT.2.19	Ogẹn Hẹrọdụ gi nwụnhụngụ, mmọn-ozi Di-nwọnni-ẹnyi nọ bịa d'e kunrun Josẹfụ imẹ nrọ imẹ alị Ijiptu, 
MAT.2.20	sị a, “Lihi n'i weri nwata hụ lẹ nnẹ ẹ shi alị Izrẹlụ, makẹni ndị rị a chọ nị wẹ gbu nwata hụ a nwụnhụngụọ.” 
MAT.2.21	O tẹnhin, weri nwata hụ lẹ nnẹ ẹ shi alị Izrẹlụ.
MAT.2.22	Kanị, ogẹn o gi nụ nị Akịlawusu rikin nẹdi ẹ wụ Hẹrọdụ eze, a kị Judia, egun anịn'a jẹn ebẹhụ. A dọgụzị w'a ẹka-ntịn imẹ nrọ, ọ nọ shi ẹgbẹrẹ Galili. 
MAT.2.23	Ọ nọ jẹn d'e biri imẹ obodo w'a kpọ Nazarẹtị. Ẹrịra kẹ ihiẹn ahụn ndị-amụma ku nị “Wẹ jẹnkọ d'a kpọ a onyẹ Nazarẹtị” dọn mẹzu.
MAT.3.1	Ogẹn hụ, Jọnụ hụn e mẹ mirin-Chuku nọ pụha imẹ atụ
MAT.3.2	“Rogharị nị,
MAT.3.2	makẹni alị-eze elu-igwee a bịagụọ d'a kịma!”
MAT.3.3	Makẹni, Jọnụ hụn e mẹ mirin-Chuku kẹ onyẹ-amụma wụ Azaya ku oku ẹ ogẹn o gi sị,
MAT.3.3	“Olu rị a pụ imẹ atụ,
MAT.3.3	a sị,
MAT.3.3	‘Kwa nị nị Di-nwọnni-ẹnyi ụzọ;
MAT.3.3	mẹmẹ ni ụzọ a n'o zinrin.’ ”
MAT.3.4	Ẹwuru wẹ gi ẹṅẹnrẹn anyịnyan-mkpukpuke wụ kamẹlụ mẹmẹ kẹ Jọnụ e yi; akpụkpọ-anụ kẹ wẹ gi mẹmẹ akpụkpọ-ukun ẹ; igurube lẹ mirin-ẹnwụn rị ọfịa k'o ri.
MAT.3.5	Ndị Jerusalẹm lẹ ndị Judia ile lẹ obodo ile nọkunmẹ Iyi Jọdanị hụ e jẹn d'e kunrun ẹ. 
MAT.3.6	Wẹ hụ e ku njọ wẹ mẹ, ọ hụ e mẹ wẹ mirin-Chuku imẹ Iyi Jọdanị.
MAT.3.7	Kanị, ogẹn o gi hụn kẹ ndị bu ọda imẹ ndị itu-Farisi lẹ ndị itu-Sadusi rị a bịa n'o mẹ wẹ mirin-Chuku, ọ nọ sị wẹ, “Igunrun agwọ! Onyẹ sị ụnụ gba nị iwe lẹ ọnụma Osolobuẹ lalanị ọsọ?! 
MAT.3.8	Mịkwọ nị mkpụrụ ghọsị nị ụnụ e rogharịgụọ; 
MAT.3.9	atụkwọlẹ ni enwẹn ụnụ ntụ, a sị, ‘Ebraham wụ nẹdi ẹnyi nụ!’ Makẹni, m rị a gwakwọ ụnụ, Osolobuẹ k'a saẹka gi ọmụma ndịnị ye Ebraham ụmụ.” 
MAT.3.10	Anyụn rị nwan ukun osisi, e che: osisi ọwụlẹ mịlẹni ezigbo mkpụrụ, e gbutu w'ẹ tụye ọkụn.
MAT.3.11	“Mmẹ nwẹn gi mirin-mmaka e mẹ ụnụ mirin-Chuku ụnụ gi a ghọsị nị ụnụ e rogharịgụọ. Kanị, onyẹ hụn sọnla m azụụn ka m ọhụnma-ọhụnma; erudẹni m onyẹ e bu akpụkụ a! Mmọn-nsọ lẹ ọkụn kẹ ya nwẹn k'e gi mẹ ọnụ mirin-Chuku. 
MAT.3.12	Ihiẹn o gi a fụchan ọka rị a ẹka: o k'a fụchanchanrịn ọka ile rị ebe ọ nọ a kụkpọ ọka a, kpọnrin ọka a ile ye ebe o butọ ọka, kpọn ẹfịfịa ọka che imẹ ọkụn hụ ghalẹni e tinyụn.” 
MAT.3.13	Ogẹnni kẹ Jizọsị gi gha Galili bịa Iyi Jọdanị d'e kunrun Jọnụ kẹni Jọnụ mẹ ẹ mirin-Chuku. 
MAT.3.14	Jọnụ e te kweni, ọ sị Jizọsị, “Ịyụ furu hụn k'e mẹ m mirin-Chuku, kanị yụ bịa nwan d'e kunrun m nị mẹ i?”
MAT.3.15	Kanị Jesu nọ sị, “Hapụ a nọ rị ẹrịra kikẹnni; o furu ni ẹnyi mẹkwama ihiẹn ile Osolobuẹ chọ.” Ya kẹ Jọnụ nọ nwan kweri mẹ ẹ mirin-Chuku.
MAT.3.16	Jọnụ e mẹgụ Jizọsị mirin-Chuku, hụn Jizọsị gihụ gha imẹ mirin pụla, elu-igwee nọ kpupụ idẹnmizi; ọ nọ hụn Mmọn Osolobuẹ k'ọ lala rịkẹ nduru, ọ nọ bịa d'e bekwasị a.
MAT.3.17	Ya kẹ olu nọ gha elu-igwee sị, “Ọnwan wụ ezi Nwa m, hụn ihiẹn ẹ a sụọ m ọhụnma-ọhụnma.”
MAT.4.1	Ya kẹ Mmọn-nsọ nọ duru Jizọsị shi imẹ atụ kẹni Ekwensụ nwan a. 
MAT.4.2	Jizọsị bu ọnụ ukinkin lẹ efinnaị, ọrọgbọ akpọhịn ọgụnnaị; omẹgụ, ẹgụn nọ gụnma a. 
MAT.4.3	Ya kẹ onyẹ-ọnwụnwan hụ nọ bịa, sị a, “Omẹni ịyụ wụ Nwa Osolobuẹ, sị ọmụma ndịnị họnrinsọnmẹ ogbe brẹdi.”
MAT.4.4	Kanị Jesu nọ sị a, “E degụọ w'a imẹ Ẹkụkwọ-nsọ, sị, ‘Ẹlẹ ihiẹn-oriri sụọ kẹ ịhịan gi a rị ndụn, kanị ihiẹn ile hụn gha Osolobuẹ ọnụ pụha.’ ”
MAT.4.5	Ya kẹ Ekwensụ nọ we ẹ shi imẹ obodo nsọ wụ Jerusalẹm, w'ẹ tumẹ mkpọnụnụ Ụlọ-nsọ, 
MAT.4.6	sị a, “Omẹni ịyụ wụ Nwa Osolobuẹ, wụtu. Makẹni, e degụọ w'a imẹ Ẹkụkwọ-nsọ, sị,
MAT.4.6	‘O k'a gwa ndị mmọn-ozi ẹ oku i,
MAT.4.6	a ghọdọn wẹ i,
MAT.4.6	amamgbe y'a kpọ ụkụ ọmụma.’ ”
MAT.4.7	Jizọsị nọ sị a, “E degụọzị w'a imẹ Ẹkụkwọ-nsọ, sị,
MAT.4.7	‘Elelekwọlẹ Di-nwọnni-ẹnyi wụ Chuku i ọnụ.’ ”
MAT.4.8	Ekwensụ nọ werizi ẹ shi elu-ugu jẹngbu enwẹn ẹ elu, ghọsịkwama a alị-eze ile rị ụwa lẹ ọghọ wẹ, 
MAT.4.9	sị a, “M k'e ye i ihiẹn ndịnị ile, omẹni y'a kụnị m isi alị.”
MAT.4.10	Ya kẹ Jizọsị nọ sị a, “Ekwensụ, pụ ebeni! Makẹni, e degụọ w'a imẹ Ẹkụkwọ-nsọ, sị,
MAT.4.10	‘Osolobuẹ wụ Chuku i k'i k'a kụnị isi-alị;
MAT.4.10	ịya sụọ k'i k'e fe.’ ”
MAT.4.11	Ya kẹ Ekwensụ nọ la Jizọsị tọ, ndị mmọn-ozi nọ bịa d'e ye ẹ ihiẹn rị a mkpa.
MAT.4.12	Ogẹn Jizọsị gi nụ nị a tụgụọ wẹ Jọnụ ngan, ọ nọ gha Judia pụ, shi Galili. 
MAT.4.13	Ọ nọ gha Nazarẹtị rị Galili pụ, ọ nọ jẹn d'e biri imẹ obodo Kapanọm hụn rịzị Galili, mkpẹnrẹn mirin Galili, ẹgbẹrẹ Zẹbulọnụ lẹ Naf'tali. 
MAT.4.14	Ya kẹ ihiẹn onyẹ-amụma wụ Azaya ku nọ mẹzu. Azaya sị,
MAT.4.15	“Alị Zẹbulọnụ lẹ alị Naf'tali,
MAT.4.15	hụn rị ụzọ Ohimin —
MAT.4.15	wẹ fetugụ Iyi Jọdanị;
MAT.4.15	Galili, alị ndị wụlẹni ndị Ju jun!
MAT.4.16	Ndị bi imẹ ishi
MAT.4.16	a hụnọlẹ okẹn ukpẹ;
MAT.4.16	ukpẹ e nwunmẹgụọnị
MAT.4.16	ndị bi ebe ọnwụn nọ a kpọ wẹ ihun.”
MAT.4.17	Jizọsị nọ gha ogẹn hụ zimẹ ozi, a sị, “Rogharị nị, makẹni alị-eze Osolobuẹ a rịgụọ nsue!”
MAT.4.18	Ogẹn Jizọsị gi ghakọ mkpẹnrẹn mirin Galili, ọ nọ hụn umunẹ ẹbụọ, Saịmọnụ hụn w'a kpọ Pita lẹ Andrụ nwẹnẹ ẹ, ebe wẹ rị a tụ ọga e ye imẹ mirin ahụn, makẹni ndị e gbu azụn kẹ wẹ wụ. 
MAT.4.19	Ọ nọ sị wẹ, “Sọnmẹ ni m, m jẹnkọ d'e mẹ ụnụ wụrụ ndị e wẹhẹ ịhịan nọkẹ azụn.” 
MAT.4.20	Ya wẹ nọ la ọga wẹ gi e gbu azụn tọ ozigbo, sọnmẹ ẹ. 
MAT.4.21	Ogẹn Jesu gi jẹnshi ihun, ọ nọzị hụn umunẹ ẹbụọ, Jemisi nwa Zẹbẹdi lẹ Jọnụ nwẹnẹ Jemisi; uwẹ lẹ nẹdi wẹ rị imẹ ụgbọ, e dọnzi ọga wẹ gi e gbu azụn; ọ nọ kpọ wẹ ẹbụbụọ. 
MAT.4.22	Wẹ nọ latọ ụgbọ-mirin hụ lẹ nẹdi wẹ, sọnmẹ ẹ ozigbo.
MAT.4.23	Jesu nọ ghagbarị Galili ile, a kuzi imẹ ụlọ-ofufe ndị Ju, e zi oziọma Alị-eze, a zụọ wẹ emu lẹ ọrịa ile rị ichẹn-ichẹn wẹ bu. 
MAT.4.24	Ya kẹ otiti ẹ nọ kpọgbarị alị Siria ile; wẹ hụ e wẹhẹn'ẹ ndị ile emu rị a kụ, ndị bu ọrịa ichẹn-ichẹn lẹ ndị ihiẹn rị a tụrụ, ndị eje-mmọn rị e ye nsọngbu, ndị ibobo (odudu) lẹ ndị ọrọ, ọ nọ zụọ wẹ. 
MAT.4.25	Igunrun hi-ogbe gha Galili lẹ Obodo iri ahụn nọgbamanị wụ Dikapolisi lẹ Jerusalẹm lẹ Judia lẹ nfetu Iyi Jọdanị bịa nọ sọnmẹ ẹ.
MAT.5.1	Ogẹn Jesu gi hụn igunrun hụ rị e sọnn'ẹ, ọ nọ shi elu òke rị ebẹhụ, nọdị alị, ndị nsọnmazụụn a nọ bịa d'e kunrun ẹ.
MAT.5.2	Ya Jesu nọ kuzimẹ igunrun hụ ile, sị,
MAT.5.3	“Ngọzi wụ nke ndị la enwẹn wẹ
MAT.5.3	tọnị Osolobuẹ nọkẹ igbẹnnyẹ,
MAT.5.3	makẹni Alị-eze elu-igwee wụ nke wẹ!
MAT.5.4	Ngọzi wụ nke ndị hụn rị a kwannị,
MAT.5.4	makẹni wẹ jẹnkọ d'a rọkọ wẹ obi.
MAT.5.5	Ngọzi wụ nke ndị hụn e welụa enwẹn wẹ alị,
MAT.5.5	makẹni wẹ sikọ d'e nwọnrin ụwa ile.
MAT.5.6	Ngọzi wụ nke ndị ọ rị a gụn
MAT.5.6	nị ihiẹn rị kẹ Osolobuẹ dọn chọ,
MAT.5.6	a gụn wẹ kẹ ihiẹn-oriri lẹ ihiẹn-ọrịra;
MAT.5.6	ẹfọ jẹnkọ d'e jun wẹ.
MAT.5.7	Ngọzi wụ nke ndị hụn e mẹ omikẹn,
MAT.5.7	makẹni wẹ sikọ d'e mẹni wẹ omikẹn.
MAT.5.8	Ngọzi wụ nke ndị obi wẹ rị ọchan,
MAT.5.8	makẹni wẹ sikọ d'a hụn Osolobuẹ.
MAT.5.9	Ngọzi wụ nke ndị hụn e mẹ ni udọn rị,
MAT.5.9	makẹni wẹ sikọ d'a kpọ wẹ ụmụ Osolobuẹ.
MAT.5.10	Ngọzi wụ nke ndị wẹ rị e kpokpo
MAT.5.10	makẹni wẹ rị e mẹ ihiẹn Osolobuẹ chọ:
MAT.5.10	Alị-eze elu-igwee wụ nke wẹ.
MAT.5.11	“Ngọzi wụ nke ụnụ wẹ gha a kpari ụnụ, e kpokpo ụnụ,
MAT.5.11	e gi ufiri m e buo ụnụ eje-ihiẹn ile rị ichẹn-ichẹn.
MAT.5.12	Ghọghọ nị; ẹfọ ya sụọ ụnụ ụsụọ —
MAT.5.12	makẹni ụgwọ-ọrụn ụnụ hi-ogbe imẹ elu-igwee!
MAT.5.12	Ẹrịra kẹ wẹ kpokpozi ndị-amụma buni ụnụ ụzọ.
MAT.5.13	“Ụnụ wụ nnu ụwa. Kanị, omẹni nnu asụọzịnị ụsụọ, nị wẹ s'ẹka mẹ ẹ sụọmazị ụsụọ? Onwọnzini ihiẹn wẹ gi ẹ e mẹ, karị ikpọn ẹ tuhu, a zọgbumẹ wẹ ẹ.
MAT.5.14	“Ụnụ wụ ukpẹ ụwa. Obodo wẹ tụnye elu òke asakọ ẹka zueri. 
MAT.5.15	Ẹrịra k'ọ rịzị nị ịhịan ara mụyegụ ukpẹ, zuemẹ ẹ ye okpuru afẹrẹ; kama, w'e bu ẹ e che elu ihiẹn, ịhịan ile rị imẹ ụlọ e gi ẹ legha ụzọ. 
MAT.5.16	Ẹrịra kẹ ụnụ k'a nịzị ukpẹ ụnụ e nwun hụn ịhịan e legha, kẹni wẹ a hụn ọrụn-ọma ụnụ, e gi ẹ a ja Nẹdi ụnụ rị elu-igwee mma.
MAT.5.17	“Erokwọlẹ ni nị m bịa d'a kagbu Iwu Mozizi mọbụ ihiẹn ndị-amụma de. Abịanị m d'a kagbu wẹ, kama, m bịa d'e mẹzu wẹ. 
MAT.5.18	Makẹni, m rị a gwa ụnụ ezioku, d'e ru ni elu-igwee lẹ ụwa a ghafe, onwọnni mkpụrụ-ẹkụkwọ ọwụlẹ rị imẹ Iwu mọbụ ihiẹn ọwụlẹ wẹ vinyehụ mkpụrụ-ẹkụkwọ, hụn wẹ jẹnkọ d'a kagbu — d'e ru nị ihiẹn ile rị Iwu e mẹzuchanrịn. 
MAT.5.19	Ya wụ nị onyẹ nu hụn ọwụlẹ imẹ iwu ndịnị ye nkọ, a kuzi ịhịan ẹrịra, wẹ sikọ d'a kpọ hụnyẹ onyẹ kachanrịn ntịn imẹ Alị-eze elu-igwee. Kanị, onyẹ rị e dọnmẹ wẹ, a kuzi wẹ, wẹ sikọ d'a kpọ a okẹn-ịhịan imẹ Alị-eze elu-igwee. 
MAT.5.20	M rị a gwa ụnụ, mmanị ezi-omumẹ ụnụ ka nke ndị-nkuzi Iwu lẹ ndị Itu-Farisi, ụnụ asakọ ẹka banye Alị-eze elu-igwee.
MAT.5.21	“Ụnụ a nụgụọ nị wẹ sị ndị akan, ‘Egbulẹ ni ọchụn; onyẹ gbu ọchụn, a ma w'a ikpe.’ 
MAT.5.22	Kanị, m rị gwa ụnụ nị onyẹ budẹni nwẹnẹ ẹ olulu
MAT.5.23	“Ya wụ, omẹni ị wẹhẹ oyiye i ebe wẹ nọ e ye oyiye, nị y'a nọ ebẹhụ nyanhan nị nwẹnẹ i rị e wen'i iwe makẹ ihiẹn i mẹ ẹ, 
MAT.5.24	lagụ oyiye i tọ ebẹhụ wẹ nọ e ye oyiye; jẹn, ni ịyụ lẹ nwẹnẹ i sụọkingụ, i kebe kinhẹn d'e ye oyiye i.
MAT.5.25	“Ịyụ lẹ onyẹ ikpe i sụọkin ẹgwa, ebe ụnụ kelẹni ru ọgwa, amamgbe o we i ye ọka-ikpe, ọka-ikpe e we i ye (ụlakpa) onyẹ ẹwuru-ogi, a tụ wẹ i ye ụlọ-ngan. 
MAT.5.26	M rị a gwa ị ezioku, y'a pụhakọ ngan d'e ru mgbe ị kụgụ ịkọbọ ikpanzụụn wẹ be i.
MAT.5.27	“Ụnụ a nụgụọ nị wẹ sị ndị mbụ, ‘Aghẹrẹlẹ.’ 
MAT.5.28	Kanị mmẹ lẹ enwẹn m rị a gwa ụnụ nị onyẹ lee okpoho ẹnya, ọ la a ẹnya, e mẹgụọlẹ mgba a imẹ obi ẹ. 
MAT.5.29	Omẹni ẹnya ẹka-nni i a han ị e mẹ njọ, gụpụ a tuhu. Ọ ka ị mma nị mkpamkpa ẹhụ ị ohu arịzị a, karị nị wẹ tụ ẹhụ ị ile ye ọkụn-mmọn. 
MAT.5.30	Omẹni ẹka-ihiẹn i a han ị e mẹ njọ, bepụ a tuhu. Ọ ka ị mma nị mkpamkpa ẹhụ ị ohu arịzị a, karị nị wẹ tụ ẹhụ ị ile ye imẹ ọkụn-mmọn.
MAT.5.31	“Wẹ te sịzịkwọ, ‘Onyẹ kpechan nwunyẹ ẹ, ya ye ẹ ẹkụkwọ mkpechan.’ 
MAT.5.32	Kanị mmẹ nwẹn rị a gwa ụnụ nị onyẹ kpechan nwunyẹ ẹ bụ ẹlẹni nwunyẹ ẹ zọ ụkụ ye ọfịa, hụnyẹ rị e mẹ ẹ n'ọ zọ ụkụ ye ọfịa. Onyẹ lụ okpoho wẹ kpechan a nagụọ nwunyẹ ịhịan.
MAT.5.33	“Ụnụ a nụzịghọ nị wẹ sị ndị akan, ‘Ekunlẹ ẹfan Osolobuẹ bụ y'e mẹni ihiẹn i kwe nkwa a; i k'e mẹrịrịnị Osolobuẹ ihiẹn i kwe nkwa a.’ 
MAT.5.34	Kanị mmẹ lẹ enwẹn m sị ụnụ, ekunlẹ ihiẹn ọwụlẹ, kaka. Ekunlẹ elu-igwee, makẹni ịya wụ ukpo-eze Chuku; 
MAT.5.35	ekunlẹ ụwa, makẹni ịya k'ọ tụkwasị ụkụ; ekunlẹ Jerusalẹm, makẹni ịya wụ obodo Eze uku hụ; 
MAT.5.36	ekundẹlẹ isi i, makẹni y'a saẹka mẹ ntutu ohu chanma ụchan mọbụ gimẹ ngi. 
MAT.5.37	Sịhụ ‘Ẹghẹẹ’ mọbụ ‘Mba’; ihiẹn ọwụlẹ karị ọnwan gha ẹka Eje-onyẹ hụ bịa.
MAT.5.38	“Ụnụ a nụgụọ nị wẹ sị, ‘Onyẹ tikpọ ịhịan ẹnya ohu, wẹ tikpọgwarị a ẹnya ohu; onyẹ tikwọn ịhịan eze ohu, wẹ tikwọngwarị a eze ohu.’ 
MAT.5.39	Kanị, mmẹ nwẹn sị ị, ịhịan bịangbu i, esọnlẹ ẹ dọ. Kama, onyẹ ma ị ọra nti ẹka-nni, y'e bu nti hụn-ẹbọ zimẹn'ẹ. 
MAT.5.40	Onyẹ chọ n'o kpe i narịn ị ẹwuru i yi imẹ, nịzị a weri hụn i yiye elu ẹ. 
