GEN.1.1	Ha tinikangan, han pagtuha han Dyos han bug-os nga kalibutan ug han mga butang ha kalangitan
GEN.4.21	An iya bugto amo hi Jubal nga ginikanan han ngatanan nga mga musikero nga nagtutukar han arpa ngan han plauta. 
GEN.4.22	Nag-anak hi Zila kan Tubal-cain nga maghirimo hin magkalainlain nga mga garamiton
GEN.4.23	Ginsiring ni Lamec an iya kaasaw-an,
GEN.4.23	“Ada ug Zila, pamatii ako.
GEN.4.23	Nakamatay ako hin batan-on nga lalake kay ginsuntok ako niya.
GEN.4.24	Kon pito nga kinabuhi an iginbabayad para hin pagpatay kan Cain,
GEN.4.24	setentay siete nga kinabuhi an igbabayad kon pagpatayon ako.”
GEN.4.25	Nag-anak liwat hin lain nga lalake hira Adan ngan han iya asawa. Nagsiring hi Eva kan Adan, “Gintagan ako han Dyos hin usa nga anak nga lalake nga liwan kan Abel nga ginpatay ni Cain.” Sanglit iya ginngaranan nga Set
GEN.4.26	May-ada usa nga anak nga lalake hi Set nga ginngaranan niya nga Enos. Amo adto an panahon nga nagtikang an mga tawo hin pagsangpit ngan pagsingba han baraan nga ngaran han 
GEN.5.1	Amo ini an lista han mga tulin ni Adan. (Han pagtuhaa han Dyos han mga tawo, iya ginhimo hira nga ladawan han Dyos. 
GEN.5.2	Iya gintuha hira nga lalake ug babaye, ginbendisyonan hira, ngan ginngaranan hira nga “Tawo”.) 
GEN.5.3	Han 130 na an panuigon ni Adan, nagkamay-ada hiya usa nga anak nga lalake nga supo gud ha iya, ngan iya ginngaranan nga Set. 
GEN.5.4	Kahuman katawo ni Set, nabuhi pa hi Adan hin 800 ka tuig. May-ada pa hiya iba nga mga anak, 
GEN.5.5	ngan namatay hiya ha panuigon nga 930.
GEN.5.6	Han 105 na hi Set, nagkamay-ada hiya anak nga lalake nga hi Enos, 
GEN.5.7	ngan nabuhi pa hi Set hin 807 ka tuig. May-ada pa hiya iba nga mga anak, 
GEN.5.8	ngan namatay hiya ha panuigon nga 912.
GEN.5.9	Han 90 na hi Enos, nagkamay-ada hiya anak nga lalake nga hi Kenan, 
GEN.5.10	ngan nabuhi pa hi Enos hin 815 ka tuig. May-ada pa hiya iba nga mga anak, 
GEN.5.11	ngan namatay hiya ha panuigon nga 905.
GEN.5.12	Han 70 na hi Kenan, nagkamay-ada hiya anak nga lalake nga hi Mahalalel, 
GEN.5.13	ngan nabuhi pa hi Kenan hin 840 ka tuig. May-ada pa hiya iba nga mga anak, 
GEN.5.14	ngan namatay hiya ha panuigon nga 910.
GEN.5.15	Han 65 na hi Mahalalel, nagkamay-ada hiya anak nga lalake nga hi Jared, 
GEN.5.16	ngan nabuhi pa hi Mahalalel hin 830 ka tuig. May-ada pa hiya iba nga mga anak, 
GEN.5.17	ngan namatay hiya ha panuigon nga 895.
GEN.5.18	Han 162 na hi Jared, nagkamay-ada hiya anak nga lalake nga hi Enoc, 
GEN.5.19	ngan nabuhi pa hi Jared hin 800 ka tuig. May-ada pa hiya iba nga mga anak, 
GEN.5.20	ngan namatay hiya ha panuigon nga 962.
GEN.5.21	Han 65 na hi Enoc, nagkamay-ada hiya anak nga lalake nga hi Matusalem. 
GEN.5.22	Kahuman katawo ni Matusalem, hi Enoc nag-ataman han Dyos sulod hin 300 ka tuig, ngan nagkamay-ada hiya iba pa nga mga anak. 
GEN.5.23	Nakaabot hiya hin panuigon nga 365. 
GEN.5.24	Nag-ataman hiya han Dyos ha bug-os niya nga kinabuhi ngan katapos waray na hikit-i hiya, kay ginkuha hiya han Dyos.
GEN.5.25	Han 187 na hi Matusalem, nagkamay-ada hiya anak nga lalake nga hi Lamec, 
GEN.5.26	ngan nabuhi pa hi Matusalem hin 782 ka tuig. May-ada pa hiya iba nga mga anak, 
GEN.5.27	ngan namatay hiya ha panuigon nga 969.
GEN.5.28	Han 182 na hi Lamec, nagkamay-ada hiya anak nga lalake, 
GEN.5.29	ngan nagsiring hiya, “Tikang han tuna nga gintunglo han 
GEN.5.30	Nabuhi pa hi Lamec hin 595 ka tuig. May-ada pa hiya iba nga mga anak, 
GEN.5.31	ngan namatay hiya ha panuigon nga 777.
GEN.5.32	Han pag-abot ni Noe hin panuigon nga 500, nagkamay-ada hiya tulo nga mga anak nga kalalaken-an: hira Sem, Ham, ug Jafet.
GEN.6.1	Hadto nga panahon nagdamo na an mga tawo ha bug-os nga kalibutan, ngan may-ada nira mga anak nga kababayen-an. 
GEN.6.2	Hinkit-an hin pira nga mga langitnon nga binuhat
GEN.6.3	Niyan nagsiring an 
GEN.6.4	Hadto nga mga adlaw, ngan bisan ha orhe na, may-ada mga higante dinhe ha tuna, nga mga tulin hin kababayen-an nga sugad ha aton ngan hin mga langitnon nga mga binuhat. Amo hira an mga gamhanan ngan bantogan nga kalalaken-an hadto nga kadaan nga panahon.
GEN.6.5	Han pakasabot han 
GEN.6.6	nagbasol hiya nga iya ginhimo hira ngan iginbutang hira dinhe han tuna. Dako gud an iya pagbasol, 
GEN.6.7	sanglit nakasiring hiya, “Pagpupuohon ko ini nga mga tawo nga akon gintuha, pati an kamanampan, ngan an katamsihan, kay nagbabasol ako nga ginhimo ko hira.” 
GEN.6.8	Kundi hi Noe nakalipay han 
GEN.6.9+GEN.6.10	Amo ini an susumaton mahitungod kan Noe. May-ada hiya tulo nga mga anak nga kalalaken-an: hira Sem, Ham, ug Jafet. Matadong nga tawo hi Noe ha atubangan han Dyos ngan maupay gud nga tawo hadto nga panahon. Nag-ukoy hiya hin kinabuhi nga nakalipay han Dyos, 
GEN.6.11	kundi magraot gud an ngatanan nga iba nga mga tawo ha atubangan han Dyos, ngan nakaluob na an ira kamaraot ha ngatanan nga dapit. 
GEN.6.12	Kinmita an Dyos han kalibutan ngan hinsabotan niya nga maraot gud ini, kay diri na matadong an kinabuhi han ngatanan nga mga tawo.
GEN.6.13	Nagsiring an Dyos kan Noe, “Karuyag ko na gud pagpuo han ngatanan nga mga tawo. Pagpupuohon ko hira, kay puno na an kalibutan han ira magraot nga mga binuhatan. 
GEN.6.14	Paghimo hin arka para ha imo ngahaw tikang hin pinili nga kahoy; himoi ini hin mga kwarto, ngan buliha ini hin alkitran ha sulod ngan ha gawas. 
GEN.6.15	Himoa ini nga 133 ka metros an kahilaba, 22 ka metros an kahiluag, ngan 13 ka metros an kahitaas. 
GEN.6.16	Himoi hin atop
GEN.6.17	Magpapadara ako hin lunop dinhe han tuna basi mapuo an ngatanan nga buhi nga mga binuhat. Magkakamatay an ngatanan dinhe ha tuna, 
GEN.6.18	kundi maghihimo ako ha imo hin ginsabotan. Sulod ikaw ngadto han arka upod an imo asawa, an imo mga anak nga kalalaken-an, ngan an ira kaasaw-an. 
GEN.6.19+GEN.6.20	Pagdara upod ha imo ngadto han arka hin lalaki ngan hin babayi han ngatanan nga magkalainlain nga mga mananap, ngan han ngatanan nga magkalainlain nga tamsi, basi diri hira mapuo. 
GEN.6.21	Pagdara han ngatanan nga magkalainlain nga pagkaon para ha imo ngan para ha ira.” 
GEN.6.22	Ginbuhat ni Noe an ngatanan nga iginsugo han Dyos.
GEN.7.1	Nagsiring an 
GEN.7.2	Pagdara hin pito ka padis han tagsa nga mananap nga malinis para hin paghalad kundi usa la ka padis han tagsa nga mananap nga mahugaw. 
GEN.7.3	Pagdara liwat hin pito ka padis han tagsa nga tamsi. Buhata ini basi mabuhi an tagsa nga mananap ug tamsi ngan diri hira mapuo dinhe han tuna. 
GEN.7.4	Kahuman hin pito ka adlaw tikang yana, pauuranon ko hin waray hunong sulod hin 40 ka adlaw ug gab-i, basi mapuo an ngatanan nga buhi nga mga binuhat nga akon ginhimo.” 
GEN.7.5	Ngan gintuman ni Noe an ngatanan nga iginsugo han Dyos.
GEN.7.6	Unom ka gatos na an panuigon ni Noe han paglunopi han tuna. 
GEN.7.7	Sinmulod ngadto han arka hi Noe ngan an iya asawa ngan an iya mga anak nga kalalaken-an ngan an ira kaasaw-an basi diri hira mamatay han lunop. 
GEN.7.8+GEN.7.9	Sinmulod ngadto han arka sumala han iginsugo han Dyos in lalaki ngan babayi han tagsa nga mananap ug tamsi, magin malinis ini o diri. 
GEN.7.10	Paglabay hin pito ka adlaw, inmabot an lunop.
GEN.7.11	Han 600 na an panuigon ni Noe, dida han ika-17 nga adlaw han ikaduha nga bulan, binmukal pag-awas an ngatanan nga mga burabod han dako nga katubigan ha kahiladman han tuna, nabuksan ha langit an ngatanan nga mga ganghaan han uran, 
GEN.7.12	ngan inmuranos ha tuna sulod hin 40 ka adlaw ug gab-i. 
GEN.7.13	Hito ngahaw nga adlaw, sinmulod ngadto han arka hi Noe ngan an iya asawa upod an tulo nira nga mga anak, hira Sem, Ham, ug Jafet ngan an ira kaasaw-an. 
GEN.7.14	Upod ha ira sinmulod an tagsa nga mananap, ihayop ngan ihalas, dagko ngan gudti, ngan an tagsa nga tamsi. 
GEN.7.15	Inmupod kan Noe ngadto han arka in usa nga lalaki ngan usa nga babayi han tagsa nga buhi nga binuhat, 
GEN.7.16	sumala han iginsugo han Dyos. Ngan ginsadhan han 
GEN.7.17	Nagpadayon an lunop sulod hin kwarenta ka adlaw, ngan hinmilarom an tubig hin pagpalutaw han sakayan. 
GEN.7.18	Nagtikahilarom an tubig, ngan igin-anod-anod an sakayan ha bawbaw han tubig. 
GEN.7.19	Hinmilarom gud an tubig ngan linmapwas han labi ka higtaas nga kabukiran. 
GEN.7.20	Nagpadayon hin pagtubo an tubig tubtob nga inmabot ini hin mga pito ka metros an kahilarom ha bawbaw han pungkay han kabukiran. 
GEN.7.21	Nagkamatay an tagsa nga buhi nga binuhat ha tuna—an tagsa nga tamsi, tagsa nga mananap, ngan tagsa nga tawo. 
GEN.7.22	Nagkamatay an ngatanan nga buhi dinhe ha tuna. 
GEN.7.23	Ginpuo han 
GEN.7.24	Waray magtikang hin paghubas an tubig sulod hin 150 ka adlaw.
GEN.8.1	Waray mahingalimot an Dyos kan Noe ngan han ngatanan nga kamanampan nga kaupod niya didto han arka. Ginpahuyop niya in usa nga hangin ngan nagtikang hin paghubas an tubig. 
GEN.8.2	Ginsadhan an mga burabod han katubigan ha kahiladman han tuna ngan an mga ganghaan han uran didto ha langit. Inmukoy an uran, 
GEN.8.3	ngan naghinayhinay hin paghubas an tubig sulod hin 150 ka adlaw. 
GEN.8.4	Dida han ika 17 nga adlaw han ikapito nga bulan nahisangya an arka didto hin usa nga bukid didto han kabukiran han Ararat. 
GEN.8.5	Nagpadayon hin paghubas an tubig, ngan dida han syahan nga adlaw han ika 10 nga bulan pinmakita an mga pungkay han kabukiran.
GEN.8.6	Katapos hin 40 ka adlaw ginbuksan ni Noe in usa nga bintana 
GEN.8.7	ngan ginpagawas in usa nga uwak. Waray ini bumalik, kundi naglinupadlupad la ini tubtob han paghubas na gud han tubig. 
GEN.8.8	Hito ngahaw nga takna ginpagawas ni Noe in usa nga sarapati hin pagkita kon hinmubas na an tubig, 
GEN.8.9	kundi tungod nga natatahoban pa han tubig an tuna, waray makaagi an sarapati hin iya sadang kahugdonan. Binmalik ini ngadto han arka ngan kinaptan ini ni Noe ngan isinulod ngahaw ini han arka. 
GEN.8.10	Naghulat hiya hin pito pa ka adlaw ngan ginpagawas na liwat an sarapati. 
GEN.8.11	Binmalik ini ha iya han pagkagab-i nga nakakabanga hin lapyo pa nga dahon hin olibo. Sanglit nakasabot hi Noe nga hinmubas na an tubig. 
GEN.8.12	Niyan naghulat hiya hin pito pa ka adlaw ngan ginpagawas na liwat niya an sarapati; hini nga takna, waray na ini bumalik.
GEN.8.13	Han 601 na an panuigon ni Noe, dida han syahan nga adlaw han syahan nga bulan, hinmubas na gud an tubig. Kinuha ni Noe an tahob han arka, tinman-aw hiya ha palibot ngan hinkit-an niya nga nagtitikamara na an tuna. 
GEN.8.14	Dida han ika 27 nga adlaw han ikaduha nga bulan, mamara na gud an tuna.
GEN.8.15	Nagsiring an Dyos kan Noe, 
GEN.8.16	“Gawas na han arka upod an imo asawa, an imo mga anak, ngan an ira kaasaw-an. 
GEN.8.17	Pagawsa an ngatanan nga katamsihan ngan kamanampan, basi magdamo ngan magsarang ini ha bug-os nga tuna.” 
GEN.8.18	Sanglit ginmawas han arka hi Noe upod an iya asawa, an iya mga anak, ngan an ira kaasaw-an. 
GEN.8.19	Nagkagawas han arka an ngatanan nga kamanampan ug katamsihan nga burunyog dida han tagsa nira nga panon.
GEN.8.20	Nagtindog hi Noe hin usa nga altar ngadto han 
GEN.8.21	Hinamotan an 
GEN.8.22	Samtang aada pa an kalibutan, magkakamay-ada panahon hin pagtanom ngan panahon hin pag-ani. Dayuday magkakamay-ada kathagkot ngan katsirak, kathuraw ngan kat-uran, kaadlawon ngan kagab-ihon.”
GEN.9.1	Ginbendisyonan han Dyos hi Noe ngan an iya mga anak nga kalalaken-an ngan ginsiring niya, “Magdamo unta an iyo mga anak, basi makaluob an iyo mga tulin han bug-os nga tuna. 
GEN.9.2	Mahahadlok ha iyo an ngatanan nga kamanampan, katamsihan, ug kaisdaan. Itinutubyan ko ini ngatanan ha ubos han iyo gahom. 
GEN.9.3	Yana iyo na makakaon ini nga mga mananap sugad man an mga utanon; ihinahatag ko ini ngatanan para hin pagkaon niyo. 
GEN.9.4	Kinahanglan diri niyo pagkaonon an karne nga dugoan pa; igindidiri ko ini kay aada han dugo an kinabuhi. 
GEN.9.5	Kakastigohon an bisan hin-o nga magpatay hin tawo. Pagpapatayon an bisan ano nga mananap nga magpatay hin tawo. 
GEN.9.6	Ginhimo an tawo nga sugad han Dyos, sanglit pagpapatayon man han iya igkasi-tawo an bisan hin-o nga magpatay hin tawo.
GEN.9.7	“Kinahanglan magkamay-ada kamo damo nga mga anak, basi makaluob an iyo mga tulin han bug-os nga tuna.”
GEN.9.8	Nagsiring an Dyos kan Noe ngan han iya mga anak nga kalalaken-an, 
GEN.9.9	“Ginhihimo ko yana an akon ginsaaran ha iyo ngan ha iyo mga tulin, 
