MAT.1.1	Azezi n de Adavidi yɩɩŋa, la Abraham yɩɩŋa yaabdõma n wãna:
MAT.1.18	Azezi-krisi dɔka daan ẽŋɛ la wãna: A ma Amaari daan yetɩ a ele la Azozɛfʋ, la ba daan nãn ka gã'arɛ la taaba, dee tɩ a tara pʋʋrɛ, la de la Nawẽnnɛ Sɩa n botɩ a tara pʋʋrɛ la. 
MAT.1.19	La Azozɛfʋ n daan yetɩ a di ẽ na de la nẽr-sõŋɔ, a ka boorɩ tɩ a ẽŋɛ ẽ yãnnɛ nẽrba nifum, a daan tẽ'esɛ mɛ tɩ a basɛ ẽ sĩm. 
MAT.1.20	La ẽn daan tẽ'esrɩ bɛla la, tɩ Zuudãana Nawẽnnɛ malɛka wa'am wa puke a mẽŋa pa'alɛ ẽ zãasŋɔ pʋam yele ẽ yetɩ: «Azozɛfʋ, Adavidi yɩɩŋa, da zoe dabeem, di Amaari tɩ a dɛna fʋ pɔga, pʋʋrɛ la tɩ a tarɩ la de la Nawẽnnɛ Sɩa n bɔ ẽ. 
MAT.1.21	A wʋn dɔgɛ la budibla, tɩ fʋ sɩ a yʋ'ʋrɛ tɩ Azezi, la de ẽŋa n wʋn fãagɛ a nẽrba la ba tõon-be'ero pʋam basɛ.»
MAT.1.22	Bõn-bãma wuu ẽŋɛ mɛ tɩ Zuudãana Nawẽnnɛ n yʋʋn botɩ a nõtɔ'ɔsa la yele se'em na n ẽŋɛ. A yʋʋn yetɩ:
MAT.1.23	«Bɩsɛ-ya, pugla n nãn ka mi bʋraaga wʋn yõkɛ pʋʋrɛ dɔgɛ budibla,
MAT.1.23	tɩ ba wi'ira a yʋ'ʋrɛ tɩ A'emanuwɛlɩ.»
MAT.1.23	A võorɛ de la Nawẽnnɛ boe la tɩ lɛ.
MAT.1.24	Tɩ Azozɛfʋ nẽegɛ, ẽŋɛ wʋ Zuudãana malɛka la n yele ẽ se'em na, di a pɔga la. 
MAT.1.25	La a daan ka gã'arɛ la ẽ, halɩ tɩ a wa dɔgɛ budibla la, tɩ a sɩ bia la yʋ'ʋrɛ tɩ Azezi.
MAT.2.1	Ba daan dɔgɛ Azezi la Bɛtelɛm n boe Zude so'olʋm, se'emwẽnnɛ tɩ A'erɔdɩ de naba la. Tɩ bãŋrɩba ze'ele dapɔa bɔba wa'am Zerizalɛm, 
MAT.2.2	wa soke yetɩ: «Bia la tɩ ba dɔgɛ la boe la bɛ, sɛka n wʋn dɛna Zifdõma naba la? Tõma yẽ la a wõrbiire dapɔa bɔba, bɛla ĩyã tɩ tõma wa'am tɩ tɩ nã'asɛ ẽ.» 
MAT.2.3	La naba A'erɔdɩ n daan wõm bɛla la, ẽŋa la Zerizalɛm dõma wuu yɛm n yɔɔrɩ. 
MAT.2.4	Tɩ A'erɔdɩ daan lagsɛ kãabgɔ kẽma nẽŋadõma, la lɔɔ karẽnsãandõma la wuu, soke ba yetɩ: «Tẽn-kãna tɩ ba wʋn dɔgɛ Krisi la?» 
MAT.2.5	Tɩ ba yele ẽ yetɩ: «Bɛtelɛm n boe Zude so'olʋm na, se'ere n soe la, Nawẽnnɛ nõtɔ'ɔsa la yʋʋn gʋlsɛ yele la wãna:
MAT.2.6	‹Bɛtelɛm n de tẽn-pɩka,
MAT.2.6	fʋ ka pɔ'ɔgɛ Zude so'olʋm tẽn-kãra la pʋam,
MAT.2.6	se'ere n soe la,
MAT.2.6	nẽra n wʋn yese fõn pʋam dɛna nẽŋadãana bɩsra Ɩsrayɛlɩ dõma n de mam nẽrba la yelle.› »
MAT.2.7	La A'erɔdɩ sʋgɛ mɛ wi bãŋrɩba la soke ba bãŋɛ wẽnse'ere tɩ wõrbiire la yese, 
MAT.2.8	dee tõm ba yetɩ: «Sẽŋɛ-ya Bɛtelɛm ka ɛ soke bãŋɛ bia la yelle sõŋa sõŋa, la ya sãn yẽ ẽ, ya leme wa'am wa yele mam tɩ mam mẽ sẽŋɛ ka nã'asɛ ẽ.» 
MAT.2.9	La ban wõm naba la yetɔga la, ba sẽnnɩ mɛ wɛ'ɛsa, darɛ le yẽ wõrbiire la tɩ ba daan yẽ dapɔa bɔba la n tole ba nẽŋa, tarɩ ba halɩ ka paagɛ bia la n boe zẽ'e-sɛka la ze'ele.
MAT.2.10	La ban daan yẽ wõrbiire la, ba sũure ẽŋɛ yẽlʋm mɛ halɩ zozo'e. 
MAT.2.11	Tɩ ba kẽ yire la pʋam yẽ bia la, la a ma Amaari, ka dũma tẽŋa bia la nẽŋam nã'asɛ ẽ, dee lorge ba lɔgrɔ loose ban tarɩ sɛla la bɔ ẽ. Ba daan de la sãlma, la tɩdarɛ, la miiri n tarɩ yũuŋ-yẽlga.
MAT.2.12	Tɩ Nawẽnnɛ daan kã'an ba zãasŋɔ pʋam yetɩ, ba da le doose naba A'erɔdɩ zẽ'am, bɛla tɩ ba daan doose sore ayẽma lebe kule ba tẽŋa.
MAT.2.13	Bãŋrɩba la n fõrgɛ la, tɩ Nawẽnnɛ malɛka puke a mẽŋa pa'alɛ Azozɛfʋ zãasŋɔ pʋam, yele ẽ yetɩ: «Isge tarɩ bia la, la a ma la zoe sẽŋɛ Ezipti ka bɔna bilam halɩ tɩ m le wa yele fʋ se'ere. Se'ere n soe la, naba A'erɔdɩ wʋn ɛɛra bia la mɛ tɩ a kʋ.» 
MAT.2.14	Tɩ Azozɛfʋ isge yʋ'ʋŋɔ tarɩ bia la, la a ma la sẽŋɛ Ezipti, 
MAT.2.15	ka bɔna bilam halɩ tɩ A'erɔdɩ wa ki. La ẽŋɛ la bɛla, tɩ Zuudãana Nawẽnnɛ n yʋʋn botɩ a nõtɔ'ɔsa yele se'em na ẽŋɛ. A yʋʋn yetɩ:
MAT.2.15	«Mam wi m Dayʋa la n boe Ezipti la tɩ a wa'am.»
MAT.2.16	La A'erɔdɩ n daan bãŋɛ tɩ bãŋrɩba la pã'asɛ ẽŋa mɛ na, a sũure n yĩige halɩ, tɩ a tõm nẽrba yetɩ ba sẽŋɛ Bɛtelɛm, la tẽn-sɛba n boe a kẽnkɛrsɩ la wuu ka kʋ budim-sɛba wuu n masɛ wʋ yʋʋma ayi, la sɛba n ka paagɛ bɛla la, wʋ ẽŋa n daan soke bãŋrɩba la bãŋɛ se'emwẽnnɛ tɩ wõrbiire la yese la.
MAT.2.17	Bɛla tɩ Nawẽnnɛ nõtɔ'ɔsa Azeremi n yʋʋn yele se'em na ẽŋɛ. A yʋʋn yetɩ:
MAT.2.18	«Ba wõm tagursi Rama tẽŋa,
MAT.2.18	kʋʋnɔ la fablɩgɔ zozo'e.
MAT.2.18	La de la Arasɛlɩ n kellɩ a kɔma yelle,
MAT.2.18	tɩ ba pã'asra ẽ tɩ a ka sakra tɩ a go'oge.
MAT.2.18	Se'ere n soe la, a kɔma la ka le bɔna.»
MAT.2.19	La naba A'erɔdɩ daan wa ki mɛ, tɩ Zuudãana malɛka puke a mẽŋa pa'alɛ Azozɛfʋ zãasŋɔ pʋam Ezipti, yele ẽ yetɩ: 
MAT.2.20	«Isge tarɩ bia la, la a ma la lebe Ɩsrayɛlɩ tẽŋa, se'ere n soe la, sɛka n daan eerɩ bia la tɩ a kʋ la ki mɛ.» 
MAT.2.21	Tɩ Azozɛfʋ isge tarɩ bia la, la a ma la kule Ɩsrayɛlɩ tẽŋa.
MAT.2.22	La a daan wõm mɛ tɩ Arkelawusi n sɔɔgɛ a sɔ A'erɔdɩ zẽ'am di Zude na'am. Tɩ a daan zoe dabeem ka sẽŋɛ Zude so'olʋm. Tɩ Nawẽnnɛ kã'an ẽ zãasŋɔ pʋam, tɩ a sẽŋɛ Galile so'olʋm. 
MAT.2.23	A daan sẽŋɛ ka kẽ'era la tẽŋa yʋ'ʋrɛ n de Nazarɛtɩ. Bɛla tɩ Nawẽnnɛ nõtɔ'ɔsrɩba la n daan yele se'em na ẽŋɛ. Ba daan yetɩ: «Ba wʋn wi'ira Krisi la tɩ Nazarɛtɩ nẽra.»
MAT.3.1	Bɛla wẽnnɛ tɩ Azã n misri nẽrba ko'om pʋam na, wa sẽŋɛ Zude weem ka mõola 
MAT.3.2	yetɩ: «Teege-ya yɛm basɛ tõon-be'ero, tɩ Nawẽnnɛ so'olʋm lɛm mɛ.» 
MAT.3.3	La de la Azã yelle tɩ Nawẽnnɛ nõtɔ'ɔsa A'ezayi daan gʋlsɛ yetɩ:
MAT.3.3	«Nẽra ayɩla n boe weem mõola ke'enke'em yetɩ:
MAT.3.3	‹Malgɛ-ya sore sõŋa gu'ura Zuudãana.
MAT.3.3	Malgɛ-ya sɔa la tɩ ba tɔ tẽntẽesɩ bɔ ẽ.› »
MAT.3.4	Azã daan yɛ la fuugo n de yʋgnɛ kõbrɔ, dɩkɛ sagãnnɛ lʋ a sɩa. A dia daan de la saniiro la seero. 
MAT.3.5	Tɩ nẽrba daan ze'ele Zerizalɛm, la Zude so'olʋm wuu, la tẽn-sɛba n lɛm kʋlaaga yʋ'ʋrɛ n de Zʋrdẽ la wuu sẽnna a zẽ'am, 
MAT.3.6	tɔgra ba tõon-be'ero pa'ala ẽ, tɩ a misra ba Zʋrdẽ ko'om na pʋam.
MAT.3.7	La Azã yẽ la Farisi dõma, la Saduse dõma zozo'e n sẽm a zẽ'am tɩ a mise ba ko'om pʋam, tɩ a yele ba yetɩ: «Yãma ãn wʋ kãmpẽesɩ buuri, ãne n pa'alɛ ya tɩ ya tã wʋn zoe põsɛ Nawẽnnɛ sɩbgrɛ n sẽm na? 
MAT.3.8	Tõm-ya tõon-sɛba n pa'alɩ tɩ ya teege yɛm basɛ tõon-be'ero. 
MAT.3.9	La ya da tẽ'esra tɩ Abraham n de ya yaaba la, ya wʋn põsɛ Nawẽnnɛ sɩbgrɛ la mɛ. Mam yetɩ ya mɛ tɩ Nawẽnnɛ tã wʋn dɩkɛ kuga wã botɩ ba lebge Abraham yɩɩsɩ mɛ. 
MAT.3.10	Nẽra n põn tara lɩa a nu'usum tɩ a lʋbɛ tɩɩsɩ. Tɩ-sɛka woo n ka wɔnnɩ biɛ sõma, a wʋn lʋbɛ ẽ mɛ, lobge bugum pʋam, tɩ bugum di ẽ.
MAT.3.11	Mam misri ya la ko'om pʋam tɩ la pa'alɛ tɩ ya teege yɛm basɛ tõon-be'ero. La sɛka n boe mam poorʋm sẽna la pãŋa gãnnɩ mam mɛ. La mam põn ka masɛ tɩ m pirge a tagra. Ẽŋa n wʋn mise ya Nawẽnnɛ Sɩa, la bugum pʋam. 
MAT.3.12	Ẽŋa wʋn welge nẽrba wʋ nẽra n zãlɩ pɩ'ɩgɔ a nu'usum tɩ a vaagɛ a si zɛɛŋa yeele, ẽŋɛ a bãarɛ pʋam dee yõ urgo la, la bugum n ka kĩŋri.»
MAT.3.13	Azezi daan ze'ele la Galile wa'am Zʋrdẽ Azã zẽ'am tɩ a mise ẽ ko'om pʋam. 
MAT.3.14	Tɩ Azã daan zagsɛ, dee yetɩ: «La de nɩ na mam n wʋn wa'am fõn zẽ'am tɩ fõn mise mam, tɩ fõn sẽna mam zẽ'am?» 
MAT.3.15	Tɩ Azezi lerge ẽ yetɩ: «Basɛ tɩ la ẽŋɛ bɛla lɛɛlɛ wã, tɩ la de la bɛla tɩ tɩ wʋn ẽŋɛ lan masɛ Nawẽnnɛ n boorɩ se'em na wuu.» Azezi n yele bɛla la, tɩ Azã sakɛ 
MAT.3.16	mise ẽ, tɩ a dɔɔra. Haya, tɩ saazuum yo'oge, tɩ a yẽ Nawẽnnɛ Sɩa n signi a zuo wʋ na'adawenne. 
MAT.3.17	Tɩ kõa ze'ele Nawẽnnɛ yire yetɩ:
MAT.3.17	«Ẽna de la mam Dayʋa
MAT.3.17	tɩ mam nõŋɛ la m sũure wuu,
MAT.3.17	a paagɛ la mam yɛm.»
MAT.4.1	Nawẽnnɛ Sɩa la daan tarɩ Azezi sẽŋɛ la weem tɩ Asũtãana makɛ ẽ. 
MAT.4.2	Azezi daan lʋ la nõorɛ dabsa pinaasɩ, wʋntɛɛŋa la yʋ'ʋŋɔ. Tɩ a kɔm dõnna. 
MAT.4.3	Tɩ Asũtãana lɛm ẽ, yetɩ: «Fʋ sãn sɩrɩ dɛna la Nawẽnnɛ Dayʋa, fʋ botɩ kuga wã lebge dia.» 
MAT.4.4	Tɩ Azezi lerge yetɩ: «La gʋlsɛ Nawẽnnɛ gõŋɔ pʋam yetɩ:
MAT.4.4	‹Nẽrsaala kãn vɔa dia mã'a ĩyã,
MAT.4.4	la de la yetɔg-sɛba wuu n yesrɩ Nawẽnnɛ nõorʋm ĩyã.› »
MAT.4.5	Tɩ Asũtãana tarɩ Azezi sẽŋɛ Zerizalɛm, ka zom Wẽnde-kãtɛ la zuo ze'ele, 
MAT.4.6	dee yele ẽ yetɩ: «Fʋ sãn dɛna Nawẽnnɛ Dayʋa, fʋ ẽkɛ bisge tẽŋa, se'ere n soe la, la gʋlsɛ Nawẽnnɛ gõŋɔ pʋam yetɩ:
MAT.4.6	‹Nawẽnnɛ wʋn botɩ a malɛkadõma kɔkɛ fʋ la ba nu'usi,
MAT.4.6	tɩ fʋ kãn wẽ fʋ nã'arɛ la kugre.› »
MAT.4.7	Tɩ Azezi yele ẽ yetɩ: «La ken gʋlsɛ yetɩ:
MAT.4.7	‹Da makɛ fʋ Zuudãana Nawẽnnɛ bɩsɛ.› »
MAT.4.8	Tɩ Asũtãana le tarɩ Azezi zom tãŋa n ba wɔgɛ zuo, ka pa'alɛ ẽ dũnia so'olʋm wuu la a na'am pãŋa, 
MAT.4.9	yele ẽ yetɩ: «Fʋ sãn ka dũma tẽŋa nã'asɛ mam, mam wʋn bɔ fʋ bãna wã wuu.» 
MAT.4.10	Tɩ Azezi yele ẽ yetɩ: «Sẽŋɛ fõrgɛ, Asũtãana! La gʋlsɛ Nawẽnnɛ gõŋɔ pʋam yetɩ:
MAT.4.10	‹Nã'asra Zuudãana Nawẽnnɛ,
MAT.4.10	dee sakra ẽŋa ayɩla mã'a.› »
MAT.4.11	Tɩ Asũtãana basɛ Azezi dee fõrgɛ. Tɩ malɛkadõma wa'am wa sõŋra ẽ.
MAT.4.12	Tɩ Azezi wõm tɩ ba yõkɛ Azã yʋ yʋ'a deego pʋam, tɩ a lebe Galile so'olʋm. 
MAT.4.13	La a daan basɛ Nazarɛtɩ tẽŋa, dee sẽŋɛ ka kẽ'era la Kapɛrnaʋm n lɛm Galile mõgrɛ la nõorʋm, Zabulõ la Nɛftali so'olʋm pʋam, 
MAT.4.14	tɩ Nawẽnnɛ nõtɔ'ɔsa A'ezayi n yʋʋn yele se'em na ẽŋɛ. A yʋʋn yetɩ:
MAT.4.15	«Zabulõ la Nɛftali tẽnsɩ n tɔglɛ ko-kãtɛ bɔba, Zʋrdẽ doone ke bɔba,
MAT.4.15	Galile tẽnsɩ tɩ bu-zãŋsɩ boe a pʋam na,
MAT.4.16	nẽr-sɛba n boe lika pʋam na yẽ peelem zozo'e.
MAT.4.16	La nẽr-sɛba n zĩ kũm mã'asʋm pʋam na,
MAT.4.16	peelem nẽegɛ mɛ bɔ ba.»
MAT.4.17	Bɛla wẽnnɛ tɩ Azezi daan pɔsɛ mõola yetɩ: «Teege-ya yɛm basɛ tõon-be'ero, tɩ Nawẽnnɛ so'olʋm lɛm mɛ.»
MAT.4.18	Azezi daan eerɩ la Galile mõgrɛ la nõorʋm, yẽ bʋraasɩ bayi, Asimõ tɩ ba wi'iri tɩ Apɩyɛɛrɩ, la a yɩbga A'ãndre, tɩ ba lobrɩ yʋka mõgrɛ la pʋam, ba daan de la zũn-yõgrɩba. 
MAT.4.19	Tɩ Azezi yele ba yetɩ: «Dɔla-ya mam, tɩ mam wʋn basɛ tɩ ya ɛɛra nẽrba tɩ ba dɔla mam wʋ yãma n yõgrɩ zũma se'em na.» 
MAT.4.20	Tɩ ba basɛ ba yʋgsɩ la bilam mẽŋa, dee dɔla ẽ.
MAT.4.21	Tɩ a sẽŋɛ nẽŋa le yẽ bʋraasɩ bayi n de Azebede kɔma, Azakɩ la a yɩbga Azã. Tɩ bãma, la ba sɔ Azebede bɔna õorŋɔ pʋam malgra ba yʋgsɩ. Tɩ Azezi wi ba, 
MAT.4.22	tɩ ba basɛ õorŋɔ la, la ba sɔ la tɔtɔ, dee dɔla ẽ.
MAT.4.23	Azezi daan kaarɩ la Galile so'olʋm wuu zãsna nẽrba Zifdõma wẽndeto pʋam, mõola Nawẽnnɛ so'olʋm kõ-yẽlga dee botɩ bã'adõma, la kobro wuu n boe nẽrba la pʋam yẽta ĩmã'asʋm. 
MAT.4.24	Tɩ a yʋ'ʋrɛ daan yese Siiri so'olʋm wuu, tɩ ba tara bã'adõma wuu tɩ bã'asɩ buuri to'oto'ore tarɩ ba, nẽrba ĩisi n dõnnɩ tɩ ba nãmsra, la kʋlkã'arsɩ n dolɩ sɛba, la nẽrba n luti kinki'ire, la kɔɔrnɔ wa'am a zẽ'am, tɩ a botɩ ba wuu yẽ ĩmã'asʋm. 
MAT.4.25	Tɩ nẽr-kʋʋŋɔ zozo'e ze'ele Galile, la Dekapɔlɩ, la Zerizalɛm, la Zude, la tẽnsɩ n boe Zʋrdẽ doone ke bɔba doose ẽ.
MAT.5.1	Tɩ Azezi yẽ nẽr-kʋʋŋɔ la, zom tãŋa zuo zĩ'ire. Tɩ a karẽnbiisi la lagsɛ a zẽ'am. 
MAT.5.2	Tɩ a yãŋa zãsʋm ba yetɩ:
MAT.5.3	«Nẽr-sɛba n mi tɩ ba ka masɛ Nawẽnnɛ nẽŋam tarɩ zu-yẽlga,
MAT.5.3	se'ere n soe la, Nawẽnnɛ so'olʋm de la ba bõnɔ.
MAT.5.4	Sũ-sã'aŋɔ dõma tarɩ zu-yẽlga,
MAT.5.4	se'ere n soe la, Nawẽnnɛ wʋn botɩ ba sũure mã'agɛ.
MAT.5.5	Sũ-bʋgsʋm dõma tarɩ zu-yẽlga,
MAT.5.5	se'ere n soe la, Nawẽnnɛ wʋn bɔ ba dũnia tɩ ba sɔna.
MAT.5.6	Sɛba n boorɩ sɛla n masɛ Nawẽnnɛ yɛm la ba sũure wuu tarɩ zu-yẽlga,
MAT.5.6	se'ere n soe la, Nawẽnnɛ wʋn bɔ ba sɛla tɩ ba boorɩ la tɩ la seke.
MAT.5.7	Ninbãal-zɔtba tarɩ zu-yẽlga,
MAT.5.7	se'ere n soe la, Nawẽnnɛ wʋn zoe ba ninbãalga.
MAT.5.8	Pʋpeelem dõma tarɩ zu-yẽlga,
MAT.5.8	se'ere n soe la, ba wʋn yẽ Nawẽnnɛ.
MAT.5.9	Sɛba n botɩ sũ-mã'asʋm bɔna nẽrba tẽŋasʋka tarɩ zu-yẽlga,
MAT.5.9	se'ere n soe la, Nawẽnnɛ wʋn wi'ira ba tɩ a kɔma.
MAT.5.10	Sɛba n ɩtɩ sɛla n masɛ, tɩ ba nãmsra ba tarɩ zu-yẽlga,
MAT.5.10	se'ere n soe la, Nawẽnnɛ so'olʋm de la ba bõnɔ.
MAT.5.11	Yãma sɛba tɩ ba tʋʋrɩ ya, nãmsra ya, tɔgra ya tɔg-be'ero dee parna bɔ'ɔra ya, yan dolɩ mam na ĩyã, tarɩ zu-yẽlga. 
MAT.5.12	Ẽŋɛ-ya sũ-yẽlga sɩrʋm, ya yɔɔrɔ n wʋn zo'oge Nawẽnnɛ yire la ĩyã. Ba mẽ daan nãmsɛ Nawẽnnɛ nõtɔ'ɔsrɩba n dẽŋɛ yãma la bɛla.»
MAT.5.13	Azezi daan le yetɩ: «Wʋ yaarʋm n botɩ dia zã'asʋm na, yãma mẽ masɛ tɩ ya ãna wʋ yaarʋm dũnia wã pʋam. La yaarʋm sãn sabgɛ, bẽm n wʋn basɛ tɩ a le zã'asʋm? A lebge la zãŋa, a ka le tara yõorɔ, a de la ba lobe ẽ basɛ yẽŋa, tɩ nẽrba nẽ ẽ la nãma.
MAT.5.14	Yãma de la dũnia wã peelem. Tẽŋa n boe tãŋa zuo ka tã wʋn sʋgɛ. 
MAT.5.15	La ba ka yõ'orɩ fɩtla vugra la pɩ'ɩgɔ, ba wʋn zoole ẽ na fɩtla zoolgo zẽ'a, tɩ a nẽegɛ peelem bɔ'ɔra nẽr-sɛba wuu n boe yire la pʋam na. 
MAT.5.16	Bɛla, basɛ-ya tɩ ya peelem nẽegɛ nẽrba tẽŋasʋka, tɩ ba yẽ ya tõon-sõma nã'asɛ ya Sɔ Nawẽnnɛ n boe saazuum.»
MAT.5.17	«Da tẽ'esɛ-ya tɩ mam wa'am tɩ m sã'am na Nawẽnnɛ lɔɔ, bɩɩ a nõtɔ'ɔsrɩba yetɔga la. Mam ka wa'am tɩ m sã'am ba, mam wa'am tɩ m pa'alɛ la ba võorɛ ba'asɛ, dee ẽŋɛ ban yele se'em na. 
MAT.5.18	Mam yetɩ ya la sɩra sɩra, tɩ saazuum la tẽŋa n wʋn yuuge se'em, sɛla sɛla kãn yese Nawẽnnɛ lɔɔ la pʋam baa fẽfẽe, halɩ tɩ sɛla woo wa ẽŋɛ ba'asɛ. 
MAT.5.19	Bɛla, nẽr-sɛka n ka sakɛ Nawẽnnɛ lɔɔ ayɩla, baa a sãn ãna pɩka gãnna wuu, dee zãsna nẽrba basɛba tɩ ba da sakɛ, a wʋn dɛna nẽr-pɩka Nawẽnnɛ so'olʋm pʋam. La sɛka n sakɛ Nawẽnnɛ lɔɔ, dee zãsna nẽrba tɩ ba ɩta bɛla, a wʋn dɛna nẽr-kãtɛ Nawẽnnɛ so'olʋm pʋam. 
MAT.5.20	Mam yetɩ ya la sɩra sɩra, tɩ ya sãn ka ɩta Nawẽnnɛ n boorɩ se'em na gãnna lɔɔ karẽnsãandõma, la Farisi dõma, ya kãn tã'agɛ kẽ Nawẽnnɛ so'olʋm pʋam.»
MAT.5.21	«Yãma wõm tɩ ba daan yele kʋrʋm dõma yetɩ: ‹Da kʋ nẽra, la nẽra sãn kʋ nẽra, ba di a sarɩya.› 
MAT.5.22	La mam yetɩ ya tɩ nẽr-sɛka woo sũure n isge la a sɔbia, la masɛ tɩ ba di a sarɩya. La sɛka n yele a sɔbia yetɩ: ‹Yalma›, la masɛ tɩ sarɩyaditba nẽŋadõma di a sarɩya. La sɛka n yele a sɔbia yetɩ: ‹Fʋ ka tarɩ võorɛ›, ẽŋa dãana masɛ mɛ tɩ a kẽ bug-tẽŋa. 
MAT.5.23	Bɛla, fʋ sãn tarɩ fʋ bɔ'a wa'am kãabgɔ bĩmbĩnne zẽ'a tɩ fʋ bɔ Nawẽnnɛ, sãn tẽegɛ tɩ fõn tarɩ la yelle la fʋ sɔbia, 
MAT.5.24	fʋ basɛ fʋ bɔ'a la kãabgɔ bĩmbĩnne la nẽŋam, dee dẽŋɛ sẽŋɛ ka malgɛ fʋ yelle la, la fʋ sɔbia la, dee yãŋa leme wa'am wa dɩkɛ fʋ bɔ'a la bɔ Nawẽnnɛ.
MAT.5.25	Fʋ sãn tara yelle la nẽra, tɩ a tara fʋ wɛ'ɛsa sarɩyadia zẽ'am, malgɛ fʋ yelle la tɔtɔ, yãma n nãn boe sore la, tɩ a da dɩkɛ fʋ bɔ sarɩyadita, tɩ a tɔgɛ fʋ yetɔga la dɩkɛ fʋ bɔ gu'ura, tɩ a kẽ'esɛ fɔ yʋ'a deem. 
MAT.5.26	Mam yetɩ fʋ la asɩra, tɩ fʋ kãn yẽ sore yese yʋ'a deem na, halɩ tɩ fʋ wʋn wa yɔ fʋ sãnnɛ na wuu ba'asɛ.»
MAT.5.27	«Yãma wõm tɩ ba daan yetɩ: ‹Da gã'arɛ la fʋ tadãana pɔga.› 
MAT.5.28	La mam yetɩ ya tɩ, sɛka n bɩsɛ pɔka tɩ a yɛm bɔɔra ẽ, a põn gã'arɛ la ẽ mɛ a sũure pʋam. 
