MAT.1.1	Rûrû i ru rûrîîyo rwa Yiesû Kîrîstû wa mûciî wa Ndaundi, wa rûciaro rwa Îburaîmu.
MAT.1.20	Njosebu waakîthûgaanagîria mantû mamu, aaroota mûraîka wa Mwathani akîaragia n'we akîmwîraga, “Njosebu wa mûciî wa Ndaundi, ûtikeegue ûguaya bwa kûthûkia Maria arî mwekûrû waku, n'ûntû nda înu arî n'yo n'ya Kîrundu Ûmûtheru. 
MAT.1.21	Agaaciara kaana ga kaîyî ûgeete Yiesû,
MAT.1.22	Mantû mamu monthe maakarire ûgu kaingo mantû mara maariirue i Mwathani gûkûrûkîîra kanyuani ga kîroria maûyûra, rîra augire, 
MAT.1.23	“Mwana wa mwarî akaagîa nda aciare kaana ga kaîyî geetwe Imanueri.”
MAT.1.24	Rîra Njosebu aûkire torooni, aarûtha wabûra mûraîka wa Mwathani aamwîrîîte. Aathûkia Maria arî mwekûrû wake. 
MAT.1.25	Njosebu ataamaama na mwekûrû wake mwanka aamba aaciara kaana ga kaîyî, ageeta Yiesû.
MAT.2.1	Yiesû aaciarîîrwe taûni ya Bethireemu gîteere kîa Njundea, îgiita rîra Eronde aarî mûnene. Antû bamwe baûgî
MAT.2.2	Baûrithîria, “Arî kû ûra aciarîîtwe atuîka Mûnene wa Ayaundi? Twaya kûmûgonga n'ûntû itwonire nthata yumîîte bwa mbarî ya uumîîro bwa riûa îkîonanagia gûciarwa gwake.”
MAT.2.3	Rîra mûnene Eronde aakinyîîrwe i mantû mamu eegua aatangîka mathûgaaniani maake. Na t'we wenka i Njerusaremu akubî yonthe. 
MAT.2.4	Eeta *athînjîri bara banene ba Ngai na aarimû ba watho bonthe amwe, abaûria i na kû kweerirwe Kîrîstû agaaciarwa. 
MAT.2.5	Bamwîra, “I taûni ya Bethireemu gîteereeni kîa Njundea, n'ûntû ûûgû i bu kwandîkîîtwe i kîroria,
MAT.2.6	‘Woû, Bethireemu nthîgûrû ya Njunda,
MAT.2.6	naka na woû ûtirî mûkai kîrî atongoria ba Njunda,
MAT.2.6	n'ûntû ûkauma mûtongoria ûra akaatha
MAT.2.6	antû baakwa ba Isiraeri.’ ”
MAT.2.7	Mûnene Eronde eeta antû babu baûgî kajûri, abaûria rîra rîongwa nthata înu yonekire. 
MAT.2.8	Abatûma Bethireemu abeera, “Îthiini bûcûnkûûne mantû ma kaana gaku. Bwakoona bûcookeere aaga bûkîmmenyithia kaingo na niû nthi gûkagonga.”
MAT.2.9	Bakûrîîkia kwîgua bûra mûnene aabeerire, bauma agu baathi bûra baathiîte. Bakuuma, nthata îra booneete îrî bwa mbarî ya uumîîro bwa riûa yabatongoreeria kaîrî baathi mwanka yarûngama ara kaana kaarî. 
MAT.2.10	Bakwona yarûngama baakena mûno. 
MAT.2.11	Baathûngîra nyomba boona kaana kagwetwe i gina, Maria. Baaturia maru bakagonga, baarugûra biondo biao bakanenkera biewa bia thaabu, macoco, na manemane.
MAT.2.12	Ngai abakaania kîrootooni abeera, “Bûtigaacookeere kwa Mûnene Eronde kaîrî.” Kwoogu bakîînûka baacookire na njîra îngî.
MAT.2.13	Ageni bakûthi, Njosebu aaroota mûraîka wa Mwathani akîmwîraga, “Ûka ûthûkie kaana ûgakuthûkie amwe na gina, bûthi Miisiri bûkare noogo mwanka rîra ngaakwîra n'ûntû Eronde nagûcûa kaana gaka akaûraga.”
MAT.2.14	Njosebu agûûka aathûkia kaana na gina wa ko baathi bwa Miisiri. 
MAT.2.15	Baakara noogo mwanka rîra Eronde aakuire, kaingo bûra Mwathani augire gûkûrûkîîra kanyuani ga kîroria bûûyûra. Augire, “Indeetire mwana wakwa kuuma nthîgûrû ya Miisiri.”
MAT.2.16	Mûnene Eronde aathûûra mûno akûmenya antû babu baûgî ibaamweneerie. Aatûma acikaarî, abaa watho bwa kûûraga twana twa twîyî tunthe tûra twakinyithîîtie mîanka îîrî kwîndama, tûra twarî Bethireemu na ntûûra ira ciarî akubî n'yo wata bûra aamenyithîîtue n'antû babu. 
MAT.2.17	Mantû mara kîroria Njeremia aariirie maûyûra. Augire,
MAT.2.18	“Mbu nîeguîkire Rama,
MAT.2.18	kîrîro na kîîthikîîro kîînene,
MAT.2.18	Raeri akîrîrîra twana twake,
MAT.2.18	aarema gûkirakirîka,
MAT.2.18	n'ûntû tûtirî mwoyo.”
MAT.2.19	Eronde agûkua, Njosebu barî naagu Miisiri aaroota mûraîka wa Mwathani akîmwîraga, 
MAT.2.20	“Ûka ûthûkie kaana na gina bûcooke nthîgûrû ya Isiraeri n'ûntû bara bareendaga kûûraga mwana i baakuû.” 
MAT.2.21	Njosebu aûka aathûkia mwana na gina baacooka Isiraeri. 
MAT.2.22	Njosebu akwîgua Arikeraus, mwana wa Eronde, n'we aathanaga Njundea îthe agûkua, aakuthûka kûthi noogo. Ngai amûkaania kîrootooni athi bûngî, aathi bwa gîteere kîa Gariiri 
MAT.2.23	taûni ya Nasareethi aatûûra noogo. Na i kaingo ntheto ira ciariirue i kîroria ciûyûra. Kîroria kîaugire, “Ageetagwa Mûnasareethi.”
MAT.3.1	Îgiitaani rîru Njoana Mûbaatithania aathi rwanda rwa Njundea gûtûmîîria. 
MAT.3.2	Augaga, “Îrireeni meeyia meenu n'ûntû ûnene bwa îgûrû bûkûthengeera.” 
MAT.3.3	Njoana ûyû n'ûra kîroria Isaaya aaragîîria rîra augaga,
MAT.3.3	“Kayû ka muntû igagûtûmîîria rwanda gakiugaga,
MAT.3.3	‘Theriani njîra ya Mwathani,
MAT.3.3	rûngariani kûra agaakûrûkîîra.’ ”
MAT.3.4	Njoana eekagîra nguo yarûthîîtwe na guaya ya nkamîîra akooga mûkanda kauna. Aarîyaga ngige na ûkî bwa kîthaka. 
MAT.3.5	Kîrîndî kingî kîaumaga bwa taûni ya Njerusaremu, nthîgûrû ya Njundea yonthe, na akubî na îkumbo rîa muuro wa Njorondani gîkaaya kûmûthikîîria. 
MAT.3.6	Bara baumbûraga meeyia maao, Njoana aababaatithagîria rûûyîîni rwa muuro wa Njorondani.
MAT.3.7	Njoana akwona *Abarisai na *Asandukai baingî baayîîte ababaatithia, abeera, “Rûciaro rûrû rwa njoka! N'ûû aabweniirie abwîra bwakuthûka mûthûûro wa Ngai ûra ûûyîîte? 
MAT.3.8	Rûthagaani mantû mara makoonanagia atî na mma bûkwîrira meeyia meenu. 
MAT.3.9	Bûtikaathûgaanie bûgaateethua i kuuga, ‘Tiû tûrî ba rûrîîyo rwa Îburaîmu!’ Na mma ga nkûbwîra, Ngai nwa atuîkithie kinya maiga mama aana ba Îburaîmu. 
MAT.3.10	Kathoka karî akubî gûkûûra mîtî na mîri mîene. Na mûtî unthe ûra ûtaciaraga rûciaro rwega ûgaakûûrwa ûgerwe mwankiini. 
MAT.3.11	Niû ndîbûbaatithia na rûûyî kwonania bûkwîrira meeyia meenu. Îndî ûra aayîîte nyuma yakwa arî îgweta nkûrûki yakwa. Niû ningwa ntiagîrîte wa kûmûkamatîra iraatû. We akaabûbaatithia na Kîrundu Ûmûtheru na mwanki. 
MAT.3.12	Agwete ncûûgi na njara akîendaga kûthi rwaraani acûûga ngano ciake aiga îkûmbîîni, abîîthia maûngû na mwanki ûtakîora.”
MAT.3.13	Îgiitaani warîru Yiesû auma bwa rûteere rwa Gariiri aathi bwa muuro wa Njorondani abaatithua i Njoana. 
MAT.3.14	Îndî Njoana eenda kûrega akîmwîraga, “Ka ûûyîîte nkûbaatithia? Woû, i woû ûbatîîrue ûmbaatithia îndî ti niû!”
MAT.3.15	Yiesû amûcookeria amwîra, “Gagûkare ûgu îîndî kaingo tûrûtha bûra kwagîrîte.” Rîru i rîo Njoana eetîgîîrie.
MAT.3.16	Yiesû akûrîîkia kûbaatithua aumîra rûûyîîni. Warîru îgûrû rîarugûka, oona Kîrundu wa Ngai amwîndamîîrîîte ta îcea aagwîrîîra îgûrû rîake. 
MAT.3.17	Kayû kauma îgûrû kauga, “Ûyû i Mwana wakwa ûra mbendeete mûno. Nankenagia mûno.”
MAT.4.1	Kuuma agu Yiesû aathûkua i Kîrundu Ûmûtheru amwira rwanda kaingo agerua i Nkoma. 
MAT.4.2	Akûthiria ntugû mîrongo îna, mûthenya na ûtugû atarûma gîntû, Yiesû aatua kwîgua yûûra. 
MAT.4.3	Nkoma yathi yamwîra, “Ûkaaya kwîgua ûrî Mwana wa Ngai, uga maiga mama matuîke mîgaate.”
MAT.4.4	Yiesû amîîra, “Kwandîkîîtwe *Maandîkooni Maatheru, ‘Mûgaate unka ûtiûmba gûtûûria muntû mwoyo, îndî kiugo kîonthe kîra kiumaga kîrî Ngai kîamûtûûria.’ ”
MAT.4.5	Kaîrî Nkoma yaira Yiesû taûni îra ntheru ya Njerusaremu. Yamwira kûra îgûrû kathûmbîri ka nyomba ya Ngai. 
MAT.4.6	Yamwîra, “Weegua ûrî Mwana wa Ngai, teebarûkie n'ûntû kwandîkîîtwe Maandîkooni Maatheru, ‘Ngai eerîîte araîka baake bakwambîîrie na njara ciao kaingo ûtathuumûrua nwa mbayo ciaku i maiga.’ ”
MAT.4.7	Yiesû aacookeria Nkoma amîîra, “Maandîko Maatheru kaîrî maugîîte ûûgû, ‘Ûtikaagerie Mwathani Ngai waku.’ ”
MAT.4.8	Kaîrî Nkoma yaira Yiesû kûra îgûrû kîrîmaani kîîraaya mûno. Yamwonia moonene monthe ma nthîgûrû na mwago wa mo. 
MAT.4.9	Yamwîra, “Ngakwa mama monthe weegua ûgaaturia maru ûngonge.”
MAT.4.10	Îgûkinyia agu Yiesû amîîra, “Tigana naani, Saitaani, n'ûntû kwandîkîîtwe Maandîkooni Maatheru, ‘Ûtikaagonge kana ûtûmîkîra ûngî, tatiga Mwathani Ngai waku wenka.’ ”
MAT.4.11	Nkoma yarekana n'we yathi. Araîka baaya bapa Yiesû ûteethio.
MAT.4.12	Yiesû akwîgua Njoana akûthaîkwa nceera, aacooka gîteere kîa Gariiri. 
MAT.4.13	Aumire Nasareethi aathi gûtûûra taûni ya Kaperinaumu rûteere rwa îria rîa Gariiri, mwankaani wa mûgongo wa Saburoni na wa Nabutaari. 
MAT.4.14	Ûroria bûra Isaaya aaroriirie bwaûyûra, bûra buugîîte,
MAT.4.15	“Nthîgûrû ya Saburoni na ya Nabutaari,
MAT.4.15	na bara batûûraga rûteere rwa ûmotho
MAT.4.15	rwa muuro wa Njorondani ûtarîîte bwa îria,
MAT.4.15	Gariiri nthîgûrû ya mîgongo îngî îtarî Ayaundi,
MAT.4.16	antû bara batûîre mwinduuni,
MAT.4.16	ibooneete werû bûûnene.
MAT.4.16	Bara batûûraga kûra gûkari taka kûrumeene mwindu
MAT.4.16	n'ûntû bwa ûguaya bwa gîkuû, werû bûkûbamûrîkîra!”
MAT.4.17	Kuuma îgiita rîru, Yiesû aanjîîria gûtûmîîria akiugaga, “Îrireeni meeyia meenu n'ûntû ûnene bwa îgûrû bûkûthengeera.”
MAT.4.18	Yiesû atambîîte na rûteere rwa îria rîa Gariiri oona ategi ba makûyû baîrî bakîamba neeti ciao bagwata makûyû. Baarî Simioni, ûra kaîrî eetagwa Petûrû, na mûruagina Enderea. 
MAT.4.19	Yiesû abeera, “Nthingataani mbûtuîkithie ategi ba antû.” 
MAT.4.20	Bamûthingata warîru baatiga neeti ciao naagu.
MAT.4.21	Yiesû akûthiyathiyanga mbere, eethîra antû bangî baîrî. Wana bo baarî muntû na mûruagina. Baarî Njakubu na Njoana. Îthe eetagwa Cabendi. Baarî îtarûûni na îthe bagîtumaga neeti ciao. Yiesû abeeta. 
MAT.4.22	Warîru baatiga îthe na neeti ciao bamûthingata.
MAT.4.23	Yiesû aariûnga Gariiri yonthe akîrutanaga antû *masinagoogiini na agîtûmagîîria mantû ma ûnene bwa îgûrû. Kinya nooragia antû ndwari cia mîthemba yonthe na mbayua cionthe ira beegagua barî na cio. 
MAT.4.24	Nkuma yake yatamba nthîgûrû ya Sîîria yonthe. Antû bamûreetera aayie bonthe ba mîthemba yonthe, na bara bonthe baathîînaga na njîra ingî inyingî. Kûrî baarî na irundu biithûûku, bangî nkurî, na bangî bonju mîîrî. Yiesû abooria. 
MAT.4.25	Kîrîndî kingî mûno kuuma Gariiri, Ndikaporis, Njerusaremu, Njundea, na kinya rûgongo rûra rûngî rwa muuro wa Njorondani kîathingata Yiesû.
MAT.5.1	Yiesû akûraitha oona bûra kîrîndî kîagana, aatwa karîmaani aakara nthîgûrû. Arutwa baake bamwîthîranîra. 
MAT.5.2	Yiesû abarutana mantû mama,
MAT.5.3	“Kîthaarimo i kîrî bara beebonaga bo ti gîntû kîrî Ngai,
MAT.5.3	ûnene bwa îgûrû i bwao.
MAT.5.4	Kîthaarimo i kîrî bara barî na kîîthikîîro nkorooni,
MAT.5.4	Ngai akabaûmîîria.
MAT.5.5	Kîthaarimo i kîrî bara babooreeru,
MAT.5.5	bakeewa nthîgûrû îtuîke yao.
MAT.5.6	Kîthaarimo i kîrî bara barî na yûûra na bûûta
MAT.5.6	ya kûrûtha bûra kwagîrîte, bakaabaa.
MAT.5.7	Kîthaarimo i kîrî bara barî kîao,
MAT.5.7	Ngai akabeegua kîao.
MAT.5.8	Kîthaarimo i kîrî bara batheru nkoro,
MAT.5.8	bakoona Ngai na meetho.
MAT.5.9	Kîthaarimo i kîrî bara bareetaga ûkiri,
MAT.5.9	bageetwa aana ba Ngai.
MAT.5.10	Kîthaarimo i kîrî bara bathîînagua n'ûntû bwa kûrûngama ûmmaani,
MAT.5.10	ûnene bwa îgûrû i bwao.
MAT.5.11	“Kîthaarimo i kîrî biû rîra antû babûruma, rîra babûnyamaaria, kana babûtuîrîîra mantû maingî maathûûku n'ûntû bwa bûra bûrî baakwa. 
MAT.5.12	Rîra bakûbûrûtha ûgu, kenaani. Gwîruani mûno n'ûntû kîewa kîenu îgûrû i kîînene. Ûgu i ta bu baanyamaariirie bara baarî iroria mbere yenu.”
MAT.5.13	Yiesû auga, “Kîrî antû biû bûrî mwonyo. Îndî mwonyo ûkathira mûcamo ûtiîkîrîka uu kaîrî. Ûkarire ûgu ûtirî gîtûmi kaîrî nwa gûteewa nja ûgakinyangwa n'antû.
MAT.5.14	“Na kaîrî biû bûrî werû kîrî antû ba nthîgûrû. Bûkari ta bûra ntûûra yakîîtwe karîmaani îtaithîka. 
MAT.5.15	Naka muntû atimuntagia taa amîkunîkîra. Amîtûûgagîîria bantû aûkîîru kaingo îmûrîkîra bonthe bara barî nyomba înu. 
MAT.5.16	Ta ûgu i ta bu werû bwenu bûbatîîrue bûmûrîkîra antû kaingo boona mantû mara bûrûthaga i mantû meega, bakumia Abaagu ûra arî îgûrû.”
MAT.5.17	Yiesû auga, “Bûtikaathûgaanie mbûyîîte kwonania *watho bwa Musa na ûrutani bwa iroria bûtirî gîtûmi. Ntaaya kûbuagîra gîtûmi, ndaayire kûbuûyûrîîria. 
MAT.5.18	Na mma ga nkûbwîra, mûthiro wa îgûrû na nthîgûrû ûtakinyîîte, gûtirî gatemwa nwa kamwe kana gacuncî nwa kaniini ka watho gakaûra mwanka mantû monthe maingîke. 
MAT.5.19	Kwoogu muntû ûra aunaga watho bûra bûniini na akarutana bara bangî kûrûtha ta we, agaatuîka ûmûniini ûneneeni bwa îgûrû. Îndî ûra aathîkagîra na akarutana bara bangî gûtuîka aathîki agaatuîka mûnene ûneneeni bwa îgûrû. 
MAT.5.20	Na ga nkûbwîra, twanga bûkaagîra bûgakûrûka aarimû ba watho na *Abarisai, bûtiikûrûka ûneneeni bwa îgûrû.”
MAT.5.21	Yiesû auga, “Ibwiyî Ngai augire kuuma tene, ‘Ûtikaûragane.
MAT.5.22	Îndî naani ga nkûbwîra, ûra akaathûûrîra ûra ûngî nakagambithua. Na ûra akeera ûra ûngî ‘Ûrî wa ûtheri!’, arî na îgamba na kîama. Na ûra ageeta ûra ûngî, ‘Kîaa gîkî!’, nakaathi îcamaarîro.
MAT.5.23	“Kwoogu ûkaaya kûthi kîthînjîrooni, na mbere ya ûruta kîgongwana gîaku ûkaririkana kûrî muntû ûbîtîrîtie, 
MAT.5.24	tiga kîgongwana agu kîthînjîrooni wambe ûthi bûgwatanîre n'we. Rîru ûcooke kûrutira Ngai kîgongwana gîaku.
MAT.5.25	“Gwatanîra na ûra bûrî na ntheto n'we na mpwî mbere akwira îgambaani ûtuîrwa ûnenkanîîrua kîrî acikaarî bakwira nceera. 
MAT.5.26	Na mma ga ngûkwîra, ûtiuma ku ûtamûrîîte mwanka ndururu ya mûthia.”
MAT.5.27	Yiesû aathi na mbere abeera, “Na kaîrî ibwiyî Ngai augîîte, ‘Ûtikaathûngîîre.’
MAT.5.28	Îndî naani ga nkûbwîra, ûra oonaga mûka akamwîgua bata i ta bûmwe na kûmaama n'we n'ûntû bwa kwîrirîîria we. 
MAT.5.29	Ûkaaya kwîgua riitho rîaku rîa ûrîo rîtûmaga wîyia, rîtûre. I kaaba wagîîte gacuncî kamwe ka mwîrî waku kîrî mwîrî waku unthe ûgereetwe mwankiini wa îcamaarîro. 
MAT.5.30	Kana ûkaaya kwîgua njara yaku ya ûrîo îtûmaga wîyia, mîgiite. I kaaba wagîîte gacuncî kamwe ka mwîrî waku kîrî mwîrî waku unthe ûgereetwe mwankiini wa îcamaarîro.”
MAT.5.31	Yiesû abeera, “Kaîrî kwîrîîtwe, ‘Muntû akeenda gûcookia mûka nwa mwanka aandîke baarûa ya kwonania akuumanwa n'we.’
MAT.5.32	Îndî naani ga nkûbwîra, twanga mûka atuîkîîte mûthûngîîri, ûra acookagia mûka natûmaga mûka ûyu athûngîîra. Na ûra agûraga mûka ta ûyu ateetwe i mwene, muntû ûyu neegagua akîthûngîîra.”
MAT.5.33	Yiesû auga, “Ibwiyî Ngai augire kuuma tene, ‘Ûtikaathiîtie ûtakîrûtha ûntû. Wathiîtîria Ngai kûrûtha ûntû nwa mwanka ûbwingie.’
MAT.5.34	Îndî naani ga nkûbwîra, ûtikaathiîtie wana gûkari ata. Ûtikaathiîtie na îgûrû n'ûntû i noogo Ngai aathanaga arî, 
MAT.5.35	na ûtikaathiîtie na nthîgûrû n'ûntû n'yo ûkinyo bwake kana ûthiîtia na Njerusaremu n'ûntû i taûni ya mûnene ûra arî îgweta mûno. 
MAT.5.36	Ûtikaathiîtie na kîongo gîaku n'ûntû ûtiûmba kûgarûra rûtundu nwa rûmwe rûtuîka rûûyerû kana rûûyirû. 
MAT.5.37	Weegua ûrîenda kuuga ‘Yîî,’ uga ‘Yîî.’ Na weegua ûrîenda kuuga ‘Arî,’ uga ‘Arî.’ Bûngî nkûrûki ya ûgu i Nkoma abureetaga.”
MAT.5.38	Yiesû auga, “Ibwiyî kwîrîîtwe, ‘Ûra agaatûra ûra ûngî riitho wana we natûrwe rîake. Na ûra agaakûûra ûra ûngî îgego wana we nakûûrwe rîake.’
MAT.5.39	Îndî naani ga nkûbwîra, ûtikaarigîîrie muntû akûrûthîra ûthûûku. Muntû akaaya gûkûringa îkoobi rûthea rwa ûrîo, mûgarûrîre kinya rwa ûmotho aringe. 
MAT.5.40	Muntû agakûthitanga abangîîte gûgûtunya caati yaku, eenda nathûkie kinya kabuuti. 
MAT.5.41	Muntû akaaya gûgûkamatithia mûrigo wake na taka bantû a mairi îmwe, mûkamatîre mairi îngî îmwe nkûrûki. 
MAT.5.42	Muntû agakûromba gîntû ûtikaarege kûmûteethia. Na ûra agaagûkooba gîntû ûtikarege kûmûkoobithia.”
MAT.5.43	Yiesû auga, “Kaîrî ibwiyî kwîrîîtwe, ‘Enda mûtûûri waku
MAT.5.44	Îndî naani ga nkûbwîra, endagaani anthû beenu na rombagîraani bara babûnyamaaragia. 
MAT.5.45	Bûkarûtha ûgu i rîo bûgaatuîka aana ba Abaagu ûra arî îgûrû, n'ûntû we n'we atûmaga riûa rîake rîthararîra baathûûku na beega na akaurithîria mbura bara barûthaga bûra kwagîrîte na bara batarûthaga bûra kwagîrîte. 
MAT.5.46	Bwenda wabara babwendeete bonka akî rî, i bûrîkû bûûnene bûra bûgaatûma bwewa kîewa? Anga wana arûngithia ûgooti batirûthaga ûgu? 
MAT.5.47	Î kana weegua bûkeethagia waanyanya beenu bonka akî rî, i bûrîkû bwa mwanya bwarûtha? Anga wana bara bataiyî Ngai batirûthaga ûgu? 
MAT.5.48	Nwa mwanka bûtuîke baagîru ta bûra Abaagu ûra arî îgûrû arî ûmwagîru.”
MAT.6.1	Yiesû auga, “Îmenyeereeni rîra bûkûrûtha mantû meega bûtigaakare taka bûkwîbonania kîrî antû. N'ûntû bwarûtha ûgu bûtiona kîewa kuuma kîrî Abaagu ûra arî îgûrû.
MAT.6.2	“Wateethia muntû arî na thîîna ûtikaugîîrie kîrî antû ta bûra eebwithia barûthaga *sinagoogiini kana njîraani, kaingo bakaathîîrua n'antû. Na mma ga nkûbwîra kîewa kîao nwa gîku. 
MAT.6.3	Rîra ûkweyana ûteethio, wana njara yaku ya ûmotho îtikaamenye bûra njara ya ûrîo îkûrûtha, 
MAT.6.4	kaingo ûteethio bwaku bûtuîka bwa witho, na Abaagu ûra oonaga mantû withooni agakwa kîewa.”
MAT.6.5	Yiesû eera arutwa baake, “Bwakara kûromba bûtigaakare ta eebwithia, n'ûntû beendaga kûromba barûngi *masinagoogiini na makomanooni ma njîra kaingo boonwa n'antû. Na mma ga nkûbwîra, kîewa kîao nwa gîku. 
MAT.6.6	Wenda kûromba thûngîra nyomba winge mûrango ûrombe Abaagu ûra arî îgûrû, ûra atoonagwa na meetho, na n'ûntû we noonaga mantû ma witho agakwa kîewa. 
MAT.6.7	Bûtikaarîrînge gûtarî bu bûkuuga na maromba maaraaya ta bara batarî Ayaundi, n'ûntû bathûgaanagia maromba ma ntheto inyingî i mo Ngai eegagua. 
MAT.6.8	Bûtigaakare ta bo n'ûntû wana mbere ya bûromba Abaagu naiyî moobatu meenu. 
MAT.6.9	Rombagaani ûûgû,
MAT.6.9	‘Baaba wetû ûra ûrî îgûrû,
MAT.6.9	riîtwa rîaku rîgongagwe.
MAT.6.10	Ûnene bwaku bûûye,
MAT.6.10	kwenda gwaku kûrûthagwe gûkû nthîgûrû
MAT.6.10	ta bûra kûrûthagwa îgûrû.
MAT.6.11	Tweyage irio bia gûtûgana.
MAT.6.12	Tûrekagîre mabîtia meetû
MAT.6.12	ta bûra tûrekagîra bara batûbîtagîria.
MAT.6.13	Ûtikaareke tûthûngîra magerioni,
MAT.6.13	tûtunyûkagie ûra mûthûûku.
MAT.6.13	[Ûnene, inya, na mwago
MAT.6.13	i biaku tene na tene. Aameni.]’
MAT.6.14	Weegua bûkaarekagîra bara babûbîtagîria, wana Abaagu ûra arî îgûrû akabûrekagîra. 
MAT.6.15	Îndî bwarega kûrekera antû babûbîtîria, wana biû Abaagu ûra arî îgûrû atibûrekera.”
MAT.6.16	Yiesû auga, “Bwatîîrîra kûrîa n'ûntû bwa maromba, bûtikang'onyarie moothiû meenu ta bûra eebwithia barûthaga kaingo boonia antû ibatîîrîrîte kûrîa n'ûntû bwa kûromba Ngai. Na mma ga nkûbwîra kîewa kîao nwa gîku. 
MAT.6.17	Bwatîîrîra kûrîa n'ûntû bwa maromba thambagaani meetho, bûgaaka ntundu maguta na bûgaicanûra ta wîthîre, 
MAT.6.18	kaingo bûtoonia antû bwîrekeetie n'ûntû bwa kûromba Ngai. Igûtuîke nwa Abaagu ûra atoonagwa na meetho wenka aiyî. Na n'ûntû n'we oonaga mantû ma witho, akabwaa kîewa.”
MAT.6.19	Yiesû auga, “Bûtikeebaigîre ûtonga bwa gûkû nthîgûrû bwîgwetie bu, n'ûntû ndugunye na nganka nwa ibuînyangie kana bûkaiywa n'amba. 
MAT.6.20	Îbaigîreeni ûtonga bwa îgûrû bûra bûtaûmba kwînyangua i ndugunye kana nganka, kana mwamba athûngîra aiya. 
MAT.6.21	Ara ûtonga bwa muntû bûrî noogo nkoro yake îîgagua îrî.”
MAT.6.22	Yiesû auga, “Riitho i ta rîo taa ya mwîrî. Ûkaaya kwîgua gûtarî bu riitho rîaku rîkari, mwîrî waku unthe ûkaamûrîkîrwa i werû. 
MAT.6.23	Îndî riitho rîaku ûkeegua rîrî ûntû, mwîrî waku unthe ûûyûragwa i mwindu. Î rîo rî, ûkaaya kwîgua werû bûra bûrî ndeni yaku bûtuîkîîte mwindu rî, mwindu ûyu ti ûmûnene mûno!
MAT.6.24	“Gûtirî muntû aûmba gûtûmîkîra anene baîrî. Nwa amenire ûmwe eenda ûra ûngî, kana aathîkîîre ûmwe atatîîye ûra ûngî. Bûtiûmba gûtûmîkîra Ngai na bûtûmîkîra ûtonga.”
MAT.6.25	Yiesû auga, “Ka mbwîreeni, bûtikeemakîre bûkîûragia i mbi bûkaarîa, i mbi bûkaanyua, kana i kû bûkaaruta nguo cia gwîkîra. Anga mwoyo t'uu ûrî gîtûmi nkûrûki ya irio na mwîrî na uu nkûrûki ya nguo? 
