GEN.1.2	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä. 
GEN.1.26	Ja Jumala sanoi: "Tehkäämme ihminen kuvaksemme, kaltaiseksemme; ja vallitkoot he meren kalat ja taivaan linnut ja karjaeläimet ja koko maan ja kaikki matelijat, jotka maassa matelevat". 
GEN.1.27	Ja Jumala loi ihmisen omaksi kuvaksensa, Jumalan kuvaksi hän hänet loi; mieheksi ja naiseksi hän loi heidät. 
GEN.1.28	Ja Jumala siunasi heidät, ja Jumala sanoi heille:
GEN.1.28	"Olkaa hedelmälliset ja lisääntykää ja täyttäkää maa
GEN.1.28	ja tehkää se itsellenne alamaiseksi;
GEN.1.28	ja vallitkaa meren kalat ja taivaan linnut
GEN.1.28	ja kaikki maan päällä liikkuvat eläimet".
GEN.1.30	Ja kaikille metsäeläimille ja kaikille taivaan linnuille ja kaikille, jotka maassa matelevat ja joissa on elävä henki, minä annan kaikkinaiset viheriät ruohot ravinnoksi". Ja tapahtui niin. 
GEN.1.31	Ja Jumala katsoi kaikkea, mitä hän tehnyt oli, ja katso, se oli sangen hyvää. Ja tuli ehtoo, ja tuli aamu, kuudes päivä.
GEN.2.1	Niin tulivat valmiiksi taivas ja maa kaikkine joukkoinensa. 
GEN.2.2	Ja Jumala päätti seitsemäntenä päivänä työnsä, jonka hän oli tehnyt, ja lepäsi seitsemäntenä päivänä kaikesta työstänsä, jonka hän oli tehnyt. 
GEN.2.3	Ja Jumala siunasi seitsemännen päivän ja pyhitti sen, koska hän sinä päivänä lepäsi kaikesta luomistyöstänsä, jonka hän oli tehnyt.
GEN.2.4	Tämä on kertomus taivaan ja maan synnystä, kun ne luotiin.
GEN.2.4	Siihen aikaan kun Herra Jumala teki maan ja taivaan, 
GEN.2.5	ei ollut vielä yhtään kedon pensasta maan päällä, eikä vielä kasvanut mitään ruohoa kedolla, koska Herra Jumala ei vielä ollut antanut sataa maan päälle eikä ollut ihmistä maata viljelemässä, 
GEN.2.6	vaan sumu nousi maasta ja kasteli koko maan pinnan. 
GEN.2.7	Silloin Herra Jumala teki maan tomusta ihmisen ja puhalsi hänen sieramiinsa elämän hengen, ja niin ihmisestä tuli elävä sielu.
GEN.2.8	Ja Herra Jumala istutti paratiisin Eedeniin, itään, ja asetti sinne ihmisen, jonka hän oli tehnyt. 
GEN.2.9	Ja Herra Jumala kasvatti maasta kaikkinaisia puita, ihania nähdä ja hyviä syödä, ja elämän puun keskelle paratiisia, niin myös hyvän- ja pahantiedon puun. 
GEN.2.10	Ja Eedenistä lähti joki, joka kasteli paratiisia, ja se jakaantui sieltä neljään haaraan. 
GEN.2.11	Ensimmäisen nimi on Piison; se kiertää koko Havilan maan, jossa on kultaa; 
GEN.2.12	ja sen maan kulta on hyvää. Siellä on myös bedellion-pihkaa ja onyks-kiveä. 
GEN.2.13	Toisen virran nimi on Giihon; se kiertää koko Kuusin maan. 
GEN.2.14	Kolmannen virran nimi on Hiddekel; se juoksee Assurin editse. Ja neljäs virta on Eufrat. 
GEN.2.15	Ja Herra Jumala otti ihmisen ja pani hänet Eedenin paratiisiin viljelemään ja varjelemaan sitä. 
GEN.2.16	Ja Herra Jumala käski ihmistä sanoen: "Syö vapaasti kaikista muista paratiisin puista, 
GEN.2.17	mutta hyvän- ja pahantiedon puusta älä syö, sillä sinä päivänä, jona sinä siitä syöt, pitää sinun kuolemalla kuoleman".
GEN.2.19	Ja Herra Jumala teki maasta kaikki metsän eläimet ja kaikki taivaan linnut ja toi ne ihmisen eteen nähdäkseen, kuinka hän ne nimittäisi; ja niinkuin ihminen nimitti kunkin elävän olennon, niin oli sen nimi oleva. 
GEN.2.20	Ja ihminen antoi nimet kaikille karjaeläimille ja taivaan linnuille ja kaikille metsän eläimille. Mutta Aadamille ei löytynyt apua, joka olisi hänelle sopinut. 
GEN.2.21	Niin Herra Jumala vaivutti ihmisen raskaaseen uneen, ja kun hän nukkui, otti hän yhden hänen kylkiluistaan ja täytti sen paikan lihalla. 
GEN.2.22	Ja Herra Jumala rakensi vaimon siitä kylkiluusta, jonka hän oli ottanut miehestä, ja toi hänet miehen luo. 
GEN.2.23	Ja mies sanoi:
GEN.2.23	"Tämä on nyt luu minun luistani ja liha minun lihastani;
GEN.2.23	hän kutsuttakoon miehettäreksi,
GEN.2.23	sillä hän on miehestä otettu".
GEN.2.25	Ja he olivat molemmat, mies ja hänen vaimonsa, alasti eivätkä hävenneet toisiansa.
GEN.3.2	Niin vaimo vastasi käärmeelle: "Me saamme syödä muiden puiden hedelmiä paratiisissa, 
GEN.3.3	mutta sen puun hedelmästä, joka on keskellä paratiisia, on Jumala sanonut: 'Älkää syökö siitä älkääkä koskeko siihen, ettette kuolisi'." 
GEN.3.4	Niin käärme sanoi vaimolle: "Ette suinkaan kuole; 
GEN.3.5	vaan Jumala tietää, että sinä päivänä, jona te siitä syötte, aukenevat teidän silmänne, ja te tulette niinkuin Jumala tietämään hyvän ja pahan". 
GEN.3.6	Ja vaimo näki, että siitä puusta oli hyvä syödä ja että se oli ihana katsella ja suloinen puu antamaan ymmärrystä; ja hän otti sen hedelmästä ja söi ja antoi myös miehellensä, joka oli hänen kanssansa, ja hänkin söi.
GEN.3.7	Silloin aukenivat heidän molempain silmät, ja he huomasivat olevansa alasti; ja he sitoivat yhteen viikunapuun lehtiä ja tekivät itselleen vyöverhot.
GEN.3.8	Ja he kuulivat, kuinka Herra Jumala käyskenteli paratiisissa illan viileydessä. Ja mies vaimoineen lymysi Herran Jumalan kasvojen edestä paratiisin puiden sekaan. 
GEN.3.9	Mutta Herra Jumala huusi miestä ja sanoi hänelle: "Missä olet?" 
GEN.3.10	Hän vastasi: "Minä kuulin sinun askeleesi paratiisissa ja pelkäsin, sillä minä olen alasti, ja sentähden minä lymysin". 
GEN.3.11	Ja hän sanoi: "Kuka sinulle ilmoitti, että olet alasti? Etkö syönyt siitä puusta, josta minä kielsin sinua syömästä?" 
GEN.3.12	Mies vastasi: "Vaimo, jonka annoit olemaan minun kanssani, antoi minulle siitä puusta, ja minä söin". 
GEN.3.13	Niin Herra Jumala sanoi vaimolle: "Mitäs olet tehnyt?" Vaimo vastasi: "Käärme petti minut, ja minä söin".
GEN.3.14	Ja Herra Jumala sanoi käärmeelle:
GEN.3.14	"Koska tämän teit, kirottu ole sinä
GEN.3.14	kaikkien karjaeläinten
GEN.3.14	ja kaikkien metsän eläinten joukossa.
GEN.3.14	Vatsallasi sinun pitää käymän
GEN.3.14	ja tomua syömän koko elinaikasi.
GEN.3.15	ja sinun siemenesi ja hänen siemenensä välille;
GEN.3.15	se on polkeva rikki sinun pääsi,
GEN.3.15	ja sinä olet pistävä sitä kantapäähän."
GEN.3.16	"Minä teen suuriksi sinun raskautesi vaivat,
GEN.3.16	kivulla sinun pitää synnyttämän lapsia;
GEN.3.16	mutta mieheesi on sinun halusi oleva,
GEN.3.16	ja hän on sinua vallitseva".
GEN.3.17	"Koska kuulit vaimoasi ja söit puusta,
GEN.3.17	josta minä kielsin sinua sanoen: 'Älä syö siitä',
GEN.3.17	niin kirottu olkoon maa sinun tähtesi.
GEN.3.17	Vaivaa nähden sinun pitää elättämän itseäsi siitä koko elinaikasi;
GEN.3.18	orjantappuroita ja ohdakkeita
GEN.3.18	se on kasvava sinulle,
GEN.3.18	ja kedon ruohoja sinun on syötävä.
GEN.3.19	kunnes tulet maaksi jälleen,
GEN.3.19	sillä siitä sinä olet otettu.
GEN.3.19	Sillä maasta sinä olet,
GEN.3.19	ja maaksi pitää sinun jälleen tuleman."
GEN.3.20	Ja mies antoi vaimolleen nimen Eeva
GEN.3.21	Ja Herra Jumala teki Aadamille ja hänen vaimollensa puvut nahasta ja puki ne heidän yllensä.
GEN.3.22	Ja Herra Jumala sanoi: "Katso, ihminen on tullut sellaiseksi kuin joku meistä, niin että hän tietää hyvän ja pahan. Kun ei hän nyt vain ojentaisi kättänsä ja ottaisi myös elämän puusta ja söisi ja eläisi iankaikkisesti!" 
GEN.3.23	Niin Herra Jumala ajoi hänet pois Eedenin paratiisista viljelemään maata, josta hän oli otettu. 
GEN.3.24	Ja hän karkoitti ihmisen ja asetti Eedenin paratiisin itäpuolelle kerubit ynnä välkkyvän, leimuavan miekan vartioitsemaan elämän puun tietä.
GEN.4.1	Ja mies yhtyi vaimoonsa Eevaan; ja tämä tuli raskaaksi ja synnytti Kainin
GEN.4.2	Ja taas hän synnytti pojan, veljen Kainille, Aabelin. Ja Aabelista tuli lampuri, mutta Kainista peltomies. 
GEN.4.3	Ja jonkun ajan kuluttua tapahtui, että Kain toi maan hedelmistä uhrilahjan Herralle; 
GEN.4.4	ja myöskin Aabel toi uhrilahjan laumansa esikoisista, niiden rasvoista. Ja Herra katsoi Aabelin ja hänen uhrilahjansa puoleen; 
GEN.4.5	mutta Kainin ja hänen uhrilahjansa puoleen hän ei katsonut. Silloin Kain vihastui kovin, ja hänen hahmonsa synkistyi. 
GEN.4.6	Ja Herra sanoi Kainille: "Miksi olet vihastunut, ja miksi hahmosi synkistyy? 
GEN.4.7	Eikö niin: jos teet hyvin, voit kohottaa katseesi; mutta jos et hyvin tee, niin väijyy synti ovella, ja sen halu on sinuun, mutta hallitse sinä sitä!" 
GEN.4.8	Ja Kain sanoi veljellensä Aabelille: "Menkäämme kedolle". Ja heidän kedolla ollessansa Kain karkasi veljensä Aabelin kimppuun ja tappoi hänet. 
GEN.4.9	Niin Herra sanoi Kainille: "Missä on veljesi Aabel?" Hän vastasi: "En tiedä; olenko minä veljeni vartija?" 
GEN.4.10	Ja hän sanoi: "Mitä olet tehnyt? Kuule, veljesi veri huutaa minulle maasta. 
GEN.4.11	Ja nyt ole kirottu ja karkoitettu pois tältä vainiolta, joka avasi suunsa ottamaan veljesi veren sinun kädestäsi. 
GEN.4.12	Kun maata viljelet, ei se ole enää sinulle satoansa antava; kulkija ja pakolainen pitää sinun oleman maan päällä." 
GEN.4.13	Ja Kain sanoi Herralle: "Syyllisyyteni on suurempi, kuin että sen kantaa voisin. 
GEN.4.14	Katso, sinä karkoitat minut nyt pois vainiolta, ja minun täytyy lymytä sinun kasvojesi edestä ja olla kulkija ja pakolainen maan päällä; ja kuka ikinä minut kohtaa, se tappaa minut." 
GEN.4.15	Mutta Herra sanoi hänelle: "Sentähden, kuka ikinä tappaa Kainin, hänelle se pitää seitsenkertaisesti kostettaman". Ja Herra pani Kainiin merkin, ettei kukaan, joka hänet kohtaisi, tappaisi häntä. 
GEN.4.16	Niin Kain poistui Herran kasvojen edestä ja asettui asumaan Noodin maahan, itään päin Eedenistä.
GEN.4.17	Ja Kain yhtyi vaimoonsa, ja tämä tuli raskaaksi ja synnytti Hanokin. Ja hän rakensi kaupungin ja antoi sille kaupungille poikansa nimen Hanok. 
GEN.4.18	Ja Hanokille syntyi Iirad, Iiradille syntyi Mehujael, Mehujaelille syntyi Metusael, Metusaelille syntyi Lemek. 
GEN.4.19	Lemek otti itselleen kaksi vaimoa, toisen nimi oli Aada ja toisen nimi Silla. 
GEN.4.20	Ja Aada synnytti Jaabalin; hänestä tuli niiden kantaisä, jotka teltoissa asuvat ja karjanhoitoa harjoittavat. 
GEN.4.21	Ja hänen veljensä nimi oli Juubal; hänestä tuli kaikkien niiden kantaisä, jotka kannelta ja huilua soittavat. 
GEN.4.22	Myöskin Silla synnytti pojan, Tuubal-Kainin; hänestä tuli kaikkinaisten vaski- ja rauta-aseiden takoja. Ja Tuubal-Kainin sisar oli Naema. 
GEN.4.23	Ja Lemek lausui vaimoillensa:
GEN.4.23	"Aada ja Silla, kuulkaa puhettani,
GEN.4.23	te Lemekin emännät, ottakaa sanani korviinne:
GEN.4.23	minä surmaan miehen haavastani
GEN.4.23	ja nuorukaisen mustelmastani.
GEN.4.24	Niin, Kain kostetaan seitsenkertaisesti, mutta Lemek seitsemänkymmentä seitsemän kertaa." 
GEN.4.25	Ja Aadam yhtyi taas vaimoonsa, ja tämä synnytti pojan ja antoi hänelle nimen Seet
GEN.4.26	Ja myöskin Seetille syntyi poika, ja hän antoi hänelle nimen Enos. Siihen aikaan ruvettiin avuksi huutamaan Herran nimeä.
GEN.5.2	Mieheksi ja naiseksi hän heidät loi ja siunasi heidät ja antoi heille nimen 
GEN.5.3	Kun Aadam oli sadan kolmenkymmenen vuoden vanha, syntyi hänelle poika, joka oli hänen kaltaisensa, hänen kuvansa, ja hän antoi hänelle nimen Seet. 
GEN.5.4	Ja Aadam eli Seetin syntymän jälkeen kahdeksansataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.5	Niin oli Aadamin koko elinaika yhdeksänsataa kolmekymmentä vuotta; sitten hän kuoli. 
GEN.5.6	Kun Seet oli sadan viiden vuoden vanha, syntyi hänelle Enos. 
GEN.5.7	Ja Seet eli Enoksen syntymän jälkeen kahdeksansataa seitsemän vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.8	Niin oli Seetin koko elinaika yhdeksänsataa kaksitoista vuotta; sitten hän kuoli. 
GEN.5.9	Kun Enos oli yhdeksänkymmenen vuoden vanha, syntyi hänelle Keenan. 
GEN.5.10	Ja Enos eli Keenanin syntymän jälkeen kahdeksansataa viisitoista vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.11	Niin oli Enoksen koko elinaika yhdeksänsataa viisi vuotta; sitten hän kuoli. 
GEN.5.12	Kun Keenan oli seitsemänkymmenen vuoden vanha, syntyi hänelle Mahalalel. 
GEN.5.13	Ja Keenan eli Mahalalelin syntymän jälkeen kahdeksansataa neljäkymmentä vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.14	Niin oli Keenanin koko elinaika yhdeksänsataa kymmenen vuotta; sitten hän kuoli. 
GEN.5.15	Kun Mahalalel oli kuudenkymmenen viiden vuoden vanha, syntyi hänelle Jered. 
GEN.5.16	Ja Mahalalel eli Jeredin syntymän jälkeen kahdeksansataa kolmekymmentä vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.17	Niin oli Mahalalelin koko elinaika kahdeksansataa yhdeksänkymmentä viisi vuotta; sitten hän kuoli. 
GEN.5.18	Kun Jered oli sadan kuudenkymmenen kahden vuoden vanha, syntyi hänelle Hanok. 
GEN.5.19	Ja Jered eli Hanokin syntymän jälkeen kahdeksansataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.20	Niin oli Jeredin koko elinaika yhdeksänsataa kuusikymmentä kaksi vuotta; sitten hän kuoli. 
GEN.5.21	Kun Hanok oli kuudenkymmenen viiden vuoden vanha, syntyi hänelle Metusalah. 
GEN.5.22	Ja Hanok vaelsi Metusalahin syntymän jälkeen Jumalan yhteydessä kolmesataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.23	Niin oli Hanokin koko elinaika kolmesataa kuusikymmentä viisi vuotta. 
GEN.5.24	Ja kun Hanok oli vaeltanut Jumalan yhteydessä, ei häntä enää ollut, sillä Jumala oli ottanut hänet pois. 
GEN.5.25	Kun Metusalah oli sadan kahdeksankymmenen seitsemän vuoden vanha, syntyi hänelle Lemek. 
GEN.5.26	Ja Metusalah eli Lemekin syntymän jälkeen seitsemänsataa kahdeksankymmentä kaksi vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.27	Niin oli Metusalahin koko elinaika yhdeksänsataa kuusikymmentä yhdeksän vuotta; sitten hän kuoli. 
GEN.5.28	Kun Lemek oli sadan kahdeksankymmenen kahden vuoden vanha, syntyi hänelle poika. 
GEN.5.29	Ja hän antoi hänelle nimen Nooa
GEN.5.30	Ja Lemek eli Nooan syntymän jälkeen viisisataa yhdeksänkymmentä viisi vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.31	Niin oli Lemekin koko elinaika seitsemänsataa seitsemänkymmentä seitsemän vuotta; sitten hän kuoli. 
GEN.5.32	Kun Nooa oli viidensadan vuoden vanha, syntyivät hänelle Seem, Haam ja Jaafet.
GEN.6.1	Kun ihmiset alkoivat lisääntyä maan päällä ja heille syntyi tyttäriä, 
GEN.6.2	huomasivat Jumalan pojat ihmisten tyttäret ihaniksi ja ottivat vaimoikseen kaikki, jotka he parhaiksi katsoivat. 
GEN.6.3	Silloin Herra sanoi: "Minun Henkeni ei ole vallitseva ihmisessä iankaikkisesti, koska hän on liha. Niin olkoon hänen aikansa sata kaksikymmentä vuotta."
GEN.6.6	niin Herra katui tehneensä ihmiset maan päälle, ja hän tuli murheelliseksi sydämessänsä. 
GEN.6.7	Ja Herra sanoi: "Minä hävitän maan päältä ihmiset, jotka minä loin, sekä ihmiset että karjan, matelijat ja taivaan linnut; sillä minä kadun ne tehneeni". 
GEN.6.8	Mutta Nooa sai armon Herran silmien edessä.
GEN.6.9	Nooa oli aikalaistensa keskuudessa hurskas ja nuhteeton mies ja vaelsi Jumalan yhteydessä. 
GEN.6.10	Ja Nooalle syntyi kolme poikaa, Seem, Haam ja Jaafet. 
GEN.6.11	Mutta maa turmeltui Jumalan edessä, ja maa tuli täyteen väkivaltaa. 
GEN.6.12	Niin Jumala näki, että maa oli turmeltunut; sillä kaikki liha oli turmellut vaelluksensa maan päällä.
GEN.6.13	Silloin Jumala sanoi Nooalle: "Minä olen päättänyt tehdä lopun kaikesta lihasta, sillä maa on heidän tähtensä täynnä väkivaltaa; katso, minä hävitän heidät ynnä maan. 
GEN.6.14	Tee itsellesi arkki honkapuista, rakenna arkki täyteen kammioita, ja tervaa se sisältä ja ulkoa. 
GEN.6.15	Ja näin on sinun se rakennettava: kolmesataa kyynärää olkoon arkin pituus, viisikymmentä kyynärää sen leveys ja kolmekymmentä kyynärää sen korkeus. 
GEN.6.16	Tee arkkiin valoaukko, ja tee se kyynärän korkuiseksi, ja sijoita arkin ovi sen kylkeen; rakenna siihen kolme kerrosta, alimmainen, keskimmäinen ja ylimmäinen. 
GEN.6.17	Sillä katso, minä annan vedenpaisumuksen tulla yli maan hävittämään taivaan alta kaiken lihan, kaiken, jossa on elämän henki; kaikki, mikä on maan päällä, on hukkuva. 
GEN.6.18	Mutta sinun kanssasi minä teen liiton, ja sinun on mentävä arkkiin, sinun ja sinun poikiesi, vaimosi ja miniäisi sinun kanssasi. 
GEN.6.19	Ja kaikista eläimistä, kaikesta lihasta, sinun on vietävä arkkiin kaksi kutakin lajia säilyttääksesi ne hengissä kanssasi; niitä olkoon koiras ja naaras. 
GEN.6.20	Lintuja lajiensa mukaan, karjaeläimiä lajiensa mukaan ja kaikkia maan matelijoita lajiensa mukaan tulkoon kaksi kutakin lajia sinun luoksesi, säilyttääksesi ne hengissä. 
GEN.6.21	Ja hanki itsellesi kaikkinaista ravintoa, syötäväksi kelpaavaa, ja kokoa sitä talteesi, että se olisi ruuaksi sinulle ja heille."
GEN.6.22	Ja Nooa teki näin; aivan niin kuin Jumala hänen käski tehdä, niin hän teki.
GEN.7.1	Ja Herra sanoi Nooalle: "Mene sinä ja koko perheesi arkkiin, sillä sinut minä olen tässä sukukunnassa havainnut hurskaaksi edessäni. 
GEN.7.2	Kaikkia puhtaita eläimiä ota luoksesi seitsemän paria, koiraita ja naaraita, mutta epäpuhtaita eläimiä kutakin yksi pari, koiras ja naaras. 
GEN.7.3	Niin myös taivaan lintuja seitsemän paria, koiraita ja naaraita, että siemen säilyisi elossa koko maan päällä. 
GEN.7.4	Sillä seitsemän päivän kuluttua minä annan sataa maan päälle neljäkymmentä päivää ja neljäkymmentä yötä ja hävitän maan päältä kaikki olennot, jotka olen tehnyt." 
GEN.7.5	Ja Nooa teki näin, aivan niin kuin Herra oli hänen käskenyt tehdä.
GEN.7.6	Nooa oli kuudensadan vuoden vanha, kun vedenpaisumus tuli maan päälle. 
GEN.7.7	Ja Nooa ja hänen poikansa, vaimonsa ja miniänsä hänen kanssaan menivät arkkiin vedenpaisumusta pakoon. 
GEN.7.8	Puhtaita eläimiä ja epäpuhtaita eläimiä, lintuja ja kaikkia, joita maassa matelee, 
GEN.7.9	meni Nooan luo arkkiin kaksittain, koiras ja naaras, niinkuin Jumala oli Nooalle käskyn antanut. 
GEN.7.10	Ja niiden seitsemän päivän kuluttua tuli vedenpaisumus maan päälle.
GEN.7.12	Ja satoi rankasti maan päälle neljäkymmentä päivää ja neljäkymmentä yötä. 
GEN.7.13	Juuri sinä päivänä menivät Nooa sekä Seem, Haam ja Jaafet, Nooan pojat, ja Nooan vaimo ja hänen kolme miniäänsä heidän kanssaan arkkiin; 
GEN.7.14	he ja kaikki metsäeläimet lajiensa mukaan ja kaikki karjaeläimet lajiensa mukaan ja kaikki matelijat, jotka maan päällä matelevat, lajiensa mukaan ja kaikki linnut lajiensa mukaan, kaikki lintuset, kaikki, mikä siivekästä on. 
GEN.7.15	Ja ne menivät Nooan luo arkkiin kaksittain, kaikki liha, kaikki, jossa oli elämän henki. 
GEN.7.16	Ja ne, jotka menivät sisälle, olivat koiras ja naaras kaikesta lihasta, niinkuin Jumala oli hänelle käskyn antanut. Ja Herra sulki oven hänen jälkeensä.
GEN.7.17	Silloin tuli vedenpaisumus maan päälle, tuli neljänäkymmenenä päivänä; ja vedet paisuivat ja nostivat arkin, niin että se kohosi korkealle maasta. 
GEN.7.18	Ja vedet saivat vallan ja paisuivat suuresti maan päällä, ja arkki ajelehti veden pinnalla. 
GEN.7.19	Ja vedet nousivat nousemistaan maan päällä, niin että kaikki korkeat vuoret kaiken taivaan alla peittyivät. 
GEN.7.20	Viisitoista kyynärää vesi nousi vuorten yli, niin että ne peittyivät. 
GEN.7.21	Silloin hukkui kaikki liha, joka maan päällä liikkui: linnut, karjaeläimet, metsäeläimet ja kaikki pikkueläimet, joita maassa vilisi, sekä kaikki ihmiset. 
GEN.7.22	Kaikki, joiden sieramissa oli elämän hengen henkäys, kaikki, jotka elivät kuivalla maalla, kuolivat.
GEN.7.24	Ja vedet vallitsivat maan päällä sata viisikymmentä päivää.
GEN.8.1	Silloin Jumala muisti Nooaa ja kaikkia metsäeläimiä ja kaikkia karjaeläimiä, jotka olivat hänen kanssansa arkissa. Ja Jumala nosti tuulen puhaltamaan yli maan, niin että vesi laskeutui. 
GEN.8.2	Ja syvyyden lähteet ja taivaan akkunat sulkeutuivat, ja sade taivaasta taukosi. 
GEN.8.3	Ja vesi väistyi väistymistään maan päältä; sadan viidenkymmenen päivän kuluttua alkoi vesi vähentyä. 
GEN.8.4	Niin arkki pysähtyi seitsemäntenä kuukautena, kuukauden seitsemäntenätoista päivänä, Araratin vuorille. 
GEN.8.5	Ja vesi väheni vähenemistään aina kymmenenteen kuukauteen asti. Kymmenentenä kuukautena, kuukauden ensimmäisenä päivänä, tulivat vuorten huiput näkyviin. 
GEN.8.6	Neljänkymmenen päivän kuluttua Nooa avasi arkin ikkunan, jonka hän oli tehnyt, 
GEN.8.7	ja laski kaarneen lentoon, ja se lenteli edestakaisin, kunnes vesi maan päältä kuivui. 
GEN.8.8	Sitten hän laski luotansa kyyhkysen nähdäksensä, oliko vesi vähentynyt maan pinnalta. 
GEN.8.9	Mutta kyyhkynen ei löytänyt paikkaa, missä lepuuttaa jalkaansa, vaan palasi hänen luoksensa arkkiin, sillä koko maa oli vielä veden peitossa; niin hän ojensi kätensä ja otti sen luoksensa arkkiin. 
GEN.8.10	Ja hän odotti vielä toiset seitsemän päivää ja laski taas kyyhkysen arkista. 
GEN.8.11	Ja kyyhkynen tuli hänen luoksensa ehtoopuolella, ja katso, sen suussa oli tuore öljypuun lehti. Niin Nooa ymmärsi, että vesi oli vähentynyt maan päältä. 
GEN.8.12	Mutta hän odotti vielä toiset seitsemän päivää ja laski kyyhkysen lentoon, eikä se enää palannut hänen luoksensa.
GEN.8.13	Ja Nooan kuudentenasadantena yhdentenä ikävuotena, vuoden ensimmäisenä kuukautena, kuukauden ensimmäisenä päivänä, oli vesi kuivunut maan päältä. Niin Nooa poisti katon arkista ja katseli; ja katso, maan pinta oli kuivunut. 
GEN.8.14	Ja toisena kuukautena, kuukauden kahdentenakymmenentenä seitsemäntenä päivänä, oli maa aivan kuiva. 
GEN.8.15	Ja Jumala puhui Nooalle sanoen: 
GEN.8.16	"Lähde arkista, sinä ja vaimosi, poikasi ja miniäsi sinun kanssasi. 
GEN.8.17	Ja kaikki eläimet, jotka ovat luonasi, kaikki liha, linnut ja karjaeläimet ja kaikki matelijat, jotka maan päällä matelevat, vie ne ulos kanssasi. Niitä vilisköön maassa, ja ne olkoot hedelmälliset ja lisääntykööt maan päällä." 
GEN.8.18	Ja Nooa ja hänen poikansa, vaimonsa ja miniänsä hänen kanssaan lähtivät ulos, 
GEN.8.19	niin myös kaikki metsäeläimet, kaikki matelijat ja kaikki linnut, kaikki, mikä liikkuu maan päällä, lähtivät arkista suvuittain.
