GEN.1.2	Maa oli autio ja tyhjä, pimeys peitti syvyydet, ja Jumalan henki liikkui vetten yllä.
GEN.7.9	meni pareittain, uros ja naaras kutakin lajia, Nooan luo arkkiin, niin kuin Jumala oli hänelle sanonut. 
GEN.7.10	Kun seitsemän päivää oli kulunut, tuli vedenpaisumus maan päälle.
GEN.7.12	Maan päällä satoi rankasti neljäkymmentä päivää ja neljäkymmentä yötä. 
GEN.7.13	Juuri sinä päivänä Nooa sekä hänen kolme poikaansa Seem, Haam ja Jafet, hänen vaimonsa ja hänen kolmen poikansa vaimot menivät arkkiin. 
GEN.7.14	Heidän lisäkseen arkkiin meni kaikkia villieläimiä, karjaeläimiä ja maalla liikkuvia pikkueläimiä sekä kaikkia lintuja, niin pikkulintuja kuin muitakin siivekkäitä. 
GEN.7.15	Nooan luo tuli kaikkia eläviä olentoja pareittain, 
GEN.7.16	jokaista lajia uros ja naaras, niin kuin Jumala oli Nooalle sanonut. Ja Jumala sulki oven Nooan jälkeen.
GEN.7.17	Niin tuli vedenpaisumus neljäksikymmeneksi päiväksi maan päälle. Vedet nousivat ja nostivat arkin irti, niin että se kohosi korkealle maasta. 
GEN.7.18	Vedet paisuivat ja lisääntyivät suuresti maan päällä, ja arkki ajelehti veden pinnalla. 
GEN.7.19	Ja vedet paisuivat paisumistaan, kunnes korkeimmatkin vuoret peittyivät. 
GEN.7.20	Vesi nousi, ja vuoret jäivät viisitoista kyynärää veden alle. 
GEN.7.21	Silloin tuhoutuivat kaikki maan elävät olennot, linnut, karjaeläimet, villieläimet ja kaikki maan päällä vilisevät pikkueläimet sekä kaikki ihmiset. 
GEN.7.22	Kaikki kuivalla maalla elävät olennot kuolivat, kaikki, joissa oli elämän henkäys. 
GEN.7.23	Näin Herra pyyhkäisi maan päältä kaikki elävät olennot, ihmiset, karjaeläimet, pikkueläimet ja linnut; kaikki ne hän pyyhkäisi pois. Jäljelle jäivät vain Nooa sekä ne, jotka olivat hänen kanssaan arkissa.
GEN.7.24	Maa oli veden vallassa sataviisikymmentä päivää.
GEN.8.1	Mutta Jumala ei unohtanut Nooaa eikä villieläimiä ja karjaeläimiä, jotka olivat arkissa hänen mukanaan, vaan pani tuulen puhaltamaan maan yli, ja vedet lakkasivat nousemasta. 
GEN.8.2	Syvyyden lähteet ja taivaan ikkunat sulkeutuivat, ja sade taukosi. 
GEN.8.3	Vedet väistyivät väistymistään maan päältä, ja sadanviidenkymmenen päivän kuluttua vedet olivat alentuneet niin paljon, 
GEN.8.4	että arkki pysähtyi seitsemännen kuun seitsemäntenätoista päivänä Araratin vuoristoon. 
GEN.8.5	Vedet vähenivät vähenemistään kymmenenteen kuuhun saakka, ja kymmenennen kuun ensimmäisenä päivänä tulivat vuorten huiput näkyviin.
GEN.8.6	Kun vielä neljäkymmentä päivää oli kulunut, Nooa avasi arkin ikkunaluukun, jonka hän oli tehnyt, 
GEN.8.7	ja päästi lentoon korpin. Se lähti ja lenteli edestakaisin, kunnes vedet olivat kuivuneet maan päältä. 
GEN.8.8	Sitten hän lähetti luotaan kyyhkysen saadakseen tietää, joko maa oli tullut esiin veden alta, 
GEN.8.9	mutta se ei löytänyt jalansijaa, mihin jäädä levähtämään, vaan palasi hänen luokseen arkkiin, sillä vesi peitti yhä koko maan pinnan. Ja hän ojensi kätensä ja otti kyyhkysen luokseen arkkiin. 
GEN.8.10	Hän odotti vielä seitsemän päivää ja lähetti kyyhkysen uudelleen arkista. 
GEN.8.11	Kun kyyhkynen illansuussa palasi hänen luokseen, sillä oli nokassaan tuore oliivipuun lehti. Siitä Nooa ymmärsi, että vedet olivat käyneet vähiin maan päällä. 
GEN.8.12	Hän odotti silti seitsemän päivää lisää ja päästi kyyhkysen jälleen lentoon, eikä se enää palannut hänen luokseen.
GEN.8.13	Ensimmäisenä päivänä ensimmäistä kuuta sinä vuonna, jona Nooa täytti kuusisataayksi vuotta, vedet eivät enää peittäneet maata. Nooa poisti arkin katon ja näki, että maan pinta oli kuivunut. 
GEN.8.14	Toisen kuun kahdentenakymmenentenäseitsemäntenä päivänä maa oli kokonaan kuiva.
GEN.8.15	Silloin Jumala sanoi Nooalle: 
GEN.8.16	»Lähde ulos arkista ja ota mukaan vaimosi, poikasi ja poikiesi vaimot. 
GEN.8.17	Vie mukanasi ulos kaikki eläimet, jotka ovat luonasi, kaikki elävät olennot, linnut, karjaeläimet ja maan päällä liikkuvat pikkueläimet. Vilisköön maa niitä jälleen, ja olkoot ne hedelmälliset ja lisääntykööt maan päällä.» 
GEN.8.18	Niin Nooa lähti poikiensa, vaimonsa ja poikiensa vaimojen kanssa ulos, 
GEN.8.19	ja kaikki eläimet, kaikki pikkueläimet, linnut ja kaikki maan päällä liikkuvat, lähtivät suvuittain arkista.
GEN.8.21	Ja kun Herra tunsi uhrisavun tuoksun, hän sanoi mielessään: »Minä en enää koskaan kiroa maata ihmisen tähden, vaikka ihmisen ajatukset ja teot ovat pahat nuoruudesta saakka, enää en hävitä kaikkea elävää, niin kuin tein.
GEN.8.22	– Niin kauan kuin maa pysyy,
GEN.8.22	ei lakkaa kylvö eikä korjuu,
GEN.8.22	ei vilu eikä helle,
GEN.8.22	ei kesä eikä talvi,
GEN.8.22	ei päivä eikä yö.»
GEN.9.2	Kaikki villieläimet ja taivaan linnut, kaikki maan päällä liikkuvat eläimet ja meren kalat pelkäävät ja säikkyvät teitä; ne on annettu teidän valtaanne. 
GEN.9.3	Teidän ravintonanne olkoot kaikki olennot, jotka elävät ja liikkuvat. Ne kaikki minä annan nyt teille, niin kuin annoin teille vihreät kasvit. 
GEN.9.4	Mutta lihaa, jossa vielä on jäljellä sen elämänvoima, veri, te ette saa syödä. 
GEN.9.5	Ja jokaisen, joka vuodattaa teidän verenne, teidän elämänvoimanne, minä vaadin tilille. Minä vaadin tilille jokaisen eläimenkin. Vaadin tilille jokaisen ihmisen, joka vuodattaa lähimmäisensä veren.
GEN.9.6	hänen verensä on ihminen vuodattava,
GEN.9.6	sillä omaksi kuvakseen
GEN.9.6	Jumala teki ihmisen.
GEN.9.7	Olkaa hedelmälliset ja lisääntykää,
GEN.9.7	lisääntykää ja levitkää yli maan.»
GEN.9.8	Ja Jumala sanoi Nooalle ja hänen pojilleen: 
GEN.9.9	»Minä teen liiton teidän ja teidän jälkeläistenne kanssa, 
GEN.9.10	kaikkien elävien olentojen kanssa, jotka ovat teidän kanssanne maan päällä, lintujen, karjaeläinten ja kaikkien villieläintenkin kanssa, kaikkien niiden kanssa, jotka tulivat arkista ulos. 
GEN.9.11	Minä teen liiton ja annan teille lupaukseni: koskaan enää ei vedenpaisumus tuhoa kaikkea elävää, se ei koskaan enää hävitä maata.»
