GEN.1.1	Nel principio Dio creò i cieli e la terra.
GEN.4.14	Tu oggi mi scacci da questo suolo e io sarò nascosto lontano dalla tua presenza, sarò vagabondo e fuggiasco per la terra, così chiunque mi troverà, mi ucciderà». 
GEN.4.15	Ma il 
GEN.4.16	Caino si allontanò dalla presenza del 
GEN.4.17	Poi Caino conobbe sua moglie, che concepì e partorì Enoc. Quindi si mise a costruire una città, a cui diede il nome di Enoc, dal nome di suo figlio.
GEN.4.18	A Enoc nacque Irad; Irad generò Meuiael; Meuiael generò Metusael e Metusael generò Lamec.
GEN.4.19	Lamec prese due mogli: il nome dell’una era Ada e il nome dell’altra Zilla. 
GEN.4.20	Ada partorì Iabal, che fu il padre di quelli che abitano sotto le tende presso le greggi. 
GEN.4.21	Il nome di suo fratello era Iubal, che fu il padre di tutti quelli che suonano la cetra e il flauto. 
GEN.4.22	Zilla a sua volta partorì Tubal-Cain, l’artefice d’ogni sorta di strumenti di bronzo e di ferro; e la sorella di Tubal-Cain fu Naama.
GEN.4.23	Lamec disse alle sue mogli: «Ada e Zilla, ascoltate la mia voce; mogli di Lamec, porgete orecchio al mio dire! Sì, io ho ucciso un uomo perché mi ha ferito, e un giovane perché mi ha contuso. 
GEN.4.24	Se Caino sarà vendicato sette volte, Lamec lo sarà settantasette volte».
GEN.4.25	Adamo conobbe ancora sua moglie ed ella partorì un figlio che chiamò Set
GEN.4.26	Anche a Set nacque un figlio, che chiamò Enos. Allora si cominciò a invocare il nome del 
GEN.5.1	Questo è il libro della genealogia di Adamo. Nel giorno che Dio creò l’uomo, lo fece a somiglianza di Dio; 
GEN.5.2	li creò maschio e femmina, li benedisse e diede loro il nome di «uomo», nel giorno che furono creati.
GEN.5.3	Adamo visse centotrent’anni, generò un figlio a sua somiglianza, a sua immagine, e lo chiamò Set; 
GEN.5.4	il tempo che Adamo visse, dopo aver generato Set, fu di ottocento anni ed egli generò figli e figlie; 
GEN.5.5	tutto il tempo che Adamo visse fu di novecentotrent’anni; poi morì.
GEN.5.6	Set visse centocinque anni e generò Enos. 
GEN.5.7	Set, dopo aver generato Enos, visse ottocentosette anni, e generò figli e figlie. 
GEN.5.8	Tutto il tempo che Set visse fu di novecentododici anni; poi morì.
GEN.5.9	Enos visse novant’anni e generò Chenan. 
GEN.5.10	Enos, dopo aver generato Chenan, visse ottocentoquindici anni e generò figli e figlie. 
GEN.5.11	Tutto il tempo che Enos visse fu di novecentocinque anni; poi morì.
GEN.5.12	Chenan visse settant’anni e generò Maalaleel. 
GEN.5.13	E Chenan, dopo aver generato Maalaleel, visse ottocentoquarant’anni e generò figli e figlie. 
GEN.5.14	Tutto il tempo che Chenan visse fu di novecentodieci anni; poi morì.
GEN.5.15	Maalaleel visse sessantacinque anni e generò Iared. 
GEN.5.16	E Maalaleel, dopo aver generato Iared, visse ottocentotrent’anni e generò figli e figlie. 
GEN.5.17	Tutto il tempo che Maalaleel visse fu di ottocentonovantacinque anni; poi morì.
GEN.5.18	E Iared visse centosessantadue anni, e generò Enoc. 
GEN.5.19	Iared, dopo aver generato Enoc, visse ottocento anni e generò figli e figlie; 
GEN.5.20	tutto il tempo che Iared visse fu di novecentosessantadue anni; poi morì.
GEN.5.21	Enoc visse sessantacinque anni e generò Metusela. 
GEN.5.22	Enoc, dopo aver generato Metusela, camminò con Dio trecento anni e generò figli e figlie. 
GEN.5.23	Tutto il tempo che Enoc visse fu di trecentosessantacinque anni. 
GEN.5.24	Enoc camminò con Dio; poi scomparve, perché Dio lo prese.
GEN.5.25	Metusela visse centottantasette anni e generò Lamec. 
GEN.5.26	E Metusela, dopo aver generato Lamec, visse settecentottantadue anni e generò figli e figlie. 
GEN.5.27	Tutto il tempo che Metusela visse fu di novecentosessantanove anni; poi morì.
GEN.5.28	Lamec visse centottantadue anni e generò un figlio, 
GEN.5.29	che chiamò Noè
GEN.5.30	Lamec, dopo aver generato Noè, visse cinquecentonovantacinque anni e generò figli e figlie. 
GEN.5.31	Tutto il tempo che Lamec visse fu di settecentosettantasette anni; poi morì.
GEN.5.32	Noè, all’età di cinquecento anni, generò Sem, Cam e Iafet.
GEN.6.1	Quando gli uomini cominciarono a moltiplicarsi sulla faccia della terra e furono loro nate delle figlie, 
GEN.6.2	avvenne che i figli di Dio videro che le figlie degli uomini erano belle e presero per mogli quelle che si scelsero fra tutte. 
GEN.6.3	Il 
GEN.6.4	In quel tempo c’erano sulla terra i giganti, e ci furono anche in seguito, quando i figli di Dio si unirono alle figlie degli uomini, ed ebbero da loro dei figli. Questi sono gli uomini potenti che, fin dai tempi antichi, sono stati famosi.
GEN.6.5	Il 
GEN.6.6	Il 
GEN.6.7	E il 
GEN.6.8	Ma Noè trovò grazia agli occhi del 
GEN.6.9	Questa è la posterità di Noè. Noè fu uomo giusto, integro, ai suoi tempi; Noè camminò con Dio.
GEN.6.10	Noè generò tre figli: Sem, Cam e Iafet.
GEN.6.11	Or la terra era corrotta davanti a Dio; la terra era piena di violenza. 
GEN.6.12	Dio guardò la terra; ed ecco, era corrotta, poiché tutti erano diventati corrotti sulla terra.
GEN.6.13	Allora Dio disse a Noè: «Nei miei decreti la fine di ogni essere vivente è giunta, poiché la terra, a causa degli uomini, è piena di violenza; ecco, io li distruggerò, insieme con la terra. 
GEN.6.14	Fatti un’arca di legno di gofer; falla a stanze, e spalmala di pece di dentro e di fuori. 
GEN.6.15	Ecco come la dovrai fare: la lunghezza dell’arca sarà di trecento cubiti, la larghezza di cinquanta cubiti e l’altezza di trenta cubiti. 
GEN.6.16	Farai all’arca una finestra, in alto, e le darai la dimensione di un cubito; metterai la porta da un lato, e farai l’arca a tre piani: uno da basso, un secondo e un terzo piano. 
GEN.6.17	Ecco, io sto per far venire il diluvio delle acque sulla terra, per distruggere sotto il cielo ogni essere in cui è alito di vita; tutto quello che è sulla terra perirà. 
GEN.6.18	Ma io stabilirò il mio patto con te; tu entrerai nell’arca: tu e i tuoi figli, tua moglie e le mogli dei tuoi figli con te. 
GEN.6.19	Di tutto ciò che vive, di ogni essere vivente, fanne entrare nell’arca due di ogni specie, per conservarli in vita con te; e siano maschio e femmina. 
GEN.6.20	Degli uccelli secondo le loro specie, del bestiame secondo le sue specie e di tutti i rettili della terra secondo le loro specie, due di ogni specie verranno a te, perché tu li conservi in vita. 
GEN.6.21	Tu prenditi ogni sorta di cibo che si mangia e fattene provvista, perché serva di nutrimento a te e a loro».
GEN.6.22	Noè fece così; fece tutto quello che Dio gli aveva comandato.
GEN.7.1	Il 
GEN.7.2	Di ogni specie di animali puri prendine sette paia, maschio e femmina; e degli animali impuri un paio, maschio e femmina. 
GEN.7.3	Anche degli uccelli del cielo prendine sette paia, maschio e femmina, per conservarne in vita la razza sulla faccia di tutta la terra; 
GEN.7.4	poiché di qui a sette giorni farò piovere sulla terra per quaranta giorni e quaranta notti: sterminerò dalla faccia della terra tutti gli esseri viventi che ho fatto».
GEN.7.5	Noè fece tutto quello che il 
GEN.7.6	Noè aveva seicento anni quando il diluvio delle acque inondò la terra. 
GEN.7.7	Noè, con i suoi figli, con sua moglie e con le mogli dei suoi figli, entrò nell’arca per scampare alle acque del diluvio. 
GEN.7.8	Degli animali puri e degli animali impuri, degli uccelli e di tutto quello che striscia sulla terra, 
GEN.7.9	vennero delle coppie, maschio e femmina, a Noè nell’arca, come Dio aveva comandato a Noè.
GEN.7.10	Trascorsi i sette giorni, le acque del diluvio vennero sulla terra. 
GEN.7.11	Il seicentesimo anno della vita di Noè, il secondo mese, il diciassettesimo giorno del mese, in quel giorno tutte le fonti del grande abisso eruppero e le cateratte del cielo si aprirono. 
GEN.7.12	Piovve sulla terra quaranta giorni e quaranta notti. 
GEN.7.13	In quello stesso giorno Noè, Sem, Cam e Iafet, figli di Noè, la moglie di Noè e le tre mogli dei suoi figli entrarono con loro nell’arca: 
GEN.7.14	essi e tutti gli animali secondo le loro specie, tutto il bestiame secondo le sue specie, tutti i rettili che strisciano sulla terra secondo le loro specie, e tutti gli uccelli secondo le loro specie, tutti gli uccelletti, tutti gli esseri alati. 
GEN.7.15	Di ogni essere vivente in cui è alito di vita venne una coppia a Noè nell’arca; 
GEN.7.16	venivano maschio e femmina d’ogni specie, come Dio aveva comandato a Noè; poi il 
GEN.7.17	Il diluvio venne sopra la terra per quaranta giorni, e le acque crebbero e sollevarono l’arca, che fu elevata in alto al di sopra della terra. 
GEN.7.18	E le acque ingrossarono e crebbero grandemente sopra la terra, e l’arca galleggiava sulla superficie delle acque. 
GEN.7.19	Le acque ingrossarono oltremodo sopra la terra; tutte le alte montagne che erano sotto tutti i cieli furono coperte. 
GEN.7.20	Le acque salirono quindici cubiti al di sopra delle vette dei monti; le montagne furono coperte.
GEN.7.21	Perì ogni essere vivente che si muoveva sulla terra: uccelli, bestiame, animali selvatici, rettili d’ogni sorta striscianti sulla terra e tutti gli uomini. 
GEN.7.22	Tutto quello che era sulla terra asciutta e aveva alito di vita nelle sue narici morì. 
GEN.7.23	Tutti gli esseri che erano sulla faccia della terra furono sterminati: dall’uomo fino al bestiame, ai rettili e agli uccelli del cielo; furono sterminati sulla terra; solo Noè scampò con quelli che erano con lui nell’arca. 
GEN.7.24	E le acque rimasero alte sopra la terra per centocinquanta giorni.
GEN.8.1	Poi Dio si ricordò di Noè, di tutti gli animali e di tutto il bestiame che era con lui nell’arca; e Dio fece passare un vento sulla terra e le acque si calmarono; 
GEN.8.2	le fonti dell’abisso e le cateratte del cielo furono chiuse, e cessò la pioggia dal cielo; 
GEN.8.3	le acque andarono via via ritirandosi di sulla terra, e alla fine di centocinquanta giorni cominciarono a diminuire. 
GEN.8.4	Nel settimo mese, il diciassettesimo giorno del mese, l’arca si fermò sulle montagne dell’Ararat
GEN.8.5	Le acque andarono diminuendo fino al decimo mese. Nel decimo mese, il primo giorno del mese, apparvero le vette dei monti.
GEN.8.6	Dopo quaranta giorni Noè aprì la finestra che aveva fatta nell’arca 
GEN.8.7	e mandò fuori il corvo, il quale uscì, andando e tornando, finché le acque furono prosciugate sulla terra. 
GEN.8.8	Poi mandò fuori la colomba per vedere se le acque fossero diminuite sulla superficie della terra. 
GEN.8.9	La colomba non trovò dove posare la pianta del suo piede e tornò a lui nell’arca, perché c’erano le acque sulla superficie di tutta la terra; ed egli stese la mano, la prese e la portò con sé dentro l’arca. 
GEN.8.10	Aspettò altri sette giorni, poi mandò di nuovo la colomba fuori dell’arca. 
GEN.8.11	E la colomba tornò da lui verso sera; ed ecco, aveva nel becco una foglia fresca d’ulivo. Così Noè capì che le acque erano diminuite sopra la terra. 
GEN.8.12	Aspettò altri sette giorni, poi mandò fuori la colomba; ma essa non tornò più da lui.
GEN.8.13	L’anno seicentouno della vita di Noè, il primo mese, il primo giorno del mese, le acque erano asciugate sulla terra e Noè scoperchiò l’arca, guardò, ed ecco che la superficie del suolo era asciutta. 
GEN.8.14	Il secondo mese, il ventisettesimo giorno del mese, la terra era asciutta.
GEN.8.15	Dio parlò allora a Noè dicendo: 
GEN.8.16	«Esci dall’arca tu, tua moglie, i tuoi figli e le mogli dei tuoi figli con te. 
GEN.8.17	Tutti gli animali che sono con te, di ogni specie, volatili, bestiame e tutti i rettili che strisciano sulla terra, falli uscire con te, perché possano disseminarsi sulla terra, siano fecondi e si moltiplichino su di essa». 
GEN.8.18	Noè uscì con i suoi figli, con sua moglie e con le mogli dei suoi figli. 
GEN.8.19	Tutti gli animali, tutti i rettili, tutti gli uccelli, tutto quello che si muove sulla terra, secondo le loro famiglie, uscirono dall’arca.
GEN.8.20	Noè costruì un altare al 
GEN.8.21	Il 
GEN.8.22	Finché la terra durerà, semina e raccolta, freddo e caldo, estate e inverno, giorno e notte non cesseranno mai».
GEN.9.1	Dio benedisse Noè e i suoi figli, e disse loro: «Crescete, moltiplicatevi e riempite la terra. 
GEN.9.2	Avranno timore e spavento di voi tutti gli animali della terra e tutti gli uccelli del cielo. Essi sono dati in vostro potere con tutto ciò che striscia sulla terra e con tutti i pesci del mare. 
GEN.9.3	Tutto ciò che si muove e ha vita vi servirà di cibo; io vi do tutto questo, come l’erba verde; 
GEN.9.4	ma non mangerete carne con la sua vita, cioè con il suo sangue. 
GEN.9.5	Certo, io chiederò conto del vostro sangue, del sangue delle vostre vite; ne chiederò conto a ogni animale; chiederò conto della vita dell’uomo alla mano dell’uomo, alla mano di ogni suo fratello. 
GEN.9.6	Il sangue di chiunque spargerà il sangue dell’uomo sarà sparso dall’uomo, perché Dio ha fatto l’uomo a sua immagine. 
GEN.9.7	Voi dunque crescete e moltiplicatevi; spandetevi sulla terra e moltiplicatevi in essa».
GEN.9.8	Poi Dio parlò a Noè e ai suoi figli con lui dicendo: 
GEN.9.9	«Quanto a me, ecco, stabilisco il mio patto con voi, con i vostri discendenti dopo di voi 
GEN.9.10	e con ogni essere vivente che è con voi: uccelli, bestiame e tutti gli animali della terra con voi; da tutti quelli che sono usciti dall’arca a tutti gli animali della terra. 
GEN.9.11	Io stabilisco il mio patto con voi; nessun essere vivente sarà più sterminato dalle acque del diluvio e non ci sarà più diluvio per distruggere la terra». 
GEN.9.12	Dio disse: «Ecco il segno del patto che io faccio tra me e voi e ogni essere vivente che è con voi, per tutte le generazioni future. 
GEN.9.13	Io pongo il mio arco nella nuvola e servirà di segno del patto fra me e la terra. 
GEN.9.14	Avverrà che quando avrò raccolto delle nuvole al di sopra della terra, l’arco apparirà nelle nuvole; 
GEN.9.15	io mi ricorderò del mio patto fra me e voi e ogni essere vivente di ogni specie, e le acque non diventeranno più un diluvio per distruggere ogni essere vivente. 
GEN.9.16	L’arco dunque sarà nelle nuvole e io lo guarderò per ricordarmi del patto perpetuo fra Dio e ogni essere vivente, di qualunque specie che è sulla terra». 
GEN.9.17	Dio disse a Noè: «Questo è il segno del patto che io ho stabilito fra me e ogni essere vivente che è sulla terra».
GEN.9.18	I figli di Noè che uscirono dall’arca erano Sem, Cam e Iafet; e Cam è il padre di Canaan. 
GEN.9.19	Questi sono i tre figli di Noè; da loro fu popolata tutta la terra.
GEN.9.20	Noè, che era agricoltore, cominciò a piantare la vigna 
GEN.9.21	e bevve del vino; s’inebriò e si denudò in mezzo alla sua tenda. 
GEN.9.22	Cam, padre di Canaan, vide la nudità di suo padre e andò a dirlo, fuori, ai suoi fratelli. 
GEN.9.23	Ma Sem e Iafet presero il suo mantello, se lo misero insieme sulle spalle e, camminando all’indietro, coprirono la nudità del loro padre. Siccome avevano il viso rivolto dalla parte opposta, non videro la nudità del loro padre. 
GEN.9.24	Quando Noè si svegliò dalla sua ebbrezza, seppe quello che gli aveva fatto il figlio minore e disse: 
GEN.9.25	«Maledetto Canaan! Sia servo dei servi dei suoi fratelli!» 
GEN.9.26	Disse ancora: «Benedetto sia il 
GEN.9.27	Dio estenda Iafet! e abiti nelle tende di Sem e sia Canaan suo servo!»
GEN.9.28	Noè visse, dopo il diluvio, trecentocinquant’anni. 
GEN.9.29	L’intera vita di Noè fu di novecentocinquant’anni; poi morì.
GEN.10.1	Questa è la discendenza dei figli di Noè: Sem, Cam e Iafet; a loro nacquero dei figli dopo il diluvio.
GEN.10.2	I figli di Iafet furono: Gomer, Magog, Madai, Iavan, Tubal, Mesec e Tiras. 
GEN.10.3	I figli di Gomer furono: Aschenaz, Rifat e Togarma. 
GEN.10.4	I figli di Iavan furono: Elisa, Tarsis, Chittim e Dodanim. 
GEN.10.5	Da costoro derivarono i popoli sparsi nelle isole delle nazioni, nei loro diversi paesi, ciascuno secondo la propria lingua, secondo le loro famiglie, nelle loro nazioni.
GEN.10.6	I figli di Cam furono: Cus, Misraim, Put e Canaan. 
GEN.10.7	I figli di Cus furono: Seba, Avila, Sabta, Raama e Sabteca; i figli di Raama: Seba e Dedan. 
GEN.10.8	Cus generò Nimrod, che cominciò a essere potente sulla terra. 
GEN.10.9	Egli fu un potente cacciatore davanti al 
GEN.10.10	Il principio del suo regno fu Babel, Erec, Accad e Calne nel paese di Scinear. 
GEN.10.11	Da quel paese andò in Assiria e costruì Ninive, Recobot-Ir e Cala; 
GEN.10.12	e tra Ninive e Cala, Resen, la grande città. 
GEN.10.13	Misraim generò i Ludim, gli Anamim, i Leabim, i Naftuim, 
GEN.10.14	i Patrusim, i Casluim (da dove uscirono i Filistei) e i Caftorim. 
GEN.10.15	Canaan generò Sidon, suo primogenito, e Chet, 
GEN.10.16	e i Gebusei, gli Amorei, i Ghirgasei, 
GEN.10.17	gli Ivvei, gli Archei, i Sinei, 
GEN.10.18	gli Arvadei, i Semarei e i Camatei. Poi le famiglie dei Cananei si sparsero. 
GEN.10.19	I confini dei Cananei andarono da Sidon, in direzione di Gherar, fino a Gaza e in direzione di Sodoma, Gomorra, Adma e Seboim fino a Lesa. 
GEN.10.20	Questi sono i figli di Cam, secondo le loro famiglie, secondo le loro lingue, nei loro paesi, nelle loro nazioni.
GEN.10.21	Anche a Sem, padre di tutti i figli di Eber e fratello maggiore di Iafet, nacquero dei figli. 
GEN.10.22	I figli di Sem furono: Elam, Assur, Arpacsad, Lud e Aram. 
GEN.10.23	I figli di Aram furono: Uz, Ul, Gheter e Mas. 
GEN.10.24	Arpacsad generò Sela, e Sela generò Eber. 
GEN.10.25	A Eber nacquero due figli; il nome dell’uno fu Peleg
GEN.10.26	Ioctan generò Almodad, Selef, Asarmavet, Iera, 
GEN.10.27	Adoram, Uzal, Dicla, 
GEN.10.28	Obal, Abimael, Seba, 
GEN.10.29	Ofir, Avila e Iobab. Tutti questi furono figli di Ioctan. 
GEN.10.30	La loro dimora era sulla montagna orientale, da Mesa in direzione di Sefar. 
GEN.10.31	Questi sono i figli di Sem, secondo le loro famiglie, secondo le loro lingue, nei loro paesi, secondo le loro nazioni.
GEN.10.32	Queste sono le famiglie dei figli di Noè, secondo le loro generazioni, nelle loro nazioni; da essi uscirono le nazioni che si sparsero sulla terra dopo il diluvio.
GEN.11.1	Tutta la terra parlava la stessa lingua e usava le stesse parole.
GEN.11.2	Dirigendosi verso l’Oriente, gli uomini capitarono in una pianura nel paese di Scinear, e là si stanziarono. 
GEN.11.3	Si dissero l’un l’altro: «Venite, facciamo dei mattoni cotti con il fuoco
GEN.11.4	Poi dissero: «Venite, costruiamoci una città e una torre la cui cima giunga fino al cielo; acquistiamoci fama, affinché non siamo dispersi sulla faccia di tutta la terra». 
GEN.11.5	Il 
GEN.11.6	Il 
GEN.11.7	Scendiamo dunque e confondiamo il loro linguaggio, perché l’uno non capisca la lingua dell’altro!» 
GEN.11.8	Così il 
