MAT.1.1	Nke e̱ nyi re-lo nzhwe Jesu Krristi, kowe
MAT.1.24	A zhe ne Usufu ngu shwo ndzie, ngu a nyi shi kya ne njeli Brrabe̱ ki heng he re nyi. Aa fo Merri hwie̱ mbrru ngu. 
MAT.1.25	Me̱di koo ree nywe̱ ngbe ne ngu we̱ he̱rri aa ma bî ewe. Ngu a ki ci lo he Jesu.
MAT.2.1	A zhe ne e bî Jesu a Be̱talahami a ngwie̱ Yahudi, a i nyi Hirridu ngu nyi nggwe̱. Yá nné hu re̱nde̱ e̱ wru gbong a nva ze á be Urrushelima. 
MAT.2.2	Á rin he, “Nggwe̱ nné Yahudi ne e bî e̱ shi he? Nzhi ri e̱nde̱ ngu a nva ze,
MAT.2.3	A zhe ne Nggwe̱ Hirridu ho ni, ngu a ne̱ ne bē ngbe ga nné Urrushelima zhwozhwo. 
MAT.2.4	Aa ye nggwé̱ re-prristi ngbe nné mie̱ nneywí Nti Nka Musa zhwozhwo nwie we rinng he, “Ewie ne e shi ning bî Krristi
MAT.2.5	Á ki shing he, “A Be̱talahami a ngwie̱ Yahudi, aha nne ti re̱se̱ng i wie ye̱ye̱rri ni he,
MAT.2.6	‘Ngbe ngwe̱ kla Be̱talahami, a ngwie̱ Yahudi,
MAT.2.6	ko tsie̱ tsie̱ ko ngwe̱ nyi nyrru iishing a tsi re-ringgwe̱ Yahudi we̱;
MAT.2.6	aha ya nggwe̱ shi wru a yarri ngwe̱,
MAT.2.6	ne ngu cwo a cwo nné nje, nné Isrreela.’ ”
MAT.2.7	Wire Hirridu a ye nné hu re̱nde̱ nna a la la aha ngbe ngu hu ye̱ye̱rri zhe ne e̱nde̱ nna ngu i ning wru. 
MAT.2.8	A zhe ne ngu shi we cire re nzhi Be̱talahami ngu a he ne mbe he, “Nyi ywa, nyi ya kre ewe nna we sheng. We ne nyi ri ki she, nyi ning ting, aha ngbe n ya ki ye mbè ma.”
MAT.2.9	A zhe ne mbe ho nka nggwe̱, mbe e̱ ne̱ ne ciee mbe, ngbe e̱nde̱ ne mbe ri ri a nva ze e̱ ngu a we kwa yincwuee, aa ma ya yo a nwie ne ewe nna ngu ning shi. 
MAT.2.10	A zhe ne mbe ri e̱nde̱ nna, rehwie mbe kla, á nyi rekwi we yang. 
MAT.2.11	A zhe ne mbe ngwie a zonggru nna, á ya she ewe nna ngbe de̱ ngu Merri, mbe e̱ hu be mbe e̱ ki ye mbè. Wire mbe e̱ kla re-lente mbe, mbe e̱ trru re-ankya mbe e̱ ki na, a ning bi zinarriya ngbe turraren libanu ngbe na murru.
MAT.2.12	Wire á ning brru cwo yaka rê re nzhi ngwie̱ mbe, aha á we ting a yarri revi he shi de̱ ré ning brru re nzhi nwie Hirridu wa we̱.
MAT.2.13	A zhe ne mbe ne̱, ya njeli Brrabe̱ ya wre̱ a nwie Usufu a revi. A he ne ngu he, “Deze ngwe̱ fo Kowe ne̱ ngbe de̱ ngu a nyi to re nzhi Masarr. Nyi srra miimi se zhe ne nje ri he nka ne ngwe̱, aha Hirridu shi ci rekre ewe nna he ré ki yhwe̱.”
MAT.2.14	Aha nii, ngu a deze ngu a fo ewe nna ngbe ne de̱ ngu a totu mbe e̱ ne̱ re nzhi Masarr. 
MAT.2.15	Á srra miimi he̱rri zheng hu Hirridu. Aha ngbe nka ne Brrabe̱ i he ne nne ti re̱se̱ng re ci rrurru shi ne e wie he, “Nje ye Kowe nje re wru a Masarr.”
MAT.2.16	A zhe ne Hirridu ngu ya timi he nné hu re̱nde̱ ana á ki brra ne zentsi á ne̱, aa ci ehwie dzio we yang, ngu a ngwa nka he ré yhwi ga e̱we̱e̱ rewerento ne mbe bi rie wehwie re be be zhwozhwo a Be̱talahami ngbe re-nklang, ye̱ye̱rri ne zhe ne nné hu re̱nde̱ nna mbe i ki ting he mbe ning di e̱nde̱ nna. 
MAT.2.17	Wire nka Brrabe̱ ne nne ti re̱se̱ng ne e ki ye he Irimiya ngu i he e̱ ci rrurru, shi ne ngu i he,
MAT.2.18	“Á hó cwue a Rrama,
MAT.2.18	a nyi nku ne e ti ngbe anaa riywe̱ we yang,
MAT.2.18	Rrahila
MAT.2.18	ko bi ré ki krru ehwie we̱,
MAT.2.18	aha koó ning shi we̱.”
MAT.2.19	A zhe ne Hirridu ngu hu, ya njeli Brrabe̱ ya wre̱ a nwie Usufu a yarri revi a zhe ne mbe shi Masarr, 
MAT.2.20	a he ne ngu he, “Deze ngwe̱ fo ewe ne̱ ngbe de̱ ngu ngwe̱ ywa a ngwie̱ Isrreela, aha nné mbe i kre he mbe fo ce ewe nna á kwi.” 
MAT.2.21	Aha ni ngu a deze, ngu a fo ewe nna ngbe de̱ ngu re nzhi ngwie̱ Isrreela.
MAT.2.22	Me̱di a zhe ne ngu ho he Arrkelawu shi ye ringgwe̱ a Yahudi, a nu be̱ ngu Hirridu, ngu a ci owu ne ywa miimi. Me̱di aha ne Be̱ne̱ e̱ ki ting a yarri revi, ngu a ne̱ re nzhi a nkla Galili. 
MAT.2.23	Ngu a ya srra a ngwie̱ ne e ki ye he Nazarra. Aha nii, nka Be̱ne̱ ne nné ti re̱se̱ng mbe i he e̱ ci rrurru, shi ne mbe i he, “Á ri ki ye he Nne Nazarra.”
MAT.3.1	Á srra yá rotu, Yohana Nyi Batisma a be nwie brro nka a tsi yi a Yahudi. 
MAT.3.2	A he ne nneywí he, “Nyi si ywe̱, aha Ringgwe̱ zinye̱ be dudu!”
MAT.3.3	Nyi ngu ne̱ ne Ishaya nne ti re̱se̱ng ngu i he nka a zete rici ngu he,
MAT.3.3	“Riwie̱ng cwue ne ngu kyie̱
MAT.3.3	a tsi yi he,
MAT.3.3	‘Nyi nyi rê aha Brrabe̱,
MAT.3.3	nyi ci nhwie̱ rê ngu ré ci tsantsa.’ ”
MAT.3.4	Á nyi tago Yohana ne rehwe ronkomi, a bra bi ta ne ngu rwé a nti. A srrá re ye iigye re shwe rutonshwi.
MAT.3.5	Nneywí a Urrushelima ngbe ngwie̱ Yahudi zhwozhwo ngbe ga re-nkla Urrdu zhwozhwo á wru re be. 
MAT.3.6	Á ya ne̱ ne he re-e̱ngwie̱ mbe, ngu a we nyi batisma a Brra Riywi Urrdu.
MAT.3.7	Me̱di a zhe ne ngu ri nné Farisi ngbe nné Sadukyi we yang mbe cwo re be he ngu we nyi batisma, ngu a he ne mbe he, “Nyi zhwe kprre!
MAT.3.8	Nyi nyi re-ankya ne mbe ti he nyi se̱ ywe̱. 
MAT.3.9	Shi de̱ nyi hwie he nyi shi drre̱ aha nyi nyí nzhwe Ibrrahin shi ne nyi he ana we̱. Nje níng ting he, Be̱ne̱ e̱ hung ko rahwan ne̱ re ning nyi Ibrrahin yaká rewe.
MAT.3.10	Be̱ne̱ e̱ sa okyo a nti rekwe, ko zohu ekwe ne ko ngu krró te̱nte̱ gbre we̱, we̱ tsa we̱ zhwu a nro. 
MAT.3.11	Nje e̱ nje níng nyi batisma ne rishi aha re hwie̱ sheede he nyi se̱ ywe̱. Me̱di a merin nje a bi ya ne ngu cwo be, ne ngu bi igbe̱ re ning ne̱ ne ko tamri ngu ma ko shi n hung fong we̱. A cwo a níng nyi batisma ne Nshe Wiri ngbe ne ro. 
MAT.3.12	A bi brra iibi ngu nva ne ngu ning wu zhwe yâ te̱nte̱ng ngbe iishíng, a shi tsu te̱nte̱ cwe yâ we̱ kro a aata, me̱di iishíng we̱ shwi a nro na ne ko ngu bi yu we̱.”
MAT.3.13	A zhe nna, Jesu a wru a Galili re be a Brra Riywi Urrdu aha Yohana re ki nyi batisma. 
MAT.3.14	Me̱di Yohana bra kre rêng rang, a he, “Nyi nje ne nje ra be nwie ngwe̱ ngwe̱ ning nyi batisma, ngwe̱ bra be nwie nje e̱e̱?”
MAT.3.15	Jesu ki shing he, “Nde re shi ni a zhe ne ne̱, aha aa mwa ye̱ye̱rri nzhi nyi ni, ngbe ko zohu kya ce̱ Be̱ne̱ re ci ye̱ye̱rri.”
MAT.3.16	A zhe ne e nyi Jesu batisma, we hwiehwie ngu a wru a rishi nna. Wire zinye̱ e̱ kla, ngu a ri Nshe Be̱ne̱ ngu wro shi nyi jie̱riywi, ngu a ya kpe a zete ngu. 
MAT.3.17	Ya cwue e̱ wru zinye̱ he, “Nke ne̱ nyi Kowe ce̱ nje, nje ho shwi ngu kpe̱kpe̱.”
MAT.4.1	Wire Nshe Wiri e̱ fo Jesu re nzhi a yarri yi aha Shetani re ki mwa ri.
MAT.4.2	A zhe ne ngu rwe onu rotu nshwa weni totu ne te̱ne̱, nzhwo a ki yhwe̱. 
MAT.4.3	Wire Nne ki mwa ri a be nwie ngu, a he ne ngu he, “Kundu ngwe̱ nyi Kowe Be̱ne̱, he ne rahwan ne̱ ré ci cwu yâ.” 
MAT.4.4	Jesu ki shing he, “Á wie he: ‘Ko nyi cwu yâ nggaa ngu ngu ci nneywi re srra nce we̱, me̱di se ne ko zohu riti nka ne ngu wru a nu Be̱ne̱.’ ”
MAT.4.5	Wire Shetani e̱ ywa ne ngu a Urrushelima — brra ngwie̱ wiri, ngu a ki ci re yo a zete ewie ne ngu shi dede kaka a Brranyi,
MAT.4.6	ngu a he ne ngu he, “Kundu ngwe̱ nyi Kowe Be̱ne̱, ma hru ngwe̱ ya kpe be. Aha á wie he:
MAT.4.6	‘A ri ngwa re-njeli ngu nka he ré re cwo rina rina,
MAT.4.6	á ri re bro zeteng a nva mbe
MAT.4.6	kishi ngwe̱ ri kpra ta a zahwan.’ ”
MAT.4.7	Jesu ki shing he, “Á wie he: ‘Shi de̱ ngwe̱ mwa Be̱ne̱ Brrabe̱ ngwe̱ we̱.’ ”
MAT.4.8	Shetani e̱ ywa ne ngu a zete ya brra rugu dede wa, ngu a ya ki ti ga re-ringgwe̱ ebe ngwie̱ ngbe rina mbe zhwozhwo. 
MAT.4.9	Ngu a he ne ngu he, “Kundu ngwe̱ hu be, ngwe̱ ning ye mbe, ma n re ngwa ga re-ankya ne̱ zhwozhwo.”
MAT.4.10	Jesu a he ne ngu he, “Ne̱ nwie nje Shetani! Aha á wie he, ‘Ye Be̱ne̱ Brrabe̱ ngwe̱ mbè, ngwe̱ bra ki nyi we ngu nggaa ngu cwuo.’ ”
MAT.4.11	Wire Shetani e̱ ne̱ ki we, re-njeli e̱ be á ya ne̱ ne ki sheng.
MAT.4.12	A zhe ne Jesu ngu ho he á ci Yohana a uucwu gyiaa, ngu a ning brru re nzhi Galili.
MAT.4.13	Aa we Nazarra, ngu a ning brru re nzhi srra a Kafanahu ne ngu shi a rekyi nzhwo Galili a ngwie̱ Zebulu ngbe ngwie̱ Naftali,
MAT.4.14	aha ngbe kya ne Ishaya nne ti re̱se̱ng i he re ci rrurru shi ne ngu i he:
MAT.4.15	“Ngwie̱ Zebulu ngbe ngwie̱ Naftali,
MAT.4.15	a rê re nzhi brra nzhwo Galili, a nyie Brra Riywi Urrdu,
MAT.4.15	a Galili na Nné Nzhwe Ngwie̱.
MAT.4.16	Nné ne mbe shi nwie ywing,
MAT.4.16	á ri brra nse̱;
MAT.4.16	nné ne mbe srrá a rowúng hu,
MAT.4.16	nse̱ e̱ tsie̱ nwie mbe.”
MAT.4.17	Kya ngu pie a zhe ana, Jesu a ne̱ ne brro nka nwie he, “Nyi si ywe̱; aha Ringgwe̱ zinye̱ be dudu!”
MAT.4.18	A zhe ne Jesu shi cwo a rekyi Nzhwo Galili, ngu a ri re-gimbe komo wehwie, Sima ne e ki ye he Pita ngbe gimbe ngu Andrru. Á shi zi re̱ge̱ a yarri nzhwo, aha á nyi nné kwa hwen. 
MAT.4.19	Jesu a he ne mbe he, “Nyi be, nyi hwie̱ nné ning zhwe, nje shi níng ci nyi hwie̱ nné kwa nneywí.” 
MAT.4.20	We zhe zunzrru mbe e̱ we re-re̱ge̱ mbe a miimi mbe e̱ ki zhwe.
MAT.4.21	A zhe ne ngu wara re nzhi ncwuee, ngu a she yá re-gimbe wehwie wa, Yakubu ne ngu nyi ewe Zebedi ngbe gimbe ngu Yohana. Á shi a yarri konkro ngbe ne be̱ mbe Zebedi nwie nyi re-re̱ge̱ mbe. Jesu a we ye, 
MAT.4.22	mbe e̱ wre̱ ne we konkro mbe ngbe be̱ mbe a miimi, mbe e̱ ki zhwe.
MAT.4.23	Jesu grra a yarri Galili zhwozhwo nwie mie̱ nka a re-zonggrung mwe re brro Nka Rina Ringgwe̱,
MAT.4.24	Nka ngu a se̱ ngwie̱ yu a Sirriya zhwozhwo, nneywí be mi ne nné riywe̱ gbingbi ngbe nné ne mbe shi ge̱zhe̱ ne nzhwe ruhu kanka kanka, ngbe nné ne mbe shi re-cinci shi nné bi re-rije ngbe nné kpi ré kwi, ngbe nné ne mbe kwi nkye̱, ngbe Jesu a we kyia zhwozhwo mbe. 
MAT.4.25	Brra rigwe̱ nné ne mbe wru a Galili, ngbe a Re-ngwie̱ Shwa, ngbe a Urrushelima, ngbe a Yahudi ngbe re-nkla a nyie Urrdu á ki zhwe.
MAT.5.1	A zhe ne Jesu ri nneywí ya tsu we yang, ngu a ngra a zete rugu ngu a srra be. Nné ki zhwe ngu a be nwie ngu. 
MAT.5.2	Ngu a ne̱ ne we mie̱ nka:
MAT.5.3	“Mwo rina nyi na nné mbe ne mbe hu he mbe re̱ a nyyi Be̱ne̱,
MAT.5.3	aha Ringgwe̱ zinye̱ nyi na mbe.
MAT.5.4	Mwo rina nyi na nné mbe ne mbe shi rana riywe̱,
MAT.5.4	aha á ri we krru rehwie.
MAT.5.5	Mwo rina nyi na nné mbe ne mbe bi ehwie sheng,
MAT.5.5	aha ebe ngwie̱ ri hwie̱ ngge mbe.
MAT.5.6	Mwo rina nyi na nné mbe ne nzhwo redziee we yhwe̱,
MAT.5.6	ncwue mbe bra hwe aha redziee,
MAT.5.6	aha á ri we ci rishwe.
MAT.5.7	Mwo rina nyi na nné mbe ne mbe bi naana,
MAT.5.7	aha á ri ri naana mbe.
MAT.5.8	Mwo rina nyi na nné mbe ne mbe shi wiri a yarri rehwie mbe,
MAT.5.8	aha á ri ri Be̱ne̱.
MAT.5.9	Mwo rina nyi na nné mbe ne mbe cí nneywí ré yaa srra rina,
MAT.5.9	aha á ri we ye he rewe Be̱ne̱.
MAT.5.10	Mwo rina nyi na nné mbe ne e we ngwá ge̱zhe̱ aha redziee mbe,
MAT.5.10	aha Ringgwe̱ zinye̱ nyi na mbe.
MAT.5.11	“Mwo rina nyi na nyi a zhe ne nneywí mbe níng cwi, mbe níng ngwa ge̱zhe̱, mbe ca re-rabrra nwie he re-nka e̱ngwie̱ a rici nyi aha nje.
MAT.5.12	Nyi nyi rekwi ngbe rehwie kla we yang aha lede nyi e̱ ri shi yang a zinye̱. Á i ngwa nné ti re̱se̱ng ne mbe i ke̱she be a ncwuee nyi ge̱zhe̱ we ni ma.
MAT.5.13	“Nyi nyi ncwua na ebe ngwie̱. Me̱di kundu ncwua ngu bru kpikpi ngu, wé̱ ce̱ rimi ré bra ki ci re shi kpikpi e̱ wa? Ko bra bi mpe̱ni ré ning nyi yankya we̱, se ka ré fo ré wa he̱rri nneywí ré shi ne nta.
MAT.5.14	“Nyi nyi nse̱ ebe ngwie̱. Nyi shi shi ngwie̱ ne ngu shi a zete rugu, ne ko ngu shi la la we̱.
MAT.5.15	Koó ci ro te̱le̱kyi ré ki cwugru ne grre we̱. Se ka ré ki gara a zete kyang sang, aha re tsie̱ nse̱ re nzhi nwie ko nye̱ a yarri eri nna.
MAT.5.16	Aha nii, nde nse̱ nyi re tsie̱ a nwie nneywí, ngbe ré ri re-cwuo rina nyi ré de Be̱ nyi ne ngu shi a zinye̱.
MAT.5.17	“Shi de̱ nyi hwie he nje be ngbe n ya rwi Nti Nkang Mie̱ Nka Musa ka na nné ti re̱se̱ng a be we̱. Ko nje be he n we ci ré ci shweni we̱, me̱di he ré ci rrurru. 
MAT.5.18	Nje níng ting cence, se ka zinye̱ ngbe ebe ngwie̱ ré ci shweni, ne ya izhweng wie cwuo, ka ya e̱we̱ iishing a yarri Nti Nka ana re ci shweni; me̱di se ko nda a yarring ci ye̱ye̱rri ni.
MAT.5.19	Aha nii, ko nye̱ ne ngu hle̱ ya a tsi e̱we̱e̱ Nti Nka ne̱, ngu bra mie̱ yá nnéng he ré nyi ni ma, ko ri be ko yankya a yarri Ringgwe̱ zinye̱ we̱. Me̱di ko nye̱ ne ngu zhwé ngu bra mié̱ Nti Nka ne̱, á ri ki ye he brrankya a yarri Ringgwe̱ zinye̱. 
MAT.5.20	Nje níng ting he kundu ne de̱ redziee nyi ngu ne̱ na nné mie̱ Nti Nka Musa ngbe nné Farisi we̱, ko shi nyi she ngwie a Ringgwe̱ zinye̱ we̱ ko tsie̱ tsie̱.
MAT.5.21	“Nyi ho he á i he ne nné tiya he, ‘Shi de̱ ngwe̱ yhwe̱ nne we̱, ko nye̱ ne ngu yhwe̱ nne, wé̱ ki nyi nka.’
MAT.5.22	Me̱di nje e̱ nje níng ting he: ko nye̱ ne ngu bi rimwi ne ya gimbe, á bi we ki nyi nka. Ko nye̱ ne ngu he ne gimbe ngu he ‘Ngwe̱ ci ke̱li!’ Á bi we ywa ne ngu a nyyi Rotsu Brrá Nné, ko nye̱ ne ngu bra he ne ya he, ‘Ngwe̱ nyi rumwa!’ a bi we ywa a ruvong ro.
MAT.5.23	“Aha nii, kundu ngwe̱ shi ci beeko a nwieng nyi teede a Brranyi ngwe̱ e̱ bra lu he gimbe ngwe̱ bi nka a rici ngwe̱, 
MAT.5.24	we beeko ngwe̱ e̱ a miimi a nwieng nyi teede nna ngwe̱ ke̱she ywa ngwe̱ ya cwue̱ nka ngbe ngu, wire ngwe̱ ning brru ngwe̱ ya ngwa beeko ngwe̱ e̱ fa.
MAT.5.25	“Wre̱ ne cwue̱ nka ngbe rwinko ngwe̱ ne ngu ci kara ngwe̱ a zhe ne ngwe̱ shi rê ngbe ngu re nzhi nwie nné nyi nka. De̱e̱ ni wo, we̱ re ngwa a nva nne nyi nka, ngbe nne nyi nka we̱ ci polisi re re she̱ a uucwu gyiaa. 
MAT.5.26	Cence, nje re ting he, ko shi ngwe̱ wru miimi we̱ se ne ngwe̱ trra kpara kovo ne e ré zhwe.
MAT.5.27	“Nyi ho he á i he, ‘Shi de̱ ngwe̱ nyi njè we̱.’
MAT.5.28	Me̱di nje níng ting he: ko nye̱ ne ngu ci riyii ya mbrru ne ecwue, maahu aa nyi njè ne ngu a yarri hwie ngu. 
MAT.5.29	Aha nii, kundu ne riyii nva nyye ngwe̱ re cí ngwe̱ nyi e̱ngwie̱, ki ti ngwe̱ zhwu. Canca ngwe̱ wi ya ekpri rwe̱ ngwe̱ ne rwe̱ ngwe̱ zhwozhwo re ywa a ruvong ro.
MAT.5.30	Kundu va nyye ngwe̱ re cí ngwe̱ nyi e̱ngwie̱, ki kpo ngwe̱ zhwu. Canca ngwe̱ wi ya ekpri rwe̱ ngwe̱ ne rwe̱ ngwe̱ zhwozhwo re ywa a ruvong ro.
MAT.5.31	“Á bra i he he: ko nye̱ ne ngu yu mbrru ngu se re ki ngwa krre̱de̱ng kpo nyrra!
MAT.5.32	Me̱di nje e̱ nje níng ting he: ko nye̱ ne ngu shi yu mbrru ngu, kundu ne de̱ ngu nyi aha mbrru nna nyi njè we̱, maahu nne ana ki ci hwie̱ mbrru nyi njè, kundu ngu ya drro. Ko nye̱ ne ngu ki fo ma, aa nyi njè.
MAT.5.33	“Nyi ho wa he á i he ne nné tiya he, ‘Shi de̱ ngwe̱ sa jee ngwe̱ bra we we̱sa nyi kya nna we̱, me̱di nyi kya ne ngwe̱ fo shí a nyyi Brrabe̱ he ngwe̱ shi nying.’
MAT.5.34	Me̱di nje níng ting he, shi de̱ nyi fo shí we̱ ko tsienzhwu a zhe ne nyi sa jee, ka re bra nyi ne zinye̱, aha a nyi ncwu ringgwe̱ Be̱ne̱;
MAT.5.35	ka ne ebe ngwie̱, aha a nyi ncwung sa ta Be̱ne̱; ka ne lo Urrushelima, aha a nyi ngwie̱ Brra Nggwe̱.
MAT.5.36	Shi de̱ ngwe̱ shí ne rici ngwe̱ we̱, aha ko ngwe̱ hung bra ya nkwerici ngwe̱ zunzrru re ci kye̱ng ka ywing we̱. 
MAT.5.37	Me̱di a yarri nka, nde ‘Ee’ ngwe̱ re nyi ‘Ee’, nde ‘Aawo’ ngwe̱ re nyi ‘Aawo’. Kundu ngu wara nke maahu aa wru nwie Nne Hwie̱.
MAT.5.38	“Nyi ho he á i he, ‘Riyii ne riyii; rinyii ne rinyii.’
MAT.5.39	Me̱di nje e̱ nje níng ting he: shi de̱ ngwe̱ kwe̱ ne nne ne ngu re nyi e̱ngwie̱ we̱. Kundu ya nne re rwi a ushwo nva nyye, ki bra ushwo ya wa. 
MAT.5.40	Kundu ya nne ci kara ngwe̱ aha ngu ce̱ se̱ tago ngwe̱, ki ngwa ngbe kuntu ngwe̱ wa. 
MAT.5.41	Kundu ya nne re ci ne ce he ngwe̱ cwo ngbe ngu mili zunzrru, ywa ngbe ngu he̱rri re-mili wehwie. 
MAT.5.42	Nne nke ne ngu re rin kya ne ngwe̱ bi, ki ngwa. Kundu ya nne be ce̱ kya a nwie ngwe̱, shi de̱ ngwe̱ ning zhwumi ne ngu we̱.”
MAT.5.43	Nyi ho he á i he, “Ce̱ we nné ngwe̱, ngwe̱ ra rwinkó ngwe̱.
MAT.5.44	Me̱di nje e̱ nje níng ting he: nyi ce̱ rwinkó nyi, nyi bra ku Be̱ne̱ aha nné ne mbe níng ngwa cinci, 
MAT.5.45	ngbe nyi hwie̱ rewe Be̱ nyi ne ngu shi zinye̱. Aha a cí ne̱ re tsie̱ a nwie nné hwie̱ ngbe nwie nné rina, a bra cí nze re wie a nwie nné redziee ngbe nwie nné riywe̱ redziee. 
MAT.5.46	Kundu nyi ce̱ we nné ne mbe níng ce̱ ma, lede nyi e̱ we̱ nyi nda? Ko nné si gondu a a nyi ni ma we̱ e̱e̱? 
MAT.5.47	Ma kundu nyi dzie we re-gimbe nyi, we̱ nyi nda ne nyi shi nwie nying re ne̱ yá? Ko Nné Nzhwe Ngwie̱ e̱ á nyi ni ma we̱ e̱e̱? 
MAT.5.48	Aha nii, nyi e̱ nyi shi tsantsa we shi Be̱ nyi ne ngu shi zinye̱ ngu shi tsantsa.
MAT.6.1	“Nyi nyi te̱nte̱ kishi nyi ri nyi re-cwuo redziee nyi a nyyi nneywí aha ré di ré níng de. Kundu nyi nyí ni, ko shi nyi she lede a nwie Be̱ nyi ne ngu shi zinye̱ we̱.
MAT.6.2	“Aha nii, kundu ngwe̱ shi she ya nneng ne yankya, shi de̱ ngwe̱ tsie̱ gbe shi nné brra ronu mbe nyi a re-zonggrung mwe ngbe a brrá re-rê we̱. Á nyi ni aha mbe she grime̱ a nwie nneywí. Nje níng ting cence, á she lede mbe zhwozhwo. 
MAT.6.3	Me̱di, kundu ne ngwe̱ shi na ya nne yankya, shi de̱ ngwe̱ we va mie ngwe̱ re hu kya ne va nyye ngwe̱ shi mi we̱, 
MAT.6.4	aha kya ne ngwe̱ ngwa re shi la la. Wire Be̱ ngwe̱ ne ngu ri kya ne ngwe̱ nyi a la la, we̱ re ngwa lede.
