GEN.1.1	Diɲyɛ tasìige e, Kile à nìɲyiŋi ná ɲìŋke dá. 
GEN.1.26	Cyire puni ɲwɔhɔ na, Kile à jwo: «Ɲyɛ numɛ, wuu sùpyaŋi yaa wuye fiige, u u mpyi wuu málwɔrɔ. Bà u si mpyi si mpyi fyaabii puni ɲùŋɔ na, si mpyi saɲcyɛɛnre ɲùŋɔ na, si mpyi yatɔɔre ɲùŋɔ na, si mpyi ɲìŋke ná ku ɲùŋɔ yafiliyi puni ɲùŋɔ na mɛ.»
GEN.1.27	Ka Kile si sùpyaŋi yaa uye málwɔrɔ.
GEN.1.27	U à u yaa u yabiliŋi fiige.
GEN.1.27	Maa u yaa nɔ̀ ná ceewe.
GEN.1.28	Ka Kile si jwó le pi na, maa jwo: «Yii si, yii ɲìŋke ɲî, yii i ntɛ̀ɛn ku ɲùŋɔ na. Yii i mpyi fyaabii ná saɲcyɛɛnre ná ɲyii yaaga maha ɲyii yaaga ku ɲyɛ ɲìŋke na ke, yire ɲùŋɔ na.»
GEN.1.29	Ɲyɛ ka Kile si núr'a jwo: «Yii wíi. Mii à ɲìŋke sùmaŋi shiŋi puni ná cire shiŋi puni yasɛɛre kan yii á, yi pyi yii yalyîre. 
GEN.1.30	Mii à ɲyɛpuruge (ɲyapuruge)* ná wyempuruyi puni kan sige yaare ná yatɔɔre ná saɲcɛɛnr'á, yire si mpyi ti yalyîre.» Ka lire si mpyi li jwuŋkanni na. 
GEN.1.31	Ka Kile si li ɲya na uru kapyiiŋkii pun'à ɲwɔ sèe sèl'e. Ka numpilage si wwɔ̀, ka ɲyɛ̀ge si múgo, ka kuru si mpyi canbaani woge.
GEN.2.1	Ɲyɛ nìɲyiŋi ná ɲìŋke ná yi funŋɔ yaayi pun'à yal'a kwɔ̀ amuni. 
GEN.2.2	Kile à kwɔ̀ u báaraŋi puni na ke, ka u u ŋɔ̀ canŋke baashɔnwoge e. 
GEN.2.3	Puru ŋɔmpe kurugo, u à báraga le canŋke baashɔnwoge e, maa kuru pyi u wogo, ka kuru canŋke si kuye wwû canyi sanɲyi i.
GEN.2.4	Ɲyɛ nìɲyiŋi ná ɲìŋke yaaŋkanni l'à pyi lire.
GEN.2.4	Ɲyɛ tèni i Kafooŋi Kile à nìɲyiŋi ná ɲìŋke yaa ke, 
GEN.2.5	cige mpyi na sàha ŋkwɔ̀ a fyîn ɲìŋke na mɛ, sùma mú mpyi na sàha ŋkwɔ̀ a fyîn mɛ, ɲaha na yɛ Kafooŋi Kile mpyi na sàha zànha cyán mɛ. Sùpya mú mpyi ɲìŋke na si ŋkwɔ̀ raa ku fàa mɛ. 
GEN.2.6	Kàŋkuraŋɔ* mpyi maha fwore ɲìŋke e, maha mpyi lwɔhɔ na ku puni lwúu.
GEN.2.7	Ka Kafooŋi Kile si ɲìŋke pwoore tà lwɔ́ mà tɛ̀g'a nɔ̀ŋi* cyeere yaa. Lire kàntugo, ka u u shìŋi kafɛɛge fwɔ a le u múnawyiini i, ka tire cyeere si mpyi ɲyii yaaga.
GEN.2.8	Ka Kafooŋi Kile si cikɔɔgɔ yaa Edɛni kìni canŋa fworompe e, nàŋi u à yaa ke, maa uru yaha wani. 
GEN.2.9	Maa ciyi shiŋi puni pyi y'à fyîn ɲìŋke na, cire nisìnante ntemu yasɛɛre t'à táan ke. Maa shìŋi cige yaha cire puni niŋke e, ná cige ŋkemu ku maha sùpyaŋi pyi u à kacɛnni cè a wwû kapiini i ke.
GEN.2.10	Baŋi wà lwɔhɔ mpyi na fwu na fwore Edɛni kìni i, kuru ku mpyi na fwu cire ɲwɔh'i, wani u mpyi a táa baŋkeɲyi sicyɛɛre. 
GEN.2.11	Baŋkeŋke niɲcyiige mɛge ɲyɛ Pishɔn, kuru na fwu na ntùuli Kyavila kìni puni funŋke e. Sɛɛnŋi na ɲyɛ lire kìni i. 
GEN.2.12	Uru sɛɛnŋi ɲyɛ sɛɛnŋi yabili biliŋi. Sìnmɛ nùguntanga wumɔ mú na ntaa wani, pu mɛge ɲyɛ bideliyɔmu, ná lulushiŋi wà, u mɛge ɲyɛ onikisi. 
GEN.2.13	Baŋkeŋke shɔnwoge mɛge ɲyɛ Gikyɔn, kuru na fwu na ntùuli Kushi kìni puni funŋke e. 
GEN.2.14	Baŋkeŋke tanrawoge mɛge ɲyɛ Tigiri. Kuru na fwu Asiri kìni canŋafyinmpe e. Sicyɛrewoge mɛge ɲyɛ Efirati.
GEN.2.15	Ɲyɛ ka Kafooŋi Kile si sùpyaŋi yaha Edɛni cikɔɔge e, ur'à ku fàa, u s'a ku kàanmucaa. 
GEN.2.16	Maa yi jwo u á: «Mu sí n-jà raa nte cire puni yasɛɛre lyî, 
GEN.2.17	ŋka mu aha bú kapiini ná kacɛnni ɲcèŋi cige yasɛɛre tà lyî canŋke ŋkemu i ke, mu sí n-sìi n-kwû.»
GEN.2.18	Ɲyɛ lire kàntugo, ka Kafooŋi Kile si jwo: «Nàŋi u kwôro uye niŋkin, lire ɲyɛ a ɲwɔ mɛ. Mii sí tɛgɛfoo yaa u á ŋgemu u sí n-yaa ná u e ke.» 
GEN.2.19	Kafooŋi Kile mpyi a pwoore tà lwɔ́ mà tɛ̀g'a sige yaare ná saɲcyɛɛnre puni yaa, ɲyɛ, maa ti puni yaha sùpyaŋi taan, maa u kàanmucya, pyiŋkanni na u sí ti mɛyi le ke, mɛgɛ maha mɛgɛ u à le ti mú niŋkin niŋkin na ke, yire mɛyi y'à pyi ti mɛyi. 
GEN.2.20	Nàŋi mpyi a mɛyi le yatɔɔre puni na, maa mɛyi le saɲcyɛɛnre puni na, maa mɛyi le sige yaare puni na, mà li ta yire yaayi puni i u mpyi a tɛgɛfoo ta uye na, ŋgemu u sí n-yaa ná u e mɛ.
GEN.2.21	Ɲyɛ ka Kafooŋi Kile si nàŋi ŋɔ́n'a cùnnɔ. Mà u yaha puru ŋɔɔmpe na, ka u u u bèeɲcibileni là niŋkin wwû, maa kyambyimpe pà tɛ̀g'a lire wyiini tò. 
GEN.2.22	Lire bèeɲcibileni, Kafooŋi Kile à yaa ceewe, mà kan nàŋ'á. 
GEN.2.23	Tèni i nàŋ'à ceeŋi ɲya ke, ka u funntangawuŋi si jwo
GEN.2.23	«Anhaan, numɛ sa, mii shiŋi u ŋge.
GEN.2.23	U kaciiy'à fworo mii kaciiyi i.
GEN.2.23	U cyeer'à fworo mii cyeere e.
GEN.2.23	U mɛge sí n-le ceewe,
GEN.2.23	Ɲaha na yɛ u à fworo nɔ̀ŋi i
GEN.2.24	Lire kurugo nɔ̀ŋi sí u tuŋi ná u nuŋi yaha si mpwɔ u cwoŋi na, pi mú shuunni si mpyi shin niŋkin
GEN.2.25	Nɔ̀ŋi ná ceeŋi cípyire wuu pi mpyi. Ŋka wà ɲyɛ a mpyi a cwɔ̂nrɔ ná w'e mɛ.
GEN.3.1	Ɲyɛ Kafooŋi Kile mpyi a sige yaare ntemu yaa ke, wwòŋi u mpyi a cyîige tire puni na. Canŋka, ka wwòŋi si jwo ceeŋ'á: «Sèe wi na Kile à jwo, yii àha ŋkwɔ̀ cikɔɔge cire yasɛɛre tà lyî mà?» 
GEN.3.2	Ka ceeŋi si jwo: «Wuu sí n-jà cikɔɔge cire yasɛɛre lyî yoo!» 
GEN.3.3	Ŋka cige ku ɲyɛ cikɔɔge niŋke e ke, Kile à jwo wuu àha kuru woore lyî mɛ, na wuu bá ká n-sìi n-bwɔ̀n ti na mɛ, na lire ká mpyi, wuu sí n-kwû!» 
GEN.3.4	Ka wwòŋi si jwo ceeŋ'á: «Sèe bà mɛ, yii sì n-sìi n-kwû mɛ! 
GEN.3.5	Kile à yire jwo, ɲaha na yɛ u à cè yii aha kure cige yasɛɛre tà lyî canŋke ŋkemu i ke, yii sí n-pyi uru Kile yabiliŋi fiige, yii ɲyiigii sí múgo, yii sí kacɛnni cè n-wwû kapiini i.»
GEN.3.6	Ɲyɛ ka ceeŋi si li ɲya na ŋke cige yasɛɛre sí n-táan sèl'e, ti lem'à ɲwɔ, ti mú sí n-jà sùpya yákili múgo, si mu pyi kacèŋɛ. Ka u u tà kwɔ̀n a lyî, maa tà kan u pooŋ'á, u à lyî, uru na mpyi wani ná u e. 
GEN.3.7	Pi à tire lyî ke, ka pi i piye pyiŋkanni ɲya, maa ɲcè na pire cípyire wuu pi ɲyɛ. Ka pi i ntashan cige weɲyi yà kwɔ̀n a tutu mà le piye na.
GEN.3.8	Ɲyɛ yàkoŋke, nàŋi ná ceeŋ'à Kafooŋi Kile tùnmpe lógo, u u uye ɲaare cikɔɔge e ke, ka pi i fê a ŋwɔhɔ u yyaha na cire shwɔhɔl'e. 
GEN.3.9	Ka Kafooŋi Kile si nàŋi yyere: «Taa mu de?» 
GEN.3.10	Ka u u Kile pyi: «Mii à mu tùnmpe lógo cikɔɔge funŋke e ke, ka mii i fyá, ɲaha na yɛ mii cípyire wu u ɲyɛ, lire l'à mii pyi mii à ŋwɔhɔ.» 
GEN.3.11	Ka Kile si jwo: «Jofoo u à mu pyi na mu cípyire wuŋi u ɲyɛ yɛ? Mii à mu sige cige ŋkemu yasɛɛre na ke, tire tà bà mu à lyî mà?» 
GEN.3.12	Ka nàŋi si jwo: «Ceeŋi mu à kan mii á ke, uru u à tà kan mii à lyî dɛ!»
GEN.3.13	Ka Kafooŋi Kile si ceeŋi yíbe: «Ɲaha shi mu à pyi amɛ yɛ?» Ka ceeŋi si jwo: «Wwòŋ'à mii ɲwɔfaanŋa, ka mii i tà lyî.»
GEN.3.14	Ka Kafooŋi Kile si jwo wwòŋ'á:
GEN.3.14	«Ná mu s'à ɲɛn'a lire pyi,
GEN.3.14	mii à mu láŋa
GEN.3.14	yatɔɔre ná sige yaare sannte puni shwɔhɔl'e,
GEN.3.14	mu sí raa filili ma yaceni na
GEN.3.14	s'a nticyɛnŋi mûre
GEN.3.14	ma shìŋi canmpyaagii puni i.
GEN.3.15	Mii sí pege le mu ná ceeŋi shwɔhɔl'e,
GEN.3.15	si kuru pege ninuge le mu yasege ná ceeŋi woge shwɔhɔl'e.
GEN.3.15	U aha mu ta, u sí mu ɲùŋke bwɔ̀n n-jya,
GEN.3.15	mu mú ká u ta, maa u nɔ nintaani na.»
GEN.3.16	Maa jwo ceeŋ'á
GEN.3.16	«Mii sí là bâre mu laani ɲjyàŋi na.
GEN.3.16	Mu lahigii ziŋi sí n-waha sèl'e.
GEN.3.16	Mu la si mpyi si ma pooŋi jà,
GEN.3.16	ŋka uru u sí n-pyi mu ɲùŋɔ na.»
GEN.3.17	Maa jwo nàŋ'á
GEN.3.17	«Mu à ɲɛn'a taha ma cwoŋi ɲwɔmɛɛni fye e,
GEN.3.17	mii à yi jwo mu á ma hà cige ŋkemu yasɛɛre lyî mɛ,
GEN.3.17	tire mu à lyî.
GEN.3.17	Ɲyɛ ɲìŋk'à kɛ̀ɛge mu kurugo,
GEN.3.17	mu sí raa ŋkànre sèl'e s'a ma ɲwɔlyiŋi taa ɲìŋke e
GEN.3.17	ma shìŋi canmpyaagii puni funŋke e.
GEN.3.18	Ŋgure ná ɲyɛpege sí n-fyîn ɲìŋke na,
GEN.3.18	mu ɲjyìŋi sí raa fworo mu yafaaɲyi i.
GEN.3.19	Mu sí raa lyî ma byɛɛni fùnmpe e,
GEN.3.19	fo zà mu núruŋɔ ɲìŋke e,
GEN.3.19	ɲaha na yɛ pworo ti ɲyɛ mu,
GEN.3.19	mu sí núru n-pa n-pyi tire pwoore ninure.»
GEN.3.20	Ɲyɛ cyire karigii puni kàntugo, Adama à u cwoŋi mɛge le Awa, ɲaha na yɛ uru u à pyi sùpyire puni nuŋi. (Awa mɛge ɲwɔhe ku ɲyɛ shìŋi.)
GEN.3.21	Ka Kafooŋi Kile si yatɔɔre tà seeyi pyi vàanya mà le Adama ná u cwoŋi na. 
GEN.3.22	Maa jwo «Numɛ, sùpyaŋi ɲyɛ wuu fiige, u à kacɛnni ná kapiini cè a wwû yiye e. Wuu u sige u àha ŋkwɔ̀ shìŋi cige yasɛɛre tà kwɔ̀n ɲjyî si ŋkwôro shì na fo tèekwombaa mɛ.» 
GEN.3.23	Amuni l'à pyi, ka Kafooŋi Kile si u kɔ̀r'a yige Edɛni kìni cikɔɔge e, maa u pyi u sà a ɲìŋke fàa, Kile à u yaa ná ɲìŋke ŋkemu pwoore e ke.
GEN.3.24	Ɲyɛ amuni Kile à Adama ná Awa kɔ̀rɔ. Maa sherubɛnbii
GEN.4.1	Ɲyɛ Adama à wwɔ̀ ná u cwoŋi Awa e, ka u u laa lwɔ́ maa Kaɲɛ si, maa jwo: «Ei! Mii à pùnambile si Kafooŋi Kile barag'e.» 
GEN.4.2	Lire ɲwɔhɔ na, ka u u núr'a laa lwɔ́, maa Kaɲɛ cɔɔnŋi *Abɛli si. Ka Abɛli si mpa mpyi mpàbyi, ka Kaɲɛ si mpa mpyi faapyi.
GEN.4.3	Tèni là à tòro ke, ka Kaɲɛ si u kɛrɛge yasɛɛre tà pyi sáraga Kafooŋi á. 
GEN.4.4	Ka Abɛli mú si u mpàbilini là cû mpàpyire niɲcyiire e mà bò, maa li sìnmpe kyaare pyi sáraga Kafooŋi á. Ka Abɛli ná u sárage kyaa si ntáan Kafooŋi á. 
GEN.4.5	Ŋka Kaɲɛ ná u woge kyaa ɲyɛ a mpyi a táan u á mɛ. Ka lire si Kaɲɛ lùuni yîrige sèl'e, ka u u yyaha tanha.
GEN.4.6	Ɲyɛ ka Kafooŋi si Kaɲɛ yíbe: «Ɲaha k'à mu lùuni yîrige fo mu à yyahe tanha amɛ yɛ? 
GEN.4.7	Mu kapyiiŋkii ká ɲwɔ, tá mu ɲùŋke sì n-yîrige mii yyaha taan mà? Ŋka mu kapyiiŋkii ká mpi, kapiini mpyiŋi lage sí n-pyi mu na bà naŋiyaaga maha mpyi ná kyaare lage e, maa yatɔɔge pɛr'a sige si ku ta ɲcû mɛ. Ŋka mu s'à yaa mu u ɲcû maye na.»
GEN.4.8	Ɲyɛ canŋka, ka Kaɲɛ si u cɔɔnŋi pyi na pi shà sige e. Mà pi yaha wani, ka Kaɲɛ si ɲcwo u cɔɔnŋi Abɛli na a bò.
GEN.4.9	Lire kàntugo, ka Kafooŋi si Kaɲɛ yíbe: «Taa mu cɔɔnŋi, Abɛli ɲyɛ ke?» Ka Kaɲɛ si u pyi: «Mii à cè la? Taha mii u ɲyɛ na cɔɔnŋi saɲcwɔnsigiŋi la?» 
GEN.4.10	Ka Kafooŋi si jwo: «Ɲaha kafiile mu à pyi amɛ yɛ? Mu à ma cɔɔnŋi bò kɛ? Mii à u sìshange ɲya ɲìŋke na ke, l'à pyi mu à jwo u na ŋkwúuli na mii u uru ŋkooŋi wwû. 
GEN.4.11	Ɲyɛ ɲìŋke k'à mu cɔɔnŋi sìshange bya mu cye kurugo ke, kur'à mu láŋa. 
GEN.4.12	Mà lwɔ́ numɛ na, mu aha núr'a ɲìŋke fàa, mu saha sì raa nta pyi k'e mɛ. Mu sí raa fahafaha raa ntùuli ɲìŋke na.»
GEN.4.13	Ka Kaɲɛ si jwo Kafooŋi á: «Mu à mii lùbyage pyi wɛɛge lwɔhɔ, mii sì n-jà ku bya mɛ. 
GEN.4.14	Ɲyɛ mu à mii kɔ̀r'a yîrige faaŋi tapyige e. Mii sí n-sà ŋwɔhɔ mu yyaha na tatɔɔnge e, s'a fahafaha raa ntùuli ɲìŋke na. Shin maha shin u à mii ta ke, uru sí mii bò.» 
GEN.4.15	Ka Kafooŋi si jwo Kaɲɛ á: «Lire mpyi ɲyɛ mɛ, shin maha shin u à mu bò ke, lire kapiini fwooni sí n-tò urufoo na fo tooyi baashuunni.» Ka u u fyè bwɔ̀n Kaɲɛ na, shin maha shin u á círe ná u e ke, urufoo kà ŋkwɔ̀ u bò mɛ. 
GEN.4.16	Ka Kaɲɛ si yîri Kafooŋi taan, maa ŋkàr'a sà ntɛ̀ɛn Nɔdi kìni i Edɛni canŋa fworompe e. 
GEN.4.17	Lire ɲwɔhɔ na, ka Kaɲɛ si ceewe lèŋɛ, maa pùnambile si u na, maa li mɛge le Enɔki. Ka u u kànha faanra maa u jyaŋi Enɔki mɛge le kuru na. 
GEN.4.18	Ɲyɛ Enɔki à Iradi si, ka Iradi si Mɛkwuyayɛli si, ka Mɛkwuyayɛli si Mɛtushayɛli si, ka uru si Lemɛki si.
GEN.4.19	Lemɛki mpyi ná cyee shuunni i. Wà mɛge na mpyi Ada, u saanŋi woge sí mpyi Zila. 
GEN.4.20	Ada à pùnambile si, lire mɛge ɲyɛ Yabali. Uru tùluge shiinbii pi na yatɔɔre byíi, marii ɲaare na ntùuli. 
GEN.4.21	Yabali cɔɔnŋi u mpyi Yubali, uru u mpyi ŋkɔ̀nɔbwɔnbii ná tìmpirewyiibii tulyage. 
GEN.4.22	Zila mú a pùnambile si, lire mɛge mpyi Tubali Kaɲɛ. Ur'à pyi tunntun. U mpyi maha dàɲyaŋi ná tɔɔnntire yaayi yaa. Tubali Kaɲɛ cɔɔnŋi mpyi pùceebile, u mɛge mpyi Naama.
GEN.4.23	Canŋka, Lemɛki à jwo u cyeebil'á:
GEN.4.23	«Ada ná Zila, yii lógo na ɲwɔ na.
GEN.4.23	Yii niŋgyiigii múgo.
GEN.4.23	Nɔ̀ maha nɔ̀ cyɛge ká nɔ mii na ke, mii sí n-sìi urufoo bò.
GEN.4.23	Nàɲjiibile maha nàɲjiibile l'à kampee tìri mii na ke, mii sí n-sìi urufoo bò.»
GEN.4.24	L'à cyêe na Kaɲɛ mbòŋi fwooni sí n-tò urufoo na fo tooyi baashuunni.
GEN.4.24	Ŋka, mii, Lemɛki, mii mbòŋi fwooni sí n-tò urufoo na fo tooyi beetaanre ná kɛ ná baashuunni.»
GEN.4.25	Ɲyɛ ka Adama si núr'a pùnambile si u cwoŋi na maa lire mɛge le Sɛti. Ka Awa si jwo: «Kaɲɛ à *Abɛli bò. Lire e, Kile à pùnambilini labɛrɛ kan mii á Abɛli cyaga.» 
GEN.4.26	Ɲyɛ ka Sɛti mú si pùnambile si, maa li mɛge le Enɔshi.
GEN.4.26	Lire tèni i, ka sùpyire si nta a li ɲwɔ cû na Kile pêre maa u pyi Kafooŋi Kile.
GEN.5.1	Adama tùluge shiinbii mɛyi yi ɲyɛ ɲje.
GEN.5.1	Canŋke Kile à sùpyaŋi yaa ke, u à u yaa uye fiige. 
GEN.5.2	U à u yaa nɔ̀ ná ceewe, maa jwó le pi á, maa pi mɛge le sùpya.
GEN.5.3	Adama à yyee ŋkuu ná beɲjaaga ná kɛ ta, maa pùnambile si uye málwɔrɔ. Maa u mɛge le Sɛti. 
GEN.5.4	Sɛti siŋkwooni ɲwɔhɔ na, Adama à yyee ŋkwuu baataanre pyi sahaŋki. Cyire funŋke e u à pyìibii piibɛrii si. 
GEN.5.5	U shìŋi canmpyaagil'à pyi yyee ŋkwuu baaricyɛɛre ná beɲjaaga ná kɛ, ka u u ŋkwû.
GEN.5.6	Sɛti à yyee ŋkuu ná kaŋkuro ta maa Enɔsi si. 
GEN.5.7	Enɔsi siŋkwooni kàntugo na, Sɛti à yyee ŋkwuu baataanre ná yyee baashuunni ta. Cyire funŋke e u à pyìibii piibɛrii si. 
GEN.5.8	Sɛti shìŋi canmpyaagii pun'à pyi yyee ŋkwuu baaricyɛɛre ná yyee kɛ ná shuunni, ka u u ŋkwû.
GEN.5.9	Enɔsi à yyee beecyɛɛre ná kɛ ta, maa u jyaŋi Kena si. 
GEN.5.10	Kena siŋkwooni kàntugo na, Enɔsi à yyee ŋkwuu baataanre ná kɛ ná kaŋkuro ta. Cyire funŋke e u à pyìibii piibɛrii si. 
GEN.5.11	Enɔsi shìŋi canmpyaagil'à pyi yyee ŋkwuu baaricyɛɛre ná kaŋkuro, ka u u ŋkwû.
GEN.5.12	Kena à yyee beetaanre ná kɛ ta, maa u jyaŋi Malalɛli si. 
GEN.5.13	Malalɛli siŋkwooni kàntugo na, Kena à yyee ŋkwuu baataanre ná beeshuunni ta. Cyire funŋke e, u à pyìibii piibɛrii si. 
GEN.5.14	Kena shìŋi canmpyaagil'à pyi yyee ŋkwuu baaricyɛɛre ná kɛ, ka u u ŋkwû.
GEN.5.15	Malalɛli à yyee beetaanre ná kaŋkuro ta, maa u jyaŋi Yɛrɛdi si. 
GEN.5.16	Yɛrɛdi siŋkwooni kàntugo, Malalɛli à yyee ŋkwuu baataanre ná beɲjaaga ná kɛ ta. Cyire funŋke e u à pyìibii piibɛrii si. 
GEN.5.17	Malalɛli shìŋi canmpyaagil'à pyi yyee ŋkwuu baataanre ná yyee beecyɛɛre ná yyee kɛ ná kaŋkuro, ka u u ŋkwû.
GEN.5.18	Zherɛdi à yyee ŋkuu ná beetaanre ná shuunni ta, maa u jyaŋi Enɔki si. 
GEN.5.19	Enɔki siŋkwooni kàntugo na, Zherɛdi à yyee ŋkwuu baataanre ta. Cyire funŋke e u à pùnampyire ná pùceepyire si. 
GEN.5.20	Zherɛdi shìŋi canmpyaagil'à pyi yyee ŋkwuu baaricyɛɛre ná yyee beetaanre ná shuunni, ka u u ŋkwû.
GEN.5.21	Enɔki à yyee beetaanre ná kaŋkuro ta, maa u jyaŋi Mɛtushala si. 
GEN.5.22	Mɛtushala siŋkwooni kàntugo, Enɔki à ɲaare Kile kuni i yyee ŋkwuu taanre funŋ'i. Cyire funŋke e u à pyìibii piibɛrii si. 
GEN.5.23	Enɔki shìŋi canmpyaagil'à pyi yyee ŋkwuu taanre ná yyee beetaanre ná yyee kaŋkuro. 
GEN.5.24	Enɔki à u shìŋi puni pyi Kile kuni i. Lire kàntugo, u saha ɲyɛ a kwôro naha diɲyɛŋi i mɛ, ɲaha na yɛ Kile à u lwɔ́ a kàr'a sà yaha uye taan.
GEN.5.25	Mɛtushala à yyee ŋkuu ná beecyɛɛre ná baashuunni ta, maa u jyaŋi Lemɛki si. 
GEN.5.26	Lemɛki siŋkwooni kàntugo na, Mɛtushala à yyee ŋkwuu baashuunni ná beecyɛɛre ná shuunni pyi. Cyire funŋke e u à pyìibii piibɛrii si. 
GEN.5.27	Mɛtushala shìŋi canmpyaagil'à pyi yyee ŋkwuu baaricyɛɛre ná beetaanre ná baaricyɛɛre, ka u u ŋkwû.
GEN.5.28	Tèni i Lemɛki shìŋi mpyi yyee ŋkuu ná beecyɛɛre ná shuunni ke, u cwoŋ'à pùnambile si u á. 
GEN.5.29	U à li mɛge le Nuhu, maa jwo: «Kafooŋi Kile à ɲìŋke kɛ̀ɛge, maa wuu yaha báarawayi ɲjemu na ke, ŋge pyàŋi u sí n-pa wuu funɲyi ɲíŋɛ, si wuu yige tire kanhare e.»
GEN.5.30	Nuhu siŋkwooni kàntugo na, Lemɛki à yyee ŋkwuu kaŋkuro ná beecyɛɛre ná yyee kɛ ná yyee kaŋkuro pyi. Cyire funŋke e u à pyìibii piibɛrii si. 
GEN.5.31	Lemɛki shìŋi canmpyaagil'à pyi yyee ŋkwuu baashuunni ná yyee beetaanre ná yyee kɛ ná yyee baashuunni, ka u u ŋkwû.
