GEN.1.1	Paat ra talimpuun i paat ri Aki Kapuuno' napasauk ra limbowon am namingkal ra tana' ti.
GEN.3.7	Pakaakan ilo ra kawa' no, pangkaraan nilo naukab am nalimanan nilo ra nagibabaang ilo. Ginio ra pampikit ilo ra raun ru ara am taubi' nilo inan nilono.
GEN.3.8	Paat ra mamai', nakaining ilo ra 
GEN.3.9	Kaa' pampiau 
GEN.3.10	Taam ungkuyon no, kono, “Nakaining aku nampiau Kou giti ra taman ti; am malaa' aku, ginio ra pansibuni aku sabap nagibabaang aku.”
GEN.3.11	“Osoi kia nambala' rirun ra nagibabaang kou?” nangkuot i Aki Kapuuno'. “Inakan min kia kawa' ondo' kalo paakanin Kuli?”
GEN.3.12	Taam ungkuyon i, “Ruandu' ondo' pinamarangan Mu raki' ti nai nangani' raki' ra kawa' no am akano' ku boo.”
GEN.3.14	Indagu boo 
GEN.3.15	Okou am ruandu' raginio mansisang, papag nano am papag muno magail mantutula'. Papag nano mamabak ra ulu muno am okou maninduk ra tunob nilono.”
GEN.3.16	Indagu 
GEN.3.18	Tana' ti makaampos ra tutuu' am tutuu' makaruui; tutuu' lumayau masauk ra akanon muno. 
GEN.3.19	Okou matipatoi mangandoi am rasangon koson mambaal ra tana' ti manangampos saboi sumaguli' kou ra tana' ti sabap intor ra tana' ti okou sinauk. Ginio nai ra okou sinauk intor ra tana' am sumaguli' kou niayuk ra tana'.”
GEN.3.20	Inggalani' ri Adam
GEN.3.21	Ginio boo ra 
GEN.3.23	Ginio ra 
GEN.3.24	Giu' boo ra tampilon sirangon ru Taman no, 
GEN.4.1	I Adam pana parulug boo ri Awa, andu' nano am kaapang io boo. Ginio ra paganak io sangulun anak ungkuyon am indagu, kono, “Mabaya' ra indangan ru 
GEN.4.2	Kalo nabuoi ragili, paganak poyo i Awa sangulun anak ungkuyon ondo' ininggalanan ri Abil. Io nasauk ra magagalung ra domba am i Kain nasauk ra magitanom. 
GEN.4.3	Kukula' buoi raiti, nangalap i Kain ra kukula' ampos ru kandoi nali koson pataakon no ra 
GEN.4.4	I Abil pana nangalap boo ra sanginan anak domba ondo' anak kasaa' intor ra domba nano am simbaluyo' no, am io pana nampataak ra tayar ondo' moonsoi kaga' ra 
GEN.4.5	kaa' kalo naansayan Io ri Kain am taak nano. Ginio ra siminangit kaga' i Kain am kiminarus io toojo. 
GEN.4.6	Indagu boo 
GEN.4.7	Amon ru nambaal kou ra moonsoi maaru' matakau bulos muno;
GEN.4.9	Pangkuot 
GEN.4.11	Ginio ra inulas kou saboi kalo boo makapanangumo kou ra tana'. Sinosop ru tana' no raraa' ru boborok muno ilain koson ra ginaal no kabang mangapu ra raraa' ru boborok muno paat okou namatoi riso. 
GEN.4.12	Amon ru mangkinam kou pana magitanom, tana' ti kalo mapasalula' ra ampos; masauk kou ra sangulun tumanggau ayuk am kolondo' intok muno ra tana' ti.”
GEN.4.13	Indagu boo i Kain ra 
GEN.4.14	Paugaron Mu aku ra tana' ti, am intor ra saang Muno. Masauk aku boo ra sangulun tumanggau ondo' kolondo' intok ra tana' ti am potoyon aku ru osoi ayuk makatuum raki'.”
GEN.4.15	Kaa' indagu 
GEN.4.16	Ugar boo i Kain intor ra saang ru 
GEN.4.17	I Kain am andu' nano nokoowot ra anak ungkuyon ondo' ininggalanan ri Ginok. Nambaal boo i Kain rondo' bandar am inggalani' no bandar no sumugut ra inggalan ru anak nano. 
GEN.4.18	Anak ri Ginok ininggalanan ri Irad. I Irad pana makaanak ininggalanan ri Miguyail. Pakaanak i Miguyail am i Mitusail. Pakaanak i Mitusail am i Lamik. 
GEN.4.19	I Lamik ti mokoondo' ruo andu', inggalan nilai i Ada am i Jila. 
GEN.4.20	Anak ri Ada ti am i Jabal, am papag ri Jabal ti noyo nasauk ra bansa' ondo' manambiag ra bibiag am niayuk mayan ra kim. 
GEN.4.21	Boborok no ininggalanan ri Jubal, kinamatuaan ru ngaangai' ondo' makatanda' ra pangkulian ru kulintangan am suling. 
GEN.4.22	I Jila makaanak ondo' ininggalanan ri Tubal-Kain, kinamatuaan ru ondo' makatanda' toojo mambaal ra mansalinut kakamot
GEN.4.23	Indagu i Lamik ra karuruo andu' no, “Ada am Jila, iningo' ragu kutu! Namatoi aku ra sangulun tuu'-bagu sabap nangimbolo' io raki'. 
GEN.4.24	Ginio ra amon ru tulu' ngaulun potoyon koson pambalos ra ulun ondo' mamatoi ri Kain, tulu' ngoopor am tulu' ngaulun potoyon amon ru potoyon aku.”
GEN.4.25	I Adam am i Awa nokoowot poyo ra sangulun anak ungkuyon. Indagu i Awa, “I Aki Kapuuno' nangani' raki' sangulun anak ungkuyon koson ra alig ri Abil ondo' pinatoi ri Kain i.” Ginio boo inggalani' no ri Sit.
GEN.4.26	I Sit makaanak ungkuyon ondo' ininggalanan ri Inos. Paat ragitio noyo ulun tumalimpuun manabit ra inggalan ru 
GEN.5.2	Napasauk Io ra ruandu' am ungkuyon. Io pana nambarakat risilo am inggalani' No ilo ra “Ulun”.) 
GEN.5.3	Paat i Adam makaumur 130 ngambilor, makaanak ungkuyon io ondo' nansalu riso, am ininggalanan no ri Sit. 
GEN.5.4	Kopongo raginio, lakat poyo naayag i Adam buoi 800 ngambilor poyo am makaanak poyo ra bokon. 
GEN.5.5	Io minatoi ra umur nano 930 ngambilor.
GEN.5.6	Paat i Sit makaumur 105 ngambilor, makaanak ungkuyon io ininggalanan ri Inos. 
GEN.5.7	Kopongo raginio, lakat poyo naayag i Sit buoi 807 ngambilor am makaanak poyo ra bokon. 
GEN.5.8	Io minatoi ra umur nano 912 ngambilor.
GEN.5.9	Paat i Inos makaumur 90 ngambilor, makaanak ungkuyon io ininggalanan ri Kinan. 
GEN.5.10	Kopongo raginio, lakat poyo naayag i Inos buoi 815 ngambilor am makaanak poyo ra bokon. 
GEN.5.11	Io minatoi ra umur nano 905 ngambilor.
GEN.5.12	Paat i Kinan makaumur 70 ngambilor, makaanak ungkuyon io ininggalanan ri Magalaliil. 
GEN.5.13	I Kinan ti naayag buoi 840 ngambilor am makaanak poyo ra bokon. 
GEN.5.14	Io minatoi ra umur nano 910 ngambilor.
GEN.5.15	Paat i Magalaliil makaumur 65 ngambilor, makaanak ungkuyon io ininggalanan ri Jarid. 
GEN.5.16	Kopongo raginio naayag poyo i Magalaliil buoi 830 ngambilor am makaanak poyo ra bokon. 
GEN.5.17	Io minatoi ra umur nano 895 ngambilor.
GEN.5.18	Paat i Jarid makaumur 162 ngambilor, makaanak ungkuyon io ininggalanan ri Ginok. 
GEN.5.19	Kopongo raginio, naayag poyo i Jarid buoi 800 ngambilor am makaanak poyo ra bokon. 
GEN.5.20	Io minatoi ra umur nano 962 ngambilor.
GEN.5.21	Paat i Ginok makaumur 65 ngambilor, makaanak ungkuyon io ininggalanan ri Mitusila. 
GEN.5.22	Kopongo raginio naayag poyo i Ginok ralalom pasimpungan no ri Aki Kapuuno' buoi 300 ngambilor. Makaanak io poyo ra bokon, 
GEN.5.23	am nakasuku' poyo umur nano 365 ngambilor. 
GEN.5.24	I Ginok naayag masalok sumimpung ri Aki Kapuuno', liminiot io sabap inalap io ri Aki Kapuuno'.
GEN.5.25	Paat i Mitusila makaumur 187 ngambilor, makaanak ungkuyon io ininggalanan ri Lamik. 
GEN.5.26	Kopongo raginio naayag poyo i Mitusila buoi 782 ngambilor am makaanak poyo ra bokon. 
GEN.5.27	Io minatoi ra umur nano 969 ngambilor.
GEN.5.28	Paat i Lamik makaumur 182 ngambilor, makaanak ungkuyon io. 
GEN.5.29	Indagu i Lamik, “Anak ragitio mapabansuk paat ra itakau mirot mangandoi ra tana' ondo' inulas ru Tuhan.” Ginio boo inggalani' no anak nano ri Nuu.
GEN.5.30	Naayag poyo i Lamik buoi 595 ngambilor am makaanak poyo ra bokon. 
GEN.5.31	Io minatoi ra umur nano 777 ngambilor.
GEN.5.32	Kopongo raginio, i Nuu makaumur 500 ngambilor, makaanak ungkuyon io talu ngaulun. Ilo ti i Siim, Japit am i Gam.
GEN.6.1	Paat ra ulun giminaai suang am liminayak minayan ra titikop ra tana' ti am anak ruandu' anakon, 
GEN.6.2	ulun ru tana' ti
GEN.6.3	 pana mindagu boo, “Kalo polosoon Ku ulun maayag ra sabubuoi; ilo ulun mapandai matoi. Intor raino ti, umur nilo kalo masailan intor ra 120 ngambilor.” 
GEN.6.4	Paat ragili am niayuk kalupus paat ragili, makaulun mangaayo am mangapanggol. Papag ilo ru ralaa ru ulun ondo' natagandu' ra ulun ru tana' ti. Ulun-ulun raginio noyo tutumula' mapanggol ondo' nangauligan kaga' paat ra galing i.
GEN.6.6	Ginio ra pansagulian boo 
GEN.6.7	Ginio ra indagu Io boo, “Pusoon Ku ngaangai' ondo' sinauk Kutu, susuit am bibiag ra bokon sabap pansagulian Aku kaga' napasauk risilo.” 
GEN.6.8	Kaa' i Nuu mapabansuk ra guang ru 
GEN.6.11	kaa' ngaangai' ulun ra bokon malaat ra pagilangan ri Aki Kapuuno' am makakalaatan ra ati ayuk intok. 
GEN.6.12	Nagilong i Aki Kapuuno' ra tana' ti am nakakito ra kalaatan ayuk am ngaangai' ulun malaat kaayagan.
GEN.6.13	Indagu i Aki Kapuuno' ri Nuu, “Inaru' Ku noyo ra pupusin Ku kaayagan ru ngaangai' ulun. Ilo ngaangai' pusoon Ku sabap tana' ti napanu' ra kalaatan nilo. 
GEN.6.14	Pambaal noyo ra kapal intor ra tataun ondo' mokotog toojo; baali' ra lamin ralalom no am tapisi' ra tiir intor ralalom am liwar no. 
GEN.6.15	Baalo' gawar no 133 ngamito, 22 ngamito pila' no am sawat no 13 ngamito. 
GEN.6.16	Baali' ra taap
GEN.6.17	Mopongo raginio porotongon Ku rosob koson mapaluus ra ngaangai' ondo' maayag ra tana' ti, 
GEN.6.18	kaa' mambaal Aku ra bantu' rirun. Subol kano ra ralalom ru kapal mabaya' ra andu' muno, anak-anak muno am andu' nilono. 
GEN.6.19+GEN.6.20	Pagibit noyo ra sanginan tandaa' am puunan intor ra moonong susuit am bibiag ru lantur maa' raginio ilo kalo maluus. 
GEN.6.21	Pagibit niayuk ra nansalinut akanon min am poyo akanon ru ngaangai' bibiag raginio.” 
GEN.6.22	Binaal ngaangai' ri Nuu ondo' nanusuban ri Aki Kapuuno' riso.
GEN.7.1	Indagu boo 
GEN.7.2	Pagibit noyo tulu' mantuop intor ra moonong bibiag ondo' mapasau, kaa' santuop ayuk intor ra moonong bibiag ra malaat. 
GEN.7.3	Pagibit niayuk tulu' mantuop intor ra moonong susuit. Baalo' noyo ginio maa' raginio moonong bibiag am susuit maalungan am makasayat saguli' ra tana' ti. 
GEN.7.4	Katuluan poyo maparatu' Aku ra rasam ondo' kalo tuminas-tinas buoi apat ngoopor ngoorou am apat ngoopor ngorondom koson mapaluus ra ngaangai' ilo ondo' maayag ondo' sinauk Kuli.” 
GEN.7.5	I Nuu pana nambaal ra ngaangai' ondo' nanusuban ru 
GEN.7.6	Umur ri Nuu 600 ngambilor paat ra rosob minatong ra tana' ti. 
GEN.7.7	I Nuu am andu' nano, anak-anak nilo am andu' nilono sumubol ralalom ru kapal koson minggalur ra rosob. 
GEN.7.8	Sanginan tandaa' am sanginan puunan intor ra moonong salinut ru susuit am bibiag, ondo' mapasau kapoam ondo' malaat, 
GEN.7.9	sumubol ralalom kapal mabaya' ri Nuu koson ra nanusuban ri Aki Kapuuno'. 
GEN.7.10	Katuluan noyo ragili, rosob pana minatong ra tana' ti.
GEN.7.12	am riminasam buoi apat ngoopor ngoorou am apat ngoopor ngorondom. 
GEN.7.13	Paat orou ragili niayuk, i Nuu am andu' nano siminubol ra ralalom kapal no mabaya' ra katalu anak ungkuyon nilo, iono i Siim, Japit, i Gam mabaya' ra andu' nilono. 
GEN.7.14	Nababaya' risilo, iono moonong salinut ru bibiag mangakaup am mangasigo, ondo' mangaayo am mongoborok am niayuk moonong salinut ru susuit. 
GEN.7.15	Sanginan tandaa' am sanginan puunan intor ra moonong salinut maayag ru tana' ti sumubol ralalom ru kapal no mabaya' ri Nuu, 
GEN.7.16	koson ra nanusuban ri Aki Kapuuno'. Pakaumpos ngaangai' no, angabi' ru 
GEN.7.17	Rosob ra tana' ti buoi apat ngoopor ngoorou timinuu' ra masawat kaga' saboi kapal no liminantau. 
GEN.7.18	Timug no timinuu' poyo am lalantau kapal rasawat ru timug. 
GEN.7.19	Timug no timinuu' poyo saboi gunung ra mangasawat kaga' pana nangalinjob. 
GEN.7.20	Timug no pana narayus poyo timinuu' saboi tulu' ngamito poyo sawat intor ra tampak ru gunung. 
GEN.7.21	Ngaangai' maayag ra tana' ti naluus: ulun, susuit, bibiag ru lantur ra mongoborok am mangaayo. 
GEN.7.22	Ngaangai' ondo' mamainawo ra tana' ti niayuk minatoi. 
GEN.7.23	Napaluus 
GEN.7.24	Timug pana kalo miniit buoi 150 ngoorou.
GEN.8.1	Kalo napalilian i Aki Kapuuno' ri Nuu am ngaangai' bibiag ondo' nababaya' riso ralalom ru kapal no. Pinagangin No saboi miniit rosob. 
GEN.8.2	Ngaangai' taur ru timug ra ragana' ru tana' ti am ngaangai' kulobon ru timug ra limbowon tinauban No. Timininas boo rasam. 
GEN.8.3	Miniit boo timug. Kopongo 150 ngoorou, timug kalo boo kula' maayo. 
GEN.8.4	Paat ra orou koopor am tulu' sila' katulu', kapal no nakararal ra rondo' tampak ru kabuluran Ararat. 
GEN.8.5	Tumalimpuun miit timug paat ra orou kasaa' ra sila' koopor, am tampak ru gunung pana tumalimpuun makito.
GEN.8.6	Kopongo apat ngoopor ngoorou, inukaban ri Nuu rondo' gigimpalan. 
GEN.8.7	Io pana nampalabus ra sanginan susuit bangkaak. Susuit ti kalo siminaguli', kaa' narayus ayuk nansiab ra ati ayuk intok saboi timug miniit toojo. 
GEN.8.8	Liliwa' raginio, palabuso' ri Nuu sanginan susuit asang koson makapandai ru miniit noyo timug. 
GEN.8.9	Kaa' kolondo' arapan ru susuit no sabap ra lakat poyo makatimug titikop ru tana' ti. Ginio ra saguli' boo susuit no ri Nuu, am apuo' no rokopo' pasubolo' ralalom ru kapal. 
GEN.8.10	Naginaa io buoi katuluan am palabuso' no poyo susuit asang no. 
GEN.8.11	Paat mamai' minuli' susuit no am nagibit rondo' raun jaitun ondo' baguon kaga' ra tinduk nano. Ginio ra natutunan ri Nuu ra miniit noyo timug. 
GEN.8.12	Kopongo naginaa katuluan poyo, palabuso' no igondo' poyo susuit asang no; raino ti susuit no kalo boo siminaguli' riso.
GEN.8.13	Paat ra umur ri Nuu 601 ngambilor, iono paat orou kasaa' ra sila' kasaa', miniit noyo toojo timug no. I Nuu pana nangukab ra kapal am pampulolou io ra liliut no. Ilai' no ralimbou ru tana' ti mapua' noyo toojo. 
GEN.8.14	Paat ra orou karuo ngoopor am tulu' ra sila' karuo, tana' ti mapua' noyo kaga'.
GEN.8.15	Indagu boo i Aki Kapuuno' ri Nuu, 
GEN.8.16	“Ingkual kano intor ra kapal mabaya' ra andu' muno, anak-anak ungkuyon muno am andu' nilono. 
GEN.8.17	Ibito' noyo mingkual ngaangai' susuit am bibiag maa' raginio ilo ti mansasayat am lumayak ra titikop ru tana' ti.” 
GEN.8.18	Ingkual boo i Nuu intor ra kapal nabaya' ra andu' nano, anak-anak ungkuyon nano am andu' nilono. 
GEN.8.19	Ngaangai' bibiag am susuit miningkual ra kapal maya' ra salinut nilo sigagama'.
GEN.8.20	Nambaal i Nuu ra altar koson ra 
GEN.8.21	Owou ru taak ri Nuu no mapabansuk ra guang ru 
GEN.8.22	Buoi ru tana' ti soroi, masalok makamantanom, makamangkumos, bulintok masimu', bulintok malasu', bulintok tampio, bulintok rumasam, matawang am molondom.”
GEN.9.2	Ngaangai' susuit, papait am bibiag ra bokon no mangalaa' ramuyun. Ngaangai' nilo soroi ralalom ru kuasa' min. 
GEN.9.3	Ngaangai' no maakan min, koson niayuk ra tutuu' ondo' mangasansam; tinaakan Ku ngaangai' no ramuyun koson ra akanon min. 
GEN.9.4	Rondo' ayuk ondo' kalo maakan min, iono kual ondo' makararaa' ayuk poyo, sabap ra painawo no soroi ralalom ru raraa' no. 
GEN.9.5	Amon sangungulun ondo' mamatoi ra ulun, ukumin Ku io ra matoi. Ukumin Ku ra potoyon atan ayuk bibiag ondo' mamatoi ra ulun. 
GEN.9.6	Ulun sinauk nogondo' ra baal Kuno; ginio ra osoi ayuk mamatoi ra ulun, io galama' niayuk potoyon ru ulun.
GEN.9.8	Indagu i Aki Kapuuno' ri Nuu am anak-anak ungkuyon nano, 
GEN.9.9	“Raino mambaal Aku ra nabantuan ramuyun am papag mino, 
GEN.9.10	am ngaangai' ondo' maayag, iono susuit am ngaangai' bibiag ru lantur am ngaangai' ondo' miningkual intor ra kapal no mababaya' ramuyun. 
GEN.9.11	Intor ra ragu Kuti mambaal Aku ra bantu' rirun: Bantuon Ku ra ngaangai' ondo' maayag, kalo boo luuson Ku ra rosob. Rosob kalo boo mamuso ra tana' ti. 
GEN.9.12	Gitio tatandu' ru bantu' mantilayun ondo' baalon Kuno ramuyun am ra ngaangai' ondo' maayag. 
GEN.9.13	Pasilaan Ku bulintung no ra gaun. Io masauk ra tatandu' ru bantu' Kuno ra tana' ti. 
GEN.9.14+GEN.9.15	Paat ra matauban limbowon ru gaun am makito bulintung no, ginio mapakara' Raki' ra bantu' Kuno ramuyun am ngaangai' ondo' maayag ra kalo boo luuson Ku ra rosob ngaangai' ondo' maayag. 
GEN.9.16	Paat makito bulintung no ra gaun no, makito Ku am mangkara' Aku ra nabantuan mantilayun Kuli am ngaangai' ondo' maayag ra tana' ti. 
GEN.9.17	Ginio noyo tatandu' ru nabantuan Kuno ondo' binaal Kuno ra ngaangai' ondo' maayag ra tana' ti.”
GEN.9.18	Anak-anak ungkuyon ri Nuu ondo' miningkual intor ra kapal, iono i Siim, Gam am i Japit. (I Gam ama' ri Kanaan). 
GEN.9.19	Katatalu anak ri Nuu ti noyo kinamatuaan ru ngaangai' ulun ru tana' ti.
GEN.9.20	I Nuu sangulun magitanom, io noyo ulun kasaa' nantanom ra anggur. 
GEN.9.21	Pakainum i Nuu ra wain, kagauk io. Aluso' no ngaangai' bayang nali am pombolong am nagibabaang io ralalom ru kim nano. 
GEN.9.22	Paat i Gam, ama' ri Kanaan nakakito ra ama' nano nagibabaang, ingkual io am pambala' ra karuo pagaka' nano ra baal raginio. 
GEN.9.23	Kopongo ragili, i Gam am i Japit nangalap ra sukub am pasulompoyo' ra limbawo nilo. Ilo pana timinimbakulung ra minumpos ra kim i am pakusibo' nilo sukub no ra ama' nilono. Pinalikur nilo bulos am kalo makakito ilo ra ama' nilono nagibabaang. 
GEN.9.24	Katabinaasi' i Nuu intor ra gauk nali am kapandayi' no atan binaal ru anak pupusan nano, 
GEN.9.25	indagu io,
GEN.9.25	“Kausung noyo i Kanaan!
GEN.9.25	Masauk io ra uliponon ru pabukat-pabukat nano.
GEN.9.26	Koompor noyo 
GEN.9.26	Masauk i Kanaan ra uliponon ri Siim!
GEN.9.27	Gama' ru ruangin ri Aki Kapuuno' barakat Nano ri Japit
GEN.9.27	Gama' ru papag nano masimpung mayan ra papag ri Siim.
GEN.9.27	Masauk i Kanaan ra uliponon ri Japit.”
GEN.9.28	Kopongo rosob raginio, naayag poyo i Nuu buoi 350 ngambilor. 
GEN.9.29	Io minatoi ra umur nano 950 ngambilor.
GEN.10.1	Gitio noyo papag ru anak-anak ungkuyon ri Nuu, iono i Siim, Gam am i Japit. Kopongo rosob no, katatalu nilo makaanak ungkuyon.
GEN.10.2	Gitio noyo anak ri Japit, iono i Gomir, Magog, Madai, Jawan, Tubal, Misik am i Tiras. 
GEN.10.3	Papag ri Gomir, iono ulun Askinas, Ripat am Togarma. 
