MAT.1_1.1	לפניכם ספר קורות חייו של ישוע המשיח, אשר מוצאו מיוחס לדוד המלך ולאברהם אבינו:
MAT.1_1.21	מרים תלד בן, ועליך לקרוא לו ’ישוע‘ (כלומר, מושיע), כי הוא יושיע את בני־עמו מחטאיהם.“ 
MAT.1_1.22	לידתו של ישוע קיימה את מה שאמר אלוהים בעמצאות נביאיו:
MAT.1_1.23	”הנה העלמה הרה ויולדת בן, וקראת שמו עמנו אל.“
MAT.1_1.24	כשיוסף התעורר, הוא עשה מה שציווה עליו המלאך והתחתן עם מרים. 
MAT.1_1.25	אולם מרים נשארה בתולה עד שנולד בנה, ויוסף קרא לו ”ישוע“.
MAT.2_1.1	ישוע נולד בעיר בית־לחם שבאזור יהודה, בימי המלך הורדוס. זמן קצר לאחר לידתו, הופיעו בירושלים מספר חוזי־כוכבים שבאו מארץ רחוקה במזרח, ושאלו: 
MAT.2_1.2	”היכן התינוק שנועד להיות מלך היהודים? ראינו את כוכבו במזרח ובאנו להשתחוות לו.“
MAT.2_1.3	הורדוס נבהל מאוד משאלתם, וכמוהו נבהלו כל אנשי ירושלים. 
MAT.2_1.4	הוא כינס את מנהיגי היהודים ושאל אותם: ”האם אמרו לנו הנביאים היכן ייוולד המשיח?“
MAT.2_1.5	ענו לו: ”כן, בבית לחם. הרי מיכה הנביא אמר:
MAT.2_1.6	’ואתה, בית־לחם בארץ יהודה, אינך צעיר באלפי יהודה, כי ממך יצא מושל אשר ירעה את־עמי ישראל‘. “
MAT.2_1.7	הורדוס הזמין את חוזי־הכוכבים לפגישה סודית, ושאל אותם מתי בדיוק ראו לראשונה את הכוכב. 
MAT.2_1.8	לאחר מכן אמר להם: ”לכו לבית־לחם וחפשו את הילד. כשתמצאו אותו, שובו אלי והודיעו לי זאת, כדי שאוכל גם אני ללכת להשתחוות לו.“
MAT.2_1.9	לאחר הפגישה עם המלך יצאו חוזי־הכוכבים לדרך, ולפתע הכוכב שראו במזרח הופיע לנגד עיניהם. הם הלכו בעקבות הכוכב עד שנעמד בדיוק מעל המקום שבו היה התינוק. 
MAT.2_1.10	הם שמחו מאוד.
MAT.2_1.11	כשנכנסו חוזי־הכוכבים אל הבית שבו היה התינוק ומרים אמו, נפלו לפניו, השתחוו לו, ולאחר מכן פתחו את חבילותיהם ונתנו לו מתנות: זהב, לבונה ומור.
MAT.2_1.12	בינתיים הזהיר אותם אלוהים בחלום שלא לחזור אל הורדוס, ומשום כך שבו חוזי־הכוכבים לארצם בדרך אחרת.
MAT.2_1.13	לאחר שעזבו, נגלה מלאך ה׳ ליוסף בחלום ואמר: ”קום, ברח למצרים עם התינוק ועם אמו, והישאר שם עד שאומר לך לחזור, כי הורדוס רוצה להרוג את הילד.“ 
MAT.2_1.14	באותו לילה יצא יוסף עם מרים ועם הילד למצרים, 
MAT.2_1.15	ונשאר אתם שם עד מותו של הורדוס. כך התקיימה הנבואה:
MAT.2_1.16	כשהורדוס הבין שחוזי־הכוכבים התחמקו ממנו, הוא מאוד כעס. הוא שלח חיילים לבית־לחם וציווה עליהם להרוג כל ילד זכר עד גיל שנתיים (כי החוזים סיפרו לו שראו את הכוכב כשנתיים קודם לכן), בבית לחם עצמה ובכל כפרי הסביבה. 
MAT.2_1.17	מעשה אכזרי זה של הורדוס קיים את הנבואה של ירמיהו:
MAT.2_1.18	”קול ברמה נשמע, נהי בכי תמרורים,
MAT.2_1.18	רחל מבכה על בניה,
MAT.2_1.18	מאנה להינחם על בניה כי איננו.“
MAT.2_1.19	לאחר מותו של הורדוס נגלה מלאך ה׳ בחלום ליוסף במצרים, ואמר לו: 
MAT.2_1.20	”קום, קח את התינוק ואת אמו לישראל, כי אלה שרצו להרוג את הילד כבר מתו.“ 
MAT.2_1.21	יוסף לקח את ישוע ואת מרים ויצא אתם בדרך לישראל.
MAT.2_1.22	בהיותם בדרך שמעו שהמלך החדש אינו אלא ארכילאוס, בנו של הורדוס, ופחדו מאוד. בחלום נוסף יוסף הוזהר שלא להתיישב ביהודה, אז הם המשיכו לגליל 
MAT.2_1.23	והשתקעו בנצרת. זה קרה כדי לקיים את דברי הנביאים שכינו אותו ”נצר“.
MAT.3_1.1	בימים ההם, כשישוע והוריו גרו בנצרת, החל יוחנן המטביל להטיף במדבר יהודה. 
MAT.3_1.2	”חיזרו בתשובה!“ קרא יוחנן. ”שובו אל ה׳ כי מלכות השמים קרובה!“ 
MAT.3_1.3	ישעיהו הנביא ניבא על פעילותו של יוחנן כשאמר:
MAT.3_1.4	בגדיו היו עשויים שער גמלים והייתה לו חגורת עור; הוא נהג לאכול ארבה ודבש־בר. 
MAT.3_1.5	אנשים מירושלים, עמק־הירדן וכל אזור יהודה יצאו למדבר כדי לשמוע את דבריו, 
MAT.3_1.6	ולאחר שהתוודו על חטאיהם, יוחנן הטביל אותם בנהר הירדן.
MAT.3_1.7	אולם כשראה יוחנן שפרושים וצדוקים רבים באים להיטבל, הוא דחה אותם. ”בני נחשים אתם!“ אמר להם יוחנן. ”מי אמר לכם שתוכלו להימלט מהעונש שה׳ עתיד להביא עליכם? 
MAT.3_1.8	לפני שתיטבלו אתם חייבים להוכיח במעשים שבאמת התחרטתם על חטאיכם. 
MAT.3_1.9	אל תחשבו בלבכם: ’אלוהים לא יעניש אותנו כי אנחנו יהודים, בני אברהם‘. הרי אלוהים יכול לעשות מהאבנים האלה בנים לאברהם!
MAT.3_1.10	”כבר עכשיו מוכן גרזן המשפט של אלוהים לכרות כל עץ חסר תועלת שאינו נושא פרי. עצים חסרי תועלת ייכרתו ויישרפו!
MAT.3_1.11	”אני כרגע מטביל במים את אלה שבאמת מתחרטים על מעשיהם הרעים, אולם בקרוב יבוא אדם גדול ונעלה ממני שאני לא ראוי אפילו לשאת את נעליו, והוא יטביל אתכם ברוח הקודש ובאש. 
MAT.3_1.12	הוא יפריד בין המוץ לבין גרגירי החיטה – את המוץ ישרוף באש נצחית, ואילו את החיטה ישמור באסם.“
MAT.3_1.13	באותו זמן בא ישוע מן הגליל אל נהר הירדן, כדי להיטבל על־ידי יוחנן.
MAT.3_1.14	יוחנן ניסה לשכנע אותו ואמר: ”אתה צריך להטביל אותי, ולא אני אותך!“
MAT.3_1.15	אולם ישוע עמד על דעתו ואמר: ”הטבל אותי, בבקשה. עלי לעשות את כל הדרוש.“ ויוחנן הטביל אותו.
MAT.3_1.16	מיד לאחר הטבילה, כשישוע יצא מהמים, השמים נפתחו מעליו והוא ראה את רוח אלוהים יורדת עליו בדמות יונה. 
MAT.3_1.17	קול קרא מהשמים: ”זהו בני אהובי, ובו אני חפץ.“
MAT.4_1.1	לאחר מכן, הרוח הובילה את ישוע אל המדבר כדי שהשטן ינסה אותו שם. 
MAT.4_1.2	במשך ארבעים יום וארבעים לילה ישוע לא אכל מאומה, ולבסוף היה רעב מאוד.
MAT.4_1.3	”אם אתה באמת בן־אלוהים,“ אמר לו השטן, ”צווה על האבנים האלה להפוך לכיכרות לחם!“
MAT.4_1.4	ישוע ענה לו: ”לא אצווה זאת, שהרי כתוב בתורה:
MAT.4_1.5	לאחר מכן הביא השטן את ישוע לירושלים, העלה אותו על גג בית־המקדש ואמר: 
MAT.4_1.6	”קפוץ למטה! הרי כתוב בתנ״ך:
MAT.4_1.7	השיב לו ישוע: ”אבל כתוב גם:
MAT.4_1.8	לאחר מכן השטן העלה את ישוע על הר מאוד גבוה, הראה לו את כל המדינות המפוארות בעולם ואמר: 
MAT.4_1.9	”אם רק תכרע ברך ותשתחווה לי, אתן לך את כל אלה!“
MAT.4_1.10	ישוע השיב: ”סור ממני, שטן! הרי כתוב: ’לה׳ אלוהיך תשתחווה ואותו לבדו תעבוד‘. “
MAT.4_1.11	השטן הרפה ממנו, ומלאכים באו לשרת את ישוע.
MAT.4_1.12	כאשר שמע ישוע על זה שיוחנן המטביל נאסר, הוא עזב את ארץ יהודה וחזר לביתו – לנצרת שבגליל. 
MAT.4_1.13	אחר כך ישוע עבר לגור בכפר־נחום שעל שפת הכינרת, באזור שבטי זבולון ונפתלי. 
MAT.4_1.14	כך התקיימה נבואת ישעיהו:
MAT.4_1.15	”ארצה זבולון וארצה נפתלי,
MAT.4_1.15	דרך הים, עבר הירדן, גליל הגויים –
MAT.4_1.16	העם ההלכים בחשך ראו אור גדול,
MAT.4_1.16	ישבי בארץ צלמוות – אור נָגַהּ עליהם!“
MAT.4_1.17	מאותו יום והלאה ישוע התחיל להטיף: ”שובו בתשובה והאמינו בה׳, כי מלכות השמיים קרובה!“
MAT.4_1.18	יום אחד כשישוע הלך על חוף הכינרת, הוא ראה שני אחים: שמעון (הנקרא גם פטרוס) ו‎אַנְדְּרֵי. השניים ישבו בסירה ודגו בעזרת רשת, כי היו דייגים במקצועם.
MAT.4_1.19	”בואו אחרי!“ קרא להם ישוע. ”אני אעשה אתכם לדייגי אדם!“ 
MAT.4_1.20	שני האחים עזבו מיד את הרשתות שלהם והלכו אחריו.
MAT.4_1.21	לא הרחק משם ראה ישוע עוד שני אחים, יעקב ויוחנן, יושבים בסירה עם אביהם זבדי, ומתקנים את רשתותיהם הקרועות. ישוע קרא גם להם, 
MAT.4_1.22	והשניים הפסיקו מיד את עבודתם, עזבו את אביהם והלכו אחריו.
MAT.4_1.23	ישוע הסתובב בכל הגליל ולימד בבתי־הכנסת; בכל מקום בישר את החדשות הטובות על מלכות השמיים וריפא כל מיני מחלות. 
MAT.4_1.24	השמועות על הניסים שחולל פשטו מעבר לגבולות הגליל, וחולים באו אליו להירפא אפילו מסוריה. הובאו אליו אנשים אחוזי־שדים, מטורפים ומשותקים, וישוע ריפא את כולם. 
MAT.4_1.25	לכל מקום שהלך, הלכו אחריו המונים: מהגליל, מחו״ל, מירושלים, מיהודה ואף מעבר הירדן.
MAT.5_1.1+MAT.5_1.2	יום אחד, כשהתאסף סביבו קהל גדול, עלה ישוע עם תלמידיו על מדרון הגבעה, התיישב שם והחל ללמד:
MAT.5_1.3	”אשרי האנשים המודים בעניותם הרוחנית, כי להם שייכת מלכות השמים.
MAT.5_1.4	אשרי הבוכים והמתאבלים, כי הם ינוחמו.
MAT.5_1.5	אשרי הצנועים והענווים, כי העולם כולו שייך להם.
MAT.5_1.6	אשרי השואפים בכל לבם לעשות את הטוב והישר, כי אלוהים ימלא את שאיפתם.
MAT.5_1.7	אשרי האדיבים והרחמנים, כי אלוהים יגלה כלפיהם רחמים.
MAT.5_1.8	אשרי האנשים שלבם טהור, כי הם יראו את אלוהים.
MAT.5_1.9	אשרי האנשים הרודפים שלום, כי הם ייקראו ’בני־אלוהים‘.
MAT.5_1.10	אשרי הסובלים והנרדפים בגלל עשותם את רצון ה׳, כי להם שייכת מלכות השמיים.
MAT.5_1.11	”אם יקללו אתכם, יעלילו עליכם שקרים וירדפו אתכם בגלל אמונתכם בי, 
MAT.5_1.12	שמחו מאוד! כן, שמחו מאוד, כי שכר רב לכם בשמים, וזכרו שכך רדפו גם את הנביאים!
MAT.5_1.13	”אתם מלח הארץ. מה יקרה לעולם אם תאבדו את המליחות שלכם? מלח תפל הוא חסר תועלת, ואינו ראוי אלא שיזרקו וירמסו אותו.
MAT.5_1.14	”אתם אור העולם – בדומה לעיר הבנויה על הר, אשר כל אחד יכול לראות את אורותיה בלילה. 
MAT.5_1.15+MAT.5_1.16	אל תסתירו את אורכם! הניחו לו להאיר לכולם! תנו לכל אדם לראות את התנהגותכם הטובה, ואז יודו כולם לאביכם שבשמים.
MAT.5_1.17	”אל תחשבו שבאתי לבטל את תורת משה או את אזהרותיהם של הנביאים; באתי לקיים ולמלא אותן! 
MAT.5_1.18	אני אומר לכם בכל הכנות והרצינות: מצוות התורה תישארנה בתוקף עד שיתקיים הכול. 
MAT.5_1.19	מי שיעבור על המצווה הקטנה ביותר או שיעודד אחרים לעשות זאת, הוא יהיה קטן במלכות השמים. ואילו מי שילמד את תורת ה׳ ואף יקיים את מצוותיה, יהיה גדול במלכות השמים.
MAT.5_1.20	”אולם אני מזהיר אתכם: אם לא תהיו טובים יותר מהפרושים והסופרים, לא תוכלו להיכנס למלכות השמיים.
MAT.5_1.21	”תורת משה אומרת: ’לא תרצח‘, והרוצח יחויב לדין. 
MAT.5_1.22	אולם אני אומר לכם שאם אדם אף כועס על אחיו, עליו לעמוד לדין. גם מי שיקרא לחברו ’אידיוט!‘ עליו לעמוד לדין, ואם יקלל את חברו הריהו בסכנת גיהינום! 
MAT.5_1.23	לכן אם אתה עומד לפני המזבח בבית־המקדש ומביא קורבן לה׳, ולפתע אתה נזכר שלאחד מחבריך יש דבר מה נגדך, 
MAT.5_1.24	השאר את קורבנך לפני המזבח, מהר אל חברך ובקש את סליחתו. לאחר מכן חזור לבית־המקדש והקרב את הקרבן לה׳. 
MAT.5_1.25	התפייס מהר עם אויבך, אחרת יהיה מאוחר מדי והוא יסגירך לידי החוק, ואז ישליכו אותך לכלא – 
MAT.5_1.26	שם תישאר עד שתשלם את האגורה האחרונה!
MAT.5_1.27	”תורת משה אומרת: ’לא תנאף‘. 
MAT.5_1.28	אולם אני אומר לכם: כל מי שמסתכל על אישה בתאווה, כאילו נאף אותה בלבו. 
MAT.5_1.29	משום כך, אם עינך גורמת לך לחשוק ולחמוד, עקור והשלך אותה. מוטב שתאבד חלק מגופך, מאשר שיושלך כל גופך לגיהינום. 
MAT.5_1.30	ואם ידך – ולו גם הימנית – גורמת לך לחטוא, קצץ והשלך אותה! מוטב כך, מאשר למצוא את עצמך בגיהינום.
MAT.5_1.31	”תורת משה אומרת שאם איש רוצה לגרש את אשתו, עליו לתת לה ספר כריתות, וזה הכל. 
MAT.5_1.32	אולם אני אומר שאיש המגרש את אשתו מלבד במקרה שבגדה בו, גורם לכך שתנאף אם תינשא בשנית. גם מי שיתחתן איתה לאישה נחשב לנואף!
MAT.5_1.33	”התורה אומרת שאם נשבעת, עליך לקיים את שבועתך. 
MAT.5_1.34	ואילו אני אומר: אל תישבע כלל! אל תאמר: ’אני נשבע בשמים‘, כי כסא ה׳ נמצא בשמים. 
MAT.5_1.35	אם אתה נשבע ’בארץ‘, אתה נשבע למעשה בהדום רגליו של אלוהים. כמו כן אל תישבע ’בירושלים‘, כי היא ’קרית מלך רב‘.
MAT.5_1.36	גם אל תישבע על ראשך, כי אפילו שערה אחת אין ביכולתך לשנות ללבן או שחור. 
MAT.5_1.37	אמור פשוט: ’כן‘, או ’לא‘. יותר מזה מן הרע הוא.
MAT.5_1.38	”התורה אומרת ’עין תחת עין, שן תחת שן‘.
MAT.5_1.39	ואילו אני אומר לכם: אל תתקוממו נגד מי שעושה רע נגדכם. אם מישהו סוטר לך על הלחי, הושט לו גם את הלחי השנייה. 
MAT.5_1.40	אם דורשים ממך בבית המשפט לתת את חולצתך, תן להם גם את מעילך. 
MAT.5_1.41	אם חייל כופה עליך לשאת את תרמילו קילומטר אחד, שא אותו שני קילומטרים. 
MAT.5_1.42	תן למי שמבקש ממך, ואל תדחה את מי שרוצה ללוות ממך כסף.
MAT.5_1.43	”שמעתם שנאמר: ’ואהבת לרעך, ושנאת את אויבך‘. 
MAT.5_1.44	אולם אני אומר: אהבו את אויביכם והתפללו בעד אלה שרודפים אתכם, 
MAT.5_1.45	כי כך תהיו בנים לאביכם שבשמים. שהרי אלוהים נותן את אור השמש גם לטובים וגם לרעים, ואף את הגשם הוא מוריד על צדיקים ועל רשעים כאחד. 
MAT.5_1.46	אם אתם אוהבים רק את אלה שאוהבים אתכם, מה מיוחד בכך? גם הפושעים נוהגים כך! 
MAT.5_1.47	ואם אתם חברים רק לחבריכם, במה שונים אתם מכל האחרים? הלא גם עובדי אלילים נוהגים כך! 
MAT.5_1.48	שאפו להיות שלמים כשם שאביכם שבשמים שלם.“
MAT.6_1.1	”היזהרו שלא תעשו את מעשיכם הטובים לפני כולם, כדי שכולם יראו ויכבדו אתכם, כי ככה אין לכם שכר מאביכם שבשמים. 
MAT.6_1.2	אם אתה נותן נדבה, אל תספר על כך לכולם, כפי שעושים הצבועים. הם אף תוקעים בשופר בבית־הכנסת לכבוד זה, כדי שכולם יעריצו את צדקנותם. אני אומר לכם: הם יקבלו את מה שמגיע להם. 
MAT.6_1.3	אם אתה נותן נדבה, עשה זאת בסתר – אל תספר לידך השמאלית מה שעושה ידך הימנית. 
MAT.6_1.4	ואז אביכם שבשמים, הרואה במסתרים, יגמול לכם.
MAT.6_1.5	”כשאתם מתפללים, אל תנהגו כמו הצבועים, המתפללים בפינות רחוב ובבית־הכנסת כדי שכולם יראו אותם. אני אומר לכם: להם המגיע להם. 
MAT.6_1.6	כשאתם מתפללים, היכנסו לחדר לבד, נעלו את הדלת והתפללו בסתר אל אביכם. ואז אביכם שבשמים, הרואה את הנעשה במסתרים, ייתן לכם שכר בגלוי.
MAT.6_1.7+MAT.6_1.8	”אל תחזרו שוב ושוב על אותה תפילה, כפי שנוהגים עובדי האלילים. הם חושבים שיקבלו תשובה רק אם יחזרו על תפילתם פעמים רבות. זכרו: אביכם יודע מה שאתם צריכים לפני שאתם מבקשים זאת ממנו! 
MAT.6_1.9	לכן התפללו כך:
MAT.6_1.9	’אבינו שבשמים, יתקדש שמך.
MAT.6_1.10	תבוא מלכותך,
MAT.6_1.10	שרצונך ייעשה בארץ כמו בשמים.
MAT.6_1.11	ספק לנו מדי יום את המזון הדרוש לנו.
MAT.6_1.12	אנא סלח לנו על חטאינו, כשם שאנו סולחים לאלה שחטאו נגדנו.
MAT.6_1.13	עזור לנו לעמוד נגד פיתויים וניסיונות,
MAT.6_1.13	והצל אותנו מכל רע
MAT.6_1.13	(כי שלך המלכות, הכוח והתפארת לעולמי עולמים. אמן‘).
MAT.6_1.14	”אביכם שבשמים יסלח לכם אם תסלחו גם אתם לאלה שחוטאים נגדכם. 
MAT.6_1.15	אם לא תהיו מוכנים לסלוח להם, לא יסלח ה׳ גם לכם על חטאיכם.
MAT.6_1.16	”כאשר אתם צמים, אל תפגינו זאת לפני כולם, כפי שעושים הצבועים. הם מנסים להראות עצובים ושהם בצום. הם יקבלו את מה שמגיע להם. 
MAT.6_1.17	אך אתם, כאשר אתם צמים, סדרו וטפחו את מראכם, 
MAT.6_1.18	כדי שאיש לא יחשוב שאתם רעבים – מלבד אביכם שבשמים הרואה במסתרים, והוא ייתן לכם את השכר המגיע לכם.
MAT.6_1.19	”אל תצברו לכם רכוש בארץ, במקום שהוא עלול להחליד, להירקב או להיגנב. 
MAT.6_1.20	צברו את רכושכם בשמים, כי שם הוא בטוח מפני גנבה ולא יאבד את ערכו לעולם. 
MAT.6_1.21	במקום שבו נמצא אוצרכם שם נמצא גם לבכם ומחשבותיכם.
MAT.6_1.22	”עין האדם היא אור גופו. אם עינך טהורה, תמיד יזרח אור השמש בתוך נפשך. 
MAT.6_1.23	אבל אם עינכם רעה, אזי תחשך כולך. מה רבה חשכה כזאת! 
MAT.6_1.24	אינך יכול לעבוד שני אדונים; אתה תשנא את האחד ותאהב את האחר, או להיפך – תהיה נאמן לאחד ותזלזל באחר. אינך יכול לעבוד את האלוהים ואת הכסף!
MAT.6_1.25	”משום כך אני אומר לכם שלא תדאגו לדברים חומרניים ויום־יומיים כמו מה לאכול ולשתות ומה ללבוש. הלא החיים חשובים מאוכל, והנפש חשובה מהלבוש. 
MAT.6_1.26	תחשבו על הציפורים למשל: אין הן דואגות למה שתאכלנה – הציפורים אינן זורעות, אינן קוצרות ואינן אוגרות מזון – כי אביכם שבשמים מאכיל אותן ודואג להן. והלא יקרים אתם לאלוהים הרבה יותר מהציפורים. 
MAT.6_1.27	חוץ מזה, מה תועיל דאגתכם? האם היא יכולה להוסיף עוד יום לחייכם, או עוד סנטימטר לקומתכם?
MAT.6_1.28	”ומדוע אתם דואגים ללבוש? הביטו בפרחי הבר! אין הם דואגים למה שילבשו! 
MAT.6_1.29	ואילו שלמה המלך בכל תפארתו לא היה לבוש יותר יפה מהם! 
MAT.6_1.30	ואם אלוהים מלביש את פרי השדה הצומחים היום ונובלים מחר, האם אינכם חושבים שילביש גם אתכם, חסרי אמונה שכמותכם?
MAT.6_1.31	”לכן אל תדאגו לאוכל או ללבוש. 
MAT.6_1.32	בני־אדם שאינם מאמינים באלוהים דואגים יום־יום למה שיאכלו וישתו, אולם אביכם שבשמים יודע בדיוק מה אתם צריכים. 
MAT.6_1.33	בקשו לפני הכול את מלכותו של אלוהים וחיו ביושר, והוא ייתן לכם את כל מה שאתם צריכים.
MAT.6_1.34	”אם כן אל תדאגו למחר; אלוהים ידאג למחר שלכם, ודיה לצרה בשעתה.“
MAT.7_1.1	”אל תשפטו אחרים, ולא ישפטו אתכם. 
MAT.7_1.2	כי יתייחסו אליכם לפי איך שאתם מתייחסים לאחרים. ישפטו אתכם במידה שאתם שופטים אחרים. 
MAT.7_1.3	כיצד יכול אתה לראות שביב־עץ קטן בעין חברך, ולא להבחין בקרש הגדול שבעינך?
MAT.7_1.4	”איך אתה יכול לומר לחברך: ’תן לי לסלק את השביב מעינך‘ בזמן שבעינך יש קרש כזה גדול? הרי כלל לא תוכל לראות את השביב! 
MAT.7_1.5	צבוע שכמותך! סלק תחילה את הקרש מעינך, ורק לאחר מכן תוכל לסלק את שביב העץ מעין חברך!
MAT.7_1.6	”אל תתנו דברים קדושים לאנשים מושחתים, אל תתנו פנינים לחזירים. הם ירמסו את הפנינים, ולאחר מכן יפנו לתקוף אתכם.
MAT.7_1.7	”אם תבקשו – תקבלו; אם תחפשו – תמצאו; ואם תדפקו תיפתח לפניכם הדלת. 
MAT.7_1.8	כי כל המבקש מקבל, כל המחפש מוצא, ולפני כל דופק נפתחת הדלת. 
MAT.7_1.9	אם ילד מבקש מאביו פרוסת לחם, האם האב ייתן לו אבן במקום לחם? 
MAT.7_1.10	אם הילד מבקש דג, האם אתם חושבים שיקבל נחש? 
MAT.7_1.11	ואם אנשים רעים וחוטאים כמוכם נותנים לילדיכם מתנות טובות, האם לא ייתן אביכם שבשמים מתנות הרבה יותר טובות למבקשים ממנו?
MAT.7_1.12	”עשו לאחרים את מה שהייתם רוצים שיעשו לכם – זאת תמצית התורה ודברי הנביאים.
MAT.7_1.13	”הלכו דרך הפתח הצר, כי השביל המוביל לאבדון הוא רחב, ושער הכניסה רחב גם הוא. 
MAT.7_1.14	אולם שער החיים הוא קטן, השביל צר, ורק מעטים מוצאים אותו.
MAT.7_1.15	”היזהרו לכם מהמורים המפיצים תורות שקר. הם מתחפשים לכבשים תמימים, בעוד שלמעשה הם זאבים רעים הרוצים לטרוף אתכם. 
MAT.7_1.16	תוכלו לזהות אותם על־פי התנהגותם, כשם שאפשר לזהות עץ על־פי פירותיו. הלא יודעים אתם להבחין בין גפן ענבים לבין ברקנים, בין תאנים לבין קוצים! 
MAT.7_1.17	עץ משובח נותן פרי משובח, ועץ רקוב נותן פרי רקוב. 
MAT.7_1.18	עץ טוב לא ייתן פרי רקוב, ועץ רקוב לא ייתן פרי טוב. 
MAT.7_1.19	משום כך יש לכרות ולשרוף כל עץ שאינו נותן פרי טוב. 
MAT.7_1.20	אכן, גם עצים וגם בני־אדם אפשר לזהות על־פי פירותיהם.
MAT.7_1.21	”לא כל מי שמדבר כאיש דתי ואדוק הוא באמת מאמין. הם יכולים לקרוא לי: ’אדוני, אדוני‘, אבל אין זה מספיק כדי להכניסם לשמים. החשוב הוא אם הם שומעים לקול אבי שבשמים. 
MAT.7_1.22	ביום־הדין יאמרו לי אנשים רבים: ’אדון, אדון, הלא בשמך ניבאנו, ובשמך גירשנו שדים וחוללנו נסים רבים‘. 
MAT.7_1.23	אולם אני אענה: ’מעולם לא הכרתי אתכם. הסתלקו מכאן, פושעים שכמותכם!‘
MAT.7_1.24	”כל מי שמקשיב לדברי ומקיים אותם, דומה לאדם חכם הבונה את ביתו על סלע איתן. 
MAT.7_1.25	שכן גם אם ירד גשם שוטף ותתחולל סערה, לא ייפול הבית ולא יתמוטט, כי נבנה על הסלע. 
MAT.7_1.26	לעומתו, מי שמקשיב לדברי ואינו מקיים אותו דומה לאדם טיפש הבונה את ביתו על החול. 
MAT.7_1.27	שהרי בבוא שיטפון וסערה יתמוטט הבית וייהרס כליל.“
MAT.7_1.28	ההמונים נדהמו מאוד כששמעו את הדרשות של ישוע, 
MAT.7_1.29	כי הוא דיבר אליהם בסמכות רבה ולא כמו הסופרים.
MAT.8_1.1	כשירד ישוע מהגבעה הלך אחריו קהל גדול. 
MAT.8_1.2	אדם חולה בצרעת בא לקראתו, נפל על ברכיו והתחנן: ”אדוני, אם רק תרצה, תוכל לרפא אותי.“
MAT.8_1.3	ישוע נגע באיש ואמר: ”ודאי שאני רוצה. הירפא!“ ומיד נעלמה הצרעת.
MAT.8_1.4	”אל תספר על כך לאיש“, אמר לו ישוע. ”לך מיד אל הכהן והראה לו שנרפאת. אל תשכח לקחת איתך קורבן טהרה, כפי שציווה משה על בני־ישראל, כדי שכולם יראו שנרפאת!“
MAT.8_1.5+MAT.8_1.6	כשהגיע ישוע לכפר־נחום, בא אליו קצין רומאי והתחנן לפניו שירפא את משרתו הצעיר, השוכב משותק על מיטתו וסובל כאבים נוראיים.
