MRK.1.1	Weni na Yesu Keriso, Meimeituwa natuna, Varana Beibeina ikarei.
MRK.1.36	Murinai Saimon ma ina rava ivo meira inegwanegwai. 
MRK.1.37	Ma maranai ipananai, ma ivavo, “Rava tupasi yavu itarakasiyanem!”
MRK.1.38	Yesu, ikipotesi ma ivavo bo, “Ta nae ku meyagi gwabigwabitai, ma taku Meimeituwa varana rava ana giunisi. Iyamna na touna kubina apiti.” 
MRK.1.39	Vagheina ma Galili ine bouni Meimeituwa varana ivi debei dam Jiu asi vibeyebeyena numasi sinesi yai ma kanuma berosi ipesari sasara ivi kasibunisi rava gwabisi yai.
MRK.1.40	Mara sago koroto sago gubaga bero tomatomana lepera* iveiya. Ipiti Yesu kurina ma kae tupina iru tonai maghinonai ma ivi weno kuriya ma ivavavo bo, “Tam na kovokovoghina kwa beraku da ana seyaseya, mike da am kayowana.”
MRK.1.41	Vagheina ma Yesu iru nuwayakapowei, imana ivo roroni ma ivotovoni ma ivavavo bo, “Vagheina, aku kayowana. Tam ku seyaseya!” 
MRK.1.42	Ma mara sago kava koroto nininai gubaga ikovi, ma ibeibai meme. 
MRK.1.43	Bade Yesu ikikiraki yei, “Ke nae. 
MRK.1.44	Rava iya kwi seghesi da taku avai aberai. Ke nae maninina prist*kurina ma kwi beye meyem. Ma banuwara ina suwaghi ku yawasa kubina, Mosese ina vigheiyena nuke evavavo da touna rava ini matakiresi da tam ku seyaseya kubina.”
MRK.1.45	Touna Yesu ponana iya iti yanei, ma ikasibau rava ivi segheseghesi avai itupuwa kurina ma varana dobu yavu inununui. Touna berana kubina Yesu iya kovokovoghina debanai ita rurui ku meyagi, bade inene seiseirana touna maniduma ma rava dobu tupana yavu ipitipiti kuriya.
MRK.2.1	Yesu ma ina touvotaghotagho ivovira meme ku Kapaniam. Mara visa murinai rava ivi yanei da Yesu na numai, 
MRK.2.2	ma rava ipesari sasara nake iriyei, da wasa kegha numa sinenai bo matamkwetai. Yesu Meimeituwa varana igiugiunisi. 
MRK.2.3	Korokoroto asi vi ruwamaruwa koroto bakobakona nigharai ikavari ipiti yei Yesu kurina. 
MRK.2.4	Numaduba irakata sasara da iya kovokovoghina korotona ita piti yei Yesu kurina, vagheina ma wawanai itu tete ighai ku vovo ma vovo ivo rikarikai.
MRK.2.5	Yesu asi tumetume ikitai, ma ivavo koroto bakobakona kurina, “Natuku, am bera bero anota kuputei.”
MRK.2.6	Mosese ina vigheiyena touvibeyebeyena* nani dobusi yai imakemake. Tousi mani asi notai ivivi tupavireyana meyesi: 
MRK.2.7	“Meimeituwa kava bera bero ina nota kuputei. Avikubina weni korotona weni nuke isisiya? Touna Meimeituwa igibowei*, evavavo touna Meimeituwa nuke!”
MRK.2.8	Mara sago kava Yesu ina kanuma ikasi beyei da tousimani avai ivivi nuwatetei, ma ikisi bo, “Avikubina nuke koi nuwatete? 
MRK.2.9	Meni itekateka: Mike da ata vavo koroto bakobakona kurina, ‘Am berabero anota kuputei,’ bo mike da ata vavo, ‘Ke vomeiri ma am nighara ke kavari ma keyawara’? 
MRK.2.10	Ani beyemi da kona kitai da taku na Koroto Keimatana*, ma maragata gwabikuwai da berabero ana nota kuputesi.” Bade koroto bakobakona ikiya, 
MRK.2.11	“Akim, ‘Ke vo meiri! Am nighara ke kavari ma am ku numa ke nae!’” 
MRK.2.12	Koroto ivo meiri, ma mara sago kava ina nighara ikavari, ma inae, numaduba matasi yai. Tupasi yavu ivi deiyei, ma Meimeituwa ivo epaepae ma ivavavo bo, “Iya meyana bera sago weni nuke kata kitai!”
MRK.2.13	Yesu Kapaniam ine kuyowei ma ina touvotaghotagho meiteni yawawa* magami nai kava iyawara ine nae. Numaduba ipiti kuriya Meimeituwa varana igiugiunisi. 
MRK.2.14	Ineriya maranai koroto sago kana wava Livai, Alfias natuna, ikitai. Ina makemake yai imakemake ma taks* iragaragau Rom asi gabeman kubina. Yesu ikiya, “Ke wagiseku ma kwi aku vi touvotaghotagho.” Vagheina ma ivo meiri da ine yavuyavu.
MRK.2.15	Touna murinai, Yesu ma ina touvotaghotagho Livai ina numai ikamkam, taks* touragunisi ma bera bero ravasi meiteni, bade tousi Yesu iwagiwagisei nake ma wike.
MRK.2.16	Mosese ina vigheiyena touvibeyabeyena* ruwamtousi, tousi na Parisi*. Yesu ikitai taks* touragunina* ma bera bero ravasi meiteni ikamkam yavuyavu. Touna kubina Parisi* ina touvotaghotagho ikisi, “Avikubina taks* touragunisi* ma bera bero ravasi ruwamtousi meiteni ekamkam?” 
MRK.2.17	Yesu touna ivi yanei, ma ivi sisiya kurisi, “Bunama ravana na iya rava yawayawasisi kubisi ita piti. Kegha, bunama ravana na rava gubagubagisi kubisi ipiti.” Ma ivi sisiya kurisi, “Taku iya ata piti da rava beibeisi ani yawasisi ma apiti da bera bero ravasi kubisi.”
MRK.2.18	Mara sago Jon ina touvotaghotagho ma Parisi* ruwamtousi asi dam ivivi siya. Rava ruwamtousi ipiti Yesu kurina ma ivi sisiya kurina, “Jon ina touvotaghotagho ma Parisi* asi touvotaghotagho isiya. Ma am touvotaghotago avikubina iya ita vivi siya?” 
MRK.2.19	Yesu ivavo kurisi, “Maranai tavine vouvou korotona, ina rava meiteni na kara iya ini siya, tousi nuke bo? Maranai tousi meiteni, tousi iya kovokovoghina ini siya tousi inuwa beibai sausau kubina.
MRK.2.20	Ma maranai mara ina segha, tavine vouvou korotona ina vei tawayei, ma nani maranai ini siya, tousi ini nuwaboya kubina.”
MRK.2.21	Bade ivavo, “Taku bera vouna apiti yei, ma iya iti kovokovoghana ami bera wadubosi meiteni. Rava iya iyai gara vouna ina veiya ma gara wadubona tamo sikana ina popopotai, mike da nuke ina berai na gara vouna ini teiteinana na gara wadubona ina ta sikai, ina berai na ina ta sika nabanabai. 
MRK.2.22	Bade nuke, iya iyai wain vouna ku wainkwapira* katamanina ina terei. Mike da touna ina berai, na nani wainkwapirina ini kwata. Iya kovokovoghina ita ta nabai maranai wain ipuropuroi. Avai ina tupuwa na wain ma wainkwapira* ini bero ruwasi! Kegha, rava wain vouna na ku wainkwapira* vouna ku sinena ina terei!”
MRK.2.23	Mara sago Sabati* yai Yesu ma ina touvotaghotagho vavai ere poposi rovuna* sananai iyawayawara. Maranai iyawara ine nae ma ina touvotaghotagho poposi ivuvuvu ita kam. 
MRK.2.24	Parisi* ruwamtousi ivi sisiya kurina maranai ikitasi nuke iberabera, “Ke kitai! Aki vigheiyena bagibagi Sabati* yai ivi ghaiyei. Avikubina tousi evovo bagibagi?”
MRK.2.25	Ikipotesi ma ivavo bo, “Tami kade meyana ko siyavi bo kegha Devida avai iberai maranai ina yaraga meiteni kam isiraghe ma ivoyadagha?
MRK.2.26	Devida Meimeituwa ina numa iruni maranai Abaiatar nana prist* gheghena ma ivi bagha da parawa kubina. Prist gheghena parawa visana iverei. Nani parawina na parawa tarapaparina. Prist kava nani parawina ina kaniya, bade Devida visana ikaniya. Ma nuke parawa ruwamtousi ina yaraga iveresi. Bade nuke Meimeituwa iya ita notai da touna ita bero!” 
MRK.2.27	Yesu ivi sisiya kurisi iteretupe meyei, “Meimeituwa Sabati* iterei na rava vowagusi kubina! Ma iya rava ita yamonisi da Sabati* kubina! 
MRK.2.28	Vagheina notana weni nuke: Touna kubina ina Koroto Keimatana* nana Bada, bade Sabati* badana!”
MRK.3.1	Mara sago Yesu dam Jiu asi vi beyebeyena ku numana irui meme, ma koroto ima sirasiraghena na imakemake na ikitai. 
MRK.3.2	Parisi* ruwamtousi asi kayowana da iti waroi, ma ikitakita nunura bubuni da ita kitai koroto ima sirasiraghena iti yawasi Sabati* yai.
MRK.3.3	Ma Yesu koroto ima sirasiraghena ikiya, “Ke meira riya rava maghinosi yai kwa meiri.” 
MRK.3.4	Bade nani ravasi ivi taraviresi ivavo bo, “Avai ita vigheiyena ivagheineta da Sabati* yai ta berai: Bera beibina ta berai bo bera berona ta berai? Bo ti yawasa bo ti siraghena?” Bade iya iyai ita ki potei.
MRK.3.5	Ma ere nuwaghisina ikita kwavikwavivirosi. Tousi nuwanuwasi ibagibagi sasara, ma touna kubina Yesu nuwanuwana ibero. Bade ivavo koroto ima sirasiraghena kurina, “Imam keta roroni.” Ma imana ita roroni ma iyawasa.
MRK.3.6	Vagheina ma Parisi* mara sago kava ivomeiri ma inae Herod ina dam* kurisi ma sausau keta inegwai da Yesu iti waroi ma iti siragheni.
MRK.3.7+MRK.3.8	Yesu ma ina touvotaghotagho meiteni ine seirana yawawa* ku magamina, ma numaduba Galili yai iwagisei. Rava ipesari sasara Yesu bera iberaberai na varana ivi yanei, ma vagheina ma rava ipiti kuriya Jiudiai, Jerusalem yai, Idumeai, ma dobu tupana yavu idamana Jodan nevaneva nai ma ighae Taiya ma Saidon ririvisi yai. 
MRK.3.9+MRK.3.10	Rava ipesari sasara ivi yawasisi, ma nuke rava gubagubagisi ivivi vo duduwana da ita votovoni kubina. Vagheina ma rava igugugu sasarei kubina ina touvotaghotagho ikisi da waga sago ita kitai da iti yapakei. 
MRK.3.11	Meni dobunai kanuma berosi ikitakitai na kae kunukununai itawatawayesi ma iruru kwatu kurina, “Tam na Meimeituwa natuna!” 
MRK.3.12	Bade Yesu iki kikiraki yesi da iya ini sisiya da touna iyai.
MRK.3.13	Yesu ighe koya ku tepana ma ina kayowana korokorotosi ighoresi ipiti kuriya, ma ipiti kurina. 
MRK.3.14	Korokoroto asi vi 12 ivinesi da ita ta gwabiya ma ivi wavasi aposol*. Ivavo kurisi, “Aku kayowana da tami kona ta gwabiku, ma muriyai ana kitawayemi kona ka sibau da varaku rava kona ki veresi.” 
MRK.3.15	Ma maragata iveresi da kanuma berosi rava itowatowasi na ini ka sibunisi. 
MRK.3.16	Asi vi 12 ivinesi na kasi wava na weni:
MRK.3.16	Saimon (iyai Yesu ighorei na Pita)
MRK.3.17	Sebedi natunatuna Jems ma teina kiki Jon, Yesu ivi wavasi Boanejas (touna iyamna na ‘warikeyakeya natunatuna,’)
MRK.3.18	Anduru,
MRK.3.18	Pilip,
MRK.3.18	Batolomiu,
MRK.3.18	Matiu,
MRK.3.18	Tomas,
MRK.3.18	Jems, Alfius natuna,
MRK.3.18	Tadius,
MRK.3.18	Saimon na Selot
MRK.3.19	ma Judas Iskariot iyai Yesu ivi benabenamei.
MRK.3.20	Ma bade Yesu ma ina touvotaghotagho ku numa sinena irui, ma bade numaduba iriyei, ma tousi iya kovokovoghina da ita kam. 
MRK.3.21	Maranai ina dam nuke ivi yanei kubina na ivavo, “Isanene bo,” ma ivo meira da ita nae matepona ita vowai ma ita ruteni. 
MRK.3.22	Touvibeyebeyena Mosese ina vigheiyena yai ruwamtousi Jerusalem yai isoru ma ivavo bo, “Touna na kanuma berosi asi bada Bielsibab ibadebadei! Touna ina maragatai Yesu eberaberai da kanuma berosi ikasibunisi.”
MRK.3.23	Ma Yesu ighoresi ma meibai ivi sisiya kurisi, ivavo bo, “Ikimakava Seitan ita berai da Seitan iti kasibuni? 
MRK.3.24	Mike da keivavo touna mani ita meiri tavirei ma touna mani iti ghaviya meyei nana nani keivavona iya kovokovoghina da ita meiri. 
MRK.3.25	Ma nuke bade dam ita meiri tavirei ma iti ghaviya meyei nana nani dam na iya kovokovoghina da ita meiri. 
MRK.3.26	Ma mike da Seitan ina dam tousi mani ita yaraghisi ma iti ghaviya meyesi kara iya kovokovoghina da ita meiri. 
MRK.3.27	Weni na meiba sago Seitan ina bera: Iya iyai kara ina rui koroto maragasina ina ku numa ma ina purapura ina yapi. Kegha da kununa ina patuma kikini ina kenakena ma muriyai da ina numai ina yapi. 
MRK.3.28	Weni na sisiya keimatana akiki bubunimi. Meimeituwa kara kovokovoghina rava avai eberaberai, isisiya wapawapa bo igibowa rava kurisi na ina nota kuputei. 
MRK.3.29	Ma bade rava iyai Kanuma Vokuwayina ini gibowei, Meimeituwa kara iya kovokovoghina ina nota kuputei ma ina bera bero ina make vaghata.” 
MRK.3.30	Yesu weni nuke ivi sisiya kanuma berosi ivivi ka sibunisi na Kanuma Vokuwayina ina maragatai, ma tousi na ivivi sisiya wapawapa ma Kanuma Vokuwayina ivivi gibowei* kubina rava ivavavo bo, “Kanuma berona itowai.”
MRK.3.31	Ma bade Yesu ina maduwa ma teiteina yoghoyogho isegha ma matarai ivivi meiriyana, ma rava sago ikitawa yei da Yesu ita kiya da ita kasibau kurisi. 
MRK.3.32	Numaduba irakata sasara Yesu imake garigariya, ma nani ravasi ikiya, “Am maduwa ma teiteim yoghoyogho matarai ma enegwanegwam.” 
MRK.3.33	Iki potesi ma ivavo, “Aku maduwa ma teiteiku yoghoyogho na iyavo?” 
MRK.3.34	Bade ikita kwa viviro rava kae kunukunu nai imakeni, ma ivavo bo, “Kovi yana! Weni na aku maduwa ma varevaresiku! 
MRK.3.35	Iyavo Meimeituwa ina keta ekivikivini na varesiku, novuku, ma aku maduwa.”
MRK.4.1	Yesu giu ivi kare meyei Galili yawawina ririvinai. Rava damsi inae ina giu ivivi yanei, numaduba irakata sasara kubina da ku waga ivo geru da kamonai imake yawawa* tepanai, ma rava yawawa* kawa ririvinai imeirini. 
MRK.4.2	Yesu meibai ivi sisiya, bera tupana yavu igiugiunisi. 
MRK.4.3	Yesu meibai ikisi. Ivavo bo, “Weni kovi yanei. Koroto sago, ina dowa ina kupurai iuwata yavui, ma pesi ivo suwasuwaghisi.
MRK.4.4	Pesi ruwamtousi na ketaki yai iririgha, da kiu ipiti da ikam yavusi. 
MRK.4.5	Pesi ruwamtousi na dowa kimakimarinai iririgha, ma nani pesisi mara sago kava igogo, 
MRK.4.6	bade ramramsi na itukemakema wota, maranai yabodiri iraranisi, na iberasi da isiraghe. 
MRK.4.7	Pesi ruwamtousi inamona tonatonasi yai iririgha, ma inamona igogo ighae da iruputanisi ma iya iti yam. 
MRK.4.8	Bade pesi ruwamtousi na dowa beibeinai iririgha na iru titi ma igogo bubuna ighai ma tupasi ivi yam bubuna. Ruwamtusi ivi yam na 30 ma ruwamtousi ivi yam na 60, ma ruwamtousi ivi yam na 100 kovokovoghina.” 
MRK.4.9	Ma ikisi, “Mike da tinimi emakemake na avai akikimi na kovi yanei.”
MRK.4.10	Mara sago, Yesu ina touvotaghotagho* asi vi 12 ma rava ruwamtousi kava meiteni ma ivi taravirei meiba kubisi.
MRK.4.11	Yesu ikipotesi ma ivavo, “Tami kava avi vagheinemi da Meimeituwa ina kasibeyemi da vara kena gavugavuna koni seghani Meimeituwa ikarei da rava ina koyaghisi yawasa vounai. Touna rava wapawapa kara iyamna iya ina sakovi, meibai kava ana vivi sisiya. 
MRK.4.12	Nuke ana berai da tousi sisiya katakatamanisi Meimeituwa ina kikiverena* kununa kava igirumi na ina tupuwa,
MRK.4.12	‘Tousi ina kita ma ina kita ma kara iya ina vo modiya,
MRK.4.12	Ini yana ma ini yana ma kara iya ina sakovi,
MRK.4.12	Bo mike da asi bera bero ina ne kuputei na ana nota kuputesi.’”
MRK.4.13	Yesu ivi tarakasi yanesi, “Avai? Iya kota sakovi da meiba iyamna avai. Mike da weni meibina kovi pupuwei na kara iya meiyana meiba sago kona sakovi. 
MRK.4.14	Koroto pesi ivo suwasuwagha na touna iyai Meimeituwa varana rava ekikiveresi. 
MRK.4.15	Rava ruwamtousi na bagibagisi kama ketaki nuke. Vara ivi yanei, ma kegha da Seitan ipiti da nai varana iveitawayei. 
MRK.4.16	Rava ruwamtousi na kama dowa kimakimarina nuke. Ere nuwa beibeisi sisiya ivi yanei. 
MRK.4.17	Mike da ramramsi kegha, na iya ina make guri. Maranai nuwaboya bo berabero ipiti iyamna nani varana kubina, mara sago kava ina basara. 
MRK.4.18	Rava ruwamtousi na kama dowa meni dobunai inamona tonatonasi igogo. Weni ravasi vara ivi yanei, 
MRK.4.19	bade tousi weni yawasina ivi nuwaboyei, mane ma purapura nuwanuwasi iveiya ma nani purapurasi varana iruputanisi, ma iya iti yam. 
MRK.4.20	Ma dowa beibeina na kama rava iyavo vara ivi yanei ma iveiya ma ivi yam bubuna, ruwamtousi 30, ruwamtousi 60 ma ruwamtousi na 100.”
MRK.4.21	Yesu ivi sisiya kurisi, “Rava tapa ipiti yei da siripu gaburinai bo vatara gaburinai ita terei, bera nuke bo? Kegha. Tapa kana makemake tepanai iterei. 
MRK.4.22	Bera tupasi tere gavugavusi na nuke nana kara Meimeituwa ina kasi beyesi. Ma bera kasi gavugavusi nuke na touna ina kasi gigirisi. 
MRK.4.23	Mike da tinimi emakemake na avai akikimi na kovi yanei.”
MRK.4.24	Ma ivi sisiya kurisi, “Kovi yana bubuna avai kovi yanei. Kovi yana kamowa ma kona sakova bubuni ma bade nuke, ipesari sasara kona sakovi. 
MRK.4.25	Touna kubina mike da aku sisiya ko vomodiya na, Meimeituwa ina vere kirakiyemi. Ma iyavo ivivi yanei ma iya ita vomodiya na tupana ini wapai.”
MRK.4.26	Yesu ivavo, “Weni sisiyakutukutuna na Meimeituwa ikarei da ikimakava ina rava ina koyaghisi: Touna kama pesi egogogo, maranai koroto ina kupurai iyasiri. 
MRK.4.27	Didibarai na ekenakena ma marai na esupisupi, ma pesisi na nonowa egogogo, bade koroto iya ita sakovi da ikimakava egogogo. 
MRK.4.28	Touna mani tano eberaberasi na egogogo, kununa na erurutiti, muriyai na egogogo egheghae, bade ini yam sasara. 
MRK.4.29	Maranai da vavai imagura, koroto ivi karei da ina yabai.”
MRK.4.30	Yesu ivavo, “Vagheina ma meibina sago ana kimi ikimakava Meimeituwa ikarei da ina rava ina koyaghisi. 
MRK.4.31	Touna kama mastad* pesina nuke. Touna na pesi gisigisi vaghasina rava eyasiyasiri. 
MRK.4.32	Bade maranai igogo ighae na keyama gubugubusi ighe kuyowesi, ma kovokovoghina rogunai na kiu ina runuma.”
MRK.4.33	Yesu sisiyakutukutu damsi nuke meibai ivi sisiya rava kurisi, da tousi ivi yana da inunusi. 
MRK.4.34	Meibai kava ivivi sisiya kurisi, bade maranai ina touvotaghotagho kava meiteni, na bera tupana yavu iyamna ikiki sakovisi.
MRK.4.35	Nani maranai, kuririsi yai, Yesu ina touvotahgotagho* ivi sisiya kurisi, “Ta damana yawawa* ku nevana.” 
MRK.4.36	Touna namada waga sinenai imakemake, ma tousi muriyai igeru. Numaduba ine kuyowesi ma idamana, waga ruwamtousi meiteni. 
MRK.4.37	Ma yanunu ghamanakina ivomeira, tovava waga iraraviya, ma yokowa waga iruruni da berokikina kava ita wounu. 
MRK.4.38	Yesu na waga murinai ivi kunuwana ma ikenakena. Ina touvotaghotagho ikasi mataki ma ivavo, “Bada, berokikina kava da ta siraghe. Am nota nuke bo?” 
MRK.4.39	Ivomeiri ma yanunu ikiya, “Ke tutuwa!” Ma tovava ikiya, “Kevi yasamim!” Yanunu ikovi ma beimara ikena. 
MRK.4.40	Touna ivi sisiya kurisi, “Avikubina ko yabumana?” Kara kava da kona tumetumeku bo?”
MRK.4.41	Iyabumana sasara, ma ivi ki daguwana, “Weni na koroto iyai? Ina maragata imake, da yanunu ma tovava ikisi da ita voterei, ma ivo teketekei!”
MRK.5.1	Yesu ina touvotaghotagho meiteni ipiti Galili yawawina ku nevanevana dobu Gerasa ravasi imakemake yeina. 
MRK.5.2	Maranai Yesu waga ikasibu kuyowei, mara sago kava koroto sago karawagai* ine kasibau. Weni korotona na kanuma berona ivivi badebadei. 
MRK.5.3+MRK.5.4+MRK.5.5	Iya rava sago kovokovoghina da iti badei — mara ipesari kirakai imana ma kaena kiramai ipatumisi, nuke marana patapatana ipatupatumisi, ma ivivi kasi yaraghanesi, ma iya iyai kovokovoghina da iti votani ma ita patumi. Marai ma didibarai inene wapawapa, irurukiwara ma wakimai ivivi kasi teveyanei, karawagai* ma koyai imeimeira yawara. 
MRK.5.6	Nokoma naki Yesu ikitai ma ivuru da maghinonai itawayei, 
MRK.5.7	ma irukiwara, “Yesu, Meimeituwa gheghena natuna! Am kayowana avai taku gwabiku wai? Meimeituwa wava nai, ai bagham iya kovogha kwa vereku!” 
MRK.5.8	Weni ivavo yei na namada Yesu ivavo kuriya, “Kanuma berona, weni korotona ke kasibu kuyowei!”
MRK.5.9	Yesu ivi taravirei, “Kam wava iyai?” Ikipote ma ivavo, “Taki na ka pesari sasara kubina taku kaku wava na Dam.”
MRK.5.10	Ma Yesu ivi bagha tupetupei da iya ina ki tawayesi weni dobuna ina kasibu kuyowei.
MRK.5.11	Iya uwamai, koya ririvinai poro damsi ikarakarayaba.
MRK.5.12	Kanuma berosi Yesu ivi baghai, “Keki tawayeki poro kurisi, da ku sinesi kana rui.” 
MRK.5.13	Ivi vagheinesi, ma kanuma berosi koroto ikasibu kuyowei ma poro ku sinesi irui. Poro asi pesara 2,000 nuke — ivi vuruvuruwana dagi iyoyowi da ku yawawa* ma iumabuta.
MRK.5.14	Poro toughamosi ivi vuruwana inae ku meyagi ghamanakina ma meyagi yoghoyogho da rava ivi segheseghesi. Rava inae ita kita da avai itupuwa. 
MRK.5.15	Maranai ipiti Yesu kurina, ma koroto ikitai iyai kununa kanuma berosi itowai, na imakemake, gara ikotesi, ina nota beibeinai, ma tupasi yavu na iyabumana. 
MRK.5.16	Rava iyavo nani berana ikitai rava ruwamtousi ivi seghesi avai itupuwa koroto kanuma berosi itowai ma poro kurisi. 
MRK.5.17	Touna kubina Yesu ikiya da nani dobuna ina kasibu kuyowei.
MRK.5.18	Maranai Yesu ku waga igerugeru, koroto kununa kanuma berosi itowai na Yesu ivi baghai da ita neyavuyavu. 
MRK.5.19	Ma Yesu iya iti vagheinei, bade ikiya, “Ke vovira am ku numa, ma bera tupana yavu Bada iberai kubim ma ina aga beibai kurim na kevi seghesi.
MRK.5.20	Vagheina ma koroto ivomeira Dekapolis* yai ine rui ma ine kasibau ivi segha da Yesu avai kurina iberai. Ma iyavo ivi yanei na ivi deiyei.
MRK.5.21	Yesu ivovira meme, wagai yawawa* idamani. Touna kara kava yawawa* ririvinai ma numaduba iriyei kurina. 
