GEN.1.1	I acakki piny Lubaŋa oketo polo ki lobo. 
GEN.3.19	dok bene ibidok i apwa.”
GEN.3.20	Dano ocako nyiŋ dakone ni Kawa, pien en aye megi jo ducu makwo. 
GEN.3.21	Rwot Lubaŋa oyubo laa aruka, ka omiyo Adam ki dakone guruko.
GEN.3.23	Mumiyo Rwot Lubaŋa ocwale woko ki i poto Eden, wek odok opur gire ŋom ma yam gikwanye ki iye-ni. 
GEN.3.24	Oryemo dano woko, ci oketo lukerubi yo tuŋ wokceŋ me poto Eden, ki pala lucwan ma lyel mac, ma wirre tuŋŋi ki tuŋŋi, me gwoko yo ma cito i kom yat me kwo.
GEN.4.1	Adam oŋeyo dakone Kawa, ci dakone ogamo ic, onywalo Kain, “Doŋ atyeko noŋo latin laco ma Rwot okonya kwede.” 
GEN.4.2	Ka dok onywalo ominne Abel. Abel obedo lakwat romi, Kain obedo lapur poto. 
GEN.4.3	Ka kare mo okato, Kain okelo cam ma oceko i potone, otyero bot Rwot. 
GEN.4.4	Abel okelo mere litino kayo romi ki dwologi. Ci Rwot ojolo Abel ki motte, 
GEN.4.5	ento pe ojolo Kain ki motte; omiyo Kain okeco, waŋe oballe. 
GEN.4.6	Rwot owaco bot Kain ni, “Ikeco piŋo? Waŋi oballe piŋo? 
GEN.4.7	Ka itimo maber pe giye? Ka pe itimo maber, ci bal buto i doggola macalo ŋuu ma cwinye pyette i komi; ento myero iloye.”
GEN.4.9	Ci Lubaŋa owaco bot Kain ni, “Omeru Abel tye kwene?” En ogamo ni, “Pe aŋeyo; an aye lagwok omera bo?” 
GEN.4.10	Rwot owacce ni, “Man doŋ itimo piŋo? Nen, remo pa omeru tye ka koko i nyima, winnye a ki i nom. 
GEN.4.11	Koni doŋ giceni woko ki i lobo, ma oŋamo doge me mato remo pa omeru ma ioyo-ni. 
GEN.4.12	Ka ipuro poto, pe bicekki cam ki tekke ducu; ibibedo lamal-gaŋ kun imal ata i lobo.” 
GEN.4.13	Kain owaco bot Rwot ni, “Twon can ma imiya-ni obwoyo koma woko do. 
GEN.4.14	Nen, doŋ iryema woko tin ki i poto, abikanne woko ki i waŋi; abibedo lamal-gaŋ kun amal ata i lobo, jo ducu ma binoŋa, bi neka woko.” 
GEN.4.15	Rwot owacce ni, “Pe kumeno! Ka ŋatti mo bineko Kain, gibiculo kwor i kome tyen abiro kulu.” Rwot oketo lanyut mo i kom Kain, wek jo ma binoŋe pe guneke. 
GEN.4.16	Kain ocako a woko ki i nyim Rwot, ocito obedo i lobo Nod, tuŋ wokceŋ me Eden.
GEN.4.17	Kain oŋene ki dakone, ci dakone ogamo ic, onywalo Enoka. Ocako gero gaŋ madit, ocako nyiŋ gaŋ meno macalo nyiŋ wode, ni Enoka. 
GEN.4.18	Enoka onywalo Irad, Irad onywalo Mekujael, Mekujael onywalo Metucael, Metucael onywalo Lamek. 
GEN.4.19	Lamek onyomo mon aryo; nyiŋ dako acel Ada, ki nyiŋ mukene Jilla. 
GEN.4.20	Ada onywalo Jabal; en aye nene won jo ma gibedo i kema, ki wegi lim makwo. 
GEN.4.21	Nyiŋ ominne Jubal, en aye nene won jo ma gigoyo opuk ki lukut nyamulere. 
GEN.4.22	Jilla onywalo Tubalkain; en aye nene latet kit kwa jami tic ducu me mola ki nyonyo. Lamin Tubal-kain nyiŋe Naama. 
GEN.4.23	Lamek owaco bot monne ni,
GEN.4.23	“Ada ki Jilla, wuwiny;
GEN.4.23	wun mon pa Lamek, wuwiny lok ma awacciwu:
GEN.4.23	Atyeko neko dano ma omiya ret,
GEN.4.23	aneko awobi mo ma ogoya-ni.
GEN.4.24	Lamek gibiculo kwor i kome tyen pyerabiro wiye abiro kulu.”
GEN.4.25	Adam dok oŋene ki dakone, ci dakone onywalo latin laco, ocako nyiŋe Ceji, pien owacci, “Lubaŋa dok omiya latin mukene muleyo ka Abel, ma yam Kain oneko-ni.” 
GEN.4.26	Ceji bene onywalo latin awobi, ocako nyiŋe Enoci. I kare meno en aye dano gucako lwoŋo iye nyiŋ Rwot.
GEN.5.2	Yam oketo laco ki dako, omiyogi gum, ocako nyiŋgi ni Dano i nino ma con oketogi iye-ni. 
GEN.5.3	Ka Adam doŋ otyeko ri mwaka miya acel ki pyeradek, en onywalo awobi ma calo en kikome, ci ocako nyiŋe Ceji. 
GEN.5.4	Mwaka pa Adam ma onoŋo doŋ otyeko nywalo Ceji romo miya aboro, dok omedde ki nywalo awobe ki anyira bene. 
GEN.5.5	Kit meno nino me kwo pa Adam ducu oromo mwaka miya aboŋwen ki pyeradek; ka doŋ oto.
GEN.5.6	Ka Ceji doŋ otyeko ri mwaka miya acel ki abic, ci onywalo Enoci. 
GEN.5.7	Ceji ori i ŋe nywalo Enoci mwaka miya aboro ki abiro, dok omedde ki nywalo awobe ki anyira bene. 
GEN.5.8	Kit meno nino me kwo pa Ceji ducu oromo mwaka miya aboŋwen ki apar wiye aryo; ka doŋ oto.
GEN.5.9	Ka Enoci doŋ otyeko ri mwaka pyeraboŋwen, ci onywalo Kenan. 
GEN.5.10	Enoci ori i ŋe nywalo Kenan mwaka miya aboro ki apar wiye abic, dok omedde ki nywalo awobe ki anyira bene. 
GEN.5.11	Kit meno nino me kwo pa Enoci ducu oromo mwaka miya aboŋwen ki abic; ka doŋ oto.
GEN.5.12	Ka Kenan doŋ otyeko ri mwaka pyerabiro, ci onywalo Maalalel. 
GEN.5.13	Kenan ori i ŋe nywalo Maalalel mwaka miya aboro ki pyeraŋwen, dok omedde ki nywalo awobe ki anyira bene. 
GEN.5.14	Kit meno nino me kwo pa Kenan ducu oromo mwaka miya aboŋwen ki apar; ka doŋ oto.
GEN.5.15	Ka Maalalel doŋ otyeko ri mwaka pyerabicel wiye abic, ci onywalo Jared. 
GEN.5.16	Maalalel ori i ŋe nywalo Jared mwaka miya aboro ki pyeradek, dok omedde ki nywalo awobe ki anyira bene. 
GEN.5.17	Kit meno nino me kwo pa Maalalel ducu oromo mwaka miya aboro ki pyeraboŋwen wiye abic; ka doŋ oto.
GEN.5.18	Ka Jared doŋ otyeko ri mwaka miya acel ki pyerabicel wiye aryo, ci onywalo Enoka. 
GEN.5.19	Jared ori i ŋe nywalo Enoka mwaka miya aboro, dok omedde ki nywalo awobe ki anyira bene. 
GEN.5.20	Kit meno nino me kwo pa Jared ducu oromo mwaka miya aboŋwen ki pyerabicel wiye aryo; ka doŋ oto.
GEN.5.21	Ka Enoka doŋ otyeko ri mwaka pyerabicel wiye abic, ci onywalo Metucela. 
GEN.5.22	Enoka obedo ka wot kacel ki Lubaŋa i ŋe nywalo Metucela mwaka miya adek, dok omedde ki nywalo awobe ki anyira bene. 
GEN.5.23	Kit meno nino me kwo pa Enoka ducu oromo mwaka miya adek ki pyerabicel wiye abic. 
GEN.5.24	Enoka obedo ka wot kacel ki Lubaŋa; ci orwenyo woko matwal, pien Lubaŋa otere woko.
GEN.5.25	Ka Metucela doŋ otyeko ri mwaka miya acel ki pyeraboro wiye abiro, ci onywalo Lamek. 
GEN.5.26	Metucela ori i ŋe nywalo Lamek mwaka miya abiro ki pyeraboro wiye aryo, dok omedde ki nywalo awobe ki anyira bene. 
GEN.5.27	Kit meno nino me kwo pa Metucela ducu oromo mwaka miya aboŋwen ki pyerabicel wiye aboŋwen; ka doŋ oto.
GEN.5.28	Ka Lamek doŋ ori mwaka miya acel ki pyeraboro wiye aryo, ci onywalo wode, 
GEN.5.29	ma ocako nyiŋe Nua, kun wacci, “I lobo ma yam Rwot oceno-ni, latin man aye bimiyo waywe ki aroma tic me ciŋwa.” 
GEN.5.30	Lamek ori i ŋe nywalo awobe mukene ki anyira bene. 
GEN.5.31	Kit meno nino me kwo pa Lamek ducu oromo mwaka miya abiro ki pyerabiro wiye abiro; ka doŋ oto.
GEN.5.32	Nua ka otyeko mwaka me ditte, miya abic, ci onywalo Cem, Kam ki Yafeci.
GEN.6.2	Ka awobe pa Lubaŋa guneno anyira pa dano beco, gucako yero me anyoma ki i kingi. 
GEN.6.3	Ci Rwot owacci, “Cwinya pe doŋ bibedo i dano matwal, pien en kom mamwa, ento kare me kwone bibedo mwaka miya acel ki pyeraryo.” 
GEN.6.4	Jo Nepil onoŋo gitye i lobo i kare meno, ki lacen bene, i kare ma awobe pa Lubaŋa guyabo wi anyira pa dano, gunywalo kwedgi litino. Gin aye cog jo matego mukwoŋo i lobo, ma nyiŋgi ŋene matek.
GEN.6.6	Rwot oŋut pi cweyo dano i lobo, ocwero cwinye matek. 
GEN.6.7	Rwot owacci, “Abijwero dano woko ma yam aketo-ni ki wi lobo, dano ki lee ki gin ma lak alaka ki winyo me polo, pien doŋ atyeko ŋut pi cweyogi.” 
GEN.6.8	Ento Nua aye onoŋo yomo cwiny Rwot.
GEN.6.10	Nua onoŋo tye ki awobene adek, Cem, Kam ki Yafeci.
GEN.6.11	Lobo oballe woko ki i nyim Lubaŋa, onoŋo doŋ opoŋ ki bwami. 
GEN.6.12	Ka Lubaŋa oneno lobo, oneno oballe woko, pien dano ducu gutyeko balle woko i kit bedogi i wi lobo. 
GEN.6.13	Ci Lubaŋa owaco ki Nua ni, “Agik pa dano ducu doŋ obino i nyima, pien gupoŋo lobo woko ki bwami; nen, abityekogi woko, kacel ki lobo bene. 
GEN.6.14	Pa yeya meri ki yat gofer; ci ipok kicika i yeya, ka imwon iye ki ŋeye ki odok abic 
GEN.6.15	Ibitiyone kit man: yeya borre biromo yadi miya acel ki pyerabic, ki lacce yadi pyeraryo wiye abic, borre tuŋ malo yadi apar wiye abic. 
GEN.6.16	Tuc waŋ dirica i yeya, kun iweko danne malo doŋ futi acel ki nucu; ka iket doggola i but yeya, ci ipok iye obed kabedo adek, ma pinnye, me aryone ki me adekke ma malone. 
GEN.6.17	Pien nen, abicoro pii aluka madwoŋ i wi lobo, wek otyek kom gin ducu ma tye ki kwo, i te polo, wek gin ducu ma gitye i wi lobo oto woko. 
GEN.6.18	Ento in aye abimoko gicikkena kwedi; ibidonyo i yeya, in kacel ki litinoni, ki dakoni, ki mon pa awobeni ducu. 
GEN.6.19	Kwany gin makwo ducu ma gitye ki kom ki aryo aryo ki i kit kwagi acel acel, ci ipikgi i yeya, wek gubed kwo kacel ki in; gubed co ki mon. 
GEN.6.20	Winyo macalo kit kwagi tye, lee macalo kit kwagi tye, gin ma lak alaka i ŋom macalo kit kwagi tye, gin bibino boti ki aryo aryo ki i kit kwagi acel acel wek gubed kwo. 
GEN.6.21	Dok iter kit kwa cam ducu ma gicamo, ci ikangi; wek gubed me acamagi bene.” 
GEN.6.22	Nua otimo kumeno; ocobo ducu macalo Lubaŋa ocike.
GEN.7.1	Rwot owaco bot Nua ni, “Dony i yeya, in kacel ki jo ma i odi ducu, pien atyeko neno ni in aye kiti atir i nyima ki i kin yalwak me kare man. 
GEN.7.2	Ter lee ma gicamo abiro abiro, twonne ki minne, ki lee ma gikwero aryo aryo, twonne ki minne; 
GEN.7.3	ki winyo me polo bene abiro abiro, ma co ki ma mon, wek kit kwagi obed makwo wi lobo ducu. 
GEN.7.4	Pien odoŋ nino abiro, ka doŋ abimiyo kot cwer i lobo nino pyeraŋwen dyeceŋ ki dyewor benebene, ci gin ducu makwo ma yam aketo-ni, abijwerogi woko ki i wi lobo.” 
GEN.7.5	Nua ocobo kit ma Rwot ocike kwede ducu.
GEN.7.6	Nua onoŋo doŋ tye ki mwaka me ditte miya abicel i kare ma pii aluka ocorre i wi lobo. 
GEN.7.7	Ci Nua ki dakone ki awo bene ki mongi gudonyo i yeya pi riŋo pii aluka. 
GEN.7.8	Lee ducu ma gicamo ki ma gikwero, ki winyo-gu, ki gin ma lak alaka i ŋom, 
GEN.7.9	gudonyo i yeya bot Nua aryo aryo, laco ki dako. 
GEN.7.10	I ŋe nino abiro pii aluka opoŋ, obyennye i wi lobo.
GEN.7.12	Ci kot ocorre i wi lobo nino pyeraŋwen dyeceŋ ki dyewor benebene. 
GEN.7.13	I kom nino meno kikome, Nua ki awobene Cem, Kam ki Yafeci, ki dakone en Nua, ki mon wote adek kacel kwedgi, gudonyo i yeya, 
GEN.7.14	gin ki lee tim ducu macalo kit kwagi tye, ki lee ma paco ducu macalo kit kwagi tye, ki gin ducu ma lak alaka wi lobo macalo kit kwagi tye, ki winyo ducu macalo kit kwagi tye, winyo ducu ki kitgi ducu mapatpat. 
GEN.7.15	Gin ducu ma gitye ki kwo gudonyo i yeya bot Nua ki aryo aryo. 
GEN.7.16	Gin ma gudonyo iye me kit kom ducu mapatpat, ma co ki ma mon, gudonyo iye kit ma con Lubaŋa ociko ki Nua; ci Rwot oloro wigi woko.
GEN.7.17	Pii aluka ori wi lobo pi nino pyeraŋwen kulu; pii opoŋ, omedde ameda nio ka otiŋo yeya, otero yeya malo twatwal nia ki wi lobo. 
GEN.7.18	Pii opoŋ, omedde, ocegge woko wi lobo; yeya obedo ka kwaŋ i wi pii malo. 
GEN.7.19	Pii ocegge woko wi lobo ki tekke, nio ka oumo wi godi maboco ma tye i te polo ducu. 
GEN.7.20	Pii omedde, omwonyo wi godi woko futi pyeraryo kulu. 
GEN.7.21	Gin makwo ducu ma yam giwoto i wi lobo guto woko; winyo, lee ma paco, ki lee tim, gin ducu ma nya, ma gicorre limuk i wi lobo, kacel ki dano, ducu guto woko. 
GEN.7.22	Gin ducu ma yam gitye ki yweyo me kwo i umgi, ma i wi tura, guto woko. 
GEN.7.23	Lubaŋa ojwero gin ducu makwo ma yam gitye wi lobo, dano ki lee ki gin ma lak alaka, ki winyo me polo; ojwerogi woko nia ki i lobo. Nua keken aye odoŋ, ki jo ma yam gitye kwede i yeya-ni. 
GEN.7.24	Ci pii ocegge wi lobo nino miya acel ki pyerabic kulu.
GEN.8.1	Lubaŋa opo kom Nua ki lee tim ducu, ki lee ma paco ducu ma yam tye kacel kwede i yeya. Lubaŋa omiyo yamo okodo wi lobo, ci pii ocako dwon. 
GEN.8.2	Waŋ it me kut matut oculle woko, ki polo bene ocegge woko, ki kot ma corre a ki i polo bene ocok woko, 
GEN.8.3	pii omedde ki dwon woko i wi lobo jwijwi. Ka nino okato miya acel ki pyerabic, pii onoŋo odwon woko. 
GEN.8.4	I dwe me abiro, i nino dwe apar wiye abirone, yeya ogem i wi got Ararat. 
GEN.8.5	Pii omedde ki dwon woko nio kwede i dwe me apar; i dwe me apar, i nino dwe acel, wi godi maboco gucako nen.
GEN.8.6	Ka nino pyeraŋwen okato, Nua oyabo waŋ dirica ma yam otuco i yeya-ni, 
GEN.8.7	ocwalo agak woko; ci obedo ka tuk, kun wirre kwede tuŋŋi ki tuŋŋi, nio ka piny otwo woko. 
GEN.8.8	Dok ocwalo amam woko nia ki bote, wek enen ka pii doŋ otyeko dwon woko ki i lobo ada. 
GEN.8.9	Ento amam pe omedo ki noŋo ka ma opye iye ki tyene, ci odok bote cen i yeya, pien onoŋo pii pud omwonyo wi lobo woko ducu. Ci Nua oryeyo bade, omake, odwoke i yeya bote. 
GEN.8.10	Dok okuro pi nino abiro mukene, ka dok ocwalo amam woko nia ki i yeya. 
GEN.8.11	Amam dok odok bote i yeya ma onoŋo piny doŋ oyuto; nen, en otino pot yat jeituni ma opwono madyak i doge. Kit meno Nua oniaŋ ni pii doŋ otyeko dwon woko ki i wi lobo. 
GEN.8.12	Dok omedde ki kuro pi nino abiro mukene, dok ocwalo amam woko; ci doŋ pe odok bote matwal.
GEN.8.13	I mwaka me miya abicel ki acel me dit pa Nua, i dwe mukwoŋo, i nino dwe acel, en aye pii otwo iye woko liweŋ wi lobo. Nua ocako puto wi yeya woko, ci oneno wi lobo otwo woko. 
GEN.8.14	I dwe me aryo, i nino dwe pyeraryo wiye abiro, onoŋo lobo doŋ otwo woko. 
GEN.8.15	Lubaŋa owaco bot Nua ni, 
GEN.8.16	“Doŋ ikat woko ki i yeya, in ki dakoni, ki awobeni ki mongi kacel kwedi. 
GEN.8.17	Kel woko gin makwo ducu ma gitye kwedi, wa kit kom ducu, winyo ki lee ki gin ducu ma lak alaka wi lobo, wek gucorre i wi lobo, kun ginywal, ginya i wi lobo.” 
GEN.8.18	Kit meno Nua okato woko, ki awobene ki dakone, ki mon pa awobene kacel kwede. 
GEN.8.19	Ki lee ducu ki gin ducu ma lak alaka, ki winyo ducu, gin ducu ma giwoto wi lobo, gucako mol, gukato woko ki i yeya, ma oporo kit kwagi ducu.
GEN.8.20	Nua ocano keno tyer pi Rwot, ci oyero lee ma gicamo ki i kit kwagi acel acel, ki winyo ma gicamo ki i kit kwagi acel acel, otyero gitum awaŋa i wi keno tyer. 
GEN.8.21	Ka Rwot oŋweyo gin ma ŋwece kur ma yomo cwiny. Rwot oloko i cwinye kekene ni, “An pe dok abiceno lobo pi dano, kadi bed tam ducu ma i cwinye kemo bal keken nia wa i tinone; pe doŋ abineko gin makwo ducu kit ma yam atimo. 
GEN.8.22	Ka lobo pud tye, ci kare me coc ki kac, wa koyo ki lyeto, ki oro ki cwir, dyeceŋ ki dyewor, pe bigik matwal.”
GEN.9.2	Lee tim ducu bilworowu ki myelkom, wa winyo bene ducu me polo, ki gin ma lak alaka i ŋom, ki rec ducu ma i nam bene; gityeko miyogi ducu i ciŋwu. 
GEN.9.3	Gin ducu ma woto, ma kwo, gibibedo cam mewu; kit ma yam amiyowu pot dek-ki, doŋ amiyowu jami ducu. 
