MAT.1.1	Pèci né pâr̂â bèmûû Ièsu Kérisö, mör̂u David, wè mör̂u Abérahama.
MAT.4.8	Na bör̂i pè xi-e tëë na méavor̂a na gwêêwè ka mwââ yéyé, mâ pèri yè-è mwâcir̂i wânii rö-a bwêê jë, mâ pâr̂â rhîrhér̂é, 
MAT.4.9	na bör̂i êr̂ê: «Gö yè nââ yè-i pâr̂â kââ-ré wânii, na gèi rhè nôô mâ tâ nôô yè-nya.» 
MAT.4.10	Na bör̂i êr̂ê yè-è na Ièsu, êr̂ê: «Satana, vi koa, wè é wê yu röi êr̂ê: “Gè yè tâ nôô yè Ör̂ökau Bâô xi-i, mâ gè yè kâmö yar̂i xi-e rö.”» 
MAT.4.11	Na bör̂i wê kâyâi-e na méavor̂a. Aè tö rhûû, cér̂é bör̂i vi na pâr̂â angéla na ka kâmö yar̂i xi-e.
MAT.4.12	Na wê pwêr̂ê na Ièsu, êr̂ê, é wê pöi Ioané, na bör̂i wê vi na Galilé na ce. 
MAT.4.13	Na bör̂i wê vi na Nazarèt, na bör̂i pwa na ce na ka tö Kapérénaum, rö pwar̂awiè, néjêr̂ê Zabulona mâ Nafétali. 
MAT.4.14	Na bör̂i yexèvè ö nô ré na êr̂ê na Isaia pérövéta, êr̂ê:
MAT.4.15	«Névâ Zabulona mâ Nafétali
MAT.4.15	Tö pwar̂awiè rö ékar̂aè né Ioridanô,
MAT.4.15	Mâ Galilé i pâi pa vi rhéwèr̂è
MAT.4.16	Ö névâ-ré ka tö ka orê, wè,
MAT.4.16	Na tö rhûû daa ka kau mâmâ;
MAT.4.16	Aè pâi paxa cuè rö névâ ka kö pèii mé,
MAT.4.16	Wè na pwa yèr̂i-r̂é na daa.»
MAT.4.17	Tèi nédaa-ré, na bör̂i rhavûû ké yè vi vaa i Ièsu, mâ êr̂ê: «Vipââr̂i na gëve, wè na wê tö vè ubwa na mwâcir̂i xè nékö.»
MAT.4.18	Na köiwaa pwar̂awiè rö Galilé na Ièsu, na bör̂i tö rhûû dui duarii, wi-a Simona, é ye néé Pètèru, mâ Adèrè pâdii-e, wè, cur̂u ye poè rö nérhëë, wè, dui dua kwâna. 
MAT.4.19	Na bör̂i êr̂ê yè-r̂u na ce: «Ua-nya mi na göu, cè göi pugèwè-u, cè ki göu kwâna kâmö.» 
MAT.4.20	Cur̂u bör̂i cê kâyâi pâr̂â poè xi-r̂u, mâ vi ua-è. 
MAT.4.21	Na bör̂i vi xè-i mi, na bör̂i rhûû tëë mwâr̂â kaar̂u dui duarii, wi-a Iakobo o i Zébédaio, mâ Ioané, pâdii-e, cur̂u oè kwâ i Zébédaio, pevaa xi-r̂u, mâ yâwîî pâr̂â poè xé-r̂é. 
MAT.4.22	Na bör̂i aʼyè-r̂u bar̂ee na ce. Cur̂u bör̂i kâyâi kwâ mâ pevaa xi-r̂u, mâ vi ua-è.
MAT.4.23	Na bör̂i vi pwânûr̂i Galilé wânii na Ièsu, na bör̂i tö-a vi pur̂â rö pâr̂â mwâ waa ar̂ii, mâ vi vaa i vi rherhî ka e né mwâcir̂i, na bör̂i pè mör̂u pâr̂â pèii wânii, mâ pâr̂â kâmö paxa yör̂a rö névâ. 
MAT.4.24	Na bör̂i mâ pwânûr̂i Syria wânii na ce, cér̂é bör̂i pè mi yè-è pâr̂â pèii wânii mâ pâr̂â kâmö ré tawawir̂i-r̂é na pèii, mâ bör̂i pèii ka pôr̂ô na nô-né, mâ pâr̂â kâmö paxa oè-r̂é na u, mâ pâr̂â kâmö ré métê, mâ pâr̂â kâmö paxa vikeya, na bör̂i pè mör̂u-r̂é na ce. 
MAT.4.25	Cér̂é bör̂i vi ua-è na pâr̂â kâmö pa pôr̂ô yéyé mi xè Galilé, mâ Dékapoli, mâ Iérusalèm, mâ ékar̂aè é ye néé Ioridanô.
MAT.5.1	Na bör̂i tö rhûû pâr̂â kâmö pa pôr̂ô yéyé na Ièsu, na bör̂i tèi rua rö ka pwi, na bör̂i cuè rö-i, cér̂é bör̂i pwa yèr̂i-e na pâr̂â pâi pa pâgür̂ü xi-e. 
MAT.5.2	Na bör̂i vi vaa, mâ pur̂â-r̂é, mâ êr̂ê, êr̂ê:
MAT.5.3	«Na kau mâmâ na ko-r̂é pâr̂â paxa rhauadè na wêê nénââ xé-r̂é,
MAT.5.3	Wè na ké-r̂é na mwâcir̂i xè nékö.
MAT.5.4	Na kau mâmâ na ko-r̂é pâr̂â paxa tââ,
MAT.5.4	Wè é yè mâ ya vè tââmêr̂ê-r̂é.
MAT.5.5	Na kau mâmâ na ko-r̂é pâr̂â paxa kièo,
MAT.5.5	Wè nè yè mâ ké-r̂é na bwêê jë.
MAT.5.6	Na kau mâmâ na ko-r̂é, cér̂é paxa bar̂i ara mâ bar̂i wâyö nô ka târi,
MAT.5.6	Wè é yè mâ pè kiè-r̂é.
MAT.5.7	Na kau mâmâ na ko-r̂é pâr̂â paxa vi méa,
MAT.5.7	Wè é yè mâ nââ yè-r̂é vi méa.
MAT.5.8	Na kau mâmâ na ko-r̂é pâr̂â paxa korhî na wêê nénââ xé-r̂é,
MAT.5.8	Wè cér̂é yè tö rhûû Bâô.
MAT.5.9	Na kau mâmâ na ko-r̂é, pâr̂â paxa vië,
MAT.5.9	Wè é yè mâ ye néé-r̂é, êr̂ê, pâr̂â pâlè Bâô.
MAT.5.10	Na kau mâmâ na ko-r̂é, é waa vè yaané-r̂é, na pûû-é na câwâ ka târi,
MAT.5.10	Wè na ké-r̂é na mwâcir̂i xè nékö!
MAT.5.11	Na kau mâmâ na ko-ve, na ké-r̂é vi na pâr̂â kâmö na ka vër̂ëë-ve, mâ waa vè yaané-ve, mâ yi vè vee i-ve i pâr̂â nô ka yaané wânii, na pûû-é na gènyâ. 
MAT.5.12	Pwérhar̂a rua e na gëve mâ vi or̂o, wè na kau na pè urhii-ve rö rua nékö, wè é waa vè yaané ûr̂û-ré pâr̂â pérövéta ka baayê rai-ve.»
MAT.5.13	«Gëve yöö né bwêê jë, nè yè yèri mâ ké yè mâi yöö, na nè yè mâ mâi xè xi-yé? Na da dö kââ tëë, na e na ki mâ virai, cè ki mâ texai na pâr̂â kâmö.»
MAT.5.14	«Gëve daa né bwêê jë, na da tâwai tö vèii na névâ ka é pè tömâ rö gwêêwè. 
MAT.5.15	É da kèr̂i bar̂ee mwââ kêmör̂u mâ nââ rö é ria né böö kêê, aè na e na bwêêwé ka tö-i mwââ kêmör̂u, wè na waavèai-ré wânii rö mwâ. 
MAT.5.16	Na e na ki waa ûr̂û-ré na daa xe-ve rö némèè pâr̂â kâmö, cè ké-r̂é rhûû nêr̂ê-ve ka e, mâ pè kau Pevaa xe-ve rö rua nékö.»
MAT.5.17	«Koa yè tâ néxâi na gëve, êr̂ê, gö wê pwa na ka cöö mââyöö mâ pâr̂â pérövéta; aè gö da xa pwa na ka cöö, aè na e na ki rhau yexèvè röi. 
MAT.5.18	Wè na avâr̂i na gö êr̂ê yè-ve, nè yè mâ yèri nékö mâ bwêê jë, aè nè da yèri dèxâ iota, mâ dèxâ ga ka yar̂i aau rö mââyöö, na ki da tö rhau yexèvè röi. 
MAT.5.19	Tö ökâré, ö kâmö ré vi texai ria wê ka yar̂i bor̂o xè-i pâr̂â mââyöö-a, mâ vi aʼpâgür̂ü yè pâr̂â kâmö cè ké-r̂é mâ bâ waa ûr̂û-ré, wè e yè aʼvè yar̂i-e aau rö mwâcir̂i xè nékö; aè ö kâmö ré pwêr̂ê mâ pâgür̂ü, wè é yè mâ ye néé-é, êr̂ê, na dö kâmö rö mwâcir̂i xè nékö. 
MAT.5.20	Gö êr̂ê yè-ve na gènyâ, êr̂ê: Nè da vi kwéjî na nô xe-ve ka târi rai nô ka târi i pâi paxa yu ga, mâ pâr̂â farésaiö, gëve yè da vi ru aau rö mwâcir̂i xè nékö.»
MAT.5.21	«Gëve wê pwêr̂ê rö-i ka é êr̂ê yè pâi kau xiréé mâ, êr̂ê: “Koa yè vi yö vè mii kâmö; ö kâmö ré yö vè mii, wè na e na ki mâ rhôôr̂u-é”. 
MAT.5.22	Gö êr̂ê yè-ve na gènyâ, êr̂ê: ö kâmö ré rhôê yè kaavèâi-e, na e na ki mâ rhôôr̂u-é; ö kâmö ré êr̂ê yè kaavèâi-e, êr̂ê: “Raka!” na e na ké-r̂é ërëwaa-è na pâi paxa vi tëvë; aè ö kâmö ré êr̂ê yè-è bar̂ee, êr̂ê: “Döwi!” wè na e yè-è na kêmör̂u rö gééna. 
MAT.5.23	Tö ökâré, gè yè bar̂i pè na gèi kwââvâr̂â xi-i na bwêêwé kaa yâmar̂a, aè gè mö ké tâ néxâi ré é, êr̂ê, na wii na dèxâ kââ yè-i rö pwar̂a kaavèâi-i, 
MAT.5.24	nââ wîr̂î rö ré é kwââvâr̂â xi-i tö némèè kaa yâmar̂a, mâ vi baayê wîr̂î na ka vi kâwîî yè kaavèâi-i; gè yè bör̂i wê mi na ka nââ tëë kwââvâr̂â xi-i.»
MAT.5.25	«Bèr̂éé na gèi na ka vi kâwîî yè ka rhîaa xi-i, na göu mö ké köiwaa vèâ wêyê, wi kâyâi-i na ka rhîaa xi-i yè kâmö ré vi rhôôr̂u nô, aè kâmö ka vi rhôôr̂u nô, wè nè kâyâi-i yè kâmö ka vi târ̂î, nè yè bör̂i yer̂e-i na mwâ pö kâmö. 
MAT.5.26	Avâr̂i gö êr̂ê yè-i, êr̂ê, gè yè da vi rua mi xè ré é, na ki gèi da tö urhii cêmè röi pâr̂â mwâné ka yar̂i bor̂o.»
MAT.5.27	«Gëve wê pwêr̂ê röi na é wê êr̂ê xiréé mâ, êr̂ê: “Koa yè cuu wa kui dèxâ kâmö.” 
MAT.5.28	Gö êr̂ê yè-ve na gènyâ, ö kâmö ré rhîwir̂i kui dèxâ kâmö, mâ rhî vè e-é, na wê cuu wa é röi rö pwéé-é. 
MAT.5.29	Nè vi kââr̂â i-i na pièmè é gaamëë xi-i, cuur̂u mâ yer̂e virai, wè na e na ki yèri dèxâ böömèè kar̂ö-i, rai ki yè rhau yer̂e wânii kar̂ö-i rö gééna. 
MAT.5.30	Nè vi kââr̂â i-i na néxar̂a â-i é gaamëë, rharher̂e mâ yer̂e virai, wè na e na ki yèri dèxâ böömèè kar̂ö-i, rai ki yè rhau yer̂e wânii kar̂ö-i rö gééna.»
MAT.5.31	«É wê êr̂ê röi mâ, êr̂ê, ö kâmö ré virai kui-e, na e na ki mâ nââ yè-è pèci pè cöö kaa vi öyö. 
MAT.5.32	Aè, gö êr̂ê yè-ve na gènyâ, ö kâmö ré virai kui-e, na ki da cuu, wè na kâyâi-e yè cuu, aè, ö kâmö ré pè vè kui ö bwè ré é virai-e, wè na pâr̂â bar̂ee.»
MAT.5.33	«Ökââ bar̂ee, gëve wê pwêr̂ê röi, na é wê êr̂ê yè pâi kau xiréé mâ, koa yè kîbô vee, aè na e na gèi ye vè avâr̂i ké kîbô xi-i yè ör̂ökau. 
MAT.5.34	Aè gö êr̂ê yè-ve na gènyâ, koa yè kîbô, mâ êr̂ê nékö, wè kaa per̂e i Bâô ré é, 
MAT.5.35	na ûr̂û-ré bar̂ee na bwêê jë, wè kaa tee i duö köwi-e; na ûr̂û-ré bar̂ee Iérusalèm, wè ka tö-i ör̂ökau ka kau. 
MAT.5.36	Koa yè kîbô bar̂ee, mâ êr̂ê gwâ-i, wè gè da tâwai pugèwè pûr̂û gwâ-i cè ki uè mâ bwêrê na dèxâ. 
MAT.5.37	Na e na ki ûr̂û-â na mêr̂ê tëvë xe-ve, üüwa, üüwa, aè, aè; kèi mi nô ka yaané ki mâ nââbéé.»
MAT.5.38	«Gëve wê pwêr̂ê röi na é wê êr̂ê röi, êr̂ê, pièmè pè kwê pièmè, aè pèè wâ pè kwê pèè wâ. 
MAT.5.39	Gö êr̂ê yè-ve na gènyâ, êr̂ê, koa yè yapurhâi kâmö ka yaané. Ö kâmö ré yè dèi poaa gaamëë xi-i, pugèwè bar̂ee dèxâ ékar̂aè yè-è. 
MAT.5.40	Ö kâmö ré bar̂i vi caa-u göu-é rö kaa vi rhôôr̂u nô, cè ki öxar̂a mêr̂ê-i, wè kâyâi yè bar̂ee mêr̂ê-i pè yakôwîî-i. 
MAT.5.41	Ö kâmö ré va wa-i cè ki vi göu rö rhaaxâ kilomèèti, vi göu vèr̂i cêmè rö pèkaar̂u-é. 
