MAT.1.1	Ame na rɔ möyï ꞌbu löbu ꞌba Yësu Kurïsïtö kupö Dawidi kupö Abarayama.
MAT.2.3	Kina ɔdɔ Erode kuwö lende nime ꞌdeni te tine, mï bo ënyï kombi ŋgï kina bilaka ꞌba Yerosalema mɔtɔ ga yïmo ombi ꞌdeni gbï. 
MAT.2.4	Kina bo kari kïdëkï löbu ꞌba bɔ akumu ni ti bɔ kɔmɔ kiyandi ꞌba köꞌdu kiꞌdi ni ŋgï pili gɔ kako zi bo, kina bo kititi lïjë, bo iya te, “Ɔdɔ tara ne Kurïsïtö ame Bɔkoꞌba këdï koja kako di mïtɔrɔ ne ëdï köyö bo yala ga ya?”
MAT.2.5	Lïjë iya te, “Ëdï köyö Kurïsïtö mï Beteleme mï dɔyayi ꞌba Yudayi bine. Römöyï bɔ kumë lende ꞌba Bɔkoꞌba mɔtɔ ugu lende nime ꞌdeni mɔlo ame kiya te, 
MAT.2.6	‘Nï, Beteleme, dɔyayi ꞌba Yudayi nime, inza ꞌbëyï kulöwö wötï titiyi bërï di mï dɔyayi ꞌba Yudayi nime. Bilaka ma löbu ti kɔdɔ ꞌdeni di mïyï ame gɔ kokɔkɔ bilaka ma ga ꞌba Yisarele.’”
MAT.2.7	Kina Erode kïdëkï bɔ lende kikali tönë ga ŋgï lowo kako zi bo gɔ lïjë kiya kada ꞌba tɔdɔ ꞌba këlu nima zi bo. 
MAT.2.8	Kina bo kënyï koja lïjë ŋgï kari, bo iya te, “Arike Beteleme toma gɔ kole nima. Ɔdɔ koꞌjake bo ꞌdeni ako kiyake lende mo zö gɔ mari gbï tïlëlu bo.”
MAT.2.9+MAT.2.10	Kina ɔdɔ lïjë kuwö lende kiya ꞌba Erode nima ꞌdeni tine lïjë ënyï ŋgï tari. Kina lïjë koꞌja këlu mo tönë lïjë koꞌja mɔlo di yïbï ne ŋgï. Kina ɔdɔ lïjë koꞌja ꞌdeni tara tine lïjë ŋgï ti mï këyï rɔ mbëmbë.
MAT.2.9+MAT.2.10	Këlu nima ösö nduwë dɔgba zïnnï ŋbö kari kɔrɔ dɔ bi ame kole Yësu këdï teyi ne. 
MAT.2.11	Kina lïjë kɔdɔ ŋgï kari koꞌja kole ni këdï rö yayi ti ma mo. Kina lïjë kolɔdɔ ŋgï bërï tïlëlu bo. Kina lïjë kunyë kpa sandu ꞌbënnï ga ŋgï, lïjë kiꞌdi kpa közï kiꞌdi ꞌbënnï ga zi kole nima. Kpa közï kiꞌdi mo ga rɔ yamo köbököbö, ti akato kele ti wɔwɔ kele mɔtɔ kïdëkï möyï mo rɔ murï.
MAT.2.12	Tine na Bɔkoꞌba kiyandi lïjë ŋgï ti nyï kinza lïjë kileki dë kpe kebe dɔ Erode. Kina lïjë kileki ŋgï kari dɔyayi ꞌbënnï ti kɔri ma löwö mɔtɔ.
MAT.2.13	Kina ɔdɔ ya naga nima kari ꞌdeni tine, Bɔkoꞌba iꞌdi nyï koꞌde ŋgï dɔ Yesepa, kina malayika kiya zi bo, iya te, “Erode oꞌdɔkɔ toma gɔ kole nime ꞌdɔ bo kupö yaga. Ënyï ti kole nime ti ma mo kiriŋa kari Ezipeto. Oloma yayi ŋbö ma na ꞌjaa ti miya zïyï gɔ kileki.”
MAT.2.14	Kina Yesepa kënyï ŋgï mï korɔndɔ nima kiriŋa kari Ezipeto ti kole tönë ti ma mo. 
MAT.2.15	Lïjë ari ꞌdɔ toloma Ezipeto yayi ŋbö kömö mï kada ꞌba tölë ꞌba Erode.
MAT.2.15	Loma ꞌbënnï yayi nima ëdï ꞌdeni kɔzɔ lende ꞌba Bɔkoꞌba ame tönë bo kiya ꞌdeni mɔlo ti bɔ kumë lende abo mɔtɔ, kiya te, “Mïdëkï kole ma ꞌdeni kako di Ezipeto.”
MAT.2.16	Kina ɔdɔ Erode kikali ꞌdeni bɔ lende kikali naga nima ïndëndë dɔ bo ꞌdeni kɔzɔ a nima tara tine, mï bo ënyï kata ŋgï. Kina bo koja bɔ kanya abo ga ŋgï kari mï dɔliŋɔ pili ꞌba Beteleme tupö kole titi ame ga pili rɔ bɔtɔni ne, ame kɔmɔ kɔɔ mo ga këdï ꞌdeni rïyö ŋbö kömö dɔ ame ga köyö mï kɔmɔ kɔɔ mo nima ne. Tisaki mo di dɔ ame ga kɔmɔ kɔɔ mo ga këdï ꞌdeni rïyö ne römöyï gɔ lende ꞌba kada ꞌba tɔdɔ ꞌba këlu ame bo kuwö lende mo di zi bɔ lende kikali naga nima ne.
MAT.2.17	Tupö kole titi ꞌba Beteleme naga nime ëdï ꞌdeni kɔzɔ lende ꞌba Bɔkoꞌba ame bo kiya ꞌdeni mɔlo ne tara, ame Yeremaya kumë ꞌdeni mɔlo kiya te, 
MAT.2.18	“Birɔ ëdï kudu mï Rama, birɔ ꞌba monɔ ni ti kuwu. Rayile na këdï kudu gɔ kole ꞌba kole ꞌbënnï ga. Lïjë ölë ꞌdeni pili kina lɔko oꞌdɔkɔ dë kpe gɔ kuyë kömönï.”
MAT.2.19	Tine Yesepa ni ëdï ꞌdeni koloma mï Ezipeto. Kina ɔdɔ Erode kölë ꞌdeni tine, na Bɔkoꞌba kiꞌdi nyï koꞌde ŋgï dɔ Yesepa, kina malayika kɔdɔ ŋgï zi bo, 
MAT.2.20	kiya te, “Ënyï di bine ti kole titi nime ti ma mo kileki kari mï dɔyayi ꞌba Yisarele. Bilaka ma tönë ga yayi koꞌdɔkɔ tupö kole nime ne lïjë ölë ꞌdeni.”
MAT.2.21	Kina bo kënyï ŋgï ti kole tönë ti ma mo, bo kileki kari mï dɔyayi ꞌba Yisarele.
MAT.2.22	Tine bo ari kuwö ꞌböwu tëgë kole ꞌba Erode, ame kïdëkï möyï mo rɔ Arokelawo ne, na ꞌdeni rɔ ŋere ꞌba Yudayi. Kina bo kere ŋgï di bi tari toloma mï Yudayi. Kina Bɔkoꞌba kiꞌdi nyï mɔtɔ koꞌde gbï dɔ bo, kiya zi bo gɔ bo kari koloma Galilaya. 
MAT.2.23	Kina ɔdɔ bo kömö ꞌdeni yayi tine, bo ari koloma ꞌdeni mï gawo mɔtɔ kïdëkï rɔ Nazareta. Loma mï Nazareta nima ëdï ꞌdeni kɔzɔ lende ꞌba Bɔkoꞌba ame bo kiya ꞌdeni mɔlo ne tara, ame bilaka mɔtɔ ga kumë lende mo ꞌdeni, kiya te, “Bɔ nima ti kïdëkï bo ꞌdeni rɔ bilaka ꞌba Nazareta.”
MAT.3.1	Mï kada naga nima yayi Yowani bɔ bapatisi ɔdɔ ꞌdeni yï mökö mï dɔyayi ꞌba Yudayi. Kina bo kisaki ꞌdeni tuwöwö laja ꞌba Bɔkoꞌba zi bilaka. 
MAT.3.2	Iya te, “Otɔke dɔye di mï lende kënyë ꞌbe ga römöyï ŋere löbu ꞌba Bɔkoꞌba ëdï ꞌdeni ŋɔli.”
MAT.3.3	Yowani nime na tönë Yesaya bɔ kumë lende ꞌba Bɔkoꞌba kiya lende mɔlo gɔ köꞌdu mo, ame bo kiya te, “Bɔ mɔtɔ ëdï kuwöwö dɔ bo di yï mökö kiya te, ‘Ileŋoke kɔri zi ŋere. Odɔrɔke gɔ kɔri zi bo.’”
MAT.3.4	Bɔŋgɔ ꞌba rɔ Yowani oꞌdɔ di mï sunë gamele. Kina kilaka na bo kudödu ꞌbömbö bo rɔ gasi. Akonyo abo ga rɔ mömï ni ti tagi ꞌba mï ꞌbɔrɔ. 
MAT.3.5	Bilaka ɔlɔ ꞌdeni kari zi bo di mï Yerosalema, di mï dɔliŋɔ ꞌba Yudayi pili kina gbï di mï liŋɔ ame ga pili ŋgɔsi kpa yöpö ꞌba Yaradene ne. 
MAT.3.6	Lïjë odɔ kpënnï gɔ lende kënyë ꞌbënnï ga kina bo kodɔ mini ꞌba bapatisi ŋgï dönnï mï yöpö ꞌba Yaradene.
MAT.3.7	Tine ɔdɔ bo koŋgɔ ya ma kïdëkï rɔ Parosi ni ti Sadoke ma konzi ꞌdeni këdï kako zi bo mï bapatisi tine, bo iya te, “Kpe kole ꞌba murë naga nime, yë na kuꞌbölu ye tiriŋa di kpa ya nime këdï kako dɔye ne? 
MAT.3.8	Oꞌdɔke wa ame ga ꞌdɔ kileme otɔke dɔye ꞌdeni di mï lende kënyë ꞌbe ga ne. 
MAT.3.9	Kinza kebeke dë tomeri mo ti kɔmɔke di mï gomɔ nima gɔ ame kiyake te kpe kupö Abarayama na ne. Rɔ ma laka miya ziye Bɔkoꞌba ti kikali ŋgï togba döku naga nime koꞌdɔ rɔ kupö zi Abarayama. 
MAT.3.10	Goroŋa ëdï ꞌdeni ndö ndï ŋgërï toga mo bërï ti ŋgiraꞌda mo. Ŋgërï ame ga pili kana a ma laka dë ne ti koga bërï kuꞌdu mï paꞌdo. 
MAT.3.11	Mëdï moꞌdɔ ꞌbama bapatisi ŋge dɔye ti mini ꞌdɔ kileme dɔ kotɔ. Tine bɔ ma këdï kako di pötö ma nime, bo na mbiri di dɔma, pele rɔ tombi wari abo mɔꞌbɔ dë. Bo ti koꞌdɔ ꞌba bo bapatisi dɔye ti Nyï Kɔtɔ Laka gbï ti paꞌdo. 
MAT.3.12	Bo ëdï ti kïzërï abo ꞌdɔ tubö nyönyu timo. Bo ti kotowa dɔkandilere abo, bo kiꞌdi nyönyu abo ga mï mata tine turu mo bo ti koŋma yaga ti paꞌdo ame kinza kölu dë ne.”
MAT.3.13	Kina Yësu kako di Galilaya kömö kpa yöpö ꞌba Yaradene zi Yowani ꞌdɔ koꞌdɔ bapatisi dɔ bo. 
MAT.3.14	Tine Yowani oma tota bo, iya te, “Ako za ꞌböwu zö, oꞌja ma na ꞌdɔ mari zïyï ꞌdɔ koꞌdɔ bapatisi dɔma ꞌdï?”
MAT.3.15	Tine Yësu ileki dɔmo iya te, “Iꞌdi këdï tötï tara. Römöyï ti toꞌdɔ mo te na ti doꞌdɔ ŋgï kɔzɔ akoꞌdɔkɔ abo ꞌba Bɔkoꞌba tara.” Kina Yowani kutï ŋgï gɔmo.
MAT.3.16	Kina ɔdɔ koꞌdɔ bapatisi ꞌdeni dɔ Yësu bo këdï kɔdɔ yaga di mï mini tine na mïtɔrɔ kurögö rönï ŋgï zi bo. Kina bo koꞌja Nyï Kɔtɔ Laka ꞌba Bɔkoꞌba këdï kako bërï dɔ bo di mïtɔrɔ kɔzɔ matukpuru tara. 
MAT.3.17	Kina birɔ kudu ŋgï di mïtɔrɔ kiya te, “Ame na rɔ kole ma. Mɔꞌɔ bo ꞌdeni kulöwö. Ma ti mï këyï rɔ mbëmbë gɔ lende abo.”
MAT.4.1	Kina Nyï Kɔtɔ Laka koto Yësu ŋgï kari yï mökö ꞌdɔ Satani kiyɔzɔ bo. 
MAT.4.2	Kina ɔdɔ bo koꞌdɔ töꞌdö ꞌdeni dɔ ꞌbutë sowɔ bo konyo ɔtɔ dë tine bo ꞌdeni rɔ ꞌbö. 
MAT.4.3	Kina Satani kako ŋgï zi bo kiya te, “Ɔdɔ këddï ŋgï rɔ kole ꞌba Bɔkoꞌba ilende zi kulugbï döku naga nime ꞌdɔ kuyï rönnï rɔ maŋgolɔꞌbɔ zïyï.”
MAT.4.4	Tine Yësu ileki dɔmo, iya te, “Ugu ꞌdeni mï buku ꞌba Bɔkoꞌba iya te, ‘Bilaka oloma dë ŋge kɔtɔ gɔ akonyo tine ti lende ame ga pili këdï kɔdɔ di kpa Bɔkoꞌba ne.’”
MAT.4.5	Kina Satani koto Yësu ŋgï kari Yerosalema gawo kɔtɔ laka nima, kina kiꞌdi bo ŋbö dɔ kumu rö löbu ꞌba Bɔkoꞌba, 
MAT.4.6	kina kiya zi bo, iya te, “Ɔdɔ këddï ŋgï rɔ kole ꞌba Bɔkoꞌba ola röyï bërï. Römöyï ugu ꞌdeni mï buku ꞌba Bɔkoꞌba iya te, ‘Bo ti kiꞌdi lende zi malayika abo ga gɔ köꞌdu ꞌbï ꞌdɔ lïjë kikapo yï kinza koga ndïyï ra yɔki döku ma kɔtɔ mɔtɔ.’”
MAT.4.7	Tine Yësu ileki dɔmo iya te, “Ugu ꞌdeni gbï iya te, ‘Kinza kiyɔzɔ ŋere Bɔkoꞌba ꞌbï dë.’”
MAT.4.8	Kina Satani koto bo ꞌböwu ŋbö dɔ döku ma kakpa rɔ dɔ kiteli kina kileme dɔliŋɔ nime ti tele mo ga pili zi bo, 
MAT.4.9	iya te, “Wa naga nime pili ti miꞌdi zïyï ɔdɔ kolɔdɔ bërï zö kumötu ma.”
MAT.4.10	Yësu ileki dɔmo zi bo, iya te, “Ese yaga di rɔma Satani. Römöyï ugu ꞌdeni iya te, ‘Ŋere Bɔkoꞌba ꞌbï na ŋge kɔtɔ ꞌdɔ kumötu kulömu kpëyï teyi.’”
MAT.4.11	Kina Satani kola bo ŋgï na malayika kako ŋgï tokɔnyi bo.
MAT.4.12	Kina ɔdɔ Yësu kuwö ꞌdeni kiya te iꞌdi Yowani ꞌdeni mï maboso tine, na bo kënyï ŋgï kari Galilaya. 
MAT.4.13	Tine bo oloma dë Nazareta bo ari ŋgï nduwë Kaparanoma. Ame rɔ gawo ma kpa pöpö ꞌba Galilaya mï dɔyayi ꞌba Zebolona ni ti Napatali. 
MAT.4.14	Oꞌdɔ rönï ꞌdeni ꞌdɔ këdï kɔzɔ ma tönë Yesaya bɔ kumë lende ꞌba Bɔkoꞌba kiya ne tara. Ame kiya te, 
MAT.4.15	“Ya ma mï dɔyayi ꞌba Zebolona ni ti Napatali, ti ya ma kpa kɔri mini löbu ti ya ma gönyï yöpö ꞌba Yaradene ti bilaka ꞌba Galilaya dɔyayi ma ti bɔ löwö yïmo, 
MAT.4.16	lïjë ame ga pili këdï koloma mï bi kölu ne oꞌja bi kɔpɔ ma löbu ꞌdeni. Bi kɔpɔ oyi rönï ꞌdeni dɔ ya ma këdï koloma mï mandölu ꞌba tölë naga.”
MAT.4.17	Mï kada nima yayi Yësu isaki ꞌdeni tuwöwö laja abo zi bilaka, iya te, “Otɔke dɔye di mï lende kënyë ꞌbe ga römöyï ŋere löbu ꞌba Bɔkoꞌba ëdï ꞌdeni ŋɔli.”
MAT.4.18	Kina ɔdɔ Yësu këdï ꞌdeni kiliŋgere kebe kpa pöpö ꞌba Galilaya tine, na bo kari koꞌja atoyi rïyö mɔtɔ ga ŋgï, Simona ma kïdëkï rɔ Pïtörö ni ti löndö bo Andareya këdï ga rɔ tugu kenze di mï pöpö ti duru. 
MAT.4.19	Kina Yësu kiya zïnnï, iya te, “Ösöke gɔma, ti miꞌdi ye rɔ atoyi ꞌba toꞌde bilaka kako zi Bɔkoꞌba.”
MAT.4.20	Kina lïjë kola duru ꞌbënnï ga ŋgï lïjë kösö gɔ bo. 
MAT.4.21	Kina ɔdɔ bo kari nduwë dɔgba di yayi tine bo ari koꞌja löndö ma rïyö mɔtɔ ga gbï, Yakoba ni ti Yowani kole ꞌba Zebedayo ga këdï mï sorope ti ꞌbu nnï tileŋo duru ꞌbënnï. Kina ɔdɔ Yësu kïdëkï lïjë tine, 
MAT.4.22	lïjë ënyï ŋgï kola sorope ti ꞌbu nnï yayi, lïjë kösö gɔ Yësu.
MAT.4.23	Yësu iliŋgere kote mï Galilaya toko tiyandi kɔmɔ bilaka mï rö ꞌba mötu ꞌba Yudayi, tuwöwö laja laka ꞌba ŋere löbu ꞌba Bɔkoꞌba, gbï tileŋo bilaka ame ga pili këdï ti dɔkomali rɔkɔꞌɔ mɔtɔ ga ne. 
MAT.4.24	Lëbï abo ote mï dɔyayi ꞌba Surïya ꞌdeni, kina bilaka koloma ŋgï rɔ toꞌde bɔ rɔkɔꞌɔ pili kako zi bo. Bilaka ame ga pili ti dɔkomali rɔkɔꞌɔ ma gege ti ya ma ti abërï naga kpaki ti bɔ nökï ni ti ya ma keŋme bërï naga oꞌde ꞌdeni pili kako zi bo kina bo kileŋo lïjë ꞌdeni pili. 
MAT.4.25	Tïndï ma konzi ꞌba bilaka ösö ꞌdeni gɔ bo di Galilaya ni ti Gawo ꞌButë, gbï di Yerosalema gbï di mï Yudayi, kina gbï di mï dɔyayi ma gönyï Yaradene.
MAT.5.1	Kina ɔdɔ Yësu koŋgɔ tïndï ꞌdeni tara tine bo ëkï ŋgï kari koloma dɔ döku tɔrɔ. Bɔ kösö gɔ bo ga ako zi bo 
MAT.5.2	na bo koloma ŋgï rɔ tiyandi lïjë kpaki ti tïndï naga nima, kiya te,
MAT.5.3	“Lïjë ame ga rɔ rumö na laka römöyï ŋere löbu ꞌba Bɔkoꞌba nime na rɔ ꞌbënnï. 
MAT.5.4	Lïjë ame ga ti monɔ na laka römöyï ti kïyëyï lïjë ꞌdeni. 
MAT.5.5	Lïjë ame ga koꞌdɔ dɔ kombi dë na laka römöyï lïjë ti koꞌja wa ma Bɔkoꞌba kulömu ꞌdeni zi bilaka abo ga ne ŋgï. 
MAT.5.6	Lïjë ame ga mïnnï löbu gɔ toꞌdɔ akoꞌdɔkɔ ꞌba Bɔkoꞌba na laka römöyï Bɔkoꞌba ti kiꞌdi ꞌdeni ŋgï kɔꞌbɔ lïjë. 
MAT.5.7	Lïjë ame ga rɔ bɔ mï koŋmi na laka römöyï Bɔkoꞌba ti koꞌdɔ mï koŋmi gbï zïnnï. 
MAT.5.8	Lïjë ame ga dökïꞌdï nnï ŋge kɔtɔ gɔ lende ꞌba Bɔkoꞌba na laka römöyï lïjë ti koꞌja Bɔkoꞌba ŋgï. 
MAT.5.9	Lïjë ame ga rɔ bɔ lata toꞌdɔ lende këyï mï löŋgö bilaka na laka römöyï Bɔkoꞌba ti kïdëkï lïjë ꞌdeni rɔ kole abo ga. 
MAT.5.10	Lïjë ame ga bilaka këdï koꞌdɔ közï kasi zïnnï gɔ lende laka ꞌba Bɔkoꞌba na laka römöyï ŋere löbu ꞌba Bɔkoꞌba na rɔ ꞌbënnï.
MAT.5.11	Kpe ame bilaka këdï kitiꞌja ye koꞌdɔ közï kasi ziye kiya kpa kënyë rɔye rɔ mbëmbë römöyï kpe bɔ kösö gɔma ga na ne, kpe na laka. 
MAT.5.12	Kina olomake rɔ lɔŋɔ ti mï këyï römöyï Bɔkoꞌba ulu kpa közï ma löbu ꞌdeni koda ye mïtɔrɔ. Bɔ kumë lende ꞌba Bɔkoꞌba ma tönë ga koloma dɔgba bine bilaka oꞌdɔ közï kasi gbï teyi kɔzɔ ꞌbeye te.”
MAT.5.13	“Kpe ꞌbeye ëddïke kɔzɔ tikɔꞌdɔ tara zi bilaka lesi ꞌba mï dɔyayi nime. Ne tine ɔdɔ tikɔꞌdɔ kote tulöwu ma kiyɔkɔ ꞌbënï ꞌdeni ti koꞌdɔ ꞌböwu kileki kiyɔkɔ totondo mo ga ya? Ele dë kpe ŋburu mï kɔtɔ, tine ꞌdeni ŋgï ꞌdɔ tuꞌdu mo mökö tututu dɔmo ti ndï. 
MAT.5.14	Kina ëddïke gbï kɔzɔ bi kɔpɔ ꞌba dɔliŋɔ nime. Gawo ame kubö ꞌdeni dɔ kuruŋgu ne ikali dë kpe tusu dɔmo. 
MAT.5.15	Kina bilaka iꞌdi paꞌdo dë gbï dɔ lamba kogba kutuꞌbö dɔmo ti kete. Tine ëdï kiꞌdi lamba ŋgï dɔ a ꞌba tïdëyï mo ꞌdɔ kiyɔpɔ gɔ bi pili mï rö yayi. 
MAT.5.16	Kina gbï tara ꞌdɔ bi kɔpɔ ꞌbe kiyɔpɔ gɔ bi kɔmɔ bilaka gɔ lïjë koꞌja wa ma laka ame ga këddï koꞌdɔke ne. Römöyï ꞌdɔ lïjë kïlëlu ꞌbu ye ame mïtɔrɔ ne gɔ köꞌdu mo.”
MAT.5.17	“Kinza komerike dë te mako ꞌdeni tuburu köꞌdu kiꞌdi ꞌba Musa ni ti akiyandi ꞌba bɔ kumë lende ꞌba Bɔkoꞌba. Mako dë tuburu mo tine mako ꞌdɔ toꞌdɔ mo këdï ŋgï kɔzɔ ame lïjë kiya ne. 
MAT.5.18	Iꞌdike lende nime këdï dɔye, kɔzɔ mïtɔrɔ ni ma ti dɔyayi ame köꞌbö ꞌdeni ŋburu ne tara, gɔ bi ma titi ꞌdeki mɔtɔ di mï köꞌdu kiꞌdi nime inza kölu kɔtɔ te. Tine ŋbö koꞌdɔ rönï ko kɔzɔ ame kiya rönï ne.
MAT.5.19	Gɔ köꞌdu mo na bilaka ame kuwö dɔ köꞌdu kiꞌdi nime dë ala pele ŋge rɔ kapa ma mbowa mo mɔtɔ, kina bo kutu ya mɔtɔ ga gbï toꞌdɔ mo tara ne ti kïdëkï bo ŋgï wötï titiyi di mï ŋere löbu ꞌba Bɔkoꞌba. Kina gbï tara, bɔ ame kuwö dɔmo kina bo kutu ya mɔtɔ ga gbï toꞌdɔ mo tara ne bo ti këdï ŋgï rɔ löbu mï ŋere löbu ꞌba Bɔkoꞌba. 
MAT.5.20	Kina me miya ziye inza kɔꞌbɔke tɔdɔ mï ŋere löbu ꞌba Bɔkoꞌba ɔdɔ kiya te kogbɔke rɔye dë ŋgï laka kebe bɔ kɔmɔ kiyandi ꞌba köꞌdu kiꞌdi ni ti Parosi ni bi toꞌdɔ wa ame ga pili Bɔkoꞌba koꞌdɔkɔ ne.”
MAT.5.21	“Uwöke ꞌdeni tönë mɔlo bine, iya te, ‘Kinza koꞌdɔ röyï dë rɔ bɔ közï roma. Bɔtɔ ame kupö bilaka ti koto ŋgï mï bi ꞌba burë.’ 
MAT.5.22	Tine kina me miya ziye, bɔtɔ ame rɔ ꞌdïrï ti löndö mɔtɔ ti koꞌde ŋgï mï gɔ bi ꞌba burë. Bɔtɔ ame kiya zi löndö mɔtɔ kiya te, ‘Nï wa yawa nime,’ ti koꞌde ŋgï kɔmɔ kïtï ꞌba burë ma löbu. Bɔtɔ ame kiya zi löndö mɔtɔ kiya te, ‘Nï rumö yawa nime,’ bo irasi lende ꞌdeni ꞌdɔ tuꞌdu bo mï paꞌdo ꞌba Gehena.
MAT.5.23	Gɔ köꞌdu mo na nï bɔ mɔtɔ ɔdɔ këddï koto kpa közï ꞌbï ꞌdeni tiꞌdi mo dɔ bi ꞌba akumu zi Bɔkoꞌba kina lende mo köyö mïyï lende mɔtɔ këdï mbowa mï löŋgö ye ti löndö mɔtɔ, 
MAT.5.24	ola kpa közï ꞌbï tötï yayi kileki titi kari koteke lende nima yaga. Kina ꞌdɔ kako ꞌjaa kiꞌdi kpa közï ꞌbï zi Bɔkoꞌba. 
MAT.5.25	Ɔdɔ bɔ mɔtɔ kindaꞌba yi toto yi mï bi ꞌba burë, ote lende nima welo yaga ti bo gba kota kinza kömö mï bi ꞌba burë. Römöyï ɔdɔ kiya te kömö ꞌdeni yayi bo ëdï kiꞌdi yi ŋgï közï bɔ burë kina lïjë këdï kiꞌdi yi ŋgï közï bɔ kanya kina këdï koto yi ŋgï mï maboso. 
