MRK.1.1	Igii e tanwaran Rokap na Fafas ulo Iesu Karisito, Kalalik ke God.
MRK.1.34	Ke Iesu ka faliu ifuun e fanu ini marmarsan sasem, ma ka tel ufu ifuun e tanwa laulau. Isau le biil i somangat isi foron tanwa laulau rin use ti tier, wara le ri usum le i e seh.
MRK.1.35	Na biingbiing saksak ae pisiih biil biitom i susupiek, Iesu ka aptih ka suuh tina fel ma ka la una nenge sunbiil isi sising. 
MRK.1.36	Ke Saimon turan foron tala ri ka la isi im isi. 
MRK.1.37	Ma aunbiing ri ka tafe u, ri ka fas u aragii, “Fanu tikii ri famam im isi wo.”
MRK.1.38	Ke Iesu ka fas ri aragii, “Kere mang na ti fal e maleh ae i fatat, isi iak fafas sabin aiwa. I e wara, ia ka la uga.” 
MRK.1.39	Ke Iesu ka la tikii na falifuh na Galili. Ke ka famam fafas na foron felun lotu kiri ke ka famam tel ufu foron tanwa laulau.
MRK.1.40	Nenge kaltu ae i sem lepra i la ma ka ilepul na mata Iesu ma ka sising u aragii, “Male o ier isi, ke ok fafuuh pes iau
MRK.1.41	Iesu ka fuun ini mamais ke ka sawe lima ma ka pose lo, ma ka tarah, “Ia ier isi. On tapiek fuuh!” 
MRK.1.42	Fanpil lepra ka rop tina pununfo ke ka tapiek fuuh.
MRK.1.43	Aunbiing Iesu i wuun ufu, ka fanau u aragii, 
MRK.1.44	“Ongen u, gong o fas tikas ini sanih i tapiek lo wo. Isau le on la ma ok finngas pununfom sing pris, ke ok ta fafen kiam usuf God, arae Moses i use ta u, isi rik usum le sasem kiam ka rop tah.” 
MRK.1.45	Isau le kaltu ae ka la bin ke ka fasararah ususe na foron maleh tikii ini sanih i tapiek ta lo. I e wara ke Iesu biil mang i to la malal la na matan fanu na ti maleh. Pesu ka kiis sau na foron sunbiil, isau le fanu fuun tina marmarsan falifuh ri famam la biitom usuf i.
MRK.2.1	Fale biing namih, Iesu ka fis sabin una Kapernaum ke fanu fuun ri ka ongen u le Iesu ae mang tah na fel. 
MRK.2.2	Ke fanu fuun ri ka tapiek aiwa ma fel ka fuun. Awii sabin na matanfel biil mang ti mua. Ma Iesu ka fafas usuf ri. 
MRK.2.3	Fale fanu ri ka tapiek ini nenge peo, ma ifet lo ri, ri kep u ini sala. 
MRK.2.4	Biil i fasih rin kep u usuf Iesu wara le falifuh i fuun ini fanu. Pesu ri ka fen ubae na olon fel, ke ri ka tel nenge solsol tortores bae na olo Iesu, ke ri ka fapuh peo ae ini sala. 
MRK.2.5	Aunbiing Iesu ka par unune kiri, ka tara sing peo ae aragii, “Keng kalalik, ia ka pa ufu ta foron sinang laulau kiam.”
MRK.2.6	Fale tom fafausum ini nagogon ae ri kiis tah aiwa, ri ka kiis an wol aragii, 
MRK.2.7	“Isi sanih kaltu igii ka orek aragii? I puris God ini orek kia! Biil tikas i fasih in pa ufu sinang laulau. Biil. God keskes sau.”
MRK.2.8	Fanpil, Iesu, na tanwa ka usum tah na wolwol kiri, ke ka tara sing ri aragii, “Isi sanih ka mel e matngan wolwol arae sing gam? 
MRK.2.9	Matngan orek arafah i malmuh isi ian use u usuf peo igii, ‘ia ka pa ufu ta foron sinang laulau kiam’ le, ian tara le, ‘Aptih, kep mii salam ma ok la’? 
MRK.2.10	Ian use u aragii isi gamek usum le Kalalik ken Kaltu i mel e rakrakai kia aga na piklinbat una pa ufu foron sinang laulau.” Ke ka tara sing peo ae aragii, 
MRK.2.11	“Ia fas o, aptih, kep mii salam ma ok la una fel kiam.” 
MRK.2.12	Kaltu ae ka aptih, ka kep mii sala ke ka suuh na matri. Fanu tikii aiwa, ri ka lala bitit ke ri ka sik asa God, ma ri ka tara aragii, “Biil kere par ti matngan tier la aragii!”
MRK.2.13	Iesu ka fis sabin una baban dan kawil Galili. Ke nenge tara gur na fanu ri ka la usuf i ma ka tipes fausum ri. 
MRK.2.14	Aunbiing i tole sal la, ka par Liwai kalalik ke Alfius i kiis tah na felun kep takiis. Ke Iesu ka tara sing i aragii, “Mi lo iau.” Liwai ka aptih ke ka mi lo.
MRK.2.15	Aunbiing Iesu i ien na efef na fel ke Liwai, ifuun e foron tom kep takiis ke foron tom tel sinang laulau ri ien tura Iesu ke berberat na fafausum kia. Wara le fanu fuun ri mi lo. 
MRK.2.16	Aunbiing foron tom fafausum ini nagogon ae ri foron Farasi, ri par Iesu i ien turan foron tom kep takiis ke foron tom tel sinang laulau, ri ka diik berberat na fafausum kia aragii, “Isi sanih ka ien turan foron tom kep takiis ke foron tom tel sinang laulau?”
MRK.2.17	Iesu ka ongen u ke ka tara sing ri aragii, “Fanu ae biil ri sasem, biil rin la usuf dokta. Biil. Fanu sau ae ri sasem, ri la la usuf dokta. Biil ia la uga isi tawi foron tom tortores. Biil. Ia la isi tawi foron tom tel sinang laulau.”
MRK.2.18	Nenge aunbiing berberat na fafausum ke Jon turan foron Farasi ri fafel. Ke fal e fanu ri ka la ke ri ka diik Iesu aragii, “Arafah ke berberat na fafausum ke Jon ke berberat na fafausum ken foron Farasi ri ka fafel, isau le berberat na fafausum kiam biil?”
MRK.2.19	Ke Iesu ka fas ri aragii, “Aunbiing kaltu ae i fakekel fuuh i kiis biitom turan foron tala, arafah, i fasih rin fafel? Biil. Wara le kaltu ae i fakekel fuuh i kiis biitom tura ri, ke biil i fasih rin fafel. 
MRK.2.20	Isau le aunbiing rin lame ufu kaltu ae i fakekel fuuh koseng ri, ke na biing mang ae rik fafel.
MRK.2.21	“Biil tikas i mapmap la ini dangan kaen fuuh na olon kaen tofe. Biil. Male in tel u arae, ke dangan kaen fuuh ae in pardadat ke ik tamsih tina kaen tofe, ma in tel tamrabat ae ik laumet. 
MRK.2.22	Ke biil tikas i to wain fuuh la una luunluun dan ae ri tel u ini punun meme tofe. Biil. Male in tel u arae, ke wain fuuh ae in rabat punun meme, ke wain fuuh in bereng ke punun meme ae ik laulau. Isau le ri to wain fuuh la tom una palgan punun meme fuuh.”
MRK.2.23	Na nenge Biingen Mangeh, Iesu ka soleng foron mok na wit, ke berberat na fafausum kia ae ri la tura, ri ka lus fal e kutun wit. 
MRK.2.24	Ke foron Farasi ri ka tara sing i aragii, “Par u, isi sanih ri ka tel matngan sinang ae nagogon kirer i use u le, gong kere tel u na Biingen Mangeh?”
MRK.2.25	Ke Iesu ka kiliis ri aragii, “Biil biitom gam wes ususe na sanih Dewit i tel ta u, aunbiing i turan fanu ae ri batme u ri fitol, ma biil ti inen ari? 
MRK.2.26	Na aunbiing Abiatar i laulaumet na pris, Dewit ka kau una fel ke God ke ka ien foron beret ae ri ka ta ta u arae fafen usuf God, ke ka fen fanu sabin ae ri batme u ini fal. Na nagogon, foron pris sau i fasih rin ien u.”
MRK.2.27	Ke Iesu ka fas ri sabin aragii, “God i fakiis Biingen Mangeh una lupes fanu, biil i fakiis fanu una lupes Biingen Mangeh. Biil. 
MRK.2.28	Pesu, Kalalik ken Kaltu i e Kumguui sabin na Biingen Mangeh.”
MRK.3.1	Nenge aunbiing sabin, Iesu ka kau una felun lotu, ma nenge kaltu aiwa, i met e nenge lima. 
MRK.3.2	Fal e fanu aiwa, ri famam im sal una tiu Iesu, ke ri ka lala luun matri lo Iesu isi rin par u le in faliu kaltu ae na Biingen Mangeh. 
MRK.3.3	Ke Iesu ka tara sing kaltu ae i met e nenge lima aragii, “Sotih aga na famu.”
MRK.3.4	Ke Iesu ka diik ri aragii, “Sanih nagogon kirer i mangte kerer isi keren tel u na Biingen Mangeh? Keren tel rokap na sinang le keren tel sinang laulau, keren fafaliu le keren siisiimete?” Isau le biil ri use ti tier.
MRK.3.5	Iesu ka par ri la, ke bala ka kut. Ka par balri i arae fat ke ka mais ri, ke ka tara sing kaltu ae aragii, “Sawe limam.” Kaltu ae ka sawe u, ke lima ka rokap fis. 
MRK.3.6	Ke foron Farasi ri ka suuh tina felun lotu, ke ri ka kiis turim turan foron tala Erot ke ri ka tipes put orek isi siimete Iesu.
MRK.3.7	Ke Iesu turan berberat na fafausum kia ri ka kang koseng falifuh ae ke ri ka la una baban dan kawil Galili, ke tara gur na fanu tina Galili ri ka mi lo. 
MRK.3.8	Aunbiing ri ongen sanih ae Iesu i tel u, ke fanu fuun ri ka la usuf i tina foron falifuh na Iudaia, Ierusalem, Idumea ke na nenge bulin dan na Ioridan ke na foron falifuh kawil Tair ke Saidon. 
MRK.3.9	I wara na tara gur na fanu aiwa, ke Iesu ka fas berberat na fafausum kia le rin geges ini ti mon usuf i, isi fanu gong ri sit u. 
MRK.3.10	Iesu ka faliu ta fanu fuun, pesu fanu ae ri sasem ri ka famam sipsip solsol isi le rin sigil u. 
MRK.3.11	Ma na aunbiing fanu ae i mel e tanwa laulau lo ri, ri par pes Iesu la, ri ilepul la na mata ke ri ka ngangeh la aragii, “O Kalalik ke God!” 
MRK.3.12	Isau le Iesu i tikale foron tanwa laulau la, le gong ri use u le i e seh.
MRK.3.13	Iesu ka tatkau na baban nenge pungpung ke ka tawi pes fanu ae i ier isi ri, ke ri ka la usuf i. 
MRK.3.14	Ke ka tim pes sangful ini u e kalalik na fafausum ae ka foteng ri ini foron aposel. I tim pes ri, isi rin kiis tura, ma ik wuun ri isi fafas ini orek ke God, 
MRK.3.15	ma ik mel e rakrakai kiri una tel ufu foron tanwa laulau. 
MRK.3.16	Igii e sangful ini u e aposel ae Iesu i tim pes ta ri: Saimon ae Iesu ka foteng u ini Pita, 
MRK.3.17	iun kalalik ke Sebedi, Jems ru latualik e Jon, Iesu ka ta as ruh ini Boanerges, kamtinan orek ae le, iun kalalik tina pah. 
MRK.3.18	Ke Enru, Pilip, Batalomiu, Metiu, Tomas, Jems kalalik ke Alfius, Tadius, Saimon nenge Silot
MRK.3.19	ke Iudas Iskariot ae in ta ufu Iesu una liman tuui.
MRK.3.20	Namih Iesu ka fis una fel, ke gur na fanu ri ka tapiek turim sabin, pesu Iesu turan berberat na fafausum kia biil i fasih rin ien. 
MRK.3.21	Aunbiing fanu lo, ri ka ongen u arae, ri ka ier isi rin lame pes u, ke ri ka tara aragii, “Ka talos tah.”
MRK.3.22	Ke fal e tom fafausum ini nagogon ae ri la tah tina Ierusalem ri ka tara aragii, “Belsebul i e laulaumet ken foron tanwa laulau ae i susuef ulo, ma ka ta rakrakai sing i una tel ufu foron tanwa laulau.”
MRK.3.23	Iesu ka tawi pes ri, ke ka fas ri ini fal e orek fatoftof aragii, “Arafah Satan in tel ufu Satan arae? 
MRK.3.24	Male nenge matanfuntih in fapaket fis tom ini, matanfuntih ae arafah in rakrakai arae? 
MRK.3.25	Male fanu tina nenge matanfel ri fapaket fis tom ini ri, fanu tina matanfel ae biil mang rin kiis turim. 
MRK.3.26	Ke, male Satan in fapaket fis tom ini, ke fanu kia ri ka tampaek, ke matanfuntih kia biil i fasih in ti dolo, biil. In rop sau. 
MRK.3.27	Biil tikas i fasih in kau na fel ken nenge rakrakai na kaltu isi ik sukuum foron minmara, male biil i kabet famu kaltu ae. In kabet famu u, ke namih ik suksukuum na fel kia. 
MRK.3.28	Tekentu kanaka, ia fas gam, God in pa ufu foron sinang laulau tikii ke foron orek laulau tikii ae fanu rin tel u. 
MRK.3.29	Isau le seh i orek laulau ulon Tanwa Kalkaluu, God biil in to pa ufu sinang laulau ae. Biil. Sinang laulau ae in kiis fitliu.”
MRK.3.30	Iesu i use u arae, wara le ri tara le, “Imel e tanwa laulau lo.”
MRK.3.31	Namih, tina Iesu ke foron tualik ri ka tapiek. Ri ka sotih awii na maleh ke ri ka fawuun isi Iesu. 
MRK.3.32	Tara gur na fanu ri kawil ta Iesu, ke ri ka fas u aragii, “Par u, tinam ke foron tuamlik ri ae na maleh, ma ri ier isi rin par o.”
MRK.3.33	Ke Iesu ka diik aragii, “Seh e tinang ke fanseh e foron tuaklik?”
MRK.3.34	Ka par fanu ae ri kiis kawil ta u ke ka tara aragii, “Par u, igii e tinang ke foron tuaklik! 
MRK.3.35	Seh sau i mi na wolwol ke God, i e tuaklik ke feneklik ke tinang.”
MRK.4.1	Iesu ka tipes tel fafausum sabin na baban dan kawil Galili. Gur na fanu ae ri kawil ta u, ri fuun kanaka, pesu ka wof na nenge mon ke ka kiis lo na dan ma fanu tikii ri tinawii na baban dan. 
MRK.4.2	Ke ka use ifuun e orek fatoftof una fausum ri. Na fafausum kia, ka tarah, 
MRK.4.3	“Ongen u! Nenge tom soso i la isi saprai kutun wit. 
MRK.4.4	Aunbiing i sapsaprai, fal ka luut tole sal, ke foron man ri ka wofpiek ke ri ka ien tikii u. 
MRK.4.5	Fal ka luut na olon fatfat, ae biil i laumet e nanal wah. Ka rarau sape, wara le nanal biil i laumet. 
MRK.4.6	Isau le aunbiing pisiih i popos, ka pose ri ke ri ka mang, wara le bauli ri biil i laumet. 
MRK.4.7	Fale kutun wit ri luut na porpor tingting. Aunbiing tingting i kuum, ka rarau kale foron wit ae ke biil ri fua. 
MRK.4.8	Isau le fal e kutun wit ri luut na nanal rokap. Ri ka kuum, ma ri ka laumet ke ri ka fua. Fal i tuul e sangful e fua, fal i won e sangful e fua ma fal i fasih aragii nenge mar e fua.”
MRK.4.9	Ke Iesu ka tara aragii, “Seh i mel e balbalu, i rokap le in wong ini.”
MRK.4.10	Namih, aunbiing Iesu keskes mang aiwa, ke sangful ini u e kalalik na fafausum kia turan fal e fanu, ri ka diik u isi foron orek fatoftof ae. 
MRK.4.11	Ke ka fas ri aragii, “God ka finngas ta gam ini foron orek ae i kum na matanfuntih kia, ke gam ka malal ta lo. Isau le fanu ae ri kiis na maleh, ri ongen foron orek tikii arae foron orek fatoftof sau, 
MRK.4.12	isi,
MRK.4.12	“‘rin par ma rik par, isau le biil tom rin par failiim ti tier,
MRK.4.12	ke rin wong ma rik wong, isau le biil tom rin ongen failiim ti tier,
MRK.4.12	tarama ri ka kiliis liu kiri, ke God ka pa ufu foron sinang laulau kiri!’”
MRK.4.13	Ke Iesu ka tara sing ri aragii, “Arafah, biil gam malal na orek fatoftof igii? Ke arafah gamen malal arae na ti fal e orek fatoftof sabin? 
MRK.4.14	Kutun wit ae kaltu i saprai u, i e orek ke God. 
MRK.4.15	Foron kutun wit ae i luut tole sal, ri ae fanu ae ri ongen orek. Isau le aunbiing tom ae ri ongen u, Satan i tapiek ke ka tel ufu orek ae tina balri. 
MRK.4.16	Fal, ri arae kutun wit ae ri luut na olon fatfat, ri ongen orek ke ri ka somangat pes u ini laes. 
MRK.4.17	Isau le biil ri ti dolo, arae wit ae bauli biil i laumet. Aunbiing tatawin i tafe ri, le fanu ri ta fangungut sing ri, i wara na orek ke God, ke ri ka luut sape. 
MRK.4.18	Ke fal e fanu, ri arae kutun wit ae ri luut na porpor tingting. Ri ongen orek ke God, 
MRK.4.19	isau le ri mamais kanaka isi foron tier tinaga na piklinbat, ma sinangun ier isi in fuun e minsik i fabal ri, ke wolwol isi fal e tier sabin ka tapiek ke ka aung orek ke God, arae tingting i rarau kale wit, ke biil ri fua. 
MRK.4.20	Ma fal, ri arae kutun wit ae ri luut na rokap na nanal, ri ongen orek ke God ke ri ka somangat pes u. Rin arae wit ae ri luun ituul e sangful, le i won e sangful ke fal i fasih aragii nenge mar e fua ri.”
MRK.4.21	Ke Iesu ka tara sing ri aragii, “Arafah, gam kep fakau lam la ke gam ka luun u la na piklin paket le na piklin luuf? Biil. Gam luun u la tom na sala. 
MRK.4.22	Isi foron sanih ae i kiis mumun tah, ik tapiek na malal, ke sanih ae i kiis kum tah ik tapiek malal. 
MRK.4.23	Seh i mel e balbalu, i rokap le in wong ini.”
MRK.4.24	Iesu ka fas ri sabin aragii, “Gamen wol papte sanih ae gam ka ongen ta u. Matngan fafen ae gam ta ta u, i sau e matngan fafen ae gamen kep fafis u, ma God in ta in fuun biitom usuf gam. 
MRK.4.25	Le kaltu ae ka mel tah e fal e tier sing i, God in ta in fuun biitom sing i. Isau le kaltu ae biil ti tier sing i, fabiro ae sing i, God in tel ufu.”
MRK.4.26	Ke Iesu ka use u sabin aragii, “Matanfuntih ke God ifasih arae nenge kaltu i saprai kutun wit na olon nanal. 
MRK.4.27	Na wor i borong la ma na siat ka mat la, foron kutun wit ae ka rarau ke ri ka kuum, isau le kaltu ae biil i to usum le ri kuum arafah. 
MRK.4.28	Nanal tom i tel kutun wit ka kuum ke namih ka fua. I luun famu kubu, namih ka sia ke ka luun fua. 
MRK.4.29	Aunbiing wit ka matuk, ke kaltu ae ka pakat turim u, wara le ka taul mongor mang.”
MRK.4.30	Iesu ka tara sabin aragii, “Sanih keren fatof matanfuntih ke God ini, le matngan orek fatoftof arafah keren tel u? 
MRK.4.31	Ifasih arae kutun mastet ae i fabiro na foron kutun au tikii ae ri so u na nanal. 
MRK.4.32	Isau le aunbiing ri ka so ta u, ka kuum ma ka liu ufu foron au tikii na palgan mok. Ma foron man na mua ri ka tel polpolo ri na piran aka ae i mel e malmaluu lo.”
MRK.4.33	Iesu i use ifuun e matngan orek fatoftof ae i fafasih usuf ri, ae i fasih na wolwol kiri. 
MRK.4.34	Biil i fas ri la ini ti fal e orek sabin, biil, i fas ri la sau ini foron orek fatoftof. Isau le aunbiing i keskes mang turan berberat na fafausum kia, ke ik fas ri la mang ini foron kamtinan orek fatoftof tikii.
MRK.4.35	Na efef tom lo e biing ae, Iesu ka fas berberat na fafausum kia aragii, “Kere mang una nenge bulin dan kawil.” 
MRK.4.36	Ke ri ka la koseng tara gur na fanu aiwa, ma ri ka wof na mon ae Iesu tinaiwa mang lo, ke ri tikii ri ka la. Fal e mon sabin ri ka la turim tura ri. 
MRK.4.37	Nenge tara kif ka aptih ke panaf ka tamket na palgan mon, ma fatat ik dom. 
MRK.4.38	Iesu tinawii na min mon, i luun paklu na nenge koskosngoi, ma ka masun. Ke berberat na fafausum ri ka famat u, ma ri ka fas u aragii, “Tom fafausum! Arafah, biil o wol lo kerer? Fatat kerek kong!”
MRK.4.39	Iesu ka aptih ke ka tikale kif, ma ka fas panaf aragii, “Mangeh! Ma ok siaroh!” Ke ka met e kif ma ka siaroh.
MRK.4.40	Ke Iesu ka fas berberat na fafausum kia aragii, “Isi sanih gam ka lala sokeh? Arafah, biil biitom ti unune kimi?”
MRK.4.41	Ri ka lala sokeh ma ri ka fadiik faliu ini ri tom aragii, “Matngan kaltu arafah igii? Kif turan panaf ru wong sing i!”
MRK.5.1	Namih ri ka masah na nenge bulin dan kawil na nanal ken fan Gerasa. 
MRK.5.2	Aunbiing Iesu ka wof puh tina mon, nenge kaltu ae tanwa laulau i susuef lo, ka suuh tina foron matanfat una luun minet ma ka tafe u. 
MRK.5.3	Kaltu ae i borong la na foron matanfat ae. Biil mang tikas i fasih in kabet u, taftawa le ini sen. 
MRK.5.4	Wara le ri kabet iun lima la ke iun keke la ini sen, isau le in tiifamut sen tina iun lima ke ik bayi aen tina iun keke. Biil tikas i fasih in famo u. 
MRK.5.5	Na foron wor ke na foron siat, i kiis la na foron matanfat ae, ke na foron pungpung. I ngangeh la ma ka kiitkiit fafis pununfo la tom ini fat.
MRK.5.6	Aunbiing i par pes Iesu tina tapak, ka filau, isi ke ka ilepul na mata. 
MRK.5.7	Ke ka tautau rakrakai aragii, “Iesu, Kalalik ke God buui kanaka na mawe! Sanih on tel u ini iau? Falimlim ini asa God le biil on to ta fangungut sing iau!” 
MRK.5.8	Ka use u arae, wara le Iesu ka fas ta u aragii, “Tanwa laulau, suuh koseng kaltu igii!”
MRK.5.9	Ke Iesu ka diik u aragii, “Seh asam?”
MRK.5.9	Ka kiliis u aragii, “Asang e Legion,
MRK.5.10	Ma ka famam sising Iesu le gong i wuun ufu ri koseng falifuh ae.
MRK.5.11	Nenge tara u na boh ri suupsuup la na baban nenge pungpung fatat. 
MRK.5.12	Ke foron tanwa laulau ae ri ka sising Iesu aragii, “Wuun ufu kemem una foron boh ae isi kemek susuef ulo ri.” 
MRK.5.13	Ke Iesu ka somangat ufu ri. Foron tanwa laulau ri ka la koseng kaltu ae, ke ri ka susuef una foron boh. Foron boh ae ri ka filau puh na nenge bolonfam una dan kawil ma ri ka kong. Wewes tikii na foron boh ae, i fasih aragii iwu e arip.
MRK.5.14	Foron tom fofonoi na boh ri par sanih ae i tapiek tah, ke ri ka fin ma ri ka use u na tara maleh, ke na birbiron maleh. Ma fanu tikii ri ka la ma ri ka par sanih ae i tapiek tah. 
MRK.5.15	Aunbiing ri ka tapiek sing Iesu, ri ka par kaltu ae foron tanwa laulau ri susuef tah ulo ka kiis ta mang ini kaen na pununfo ma wolwol kia ka malal tikii. Ma ri ka sokeh tikii. 
MRK.5.16	Fanseh ae ri par ta sanih ae i tapiek tah, ri ka fas fanu tikii ini tier ae i tapiek tah lon kaltu ae tanwa laulau i susuef ta ulo. Ke ri ka fas ri sabin ini foron boh. 
MRK.5.17	Ri ka ongen u arae, ke ri ka sising Iesu isi in la koseng falifuh kiri.
MRK.5.18	Aunbiing Iesu ka ier isi wof na mon, kaltu ae Iesu i tel ufu ta tanwa laulau lo, ka sising u le in la tura. 
MRK.5.19	Iesu biil i somangat pes u, isau le ka fas u aragii, “Fis una fel kiam, ma ok fas fanu lo wo ini foron tier laumet ae Kumguui i tel ta u lo wo, ma ini famais kia una aisam.” 
MRK.5.20	Ke kaltu ae ka la ma ka tipes fafas na Dekapolis ini sanih ae Iesu i tel ta u lo. Ma fanu tikii ri ka bitit.
MRK.5.21	Iesu ka sopaket dan kawil sabin ini mon una nenge baba. Aunbiing i tinaiwa biitom na baban dan, nenge tara gur na fanu ri ka kawil u. 
MRK.5.22	Ke nenge famfamu tina felun lotu, asa e Jairus ka la unaiwa. Ka par Iesu ma ka ilepul na mata. 
MRK.5.23	Ma ka sising Iesu ini wolwol tikii kia aragii, “Fabiro keleflik kiak fatat ik met. Kiskam, la ma ok luun limam lo isi ik liu.” 
MRK.5.24	Ke Iesu ka la tura.
MRK.5.24	Ma nenge tara gur na fanu ri ka mi lo, ke ri ka faruruh nami. 
MRK.5.25	Nenge fifin aiwa i sem dah i fasih aragii sangful ini u e bet. 
MRK.5.26	Fifin ae ka kalsakai ta piran fangungut na liman ifuun e dokta, ma ka farop tikii ta pitkalang kia, isi le in liu, isau le sasem kia ka laulaumet la. 
MRK.5.27	Ka ongen ta ususe lo Iesu, pesu ka sipsip solsol na fatpoton gur ae tina mi Iesu ma ka sigil boboh kia. 
MRK.5.28	Wara le i wol aragii, “Male ian sigil boboh kia sau, ke ian liu.” 
MRK.5.29	Aunbiing ka sigil boboh ke Iesu, fanpil dah ka mas. Ke ka usum le sasem kia ka rop.
MRK.5.30	Fanpil, Iesu ka usum tah le, fal e rakrakai tina pununfo ka mangmangal tah koseng u. Ka giliim fis na fatpoton gur ae, ma ka diik aragii, “Seh i sigil boboh kiak?”
MRK.5.31	Berberat na fafausum kia ri ka kiliis u aragii, “O par tara gur na fanu ri kawil o. Arafah o ka diik le, ‘Seh i sigil iau?’”
MRK.5.32	Isau le Iesu ka parpar la biitom isi seh i sigil ta u. 
