MAT.1.1	Libri i gjeneallogjisë Iesu Krishtit, birit Davidit, birit Abrahamit.
MAT.4.18	Edhe Iesui tue ecunë ndaj detin’ e Galilesë, pa dy vëllazën, Sinominë qi thohei Pietër, edhe Andrenë të vëllan’ e ati, tue hedhunë rretënë në det, sepse ishinë peshkatorë.
MAT.4.19	Edhe u thot’ atyneve: Ejani mbas meje, edhe kam me u bamë juve peshkatorë nierëzish.
MAT.4.20	Edhe ata përnjiherë lanë rretatë, e i votnë mbrapa.
MAT.4.21	Edhe porsa shkoi përpara prei andyi, pa dy vëllazën të tierë, Iakobinë 
MAT.4.22	Edhe ata përnjiherë lanë lundrën’ edhe të i atin’ e vet, e i votnë mbrapa.
MAT.4.23	Edhe Iesui shkonte rreth gjithë Galilesë, tue mësuem ndëpër synagogat e atyneve, edhe tue predikuem ungjillin’ e mbëretënisë, edhe tue shëndoshunë çdo farë sëmundëje, e çdo farë lingate ndër popullinë.
MAT.4.24	Edhe i shkoi zani ndëpër gjithë Syrinë, edhe bijshinë tek ai gjith’ ata qi kishinë keq, përmbaitunë prei çdo farë sëmundëjesh e mundimesh, edhe të diallosunë, e të zanë prei lingatësë hanësë, e ulogë, edhe i shëndoshi.
MAT.4.25	Edhe i votnë mbrapa shumë gjindëje prei Galilesë e prei Dekapolit, e prei Ierusalemësë, e prei Iudesë, e prei përtej Iordanit.
MAT.5.1	Edhe 
MAT.5.2	Edhe 
MAT.5.3	Lum 
MAT.5.4	Lum ata qi bajnë vajë, sepse ata kanë me u ngushulluem.
MAT.5.5	Lum ata qi janë të butë, sepse ata kanë me trashiguem dhenë.
MAT.5.6	Lum ata qi kan’ u e et 
MAT.5.7	Lum ata qi janë të përdëllyeshim, sepse ata kanë me u përdëllyem.
MAT.5.8	Lum ata qi janë të këthiellëtë ndë zemërë, sepse ata kanë me pamë Perëndinë.
MAT.5.9	Lum ata qi janë paqtim-bamës, sepse ata kanë me u queitunë të bijt’ e Perëndisë.
MAT.5.10	Lum ata qi ndiqenë për punë të dreitënisë, sepse e atyneve ashtë mbëretënia e qillvet.
MAT.5.11	Të lumunë jeni 
MAT.5.12	Gëzohi, e gazmohi, sepse paga juei 
MAT.5.13	Ju jeni kryp’ e dheut, por ndë u prishtë krypa, me se do të krypetë? Kurgja ma s’vëjen, veç me u hedhunë jashtë, e me u shkelunë prei nierëzish.
MAT.5.14	Ju jeni drit’ e botësë. S’mundetë me u pshefunë nji qytet qi ashtë sipër malit.
MAT.5.15	As nukë ndezinë kandil, edhe e venë ndënë hu 
MAT.5.16	Kështu le të ndrisi drita juei përpara nierëzëvet, qi të shofinë vepëratë tueja të miratë, e të lavdojn’ Atinë tuei, qi ashtë ndë qiellt.
MAT.5.17	Mos kujtoni se kam ardhunë me prishunë ligjënë, a profetënitë; nukë kam ardhunë me prishunë, por me mbushunë.
MAT.5.18	Sepse për të vërtet po u thom juve, deri sa të shkojë qielli edhe dheu, nji iota a nji pikë s’ka me shkuem prei ligjësë, deri sa të bahenë të gjitha.
MAT.5.19	Ai pra qi të sgjidhi nji prei këtyne të vocërravet porosivet, edhe të mësojë kështu nierëzitë, i vocërr ka me u queitunë ndë mbëretënit të qillvet, por ai qi të bajë, e të mësojë, kyi ka me u queitun’ i madh ndë mbëretënit të qillvet.
MAT.5.20	Sepse po u thom juve, se ndë mos u teproftë juve dreitënia ma tepërë se Shkruisavet, e Farisevet, s’keni me hymë ndë mbretënit të qillvet.
MAT.5.21	Ndëgjuetë se ashtë thanë mbë të moçimit: “Mos vrasish”; edhe ai qi të vrasi do të jetë fajtuer ndë gjyq,
MAT.5.22	por unë po u thom juve, se kushdo qi zemërohetë kot me të vëllan’ e vet, do të jetë fajtuer ndë gjyq; edhe ai qi t’i thotë të vëllait vet: Raka (i kotë), do të jetë fajtuer ndë bashkë-ndeitëjet; edhe ai qi të thotë: I marrë, do të jetë fajtuer 
MAT.5.23	Ndë prufsh pra dhunëtinë tande ndë theroret, edhe atie kujtohe se yt vëlla diç ka kundrë teje,
MAT.5.24	len’ atie dhunëtinë tande përpara theroresë, edhe shko, e paqtohu ma përpara me tyt vëlla; edhe atëherë si të vijsh, bierë dhunëtinë tande.
MAT.5.25	Ndrequ me kundrë-gjyqësinë tand shpeit, deri sa të jesh mb’udhë bashkë me atë; druise kundrë-gjyqësi mos të napi n’dorë gjyqtarit, edhe gjyqtari të nep n’dorë shërbëtorit, e do të hidhesh ndë burk.
MAT.5.26	Për të vërtet po të thom: S’ke me dalë prei andyi, deri sa të napish të mbrapmin’ astër.
MAT.5.27	Ndëgjuetë se ashtë thanë mbë të moçimit: “Mos kurvënojsh”,
MAT.5.28	por unë po u thom juve, se kushdo qi ve ore grue me dëshërim e ka kurvënuem tashti ndë zemërët të vet.
MAT.5.29	Ndë të shkandalizoftë syni yt i diathti, nxire, e hidhe prei teje, sepse të bie ma mirë me hupunë nji prei copash korpit tand, edhe të mos hidhetë gjithë korpi yt ndë xhehenem.
MAT.5.30	Edhe ndë të shkandalizoftë dora jote e diathta, preje, edhe hidhe prei teje, sepse të bie ma mirë me hupunë nji prei copash korpit tand, edhe të mos hidhetë gjithë korpi yt ndë xhehenem.
MAT.5.31	Edhe ashtë thanë, se kush të lishojë gruen’ e vet, le t’i napi letrën’ e së damesë.
MAT.5.32	Por unë po u thom juve, se ai qi të lishojë gruen’ e vet, përveç fjalë kurvënie, ban atë me kurvënuem; edhe ai qi të marri grue të lishueme, kurvënon.
MAT.5.33	Përsëri ndëgjuetë se ashtë thanë mbë të moçmit: “Mos bajsh be mbë rrenë, por t’i napish mbrapa Zotit bet’ e tua.”
MAT.5.34	Por unë po u thom juve: Mos me bamë be kreit, as për qiell; sepse ashtë shkamb’ i Perëndisë;
MAT.5.35	as për dhe, sepse ashtë vendi qi ven kambët’ e veta; as për Ierusalemë, sepse ashtë qytet’ i mbëretit math;
MAT.5.36	as për kryet tat të mos bajsh be, sepse s’mundesh me bamë nji qime të bardhë, a të zezë.
MAT.5.37	Por qoftë fjala juei: Po, po; Jo, jo, sepse e tepër’ e këtyneve ashtë prei së keqit.
MAT.5.38	Ndëgjuetë se ashtë thanë: “Sy ndë vend të synit, edhe dhamp ndë vend të dhambit”,
MAT.5.39	por unë po u thom juve: Mos me i dalë kundrë të keqit,
MAT.5.40	por ai qi të bierë tyi nji shuplakë fulqisë s’ate së diathtësë, këthei ati edhe tietrënë.
MAT.5.41	Edhe ai qi do me u gjukuem me tyi, e me marrë këmishënë tande, len’i ati edhe petkunë.
MAT.5.42	Edhe ai qi të marri tyi angari nji mil, ecë bashkë me ate dy.
MAT.5.43	Nepi ati qi lypën prei teje, edhe mos i këthe fjalënë mbë-nj-anë ati qi do të huhetë prei teje.
MAT.5.44	Ndëgjuetë se ashtë thanë: “Të duesh fëqinë tand, edhe të kesh mëni anëmikunë tand”, por unë po u thom juve: Doni anëmiqtë tuei, bekoni ata qi u mallëkojnë, bani mirë atyneve qi u kanë mëni, edhe faluni për ata qi u bajnë dam, e u ndiekinë,
MAT.5.45	qi të baheni të bijt’ e Atit tuei qi ashtë ndë qillt; sepse ai ban diellin’ e vet me lemë mbi të këqij e mbi të mirë, edhe lishon shinë mbi të dreit’ e mbi të shtrembëtë.
MAT.5.46	Sepse ndë daçi ata qi u duenë juve, çfarë page keni? Nukë bajnë këte edhe publikanëtë?
MAT.5.47	Edhe ndë përshëndetshi veç vëllazënitë tuei, qish ma tepërë bani? Nukë bajnë kështu edhe publikanëtë?
MAT.5.48	Ini pra ju të kulluem, sepse Ati juei ndë qillt asht’ i kulluem.
MAT.6.1	Shikoni mos me bamë lëmoshënësë tuei përpara nierëzish, qi të shifeni prei atyneve, sepse ndë qoftë, nukë keni pagë prei Atit tuei, qi ashtë ndë qillt.
MAT.6.2	Kur të bajsh pra lëmoshënënë, mos vëshkëllojsh përpara teje, sikurse bajnë hipokritëtë ndëpër synagogat e ndëpër vromet, për me u lavduem prei nierëzish. Për të vërtet po u thom juve, 
MAT.6.3	Por ti kur të bajsh lëmoshënënë, le të mos e marri vesht e rrëmakta jote,
MAT.6.4	se qish ban e diathta jote, qi të jetë lëmoshëna jote pshefas; edhe yt Atë qi shikon pshefas, ai ka me ta paguem mballa-faqe.
MAT.6.5	Edhe kur të falesh, mos ij porsi hipokritëtë, sepse 
MAT.6.6	Por ti, kur të falesh, hynë ndë shtëpit tande, edhe mbyll derënë tande, e iu fal t’yt et qi ashtë pshefas, edhe yt Atë qi shikon pshefas, ka me ta paguem mballa-faqe.
MAT.6.7	Edhe kur të faleni, mos thoni fjalë të tepëra, porsi gjintarëtë, sepse 
MAT.6.8	Mos u përgjani pra atyneve, sepse Ati juei e di se qish u lypsetë juve, para se të lypni prei ati.
MAT.6.9	Kështu pra faluni ju: Ati ynë qi 
MAT.6.10	Arthtë mbëretënia jote. U baftë dashunimi yt, si ndë qiell, edhe mbë dhet.
MAT.6.11	Bukënë t’onë të përditshëmen’ epna neve sot.
MAT.6.12	Edhe falna detyrëtë t’ona, sikurse edhe na u falim detorëvet t’anë.
MAT.6.13	Edhe mos na shtierë ndë ngasëje, por shpëtona prei së keqit, sepse jotëja ashtë mbëretënia, edhe fuqia, edhe lafti ndë jetë 
MAT.6.14	Sepse ndë ua falshi nierëzëvet fajet’ e atyneve, ka me ua falun’ edhe juve Ati juei qiellori,
MAT.6.15	por ndë mos ua falshi nierëzëvet fajet’ e atyneve, as Ati juei s’ka me u falunë fajetë tueja.
MAT.6.16	Edhe kur të agjinoni, mos bahi të vranëtë porsi hipokritëtë, sepse 
MAT.6.17	Por ti, kur të agjinojsh, lyei kryetë tat, edhe lai faqet’ e tua,
MAT.6.18	qi të mos dukesh te nierëzitë se agjinon, por te yt Atë qi ashtë pshefas; edhe yt Atë qi shikon pshefas, ka me ta paguem mballa-faqe.
MAT.6.19	Mos mbëlithni thesorë mbë dhet për ju, 
MAT.6.20	por mbëlithni thesore ndë qiell për ju, 
MAT.6.21	Sepse ku të jetë thesori juei, atie ka me qenun’ edhe zemëra juei.
MAT.6.22	Drit’ e korpit ashtë syni, ndë qoftë pra syni yt i këthiellëtë, gjithë korpi yt ka me qenun’ i ndritshim,
MAT.6.23	por ndë qoftë syni yt i keq, gjithë korpi yt ka me qenun’ i errëtë; ndë qoftë pra se drita qi gjindetë mbë tyi, asht’ errësinë, errësina sa e madhe 
MAT.6.24	Kurkushi s’mundetë me u shërbyem dy zotënive, sepse a njianinë do ta ketë mëni, edhe tietërinë do ta detë; a njianit ka me i shkuem mbrapa, edhe tietërit ka me i këthyem shpinënë; nukë mundeni me i shërbyem Perëndisë, edhe mammonait.
MAT.6.25	Prandai po u thom juve: Mos kini gaile për jetënë tuei, qish të hani, e qish të pini; as për korpinë tuei, qish të vishni. A nuk’ ashtë jeta ma e ndershime se ushqimi, edhe korpi se të veshunitë?
MAT.6.26	Veni ore shpendët’ e qiellit, se nukë mbiellin’, as nukë korrin’, as nukë mbëledhinë ndë grunarë, edhe Ati juei qiellori i ushqen. A nukë dani ju ma tepërë se ata?
MAT.6.27	Por cilli prei jush, tue pasunë gaile, mundetë me shtuem nji kut ndë shtat të vet?
MAT.6.28	Edhe ç’gaile keni për të veshunit? Veni ore zambakët’ e arësë si rritenë, 
MAT.6.29	por u thom juve, se as Solomoni, me gjithë laftin’ e vet, nukë qe veshunë porsi nji prei kësosh.
MAT.6.30	Por ndë qoftë se barin’ e arësë, qi sot ashtë, edhe nesërë hidhetë ndë furrë, Perëndia e vesh kështu, a nukë 
MAT.6.31	Mos kini gaile pra, tue thanë: Qish të hamë, a qish të pimë, a qish të veshimë?
MAT.6.32	Sepse gjithë këto i lypinë kombetë, sepse Ati juei, qiellori, e di se keni nevojë për gjithë këto.
MAT.6.33	Por lypni ma përpara mbëretënin’ e Perëndisë, edhe dreitënin’ e ati, edhe këto të gjitha do t’u shtohenë juve.
MAT.6.34	Mos kini gaile pra për të nesërmenë; sepse e nesërmeja ka me pasunë gaile për punët e veta. Miaft 
MAT.7.1	Mos gjukoni, qi të mos gjukoheni.
MAT.7.2	Sepse me çfarë gjukimi gjukoni, keni me u gjukuem, edhe me çfarë matësi matni, kanë me u matunë juve përsëri.
MAT.7.3	Edhe përse shikon teshënë qi ashtë ndë sy t’yt vëlla, edhe tranë qi ashtë ndë sy tand nuk’ e ndien?
MAT.7.4	A si ke me i thanë t’yt vëlla: Le të nxier teshënë prei synit tand, edhe qe trau 
MAT.7.5	Hipokrit, nxir ma përpara tranë prei synit tand, edhe atëherë do të shofish mirë me nxierrë teshënë prei synit t’yt vëlla.
MAT.7.6	Mos ipni gjan’ e shenjtënueme qenvet, as mos hidhni margaritarët tuei përpara thivet; drujse mos i shkelinë me kambët e tyne e mbasandai këthehen’ e shkelin 
MAT.7.7	Lypni, edhe do t’u ipetë juve; kërkoni, edhe keni me gjetunë; trakulloni, edhe do t’u çiletë juve.
MAT.7.8	Sepse kushdo qi lypën merr; edhe ai qi kërkon gjen; edhe ati qi trakullon, do t’i çiletë.
MAT.7.9	A cilli asht ai nieri prei jush, ndë lypt’ i biri bukë, mos ka me i dhanë gur?
MAT.7.10	Edhe ndë lyptë peshk, mos ka me i dhanë gjarpën?
MAT.7.11	Ndë qoftë pra se ju qi jeni të këqij, dini me u dhanë dhana të mira dielmvet tuei, sa më tepër’ Ati juei, qi ashtë ndë qillt, ka me u dhanë të mira atyneve qi lypinë prei ati?
MAT.7.12	Gjithë sa doni pra me u bamë juve nierëzitë, kështu bani edhe ju atyneve, sepse këjo ashtë ligja edhe profetënitë.
MAT.7.13	Hyni ndëpër derë të ngushtë, sepse e gjan’ 
MAT.7.14	sepse e ngusht’ 
MAT.7.15	Edhe ruhi prei profet-rrenësish, të cilltë vinë te ju me të veshunë dhensh, por përmbrenda jan’ ujq’ të rrëmbyeshim.
MAT.7.16	Keni me i ngjofun’ ata prei pemëvet veta: mos mbledhinë rrush prei drizash, a fiq prei murrizash?
MAT.7.17	Kështu çdo dru e mirë ban pemë të mira, por druj’ e keqe ban pemë të këqia.
MAT.7.18	Druj’ e mirë s’mundetë me bamë pemë të këqia, as druj’ e keqe me bamë pemë të mira.
MAT.7.19	Çdo dru qi s’ban pemë të mirë, këputet’ e hidhetë ndë ziarrm.
MAT.7.20	E pra keni me ngjofun’ ata prei pemësh atyne.
MAT.7.21	Jo kushdo qi më thotë: Zot, Zot, ka me hymë ndë mbëretënit të qillvet; por ai qi ban dashunimin’ e tim et qi 
MAT.7.22	Shumë 
MAT.7.23	Por atëherë kam me u rrëfyem atyneve. Se kurrë s’u kam ngjofunë juve; ikni prei meje, ju qi keni punuem pa ligjë.
MAT.7.24	Kushdo pra qi ndëgjon këto fjalët’ e mia, edhe i ban, kam me e përgjaitunë me nji nieri të mençunë, i cilli koditi shtëpin’ e vet mbi shkamp 
MAT.7.25	edhe ra shiu, e erdhën lumënat, e fryn erënat’, edhe u përpoqnë mbas asai shtëpie, por nuk’ u rrëxue, sepse ishte themeluem mbi shkamp 
MAT.7.26	Por kushdo qi ndëgjon këto fjalët’ e mia, edhe s’i ban, ka me u përgjaitunë me nji nieri të marrë, i cilli koditi shtëpin’ e vet mbi ranët;
MAT.7.27	edhe ra shiu, e erthnë lumënat’, e fryn’ erënat, edhe u përpoqnë mbas asai shtëpie; edhe u rrëxue, edhe e rrëxuemeja e asai ishte e madhe.
MAT.7.28	Edhe Iesui kur mbaroi këto fjalë, gjindeja habiteshinë për predikimin’ e ati,
MAT.7.29	sepse u predikonte atyneve sikurse me pasun’ urdhënë, edhe jo si Shkruisitë.
MAT.8.1	Edhe ai kur sdrypi prei malit, shumë gjindëje i voitnë mbrapa.
MAT.8.2	Edhe qe tek erdhi nji i kromosunë, edhe e adhuronte, tue thanë: Zot, ndë daç, mundesh me më qiruem.
MAT.8.3	Edhe Iesui shtrini dorën’ edhe e preku, tue thanë: Due; qirohu. Edhe përnjiherë iu qirue kroma.
MAT.8.4	Edhe Iesui i thotë: Shiko mos i thuesh kuit, por shko, 
MAT.8.5	Edhe Iesui kur hyni ndë Kapernaum, i erdhi përanë nji urdhën-qindës, tue iu lutunë,
MAT.8.6	edhe thoshte: Zot, shërbëtori em dergjetë ndë shtëpit ulok, e mundohetë vështirshim.
MAT.8.7	Edhe Iesui i thotë: Unë kam me ardhunë, e kam me e shëndoshunë.
MAT.8.8	Edhe urdhën-qindësi u përgjeq, e tha: Zot, nukë jam i zoti qi të më hyjsh ndënë strehet, por thuei vetëmë nji fjalë, edhe shërbëtori em ka me u shëndoshunë.
MAT.8.9	Sepse edhe unë jam nji nieri ndën’ urdhënë, edhe kam me vetëhenë t’eme ushtëtorë; edhe i thom këti: Shko, edhe shkon; edhe tietërit: Eja, edhe vien; edhe shërbëtorit t’em: Ban këtë, edhe 
MAT.8.10	Edhe Iesui kur ndëgjoi, u mërekullue, edhe u tha atyneve qi e merrshinë mbrapa: Me të vërtet po u thom juve, 
MAT.8.11	Edhe po u thom juve, se shumë 
MAT.8.12	Por të bijt’ e mbëretënisë kanë me u hedhunë nd’errësinët të përjashtëme, atie ku ka me qenë të qjamit e të dridhunit’ e dhambëvet.
