GEN.1.1	Íꞌdóngárá gá ꞌdãá, Múngú gbi ꞌbụ̃ pi vũ be. 
GEN.1.17	Múngú ꞌbã kộpi ꞌbụ̃ gé ꞌdãá, kộpi ã dị̃kí rí ãngũ ĩmgbẽrẽé vũ drị̃gé nõgó, 
GEN.1.18	ụ̃tụ́ rĩ ã dị̃ rí ãngũ ĩmgbẽrẽé ụ̃tụ́ŋá sĩ, mbãá rĩ ã dị̃ rí ãngũ ĩmgbẽrẽé ị́nị́ŋá sĩ, ã aco rí ụ̃tụ́ŋá pi ãsámvú ị́nị́ŋá be. Múngú ndre kộpi ꞌí mị gé ꞌdãá índrékí múké. 
GEN.1.19	Ũndréŋá ní ícázú, ãngũ rĩ ní ọ́wụ́zú, ꞌdĩri ụ́ꞌdụ́ sụ rĩ.
GEN.1.20	Múngú ní ꞌyozú kĩnĩ, “Lẽ ngá ídri be ni pi ã adrikí yị̃ị́ agá ꞌdãá, ãzini lẽ ãríŋá rĩ pi ã ungakí ãngũ mgbọ ꞌbụ̃ pi ãsámvú vũ be rĩ gé sĩ.” 
GEN.1.21	Kúru Múngú ní ngá ambugu ambugu yị̃ị́ tafu agá ídri be rĩ pi gbizú ngá céré ídri be ẹ́cị́ꞌbá ẹ́cị́ẹ̃cị̃ rĩ pi be, ãríŋá rĩ pi be ĩvé ọ̃sụ̃kã vú sĩ ãndíãndí. Múngú ndre kộpi ꞌí mị gé ꞌdãá índrékí múké. 
GEN.1.22	Múngú sẽ kộpi ní tãkíri, ĩri ní ꞌyozú kĩnĩ, “Ĩmi tịkí, ĩmivé kãlãfe ã ga tré yị̃ị́ tafu rĩ agá ꞌdãá, ãríŋá rĩ pi vé kãlãfe ã ga tré vũ drị̃gé nõgó.” 
GEN.1.23	Ũndréŋá ní ícázú, ãngũ rĩ ní ọ́wụ́zú, ꞌdĩri ụ́ꞌdụ́ tọ̃wụ́ rĩ.
GEN.1.24	Múngú ní ꞌyozú kĩnĩ, “Lẽ ãnyãpá rĩ pi, ngá nyíríŋá ídri be ẹ́cị́ꞌbá vũ drị̃gé sĩ rĩ pi, ãzini ãꞌá rĩ pi ã adrikí vũ drị̃gé nõgó anigé ĩvé ọ̃sụ̃kã vú sĩ ãndíãndí.” Ĩri ní ꞌi ngazú sụ̃ Múngú ní ꞌyoó rĩ tị́nị. 
GEN.1.25	Múngú gbi ãꞌá rĩ pi ãnyãpá rĩ pi be ĩvé ọ̃sụ̃kã vú sĩ ãndíãndí, ãzini gbi ngá ídri be ẹ́cị́ꞌbá nyọ̃ọ́kụ́ drị̃gé sĩ rĩ pi ĩvé ọ̃sụ̃kã vú sĩ ãndíãndí. Múngú ndre kộpi ꞌí mị gé ꞌdãá índrékí múké.
GEN.1.26	Kúru Múngú ní ꞌyozú kĩnĩ, “Lẽ ꞌbâ gbikí ꞌbá sụ̃ụ́ ꞌbá tị́nị, kộpi ã adrikí rí ãmbúgú ị̃ꞌbị́ yị̃ị́ tafu agá rĩ pi drị̃gé, ãríŋá rĩ pi drị̃gé, ãnyãpá rĩ pi drị̃gé, ãꞌá rĩ pi drị̃gé, ãzini ngá ídri be ẹ́cị́ꞌbá nyọ̃ọ́kụ́ drị̃gé sĩ rĩ pi drị̃gé.”
GEN.1.27	Kúru Múngú ní ꞌbá gbizú sụ̃ ꞌí tị́nị,
GEN.1.27	Múngú gbi ĩri sụ̃ ꞌí tị́nị,
GEN.1.27	gbi kộpi ágó pi ũkú be.
GEN.1.28	Múngú ní tãkíri ꞌbãzú kộpi drị̃gé, ĩri ní ꞌyozú kĩnĩ, “Ĩmi tịkí, ĩmi ízúkí ízúzũ, ĩmivé kãlãfe ã ga tré vũ drị̃gé nõgó, ĩmi adrikí ãmbúgú nyọ̃ọ́kụ́ rĩ drị̃gé. Lẽ ĩmi adrikí ãmbúgú ị̃ꞌbị́ yị̃ị́ tafu agá rĩ pi drị̃gé, ãríŋá rĩ pi drị̃gé, ngá ídri be ẹ́cị́ꞌbá nyọ̃ọ́kụ́ drị̃gé sĩ rĩ pi drị̃gé.”
GEN.1.29	Kúru Múngú ní ꞌyozú ꞌbá rĩ ní kĩnĩ, “Ngá úri be vũ drị̃gé rĩ pi, pẹtị ꞌaꞌbée ꞌaꞌa úri be agá rĩ pi ãrẽvú céré, á sẽ kộpi mí ní. Kộpi adri ãnyãngã mívé ni. 
GEN.1.30	Á sẽ ngá ĩfũꞌbá dụꞌbá nyọ̃ọ́kụ́ drị̃gé rĩ pi ãrẽvú céré ãꞌá rĩ pi ní, ãríŋá rĩ pi ní, ngá ídri be ẹ́cị́ꞌbá nyọ̃ọ́kụ́ drị̃gé sĩ rĩ pi ní ãnyãngã rú.”
GEN.1.31	Múngú ndre ngá ꞌí ní gbií rĩ pi ãrẽvú céré índrékí ꞌí mị gé ꞌdãá múké múké. Ũndréŋá ní ícázú, ãngũ rĩ ní ọ́wụ́zú, ꞌdĩri ụ́ꞌdụ́ ázíyá rĩ.
GEN.2.1	Kúru ꞌbụ̃ pi vé gbingárá vũ be, ngá céré ꞌa ni gé rĩ pi be rĩ ní ꞌi dẹzú.
GEN.2.2	Kúru kã mụụ́ caá ụ́ꞌdụ́ ẹ́zị̂rị̃ gé, ị́sụ́ Múngú dẹ ívé ẹ̃zị́ rĩ ã ngangárá gí, kúru ụ́ꞌdụ́ ẹ́zị̂rị̃ gé, ĩri ní uvuzú. 
GEN.2.3	Múngú ní tãkíri ꞌbãzú ụ́ꞌdụ́ ẹ́zị̂rị̃ rĩ drị̃gé, ꞌbã ụ́ꞌdụ́ ꞌdĩri adrií uletere,
GEN.2.4	ꞌBụ̃ pi vé gbingárá vũ be rĩ ĩri ꞌdíni.
GEN.2.4	Úpí
GEN.2.5	ásé, pẹtị, dõku ngá ãzi ĩfũ dụụ́ vũ rĩ drị̃gé kuyé, ãꞌdiãtãsĩyã Úpí Múngú sẽ drĩ yị̃ị́gọ́ ꞌdịị́ vũ rĩ drị̃gé kuyé, ꞌbá ọ́mvụ́ ꞌãápi ni ꞌdãáyo, 
GEN.2.6	ẹndrịlị́gọ́ ri ꞌaá nyọ̃ọ́kụ́ rĩ ẽ drị̃ ũndrĩí nĩ. 
GEN.2.7	Úpí Múngú ní ũtrẽtrẽ ĩtĩzú, ĩri ní gbizú ufuzú ꞌbá ágó rú, ĩri ní ẹ̃vị̃vị̃ ídri vé rĩ vuzú ụ̃mvụ ni gé, ágó rĩ gõ ícá ídri rú.
GEN.2.8	Úpí Múngú ní ngá sazú ọ́mvụ́ Ẽdénẽ vé rĩ agá, wọ̃ọ́kọ̃ ụ̃tụ́ ní ĩfũzú rĩ gé, ĩri ní ágó ꞌí ní gbií rĩ jịzú ꞌbãzú ọ́mvụ́ rĩ agá. 
GEN.2.9	Úpí Múngú sa pẹtị ũnyĩ be ũꞌa be ĩ ní nyaá íníꞌbá ínínĩ ni pi ọ́mvụ́ rĩ agá ꞌdãá ĩvé ọ̃sụ̃kã vú sĩ ãndíãndí. Ọ́mvụ́ rĩ ã ágáŋá gá ꞌdãá, sa pẹtị ídri sẽépi rĩ, ãzini pẹtị tã múké pi nị̃zú tã ũnjí be rĩ.
GEN.2.10	Yị̃ị́ ãzi ídị́ ĩfũú ọ́mvụ́ Ẽdénẽ vé rĩ agá ꞌdãá, ri ọ́mvụ́ rĩ ũsũú nĩ, yị̃ị́ rĩ aco ꞌi caá sụ. 
GEN.2.11	Yị̃ị́ ãlu rĩ ã rụ́ Pĩsónã, dị ẹlịị́ mụzú ãngũ Hãvílã vé dábũ be rĩ agásĩ. 
GEN.2.12	Dábũ ãngũ ꞌdãri vé rĩ múké, pẹtị sụ́ be ngụ̃ụ́pi ndrị̃ndrị̃ rĩ ꞌdãlé anigé, ãzini írã ũnyĩ be ĩ ní zịị́ õníkĩ rĩ pi ꞌdãlé anigé. 
GEN.2.13	Yị̃ị́ ị̃rị̃ rĩ ã rụ́ Gĩyónã, dị ẹlịị́ mụzú ãngũ Kụ́sị̃ vé rĩ agásĩ. 
GEN.2.14	Yị̃ị́ na rĩ ã rụ́ Tị́gị̃rị̃sị̃, dị ẹlịị́ mụzú ãngũ Ãsírĩyã vé rĩ agásĩ, ụ̃tụ́ ní ĩfũngárá gálésĩla. Yị̃ị́ sụ rĩ ã rụ́ Yũfẽrétã.
GEN.2.15	Úpí Múngú ní ágó rĩ jịzú ꞌbãzú ọ́mvụ́ Ẽdénẽ vé rĩ agá, ã ꞌã rí ọ́mvụ́ rĩ, ãzini ã ũtẽ rí ọ́mvụ́ rĩ. 
GEN.2.16	Úpí Múngú ní ꞌyozú ágó rĩ ní kĩnĩ, “Mi ícó pẹtị ọ́mvụ́ agá rĩ pi vé ũꞌa nya rá, 
GEN.2.17	ꞌbo lẽ mî nya pẹtị ĩ ní tã múké nị̃zú tã ũnjí be rĩ ku, ꞌí nya dõ gí, ádarú mi drã rá.”
GEN.2.18	Úpí Múngú ní ꞌyozú kĩnĩ, “Ágó rĩ adri dõ ọ́ꞌdụ́kụ́lẹ, adri múké ku. Ma ꞌbá ĩri ẽ ĩzã koópi ni gbi ĩri ní rá.”
GEN.2.19	Kúru Úpí Múngú ní ũtrẽtrẽ ĩtĩzú, ĩri ní gbizú ufuzú ãnyãpá rú, ãꞌá rĩ pi rú, ãzini ãríŋá rĩ pi rú. Ĩri ní kộpi jịzú ágó rĩ vúgá ꞌdãá, ã ndre rí kộpi, ã ꞌda rí kộpi ã rụ́, ágó rĩ ní kộpi ã rụ́ ꞌdazú ĩvé ọ̃sụ̃kã vú sĩ ãndíãndí. 
GEN.2.20	Kúru ágó rĩ ní ãnyãpá rĩ pi vé rụ́ ꞌdazú, ãríŋá rĩ pi be, ãꞌá rĩ pi be céré. ꞌBo ꞌbá Ãdámã ẽ ĩzã koópi ni ꞌdãáyo.
GEN.2.21	Kúru Úpí Múngú ní ágó rĩ sẽzú ụ́ꞌdụ́ kozú kpílíkpílí. Ágó rĩ kã rií ụ́ꞌdụ́ rĩ koó, Úpí Múngú ní ĩrivé gãrãfã ãlu ínjézú, ĩri ní vũrã ni ọ̃zụ̃zú gõzú ũzi. 
GEN.2.22	Kúru Úpí Múngú ní gãrãfã ágó rĩ vé ꞌí ní ínjé rĩ gbizú ufuzú ũkú rú, ĩri ní jịzú ágó rĩ vúgá ꞌdãá.
GEN.2.23	Ágó rĩ ní ꞌyozú kĩnĩ,
GEN.2.23	“ꞌBá nõri vé fã sụ̃ mávé rĩ tị́nị,
GEN.2.23	ĩrivé zãá sụ mávé rĩ tị́nị,
GEN.2.23	ĩ rụ́ ni zị ‘ũkú’,
GEN.2.23	ãꞌdiãtãsĩyã íbíkí ĩri ínjé mâ rụ́ꞌbá gá.”
GEN.2.24	Tã ꞌdĩri sĩ, ꞌbá ágó ri ívé ẹ́tẹ́pị ku, ĩri ívé ẹ́ndrẹ́pị ku, kộpi ĩ úmú ũkú ni be, kộpi adri rụ́ꞌbá ãlu.
GEN.2.25	Ágó rĩ pi ũkú ni be ị̃rị̃trọ́ pílílí rú, ꞌbo kộpi adrikí kú drị̃njá ãkó.
GEN.3.1	Ãꞌá Úpí Múngú ní gbií rĩ pi ãsámvú gé, ị̃nị̃ ri ãꞌá riípi mị ũꞌbãápi agaápi rá ni. Ụ́ꞌdụ́ ãlu, ĩri ní ũkú rĩ zịzú kĩnĩ, “Ẹ̃ndẹ́pị Múngú ꞌyo nyo kínĩ ĩmi nyakí pẹtị ũꞌa ọ́mvụ́ agá ꞌdĩꞌbée ku ꞌdíni rá?”
GEN.3.2	Ũkú rĩ ní újázú ị̃nị̃ rĩ ní kĩnĩ, “Múngú kĩnĩ, ꞌbâ ícó pẹtị ọ́mvụ́ agá ꞌdĩꞌbée vé ũꞌa nya rá, 
GEN.3.3	ꞌbo Múngú kĩnĩ, ‘Pẹtị ọ́mvụ́ ágáŋá gá ꞌdãri vé ũꞌa, lẽ ĩmi nyakí ku, dõku ĩmi úlókí ku, ĩmi nyakí dõ gí, ĩmi ícó ũdrã rá.’ ”
GEN.3.4	Ị̃nị̃ rĩ ní újázú ũkú rĩ ní kĩnĩ, “Ĩmi ícókí ũdrãá ku. 
GEN.3.5	Múngú nị̃ rá ꞌyozú kínĩ, ĩmi nyakí dõ pẹtị rĩ vé ũꞌa gí, ĩmî mị ri ꞌi zị̃ tã nị̃zú ámázú rá, ĩmi adri sụ̃ Múngú tị́nị, ĩmi tã múké pi nị̃ tã ũnjí be rá.”
GEN.3.6	Ũkú rĩ kã ndreé pẹtị rĩ vé ũꞌa índré ꞌí mị gé ꞌdãá múké, ĩ ícó nya rá, ãzini ĩ tã múké pi nị̃ ãní tã ũnjí be rá, ĩri ní pẹtị rĩ vé ũꞌa ĩtĩzú nyazú, ĩri ní ụrụkọ ni sẽzú ágó ni adriípi ꞌí gãrã gá rĩ ní, ágó ni ní ẹ́ꞌyị́zú nyazú. 
GEN.3.7	Koro kộpi ẽ mị ní ꞌi zị̃zú, kộpi nị̃kí ámá ĩ nóni pílílí rú. Kúru kộpi ní ị̃bị́bị́ ŋõzú údézú ĩ rụ́ꞌbá ọ̃zụ̃zú ãní.
GEN.3.8	Ũndréŋá ꞌdãri sĩ, ágó rĩ pi ũkú rĩ be yịkí Úpí Múngú vé kụ́bị́, ĩri ri ẹ́cị́ ọ́mvụ́ rĩ agásĩ, kộpi ápákí Úpí Múngú sĩ mụụ́ ĩ zụ̃ụ́ pẹtị rĩ pi ãsámvú gé ꞌdãá. 
GEN.3.9	Úpí Múngú ní kộpi zịzú kĩnĩ, “Ĩmi íngõlé?”
GEN.3.10	Ágó rĩ ní újázú kĩnĩ, “Á yị mî kụ́bị́ ọ́mvụ́ agá ꞌdãá, sẽ má ní ụ̃rị̃, ãꞌdiãtãsĩyã ma pílílí rú, má ní ma zụ̃zú ãní.”
GEN.3.11	Múngú ní ĩri zịzú kĩnĩ, “Ãꞌdi lũ mí ní kínĩ mi pílílí rú nĩ? Mí nya pẹtị rĩ vé ũꞌa má ní ꞌyoó mî nya ku rĩ gí?”
GEN.3.12	Ágó rĩ ní ꞌyozú kĩnĩ, “Ũkú mí ní sẽé má ní rĩ, sẽ má ní pẹtị rĩ ã ũꞌa, á nya gí.”
GEN.3.13	Kúru Úpí Múngú ní ꞌyozú ũkú rĩ ní kĩnĩ, “Mí ꞌo ꞌdíni ãsĩ?”
GEN.3.13	Ũkú rĩ ní ꞌyozú kĩnĩ, “Ị̃nị̃ ũꞌbã mâ mị nĩ, má ní pẹtị ũꞌa rĩ nyazú ãní.”
GEN.3.14	Kúru Úpí Múngú ní ꞌyozú ị̃nị̃ rĩ ní kĩnĩ, “Tã mí ní ꞌoó ꞌdĩri sĩ,
GEN.3.14	“Ãnyãpá rĩ pi ãsámvú gé ãꞌá rĩ pi be,
GEN.3.14	á tri mi gí!
GEN.3.14	Mi ímụ́ mi use bẹ̃drị̃ sĩ,
GEN.3.14	mi ímụ́ fụ́rụ́ndị́ mvũ cĩmgbá cazú ụ́ꞌdụ́ céré mí ní adrizú rĩ gé.
GEN.3.15	Ma sẽ ĩmivé ãsámvú ũkú rĩ be rĩ adri ũnjí,
GEN.3.15	anjiŋá mívé rĩ pi ĩrivé rĩ be, kộpi ãsámvú rĩ adri ũnjí.
GEN.3.15	Ĩrivé mvá ágó ri ímụ́ mi gbã drị̃gé,
GEN.3.15	mi ímụ́ mvá ágó rĩ ga pá gá.”
GEN.3.16	Múngú ní ꞌyozú ũkú rĩ ní kĩnĩ,
GEN.3.16	“Sâ mí ní mvá tĩzú rĩ gé, ma sẽ mi ĩzãngã nya ambamba.
GEN.3.16	Mí kãdõ mvá tĩí, ãzó ni ri ásó ambamba.
GEN.3.16	Mi áwí ẹ́sị́ ꞌbã ku mí ágó ni drị̃gé,
GEN.3.16	ꞌbo ĩri adri ãmbúgú mí drị̃lé gá nĩ.”
GEN.3.17	Múngú ní ꞌyozú Ãdámã ní kĩnĩ, “Mí ní mívé ũkú ẽ tị yịị́, ãzini mí ní pẹtị ũꞌa má ní ꞌyoó, ‘Mî nya ku’ rĩ nyaá rĩ sĩ,
GEN.3.17	“Á tri nyọ̃ọ́kụ́ rĩ gí, mî tã sĩ.
GEN.3.17	Sâ mí ní adrizú ídri rú rĩ gé,
GEN.3.17	mi ọ́mvụ́ ꞌã ũkpõ sĩ, ụ́rụ́ndẹ be, mí íbí ngá nya ndõ.
GEN.3.18	Ũcékúcé ri ĩfũ dụ nyọ̃ọ́kụ́ rĩ agá,
GEN.3.18	mi ngá ĩfũꞌbá dụꞌbá nyọ̃ọ́kụ́ drị̃gé rĩ pi nya.
GEN.3.19	Mi ọ́mvụ́ ꞌã ũkpõ sĩ, ụ́rụ́ndẹ be,
GEN.3.19	mi íbí ngá nya ndõ,
GEN.3.19	cĩmgbá mí ní fizú gõzú nyọ̃ọ́kụ́ agá rĩ gé,
GEN.3.19	ĩtĩkí nyọ̃ọ́kụ́ ĩ ní mi gbizú ãní,
GEN.3.19	mi gõ fi nyọ̃ọ́kụ́ agá ũzi.”
GEN.3.20	Ãdámã ꞌda ꞌî ũkú ni ã rụ́ Évã
GEN.3.21	Kúru Úpí Múngú ní lãꞌbú údézú, ĩri ní Ãdámã pi ã rụ́ꞌbá ọ̃zụ̃zú ãní ũkú ni Évã be.
GEN.3.22	Kúru Úpí Múngú ní ꞌyozú kĩnĩ, “Nóni ꞌbá ꞌdĩꞌbée ícákí sụ̃ ꞌbá tị́nị, kộpi nị̃kí tã múké pi tã ũnjí be gí. Ícókí kộpi ãꞌyĩí pẹtị ídri sẽépi rĩ nyaá ku, ãꞌdiãtãsĩyã kộpi ã adrikí rí mụzú nyonyo ku.” 
GEN.3.23	Kúru Úpí Múngú ní kộpi drozú ọ́mvụ́ Ẽdénẽ vé rĩ agásĩ, kộpi ã mụkí ọ́mvụ́ ꞌãá nyọ̃ọ́kụ́ ꞌí ní ĩtĩí kộpi gbizú rĩ agá. 
GEN.3.24	Múngú kã kộpi droó fũú ọ́mvụ́ Ẽdénẽ vé rĩ agásĩ gí, ĩri ní mãlãyíkã rĩ pi
GEN.4.1	Ãdámã pi ní lazú ũkú ni Évã be, Évã ní ꞌa ị́sụ́zú, ĩri ní Káyĩnã
GEN.4.2	Vụ́drị̃ ni gé, ĩri ní Ẽbélẽ ri tịzú.
GEN.4.2	Ẽbélẽ ri ꞌbá kãbĩlõ úcépi ni, Káyĩnã ri ꞌbá ọ́mvụ́ ꞌãápi ni. 
GEN.4.3	Ụ́ꞌdụ́ ãlu, Káyĩnã ĩkũnã ívé ãnyãngã, íꞌdụ́ ụrụkọ ni íjị́ sẽé Úpí Múngú ní. 
GEN.4.4	Ẽbélẽ íjị́ ívé rĩ kãbĩlõ mvá kãyú rĩ vé zãá úsõ be ni sẽé Úpí Múngú ní. Úpí Múngú ãꞌyĩ Ẽbélẽ ri rá, ãꞌyĩ kpá ngá ĩri ní sẽé rĩ rá. 
GEN.4.5	ꞌBo Úpí Múngú ãꞌyĩ Káyĩnã ri kuyé, ãꞌyĩ kpá ngá ĩri ní sẽé rĩ kuyé. Sẽ Káyĩnã ã ꞌa ve ambamba, ẹndrẹtị ni adri kú ị̃trị́.
GEN.4.6	Kúru Úpí Múngú ní ꞌyozú Káyĩnã ní kĩnĩ, “Ngá mî ꞌa ní vezú rĩ ãꞌdi? Mí ẹndrẹtị adri kú ị̃trị́ ꞌdíni ãsĩ? 
GEN.4.7	Mî ꞌo dõ tã pịrị, ícókí té mi ãꞌyĩí ku? ꞌBo mí ãꞌyĩ dõ tã pịrị ꞌoó ku, ũnjĩkãnyã fi mí ẹ́sị́ agá gí, lẽ mi izaá, ꞌbo lẽ mî ndẽ ũnjĩkãnyã vé ũkpõ rá.”
GEN.4.8	Káyĩnã ní ꞌyozú ẹ́drị́pị ní kĩnĩ, “ꞌBá mụkí ẹ́cị́ be ásé agá.” Kộpi kâ mụụ́ caá ásé agá ꞌdãlé, Káyĩnã ní íꞌdózú ẹ́drị́pị Ẽbélẽ ri fụzú, ĩri ꞌdịzú drãzú rá.
GEN.4.9	Kúru Úpí Múngú ní Káyĩnã ri zịzú kĩnĩ, “Mí ẹ́drị́pị Ẽbélẽ ri íngãá?”
GEN.4.9	Káyĩnã ní újázú kĩnĩ, “Á nị̃ kuyé. Mí ụ̃sụ̃ ma ꞌbá riípi má ẹ́drị́pị ri ũtẽépi ni?”
GEN.4.10	Úpí Múngú ní ꞌyozú kĩnĩ, “Mí ꞌo ꞌdíni ãsĩ? ꞌÍ ndre drĩ ká! Mí ẹ́drị́pị vé ãrí dãápi nyọ̃ọ́kụ́ agá rĩ ngo ícá má vúgá nõó gí. 
GEN.4.11	Á tri mi gí, á dro mi fũú nyọ̃ọ́kụ́ mí ẹ́drị́pị mí ní ꞌdịị́ rĩ vé ãrí ní dãá ꞌa ni gé rĩ agásĩ ãmvé gí. 
GEN.4.12	Mí kãdõ nyọ̃ọ́kụ́ rĩ ꞌãá, ãnyãngã ka mí ní ꞌa ni gé ku. Íꞌdózú ãndrũ mụzú drị̃drị̃, mi adri ꞌbẹ̃tị́ ãkó, mi ẹ́cị́ ngalanji ãngũ rĩ pi agásĩ.”
GEN.4.13	Káyĩnã ní ꞌyozú Úpí Múngú ní kĩnĩ, “Tã mí ní ma ĩrĩŋãzú ꞌdĩri ambamba, má ícó ãní bã ku. 
GEN.4.14	Nóni ꞌí dro ma fũú nyọ̃ọ́kụ́ rĩ agásĩ gí, má ícó índré mí ẹndrẹtị gé dị̃ị́ ku, ma nóni ꞌbẹ̃tị́ ãkó, ma ẹ́cị́ mụzú ngalanji ãngũ rĩ pi agásĩ. ꞌBá rĩ ị́sụ́ dõ ma, ĩri ma ꞌdị drã rá.”
GEN.4.15	Úpí Múngú ní ꞌyozú ĩri ní kĩnĩ, “Adri ꞌdíni kuyé, ꞌbá ãzi ꞌdị dõ mi, ma mî ãrígó ũfẽ vú be ẹ́zị̂rị̃.” Kúru Úpí Múngú ní bị́lẹ́mị ꞌbãzú Káyĩnã ã rụ́ꞌbá gá, ꞌbá ãzi ị́sụ́ dõ ĩri, ã ꞌdị rí ĩri ku. 
GEN.4.16	Káyĩnã ní kúru ngazú Úpí Múngú ã gãrã gá sĩ, ĩri ní mụzú adrizú ãngũ Nódĩ
GEN.4.17	Káyĩnã pi ní lazú ũkú ni be, ũkú rĩ ní ꞌa ị́sụ́zú, ĩri ní Ẽnókã ri tịzú. Káyĩnã ní kụ̃rụ́ sịzú, ĩri ní kụ̃rụ́ rĩ ã rụ́ ꞌdazú ꞌî mvọ́pị Ẽnókã ã rụ́ sĩ. 
GEN.4.18	Ẽnókã tị Ẽrádĩ ri, Ẽrádĩ tị Mẽhũjãélẽ ri, Mẽhũjãélẽ tị Mẽtũsãélẽ ri, Mẽtũsãélẽ ní Lẽmékẽ ri tịzú.
GEN.4.19	Lẽmékẽ je ũkú ị̃rị̃, ũkú kãyú rĩ ã rụ́ Ãdá ꞌi, ãzi rĩ ã rụ́ Zílã ꞌi. 
GEN.4.20	Ãdá ní Jãbálã ri tịzú. Jãbálã ri ẹ́tẹ́pị ꞌbá adriꞌbá gãkũ agá, riꞌbá ãnyãpá úcéꞌbá rĩ pi vé ni. 
