GEN.1.1	Wele gug qocna Anut uqa sao mahaca ifanen. 
GEN.2.3	Oodon Anut uqa ifanec cabi cunug hedumei jaen muden eunu deel eben naha gic lecisca eu eeldumei qagu fil men.
GEN.2.4	Je i saen Anut sao mahaca ifanalennu je.
GEN.2.4	Tibud Anut uqa maha saoca ifanalen saen euna 
GEN.2.5	uqa mahana wa qee suldol. Dana cabi cehecnu ha qee mudel. Eunu gigi o celum oso mahana qee cajec nijen. 
GEN.2.6	Qa wa tut gaid mahanadec cajimei maha cunug wa utoloi.
GEN.2.7	Odocob Tibud Anut uqa colig mahanadec umei dana 
GEN.2.8	Aria Tibud Anut cabi oso cam tobi becna isec Iden ono cehen. Odimei dana uqa ifani mudon eu ono muden. 
GEN.2.9	Odocob Tibud Anut uqa odocob mahanadec na cunug fecnu galeca sabnu me bahic eu cajein. Cabi gemo na lecis tawesin. Oso uqa na aig jifei cebac biligian. Oso uqa aig eu jifei doc meca me qeeca ugian.
GEN.2.10	Aria wa tut oso Idendec boloi. Eu cabi wa utoloi. Odimei eunadec wa eu batac qu wal oso don. 
GEN.2.11	Wa batac matu eu ijan Pison. Wa eu nuimei Hawila hatu eu cunug taldona. Hatu euna gol nijina. 
GEN.2.12	Hatu eunadec gol eu me bahic. Ono na oso nijina eu uqana gilic eu dedeman me bahic. Eu ijan deliam. Euna ha meen oso nijina. Eu ijan oniks. 
GEN.2.13	Wa oso, eu ijan Gion, eu nuimei Kus hatu eu cunug taldona. 
GEN.2.14	Wa oso ijan eu Taigris. Eu Asiria cam tobi becna isec nuina. Wa oso ijan eu Jufretis.
GEN.2.15	Aria Tibud Anut uqa dana eu umei Iden cabi dunuh muden. Cabi cehigiannuca cofdugiannuca muden. 
GEN.2.16	Odocob Tibud Anut dana dahig hehewi bili je gagadic odi madon, “Hina na aig cunug cabina nijia eu cois jagale. 
GEN.2.17	Qa doc meca me qeecanu na eu aig cain jagaun. Hina eu jegaqa deel euna himec hina cal megan,” don.
GEN.2.18	Aria odocob Tibud Anut maden, “Dana uqa cuhanuc bilec me qee. Ija uqa cesuldoc oso muditugen,” en. 
GEN.2.19	Eunu Tibud Anut maha leih cedimei dool mahanadecca man fululec saonadecca cunug mudaden. Odimei dana ijanaga aqeceb figia bili cedadi danaca ehadi len. Odocob dana uqa dool cunug osahicosahic ijanaga qon. Ijanaga qon eu age ijanaga ibuldon. 
GEN.2.20	Oodon dana uqa dool mananca man fululec saonadecca dool cusca eu cunug ijanaga aqen qa uqa cesuldocnu cinigwe oso qee fel.
GEN.2.21	Eunu Tibud Anut odocob dana uqa us geh men. Odocob uqa cal mecwe nijen. Ninijen Tibud Anut dana qeih teful oso umei teful onna deweg ganacna haun cufa quton. 
GEN.2.22	Odocob Tibud Anut dana qeih teful euna caja oso mudimei danaca ehudi len. 
GEN.2.23	Odocob dana uqa maden, “Mele bahic. Uqa teful eu ija tefulininadec. Uqa cuhun eu ija cuhuninadec. Uqa dananadec umei mudon. Eunu ija ijan ‘Caja
GEN.2.24	Eunu dana uqa anag memegca culaleceb uqa aidegca gabandowasan. Odimesi ale dewenela osol mowasan.
GEN.2.25	Aria dana aidegca ale bical aleqa qee majanala alel.
GEN.3.1	Aria man sononec uqa fanindocnu du cuhadon. Uqa dool cunug wooladec Tibud Anut maden. Odocob uqa caja sisildon, “Anut ale cehelo aig cunug cabina nijia eu cain jowasin ec maalen eu melefo?” don.
GEN.3.2	Odocob caja uqa man sononec jejeg hewi madon, “Cehelo aig osooso cabina nijeiga eu ele jecnu ihocqa 
GEN.3.3	na gemo taweia eunu Anut uqa ale eundec aig eu cain jowasin o cain qududu fowasin. Eu odifesi ale cal mowasan ec malen,” don.
GEN.3.4	Odocob man sononec caja madon, “Qeeo! Ale qee cal mowasin! 
GEN.3.5	Ale aig eu jifesi alena cisdoc fogo docob ceteteh meca me qeecanu dowasan. Ale Anut cinigwe calowasan. Eu Anut uqa dona. Eunu uqa odi maalen,” don.
GEN.3.6	Eunu caja uqa aig eu feceb galeca bahic ameg qon. Eu jecnu me bahic fen. Uqa doc meca me qeeca ocnu ha gale don. Eunu uqa cehelo eundec aig umei jen. Odimei gemug uqaca tawesin euha uteceb jen. 
GEN.3.7	Odocob ale amala fogo don. Odocob ale bical eu dosin. Eunu ale dan bagac gisimesi taqesin.
GEN.3.8	Aria wesu maha daec saenna Tibud Anut uqa cabina cocobon ale hutan dosin. Odimesi ale cabina na gemo Tibud Anut amegnu jahundosin. 
GEN.3.9	Euqa Tibud Anut dana utadu madon, “Hina ai?” don.
GEN.3.10	Odocob uqa jejeg hewi madon, “Ija hina cabina cocobogan hutain dugaqa ija bical. Eunu ija cucuiimig jahuniga,” don.
GEN.3.11	Odocob Anut uqa sisildon, “Hina bical ec eu indec maheia? Hina cehelo aig ale cain jowasin ec mahem eundec u jagafo?” don.
GEN.3.12	Odocob dana jejeg hewi madon, “Caja ijaca bilewannu item eu uqa cehelo eundec aig iteceb ija jiga,” don.
GEN.3.13	Odocob Tibud Anut caja sisildon, “Eu celnu odoga?” don.
GEN.3.13	Odocob caja jejeg hewi madon, “Man sononec qauteceb ija jiga,” don.
GEN.3.14	Odocob Tibud Anut man sononec madon, “Hina eu odi odoganu dool cunug mananca cusca gemo hina himec gelihigina. Qila hina wawinna dih sononi cobogan. Hina eu odi mahana cocobi li hinana cal mec deelna calegan. 
GEN.3.15	Ija odocomin hina cajaca qocobqocob owasan. Uqana sihulca hinana sihulca gaid cad biluwasan. Hibna caja uqana mel oso uqa ilom tulohdocob hina uqa jaih bisoc qu jegan,” don.
GEN.3.16	Odimei uqa caja madon, “Ija hina mel basecnu dain hec saen eu ben bahic tubduhigen. Hina ben dain heheb mel basegan qa hina gemunnu gale hec eu odi nijigian. Euqa uqa hinana ilo biligian,” don.
GEN.3.17	Odimei uqa dana madon, “Hina aiden jejeg dah mimeg cehelo aig ija cain jowasin ec mahem eu jaga. Hina eu odi odoganu ija maha geldugina. Hina gagadic odocca dain hecnaca u jegan. Eu odi himec oodi li cal megan. 
GEN.3.18	Husca gagalitca hinana cabina cajoqagan. Odocob hina sab bahudec u jegan. 
GEN.3.19	Hina musul heheb sab u jegan. Oodi li haun maha ibuldogan. Hina mahana mihem. Hina maha eunu haun ceseli maha ibuldogan,” don.
GEN.3.20	Aria Adam
GEN.3.21	Odocob Tibud Anut uqa dool ganacna lotoc mudimei Adam aidegca aleceb taqesin.
GEN.3.22	Odocob Tibud Anut maden, “Qila dana ege oso cinigwe caleia. Ceteteh meca me qeeca dona. Euqa uqa eben mimei cebac bilec na aigha u jimei cebac bileceb catanecdain. Eunu ege cahacdoc bahic cahacdoqan,” en. 
GEN.3.23	Eunu Tibud Anut uqa dana caja Iden cabinadec ititacalen. Maha dana muden euna sab cehigiannu eunadec malen. 
GEN.3.24	Ititacali hedocob cali lesin. Odimei Iden cabi cam tobi becna isec uqa han qali dana gagadic, ijan Kerub, ono maden. Odimei sigin aig ja belicanca eu hagen cunugna isec walwaldudu tawena euna muden. Eu cebac bilec catanec uqana jic cahacdoc.
GEN.4.1	Aria Adam uqa aideg Iwca nijimesi uqa melca men. Odimei Ken basen. Odocob uqa maden, “Tibud cesulteceb ija mel momodo oso ehudiga,” en. Eunu uqa ijan Ken
GEN.4.2	Odocob uqa hibna Ken waliag Ebel basen. Odocob Ebel uqa ben mimei dool cofadec dana calen qa Ken uqa ben mimei cabi ceteteh cehec dana calen.
GEN.4.3	Aria saen osona Ken uqa cabinadec sab leih cedi ahumei Tibud ihandon. 
GEN.4.4	Ebel uqaha Tibud ihandon qa uqa sipsip nag leih hahawan basadec eundec aqi tuqadimei cuhunuga lalonoga eu cedadi ahon. Odocob Tibud uqa Ebelnuca uqana ihanecnuca waug nijen. 
GEN.4.5	Qa Kennuca uqana ihanecnuca Tibud uqa waug qee nijel. Eunu Ken uqa gemag geh bahic ben. Odocob ola gulu qon. 
GEN.4.6	Odocob Tibud uqa Ken madon, “Celnu hina gemain bena? Celnu hina olain gulu qona? 
GEN.4.7	Hina odi cuhadoummi ija wawi hinanu nijoub. Qa hina qee odi cuhadocomfi silail hinana cebecna hagawihecnu saciadoia taweia. Uqa hinanu nalunin meia taweia. Qa hina gagadic mimeg wooldoga,” don.
GEN.4.8	Aria Ken waliag Ebel madon, “Gec beli bahu cobewa,” don. Odocob belesin. Cocobi bilesi Ken uqa cajimei waliag Ebel qagadocob cal men.
GEN.4.9	Aria Tibud uqa Ken sisildon, “Hina walin Ebel ai?” don.
GEN.4.9	Odocob uqa jejeg hewi madon, “Ija qee dugina. Ija wali cofdoc danafo?” don.
GEN.4.10	Odocob Tibud madon, “Hina eeta odoga? Hina walin golac mahana basedoia eu dana jejeg cinigwe utai mateia ija dah miga. 
GEN.4.11	Qila ija hina gelihigina. Hina walin qagadocom cal meceb uqa golac mahana basedoia. Odimei golac maha dunuh noia eu maha cocawe mimei sugudoia. Eunu maha i hina ceteh cehecnu ihoc qee. Eunu ija hina maha inadec ititachigina. 
GEN.4.12	Saen hina maha ina sab cehegaqa hina sab me qee cajiheian. Hina jehen osoca qee. Hina odi mahamaha loldudu cobogan,” don.
GEN.4.13	Odocob Ken uqa Tibud madon, “Ijana me qee odoc ameg eu ben bahic. Ija gahidocwe qee. 
GEN.4.14	Faga! Hina qila deel ina maha inadec ititactagana. Odocom ija hina amennu bisachi nuigen. Ija jehenca qee mahamaha loldudu cobigen. Odi cocobomin in oso guluctigiaqa qagateceb cal migen,” don.
GEN.4.15	Qa Tibud jejeg hewi madon, “Eu odi qee. Dana oso Ken qagadocob cal migiaqa ija dana eu ameg culumen eben naha gic lecisca wadacdugen,” don. Odocob Tibud uqa Kennu gaga oso men. Eunu dana oso Ken gulucdugiaqa uqa gaga eu fimei uqa qee qagadoiaun. 
GEN.4.16	Odocob Ken uqa Tibud amegnu bisacdumei caji nuen. Odimei uqa Iden cam tobi becna isec nuimei hatu ono bilen. Hatu eu ijan “Loldudu Coboc”.
GEN.4.17	Aria Ken aidegca nijimesi uqa melca men. Odimei Inok basen. Saen euna Ken uqa taun ben oso cecehi bilei uqa melah ijan Inok eu taun eu ijan qon. 
GEN.4.18	Aria Inok ben mimei caja oso ocob mel basen. Eu uqa ijan Irad qon. Odocob Irad uqa caja oso ocob mel basen. Eu uqa ijan Mehusel qon. Odocob Mehusel ben mimei caja oso ocob mel basen. Eu uqa ijan Metusel qon. Odocob Metusel ben mimei caja oso ocob mel basen. Eu ijan Lamek qon. 
GEN.4.19	Odocob Lamek ben mimei caja lecis cedalen. Oso ijan Eda. Oso ijan Sila. 
GEN.4.20	Odocob Eda uqa Jabal basen. Jabal uqa dana dool manan cofaadi bileig lotoc talahna himec nijegina eu agena asaga calen. 
GEN.4.21	Jabal uqa waliagca, eu ijan Jubal. Uqa dana sihul gita qoginaca cololo fuldoginaca eu agena asaga calen. 
GEN.4.22	Odocob Sila uqaha mel oso basen. Uqa ijan eu Tubal-ken. Tubal-ken uqa bras ainca na cabi teful aigcaca mudec dana calen. Tubal-ken uqa cebinagca, eu ijan Nama.
GEN.4.23	Odocob Lamek aidegul maalen,
GEN.4.23	“Eda Silaca ale ija jejeni dah mesia.
GEN.4.23	Ale ijana caja ijana je dah mi cuhadosia.
GEN.4.23	Dana oso uqa ija qiteceb golani necebfi
GEN.4.23	ija qocomin cal migian.
GEN.4.23	Mel oso uqa ija qitecebfi
GEN.4.23	ija qocomin cal migian.
GEN.4.24	Dana oso Ken qagadocob cal mecebfi
GEN.4.24	wadacdoc ameg eu ben ugian.
GEN.4.24	Qa dana oso ija qagatifei
GEN.4.24	uqa wadacdoc ameg eu culumenca bahic ugian,” alen.
GEN.4.25	Odocob Adam haun aidegca nijimesi uqa mel oso basen. Odimei uqa maden, “Ken uqa Ebel qagadocob cal men. Eunu Anut uqa mel oso haun itia. Eu Ebel hehuldocnu itia,” en. Eunu ijan Set
GEN.4.26	Odocob Set uqa caja oso ocob mel basen. Eu uqa ijan Inos qon. Saen euna dana age Tibud ijanna inondudu ihanec sanan mein.
GEN.5.1	Je jaqoc ina Adamna sihul ijanaga nijia. Anut uqa dana ifanen saen euna uqa dana Anut cinigwe muden. 
GEN.5.2	Uqa manahalca aidca ifanalen. Ifanaalen uqa eelalimei ijanala “Dana Cajaca” aqalen. 
GEN.5.3	Saen Adam uqana cabi gel 130 eu odi bibili bilei uqa aideg mel oso basen. Mel eu uqa cinigwe uqa hahun umei cali hon. Odocob uqa ijan Set qon. 
GEN.5.4	Aria Set cali hocob Adam uqa bileceb li uqana cabi gel 800 eu odi calen. Oodon Adam aideg uqa melahul ategulca haun basaden. 
GEN.5.5	Eunu Adam uqana cabi gel cunug gabandoc eu 930. Odocob uqa cal men.
GEN.5.6	Aria Set uqa bibilen li uqana cabi gel eu 105 eu odi caleceb uqa aideg mel oso basen. Odocob ijan Enos qon. 
GEN.5.7	Odimei Set uqa bibilen li cabi gel 807 on. Oodon uqa aideg melahul ategulca haun basaden. 
GEN.5.8	Eunu Set uqana cabi gel cunug gabandoc eu 912. Odocob uqa cal men.
GEN.5.9	Aria Enos uqa bibilen li uqana cabi gel 90 ocob uqa aideg mel oso basen. Odocob ijan Kenan qon. 
GEN.5.10	Odimei Enos bibilen li cabi gel 815 on. Oodon uqa aideg melahul ategulca haun basaden. 
GEN.5.11	Eunu Enos uqana cabi gel cunug gabandoc eu 905. Odocob uqa cal men.
GEN.5.12	Aria Kenan uqa bibilen li uqana cabi gel 70 ocob uqa aideg mel oso basen. Odocob ijan Mahalalel qon. 
GEN.5.13	Odimei Kenan bibilen li cabi gel 840 on. Oodon uqa aideg melahul ategulca haun basaden. 
GEN.5.14	Eunu Kenan uqana cabi gel cunug gabandoc eu 910. Odocob uqa cal men.
GEN.5.15	Aria Mahalalel uqa bibilen li uqana cabi gel 65 ocob uqa aideg mel oso basen. Odocob ijan Jared qon. 
GEN.5.16	Odimei Mahalalel bibilen li cabi gel 830 on. Oodon uqa aideg melahul ategulca haun basaden. 
GEN.5.17	Eunu Mahalalel uqana cabi gel cunug gabandoc eu 895. Odocob uqa cal men.
GEN.5.18	Aria Jared uqa bibilen li cabi gel 162 ocob uqa aideg mel oso basen. Odocob ijan Inok qon. 
GEN.5.19	Odimei Jared bibilen li cabi gel 800 on. Oodon uqa aideg melahul ategulca haun basaden. 
GEN.5.20	Eunu Jared uqana cabi gel cunug gabandoc eu 962. Odocob uqa cal men.
GEN.5.21	Aria Inok uqa bibilen li cabi gel 65 ocob uqa aideg mel oso basen. Odocob ijan Metusela qon. 
GEN.5.22	Odimei Inok uqa cabi gel 300 eu odi Anutca cobosin. Oodon uqa aideg melahul ategulca haun basaden. 
GEN.5.23	Eunu Inok uqana cabi gel cunug gabandoc eu 365. 
GEN.5.24	Aria Inok mahana bibili uqa Anutca cobosin. Oodon Anut uqa ehuden. Eunu uqa jajanu qelen.
GEN.5.25	Aria Metusela uqa bibilen li cabi gel 187 ocob uqa aideg mel oso basen. Odocob ijan Lamek qon. 
GEN.5.26	Odimei Metusela bibilen li cabi gel 782 on. Oodon uqa aideg melahul ategulca haun basaden. 
GEN.5.27	Eunu Metusela uqana cabi gel cunug gabandoc eu 969. Odocob uqa cal men.
GEN.5.28	Aria Lamek uqa bibilen li cabi gel 182 ocob uqa aideg mel oso basen. 
GEN.5.29	Odocob uqa maden, “Maha i Anut wele geuldon eunadec mel i ege cehi jecnu cabi culumenca oqonanu mel i uqa cesulgigian,” en. Eunu mel eu ijan Noa
GEN.5.30	Odimei Lamek bibilen li cabi gel 595 on. Oodon uqa aideg melahul ategulca haun basaden. 
GEN.5.31	Eunu Lamek uqana cabi gel cunug gabandoc eu 777. Odocob uqa cal men.
GEN.5.32	Aria Noa uqana cabi gel 500 hedocob uqa melahul ijedca bilen. Age ijanaga eu Semca Hamca Jafetca.
GEN.6.1	Aria saen euna dana sihul mahana geh bahic fulusdumeig mel aid basadein. 
GEN.6.2	Mel aid eu age galeca bahic. Eunu Anutna sao mel age dana atagail feciadecebil amaga qon. Odocob age aidagailnu agena gawecnana cedadein. 
GEN.6.3	Odocob Tibud uqa maden, “Dana cajaca age qee bilecebil cataneiaun. Eunu ijana Kis eu dana cajaca ageca qee bileceb cataneiaun. Qila ija odadecemin age cabi gel 120 himec biluqagan,” en. 
GEN.6.4	Saen euna hibnaha dana citoec mahana bilein. Aria Anutna sao mel age dana atagail gami ocobocob imeig mel basadein. Mel eu age dana citoec age hannu gelehinigaca calein. Dana eu age age dana weledec age ijanagaca.
GEN.6.5	Aria Tibud uqa dana cajaca mahanadec agena qisol mec eu ben bahic fen. Agena cisdoc me qeeca golanaga me qeenu sililecca odi nijen. 
GEN.6.6	Uqa dana cajaca ifanadimei mahana mudennu waloc don. Uqa waug ben qon. 
GEN.6.7	Odocob Tibud uqa maden, “Ija dana sihul cunug ifanadem eu qee madigen. Mahana doolca man fululecca ceteteh cunug mahana cobogina eu qee madigen. Ija ifanademnu waloc tena,” en. 
GEN.6.8	Qa Tibud uqa Noana odoc fimei Noanu waug tawen.
GEN.6.9	I Noanu je. Noa uqa dana ititom. Uqa Anut amegna cahuldocca qee. Uqa Anutca cobosin. 
GEN.6.10	Noa uqa melahul ijedca. Age ijanaga eu Semca Hamca Jafetca. 
GEN.6.11	Qa saen euna dana cajaca cunug age Anut amegna qisol mec me qee bahicca. Age cunug han me qee cadein. 
GEN.6.12	Anut uqa dana cajaca mahana cunug bilein age qisol mein eu fen.
GEN.6.13	Odocob Anut uqa Noa madon, “Dana cunug agena qisol mec eu maha cunug ihoc len. Eunu ija age cunug qee madigen. Mele bahic ija maha cunug fadaldugen. 
GEN.6.14	Wag ben oso wamena hinadodocnu himec jelega. Wag eu hamol mati bahicca muduga. Odimeg baial dunuhca maha gumuca joudoga. 
GEN.6.15	Hina odi jelegan. Wag eu uqana cecelac eu 133 mita. Uqana bagalan eu 22 mita. Uqana ohis tec eu 13 mita. 
GEN.6.16	Hina jo qab naca qeih naca gemo fufu cebecha qahegan. Fufu cebec uqana ohis tec eu mita naha himec. Odimeg cebec eu wag qeihna qahegan. Wag eu uqana bahim ijed dunuh bacatca mudegan. 
GEN.6.17	Faga! Ija wa sil mahana suldugen. Ceteteh cunug mahana coboginaca sao bisalunaca cunug fadaladigen. Ceteteh mahana cebac bilegina age cunug cal moqagan. 
GEN.6.18	Qa ija hinaca bal cehec je madewan. Odocob hina wag tobegan. Hinaca hina melemenelca hina aidenca hina melemenel aidagailca toboqagan. 
GEN.6.19+GEN.6.20	Ceteteh cunug mahana cobogina eundec dool filfil man fululec filfil manahalca cufunecca ehadi ehi li wagna madegan. Odocob age qee cal mowain. 
GEN.6.21	Odocob hina sab gug filfil hinanuca agenuca cedi ehi li megan,” don. 
GEN.6.22	Aria Noa uqa Anut madon eu cunug toodu odon.
GEN.7.1	Odocob Tibud uqa Noa madon, “Saen ina hina himec ija amina dana ititom. Eunu hinaca hinana talaunelca wag dunuh leiga. 
GEN.7.2	Hina dool qagoc eundec gug filfil manahal eben naha gic lecisca cufunec eben naha gic lecisca odi cedadaga. Odimeg hina dool qee qagoc eundec manahal osahic cufunec osahic odi cedadaga. 
GEN.7.3	Odocob man fululec sao bisaludecha manahal eben naha gic lecisca cufunec eben naha gic lecisca odi cedadaga. Eu age hibna haun mahana fulusdoqagan. 
GEN.7.4	Deel eben naha gic lecisca hedocob ija wa ben saonadec suldugen. Odocob wa eu cahineg 40 witic 40 odi hugian. Saen euna ija ceteteh cunug maha ina ifanadem eu fadaladigen,” don. 
GEN.7.5	Odocob Noa uqa Tibud madon eu cunug toodu odon.
GEN.7.6	Aria Noa uqana cabi gel eu 600. Saen euna wa sil cajimei maha cunug ihoc len. 
GEN.7.7	Oodon Noa uqa wa sil cajigiannu uqa melahul gami uqa aidegca uqa melahul aidagail gami age wag dunuh lein. 
GEN.7.8	Dool qagocca qee qagocca manca ceteteh cunug mahana cobogina euha dunuh lein. 
GEN.7.9	Euqa manahalca cufunecca Noa gami wag dunuh lein. Age Anut Noa madon eu odi toodu lein. 
GEN.7.10	Odocob deel eben naha gic lecisca hedocob wa sil mahana cajen.
GEN.7.11	Saen euna Noa uqana cabi gel eu 600. Wa sil cajen eu deel 17 jagel lecis docna wa ameg cehec maha dunuhdec eu uqana cebec qajawen. Odocob saonadec cebec cunug hudeceb wa ben nen. 
GEN.7.12	Odocob wa eu cahineg 40 witic 40 odi mahana nen. 
GEN.7.13	Deel euna dih Noaca uqa melahul Sem, Ham, Jafetca ageca uqa aidegca uqa melahul aidagailca age cunug wag dunuh lein. 
GEN.7.14	Dool mananca cusca eundec sihul filfil ceteteh cunug mahana cobogina eundec sihul filfil man fululecca ceteteh cunug hojonogaca sihul filfil eundec age cunug Noa gami wag dunuh lein. 
GEN.7.15	Age cunug Noa gami lein. Dool cunug cebac cobogina age lecislecis wag dunuh lein. 
GEN.7.16	Dool lein eu manahalca cufunecca odi lein. Age cunug Anut maden odi toodumeig wag dunuh lein. Odocob Anut hibilimega jic cebec menen.
GEN.7.17	Aria mahana wa sil tubca cacaji ninijen deel 40 leceb wag u suldocob basai cobon. 
GEN.7.18	Odocob wa ben bahic cajimei mahana wa gudoc calen. Odimei wag u suldocob wa lal cobon. 
GEN.7.19	Wa mahana ben bahic ihoc timei aluh benben sao bisalu eu cunug jahuladen. 
GEN.7.20	Odimei wa 7 mita ohis aluh cunug u jebucaden. 
GEN.7.21	Odocob ceteteh cunug mahana cobogina age cal mein. Man fululec cunug dool mananca dool cusca cunug mamanig cunug mahana cobogina euca dana cunugca cal mein. 
GEN.7.22	Ceteteh cunug mahana cocobi medemegana siwogina eu cunug cal mein. 
GEN.7.23	Ceteteh cunug mahana cebac cobogina danaca doolca mamanigca man fululec saonadecca eu cunug Anut uqa mahanadec qee maden. Odocob Noa uqaca uqana sihulca age himec wagna bilein. 
GEN.7.24	Odocob deel 150 odi wa sil mahana caji nijen.
GEN.8.1	Qa Anut uqa Noaca dool cusca dool mananca wagna bileinnu dahig qee celel. Eunu uqa odocob fufu oso mahana hon. Odocob wa sil seleldon. 
GEN.8.2	Odocob wa ben cehec maha dunuhnadecca saonadecca eu calena cebec eu cufa qon. Odocob wa sao ohisdec nen eu gatidon. 
GEN.8.3	Wa mahana nijen eu cebitnana seleldon. Odocob deel 150 hedocob wa toni non. 
GEN.8.4	Deel 17na jagel eben naha gic lecisca docna wag eu Ararat aluh osona toni bilen. 
GEN.8.5	Odocob wa haun cebitnana seleldodon li jagel eben nahanahaca on. Odocob jagel eu uqana deel sanan mecna aluh agena igoc camasac mein.
GEN.8.6	Odocob deel 40 hedocob Noa fufu cebec uqa muden eu huden. 
GEN.8.7	Odimei uqa alog oso u suldocob nuen. Nuimei qa qee ceseli hol. Uqa fululi cocobon li wa mahana cunug sidon. 
GEN.8.8	Oodonqa Noa uqa cuhudid oso umei suldocob nuen. Uqa wa mahana seleldonfo qeefo eu dugiannu suldon. 
GEN.8.9	Qa wa maha cunugna nijen. Eunu cuhudid eu cudun oso hewi bibili jaen mudecnu qee fimei uqa haun wagna ceseli hon. Odocob Noa eben maha gumu leceb uqana cuhudid u wag dunuh ehi li muden. 
