GEN.1.1	Y'n dalleth Duw a formyas an nev ha'n nor. 
GEN.2.23	‘Homma wor'tiwedh yw askorn a'm eskern vy,
GEN.2.23	ha kig a'm kig vy.
GEN.2.23	Hi a vydh henwys Gwreg,
GEN.2.23	rag hy bos kemmerys mes a wour.’
GEN.2.24	Ytho gour a vynn gasa y das ha'y vamm ha glena orth y wreg hag i a vydh unn kig. 
GEN.2.25	Ha noeth ens i aga dew, Adam ha'y wreg, ha ny gemmerens meth.
GEN.3.1	Lemmyn an sarf o moy sotel es pub best a'n gwel re wrussa an 
GEN.3.2	Hag yn-medh an venyn dhe'n sarf, ‘Ni a yll dybri a frut gwydh an lowarth; 
GEN.3.3	mes a frut an wydhenn usi yn kres an lowarth, Duw re leveris, “Ny goedh dhywgh naneyl dybri anodho na'y dochya ma na verwowgh.” ’ 
GEN.3.4	Hag yn-medh an sarf dhe'n venyn, ‘Yn sur, ny wrewgh hwi merwel; 
GEN.3.5	rag Duw a woer, y'n jydh may typprowgh anodho, agas dewlagas a vydh igerys, ha hwi a vydh kepar ha duwow, ow kodhvos da ha drog.’ 
GEN.3.6	Ha'n venyn, pan welas bos an wydhenn da rag boes, ha'y bos teg dhe'n dewlagas, ha gwydhenn dhesiradow dhe wul den fur, hi a gemmeras nebes a'y frut ha dybri; ha hi a ros ynwedh dh'y gour esa gensi, hag ev a dhybris. 
GEN.3.7	Ena aga lagasow aga dew a veu igerys hag i a wodhva aga bos noeth, hag i a wrias delyow figys war-barth dhe wul apronyow ragdha aga honan.
GEN.3.8	Hag i a glewas lev an 
GEN.3.9	Ha'n 
GEN.3.10	Hag ev a leveris, ‘My a glewas dha lev y'n lowarth ha kemmeres own drefenn ow bos noeth, ytho my a omgudhas.’ 
GEN.3.11	Hag yn-medh ev, ‘Piw a leveris dhis dha vos noeth? A wruss'ta dybri a'n wydhenn may hworhemmynnis dhis na wrelles dybri anedhi?’ 
GEN.3.12	Hag yn-medh an den, ‘An venyn a wruss'ta ri dhymm dhe vos genev, hi a ros dhymm a'n wydhenn ha my a dhybris.’ 
GEN.3.13	Hag yn-medh an 
GEN.3.14	Hag yn-medh an 
GEN.3.14	‘Rag ty dhe wul hemma, milligys osta
GEN.3.14	dres oll chatel
GEN.3.14	ha dres pub best a'n gwel;
GEN.3.14	war dha dorr ty a wra mos,
GEN.3.14	ha doust ty a wra dybri
GEN.3.14	pub dydh oll a'th vywnans.
GEN.3.15	Ha my a worr avi yntra jy ha'n venyn,
GEN.3.15	hag yntra dha has jy ha'y has hi.
GEN.3.15	Ev a wra brewi dha benn
GEN.3.15	ha ty a wra brewi y seudhel.’
GEN.3.16	Dhe'n venyn ev a leveris,
GEN.3.16	‘My a vynn kressya dha bayn yn feur ha ty gans flogh;
GEN.3.16	yn payn y fydhydh ow tineythi fleghes,
GEN.3.16	mes dha dhesir a vydh troha dha wour,
GEN.3.16	hag ev a wra dha rewlya.’
GEN.3.17	Ha dhe Adam ev a leveris,
GEN.3.17	‘Rag ty dhe goela orth lev dha wreg,
GEN.3.17	ha dybri a'n wydhenn
GEN.3.17	may hwrug vy gorhemmynna dhis, ow leverel,
GEN.3.17	“Na wra dybri anedhi”,
GEN.3.17	milligys yw an dor a'th wovis jy;
GEN.3.17	dre lavur ty a wra dybri anodho
GEN.3.17	oll an dydhyow a'th vywnans.
GEN.3.18	Ev a dhre spern hag askall dhis
GEN.3.18	ha ty a wra dybri losow an gwel.
GEN.3.19	Yn hwys dha fas ty a dheber bara,
GEN.3.19	bys may tehwylli arta dhe'n dor;
GEN.3.19	rag a henna ty a veu kemmerys:
GEN.3.19	rag doust osta,
GEN.3.19	ha dhe dhoust arta ty a dhehwel.’
GEN.3.20	Hag Adam a elwis hanow y wreg Eva drefenn hi dhe vos mamm peub oll byw. 
GEN.3.21	Ha'n 
GEN.3.22	Hag yn-medh an 
GEN.3.23	ytho an 
GEN.3.24	Ytho ev a jasyas an den yn-mes ha gorra an cherubim a'n barth est dhe lowarth Eden ha kledha ow flammya ow treylya war bub tu rag gwitha fordh an wydhenn a vywnans.
GEN.4.1	Hag Adam a aswonnis Eva y wreg ha hi a gonsevyas ha dineythi Kayn ha leverel ‘My re gavas gour gans gweres an 
GEN.4.2	Hag arta, hi a dhineythis y vroder, Abel, hag Abel o bugel deves mes Kayn o gonisyas dor. 
GEN.4.3	Ha wosa dydhyow pals y hwarva Kayn dhe dhri offrynn dhe'n 
GEN.4.4	Hag Abel ynwedh a dros rann a'n re gynsa-genys a'y flokk, hag a'ga blonek. Ha'n 
GEN.4.5	Mes orth Kayn ha'y offrynn ny viras, ha Kayn a veu pur serrys, ha'y fas a goedhas. 
GEN.4.6	Ha'n 
GEN.4.7	Mar kwre'ta yn ta, a ny vydh drehevys? Ha mar ny wredh yn ta, yma pegh ow skolkya orth an daras; ev yw hwansek dhe'th kavoes, mes ty – ty a wra y fetha.’
GEN.4.8	Yn-medh Kayn dhe Abel y vroder, ‘Deun ni yn-mes dhe'n gwel.’
GEN.4.9	Hag yn-medh an 
GEN.4.10	Hag ev a leveris, ‘Pandr'a wruss'ta? Yma lev goes dha vroder ow karma warnav dhiworth an dor. 
GEN.4.11	Ha lemmyn milligys osta dhiworth an dor re igoras y anow dhe dhegemmeres goes dha vroder dhiworth dha dhorn. 
GEN.4.12	Pan wonedhydh an dor, alemma rag ny vynn ev ri dhis y nerth. Ty a vydh gwandryas diannedh war an nor.’ 
GEN.4.13	Hag yn-medh Kayn dhe'n 
GEN.4.14	Awotta, ty re'm chasyas hedhyw dhiworth enep an nor, ha my a vydh kudhys dhiworth dha fas, ha my a vydh gwandryas diannedh war an nor, ha seul a'm kaffo a wra ow ladha.’ 
GEN.4.15	Hag yn-medh an 
GEN.4.16	Ha Kayn eth yn-mes dhiworth golok an 
GEN.4.17	Ha Kayn a aswonnis y wreg ha hi a gonsevyas ha dineythi Enok, hag ev a dhrehevis sita ha henwel an sita war-lergh hanow y vab Enok. 
GEN.4.18	Dhe Enok y feu genys Irad hag Irad a dhineythis Mehuyael ha Mehuyael a dhineythis Methusael ha Methusael a dhineythis Lamek. 
GEN.4.19	Lamek a gemmeras diw wreg, hanow an eyl o Ada ha hanow hy ben, Silla. 
GEN.4.20	Ada a dhineythis Yabal; ev o tas an re trigys yn tyldys ha dhedha chatel. 
GEN.4.21	Hanow y vroder o Yubal. Ev o tas an re a wra devnydh a'n sowtri ha'n salmus. 
GEN.4.22	Silla ynwedh a dhineythis Tubal Kayn, govelyer pub sort a doulys a vrons hag a horn
GEN.4.23	Hag yn-medh Lamek dh'y wragedh,
GEN.4.23	‘Ada ha Silla, klewewgh ow lev,
GEN.4.23	hwi wragedh Lamek, goslowewgh orth ow lavar,
GEN.4.23	rag my re ladhas gour neb a'm brewis
GEN.4.23	ha den yowynk neb a'm golias.
GEN.4.24	Mar pydh Kayn diellys seythgweyth,
GEN.4.24	ena Lamek seytek gweyth ha tri-ugens.’
GEN.4.25	Hag Adam a aswonnis y wreg arta ha hi a dhineythis mab, hag hi a elwis y hanow Seth, rag yn-medh hi, ‘Duw re wrontyas dhymm has arall yn le Abel, rag Kayn a'n ladhas.’ 
GEN.4.26	Ha dhe Seth, dhodho ev ynwedh y feu dineythys mab hag ev a elwis y hanow Enosh.
GEN.4.26	Y'n termyn na y tallathas tus gelwel war hanow an 
GEN.5.1	Hemm yw lyver henedhow Adam. Y'n jydh may formyas Duw mab-den, yn hevelep Duw y'n gwrug ev. 
GEN.5.2	Gorow ha benow ev a's gwrug ha'ga benniga ha gelwel aga henwyn ‘Den’ y'n jydh may fons i formyes.
GEN.5.3	Adam a vywas deg bloedh ha hwegh-ugens, ha dineythi mab yn y hevelep, war-lergh y imaj ev, ha gelwel y hanow Seth. 
GEN.5.4	Dydhyow Adam wosa ev dhe dhineythi Seth a veu eth kans blydhen, hag ev a dhineythis mebyon ha myrghes. 
GEN.5.5	Dydhyow oll bywnans Adam a veu naw kans blydhen ha deg warn ugens; hag ev a verwis.
GEN.5.6	Seth a vywas kans blydhen ha pymp, ha dineythi Enos. 
GEN.5.7	Seth a vywas eth kans blydhen ha seyth wosa ev dhe dhineythi Enos; hag ev a dhineythis mebyon ha myrghes. 
GEN.5.8	Dydhyow oll Seth a veu naw kans blydhen ha dewdhek; hag ev a verwis.
GEN.5.9	Enos a vywas deg blydhen ha peswar-ugens ha dineythi Kenan. 
GEN.5.10	Enos a vywas eth kans blydhen ha pymthek wosa ev dhe dhineythi Kenan, hag ev a dhineythis mebyon ha myrghes. 
GEN.5.11	Dydhyow oll Enos a veu naw kans blydhen ha pymp; hag ev a verwis.
GEN.5.12	Kenan a vywas deg blydhen ha tri-ugens, ha dineythi Mahalalel. 
GEN.5.13	Kenan a vywas eth kans blydhen ha dew-ugens wosa ev dhe dhineythi Mahalalel, hag ev a dhineythis mebyon ha myrghes. 
GEN.5.14	Dydhyow oll Kenan a veu naw kans bloedh ha deg; hag ev a verwis.
GEN.5.15	Mahalalel a vywas pymp blydhen ha tri-ugens ha dineythi Yared. 
GEN.5.16	Ha Mahalalel a vywas eth kans blydhen ha deg warn ugens wosa ev dhe dhineythi Yared, hag ev a dhineythis mebyon ha myrghes. 
GEN.5.17	Dydhyow oll Mahalalel a veu eth kans blydhen, pymthek ha peswar-ugens; hag ev a verwis.
GEN.5.18	Yared a vywas eth-ugens blydhen ha dew ha dineythi Enok. 
GEN.5.19	Yared a vywas eth kans blydhen wosa ev dhe dhineythi Enok, hag ev a dhineythis mebyon ha myrghes. 
GEN.5.20	Hag oll dydhyow Yared a veu naw kans blydhen, dew ha tri-ugens; hag ev a verwis.
GEN.5.21	Enok a vywas pymp blydhen ha tri-ugens ha dineythi Methusela. 
GEN.5.22	Hag Enok a gerdhas gans Duw trihans blydhen wosa ev dhe dhineythi Methusela, hag ev a dhineythis mebyon ha myrghes. 
GEN.5.23	Ha dydhyow oll Enok a veu trihans blydhen pymp ha tri-ugens. 
GEN.5.24	Hag Enok a gerdhas gans Duw ha ny veu moy, rag Duw a'n kemmeras.
GEN.5.25	Methusela a vywas seyth blydhen ha naw-ugens ha dineythi Lamek. 
GEN.5.26	Ha Methusela a vywas seyth kans vlydhen, diw ha peswar-ugens wosa ev dhe dhineythi Lamek, hag ev a dhineythis mebyon ha myrghes. 
GEN.5.27	Dydhyow oll Methusela a veu naw kans blydhen naw ha tri-ugens; hag ev a verwis.
GEN.5.28	Lamek a vywas diw vlydhen ha naw-ugens ha dineythi mab. 
GEN.5.29	Hag ev a elwis y hanow Noy, ow leverel, ‘An keth hemma a re dhyn konfort dhiworth agan ober ha dhiworth lavur agan diwla drefenn an dor re vollethis an 
GEN.5.30	Ha Lamek a vywas pymp kans blydhen, pymthek ha peswar-ugens wosa ev dhe dhineythi Noy, hag ev a dhineythis mebyon ha myrghes. 
GEN.5.31	Dydhyow oll Lamek a veu seyth kans blydhen, seytek ha tri-ugens; hag ev a verwis.
GEN.5.32	Noy o pymp kans bloedh, ha Noy a dhineythis Shem, Ham ha Yafeth.
GEN.6.1	Pan dhallathas mab-den kressya war enep an dor, hag y feu myrghes dineythys dhedha, 
GEN.6.2	mebyon Duw a welas myrghes mab-den ha'ga bos teg, hag i a gemmeras dhedha aga honan gwragedh a vyns anedha a dhewissons. 
GEN.6.3	Hag yn-medh an 
GEN.6.4	Yth esa an Nefilim
GEN.6.5	Ha'n 
GEN.6.6	Ha'n 
GEN.6.7	Hag yn-medh an 
GEN.6.8	Mes Noy a gavas gras yn golok an 
GEN.6.9	An re ma yw henedhow Noy. Noy o gour gwiryon ha perfydh yn y dermyn hag yth esa Noy ow kerdhes gans Duw. 
GEN.6.10	Ha Noy a dhineythis tri mab, Shem, Ham ha Yafeth.
GEN.6.11	An nor ynwedh o legrys a-rag Duw, ha lenwys o an nor a arowder. 
GEN.6.12	Ha Duw a welas an nor hag awotta, legrys ova, rag pub kig re wrussa legri y fordh war an nor. 
GEN.6.13	Hag yn-medh Duw dhe Noy, ‘Yma diwedh dhe bub kig devedhys a-ragov, rag lenwys dredha gans garowder yw an nor, hag awotta, my a vynn aga distrui gans an nor.
GEN.6.14	‘Gwra dhis gorhel
GEN.6.15	Yndella ty a'n gwra. Hys an gorhel a vydh trihans kevelin, ha'y les hanter-kans kevelin, ha'y ughelder deg kevelin warn ugens. 
GEN.6.16	Ty a wra fenester
GEN.6.17	Hag awotta, yth esov vy ow honan ow tri liv dowrow war an nor dhe dhistrui pub kig hag ynno anall bywnans yn-dann nev. Pup-tra eus war an nor a wra merwel. 
GEN.6.18	Mes genes jy my a wra fastya ow hevambos; ha ty a wra dos a-bervedh y'n gorhel, ty ha'th vebyon ha'th wreg ha gwragedh dha vebyon genes jy. 
GEN.6.19	Hag a bub kreatur byw, a bub kig oll, ty a wra dri dew a bub sort anedha a-bervedh y'n gorhel dh'aga gwitha yn fyw genes jy. I a vydh gorow ha benow. 
GEN.6.20	A'n ydhyn war-lergh aga hinda, hag a'n chatel war-lergh aga hinda, pub pryv a'n dor war-lergh y ginda, dew a pub sort anedha a wra dos dhis dh'aga gwitha yn fyw. 
GEN.6.21	Ha kemmer dhis neppyth a bub eghenn a voes a vo dybrys, ha ty a wra y guntell dhis; hag y fydh boes ragos jy ha ragdha i.’ 
GEN.6.22	Ytho Noy a wrug war-lergh pup-tra a erghis Duw dhodho; yndella y hwrug ev.
GEN.7.1	Ena yn-medh an 
GEN.7.2	A bub best glan, kemmer genes kopel anedha, yn bagasow a seyth, gorow ha benow, hag a'n bestes nag yw glan, unn kopel anedha, gorow ha benow, 
GEN.7.3	hag a ydhyn an ayr, yn bagasow a seyth, gorow ha benow dhe witha has yn fyw war enep oll an nor. 
GEN.7.4	Rag wosa seyth dydh my a wra glaw dhe goedha war an nor dew-ugens dydh ha dew-ugens nos ha pup-tra yn fyw re wrug vy gwruthyl, y fynnav y dhefendya dhe-ves dhiworth enep an nor.’ 
GEN.7.5	Ha Noy a wrug war-lergh pup-tra a wrug an 
GEN.7.6	Noy o hwegh kans bloedh pan dheuth an liv a dhowr war an nor. 
GEN.7.7	Ha Noy eth a-bervedh, y vebyon, ha'y wreg, ha gwragedh y vebyon ganso a-bervedh y'n gorhel, drefenn dowr an liv. 
GEN.7.8	Bestes glan, ha bestes nag yw glan, hag ydhyn ha pup-tra a gram war an dor, 
GEN.7.9	dew ha dew anedha, gorow ha benow, eth dhe Noy a-ji dhe'n gorhel dell wrussa Duw erghi dhe Noy. 
GEN.7.10	Ha wosa seyth dydh yth esa dowr an liv war an nor.
GEN.7.11	Yn hwegh kansves blydhen bywnans Noy, y'n nessa mis, yn seytegves dydh an mis, an keth jydh na y feu oll fentynyow an downder meur terrys igor, ha fenestri nev a veu igerys. 
GEN.7.12	Hag yth esa an glaw war an nor dew-ugens dydh ha dew-ugens nos.
GEN.7.13	Y'n keth jydh na y teuth Noy ha Shem ha Ham ha Yafeth, mebyon Noy, ha gwreg Noy ha gansa teyr gwreg y vebyon a-ji dhe'n gorhel. 
GEN.7.14	An re ma ha pub tra vyw war-lergh y ginda ha pub best war-lergh aga hinda ha pub pryv a gram war an dor war-lergh y ginda ha pub edhen war-lergh y ginda: pub edhen, ha pup-tra askellek. 
GEN.7.15	I eth dhe Noy a-bervedh y'n gorhel, dew ha dew a bub kig hag ynno anall bywnans. 
GEN.7.16	An re ow mos a-ji, gorow ha benow a bub kig, a dheuth kepar dell wrussa Duw y erghi; ha'n 
GEN.7.17	Ha'n liv a besyas dew-ugens dydh war an nor, ha'n dowrow a veu moghhes, hag i a dhrehevis an gorhel, hag y sevis a-dhiwar an tir. 
GEN.7.18	Ha'n dowrow a gressyas hag a veu moghhes yn fras war an nor ha'n gorhel esa ow mos war enep an dowrow 
GEN.7.19	Ha'n dowrow a gressyas yn feur war an nor hag oll an menydhyow ughel yn-dann oll an nev a veu kudhys. 
GEN.7.20	An dowrow a gressyas pymthek kevelin war-vann, ha'n menydhyow a veu kudhys. 
GEN.7.21	Hag y ferwis pub kig ow kwaya war an nor, ydhyn, chatel, best, pub kreatur owth hesya war an dor, ha pub den; 
GEN.7.22	oll an re esa war dir sygh hag anall bywnans yn aga dewfrik a verwis. 
GEN.7.23	Ha pub tra vyw war enep an dor a veu defendys dhe-ves, mab-den, bestes, pryves hag ydhyn nev, ha defendys vons dhe-ves dhiworth an nor, ha ny veu gesys yn fyw marnas Noy ha'n re esa ganso y'n gorhel. 
GEN.7.24	Ha'n dowrow a gressyas war an nor kans dydh ha hanter-kans.
GEN.8.1	Mes Duw a borthas kov a Noy hag oll an bestes, hag oll an chatel esa ganso y'n gorhel ha Duw a wrug dhe wyns tremena war an nor ha bashes veu an dowrow. 
GEN.8.2	Fentynyow an downder ha fenestri nev a veu stoppyes, ha'n glaw dhiworth nev a veu lettys; 
GEN.8.3	ha'n dowrow a omdennas heb hedhi dhiworth an tir, ha wosa kans dydh ha hanter-kans an dowrow a veu lehes. 
GEN.8.4	Hag y'n seythves mis, yn seytegves dydh an mis, an gorhel a bowesas war menydhyow Ararat. 
GEN.8.5	Ha'n dowrow a besyas lehe bys y'n degves mis. Y'n degves mis, yn kynsa dydh an mis, pennow an menydhyow a veu gwelys.
GEN.8.6	Ena dhe benn dew-ugens dydh, Noy a igoras fenester
GEN.8.7	ha dannvon yn-mes marghvran, hag yth esa hi ow mos yn-mes ha dehweles bys pan veu desyghys an dowrow dhiworth an tir. 
GEN.8.8	Ena ev a dhannvonas kolomm dhiworto dhe weles mars o an dowrow lehes dhiworth enep an dor. 
GEN.8.9	Mes ny gavas an golomm powesva rag godhen hy throes, ha hi a dhehwelis dhodho y'n gorhel, rag y feu an dowrow war enep oll an nor. Ena ev a ystynnas y leuv ha'y hachya, ha'y dri dhodho a-bervedh y'n gorhel, 
GEN.8.10	Ev a wortas hwath seyth dydh moy. Hag arta ev a dhannvonas an golomm mes a'n gorhel 
GEN.8.11	Ha'n golomm a dheuth dhodho y'n gorthugher, hag awotta, yth esa delenn oliv yr yn hy ganow, may hwodhva Noy bos an dowrow bashes dhiworth an tir 
GEN.8.12	Hag ev a wortas hwath seyth dydh moy ha dannvon an golomm yn-mes; ha ny dhehwelis dhodho arta.
GEN.8.13	Y'n kynsa blydhen ha hwegh kans, y'n kynsa mis, yn kynsa dydh an mis, y feu an dowrow desyghys dhiworth an nor; ha Noy a gemmeras yn-mes gorher an gorhel ha mires, hag awotta, sygh o enep an dor. 
GEN.8.14	Hag y'n nessa mis, yn seythves warn ugens dydh an mis, sygh o an nor.
GEN.8.15	Ha Duw a gewsis orth Noy, ow leverel, 
GEN.8.16	‘Ke yn-rag yn-mes a'n gorhel, ty ha'th wreg ha'th vebyon ha gwragedh dha vebyon genes. 
GEN.8.17	Doro yn-mes genes pub tra vyw usi genes, a bub kig, ydhyn ha bestes, pub pryv ow kramya war an nor, may hwrellons hesya yn pals war an nor ha doen frut ha kressya war an nor.’ 
GEN.8.18	Ytho Noy eth yn-mes, ha'y vebyon ha'y wreg ha gwragedh y vebyon ganso. 
GEN.8.19	Pub best, pub pryv, pub edhen, ha pup-tra ow kramya war an dor, war-lergh aga hinda, eth yn-mes a'n gorhel.
GEN.8.20	Ha Noy a dhrehevis alter dhe'n 
GEN.8.21	Ha'n 
GEN.8.22	Hedre vo an nor ow pesya,
GEN.8.22	hasa ha trevas,
GEN.8.22	yeynder ha toemmder,
GEN.8.22	hav ha gwav,
GEN.8.22	dydh ha nos, ny wrons sessya.’
GEN.9.1	Ha Duw a vennigas Noy ha'y vebyon ha leverel dhedha, ‘Degewgh frut ha kressyewgh ha lenwel an nor. 
GEN.9.2	Hag own ahanowgh hag euth ahanowgh a vydh war bub best a'n nor ha war bub edhen a'n ayr, war beub ow kwaya war an tir, war oll puskes an mor. I a vydh res yn agas dorn. 
GEN.9.3	Pup-tra ow kwaya hag a vyw a vydh boes ragowgh. Kepar ha'n losow glas, my re ros dhywgh pup-tra. 
GEN.9.4	Mes kig hag ynno y vywnans, henn yw y woes, ny wrewgh y dhybri. 
GEN.9.5	Hag yn sur, rag goes agas bywnans hwi my a vynn kavoes reknans; my a vynn y gavoes orth pub best; hag orth mab-den, orth den ha'y broder, my a vynn kavoes reknans a vywnans den.
GEN.9.6	Piwpynag a skoellyo goes den,
GEN.9.6	gans den y fydh y woes ev skoellyes.
GEN.9.6	Rag yn imaj Duw
GEN.9.6	ev a wrug mab-den.
GEN.9.7	Ha hwi, degewgh frut ha kressyewgh. Omleshewgh war an nor ha kressyewgh warnodho.’
GEN.9.8	Ena Duw a gewsis orth Noy hag orth y vebyon ganso, ow leverel, 
GEN.9.9	‘Awotta, yth esov ow fastya ow hevambos genowgh ha gans agas has war agas lergh, 
GEN.9.10	ha gans pub tra vyw usi genowgh hwi, ydhyn, chatel, ha pub best a'n nor genowgh hwi, a beub usi ow mos yn-mes a'n gorhel – pup-tra vyw a'n nor. 
GEN.9.11	Ha my a wra fastya ow hevambos genowgh. Ny vydh kig oll diswrys arta gans dowrow liv, na ny vydh arta liv dhe dhiswul an nor.’ 
GEN.9.12	Hag yn-medh Duw, ‘Hemm yw tokyn a'n kevambos esov ow kul yntra my ha hwi ha pub kreatur byw usi genowgh, bys vykken ha bynnari. 
GEN.9.13	My a worr ow gwarak y'n kommol, ha hi a vydh tokyn a gevambos yntra my ha'n norvys. 
