GEN.1.1	Chongpangpülei Kahvangi vangshothü hatü kahdoknyü ling. 
GEN.5.13	Büpai Mahalalel bühpheikü bong 840 nyu, hatü lebü yiükha yeshangthü büh. 
GEN.5.14	Peüshep Kenani bong 910 nyutü büpa di.
GEN.5.15	Mahalalel bong 65 nyushi Jared büh. 
GEN.5.16	Büpai Jared bühpheikü bong 830 nyu hatü lebü yiükha yeshangthü büh. 
GEN.5.17	Peüshep Mahalaleli bong 895 nyutü büpa di.
GEN.5.18	Jared bong 162 nyushi Enokh büh. 
GEN.5.19	Büpai Enokh bühpheikü bong 800 nyu, hatü lebü yiükha yeshangthü büh. 
GEN.5.20	Peüshep Jaredi bong 962 nyutü büpa di.
GEN.5.21	Enokh bong 65 nyushi Methuselah büh. 
GEN.5.22	Büpai Methuselah bühpheikü Kahvang mü bong 300 kam, hatü lebü yiükha yeshangthü büh. 
GEN.5.23	Peüshep Enokh bong 365 nyu. 
GEN.5.24	Enokh Kahvang mü kam, hatü büpa nenyu; mehenangkü Kahvangi büpa yahlang.
GEN.5.25	Methuselah bong 187 nyushi Lamekh büh. 
GEN.5.26	Büpai Lamekh bühpheikü bong 782 nyu, hatü lebü yiükha yeshangthü büh. 
GEN.5.27	Peüshep Methuselah-i bong 969 nyutü büpa di.
GEN.5.28	Lamekh bong 182 nyushi yeshang hük büh. 
GEN.5.29	Büpai naü kü Noah shei men, lappü, “
GEN.5.30	Noah bühpheikü Lamekh-i bong 595 nyu, hatü yiükha yeshangthü büh. 
GEN.5.31	Peüshep Lamekh bong 777 nyutü büpa di.
GEN.5.32	Noah bong 500 behe nyushi büpai Shem, Ham, hatü Japheth bühteke.
GEN.6.1	Mechem kahdoknyü kü hangku dahen pangpa, yiükhathü bühteke, 
GEN.6.2	Kahvang hathüi hangkuli yiükha nela meipü ee, hatü jomi jepüthü mü shem yem. 
GEN.6.3	Hahepak kü 
GEN.6.4	Hathü nyih kü hatü haphei kao Nephilim am hapa kahdoknyülei nyu. Mechem Kahvang hathüi hangkulei yiükhathü touei peipa, jomi hathü mü hapeüthü büh. Jomü aivang mebü hampa hatü bümlong wong kohpü men-e shennyakthü nyuteke.
GEN.6.5	Kahdoknyülei nyupü hangkulei mang ahshi longshi khih, hatü düngei jomei mongei ten mon deihnyüke shei 
GEN.6.6	Kahdoknyülei büpai hangku lingei tuhpü nangkü 
GEN.6.7	Hanangkü 
GEN.6.8	Shejao Noah payü 
GEN.6.9	Hathüyü Noahlei hühihathü: Noah-ü daülangshemshepü shennyak nyu, hatü büpa hepak kü hangku khongkü eela neshiüpü yangnyu, hatü büpa Kahvang mü kam. 
GEN.6.10	Noahlei hapeüthü jem nyu: Shem, Ham hatü Japheth.
GEN.6.11	Shaang Kahvang touei kahdoknyü-ü mang monha jüteishangteipai maei nyu. 
GEN.6.12	Mekei kahdoknyü tendaipa, hangkuthü peü mang lem kü daikem. 
GEN.6.13	Hanangkü Kahvangi Noah kü, “Ngei hapa hangkuthü mahtükkemhen hih; mehenangkü kahdoknyü kü hathü homei jüteishangteipai madaiteke. Ngei hingmei hangku hatü kahdoknyü nyiphen dohtükhen. 
GEN.6.14	Hanangkü nüngi am shing pü meipü yah-ei Jahas hük lingtü halei dung lingtuh, hatü shakhimong kü müh-i shaoktuh. 
GEN.6.15	Nüngi hapakei lingtuh: Hapa jahas-ü feet 450 lushi, ba kü feet 75, shaopü kü feet 45 lingtuh. 
GEN.6.16	Hapa kü adok küptuh, hatü hapayü dok philei inch 18 aongei lingtuh, hatü haam lemei shaden hük jiampa jaan, hatü jaandokpa thahshi lingtuh. 
GEN.6.17	Ngei kahdoknyülei bünghiyang lenei vangsho phangkü nyupü yem, hatü halei nyupü peü mahtükhen vang keiphahen. 
GEN.6.18	Shejao ngei nüng mü vangpüshuwpü hük linghen; nüng, anyüha, hapeüthü hatü jomphongei nyühathü peü jahas mongei shütuh. 
GEN.6.19	Nüngi yemmü nyupü yemlem peü kübü bihibaong shei nüng mü yemmü nyuhen leituh. 
GEN.6.20	Oulem peü, yemhimak hatü kahdokei kamteipü yemhamakha peü nüng mü yemmü nyuhen peikahen. 
GEN.6.21	Nüngi hahying lemphü am shem hatü hathü hahhen shingvaishi kotuh” shei e.
GEN.6.22	Kahvangi epükei Noah-i lemphü dük.
GEN.7.1	Hapheikü 
GEN.7.2	Nüngi daülangpü yemhimak bihibaong jora nyet, nedaüpü yemhimak bihibaong jora hükbaong yahtuh. 
GEN.7.3	Shao oulem peü kübü bihibaong jora nyet baong kahdok shak kü jomei li nyuhen shingvaishi yahtuh. 
GEN.7.4	Nyih nyet mongkü ngei kahdoknyülei nyih pinyi ya pinyi vang keiphahen, hatü ngei lingpü lemphü hapa kahdok shak kübü thittükhen” shei e. 
GEN.7.5	i eshuohpü peü Noah-i dük.
GEN.7.6	Mechem kahdoknyü kü bünghiyang lenpa, Noah bong kho vok nyuteke, 
GEN.7.7	hatü Noah, chehathü hatü chehathülei nyühathü büng kübü yanghen jahas mongei shü. 
GEN.7.8	Daülangpü yemhimak, nedaüpü yemhimak, outhü hatü kahdokei kamteipü yemhathü peü, 
GEN.7.9	bihibaong shei Kahvangi Noah kü epükei Noahlei jahas mongei shüteke. 
GEN.7.10	Nyih nyet pheikü bünghiyang lenpü pei.
GEN.7.11	Noahlei yangnyu bong khovokpabü len nyi mü nyih anpünyetpabü kü kahmong yunglok kemei bhaoei phumshang vang shaden apteke. 
GEN.7.12	Nyih pinyi ya pinyi thahshi vang kei. 
GEN.7.13	Ha nyih Noah, chehathü Shem, Ham, Japheth hatü hapeüthülei nyühathü jahas mongei shüteke. 
GEN.7.14	Phaüyem lemphü, haümyem lemphü hatü kahdokei lüei kamteipü yem lemphü, oulem kemei hatü yang kohpü ouhiyüh peü, 
GEN.7.15	bihibaong shei yem nyupü lemphü Noahlei jahas mongei shüteke. 
GEN.7.16	Kahvangi Noah kü epükei yemhimak bihibaong shei jahas mongei shü hatü 
GEN.7.17	Nyih pinyi thahshi vang keikhan keiyei yung longei kahdok kübü jahas bhongei aong. 
GEN.7.18	Yung longkhan longei yung shak kü jahas bhongteke. 
GEN.7.19	yung longkhan longei kahshangthü peü lümlang. 
GEN.7.20	Yung longei aongpai kahshang shangjing peih-ei feet 20 thahshi aongteke. 
GEN.7.21	Kahdoknyülei nyupü yemhimak, ouhiyüh hatü hangkuli peü mahkem. 
GEN.7.22	Kahdok shak kü shongsha lemei ngü heepü yemmü nyupü lemphüli didaikem. 
GEN.7.23	Kahdok shak kü yemmü nyupü hangkuli, yemhamakha, ouhiyüh peü thitei yaktük. Shejao büpa mü jahas mongei nyupüthü mon yangteke.
GEN.7.24	Kahdoknyülei yung nejepi nyih 150 nyu.
GEN.8.1	Shejao Kahvangi Noah hatü büpa mü jahas mongei nyupü yemhimakthü deih-ei dang, hatü Kahvangi vanglük lükhüei yung jepei leishih. 
GEN.8.2	Sheyü kahmong yung hatü phumshang vang shaden küptüktü vang nekei-i dohhü. 
GEN.8.3	Sheyü youngmü youngmü yung jepteke. Nyih 150 dohpü lemei yung jepei lei, 
GEN.8.4	hatü len nyetpabü nyih anpünyetpabü kü Ararat Kahshangei jahas maangteke. 
GEN.8.5	Len anpabü thahshi yung jepei jepei lei, hatü lenyang anpabü shongpü nyih kü kahshang teppü eeteke.
GEN.8.6	Nyih pinyi pheikü Noah-i ümha shaden aptü, 
GEN.8.7	ashaba hük shom, shejao hapa ashaba nyokei nelei-i yung mangjep thahshi piteiyei nyudai. 
GEN.8.8	Hapheikü büpai kahdok leipü yung jeplashang shei veinüng athuba hük shom. 
GEN.8.9	Shejao kahdok shak kü yung maei nyupü nangkü bakhen shing nedangi shao Noah touei jahaslei piyei lei. Hanangkü büpai athuba yepei yah-ei jahas mongei shülang. 
GEN.8.10	Büpai nyih nyet danei nyutü shao athuba shom. 
GEN.8.11	Om mü athubai julei olive pünien hük japtü büpa touei leijateke. Hahepak küang Noah-i kahdoknyü leipü yung jepteke shei nying. 
GEN.8.12	Büpai shao nyih nyet angtü nyipabü athuba shom shejao hapa hepak keyü athuba nyokei neleija. 
GEN.8.13	Noahlei bong kho vok mü hük shongpü len shongpü nyih kü kahdoknyü leipü yung jepdai. Hahepak kü Noah-i jahas kübü adok aptü veishingkü kahdokü üdaitü eeteke. 
GEN.8.14	Len nyipabü nyih hapünyetpabü kü kahdokü meishi üdaitü nyu.
GEN.8.15	Hahepak kü Kahvangi Noah kü, 
GEN.8.16	“Nüng, anyüha, hapeüthü hatü hathülei nyühathü peü jahas mongeipü vamkei. 
GEN.8.17	Nüng mü nyupü yem lemphüouhiyüh, yemhimak hatü kahdok leipü yemhamakha peü vamhütuh; shejüang jomi cheha shaanei li daei kahdoknyü makahen” shei e. 
GEN.8.18	Hanangkü Noah, chenyüha, hapeüthü hatü hathülei nyühathü peü vamteke. 
GEN.8.19	Jahas mongeipü yemhimak, ouhiyüh peü lem hük pheikü hük shei vamteke.
GEN.8.20	Hapheikü Noah-i 
GEN.8.21	Hapa vong meipü jakpü moila 
GEN.8.22	Kahdoknyülei nyupü thahshi sheili haihen hepak, vethen hepak, kaongpü, shaampü hepak, shao hatü ünyü hepak, nyihnüng yanüng nedoh-i nyuhen” shei e.
GEN.9.1	Kahvangi Noah hi chehathü kü moihimanei e, “Hahimoi büh-ei daeisheyei kahdoknyü mahütuh. 
GEN.9.2	Kahdok shak kübü yemhimak, ouhiyüh hatü yungching kübü nyahthü peü am kü nyemei nyuhen. Hathü kemei ammei lak kü shuohnyeih. 
GEN.9.3	Ngei am kü phenhavunglak shuohpükei yemmü kamteipü yem peü ammi hahhen shuohnyeih. Ngei am kü lemphü shuohnyeih. 
GEN.9.4	Ammi nehahhen hükü iy kohshi phai tehah. 
GEN.9.5	Shennyak hanei-i hangku yangnyu hanei jütükjema, ngei hapa iy yühen. Yemhimak hanei-i hangku jütükjema ngei hapa leipao iy yühen.”
GEN.9.6	Üpai hangkulei iy yenhühen, büpalei iy-ao yenhühen;
GEN.9.6	Mehenangkü Kahvangi shennyakü Kahvang lepü kü lingpeih.
GEN.9.7	Nüngi hahimoi longi bühtuh, hatü daeisheyei kahdoknyü kü nyutuh.
GEN.9.8	Kahvangi Noah hatü büpa mü nyupü chehathü kü e, 
GEN.9.9	“Shaang ngei nüng hatü nüng phei kübü hühihathü mü, 
GEN.9.10	hatü nüng mü jahas leipü vamei daipü yemhimak, ouhiyüh hatü yemhamakha mü vangpüshuwpü hük lingnyüpeih. 
GEN.9.11	Sheyü hajük kü bünghiyangi shei yem nyupü lemphü nemahtükpih, hatü bünghiyangi shei kahdoknyü nemangpih shei ngei vangnyüpeih.” 
GEN.9.12	Kahvangi, “Hapayü ngei hatü nüng, nüng mü nyupü yem nyupü peü aa kü ngoikahen den kemei shingvaishi vangteishuwteipü nyangeihepü nyuhen. 
GEN.9.13	Ngei phumshangei nyiamnyünyiamkang hük tuhnyüpeih; hayü ngei hatü kahdoknyü aa kü vangpüshuwpü nyangeihepü hük nyuhen. 
GEN.9.14	Mechem ngei kahdoknyü kü phum vamhühen hatü phumei nyiamnyünyiamkang eehenshang, 
GEN.9.15	ngei hatü nüng hatü nüng mü nyupü yem nyupü peü mü ngelei vangpüshuwpü ngei deih-ei danghen. Hajük kü bünghiyangi yem nyupü nemahhühen. 
GEN.9.16	Mechem phumshangei nyiamnyünyiamkang vamhen, ngei ha kü veitü Kahvang hatü kahdoknyü leipü yem nyupü lemphü mü nedohnetenpü vangpüshuwpü deih-ei danghen.” shei e. 
GEN.9.17	“Hapayü ngei hatü kahdoknyülei yangnyu nyupüthü aa kü vangteipü nyangeihepü hih” shei Kahvangi Noah kü e.
GEN.9.18	Jahas mongeipü vampü Noahlei chehathüyü Shem, Ham, Japheth nyu. (Ham-ü Kananei chepa nyu.) 
GEN.9.19	Hathü Noahlei hapeüthü jom jem leipü li kahdoknyü peülei daei daipeih.
