GEN.1.1	Pathianin a phut taka irnêng le irvân a siama, 
GEN.1.27	 Khanchu Pathianin ama irangpuiin mihriam a siama, ama ang zekin pasal le nupang a siama. 
GEN.1.28	 Khanchu Pathianin sat a vurhaia, Pathian ngêtin an kuang khan, “Irchi tamtak sema pung hrangin, irnêng chung hi lua sipin, nin ircham takin inomtir roi, tuipui sûnga ngahai chunga, chunglêng vahai chunga khom, thilhring irnêng chunga bokvâka fe murdihai chunga ircham nei roi,” a tia. 
GEN.1.29	Khanchu Pathian ngêtin, “Irngai roi, irnêng chunga chîmu tinrêng le thing tinrêng thing ra nei murdi nangni ki ipêk a ni, nin bu hrangin. 
GEN.1.30	Khan irnênga sa murdihai kôla khom, chunglêng va murdihai laia, thil irnênga bokvâka fehai laia khom, hringna nei murdihai kuanga khom, an bu hrangin sûlhringhai ki ipêk a ni,” a tia. 
GEN.1.31	Khanchu Pathianin a thilsiam murdi a ena, irngai ro, a sân a sa a ti oka. Khanchu khohloi a oma, zîng khom a hong om tâk a ni, a sûn rukna chu.
GEN.2.1	Kha zoiin chu irnêng irvân le a sûnga om hrang murdi siam zoi a ni tâka. 
GEN.2.2	 Khanchu Pathianin sûn sari nî tena chu a thilsiam hranghai siam zoiin, a sûn sari nî chu a thilsiam mâkin a’rngam tâka. 
GEN.2.3	Khanchu Pathianin sûn sari nî sûn chu sat a vurin a ser ir-up tâka. Kha nî sûn chu Pathianin a thilsiamhai thu ringot le a kuta a isiamhai mâkin a’rngamsanhai tâk sikin.
GEN.2.4	Irnêng le irvân siam dân chu hiang hin a ni, 
GEN.2.5	Irnênga sûl hringhai hi ite la om maka, irnênga anhringhai khom ite la mông thei maka. 
GEN.2.6	khannisianlân irnêng ata sûm a hong suaka irnêng pumpui a bit zoi tâka. 
GEN.2.7	 Khan 
GEN.2.8	Khan 
GEN.2.9	 Khan irnêng ata 
GEN.2.10	Khan Eden irhuan ata tuidung, irhuan irziltir hrangin a inluangtira, khatak ata irsem darin, iva minliin a’rsem suak ta. 
GEN.2.11	Inkhat irhming chu Pison a ni; Havila ram pumpui hual suaktu a ni, kha khan rângachak a oma; 
GEN.2.12	kha rama rângachak kha a satak a ni, kha khan Bedolak le berul lung khom a om. 
GEN.2.13	Vadung inhnina irhming chu Gihon a ni, hi hi Kus ram pumpui hualtu a ni. 
GEN.2.14	Vadung inthumna irhming chu Hiddekal a nia; Assuria ram nisua tianga luang a ni. Khan vadung minlina chu Eufrates a ni.
GEN.2.15	Khan 
GEN.2.16	Khan 
GEN.2.17	khan a sia le sa inhriatna thing ra hi chu ni ifâk hrang ni ma: ni fâkin chu, ni fâk nî sûn le zoro taka ni ithi ngêt hrang a ni,” tiin thu a pêka.
GEN.2.18	Khan 
GEN.2.19	Khan 
GEN.2.20	Khan Adama’n ramsa murdi, chunglêng vahai tinrêng irhming an neitirhai vinga; khannisianlân Adama chu a changpui hrang le a’rkoppui hrang ite a’rhloppui hrang om maka.
GEN.2.21	Khanchu 
GEN.2.22	Khan 
GEN.2.23	Khan Adama’n, “Hi ngêt hi keima ru ang ru neia,
GEN.2.23	ki taksa anga taksa nei ngei chu a ni:
GEN.2.23	Pasal ata lâksuak a ni sikin.
GEN.2.23	‘Nupang’ ti hrang ni a ti,” a tia.
GEN.2.24	 Khasikin pasalin a nu le a pa masan a ta, a dôngma chel a ti: khanchu taksa pumkhat hong ni ta an ti. 
GEN.2.25	Khan Adama le a dôngma kha korongboiin an oma, inzak ual mahai.
GEN.3.1	 Khan 
GEN.3.2	Khan nupangnu khan mirûl kuang, “Ti ma, irhuana thing rahai hi kin fâk thei, 
GEN.3.3	irhuan lâitaka thing ra hi chu Pathianin, ‘Nin ifâk hrang ni ma, an them khom nin inthem hrang ni ma, nin inthema nin fâkin chu nin ithi hrang kêng;’ a iti a ni,” a tia.
GEN.3.4	Khan mirûlin nupangnu kuang khan, “Thi viat no chin ni; 
GEN.3.5	nin fâk nî renga khan nin mit hong vâr a ta, a sia le a sa inhriatin Pathian hong ang nin ta, ti Pathianin nangni a inhriat chian a ni khate,” a tia.
GEN.3.6	Khanchu nupangnu khan thing ra kha fâk thei zât a nih ti le mit lâktak a nih ti le, mihai invârtir theitu thing ra irzukom tak a nih ti an hriatin chu, a ra senkhat irhmalin a fâk tâka; khan, a pasal khom a pêka a fâk sa tâka. 
GEN.3.7	Khanchu an ruaiin an mit a hong vâra, korongboi an nih ti an irhriat suak tâka; khanchu theipui hnâ insui irkopin puanbom hrangin an siam tâka. 
GEN.3.8	Khan, 
GEN.3.9	Khan, 
GEN.3.10	Khan ama khan, “Irhuana ni’rhâi kin hriata, korongboia om ki nih sikin, ki chi tâka; khasika khan ki irbîk tâk a ni,” a tia.
GEN.3.11	Khan, ama khan, “Korongboi ni nih ti tu’n mo nang a inhril? Thei ra faloi hrang tia nang ki ihril kha ni ifâk tâk ma ni?” a tia.
GEN.3.12	Khan Adama’n, “Keima ni ompui hranga nupang ni ni ipêk khan thei ra a ni pêka, ki ifâk tâk a ni,” a tia.
GEN.3.13	 Khan, 
GEN.3.14	Khan, 
GEN.3.15	Khan, nang le nupang hi nangni irdoitir ki ta, ni’rchihai le a’rchihai khom la’rdoitir ki ti: kha khan ni lu zêmirnôitir a ta, nangin a ke ârtui lei inchuk pe ni ti,” a tia.
GEN.3.16	Nupangnu kuang khan, “Ni dengtheina le ni nâi vongna kha a saterengin nang inpungtir pe ki ta; intak takin nâi nei ngai ni ta; khannisianlân ni nuamlam chu ni pasal tiang ni a ta, ama khan ni chunga ircham nei ngai a ti,” a tia.
GEN.3.17	 Khan, Adama kuang khan, “Ni dôngma thu ni zôm ta, thing inkhat, ‘A ra ni ifâk hrang ni mah’ tia thu nang ki ipêk kha, a ra ni fâk sikin irnêng hi nangma sikin khosâl tongin a iom tâk a ni; ni dam sûngin intak taka sinin a ra kha fa ta ni ti. 
GEN.3.18	Ilhling le hloisûlhai khom nang inpung pe ki ta; khan, irnênga ansûl hloihna fâkin om ta ni ti. 
GEN.3.19	Khan, irnênga ni kîr nôk mâka chu ni hmâia irthântui luang zon zonin bu ne ta ni ti; irnêng pil ata lâksuak ni ni sikin: Pil ni nia, pila dên ni ikîr nôk hrang a ni,” a tia.
GEN.3.20	Khan, Adama khan a dôngma kha mihring murdihai nu a ni sikin a’rhminga Evi a tia. 
GEN.3.21	Khan, 
GEN.3.22	 Khan, 
GEN.3.23	Khasikin 
GEN.3.24	Khanchu, mihriam kha an hnotsuak tâka; khan, hringna thing lampui kha enkol hrangin Eden irhuan nisua tiang pang cherubhai le mei khandai irvêl lop lop kha an omtir tâka.
GEN.4.1	Khanchu Adama’n a dôngma Evi kha a’rpôlpuia an râi tâka, “
GEN.4.2	Kha zoiin Abela a hong suak nôka. Abela chu belra enkolpu sin a thoa, Kaina chu loi sin thopua a om ta. 
GEN.4.3	Khanchu inhnunga chu hiang hin a hong ni tâka, Kaina’n a loimâna thil, 
GEN.4.4	 Abela khomin a belra pâl laia a martak le a suak masatak a hong chôia. Khan, 
GEN.4.5	Kaina le a thilinhlan kha chu lôm maka. Khanchu Kaina chu a sate’n a ning an mur pe tâka, a hmêl kha an khukhak tâka. 
GEN.4.6	Khanchu 
GEN.4.7	Thil ni tho insa’n chu lôm ni ihlo hrang mo ni ma? Ni tho’n sa no’n chu sual chu mikot kôla a iom chian a ni: a nuam lam chu nangma nang inhnê hi a nia, a chunga thu ni inei hrang a ni,” a tia.
GEN.4.8	 Kaina’n a sangpa Abela kuang, “Loia fe ei ti” a tia. Khanchu hiang hin a nia, loia an om laiin a sangpa Abela kha a’rsualpuia, a thatpai tâka. 
GEN.4.9	Kha zoiin chu 
GEN.4.10	 Khanchu 
GEN.4.11	Khasikin, irnêng, ni kut ata ni sangpa thisen dong hrang a bâi lei ângtu ata hi khosâl tong ni ta; 
GEN.4.12	irnêng ni tuk khomin a satna kha nang pe phal ta no nia; irnênga chaninvâi le inlêng hong ni ta ni ti,” a tia.
GEN.4.13	Khan, Kaina’n 
GEN.4.14	A vuan hin irnêng chung ata ni nin hnotsuak tâka, ni mithmu phâk loina ithuprûkin om ta ki ti, irnênga hin inlêng le chaninvâi ki hong ini hrang a ni ta; khanchu hiang hin ni a ta, mi tukhomin an ni hmupu dôrin ni that an ti,” a tia. 
GEN.4.15	Khanchu 
GEN.4.16	Khanchu Kaina kha 
GEN.4.17	Khan, Kaina’n a dôngma a pôla, khanchu an inrâia, Enoka an neia. Khan, khua a chuana, a khua irhming khom a nâipa irhming chôiin Enoka a tia. 
GEN.4.18	Khan Enoka’n nâipasal Irada a neia, Irada’n nâipasal Mehujaela a neia, Mehujaela’n nâipasal Methusaela a neia, Methusaela khan nâipasal Lameka a neia. 
GEN.4.19	Khanchu, Lameka’n dôngma inhni a neia, inkhat irhming chu Adaii a nia, inkhat nôk chu Zillaii, a ni. 
GEN.4.20	Khan Adaii leh khan Jabala an neia, ama chu puan ina om ngaihai sa vâi ngaihai irchibul a ni. 
GEN.4.21	A sangpa irhming chu Jubala a nia, ama hi chu perkhuang le theihle tum theihai irchibul a ni. 
GEN.4.22	Zillaii khomin Tubal-kaina, dâr le thîr hriamhrei tinrêng incher ngaitu a neia; khan Tubal-kaina farnu chu Naamaii a ni. 
GEN.4.23	Khanchu Lameka’n a dôngmahai kuang khan,
GEN.4.23	“Adaii le Zillaii haio, ki’rhâi inhre unglân:
GEN.4.23	Lameka dôngmahaio, ki thu’nsîr hi irngai roi,
GEN.4.23	A nin phop sikin mi ki thata,
GEN.4.23	A ni vîk irdul sikin ruatharte ki ithat a ni.
GEN.4.24	 Kaina phuba kha a bâk sariin an lâkin chu,
GEN.4.24	Lameka phuba chu a bâk sômsari le sariin an ilâk ngêt hrang kêng,” a tia.
GEN.4.25	Khan, Adama’n a dôngma a’rpôlpui nôka, nâipasal an nei nôka, a’rhming chu Setha a iphua a ni: “Pathianin Abela irthûla a ni ipêk a ni, Kaina’n a lei thatpai tâk sikin,” a tia. 
GEN.4.26	Khan, Setha khomin nâipasal a neia, a’rhming khom Enosa a phuaa. Kha rengata chu mihaiin 
GEN.5.1	 Hi hi Adama irchihai chuangna bu chu a ni. Pathianin thu ringota mihriam a siam nî khan, Pathianin ama ir-angpuiin ama kha a siama; 
GEN.5.2	 Thu ringotin pasal le nupang kha a isiamhai a ni. Thu ringota siam an ni lai khan sat a vurhaia, an irhming khom “Mihriam” a tihai ta. 
GEN.5.3	Khanchu Adama kha kum 130 a ni kumin, ama irangpuiin nâipasal a neia; a’rhming khom Setha a phuaa. 
GEN.5.4	Setha a nei zoiin Adama chu kum 800 a la dama nâi nupang le pasal dang a la neihaia. 
GEN.5.5	Khanchu Adama dam sûng kum chu 930 a ni zoiin a thi tâka.
GEN.5.6	Khan Setha khom kum 105 a ni’n nâipasal Enosa a neia, 
GEN.5.7	Enosa a nei zoiin Setha chu 807 a la dama nâinu le nâipa a la neihaia, 
GEN.5.8	kha zoiin Setha dam sûng kum chu 912 a niin a ithi a ni.
GEN.5.9	Khan Enosa chu kum 90 a ni kumin nâipasal Kenana a neia, 
GEN.5.10	khan, Kenana a nei zoiin Enosa chu kum 815 a la dama, nâinu le nâipa a la neihaia; 
GEN.5.11	khanchu Enosa dam sûng kum chu 905 niin a ithi a ni.
GEN.5.12	Khan, Kenana khan kum 70 a niin nâipasal Mahalalela a neia. 
GEN.5.13	khan, Mahalalela a nei zoiin Kenana chu kum 540 a la dama, nâinu le nâipa a la neihaia. 
GEN.5.14	Khanchu Kenana dam sûng kum 910 a niin a ithi a ni.
GEN.5.15	Khan, Mahalalela’n kum 65 a niin nâipasal Jareda a neia, 
GEN.5.16	khan Jareda a nei zoiin Mahalalela chu kum 830 a la dama, nâinu le nâipa a la neihaia, 
GEN.5.17	khanchu Mahalalela dam sûng kum chu 895 niin a ithi a ni.
GEN.5.18	Khan Jareda khan kum 162 a niin nâipasal Enoka a neia; 
GEN.5.19	khan, Enoka a nei zoiin Jareda chu kum 800 a la dama, nâinu le nâipa a la neihaia, 
GEN.5.20	khanchu Jareda dam sûng kum chu 962 niin a ithi a ni.
GEN.5.21	Khan Enoka khom kum 65 a niin nâipasal Methusela a neia, 
GEN.5.22	Methusela a nei zoiin Enoka chu kum 300 chu Pathian le omsuamin, nâinu le nâipa a la neihaia, 
GEN.5.23	khanchu Enoka dam sûng kum chu 365 a nia. 
GEN.5.24	 Khan Enoka chu Pathian leh omsuamin om ta maka, Pathianin a hruaipai tâk sikin.
GEN.5.25	Khan Methusela khom kum 187 a niin nâipasal Lameka a neia, 
GEN.5.26	khan Lameka a nei zoiin Methusela chu kum 782 a la dama, nâinu le nâipa a la neihaia, 
GEN.5.27	khanchu Methusela dam sûng kum chu 969 niin a ithi a ni.
GEN.5.28	Khan Lameka khan kum 182 niin nâipasal a neia, 
GEN.5.29	khan, “Hi mi ngêt hin 
GEN.5.30	Khan Nova a nei zoiin Lameka chu kum 595 a la dama, nâinu le nâipa a la neihaia; 
GEN.5.31	khan Lameka dam sûng kum chu 777 niin a ithi a ni.
GEN.5.32	Khan Nova chu kum 500 mi a nia, Nova khom nâipasal Sema, Hama le Jafeta a neihai a ni.
GEN.6.1	Khanchu irnêng chunga mihriam an hong punga, nâilete an hong tamin chu, 
GEN.6.2	Pathian nâihai khan, mihriam nâihai kha an hmêl a sa ti’n an hmuhaia, khanchu an indit murdihai chu dôngma’n an luahaia. 
GEN.6.3	Khanchu 
GEN.6.4	 Kha zoro khom khan rammuala hin mi lian an oma, kha zoi khomin Pathian nâihai khan mihriam nâihai irpôlpuiin nâi an neipuihai lai khom khan an oma, hihai hi chu tianlaia mi hrât, mi irhming inthanghai kha an ni.
GEN.6.5	 Khan 
GEN.6.6	Kha tena chu irnênga om hrang mihriam a lei isiam tâk hi a sate’n a’rsîra, lungrîl natna’n a neipui tâka. 
GEN.6.7	Khanchu 
GEN.6.8	Nikhomsianlân, Nova kha chu 
GEN.6.9	 Hiang hin Nova thurchi chu a ni. Nova chu mi feltak a nia, kha laia mihriam sûnga chu Nova chu Pathian le hmunkhata lêngsuam ngai a ni. 
GEN.6.10	Khan Nova chu nâipasal inthum a neia, Sema, Hama le Jafeta hai an ni. 
GEN.6.11	Khan, irnêng chung hi Pathian mithmuin a porinche zoi tâka, hnarsana’n a sip tâk sikin. 
GEN.6.12	Khanchu Pathianin irnêng chung hi a ena, irngai roi a isiat zoi tâk kêng, taksa om murdihai hin an omdân a isiat zoi tâk a ni hi teh a tia.
GEN.6.13	Khanchu Pathianin Nova kuang khan, “Taksa murdi hek hrang nikhua chu ki kuang a om ta, annihai sikin irnêng chung hi hnarsana’n a sipa, khasikin irnêng chung hi ki insiatpai hrang tâk kêng, a tia. 
GEN.6.14	Ni ta hrangin meisâr thingin irkuang siam ro; irkuanga khan banglâi siamin lân; a sûng tiang le a pên tiang meisâr hnâi ni ipol hrang a ni. 
GEN.6.15	Hiang hin ni isiam hrang a ni, irkuang a dung mûk irzathuma sei ni sianlân, a khang lian chu mûk sômringa ni ri se, a’rsâng lam chu mûk sômthum ni ri se. 
GEN.6.16	Irkuanga khan tukver khom ni isiam hrang a ni. A chung tiang mûk khat kâra a dâp ni itho hrang a ni. Irkuang inkhat chu a sîr tiang ni inhong hrang a ni. Irkuang chu irchuan inthumin ni isiam hrang a ni. 
GEN.6.17	Khanchu irngai ro, keima’n taksa nei murdi hringna pai hrangin irnêng chung hi tui ki indîl zit hrang a ni. Irnênga hringna nei murdi that vingna hrangin, 
GEN.6.18	khannisianlân ki thuthung chu nangma hrangin indet ual ki ta, irkuanga ni ilût hrang a ni, nangma lût ni ta; ni nâihai le ni dôngma le ni moinuhai ni kuang an ilût sa hrang a ni. 
GEN.6.19	Khan taksa nei murdi, le thilhring laia mi chi tin bop khatin ni kuang an hring theina hrangin irkuanga ni ihruai inlûthai hrang a ni; nupang le pasal an ini hrang a ni. 
GEN.6.20	Vâhai khom chi tin an irkip hrang a ni. Sa khom chi tin an omdân angin an irkip sa zit hrang a ni. Thilhring murdi a bop irkipin an pung thei nôkna hrang le an hring theina hrangin ni kuang an ihong hrang a ni. 
GEN.6.21	Khan bu nin inêk le fâk thei zât lâk khômin buk zit ro; nang le annihai fâk hrangin,” a tia. 
GEN.6.22	 Khaang khan Nova’n a thoa, Pathianin a kuanga thu a ipêk murdi zômin a itho tâk a ni.
GEN.7.1	Khan 
GEN.7.2	Sa irthiang murdi laia mi, a chal le pui bop sariin, 
GEN.7.3	sa irthiang loi laia mi a chal le pui bop khatin, chunglêng vâhai laia mi khom a pui le chal bop sariin, irnêng chunga irchi nei hrangin ni ihruai inhringhai hrang a ni. 
GEN.7.4	Sûn sari a la’rsam, hi zoi hin chu irnêng chunga hin sûn sômminli zân sômminli rua inthotir ki ta; ki thilhring siam murdi irnêng chunga an hek theina hrangin,” a tia. 
GEN.7.5	Khanchu Nova khan 
GEN.7.6	Hi tui a lêt lai hin Nova chu kum 600 mi a ni. 
GEN.7.7	 Khan tui a lêt hrang sikin Nova chu irkuanga a lûta, a dôngma, a nâihai le a moihai an rêngin an lûta. 
GEN.7.8	Pathianin a kuanga thu a ipêk angin sa irthiang laia mi le, sa irthiang loi laia mi khom chunglêng vâhai khom irnênga bokvâka om murdi le, 
GEN.7.9	Nova kuanga irkuanga khan an lût ving tâka. 
GEN.7.10	Khan sûn sari zoia chu irnênga hin tui a hong lêt tâka.
GEN.7.11	 Nova chu kum 600 a ni kum, tha hni le sûn sôm hleisari nî chu, tuipui inthûk tak sipin a sinthônaa omin, irvân tukver a’rhong pe tâka. 
GEN.7.12	Khan sûn sômminli zân sômminli sûng chu ropuivânsâng a tho tâka. 
GEN.7.13	Hi laia hin Nova nâihai Sema, Hama le Jafeta, Nova dôngma irkuanga an lûta, an moinuhai inthum an lût saa. 
GEN.7.14	Annihai le sa tinrêng le ramsa murdi an lût vinga, thilhring le chunglêng vâ mitha neia vuang murdihai an lûta. 
GEN.7.15	Khanchu taksa nei murdi a chal a pui an rêngin Nova irkuang sûnga an lûta. 
GEN.7.16	Khanchu a lûthai chu Pathianin thu a ipêk angin an lût zoiin chu irkuang a khâra.
GEN.7.17	Khan, tui kha irnêng chunga hin sûn sômminli a lêt tâka, tui chu a sip zut tâka, irkuang chu a’rhlân maia. 
GEN.7.18	Sûn tin tui a lian intam maia, irkuang inhlânin a om maia, 
GEN.7.19	tui chu a sate’n a bit zoi tâka khomual irsâng ite inlang thei ta maka. 
GEN.7.20	Tâng irsânghai chunga mûk sôm hleiringaa irsângin a om tâka, 
GEN.7.21	khanchu taksa neihai, ram sahai, vâhai, sahai, thilhring irnênga bokvâka irlôihai le mihriam om murdi an thi zoi ving tâk a ni. 
GEN.7.22	An hnâra hringna phûksân lâk murdi an thi zoi tâk a ni. 
GEN.7.23	Pathianin a thilsiam hai, mihriam, ramsa, sahai, vahai le irnênga bokvâk murdihai an thi zoia. Nova le irkuanga lût ti no chu zôkin hmu hrang om ta mahaia. 
GEN.7.24	Khan tui chu sûn sôm irzakhat sûn sômringa chu irkai loiin a lêt tâka.
GEN.8.1	Khanchu Pathianin Nova le irkuanga thilhringhai ramsa le sahai, bokvâka irvâk murdihai kha irnghilhai maka, Pathianin irnêng chunga phâivua an zâptira, tui lianpa kha a’rkai thiai tâka, 
GEN.8.2	tui inthûk tak hnârhai le vân tukver khom a’rkhâra om kha, rotho irvân ata a chan tâk sikin, tuilian khom a’rkaia. 
GEN.8.3	Khanchu sûn sôm irzakhat le sûn sôm ringa a kâi zoiin chu tui a tôm ok tâka, 
GEN.8.4	khanchu irkuang kha a tha sarina sûn sôm hleisari nî tena chu, Ararat tânga irkuang a’rngam thei tâk a ni. 
GEN.8.5	Khan tui chu a tha sômna tena chu a hong tôm tâk sikin, a tha sômna sûn khat nî tena chu tâng sîp irzumhai an lang thei ta.
GEN.8.6	Khan sûn sômminli a hek tena chu hiang hi a hong nia, Nova’n irkuang inkhâr a isiam kha an honga, 
GEN.8.7	vaâk inkhat an suaktira, irnênga tui a kang zoi mâka chu a vuang irvêl maia, 
GEN.8.8	khan tui a tôm le tômloi inhriatna hrangin vasu an suaktir nôka, 
GEN.8.9	khannisianlân vasute khan chuangna hrang ite a la hmu no sikin, irkuang tiang ngêt a hong kîr nôka, tui a la om pe sikin. Khanchu Nova’n a kut leh a hon pûra a chela irkuang sûnga a hruai lût nôka. 
GEN.8.10	Khan sûn sari dang a nghâk nôka, vasu kha irkuang ata an vuangtir nôka, 
GEN.8.11	vasu chu a vuangin khohloi tiang chu a hong kîr nôka; khan irngai ro, a hmûra khan Oliv hna tharte a hong sê khap pea, khanchu Nova’n tui a tôm tah ti an hriat thei ta. 
GEN.8.12	Khan sûn sari dang a nghâk zoiin chu vasu an vuangtir nôka, a kuang hong kîr nôk pe ta maka. 
GEN.8.13	Khan Nova kha kum 601 a ni kum, tha khat sûn khat nî tena chu irnênga tui a kang tâk sikin, Nova’n irkuang irkhûna puan a paia, a thîr vêla tui chu kangin rammual a’rlang ving ta. 
GEN.8.14	Khan tha hnina le sûn sôminhni sûn sari ni tena chu ite tui hmu hrang om viat ta maka.
GEN.8.15	Khanchu Pathianin Nova kha, 
GEN.8.16	“Irkuang ata suak ta ro, nang le ni dôngma, ni nâihai le an dôngmahai khom hmunkhatin suak roi. 
GEN.8.17	Taksa nei murdi le thilhring ni iompuihai khom, sahai, ramsahai irnênga bokvâka fehai le vâhai khom hmunkhatin hruai suakhai vingin lân, irnênga hin nâilete nei intamin, irchi tamtak neia an hong pung theina hrangin,” tiin a hrila. 
GEN.8.18	Khanchu Nova kha a dôngma le a nâihai le a moinuhai an rêngin an suaka, 
GEN.8.19	sa tinrêng le thilhring murdi vahai irkuang ata an mâni irchi om dân ang takin an suak ta.
GEN.8.20	Khan Nova’n 
GEN.8.21	Khan 
GEN.8.22	Irnêng om sûng chu bu’nrît le bu âtin, kholum le khodâi, phalbi le kholum, sûn le zânhai, khom boi no ni,” a tia.
GEN.9.1	 Khan Pathianin, Nova le a nâihai kha bor a pêkhaia, an kuang khan, “Irchi tamtak thâka hong pungin irnêng chung lua insip roi. 
GEN.9.2	Nangnihai hi irnêng ramsahai le vâhai khomin chitna nangni nei an ti; annihai le bokvâka fâk zong murdi le tuipui sûnga ngahai khom, nin kuta pêk an ni zit ta. 
GEN.9.3	Thilhring châng thei murdi khom nin hrangin fâk thei ni an ta, anhring nangni ki ipêk ang khan itinrêng nangni ki pêk zit ta. 
GEN.9.4	 Khannisianlân sahai hi a thisen om pumin nin ifâk hrang ni ma. 
GEN.9.5	Khan nin thisen, nin hringnahai chu keiin phuba ki ilâk ngêt hrang a ni, sa murdihai laia khom mihriam laia khom, mi tin an urêng laia khom phuba chu ki ilâk ving hrang a ni. 
GEN.9.6	 Mi tukhom mihriam thisen insuaktu chu, mihriam ngêtin ama thisen an insuaktir hrang a ni. Pathian irangpuia siam an ni sikin. 
GEN.9.7	 Khan, nangni chu irchi suanpâr tam takin hong pung unglân; irnênga hin nâi tamtak nei unglân; irnêng hong sip roi,” a tia.
GEN.9.8	Khan Pathianin Nova le a nâihai kuanga khan, 
GEN.9.9	“Irngai roi, keima ngêtin nangni le nin irchi la hong om hranghai kuanga ki thuthung chu ki indet a ni, 
GEN.9.10	nin kuanga vahai, sahai le ram sahai, irkuang ata suak murdihai laia. 
GEN.9.11	Nin kuang ki thuthung chu indet ki ta, taksa nei murdihai khom tuilêtin indîlin irhmang ta no nihaia, irnêng insiat hrangin tui khom lêt ta no ni,” tiin a hrila. 
GEN.9.12	Khan Pathian ngêtin, “Hi hi kei le nangni le nin laia thilhring om murdihai laia khom mongni nei loia om mai hranghai laia thuthung irsinsiana a ni. 
