MAT.1.1	Abraham le David a pasalnai Jisu Khrista hongkanthuina pa le puthui rabu ha hi ani.
MAT.2.13	Anmanin an che suapha, Puma thaneithiang ha ning Josep a manga a mankanmua a ti, “Naite ha a nu le tuang in lang Ijip ram ma tantaru, han kein chong ka na pek mak kar je son hong om ru, ajarko, naite hi Herod ning that ranga hong rang ani.”
MAT.2.14	Josep ning a thuia nai le a nu ha a tuanga Ijip tiang jan na an tan jui. 
MAT.2.15	Herod a thi mak kar je Ijip ram ma an om jui, hiva hi Puman tashantheingai bai sua a alui ri, “Kein ka nai pasalnai ha Ijip an phut ka kuirangke ti ha tung na ranga ani.”
MAT.2.16	Nisua tianga arshi rabutheingain an na huang jui tihi, Herod ning a jet pha, a lung tam tak a thakjui, ama ning arshi rabutheingai tenna arshi leisuak ha a jet nuk juia Bethlehem khosung le khosir khopang a om pasalnai kum ni thuoilim that ranga chong a pek a atirjui.
MAT.2.17	Pathian tashanthei Jeremia in alui ri ha tung na ranga ani. 
MAT.2.18	“Rama rasa an khat an jet, chayangsiarra a chap ha ani, Rachel in a naingai rang a chap; a chap ha mathem tor timak, a naingai an thi suaver jarra.”
MAT.2.19	Herod ning a thi suapha, Ijip ram ma Josep a manga Puma thaneithiang khat in a mankanmu a ti. 
MAT.2.20	“Thui in lang nai le a nu hi tuang in lang Israel, ram ma che taru; ajarko, naite that rang tipa ha a thi jui.” 
MAT.2.21	A man a thuija an nucha ha a tuanga Israel ram ma an hong jui.
MAT.2.22	Tak-ha Judia ram ma Arkhelos ning, a pa Herod rahut reng achangti chong a jet pha, Judia ram ma che rang hi alui chit, han, a manga Pathian in a manjet jarra Galili ram khat tiang lam alui loijui, 
MAT.2.23	Nazaret anti khuo han an hong om jui, “A ma Nazaret mi anti rang ke” tia Pathian tashantheingain an lui ri ha tung na rang ani.
MAT.3.1	Hava phat han Judia ramtong lian na Johon Baptis ning chong a hong semma a hong. 
MAT.3.2	“Nan lungthulru, ajarko, vanrengram ha a hong nai jui,” 
MAT.3.3	Johon ha alui ni, Pathian tashanthei Isaia in alui ri ha: “Ramtong lian na mi khat khek rasa, Puma lam ha sinru, a lon na rang lam man tunru.”
MAT.3.4	Johon in saringsei mul puan a luisi, a kongvonrui savun alui ni, hale a chak a nek om khai le khoining alui chak. 
MAT.3.5	Hava phat han, Jerusalem, Judia ram sunga om rakip; hale Jordon sirpanga a om mirakip in Johon jiang an lui che. 
MAT.3.6	An siatna ha an ri la, Jordon tuidunga ama ning baptais a man tho.
MAT.3.7	Pharisi le Sadusingain, ama jiang tuija baptais tho ranga an hong a mu han a hong ti, “Rul ang mi lungsaluingai, Pathian lung thak na a juang tung rang pha han, tu ning mo tanru tia ana manjet? 
MAT.3.8	Nanlungthul ha mu thei na rang a ra manneiru. 
MAT.3.9	An khat om, keini kan pa Abraham kan nei tia kan ngaidon maru, ajarko, Pathian in hiva lungai tenna an phut Abraham a naingai a man suak tor tihi ka na ripe ani. 
MAT.3.10	Thingkungngai ha a rajung tan na rang rei sin na a om, arasat nei lui thing kung rakip tanverra meisunga deng juan rang ani. 
MAT.3.11	Nanlungthul ha jet na rang kein tuija baptais ka na man tho tak-ha, kanuk a ahong pako a lian ranaknei ani, kein a kekok choi rang tenna rahui nei making. A ma ningko, nang ni ha Thavang Thiang le meija baptais namantho nati. 
MAT.3.12	A ma yangjap a kut a lek, a chang rasik na mun asat man thiang nati, han chang ha innte sunga thun nati, tak-ha ashi avai ha ko, athitibui mei khur sunga deng juan nati.”
MAT.3.13	Hava phat han Galili tenna Jisu ning Jordon tuidunga Johon ning baptais man tho na rang alui hong. 
MAT.3.14	Tak-ha Johon ning luijotmak hingahin alui ti, “Keilam hi nang in baptais na na man tho rang a suak, ija mo kei jiang lam na hong ani?”
MAT.3.15	Tak-ha Jisun ama jiang a ti, “Atunko na jot pediro, hingahin dik na rakip kein in lungdo kan man tung rang a suak, han Johon ning a jot jui.”
MAT.3.16	Jisu ning baptais alui tho jui, hale tuisung tenna a hong suak lai han enru, vanram a kan longa, Pathian Thavang Thiang in vatuk turun anga a hong chumma a chunga a chuang ha Johon in alui mu. 
MAT.3.17	han, jet lui thailuija vanram tianga rasha khat ning a hong ti; “A ma hi ka lungsiattak ka pasalnai ani, ama jiang ka lungdo a tung.”
MAT.4.1	Hale, Thavang ning Jisu ha ramtong lian na seitan ning mathemna rang a tuang jui. 
MAT.4.2	Sun sommanli le jan sommanli a man bu a ngei pha han, ama a von a chamjui. 
MAT.4.3	Seitan in a honga a ti, “Nang Pathian Pasalnai ha naninko, hiva lungngai hi bu chang na rang chong pero,”
MAT.4.4	Jisun a hong sanga a ti, hingahin a kan jiak sake, mi ning bujak han ring na nimak, tak-ha Pathian baija an phut a hong suak chong han ring na ani.
MAT.4.5	Hava suale seitan in Jisu ha a thiang khopui han a tuanga, hale biakinn chungshang tak han a man ong. 
MAT.4.6	A ma jiang a ti, “Pathian Pasalnai ha naninko, kan chom thakro, ajarko hingahin a kan jiak sake, Pathian in nang ranga thaneithiangngai ha chong benata, hale na ke na theng khiakmak na rang anmanin an kut an na lui pom rang ke”.
MAT.4.7	Jisun ama jiang a ti, “Hingahin a kan jiak, nang in na Puma ha ensinthei noni che.”
MAT.4.8	Veikhat seitan in Jisu ha tangbung shang tak khat chunga a tuanga, ramuol chunga rengram le ma hok lian na a man mu. 
MAT.4.9	A ma jiang a ti, “Nang in na kunna chubei nanabuk inko hiva rakip hi ki na pe rang ke.”
MAT.4.10	Han Jisun ama jiang a ti, “Chetaro seitan, ajarko, hingahin a kan jiak sake, nang in na Puma na Pathian jak ha chubei na buk rang a suak.”
MAT.4.11	Han, seitan in a mak jui, enru, thaneithiangngai an honga, Jisu ha an hong sanjui.
MAT.4.12	Johon an churra ren inna an thunjuiti Jisun a jet pha Galili ramtiang a che jui, 
MAT.4.13	Nazaret khuo a mak Zebulun le Naphtali ram sunga tui sirra om Kapernam anti khuo han a om jui. 
MAT.4.14	Hivahi tashanthei Isaia ning alui ri chong ha tung na rang ani, 
MAT.4.15	“Zebulun ram le Naphtali ram, tui khamma om Jordon va ralla Galili jatdangmingai. 
MAT.4.16	Ajing mun na a om mingai ning var a lian khat an mu jui. Hale thina ram sung le thina nilim thuoia omngai chunga a hong varjui.”
MAT.4.17	Hava pha tenna Jisun Pathian chong ri a phut a ti, “Nan lungthulru, ajarko vanrengram ha a nai jui.”
MAT.4.18	Jisun Galili tui khamma a hong lon na, Pitar, Simon om anti a naipangpa Andrew ngai ucha, ngachurmi anni jarra, tui sunga len an vorra nga an tok ha alui mu. 
MAT.4.19	A man anmani jiang a ti, “Kei na juiru, han kei ning len vorra michur na man changkati.” 
MAT.4.20	Hava phatak han an len an mak a ama an jui jui.
MAT.4.21	Hava tenna an hong chea, Zebedi a nai, anni Jems le a naipangpa Johon, rokuang sunga an pa Zebedi le len an shui ha a mu uchangai ha a kui jui. 
MAT.4.22	Hava lai tak han anmanin rokuang le an pa an mak a manuk an jui jui.
MAT.4.23	Hava suale Jisun Galili ram pumpuia a chea, Sainagok sunga rengram chongsat ruia alui man chu, hale nat rakip le ritong rakip mingai ha alui mandamjui. 
MAT.4.24	han ama chuan sat tho na ruihi Sairia ram pumpuia a thangjui, adamtorlui natsat, ritong khodengthei, khotangriabuk in a choi, a ke a pang her khat a thi rakip a kol la an hong choi a alui mandamjui. 
MAT.4.25	Hale Galili, Dikapoli, Jerusalem Judia, an khat om Jordan khel la om mitamtak in a nuk an lui jui.
MAT.5.1	Mitam ha a mu a tangbung a kalla a ong jui, han a kol la a thiamruoingai an lui hong. 
MAT.5.2	Hale a man chu a phut a hingahin a ri.
MAT.5.3	“Thavang a a riangai ha ravansat anni; ajarko vanrengram ha an manita ani! 
MAT.5.4	Achapngai ravansat anni; ajarko Pathian ning anmani ha hui na pek nati! 
MAT.5.5	Lungnem mingai ha ravansat anni; ajarko simlei hi anta ranga ani. 
MAT.5.6	Pathian ning a dei a tho ngai ha ravansat anni; Pathian ning an lungdo a mantungpe rang ke! 
MAT.5.7	Mi lungsiattheingai ha ravansat anni; Pathian ning an chunga lungsiat mu nati! 
MAT.5.8	Lungthiang mingai ha ravansat anni; ajarko Pathian an la mu rang ke! 
MAT.5.9	Lunghip kan chamna ranga avarngai ha ravansat anni; ajarko Pathian naingai ninanti! 
MAT.5.10	Adik chuan tho jarra khodengtheingai ha ravansat anni; ajarko vanrengram ha an manita ani!
MAT.5.11	“Kei ruia mingai in an naran, khodengthei jak na, hale non tak nan chunga chong tam tak an narisiat ha ravansat nan ni, nang ni ha kei ka nuk jui nan ni. 
MAT.5.12	Ningsatru, a khel la manhuiru; ajarko vanram ma a lian tak nan tum rang a om, hingahin nan madonna Pathian tashantheingai om an luimanpong ani.
MAT.5.13	“Nang ni ramuol la machi nan ni, tak-ha machi alha a om mak inko, ija mo alha an sintor rang? Anemna i te omlaimak, anpeija miringngai kesirna an manchangrang ani,
MAT.5.14	“Nang ni ramuol la var nan ni, tangbung chunga khopui ha thup jotma. 
MAT.5.15	Hale tu innom thaomei ansitle luk sunga khum demau, tak-ha thaomei a ong na chunga ansiak inn sunga a om rakip ranga var ha ani. 
MAT.5.16	Ha ang han nan var ha mingai mai kunga var rase, hale nan chuan sat tho ha an mu a, vanram ma nan Pa ha manpak na rang ani.
MAT.5.17	“Kein dan le tashantheingai chong ri a manmang ranga a hongke tia ngaidon maru, dan manmang ranga ka hong nimak, tak-ha man tung na rang ka hong ani. 
MAT.5.18	han kein chogtakballa ka na ripe ani, vanram le ramuol a mang maje, dan chong pek ha lungdo a tung maje aramal a sin tet jiakdet khat om mang noning. 
MAT.5.19	Tu aninom hiva chongpekngai hi a sin khat avekhuia, hale midang om man jui mak na rang a man chu inko, vanrengram ma ama ha a sin tak ani rang ke, tak-ha tu aninom a jui a, midang ham a man chu inko vanrengram ma ama ha a lian tak anti rang ke. 
MAT.5.20	han kein a thianga ka na ti, danthei le pharisingai mi dik anni ha, nang nin kheldet mi dik nan changtormak aninko vanrengram ma lut noni che u.
MAT.5.21	“Nang mi that maro, tu aninom mi that ha chongtan na pha han khodengthei nati,” tia ulianngai jiang an lui ri ha nan jet jui. 
MAT.5.22	Tak-ha kein ka na ti, tu aninom a u a nai jiang arui a jar buia lung thak na a nei inko, chongtan na han khodengthei na mu nati, tu aninom a u a nai jiang nem na bui le shatnabui tia akok aninko ama ha ulianrup kan chun na mai kung a khodengthei mu nati, tak-ha tu aninom a u a nai jiang mi am, mivet, nem na bui a tinko mei khurra khodengthei na mu nati. 
MAT.5.23	Han nang nin Pathian jiang kutchoiphur pek rang nan hong choi pha han, na u na nai khat in na chunga lunghuiluina ana ngaidon inko, 
MAT.5.24	Pek na mun han na kutchoi ha mak in lang na u na nai le hongkanchamna bakru, ha suale na kutchoi ha hong pero.
MAT.5.25	Na kansualpui mi ha lam ma nakantong lai tak, a rak a kanchamna puiro, animak inko chongtanpu jiang na pelut a jot, chongtanpun ren innngak ulian jiang na pek nati, han nang ha ren inna nathun nati. 
MAT.5.26	Adik tak nang jiang ka na ripe ani na sakrang peisha ha nasak suamak kar je, nang in hava mun tenna suak tor noni che.
MAT.5.27	“Nang in mi numei ompuijot noning”, tia ulianngai jiang an lui ti chong ha nan jet jui. 
MAT.5.28	Tak-ha kein nang ni jiang kati, tu aninom ani lui lungdo a numei khat a en inko a lung ril la a ompuijui ani. 
MAT.5.29	Hiva jarra na chang tianga na mit in siatna ana masul rang aninko, kel in lang peiro; ajarko na tak renga mei khurra ana masul rang nek inko her khat buia na om lam nang rang asat ani, 
MAT.5.30	na kut changtiangin siatna ana masul rang aninko, tan in lang peiro, ajarko na tak renga mei khurra ana masul rang nek inko, na tak her khat builam nang rang asat ani.
MAT.5.31	Hingahin an lui ti, “Tu aninom a numei akansenpui inko, kansenpuina rabu khat pe rase”. 
MAT.5.32	Tak-ha kein nang ni jiang kati, tu aninom ani lui omchan chuan tho ni luia kansenpuisa numei omchan saluinu chang rang ani, hale mi ning an kansenpuisa numei ha aneiret inko, tu aninom om pui salui chuan tho mi ani jui.
MAT.5.33	Veikhatret man lai ulianngai jiang an lui ri ha nan jet jui, “Na chong birip sukkhui maro hale na chongsan ha Puma lungdo mantungro”. 
MAT.5.34	Tak-ha kein nang ni jiang kati ani, “An chongsan karra vanram na jetrase tia kansham maru, ajarko Pathian ong na munke”. 
MAT.5.35	Animakle simlei palla chongsan maru, ajarko puma kesir na ke, Jerusalem minga om chongsan maru, ajarko reng lian khopui khat ke ani. 
MAT.5.36	Hale nan lu themma chongsan maru, ajarko nang nin nan sam malkhat om manngui rang manvom rang nan tor nimak. 
MAT.5.37	Nan chong ri ha “o, nan tile o, tiru; ai nan tile ai tiru; hiva khel la ha ko ashamak an khat a hong suak ani”.
MAT.5.38	“Mit khat rahut a mit khat, ha khat rahut a ha khat”, an lui ti ha nang nin nan jet jui. 
MAT.5.39	Tak-ha kein nang ni jiang kati a sa mak tho mi ha khap maru. Tu aninom na ngemtang chang tiang ana ben inko veitiang om dopero. 
MAT.5.40	Miring khat in nang ha ana enlalla na kuntai aluijot inko, na puanshi ham pedero. 
MAT.5.41	Mi an khat in ana namchantit a kilometar khat che rei a ti inko ama le kilometar anni chepuiro. 
MAT.5.42	Ana lam mi ha pero, tu ang khat in nang jiang apukjot inko kan hei demaro.
MAT.5.43	“Na inn ri na inn tang ha lungsiatro, hale ana enda ha matirro” an lui ti nang nin nan jet jui, 
MAT.5.44	tak-ha nang ni jiang kati, ana en dangai ha lungsiatru, khuo ana khongngai ha phuol pero, ana matirngai jiang asat ha thoro, esella ana tho hale khodengthei ana pekngai rang lampero. 
MAT.5.45	Han vanram ma om nan pa a naingai nan chang na rang ani, ajarko a man a saluingai le asatngai rang om ni a man sat hale mi dik le midiklui rang om ruo a man thosuom. 
MAT.5.46	Ajarko nang ni ana lungsiatngai jak ha nan lungsiat inko nan tum rang ha imo a om? Khasana chomngai innom hanga an tho nimak mo? 
MAT.5.47	Hale nan u nan nai jak ha chubei nanbuk inko a dangngai nek nang nin khel la imo nan tho jui khasana chompan nom an tho mo nimak? 
MAT.5.48	Hava jarra vanram ma nan pa lungdo a tung anga nang ni om lungdo tung ha changru.
MAT.6.1	“Misanna nan nei karra mitam mai kung ana mu rase u tia nan tho nima rase. Animak inko vanram ma nan pa jiang nan tum rang om mak.
MAT.6.2	“Hava jarra misanna nan nei karra asat kanrolngain an tho ang han khuong ve maru, ajarko anmanin mi jiang an pek pha han mi kan chun nale lampuia mi ning an manpak na rang tia an tho, a thianga kein nang ni jiang kati ani anmani an tum rang ha an mu jui. 
MAT.6.3	Tak-ha misanna nan nei karra na kut chang tiang i tho ha na veitiangin jet ma rase. 
MAT.6.4	Hava jarra misanna nan nei karra rukchian na nan tho ni rase, rukchian na ana mu nan pan na malekhir nati.
MAT.6.5	“Hava jarra nang nin lam na nan nei karra, asat kan rol ngai asanga ni maru, ajarko anmanin lam na an nei karra min an mu na rang Sainagok sunga hale lam lian akia an ngirra an lam, a thianga nang ni jiang ka na ripe ani, anmani ranga mana ha an mu jui. 
MAT.6.6	Tak-ha nang nin lam na nan nei karra inn sunga lutnang inn kharra, rukchian na a om nan pa jiang lamru han rukchian na ana mu nan pan na pek nati.
MAT.6.7	“Nang nin nan lam karra, a dangjat mi anga nem na buia veisosom nol maru; ajarko anmanin chong tam tak an ri han nangaipe nati tia an ngaidon. 
MAT.6.8	Ajarko, anmani ang ni maru, nan lam mak ma nan ngaidon, nan dei phur ha nan pa ning a jet. 
MAT.6.9	‘Hiva jarra hingahin lamru: Vanram ma om kan Pa, na ming thiang chang rase. 
MAT.6.10	Na rengram hong rase, vanram ma na lungdo tung ang han ramuol la hong ni rase. 
MAT.6.11	Anitin kan chak kan nek ranga, ve en ni na pero. 
MAT.6.12	Hale kein in kan lamaltualngai ngaidam kan nei anga kan lamaltual hi na ngaidamro. 
MAT.6.13	Mathemna han na ruai maro, tak-ha asat mak khat tenna na sanro; ajarko rengram, ranak hale lianpui na amongtibui ha nangta ani. Amen.’
MAT.6.14	“Ajarko, mi ning nan chunga mashialna a nei ha nan ngaidam inko, vanram ma nan Pa in om ngaidam na nei nati. 
MAT.6.15	Tak-ha mingai mashialna ngaidam nan nei mak inko vanram ma om nan Pa ning om nan mashialna ha na ngaidam noning.
MAT.6.16	“Hava khel la, bungeina nan nei karra asat kanrolmi anga tho maru; ajarko anmanin bungeina an nei le mi ning na jet rase u anta an maisua a pong omchan ando, a thiang tak a ka na ri ani, anmanin an tum rang ha an mu jui. 
MAT.6.17	Tak-ha nang niko bu nan ngei karra nan lu sariak notru hale nan mai phiaru. 
MAT.6.18	Ha ang han nan bungei mi jiang a kando nima rase, vanram ma nan Pa ning rukchian na mu rase; hale rukchian na ana mu nan Pa ning na pek nati.
MAT.6.19	“Ngente le thir ek in an chakmangtor, hale a ruklerep in om an ve khui tor an ruktor phurlepai, ramuol chunga nang nin buk maru. 
MAT.6.20	Tak-ha ngente le thir ek in om an chakmangtorlui, hale ruk le rep in om an ve khui an ruktorlui vanram ma nan phur nan pai bukru. 
MAT.6.21	Ajarko nan neinak sampar om na mun han, nan lung om om nati.
MAT.6.22	“Taksha meivarko mit ani, na mit asat inko na tak sa pumpui var nati. 
MAT.6.23	Tak-ha na mit asat mak inko, na tak sa pumpui jing nati; nang jiang var ha a jing inko i duk amo a jing khup rang.
MAT.6.24	“Tu khat om oja anni chuan tho tor noning, ajarko an khat ha enda nati hale an khat lam lungsiat nati. Animakle an khat ha don nati hale an khat ha don noning, ajarko nang nin Pathian le neinak sampar chuan thosuamtor noni che u,
MAT.6.25	“Hiva jarra kein nang ni jiang kati, ring na rang imo kan chak kan in rang, animakle imo kanshi kankei rang tia nan ning man dong maru bu khel la ringkhuo, hale puanshi diar kei nek a tak sa lam alutdet mo nimak? 
MAT.6.26	Vanna vatengai enru, vorum vor ma u, at om at ma u, manchunna innte han nom buk ma u; an in nom vanram ma nan Pa ning avai, nang niko amani nek alutdet mo nima che u? 
MAT.6.27	Tu ang khat in an ning an mandonga, a ringkhuo khutup khat mo an manseitor?
MAT.6.28	“Puanshi diar kei ranga ijarra mo nan ning adong? Phaijolla tonpar ha ngaidon ru, chuan om sin ma u, pat om kher ma u. 
MAT.6.29	Aninnom kein nang ni jiang ka na ri ani, Solomon rengpa ning a kan ma hok na rakip sunga tonpar an khat sat ha leiphak tor mak. 
MAT.6.30	Ve en ni a lui om jingako mei lum sunga deng juan rang, phaijolla ramsul ngal lom Pathian in anmani rang a ngaidon pe ani. Aviarte takngai neingai, Pathian in a khel la na ngaidon noning mo?
MAT.6.31	“Hiva jarra keini imo kan chak rang imo kan in rang, animakle kanshi rang, tia nan ning man dong maru. 
MAT.6.32	Ajarko jatdangngai om hiva rakip hi an tok, hava jarra vanram ma nan Pan hiva rakip hi nang ni nem na rang a jet. 
MAT.6.33	Tak-ha a rapatak Pathian rengram le ama dikna ha tokru, hale phur rakip hi nang ni na pekde nati. 
MAT.6.34	Ajarko jinga ranga nan ning man dong maru, jinga ranga jinga kan ning nati ni khat ni khat a akanvarna han ahunthekjui.
MAT.7.1	“Chongtan maru, han nang ni om chong natan noni u. 
MAT.7.2	Ajarko nang nin chong nan tan na nuk jui a, nang ni om chongtan na na nei nanti; hale nagnin dan en na nan nei nuk jui a nang ni ham dan na en nanti. 
MAT.7.3	Hale iruija mo na u, nanaingai mit ekchok om ha na en, na mit ek om ha ngaidon lui a. 
MAT.7.4	Animakle ija mo na u na nai jiang na mit chok ha na peiperong na tirang; hale enro, nang om na mit a chok a om. 
MAT.7.5	A sat kan rol nang in a rapa na mit chok ha peibakro; hava suale nang in na u nanaingai mit ekchok om ha a thianga mu nati.
MAT.7.6	A thiang ha uingai jiang pek maru, hale vok mai kunga nan lung man tam ha deng juan maru; ajarko tu ning mo anjettor anmanin sirnanta nang ni lam ke na sether nanti.
MAT.7.7	“Lamru nang ni jiang na pek nati, tokru mu nanti; inn khar kilru nang ni na long nati. 
MAT.7.8	Ajarko a lamngai jiang an pek, a tokngai ning an mu; hale inn khar a kilngai jiang longpe nati. 
MAT.7.9	Animakle nan karra tu in mo a nai ning bu a lam le lungtum mo a pek rang? 
MAT.7.10	Hale nga a lam le rul mo a pek rang? 
MAT.7.11	Nang ni mi sa mak nang ni chunga, nan nai jiang kutchoisat pek na nan jet inko; vanram ma om nan Pa ama ningko a lamngai jiang a khel la asat phur mo penoning?
MAT.7.12	“Hiva jarra, mi ning nang jiang na man tho jot ha nang in om thoro anmani jiang, ajarko hivahi danthei le Pathian tashantheingai chong ke ani.
MAT.7.13	“Kot a sin han lutru, ajarko kotlianna a lut mi antam ani; hava han mang na rang ani, hale hava han a lut antam. 
MAT.7.14	Ajarko ring na kot ko a sin, ringna lam ko akandeng; hale hava han alutko an tom.
MAT.7.15	“Tashanthei kanlemngai tenna kan ning theiru, belram vun ansia an hong, tak-ha an lung sungako sa kei an chang. 
MAT.7.16	Nang nin anmani an ram nan jet rang ke, mi ning darkha hi lingkunga, hale thei chang hi ling karra mo an khomngai? 
MAT.7.17	Hingahin thingkungsat in asat a ra, tak-ha a satlui thingkungin a salui a ra. 
MAT.7.18	A sat thingkungin a salui ramak, animakle a satlui thingkungin asat ratorma. 
MAT.7.19	Arasat nei lui thing kung rakip ha an tanna mei khur sunga an deng juan. 
MAT.7.20	Hiva jarra nang nin anmani an ra nuk jui a jet nanti.
MAT.7.21	“Tu aninom kei jiang Puma Puma, a ti mirakip ning vanrengram lut noni u; tak-ha vanram ma ka Pa lungdo a tho rakip ning lut nanti. 
MAT.7.22	Hava ni han mitam in kei jiang tinanti, Puma, Puma, kein in na minga nuk a a suak rang kan lui ri mo nimak na minga seitan luinotchei mashing mo? Hale na minga a ngak pa chuan tam tak mo lui tho mashing? 
MAT.7.23	Hava pha han kein anmani jiang tirang ka ni, kein nang ni ha na lui jet chilmaking; kei jiang tenna che taru, nang ni tho salui tho ngai.
MAT.7.24	“Hiva jarra tu aninom, ka chong ri a ngai a a tho inko; lung chunga inn sin mi ching khat anga luikati. 
MAT.7.25	Hale rua a tho, phaivou lian, a rang innom; inn ha lung chunga a sin ani jarra suk khiaktor noning.
MAT.7.26	Atunko tu aninom, ka chong ri a jet a atholui mi ha; siatdi chunga inn sin mi an khat anga ni nati. 
MAT.7.27	Han rua a hong tho, tui a lian phaivou a hong ranga, inn ha a hong sukjui, hale a kiak ver jui.
MAT.7.28	Hale hingahin aluini, Jisun a chong ri a tor pha han; mitamin ama man chuna ha an luingak jui. 
MAT.7.29	Ajarko a man chuna ha ranaknei mi khat anga aluini, han anmani dan ojangai anga lui nimak.
MAT.8.1	A man tangbung tenna a hong chum han, mitamin ama an lui jui. 
MAT.8.2	Hale enru, pangpharpa tuiritong khat alui honga chubei han buk a ti; “Puma na najotpe inko, kei hi na na mandamtor.”
