MAT.1.1	Yisa Masia yejamm piinue na: u din tee David yaaboonne, ki David mun din tee Abraham yaaboonn.
MAT.1.23	“Sapaamunn tan sa soor poor ki mar bonjabik, ki bi tan sa pur u sann Emmanuel.” (Li paak tee a “Yennu be nant.”)
MAT.1.24	Josef nba din tan fiir gɔɔn ni yoonba ki u tun kaman nan Yennu malaka na nba betɔ biaŋinba na, ki ji din sak ki gaar u sarkpeŋ Mari, 
MAT.1.25	ŋaan u din ki dɔɔ nanɔ mɔkmɔk nan wa din tan mar u sapaanmar, bonjak na. Ki Josef din pur u sann Yisa.
MAT.2.1	Bi din mar Yisa dosau nna ni, ki bi yir Betlehem, ki li be Judea tingbouŋ ni. Bi din marɔ Bat Herod yooe. Li yoo na ki banntesiab din nyii yendopo ki baar Jerusalem ki tan boi niib a 
MAT.2.2	“Israel teeb kpanbar saakɔɔ nba ki bi marɔ na, u be lee? Ti daan la u ŋmaabire yendopo ki baar na a ti tan jiantɔ.” 
MAT.2.3	Bat Herod nba din gbat nna maŋ, ki li biir ŋɔɔ nan Jerusalem teeb kur para ni, ki bi ji din ki fit kari. 
MAT.2.4	Ki u din yiin Yennu jiantu yudamm nan sennu wannteeb ki tan boib a “Lee ki bi sa mar Yennu Niganntɔɔ Masia na?”
MAT.2.5	Ki bi jiinɔ a “Betlehem doo nba be Judea tingbouŋ ni na; kimaan Yennu sɔkinii na din sɔb ki yaa a Yennu yet a
MAT.2.6	‘Fin Betlehem nba be Juda tingbouŋ ni na,
MAT.2.6	a ki tee tinbik kaa Juda yiar ni,
MAT.2.6	kimaan batsɔɔ tan sa nyi a nie,
MAT.2.6	ki ŋɔɔe tan sii yen n niib Israel teeb.’ ”
MAT.2.7	Linba na poorpoe ki Bat Herod din yiin bannteeb maŋ woonin ni, ki tan boib ki fiitib fanu a wun bann yoo nba ki ŋmaabir na daan nyii; 
MAT.2.8	ki u din yetib, “I saa man Betlehem ki saa lon bik maŋ fanu; yoo nba ki i lau, yin jenna ki tan betin ki n mun saan ki saa jiantɔ.” 
MAT.2.9	Bat na nba din pak nna ki gbenn yoonba, ki bi nyii ki soor sɔnu; ba din saa maŋ ki bi la ŋmaabir nba daan nyii yendopo na, ki li gar bi tɔɔnn po ki saa set bik maŋ nba be ŋaak nba na ni, li sanpaapo. 
MAT.2.10	Ba la ŋmaabir maŋ na, ki bi para ni penn bonchiann. 
MAT.2.11	Ki bi kɔɔ ŋaak maŋ ni, ki la bik maŋ nan u naa Mari; ŋanne ki bi gbaan ki jiant bik maŋ, ŋaan biit bi paka ki nyinn piinii ki turɔ; piinii maŋ din tee sarima nan tulaarnyun nan tulaarsiar nna ki bi yir mir.
MAT.2.12	Tɔn, ki Yennu din pak ki turib bi dammiit ni, a bi ji daa ŋmat Bat Herod boor ni; li paak, ki bi ji din tɔkin sanjogauŋ ki ŋmat kun bi doo ni.
MAT.2.13	Bannteeb na nba din kun na poorpoe ki ti Yomdaanɔ Yennu malaka din baar Josef boor u dammiit ni, ki betɔ a “Fiit ki jii sanpantik maŋ nan u naa kii tiin kii saa Ijipt tingbouŋ ni, ki saa kar leŋ nan yoo nba ki n tan sa tura mɔb biak, kimaan Bat Herod loon ki wun lon bik maŋ boore ki kpiu.”
MAT.2.14	Ki u din fiir nyiɔk ki jii bik na nan u naa ki chiar ki saan namm Ijipt tingbouŋ ni. 
MAT.2.15	U din be leŋe nan yoo nba ki Bat Herod din tan kpo na. Linba kur din tun a lin gbeen linba ki ti Yomdaanɔ Yennu din te ki u sɔkiniisɔɔ pak li po nee a “N din nyinn n bija maŋ Ijipt tingbouŋ nie.”
MAT.2.16	Herod nba din tan bann nan bannteeb maŋ kparɔe na, ki li gbatɔ bonchiann, ki u din tun lanjimanba a bin saan Betlehem nan li digbanbis ni ki saa kpi bonjabis kur; ki bi din kpi sanpantii nan binba tee bina ŋannlelee kaman nan wa daan boi bannteeb maŋ ki bann yoo nba ki ŋmaabir na daan nyii na.
MAT.2.17	Wa kpii waas na biaŋinba na ki li din teen ki gbeen linba ki Yennu sɔkinii Jeremaya din pak na po a
MAT.2.18	“Rama tiŋ nɔɔk nie ki bi gbia fuut,
MAT.2.18	mɔnii nan fabinii nan kpemɔnboor kir bo,
MAT.2.18	ki Rachel mɔ u waas paak,
MAT.2.18	ki bi barimɔ ki tan goo,
MAT.2.18	kimaan u waas kura kpowa.”
MAT.2.19	Tɔn, ki Bat Herod tan kpo; ki u kuun poorpo ki ti Yomdaanɔ Yennu malaka bia din saan Josef boor u dammiit ni, Ijipt tingbouŋ ni, 
MAT.2.20	ki saa yetɔ “Fiit ki jii bik maŋ nan u naa, ki ŋmat saan Israel tingbouŋ ni, kimaan binba din lor a bin kpi bik maŋ na kpowa.” 
MAT.2.21	Ki Josef din fiir ki jii bik maŋ nan u naa ki din ŋmat ki saan Israel tingbouŋ ni.
MAT.2.22	Wa din tan gbat a Akelaus dii naan ki kar u baa Herod naangbant paak Judea tiŋ ni na, ki jaŋmaanii soorɔ nan wun kun leŋ; ki Yennu bia din wannɔ u dammiit ni a wun ŋmat saan Galilee tingbouŋ ni. 
MAT.2.23	Ki u din saan ki saa kar doo nba ki bi yi Nasaret na ni, a lin teen gbeen maan nba ki Yennu sɔkiniinba nba din sɔb linba na a “Bi tan sii yiu Nasaret nirɔe.”
MAT.3.1	Li yoo maŋ na, Jɔɔnn nba wuur niib Yennu nyunwuru na din be muuk ni, Judea tingbouŋ ni, ki mɔɔntir Yennu barŋanii ki yeen a 
MAT.3.2	“Nyikin man i biit, kimaan Yennu naan dinu per na.” 
MAT.3.3	Yennu sɔkinii Aisaya din poŋ sɔb ŋɔɔ Jɔɔnn poewa a
MAT.3.3	“Nisɔɔ tan sii be muuk ni ki hoot ki yaa a
MAT.3.3	‘Ŋammit man ti Yomdaanɔ baaru sɔnu ki turɔ,
MAT.3.3	ki bia ŋamm u sɔnii ki lii took.’ ”
MAT.3.4	Jɔɔnn din lia lagumii kobit liatire, ki bia boob gbann u siak ni, ki u jeet din tee naasuut nan siate. 
MAT.3.5	Li yoo ki Jerusalem doo ni teeb, nan Judea tingbouŋ ni teeb kur, nan Jɔɔdann mɔkir tingbouŋ ni teeb kur din saan u boor ni, 
MAT.3.6	ki fiit bi toonbiit, ki u wurib Yennu nyunwuru Jɔɔdann mɔkir maŋ ni.
MAT.3.7	Wa din tan la ki Farisiinba nan Sajusiinba bonchiann ki bi mun baat u boor ni a wun wurib Yennu nyunwuru na, ki u betib a “Yimm walabirii na! Ŋmee kpaani a yii tin ki nyi Yennu wutoor nba yaa lin baar i paak na ni? 
MAT.3.8	Yii tuun man linba sa wann nan i set nyik i biit. 
MAT.3.9	I daa mɔk parbifaant nan Abraham tee i yeja; n beerie, Yennu sa fit ki fiin tana nba na ki lin kpant Abraham yaaboona. 
MAT.3.10	Pajar poŋ teen siira a wun chɔɔ tiinii; ki tiik nba kur ki loon lɔɔnŋana, bi sa chɔɔre ki lur muu ni. 
MAT.3.11	Min ŋanin wuuri nyun ki li want nan i nyik i biita, ŋaan wunba yaa wun baar n poor po na cheen; ki n poŋ ki ŋan nan ki n jii u taasaati; ŋɔɔe sa jii Yennu Seyeeŋ nan muu ki wuur i para. 
MAT.3.12	U dia u dilenn ŋmanniie ki yaa wun lenn bonŋann, ki nyinn dibin ki wuun u bɔɔr ni, ŋaan joo fouŋ na muu nba kan mi ki kpeenni.”
MAT.3.13	Li yoo maŋ ki Yisa din nyii Galilee ki saan Jɔɔdann mɔkir po, ki baar Jɔɔnn boor ni a wun wurɔ Yennu nyunwuru. 
MAT.3.14	Ki Jɔɔnn ki saki, ki yetɔ a “Mine bo sa baar a boor ni ki a wurin, ŋaan ki a mun tan baat n boor ni-ii?”
MAT.3.15	Ŋaan ki Yisa yetɔ a “Ŋaant ki lin tun nna mɔtana, kimaan nnee ki li ŋan ki tin tun toonŋana kura.” Li yoo na ki Jɔɔnn sak.
MAT.3.16	Wa wur Yisa Yennu nyunwuru ki gbenn yoonba, li taakpaak ni ki Yisa nyii nyun na ni; ki sanpaapo tan loot, ki u la ki Yennu Seyeeŋ siik u paak ki naan nan ŋmann na, ki tan jakin u paak. 
MAT.3.17	Ki kunkɔr nyii sanpaapo ki yet a “N Bilonkakii na, ŋɔɔe ki n numm gboou.”
MAT.4.1	Ki Yennu Seyeeŋ din te ki Yisa kɔɔ muuk ni a Sintaanii-n saa jammɔ. 
MAT.4.2	U din be leŋ ki ki dii siar dapiinna yennu ni nan nyiɔk, ki kon ji din tan soorɔ. 
MAT.4.3	Ki Sintaanii baar u boor ni ki tan yetɔ a “Li-i tee ki a set kii tee Yennu Bijaie, fan yet tana na ki lin kpant jeet ki a di.”
MAT.4.4	Ki Yisa jiin ki yetɔ a “Li sɔb Yennu gbouŋ ni a ‘Jeet kuukɔɔ paak kaa te ki nirɔ be, ŋaan maan nba kur ki Yennu pak na paak.’ ”
MAT.4.5	Li tonton na ki Sintaanii jiiu ki saan nanɔ Jerusalem, ki saa donnɔ Yennu jiantu ŋasaakak mɔpinyerik paak, ŋaan betɔ a 
MAT.4.6	“Li-i tee ki a set kii tee Yennu Bijaie, fan yukir mɔb nna na, kimaan li sɔb Yennu gbouŋ ni a ‘U sa te ki u malakanba-ii guua; bi sii dia-a nan bi nii ki a taar kan gbiat tann gbaa ki a la daŋi.’ ”
MAT.4.7	Ki Yisa yetɔ, “Li bia sɔb Yennu gbouŋ ni a ‘Sɔɔ daa bikii u Yomdaanɔ Yennu.’ ”
MAT.4.8	Ki Sintaanii bia din jiiu ki doo nanɔ jɔɔr nba fɔk bonchiann paak ki saa wannɔ tingbouŋ na yent kur kur nan li mɔkint, 
MAT.4.9	ŋaan betɔ a “Li-i tee ki a bo sa gbaan ki jiantin, n bo sa tura yent maŋ kura.”
MAT.4.10	Ki Yisa betɔ, “Seetir nna Sintaanii. Li sɔb Yennu gbouŋ ni a ‘Nirɔ-ii jiantir u Yomdaanɔ Yennu kuukɔɔe, kii bia kii waa ŋɔɔ kuukɔɔ.’ ”
MAT.4.11	Ŋanne ki Sintaanii ji din yaat ŋaan nyikɔ, ki Yennu malakanba sik ki tan teenɔ saauŋ.
MAT.4.12	Yisa nba din tan gbat nan Jɔɔnn kɔɔ dansarik na, ki u saan Galilee. 
MAT.4.13	Wa din baar Nasaret na u din ki yukir leŋi, ŋaan gar ki saan Kapenaum doo nba be mɔk-kpiŋ, Sebulun nan Naftali tiŋ ni na. 
MAT.4.14	Linba na din tun a lin gbeen Yennu sɔkinii Aisaya nba din pak linba na poe a
MAT.4.15	“Sebulun tiŋ nan Naftali tiŋ nba be
MAT.4.15	Jɔɔdann mɔk-pootir po,
MAT.4.15	ki bia be mɔkgbeŋŋir boor,
MAT.4.15	nan Galilee tiŋ nba ki binba ki tee Juu teeb na kar li ni;
MAT.4.16	binba be bunbɔnn ni na la yentjaann;
MAT.4.16	binba kar kuun bunbɔnn yent ni na la ki
MAT.4.16	yentu na yentir ki baatib.”
MAT.4.17	Li yoo maŋ ki Yisa din piin ki mɔɔntir Yennu barŋanii ki teen niib a “Nyikin i biit man, kimaan Yennu naan dinu per na.”
MAT.4.18	Yisa nba din somm Galilee mɔkgbeŋŋir kpiŋ na, ki u tan la nirɔ wunba ki bi yiu Simon ki bia yiu Piita na, nan u waarɔ Andru, ki bi lubin janlaauŋ mɔkir ni, kimaan bi din tee jansoorae. 
MAT.4.19	Ki u yetib a “I waan man, ki n sa te ki yii daak nifosaarii kii teen Yennu kaman nan ya so janii biaŋinba na.” 
MAT.4.20	Ki bi set din nyik bi janlaant yiama ŋaan waau.
MAT.4.21	Wa din nyii leŋ ki saan tɔɔnn po waaminna, ki u la Sebedee nan u waas bannlee, Jems nan u waarɔ Jɔɔnn, ki bi be burgbetir ni ki lik bi janlaant; ki u yiimm. 
MAT.4.22	Li taakpaak ni, ki bi nyik burgbetir na nan bi baa, ŋaan waa Yisa.
MAT.4.23	Yisa din lin Galilee tiŋ maŋ kura po, ki want niib Yennu maan, jiantu diit ni, ki mɔɔntir Yennu naan barŋanii mɔɔntii ki teemm, ki te ki binba mɔk yiarboorii boorii kur nan binba mɔk gbanantont kur paak. 
MAT.4.24	Ki bi din lin ki mɔɔnt u sann Siria tingbouŋ ni kura po. Ki bi din jikit baatboorii boorii kura, ki baat namm u boor ni: binba din yiar yiarbooru nba kur, gbanantont, binba din gbee nan narinbiit, binba din baa gbitgbia, nan gbanankpeenn damm, ki u din te ki bi paak. 
MAT.4.25	Ki niburchiauŋ nba din nyii Galilee, nan Doi-piik, nan Jerusalem, nan Judea, nan Jɔɔdann mɔk-pootir din bit ki waau.
MAT.5.1	Yisa nba din la niburchiauŋ maŋ na, ki u doo kunkonn paak ki saa kar; ki u poorpoweiteeb lakin u boor ni. 
MAT.5.2	Ki u piin ki wantib Yennu maan ki yeen a
MAT.5.3	“Binba mi bi mɔŋ nan bi namii,
MAT.5.3	parpeenn tee bi yare,
MAT.5.3	kimaan Yennu naan tee bi yare.
MAT.5.4	“Binba mɔ ki fabin, parpeenn tee bi yare,
MAT.5.4	kimaan Yennu sa maan bi parawa.
MAT.5.5	“Binba sikin bi mɔŋ, parpeenn tee bi yare,
MAT.5.5	kimaan ŋamme tan sii yen tingbouŋ na.
MAT.5.6	“Binba ninbina mɔn ki bi para ni lakib nan Yennu toona,
MAT.5.6	parpeenn tee bi yare,
MAT.5.6	kimaan Yennu sa gboomm bi para nba lakib linba maŋ paak.
MAT.5.7	“Binba mɔk ninbatinu nan bi leeb,
MAT.5.7	parpeenn tee bi yare,
MAT.5.7	kimaan ŋamme ki Yennu mun bia sa timm ninbaauk.
MAT.5.8	“Binba para ni yeen, parpeenn tee bi yare,
MAT.5.8	kimaan ŋamme sa la Yennu.
MAT.5.9	“Binba tee sandantinna nan kunkɔnpat teeb,
MAT.5.9	parpeenn tee bi yare,
MAT.5.9	kimaan ŋamme ki Yennu sii yib u waas.
MAT.5.10	“Binba jiantir Yennu ki bi mukisib na,
MAT.5.10	parpeenn tee bi yare,
MAT.5.10	kimaan Yennu naan tee bi yare.
MAT.5.11	“Niib-i sukii-i, ki mukisi, ki fa faakboorii boorii kur ki biiri, kimaan ya tee n poorpoweiteeb na paak, parpeenn tee i yare. 
MAT.5.12	Bi-i taŋŋi teei nna, yii mɔk parpeenn man bonchiann, kimaan i nyɔɔt tan sii yab Yendɔuŋ ni; nnee ki bi poŋ din mukis Yennu sɔkiniinba nba din be yaayoo ni na.
MAT.5.13	“I tee kaman nan yaarin nee tingbouŋ na ni. Yaarim-i taŋŋi biir ki ji ki mani, nlee ki li ji sii mani? Li wann nan li ji kaa nyɔɔti; see ki bi kpaar ki mɔɔn tiŋ ni, ki niib somm li paak.
MAT.5.14	“Yimme tee tingbouŋ na yentu; doo nba ki bi maa ki senn kunkonn paak, li kan fit bɔri. 
MAT.5.15	Sɔɔ mun kan joo fitir ŋaan jii ŋmaŋ ki chibini; see ki u jiir ki tɔɔnn bonsiar nba fɔk paak, ki lin tur ŋaak niib kura yentu. 
MAT.5.16	Yimm mun-ii be nna; ŋaant ki i yentu-n yent tur nifosaarii, a bii laat i toonŋana kii dont i Baa Yennu nba be Yendɔuŋ ni na.
MAT.5.17	“I daa dukii nan n baar ma n tan kpeen Yennu sennu nan u sɔkiniinba maan nee; n ki baar ma n tan kpeenn kaa, ŋaan n baar ma n sakir nan barmɔniie; 
MAT.5.18	kimaan barmɔniie ki n beeri na, sanpaak nan tingbouŋ na tan sa gbenn, ŋaan Yennu sennu na nan li bonmintik kan mi bot, see ki li kura tan tun ki gbenn. 
MAT.5.19	Li paak, wunba tan tun ki kpet Yennu sennu maŋ yennkɔɔ gbaa, ki bia wann leeb bonkpetir maŋ, u tan sa joont tarike Yennu naan ni; ŋaan wunba waa sennu maŋ fanu, ki bia want u leeb fanu, ŋɔɔe tan sii tee nijaann Yennu naan ni. 
MAT.5.20	Kimaan mii beeri nan see ki i toonŋana yab ki gar sennu wannteeb nan Farisiinba yar, li-i kii tee nnai kaa, i kan mi ki kɔɔ Yennu naan ni.
MAT.5.21	“I poŋ gbat ki bi din yeen yaayoo ni niib a ‘Daa kpi nirɔ, kimaan wunba tan kpi nirɔ tan sii be barii ni barbudaar;’ 
MAT.5.22	ŋaan min ŋanin beerie la, nan wunba dont wutoor u naa bik paak yann yann, ki li kaa paaki, u tan sii be barii ni barbudaar; ki wunba sukir u naa bik a ‘Bon-yann na,’ u tan sii be barii ni; ki wunba mun bia sukir u naa bik a ‘Bonjatir na,’ u tan sii be barii ni ki kɔɔ muu nba kan mi kpeen na ni. 
MAT.5.23	Li paak, wunba tan kɔɔ Yennu diiuk ni a wun pi Yennu piinii, ŋaan tiar nan u mɔk biit nan u naa bik, 
MAT.5.24	wun nyik u piinii maŋ leŋ, ŋaan ŋmat saan u naa bik na boor ki bin saa ŋamm bi barii ki gbenna, ki wun jen ki tan pi u piinii maŋ ki tur Yennu.
MAT.5.25	“Fin nan sɔɔ-i mɔk maan, ki saa barii maŋ buut, fan ŋaan ki yin taan mɔyemmkɔɔ ki ŋamm i barii maŋ yoo nba ki i daa be sɔnu ni na; li-i kii tee nnai kaa, jɔɔ na sa jiia ki saan nana barbuurɔ boor ni, ki barbuurɔ na-n mun jiia ki teena dansarguutɔɔ nuu ni ki wun kɔɔna dansarik. 
MAT.5.26	Barmɔniie ki n beera na, a kan mi nyi leŋi, see ki a tan pa likirii kur nba ki bi jiiara, ki kobu kan tenni.
MAT.5.27	“I poŋ bia gbia ki bi din yeen a ‘I mi ki a tun bonchonchonn toona;’ 
MAT.5.28	ŋaan min ŋanin beerie la, nan wunba got poo ki u niauŋ kɔɔu, u tun bonchonchonn toonn u par niwa. 
MAT.5.29	Li-i tee ki a diitu po ninbinnie te ki a yaa a tun toonbiit, fan kpakirɔ ki lu, kimaan li-i tee ki a kɔŋ a ninbinn yennkɔɔ, li chee nan ki Yennu-n tan kɔɔn a gbanant kur muu nba kan mi kpeen na ni. 
MAT.5.30	Li-i tee ki a nuudiitue te ki a yaa a tun toonbiit, fan potɔ ki lu, kimaan li-i tee ki a kɔŋ a nuu yennkɔɔ, li chee nan ki a gbanant kur-n tan kɔɔ muu maŋ ni.
MAT.5.31	“Bi bia din yeen a ‘Wunba loon ki wun yêt u ŋaapoo, wun turɔ pooyêtu gbouŋ;’ 
MAT.5.32	ŋaan min ŋanin beerie la, nan wunba kur tan yêt u ŋaapoo, ki li ki tee u tun bonchonchonn toonn kaa, ŋɔɔe te ki u poo maŋ tuun bonchonchonn toonn; ki wunba kɔɔn poo nba ki bi yêtɔ na mun bia tun bonchonchonn toonna.
MAT.5.33	“I poŋ bia gbia ki bi din yeen yaayoo ni niib a ‘I mi ki a por mɔpor nan faak, ŋaan li-i tee ki a por mɔpor Yennu sann ni, li ŋan ki a tun ki gbenn a mɔpor maŋ;’ 
MAT.5.34	ŋaan min ŋanin beerie la, nan i mi ki a por mɔpor gbaa; daa yeen a ‘N por sanpaapo,’ kimaan li tee Yennu naangbouŋo; 
MAT.5.35	daa yeen a ‘N por tingbouŋ,’ kimaan li tee Yennu taapanŋmaatire; a bia daa yeen a ‘N por Jerusalemi,’ kimaan li tee yabint Yennu dooe; 
MAT.5.36	a bia daa yeen a ‘N por n yuri,’ kimaan a kan fit te ki a yukobuk yennkɔɔ-n penn amii ki bɔnni; 
MAT.5.37	ŋaan ŋaant man ki i jiinu-ii tee, ‘Nn,’ amii ‘Aaii,’ kimaan li-i tee ki a por siar ki pukin linba na paak, li ji nyii Biitdaanɔ maŋe.
MAT.5.38	“I poŋ bia gbia ki bi din yeen a ‘Sɔɔ-i kpakir a ninbinn, fan mun kpakir u yar ki jiin pann; sɔɔ-i faa-a ki fokit a nyann, fan mun faau ki fokit u yar ki jiin pann;’ 
MAT.5.39	ŋaan min ŋanin beerie la, nan i daa jiint leeb pana; sɔɔ-i peb a tanpak a nuudiitu po kpianu, fan ŋmant a gaŋ po mun ki wun peb; 
MAT.5.40	sɔɔ-i yaa wun saan nana buut boor a wun gaar a soot, fan sak ki wun tont a chinchenn biak kii saa; 
MAT.5.41	sɔɔ-i mia-a a jii u jikpiatir ki saan nann mar yennkɔɔ, fan jii ki saan nanɔ mar ŋannlee. 
MAT.5.42	Wunba miara siar, fan turɔ; ki wunba mun bia loon ki a kpentɔ siar, fan kpentɔ ki daa miinɔ.
MAT.5.43	“I poŋ bia gbia ki bi din yeen a ‘I loon a naa waas ŋaan kii nan a datai;’ 
MAT.5.44	ŋaan min ŋanin beerie la, nan yii loon man i datai mun, kii yeen wunba sukii-i na a ‘Yennu mɔsonŋann-ii be a paak;’ kii tuun linba ŋan kii teen binba nami; kii mei Yennu kii teen binba dinti fara na. 
MAT.5.45	Ŋanne sa te ki i set kii tee ti Baa Yennu nba be sanpaapo na waas, kimaan ŋɔɔe te ki yennu do nifobiit nan nifoŋamm paak, ki bia te ki saak baa nifobiit nan nifoŋamm doi ni. 
MAT.5.46	Kimaan li-i tee ki i loon binba looni na kuukɔɔe, nyɔlantpoe ki i sa la Yennu boor ni? Li ki tee nna kaa ki nifobiit mun tuumii? 
MAT.5.47	Ki li-i tee ki i foont i naa waas kuukɔɔe, toonŋanlannpoe ki i tun ki gar leebi? Nna kaa ki binba ki waa Yennu sɔnu na mun tuumii? 
MAT.5.48	Li paak, yii be man fanu kaman nan i Baa Yennu nba be sanpaapo na nba be fanu biaŋinba na.
MAT.6.1	“I daa tuun i toonŋana a niib-n la ki pakiini, kimaan i-i tuun nna, i kan la nyɔɔt i Baa Yennu nba be sanpaapo na boor ni.
MAT.6.2	“Li-i tee ki a yaa a tur talasdamm piiniie, fa daa mɔɔntir kaman nan kpinkpannii damm nba tuun biaŋinba Yenjiantu diit ni, nan doi ni, a niib-n la bi toonŋana ki pakib na. Barmɔniie ki n beeri na, bi poŋ gaar bi nyɔɔta. 
MAT.6.3	Ŋaan li-i tee ki a yaa a pi talasdaanɔe, fan piu, ki daa te ki a yɔɔnimɔŋ gbaa mi li po. 
MAT.6.4	Tumin woonin ni, ki a Baa Yennu nba laat woonin ni na sa pa-a paanu ni.
MAT.6.5	“Li-i tee ki a yaa a miar Yennu, fa daa tuun kaman nan kpinkpannii damm na nba tuun biaŋinba na, kimaan bi loon bii see Yenjiantu diit nie, nan sɔnpaataa nba be doi ni, kii mei Yennu a niib-ii laatib. Barmɔniie ki n beeri na, bi poŋ gaar bi nyɔɔta. 
MAT.6.6	Ŋaan li-i tee ki a yaa a miar Yennue, fan kɔɔ a diiuk ni ki loon a gann, ŋaan miar a Baa Yennu nba be woonin ni maŋ, ki a Baa Yennu nba laat linba ki a tuun woonin ni na sa pa-a paanu ni.
MAT.6.7	“Li-i tee ki a mei Yennue, fa daa mantik mei mɔbona nba yab kaman nan boorganu nba mei biaŋinba na; bi dukii nan bi miaru bonchiann paake ki bi pata sa gbat. 
MAT.6.8	I daa tee kaman nan ŋamm na, kimaan i Baa Yennu mɔŋ poŋ mi linba ki i loon ki i daa ki miarɔ. 
MAT.6.9	Ya tuu sii mei Yennu biaŋinbae na:
MAT.6.9	‘Ti Baa Yennu nba be sanpaapo,
MAT.6.9	ŋaant ki bii baakit a sann;
MAT.6.10	ŋaant ki a naan-n baar;
MAT.6.10	ŋaant ki a loomm-n tun tingbouŋ nna,
MAT.6.10	kaman nan la tuun Yendɔuŋ ni biaŋinba na.
MAT.6.11	Luunt dinna mann.
MAT.6.12	Nyikin chab ti toonbiit
MAT.6.12	kaman nan ta mun nyikit ki chabit binba tuumit biit biaŋinba na.
MAT.6.13	A daa te ki ti kɔɔ jinjammii ni,
MAT.6.13	ŋaan nyinnit bonbiir ni.’
MAT.6.14	“Li-i tee ki i nyikit i leeb biit ki chabitibi, i Baa Yennu nba be sanpaapo na mun sa nyik ki chabiiwa; 
MAT.6.15	ŋaan i-i kii nyikit chabit i leeb biiti, i Baa Yennu mun kan nyik chab i biiti.
