GEN.1.1	Sa pagsugod sa Dios pagbuhat sa kalibotan ug sa tanang butang sa kalangitan,
GEN.2.17	gawas sa kahoy nga naghatag sa kahibalo unsay maayo ug unsay daotan. Kon mokaon ka niini, nianang adlawa mamatay ka gayod.”
GEN.2.18	Unya miingon ang 
GEN.2.19	Busa giumol niya gikan sa yuta ang tanang mananap ug langgam ug gidala niya sila ngadto sa tawo aron iyang nganlan. Bisag unsa ang ingalan sa tawo sa matag usa kanila mao na ang ngalan niini. 
GEN.2.20	Busa ginganlan sa tawo ang tanang kahayopan ug ang mga langgam ingon man ang ihalas nga mga mananap. Apan wala siyay nakit-an nga angayng ikauban ug katabang.
GEN.2.21	Unya gipakatulog sa 
GEN.2.22	Ang maong gusok gihimo niya nga usa ka babaye, ug gidala niya ang babaye ngadto sa lalaki. 
GEN.2.23	Ug miingon ang lalaki,
GEN.2.23	“Ania ra gayod ang sama kanako—
GEN.2.23	bukog gikan sa akong bukog
GEN.2.23	ug unod gikan sa akong unod.
GEN.2.23	‘Babaye’ ang ngalan niya
GEN.2.23	kay gikuha man siya gikan sa lalaki.”
GEN.2.24	Tungod
GEN.2.25	Silang duha pulos hubo apan wala sila maulaw.
GEN.3.1	Sa
GEN.3.2	Mitubag ang babaye, “Makakaon kami sa mga bunga sa tanang kahoy sa tanaman 
GEN.3.3	gawas sa kahoy nga anaa sa taliwala niini. Gidid-an kami sa Dios sa pagkaon ug bisan gani sa paghikap nianang kahoya. Kon supakon namo kini, mamatay kami.” 
GEN.3.4	Miingon ang bitin, “Dili tinuod nga mamatay kamo! 
GEN.3.5	Gisulti kini sa Dios kaninyo kay nasayod man gud siya nga kon mokaon kamo niini, maabli ang inyong salabotan ug mahisama kamo kaniya
GEN.3.6	Sa pagkakita sa babaye nga ang maong kahoy maanindot kaayo ug laming kan-on ang bunga niini ug makapahimo kaniyang maalamon, mikuha siyag bunga ug gikaon niya kini. Unya gihatagan niya ang iyang bana ug mikaon usab siya. 
GEN.3.7	Pagkahuman gayod nilag kaon, naabli ang ilang salabotan ug nakita nila nga hubo diay sila. Busa naghimo silag mga tapis gikan sa mga dahon sa kahoyng igera aron itabon sa ilang lawas.
GEN.3.8	Sa pagsalop na sa adlaw, nadungog nila ang 
GEN.3.9	Apan ang lalaki gitawag sa 
GEN.3.10	Ang lalaki mitubag, “Nadungog ko ang imong paglakaw sa tanaman ug giabot akog kahadlok ug mitago ako kay hubo man ako.”
GEN.3.11	“Kinsay nagsulti kanimo nga hubo ka?” nangutana ang Dios. “Mikaon ka ba sa bunga sa kahoy nga gidili ko kanimo?”
GEN.3.12	Ang lalaki mitubag, “Ang babaye nga gihatag mo kanako maoy naghatag kanako sa bunga sa maong kahoy ug mikaon ako niini.”
GEN.3.13	Ang
GEN.3.13	Ang babaye mitubag, “Giilad ako sa bitin busa mikaon ako niini.”
GEN.3.14	Ug ang 
GEN.3.14	“Tungod niini silotan ka;
GEN.3.14	ikaw lamang sa tanang mananap ang mahiagom niining tungloha:
GEN.3.14	sukad karon magkamang ka na pinaagi sa imong tiyan
GEN.3.14	ug magkaon ka nag abog sa tanang adlaw sa imong kinabuhi.
GEN.3.15	Himoon
GEN.3.15	ug mahimong kaaway ang imong kaliwat ug ang iyang kaliwat.
GEN.3.15	Dugmokon niya ang imong ulo
GEN.3.15	ug paakon mo usab ang iyang tikod.”
GEN.3.16	Ug miingon siya sa babaye,
GEN.3.16	“Dugangan ko ang imong kalisdanan inigpanamkon mo
GEN.3.16	ug ang kasakit nga imong bation inigpanganak nimo;
GEN.3.16	apan bisan pa niini, mangandoy ka gihapon sa imong bana
GEN.3.16	ug siya maoy magbuot kanimo.”
GEN.3.17	Unya
GEN.3.17	“Tungod kay nagpadani ka man sa imong asawa
GEN.3.17	ug mikaon sa bunga sa kahoy nga gidili ko kanimo,
GEN.3.17	mahimong tinunglo ang yuta tungod sa imong gibuhat.
GEN.3.17	Maghago ka pag-ayo sa tibuok mong kinabuhi
GEN.3.17	una pa kini mohatag ug igong abot alang kanimo.
GEN.3.18	Moturok sa yuta ang mga sampinit ug mga sagbot alang kanimo
GEN.3.18	ug magkaon ka sa mga bunga sa mga tanom sa kapatagan.
GEN.3.19	Magpatulo ka sa imong singot ug maghago pag-ayo
GEN.3.19	una pa mohatag kanimog abot ang yuta
GEN.3.19	hangtod mobalik ka sa yuta nga imong gigikanan.
GEN.3.19	Hinimo ka gikan sa yuta
GEN.3.19	ug sa yuta ka mopauli.”
GEN.3.20	Ginganlan sa lalaki ang iyang asawa ug Eva
GEN.3.21	Ug nagbuhat ang 
GEN.3.22	Unya
GEN.3.23	Busa gihinginlan sa 
GEN.3.24	Gipapahawa sa Dios ang tawo ug gibutangan niya ang silangan sa tanaman sa Eden ug mga kerubin ug usa ka espada nga nagdilaab ug nagtuyoktuyok aron walay makaduol sa kahoy nga naghatag ug kinabuhi.
GEN.4.1	Si Adan nakighilawas kang Eva nga iyang asawa ug nanamkon si Eva ug nanganak ug batang lalaki. Miingon si Eva, “Nakabaton akog anak tungod sa panabang sa 
GEN.4.2	Unya nanganak siyag laing batang lalaki nga ginganlan ug Abel. Si Abel magbalantay sa mga karnero ug si Cain mag-uuma. 
GEN.4.3	Usa ka adlaw niana, naghalad si Cain ngadto sa 
GEN.4.4	Nagkuha
GEN.4.5	apan wala niya dawata si Cain ug ang iyang halad. Busa nasuko si Cain ug nagmug-ot. 
GEN.4.6	Ang 
GEN.4.7	Kon maayo pa ang imong gibuhat, dawaton ko unta ang imong halad.
GEN.4.8	Unya
GEN.4.9	Unya ang 
GEN.4.9	Si Cain mitubag, “Ambot! Magbalantay ba gud ko sa akong igsoon?”
GEN.4.10	Busa
GEN.4.11	Karon tinunglo ka na ug isalikway ka sa yuta diin ang dugo sa imong igsoon nga imong gipatay miagas ug mituhop. 
GEN.4.12	Kon mag-uma ka, ang yuta dili na mohatag kanimog abot. Magtagotago ka ug maglatagaw nga walay pinuy-anan sa kalibotan.”
GEN.4.13	Si Cain miingon sa 
GEN.4.14	Giabog mo ako gikan niining yutaa ug gikan sa imong atubangan. Maglatagaw ug magtagotago ako sa kalibotan ug patyon ako ni bisan kinsa nga makakita kanako.”
GEN.4.15	Apan ang 
GEN.4.16	Ug si Cain mipahilayo sa 
GEN.4.17	Si Cain nakighilawas sa iyang asawa. Nanamkon ang iyang asawa ug nanganak ug batang lalaki nga ginganlan nilag Enoc. Unya nagtukod si Cain ug siyudad nga ginganlan niyag Enoc agig pasidungog sa iyang anak. 
GEN.4.18	Si Enoc may anak nga ginganlag Irad nga mao ang amahan ni Mehujael ug si Mehujael maoy amahan ni Metusael. Si Metusael maoy amahan ni Lamec. 
GEN.4.19	Duha ang asawa ni Lamec: si Ada ug si Zilla. 
GEN.4.20	Si Ada nanganak kang Jabal nga mao ang amahan sa mga nagbuhig kahayopan ug nagpuyo sa mga tolda. 
GEN.4.21	Ang ngalan sa iyang igsoon mao si Jubal nga mao ang amahan sa tanang musikero nga nagatugtog sa alpa ug sa plawta. 
GEN.4.22	Unya nanganak si Zilla kang Tubal-Cain nga mao ang ginikanan sa tanang tiggama ug mga butang gikan sa bronsi ug puthaw. Ang igsoong babaye ni Tubal-Cain mao si Naama.
GEN.4.23	Si Lamec miingon sa iyang duha ka asawa,
GEN.4.23	“Ada ug Zilla, paminawa ninyo ako.
GEN.4.23	Nakapatay akog batan-ong lalaki tungod kay gisumbag niya ako.
GEN.4.24	Kon ang panimalos alang kang Cain pito ka pilo,
GEN.4.24	ang panimalos alang kanako kapitoan ug pito ka pilo.”
GEN.4.25	Unya nakighilawas na usab si Adan sa iyang asawa ug si Eva nanganak ug batang lalaki. Si Eva miingon, “Gihatagan ako sa Dios ug anak ilis kang Abel nga gipatay ni Cain.” Busa ginganlan niya ang bata ug Set. 
GEN.4.26	Si Set may anak nga lalaki nga ginganlan niyag Enos. Nagsugod niadtong panahona ang mga tawo pagsangpit ug pagsimba sa ngalan ni Yahweh.
GEN.5.1	Mao
GEN.5.2	Gibuhat
GEN.5.3	Sa nagpanuigon na si Adan ug 130, natawo ang iyang anak nga lalaki nga liwat kaayo niya ug ginganlan niyag Set. 
GEN.5.4	Human matawo si Set, nakaabot pa gayod si Adan ug laing 800 ka tuig ug nakaliwat siyag ubang mga anak; 
GEN.5.5	namatay siya sa panuigong 930.
GEN.5.6	Sa nagpanuigon na si Set ug 105, natawo ang iyang anak nga lalaki nga si Enos 
GEN.5.7	ug nabuhi pa si Set ug laing 807 ka tuig. Nakaliwat siyag ubang mga anak 
GEN.5.8	ug namatay siya sa panuigong 912.
GEN.5.9	Sa 90 na ang panuigon ni Enos, natawo ang iyang anak nga lalaki nga si Kenan 
GEN.5.10	nabuhi pa si Enos ug laing 815 ka tuig. Nakaliwat siyag ubang mga anak 
GEN.5.11	ug namatay siya sa panuigong 905.
GEN.5.12	Sa 70 na ang panuigon ni Kenan, natawo ang iyang anak nga lalaki nga si Mahalalel 
GEN.5.13	ug nabuhi pa si Kenan ug laing 840 ka tuig. Nakaliwat siyag ubang mga anak 
GEN.5.14	ug namatay siya sa panuigong 910.
GEN.5.15	Sa 65 na ang panuigon ni Mahalalel natawo ang iyang anak nga lalaki nga si Jared. 
GEN.5.16	Si Mahalalel nabuhi pag laing 830 ka tuig. Nakaliwat siyag ubang mga anak 
GEN.5.17	ug unya namatay siya sa panuigong 895.
GEN.5.18	Sa 162 na ang panuigon ni Jared, natawo ang iyang anak nga lalaki nga si Enoc 
GEN.5.19	ug nabuhi pa siyag laing 800 ka tuig. Nakaliwat siyag ubang mga anak 
GEN.5.20	ug namatay siya sa panuigong 962.
GEN.5.21	Sa 65 na ang panuigon ni Enoc, natawo ang iyang anak nga lalaki nga si Metusela. 
GEN.5.22	Human matawo si Metusela, si Enoc nagkinabuhi nga matinumanon sa Dios sulod sa laing 300 ka tuig ug nakaliwat siyag ubang mga anak. 
GEN.5.23	Miabot ang iyang panuigon ug 365. 
GEN.5.24	Nagmatinumanon
GEN.5.25	Sa 187 na ang panuigon ni Metusela, nakaliwat siyag lalaki nga si Lamec 
GEN.5.26	ug nabuhi pa siyag laing 782 ka tuig. Nakaliwat siyag ubang mga anak 
GEN.5.27	ug namatay siya sa panuigong 969.
GEN.5.28	Sa 182 na ang panuigon ni Lamec, nakaliwat siyag lalaki 
GEN.5.29	ug miingon siya, “Kining bataa maoy makahupay kanato sa kabudlay sa atong paghago tungod sa pagtunglo sa 
GEN.5.30	Nabuhi pa si Lamec ug laing 595 ka tuig ug nakaliwat ug ubang mga anak 
GEN.5.31	ug unya namatay siya sa panuigong 777.
GEN.5.32	Sa kapin na sa 500 ka tuig ang panuigon ni Noe, nakaliwat siyag tulo ka lalaki nga si Sem, si Ham ug si Japet.
GEN.6.1+GEN.6.2	Niadtong
GEN.6.3	Unya ang 
GEN.6.4	Niadtong
GEN.6.5	Unya
GEN.6.6	Nagbasol siya nga gibuhat niya ang tawo diha sa kalibotan ug nakapasubo kini kaniya. 
GEN.6.7	Busa miingon siya, “Laglagon ko ang tanang tawo nga akong gibuhat. Laglagon ko usab ang tanang mananap ug mga langgam kay nagbasol ako nga gibuhat ko sila.” 
GEN.6.8	Apan gikahimut-an sa 
GEN.6.9	Mao
GEN.6.10	Aduna siyay tulo ka anak: Si Sem, si Ham ug si Japet. 
GEN.6.11	Apan ang katawhan daotan atubangan sa Dios ug ang kalibotan napuno sa ilang pagkadaotan. 
GEN.6.12	Gitan-aw sa Dios ang kalibotan ug nakita niya nga ngil-ad kini kay daotan man kaayo ang binuhatan sa mga tawo.
GEN.6.13	Unya ang Dios miingon kang Noe, “Nakahukom ako sa paglaglag sa tanang tawo. Puohon ko sila sa hingpit kay ila mang gipadagsang sa kalibotan ang ilang daotang mga buhat. 
GEN.6.14	Busa paghimog arka gikan sa kahoy nga goper. Buhati kinig mga lawak ug buliti ug aspalto ang sulod ug ang gawas niini. 
GEN.6.15	Ang gitas-on niini 133 ka metros,
GEN.6.16	Buhatig atop
GEN.6.17	Palunopan ko ang kalibotan aron pagpuo sa tanang binuhat. Ang tanan nga anaa ibabaw sa yuta mangamatay 
GEN.6.18	apan magbuhat akog kasabotan tali kanimo ug kanako. Sakay sa arka uban sa imong asawa ug mga anak ug sa ilang mga asawa. 
GEN.6.19+GEN.6.20	Pagdalag laki ug baye sa tanang matang sa mga mananap ug sa matag matang sa mga langgam aron dili sila mapuo. 
GEN.6.21	Pagdala usab sa tanang matang sa pagkaon ug tipigi kini aron inyong makaon ug makaon usab sa mga mananap.” 
GEN.6.22	Gituman
GEN.7.1	Ang 
GEN.7.2	Pagdala ug pito ka parisan nga laki ug baye sa tanang mananap nga giisip nga hinlo apan tagsa ka paris lamang ang dad-a sa mga mananap nga giisip nga hugaw. 
GEN.7.3	Pagdala usab ug pito ka parisan nga laki ug baye sa mga langgam aron dili sila mapuo. 
GEN.7.4	Kay human sa pito ka adlaw gikan karon, paulanon ko ug 40 ka adlaw ug 40 ka gabii aron pagpuo sa tanan kong binuhat nga may kinabuhi ibabaw sa yuta.” 
GEN.7.5	Ug gituman ni Noe ang tanan nga gisugo sa 
GEN.7.6	Si Noe nagpanuigon ug 600 sa dihang gilunopan ang kalibotan. 
GEN.7.7	Siya
GEN.7.8	Ang tanang matang sa mananap nga hinlo ug dili hinlo ingon man sa mga langgam 
GEN.7.9	nanakay sa arka nga nagtinagurha, laki ug baye, kuyog kang Noe sumala sa gisugo sa Dios kaniya. 
GEN.7.10	Ug pagkatapos sa pito ka adlaw gilunopan ang yuta.
GEN.7.11	Si
GEN.7.12	ug nag-ulan sulod sa 40 ka adlaw ug 40 ka gabii.
GEN.7.13	Niadto gayong adlawa, nanakay sa arka si Noe ug ang iyang asawa uban sa ilang tulo ka anak nga si Sem, si Ham ug si Japet ug ang ilang mga asawa. 
GEN.7.14	Nanakay usab uban kanila ang tanang matang sa mga mananap, mga ihalas ug binuhi, mga dagko ug gagmay ug ang tanang matang sa mga langgam. 
GEN.7.15	Laki ug baye sa matag matang sa tanang binuhat nanakay sa arka uban kang Noe 
GEN.7.16	sumala sa gisugo sa Dios. Unya gisirhan sa 
GEN.7.17	Mipadayon paglunop sulod sa 40 ka adlaw ug milalom pag-ayo ang tubig ug milutaw ang arka. 
GEN.7.18	Milalom pa gayod ug dugang ang tubig ug ang arka naglutawlutaw niini. 
GEN.7.19	Hilabihan gayod ang pagsaka sa tubig nga gilapawan niini ang tanang habog nga bukid sa kalibotan. 
GEN.7.20	Ang tubig milapaw ug mga pito ka metros sa tumoy sa kabukiran. 
GEN.7.21	Busa nangamatay ang tanang may kinabuhi: ang mga langgam, mga kahayopan, ang tanang gagmayng mananap ug ang tanang tawo. 
GEN.7.22	Ang tanang binuhat nga may gininhawa nga nagpuyo sa yuta nangamatay. 
GEN.7.23	Gipuo sa 
GEN.7.24	Ang lunop misugod paghubas human sa 150 ka adlaw.
GEN.8.1	Wala hikalimti sa Dios si Noe ug ang tanang ihalas nga mga mananap ug ang mga kahayopan nga uban kaniya didto sa arka. Nagpahuros ang Dios ug hangin ug misugod paghubas ang tubig. 
GEN.8.2	Gitakpan ang mga tubod sa kahiladman sa yuta ingon man ang mga bintana sa langit. Busa miundang ang ulan 
GEN.8.3	ug mipadayon paghubas ang tubig. Misugod kini paghubas tapos sa 150 ka adlaw. 
GEN.8.4	Unya sa ika-17 nga adlaw sa ikapitong bulan, nahitungtong ang arka sa bukid sa Ararat. 
GEN.8.5	Nagpadayon paghubas ang tubig ug sa unang adlaw, sa ikanapulo nga bulan, nakita na ang mga tumoy sa kabukiran.
GEN.8.6	Tapos sa 40 ka adlaw giablihan ni Noe ang bintana sa arka 
GEN.8.7	ug gibuhian niya ang usa ka uwak. Wala kini mobalik apan naglupadlupad kini hangtod nga mihubas ang tubig. 
GEN.8.8	Unya gibuhian ni Noe ang usa ka salampati aron pagsusi kon mihubas na ba ang tubig. 
GEN.8.9	Apan kay gisanapan pa man sa tubig ang yuta, walay hikaplagan nga katugdonan ang salampati ug mibalik kini sa arka. Busa gipagawas ni Noe ang iyang kamot sa arka ug gikuha ang salampati. 
GEN.8.10	Naghulat siyag laing pito ka adlaw ug gibuhian niya pag-usab ang salampati. 
GEN.8.11	Sa pagkakilomkilom na, mibalik kini kaniya nga nagtangag ug lunhawng dahon sa kahoyng olibo. Sa ingon niana, nasayran ni Noe nga mihubas na gayod ang tubig. 
GEN.8.12	Unya naghulat pa gayod si Noe ug laing pito ka adlaw ug gibuhian na usab niya ang salampati ug wala na kini mobalik.
GEN.8.13	Sa 601 na ang panuigon ni Noe, sa unang adlaw, sa unang bulan, mihubas na gayod sa hingpit ang tubig. Human niya makuha ang tabon sa arka, milantaw si Noe ug nakita niya nga uga na ang yuta. 
GEN.8.14	Sa ika-27 nga adlaw, sa ikaduhang bulan, namala na gayod ang yuta.
GEN.8.15	Unya ang Dios miingon kang Noe, 
GEN.8.16	“Kawas na sa arka uban sa imong asawa ug mga anak ug sa ilang mga asawa. 
GEN.8.17	Pagulaa usab ang tanang mananap—ang mga langgam, mga kahayopan ug ang tanang gagmayng mananap—aron mosanay sila sa tibuok kalibotan.” 
GEN.8.18	Busa mikawas si Noe uban sa iyang asawa ug mga anak ug sa ilang mga asawa. 
GEN.8.19	Sumala sa ilang matang ang tanang ihalas nga mga mananap, mga kahayopan, mga langgam ug gagmayng mga mananap nanggawas usab sa arka.
GEN.8.20	Si Noe nagbuhat ug halaran alang sa 
GEN.8.21	Sa napanimahuan sa 
GEN.8.22	Samtang ania pa ang kalibotan, dili gayod matapos ang panahon sa tingtanom ug ang panahon sa ting-ani, ang tingtugnaw ug ang ting-init, ang tinghulaw ug ang ting-ulan, ang adlaw ug ang gabii.”
GEN.9.1	Gipanalanginan
GEN.9.2	Mangahadlok kaninyo ang tanang mananap lakip ang mga langgam, ang gagmayng mga mananap ug ang mga isda. Gitugyan sila ubos sa inyong pagbuot. 
GEN.9.3	Makakaon kamo sa tanang mananap ug sa lunhawng mga tanom kay gitugyan ko kining tanan kaninyo aron mahimong pagkaon ninyo. 
GEN.9.4	Usa
GEN.9.5	Kon usa ka tawo mopatay ug tawo, silotan siya. Silotan pinaagi sa kamatayon ang mananap o tawo nga mopatay ug tawo. 
GEN.9.6	Ang
GEN.9.7	“Panganak
GEN.9.8	Unya ang Dios miingon kang Noe ug sa iyang mga anak, 
GEN.9.9	“Himoon ko na karon ang akong kasabotan tali kaninyo ug kanako ug sa inyong mga kaliwat, 
GEN.9.10	ingon man sa tanang binuhat nga buhi uban kaninyo—ang mga langgam, mga kahayopan ug mga ihalas nga mga mananap—tanan gayod nga nanggawas sa arka. 
GEN.9.11	Himoon ko ang akong kasabotan tali kaninyo ug kanako: isaad ko nga dili na gayod puohon pinaagi sa lunop ang tanang binuhat nga buhi. Dili na gayod laglagon ang kalibotan pinaagi sa lunop.” 
GEN.9.12	Ug ang Dios miingon, “Agig timaan sa walay kataposang kasabotan nga akong gihimo tali kanako ug kaninyo ingon man sa tanang buhing mananap, 
GEN.9.13	palutawon ko ang akong bangaw diha sa kapanganoran. Timaan kini sa kasabotan tali kanako ug sa kalibotan. 
GEN.9.14	Kon tigumon ko na gani ang mga panganod diha sa langit ug makita diha niini ang bangaw, 
GEN.9.15	hinumdoman ko ang akong gisaad kaninyo ug sa tanang mananap nga dili ko na gayod laglagon pinaagig lunop ang tanang binuhat. 
GEN.9.16	Sa dihang makita na ang bangaw diha sa mga panganod, tan-awon ko kini ug hinumdoman ko ang walay kataposang kasabotan tali kanako ug sa tanang binuhat nga anaa sa kalibotan.”
GEN.9.17	Ang Dios miingon kang Noe, “Mao kini ang ilhanan sa saad nga akong gihimo sa tanang binuhat nga buhi dinhi sa kalibotan.”
GEN.9.18	Ang mga anak ni Noe nga nangawas sa arka mao si Sem, si Ham ug si Japet. Si Ham mao ang amahan ni Canaan. 
GEN.9.19	Kining tulo ka anak ni Noe mao ang mga ginikanan sa tanang tawo sa kalibotan.
GEN.9.20	Si Noe mag-uuma ug siya mao ang unang nananom ug paras. 
GEN.9.21	Sa nakainom na siyag ubay-ubayng bino, nahubog siya ug natulog nga hubo didto sa iyang tolda. 
GEN.9.22	Sa pagkakita ni Ham, ang amahan ni Canaan, nga hubo ang iyang amahan, migula siya ug gisuginlan ang duha niya ka igsoon. 
GEN.9.23	Unya nagkuhag kupo sila si Sem ug si Japet ug gibutang nila kini sa ilang abaga. Nagtalikod sila nga misulod sa tolda ug gitabonan nila ang ilang amahan. Samtang gibuhat nila kini, milingiw sila aron dili nila makita ang pagkahubo sa ilang amahan. 
GEN.9.24	Sa nahuwasan na si Noe ug sa nasayran niya ang gibuhat kaniya sa iyang kamanghorang anak, 
GEN.9.25	miingon siya,
GEN.9.25	“Tinunglo si Canaan;
GEN.9.25	mahimo siyang ulipon sa iyang mga igsoon.”
GEN.9.26	Miingon usab siya,
GEN.9.26	“Dalaygon ang Dios ni Sem.
GEN.9.26	Mahimong ulipon ni Sem si Canaan.
GEN.9.27	Pasanayon unta sa Dios si Japet
GEN.9.27	ug motipon unta pagpuyo sa katawhan ni Sem ang iyang kaliwat.
GEN.9.27	Mahimong ulipon ni Japet si Canaan.”
GEN.9.28	Human sa lunop, nabuhi pa si Noe ug laing 350 ka tuig. 
GEN.9.29	Namatay siya sa panuigong 950.
GEN.10.1	Mao kini ang mga kaliwat sa mga anak ni Noe nga sila si Sem, si Ham ug si Japet. Ang ilang mga anak nangatawo human sa lunop.
GEN.10.2	Ang mga anak ni Japet mao sila si Gomer, Magog, Madai, Jaban, Tubal, Mesec ug Tiras. 
GEN.10.3	Ang mga anak ni Gomer mao sila si Askenas, Rifat ug Togarma. 
GEN.10.4	Ang mga anak ni Jaban mao sila si Elisa, Tarsis, Kitim ug Dodanim. 
