GEN.1.1	Yn y dechreuad creodd Duw y nefoedd a'r ddaear. 
GEN.2.15	Cymerodd yr 
GEN.2.16	Rhoddodd yr 
GEN.2.17	ond ni chei fwyta o bren gwybodaeth da a drwg, oherwydd y dydd y bwytei ohono ef, byddi'n sicr o farw.”
GEN.2.18	Dywedodd yr 
GEN.2.19	Felly fe luniodd yr 
GEN.2.20	Rhoes y dyn enw ar yr holl anifeiliaid, ar adar yr awyr, ac ar yr holl fwystfilod gwyllt; ond ni chafodd ymgeledd cymwys iddo'i hun. 
GEN.2.21	Yna parodd yr 
GEN.2.22	ac o'r asen a gymerodd gwnaeth yr 
GEN.2.23	A dywedodd y dyn,
GEN.2.23	“Dyma hi!
GEN.2.23	Asgwrn o'm hesgyrn, a chnawd o'm cnawd.
GEN.2.23	Gelwir hi yn wraig,
GEN.2.23	am mai o ŵr
GEN.2.24	Dyna pam y bydd dyn yn gadael ei dad a'i fam, ac yn glynu wrth ei wraig, a byddant yn un cnawd. 
GEN.2.25	Yr oedd y dyn a'i wraig ill dau yn noeth, ac nid oedd arnynt gywilydd.
GEN.3.1	Yr oedd y sarff yn fwy cyfrwys na'r holl fwystfilod gwyllt a wnaed gan yr 
GEN.3.2	Dywedodd y wraig wrth y sarff, “Cawn fwyta o ffrwyth coed yr ardd, 
GEN.3.3	ond am ffrwyth y goeden sydd yng nghanol yr ardd dywedodd Duw, ‘Peidiwch â bwyta ohono, na chyffwrdd ag ef, rhag ichwi farw.’ ” 
GEN.3.4	Ond dywedodd y sarff wrth y wraig, “Na! ni fyddwch farw; 
GEN.3.5	ond fe ŵyr Duw yr agorir eich llygaid y dydd y bwytewch ohono, a byddwch fel Duw
GEN.3.6	A phan ddeallodd y wraig fod y pren yn dda i fwyta ohono, a'i fod yn deg i'r golwg ac yn bren i'w ddymuno i beri doethineb, cymerodd o'i ffrwyth a'i fwyta, a'i roi hefyd i'w gŵr oedd gyda hi, a bwytaodd yntau. 
GEN.3.7	Yna agorwyd eu llygaid hwy ill dau i wybod eu bod yn noeth, a gwnïasant ddail ffigysbren i wneud ffedogau iddynt eu hunain.
GEN.3.8	A chlywsant sŵn yr 
GEN.3.9	Ond galwodd yr 
GEN.3.10	Atebodd yntau, “Clywais dy sŵn yn yr ardd, ac ofnais oherwydd fy mod yn noeth, ac ymguddiais.” 
GEN.3.11	Dywedodd yntau, “Pwy a ddywedodd wrthyt dy fod yn noeth? A wyt ti wedi bwyta o'r pren y gorchmynnais iti beidio â bwyta ohono?” 
GEN.3.12	A dywedodd y dyn, “Y wraig a roddaist i fod gyda mi a roes i mi o ffrwyth y pren, a bwyteais innau.” 
GEN.3.13	Yna dywedodd yr 
GEN.3.14	Yna dywedodd yr 
GEN.3.14	“Am iti wneud hyn, yr wyt yn fwy melltigedig
GEN.3.14	na'r holl anifeiliaid,
GEN.3.14	ac na'r holl fwystfilod gwyllt;
GEN.3.14	byddi'n ymlusgo ar dy dor,
GEN.3.14	ac yn bwyta llwch holl ddyddiau dy fywyd.
GEN.3.15	Gosodaf elyniaeth hefyd rhyngot ti a'r wraig,
GEN.3.15	a rhwng dy had di a'i had hithau;
GEN.3.15	bydd ef yn ysigo dy ben di,
GEN.3.15	a thithau'n ysigo'i sawdl ef.”
GEN.3.16	Dywedodd wrth y wraig:
GEN.3.16	“Byddaf yn amlhau yn ddirfawr dy boen a'th wewyr;
GEN.3.16	mewn poen y byddi'n geni plant.
GEN.3.16	Eto bydd dy ddyhead am dy ŵr,
GEN.3.16	a bydd ef yn llywodraethu arnat.”
GEN.3.17	Dywedodd wrth Adda:
GEN.3.17	“Am iti wrando ar lais dy wraig,
GEN.3.17	a bwyta o'r pren y gorchmynnais i ti beidio â bwyta ohono,
GEN.3.17	melltigedig yw'r ddaear o'th achos;
GEN.3.17	trwy lafur y bwytei ohoni holl ddyddiau dy fywyd.
GEN.3.18	Bydd yn rhoi iti ddrain ac ysgall, a byddi'n bwyta llysiau gwyllt.
GEN.3.19	Trwy chwys dy wyneb y byddi'n bwyta bara
GEN.3.19	hyd oni ddychweli i'r pridd,
GEN.3.19	oherwydd ohono y'th gymerwyd;
GEN.3.19	llwch wyt ti, ac i'r llwch y dychweli.”
GEN.3.20	Rhoddodd y dyn i'w wraig yr enw Efa, am mai hi oedd mam pob un byw. 
GEN.3.21	A gwnaeth yr 
GEN.3.22	Yna dywedodd yr 
GEN.3.23	Am hynny anfonodd yr 
GEN.3.24	Gyrrodd y dyn allan; a gosododd gerwbiaid i'r dwyrain o ardd Eden, a chleddyf fflamllyd yn chwyrlïo, i warchod y ffordd at bren y bywyd.
GEN.4.1	Cafodd Adda gyfathrach â'i wraig Efa, a beichiogodd ac esgor ar Cain, a dywedodd, “Dygais
GEN.4.2	Esgorodd wedyn ar ei frawd Abel. Bugail defaid oedd Abel, a Cain yn trin y tir. 
GEN.4.3	Ymhen amser daeth Cain ag offrwm o gynnyrch y tir i'r 
GEN.4.4	a daeth Abel yntau â blaenffrwyth ei ddefaid, sef eu braster. 
GEN.4.5	Edrychodd yr 
GEN.4.6	Ac meddai'r 
GEN.4.7	Os gwnei yn dda, oni fyddi'n gymeradwy? Ac oni wnei yn dda, y mae pechod yn llercian wrth y drws; y mae ei wanc amdanat, ond rhaid i ti ei drechu.” 
GEN.4.8	A dywedodd Cain wrth Abel ei frawd, “Gad inni fynd i'r maes.”
GEN.4.9	Yna dywedodd yr 
GEN.4.10	A dywedodd Duw, “Beth wyt wedi ei wneud? Y mae llef gwaed dy frawd yn gweiddi arnaf o'r pridd. 
GEN.4.11	Yn awr, melltigedig fyddi gan y pridd a agorodd ei safn i dderbyn gwaed dy frawd o'th law. 
GEN.4.12	Pan fyddi'n trin y pridd, ni fydd mwyach yn rhoi ei ffrwyth iti; ffoadur a chrwydryn fyddi ar y ddaear.” 
GEN.4.13	Yna meddai Cain wrth yr 
GEN.4.14	Dyma ti heddiw yn fy ngyrru ymaith o'r tir, ac fe'm cuddir o'th ŵydd; ffoadur a chrwydryn fyddaf ar y ddaear, a bydd pwy bynnag a ddaw ar fy nhraws yn fy lladd.” 
GEN.4.15	Dywedodd yr 
GEN.4.16	Yna aeth Cain ymaith o ŵydd yr 
GEN.4.17	Cafodd Cain gyfathrach â'i wraig, a beichiogodd ac esgor ar Enoch; ac adeiladodd ddinas, a'i galw ar ôl ei fab, Enoch. 
GEN.4.18	Ac i Enoch ganwyd Irad; Irad oedd tad Mehwiael, Mehwiael oedd tad Methwsael, a Methwsael oedd tad Lamech. 
GEN.4.19	Cymerodd Lamech ddwy wraig; Ada oedd enw'r gyntaf, a Sila oedd enw'r ail. 
GEN.4.20	Esgorodd Ada ar Jabal; ef oedd tad pob preswylydd pabell a pherchen anifail. 
GEN.4.21	Enw ei frawd oedd Jwbal; ef oedd tad pob canwr telyn a phib. 
GEN.4.22	Esgorodd Sila, y wraig arall, ar Twbal-Cain, cyfarwyddwr pob un sy'n gwneud cywreinwaith pres a haearn. Naama oedd chwaer Twbal-Cain.
GEN.4.23	A dywedodd Lamech wrth ei wragedd:
GEN.4.23	“Ada a Sila, clywch fy llais;
GEN.4.23	chwi wragedd Lamech, gwrandewch fy lleferydd;
GEN.4.23	lleddais ŵr am fy archolli, a llanc am fy nghleisio.
GEN.4.24	Os dielir am Cain seithwaith,
GEN.4.24	yna Lamech saith ddengwaith a seithwaith.”
GEN.4.25	Cafodd Adda gyfathrach â'i wraig eto, ac esgorodd ar fab, a'i alw'n Seth, a dweud, “Darparodd
GEN.4.26	I Seth hefyd fe anwyd mab, a galwodd ef yn Enos. Yr amser hwnnw y dechreuwyd galw ar enw yr 
GEN.5.1	Dyma lyfr cenedlaethau Adda
GEN.5.2	Fe'u creodd yn wryw ac yn fenyw, a bendithiodd hwy; ac ar ddydd eu creu fe'u galwodd yn ddyn. 
GEN.5.3	Bu Adda fyw am gant tri deg o flynyddoedd cyn geni mab iddo, ar ei lun a'i ddelw; a galwodd ef yn Seth. 
GEN.5.4	Wedi geni Seth, bu Adda fyw am wyth gan mlynedd, a bu iddo feibion a merched eraill. 
GEN.5.5	Felly yr oedd oes gyfan Adda yn naw cant tri deg o flynyddoedd; yna bu farw.
GEN.5.6	Bu Seth fyw am gant a phump o flynyddoedd cyn geni iddo Enos. 
GEN.5.7	Ac wedi geni Enos, bu Seth fyw am wyth gant a saith o flynyddoedd, a bu iddo feibion a merched eraill. 
GEN.5.8	Felly yr oedd oes gyfan Seth yn naw cant a deuddeg o flynyddoedd; yna bu farw.
GEN.5.9	Bu Enos fyw am naw deg o flynyddoedd cyn geni iddo Cenan. 
GEN.5.10	Ac wedi geni Cenan, bu Enos fyw am wyth gant a phymtheg o flynyddoedd, a bu iddo feibion a merched eraill. 
GEN.5.11	Felly yr oedd oes gyfan Enos yn naw cant a phump o flynyddoedd; yna bu farw.
GEN.5.12	Bu Cenan fyw am saith deg o flynyddoedd cyn geni iddo Mahalalel. 
GEN.5.13	Ac wedi geni Mahalalel, bu Cenan fyw am wyth gant pedwar deg o flynyddoedd, a bu iddo feibion a merched eraill. 
GEN.5.14	Felly yr oedd oes gyfan Cenan yn naw cant a deg o flynyddoedd; yna bu farw.
GEN.5.15	Bu Mahalalel fyw am chwe deg a phump o flynyddoedd cyn geni iddo Jered. 
GEN.5.16	Ac wedi geni Jered, bu Mahalalel fyw am wyth gant tri deg o flynyddoedd, a bu iddo feibion a merched eraill. 
GEN.5.17	Felly yr oedd oes gyfan Mahalalel yn wyth gant naw deg a phump o flynyddoedd; yna bu farw.
GEN.5.18	Bu Jered fyw am gant chwe deg a dwy o flynyddoedd cyn geni iddo Enoch. 
GEN.5.19	Ac wedi geni Enoch, bu Jered fyw am wyth gan mlynedd, a bu iddo feibion a merched eraill. 
GEN.5.20	Felly yr oedd oes gyfan Jered yn naw cant chwe deg a dwy o flynyddoedd; yna bu farw.
GEN.5.21	Bu Enoch fyw am chwe deg a phump o flynyddoedd cyn geni iddo Methwsela. 
GEN.5.22	Wedi geni Methwsela, rhodiodd Enoch gyda Duw am dri chan mlynedd, a bu iddo feibion a merched eraill. 
GEN.5.23	Felly yr oedd oes gyfan Enoch yn dri chant chwe deg a phump o flynyddoedd. 
GEN.5.24	Rhodiodd Enoch gyda Duw, ac yna nid oedd mwyach, oherwydd cymerodd Duw ef.
GEN.5.25	Bu Methwsela fyw am gant wyth deg a saith o flynyddoedd cyn geni iddo Lamech. 
GEN.5.26	Ac wedi geni Lamech, bu Methwsela fyw am saith gant wyth deg a dwy o flynyddoedd, a bu iddo feibion a merched eraill. 
GEN.5.27	Felly yr oedd oes gyfan Methwsela yn naw cant chwe deg a naw o flynyddoedd; yna bu farw.
GEN.5.28	Bu Lamech fyw am gant wyth deg a dwy o flynyddoedd cyn geni iddo fab; 
GEN.5.29	a galwodd ef yn Noa, a dweud, “Fe ddaw hwn â chysur i ni o waith a llafur ein dwylo yn y pridd a felltithiodd yr 
GEN.5.30	Ac wedi geni Noa, bu Lamech fyw am bum cant naw deg a phump o flynyddoedd, a bu iddo feibion a merched eraill. 
GEN.5.31	Felly yr oedd oes gyfan Lamech yn saith gant saith deg a saith o flynyddoedd; yna bu farw. 
GEN.5.32	Bu Noa fyw am bum can mlynedd cyn geni iddo Sem, Cham a Jaffeth.
GEN.6.1	Dechreuodd y bobl amlhau ar wyneb y ddaear, a ganwyd merched iddynt; 
GEN.6.2	yna gwelodd meibion Duw fod y merched yn hardd, a chymerasant wragedd o'u plith yn ôl eu dewis. 
GEN.6.3	A dywedodd yr 
GEN.6.4	Y Neffilim oedd ar y ddaear yr amser hwnnw, ac wedi hynny hefyd, pan oedd meibion Duw yn cyfathrachu â'r merched, a hwythau'n geni plant iddynt. Dyma'r cedyrn gynt, gwŷr enwog.
GEN.6.5	Pan welodd yr 
GEN.6.6	bu edifar gan yr 
GEN.6.7	Yna dywedodd yr 
GEN.6.8	Ond cafodd Noa ffafr yng ngolwg yr 
GEN.6.9	Dyma genedlaethau Noa. Gŵr cyfiawn oedd Noa, perffaith yn ei oes; a rhodiodd Noa gyda Duw. 
GEN.6.10	Yr oedd Noa'n dad i dri o feibion: Sem, Cham a Jaffeth.
GEN.6.11	Aeth y ddaear yn llygredig gerbron Duw, ac yn llawn trais. 
GEN.6.12	A gwelodd Duw fod y ddaear yn llygredig, am fod bywyd pob peth byw ar y ddaear wedi ei lygru. 
GEN.6.13	Yna dywedodd Duw wrth Noa, “Yr wyf wedi penderfynu difodi pob cnawd, oherwydd llanwyd y ddaear â thrais ganddynt; yr wyf am eu difetha o'r ddaear. 
GEN.6.14	Gwna i ti arch o bren goffer; gwna gelloedd ynddi a rho drwch o byg arni, oddi mewn ac oddi allan. 
GEN.6.15	Dyma'i chynllun: hyd yr arch, tri chan cufydd; ei lled, hanner can cufydd; ei huchder, deg cufydd ar hugain. 
GEN.6.16	Gwna do hefyd i'r arch, a gorffen ei grib gufydd yn uwch; gosod ddrws yr arch yn ei hochr, a gwna hi'n dri llawr, yr isaf, y canol a'r uchaf. 
GEN.6.17	Edrych, yr wyf ar fin dwyn dyfroedd y dilyw ar y ddaear, i ddifetha pob cnawd dan y nef ag anadl einioes ynddo; bydd popeth ar y ddaear yn trengi. 
GEN.6.18	Ond sefydlaf fy nghyfamod â thi; fe ei di i'r arch, ti a'th feibion a'th wraig, a gwragedd dy feibion gyda thi. 
GEN.6.19	Yr wyt i fynd â dau o bob math o'r holl greaduriaid byw i mewn i'r arch i'w cadw'n fyw gyda thi, sef gwryw a benyw. 
GEN.6.20	Daw atat ddau o bob math o'r adar yn ôl eu rhywogaeth, o'r anifeiliaid yn ôl eu rhywogaeth, ac o holl ymlusgiaid y tir yn ôl eu rhywogaeth, i'w cadw'n fyw. 
GEN.6.21	Cymer hefyd o bob bwyd sy'n cael ei fwyta, a chasgla ef ynghyd; bydd yn ymborth i ti ac iddynt hwythau.” 
GEN.6.22	Felly y gwnaeth Noa; gwnaeth bopeth fel y gorchmynnodd Duw iddo.
GEN.7.1	Yna dywedodd yr 
GEN.7.2	Cymer gyda thi saith bâr o'r holl anifeiliaid glân, y gwryw a'i gymar; a phâr o'r anifeiliaid nad ydynt lân, y gwryw a'i gymar; 
GEN.7.3	a phob yn saith bâr hefyd o adar yr awyr, y gwryw a'r fenyw, i gadw eu hil yn fyw ar wyneb yr holl ddaear. 
GEN.7.4	Oherwydd ymhen saith diwrnod paraf iddi lawio ar y ddaear am ddeugain diwrnod a deugain nos, a byddaf yn dileu oddi ar wyneb y ddaear bopeth byw a wneuthum.” 
GEN.7.5	Gwnaeth Noa bopeth fel y gorchmynnodd yr 
GEN.7.6	Chwe chant oed oedd Noa pan ddaeth dyfroedd y dilyw ar y ddaear.
GEN.7.7	Aeth Noa i mewn i'r arch, a'i feibion a'i wraig a gwragedd ei feibion gydag ef, rhag dyfroedd y dilyw. 
GEN.7.8	Cymerodd o'r anifeiliaid glân a'r anifeiliaid nad oeddent lân, o'r adar a phopeth oedd yn ymlusgo ar y tir, 
GEN.7.9	a daethant i mewn ato i'r arch bob yn ddau, yn wryw a benyw, fel y gorchmynnodd Duw i Noa. 
GEN.7.10	Ymhen saith diwrnod daeth dyfroedd y dilyw ar y ddaear.
GEN.7.11	Yn y chwe chanfed flwyddyn o oes Noa, yn yr ail fis, ar yr ail ddydd ar bymtheg o'r mis, y diwrnod hwnnw rhwygwyd holl ffynhonnau'r dyfnder mawr ac agorwyd ffenestri'r nefoedd, 
GEN.7.12	fel y bu'n glawio ar y ddaear am ddeugain diwrnod a deugain nos. 
GEN.7.13	Y diwrnod hwnnw aeth Noa a'i feibion Sem, Cham a Jaffeth, gwraig Noa a thair gwraig ei feibion hefyd gyda hwy i mewn i'r arch, 
GEN.7.14	hwy a phob bwystfil yn ôl ei rywogaeth, a phob anifail yn ôl ei rywogaeth, a phob peth sy'n ymlusgo ar y ddaear yn ôl ei rywogaeth, a'r holl adar yn ôl eu rhywogaeth, pob aderyn asgellog. 
GEN.7.15	Daethant at Noa i'r arch bob yn ddau, o bob creadur ag anadl einioes ynddo. 
GEN.7.16	Yr oeddent yn dod yn wryw ac yn fenyw o bob creadur, ac aethant i mewn fel y gorchmynnodd Duw iddo; a chaeodd yr 
GEN.7.17	Am ddeugain diwrnod y bu'r dilyw yn dod ar y ddaear; amlhaodd y dyfroedd, gan gludo'r arch a'i chodi oddi ar y ddaear. 
GEN.7.18	Cryfhaodd y dyfroedd ac amlhau'n ddirfawr ar y ddaear, a moriodd yr arch ar wyneb y dyfroedd. 
GEN.7.19	Cryfhaodd y dyfroedd gymaint ar y ddaear nes gorchuddio'r holl fynyddoedd uchel ym mhob man dan y nefoedd; 
GEN.7.20	cododd y dyfroedd dros y mynyddoedd a'u gorchuddio dan ddyfnder o bymtheg cufydd. 
GEN.7.21	Trengodd pob cnawd oedd yn symud ar y ddaear, yn adar, anifeiliaid, bwystfilod, popeth oedd yn heigio ar y ddaear, a phobl hefyd; 
GEN.7.22	bu farw popeth ar y tir sych oedd ag anadl einioes yn ei ffroenau. 
GEN.7.23	Dilewyd popeth byw oedd ar wyneb y tir, yn ddyn ac anifail, yn ymlusgiaid ac adar yr awyr; fe'u dilewyd o'r ddaear. Noa yn unig a adawyd, a'r rhai oedd gydag ef yn yr arch. 
GEN.7.24	Parhaodd y dyfroedd ar y ddaear am gant a hanner o ddyddiau.
GEN.8.1	Cofiodd Duw am Noa a'r holl fwystfilod a'r holl anifeiliaid oedd gydag ef yn yr arch. Parodd Duw i wynt chwythu dros y ddaear, a gostyngodd y dyfroedd; 
GEN.8.2	caewyd ffynhonnau'r dyfnder a ffenestri'r nefoedd, ac ataliwyd y glaw o'r nef. 
GEN.8.3	Ciliodd y dyfroedd yn raddol oddi ar y ddaear, ac wedi cant a hanner o ddyddiau aeth y dyfroedd ar drai. 
GEN.8.4	Yn y seithfed mis, ar yr ail ddydd ar bymtheg o'r mis, glaniodd yr arch ar fynyddoedd Ararat. 
GEN.8.5	Ciliodd y dyfroedd yn raddol hyd y degfed mis; ac yn y degfed mis, ar y dydd cyntaf o'r mis, daeth pennau'r mynyddoedd i'r golwg.
GEN.8.6	Ymhen deugain diwrnod agorodd Noa y ffenestr yr oedd wedi ei gwneud yn yr arch, 
GEN.8.7	ac anfon allan gigfran i weld a oedd y dyfroedd wedi treio
GEN.8.8	Yna gollyngodd golomen i weld a oedd y dyfroedd wedi treio oddi ar wyneb y tir; 
GEN.8.9	ond ni chafodd y golomen le i roi ei throed i lawr, a dychwelodd ato i'r arch am fod dŵr dros wyneb yr holl ddaear. Estynnodd yntau ei law i'w derbyn, a'i chymryd ato i'r arch. 
GEN.8.10	Arhosodd eto saith diwrnod, ac anfonodd y golomen eilwaith o'r arch. 
GEN.8.11	Pan ddychwelodd y golomen ato gyda'r hwyr, yr oedd yn ei phig ddeilen olewydd newydd ei thynnu; a deallodd Noa fod y dyfroedd wedi treio oddi ar y ddaear. 
GEN.8.12	Arhosodd eto saith diwrnod; anfonodd allan y golomen, ond ni ddaeth yn ôl ato y tro hwn.
GEN.8.13	Yn y flwyddyn chwe chant ac un o oed Noa, yn y mis cyntaf, ar y dydd cyntaf o'r mis, sychodd y dyfroedd oddi ar y ddaear; a symudodd Noa gaead yr arch, a phan edrychodd allan, gwelodd wyneb y tir yn sychu. 
GEN.8.14	Erbyn yr ail fis, ar y seithfed dydd ar hugain o'r mis, yr oedd y ddaear wedi sychu. 
GEN.8.15	Yna llefarodd Duw wrth Noa, a dweud, 
GEN.8.16	“Dos allan o'r arch, ti a'th wraig a'th feibion a gwragedd dy feibion gyda thi; 
GEN.8.17	a dwg allan gyda thi bob creadur byw o bob cnawd, yn adar ac anifeiliaid a phopeth sy'n ymlusgo ar y ddaear, er mwyn iddynt epilio ar y ddaear, a ffrwytho ac amlhau ynddi.” 
GEN.8.18	Felly aeth Noa allan gyda'i feibion a'i wraig a gwragedd ei feibion; 
GEN.8.19	hefyd aeth allan o'r arch bob bwystfil, pob ymlusgiad, pob aderyn a phob peth sy'n ymlusgo ar y ddaear, yn ôl eu rhywogaeth.
GEN.8.20	Yna adeiladodd Noa allor i'r 
GEN.8.21	A phan glywodd yr 
GEN.8.22	“Tra pery'r ddaear,
GEN.8.22	ni pheidia pryd hau a medi, oerni a gwres,
GEN.8.22	haf a gaeaf, dydd a nos.”
GEN.9.1	Bendithiodd Duw Noa a'i feibion a dweud, “Byddwch ffrwythlon, amlhewch a llanwch y ddaear. 
GEN.9.2	Bydd eich ofn a'ch arswyd ar yr holl fwystfilod gwyllt, ar holl adar yr awyr, ar holl ymlusgiaid y tir ac ar holl bysgod y môr; gosodwyd hwy dan eich awdurdod. 
GEN.9.3	Bydd popeth byw sy'n symud yn fwyd i chwi; fel y rhoddais eisoes lysiau gleision i chwi, rhoddaf i chwi bopeth. 
GEN.9.4	Ond peidiwch â bwyta cig â'i einioes, sef ei waed, ynddo. 
GEN.9.5	Yn wir, mynnaf iawn am waed eich einioes; mynnaf ef gan bob bwystfil a chan bobl; ie, mynnaf iawn am fywyd y sawl a leddir gan arall.
GEN.9.6	“A dywallto waed dyn, trwy ddyn y tywelltir ei waed yntau;
GEN.9.6	oherwydd gwnaeth Duw ddyn ar ei ddelw ei hun.
GEN.9.7	Chwithau, byddwch ffrwythlon ac amlhewch,
GEN.9.7	epiliwch ar y ddaear ac amlhewch ynddi.”
GEN.9.8	Llefarodd Duw wrth Noa a'i feibion, a dweud, 
GEN.9.9	“Dyma fi'n sefydlu fy nghyfamod â chwi ac â'ch had ar eich ôl, 
