MAT.1.1	LLyver 
MAT.3.3	Can ys hwn yw ef am bwy vn y dywetwyt gan y Prophwyt Esaias, gan ddywedyt, Llef 
MAT.3.4	A’r Ioan hwnaw oedd ai ddillat o vlew camel, a gwregis o groen yn‐cylch ei 
MAT.3.5	Yno ydd aeth allan atto Gaerusalem ac oll Iudaea, a’r oll wlat 
MAT.3.6	Ac ei batyddiwyt wy ganthaw yn Iorddonen, gan 
MAT.3.7	A’phan welawdd ef lawer o’r Pharisaiait ac or Sadduceit yn dywot y’w vetydd ef, y dyvot wrthynt, A genedleth 
MAT.3.8	Can hynny dygwch ffrwythae teilwng i 
MAT.3.9	Ac na veddyliwch ddywedyt ynoch eich unain, Y mae 
MAT.3.10	Ac yr awrhō hefyt y gosodwyt y vwyall ar wreiddyn y preniae: can hyny pop pren, ar ny ddwc ffrwyth da, a 
MAT.3.11	Myvi yn ddiau ach betyddiaf a dwfyr er 
MAT.3.12	Yr hwn ’sydd aei 
MAT.3.13	¶ Yno y daeth yr Iesu o’r Galilaea i Iorddanen at Ioan, yw vetyddio y ganthaw. 
MAT.3.14	Eithr Ioan y 
MAT.3.15	Yno ’r Iesu gan atep, a ddyvot wrthaw, Gad yr awrhon: can val hyn y gwedda y ni gyflawni pop cyfiawnder. Yno y gadawodd yddaw. 
MAT.3.16	A’r Iesu wedi ei vetyddio, a ddaeth yn y van i vyny
MAT.3.17	A’ nycha, llef o’r nefoedd yn dywedyt, Hwn yw vy caredic Vap, yn yr hwn im boddlonir.
MAT.4.1	YNo yr aethpwyt a’r Iesu i vyny ir 
MAT.4.2	A gwedy iddaw 
MAT.4.3	Yno y daeth y 
MAT.4.4	Ac yntef atepawdd ac a ddyuod, Mae yn escrivenedic, Nid 
MAT.4.5	Yno y cymerth diavol ef ir dinas sanctaidd, ac ei gossodes ar binnacul y templ, 
MAT.4.6	ac addyvot wrthaw, A’s Map Duw wyt, bwrw dy hun i lawr: can ys yscrivenedic yw, Y rhydd ef orchymyn yw Angelion am danat, ac wy ath 
MAT.4.7	Yr Iesu a ddyvot wrthaw, Y mae yn escrivenedic trachefyn, Na themptia yr Arglwydd dy Dduw. 
MAT.4.8	Trachefyn y cymerth diavol ef i vynyth tra vchel, ac a ddangosodd iddaw oll deyrnasoedd y byt, a’ ei gogoniant, 
MAT.4.9	ac a ddyvot wrthaw, Hynn oll a roddaf y ty, a’s cwympy i lawr, a’m addoli i. 
MAT.4.10	Yno y dyvot yr Iesu wrthaw, 
MAT.4.11	Yno y gadawdd diavol ef: 
MAT.4.12	A’ phan glybu ’r Iesu 
MAT.4.13	ac a adawodd Nazaret, ac aeth ac a drigodd yn‐Capernaum, yr hon ’sydd wrth y mor yn cyffinydd Zabulon a’ Nephthalim: 
MAT.4.14	yn y chyflawnit hyn a ddywetpwyt trwy Esaias brophwyt, gan ddywedyt, 
MAT.4.15	Tir Zabulon, a ’thir Nephthalim 
MAT.4.16	Y popul a oedd yn eistedd yn‐tywyllwch, a welawdd oleuni mawr: ac ir ei a eisteddent 
MAT.4.17	O’r pryd hyny y dechreuawdd yr Iesu precethy, a dywedyt, Gwellewch eich bychedd: erwydd bot teyrnas nefoedd yn 
MAT.4.18	Mal ydd oedd yr Iesu yn rhodiaw wrth vor Galilea, e ganvu ddau vroder, Simon, yr hwn a elwir Petr, ac Andreas ei vrawt, yn bwrw rhwyt i’r mor (can ys pyscotwyr oeddent) 
MAT.4.19	ac ef a ddyvot wrthwynt, 
MAT.4.20	Ac wy yn y van gan ady y rhwytae, y dilynesont ef. 
MAT.4.21	A gwedy y vynet ef o ddynaw, ef a welawdd ddau vroder ereill, Iaco 
MAT.4.22	Ac wy eb ohir gan adael y llōg a’ ei tat, y 
MAT.4.23	Ac yno ydd aeth yr Iesu o amgylch oll Galilaea, gan 
MAT.4.24	Ac aeth 
MAT.4.25	Ac y canlynawdd ef dyrva vawr o Galilea, ac 
MAT.5.1	A’ Phan welawdd 
MAT.5.2	Ac ef agorawdd ei enae ac ei dyscawdd can ddywedyt, 
MAT.5.3	Gwyn ei byt y tlotion yn yspryt: can ys eiddynt teyrnas nefoedd. 
MAT.5.4	Gwyn ei byt yr ei galarus, can ys wynt a ddiddenir. 
MAT.5.5	Gwyn ei byt yr ei 
MAT.5.6	Gwyn ei byt yr ei ’sy arnwynt newyn a’ sychet am gyfionder: canys wy a 
MAT.5.7	Gwyn ei byt y trugarogion: can ys trugaredd a gaffant. 
MAT.5.8	Gwyn ei byt yr ei glan o galō: canys wy a welāt Dduw. 
MAT.5.9	Gwyn ei byt yr ei tangneddefus: cans wy a elwir yn plāt Duw. 
MAT.5.10	Gwyn ei byt yr ei a erlidir er mwyn 
MAT.5.11	Gwyn eich byt pan ich 
MAT.5.12	Byddwch lawen a’ hyfryd, can ys mawr yw eich cyfloc yn y nevoedd: erwydd velly yr erlidiesont wy ’r Prophwyti yr ei vu o’ch blaen 
MAT.5.13	Chwychwi yw halen y ddayar: eithyr a chollawdd yr halen ei vlas, a pha peth yr helltire? Ny 
MAT.5.14	Chwychwi yw golauni ’r byd. Dinas a osodir ar 
MAT.5.15	Ac 
MAT.5.16	Llewyrchet velly eich goleuni garbron dynion, 
MAT.5.17	Na thybiwch vy‐dewot i y ddistrywo ’r 
MAT.5.18	Canys yn wir y dywedaf y chwi, Yn y ddarvo nef a’ dayar, ny 
MAT.5.19	Pwy pynac can hynny a doro ’r vn o’r gorchymynion lleiaf hyn, ac a ddysc ddynion velly, lleiaf y gelwir ef yn teyrnas nef: An’d pwy pynac a 
MAT.5.20	Can ys‐dywedaf ychwi, any bydd eich cyfiawnder yn ehelaethach na 
MAT.5.20	Yr Euangel y vi. Sul gwedy Trintot.
MAT.5.21	Clywsoch val y dywetpwyt wrth yr ei gynt, Na ladd: canys pwy pynac a ladd, euoc vydd o varn. 
MAT.5.22	Eithyr mi a ddywedaf wrthych, mae pwy pynac a ddigia wrth ei vrawt 
MAT.5.23	A’ chan hyny a’s dugy dy rodd i’r allor, ac ynow dyvot ith cof, vot gan dy vrawt ddim yn dy erbyn, 
MAT.5.24	gad yno dy offrwm geyr bron yr allor, a’ does ymaith: yn cyntaf 
MAT.5.25	Cytuna ath wrthnepwr yn gyflym, tra vych ar y ffordd gyd ac ef, rac ith wrthnepwr dy roi yn llaw’r 
MAT.5.26	Yn wir y doedaf yti, na ddauy allan o ddynow 
MAT.5.27	¶ 
MAT.5.28	Eithyr myvi a ddywedaf, ychwy, mai pwypynac a edrych ar wreic y’w chwenychy hi, e wnaeth eisioes odinep ac yhi yn ei galon. 
MAT.5.29	Can hynny a’s dy lygat deheu ath rwystra, tyn ef allan, a’ thavl ywrthyt: can 
MAT.5.30	Hefeit a’s dy law ddeheu ath rwystra, tor hi 
MAT.5.31	E a dywetpwyt hefyt, Pwy pynac a 
MAT.5.32	An’d myvi a ddywedaf ychwi, may pwy pynac a vaddeuo ei wraic (
MAT.5.33	Trachefyn, 
MAT.5.34	An’d mi a dywedaf y chwi, Na thwng 
MAT.5.35	nag 
MAT.5.36	Ac na thyng ith pen, can na elly wneythy ’r blewyn gwyn na duy. 
MAT.5.37	Eithyr 
MAT.5.38	Clywsoch mal y dywetpwyt, Llygat 
MAT.5.39	Eithyr mi‐a ddywedaf ychwi, Na 
MAT.5.40	Ac a’s 
MAT.5.41	A’ phwy pynac ath cympello 
MAT.5.42	Dyro i hwn a 
MAT.5.43	Ys clywsoch ðarvot dywedyt, 
MAT.5.44	Eithyr mi a ddywedaf y chwi, Cerwch eich gelynion: bendithiwch yr ei a’ch melltithiant: gwnewch dda ir sawl ach casaant, a’ gweddiwch dros yr ei a wnel 
MAT.5.45	yn y vyðoch blāt i’ch Tad yr hwn ys y’n y nefoedd: can ys y mae ef yn peri yw haul godi ar yr ei drwc, a’r da, ac yn glawio ar y cyfiawniō a’r anghyfiawnion, 
MAT.5.46	O bleit a cherwch y sawl, ach caro, pa 
MAT.5.47	Ac a’s 
MAT.5.48	Byddwch chwi gan hyny yn perfeithion, val y mae eich Tad ysy yn y nefoedd, yn perfeith.
MAT.6.2	Erwydd paam pan roddych 
MAT.6.3	Eithyr pan wneych ti dy aluseni, na wypo dy law aswy pa 
MAT.6.4	yn y bo dy aluseni yn y 
MAT.6.5	A’ phan weddiych
MAT.6.6	Ti
MAT.6.7	Hefyt pan weddioch, na vyddwch 
MAT.6.8	Am hynny na thybygwch yddynt wy: can ys‐gwyr eich Tat, pa bethae ys ydd arnochey eisiae, cyn erchi o hanoch arno. 
MAT.6.9	Erwydd hyny gweddiwch chwi val hyn. Ein Tad yr hwn wyt yn y nefoedd, santeiddier dy Enw. 
MAT.6.10	Dauet dy deyrnas. Byddet dy ewyllys ys ar y ddaiar megis yn y nefoedd. 
MAT.6.11	Dyro y ni heddyw ein bara beunyddiol. 
MAT.6.12	A’ maddae i ni ein dledion, mal y maddeu ni
MAT.6.13	Ac na
MAT.6.14	O bleit a’s maddeuwch i ddynion ei 
MAT.6.15	Eithyr a ny uaddeuoch i ddynion ei sarhaedae, ac ny vadae eich Tad 
MAT.6.15	Yr Euangel y dydd cyntaf or Grawys.
MAT.6.16	¶ Hefyt pan vmprytioch, na vyddwch 
MAT.6.17	Eithr pan vmprytych ty, iir dy benn, a golch dy wynep, 
MAT.6.18	rac ymdangos i ddyniō dy vot yn vmprytiaw, anid ith dat yr hwn ys yd yn y 
MAT.6.19	¶ Na chesclwch dresore y chwy ar y ddaear, lle mae yr 
MAT.6.20	Eithyr cesclwch yw’ ch tresore yn y nef, lle ny’s 
MAT.6.21	Can ys lle 
MAT.6.22	¶ 
MAT.6.23	Eithyr a’s bydd dy 
MAT.6.23	Yr Euangel y xv. Sul gvvedi Trintot.
MAT.6.24	¶ Ny ddychon 
MAT.6.25	Can hynny y dywedaf yw’ch, na ovelwch am eich 
MAT.6.26	Edrychwch ar 
MAT.6.27	A’ phwy o hanoch cyd govalo, a ddychon angwanegy vn cuvydd at ei 
MAT.6.28	A’ pha am y 
MAT.6.29	a’ dywedaf wrthych na bu Selef yn ei oll ’ogoniant mor trwsiadus ac vn o’r ei hyn. 
MAT.6.30	Can hynny a’s dillada Duw lysaeū y maes, yr hwnn ys ydd heðyw, ac yvory a vwrir i’r 
MAT.6.31	Am hyny na’ 
MAT.6.32	(Can ys am y pethae hynn oll yr ymovyn y Cenetloedd) o bleit e wyr eich Tat 
MAT.6.33	Eithr yn gyntaf ceisiwch deyrnas Duw a ei chyfiawnder, a’r oll pethae hynn a 
MAT.6.34	Ac na 
MAT.7.1	NA vernwch, val na ’ch barner. 
MAT.7.2	Cāys a’ pha varn y barnoch, ich bernir: ac a pha vesur y mesuroch, y mesurir y chwithae eilchwyl. 
MAT.7.3	A’ phaam y gwely di y 
MAT.7.4	nai pa vodd y dywedy wrth dy vrawt, Gad i mi vwrw 
MAT.7.6	¶ Na rowch y peth ’sy 
MAT.7.7	¶ Archwch, ac ei rhoddir y‐chwy: caisiwch, ac ei ceffwch: 
MAT.7.8	Can ys pwy pynac a airch, a 
MAT.7.9	Can ys pa ddyn y sydd yn eich plith, yr hwn a’s airch ei vap iddo vara, a rydd 
MAT.7.10	Ai a’s airch ef bysc
MAT.7.11	A’s chwychwi gan hyny, 
MAT.7.12	Can hyny, peth pynac a ewyllysoch wneythy ’r o ddynion i chwi, velly gwnew‐chwithe yddwynt wy. Can ys hynn yw’r 
MAT.7.13	Ewch y mewn ir porth cyfing: cā ys 
MAT.7.14	o bleit cyfing yw’r porth, a chul yw’r ffordd a dywys i vuchedd: ac ychydigion ’sy, a 
MAT.7.14	Yr Euangel y viij. Sul gwedy Trintot.
MAT.7.15	¶ Y mogelwch rac y gau‐prophwyti, yr ei a ðawant atoch yngwisc
MAT.7.16	Wrth ei ffrwyth ydd adnabyddwch wy. A’ gascla’r ei 
MAT.7.17	Velly pop pren da a ðwc ffrwyth da a’ phren 
MAT.7.18	Ny ddychon pren da, ddwyn ffrwyth
MAT.7.19	Pop pren ar ny ddwc ffrwyth da, a 
MAT.7.20	Erwydd paam wrth ei ffrwyth yr adnabyddwch wy. 
MAT.7.21	Nyd pwy bynac a ddyweit wrthyf, Arglwyð, Arglwydd, a 
MAT.7.22	Llawer
MAT.7.23	Ac yno yr 
MAT.7.24	Pwy pynac gan hyny a glyw genyf y geiriae hyn, ac ei gwna, mi ai cyffelypaf ef i wr 
MAT.7.25	a’r glaw a syrthiodd, a’r 
MAT.7.26	An’d pwy pynac a glywo 
MAT.7.27	a’r glaw a gwympoð, a’r llifdyfreð a ddaethant, a’r gwyntoedd a chwythesan, ac a guresont ar y tuy hwnw, ac e gwympodd, a’ ei gwymp a vu vawr.
MAT.7.28	¶ Ac e ddarfu, gwedy i’r Iesu ðywedyt y gairiae hyn, 
MAT.7.29	Can ys ef y dyscawdd wy val vn ac awturtaw, ganthaw, ac nid val y 
MAT.8.1	A Gwedy y ðyvot ef y waret o’r mynydd, llawer o bopul
MAT.8.2	A’ nycha, vn clafgohanawl a 
MAT.8.3	A’r Iesu a estennawdd ei law, ac ei cyhurddawdd ef, gan ddywedyt, 
MAT.8.4	Yno y dyuot yr Iesu wrthaw, Gwyl na ddywetych 
MAT.8.5	Gwedy dyvot yr Iesu i Capernaum, y daeth attaw 
MAT.8.6	a’ dywedyt, Arglwydd, y mae 
MAT.8.7	A’r Iesu a ddyfot wrthaw, Mi a ddeuaf ac ei gwnaf ef yn iach. 
MAT.8.8	A’r Cannwriad aei atepawdd, can ddywedyt, Arglwydd, nyd wyf 
MAT.8.9	Can ys dyn wyf vinae y dan awturtot 
MAT.8.10	Pan glywodd yr Iesu 
MAT.8.11	A’ mi a ddywedaf wrthych, y daw llawer o’r Dwyrein a’r Gorllewyn, ac a eisteddāt gyd ac Abraham, ac Isaac, ac Iaco
MAT.8.12	A’ phlant y deyrnas a 
MAT.8.13	Yno y dyvot yr Iesu wrth y Can
MAT.8.14	¶ A’ phan ddaethei ’r Iesu i tuy Petr, ef a welawdd y 
MAT.8.15	Ac ef a gyhyrddawdd ai llaw, a’r cryd a ei gadawodd: yn y chydodd hi 
MAT.8.16	Gwedy y hwyrhay hi, wy ddugesont 
MAT.8.17	Yn y chyflawnit yr hyn a ðywedit 
MAT.8.18	¶ A phan welawdd yr Iesu dorfeydd lawer oei amgylch, ef a ’orchymynawdd yddwynt vyned drosodd 
MAT.8.19	Yno y daeth ryw ’wr‐lleen, ac a ddyvot wrthaw, 
MAT.8.20	Yno ’r Iesu a ddyvot wrthaw, Y mae 
MAT.8.21	¶ Ac 
MAT.8.22	A’r Iesu a ddyvot wrtho, 
MAT.8.23	¶ A gwedy iddo vyned ir llong, ei ddiscipulon ei canlynodd. 
MAT.8.24	A’ nycha, e gyfodes 
MAT.8.25	Yno y daeth ei ddiscipulon ataw, ac ei defroesant, can ddywedyt, Arglwydd, cadw ni: 
MAT.8.26	Ac ef a ddyvot wrthynt, Paam ydd ofnwch, 
MAT.8.27	A’r dynion a ryvedodd, gan ddywedyt Pa ryw 
MAT.8.28	A’ gwedy ei ddawot ef ir 
MAT.8.29	A’ nycha, llefain awnaethant, gan ddywedyt, Iesu vap Duw, beth y sy i ni a wnelom a thi? A ddaethast ti yma in poeni cyn yr amser? 
MAT.8.30	Ac ydd oedd ym‐pell o ywrthynt genvaint o voch lawer yn pori. 
MAT.8.31	A’r 
MAT.8.32	Ac ef a ddyvot wrthynt, Ewch. Ac wy aethant allan, ac aethant ir genvaint voch: a’ nycha, yr oll genvaint voch a 
MAT.8.33	Yno y 
MAT.8.34	A’ nycha, yr oll ddinas a ddaeth allan, y 
MAT.9.1	AC ef aeth y mewn ir llong, ac aeth trosawdd, ac a ddeuth y’w ddinas ehun. 
MAT.9.2	A’nycha, wy a dducesant ataw wr claf o’r parlys, yn gorwedd 
MAT.9.3	A’ nycha, yr ei or Gwyr‐llen a ddywedėt wrthyn ehunain, Y mae hwn yn 
MAT.9.4	A’ phan welawdd yr Iesu ey meddyliae, y dyvot, Pa am y meddylywch bethae drwc yn eich calonae? 
MAT.9.5	Can ys pa‐un 
MAT.9.6	Ac er mwyn ychwy wybot vot 
MAT.9.7	Ac ef agyvodes, ac aeth ymaith 
MAT.9.8	Velly pan ei canvu ’r dyrva, rhyveddy a wnaethant, a gogoneddy Duw, yr hwn a roesei gyfryw awturtat i ddynion.
MAT.9.8	Yr Euangel ar ddydd S. Matthevv.
MAT.9.9	¶ Ac val ydd oedd yr Iesu yn myned o ddynaw, e ganvu ’wr yn eistedd wrth y ðollva a elwit Matthew, ac a ddyvot wrthaw, 
MAT.9.10	Ac e ddarvu, a’r Iesu yn eistedd i vwyta yn y duy 
MAT.9.11	A’ phan welawdd y Pharisaieit hynny, wy ddywedesont wrth y ddiscipulon ef. Paam y bwyty eich 
MAT.9.12	A’ phan glypu’r Iesu, e ddyvot wrthynt, Nid reit ir ei iach wrth 
MAT.9.13	An’d ewch a’ dyscwch pa beth yw 
MAT.9.14	¶ Yno yð aent discipulon Ioan ataw, gan ddywedyt, Paam yð ymprydiwn ni a’r Pharisaieit yn vynech, ath ddiscipulon di eb vmprydiaw? 
MAT.9.15	A’r Iesu a ddyvot wrthwynt, A all plant 
MAT.9.16	Eb law hyny ny ddyd nep lain o vrethyn newydd mewn hen wisc: can ys hyn a ddylyei ei gyflawny, a dynn 
MAT.9.17	Ac ny ddodant ’win newydd mewn llestri hen: can ys velly y torrei’r llestri, ac y 
MAT.9.17	Yr Euangel y xxiiij. gwedy Trintot.
MAT.9.18	¶ Tra oeddd ef yn ymadrodd wrthwynt, nycha,, y deuth ryw pennaeth, ac’ addolawdd iddaw, can ddywedyt, E vu varw veu merch yr awrhon, and dyre
MAT.9.19	A’r Iesu a g’odes ac ei dylynawdd, ef aei ddiscipulon. 
MAT.9.20	(Ac wele wreic a oedd 
MAT.9.21	Can ys hi a ddiwede
MAT.9.22	Yno yr Iesu ymchwelawdd, a chan y gweled hi, y dyvot, 
MAT.9.23	A’ phā ddaeth yr Iesu i duy’r pennaeth, a’ gweled y cerddorion a’r tyrfa yn 
MAT.9.24	y dyvot wrthwynt, 
MAT.9.25	A’ phan yrrwyt y tyrfa allan, ef aeth i mewn ac a ymavlawdd yn hi llaw, a’r vorwyn a gyvodes. 
MAT.9.26	A’r gair 
MAT.9.27	Ac val yð oeð yr Iesu yn myned o yno, dau ðalliō a ei 
MAT.9.28	A’ gwedy iddo ddyvot yr tuy, y daeth y daillion ataw, a’r Iesu a ddyvot wrthwynt, A gredwch 
MAT.9.29	Yno y cyhyrddodd ef a ei llygaid, gan ðywedyt, 
MAT.9.30	A ei llygaid a egorwyt, a’r Iesu a 
MAT.9.31	An’d gwedi yddwyn ymadaw, wy 
MAT.9.32	¶ Ac wynt yn myned allan, 
MAT.9.33	A’ gwedi bwrw’r cythraul 
MAT.9.34	A’r Pharisaieit a ddywedesont, Trwy benaeth y cythreulieit y mae ef yn bwrw allan gythreulieit. 
MAT.9.35	A’r Iesu aeth o y amgylch yr oll ddinasoeð a’ threfi, gan 
MAT.9.36	A’ phan welawdd ef y dyrfa, ef a dosturiawdd wrthwynt, can ys ey bot gwedy i 
MAT.9.37	Yno y dyvot ef y’w ddiscipulon, Diau 
MAT.9.38	Can hyny 
MAT.10.1	AC ef a elwis ei ddauðec discipul ataw, ac a roddes y ddyn 
MAT.10.2	Ac enwae y dauddec Apostolion yw’r ei hyn. Y cyntaf Simon, a elwit Petr ac Andreas ei vrawt: Iaco 
MAT.10.3	Philip a’ Bartholomeus: Thomas a’ Matthew y 
MAT.10.4	Simon y 
MAT.10.5	Y dauddec hyn a 
MAT.10.6	anyd ewch yn hytrach at 
MAT.10.7	Ac wrth vyned precethwch, gan ðywedyt, Y mae teyrnas nef wedy 
MAT.10.8	Iachewch y cleifion, glanewch yr 
MAT.10.9	Na veddwch 
MAT.10.10	nag yscrepan ir daith, na dwy bais, nag escidiae, na ffon: can ys teilwng ir gweithwr ei 
MAT.10.11	Ac i pa ddinas pynac nei dref yd eloch, ymofynwch pwy ’sydd teilwng yn‐ddi, ac ynaw trigwch yn yd eloch o 
MAT.10.12	A’ phan ddeloch i duy 
MAT.10.13	Ac a bydd y tuy yn teilwng, dauet eich 
MAT.10.14	A’ phwy pynac a’r ny’s derbyn chwi, ac ny chlyw eich gairiae, pan ymadawoch o’r tuy 
MAT.10.15	Yn wir y dywedaf y chwi, y bydd esmwythach ir ei o dir Sodom a’ Gomorrha yn‐dydd 
MAT.10.16	¶ Nycha, ydd wy vi yn eich 
MAT.10.17	Eithr ymogelwch rac dynion, canys wy ach roðāt 
MAT.10.18	Ac ich dugir at y llywiawdwyr a’r Brenhinoedd om pleit i, er testiolaeth yddwynt, ac i’r Cenetloedd. 
MAT.10.19	Eithr pan ich trawsroddan, na 
MAT.10.20	Can ys nid chwy
MAT.10.21	A’r brawd a vradycha ’r brawd a 
MAT.10.22	A’ dygasoc vyddwch gan bawp er mwyn vy Enw: anyd yr hwn a barao yd y dywedd, ef a 
MAT.10.23	A’ phan ich erlidiant yn y dinas hon, 
MAT.10.24	Nid yw’r discipul uwch na 
MAT.10.25	Digon ir discipul vot val 
MAT.10.26	Nag ofnwch wy am hyny: can nad oes dim 
MAT.10.27	 a ddywedaf ywch yn y tywyllwch, dywedwch yn y golau
MAT.10.28	Ac nac ofnwch yr ei a ladd y corph, ac ny allant ladd yr enait: eithyr yn hytrach ofnwch hwn, a ðichon 
MAT.10.29	Any werthir dau ederyn y to er fferling ac ny chwympa yr vn o hanynt i’r llawr heb 
MAT.10.30	Ac y mae hefyd eich oll wallt yn gyfrifedic. 
MAT.10.31	Nac ofnwch gan hynny, chwi delwch mwy na llawer o 
MAT.10.32	Pwy pynac gā hynny am cyffesso i yngwydd dynion, hwnaw a gyffessaf vi
MAT.10.33	A’ phwy pynac am gwad yngwydd dynion, hwnaw a wada vi hefyd yn‐gwydd vy‐tad yr hwn ’sy yn y nefoedd. 
MAT.10.34	Na thybiwch vy‐
MAT.10.35	Can ys‐daethim i osot dyn y ymrafaely yn erbyn ei dad a’r verch yn erbyn ei mam, ar 
MAT.10.36	A’ gelynion dyn 
MAT.10.37	Y nep a gar
MAT.10.38	A’ hwn ny chymer ei 
MAT.10.39	Y nep a gatwo ei 
MAT.10.40	Y nep ach 
MAT.10.41	Y nep a ðerbyn
MAT.10.42	A’ phwy pynac a roddo ir vn o’r ei bychein hyn phiolet o ddwfr oer yn vnic, yn enw discipul, yn wir y dywedaf ychwi, ny chyll 
