GEN.1.1	Ante pëgwëko W̃ën ntind viỹë ŋa, ambin ŋa g'inkal iŋa ntiko ten.
GEN.1.14	W̃ënu ŋa më mbok ntehnëk kat: «Araɓi ambin hna nke wahumpen pitëndëlehnahni fac ỹa gë umëhwëry uŋa; do nkehahn wëdahëse vambënt va, gë wafac w̃a do gë wabëhn ŋa. 
GEN.1.15	Araɓi nke ambin hna wahumpen pëtënahn nkal iŋa!» Do koyëna nkeho. 
GEN.1.16	W̃ënu ŋa ntiko wahumpen wahi wasankaf: hunte ỹako naỹ ha, ulav w̃a yeho, soŋe fac ỹa, do hunte vako ha, lepera w̃a yeho, soŋe mëɗ uŋa. Ntiko fëna wahol w̃a. 
GEN.1.17	W̃ënu ŋa g'ambin kwëtëko soŋe pëtënënd nkal iŋa, 
GEN.1.18	soŋe fac ỹa g'umëɗ uŋa do pitëndëlehn humpen ha gë umëhwëry uŋa. W̃ënu ŋa njëkëko do nëŋëkawo gë rac. 
GEN.1.19	Nkeho umëɗ, tac gë fac; fac hnahëna ỹa yeho.
GEN.1.20	W̃ënu ŋa më mbok ntehnëk kat: «Araɓi sifa viỹë fop pëɓëni wov hna, do wusëry w̃a nkwayëndëni g'ambin, cëpëni nkal iŋi!» 
GEN.1.21	W̃ënu ŋa ntikëhniwo wulaw̃ wësankaf wavë wov do gë fop sifa vile fëɓëk do yasëlehnëɗ hnë w̃ënka hna. Ntikëhniwo fëna sifa wusëry w̃a fop. W̃ënu ŋa njëkëko do nëŋëkawo gë rac. 
GEN.1.22	W̃ënu ŋa më ndëwakëhni ntehnëhni: «Araɓi fop vile ye w̃ënka vi nagëlëni, njaɓëni, pëɓëni wov hna do araɓi wusëry w̃a fëna njaɓëni nkal li.» 
GEN.1.23	Nkeho umëɗ, tac gë fac; fac vëryëna ỹa yeho.
GEN.1.24	W̃ënu ŋa më mbok ntehnëk kat: «Araɓi nkeni nkal li wasifa w̃a fop: wusaw̃, gë wulaw̃ do gë fop vihaw̃ary vile yasëɗ nkal li! Do koyëna nkeho.» 
GEN.1.25	Koyëna ntikëhniwo W̃ënu ŋa wasifa wulaw̃ gë wusaw̃, gë wulaw̃ wuhnëmpëlah w̃a do gë fop vihaw̃ary vile yasëɗ nkal li. W̃ënu ŋa njëkëko do nëŋëkawo gë rac. 
GEN.1.26	Tac W̃ënu ŋa më mbok ntehnëk rëkwa ỹa: «Dinëfuni vahnë mëntëlin gë fuhnë, mëntëlin ɗus! Kwëhnënihëhni wuwis wavë wov w̃i, gë wusëry wavë g'ambin w̃i, do gë wusaw̃ gë wulaw̃ do gë fop vihaw̃ary vile yasëɗ nkal li.»
GEN.1.27	Awa W̃ënu ŋa ntikëhni vahnë va
GEN.1.27	mëntëlëni g'umë dënk;
GEN.1.27	ntikëhni asan g'asëval.
GEN.1.28	Tac më ndëwakëhni ntehnëhni: «Nagëlëryin, ƴaɓëryin, pëɓëryin nkal li, naw̃ëryin nkal li; kwëhnëryinëhni wuwis wavë wov w̃i, gë wusëry wavë g'ambin w̃i do gë fop vile yasëɗ nkal vi.» 
GEN.1.29	Ntehnëkëhniwo fëna: «Njëɗamu arokëndu wanëɗa wante lëw̃ëɗ nkal ŋi fop do gë vatëh vante lëw̃ëɗ vi fop. 
GEN.1.30	Wulaw̃ w̃i fop vëhni njëɗaɓuhëhni tokëndëni dël iŋi gë wusaw̃ wavë nkal w̃i fop, gë wusëry w̃i fop, do gë fop vihaw̃ary vile yasëɗ nkal li.» Do koyëna nkeho. 
GEN.1.31	W̃ënu ŋa njëkëko fop ile ntiko ỹa do nëŋëkawo ɗus gë rac. Nkeho umëɗ, tac gë fac; fac hwëhn mbëɗ gë ryaw̃ ỹa yeho.
GEN.2.1	Koyëna puhnako W̃ënu ŋa idi ambin ŋa gë ɗuniỹa ỹi do gë fop ile yehëhna hnam ỹa. 
GEN.2.2	Ga tëkëk hnë fac hwëhn mbëɗ gë wahi hna, kamahnëko ɗoku lëw̃u ỹa puk do tiw̃ako. Awa hnë fac hwëhn mbëɗ gë wahi hna tiw̃ako. 
GEN.2.3	Më ntik fac hwëhn mbëɗ gë wahi rac fac ryëwayik, do nti fac ile riw̃ahnëɗe, kaɓi hnë fac rac tiw̃ako hnë waɗoku wante ntiɗëho hna fop. 
GEN.2.4	Koyëna ntiko W̃ënu ŋa ambin ŋa gë ɗuniỹa ỹi.
GEN.2.4	Ante ntiko Ahwëhn a W̃ënu ŋa ambin ŋa gë ɗuniỹa ỹi, 
GEN.2.5	vatëh g'idël gelohna ten nkal li, do wanëɗa pëhnëlohna ten, kaɓi Ahwëhn a W̃ënu ŋa cañëtilohna ten rëv ỹa nkal li, do vahnë vëyelohna soŋe njamëni nkal iŋi. 
GEN.2.6	Ɓare le ye had fampul sahnëɗëho nkal hna do turëɗëho nkal iŋa fop.
GEN.2.7	Ahwëhn a W̃ënu ŋa më nufëk nkal do ñahanëka asan
GEN.2.8	Tac, Ahwëhn a W̃ënu ŋa më pëlëk sarëɗiŋ hnë Eden hna, gë cape pëhna lav ka, do kwëta hnam asan ale ñahanëko ỹa. 
GEN.2.9	Më pëhnëndanëk sifa vatëh vankwamah njëki va fop do vante hnëŋëk toki. Më pëlëk fagant atëh nte yëɗahnëɗ uwám ule wok puɗina do g'atëh kaw̃ary nte yëtëndanëɗ ile yivëk g'ile w̃ek ỹa.
GEN.2.10	Sën w̃atiɗëho hn'inkal Eden hna turënd sarëɗiŋ ỹa. Pëgw hnam, vunkaryëla vunah pitëlëko. 
GEN.2.11	Fandënkwëryënkw fa Pison maciko: fatac rënkëko inkal Havila hna. Hn'inkal tac nkeho sanu ỹa, 
GEN.2.12	do sanu rac përënako ɗus. Nkeho vatëh vante liɗe ɗatikola do fëna nkeho itaka nte yaɓëka nafa ỹa. 
GEN.2.13	Fakigëna fa Gihon maciko: inkal Kuc
GEN.2.14	Fatarëna fa Saw̃ maciko: fatac yaryëɗëho gë cape pëhna lav g'ankol Asur ka. Do fanahëna fa Efërat maciko.
GEN.2.15	Awa Ahwëhn a W̃ënu ŋa më nufëka asan a, kwëta sarëɗiŋ Eden hna soŋe njamënd do njëkand. 
GEN.2.16	Më ntehnëka aki: «Koɗu arok vatëh vambë sarëɗiŋ vi fop. 
GEN.2.17	Ɓare antë arok atëh ante yëtahnëɗe ile yivëk g'ile w̃ek ỹa, kaɓi hale tokëɗu, cëmëɗu.»
GEN.2.18	Tac më ntehnëk: «Caŋëna asan a nke umë fo. Ndemaɗëfuha linëhnëw̃a ale caŋëɗëni.» 
GEN.2.19	Inkal iŋa ñahanëko fop Ahwëhn a W̃ënu ŋa sifa wulaw̃ wuyaɓah do gë wusëry w̃a, tac njiryeryëhni asan hna soŋe njëk arac bi hak macëɗëhëhni. Intaw̃-wo w̃ac le macëɗëhawo asan a yeɗ ulëw̃u w̃a. 
GEN.2.20	Arac më macëkëhni uw̃ac fop wusaw̃ w̃a, gë wusëry w̃a do gë wulaw̃ w̃a. Ɓare asan a nuỹalawohna arëfëlënta ale saŋëɗëha umë dënk. 
GEN.2.21	Awa Ahwëhn a W̃ënu ŋa më ndakëndanëka asan a wakwëɗ watëw̃ah. Më ntihëtëka uyiy ryampo do mbokarya ndil ŋa gante nkehawo ka. 
GEN.2.22	Uyiy rac, Ahwëhn a W̃ënu ŋa ntik asëval do njinenëhna asan a. 
GEN.2.23	Arac ga nuka asëval a më ntehnëk:
GEN.2.23	«Aŋa nkaw̃, wëliho ale ye ỹëc waỹëc mën a,
GEN.2.23	mbahn imbahn mën a!
GEN.2.23	“Asëval” macëɗe,
GEN.2.23	kaɓi asan hna nufik.»
GEN.2.24	Soŋe umë ye, asan a tavëɗëhëhni vëhni rëmu gë hnëmu nkeni g'asëvalu fo, do vëhni vëhi tak aryampo fo nkeɗëni.
GEN.2.25	Asan a g'asëvalu wëtata fo nkeniho vëhni vëhi tak, ɓare cëfëhnëlëlëhniwohna.
GEN.3.1	Awa, hnë fop wulaw̃ wule ntiko Ahwëhn a W̃ënu ŋa, lën ỹa yeho ale ỹak ritëka. Tëƴëkawo asëval a: «Paryi bi ntehnëk W̃ënu ŋa: “Antë aroku vatëh vambë sarëɗiŋ vi fop!”»
GEN.3.2	Asëval a më ntëkwaka: «Hali, koɗëfun rokëfu. 
GEN.3.3	Ɓare soŋe atëh nte ye fagant sarëɗiŋ ŋi, W̃ënu ŋa më lehnëk: “Antë aroku do antë aỹaku; ge gena më cëmëɗun!”»
GEN.3.4	Awa lën ỹa më ntehnëka asëval a: «Muk! Cëmëɗiluhna! 
GEN.3.5	W̃ënu ŋa nësëk umë kaɓi njëtëk, hale tokëɗun, vinkër hun va ŋesëɗ do nkeɗun had Umë dënk: njëtëɗun ile yivëk g'ile w̃ek.»
GEN.3.6	Asëval a kamahnëko atëh ŋa nkwamëk njëki do tëfëka nëŋ toki. Ñaɗëho tok nuỹahna uyët. Awa më kwëcëk do tok. Më njëɗaka fëna asanu do umë fëna më tokëk. 
GEN.3.7	Taŋ piɗëtalehnëhni vinkër va, do kamahnëlehnëni wëtata fo nkeni. Më mbahnëni yaryef atëh nte w̃acik anuỹ ŋa do palani.
GEN.3.8	Awa g'anëka ga, më nkwëryëniha Ahwëhn a W̃ënu ŋa, sarëɗiŋ hna njasëlehnëɗëho. Asan a g'asëvalu umë cow̃ani hnë vatëh vamb sarëɗiŋ hna soŋe antë nuhni Ahwëhn a W̃ënu ŋa. 
GEN.3.9	Ahwëhn a W̃ënu ŋa më macëka asan a, tëƴa: «Ne nkeru?»
GEN.3.10	Më ntëkwak: «Nkwëryakëmi, më ntakëko kaɓi wëtata fo yeɓu. Awa më sow̃aɓu.»
GEN.3.11	Ahwëhn a W̃ënu ŋa më tëƴëka: «Mo fëƴaki wëtata fo yeru? Tokëru bi atëh nte vañëhnëmino ŋa?»
GEN.3.12	Asan a më ntëkwak: «Asëval, ale yëɗaruhow̃a yefu ỹa, umë yëɗako atëh tac, do tokëɓu.»
GEN.3.13	Awa Ahwëhn a W̃ënu ŋa më ntehnëka asëval a: «Soŋe ye liru iỹin?»
GEN.3.13	Më ntëkwak: «Lën ỹa tokako, do tokëɓu atëh ŋa.»
GEN.3.14	Awa Ahwëhn a W̃ënu ŋa më ntehnëka lën ỹa:
GEN.3.14	«Kaɓi ntiru iỹin, araɓi nkeỹi w̃eh.
GEN.3.14	Hnë wusaw̃ gë wulaw̃ wule ntik W̃ën hna fop,
GEN.3.14	wëjë g'iɗonk hu ŋi rëkëɗu ayasënd
GEN.3.14	do ahohnënd ivëɗ
GEN.3.14	hnë wafac hu hna fop.
GEN.3.15	Ntiɗëfu takëla yëbëlan hun wëjë g'asëval a,
GEN.3.15	yëbëlan vële nagëɗ va do gë vële hnagëɗu va.
GEN.3.15	Vële nagëɗ asëval a nihëɗënihi nkaf ŋi,
GEN.3.15	do wëjë itak ŋi ỹarëɗuhëhni.»
GEN.3.16	Tac Ahwëhn a W̃ënu ŋa më ntehnëka asëval a:
GEN.3.16	«Ntiɗëfu horot sankaf hnë waryonk hnag hu hna,
GEN.3.16	rëkëɗu ahorotënd ahnagahnëndëhni vutah hu va.
GEN.3.16	Iña hu ŋa hnë asan hu hna nkeɗ,
GEN.3.16	ɓare umë hwëhnëɗëhi.»
GEN.3.17	Awa tac Ahwëhn a W̃ënu ŋa më ntehnëka asan a: «Maw̃ëru wanës asëval hu ŋa do tokëru atëh nte vañëhnëmino ŋa.
GEN.3.17	«Soŋe ile lëntëru ỹi,
GEN.3.17	araɓi nkal iŋi me.
GEN.3.17	Rëkëɗu ahorotënd ɗus
GEN.3.17	ahnuỹahnënd ile rokëɗu ỹa
GEN.3.17	hnë wafac hu hna fop;
GEN.3.18	inkal iŋa pëhnëndanëɗ
GEN.3.18	wadëmpëhn do idël meh.
GEN.3.18	Do tëfëka arok
GEN.3.18	ile fëhnëɗ wëhaỹ hna;
GEN.3.19	gë ŋacëŋac hu ŋa rëkëɗu ahnuỹand ile rokëɗu ỹa,
GEN.3.19	hafo avoka g'inkal
GEN.3.19	nte hnufiko aỹahani ŋa.
GEN.3.19	Kaɓi inkal yeru,
GEN.3.19	do g'inkal mbokaɗu.»
GEN.3.20	Asan a Adam maciko do umë Ev macëkawo asëvalu. Umë fëhnëtanëɗ «Uwám» kaɓi umë ye hnëm vahnë ỹa fop. 
GEN.3.21	Ahwëhn a W̃ënu ŋa më ntinëhnëkëhni asan a g'asëvalu viỹi waƴand do cuɗahni.
GEN.3.22	Tac më ntehnëk: «Awa ahn'a had Fuhnë nke: njëtëk ile yivëk g'ile w̃ek. Tame, tëfëka memaỹehni antë tëkën atëh ante yëɗahneɗ uwám usër w̃a; age tokëk, cëmëɗina muk.» 
GEN.3.23	Awa Ahwëhn a W̃ënu ŋa më ntakëhni sarëɗiŋ vë Eden hna, soŋe njini njamëndëni nkal nte nufiniho do ntiyini ŋa. 
GEN.3.24	Ga ntaka ahn'a sarëɗiŋ vë Eden hna, Ahwëhn a W̃ënu ŋa më kwëtëkëhni gë pëhna lav haryënkw sarëɗiŋ hna wamëleka wade ye vëyëka, (waseruben maciniho). Gë sëlame hwëɗëh ile wërënaɗëho vacape va fop, wamëleka ŋa ankaw̃ ante yihahnëɗe g'atëh ante yëɗahnëɗ uwám usër w̃a njëkaɗëniho.
GEN.4.1	Adam ndakëniho gë Ev, asëvalu; ndonkëko do naga facan fante w̃aciko Kaỹe
GEN.4.2	Mboko naga fëna Abel, aheryu Kaỹe. Abel ahery wusaw̃ yeho; Kaỹe, umë, ayam yeho. 
GEN.4.3	Awa, Kaỹe ga mbarëpëk roka le njamëko ỹa, njoko viryampo hnë virac, cënahna Ahwëhn a W̃ënu ŋa saɗëha. 
GEN.4.4	Abel, fëna, njonëhnëkawo vupe vunte ryënkwiko nagini hnë ntega ntëw̃u hna, vunte ỹak hniryëk va, cënahnëkawo Ahwëhn a W̃ënu ŋa. Ahwëhn a W̃ënu ŋa kacakawo g'uhnatah Abel gë saɗëha lëw̃u ỹa, 
GEN.4.5	ɓare ŋwëỹëkawo Kaỹe gë saɗëha lëw̃u per. Soŋe rac Kaỹe ntavëkawo ɗus; ŋañënëko yëka ỹa. 
GEN.4.6	Ahwëhn a W̃ënu ŋa më ntehnëka: «Soŋe ye ntavëki aki, do ỹañënëru yëka ỹi aki? 
GEN.4.7	Ge ntiru gante tëfëka ka, ŋwëỹëɗelihna; ge gena umë, wameh ŋa nke had intaw̃ ŋañah vofëhnëki rënka hu hna. Ñaɗ mëki, ɓare ƴaw̃ëry alëba umë.» 
GEN.4.8	Ɓare Kaỹe më ntehnëka aheryu: «Cahnëfu.» Ga tëkëni kaỹ hna më ntoŋanëka aheryu do ndaw̃a.
GEN.4.9	Awa Ahwëhn a W̃ënu ŋa më tëƴëka Kaỹe: «Ne nkeha ahery hu Abel?»
GEN.4.9	Më ntëkwak: «Ƴëtëla. Ami bi yëkaɗëha ahery mën a?»
GEN.4.10	Ahwëhn a W̃ënu ŋa më mbok ntehnëka: «Soŋe ye liru iỹin? Nkwëryëɗëfu wasat ahery hu w̃a nkal hna had ahnë ryekaɗ; igwëcag tëƴëɗ. 
GEN.4.11	Tame araɓi nkeỹi w̃eh, ntayiru hn'inkal nte sek wasat ahery hu ale ryaw̃ëru ỹa. 
GEN.4.12	Soŋe umë ye, rëkëɗu ayamënd ɗus, ɓare inkal iŋa ɓokëɗina njëɗayi vetak lëw̃u w̃a. Awërëtalehn fo yeɗu nkal li had ale layik.»
GEN.4.13	Kaỹe më ntehnëka Ahwëhn a W̃ënu ŋa: «Piniŋ mën iŋa ntënëk ɗëcët. 
GEN.4.14	Ntaɗuho dol hn'inkal përën hna, cow̃antaɗëfu ŋaw̃ët hu; Awërëtalehn fo yeɗëfu nkal li had ale layik. Ale-wo-le hnuɗëho ỹa koɗ ndaw̃o.»
GEN.4.15	Ɓare Ahwëhn a W̃ënu ŋa më ntëkwaka: «Hali, kaɓi ge ahnë ndaw̃ëki, nkwëcanëhnëɗeru wahwënta mbëɗ gë wahi (7).» Awa Ahwëhn a W̃ënu ŋa më ntika Kaỹe dahëse soŋe antë ndaw̃ëniha vële hnuɗëha va.
GEN.4.16	Awa koyëna ŋaw̃ëtakawo Kaỹe Ahwëhn a W̃ënu ŋa nji ntëɗ hn'inkal Nod hna, gë cape pëhna lav Eden ka.
GEN.4.17	Ga ñëlëk, Kaỹe nagënihawo g'asëvalu facan fante w̃aciko Enok. Kaỹe pëgwëko mbëryënd inaw̃ do më macëk naw̃ tac uw̃ac aju w̃a, Enok. 
GEN.4.18	Enok yeho rëm Irad ỹa, Irad yeho rëm Mehuyayel ỹa, Mehuyayel yeho rëm Metusayel ỹa, Metusayel yeho rëm Lemëk ỹa. 
GEN.4.19	Lemëk vësëval vëhi ñëlëko: aryënkwëryënkw a Ada maciko do ahigëna ỹa Sila. 
GEN.4.20	Ada Yabal nagëko, rëm vële lëɗëko hnë wasank do hwëɗëɗëhëhniwo wusaw̃ w̃a. 
GEN.4.21	Yabal kwëhnakawo fakery, Yubal maciko, umë yeho rëm fop vërëmp va do gë vësël vëtakëralu va. 
GEN.4.22	Sila, umë fëna, nagëkawo facan fante w̃aciko Tubal-Kaỹe. Umë ryëhwarëɗëho sifa viỹë viryokuŋa va fop, waryëhwëra wavëntah gë wëyah w̃a. Tac, Sila mboko naga facëval, ahery Tubal-Kaỹe. Nama maciko.
GEN.4.23	Lemëk më lehnëkëhniwo vësëvalu:
GEN.4.23	«Ada gë Sila, nëparyino,
GEN.4.23	vësëval mën, nëparyino dus:
GEN.4.23	ndaw̃ëɗëfuha asan ge ndafëko,
GEN.4.23	ndaw̃ëɗëfuha fatah ge cërehnëko.
GEN.4.24	Age wahwënta mbëɗ gë wahi
GEN.4.24	nkwëcanëhnik Kaỹe,
GEN.4.24	wafëhw mbëɗ gë wahi g'imbëɗ gë vëhi (77)
GEN.4.24	wëcanëhnëɗeɓu ami.»
GEN.4.25	Adam ndakëniho g'asëvalu do mboko nagëniha facan. Ev, Set
GEN.4.26	Set umë fëna nagëhnikawo facan; Enos
GEN.5.1	Wëlin itëfëta soŋe vutah Adam. Hnë fac le ntikëhniwo W̃ën vahnë hna, ntikëhniwo mëntëlëni g'umë. 
GEN.5.2	Ntikëhniwo asan g'asëval, ndëwakëhniwo do macëhni uw̃ac «vahnë». 
GEN.5.3	Ante nuỹako Adam wabëhn keme gë wafëhw warar (130) ŋa, mboko naga facan fante mëntëlëniho ɗus. Set macëkawo. 
GEN.5.4	Tac Adam mboko nuỹa kat wabëhn wakeme mbëɗ gë watar (800). Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.5	Ga nuỹak fop ka ỹa wabëhn wakeme mbëɗ gë wahnah gë wafëhw warar (930), cëmëko.
GEN.5.6	Ante nuỹako Set wabëhn keme g'imbëɗ (105) ŋa, nagëhnikawo facan fante w̃aciko Enos. 
GEN.5.7	Tac Set mboko nuỹa wabëhn wakeme mbëɗ gë watar g'imbëɗ gë waki (807). Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.8	Ga nuỹak fop ka ỹa wabëhn wakeme mbëɗ gë wahnah g'ipëhw gë waki (912), cëmëko.
GEN.5.9	Ante nuỹako Enos wabëhn wafëhw mbëɗ gë wahnah ŋa (90), nagëhnikawo facan fante w̃aciko Kenan. 
GEN.5.10	Tac Enos mboko nuỹa wabëhn wakeme mbëɗ gë watar g'ipëhw g'imbëɗ (815). Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.11	Ga nuỹak fop ka ỹa wabëhn wakeme mbëɗ gë wahnah g'imbëɗ (905), cëmëko.
GEN.5.12	Ante nuỹako Kenan wabëhn wafëhw mbëɗ gë wahi ŋa (70), nagëhnikawo facan fante w̃aciko Malalel. 
GEN.5.13	Tac Kenan mboko nuỹa wabëhn wakeme imbëɗ gë watar gë wafëhw wahnah (840). Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.14	Ga nuỹak fop ka ỹa wabëhn wakeme imbëɗ gë wahnah g'ipëhw (910), cëmëko.
GEN.5.15	Ante nuỹako Malalel wabëhn wafëhw mbëɗ gë ryaw̃ g'imbëɗ ŋa (65), nagëhnikawo facan fante w̃aciko Yerëd. 
GEN.5.16	Tac Malalel mboko nuỹa wabëhn wakeme mbëɗ gë watar gë wafëhw warar (830). Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.17	Ga nuỹak fop ka ỹa wabëhn wakeme mbëɗ gë watar gë wafëhw imbëɗ gë wahnah g'imbëɗ (895), cëmëko.
GEN.5.18	Ante nuỹako Yerëd wabëhn keme gë wafëhw mbëɗ gë ryaw̃ gë waki ŋa (162), nagëhnikawo facan fante w̃aciko Enok. 
GEN.5.19	Tac Yerëd mboko nuỹa wabëhn wakeme mbëɗ gë watar (800). Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.20	Ga nuỹak fop ka ỹa wabëhn wakeme mbëɗ gë wahnah gë wafëhw mbëɗ gë ryaw̃ gë waki (962), cëmëko.
GEN.5.21	Ante nuỹako Enok wabëhn wafëhw mbëɗ gë ryaw̃ g'imbëɗ ŋa (65), nagëhnikawo facan fante w̃aciko Matusalem. 
GEN.5.22	Tac Enok mboko nuỹa wabëhn wakeme watar (300) do gë W̃ënu ŋa nkeniho. Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.23	Wabëhn wakeme watar gë wafëhw imbëɗ gë ryaw̃ g'imbëɗ (365) nuỹako fop ka ỹa cëmat. 
GEN.5.24	Enok gë W̃ënu ŋa nkeniho, tac nambiko, kaɓi W̃ënu ŋa nufëkawo njohna ɗarël lëw̃u.
GEN.5.25	Ante nuỹako Matusalem wabëhn keme gë wafëhw mbëɗ gë warar g'imbëɗ gë waki ŋa (187), nagëhnikawo facan fante w̃aciko Lemëk. 
GEN.5.26	Tac Matusalem mboko nuỹa wabëhn wakeme mbëɗ gë waki gë wafëhw mbëɗ gë warar gë waki (782). Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.27	Ga nuỹak fop ka ỹa wabëhn wakeme mbëɗ gë wahnah gë wafëhw mbëɗ gë ryaw̃ g'imbëɗ gë wahnah (969), cëmëko.
GEN.5.28	Ante nuỹako Lemëk wabëhn keme gë wafëhw mbëɗ gë warar gë waki ŋa (182), nagëhnikawo facan. 
GEN.5.29	Nowe
GEN.5.30	Ga ndëcëk watac, Lemëk mboko nuỹa wabëhn wakeme mbëɗ gë wafëhw mbëɗ gë wahnah g'imbëɗ (595). Nagëhnikëhniwo vucan vukaw̃ary gë vucëval. 
GEN.5.31	Ga nuỹak fop ka ỹa wabëhn wakeme mbëɗ gë waki gë wafëhw mbëɗ gë wahi g'imbëɗ gë waki (777), cëmëko.
GEN.5.32	Ante nuỹako Nowe wabëhn wakeme mbëɗ ŋa (500) tac nagëhnikëhniwo vucan vutar: Sem gë Sam do gë Yafet.
GEN.6.1	Awa vahnë va pëgwëniho njaɓëndëni nkal li do kwëhnanihëhniwo vëryag. 
GEN.6.2	Vijë W̃ën
GEN.6.3	Awa Ahwëhn a W̃ënu ŋa më ntehnak: «Sël ntaw̃ary le yëɗaɓuhëhni vahnë ỹa goɗina kwëlëkwël hnë vëhni; nkeɗ fac le cëmanhnëɗëni. Tëk pëgw iỹi wati, vëwoɗina ɗuniỹa li ile lëbik wabëhn keme gë wafëhw wahi (120).» 
GEN.6.4	Hnë wati rac, nkeniho vahnë vëyihnah, vëyaw̃ah do hnënk rac nkoko nkal li hafo mbiỹ. Vëyihnah vërac yeho vutah viju W̃ën va gë vëryag vahnë va; vësan paryi yeho, vësan vëyëtik.
GEN.6.5	Ahwëhn a W̃ënu ŋa kamahnëko wameh vahnë ŋa g'ahaw̃ary njaɓëɗëho nkal li. Do hnë fac hna fop, nahan dëw̃ hni ŋa, idi wameh fo yeho. 
GEN.6.6	Ahwëhn a W̃ënu ŋa më curak soŋe ile ntikëhni vahnë hn'inkal ỹi, do ntaw̃ary dëw̃u ŋa pëɓëkawo yiw̃ëhnah w̃a. 
GEN.6.7	Më ntehnëk: «Ntihëtëɗëfuhëhni nkal li vahnë vële ỹahanëɓu vi, vahnë vi, gë wulaw̃ w̃i, gë wusaw̃ w̃i, do gë wusëry w̃i per. Curaɗëfu ɗus soŋe ile liɓuhëhni ỹi.» 
GEN.6.8	Ɓare Ahwëhn a W̃ënu ŋa nëŋëkawo gë Nowe.
GEN.6.9+GEN.6.10	Wëli itëfëta soŋe Nowe ŋa: Nowe vucan vutar kwëhnako: Sem, gë Sam do gë Yafet. Asan asatah yeho gë vëỹëntaw̃ va. Maw̃ëhnëɗëhawo kwëlëkwël W̃ënu ŋa do gë W̃ënu ŋa nkeniho.
GEN.6.11	Awa W̃ënu ŋa nuko vahnë va përëkaniho do wameh fo fëɓëkëhniwo. 
GEN.6.12	Ante njëkëɗëho W̃ënu ŋa ile ryëcëtaɗ ɗuniỹa li ỹa, do nuko përëkako ɗëcët kaɓi vahnë va fop ankaw̃ wameh ŋa tëfëɗëniho, 
GEN.6.13	më ntehnëka Nowe: «Pëhnaɓu vëvehnëw̃ëhni vahnë vi fop. Kaɓi soŋe lëw̃ hni ỹa pëɓahnëk wameh ŋa ɗuniỹa li. Ha, ntihëtëɗëfuhëhni. 
GEN.6.14	Diyary wëjë sisikulu gë waɗëhwa wapërën. Ɓambery ntëpëtëlendu vacery vajaɓah do wakoyel hnëvëɗu për iŋa gë ɓambery per antë tënkënd wënka ŋa. 
