GEN.1.1	Pradžioje Dievas sutvėrė dangų ir žemę.
GEN.2.7	Ir Viešpats Dievas padarė žmogų iš žemės dulkių ir įkvėpė į jo šnerves gyvybės kvapą. Taip žmogus tapo gyva siela.
GEN.2.8	Viešpats Dievas sukūrė sodą Edene rytuose ir ten apgyvendino žmogų, kurį buvo sutvėręs.
GEN.2.9	Viešpats Dievas išaugino iš žemės visokių medžių, gražių pasižiūrėti ir nešančių gerus vaisius maistui; taip pat gyvybės medį sodo viduryje ir medį pažinimo gero ir blogo.
GEN.2.10	Upė tekėjo iš Edeno sodui drėkinti; nuo ten ji šakojosi į keturias upes.
GEN.2.11	Pirmosios vardas Pišonas. Ji teka aplink visą Havilos šalį, kur randamas auksas.
GEN.2.12	Tos šalies auksas yra geras. Ten randa bdeliją ir onikso akmenį.
GEN.2.13	Antrosios upės vardas Gihonas. Ji teka aplink visą Kušo šalį.
GEN.2.14	Trečiosios upės vardas Tigras. Ji teka į rytus nuo Asūro. O ketvirtoji upė yra Eufratas.
GEN.2.15	Ir paėmė Viešpats Dievas žmogų ir apgyvendino jį Edeno sode, kad žmogus jį įdirbtų ir prižiūrėtų.
GEN.2.16	Viešpats Dievas įsakė žmogui: „Nuo kiekvieno sodo medžio tau leista valgyti,
GEN.2.17	bet nuo medžio pažinimo gero ir blogo nevalgyk, nes tą dieną, kurią valgysi jo vaisių, tikrai mirsi“.
GEN.2.18	Viešpats Dievas tarė: „Negerai žmogui būti vienam. Aš padarysiu jam tinkamą padėjėją“.
GEN.2.19	Viešpats Dievas, padaręs iš žemės visus žvėris bei padangių paukščius, juos atvedė prie Adomo, kad matytų, kaip jis juos pavadins; kaip Adomas pavadino kiekvieną gyvą padarą, toks ir yra jo vardas.
GEN.2.20	Adomas davė vardus visiems gyvuliams, padangių paukščiams ir visiems lauko žvėrims, tačiau tarp jų neatsirado padėjėjo, tinkamo žmogui.
GEN.2.21	Tada Viešpats Dievas giliai užmigdė Adomą, išėmė vieną jo šonkaulių ir tą vietą užpildė kūnu.
GEN.2.22	Po to Viešpats Dievas iš šonkaulio, kurį išėmė iš žmogaus, padarė moterį ir ją atvedė pas žmogų.
GEN.2.23	Tada Adomas tarė: „Štai kaulas iš mano kaulų ir kūnas iš mano kūno! Šita bus vadinama moterimi, nes iš vyro ji paimta“.
GEN.2.24	Todėl vyras paliks savo tėvą bei motiną ir susijungs su savo žmona; ir juodu taps vienu kūnu.
GEN.2.25	Jie abu – žmogus ir jo žmona – buvo nuogi, tačiau nesigėdijo.
GEN.3.1	Gyvatė buvo gudresnė už visus žemės gyvūnus, kuriuos Viešpats Dievas sutvėrė. Ji tarė moteriai: „Ar tikrai Dievas pasakė: ‘Nevalgykite nuo visų sodo medžių’?“
GEN.3.2	Moteris atsakė gyvatei: „Mums leista valgyti sodo medžių vaisius,
GEN.3.3	išskyrus vaisius medžio, kuris yra sodo viduryje. Dievas įsakė: ‘Nevalgykite nuo jo ir nelieskite jo, kad nemirtumėte’“.
GEN.3.4	Gyvatė atsakė: „Nemirsite!
GEN.3.5	Dievas žino, kad tą dieną, kurią valgysite nuo jo, atsivers jūsų akys ir jūs tapsite kaip dievai, pažindami gera ir bloga“.
GEN.3.6	Kai moteris pamatė, kad medžio vaisiai yra tinkami maistui, patrauklūs akims ir, vieną suvalgius, galima įsigyti išminties, ji paėmė jo vaisių, pati valgė ir davė savo vyrui, ir jis valgė.
GEN.3.7	Tada atsivėrė abiejų akys ir jie suprato esą nuogi; juodu supynė figmedžio lapus ir pasidarė prijuostes.
GEN.3.8	Dienai atvėsus, išgirdę Viešpaties Dievo, vaikščiojančio sode, balsą, Adomas ir jo žmona pasislėpė nuo Viešpaties Dievo veido tarp sodo medžių.
GEN.3.9	Viešpats Dievas pašaukė Adomą: „Kur tu esi?“
GEN.3.10	O tas atsiliepė: „Išgirdau Tavo balsą ir, išsigandęs, kad esu nuogas, pasislėpiau“.
GEN.3.11	Dievas tarė: „Kas tau pasakė, kad tu nuogas? Gal valgei nuo medžio, nuo kurio tau įsakiau nevalgyti?“
GEN.3.12	Žmogus atsakė: „Moteris, kurią Tu man davei, davė man nuo to medžio, ir aš valgiau“.
GEN.3.13	Tada Viešpats Dievas tarė moteriai: „Kodėl tu taip padarei?“ Moteris atsakė: „Gyvatė mane apgavo, ir aš valgiau“.
GEN.3.14	Tada Viešpats Dievas tarė gyvatei: „Kadangi taip padarei, esi prakeikta tarp visų gyvulių ir laukinių žvėrių. Tu slinksi pilvu ir dulkes ėsi per visą savo gyvenimą!
GEN.3.15	Aš sukelsiu priešiškumą tarp tavęs ir moters, tarp tavo sėklos ir moters sėklos. Ji sutrins tau galvą, o tu gelsi jai į kulnį“.
GEN.3.16	Moteriai Jis tarė: „Aš padauginsiu tavo nėštumo vargus ir su skausmu tu gimdysi vaikus; tave trauks prie tavo vyro, o jis tau viešpataus“.
GEN.3.17	O Adomui Jis tarė: „Kadangi tu paklausei savo žmonos ir valgei nuo medžio, apie kurį tau buvau įsakęs: ‘Nevalgyk nuo jo’, – prakeikta bus žemė dėl tavęs! Vargdamas turėsi maitintis iš jos visą savo gyvenimą.
GEN.3.18	Erškėčius ir usnis ji augins tau, ir tu valgysi lauko augalus.
GEN.3.19	Valgysi prakaitu uždirbtą duoną, kol sugrįši į žemę, iš kurios esi paimtas. Esi dulkė ir dulke vėl pavirsi“.
GEN.3.20	Adomas pavadino savo žmoną Ieva, nes ji tapo visų gyvųjų motina.
GEN.3.21	Viešpats Dievas padarė Adomui ir jo žmonai kailinius rūbus ir jais apvilko juos.
GEN.3.22	Tada Viešpats Dievas tarė: „Štai žmogus tapo kaip vienas iš mūsų, pažindamas gera ir bloga; ir dabar, kad jis, ištiesęs savo ranką, neskintų nuo gyvybės medžio ir nevalgytų, ir negyventų per amžius“.
GEN.3.23	Todėl Viešpats Dievas išvarė jį iš Edeno sodo dirbti žemę, iš kurios jis buvo paimtas.
GEN.3.24	Išvaręs žmogų, į rytus nuo Edeno sodo Viešpats pastatė cherubus su švytruojančiu ugniniu kardu saugoti kelią prie gyvybės medžio.
GEN.4.1	Ir Adomas pažino savo žmoną Ievą, ir ji tapo nėščia. Ji pagimdė Kainą ir tarė: „Įsigijau sūnų Viešpaties pagalba“.
GEN.4.2	Ji dar pagimdė jo brolį Abelį. Abelis buvo avių piemuo, o Kainas – žemdirbys.
GEN.4.3	Kuriam laikui praėjus, Kainas aukojo Viešpačiui iš žemės vaisių.
GEN.4.4	Taip pat ir Abelis aukojo iš savo bandos riebiausių pirmagimių. Viešpats pažvelgė į Abelį ir jo auką,
GEN.4.5	tačiau į Kainą ir jo auką Jis nepažvelgė. Todėl Kainas labai supyko, ir jo veidas paniuro.
GEN.4.6	Viešpats tarė Kainui: „Kodėl tu supykai ir tavo veidas paniuro?
GEN.4.7	Darydamas gera, argi nebūsi priimtas? O jei gera nedarai, nuodėmė tyko prie durų. Ji traukia tave, tačiau tu turi viešpatauti jai“.
GEN.4.8	Kainas kalbėjo savo broliui Abeliui. Jiems esant laukuose, Kainas užpuolė savo brolį Abelį ir jį užmušė.
GEN.4.9	Tada Viešpats paklausė Kaino: „Kur yra tavo brolis Abelis?“ O jis atsakė: „Nežinau. Argi aš esu savo brolio sargas?“
GEN.4.10	Tada Viešpats tarė: „Ką padarei? Tavo brolio kraujas šaukiasi manęs nuo žemės.
GEN.4.11	Taigi dabar esi prakeiktas ant žemės, kuri atsivėrė ir priėmė iš tavo rankos tavo brolio kraują.
GEN.4.12	Kai tu ją dirbsi, ji nebeduos tau derliaus. Tu būsi klajūnas ir benamis žemėje“.
GEN.4.13	Tada Kainas tarė Viešpačiui: „Mano bausmė yra per didelė, kad galėčiau ją pakelti.
GEN.4.14	Tu šiandien mane išvarai iš žemės. Aš turėsiu slėptis nuo Tavęs ir būsiu klajūnas ir benamis žemėje. Kas mane sutiks, užmuš“.
GEN.4.15	Viešpats jam atsakė: „Kas užmuš Kainą, tam septyneriopai bus atkeršyta!“ Viešpats paženklino Kainą žyme, kad nė vienas, sutikęs jį, jo nenužudytų.
GEN.4.16	Kainas pasitraukė iš Viešpaties akivaizdos ir apsigyveno Nodo šalyje, į rytus nuo Edeno.
GEN.4.17	Kainas pažino savo žmoną, ji pastojo ir pagimdė Henochą. Kainas pastatė miestą ir tą miestą pavadino savo sūnaus vardu – Henochas.
GEN.4.18	Henocho sūnus buvo Iradas, Irado sūnus – Mehujaelis, Mehujaelio – Metušaelis, Metušaelio – Lamechas.
GEN.4.19	Lamechas vedė dvi žmonas. Pirmosios vardas buvo Ada, antrosios – Cila.
GEN.4.20	Ada pagimdė Jabalą; jis buvo tėvas tų, kurie gyvena palapinėse ir laiko gyvulius.
GEN.4.21	Jo brolis, vardu Jubalas, buvo arfininkų ir vamzdininkų tėvas.
GEN.4.22	Cila pagimdė Tubal Kainą, kuris gamino visokius įrankius iš vario ir geležies. Tubal Kaino sesuo buvo Naama.
GEN.4.23	Lamechas tarė savo žmonoms: „Ada ir Cila, klausykite! Jūs, Lamecho žmonos, įsidėmėkite, ką sakau: aš užmušiau vyrą už man padarytą žaizdą, jaunuolį už randą!
GEN.4.24	Jei už Kainą bus atkeršyta septyneriopai, tai už Lamechą – septyniasdešimt septynis kartus!“
GEN.4.25	Adomas vėl pažino savo žmoną, ir ji pagimdė sūnų, vardu Setas, sakydama: „Dievas man davė kitą sūnų vietoje Abelio, kurį Kainas užmušė“.
GEN.4.26	Taip pat ir Setas turėjo sūnų, vardu Enas. Tuomet žmonės pradėjo šauktis Viešpaties vardo.
GEN.5.1	Šita yra Adomo palikuonių knyga. Kai Dievas sutvėrė žmogų, Jis padarė jį panašų į Dievą.
GEN.5.2	Jis sutvėrė vyrą ir moterį, palaimino juos ir pavadino juos Adomu tą dieną, kai jie buvo sutverti.
GEN.5.3	Kai Adomas buvo šimto trisdešimties metų, jam gimė sūnus pagal jo panašumą ir atvaizdą, kurį pavadino Setu.
GEN.5.4	Po Seto gimimo Adomas dar gyveno aštuonis šimtus metų ir susilaukė sūnų bei dukterų.
GEN.5.5	Taigi Adomo amžius buvo devyni šimtai trisdešimt metų, ir jis mirė.
GEN.5.6	Setas, būdamas šimto penkerių metų, susilaukė Eno.
GEN.5.7	Setas, gimus Enui, dar gyveno aštuonis šimtus septynerius metus ir susilaukė sūnų bei dukterų.
GEN.5.8	Taigi Seto amžius buvo devyni šimtai dvylika metų, ir jis mirė.
GEN.5.9	Enas, būdamas devyniasdešimties metų, susilaukė Kainamo.
GEN.5.10	Enas, gimus Kainamui, dar gyveno aštuonis šimtus penkiolika metų ir susilaukė sūnų bei dukterų.
GEN.5.11	Taigi Eno amžius buvo devyni šimtai penkeri metai, ir jis mirė.
GEN.5.12	Kainamas, būdamas septyniasdešimties metų, susilaukė Mahalalelio.
GEN.5.13	Kainamas, gimus Mahalaleliui, dar gyveno aštuonis šimtus keturiasdešimt metų ir susilaukė sūnų bei dukterų.
GEN.5.14	Taigi Kainamo amžius buvo devyni šimtai dešimt metų, ir jis mirė.
GEN.5.15	Mahalalelis, būdamas šešiasdešimt penkerių metų, susilaukė Jaredo.
GEN.5.16	Mahalalelis, gimus Jaredui, dar gyveno aštuonis šimtus trisdešimt metų ir susilaukė sūnų bei dukterų.
GEN.5.17	Taigi Mahalalelio amžius buvo aštuoni šimtai devyniasdešimt penkeri metai, ir jis mirė.
GEN.5.18	Jaredas, būdamas šimto šešiasdešimt dvejų metų, susilaukė Henocho.
GEN.5.19	Jaredas, gimus Henochui, dar gyveno aštuonis šimtus metų ir susilaukė sūnų bei dukterų.
GEN.5.20	Taigi Jaredo amžius buvo devyni šimtai šešiasdešimt dveji metai, ir jis mirė.
GEN.5.21	Henochas, būdamas šešiasdešimt penkerių metų, susilaukė Matūzalio.
GEN.5.22	Henochas, gimus Matūzaliui, vaikščiojo su Dievu tris šimtus metų ir susilaukė sūnų bei dukterų.
GEN.5.23	Taigi Henocho amžius buvo trys šimtai šešiasdešimt penkeri metai.
GEN.5.24	Henochas vaikščiojo su Dievu, ir jo nebeliko, nes Dievas jį pasiėmė.
GEN.5.25	Matūzalis, būdamas šimto aštuoniasdešimt septynerių metų, susilaukė Lamecho.
GEN.5.26	Matūzalis, gimus Lamechui, dar gyveno septynis šimtus aštuoniasdešimt dvejus metus ir susilaukė sūnų bei dukterų.
GEN.5.27	Taigi Matūzalio amžius buvo devyni šimtai šešiasdešimt devyneri metai, ir jis mirė.
GEN.5.28	Lamechas, būdamas šimto aštuoniasdešimt dvejų metų, susilaukė sūnaus,
GEN.5.29	kurį jis pavadino Nojumi, sakydamas: „Šitas mus paguos mūsų darbuose ir mūsų rankų triūse žemėje, kurią Viešpats prakeikė“.
GEN.5.30	Lamechas, gimus Nojui, dar gyveno penkis šimtus devyniasdešimt penkerius metus ir susilaukė sūnų bei dukterų.
GEN.5.31	Taigi Lamecho amžius buvo septyni šimtai septyniasdešimt septyneri metai, ir jis mirė.
GEN.5.32	Nojus, būdamas penkių šimtų metų, susilaukė Semo, Chamo ir Jafeto.
GEN.6.1	Kai žmonių padaugėjo žemėje ir jiems gimė dukterų,
GEN.6.2	Dievo sūnūs matydami, kad žmonių dukterys gražios, ėmė jas sau į žmonas.
GEN.6.3	Tada Viešpats tarė: „Mano Dvasia nekovos su žmonėmis amžinai, nes jie tėra kūnas; jų dienos bus šimtas dvidešimt metų!“
GEN.6.4	Anomis dienomis žemėje buvo milžinų. Kai Dievo sūnūs vesdavo žmonių dukteris ir jos pagimdydavo jiems vaikų, jie būdavo galiūnais, senovėje garsiais vyrais.
GEN.6.5	Viešpats, matydamas, kad žmonių nedorybės žemėje buvo didelės ir jų širdies siekiai buvo vien tik pikti,
GEN.6.6	gailėjosi, kad Jis žemėje sutvėrė žmogų, ir sielojosi savo širdyje.
GEN.6.7	Ir Dievas tarė: „Aš išnaikinsiu žmones, kuriuos sutvėriau, nuo žemės paviršiaus; tiek žmones, tiek gyvulius, roplius ir padangių paukščius, nes Aš gailiuosi, kad juos padariau“.
GEN.6.8	Tačiau Nojus rado malonę Viešpaties akyse.
GEN.6.9	Tokia yra Nojaus giminės istorija. Nojus buvo teisus ir tobulas vyras savo kartoje; jis vaikščiojo su Dievu.
GEN.6.10	Nojus turėjo tris sūnus: Semą, Chamą ir Jafetą.
GEN.6.11	Dievo akivaizdoje žemė buvo sugedusi ir pilna nusikaltimų.
GEN.6.12	Dievas pažiūrėjo į žemę ir matė, kad ji sugedusi, nes kiekvienas kūnas žemėje iškreipė savo kelius.
GEN.6.13	Ir Dievas tarė Nojui: „Aš nusprendžiau padaryti galą kiekvienam kūnui, nes per juos žemė pasidarė pilna nusikaltimų. Aš išnaikinsiu juos nuo žemės paviršiaus.
GEN.6.14	Pasidaryk arką iš sakuoto medžio, arkoje padaryk pertvaras ir ištepk ją derva iš vidaus ir iš lauko.
GEN.6.15	Arka turi būti trijų šimtų uolekčių ilgio, penkiasdešimties uolekčių pločio ir trisdešimties uolekčių aukščio.
GEN.6.16	Padaryk arkai langą uolektis nuo viršaus; arkos duris padaryk jos šone; įrenk joje apatinį, vidurinį ir viršutinį aukštus.
GEN.6.17	Aš užtvindysiu žemę vandenimis, kad išnaikinčiau kiekvieną kūną, kuriame yra gyvybė. Visa, kas yra žemėje, pražus.
GEN.6.18	Bet Aš padarysiu sandorą su tavimi. Į arką įeisite tu, tavo sūnūs, tavo žmona ir tavo sūnų žmonos su tavimi.
GEN.6.19	Į arką įsivesk po du kiekvienos rūšies gyvius – patiną ir patelę, kad išliktų gyvi su tavimi.
GEN.6.20	Iš paukščių, iš gyvulių ir iš visų žemės roplių pagal jų rūšį teįeina pas tave po du, kad išliktų gyvi.
GEN.6.21	Pasiimk visokio maisto ir susikrauk į arką, ir tai tebūna maistas tau ir jiems!“
GEN.6.22	Nojus padarė viską, ką Dievas jam įsakė.
GEN.7.1	Viešpats tarė Nojui: „Eik į arką tu ir visi tavo artimieji, nes tave radau teisų šioje kartoje.
GEN.7.2	Pasiimk iš visų švarių gyvulių po septynetą patinų ir patelių, o iš visų nešvarių gyvulių – po patiną ir patelę,
GEN.7.3	taip pat ir iš padangių paukščių po septynetą patinų ir patelių, kad išlaikytum jų rūšį visos žemės paviršiuje.
GEN.7.4	Po septynių dienų Aš užleisiu lietų ant žemės keturiasdešimčiai dienų ir keturiasdešimčiai naktų ir išnaikinsiu žemės paviršiuje visas gyvas būtybes, kurias esu padaręs“.
GEN.7.5	Ir Nojus padarė viską, ką Viešpats jam įsakė.
GEN.7.6	Nojus buvo šešių šimtų metų, kai tvanas prasidėjo.
GEN.7.7	Tuomet Nojus, jo sūnūs, jo žmona ir sūnų žmonos suėjo su juo į arką, gelbėdamiesi nuo tvano.
GEN.7.8	Švarių ir nešvarių gyvulių, paukščių ir roplių
GEN.7.9	poros suėjo į Nojaus arką, kaip Dievas buvo įsakęs Nojui.
GEN.7.10	Septynioms dienoms praėjus, tvano vandenys užplūdo žemę.
GEN.7.11	Nojui sulaukus šešių šimtų metų, antro mėnesio septynioliktą dieną pratrūko visi didžiosios gelmės šaltiniai ir dangaus langai atsidarė.
GEN.7.12	Lijo keturiasdešimt dienų ir keturiasdešimt naktų.
GEN.7.13	Tą pačią dieną į arką įėjo Nojus ir jo sūnūs: Semas, Chamas ir Jafetas, Nojaus žmona ir trys jo sūnų žmonos.
GEN.7.14	Jie ir visi žvėrys, galvijai, ropliai ir visi paukščiai pagal savo rūšis
GEN.7.15	suėjo į Nojaus arką, po du visų kūnų, turinčių gyvybės kvapą.
GEN.7.16	Įėjusieji buvo patinas ir patelė kiekvieno kūno, kaip Dievas jam buvo įsakęs. Tuomet Viešpats uždarė arką iš lauko pusės.
GEN.7.17	Lietus tęsėsi keturiasdešimt dienų, vandens daugėjo ir jis pakėlė arką aukštyn nuo žemės.
GEN.7.18	Vanduo kilo ir užplūdo žemę, o arka plūduriavo vandens paviršiuje.
GEN.7.19	Vanduo pakilo taip aukštai, kad apsėmė visus aukštuosius kalnus, kurie stūksojo po dangumi.
GEN.7.20	Vanduo pakilo penkiolika uolekčių virš kalnų ir juos apdengė.
GEN.7.21	Ir žuvo kiekvienas kūnas, kuris judėjo ant žemės: paukščiai, galvijai, žvėrys, ropliai ir visi žmonės.
GEN.7.22	Visa, kas buvo gyva ir gyveno sausumoje, išmirė.
GEN.7.23	Taip Dievas išnaikino visas gyvas būtybes, kurios buvo žemės paviršiuje, tiek žmones, tiek gyvulius, roplius ir padangių paukščius. Išliko tik Nojus ir tie, kurie buvo su juo arkoje.
GEN.7.24	Vanduo laikėsi žemėje šimtą penkiasdešimt dienų.
GEN.8.1	Dievas atsiminė Nojų, visus žvėris bei visus gyvulius, kurie buvo su juo arkoje. Jis leido vėjui pūsti, ir vanduo pradėjo slūgti.
GEN.8.2	Užsidarė gelmės šaltiniai bei dangaus langai, ir lietus liovėsi.
GEN.8.3	Tada vandenys pamažu seko žemėje. Šimtui penkiasdešimčiai dienų praėjus, vandens ėmė mažėti.
GEN.8.4	Septinto mėnesio septynioliktą dieną arka sustojo Ararato kalnuose.
GEN.8.5	O vandenys nuolat seko iki dešimtojo mėnesio. Dešimtojo mėnesio pirmąją dieną pasirodė kalnų viršūnės.
GEN.8.6	Praėjus keturiasdešimčiai dienų, Nojus atidarė arkos langą, kurį buvo įstatęs,
GEN.8.7	ir išleido varną. Tas skraidė šen ir ten, kol vandenys nuseko ant žemės.
GEN.8.8	Po to jis išleido balandį, norėdamas sužinoti, ar vandenys jau nusekę žemės paviršiuje.
GEN.8.9	Balandis nerado vietos, kur nutūpęs galėtų pailsėti, ir sugrįžo, nes vanduo tebebuvo apsėmęs visą žemės paviršių. Nojus ištiesė ranką ir paėmė jį į arką.
GEN.8.10	Palaukęs dar septynias dienas, jis vėl išleido iš arkos balandį.
GEN.8.11	Vakare balandis sugrįžo, laikydamas snape šviežiai nuskintą alyvmedžio lapą. Taip Nojus sužinojo, kad vandenys nusekę ant žemės.
GEN.8.12	Palaukęs dar kitas septynias dienas, jis vėl išleido balandį, kuris daugiau nebesugrįžo.
GEN.8.13	Šeši šimtai pirmaisiais metais, pirmojo mėnesio pirmąją dieną vanduo visai nuseko ant žemės. Tada Nojus nuėmė arkos dangtį ir pasižiūrėjo; ir štai žemės paviršius buvo nudžiūvęs.
GEN.8.14	Antrojo mėnesio dvidešimt septintąją dieną žemė buvo sausa.
GEN.8.15	Tada Dievas tarė Nojui:
GEN.8.16	„Išeik iš arkos tu, tavo žmona, sūnūs ir sūnų žmonos.
GEN.8.17	Visus gyvūnus, kurie su tavimi: paukščius, gyvulius ir roplius, išsivesk, kad jie paplistų žemėje, veistųsi ir daugėtų“.
GEN.8.18	Ir išėjo Nojus, su juo jo sūnūs, žmona ir sūnų žmonos.
GEN.8.19	Visi žvėrys, ropliai ir paukščiai, visa, kas kruta žemėje, kiekvienas pagal savo rūšį, išėjo iš arkos.
GEN.8.20	Nojus pastatė Viešpačiui aukurą ir, paėmęs iš visų švarių gyvulių ir paukščių, aukojo deginamąsias aukas.
GEN.8.21	Viešpats, užuodęs malonų kvapą, tarė savo širdyje: „Aš daugiau nebeprakeiksiu žemės dėl žmogaus, nes žmogaus širdis palinkusi į pikta nuo pat jo jaunystės, ir daugiau nebeišnaikinsiu viso to, kas gyva, kaip esu padaręs.
GEN.8.22	Kol žemė bus, nenustos sėja ir pjūtis, šaltis ir šiluma, vasara ir žiema, diena ir naktis!“
GEN.9.1	Dievas laimino Nojų bei jo sūnus ir tarė: „Būkite vaisingi, dauginkitės ir pripildykite žemę.
GEN.9.2	Tesibijo jūsų ir tedreba prieš jus visi žemės žvėrys, visi padangių sparnuočiai, visa, kas gyva žemėje, ir visos jūros žuvys. Visa tai atiduota į jūsų rankas.
GEN.9.3	Visa, kas juda ir gyva, bus jums maistui; visa jums duodu, kaip daviau žaliuojančius augalus.
GEN.9.4	Tik mėsos su gyvybe, kuri yra kraujyje, nevalgykite.
GEN.9.5	Iš tiesų už jūsų gyvybės kraują Aš pareikalausiu iš kiekvieno žvėries ir žmogaus, kuris pralietų savo brolio kraują.
GEN.9.6	Kas pralieja žmogaus kraują, jo kraujas taip pat bus pralietas, nes žmogus sutvertas pagal Dievo atvaizdą.
GEN.9.7	Jūs būkite vaisingi ir dauginkitės, pliskite po žemę ir pripildykite ją!“
GEN.9.8	Dievas tarė Nojui ir jo sūnums kartu su juo:
GEN.9.9	„Aš darau sandorą su jumis ir jūsų palikuonimis, kurie gyvens po jūsų,
GEN.9.10	ir su visais gyvais padarais, visais paukščiais, galvijais ir žvėrimis, kurie išėjo su jumis iš arkos.
GEN.9.11	Aš darau savo sandorą su jumis: jokio kūno nebepražudysiu tvano vandenimis, ir tvanas nebesunaikins žemės“.
