GEN.1.1	Pradžioje Dievas sukūrė dangų ir žemę. 
GEN.4.6	 užkalbino Kainą: „Dėl ko tau taip pikta? Kodėl esi toks prislėgtas? 
GEN.4.7	Jei gera darai, argi nebūsi pripažintas? Bet jei gera nedarai, prie durų iš pasalų tykoja nuodėmė. Ji geidžia tavęs, bet tu gali ją įveikti“.
GEN.4.8	Kainas apsibarė su savo broliu Abeliu. Kai jie buvo laukuose, 
GEN.4.9	Tuomet 
GEN.4.10	O 
GEN.4.11	Todėl būk prakeiktas toli nuo žemės, kuri atvėrė savo burną priimti tavo brolio kraują iš tavo rankos. 
GEN.4.12	Kai dirbsi žemę, ji nebeduos tau daugiau savo derliaus. Tu būsi bėglys ir klajūnas žemėje“. 
GEN.4.13	Kainas atsakė 
GEN.4.14	Šiandien išvarei mane nuo žemės, turiu slėptis nuo tavo veido ir tapti bėgliu bei klajūnu žemėje; kas tik mane sutiks, galės užmušti“. 
GEN.4.15	Tuomet 
GEN.4.16	Po to Kainas paliko 
GEN.4.17	Kainas pažino savo žmoną, ji pastojo ir pagimdė Henochą. Vėliau jis pastatė miestą, kurį pavadino Henochu, savo sūnaus Henocho vardu. 
GEN.4.18	Henochui gimė Iradas, Iradas buvo Mehujaelio tėvas, Mehujaelis – Metušaelio tėvas, ir Metušaelis – Lamecho tėvas. 
GEN.4.19	Lamechas vedė dvi žmonas. Vienos vardas buvo Ada, o kitos – Cila. 
GEN.4.20	Ada pagimdė Jabalą. Jis buvo protėvis visų gyvenančių palapinėse ir laikančių kaimenes. 
GEN.4.21	Jo brolis buvo Jubalas. Jis buvo protėvis visų grojančių lyra ir trimitu. 
GEN.4.22	Cila savo ruožtu pagimdė Tubal Kainą, kuris kaldavo visokius žalvario ir geležies įrankius. Tubal Kaino sesuo buvo Naama.
GEN.4.23	Lamechas sakė savo žmonoms:
GEN.4.23	„Ada ir Cila, klausykitės mano balso;
GEN.4.23	Lamecho žmonos, išgirskite mano žodžius:
GEN.4.23	užmušiau vyrą už žaizdą,
GEN.4.23	bernioką už įdrėskimą.
GEN.4.24	Jei už Kainą atkeršijama septyneriopai,
GEN.4.24	tai už Lamechą septyniasdešimt kartų septyneriopai“.
GEN.4.25	Adomas vėl pažino savo žmoną, ji pagimdė sūnų ir pavadino jį Setu, nes sakė: „Dievas parūpino man kitą palikuonį vietoj Abelio, kadangi Kainas jį užmušė“. 
GEN.4.26	Ir Setui gimė sūnus, kurį jis pavadino Enošu. Tuo metu žmonės pradėjo šauktis [Dievo] 
GEN.5.1	Štai Adomo palikuonių kartų sąrašas. 
GEN.5.2	kaip vyrą ir moterį sukūrė. Kai jie buvo sukurti, jis juos palaimino ir davė jiems vardą žmonės.
GEN.5.3	Adomas buvo šimto trisdešimt metų, kai jam gimė sūnus, panašus į jį, pagal jo paveikslą, ir jis pavadino jį Setu. 
GEN.5.4	Po to, kai tapo Seto tėvu, Adomas gyveno aštuonis šimtus metų, ir jam gimė sūnų bei dukterų. 
GEN.5.5	Taigi iš viso Adomas gyveno devynis šimtus trisdešimt metų. Po to jis mirė.
GEN.5.6	Setas buvo šimto penkerių metų, kai jam gimė Enošas. 
GEN.5.7	Enošui gimus, Setas gyveno aštuonis šimtus septynerius metus, ir jam gimė sūnų bei dukterų. 
GEN.5.8	Taigi iš viso Setas gyveno devynis šimtus dvylika metų. Po to jis mirė.
GEN.5.9	Enošas buvo devyniasdešimtmetis, kai jam gimė Kenanas. 
GEN.5.10	Kenanui gimus, Enošas gyveno aštuonis šimtus penkiolika metų, ir jam gimė sūnų bei dukterų. 
GEN.5.11	Taigi iš viso Enošas gyveno devynis šimtus penkerius metus. Po to jis mirė.
GEN.5.12	Kenanas buvo septyniasdešimtmetis, kai jam gimė Mahalalelis. 
GEN.5.13	Mahalaleliui gimus, Kenanas gyveno aštuonis šimtus keturiasdešimt metų, ir jam gimė sūnų bei dukterų. 
GEN.5.14	Taigi iš viso Kenanas gyveno devynis šimtus dešimt metų. Po to jis mirė.
GEN.5.15	Mahalalelis buvo šešiasdešimt penkerių metų, kai jam gimė Jeredas. 
GEN.5.16	Jeredui gimus, Mahalalelis gyveno aštuonis šimtus trisdešimt metų, ir jam gimė sūnų bei dukterų. 
GEN.5.17	Taigi iš viso Mahalalelis gyveno aštuonis šimtus devyniasdešimt penkerius metus. Po to jis mirė.
GEN.5.18	Jeredas buvo šimto šešiasdešimt dvejų metų, kai jam gimė Henochas. 
GEN.5.19	Henochui gimus, Jeredas gyveno aštuonis šimtus metų, ir jam gimė sūnų bei dukterų. 
GEN.5.20	Taigi iš viso Jeredas gyveno devynis šimtus šešiasdešimt dvejus metus. Po to jis mirė.
GEN.5.21	Henochas buvo šešiasdešimt penkerių metų, kai jam gimė Metušelachas
GEN.5.22	Metušelachui gimus, Henochas ėjo su Dievu tris šimtus metų, ir jam gimė sūnų bei dukterų. 
GEN.5.23	Taigi iš viso Henochas gyveno tris šimtus šešiasdešimt penkerius metus. 
GEN.5.24	Henochas ėjo su Dievu. Paskui jo nebebuvo, nes Dievas jį pasiėmė.
GEN.5.25	Metušelachas buvo šimto aštuoniasdešimt septynerių metų, kai jam gimė Lamechas. 
GEN.5.26	Lamechui gimus, Metušelachas gyveno septynis šimtus aštuoniasdešimt dvejus metus, ir jam gimė sūnų bei dukterų. 
GEN.5.27	Taigi iš viso Metušelachas gyveno devynis šimtus šešiasdešimt devynerius metus. Po to jis mirė.
GEN.5.28	Lamechas buvo šimto aštuoniasdešimt dvejų metų, kai jam gimė sūnus. 
GEN.5.29	Jis pavadino jį Nojumi, tardamas: „Iš tos pačios žemės, kurią 
GEN.5.30	Nojui gimus, Lamechas gyveno penkis šimtus devyniasdešimt penkerius metus, ir jam gimė sūnų bei dukterų. 
GEN.5.31	Taigi iš viso Lamechas gyveno septynis šimtus septyniasdešimt septynerius metus. Po to jis mirė.
GEN.5.32	Nojus buvo penkių šimtų metų, kai jam gimė Semas, Chamas ir Jafetas.
GEN.6.1	Kai žemėje žmonių pradėjo daugėti ir jiems gimė dukterų, 
GEN.6.2	dangiškosios būtybės
GEN.6.3	Tuomet 
GEN.6.4	Tomis dienomis, kaip ir vėliau, kai dangiškosios būtybės
GEN.6.6	Ir 
GEN.6.7	 tarė: „Nušluosiu nuo žemės paviršiaus žmones, kuriuos sukūriau, žmones drauge su gyvuliais, ropliais ir padangių paukščiais, nes gailiuosi juos padaręs“. 
GEN.6.8	Bet Nojus rado malonę Dievo akyse.
GEN.6.9	Štai Nojaus palikuonys. 
GEN.6.10	Nojui gimė trys sūnūs: Semas, Chamas ir Jafetas.
GEN.6.11	Betgi Dievo akyse žemė buvo pagedusi ir pilna smurto. 
GEN.6.12	Dievas matė, kad žemė buvo pagedusi, nes visi žmonės buvo sudarkę savo kelius žemėje. 
GEN.6.13	Tuomet Dievas tarė Nojui: „Nusprendžiau padaryti galą visiems mirtingiesiems, nes per juos žemė prisipildė smurto; štai sunaikinsiu juos drauge su žeme. 
GEN.6.14	Statykis laivą iš gofero medžių, padaryk laive pertvaras ir apglaistyk iš vidaus ir iš lauko derva. 
GEN.6.15	Šitokį jį padirbsi: laivo ilgis bus trys šimtai uolekčių, plotis penkiasdešimt uolekčių ir aukštis trisdešimt uolekčių. 
GEN.6.16	Padaryk stoglangį ir užbaik laivą viena uolektimi viršum jo. Įtaisyk laivo šone angą ir pastatyk laivą su žemutiniu, antru ir trečiu aukštu. 
GEN.6.17	Užliesiu tvano vandenimis žemę po dangumi sunaikinti visiems mirtingiesiems, turintiems gyvybės alsavimą. Visa, kas žemėje, pražus. 
GEN.6.18	Bet su tavimi sudarysiu sandorą. Tu, tavo sūnūs, žmona ir sūnų žmonos įlipsite į laivą. 
GEN.6.19	O iš visų gyvūnų, visų gyvų būtybių, įlaipink į laivą po du – patiną ir patelę, kad jie išliktų gyvi drauge su tavimi. 
GEN.6.20	Iš paukščių pagal jų rūšį, gyvulių pagal jų rūšį, visų žemės roplių pagal jų rūšį, – iš visų po du įlips su tavimi, kad išliktų gyvi. 
GEN.6.21	Taip pat apsirūpink įvairiu maistu, tinkamu valgyti, ir pasikrauk, kad būtų maisto atsargų tau ir jiems“.
GEN.7.1	Tuomet 
GEN.7.2	Pasiimk po septynias poras visų švariųjų gyvulių, patinus ir pateles, o visų nešvariųjų gyvulių – po vieną porą, patiną ir patelę, 
GEN.7.3	taip pat po septynias poras padangių paukščių, patinus ir pateles, kad išliktų jų rūšis gyva visoje žemėje. 
GEN.7.4	Juk už septyneto dienų siųsiu žemėn lietų keturiasdešimt dienų bei keturiasdešimt naktų ir visus gyvūnus, kuriuos padariau, nušluosiu nuo žemės paviršiaus“. 
GEN.7.5	Nojus taip ir padarė, kaip Dievas buvo jam įsakęs.
GEN.7.6	Nojus buvo šešių šimtų metų, kai užėjo tvanas, ir vandenys užliejo žemę. 
GEN.7.7	Tuomet Nojus drauge su savo sūnumis, žmona ir sūnų žmonomis 
GEN.7.8	Iš švariųjų gyvulių ir gyvulių, kurie yra nešvarūs, paukščių ir visų žemės roplių 
GEN.7.9	po du, patinas ir patelė, įlipo į laivą drauge su Nojumi, kaip Dievas buvo Nojui įsakęs. 
GEN.7.10	Po septynių dienų žemė aptvino vandenimis.
GEN.7.11	Šeši šimtaisiais Nojaus gyvenimo metais, antro mėnesio septynioliktą dieną, būtent tą dieną prasiveržė 
GEN.7.12	Lietus pylė ant žemės keturiasdešimt dienų ir keturiasdešimt naktų. 
GEN.7.13	Tą pačią dieną Nojus drauge su savo sūnumis Semu, Chamu ir Jafetu, žmona ir trim sūnų žmonomis įlipo į laivą, 
GEN.7.14	jie ir visi visų rūšių žvėrys, visi visų rūšių galvijai, visi visų rūšių žemės ropliai ir visi visų rūšių paukščiai, visi paukščiai ir visi sparnuočiai. 
GEN.7.15	Poros visų būtybių, turinčių gyvybės alsavimą, įlipo į laivą su Nojumi. 
GEN.7.16	Įlipusiųjų buvo po patiną ir patelę visų gyvų būtybių. Jie įlipo, kaip Dievas buvo Nojui įsakęs.
GEN.7.16	Tuomet 
GEN.7.17	Tvanas žemėje tęsėsi keturiasdešimt dienų. Vandenų daugėjo, ir jie taip iškėlė laivą, kad šis pakilo nuo žemės. 
GEN.7.18	Vandenys žemėje labai patvino, ir jų padaugėjo, o laivas plūduriavo ant vandenų. 
GEN.7.19	Aukščiau ir aukščiau ant žemės kilo vandenys, kol visi aukščiausi kalnai visur po dangumi liko apsemti. 
GEN.7.20	Pritvino vandenų penkiolika uolekčių aukščiau virš apsemtų kalnų. 
GEN.7.21	Ir visos gyvos būtybės, krutėjusios žemėje, žuvo: paukščiai, galvijai, žvėrys, visi gyvūnai, knibždantys žemėje, taip pat visi žmonės. 
GEN.7.22	Sausumoje visi, turėję šnervėse gyvybės alsavimą, mirė. 
GEN.7.23	Jis nušlavė nuo žemės visus gyvūnus – ir žmones, ir gyvulius, ir roplius, ir padangių paukščius. Visi buvo nušluoti nuo žemės. Tik Nojus buvo paliktas ir tie, kurie buvo su juo laive.
GEN.7.24	Žemę aptvindę vandenys laikėsi šimtą penkiasdešimt dienų.
GEN.8.1	Tuomet Dievas atsiminė Nojų ir visus žvėris, ir visus galvijus, buvusius su juo laive. Dievas pasiuntė vėją pūsti virš žemės, ir vandenys atslūgo. 
GEN.8.2	Bedugnės šaltiniai ir dangaus skliauto užtūros buvo uždarytos, liūtis iš dangaus sulaikyta, 
GEN.8.3	ir vandenys pamažu traukėsi nuo žemės. Praslinkus šimtui penkiasdešimt dienų, vandenys buvo taip nusekę, 
GEN.8.4	kad septinto mėnesio septynioliktą dieną laivas sustojo Ararato kalnuose. 
GEN.8.5	O vandenys vis labiau ir labiau seko iki dešimto mėnesio. Dešimto mėnesio pirmą dieną pasirodė kalnų viršūnės.
GEN.8.6	Praslinkus keturiasdešimt dienų, Nojus atidarė laivo langą, kurį buvo įtaisęs, 
GEN.8.7	ir išleido varną. Jis skraidžiojo šen ir ten, laukdamas, kol žemėje išdžius vandenys. 
GEN.8.8	Tuomet jis išleido iš laivo balandį pažiūrėti, ar vandenys buvo nusekę žemės paviršiuje. 
GEN.8.9	Bet balandis negalėjo rasti vietos kojoms pailsėti ir sugrįžo pas jį į laivą, nes vandenys dar tebebuvo ant viso žemės paviršiaus. Jis ištiesė ranką, paėmė balandį ir įkėlė į savo laivą. 
GEN.8.10	Palaukęs dar septynias dienas, jis vėl išleido iš laivo balandį. 
GEN.8.11	Vakare balandis sugrįžo pas jį, ir jo snape buvo nuskintas alyvmedžio lapas! Dabar Nojus žinojo, kad vandenys žemėje jau buvo nusekę. 
GEN.8.12	Tuomet jis palaukė dar septynias dienas ir vėl išleido balandį. Šį kartą tasai pas jį nebesugrįžo.
GEN.8.13	Šeši šimtai pirmų metų pirmo mėnesio pirmą dieną vandenys žemėje pradėjo sekti. Nojus nukėlė laivo dangą, apsižvalgė ir pamatė, kad žemės paviršius džiūsta. 
GEN.8.14	Antro mėnesio dvidešimt septintą dieną žemė buvo sausa. 
GEN.8.15	Tuomet Dievas tarė Nojui: 
GEN.8.16	„Eik iš laivo drauge su savo žmona, sūnumis ir sūnų žmonomis. 
GEN.8.17	Išlaipink kartu visus su tavimi esančius gyvūnus, visas gyvas būtybes: paukščius, gyvulius ir visus žemės roplius. Teužplūsta jie žemę, tebūna vaisingi ir tesidaugina žemėje“. 
GEN.8.18	Išlipo tat Nojus drauge su sūnumis ir žmona bei sūnų žmonomis. 
GEN.8.19	Visi gyvuliai, visi ropliai ir visi paukščiai – visa, kas juda žemėje – išlipo iš laivo šeimomis.
GEN.8.20	Tuomet Nojus pastatė 
GEN.8.21	Užuodęs malonų kvapą, 
GEN.8.22	Ligi tik žemė tvers,
GEN.8.22	sėja ir pjūtis,
GEN.8.22	šaltis ir šiluma,
GEN.8.22	vasara ir žiema,
GEN.8.22	diena ir naktis
GEN.8.22	nesiliaus“.
GEN.9.1	Dievas palaimino Nojų bei jo sūnus ir tarė jiems: 
GEN.9.2	Bijos jūsų ir drebės prieš jus visi žemės gyvuliai, visi padangių paukščiai – visa, kas juda žemėje, ir visos jūrų žuvys. Į jūsų rankas jie atiduoti. 
GEN.9.3	Kas juda ir yra gyva, bus jums maistui. Duodu juos visus jums, lygiai kaip daviau jums žaliuosius augalus. 
GEN.9.4	Tiktai mėsos su jos gyvybe, su krauju joje, nevalgysite. 
GEN.9.5	Taip pat ir už jūsų kraują, jūsų gyvybę, reikalausiu atsiskaityti: iš kiekvieno gyvulio to reikalausiu ir iš žmonių – iš kiekvieno už artimo kraują – reikalausiu atsiskaityti už žmogaus gyvybę.
GEN.9.6	to kraują taip pat pralies žmogus,
GEN.9.6	Dievas sukūrė žmogų.
GEN.9.7	O jūs 
GEN.9.7	pliskite žemėje ir užvaldykite ją!“
GEN.9.8	Tuomet Dievas tarė Nojui ir su juo buvusiems sūnums: 
GEN.9.9	„Štai sudarau Sandorą su jumis ir jūsų būsimais palikuonimis, 
GEN.9.10	su visais gyvūnais, esančiais su jumis, – paukščiais, galvijais ir visais su jumis buvusiais žemės gyvuliais, kurie tik išlipo iš laivo. 
GEN.9.11	Aš palaikysiu Sandorą su jumis: niekada daugiau visi mirtingieji gyvūnai nebebus tvano vandenų išnaikinti, niekada daugiau nebebus tvano žemei nuniokoti. 
GEN.9.12	Ir tai, – pridūrė Dievas, – bus ženklas, kurį duodu visiems amžiams, mano Sandoros tarp manęs ir jūsų bei visų su jumis esančių gyvūnų: 
GEN.9.13	savo lanką padėjau į debesis, ir jis bus ženklas Sandoros tarp manęs ir žemės. 
GEN.9.14	Kai supūsiu viršum žemės debesis ir pasirodys debesyje mano lankas, 
GEN.9.15	aš atsiminsiu savo Sandorą tarp manęs ir jūsų bei visų mirtingųjų gyvūnų, ir vandenys niekada daugiau nebetaps tvanu visiems mirtingiesiems sunaikinti. 
GEN.9.16	Kai lankas bus debesyje, aš pažvelgsiu į jį ir atsiminsiu Sandorą tarp Dievo ir visų gyvūnų – visų žemėje esančių mirtingųjų“. 
GEN.9.17	Dievas sakė Nojui: „Tai bus ženklas Sandoros tarp manęs ir visų žemėje esančių mirtingųjų“.
GEN.9.18	Nojaus sūnūs, išlipusieji iš laivo, buvo Semas, Chamas ir Jafetas. Chamas buvo Kanaano tėvas. 
GEN.9.19	Tai buvo Nojaus sūnūs, ir iš jų buvo apgyvendinta visa žemė.
GEN.9.20	Nojus, žemės artojas, pirmas įsiveisė vynuogyną. 
GEN.9.21	Jis gėrė vyno, pasigėrė ir gulėjo nuogas palapinėje. 
GEN.9.22	Chamas, Kanaano tėvas, pamatė savo tėvo nuogumą ir papasakojo savo dviem broliams lauke. 
GEN.9.23	Tuomet Semas ir Jafetas paėmė drabužį, užsidėjo jį ant pečių ir, eidami atbuli, uždengė savo tėvo nuogumą. Kadangi jų veidai buvo nugręžti į kitą pusę, nuogo savo tėvo jie nematė. 
GEN.9.24	Išsiblaivęs nuo vyno ir sužinojęs, ką jo jauniausias sūnus buvo jam padaręs, 
GEN.9.25	Nojus tarė:
GEN.9.25	„Tebūna prakeiktas Kanaanas!
GEN.9.25	Jis bus žemiausias vergas
GEN.9.25	savo broliams“.
GEN.9.26	Ir pridūrė:
GEN.9.26	„Šlovė 
GEN.9.26	Semo Dievui!
GEN.9.26	Tebūna Kanaanas jiems vergas!
GEN.9.27	Tepadaro Dievas vietos Jafetui,
GEN.9.27	teleidžia jam gyventi Semo palapinėse,
GEN.9.27	o Kanaanas tebūna jų vergas“.
GEN.9.28	Po tvano Nojus gyveno tris šimtus penkiasdešimt metų.
GEN.9.29	Iš viso Nojus gyveno devynis šimtus penkiasdešimt metų. Po to jis mirė.
GEN.10.1	Štai palikuonys Nojaus sūnų – Semo, Chamo ir Jafeto; vaikai jiems gimė po tvano.
GEN.10.2	Jafeto palikuonys: Gomeras, Magogas, Madajas, Javanas, Tubalas, Mešechas ir Tyras. 
GEN.10.3	Gomero palikuonys: Aškenazas, Rifatas ir Togarma. 
GEN.10.4	Javano palikuonys: Eliša, Taršišas, Kitimai ir Rodanimas. 
GEN.10.5	Iš jų pasklido salų tautos savo kraštuose su savo kalba pagal kiltis ir tautas.
GEN.10.6	Chamo palikuonys: Kušas, Egiptas, Putas ir Kanaanas. 
GEN.10.7	Kušo palikuonys: Seba, Havila, Sabta, Rama ir Sabtecha. Ramos palikuonys: Šeba ir Dedanas. 
GEN.10.8	Kušui gimė Nimrodas, pirmasis galiūnas žemėje. 
GEN.10.9	 malone jis buvo galingas medžiotojas, todėl sakoma: „Kaip Nimrodas 
GEN.10.10	Jo karalystės pradžia buvo Babelis, Erechas ir Akadas – miestai Šinaro krašte. 
GEN.10.11	Iš to krašto jis išėjo į Asiriją, ten pastatė Ninevę, Rehobot Irą, Kelachą 
GEN.10.12	bei Reseną tarp Ninevės ir Kelacho. Pastarasis miestas buvo sostinė. 
GEN.10.13	Egiptui gimė ludai, anamimai, lehabiečiai, naftoachai, 
GEN.10.14	patrosiečiai, kasluhai ir kaftoriečiai. Iš pastarųjų kilo filistinai.
GEN.10.15	Kanaanui gimė pirmagimis Sidonas ir Hetas, 
GEN.10.16	taip pat jebusiečiai, amoritai, girgašai, 
GEN.10.17	hivai, arkai, sinai, 
