MAT.1.1	Raa inɗe maamiraaɓe Yeesu *Almasiifu, ɓii *Ibraahim ɓii *Dawda :
MAT.1.18	Raa no danyeeki Yeesu *Almasiifu laatorii. Maryaama inna ma'ako no ɗaɓɓaaɗo Yusufu, ammaa ila Yusufu hewtaay mo, sey ɗum tawi o caawɗo gada e baawɗe *Ruhu Ceniiɗo. 
MAT.1.19	Yusufu ɗaɓɓuɗo mo no neɗɗo kulo Allah, mo gikku mbooɗngu. Gam ma'ajum o nyumii seedgo e Maryaama nder suuɗeefi, gam o yiɗaa semtingo ɗum. 
MAT.1.20	Emo nder nyumooji ɗiin, sey malaa'ikaajo Jawmiraawo wari to ma'ako nder koyɗol, vi'i mo :
MAT.1.20	— Aan Yusufu taan Dawda, ta'a hul hoovaago Maryaama, gam ɓinngel ngel o saawi ivii gada e baawɗe Ruhu Ceniiɗo. 
MAT.1.21	O danyey ɓiɗɗo gorko, a tokaney mo Yeesu,
MAT.1.22	Ɗum fuu ɗum waɗii gam ɗum hebbina ko Allah volvi gada e honnduko annabiijo biiɗo :
MAT.1.23	  Surbaajo mo anndaa gorko no heɓey reedu,
MAT.1.23	o danya ɓiɗɗo gorko.
MAT.1.23	O tokanee Imaanuwel.
MAT.1.23	Ma'ana innde ndeen woni : Allah e wondi e meeɗen.
MAT.1.24	Nde Yusufu fini gada ɗoyngol, o waɗii noon no malaa'ikaajo Jawmiraawo vi'i mo. O hooƴi Maryaama laatii koree ma'ako, 
MAT.1.25	ammaa o hawtaay e ma'ako faa o danyi ɓiyiiko gorko. Yusufu tokani mo Yeesu.
MAT.2.1	Yeesu danyaama si'ire Baytilaama nder lesdi *Yahuudiya jaamanu laamu *Hiruudus. Ɓaawo danyeeki ma'ako, sey woɓɓe annduɓe koode ngari *Urusaliima gada fu'unaange. 
MAT.2.2	Nde ɓe ngari, ɓe ƴami ɓe mbi'i :
MAT.2.2	— Toye ɓinngel danyaangel laatotoongel laamiiɗo *Yahuudu'en woni ? Min ngi'ii hoodere ma'agel vanngii gada fu'una, min ngarii gam min cujjidana ngel.
MAT.2.3	Nde laamiiɗo Hiruudus nani habaru ɗuum o waannake korey, kanko e yimɓe Urusaliima fuu. 
MAT.2.4	Sey o noddi *mawɓe aardiiɓe diina e *moodiɓɓe Tawreeta fuu, o ƴami ɓe toye *Almasiifu rimetee. 
MAT.2.5	Ɓe toontii mo, ɓe mbi'i :
MAT.2.5	— Si'ire Baytilaama nder lesdi Yahuudiya. Gam raa ko annabiijo vinndi, o vi'i :
MAT.2.6	  Aan Baytilaama, nder lesdi Yahuudiya,
MAT.2.6	wanaa aan ɓuri famɗugo nder ci'e Yahuuda sam,
MAT.2.6	gam gada nder maaɗa ɗum danyata goɗɗo laamiiɗo,
MAT.2.6	aardotooɗo yimɓe am *Isiraa'iila'en
MAT.2.6	kama no gaynaako aardortoo baali muuɗum.
MAT.2.7	Sey Hiruudus noddi annduɓe koode ɓeen nder suuɗeefi, o ƴami ɓe deydey ɗume wakkaci hoodere ndeen vanngi. 
MAT.2.8	Ndeen o lili ɓe Baytilaama, o vi'i ɓe :
MAT.2.8	— Njahee, njillee e hakkiilo to ɓinngel ngeel woni. To on ngi'ii ngel, ngaree anndinee yam, gam miin boo mi yaha mi sujjidana ngel.
MAT.2.9	Nde ɓe nani ko laamiiɗo vi'i, ɓe ndilli. Hoodere nde ɓe ngi'inoo gada fu'unaange ndeen, nde aardii ɓe faa nde wari to ɓinngel woni, nde dari. 
MAT.2.10	Ɓesdugo yi'igo hoodere ndeen velii ɓe korey. 
MAT.2.11	Nde ɓe natti nder wuro, ɓe ngi'ii ɓinngel ngeel e inna ma'agel Maryaama. Ɓe ndiccii, ɓe cujjidani ngel, ɓe piɓti boorooji maɓɓe, ɓe kokki ngel jiinaariya e urdi mbelndi e ɗacce ɗe luuɓngol belngol bi'eteeɗe *miir. 
MAT.2.12	Allah holli ɓe nder koyɗol to' ɓe mbittu to Hiruudus. Gam ma'ajum ɓe tokki laawol feere, ɓe kooti lesdi maɓɓe.
MAT.2.13	Ɓaawo dillol annduɓe koode ɓeen, sey malaa'ikaajo Jawmiraawo wari to Yusufu nder koyɗol, vi'i mo :
MAT.2.13	— Umma hooy ɓinngel e inna ma'agel paayron lesdi *Misira. Njooɗooɗon toon faa nde mbi'eymaami ngarton, gam *Hiruudus no yilloto wargo ɓinngel ngeel.
MAT.2.14	Yusufu boo ummii caka jemma, hooƴi ɓinngel ngeel e inna ma'agel faayri Misira. 
MAT.2.15	Ɓe njooɗii toon faa Hiruudus maayi, gam ɗum hebbina ko Allah volvi gada e honnduko annabiijo biiɗo :
MAT.2.15	Gada Misira noddoymi ɓiyam.
MAT.2.16	Nde *Hiruudus annditi annduɓe koode pijirii ɗum, o huunƴi korey. O vi'i ɓikkon ngoron ngonkon Baytilaama e takkol muuɗum fuu mbaree, gada keccon faa yahago kon duuɓi ɗiɗi, deydey e bannguki hoodere ko annduɓe koode ɓeen ngeccinoo mo. 
MAT.2.17	Kanjum hebbini ko annabi Yeremiya vi'inoo nde o vi'i :
MAT.2.18	Yaayaare nanaama nder si'ire Raama,
MAT.2.18	ɗum bojji e ƴokayeeji jurminiiɗi :
MAT.2.18	Rahiila
MAT.2.18	O jaɓaay de''ineego gam kon cooyti.
MAT.2.19	Ɓaawo maayde *Hiruudus, malaa'ikaajo Jawmiraawo vannganii Yusufu nder koyɗol toon lesdi *Misira, 
MAT.2.20	o vi'i mo :
MAT.2.20	— Umma hooy ɓinngel e inna ma'agel co''oɗaa lesdi *Isiraa'iila, gam ɓeen yillotonooɓe wargo ngel maayii.
MAT.2.21	Sey Yusufu ummii hooƴi ɓinngel e inna ma'agel hooti lesdi Isiraa'iila. 
MAT.2.22	Ammaa nde o nani Arkilayus ronii laamu baaba muuɗum Hiruudus dow lesdi *Yahuudiya, o hulii yottoyaago lesdi ndiin. Ɓaawo o heɓii vagginoore Allah nder koyɗol, o yahii lesdi *Gaaliili, 
MAT.2.23	o jooɗii si'ire vi'eteende Najaratu. Noon ɗum hebbiniri ko annabo'en mbi'inoo, nde ɓe mbi'i : « O noddirte Najaratunkeejo. »
MAT.3.1	Nder balɗe ɗeen, goɗɗo bi'eteeɗo *Yahayya baɗoowo *baptisma vanngii nder ladde *Yahuudiya, emo waɗa ka wooyya, emo vi'a :
MAT.3.2	— Tuubee, gam *laamu Allah ɓadake !
MAT.3.3	Kanko woni mo annabi *Ecaaya volvunoo dow muuɗum, o vi'i :
MAT.3.3	— Goɗɗo e waɗa ka wooyya nder ladde, e vi'a :
MAT.3.3	Mo''inee ɗatal gam Jawmiraawo,
MAT.3.3	poortee laawol gam garol ma'ako !
MAT.3.4	Yahayya e ɓornii kolte leeɓe geelooɗi, emo taadii taadorde laral. Nyaamdu ma'ako woni baɓɓatti e njuumri ladde. 
MAT.3.5	Yimɓe ivoyi *Urusaliima e lesdi Yahuudiya e jaaje piliiɗe maayo Urdun fuu ngari to ma'ako. 
MAT.3.6	Ɓe mbanngini hakkeeji maɓɓe ɗi ɓe mbaɗi fuu, Yahayya boo waɗani ɓe *baptisma nder maayo Urdun.
MAT.3.7	Nde Yahayya yi'i *Fariisa'en e *Saduuki'en ɗuuɗɓe e ngara gam mbaɗanee baptisma, sey o vi'i ɓe :
MAT.3.7	— Onon ɓiɓɓe bo'ole ! Moye vi'i on paayon huunƴere wareynde ? 
MAT.3.8	Kuwee kuuɗe kolleyɗe on tuubii. 
MAT.3.9	To' on tammo on kisey halkere gam on taaniraaɓe *Ibraahim. Emi vi'a on : Allah e waawi waylitgo ɗe'e kaaƴe laatina ɗe ɓiɓɓe Ibraahim ! 
MAT.3.10	Ila jo'oni jammbere aagaama gam fe''ugo leɗɗe gada e ɗaɗi ma'aje. Lekki ki rimataa ɓikkon mbooɗkon fuu, ki fe''ete ki feree nder yiite.
MAT.3.11	Miin, emi wa'arana on baptisma e ndiyam gam hollugo on tuubii. Ammaa gareyɗo ɓaawo am ɓurii yam baawɗe. Mi fotaay fiɓtugo koo ɓoggi paɗe ma'ako. Kanko o wa'araney on baptisma e *Ruhu Ceniiɗo e yiite. 
MAT.3.12	Emo jogii jaartirɗum e junngo ma'ako, gam o sennda gawri e nyaande. O hawrita gawri nder beembal ma'ako, ammaa o wulda nyaande ndeen e yiite nge nyifataa.
MAT.3.13	E wakkaci ɗuum Yeesu ivi lesdi *Gaaliili wari maayo Urdun to *Yahayya, gam Yahayya waɗana mo *baptisma. 
MAT.3.14	Ammaa Yahayya jaɓaay, vi'i mo :
MAT.3.14	— Miin haani mbaɗanaa baptisma, ee noye ngardataa to am ?
MAT.3.15	Yeesu toontii mo, vi'i :
MAT.3.15	— Jaɓ ɗum laatoo noon jo'oni, gam noon haani mba'aren ko Allah yiɗi.
MAT.3.15	Ndeen Yahayya jaɓi. 
MAT.3.16	Nde Yeesu waɗanaa baptisma, o vurti ndiyam tan, sey dow omtii o yi'i *Ruhu Allah e jippoyoo nder nanndi foondu e wara dow ma'ako. 
MAT.3.17	Sey ɗum nani voliinde ivoynde gada dow e vi'a :
MAT.3.17	— O'o woni Ɓiyam giɗaaɗo, emi nana belɗum ma'ako.
MAT.4.1	Ɓaawo ma'ajum, sey *Ruhu Ceniiɗo yahari Yeesu nder ladde, gam *Ceyɗaan jarraboo mo. 
MAT.4.2	Yeesu waɗi balɗe arba'iin (40), emo suumii jemma e nyalawma. Sey veelo nanngi mo. 
MAT.4.3	Ndeen Jarrabotooɗo wari vi'i mo :
MAT.4.3	— To a *Ɓiɗɗo Allah kam, vi' ɗe'e kaaƴe laatoo nyaamdu.
MAT.4.4	Yeesu toontii mo vi'i :
MAT.4.4	— Ɗum vinndaama : « Naa e nyaamdu tan neɗɗo foofrata, ammaa gada e koo ndeye voliinde ivoynde to Allah. »
MAT.4.5	Ndeen Ceyɗaan yahari mo si'ire *Urusaliima seniinde, darni mo dow hoore *Wuro Seniingo, 
MAT.4.6	vi'i mo :
MAT.4.6	— To a Ɓiɗɗo Allah kam, diw gada ɗo'o faa lesdi, gam ɗum vinndaama : « Allah no vi'ey malaa'ika'en muuɗum taɓɓo ma, gam to' kosngal maaɗa fii haayre. »
MAT.4.7	Yeesu vi'i mo :
MAT.4.7	— Deftere boo ɓesdii vi'igo : « Ta'a godo Allah Jawmiraawo maaɗa. »
MAT.4.8	Kadimaa Ceyɗaan yahari mo dow vaamnde townde korey, holli mo laamuuji duuniyaaru fuu e darajja ma'aji, 
MAT.4.9	vi'i mo :
MAT.4.9	— Ɗum fuu mi hokkete ɗum, kul a diccake, a sujjidanii yam.
MAT.4.10	Ndeen Yeesu vi'i mo :
MAT.4.10	— Sottu ɗo'o, aan Ceyɗaan ! Gam ɗum vinndaama : « Allah Jawmiraawo maaɗa tan cujjidantaa, kanko tan haani njagganoɗaa. »
MAT.4.11	Wakkaci ma'ajum Ceyɗaan woori mo, ndeen malaa'ika'en ngari to ma'ako kuwani mo.
MAT.4.12	Nde Yeesu nani Yahayya omndaama nder kaso, o vitti lesdi *Gaaliili. 
MAT.4.13	O woori si'ire Najaratu, o yahi o jooɗii si'ire Kafarnahum wonnde fonngo maayo Gaaliili nder senndere lesdi Jaabulon e Naftalim, 
MAT.4.14	gam ɗum hebbina voliinde nde Allah volvi gada e honnduko annabi *Ecaaya biiɗo :
MAT.4.15	« Onon lesɗe Jaabulon e Naftalim
MAT.4.15	lesɗe gonɗe dow laawol jahoowol maayo manngo,
MAT.4.15	hiirna maayo Urdun,
MAT.4.15	Gaaliili, lesdi *yimɓe ɓe laataaki Yahuudu'en :
MAT.4.16	Jooɗiiɓe nder niɓre
MAT.4.16	ngi'ii jayngol manngol.
MAT.4.16	Jooɗiiɓe nder lesdi maayde niɓɓundi,
MAT.4.16	jayngol yaynanii ɓe. »
MAT.4.17	Gada wakkaci ma'ajum, Yeesu fuɗɗi wa'ajingo e vi'a :
MAT.4.17	— Tuubee, gam *laamu Allah ɓadake.
MAT.4.18	Yeesu e tokkiti regorde maayo *Gaaliili, sey o yi'i worɓe ɗiɗo rimdaaɓe, Simon noddirteeɗo Biiturus e minyum Anndaraawus. Eɓe pera nanngirɗum maɓɓe nder maayo, gam ɓe nanngooɓe liƴƴi. 
MAT.4.19	Yeesu vi'i ɓe :
MAT.4.19	— Tokkee yam, mi waɗa on waddeyɓe yimɓe to am.
MAT.4.20	Ɗoon e ɗoon ɓe ngoori nanngirɗum liƴƴi maɓɓe, ɓe tokki mo. 
MAT.4.21	Kadimaa o yahi yeeso, o tawi woɓɓe rimdaaɓe ɗiɗo, ɓiɓɓe Jabadi, Yaakuubu e minyum Yahayya nder akali ndiyam. Kamɓe e baaba maɓɓe Jabadi, eɓe mo''ina nanngirɗum liƴƴi maɓɓe. Sey Yeesu noddi ɓe. 
MAT.4.22	Ɗoon e ɗoon ɓe ngoori akali kiin faa e baaba maɓɓe fuu, ɓe tokki mo.
MAT.4.23	Yeesu yiilii nder lesdi *Gaaliili fuu, emo wa'ajina nder *cuuɗi-ga'ajorɗi maɓɓe, emo anndina habaru *laamu Allah, emo yamɗitina koo iri nguye nyawu e liddaari. 
MAT.4.24	Habaru ma'ako sankitii nder lesdi Siiriya fuu. Ɗum waɗi ga waddango mo woonɓe nyawuuji feere-feere, ɓe nyawu paɗɗe e ɓe ginnaaji e voosɓe. Ɓe fuu o yamɗitini ɓe. 
MAT.4.25	Yimɓe ɗuuɗɓe gada lesdi Gaaliili e bi'eteeɗum ci'e sappo e *Urusaliima e *Yahuudiya e yimɓe lesdi ngonndi fu'una maayo Urdun fuu tokki mo.
MAT.5.1	Nde Yeesu yi'i yimɓe ɗuuɗɓe e kawrita, o ƴeenti dow vaamnde, o jooɗii. Almaajiri'en boo ngari to ma'ako.
MAT.5.2	Sey o fuɗɗi wa'ajingo ɓe, o vi'i :
MAT.5.3	— Barkaa laatanto ɓeen annduɓe no tampuɓe yeeso Allah,
MAT.5.3	gam kamɓe ndonata Laamu ma'ako.
MAT.5.4	Barkaa laatanto voyooɓe,
MAT.5.4	gam Allah no de'itiney ɓerɗe maɓɓe.
MAT.5.5	Barkaa laatanto leestinɓe ko'e mu''en,
MAT.5.5	gam Allah no hokkey ɓe lesdi ndi o waɗani ɓe alkawal.
MAT.5.6	Barkaa laatanto nanooɓe veelo e ɗomka waɗgo aadilaaku,
MAT.5.6	gam Allah no haarney ɓe.
MAT.5.7	Barkaa laatanto yurmeteeɓe yimɓe,
MAT.5.7	gam Allah no yurmoto ɓe.
MAT.5.8	Barkaa laatanto laaɓa ɓerɗe'en,
MAT.5.8	gam ɓe ngi'ey Allah.
MAT.5.9	Barkaa laatanto fotnooɓe yimɓe,
MAT.5.9	gam ɓe noddirte ɓiɓɓe Allah !
MAT.5.10	Barkaa laatanto ɓeen torraaɓe gam huugo goonga,
MAT.5.10	sabu ɓe ndonii laamu Allah.
MAT.5.11	Barkaa laatanto on to yimɓe kuɗii on, torrii on, kaadii on kaadooje kalluɗe gam am. 
MAT.5.12	Nanee belɗum, ngamee, sabu laada ɗuuɗka e reenti on toon dow, gam noon ɓe torrirnoo annabo'en aartuɓe on.
MAT.5.13	— Onon ngoni lamɗam duuniyaaru. Ammaa to ndakam ma'ajam ittake, noye ɗam vo'inirtee ? Ɗam nafataa koo ɗume ! Sey nii ɗam rufee tan, yimɓe njaaɓa ɗam.
MAT.5.14	Onon ngoni jayngol duuniyaaru. Ay, si'ire nyiɓaande dow ƴoolde suuɗataako. 
MAT.5.15	Fitila huɓɓataake ka hippiree tummude, sey nii ka resee dow jo'inirde fitilaaji, gam ka yaynanoo yimɓe wonɓe nder wuro fuu. 
MAT.5.16	Noon haani jayngol mooɗon yaynira yeeso yimɓe, faa ɓe ngi'a kuuɗe booɗɗe ɗe kuwoton, ɓe teddina *Baabiraawo mooɗon gonɗo toon dow asama.
MAT.5.17	— To' on nyum mi warii fiirtugo dookaaji binndaaɗi nder *Tawreeta e defte annabo'en. Mi waraay gam fiirtugo ɗi, ammaa mi warii gam hebbitgo ɗi. 
MAT.5.18	Emi vi'a on goonga : to faa dow e lees re'aay fuu, koo toɓɓel e diidel ɓurngel famɗugo ittataake nder Tawreeta, sey to ɗum fuu ɗum heevii. 
MAT.5.19	Gam ma'ajum, koo moye huulti dooka ɓurka famɗugo nder ɗi'i dookaaji, o ekkitini woɓɓe waɗgo noon, kanko laatotoo ɓurɗo famɗugo nder *laamu Allah. Ammaa koo moye jogii ko dookaaji ɗiin mbi'i, o ekkitini woɓɓe waɗgo noon, kanko laatotoo mawɗo nder laamu Allah. 
MAT.5.20	Emi vi'a on : to aadilaaku mooɗon ɓuraay ngu *moodiɓɓe Tawreeta e *Fariisa'en, on nattataa nder laamu Allah sam.
MAT.5.21	— On nanii ko ɗum vi'inoo maamiraaɓe meeɗen : « To' neɗɗo waɗ war-hoore. Baɗɗo war-hoore fuu no sernante. »
MAT.5.22	Ammaa miin, emi vi'a on : kuunƴanɗo banndum fuu, fotii sernaneego. Kuɗɗo banndum fuu, vi'i mo : « Mehereejo » fotii darneego yeeso cernoowo ɓurɗo mawnugo. Biiɗo banndum : « Bemmbo » boo, fotii nattineego yiite jahannama. 
MAT.5.23	Gam ma'ajum, to a waddii sadaka maaɗa yeeso Allah dow sakkirde, ndeen kiimtiɗaa e woodi ciya potal hakkunde maaɗa e bannda, 
MAT.5.24	sey ndesaa sadaka maaɗa tawo, njahaa nja'afootiroyaa e bannda, ndeen mbittoya cakkaa sadaka maaɗa.
MAT.5.25	To goɗɗo wullake ma, yawɗa siryootir e ma'ako ila on njottaaki to cernoowo. To naa noon, o yaharete to cernoowo, cernoowo boo waɗ maa nder juuɗe poliis, ɓe omndu maa nder kaso. 
MAT.5.26	Emi vi'i maa goonga : a vurtataako toon sam, sey to a biyake ko pe''aneɗaa fuu.
MAT.5.27	— On nanii ko vi'ano : « Ta'a waɗ njeenu ! »
MAT.5.28	Ammaa miin emi vi'a on : daarɗo debbo e daarɗe suuno fuu, o waɗii njeenu nder ɓernde ma'ako. 
MAT.5.29	Gam ma'ajum, to yitere maaɗa nde nyaamo waɗey maa e waɗgo hakke, ɗoof nde, fer to woɗɗi ! Igga cooyaa jokko wo'oto nder ɓanndu maaɗa e nattidaa e jokkule ɓanndu maaɗa fuu nder yiite *jahannama. 
MAT.5.30	To junngo maaɗa nyaamo waɗey maa e waɗgo hakke, tay ngo, fer to woɗɗi. Igga cooyaa jokko wo'oto nder ɓanndu maaɗa e nattidaa e jokkule ɓanndu maaɗa fuu nder yiite jahannama.
MAT.5.31	— Ɗum vi'anooma boo : « Ceerɗo debbo muuɗum fuu, sey hokka mo ɗereewol ceergal. »
MAT.5.32	Ammaa miin emi vi'a on : ceerɗo debbo muuɗum to naa nder njeenu nanngi mo, waɗii mo nder njeenu. Kooviiɗo ceeraaɗo boo waɗii njeenu.
MAT.5.33	— On nanii ko maamiraaɓe meeɗen mbi'ano : « Ta'a huno dow fewre, ammaa hebbin alkawal ngal mbaɗɗaa yeeso Jawmiraawo. »
MAT.5.34	Ammaa miin, emi vi'a on : to' on kuno sam. To' on kunoro asama, gam ɗum jooɗorde Allah, 
MAT.5.35	koo lesdi, gam ɗum jaaɓruɗum kosɗe ma'ako, koo *Urusaliima, gam ɗum si'ire Laamiiɗo mawɗo. 
MAT.5.36	Ta'a hunoro koo laasol hoore maaɗa, gam a waawataa raningo ngol koo ɓalingo ngol. 
MAT.5.37	E haani bolle mooɗon laatoo « ee » koo « a'aa », ɗum heƴii. To ɗum ɓurii ɗoon, ɗum ivii gada e *Ceyɗaan.
MAT.5.38	— On nanii ɗum vi'anooma : « Yitere biyoree yitere, nyiinde biyoree nyiinde. »
MAT.5.39	Ammaa miin, emi vi'a on : to' on mba'ato baɗanɗo on ko halli. To goɗɗo menngake ma haɓawo nyaamo, hokku mo nano maa o menngo. 
MAT.5.40	To goɗɗo yaharii ma yeeso ceri'a gam te'etu maa toggoore, wooran mo faa e ngapaleewol maaɗa boo. 
MAT.5.41	To goɗɗo doolii ma roondanaago ɗum donngal yahago kiloomeetir go'otel, roondana mo ngal faa yahago kiloomeetirji ɗiɗi. 
MAT.5.42	Hokku toriiɗo ma. To goɗɗo ƴamii ma nyamaande, ta'a haɗ mo.
MAT.5.43	— On nanii ɗum vi'anooma : « Ngiɗee banndiraaɓe mooɗon, nganyee wanyɓe on. » 
MAT.5.44	Ammaa miin emi vi'a on : ngiɗee wanywanyɓe mooɗon, ndo'anee torreyɓe on. 
MAT.5.45	To on mbaɗii noon, on laatoto ɓiɓɓe *Baabiraawo mooɗon gonɗo dow asama, puɗneyɗo naange muuɗum dow vooɗɓe e halluɓe, toɓneyɗo iyoonde dow aadali'en e ɓe ngalaa aadilaaku. 
MAT.5.46	To yiɗɓe on tan ngiɗɗon, kaye laada keɓoton ? Koo *jaɓooɓe janngal maa e ngiɗi yiɗɓe ɗum'en ! 
MAT.5.47	To banndiraaɓe mooɗon tan kinnoton, goɗɗum geetum mbaɗɗon naa ? Ay koo heeferɓe maa noon mbaɗata ! 
MAT.5.48	Onon, laatee on timmuɓe kama no Baabiraawo mooɗon gonɗo toon dow asama laatorii timmuɗo.
MAT.6.1	— Kakkilee e huugo kuuɗe mooɗon booɗɗe gam woɓɓe ngi'a, mana on. To on mbaɗii noon, on keɓataa laada yeeso *Baabiraawo mooɗon gonɗo toon dow asama.
MAT.6.2	Gam ma'ajum, to eɗa hokka *sadaka, ta'a jaɓ goɗɗo yi'a, kama no munaafuki'en mbaɗata nder *cuuɗi-ga'ajorɗi e dow ɗate, gam yimɓe ngi'a, mana ɓe. Emi vi'a on goonga : ɓeen waɗooɓe noon ɓe aartii ɓe keɓii laada maɓɓe ɗo'o e duuniyaaru. 
MAT.6.3	Ammaa aan, to eɗa hokka sadaka, to' nano maaɗa anndu ko nyaamo maaɗa hokkata, 
MAT.6.4	sadaka maaɗa laatoo nder suuɗeefi. Ndeen Baabiraawo maaɗa gi'oowo ko mbaɗata nder suuɗeefi, no biyete.
MAT.6.5	— To eɗon mbaɗa *do'aare, to' on mbaɗ kama no munaafuki'en mbaɗata. Kamɓe eɓe ngiɗi do'oraago darnde nder *cuuɗi-ga'ajorɗi e dow ɗate, gam yimɓe fuu ngi'a ɓe. Emi vi'a on goonga : kamɓe ɓe aartii ɓe keɓii laada maɓɓe. 
MAT.6.6	Ammaa aan, nde mbaɗataa do'aare fuu, nattu nder suudu maaɗa, omndaa dammugal, toroɗaa *Baabiraawo maaɗa nder suuɗeefi. Ndeen Baabiraawo maaɗa, gi'oowo ko suuɗii no biyete.
MAT.6.7	To eɗon mbaɗa do'aare, to' on ɗuɗɗin bolle mehereeje, kama no heeferɓe mbaɗata. Eɓe tammii Allah no toontoto ɓe to ɓe ɗuɗɗinii bolle. 
MAT.6.8	To' on ngemmin ɓe, gam Baabiraawo mooɗon e anndi ko ngiɗɗon ila on toraaki mo. 
MAT.6.9	To eɗon mbaɗa do'aare, mbi'ee :
MAT.6.9	Yaa Baabiraawo amin gonɗo toon dow asama,
MAT.6.9	innde maaɗa seniinde teddinee.
MAT.6.10	Laamu maaɗa wara.
MAT.6.10	Ko ngiɗɗaa ɗum waɗee nder duuniyaaru
MAT.6.10	kama noon no ɗum wa'aretee toon dow asama.
MAT.6.11	Hokku min nyaamannde heƴeynde min hannde.
MAT.6.12	Ya'afana min hakkeeji amin,
MAT.6.12	kama noon no min nja'aforantoo waɗaneyɓe min hakkeeji.
MAT.6.13	Ta'a woor min, min ndo''oo nder teppinirgol hakke,
MAT.6.13	ammaa hisnu min e junngo Ganyo.
MAT.6.13	[Gam aan jeyi laamu e baawɗe e manngu fuu faa abadaa. Aamiin.]
MAT.6.14	Gam to on nja'afanake waɗanɓe on layfi, Baabiraawo mooɗon gonɗo toon dow boo no ya'afanto on. 
MAT.6.15	Ammaa to on nja'afanaaki waɗanɓe on layfi, Baabiraawo mooɗon boo ya'afantaako on hakkeeji mooɗon.
MAT.6.16	— To eɗon cuumoo, to' on nyor geese mooɗon kama no munaafuki'en mbaɗata. Kamɓe eɓe nyora geese maɓɓe gam yimɓe annda ɓe suumiiɓe. Emi vi'a on goonga : ɓe aartii ɓe keɓii laada maɓɓe ɗo'o e duuniyaaru, timmi. 
MAT.6.17	Ammaa aan, to eɗa suumoo, sulmu yeeso maaɗa, molmitoɗaa nebbam, 
MAT.6.18	gam to' yimɓe anndu a cuumiiɗo. *Baabiraawo maaɗa mo yi'ataake tan anndi. Baabiraawo gi'oowo ko mbaɗɗaa nder suuɗeefi oon no biyete.
MAT.6.19	— To' on ndesan ko'e mooɗon jawdi nder duuniyaaru, to mooƴu e puunndi mbonnata ndi, to wuyɓe njevata dammuɗe natta ngujja ndi. 
MAT.6.20	Ammaa ndesanee ko'e mooɗon jawdi toon dow asama, to mooƴu e puunndi mbonnataa ndi, to wuyɓe boo mbaawataa natta ngujja ndi. 
MAT.6.21	Gam to jawdi maaɗa woni fuu, toon ɓernde maaɗa wonata.
MAT.6.22	— Gite neɗɗo ngoni fitila ɓanndu muuɗum. To gite maaɗa e njamɗi, ɓanndu maaɗa fuu no woney nder jayngol. 
