JON.1.1	Keriab Yaweb dora Amitaib nono Yona gam ogureaga. 
JON.1.17	Bana Keriab Yawede wade güre erekokai sugurwar Yona enweaga. Bangar Yona nu sida küi, gitweg küi wadeb sibim gam büreaga.
JON.2.1	Yona nu wadeb sibim gam bürüdi, Keriab Yawe nugeabüre sibdibweaga. 
JON.2.2	Nu menüm wageaga, “Keriab Yawe, ye kub kemein, bangar ye nagure yagün, baba na yeb ig edün. Ye kumeg ferengab fib gam bürüdi nagure mürün, nag yeb mereb edün. 
JON.2.3	Nagüde ye fotüyab masyag minigo musun, masyagüde gürenakuti koratauyaga. Na bangab masyag ye kekia binaweaga. 
JON.2.4	Ye menüm wagün, ‘Nag ye kudeiafotun ko, ye fata nagüb maig kegeweregün.’ 
JON.2.5	Masyag ye kekia binaud koratauyar, suka nanagün. Bangar masyagüde gürenakuti koratauyaga. Masyag gamnab yabonde yeb taba dariweaga. 
JON.2.6	Ye masyag nigumob girtorub gürenakutib ginim gam kanün. Ye fib meme kakia gam bürün. Bangeaga ko, na igeab Keriab Yawe na maig ye igain. Ye fib kakia baba ebügadidi mugar omo bürün. 
JON.2.7	Keriab Yawe, ye utungün ba, kumebüregün, bangar ye nagure utungün. Yeb sibdib meme nagüb fata gam taideaga. 
JON.2.8	Ferefinabur dugtaba nugengab gam kunube iruwawaigen baba, nag ebügaden bangar na nirarangawaigabge. 
JON.2.9	Ye nagure mun orudi nagüb yanim sirargabere büregün, bangüdi nagkre bai ferebüregün. Dabadaba gürenakuti ye nagkre kob gürena iferebüregün baba ye bangeregün. Keriab Yawe, nag gürena sin maig kiresigawaigün, bangarbere sin omo burwaigenan.” 
JON.2.10	Bana Keriab Yawede wade wawarbere, kümüna Yona udi gam nirfotuweaga.
JON.3.1	Keriab Yaweb dora maig Yona gam ogureaga. 
JON.3.2	Nu menüm waweaga, “Na siradibe Niniwe fib ere gen baba gam kümne. Kümüna fib ere gam taidabye dora dünür ferefinabur pitaid wanüge.”
JON.3.3	Bangar Yona Keriab Yaweb sube daiud siradüdi Niniwe kümüneaga. Niniwe nu fib erekokayau. Bana fere güre nu meirade kümüna fib ere baira taidebureba, dü küi kenegarbere taideregeaga. 
JON.3.4	Yona nu urigeg toadid kümüna fib ere gam iruweaga. Nub urigeg dü gürena kenegarbere, ferefinabur gam sogi yagüdire mengeaga, “Dogob tug bede fogo (40) dü kuri kenegarbere, Niniwe gürenakuti koigeregeaga.” 
JON.3.5	Niniwe ferefinabur nin Keriabüb doraure kob kainanagen, bangüdi nin menüm wagen, “Sin daba kudigüb. Sige eregeam ferefinabur tugu ugu ferewar tugu, sige gürenakuti korarabüb marsasai tugu kar tugu dagüdi korarab sigeab utungub.” Nin bangen babade nugengab dora daiwen.
JON.3.6	Niniweb erekokayau nu dora baba edidire, nugeab gotogeg kur nama baba ebügadeaga. Bangar nugeab karün nama baba düfotudi korarabüb marsasai dagdüdi kegob gam gotogeaga. 
JON.3.7	Bangar Niniweb erekokayau nugeab ferefinabur gam dora sugurweaga. Nu menüm dorageaga, “Meme dora igeab taba ferewar kiabungab. Nin gürenakuti daba kudigane. Ninag ferefinabur, ninagüngab burmakau sipsip tuguna gürenakuti daba yag nagana. 
JON.3.8	Nin gürenakuti korarabüb marsasai, kar dagübenar ninagüb burmakau, sipsip tuguna dabadaba baba nümnana dagbürüngane. Nin bangüdi Keriabüre sogi sibdibwane. Nin kabia kokogi ebügafotuwane. Ferefinabur kogi fürüngawaigenan baba gürenakuti ebügafotuwane. 
JON.3.9	Sige bangüdarba Keriab nu ututun piruebeagadag, bangar nunur ebügadar, sige kumeregüdige.”
JON.3.10	Bana nugengab kabia kokogi baba ebügaden, bangar Keriab kabia gen baba kegeweaga. Keriab ututun nugeab piruabürudi, kabia kogi gebüre dorageaga baba garge.
JON.4.1	Yona Keriabüb kabia baba kegeudire, kob koigarbere nu magiraweaga. 
JON.4.2	Bangar nu Keriab Yaweüre menüm sibdibweaga, “Keriab Yawe, na yeb dora ede. Ye igeab fib ara ebügadibe gam, nag bangebüregün baba, ye sibamgafotun. Bangar ye gudi Tarsis kümünebüregün. Ye sibam, Keriab nag korarabtuka na niraratuka. Na pirika magiranawaigarge. Kene. Na sinure bata korarabsigawaigün. Na ututun nagüb piruafaigün, bangüdi ferefinabur menmen gen ko, kogi fürüngawaigabge. 
JON.4.3	Bana Keriab Yawe, mugar yeb etob kenegafotuwe. Ye kumurba, baba nama. Ye kumurgegarba, baba namage.” 
JON.4.4	Bana Keriab Yawe maig menüm waweaga, “Yona, nab nunur baba namagünde?”
JON.4.5	Bana Yona fib ere ebügadüdi, kümüna sidamoweg yau gotogeaga. Nu yanafata fürüdid, baba gam gotogüdi büreaga. Nu fib ere gam amdag daba taideregeaga baba kegewebüregeaga. 
JON.4.6	Keriab Yawe dugumob muri güre taidügaberar Yona iwagaferar, sidade mube nub gagweregarge, bangar nu namafanam büreregeaga. Bangar Yona muri babaure ebebearweaga. 
JON.4.7	Bangeaga ko, kiarige fitunana Keriabde sam güre sugurwar, ogura muri baba koigaberar muri baba genangeaga. 
JON.4.8	Bana kuri sida taidarbere, Keriabde kübür sida gag tug sugurwar sidamoweg yau ogureaga. Bangar sidade Yonab taba fugüwarbere ege agüdikuaniniwar fürügaduebüregeaga. Bana Yona menüm utungeaga, “Ye kumurba, ba nama. Ye kumurgegarba, ba namage.”
JON.4.9	Bangar Keriab Yona menüm waweaga, “Na muri meme kumarbere na nunurgün. Nab nunur baba namagünde?” Bangar Yona dora maig menüm waweaga, “Iyo, yeb nunur ba nama. Ye magira erekokai siyarbere kumeg utundün.” 
JON.4.10	Bangar Keriab Yawe menüm nu waweaga, “Gitweg gürena gam muri meme foudi erekokaigeaga, gitweg güre gam nu maig kumeaga. Nure na funai fanam dabge, nade nu idawab foudi erekokaigarge. Bangeaga ko, na daba fanamere babaure korarabneaga. 
JON.4.11	Ige Niniweure korarabyaga. Fib baba nu erekokai, ferefinabur mabünge, baba ferefinabur kabia nama tugu kogi tugu nin sibamgedge, yanim ninib 120,000 emegerweaga. Bana burmakau tugu mabünge.”
LUK.1.2	Ferewar nugengab egede daba daba omogamnana tataigar kegewenwaib, baba ferewarüngab dora daiwen. Baba ferewar Keriabüb dorab saina ferewar sibe bürüdi, doraman baba, wasigen. 
LUK.1.3	Bangar ye tugu, doraman meme feiebüregün, bangüdi na gam sugurur ogureregeaga. Ye baba daba daba gürenakutib ginimure egimenana fünaiudi idadau totogünwaib. Mügar ye baba daba daba tataigen baba sibenana surur fein. 
LUK.1.4	Dora sarigabürünen baba, baba gürenakuti kainana. Na ninaidiba, idadau sibamgeregün.
LUK.1.6	Nugeküre Keriabüb ege gam idadau büren. Bangar nugeküre Erekokaib kabia gürenakuti tugu dora gürenakuti tugu daiwafaigen, bangar nugeküre ege nub gam menmen kene büren. 
LUK.1.7	Bangeagako, nugeküre mogoi kene, amure, Elisabet nu kedemai. Bangar nugeküre goyam abüdigen.
LUK.1.9	Bangar nini Erekokaib kobegegi fere wonide, kumaub bai kebur kuri nama tugu ferebeaga, baba fere fitawebüre ai magi epürawen. Bangar nini baba epüra gamde Sekaraia kaiwen, bangar nu bai ferebüre iruweaga. 
LUK.1.10	Baba bai fereg sese gam, ferefinabur epüra kedeb fata obgoime gurudi bürüdi sibdibwa büren. 
LUK.1.11	Bana bangar Erekokai Keriabüb dora dugurewegi fere güre Sekaraia gam taideaga. Bangüdi kumaub kebur kuri nama tugub, bai feregib kurub kube namayau biboudi büreaga. 
LUK.1.12	Sekaraia Keriabüb dora dugurewegi fere kegeudi, tergüdi kimigeaga. 
LUK.1.13	Bangeagako, Keriabüb dora dugurewegi ferede menüm waweaga, “Sekaraia, na kimigegena. Keriab nab sibdib edfotuweaga. Fian Elisabet nono sinoyeregeaga. Bangar na nub yanim Jon yanübaue. 
LUK.1.14	Bangar nab kob nama bürar nag ebebearweregün. Bangar ferefinabur epüra nono baba taidegi gam ebebearweregen. 
LUK.1.15	Amure, nu Erekokaib ege gam yanim erekokai deregeaga. Nu wain mum, kida yag tugu neregarge. Nu anab sibim gam büreaga baba sese gam, Etob Kedebüde korobaweaga. 
LUK.1.16	Nude bangar Israel ferefinabur epüra kob pirudi, nugengab Erekokai Keriab gam kümüneregen. 
LUK.1.17	Nu Elaijab kabia tugu, sogi tugu düdi, nuge kese agfürüdi kümüneregeaga, bangarie Erekokai kuri daiweregeaga. Nude emnügmana tugu mogoi toi tugu kob gürena gam difürüngeregeaga. Bangüdi dora biregawaigen baba ferewarüngab ututun idabereregeaga, bangar fere namab ututun sibe büreregen. Bangar ferewar ekotagaberar, Erekokai ogureregeaga baba, momoudi büreregen.”
LUK.1.20	Bana ede. Na yeb dora kob kainanagabge babaure, mügar nab sube gütügar dorageregabge, kümüna baba daba daba gürenakuti taifotuwarie. Dora yeb meme nugeab sese gamie taideregeaga.”
LUK.1.21	Kedeb fata gam amdag daba taidar, Sekaraia bata büreaga. Bangar ferefinabur dagodaiudi, ututun toitoiudi büren. 
LUK.1.22	Bangar kuri füraboudi, nini gam doragegi dirugweaga. Bangar nini sibamgen, Keriabüb fatagoime daba aranümdag kegeweaga. Nugeab kube gamde gürena nini keab dorageaga. Amure, nugeab sube baba gütüweaga. 
LUK.1.23	Kuri, Sekaraia nugeab fünaiwegi sese kenegarbere, nugeab fib gam maigüdi kümüneaga. 
LUK.1.24	Bangar kuri fia Elisabet mube kub tugu gar, edina taba tugu iwagüdi büreaga. Elisabet menüm wageaga, 
LUK.1.25	“Egime ye mogoi kene gar maiagün. Bangeagako, Erekokaide ye nirarayeaga. Babaure, mügar ye mube kub tugu, bangar babade yeb maia, ferefinaburüngab ege gam kenegafotuweregeaga.”
LUK.1.26	Elisabet mube kub tugub edina kubete gam, Keriabüde nugeab dora dugurewegi fere Gebriel sugurwar, Nasaret kümüneaga. Nasaret nu Galili distrik büreaga. 
LUK.1.27	Momugo güre Devitüb gingamnab fere güre debüre dora idafotuwenwaib baba gam kümüneaga, yanim nub Josep. Momugo babab yanim Maria. 
LUK.1.28	Bana Gebriel nu gam kümünadi menüm waweaga, “Momugo, na büründe? Erekokai naküre bürüdi, unun dünüdi tauneaga.” 
LUK.1.29	Maria dora baba edüdi, tergüdi menüm utungeaga, “Dora meme aranüm?”
LUK.1.30	Bangar Keriabüb dora dugurewegi ferede menüm waweaga, “Maria, na kimigegena. Keriab nu kob düneaga. 
LUK.1.31	Ede. Na mube kub kaiudi nono güre sinoyeregün. Bangar nub yanim Jisas yanübaue. 
LUK.1.32	Nu eregeam büreregeaga. Bangar Keriab Kekia Asaub Nono güdi yanübaweregen. Bangar Erekokai Keriabüde, oyebeb Devit sibe erekokayau difereregeaga. 
LUK.1.33	Nu Jekopüb gin toib erekokayau tüpür büreregeaga. Bangar nub koroba baba, kenegeregarge.”
LUK.1.34	Bangar Mariade Keriabüb dora dugurewegi fere menüm totoweaga, “Baba daba aranüm taidebeaga? Ye fere güre küre kinürge.”
LUK.1.36	“Ede. Anin fanam Elisabet abüdigfotuweagako, nu mube kub tugu gar nono sinoyeregeaga. Egime mogoi sinoyafaigargegenko, mügar nu mube kub tugu, edina nub kubete tugu kenegeaga. 
LUK.1.37	Am daba güre Keriabüde gegi dirugweregarge.”
LUK.1.38	Bangar Mariade menüm wageaga, “Edün. Ye Erekokaib sarua finege. Nu ye gam nag wagün sibe geregeaga.” Bangar Keriabüb dora dugurewegi fere nu uriaudi kümüneaga.
LUK.1.39	Baba sese gam Maria pirikanana siradüdi, Judia distriküb gir toi gam bag komeaga. Bangüdi fib ere güre bag büreaga baba gam kümüneaga. 
LUK.1.40	Bangüdi Sekaraiab fata gam iruwaboudi, Elisabet ferebereweaga. 
LUK.1.41	Elisabet Mariab ferebere baba edar, nono Elisabetüb sibim gam büreaga baba kutuweaga. Bangar Etob Kedeb Elisabet korobaweaga. 
LUK.1.42	Bangar Elisabet sogsogi igyogüdire wageaga, “Keriabüde unun düneaga, baba unun finabur gürekoi dünügeaga baba emegerweaga. Bangar nono nagüb sibim gam büregeaga baba, nu tugu Keriabüb unun deaga. 
LUK.1.43	Ye won gar, igeab Erekokaib ana ye gam ogureaga? Ye finege tün tugubge. 
LUK.1.44	Edün. Kagub yeb nab ferebere edegi sese gam, nono yeb sibim gam büreaga baba, nu tugu ebebearudi kutuweaga. 
LUK.1.45	Na Erekokai nugede waneaga baba sibenana geregeaga, babaure na kob kainanagün, babaure na ebebearue.”
LUK.1.46	“Kob yeb
LUK.1.46	Erekokaib yanim
LUK.1.46	siradgabereaga.
LUK.1.47	Bangar kob yeb
LUK.1.47	Keriabure ebebearweaga,
LUK.1.47	nu ye Maig Igayegib Fere.
LUK.1.48	ye ugu finegeko,
LUK.1.48	nu ye kegeidi
LUK.1.48	nirarayeaga.
LUK.1.48	Mügar, kuridaka
LUK.1.48	ferefinabur gürenakuti
LUK.1.48	Keriabüde ebebear erekokai
LUK.1.48	siagagüdi, dorageregen.
LUK.1.49	nu ye sagiebüre
LUK.1.49	daba amdag sibe banüm geaga,
LUK.1.49	bangar yanim nub kedeb büreregeaga.
LUK.1.50	nirarangafaigeaga.
LUK.1.50	Ferefinabur mügar büren tugu,
LUK.1.50	kuri tataigeregen tugu
LUK.1.50	tüpür babanüm gürena geregeaga.
LUK.1.51	gugub geaganwaib,
LUK.1.51	fere simai sige gürena agferenangüdi
LUK.1.51	nugengab yanim siradgabürügafaigen baba,
LUK.1.51	kudengar sarawen.
LUK.1.52	nugengab gotogegi kur nama gam kudengüdi,
LUK.1.52	fere yanim kenewar baba,
LUK.1.52	yanim ere dünügeaga.
LUK.1.53	daba daba nama nama epüra
LUK.1.53	dünügar fugongeaga.
LUK.1.53	Bangüdi fere daba daba epürage tugu baba,
LUK.1.53	kudengar uguna kümünen.
LUK.1.54+LUK.1.55	Abraham dora duweaga,
LUK.1.54+LUK.1.55	baba tugu Abraham nugeab matanab mana
LUK.1.54+LUK.1.55	gürenakuti gam
LUK.1.54+LUK.1.55	tugu dora dünügeaga.
LUK.1.54+LUK.1.55	Baba dora wanügafotuweaganwaib baba,
LUK.1.54+LUK.1.55	tüpür tüpür büreregeaga.
LUK.1.54+LUK.1.55	Baba dora Keriab nugeab utun gamnana
LUK.1.54+LUK.1.55	bürar nirarangeaga.
LUK.1.54+LUK.1.55	Nu namana niraragüdi Israelwar
LUK.1.54+LUK.1.55	sagüngeaga.
LUK.1.54+LUK.1.55	Israelwar nini Keriab
LUK.1.54+LUK.1.55	nugeab sarua ferefinabur.”
LUK.1.56	Maria Elisabet küre edina küidag banüm büreaga, bangüdie nugeab fib gam maigüdi kümüneaga.
LUK.1.57	Elisabet mogoi sinoyegib sese taidar, nono sinoyeaga. 
LUK.1.58	Elisabet nugeab fib büreabmana tugu, nugeab giniabmana tugu, Erekokaide Elisabet nuge niraraweaga baba doraman edüdi, Elisabet keab ebebearwen.
LUK.1.60	Bangeagako, nonob anade wageaga, “Kene. Yanim nub Jon yanübaub.” 
LUK.1.61	Bangar wawen, “Ninagüb ginyanügmana güre yanim babanüm kene.” 
LUK.1.62	Bangar eme kubede gürena totowen, nu nono am yanim duwebüregeaga. 
LUK.1.63	Wanügar taper mara güre düdi oguredi dora feieregeaga, bangedi dora menüm feiaga, “Nub yanim Jon.” Bangar ututun toitoiwen. 
LUK.1.64	Bangar pirikanana Sekaraiab sube maig taiboyeaga. Bangar doragüdi Keriabüb yanim siradgabereaga. 
LUK.1.65	Bangar nugeab fib büreabmana gürenakuti, baba daba adab taideaga baba kegeudi kimigen. Bangar baba daba daba gürenakutib doraman baba saraudi fib gürenakuti, Judia distriküb gir toi gam büren bag kümüneaga. 
LUK.1.66	Fere gürenakuti doraman baba edüdi, ututun toitoiudi menüm totogen, “Kuri nono baba fere aranüm taidebeaga?” Nin sibam, Erekokaib sogi nuküre büreaga.
LUK.1.68	“Erekokaib yanim siradgaberegi, Israelüb Keriab. Nude oguradi sige nugeab ferefinabur sagsigüdi maig igaisigeaga. 
LUK.1.69	Sige Maig Igaisigegi Fere güre sogi tugu, Erekokaide Devitüb gin gam, taibereaga. Devit nu Erekokai nugeab saina mogoi. 
LUK.1.70	Nuge egimenana nugeab kiari ferewar dora dünügar doragafotuwenwaib sibe. 
LUK.1.71	Sige sigeab karauyasigmanangab kube gam tugu, sigeure kob koigafaigen baba ferewarüngab kube gam tugu, nugede maig igaisigeregeagagüdi wageaga. 
LUK.1.72	Nuge sigeab matuwasigmana nirarangüdi sagüngeaga. Babaure nuge egime dora idafotugeaganwaib baba, nugeab utun gamnana büreaga. 
LUK.1.73	Nuge sigeab matuwasig Abraham gam kürüna kekiagüdi wageaga, babaure nuge egime wageaga sibe, mügar sige gam gebüregeaga. 
LUK.1.74	Nu sige maig karaungab kube gam igaisigebüregeaga, bangar sige nugeab fünai düdi kimigegige. 
LUK.1.75	Babaure sige sese gürenakuti omo bürenan baba, nugeab ege gam kabia surur surur gam urigegi, bangar nuge kabia nama nama nimeweaga baba, sige gam goberegeaga. 
LUK.1.76	Nono, na ba, kuri Keriab Kekia Asaub Kiari fere güdi yanübaneregen. Nade Erekokai nugeab erekobo daiebüre agfereregün. 
LUK.1.77+LUK.1.78+LUK.1.79	Nade nugeab ferefinabur sarigabürüngab, nugeab nirara erekokai baba sibamgeregen. Keriab nugengab menmen unaigafotudi maig igaingebüregeaga. Fere gituwegi gam büren tugu, fere kumegure kimigen gam tugu, baba meram dünügebüre fib nama gamnab suboyegi sugurwar sige gam ogureregeaga. Nuge sigeab kebe sururgar, sige kob ebebear erekobo gam urigegi.”
LUK.2.1	Baba sese gam Sisar Ogastusde ferefinabur gürenakutingab yanim degi kabia güre difereaga. 
LUK.2.2	Kübüdim bera taugegi fere Ogastusde, yanim ninib deaga. Baba fünai omo mügarie taideaga, baba sese gam Kwirinius nu Siriawarüngab kübüdim bera taugegi agferegi büreaga. 
LUK.2.3	Babaure ferefinabur gürenakuti nugengab fib mudimere gagam kümünedi, kübüdim bera taugegide yanim ninib deregeaga. 
LUK.2.4	Josep nu Devitüb gingamnab, babaure Nasaret ebgadeaga. Nasaret nu Galili distrik büreaga. Bangüdi Devitüb fib ere baba gam kümüneaga. Baba fib ereb yanim Betlehem. Nu Judia distrik büreaga. 
LUK.2.5	Nu finege nuge duwebüre dora idafotuwenwaib babaküre kümünedi, kübüdim bera taugegide nugeküreb yanim deregeaga. Baba sese gam Maria nu mube kub tugu. 
LUK.2.6	Nugeküre Betlehem bag bürediberenana Maria mogoi sinoyegi sese taideaga. 
LUK.2.7	Bangar nono keman sinoyeaga. Bangüdi ude gamde korotaudi bulmakau toib au fade gam kinmegabereaga, amure guruwegi fata gobeaga.
LUK.2.8	Baba gam sipsip taugegi ferewar gürekoi, Betlehem fib ere obgoira bürüdi, utumnonou nugengab sipsip toi taugen.
LUK.2.9	Bangarbere, Erekokaib dora dugurewegi nini gam ogureaga, bangar Erekokaide nugeab meram ere güre gar taidüdi koingeaga, bangar nini kürüna kimigen. 
LUK.2.10	Bangeagako, Keriabüb dora dugurewegide menüm wangeaga, “Nini kimigagana. Edane. Ye nini gam dora nama meme düdi oguran meme, ferefinabur gürenakuti ebebearwegib dora nama. 
LUK.2.11	Baba dü gam Devitüb fib ere gam, finege güre mogoi sinoyeaga. Baba nono, ninag gürenakuti maig igaingeregeaga. Nu Erekokai, nu fere Keriabüde nugeab ferefinabur maig igaingegib sugurweaga. 
LUK.2.12	Babaure, nini nure menüm sibamgeregenan. Nono güre ude gamde korotaudi, bulmakau toib au fade gam kinimeagabereregen baba, nini kegewane.” 
LUK.2.13	Keriabüb dora dugurewegi doragafotuwarbere, pirikanana Keriabüb fib nama gamnab dora dugurewegiwar epüra namana tataigüdi Keriabüb dora dugurewegi baba keab büren. Bangüdi Keriabüb yanim menüm siradgaberen, 
LUK.2.14	“Keriab kekia asau bürfaigeaga babab yanim siradgaberegi. Bangar kübüdim gamnab ferefinabur ninib kob dab fanam büreregeaga. Bangar Keriab ninure kob ebebearweaga.”
LUK.2.15	Keriabüb dora dugurewegiwar uriangüdi Keriabüb fib nama gam komafotuwen. Bana sipsip taugegi ferewar menüm wagen, “Bana, Betlehem kümüna baba daba taideaga baba kegewegi. Baba Erekokaide wasigeaganwaib.” 
LUK.2.16	Bana nini pirikanana kümüna Mariaie Josepküre büren baba kegewen, nono nu bulmakau toib au fade gam kinbüreaga. 
LUK.2.17	Nini kegeafotudi, Keriabüb dora dugurewegide nono babaure wangeaganwaib, baba daba dabab doraman pitoien. 
LUK.2.18	Bangar fere gürenakuti sipsip taugegi ferewarde doragen baba edüdi, babaure ututun toitoiwen. 
LUK.2.19	Bangeagako, Maria nu dora baba gürenakuti nugeab kob gam difürüdi, utungüdi büreaga. 
LUK.2.20	Bangar sipsip taugegi ferewar maigüdi kümünad kümünadi, Keriabüb yanim siradgaberen. Nini daba daba gürenakuti edüdi kegewenwaib babaure, Keriabure ebebearwen. Daba daba Keriabüb dora dugurewegibüde wangeaga baba sibe taideaga.
LUK.2.23	Nugeküre dora Erekokaib kabia gam menüm büreaga baba daiwebüregen, “Nono keman anade sinoyarba, baba mogoi toi Erekokai duwane.” 
LUK.2.24	Nugeküre Erekokaib kabia wageaga sibe, bai feregi ai toi tuguna düdi kümünen, “Manab akürede, imid sogub aküre.”
LUK.2.26	Etob Kedebüde pirika kumeregabgegüdi banüm wafotuweaganwaib. Nu Erekokaide fere güre sugurwar ogura nugeab ferefinabur maig igaingebüre dorageaganwaib baba fere kegeudie kumeregeaga. 
LUK.2.27	Bangar nu Etob Kedebüde siradgaberar Keriabüb kedeb fatab gübroime iruweaga. Bangar Jisas nogub emeanade igaiudi oguredi, kabiade wageaga sibe nu gam kabia gebüre. 
LUK.2.28	Bangar Simeonde düdi debetaweaga, bangüdi Keriabüb yanim menüm siradgabereaga,
LUK.2.29	babaure na mügar euiab kümünai,
LUK.2.29	bangar nag egime wagün sibe,
LUK.2.29	kob yeb dab fanam büreregeaga.
LUK.2.30	igeab egede kegeafotun.
LUK.2.31	Nag ferefinabur gürenakutingab ege gam
LUK.2.31	baba ekotagabürün.
LUK.2.32	adab gamnabwar meram dünügeregeaga.
LUK.2.32	Bangar nagüb ferefinabur Israelwar
LUK.2.32	yanim ere dünügeregeaga.”
LUK.2.33	Jisasüb emeana, nugeküre dora Simeonde nono gam dorageaga baba edüdi, nugeküre ututun toitoiwen. 
LUK.2.34	Bangar Simeonde unun dünügüdi, nonob ana Maria menüm waweaga, “Edün. Nono meme Keriabüde sugurweaga. Babaure, nude gar Israelwar epüra nure kob kainanageregen tugu, epüra nure kob kainanageregedige. Nu bera güre sibe büreregeaga, bangar fere epürade nenweregen. 
LUK.2.35	Babaure fere epüra ninib ututun iwagegi baba ekeba taideregeaga. Bangar nag tugu, keime asaude nagüb gama duwaiwegi sibe geregeaga.”
LUK.2.36	Kiari finege güre büreaga, nub yanim Ana. Nu Fanuelrüb momugo, Aserüb gingamnab. Nu gürenakuti abüdigeaga. Nu egime kam düdi kab küre mene nonob tugu büreaganwaib. 
LUK.2.37	Bangarie kuri kab kumar uguna büreaga. Mügar nu kümdan 84 tugu. Ana nu Keriabüb kedeb fatab kudumege ebgadügafaigarge. Nu daba kudigafaigüdi sibdibüdi bürfaigeaga, nu Keriabüb fünai sida tugu utumnonou tugu güfaigeaga. 
LUK.2.38	Baba sese gam, nu tugu nono iroto oguradi, Keriabure esegeaga. Bangüdi ferefinabur gürenakuti, Keriabüde Jerusalemwar maig igaingeregeaga baba dagowen gam, nono babab dora pitoiaga.
LUK.2.40	Bangar nono nu adagüdi sogideaga. Nu sibam nama nama tugu, bangar Keriabüb nirara nu gam büreaga.
LUK.2.42	Jisas nu mene gürena bede fogo aküre tugu kenegarbere, dü ere babab kabia daiudi Jerusalem kümünen. 
LUK.2.43	Kunube iruwegi dü ere ere babab fünai gürenakuti kenegarbere maigüdi fibigo kümünen. Bangeagako, omo mogoi Jisas nu Jerusalemnana büreaga, emeana nono bürdaiweaga baba sibamgedige. 
LUK.2.44	Nugeküre nono ferefinabur gürewar keab dag, urigeagagüdi banüm utungen. Bangüdi nugeküre kümünen baba, dü gürena kenegeaga. Bangar kuri nugeküre nugeab giniabmana kodigo tugu, nugeab büreabmana kodigo tugu fitaudi tuwen. 
LUK.2.45	Nugeküre fitakakawenko kegewedige. Bangar nugeküre fitawebüre maig maigüdi Jerusalem kümünen baba, dü aküre kenegeaga. 
LUK.2.46	Dü küi gamie, nugeküre nono Keriabüb fatab gübroime büreaga baba kegewen. Nu sibam sarigegi ferewar kodigo gotogüdi büreaga. Bangüdi totongebürewadi dora ninib edüdi büreaga.
