MAT.1.1	Иисус Христостыҥ ада-ӧбӧкӧлӧри. Ол Давид ле Авраамныҥ калдыгы.
MAT.1.16	Иаковтоҥ Марияныҥ эш-нӧкӧри Иосиф туулган, Мариядаҥ Христос дейтен Иисус туулган.
MAT.1.17	Анайдарда, Авраамнаҥ ала Давидке јетире бастыразы он тӧрт ӱйе; Давидтеҥ ала Вавилонго кӧчӱргенине јетире база он тӧрт ӱйе; Вавилонго кӧчӱргенинеҥ ала Христоско јетире база он тӧрт ӱйе.
MAT.1.18	Иисус Христостыҥ туулганы мындый болгон. Оныҥ энезин, Марияны, Иосифле кол алыштырып койгондор, је олор биригерге јеткелекте, Мария Агару Тыннаҥ барланып калган. 
MAT.1.19	Марияныҥ эш-нӧкӧри Иосиф, ак санаалу кижи бойы, оны улус алдына уйатка тӱжӱрбейин деп, јажытту јандырып ийерге сананган. 
MAT.1.20	Је анайда сананып аларда, ого тӱш јеринде Кайраканныҥ ангели кӧрӱнип, мынайда айткан:
MAT.1.20	– Давид уулы Иосиф! Мария ӱйиҥди бойыҥда јӱргӱзерге коркыба. Оныҥ бойында табылганы – Агару Тыннаҥ. 
MAT.1.21	Табары уул болор, Оны Иисус
MAT.1.22	Кайраканныҥ јарлыкчы ажыра айтканы бӱтсин деп, ончозы мынайда болгоны бу. Ол айткан: 
MAT.1.23	 Еммануил дегени – «Бисле кожо Кудай» дегени.
MAT.1.24	Иосиф уйкудаҥ турала, ого Кайраканныҥ ангели јакарганыла эдип, ӱйин бойында јӱргӱсти. 
MAT.1.25	Мария тун уул бала тапканча, оныла бир тӧжӧккӧ јатпады. Иосиф баланы Иисус деп адады.
MAT.2.1	Иисус Иудей јериндеги Вифлеем деп калада Ирод-каан тужында туулган. Је бат, кӱнчыгыштаҥ Иерусалимге судурчылар келип, айттылар:
MAT.2.2	– Иудейлердиҥ јаҥы туулган кааны кайда болотон? Кӱнчыгышта Оныҥ јылдызын кӧрдибис, Ого бажырарга келдибис.
MAT.2.3	Мыны угала, Ирод-каан тӱймей берди, оныла кожо бастыра Иерусалим тӱймеди. 
MAT.2.4	Калыктыҥ ончо улу абыстарын ла бичикчилерин јууп алып,
MAT.2.4	– Христос кайда чыгатан эди? – деп, сурап турды.
MAT.2.5	Олор айттылар:
MAT.2.5	– Иудей јериндеги Вифлеемде, нениҥ учун дезе јарлыкчы мынайда бичиген: 
MAT.2.7	Айдарда, Ирод судурчыларды бойына јажытту кычырып, јылдыстыҥ кӧрӱнген ӧйин сурап, угуп алала, 
MAT.2.8	олорды Вифлеемге ийип, айтты:
MAT.2.8	– Барып, бала керегинде быжулап сурап угугар. Таап алзагар, меге тил јетиригер, мен де Ого барып бажырайын.
MAT.2.9	Судурчылар каанныҥ айтканын тыҥдап угала, јӱрӱп ийдилер. Је бат, кӱнчыгышта кӧргӧн јылдызы олордыҥ ӱстинде ичкери барып јатты. Учында бала болгон јердиҥ ӱстине једеле, токтой берди. 
MAT.2.10	Олор јылдысты кӧрӧлӧ, улу сӱӱнчиле сӱӱндилер. 
MAT.2.11	Ӱйге кирип, баланы ла Оныҥ энезин, Марияны, кӧрдилер. Кӧҥкӧрӧ тӱжӱп, балага бажырдылар. Оноҥ эрјинелӱ кайырчактарын ачып, Ого алтын, ладан, база смирна сыйладылар. 
MAT.2.12	Иродко бурылбагар деп, олорго тӱш јеринде Кудайдаҥ айдылганыла, јери-јуртына ӧскӧ јолло јанып ийдилер.
MAT.2.13	Судурчылар јӱре берерде, Кайраканныҥ ангели Иосифке тӱш јеринде кӧрӱнип, айтты:
MAT.2.13	– Тур, баланы ла Оныҥ энезин алганча, Египет јерине ырбап бар. Сеге айтканчам, анда јӱр. Ирод баланы ӧлтӱрейин деп, бедиреерге умзанып јат.
MAT.2.14	Иосиф туруп, тӱнде баланы ла Оныҥ энезин алганча, Египет јаар јӱре берди. 
MAT.2.15	Анда Ирод јада калганча јӱрди. Кайраканныҥ јарлыкчы ажыра айтканы бӱтсин деп, мынайда болгоны бу. Ол айткан: 
MAT.2.16	Судурчыларга мекеледип койгонын кӧрӧлӧ, Ирод сӱрекей чугулданды. Олордоҥ сурап уккан ӧйдӧ Вифлеемде ле оны эбире јерлерде туулган эки јашту ла оноҥ кичӱ балдарды ончозын ӧлтӱрзин деп јакарды. 
MAT.2.17	Анайып, Иеремия деген јарлыкчы ажыра айдылганы бӱтти. Ол айткан:
MAT.2.19	Ирод јада калган соҥында Кайраканныҥ ангели Египеттеги Иосифке тӱш јеринде кӧрӱнип, 
MAT.2.20	айтты:
MAT.2.20	– Тур, баланы ла Оныҥ энезин алганча, Израиль јерине јан. Баланыҥ тынын кыйарга сананган улус ӧлди.
MAT.2.21	Иосиф туруп, баланы ла Оныҥ энезин алганча, Израиль јерине јанды. 
MAT.2.22	Иудей јеринде Иродтыҥ ордына оныҥ уулы, Архелай, каан болуп турганын угала, оноор барарга коркыды. Је тӱш јеринде айдылганыла, Галилей јерине барды. 
MAT.2.23	Ого келип, Назарет дейтен калада јуртай берди. Анайып, Оныҥ ады Назорей болор деп, јарлыкчылар ажыра айдылганы бӱтти.
MAT.3.1	Ол кӱндерде Крестеечи Иоанн келип, Иудейдиҥ куба чӧлинде јарлыктап, 
MAT.3.2	айдып јӱрген:
MAT.3.2	– Кинчектеригерди алынып, Кудайга баштаныгар! Теҥери Каандыгы јууктап келди!
MAT.3.3	Исаия јарлыкчыныҥ мынайда айткан кижизи бу болгон: 
MAT.3.4	Иоанн бойы дезе тӧӧ тӱгинеҥ эткен кийимдӱ болгон, белин тере курла курчанган, јиген ажы аспан ла јер адаруныҥ балы. 
MAT.3.5	Ол тушта Иерусалимниҥ улузы, Иудей ичинде, Иорданды јакалай јуртаган ончо улус ого келип, 
MAT.3.6	кинчектерин ачып, Иордан-сууга кирип, Иоаннга креске тӱжӱп тургандар. 
MAT.3.7	Креске тӱжерге ого кӧп фарисейлер ле саддукейлер келип јатканын кӧрӧлӧ, олорго айтты:
MAT.3.7	– Јыланныҥ ач-ӱрени! Кудайдыҥ келер чугулынаҥ кыйыжарыгар деп, слерге кем айтты? 
MAT.3.8	Чындаптаҥ кинчегерди алынып, Кудайга баштанганыгарды керекте кӧргӱзигер. 
MAT.3.9	«Бистиҥ адабыс Авраам» – деп, ичигерде айдарга сананбагар. Айдып турум слерге: Кудай бу таштардаҥ Авраамга балдар јайап берер аргалу. 
MAT.3.10	Малта да агаштардыҥ тазылында јадыры: јакшы јиилек бӱтпес агашты кезип, отко таштайтан. 
MAT.3.11	Кинчегеерди таштаганаардыҥ темдеги эдип, мен слерди суула крестеп јадым, је кийнимнеҥ келип јатканы менеҥ кӱчтӱ; мен Оныҥ ӧдӱгин де тудунып апарарга турбазым. Ол слерди Агару Тынла, отло крестеер. 
MAT.3.12	Оныҥ кӱреги колында: Ол идиргенин арутап, буудайын алмарына урар, саламын дезе, ӧчпӧс отко таштап, ӧртӧӧр.
MAT.3.13	Ол тушта Иоаннга креске тӱжерге Галилей јеринеҥ Иорданга Иисус келди. 
MAT.3.14	Иоанн дезе Оны токтодып, айтты:
MAT.3.14	– Сен мени креске тӱжӱрер учурлу, Сен дезе меге келдиҥ бе?
MAT.3.15	Је Иисус ого каруу јандырды:
MAT.3.15	– Эмди токтотпо. Мынызыла кандый ла чынды бӱдӱрип койорыс.
MAT.3.15	Айдарда, Иоанн јаратты.
MAT.3.16	Иисус креске тӱжеле, ол тарый суудаҥ чыгып келерде, Ого теҥери ачылды. Ол кӱӱле чилеп Ого тӱжӱп келеткен Кудайдыҥ Тынын кӧрӱп ийди. 
MAT.3.17	Теҥеридеҥ ӱн чыкты:
MAT.3.17	– Бу Мениҥ сӱӱген Уулым, Оныҥ Бойында Мениҥ јакшылыкту табым.
MAT.4.1	Мыныҥ соҥында Тын Иисусты кӧрмӧскӧ ченедерге, куба чӧлгӧ апарды. 
MAT.4.2	Иисус тӧртӧн тӱш ле тӧртӧн тӱн орозо тудуп, аштай берди. 
MAT.4.3	Ченеечи Ого базып келеле, айтты:
MAT.4.3	– Сен Кудайдыҥ Уулы болзоҥ, бу таштарга калаш боло берзин деп айт.
MAT.4.4	Је Ол каруу јандырды:
MAT.4.4	– Бичилген сӧс бар: 
MAT.4.5	Айдарда, кӧрмӧс Оны агару калага апарып, байзыҥныҥ ӱстине тургузала, 
MAT.4.6	айтты:
MAT.4.6	– Сен Кудайдыҥ Уулы болзоҥ, тӧмӧн калып ий. Бичилген јок беди:
MAT.4.7	– База бичигени бар: 
MAT.4.8	Кӧрмӧс Оны база бир сӱрекей бийик кырга апарала, телекейдиҥ ончо каандыктарын ла олордыҥ магын кӧргӱзип, 
MAT.4.9	айтты:
MAT.4.9	– Меге кӧҥкӧрӧ тӱжӱп бажырар болзоҥ, мыныҥ ончозын Сеге берерим.
MAT.4.10	– Менеҥ кеде тайыл, сатана! – деп, Иисус айтты. – Бичилген јок беди: 
MAT.4.11	Мыныҥ соҥында кӧрмӧс Иисустаҥ јӱре берди. Је бат, ангелдер келип, Ого јалчы болуп јӱрдилер.
MAT.4.12	Иоаннды тӱрмелеп койгонын угала, Иисус Галилей јерине јӱре берди. 
MAT.4.13	Назареттеҥ чыгала, талай јаказындагы Капернаумга келип јӱрди. Ол Завулон ло Неффалимниҥ јери болгон. 
MAT.4.14	Исаия деген јарлыкчы ажыра айдылганы бӱтсин деп, мынайда болгоны бу. Ол айткан:
MAT.4.17	Оноҥ ло бери Иисус јарлыктап, айдып јӱрер болды:
MAT.4.17	– Кинчектеригерди алынып, Кудайга баштаныгар! Теҥери Каандыгы јууктап келди!
MAT.4.18	Галилейдиҥ талайын јакалай барадып, Иисус эки карындашты кӧрӱп ийди: Петр дейтен Симонды ла оныҥ Андрей карындажын. Олор балыкчылар болгон учун талайда шӱӱндеп турган.
MAT.4.19	– Мени ээчий барыгар – деп, Иисус олорго айтты. – Слерди улус тудаачы эдип салайын.
MAT.4.20	Олор бу тарый шӱӱнин артырып койоло, Оныҥ кийнинеҥ бастылар. 
MAT.4.21	Оноҥ ары барып, база эки карындашты: Зеведей уулы Иаковты ла оныҥ Иоанн карындажын кӧрӱп ийди. Олор Зеведей адазыла кожо кемеде шӱӱнин јамап отурган. Олорды кычырды. 
MAT.4.22	Олор бу ла тарый, кемезин ле адазын артырып койоло, Оныла кожо бастылар.
MAT.4.23	Иисус Галилейдиҥ бастыра јерлериле јӱрди, олордыҥ синагогаларына кирип ӱретти, Каандык керегинде Сӱӱнчилӱ Јар јарлап, улустыҥ не ле оорузын, не ле јоболын јазып јӱрди. 
MAT.4.24	Иисус керегинде табыш Сирия ичине јайылды. Ого ончо јоболдуларды, јӱзӱн-јӱӱр ооруга бастырткандарды: туткак оорулу улусты, ӧзӧк-буурында шилемирлӱ, улаарып базып јӱрер улусты, курулып калгандарды экелип тургандар. Ол ончозын јазып турган. 
MAT.4.25	Галилей јеринеҥ, Он-Турадаҥ, Иерусалимнеҥ, Иудей јеринеҥ, Иордан ары јанынаҥ камык улус Оныла кожо јӱрген.
MAT.5.1	Иисус улусты кӧрӧлӧ, кырга чыкты. Отура берерде, Ого ӱренчиктери базып келди. 
MAT.5.2	Олорды ӱредип баштап, айтты:
MAT.5.3	– Тыны тӱреҥи јӱргендер кежиктӱ:
MAT.5.3	Теҥери Каандыгы – олордыйы.
MAT.5.4	Ыйлап јӱргендер кежиктӱ:
MAT.5.4	олорго коот болор.
MAT.5.5	Јобоштор кежиктӱ:
MAT.5.5	олор јерди энчиленер.
MAT.5.6	Чындыктаҥ аштап-суузап јӱргендер кежиктӱ:
MAT.5.6	олор тойор.
MAT.5.7	Быйанду улус кежиктӱ:
MAT.5.7	олорго быйан једер.
MAT.5.8	Ару јӱректӱлер кежиктӱ:
MAT.5.8	олор Кудайды кӧрӧр.
MAT.5.9	Амыр јайап јӱргендер кежиктӱ:
MAT.5.9	олор Кудайдыҥ уулдары деп адалар.
MAT.5.10	Чындык учун улуска кыстадып јӱргендер кежиктӱ:
MAT.5.10	Теҥери Каандыгы – олордыйы.
MAT.5.11	Мен учун улуска јаман айттырып, сӱрдӱрип, јабарладып бурулатсагар, кежиктӱ болгоныгар ол. 
MAT.5.12	Сӱӱнигер, јыргагар: теҥеридеги кайралыгар улу! Анайып ок слердеҥ озо јӱрген јарлыкчылар да истеткен эди.
MAT.5.13	Слер – јердиҥ тузы. Тус амтанын јылыйткажын, оны катап неле тусту эдер? Ол неге де јарабас, оны јаҥыс улус тепсезин деп, чыгара таштайтан.
MAT.5.14	Слер – бу телекейдиҥ улузына јарык. Кыр бажында турган кала кӧскӧ илинбей калбас. 
MAT.5.15	Јарыткышты камысканда, оны казанла кӧҥкӧрбӧйтӧн. Карын, оны бойыныҥ јерине тургузатан, ол айыл ичиндеги ончо улуска јарыйт. 
MAT.5.16	Јаркыныгар улус алдында анайып јарып турзын, олор ак кылынып јӱргенигерди кӧрӱп, Теҥеридеги Адагарды алказын.
MAT.5.17	Мен Јасакты эмезе јарлыкчылардыҥ бичигенин јоголторго келдим деп сананбагар. Јоголторго эмес, бӱдӱрерге келдим. 
MAT.5.18	Чынын айдадым слерге: теҥери ле јер јастыкпаганча, ончозы бӱтпегенче, эҥ оок бир де танык, бир де чийик Јасактаҥ јастыкпас. 
MAT.5.19	Анайдарда, кем кижи бу эҥ кичӱ јакылталардыҥ кажы бирӱзин бузуп, улусты да бого ӱретсе, Теҥери Каандыгында эҥ кичӱ деп адалар. Кем кижи јакылтаны бӱдӱрип, улусты да бого ӱретсе, Теҥери Каандыгында улу деп адалар. 
MAT.5.20	Айдып турум слерге: Кудайга чындык болгоныгар бичикчилердийин ле фарисейлердийин артыктабаза, Теҥери Каандыгына кирбезигер.
MAT.5.22	Је Мениҥ слерге айдып турганым бу: карындажына темей чугулданып турган кижи јаргыладар; карындажына «рака»
MAT.5.23	Анайдарда, Кудайга берӱ берейин деп, тагылга келеле, карындажыҥ сеге комыдалду болгоны санааҥа киргежин, 
MAT.5.24	берейин дегениҥди тагылдыҥ јанына салып кой; барып, озо карындажыҥла јаражып ал, оноҥ келип, берейин дегениҥди бер. 
MAT.5.25	Бурулаачы кижиҥле јолдо кожо тужыҥда саадабай јаражып ал; бурулаачы кижиҥ сени јаргычыга апарып бербезин, јаргычы сени тӱрмениҥ ишчизине берип ийбезин, анайып сени тӱрмелеп койгылабазын. 
MAT.5.26	Чынын айдадым сеге: калганчы оок акчаны тӧлӧбӧгӧнчӧҥ, оноортынаҥ чыкпазыҥ.
MAT.5.28	Је Мениҥ слерге айдып турганым бу: ӱй кижиге кӱӱнзеп кӧргӧни, оныла кожо јӱрегинде кинчек эткени ол. 
MAT.5.29	Оҥ кӧзиҥ сени јаманга баштап турган болзо, оныҥды кодоро тартып, бойыҥнаҥ ары таштап ий. Алкы бойыҥ таамыга ташталганчаҥ, эдиҥниҥ бир ӱйезинеҥ айрылып калганыҥ бойыҥа јакшы. 
MAT.5.30	Оҥ колыҥ сени јаманга баштап турган болзо, оныҥды кезип, бойыҥнаҥ ары таштап ий. Сен бойыҥ таамыга ташталганчаҥ, бир ӱйенеҥ айрылып калганыҥ бойыҥа јакшы.
MAT.5.31	База айткан сӧс бар: 
MAT.5.32	Је Мениҥ слерге айдып турганым бу: чайдам эмес эжиле айрылыжып јатканы, онызын ӧскӧ кижиле кинчекке кийдирип јат; айрылыжып калганды алганы, оныла кожо кинчекке кирип јат.
MAT.5.34	Је Мениҥ слерге айдып турганым бу: качан да чертенбегер. Теҥериле де чертенбегер, Кудайдыҥ Ширеези ол; 
MAT.5.35	јерле де чертенбегер, Кудайдыҥ бут алды ол; Иерусалимле де чертенбегер, улу Каанныҥ калазы ол; 
MAT.5.36	бажыҥла да чертенбе, бажыҥныҥ бир де кылын агартып эмезе карартып болбозыҥ. 
MAT.5.37	Айдар сӧзигер мындый болзын: эйе болзо, «эйе», јок болзо, «јок». Кожуп айтканы, – јаманнаҥ.
MAT.5.39	Је Мениҥ слерге айдып турганым бу: јаманга удурлашпа. Карын, оҥ јаагыҥа тажып ийген кижиге база бир јаагыҥды тӧгӧп бер. 
MAT.5.40	Сениле јаргылажып, чамчаҥды алайын дегенге, катанчыгыҥды да суурып бер. 
MAT.5.41	Бир чакырым јерге кожо барып кел деп албадаган кижиле кожо эки чакырым јерге барып кел. 
MAT.5.42	Сураганга – бер, тӧлӱге алайын дегеннеҥ – туура баштанба.
MAT.5.44	Је Мениҥ слерге айдып турганым бу: ӧштӱлеригерге буурзагар, слерди каргагандарды алкагар, слерди јаман кӧргӧндӧргӧ јакшыгар јетиригер, слерге јаманын јетиргендер учун, слерди истегендер учун мӱргигер. 
MAT.5.45	Јаҥыс анайып Теҥеридеги Адагардыҥ уулдары болорыгар. Ол Бойыныҥ кӱнин јамандардыҥ да, јакшылардыҥ да ӱстине чыксын дийт; јаҥмырын ак сагыштуга ла кара сагыштуга ийет. 
MAT.5.46	Слерге буурзап тургандарга буурзаар болзогор, слерди не учун кайралдайтан? Каланчылар да анайда эдип турган эмес беди? 
MAT.5.47	Јаҥыс карындаштарыгарды уткып турган болзогор, аҥылу нени эдип јадыгар? Ӧскӧ калыктар да анайда эдип турган эмес беди? 
MAT.5.48	Анайдарда, теҥеридеги толо кемдӱ Адагардый, толо кемдӱ болыгар.
MAT.6.1	Калак, кижи кӧзинче быйан этпегер, онымды кижи кӧрзин дебегер. Оноҥ башка, слерге Теҥеридеги Адагардаҥ кайрал болбос. 
MAT.6.2	Оныҥ учун, быйан эдип јаткаҥда, оны јарлаба, эки јӱстӱлердий болбо. Улус мактазын деп, олор синагогаларда, оромдордо анайда эдип јадылар. Чынын айдадым слерге: олор бойыныҥ кайралын алганы ол. 
MAT.6.3	Сен дезе, быйан эткеҥде, оҥ колыҥныҥ эдип турганын, сол колыҥ билбезин. 
MAT.6.4	Быйан эткениҥ туйка болзын. Ол тушта туйка эткенди кӧрӧр Адаҥ сени иле кайралдаар.
MAT.6.5	Мӱргип турган тужыгарда эки јӱстӱлердий болбогор. Улус кӧрзин деп, олор синагогаларда, ором белтирлеринде туруп, мӱргиирин јакшызынып јадылар. Чынын айдадым слерге: олор бойыныҥ кайралын алганы ол. 
MAT.6.6	Сен дезе мӱргигеҥде, кыбыҥа кирип, эжигиҥди бӧктӧп, кӧрӱнбес Адаҥга мӱрги. Ол тушта јажыттуны кӧрӧр Адаҥ сени иле кайралдаар. 
MAT.6.7	Мӱргип, ӧскӧ улус чылап, артык сӧс айтпагар. Олор, кӧп сӧс айтсабыс, угулар деп сананып јадылар. 
MAT.6.8	Олорго тӱҥейлешпегер. Теҥеридеги Адагар слердиҥ керектегенеерди Оноҥ сурагалакта билер.
MAT.6.9	Мынайып мӱргигер:
MAT.6.9	Теҥеридеги Адабыс!
MAT.6.9	Адыҥ Сениҥ агарулалзын,
MAT.6.10	Каандыгыҥ Сениҥ келзин.
MAT.6.10	Канайып теҥериде,
MAT.6.10	анайып јерде де
MAT.6.10	табыҥ Сениҥ болзын.
MAT.6.11	Кӱнӱҥ сайынгы калажысты
MAT.6.11	бӱгӱн биске бер.
MAT.6.12	Биске тӧлӱлӱ улустаҥ
MAT.6.12	канайып некебейдис,
MAT.6.12	бистиҥ де тӧлӱлеристи некебе.
MAT.6.13	Ченелтеге бисти кийдирбе,
MAT.6.13	је јаманнаҥ бисти корула.
MAT.6.13	Каандык, кӱч, мак дезе, ӱргӱлјиге Сенийи. Аминь.
MAT.6.14	Улустыҥ кинчегин таштазагар, Теҥеридеги Адагар слердийин де таштаар. 
MAT.6.15	Улустыҥ кинчегин таштабас болзогор, Адагар да слердийин таштабас.
MAT.6.16	Орозо тутканаарда, эки јӱстӱлер чилеп сӱрнӱгип калган јӱрбегер. Орозо тутканысты улус кӧрзин деп, олор чырайын бӱрӱҥкӱйледип алган јӱргӱлейт. Чынын айдадым слерге: олор бойыныҥ кайралын алганы ол. 
MAT.6.17	Сен дезе, орозо туткаҥда, бажыҥды майлап, јӱзиҥди јунуп ал. 
MAT.6.18	Орозо тутканыҥды кижи билбезин, кӧрӱнбей турган Адаҥ билзин. Ол тушта јажыттуны кӧрӧр Адаҥ сени иле кайралдаар.
MAT.6.19	Бойыгарга јерде јӧӧжӧ јӧӧбӧгӧр, оны кӱйе ле тат јиир, уурчылар казып, уурдап апарар. 
MAT.6.20	Карын, бойыгарга теҥериде јӧӧжӧ јӧӧгӧр, оны кӱйе ле тат јибес, уурчылар казып, уурдап апарбас. 
MAT.6.21	Јӧӧжӧгӧр кайда, јӱрегеер де анда болор.
MAT.6.22	Эт-кан јарыткыжы – кӧс. Анайдарда, кӧзиҥ ару болзо, ончо эди-каныҥ јарык болор. 
MAT.6.23	Кӧзиҥ јаман болзо, ончо эди-каныҥ караҥуй болор. Анайдарда, ичиҥдеги јарыгыҥ караҥуй болзо, караҥуй кандый болор?
MAT.6.24	Кем де эки бийге јаҥыс уунда јалчы болуп албас: эмезе бирӱзин јаман кӧрӧр, экинчизине дезе карузыыр; эмезе бирӱзине кичеенер, экинчизин дезе керектебес. Кудайга ла акча-јӧӧжӧгӧ теҥ јалчы болуп албазыгар.
MAT.6.25	Оныҥ учун айдып турум слерге: јӱрӱмигерди кичееп, нени јиирис, нени ичерис, эди-каныгарды кичееп, нени кийерис дебегер. Курсак јӱрӱмнеҥ баалу болгон бо, кеп эт-каннаҥ баалу болгон бо? 
MAT.6.26	Теҥериниҥ куштарына кӧрзӧгӧр: олор аш чачпайдылар, кеспейдилер, алмарына јууп урбайдылар, је олорды Теҥеридеги Адагар азырайт. Слер олордоҥ чик-јок артык эмес бедигер? 
MAT.6.27	Кемигер кичеенип, јӱрӱмин бир де саатка узадып болор? 
MAT.6.28	Кийер кепти де не кичеейдигер? Јалаҥдагы чомур чечектердиҥ ӧзӱп турганын кӧрӱгер: иштебей де, иирбей де јадылар. 
MAT.6.29	Је айдып турум слерге: Соломон до бойыныҥ бастыра магында олордыҥ бирӱзи де чилеп кийинбеген. 
MAT.6.30	Бӱгӱн бар болуп, эртен отко ташталатан јалаҥныҥ ӧлӧҥин Кудай анайып кийиндирип турганда, слерди оноҥ артык кийиндирбес беди, бӱдетени ас улус? 
MAT.6.31	Анайдарда, «Нени јиирис?», эмезе: «Нени ичерис?», эмезе: «Нени кийерис?» – дешкилеп, оны кичеебегер. 
MAT.6.32	Мыныҥ ончозын ӧскӧ калыктар кичееп јат. Теҥеридеги Адагар дезе мыныҥ ончозын керексинип турганыгарды билер. 
MAT.6.33	Элдеҥ озо Оныҥ Каандыгын ла чынын бедирегер, мыныҥ ончозы слерге ӱзеери берилер. 
MAT.6.34	Анайдарда, эртенги кӱнди сананбагар, эртенги кӱн бойы керегинде бойы сананар. Кажы ла кӱнде бойыныҥ уур-кӱчтери бар.
MAT.7.1	Јаргылабагар, ол тушта слерди де јаргылабас. 
MAT.7.2	Кандый јаргыла јаргылаарыгар, анайып ла бойыгарды јаргылаар; кандый кемјӱле кемјииригер, анайып ла бойыгарга кемјилер. 
MAT.7.3	Карындажыҥныҥ кӧзиндеги тегенекти не кӧрӱп јадыҥ, бойыҥныҥ кӧзиҥдеги тоормошты дезе сеспейдиҥ бе? 
MAT.7.4	Эмезе: «Акыр, кӧзиҥнеҥ тегенекти чыгарып ийейин» – деп, кӧзиҥде тоормошту бойыҥ, карындажыҥа канайып айдарыҥ? 
MAT.7.5	Эки јӱстӱ! Озо бойыҥныҥ кӧзиҥнеҥ тоормошты чыгар, ол тушта карындажыҥныҥ кӧзинеҥ тегенекти канайып чыгарарын кӧрӱп аларыҥ. 
MAT.7.6	Агару немени ийттерге бербегер – олор кайра бурулып, слерди јара тартар. Эрјинегерди чочколордыҥ алдына таштабагар – олор оны тепсеп койор.
MAT.7.7	Сурагар, слерге берилер; бедирегер, табарыгар; токылдадыгар, слерге ачып берер. 
MAT.7.8	Сураган кижи алат, бедирегени табат, токылдатканга ачып берер. 
MAT.7.9	Уулы калаш сураза, ого таш алып берер кижи ортогордо бар беди? 
MAT.7.10	Балык сураза, јылан алып берер бе? 
MAT.7.11	Анайдарда, јаман бойыгар, балдараарга јакшыны берерин билер болзогор, анчада ла Теҥериде јӱрген Адагар Оноҥ сурап турган улуска јакшыны берер. 
MAT.7.12	Оныҥ учун, слерге улус кандый болзын дезегер, бойыгар да олорго андый ок болыгар. Ол керегинде Јасак ла јарлыктар айдат ине.
MAT.7.13	Тапчы эжиктеҥ киригер, нениҥ учун дезе ӧлӱмге кийдирер эжик кеҥ, јолы элбек; кӧп улус ол јолло барат. 
MAT.7.14	Јӱрӱмге кирер эжик тапчы, јолы чичке; оны табары ас.
MAT.7.15	Тӧгӱн јарлыкчылардаҥ чеберленигер. Олор слерге кой терезин јабынган келгилейт, ичин кӧрзӧ, казыр бӧрӱлер. 
MAT.7.16	Олорды бӱткен јиилегинеҥ таныырыгар. Тегенектеҥ виноград теретен беди? Эмезе убактаҥ смоква јиилек теретен беди? 
MAT.7.17	Јакшы агаштаҥ јакшы јиилек бӱдетен, јаман агаштаҥ јаман јиилек бӱдетен. 
MAT.7.18	Јакшы агаш јаман јиилек бӱдӱрип болбос, јаман агаш јакшы јиилек бӱдӱрип болбос. 
MAT.7.19	Јакшы јиилек бӱтпес кандый ла агашты кезип, отко таштайтан. 
MAT.7.20	Анайдарда, олорды бӱткен јиилегинеҥ таныырыгар.
MAT.7.21	Меге: «Кайракан! Кайракан!» – деп айдып турган кандый ла кижи Теҥери Каандыгына кирер эмес, Теҥеридеги Адамныҥ табын бӱдӱрип јӱргени кирер. 
MAT.7.22	Јаргы болор кӱн Меге мынайда айдары кӧп чыгар: «Кайракан! Кайракан! Сениҥ адыҥнаҥ јарлыкчы болуп айдып јӱрген эмес бедис? Сени адап, шилемирлерди чыгарып јӱрген эмес бедис? Сени адап, кӧп кайкал эткен эмес бедис?» 
