MAT.1.1	Wya ka tva saba mndəra taŋ ma Yesu Kristi zivra Dawuda. Dawuda guli ná, zivra Abraham ya. 
MAT.1.17	Zlrafta ta Abraham ka sagha ta Dawuda ná, ghwaŋpɗə fwaɗ da mida. Zlrafta ta Dawuda ka lagha ta fitika hlaghatá la Israʼila ta haɗika Babila guli ná, ghwaŋpɗə fwaɗ da mida. Zlrafta ta fitika hlaghatá la Israʼila ta haɗika Babila ka sagha ta Kristi guli ná, ghwaŋpɗə fwaɗ da mida.
MAT.1.18	Wya ka lu yatá Yesu Kristi. Mari mani ma Yesu ná, Yusufu ta dzugway. Ta kul kluvtá həŋ ta vgha, ka zlghanavatá Sulkum nda ghuɓa ta huɗi ta Mari. 
MAT.1.19	Tsa zwaŋa midzani Yusufu ya ná, ŋərma mndu ya. Va a ta pghanaghatá hula ta makumidzani wa. Ka kumə tsi ta zlanavatá tsa makwa ya ma kɗek ma kɗek. 
MAT.1.20	Tata ndanay ndanay tsatsi ta zlanavata, ka lagha duhwala Mgham Lazglafta da sunani. «Yusufu zivra Dawuda, ma zləŋ ka ta kla Mari ŋa nzakway ka markwa ghuni. Tsa huɗi zlghaf tsi ya ná, Sulkum nda ghuɓa ta zlghanavata. 
MAT.1.21	Zwaŋa zgun dzaʼa tsi yatá, ŋa tsanaftá gha ta hgani ka Yesu
MAT.1.22	Inda tsaya ná, magu maga ŋa dzanaghatá ghəŋa skwi ya mnigiŋ Mgham Lazglafta nda ma wa anabi kazlay:
MAT.1.23	«Wya dzaʼa zlghafzlgha daghala makwa ta kul snaŋtá zgun ta huɗi, ŋa yatani ta zwaŋa zgun,
MAT.1.23	ŋa tsanaftá hgani ka Emanuwel,» manda mnay kazlay: Kawadaga Lazglafta nda amu
MAT.1.24	Sliʼavata Yusufu, ka snatá tsi ta tsa gwaɗa mnana duhwala Mgham Lazglafta ya. Ka klaftá tsi ta Mari ŋa nzakway ka markwa taŋ. 
MAT.1.25	Walaŋ a Yusufu ta ksaŋtá tsa makwa ya wa. Tahula dgatani zlra tsi ta ksaŋta. Ka tsanaftá tsi ta hga tsa zwaŋ ya ka Yesu.
MAT.2.1	Ma luwa Batlehem ta haɗika Zudiya yatá lu ta Yesu, ma fitika gay Hiridus ta mghamani hada. Tahula yata, ka sliʼaftá gwal nda sna ta skwi ta ghəŋa tekwatsa daga ma mndəra luwa ka safi da luwa Ursalima.
MAT.2.2	Ka ɗawaŋtá həŋ: «Ga tsa zwaŋ yaga lu ka lfiɗ Mghama la Yahuda ya na? Nda ngha ŋni ta tekwatsani ta zlagapta daga ma mndəra luwa kəl ŋni ka safi da tsəlɓu ta kəmani.»
MAT.2.3	Snaŋta mgham Hiridus ta tsa gwaɗa ya, tsiɓak ma vghani. Mantsaya inda gwal ma luwa Ursalima guli. 
MAT.2.4	Ka tskanatá tsi ta inda gwal mali ta ghəŋa gwal dra skwi ŋa Lazglafta, nda gwal tagha zlahu ŋa mnduha. Ka ɗawu tsi da həŋ: «Ga tsa vli dzaʼa yata lu ta Kristi
MAT.2.5	Ka həŋ nda tsi mantsa: «Ma luwa Batlehem ta haɗika Zudiya dzaʼa yatá lu, kabga wya ka anabi vindafta:
MAT.2.6	“Kagha luwa Batlehem ta haɗika Yahuda.
MAT.2.6	Hta a nzakwa gha mataba luwaha ya ta haɗika Yahuda wu,
MAT.2.6	kabga ga ghuni dzaʼa saba Mgham dzaʼa ngha mnduha ɗa la Israʼila,
MAT.2.7	Ka hgaftá mgham Hiridus ta tsa gwal nda sna ta skwi ta ghəŋa tekwatsa ya ma kɗek ma kɗek, ka ɗawaŋtá tsi da həŋ: «Yawu zlagapta tsa tekwatsa ya na?» kaʼa. 
MAT.2.8	Ka ghunaftá tsi ta həŋ da Batlehem, kaʼa mantsa: «Lawala, ka zbapta kuni ɗina ta gwaɗa ta tsa zwaŋ ya. Ka slafsla kuni tida katsi, ka vrakta kuni da mnihata ŋa dzaʼa vərɗa iʼi guli da tsəlɓu ta kəmani,» kaʼa.
MAT.2.9	Kɗakwa taŋ ta snamtá tsa gwaɗa mgham ya, ka sliʼaftá həŋ ka dzaʼa. Ka nghəglaŋtá həŋ ta tsa tekwatsa si nghaŋ həŋ daga ma mndəra luwa ya kay ta mbaɗa ta kəma taŋ. Ɓhadaghatani da tsa vli nda tsa zwaŋ ya, ka sladata tsi. 
MAT.2.10	Nghay taŋ ta sladata tsa tekwatsa ya, ka tuta ŋuɗufa taŋ da rfu katakata. 
MAT.2.11	Ka lamə həŋ da həga. Ka slanaghatá həŋ ta tsa zwaŋ ya nda Mari ta nzakway ka mani. Ka tsəlɓatá həŋ ta kəma tsa zwaŋ ya, ka vlaŋtá həŋ ta glaku. Ka palanaptá həŋ ta zlibiha taŋ, ka mbəhatá həŋ nda dasu, nda urdi ŋa dray nda dra, nda mandaɓaya urdi. 
MAT.2.12	Tahula tsa ka mnanatá Lazglafta ta həŋ nda ma suni kazlay: Yahayaha həŋ da vradaghata nda da Hiridus kəʼa. Ka sliʼaftá həŋ ka vraghata da luwa taŋ nda ta sana tvi.
MAT.2.13	Tahula laghwa taŋ, ka lagha sana duhwala Mgham Lazglafta da suna Yusufu. Kaʼa nda tsi mantsa: «Sliʼafsliʼa, kla ta na zwaŋ na nda mani ka hwayaghata ka nda həŋ ta haɗika Masar, ka nzata ka hada. Iʼi dzaʼa mnaghata kada vrakta ka. Ya dzaʼa zbay Hiridus ta na zwaŋ na ŋa dzata,» kaʼa.
MAT.2.14	Ka sliʼaftá Yusufu, ka hlaftá tsi ta i tsa zwaŋ ya nda mani girviɗik ka laghwi ta haɗika Masar. 
MAT.2.15	Ka nzatá tsi hada ha ka sagha fitika mta ta mgham Hiridus. Mantsa kəʼa maguta ŋa dzanaghatá ghəŋa gwaɗa mna Mgham Lazglafta nda ma wa anabi, kaʼa mantsa: «Ma haɗika Masar
MAT.2.16	Kəʼa ka Hiridus ná, hiɗaku hiɗanagha tsa gwal nda snatá skwi ta ghəŋa tekwatsa ya. Ka kuzlanaftá tsi ta ŋuɗuf. Tsaw mnanamna tsa gwal nda sna ta skwi ta ghəŋa tekwatsa ya kay ta fitika zlagapta tsa tekwatsa ya, kəl tsi ka mnay: Lawa pslihatá inda zwana zgwana yaga lu hadahada ha ka klaftá imi his ma luwa Batlehem, nda ya ma inda vli ta wanafta kəʼa. 
MAT.2.17	Ma tsa fitik ya dzatá ghəŋa gwaɗa ya mna anabi Irmiya. Kaʼa mantsa:
MAT.2.18	«Ta snaku hlawi ma Rama.
MAT.2.18	Ta snaku lili nda ŋaɗa ghəŋ.
MAT.2.18	Rahila ya ta tawa zwanani,
MAT.2.18	va a ta lɓanatá ŋuɗuf wu kabga rwurwa həŋ
MAT.2.19	Manda mtatá mgham Hiridus, ka ləglagha duhwala Mgham Lazglafta da suna Yusufu ma haɗika Masar. 
MAT.2.20	Kaʼa mantsa: «Sliʼafsliʼa, ka kla ka ta na zwaŋ na nda mani, ka dzaʼa ka ta haɗika Israʼila kabga nda rwa tsa gwal ta zba dzatá na zwaŋ na ya,» kaʼa.
MAT.2.21	Ka sliʼaftá Yusufu, ka hlaftá tsi ta i tsa zwaŋ ya nda mani, ka laghwi ta haɗika la Israʼila. 
MAT.2.22	Ama snaŋtani kazlay: Zwaŋa Hiridus ta nzakway ka Arkilayus ta ga mgham ta haɗika Zudiya kəʼa, ka zləŋaftá tsi ta dzaʼa da hada. Tahula mnanaŋta Mgham Lazglafta nda ma suni, ka mbəɗaghatá tsi ta vgha ta haɗika Galili. 
MAT.2.23	Ka laghu tsi nzata ma sana luwa ta hgu lu ka Nazaret. Nda nza mantsaya ŋa dzanaghatá ghəŋa gwaɗa ya mana la anabiha, ka həŋ mantsa: «Mnda la Nazaret dzaʼa hga lu,» ka həŋ.
MAT.3.1	Ma tsa fitik ya, ka zlagaptá Yuhwana mnda maga batem ma mtak ta haɗika Zudiya, kaʼa mantsa: 
MAT.3.2	«Mbəɗanafwa mbəɗa ta nzakwa ghuni, kabga ndusa ga mghama Lazglafta ka sagha,» kaʼa.
MAT.3.3	Ka anabi Isaya mnuta mantsa:
MAT.3.3	«Mamu sana mndu ta guguɗaku ma mtak. Kaʼa mantsa:
MAT.3.3	“Payanawa tva Mgham Lazglafta, ka leleʼanata kuni ndəɗap,
MAT.3.4	Gatá lguta swida ŋalibwa ta suɗə Yuhwana ta vgha nda hbatá ɓanava huta misti. Hiʼi nda zuɗuma mtak skwa zayni. 
MAT.3.5	Ka sliʼadaghatá gwal ta sliʼafta ma luwa Ursalima, nda inda gwal ta haɗika Zudiya, nda inda gwal ta haɗikha ta wanafta ghwa Zurdeŋ, ka lagha da tsi. 
MAT.3.6	Ka manigiŋtá həŋ ta dmakuha taŋ, ka maganaftá tsi ta batem ta həŋ ma ghwa Zurdeŋ.
MAT.3.7	Nghay Yuhwana ta ndəghadaghata la Farisa nda la Sadukiya ta sliʼadaghata da tsi, ŋa maganaftani ta batem ta həŋ ná, kaʼa nda həŋ mantsa: «Mndəra la mupuhwa! Waya ta mnaghunatá hwayapta ma tsa ɓasatá ŋuɗufa Lazglafta dzaʼa sagha ya na? 
MAT.3.8	Ka maga kuni tama ta slna dzaʼa maraŋtá mbəɗata nzakwa ghuni. 
MAT.3.9	Ma fa kuni ta ndana ghuni kazlay: Abraham na Da ŋni kəʼa. Ka yu ta mnaghunata na: laviŋlava Lazglafta ta mbəɗanaftá na palaha na ŋa nzakwa taŋ ka zwana Abraham. 
MAT.3.10	Nda ghada fata wa slpaɗa mista fuha ŋa ratsiŋta nda slrəŋ nda slrəŋ. Inda fu kul zɗaku yakwani, dzaʼa tsiŋtsa lu ka vzamta ma vu. 
MAT.3.11	Iʼi ná, nda imi ta magaghunafta yu ta batem ŋa maraŋtá ta mbəɗata nzakwa ghuni. Ama tsa mndu ta sagha nda hula ɗa ya ná, mal ŋani glaku ka ŋa ɗa. Slaghu a yu dər ŋa hlaptá ɓaɓah ma səlani wa. Tsatsi ná, dzaʼa magaghunafmaga ta batem nda Sulkum nda ghuɓa nda ya nda vu. 
MAT.3.12	Mamu kuwatavihi ma dzvani ta wa blikwi ŋa vihaptá hyani, ŋa dganatá sabatbat nda hənzila hya ŋa pghamtani ta hyani ma guvur. Ama ŋa driŋtani ta sabatbat, nda vu kul haɗ ta mtavata ɗekɗek,» kaʼa.
MAT.3.13	Ka sliʼaftá Yesu ta haɗika Galili, ka lagha ta wa ghwa Zurdeŋ slanaghatá Yuhwana ŋa maganaftani ta batem. 
MAT.3.14	Ka Yuhwana nda tsi mantsa: «Nawanawa mantsa a tsa wu! Iʼi ta kuma magiɗifta kagha ta batem guli ná, da iʼi ta sagha kagha guli?» kaʼa. 
MAT.3.15	«Maga maga mantsa ya ndanana karaku, kabga mantsa ya dzaʼa magata u ta inda skwi ya kumaŋ Lazglafta,» ka Yesu nda tsi. Gi dzəglamə a Yuhwana ta wi mida wa. 
MAT.3.16	Kɗakwa lu ta maganaftá batem ta Yesu, ka sabə tsi ma imi. Ka gi gunatá luwa buwaŋ, ka nghə tsi ta Sulkuma Lazglafta ta saha manda ghərbuʼ ta ghəŋani. 
MAT.3.17	«Nanana zwaŋa ɗa ya ɗvu yu, ya ta zɗigihata katakata,» ka sana lwi snagata daga ta luwa.
MAT.4.1	Tahula tsa, ka klaghatá Sulkuma Lazglafta ta Yesu da mtak ŋa dzəghay halaway. 
MAT.4.2	Tahula magatani ta fitik fwaɗ mbsak nda rviɗik tani nda fitik tani ta suma
MAT.4.3	Ka gavanavatá halaway, kaʼa nda tsi mantsa: «Ka si Zwaŋa Lazglafta ka katsi ná, mnanamna ta na palaha na ka mbəɗavafta həŋ ka skwa zay,» kaʼa nda tsi. 
MAT.4.4	Ka Yesu mantsa: «Ka lu vindafta ma gwaɗa Lazglafta na: “nda skwa zay kweŋkweŋ yeya a ta nzata mndu nda hafu wu, ama nda inda gwaɗa ta sabi ma wa Lazglafta,
MAT.4.5	Ka klaghatá halaway ta Yesu da Ursalima luwa ya nda ghuɓa. Ka kladaftá tsi ta bɗəma həga Lazglafta. 
MAT.4.6	Ka halaway nda tsi mantsa: «Ka si Zwaŋa Lazglafta ka katsi ná, vzadavza ta vgha ta haɗik. Ka lu vindafta ma gwaɗa Lazglafta na: “dzaʼa ghunafghuna Lazglafta ta duhwalhani ŋa tsuʼaftá kagha ma dzva taŋ ŋa kwala səla gha da gruŋtá pala
MAT.4.7	Ka Yesu guli mantsa: «Ka lu vindafta ma gwaɗa Lazglafta guli na: “Ma dzəghə ka ta Mgham Lazglafta
MAT.4.8	Tahula tsa, ka kləglaghatá halaway ta bɗəma sana ghwá nda slra, ka maranatá za mgham ma ghəŋa haɗik nda gadghəlani tani. 
MAT.4.9	Kaʼa nda tsi mantsa: «Ka tsəlɓa tsəlɓa ka ma ghuva ɗa ka vlihatá glaku, ta vlaghavla yu ta inda taŋ demdem,» kaʼa. 
MAT.4.10	Ka Yesu nda tsi mantsa: «Halaway! Laghula gha ta vata iʼi. “Ŋa Mghama gha Lazglafta dzaʼa vla ka ta glaku, da tsatsi turtukwani dzaʼa skwa ka ta htsiŋ
MAT.4.11	Mnatani ta tsaya, ka zlanavatá halaway. Ka sliʼadaghatá duhwalha Lazglafta, ka vlaŋtá həŋ ta skwa zay.
MAT.4.12	Manda snaŋta Yesu kazlay: Waʼa hbam hba lu ta Yuhwana ma gamak kəʼa, ka sliʼaftá tsi ka laghwi ta haɗika Galili. 
MAT.4.13	Ka zlanatá tsi ta luwa Nazaret. Ka laghwi da nzata ma luwa Kafarnahum ta nzakway ta wa drəfa Galili, ma kwakwara luwa Zabuluŋ nda Naftali. 
MAT.4.14	Mantsa ya magata tsi ŋa dzanaghatá ghəŋa gwaɗa ya mnə anabi Isaya:
MAT.4.15	«Kaghuni kwakwara Zabuluŋ nda Naftali
MAT.4.15	ta nzakway ta wa drəf tvə sana ɓla ghwa Zurdeŋ,
MAT.4.15	nda kagha haɗika Galili ta nzaku gwal kul haɗ ka la Yahuda mida ya,
MAT.4.16	dzaʼa nda ngha gwal ta nzaku ma grusl ta mghama tsuwaɗak. Lanagha la tsuwaɗak ta gwal ta nzaku ma luwa zlatanagha sulkuma mtaku ta həŋ
MAT.4.17	Daga ma tsa fitik ya zlrafta Yesu ta mna gwaɗa, kaʼa mantsa: «Mbəɗanafwa mbəɗa ta nzakwa ghuni! Ndusa ga mghama Lazglafta ka sagha!» kaʼa.
MAT.4.18	Ta wawakwani Yesu ta wa drəfa Galili, ka nghaŋtá tsi ta zwanamaha his, i Simuŋ ta hgu lu ka Piyer ya nda zwaŋamani Andre. Ta wɗa kadəŋa taŋ həŋ da drəf ŋa tuma klipi kabga tuma klipi slna taŋ. 
MAT.4.19	«Mbaɗwa mista ɗa ŋa naghunafta ɗa ka gwal hlaktá mnduha,» ka Yesu nda həŋ.
MAT.4.20	Ka gi zlanavatá həŋ ta kadəŋha taŋ ka laghu mistani.
MAT.4.21	Mbaɗapta taŋ dauʼ, ka nghaŋtá tsi ta zwanamaha his guli, i Yakubu nda Yuhwana zwana Zebedi. Kawadaga həŋ nda da taŋ Zebedi ma kwambalu ta paya kadəŋa taŋ. Ka hgaftá Yesu ta həŋ. 
MAT.4.22	Ka zlanavatá həŋ ta tsa kwambala taŋ ya nda da taŋ tani, ka laghwi mista Yesu.
MAT.4.23	Ka rə Yesu ta inda haɗika Galili, ka tagha skwi ŋa mnduha ma həgaha tagha skwa la Yahuda, ka mna Lfiɗa Gwaɗa ta ghəŋa ga mghama Lazglafta, ka mbamba mnduha ma inda ɗaŋwaha taŋ, nda inda ya ta raghwa həŋ. 
MAT.4.24	Ka tuta gwaɗa wdiɗ ta ghəŋa Yesu ta inda haɗika Siri. Ka hlədanaghatá lu ta inda gwal ɗaŋwa, nda gwal ta ŋra ɗaŋwaha kavghakavgha, nda gwal nda ksa da halaway, nda gwal nda ksa da seteni, nda gwal nda rwa səla taŋ. Ka mbambə Yesu ta həŋ. 
MAT.4.25	Ka sliʼi dəmga mistani, gwal ta sliʼafta ta haɗika Galili, nda gwal ta sliʼafta ta kwakwara Dekapwalus, nda ya ma luwa Ursalima, nda ya ta haɗika Zudiya, nda gwal nda ta sana ɓla ghwa Zurdeŋ.
MAT.5.1	Nghay Yesu ta sliʼadaghata dəmga da tsi, ka sliʼaftá tsi ka lafi ta kuɗuŋur ka nzata. Ka sliʼadaghatá duhwalhani tavatani. 
MAT.5.2	Ka zlraftá tsi ta tagha skwi ŋa taŋ, kaʼa mantsa:
MAT.5.3	«Rfu da gwal nda sna ta pɗa taŋ ma
MAT.5.3	Sulkum, kabga ŋa taŋ ga mghama Lazglafta.
MAT.5.4	Rfu da gwal ta taw ndanana, kabga dzaʼa
MAT.5.4	lɓana lɓa Lazglafta ta ŋuɗufa taŋ.
MAT.5.5	Rfu da gwal leɓtekwa ghəŋa taŋ, kabga
MAT.5.5	dzaʼa vlaŋvla Lazglafta ta haɗik ya tanaf tsi ta
MAT.5.5	imi ta sləməŋ ta həŋ.
MAT.5.6	Rfu da gwal ta dzə maya nda ndala maga
MAT.5.6	skwi ta kumə Lazglafta ta həŋ, kabga dzaʼa baghaku həŋ.
MAT.5.7	Rfu da gwal ta tawa hiɗahiɗa ta mndu
MAT.5.7	kabga dzaʼa taway Lazglafta ta hiɗahiɗa ta həŋ.
MAT.5.8	Rfu da gwal hezleʼ a ŋuɗufa taŋ, kabga dzaʼa
MAT.5.8	nghaŋngha həŋ ta Lazglafta.
MAT.5.9	Rfu da gwal ta sləga zɗaku mataba
MAT.5.9	mnduha, kabga zwana ɗa kuni ka Lazglafta
MAT.5.9	dzaʼazlay nda həŋ.
MAT.5.10	Rfu da gwal ta gə lu ta iri ŋa taŋ ta ghəŋa
MAT.5.10	magay taŋ ta skwi tɗukwa, kabga ŋa taŋ ga
MAT.5.10	mghama Lazglafta.
MAT.5.11	Rfu da kaghuni, ka ta rarazay lu ta
MAT.5.11	kaghuni, ka ta gay lu ta iri ŋa ghuni, ka ta
MAT.5.11	vazay lu ta rutsak ta kaghuni ta ghəŋa gwaɗa ta iʼi.
MAT.5.12	Rfawarfa ta rfu, ka nzata kuni waɗah,
MAT.5.12	kabga mamu nisəla ghuni dagala ta kzla
MAT.5.12	kaghuni ta luwa. Manda va tsaya ganapta lu tiri
MAT.5.12	ta anabiha ta tiŋlaghutá kaghuni.»
MAT.5.13	«Kaghuni slughula ghəŋa haɗik. Ka sabsa nəmaku ma slughul ná, waka lu dzaʼa nəmglanafta na? Ta haɗ hayhayani wu, ta ghəŋa pghidiŋta ŋa diŋlay mnduha yeya.
MAT.5.14	«Kaghuni tsuwaɗaka ghəŋa haɗik. Haɗ luwa ta bafta lu ta ghwá ta ɗifaghuta wa. 
MAT.5.15	Haɗ lu ta tsamtá vu ma pitirla ka dzuɓamta ma tughuba wa. Ta vli tskala ta fagata lu ŋa tsuwaɗakayni ta inda gwal ma tsa həga ya. 
MAT.5.16	Manda tsaya dzaʼa tsuwaɗakakwa tsuwaɗaka ghuni ta kəma mnduha, kada nghaŋta həŋ ta ŋərma slna ta magə kuni, ŋa zləzlvay taŋ ta da ghuni ta luwa.»
MAT.5.17	«Ma fa kuni ta ghəŋ kazlay: Sa da hərɗiŋtá zlaha Musa nda tagha skwa la anabi yu kəʼa. Sa da hərɗiŋta a yu wu, sa da ŋlanaftá yu. 
MAT.5.18	Kahwathwata ka yu ta mnaghunata: Ka ta tekeʼa luwa nda haɗik katsi, haɗ sana skwi dər neɗ, dər ndəheɗ dzaʼa wuɗanaghuta lu mataba zlaha Musa, ha ka laghani ta fitika kɗavakta inda skwi wa.
MAT.5.19	«Tsaya tama, dər wa ta kwalaghutá snatá dər ya kwitikw mataba tsa zlahuha ya, ka tagha magay manda tsa ŋani ya ŋa sanlaha ná, dzaʼa nzakway tsa mndu ya ka sagəŋ gudzekw ma ga mghama Lazglafta. Ama ka snasna mndu ta tsa zlahu ya, ka tagha magay manda tsa ŋani ya ŋa sanlaha guli ná, ka mndu dagala tsa mndu ya dzaʼazlay ma ga mghama Lazglafta. 
MAT.5.20	Kahwathwata ka yu ta mnaghunata: Ka malaghumala a kaghuni ta snatá zlahu ka gwal tagha zlahu ŋa mnduha nda la Farisa wu katsi ná, haɗ kuni dzaʼa walaŋtá lami da ga mghama Lazglafta wa.»
MAT.5.21	«Nda sna kuni ta skwi mnana lu ta dzidzíha mu ghalya kazlay: Yaha ka walaŋta dzatá mndu
MAT.5.22	Ama ka iʼi ta mnaghunata ná, dər wa ta ɓasanavatá ŋuɗuf ta zwaŋamani ka mukumani a tsi ka tsi, dzaʼa klay lu ta tsa mndu ya da guma. Dər wa mndu dzaʼa mnay nda zwaŋamani ka mukumani a tsi kazlay: Ghwaɗak kəʼa ná, dzaʼa klay lu ta tsa mndu ya ta kəma guyatá ghəŋa gwal tsa guma. Dər wa mndu dzaʼa mnay nda zwaŋamani ka mukumani a tsi kazlay: Rgha kəʼa, nda ra tsa mndu ya ŋa vzaghata da duda vu.
MAT.5.23	«Tsaya tama, ka kladagha kla ka ta skwi ŋa vlay ta gwir ŋa Lazglafta, ka havaktá ka hada ta gwaɗa ya ta kul dzraku mataba ghuni nda zwaŋama gha katsi, 
MAT.5.24	zlaŋzla ta tsa skwa gha ya hada tavata tsa gwir ya, ka vraghuta ka dzrafta nda tsi karaku, kada vrakta ka vlaŋtá tsa skwa gha ya ta Lazglafta.
MAT.5.25	«Ka mamu skwi mataba ghuni nda mndu katsi, ta kul lagha kuni da vla guma nda tsi ya, ŋavaŋa ka dzrafta kuni ma kɗaku tsi kladaghaghata da vla guma, da klaftá mndu ta tsa guma ta kagha ka vlaŋtá la sludzi, da vzaghatá lu ta kagha da gamak. 
MAT.5.26	Kahwathwata ka yu ta mnaghata, haɗ ka dzaʼa sabi hada kata kɗiŋ a ka ta planatá kɗavakta penani wa.»
MAT.5.27	«Nda sna kuni ta skwi mna lu kazlay: Yaha ka da hliri
MAT.5.28	Ama ka iʼi ta mnaghunata ná, mndu ta nghafta nda ira mbəzleh ta markwa sani ma mndu ná, nda ghada klutani ta tsa marakw ya ma ŋuɗufani. 
MAT.5.29	Ka ira gha nda ga zeghwi ta kla kagha da ga dmaku katsi, tsakwasliŋ tsakwasla ka wuɗidiŋta ka diʼiŋ. Dər pɗata ka ta fawaya gha turtuk ka ya da vzamta lu ta kagha tsuhtsuh da duda vu. 
MAT.5.30	Ala, ka dzva zeghwa gha ta kla kagha da maga dmaku ya, tsiŋtsa ka wuɗidiŋta ka diʼiŋ, dər pɗata ka ta fawaya gha turtuk ka ya da vzamta lu ta kagha tsuhtsuh da duda vu.»
MAT.5.31	«Ka lu mnata guli na: “Ka ghzliŋghzla mndu ta markwa taŋ katsi, vindanaftani ta ɗelewera ghzlatani
MAT.5.32	Ama ka iʼi ta mnaghunata na: Ka ghzliŋghzla mndu ta markwa taŋ, ka ta ghəŋa hliri a tsi wu katsi, famfa ta tsa marakw ya da hliri. Ka klafkla mndu ta marakw ghzliŋ lu guli, hliri ta hlə tsa mndu ya,» kaʼa.
MAT.5.33	«Nda sna kuni ta skwi mnana lu ta dzidzíha ghalya na: Yaha ka da walaŋta waɗu kəʼa. Manda va tsa waɗana ka ta Mgham
MAT.5.34	Ama ka iʼi ta mnaghunata na: Yaha kuni walaŋta waɗutá vli, dər nda luwa, kabga vla nzakwa Lazglafta ya. 
MAT.5.35	Dər nda haɗik, kabga vla fa səlani ya. Dər nda luwa Ursalima, kabga luwa Mgham dagala ya. 
MAT.5.36	Yaha ka da waɗu nda ghəŋa gha, kabga laviŋ a ka ta mbəɗanafta ka ŋusliŋ dər ka ŋra ta ya dər turtuk ma swida gha wa. 
MAT.5.37	Gwaɗa ya ŋa sabi ma wa ghuni ná, ka aŋi tsi, aŋi. Ka mantsa a tsi wu, mantsa a wa. Inda ya dzaʼa sganaghata lu ta ghəŋa tsaya ná, sagha da halaway.»
MAT.5.38	«Nda sna kuni ta mnata lu kazlay: Nda iri dzaʼa plamta lu ta iri, nda sliʼiŋ dzaʼa plamta lu ta sliʼiŋ
MAT.5.39	Ama ka iʼi ta mnaghunata ná, ka magamaga mndu ta ghwaɗaka skwi, yaha kuni da vranamta. Katək ná, ka dzughusdza mndu ma lagəŋa gha nda ga zeghwi, mbəɗanambəɗa guli ta lagəŋa gha nda ga zlaɓa. 
MAT.5.40	Ka kurakura mndu ta wlatá kagha kabga ŋa klugudughustá dawra gha, fanavafa guli ta lguta huɗa gha. 
MAT.5.41	Ka pgha ta iʼi tkweʼ ka meli turtuk ka mndu nda kagha ya, pghafpgha gha ka meli his. 
MAT.5.42	Ka ɗawaŋɗawa mndu ta skwi da kagha vlaŋvla gha. Ka laghala mndu da ɓla nzawa da kagha, ma sɗanaf ka.»
MAT.5.43	«Nda sna kuni ta skwi mna lu kazlay: Ɗvuɗva ta zwaŋama gha
MAT.5.44	Ama ka iʼi ta mnaghunata: Ɗvuwaɗva ta ghuma ghuni, magawa duʼa ta ghəŋa gwal ta giri ŋa ghuni. 
MAT.5.45	Tsaya dzaʼa kəl kuni ka nzakway ka vərɗa zwana Da ghuni ya ta luwa, kabga tsatsi ta sliʼaganaptá fitik ta ghəŋa gwal kul zɗaku ghəŋa taŋ, nda ya ta ghəŋa gwal zɗa ghəŋa taŋ. Ta nzagazna ta imi ta ghəŋa tɗukwa mnduha, nda ya ta ghəŋa ghwaɗaka mnduha. 
MAT.5.46	Ka gwal ta ɗvutá kaghuni yeya ka kuni laghu ɗvuta katsi, mndəra wati nisəla ta dzaʼa kuni mutsəgəlta na? Dər gwal tska dzumna guli ná, mantsa ya a ta maga həŋ guli ra? 
