MAT.1.2	Burahemu wamuzhala Isaka. Isaka akimuzhala Jakobu. Jakobu akimuzhala Juda na nduguze a kilume. 
MAT.2.6	si mudzi muthithe kamare kahi za athawali a Juda;
MAT.2.6	kwani kula kuko kundambola muthawali
MAT.2.6	andiyekala murisa wa at'u a kwangu, Aiziraeli.”
MAT.2.7	Herode arihosikira viryahu, akiavuha k'anda aryahu at'u alachu akiauzat'o wo wakathi irihombolera yo nyenyezi. Nao marihogonya kumwambira, 
MAT.2.8	akiahuma ko Beth'elehemu, akiamba, “Kauzeni-uzeni hatha mumone. Mukikala mudzamona, ndzoni munambire, ili nami nende nikamuvoye.” 
MAT.2.9+MAT.2.10	Bai Herode arihogonya kunena nao, o at'u alachu makigwira ngira ya kwenda Beth'elehemu. Na lola mo ngirani, yo nyenyezi mariyoyona ko mwambolero wa dzuwa ikiambolera kaheri, nao makifwahirwa zhomu kuyona kaheri. Bai nyenyezi iyo yaalongoza hatha ichendaima haho arihokala ye mwana mutsanga. 
MAT.2.11	Bai marihongira mo nyumbani machendamona ye mwana mutsanga na mameye, makimuzamira makimuvoya. Gonya makivugula mikoba yao, makimunosa dhahabu, na uvumba, na manemane. 
MAT.2.12	Bai marihokala madzagonya kumunosa, Mulungu akiaonya kahi za ndoso kukala masiuye kwa Herode bule. Kwa vizho makiuya kwao na ngira nyingine.
MAT.2.13	Vikara marihokala aryahu at'u alachu madzakwenda, lola malaika wa Bwana akimwambolera Josefu ndosoni akimwamba, “Herode, anamumala ye mwana amwalage. Kwa vizho, uka umuhale ye mutsanga na mameye, muchimbirire Misiri. Kakaleni kuko vivii hatha ho nindihomwamba muuye.” 
MAT.2.14	Josefu ariholamuka, akimuhala ye mutsanga na mameye, makigwira ngira na usiku, sio, machenda Misiri. 
MAT.2.15	Bai makala kuko Misiri hatha Herode akifwa, ndo makiuya. Na vivi zhosi zhakala ili riryahu neno ririronenwa ni Mulungu kukirira kwa nabii rithimire. Kwani nabii wanena akiamba, “Namwiha Mwanangu kula Misiri.”
MAT.2.16	Vikara Herode arihoona kukala aryahu at'u alachu mamuv̱urya, watsukirwa zhomu na akihuma shikari Beth'elehemu na midzi iriyo k'anda-k'andaze makalage ahoho osi a kilume a kula miaka miri kwenda ts'ini. Vivi wavihenda kulingana na haho nyenyezi irihombolera, here arizhoambirwa ni o at'u alachu. 
MAT.2.17	Vivi zhahendeka kwamba ro neno ririronenwa ni nabii Jeremia rithimire. Kwani Jeremia wanena akiamba,
MAT.2.18	mut'u anarira zhomu na kuthapathapa,
MAT.2.18	Raheli anakakwa ni anae.
MAT.2.18	Atsosha kunyamazwa k'anyamala,
MAT.2.18	andanyamaladze bai, naye k'andaaona kaheri?”
MAT.2.19	Bai Josefu wakala Misiri vivii hatha Herode anafwa, lola malaika wa Bwana akimwambolera ndosoni 
MAT.2.20	akimwamba, “Uka umuhale ye muhoho na mameye muuye ts'i ya Iziraeli kwani o mariokala manamala roho ya ye muhoho mafwa.” 
MAT.2.21	Kwa vizho Josefu akiuka akimuhala ye mwana na mameye makiuya Iziraeli. 
MAT.2.22	Arihofika Iziraeli, Josefu akisikira kukala Arikelao mwana wa Herode nde athawalaye Judea hat'u ha babaye. Kwa vizho akigoha kuuya ko kwao Judea. Bai Mulungu akimwambolera kahi za ndoso akimwamba ende jimbo ra Galilaya, naye akihenda vizho. 
MAT.2.23	Arihofika Galilaya, Josefu wakwendatoa kahi za mudzi uifwao Nazareth'i. Vivi zhakala ili ro neno ririronenwa ni manabii dzulu za iye Jesu, rithimire. Kwani manabii manena makiamba, “Andaifwa Munazareth'i.”
MAT.3.1	Bai bada ya miaka ya kuthala, kwambola mwanamulume ariyekala anaifwa Johana Mubat'izaji. Johana wahubiri ko nyika ya Judea na kuamba, 
MAT.3.2	“Thubuni, kwani uthawali wa mulunguni udzafika hehi.” 
MAT.3.3	Yuyu Johana ndiye ariyeambwa ni nabii Isaya haryahu arihonena akiamba,
MAT.3.3	“Mut'u analuta mumirowe ko nyika na kuamba,
MAT.3.3	‘Mutengezereni ngira Bwana,
MAT.3.3	Mutengezereni ngira ya kugoloka.’ ”
MAT.3.5	K'uzhona zho, at'u osi a Jerusalemu na a midzi mingine yosi ya Judea, na at'u osi mariokala makitoa kahi za midzi iriyo k'anda-k'anda za muho wa Jorodani marihovisikira, bagabaga makimuthuwa. 
MAT.3.6	Nao maziungama dambi zao, na Johana akiabat'iza kahi za wo muho wa Jorodani. 
MAT.3.7	Ela arihokala anaenderera kubat'iza, kukidza Mafarisayo na Masadukayo anji, nao makikala madzirebat'izwa. Bai Johana arihoaona, akiadumulira akiamba, “H'enwi kizhazi cha nyoka nwi! Ni h'ani ariyemwambira kukala muzichimbire zo k'oro za Mulungu zidzazo? 
MAT.3.8	H'aya mahendo genu naganyese kukala mudzathubu dambi jeri. 
MAT.3.9	Na musidzikenge bule mukaamba mu ana a Burahemu. Kwani namwambira kamare kukala, Mulungu anadima kumuumbira ana Burahemu hatha kula kwa gaga mawe! 
MAT.3.10	Na vivi be tsoka ri ho kolo kare, na kila muhi usiwozhala matunda madzo, undathemwa utsufwe mohoni. 
MAT.3.11	Mino ninamubat'iza kwa madzi kamwe, kunyesa kukala mudzathubu dambi zenu, ela ye andiyekudza nyuma zangu ni mubomu kukira mimi. Kwandza mosi sifika hatha mut'u wa kumuvula virahuzhe. Iye andamubat'iza kwa Roho Mweri na kwa moho. 
MAT.3.12	Na adzagwirira lungo anahehet'a ngano. Akigonya kuhehet'a andahala yo ngano ayangize lutsagani, gonya ahale wo wiswa autsuhe kahi za moho usiwozima.”
MAT.3.13	Bai makathi garyahu Johana arihokala anabat'iza at'u, Jesu wambola jimbo ra Galilaya achenda Jorodani ili naye akabat'izwe ni Johana. 
MAT.3.14	Vikara Johana arihoona kukala Jesu naye anamala kubat'izwa akimwamba, “Mino namala nibat'izwe ni uwe, we unadza kwangu?” Kwa vizho akikala anamala kukahala kumubat'iza. 
MAT.3.15	Ela Jesu akimudzigidzya akimwamba, “Vihende kwa rero, kwani vizho ndo hundakala hunathimiza hachi yosi.” Johana arihosikira viryahu akikubali kumubat'iza Jesu. 
MAT.3.16	Bai, Jesu arihokala adzagonya kubat'izwa wambola mo madzini. Bai arihombola thu, lola ko mulunguni kukigunuka, na akiona Roho wa Mulungu anatharamuka here giya hatha akidzamuthulama. 
MAT.3.17	Na lola haho henye mumiro uchambola kula ko mulunguni ukiamba, “Yuyu ni Mwanangu muhendzwi, anifwahizaye.”
MAT.4.2	Wafunga kwa siku mirongo mine, usiku na mutsana na badaye akisikira ndzala. 
MAT.4.3	Shethani akimuthuwa akimwamba, “Chamba u Mwana wa Mulungu jeri, gambire gaga mawe gakale mikahe.” 
MAT.4.4	Jesu akimudzigidzya akimwamba, “Zhaorwa kukala, ‘Mudamu k'andakala moyo kwa mukahe thu, ela kwa kila neno rimbolaro kanwani mwa Mulungu.’ ”
MAT.4.5	Shethani akimuhala hatha kuko mudzi mueri wa Jerusalemu, akimukweza dzulu za wo munara wa ro Hekalu, 
MAT.4.6	akimwamba, “Chamba u Mwana wa Mulungu jeri, dzitsuhe ko ts'i, kwani zhaorwa kukala, ‘Andaalagiza malaikae makurinde, mandakwanula na mikono yao, p'ore ukakwala iwe.’ ” 
MAT.4.7	Jesu akimudzigidzya akimwamba, “Zhaorwa kaheri kukala, ‘Usimujeze Bwana Mulunguo bule!’ ” 
MAT.4.8	K'uzhona anambola haho, Shethani akimuhala Jesu achenda naye hatha dzulu za murima mure zhomu. Akimwanyesa ts'i zosi za urumwengu na ngumaze. 
MAT.4.9	Akimwamba, “Ukinizamira ukinivoya, vivi zhosi uzhonazho nindakup'a.” 
MAT.4.10	K'ona Jesu akimudzigidzya akimwamba, “Hauke Shethani, kwani zhaorwa kukala, ‘Muvoye Bwana Mulunguo na umuhumikire iye h'akeye!’ ” 
MAT.4.11	Ndo Shethani akimuricha, na lola kukidza malaika makidzamuhumikira.
MAT.4.13	Arihofika Galilaya, kuko Nazareth'i akikwambola, achendatoa Kaperinaumu. Mudzi uwo, were u k'anda-k'anda ya ziya ra Galilaya, kahi za muhaka wa lalo ra Zabuloni na lalo ra Nafutali. 
MAT.4.14	Bai Jesu wakwendatoa kuko, ili riryahu neno ririronenwa ni nabii Isaya rithimire. Kwani Isaya wanena akiamba,
MAT.4.15	“Lalo ra Zabuloni na lalo ra Nafutali,
MAT.4.15	kulaizira k'anda-k'anda za ziya ra Galilaya,
MAT.4.15	kwenda hatha kuthalala muho wa Jorodani,
MAT.4.15	na ts'i ya Galilaya, kuriko pia kunatoa at'u mario si Ayahudi,
MAT.4.16	vivi madzaona mulangaza munji.
MAT.4.16	Na at'u mariokala manatoa kahi za lalo ra kivurivuri cha kifwa
MAT.4.16	mulangaza udzang'ala kahikahi zao.”
MAT.4.18	Siku mwenga, Jesu arihokala anatsembera k'anda-k'anda za ziya ra Galilaya, wakwendamuthekeza mut'u na nduguye manatsuha vimia zhao mavuhe makumba, kwani were ni avuhi. Mumwenga were anaifwa Simoni, ariye were pia anaifwa P'et'ero. Ye mungine ye were anaifwa Anderea. 
MAT.4.19	K'uzhona arihoaona akiambira, “Nithuwani, nami nindamuhendya mukale avuhi a at'u.” 
MAT.4.20	Marihosikira vizho thu, Simoni na Anderea makigwaga kare zho vimia zhao makimuthuwa. 
MAT.4.21	Anala haho achenda hatha anafika ho mbere, achendamuthekeza mut'u na nduguye kaheri. Mumwenga were anaifwa Jakobu, na ye mungine akikala anaifwa Johana. At'u aa were ni ana a Zebedayo. Hatha zho Jesu anendaathekeza, be were manafuma-fuma vimia zhao hamwenga na babiyao mo dauni mwao. Bai Jesu arihoaiha thu, 
MAT.4.22	Jakobu na Johana makimuricha ye babiyao hamwenga na ro dau makimuthuwa Jesu. 
MAT.4.23	K'uzhona zho Jesu ariholaa haho, wadengereka Galilaya yosi, kuhubiri na kufundisha at'u kahi za masinagogi gao dzulu za Uv̱oro Udzo wa uthawali wa mulunguni. Kidza akihoza at'u anji mariokala na makongo na manyonge ga kila namuna. 
MAT.4.24	Kwa ut'u uwo wenye bai, Jesu akihenda nguma kahi za ts'i yosi ya Siria. Na lola at'u makimurehera akongo na anyonge a kila namuna. A p'ep'o, a vitsala, na akuholoza, na osi Jesu akiahoza. 
MAT.4.25	Bai wathuwiwa ni rikundi ribomu ra at'u kila arikokwenda. Kula mumo Galilaya hatha Midzi Kumi. Kula Jerusalemu na Judea yosi na hatha kuvuka muho wa Jorodani.
MAT.5.2	Marihofika kuko Jesu wakelesi na akikwatya kuafundisha akiamba,
MAT.5.3	mana uthawali wa mulunguni ni wao.
MAT.5.4	mana mandafarijiwa.
MAT.5.5	mana ts'i indakala yao.
MAT.5.6	Baha ao mario na ndzala na k'ihu ya hachi,
MAT.5.6	mana mandakushwa.
MAT.5.7	mana nao mandaonerwa mbazi.
MAT.5.8	mana mandamona Mulungu.
MAT.5.9	mana mandaifwa ana a Mulungu.
MAT.5.10	mana uthawali wa mulunguni ni wao.
MAT.5.14	Ninwi be mu mulangaza wa urumwengu. Mudzi uriwoakwa hat'u kirimani k'aufitsika bule. 
MAT.5.15	Kidza mut'u k'adima kugwiza taa gonya akaribiningiza na muvure, ela nikurika nyambaroni, ili riang'alire at'u osi mo nyumbani. 
MAT.5.16	Kwa vizho ninwi nanwi here mulangaza, ng'alirani kila mut'u, ili at'u magaone mahendo genu madzo na mamulike Babiyenu wa mulunguni.”
MAT.5.18	Na jeri wenye, kabila mulunguni na ts'i kukira, k'ahana hatha kadono kamwenga ka yo Sheria kandikokira bila kuthimira. 
MAT.5.19	Na mut'u yoyosi andiyekoseza yo Sheria th'ith'e ya zosi, na aafundishe andziye mahende dzazho arizhohenda iye, andakala mut'u muthithe sana kahi za uthawali wa mulunguni. Ela mut'u andiyethuwa na kuzigwira sheria zosi, na kuafundisha andziye ili nao mazithuwe na kuzigwira, andakala mut'u mubomu sana kahi za uthawali wa mulunguni. 
MAT.5.20	Namwambira kamare, kala uhachi wenu k'aundashinda uryahu wa Mafarisayo na alimu a Sheria, uthawali wa mulunguni k'amundawangira bule.”
MAT.5.22	Ela mimi ninamwambira kukala, mut'u andemutsukirirwa mwandziwe andahukumiwa. Mut'u andiyemuv̱udhya mwandziwe andashithakiwa kwa ro Baraza ra athumia. Na mut'u andiyemuhukana mwandziwe amwambe, ‘Mut'u u mujinga zhomu uwe!’ andatsufwa kahi za moho wa Jehanamu. 
MAT.5.23	Kwa vizho ukikala mwenye udzakwendamboza sadaka dzulu za cho kijaja cha kulazhira sadaka kiricho kahi za ro Hekalu, na ukumbukire kukala wamuhendera vii mwandziyo, 
MAT.5.24	iriche haho kijajani yo sadaka, wende ukapatane na iye mwandziyo kwandza ndo udze uyamboze. 
MAT.5.25	Mut'u akikala anakuhirika kotini, baha mugamarigizire mo ngirani, mana usihohenda vizho, andakufisha kwa jaji, na iye jaji andakulazha kwa shikari wangizwe ndani. 
MAT.5.26	Nami nakwambira ujeri wenye, k'undarichirwa uwe hatha umarigize kuriha p'esa zosi.”
MAT.5.28	Ela vivi ninamwambira kukala, mut'u yoyosi andiyemulola mwanamuche na kumumizira mahe, andakala moyoni mwakwe adzagonya kare kuzinga naye. 
MAT.5.29	Dzitsoro ra mukono wa kurya rikikala rinakuhendya uhende dambi, rishukule uritsuhe. Kwani hatha baha kutsowa kilungo kimwenga kuriko mwiriwo wosi utsufwe Jehanamu. 
MAT.5.30	Mukonowo wa kurya, ukikala unakuhendya uhende dambi utose uutsuhe. Kwani ni baha kutsowa kilungo kimwenga kuriko mwiriwo wosi utsufwe Jehanamu.”
MAT.5.34	Ela vivi ninamwambira kukala musiape kamare. Musiape dzulu mulunguni kwa kukala kuko ndo Mulungu ariko, kahi za kihiche cha uthawali. 
MAT.5.35	Na musiape dzulu za ts'i, kwani ndo hat'uhe ha kuika magulu. Musiapire Jerusalemu, mana ni mudzi wa muthawali mubomu. 
MAT.5.36	Kidza musiape dzulu za kwenu enye kwa kukala k'amudima kuhenda changari ludzere lumwenga lukakala lwiru hedu lwaruhe. 
MAT.5.37	Kwa vizho ukiamba, ‘Ee,’ navikale ndozho jeri. Na ukiamba, ‘Hatha,’ vikale sozho. Zaidhi ya vizho vilaa kwa ye Mui.”
MAT.5.39	Ela vivi be namwambira kukala mut'u akikuhendera vii, usimurihize bule. Mut'u akikupiga kofi nyendze ya mukono wa kurya, mugaluzire yo nyendze nyingine nayo apige. 
MAT.5.40	Mut'u akikushithaki akuhoke k'andzuyo, ro amba naro murichire. 
MAT.5.41	Mut'u akikulazimisha mwende mwendo wa maili mwenga, enda naye maili mbiri zenye. 
MAT.5.42	Mwandziyo akidzakuvoya kit'u hedu akidzakumala p'asha, mup'e, usimulashe bule.”
MAT.5.44	Ela vivi be ninamwambira kukala ahendzeni mahadhui enu, na muavoyere ao mamutesao, 
MAT.5.45	ili mukale ana a Babiyenu wa mulunguni. Kwani, iye nikurihendya dzuware rikaang'alira adzo na ai na kuarehera v̱ula ahachi hamwenga na athiriri. 
MAT.5.46	Kwani mukiahendza kare o mamuhendzao ninwi, ni ut'u wani udzo mundokala mudzahenda? Kwani hatha athozi a kodi kidza ndo mahendazho. 
MAT.5.47	Kwa vizho ukimulamusa ye nduguyo kare, kurya hadhui ye umuzire, undakala k'uhendere ut'u usha bule, kwani hatha at'u masiomumanya Mulungu nao ndo mahendazho. 
MAT.5.48	Kwa vizho kalani akamilifu, dza zho Babiyenu wa mulunguni arizho mukamilifu.”
MAT.6.2	Usendemwaviza mukiya, gonya ukapiga gunda, dza vizho at'u a kudzihendya mahendazho mumo ngira-ngira na masinagogini. Vizho zhosi manavihenda kwa manamala kulikwa, nami namwambira ujeri wenye kukala manoso gao gosi magonya kare kugapata. 
MAT.6.3	Ela uchendamup'a kit'u mut'u mukiya be hatha wo mukonowo wa kumots'o kidza usimanye zho mukonowo wa kurya udzizhohenda. 
MAT.6.4	Naye Babayo aonaye ga sirini andakunosa.”
MAT.6.5	“Muvoyaho, musikale here at'u a kudzihendya mahendazho. Kazi yao ni kuima mathanoni hedu masinagogini ili maonewe ni at'u. Bai ujeri wenye at'u dza ao magonya kare kupata mariho gao. 
MAT.6.6	Ela bai, uvoyaho, ngira nyumbani mwako ufunge muryango na umuvoye Babayo ariye sirini, naye kwa kukala anaona ga sirini, andakup'a zawadiyo. 
MAT.6.7	Muvoyaho musihaye-haye bule, here at'u masiomumanya Mulungu mahendazho. Kwani o manaona makinena maneno manji ndo Mulungu andaasikira. 
MAT.6.8	Hatha, musihende vizho bule. Kwani ye Babiyenu be anamanya zho mumalazho hatha kabila k'amudzavoya. 
MAT.6.9	Bai muvoyaho, voyani vivi:
MAT.6.9	Babiyehu uriye ko mulunguni,
MAT.6.9	dzinaro narikale rieri,
MAT.6.10	Mahendzogo nagahendeke kuku ts'i,
MAT.6.10	here gahendekazho ko mulunguni.
MAT.6.12	here zho huasamehazho ao mahukoserao.
MAT.6.13	ela huokole na ye Mui.
MAT.6.15	Ela kala o at'u mamukoserao k'amundaasamehe, ye Babiyenu wa mulunguni naye k'andamusamehe bule.”
MAT.6.17	Ela ufungaho, oga uso, gonya udzihake mafuha, 
MAT.6.18	ili at'u masimanye kukala udzafunga, isihokala Babayo ariye sirini. Bai kwa kukala iye anaona kahi za siri andakup'a zawadi.”
MAT.6.20	Hatha bule, ikani akiba zenu mulunguni. Mana kuko k'akuna p'oho a kuzirya, hedu k'anga ya kuzononga-nonga. Kidza k'akuna aivi madimao kubanda na kuziiya. 
MAT.6.21	Kwani haho handihokala akibayo, ndo handihokala moyowo.”
MAT.6.22	Bai Jesu waenderera kufundisha akiamba, “Matso ndo taa ra mwiri. Kwa vizho kala matsogo ni madzo, mwiriwo wosi nikudzala mulangaza. 
MAT.6.23	Ela kala matsogo ni makongo, mwiriwo wosi nikwadzala kiza. Bai kala wo mulangaza ndani yenu udzagaluka kiza, kiza kicho be hatha k'akina mwandziwe bule. 
MAT.6.24	K'akuna adimaye kuahendera kazi mathajiri airi. Kwani akihenda vizho, andamuhendza mumwenga ela ye mungine andamumena. Mumwenga andamuhendera kaziye t'ot'ot'o, ela ye mungine andamuv̱udhya. K'amudima kumuhumikira Mulungu na kuno munahumikira mali.”
MAT.6.26	Munawona wo unyama wa kubururuka? K'aurima, na k'auvuna ukangiza lutsagani bule, kidza Babiyenu wa mulunguni anaurisa. H'e seze ninwi murio muna kima kibomu kuukira uwo? 
MAT.6.27	Ni h'ani kahi zenu adimaye kuhenda wasiwasi hatha akangeza ngaa saa mwenga kahi za maishage? 
MAT.6.28	Na ni kwanoni muna wasiwasi dzulu za nguwo? Hedu lolani go maluwa ga vuweni zho gamerazho. K'agahenda kazi, hedu hatha kudzifumira nguwo. 
MAT.6.29	Ela ninamwambira kukala, hatha Selemani na ushahawe wosi, kidza k'avwaliret'o dza gago maluwa. 
MAT.6.30	H'enwi at'u a kuluhiro thithe nwi! Kala Mulungu anadima kuzipamba zo nyasi za vuweni ambazo rero zi haha na machero zinatsufwa mohoni zishe, h'e seze nwi. Samba Mulungu andamuvika zaidhi? 
MAT.6.31	Kwa vizho bai, musithapethape kuamba mundaryani, mundanwani, hedu mundavalani, 
MAT.6.32	kwani gago gosi ndo mamalago at'u masiomumanya Mulungu. Ela ninwi musithapethape, kwani Babiyenu wa mulunguni anamanya kare kukala maut'u gago gosi munagamala naye andamup'a. 
MAT.6.33	Ela umaleni uthawali wa kwakwe hamwenga na uhachiwe kwandza, na zho vingine zhosi mundangezezwa. 
MAT.6.34	Bai kwa ut'u uwo wenye, musihende wasiwasi dzulu za maut'u ga machero, kwa kukala siku iyo ya machero be indadzihendera wasiwasi yenye. Kwani kila siku ina thabuze za kuthosha.”
MAT.7.2	Kwani zho mundizhohumira kuahukumira andziyenu, ndo vindizhohumirwa kumuhukumira ninwi. Cho kipimo mupimiracho andziyenu, ndicho mundichopimirwa ninwi. 
MAT.7.3	Mbona unaona kinyalu kiricho dzitsoni mwa mwandziyo, ela gogo ririro dzitsoni mwako k'urisikira? 
MAT.7.4	Vidze, unadimadze kumwamba mwandziyo ‘Huma nikwamboze kinyalu,’ na kuno una gogo zima dzitsoni mwako? 
MAT.7.5	Kudzihendyako we! Andza kuromboza ro gogo ririro mo dzitsoni mwako kwandza, ndo undihoonat'o hatha udime kumboza cho kinyalu kiricho dzitsoni mwa mwandziyo.”
MAT.7.6	“Usihale vit'u vieri ukavip'a k'uro, kwani mandakugalukira makutharure-tharure. Kidza usihale lulu be ukazitsuhira nguluwe, kwani mandazizhoga-zhoga.”
MAT.7.8	Mana kila avoyaye, nikugerwa; kila amalaye, nikuona; na kila abishaye nikusundulirwa. 
MAT.7.9	Vidze ni h'ani kahi zenu ariye mwanawe akimumala mukahe andamup'a iwe? 
MAT.7.10	Hedu akimuvoya kumba andamup'a nyoka? 
MAT.7.11	Bai kala ninwi at'u ai thu, kidza munamanya kuap'a ana enu vit'u vidzo, h'e seze Babiyenu wa mulunguni, ye si zaidhi? Samba ye andamup'a vit'u vidzo kila andiyemuvoya.”
MAT.7.13	“Ngirani na muv̱irya mufufu, kwani muv̱irya wa kwangirira wangamikini ni mwalamu, na ngiraye i rahisi, na at'u anji ndo mangirirawo. 
MAT.7.14	Muv̱irya wa kwangirira uzimani ni mufufu na ngiraye nayo ni k'omu, na ni achache madimao kuyona ngira ii.”
MAT.7.16	Ela vidze unadima kuhuta zabibu, kula kwa mihi ya miya? Hedu unadima kuhuta t'ini kula kwa mibaruthi? Kwa vizho ao nao mundaamanya kwa matunda gao, 
MAT.7.17	kwa kukala muhi mudzo nikuzhala matunda madzo, na muhi mui nawo, nikuzhala matunda mai. 
MAT.7.18	Muhi mudzo k'audima kuzhala matunda mai, hedu muhi mui ukazhala matunda madzo. 
MAT.7.19	Bai kila muhi usiwozhala matunda madzo, nikuthemwa-themwa ukakundywa moho. 
MAT.7.20	Ndosa namwambira kukala mundaamanya kwa mahendo gao.” 
MAT.7.21	Bai Jesu akienderera kunena akiamba, “Si osi maniambao, ‘Bwana! Bwana!’ mandangira kahi za uthawali wa mulunguni, ela ni kila andiyehenda mahendzo ga Baba ariye dzulu mulunguni. 
MAT.7.22	Kwani siku iyo ya mwisho anji mandaniamba, ‘Bwana, samba sino fwamboza unabii, na fukimboza p'ep'o kidza fukihenda miujiza minji kwa dzinaro?’ 
MAT.7.23	Nami nindaadzigidzya niambe, ‘Nihaukirani, simumanya bule ninwi ahendi a mai.’ ”
MAT.7.25	Bai makathi ga v̱ula garihofika, v̱ula ikinya gojogojo, muretho ukidza, gonya luv̱utho nalo lukikira na haho, lukiipiga yo nyumba, ela kwa kukala yatsimbirwa musinji iweni k'aigwere bule. 
MAT.7.26	Ela mut'u andesikira maneno gangu na akale k'andagagwira, adzahalana na mut'u muzuzu ariyeaka nyumbaye dhangadhini. 
MAT.7.27	Bai makathi ga v̱ula garihofika, v̱ula ikinya gojogojo, na muretho ukidza, gonya luv̱utho nalo lukikira na haho lukiipiga. Bai luv̱utho lurihopiga, iryahu nyumba ikigwa na musindo mubomu.”
MAT.7.29	kwani were k'afundisha dza here alimu a Sheria mafundishazho, ela were anafundisha here mut'u mwenye wadimi.
MAT.8.1	Vikara Jesu arihokala adzagonya kufundisha, watharamuka kula ho dzulu murimani, na go makundi ga at'u gakikwatya kumuthuwa. 
MAT.8.2	Bai lola hachambola mut'u mumwenga ariyekala ana mahana, akidzapiga mavindi ho mbere za Jesu akiamba, “Bwana, ukihendza unadima ukanihoza!”
MAT.8.3	Jesu akigoloza mukono akimugut'a akimwamba, “Ninahendza, hola.” Na haho na haho kare, ye mut'u akihola. 
