MAT.1.1	Hiyana nan lestaan nan kaap-uwan Jesu Cristo ay kianak David, ya hi David at kianak Abraham. 
MAT.2.19	Kun pay natuy hi Ari Herodes, nunpaila nan anghel nan Apo kan Jose ad Egipto babaen as nan iitawna. 
MAT.2.20	Kenalen nan anghel, “Fumangunka, etakinmu nan hen-ena, ya komatam kayu ad Israel, tay natuycha nan chiyuycha nanglarayad ay mangpatuy as nan onga.” 
MAT.2.21	As nan hiyachi, finmangun hi Jose, entakina nan hen-ena, ya kenmatamcha ad Israel.
MAT.2.22	Ngem kun pay nachamag Jose ay hi Arkelao nan naisubrat kan Herodes ay amana ay muntoray ad Judea, inmugyat hiya ay umuy hid-i. Kiapú ta finag-an Apo Dios hiya babaen as nan iitawna, nunligwatcha ay umuy henan probinsiya ay Galilea. 
MAT.2.23	Hid-i ad Galilea, inmilicha henan ili ay makali un Nazaret. Enommat na ta matongpar nan kenalen nan chiyuycha pomapadtu un, “Makalintu hiya ay Nazareno.”
MAT.3.1	As nan timpu ay nanagyanan cha Jesus ad Nazaret, uy nun-ekaskasaba hi Juan ay Fumufunyag as nan chiyuycha tataku ay uy nunchungchungor kan hiya henan disyerto ad Judea. 
MAT.3.2	Kenalina kan chicha, “Munfiafiawi kayu as nan fiasfiasoryu, tay kiayud umchan nan muntorayan Apo Dios.”
MAT.3.3	Hi Juan ay anna nan infiakian Isaias ay pomapadtu ad pus-uy ay kanana,
MAT.3.3	“Wacha nan taku henan disyerto ay cha mangifugfukiaw un, ‘Esakianayu nan ayun nan Apo. Munlutkunyu nan ayuna.’ ”
MAT.3.4	Nan fiachon Juan at naamma as chotchot chi kamilyu. Nan sinturuna at larat, ya nan kanuna at chuchun ya chilu. 
MAT.3.5	Uray mu assena hiya, in-inmuy kan hiya nan ongoongor ay tataku ay nurpu ad Jerusalem, henan intiru ay probinsiya ay Judea, ya as nan am-in ay naesasag-un henan wawwang ay Jordan. 
MAT.3.6	Nunfiafiawicha as nan fiasfiasorcha, at finunyakian Juan chicha henan wawwang ay Jordan.
MAT.3.7	Kun pay inilan Juan nan ongor ay Fariseo ya Saduseo
MAT.3.8	Masapor atunyu nan mangepaila ay tit-iwa ay nunfiafiawi kayu as nan fiasfiasoryu. 
MAT.3.9	Achiyu kankanan as achoryu un, ‘Achi chakami challu chusaun kan Apo Dios, tay hi Abraham nan kaap-uwanmi.’ Tay ifiakiak kan chakayu ay uray nan nauycha fiatu at mafialin ay munfialinun Apo Dios as kiankianak Abraham! 
MAT.3.10	Nan ichusan Apo Dios at kaman as nan wasay ay naesasakiana ay manipor as kaiw. Am-in ay kaiw ay achi fumkias as ammay at maesalepooncha ay masipor, ya maichus-orcha as nan apuy.”
MAT.3.11	Inturuy Juan, “Funyakiak chakayu as chanum ay mangepaila ay nunfiafiawi kayu at. Ngem nan cha umunud kan ha-un at am-amud mu ha-un. Achiyak paat maekari ay mangchun as sapatosna.
MAT.3.12	Maepadpachong hiya as nan taku ay nanangchun as ligkia ay osaruna ay manapa as nan finayu. Nan natap-an at ittunantu as nan mangit-ittuwan. Ngem nan chuki at ipuornantu as nan apuy ay achi mapappauy.”
MAT.3.13	As nan timpu ay nunfunfunyakian Juan, inumchan hi Jesus ay nurpu ad Galilea ta uy munpafunyag kan Juan henan wawwang ay Jordan. 
MAT.3.14	Ngem penachas Juan ay mamas-iw kan hiya as nan nangaliyana, “Apo, ha-un met koma nan munpafunyag kan he-a. Sungang t'uy he-a nan omali ay munpafunyag kan ha-un?”
MAT.3.15	Ngem tinumfor hi Jesus, “
MAT.3.16	Kun pay nafunyakian hi Jesus, hiya at chi ya tenmakchang hiya as nan chanum. As nan hiyachi, natkafian ad chaya, ya inilana nan Espiriton Apo Dios ay kaman karopati ay cha komsop inkiana penmatang kan hiya.
MAT.3.17	Wacha us nan kali ay nurpu ad chaya ay kanana, “Hi tona nan anakku ay laylaychok. Hiya nan mangepalaylayad kan ha-un.”
MAT.4.1	Kun pay narpas ay nafunyakian hi Jesus, enpangon nan Espiritu Santo hiya henan disyerto ta chistingun Satanas. 
MAT.4.2	Kun pay inmuy chi opat puru ay urkiw ya lafi ay nun-ay-ayunaran Jesus, nunchukiaang hiya. 
MAT.4.3	Angkiay ya inmuy hi Satanas kan hiya, ya kanana, “Mu tit-iwa ay anak chaká kan Apo Dios, filinum nan nauycha fiatu ta munfialincha as tenapay.” 
MAT.4.4	Ngem tinumfor hi Jesus, “
MAT.4.5	Angkiay ya inyuy Satanas hi Jesus henan nasantowan ay siyudad, ya enpatakchugna hiya as nan kangatuwan ay parten nan Templo. 
MAT.4.6	Kenalina kan hiya, “Mu tit-iwa ay Anak chaká kan Apo Dios, ud-a pay omagkiangka inkiana as kuwabna, tay kanan met nan naisurat as nan Kalen Apo Dios un, ‘Filinun Apo Dios nan anghelesna ay mangaywan kan he-a. Tatag-uyun chakantu kan chicha as nan limacha ta achi maepakpak nan sukem as nan fiatu.’ ”
MAT.4.7	Tinumfor hi Jesus, “
MAT.4.8	Kun pay narpas chi, inyuy Satanas hi Jesus henan usa ay nangatungatu ay chuntug. Enpailana kan Jesus nan am-in ay muntorayan asna's luta ya nan kaichayawancha. 
MAT.4.9	Kenalen Satanas, “Ichatkuntu am-in chaná kan he-a mu munpalintumangka ay munchayaw kan ha-un.”
MAT.4.10	Ngem tinumfor hi Jesus kan hiya, “
MAT.4.11	Haat taynan Satanas hiya. As nan hiyachi, enmalicha nan angheles ay uy nangfiachang kan hiya.
MAT.4.12	Kun pay nachamag Jesus ay naifiarud hi Juan ay Fumufunyag, nunfiangad hiya henan probinsiya ay Galilea.
MAT.4.13	As nan kawad-ana henan probinsiya ay Galilea, chaan nakiili ad Nazaret, ngem kun at uy nakiili ad Capernaum. Nan ili ay Capernaum at wacha henan olet nan fiayfiay ay Galilea ya henan lutan us nan chiyuycha kianak Zabulon ya Neftali.
MAT.4.14	Nakiili hiya ad Capernaum ta matongpar nan kenalen Isaias ay pomapadtu ad pus-uy,
MAT.4.15	“Ad Galilea, henan lutan Zabulon ya henan lutan Neftali as nan charan ay umuy henan fiayfiay, ya chuchumangun nan wawwang ay Jordan, hid-i nan nakiiliyan nan ongoongor ay Gentil.
MAT.4.16	Nan tataku hid-i at kamancha natataku as nan kawad-an nan ngongot ya as nan kawad-an nan nunkatuy. Ngem ad wani at ilauncha nan narawag ay silaw, tay enmali as nan kawad-ancha nan manilaw as numnumcha.”
MAT.4.17	Nunlapu as nan hana ay timpu, enlapon Jesus ay nun-ekaskasaba. Kenarkalina, “
MAT.4.18	As nan usa ay urkiw ay cha manarcharanan Jesus henan olet nan fiayfiay ay Galilea, inilana nan hen-aki ay cha manafukor, tay hiyasa nan chunucha. Chicha cha Simon ay makali us un Pedro, ya hi Andres ay ifiana. 
MAT.4.19	Kenalina kan chicha, “
MAT.4.20	Hiya at chi ya tenaynancha nan chiyuycha tafukorcha, ya inmunudcha kan hiya.
MAT.4.21	Kuncha pay inturturuy ay manaran, inilan Jesus nan tukún ay hen-aki ay cha Santiago kan Juan ay potot Zebedeo. Nakilurukiancha kan amacha ay hi Zebedeo as nan fiangka, ya chacha esakiana nan tafukorcha. As nan hiyachi, enayakian Jesus chicha. 
MAT.4.22	Hiya at chi ya tenaynancha nan fiangkacha ya hi amacha, ya inmunudcha kan Jesus.
MAT.4.23	Nunliklikud hi Jesus henan intiru ay probinsiya ay Galilea. Nun-is-isuru hiya as nan chiyuycha senagogacha, ya enkaskasabana nan Ammay ay Chamag maepangkep henan muntorayan Apo Dios. Kenaana us nan am-in ay karasen chi saketcha ya iliwas chi achorcha. 
MAT.4.24	Isunga naepachamag nan maepangkep kan hiya henan intiru ay Siria. Nan tataku at inyuycha kan hiya nan am-in ay nunsaket as tukutukún ay saket, nan naparpalikiatan, nan nunkaanennetan, nan nunkorchas ya nan nunkapilay, ya enpaammay Jesus chicha am-in. 
MAT.4.25	Kiapú ta assena, inmunud kan hiya nan ongoongor ay tataku ay nurpu ad Galilea, nan Hinpuru ay Siyudad, Judea, Jerusalem ya henan usa ay chumang nan wawwang ay Jordan.
MAT.5.1	As nan nangil-an Jesus as nan ongoongor ay tataku, tinmikid henan usa ay chuntug. Kuna pay entokor, enmali nan disipulusna kan hiya, 
MAT.5.2	ya enlapuna ay nun-isuru kan chicha,
MAT.5.3	“
MAT.5.4	“
MAT.5.5	“
MAT.5.6	“
MAT.5.7	“
MAT.5.8	“
MAT.5.9	“
MAT.5.10	“
MAT.5.11	“
MAT.5.12	”
MAT.5.13	Inturuy Jesus, “
MAT.5.14	“
MAT.5.16	”
MAT.5.17	Kenalen pay Jesus, “
MAT.5.20	”
MAT.5.21	Inturuy Jesus, “
MAT.5.25	“
MAT.5.26	”
MAT.5.27	“
MAT.5.30	”
MAT.5.31	“
MAT.5.32	”
MAT.5.33	“
MAT.5.37	”
MAT.5.38	“
MAT.5.42	”
MAT.5.43	“
MAT.5.48	”
MAT.6.1	Inturuy Jesus, “
MAT.6.2	“
MAT.6.4	”
MAT.6.5	Kenalen pay Jesus, “
MAT.6.7	“
MAT.6.14	Inturuy Jesus, “
MAT.6.15	”
MAT.6.16	Kenalen pay Jesus, “
MAT.6.18	”
MAT.6.19	“
MAT.6.21	”
MAT.6.22	“
MAT.6.23	”
MAT.6.24	“
MAT.6.25	“
MAT.6.28	“
MAT.6.34	”
MAT.7.1	Kenalen pay Jesus, “
MAT.7.5	”
MAT.7.6	Kenalen Jesus, “
MAT.7.7	Kenalen pay Jesus, “
MAT.7.12	“
MAT.7.13	“
MAT.7.14	”
MAT.7.15	“
MAT.7.20	”
MAT.7.21	Inturuy Jesus, “
MAT.7.23	 ”
MAT.7.24	“
MAT.7.27	”
MAT.7.28	Kun pay narpas ay infiakian Jesus chaná, naschaaw nan tataku as nan enatna ay nun-isuru. 
MAT.7.29	Tay as nan nun-is-isuruwana kan chicha, wachay kalibfengana ya achi kaman as nan chiyuycha mun-isursuru as Lintig.
MAT.8.1	Kun pay chinmayyu hi Jesus ay nurpu henan chuntug, ongoongor chi tataku ay inmunud kan hiya. 
MAT.8.2	Angkiay ya naesnop kan hiya nan usa ay laraki ay nakonet ya nunpalintumang as nan sangwanan Jesus, ya kanana, “Apo, mu laychum, epaammayak koma.”
MAT.8.3	Inchawchaw Jesus nan limana, ya kenpana hiya. Kenalina, “
MAT.8.4	Angkiay ya kenalen Jesus kan hiya, “
MAT.8.5	As nan enmaliyan Jesus ad Capernaum, wacha hid-i nan kapetan chi sosorchachu ay Romano
MAT.8.6	Kenalina, “Apo, cha munsaket nan fiabfiaarok as afong. Cha u-uumfug hiya, tay naparalitiko ya malikiatan as solet.”
MAT.8.7	Kenalen Jesus kan hiya, “
MAT.8.8	Ngem tinumfor nan kapetan, “Apo, achiyak maekari ay mangepaskop kan he-a as afongku. Uray kunmu ifilin yangkiay at ommat chi ay mangepaammay as nan fiabfiaarok. 
MAT.8.9	Tay uray ha-un at wacha nan nangatngatu ay mangetoray kan ha-un, ya wachacha us nan sosorchachok ay etorayak. Mu kanak as nan usa un, ‘Uyka’ at umuy hiya. Mu kanak us as nan usa un, ‘Aka’ at omali hiya. Mu kanak us as nan fiabfiaarok un, ‘Atum na’ at atuna.”
MAT.8.10	Kun pay chinngor Jesus na, naschaaw, ya kanana as nan tataku ay cha umun-unud kan hiya, “
MAT.8.12	” 
MAT.8.13	Haat kanan Jesus as nan kapetan, “
MAT.8.14	Kun pay sinungkop hi Jesus as afong Pedro, inilana nan katukiangan Pedro ay fiafiai ay inuumfug ay cha munpuchot. 
MAT.8.15	Kenpan Jesus nan limana ya nakaan nan puchotna. As nan hiyachi, finmangun, ya nunsakiana as kanun Jesus.
MAT.8.16	As nan hiyachi ay naschum, inyalen nan tataku kan Jesus nan ongor ay nunkaanennetan ya nan cha munsaket. Kiapú as nan kalina yangkiay, enpafoknag Jesus nan chiyuycha anennet ya enpaammayna us nan am-in ay cha munsaket. 
MAT.8.17	Enatna na ta matongpar nan kenalen Isaias ay pomapadtu, “Hiya ay mismu nan nangaan as iliwas chi achor ya saket takú.”
MAT.8.18	Kun pay inilan Jesus nan ongor ay tataku ay nangarufong kan hiya, infilina as nan disipulusna ay kumchangcha henan fiayfiay ta umuycha ad chumang. 
MAT.8.19	Angkiay ya naesnop kan Jesus nan usa ay mun-isursuru as Lintig, ya kanana, “Misturu, umunuchak kan he-a uray kumpurmi as ay-ayam.”
MAT.8.20	Tinumfor hi Jesus kan hiya, “
MAT.8.21	Kenalen nan usa ay disipulusna kan hiya, “Apo, awni pay ta uyku ilufok on-ona hi amak.”
MAT.8.22	Ngem tinumfor hi Jesus kan hiya, “
MAT.8.23	Angkiay ya nunlukian hi Jesus as nan fiangka ya nakilukian nan disipulusna. 
MAT.8.24	Kuncha pay wacha as nan fiayfiay, kalina at ya mun-atifudfud chi puwak. Nunsidlay manopsopyatan nan challuyon as nan fiangka, at kiayud lumnud. Kun pay hi Jesus at nanassuy. 
MAT.8.25	Uycha finangun hiya, ya kanancha, “Apo, esarakam chakami! Lumnud takú pay!”
MAT.8.26	Kenalen Jesus kan chicha, “
MAT.8.27	Naschaaw am-in nan disipulusna, ya kanancha, “Ngachan ngun tona t'uy uray angin ya challuyon at tongparunchay filina?”
MAT.8.28	Inturuy cha Jesus ay kinumchang inkiana inumchancha henan sasakopun nan i-Gadara. Wachacha nan nanib-at kan hiya ay chuwa ay lanaraki ay nunkaanennetan ay nurpu as nan lurubfok. Kauugyat chaná ay nunkaanennetan. Isunga maid makaiturud ay manguy as nan hana ay charan. 
MAT.8.29	Hiya at chi ya, infukiawcha, “He-a ay Anak Apo Dios, anan ngachana nan laychum ay atun kan chakami? Ay enmalika ay mamalikiat kan chakami uray chaan pay inumchan nan ustu ay timpu?”
MAT.8.30	As nan naesasag-un, wachachay ongoongor ay fiafuy ay cha munsuksukor. 
MAT.8.31	Enpakaasen nan chiyuycha anennet kan Jesus, “Mu epak-akmu chakami, ifiaormu ngarud chakami as nan chiyuycha fiafuy.”
MAT.8.32	“
MAT.8.33	Nan chiyuycha mangay-aywan as nan chiyuycha fiafuy at tenmagtagcha henan ili, at enpachamagcha nan am-in as nan tataku hid-i patí nan enommat as nan lanaraki ay nunkaanennetan. 
MAT.8.34	As nan hiyachi, uy sinib-at am-in nan umili hi Jesus. Kuncha pay inila hiya, nunpakaasicha kan hiya ta mak-ak hiya henan lukiar ay sasakopuncha.
MAT.9.1	Kun pay narpas chi, nunlukian cha Jesus as nan fiangka, ya kasincha kinumchang henan fiayfiay inkiana nunfiangadcha henan mismu ay ilen Jesus. 
MAT.9.2	As nan hiyachi, wachacha nan nangiyuy kan Jesus as laraki ay paralitiko ay finmafianak as nan ubfukiana. Kun pay inilan Jesus nan pammaticha, kenalina as nan paralitiko, “
MAT.9.3	Angkiay ya wachacha nan tapen nan mun-isursuru as Lintig ay cha mangali as numnumcha, “Nakkuran man na ay taku t'uyna epapachong chi achorna kan Apo Dios!”
MAT.9.4	Ngem ammon Jesus nan chacha numnumnumun, ya kanana, “
MAT.9.6	” Angkiay ya kenalina as nan paralitiko, “
MAT.9.7	As nan hiyachi, tenmakchug nan laraki, at kenmatam. 
MAT.9.8	As nan nangil-an nan ongor ay tataku as nan enommat, inmugyatcha, ya chinaychayawcha hi Apo Dios ay nangichat as assena ay kalibfengan as nan tataku.
MAT.9.9	Kun pay nak-ak hi Jesus hid-i, as nan chana manarcharanan, inilana nan usa ay laraki ay nan ngachana at Mateo ay nangatokor as nan opisinana ay munfiayfiayachan as fiaror. Kenalen Jesus kan hiya, “
MAT.9.10	As nan nangatokoran cha Jesus ay makekan as afong Mateo, ongor chi enmali ay mangam-among as fiaror ya tapina ay fumafiasor, ya nakekancha kan Jesus ya as nan disipulusna. 
MAT.9.11	Kun pay inilan nan chiyuycha Fariseo nan enat cha Jesus, senarudsudcha as nan disipulusna, “Adchi t'uy makiuufong nan misturuyu as nan chiyuycha mangam-among as fiaror ya as nan tapina ay fumafiasor?”
MAT.9.12	Ngem kun pay chinngor Jesus chi, kenalina, “
MAT.9.14	Angkiay ya enmali kan Jesus nan disipulus Juan ay Fumufunyag, ya senarudsudcha kan hiya, “Adchi t'uy chakami ya nan chiyuycha Fariseo at mun-ayunar, ngem nan disipulusmu at achicha?”
MAT.9.15	Tinumfor hi Jesus kan chicha, “
MAT.9.16	Kenalen us Jesus ay nangepachong, “
MAT.9.17	”
MAT.9.18	As nan cha munkarkaliyan Jesus kan chicha, enmali nan usa ay ap-apon chi Judio kan hiya. Nunpalintumang as nan sangwanana, ya kanana, “Apo, katkatuy nan pototku ay fiafiai. Ngem omalika pay ta epataymu nan limam kan hiya ta kasin mataku.” 
MAT.9.19	Isunga naligwat hi Jesus, ya inmunud kan hiya. Nakiuycha us nan disipulusna.
MAT.9.20	Wacha hid-i nan usa ay fiafiai ay cha mun-ichaichara as hinpuru ya chuwa ay tawwun. Naesnop as uchug Jesus ya kenpana nan kiayachan nan fiachuna, 
MAT.9.21	tay kanana as numnumna, “Mu kunku paat kap-un nan fiachuna at omammayak.”
MAT.9.22	Kun pay nunsakong hi Jesus, inilana hiya, ya kanana kan hiya, “
MAT.9.23	Kun pay inumchan hi Jesus as nan afong nan ap-apu, inilana nan munkorkoraling para as nan punpun ya nan naaamong ay tataku ay cha mun-at-atengorngor, 
MAT.9.24	ya kanana, “
MAT.9.25	Ngem as nan naepapitiwan nan tataku, sinungkop hi Jesus as nan kawad-an nan fumarasang. Angkiay ya inunnana nan limana, ya nafiannangun nan fumarasang. 
MAT.9.26	As nan hiyachi, naepachamag nan nauy ay enat Jesus henan am-in ay sakop nan hana ay lukiar.
MAT.9.27	Nak-ak hi Jesus hid-i, ya as nan chana manarcharanan, inunud nan chuwa ay lanaraki ay nafurag hiya. Chacha ifugfukiaw kan hiya, “Sug-angam man paat chakami, he-a ay Kianak David!”
MAT.9.28	Kun pay sinungkop hi Jesus as nan afong, nakiskop us nan chiyuycha chuwa ay nafurag. Senarudsud Jesus kan chicha, “
MAT.9.28	“O, Apo,” kenalicha.
MAT.9.29	Angkiay kenpan Jesus nan matacha, ya kanana, “
MAT.9.30	As nan hiyachi, nakaan nan finuragcha. Angkiay ya infilin Jesus ay ustu kan chicha, “
MAT.9.31	Ngem as nan nak-akancha's chi, uycha enpachamag nan maepangkep kan Jesus henan am-in ay sakop nan hana ay lukiar.
MAT.9.32	As nan cha mak-akan nan chiyuycha nakaan chi finuragcha, inyuy nan tapen nan tataku kan Jesus nan usa ay laraki ay inumor nan anennet. 
MAT.9.33	Kun pay enpafoknag Jesus nan anennet ay wacha as nan umor, nunkali nan laraki. Naschaaw nan naamong ay tataku, ya chacha kanan, “Maid poros inil-ilami as assena hena ad Israel!”
MAT.9.34	Ngem kenalen nan chiyuycha Fariseo, “Mun-epak-ak hiya as anennet kiapú as nan inchat nan ap-apon chi anennet ay pannakafialina.”
MAT.9.35	Angkiay ya nunfiabfiaat hi Jesus henan am-in ay ili ya fiabruy. Nun-is-isuru hiya as nan chiyuycha senagogacha, ya enkaskasabana nan Ammay ay Chamag maepangkep henan muntorayan Apo Dios. Kenaana us nan am-in ay tukutukún ay saketcha ya am-in ay tukutukún ay iliwas chi achorcha. 
MAT.9.36	As nan nangil-ana as nan ongoongor ay tataku, nasug-ang hiya kan chicha, tay malilifokancha ya maliglikiatancha ay maepachong as nan chiyuycha karnero ay maid mangay-aywan kan chicha. 
MAT.9.37	Kenalina as nan disipulusna, “
MAT.9.38	”
MAT.10.1	As nan usa ay urkiw, enayakian Jesus nan hinpuru ya chuwa ay disipulusna. Angkiay ya enettana chicha as kalibfengancha ay mun-epak-ak as anennet ya mangaan as am-in ay tukutukún ay saket ya am-in ay tukutukún ay iliwas chi achor. 
MAT.10.2	Nauycha nan ngadngachan nan hinpuru ya chuwa ay apostoles: nan omona at hi Simon ay makali us un Pedro, hi Andres ay sunúdna, nan hen-aki ay cha Santiago kan Juan ay potot Zebedeo, 
MAT.10.3	hi Felipe, hi Bartolome, hi Tomas, hi Mateo ay mangam-among as fiaror, hi Santiago ay potot Alfeo, hi Tadeo, 
MAT.10.4	hi Simon ay makali un mangesasaket as nasyona, ya hi Judas Iscariote ay mangesepseptu kan Jesus.
MAT.10.5	Infiaor Jesus nan nauycha hinpuru ya chuwa, ya infilina kan chicha, “
MAT.10.11	“
MAT.10.16	Kenalen pay Jesus, “
MAT.10.21	“
MAT.10.24	“
MAT.10.26	“
MAT.10.31	”
