MRK.1.1	Eiwa God da Mai, Yesu Keriso,
MRK.3.8	Jerusalem nasida, Idumia yaida, un Jodani ainda abagada, Taia nasida, Saidoni nasida amimi ambo ambo edo guputera. “Yesu mi buro nandogo edo eira,” awa ingido ainda yai guputera. 
MRK.3.9+MRK.3.10	Yesu embomai jiwae euri kaviyegedo esitera. Awatedo, nenei jiwae gundo embo awa tujiain mitedo esitera. Edo Yesu mi ambodanide sisina, “Un ma itomane namonde sindewo wotare. Embomai jiwaebé na mitera. Awatedo, na visido mada anumane.
MRK.3.11	Edo embomai asisi bebegaemi bundari awa, yai nonda imo gotera awa, doda durudo aorogatedo tedo esitera, “Imo God da Mai bé ra!” 
MRK.3.12	Ata Yesu mi asisi bebegaede ge okain tedo esisina, “Dao nato emboda dombuda karigeove!”
MRK.3.13	Edo imo pejida visido ami akuta embo imo jipapa eira awa dao tesiri ainda yai guputera. 
MRK.3.14	Ango edo ami embobo 12 awa avigesisina. Awamane imonde daedo isiaro atopasido piari idegorote, God da ge dave awa baiari piara, 
MRK.3.15	edo awamane ainda goroba budo karu ari awa gao aro kaviyegara, edo bineimane ondaro idegara: 
MRK.3.16	Simon da dao awa Peter pipisisina; 
MRK.3.17	James ae nameji John de awa Zebedee da mamai, awa dao “Dunana da Mamai” pipisisina, aindabé, awamane sinigambarimi yavi jiwae edo esitera awatedo; 
MRK.3.18	Andrew de Philip de Bartholomew de Matthew de Thomas de Alphaeus da mai James de Thaddaeus de Simon (embo Kanan edo gumbari) de; 
MRK.3.19	edo Judas Iscariot ami amboda Yesu betarida piaina.
MRK.3.20	Awamane maundo mandoda totoritera. Edo embomai jiwae tenda gundo doregesitera. Awatedo, Yesu ae ainda ambodani demi indari injido tao ae edo oena apari tao ae. 
MRK.3.21	Edo embo neneimi tedo esitera, “Embo awa kotembari dadoegari!” Awatedo, ainda teotopo ge awa ingido idegedo maunsitera, embo awa jiaro petarate.
MRK.3.22	Edo Aodarida atopapasigari Jerusalem edo wotedo gundo tedo esitera, “Beelzebul,
MRK.3.23	Yesu awamane dao tesiri ainda yai guputera. Edo eniya ge sisina. “Satan mi ainda asisi bebegae nongo ondari idegari? Satan mi ango ari jipapa ainyae. 
MRK.3.24	Edo nasi bajina da (1)mi akuta avigedo kupo petari kupo petari mina dara ara, awa petari tao ae. 
MRK.3.25	Edo orobe da (1)mi akuta avigedo kupo petari kupo petari mina dara ara, awa petari tao ae. 
MRK.3.26	Awatedo, dá ango Satan da buro embobo akuta erido kupo avigari kupo avigari edo mina dara ara, Satan da gisijiari awa petari tao ae, ata itae aina. 
MRK.3.27	Atako embo da aimi goroba emboda mandoda tepo torido ainda rorae bari tao ae, ata gisibé goroba embo awa asimi bundedo awa, ainda rorae beono aina.” Yesu mi ge eiwa, kariwa imo akuta ainda bureite sisina. 
MRK.3.28	“Awara! Ge ro boroko imondemane tena, eiwa giwo! Embomai aimi God da yai wareregedo ainda jimbo bebegae karigara awa God mi emboda jimbo kotembedo dowaina, bebegae ro ara edo ge butari ro tara awa. 
MRK.3.29	Ata embo aimi Asisi Kotopu de ge bebegae taina awa, imo kotembedo mana dowaina, ata rirowa natopo itari baina.”
MRK.3.30	Awamanemi “Embo awa asisi beyaede!” tedo esitera, awatedo, Yesu mi ge ango sisina.
MRK.3.31	Edo Yesu da nanonameji ae ai de gundo arapada petedo imo dao sitera. 
MRK.3.32	Edo embomai jiwaebé anumbedo jinenembesitera. Ami ainde sitera, “Giyo! Ito ai ae nanonameji de arapada imo gain jipapa era.”
MRK.3.33	Ata Yesu mi awamanede mina sisina, “Ave awa ko nato ai ae nato nanonameji de ri?”
MRK.3.34	Imo embomai anumbedo jinenembesitera awa, jisini esisina. Edo sisina, “Eiwamane awa nato ai edo nato nanonameji! 
MRK.3.35	Aimi God da jipapa edo eira awa nato nameji, nato ru edo ai.”
MRK.4.1	Edo Yesu tenda atopatari tuturo esisina, Galili ubutu demonda. Edo embomai jisi da imo jinenembesitera. Awa jiwaebé etero gido imo ma doda wotedo anumbesisina. Edo ma awa unda isiri embomai berari un bengida pepositera. 
MRK.4.2	Ango edo imo eniya ge jiwaemi awamane atopaposisina. Edo awamane atopapoteite tedo esisina, 
MRK.4.3	“Ingiwo! Embo da (1) awa rorae vero purara piain kundo maunsisina. 
MRK.4.4	Edo vero nenei begata beda pipisisina awa nimi wotedo injitera. 
MRK.4.5	Edo nenei ganuma gajida pipisisina. Edo butu puruta ae, awatedo, boraebé eroritera. 
MRK.4.6	Ata iji visido gaiesiri besinya tamonda rare mumuya esitera. 
MRK.4.7	Edo vero nenei kurereda duduritera edo kurere erido ami ipuda engesiri ginene esitera be ekae. 
MRK.4.8	Edo vero nenei butu daveda pipisisina. Awa dave erido be ekitera, nenei jiwaego (30), nenei jiwae (60), nenei jiwaebé (100).”
MRK.4.9	Edo Yesu awamanede sisina, “Ingiwo! Imomane ge ro tena awa bé gain edo gawa!”
MRK.4.10	Ata ainda amboda, Yesu imo akutabé isiri avekave ge ingitera, awamane ae ainda embobo 12
MRK.4.11	Edo Yesu mi awamanede sisina, “Imomane God da gisijiarida gebé onjigari awa ano arapa ari gawa. Ata nenei arapada, owamanede rorae berari eniya gemi tana. 
MRK.4.12	Awatedo,
MRK.4.12	‘Nato buro gido ara, ata ainda mokabé mana gara.
MRK.4.12	Nato ge ingido ara, ata ainda atopatari mana arapa ari gara.
MRK.4.12	Ango ara awa jimbo bebegae dodo God da yai wareregaro
MRK.4.12	edo God mi awamaneda jimbo kotembedo dowae esira.’”
MRK.4.13	“Imomane eniya ge eiwa gae ewa?” Yesu mi awamanede sisina, “Nongo edo awa imomane eniya ge berari eiwa itomane yai arapa aini? 
MRK.4.14	Vero piari embo awa embo God da ge sira ara. 
MRK.4.15	Embomai God da ge ingido doda pisido era awa ango vero begata beda pipisisina. Boraebé Satan gundo God da ge awa kundo maunteiuri awamane God da ge ruvegedo era. 
MRK.4.16	Embomai nenei awa butu ganuma gajida ango. Awamane God da ge ingido do yawade boraebé budo era. 
MRK.4.17	Aindabé God da ge awamaneda dobéda wotedo petae, awamane God da ge iji tupo gebé edo era. Awamane awa dá nya ango ainda besinya tuda tembae. Awatedo iji angode God da ge ambo ambo eiworo buriya neindekainde ko memesi neindekainde euri boraebé durudo era. 
MRK.4.18	Embo nenei awa butu vero kurere tutuda duduritera ango. Awamane God da ge ingido era. 
MRK.4.19	Ata butu roraeda kotembari jiwaemi awamaneda do buriya edo eira. Edo butuda gaiapami awamane udumbedo eira. Awamane tamopisida rorae awa jipapa edo era. Awatedo, awamane God da ge ruvegedo ainda buro dave ae edo era. 
MRK.4.20	Embomai nenei awa ango vero butu daveda pipisisina awa, God da ge ingido awamaneda doda piedo era. Awatedo, awamane God da be jiwaego (30), nenei jiwae (60), nenei jiwaebé (100) ango ekegedo era.”
MRK.4.21	Yesu mi tedo esisina, “Embo da aimi keimo ijimbedo teo kuwoda piarita? Paro dutuda piaini? Awa keimo piari petari yai ae. 
MRK.4.22	Rorae ro onjigarida isira awa kundo arapada piaina. Edo rorae ro apuregari isira awa pirigaina. 
MRK.4.23	Imomane ge tena eiwa gain edo, awa gawa.”
MRK.4.24	Yesu mi daedo awamanede sisina, “Davebé edo ro berari awa ingiwo! Imo God da ge kundo tegatega eta dá ango God mi imo tega aina. Ango edo ito yaida saka ingeta awa God mi ari bajina aina. 
MRK.4.25	Ata avekave rorae ro isira awa jiwae piaina. Edo avekave rorae ro itae awa saka ro awamaneda yai isira awa dodo baina.”
MRK.4.26	Yesu mi tedo sisina, “God da gisijiari awa kariwa dá engo. Embo da (1) ami rorae vero kundo maundo puwa doda purara pipisisina. 
MRK.4.27	Edo dodo maundo isiri vero awa korukaru edo eroritera. Ata embo ami akuta vero awa nongo edo korukaru edo eroreri awa gae. 
MRK.4.28	Butumi akuta euri vero awa erido be ekedo esitera. Gisi goru arapa edo awa uji edo eira, isite awa be arapa edo esitera. 
MRK.4.29	Ango edo be awa isite bajido tari esitera. Edo indari iji tega biri gido awa boraebé kapedo esisina.”
MRK.4.30	“God da gisijiari awa kariwa nongo tani?” Yesu mi tedogosisina, “Awa eniya geda kariwa nongo bani? 
MRK.4.31	Awa kariwa engo, embo da (1) ami maine vero burisina. Awa saka mainbé butuda uraina. 
MRK.4.32	Ata erido bajido patu gataina. Edo ni wasidemi gundo ainda dugada ma piara.”
MRK.4.33	Yesu embode dengoro baiari piedo esisina. Jiwaebé awa eniya geda ami tari awamaneda yai arapa ari gorote. 
MRK.4.34	Imo ge tepo tae, ata berari eniyada tedo esisina. Ata imo akuta eite awa ainda ambodanide eniya geda mokabé awa berari teuri gido esitera.
MRK.4.35	Deguta dá ainda turode, Yesu mi ainda ambodanide sisina, “Puwo! Kaende temundo ubutu kupo ounda mamboré.” 
MRK.4.36	Ango edo embomai jiwaebé awa ainda dodo Yesu mada anumbesiri, ambodanimi kundo ubutu kupo neinda temain tuturo esitera, ma babaingae neneinde daedo. 
MRK.4.37	Edo ango ero boraebé bisi gupeiri edo un torupeka eiri ma utoro vivisisina, aikae kununumbari tao. 
MRK.4.38	Yesu awa ma aoda kopuru guto piedo jitao aveiri ambodanimi imo audedo sitera, “Atopatari, imo nakare betain era amo gotesi?”
MRK.4.39	Yesu erido petedo biside ge okain sisina, “Yavi do!” Edo ubutude sisina, “Damodamo e!” Bisi itae eiri ubutu damodamo esisina.
MRK.4.40	Edo Yesu mi ainda ambodanide sisina, “Nongo edo imomane adu evi? Itomane gebé ari nato yai itae ra?”
MRK.4.41	Awamane kore bajinabé edo mina tara esitera, “Embo eiwa averi? Giwo, bisi ae ubutu de ainda ge ingido kera era!”
MRK.5.1	Yesu ae ainda ambodani de Galili ubutu kupo neinda guputera, yai Gadareni do ainda. 
MRK.5.2	Edo iji angode Yesu ma doda edo idegeteiri, embo da (1) awa goiari yai dá ango edo idegedo gundo Yesu tapusina. Edo embo awa asisi beyae doda itari. 
MRK.5.3	Banga toda yai embomaimi awamaneda bebetegari piedo era ainda isima edo esisina awa, embo da aimi asi okain aurimi ari
MRK.5.4	Aindabé, iji jiwae asi aurimi ari ami ainda ipatai bundedo jiaro itarate edo esitera. Ata asi okain jiuri kapedo esisina. Embo awa goroba jiwae, embo da aimi ao darari tao ae. 
MRK.5.5	Ijide muyaende, embo awa goiari yaida gundo maundo eite pejida aorogateite ganumami akuta tamo kapedo einesina.
MRK.5.6	Edo embo ami Yesu aikamana gido tumundo gundo ainda doda baongo dadari esisina. 
MRK.5.7+MRK.5.8	Ango edo Yesu mi asisi beyaede sisina, “Embo awa dodo idege!” Awatedo, aorogatedo sisina, “Yesu, God Ikane Itarida Mai, imo namonde ro ain jipapa esi? God da daoda tena, na dedo sitote.”
MRK.5.9	Edo Yesu tedogosisina, “Dao ito averi?”
MRK.5.9	Edo embo ami mina sisina, “Dao nato Jisi Da, aindabé nakare jiwaebé awatedo.” 
MRK.5.10	Edo embo ami Yesu benunu tedo dowae edo esisina, “Yai neinda mamborekae!”
MRK.5.11	Yai ainda pumane jisi da undedo era, peji demonda. 
MRK.5.12	Ango edo bineimanemi Yesu de benunu tedo dowae esitera, “Nakare pie maundo pumaneda yai tororé.” 
MRK.5.13	Edo Yesu mi asisi bebegae doda itaride sisina, “Awara, mambú!” Ango tesiri awamane idegedo maundo puda doda totoritera. Edo pu jisijisi ajijigari 2,000 awa peji dedewada tumundo matawa wotedo un ubutuda injido bebetegesitera.
MRK.5.14	Embobo avekave pu sima ero jijirisina awa adu maundo bino awa tetero gositera, nasi bajinada edo indari kumbari urari nasida ainda. Embomai idegedo maunsitera, wasiri nongo nongo esiri awa gain. 
MRK.5.15	Edo awamane Yesu da yai gundo, embo bineimane jisi dami bundari awa ainda anumbedo isiri gositera, ombarijiari ari, kotembari dave gumbarate eiri, gido adu esitera. 
MRK.5.16	Edo awamanemi nongo edo Yesu mi embo ainda bineimanemi bundari isinesina awa bineimane ondesiri idegedo pumaneda yai maunsitera awa, embo neneinde tetero gositera. 
MRK.5.17	Awatedo, embobo yai ainda ami tuturo edo Yesu engega sitera, “Natokare yai dodo mambuyo!”
MRK.5.18	Ango etero Yesu tuturo edo ma doda totoreiri embo bineimanemi bundari awa gao esiri kaviyegesisina ami Yesu de tedo dowae esisina, “Na do! Imonde mamane.” 
MRK.5.19	Awarata, Yesu embo awa dowae ainde mambae, ata sisina, “Dodo egenembedo nasida mambuyo, ito orobeda, edo teyo goré, ‘Badari da do ari bajina nato yai edo na esiri kaviyegetena!’” 
MRK.5.20	Awatedo, embo awa dodo maunsisina, Nasi Babain Ajigari 10 ainda eite, Yesu mi imo gao esiri kaviyegesira awa teuri embomi gido korebé edo esitera.
MRK.5.21	Yesu tenda egenembedo ubutu kupo neinda made tepusina. Embomai jisi da ubutu demonda jinenembesitera. 
MRK.5.22	Jairus awa Judah embomainda benunu oro sima ari. Ami Yesu da yai gundo baongo dadari 
MRK.5.23	edo benunu sisina, “Nato gagara duberi 12 ango awa karu beyaebé edo betari aikae esira. Gumbu! Ipa tamonda piato kaviyegedo itare.” 
MRK.5.24	Awatedo, Yesu aedade mauntero embomai jiwaebé awamane doiedo daedo maunsitera.
MRK.5.25	Ango edo eutu da (1) awa karu ororo bureite duberi 12 doturisina. 
MRK.5.26	Edo iji jiwae siwo gao ari emboda yai aro kaviyegain ganu kundo maundo esisina. Ata karu kaviyegae ainda ganu itae esisina. Ainda karu bajina esisina. 
MRK.5.27	Ango edo eutu ami Yesu da gumbari ge ingido embomi Yesu doiedo mauntero ainda gunda maundo Yesu da ombari ribori tujijisina. 
MRK.5.28	Eutumi kotembesisina, “Tepo da (1) na embo ainda ombari ribori tujido awa kaviyegana.” 
MRK.5.29	Tujijieira angode, Yesu da gorobami eutu awa esiri ororo jingesiri kaviyegesisina. Edo tamo mina dave burisina.
MRK.5.30	Yesu boraebé gosisina, ainda goroba awa idegeteira. Edo wareregedo embomainde sisina, “Ombari nato aimi tujiri?”
MRK.5.31	Yesu da ambodanimi sitera, “Embo jiwaebé imo doiera gotesi? Ro awa embo imo, ‘Aimi tujiri’ tesi?”
MRK.5.32	Edo Yesu eutu aimi ainda ombari ribori tujiri awa gain kakowa esisina. 
MRK.5.33	Eutu kaviyegesisinami adu eite do periperi eite Yesu da yai gundo baongo dadari edo sisina, “Na awa ororo bureite duberi 12 dotena, edo gundo ito ombari ribori tujido kaviyegetena. Awa ge bémi tena.” 
MRK.5.34	Edo Yesu mi eutu ainde sisina, “Gagara nato, bégade mambuyo! God mi ito gebé ari nato yai pieteta ami imo esiri kaviyegeteta.”
MRK.5.35	Yesu ge eiwa siri Jairus da mandoda edo embo nenei guputera. Edo sitera, “Ito gagara itae esira. Atopatari dowato mando itoda gumbure.”
MRK.5.36	Yesu ge tera awa ingido Jairus de sisina, “Itadaita eote! Na tumonda ewasi!”
MRK.5.37	Ango edo embomai nenei tesiri dotero edo Peter de James ae nameji John de kundo maunsisina. 
MRK.5.38	Awamane gundo Jairus da mandoda, Yesu yavi bajinabé eite ji tero gosisina. 
MRK.5.39	Edo Yesu mandoda torido embomainde sisina, “Yavi eite einda ji tewa aindabé rori? Gagara saka eiwa betae, ata jitao aveira.” 
MRK.5.40	Ango tesiri gido awa embomai mandoda ami Yesu tedojijiritera.
MRK.5.40	Ata Yesu awamanede sisina, “Imomane eve iwo!” Ango edo imo gagarada aimamo de ambodani tamonde (3) de awa budo gagara betari isira do ainda totorisina. 
MRK.5.41	Edo Yesu gagara saka awa ipada jijieite Judah embomainda gemi sisina, “Talitha cumi!” (ainda moka awa “Gagara saka eri!”). 
MRK.5.42	Boraebé gagara saka awa erido ainto esisina. Ainda aimamomi gido, “Aiiya! Wasiri eiwa tena!” ango mina tara esitera. 
MRK.5.43	Yesu awamanede sisina, “Embo neinde teove, gagara eteno kaviyegesira eiwa!” Edo amboda sisina, “Gagara eiwa indari piewo indare.”
MRK.6.1	Yesu yai awa dodo ainda ambodanide daedo egenembedo ainda nasi topobé Nasaret, ainda maunsitera. 
MRK.6.2	Edo Oena Apari Deguta gumbiri Yesu Judah embomainda benunu oroda torido embomai atopatari tuturo esisina. Edo embo jiwae ainda ge ingido korebé esitera.
MRK.6.2	Awamanemi sitera, “Embo eiwa kotembari yai nonda budo atopatari engo pipiteiri? Ainda dubogari de jirogari de eiwa nonda biri? Ainda awara tari de goroba de ain piesiri? Buro babain emomo eiri? 
MRK.6.3	Eiwa oromando ari embo ra? Edo Mary da mai, edo James da nameji, Joses, Judas, edo Simon da? Ainda ruaimono einda isima erita?” Ango tedo awa imo ajiregesitera.
MRK.6.4	Edo Yesu mi awamanede dubogari gemi sisina, “Peroveta awa nasi neneinda tou edo era. Ata ainda nasi topobé ainde teotopo de orobe demi tou ae edo era.” 
MRK.6.5	Edo imo buro babain awa ari tao ae esisina. Ata karu embomai indewae awa ipa tamonda piedo gao esiri kaviyegesitera. 
