GEN.1.1	Könakönahiŋe Anutunöŋ Suep aka gölme miwikŋaim etkiyök. 
GEN.1.18	Mi gölme mem asariba wehön aka suŋgem galömŋina kinda asakŋi aka pandamanŋi mendeŋ etkimegöra al eŋgiyök. Mewö asuhuiga Anutunöŋ eŋgehiga miaŋön mönö ölöwahök. 
GEN.1.19	Wehön 4:ŋi teköiga miri kunbuk söŋauba giaŋiyök.
GEN.1.20	Giaŋiiga Anutunöŋ kewö jim kutuyök: “O köwet mieŋgö uruŋine mönö yuai isikusukŋinambuk asuhuba dop köla o qeba ölölaŋgöba laŋ anda kaba malme. Mewöŋanök neiŋi neiŋi gölme qakŋe könakemba bölbölgöba kutuba anda kaba malme.” 
GEN.1.21	Mewö jiba köwetkö sömbupŋi ketaŋi ketaŋi aka yuai isikusukŋinambuk tandökŋini könaŋi könaŋi o qeba ölölaŋgöba qeqelaŋlaŋ anda kamakzei, mi miwikŋaim eŋgiyök. Mewöyök nei tandökŋini könaŋi könaŋi ginginŋinambuk mi miwikŋaim eŋgiyök. Miwikŋaim eŋgiba eŋgehiga miaŋön mönö ölöwahök. 
GEN.1.22	Ölöwahiga kötuetköm eŋgiba keu kewö jiyök: “Iŋini mönö köt moröŋinambuk jul sehiba o köwet dop köla malme aiga nei iŋini mönö mewöŋanök gölme qakŋe ahum sehime.” 
GEN.1.23	Keu mewö jiiga wehön 5:ŋi teköiga miri kunbuk söŋauba giaŋiyök.
GEN.1.24	Giaŋiiga Anutunöŋ kewö jim kutuyök: “Gölme qakŋe mönö yuai pakpak malmalŋinambuk tandökŋini könaŋi könaŋi asuhume. Mirigö sömbupŋi, yuai bapŋinan köla ölölöŋgömakzei aka arökŋaŋgö sömbupŋi tandökŋini könaŋi könaŋi, mi mönö asuhume.” Mewö jim kutuiga mönö kewö asuhuget: 
GEN.1.25	Anutunöŋ arökŋaŋgö sömbupŋi tandökŋini könaŋi könaŋi mi miwikŋaim eŋgiyök. Mirigö sömbupŋi tandökŋini könaŋi könaŋi mi miwikŋaim eŋgiyök aka yuai pakpak bapŋini gölmenöŋ köla ölölöŋgömakzei, tandökŋini könaŋi könaŋi mi miwikŋaim eŋgiyök. Miwikŋaim eŋgiba eŋgehiga miaŋön mönö ölöwahök. Mewö.
GEN.1.27	Mewö jiba nanŋi kaisoŋgolomŋaŋgö dop azi miwikŋaiyök. Anutugö kaisoŋgolomŋi ewö malmapköra i miwikŋaim waŋgiyök. Azi aka ambi malmahotköra i miwikŋaim etkiyök. 
GEN.1.28	Miwikŋaim etkiba i kötuetköba kewö jim kutum etkiyök: “Iŋiri mönö ahum sehiba gwölönarökpuk malohotka gölme dop köla malme. Mewö mala gölme toŋi akŋe. Mewö aka köwetkö söraŋi, könakembagö neiŋi aka sömbup mokoleŋ laigisip gölmenöŋ anda kamakzei, mönö mi pakpak galöm köl eŋgiba malme.” 
GEN.1.29	Mewö jiba keu kewö jiyök: “Mötket, nöŋön yöha könaŋi könaŋi gölme pakpak dop köla asuhuba wahöta kötŋini kuŋgum söhömakzei aka ip kösö pakpak öl kötŋinambuk kuŋgum söhömakzei, mi numbu neneŋini akŋapköra al eŋgizal. 
GEN.1.30	Arökŋaŋgö sömbupŋi pakpak, könakembagö neiŋi pakpak aka yuai pakpak gölmenöŋ anda kamakzei aka tosatŋi pakpak söŋgörö ösumŋini örömakzei, yeŋgöra gwözözak görökŋi (töŋgönŋi) könaŋi könaŋi mi neneŋamŋini akŋapköra al eŋgizal. “Keu mewö jiiga mönö mewö asuhuyök. 
GEN.1.31	Asuhuiga Anutunöŋ yuai pakpak miwikŋaiyöhi, mi ehiga mönö ölöp kötökŋi aiga urusösöŋgai mörök. Wehön 6:ŋi teköiga miri kunbuk söŋauba giaŋiyök. Mewö.
GEN.2.1	Giaŋiiga suepkö jakeŋi jakeŋi, gölme aka mietkö yuaiŋiri aködamunŋirambuk pakpak mi lök miwikŋaim eŋgim teköyök. 
GEN.2.2	Anutunöŋ nupŋi mi mei teköiga wehön 7 miaŋgöreŋ kendon tarök. Nupŋi pakpak meyöhaŋgöra wehön 7 miaŋgöreŋ luhut meyök. 
GEN.2.3	Miwimiwikŋai nupŋi pakpak meyöhaŋgöra aka wehön miaŋgöreŋ luhut meyök. Miaŋgöra wehön 7:ŋi mi kendon jiba kötuetköba jim kömbuhiyök. Mewö.
GEN.2.4	Anutunöŋ suep gölme miwikŋaim etkiiga asuhuyohoraŋgö kösohotŋi mi mewö. Kembu Anutunöŋ suep aka gölme miwikŋaim etkiyöhi, nalö miaŋgöreŋ 
GEN.2.5+GEN.2.6	Kembu Anutugö jitsihitköra gölme qakŋe kie qahö yöhöiga nup kölkömötköra azi kun kude malökmö, gölme uruŋeyök bedunöŋ miyök kota gölme qakŋi dop köla mem samuruyök. Miaŋgöra arökŋaŋgö ip kösö kun me sombemgö gwözözak yuai kun mi gölmenöŋ qahö asuhum tiŋgita ahöyök.
GEN.2.8	Mewö aiga Kembu Anutunöŋ wehön kotkotŋe göröken miri qetŋi Eden miaŋgöreŋ oyaeŋkoyaeŋ nup kömöta azi miwikŋaiyöhi, i miaŋgöreŋ al waŋgiyök. 
GEN.2.9	Al waŋgiba jiiga gölmenöhök ip tandökŋini könaŋi könaŋi asuhuba wahötket. Ip mi eksihimŋinambuk aiga ölŋini neneŋi mi nahömŋinambuk. Oyaeŋkoyaeŋ nup bibiŋe malmal köhöikŋaŋgö ipŋi aka mötkutukutugö ipŋi mi mohotŋe jim kutuiga asuhuyohot. Mötkutukutugö ipŋaŋgö könaŋi kewö: Ölŋi nemba miaŋön ölöpŋi aka bölöŋi mietkö könaŋiri mi möt kutubahotpuk.
GEN.2.10	Ip mewö wahötketka o töwatŋi kun mi Edenök könahiba oyaeŋkoyaeŋ miri mem kelita miaŋgöreŋök eta jula o böröŋi töwatŋi 4 aka anget. 
GEN.2.11	O töwatŋi mutukŋaŋgö qetŋi Pison, mi Hawila gölme körek liliköba ahöba anja. Gölme miaŋgöreŋ goul ahöza. 
GEN.2.12	Gölme miaŋgö goulŋi mi ölöpŋi kötökŋi akza. Sileqösösök umköhöwakŋambuk qetŋi bedelion aka köt ölŋambuk qetŋi oniks mi mewöyök miaŋgöreŋ ahözahot. 
GEN.2.13	O böröŋi töwatŋi jaŋgö 2 miaŋgö qetŋi Gihon. Mi (Mesopotemiagö) gölme qetŋi Kus mi körek liliköba ahöba anja. 
GEN.2.14	O böröŋi töwatŋi karöbutŋi qetŋi Taigris. Mi Asiria gölme wösöŋe wehön kotkotŋe göröken geba anja. O böröŋi töwatŋi jaŋgö 4 miaŋgö qetŋi mi Yufreitis.
GEN.2.15	Mewö aiga Kembu Anutunöŋ azi waŋgita oyaeŋkoyaeŋ miri Eden köl kömöta ek galöm akŋapköra jiba al waŋgiyök. 
GEN.2.16	Al waŋgiba kewö jiba jim kutum waŋgiyök: “Oyaeŋkoyaeŋ nup uruŋe ip pakpak kin anjei, mieŋgö ölŋini mi ölöp amqeba mem nemba malman. 
GEN.2.17	Mimö, mötkutukutugö ipkö ölŋi mi mönö kude neman. Mi nemba ölöpŋaŋgö könaŋi aka bölöŋaŋgö könaŋi möt kutuman ewö, gi mönö wehön miaŋgöreŋök kömum köhöiman. Miaŋgöra mi mönö kude neman.”
GEN.2.18	Mewö jiba Kembu Anutunöŋ jiyök: “Azinöŋ nanŋök maliga ölöp qahö akza. Miaŋgöra nöŋön mönö nanŋi tandökŋaŋgö dop alabaukŋi miwikŋaimam.” 
GEN.2.19	Mewö jiba arökŋaŋgö sömbupŋi pakpak aka könakembagö neiŋi pakpak mi gölmenöŋ miwikŋaim eŋgiba azigö kösutŋe eŋguaŋgita azinöŋ qetŋini denöwö qetmawi, mi eka mötmapköra yaŋgöreŋ al eŋgiyök. Al eŋgiiga azinöŋ yuai malmalŋinambuk pakpak mieŋgö qetŋini mohok mohok qeriga Anutunöŋ mewö mia ahömapköra jim köhöiyök. 
GEN.2.20	Mewö aiga azinöŋ mirigö sömbupŋi pakpak, könakembagö neiŋi pakpak aka arökŋaŋgö sömbupŋi pakpak mi qetŋini eŋgim teköyök. Eŋgim teköyökmö, nanŋi tandökŋaŋgö dop alabaukŋi malmapköra kun qahö miwikŋaiyök.
GEN.2.21	Qahö miwikŋaiiga Kembu Anutunöŋ mi eka azi mem lömböriiga gaun lömbötŋi ahöyök. Ahöiga maröm sihitŋi kun öröba dumdumŋi busuŋan mem gwözöŋnök. 
GEN.2.22	Gwözöŋda azinöhök maröm sihitŋi meyöhi, miaŋön ambi meyök. I memba azigöreŋ waŋgita kayök. 
GEN.2.23	Waŋgita kaiga azinöŋ i eka kewö jiyök:
GEN.2.23	“Yei! Ki nani tandöha. Yaŋgö sihit busuŋi mi nani sihit busunöhök asuhuza.
GEN.2.23	Anutunöŋ i azigö sile kitipŋeyök mei letota azi tandök ewö maljawaŋgöra qetŋi mönö ambi (azigö alaŋi) qetme.
GEN.2.24	Mewö jiiga Anutunöŋ kewö jim kutum etkiyök: “Mewö aiga azinöŋ mönö iwinamŋi etkömosöta anömŋaŋgöreŋ qekötahöba silemohot aka malmahot.”
GEN.2.25	Azi miaŋön anömŋambuk opo söröŋiri qahö aukŋe malohotmö, töndup nanŋiraŋgö gamuŋiri qahö möta malohot. Mewö.
GEN.3.2	Mewö jiiga ambinöŋ meleŋda mokoleŋgöra kewö jiyök: “Oyaeŋkoyaeŋ mire ip tosatŋi kin anjei, mieŋgö ölŋini mi ölöp nembitköra jiyök. 
GEN.3.3	Mimö, miri bibiŋe ip kun kinjawi, miaŋgö ölŋi mi nemba kömumbitpuköra mönö kewö jiyök: ‘Mi mönö kude nemahot. Mia kude misirimahot.’ Mewö jim kutum netkii maljit.”
GEN.3.4	Mewö meleŋda jiiga mokoleŋnöŋ ambigöra kewö jiyök: “Mi saumbaŋ! Iŋiri kude kömumahot. 
GEN.3.5	Mimö, ip miaŋgö ölŋi mi neyohotka wehön miaŋgöreŋök mönö jeŋiran tohoiga Anutu ewö aka ölöpŋaŋgö könaŋi aka bölöŋaŋgö könaŋi möt tekömahot. Anutunöŋ keu mi möta mewö asuhubapuköra keuŋi mewö jiyök.”
GEN.3.6	Mewö jiiga ambinöŋ ip mi uba ehiiga ölŋi ölöpŋi neneŋaŋgö dop ahök. “Mi eksihimŋambuk kiniga mötkutukutu ketaŋi awamŋanök niŋgima,” mewö mötmöriba ölŋi kun meköba neyök. Nemba apŋi yambuk malöhi, i tok waŋgiiga neyök. 
GEN.3.7	Neiga jeŋiran mönö miaŋgöreŋök tohoiga sileŋiri aukŋe malohori, mi aŋgek kutuyohot. Mewö aŋgek kutuba kinda fig ipkö sinŋi mumburatiba opo söröŋiri uba lata malohot.
GEN.3.8	Malohotka wehön jeŋi geiga miri löwöriiga Kembu Anutunöŋ oyaeŋkoyaeŋ mire tiba kaiga köna ötöŋi mörohot. Mi möta awanöm yetkön Kembu Anutugö jemesoholŋeyök mömölaköba oyaeŋkoyaeŋ mirigö ip uruŋine anda asambörohot. 
GEN.3.9	Asambörohotmö, Kembu Anutunöŋ azigö qeta kewö jiyök, “Gi mönö denike maljane?”
GEN.3.10	Mewö qeta jiiga kewö meleŋnök: “Gi oyaeŋkoyaeŋ miri uruŋe tiba kanöŋga köna ötöŋgi möta sileni aukŋe maljalaŋgöra keŋgötni mötzal. Miaŋgöra mömölaköba asamböta maljal.”
GEN.3.11	Mewö meleŋniga kewö jiyök: “Gi sile aukŋe maljani, mi mönö daŋön jii mötzan? Nöŋön ip kungö kötŋi nembanbukö soŋgo al gihiali, göŋön miaŋgöreŋök kun nezan me?”
GEN.3.12	Mewö jiiga azinöŋ kewö jiyök: “Ambi nömbuk malmapköra niŋginöŋi, yanöŋ mönö ip miaŋgö kötŋi niŋgiiga nezal.”
GEN.3.13	Mewö jiiga Kembu Anutunöŋ ambi kewö qesim waŋgiyök: “Göŋön wuanöŋgöra mewö akzane?” Qesim waŋgiiga kewö meleŋnök: “Mokoleŋnöŋ mönö tilipköm niŋgiiga nezal.”
GEN.3.14	Mewö meleŋniga Kembu Anutunöŋ mokoleŋgöra kewö jim waŋgiyök: “Mewö akzanaŋgöra aka gi mönö mirigö sömbupŋi pakpak aka arökŋaŋgö sömbupŋi pakpak yeŋgö sutŋiŋe kewö jim qesuahöm gihibiga malman: Göŋön mönö gölmenöŋ malmanaŋgö dop bapkan köla anda kaba sömsöm uruŋe mala nesak yuai nemakŋan. 
GEN.3.15	Mewö nemba ambibuk sutŋire kerök al etkibiga mi möta malman. Kerök mi göhö gwölönarökurupki aka yaŋgö gwölönarökurupŋi yeŋgö sutŋine toroqeba ahöm öŋgöi kewö asuhuma: Yeŋgöreŋök azi kunöŋ mönö göhö nöröpki tölölahöiga göŋön yaŋgö köna gwakötŋi yöhösulmakŋan.”
GEN.3.16	Toroqeba ambi kewö jim waŋgiyök: “Göŋön gölömgabuk aka malnöŋga sihimbölöŋi ketaŋi al gihibiga masö ahum gihiiga möta morö mem eŋgimakŋan. Mi töndup sihimgan mönö apkahöra ahöm gihiiga yaŋön galömgi aka malma.”
GEN.3.17	Toroqeba azi kewö jim waŋgiyök: “Nöŋön ip kungö ölŋi nembanbuköra ‘Mia kude neman,’ jiba soŋgo al gihialmö, göŋön mi töndup anömgahö keuŋi wuataŋgöba nezan. Miaŋgöra nöŋön gölme mi göhöra aka saitköbiga ahöma. Mewö ahöiga göŋön gölmenöŋ malmanaŋgö dop mönö sileqeqe aka nup gwötpuk memba sihimbölö möta nenegi miwikŋaiba malman. 
GEN.3.18	Nup memba malnöŋga göhö nene nupnöŋ nuŋgakal, koururuk (köwörörök) yuai mi asuhuiga arökŋaŋgö yöha yuai mi nemba malman. 
GEN.3.19	Mewö mala mesoholge nöŋgöp ariba nup memba tup yakagi mewö nemba mala gölmenöŋ mem gihiali, gölme miaŋgöreŋ mönö kunbuk liliŋgöba geman. Silegi gwakömnöŋ mem gihibiga mala öŋgöbagun mönö kunbuk gwaköm akŋan. “Mewö jim waŋgiyök.
GEN.3.20	Azinöŋ anömŋi yuai pakpak malmalŋinambuk maljei, mieŋgö namŋini aiga azinöŋ qetŋi Iw (Ewa) qerök. 
GEN.3.21	Kembu Anutunöŋ sömbup sileŋan opo sörö memba Adam anömŋet lat etkiiga malohot.
GEN.3.23	Mewö jiba miaŋgöra oyaeŋkoyaeŋ nup Eden miaŋgöreŋök közöl etkiba gölmenöhök mem etkiyöhi, mönö gölme miaŋgöreŋök kölkömöt nup memahotköra melaim etkiiga yaigep geba anohot. 
GEN.3.24	Ambazip mewö közöl etkiba oyaeŋkoyaeŋ miri Edengö likepŋe wehön kotkotŋe göröken zerubim garata tosatŋi al eŋgiiga malmal köhöikŋaŋgö ip miaŋgö könaŋi utuba galöm kölget. Yeŋgö böröŋine bimgö souŋi ketaŋi aliga miaŋön könöp bölam ewö gilikbilikŋambuk jeba andöŋe wösöŋe liliköba biliksikö dop aiga kinda galöm köla malget. Mewö.
GEN.4.1	Azi Adamnöŋ anömŋambuk mala amiyohotka Iwnöŋ (Ewa) gölöm ala Kein (Kain) meyök. Memba Kein qetköra kewö jiyök: “Anutunöŋ bauköm niŋgiiga nahöni mezal.” 
GEN.4.2	Iwnöŋ könaŋgep Adamgö nahönŋi Abel, Keingö munŋi meyök. Abelnöŋ mala qariba lama galömŋina aiga Keinöŋ kölkömöt azia aka malök. 
GEN.4.3	Mewö malohotka nalö kunöŋ Keinöŋ nupkö nene tosatŋi memba kaba Kembugöra jöwöwöl ohom waŋgiyök. 
GEN.4.4	Abelnöŋ mewöyök lama kambuŋaŋgö mutuk asuasuhuŋi tosatŋi meköba eŋguba kitipŋi kelökŋinambuk memba kaba Kembugö jöwöwöl ohoyök. Ohoiga Kembunöŋ Abel nanŋi aka jöwöwölŋi etkeka möri ölöwahök. 
GEN.4.5	Ölöwahökmö, Kembunöŋ Kein aka yaŋgö jöwöwölŋi mi ek tököyök. Mewö aiga Keingö irimŋi seholiiga kömbuhiba jemesoholŋan bosoliyök. 
GEN.4.6	Bosoliiga Kembunöŋ Keingöra kewö jii mörök: “Irimgi mönö wuanöŋgöra seholiiga jemesoholgan bosoliza? 
GEN.4.7	Gi yuai ölöpŋi aknöŋga möt aŋgön köl gihibiga ölöp jemesoholgi öhal (hak) akŋan me qahö? Yuai ölöpŋi qahö aknöŋga siŋgisöndokö Toŋan mönö urugahö naŋguŋe kinda göhöra ak gihiba mönömakza. Mewö mönömakzapmö, göŋön mönö miaŋgö soŋgo ala galöm memba luhut alman.”
GEN.4.8	Kembunöŋ Keingöra mewö jii mörökmö, Keinöŋ töndup munŋi Abelgöra kewö jiyök: “Mönö nanirök nupnöŋ anbit. “Mewö jiiga nupnöŋ anda mala Keinöŋ luhuba munŋi Abel qelanjiba memba qeba qei kömuyök.
GEN.4.9	Kömuiga Kembunöŋ Kein kewö qesim waŋgiyök: “Mungi Abel mi denike malja?” Qesim waŋgiiga kewö meleŋnök: “Ni qahö mötzal. Ni munangö jegalöma qahö akzal.”
GEN.4.10	Mewö meleŋniga Kembunöŋ jiyök: “Gi wani yuaia akzan? Mötnöŋ, mungahö sepŋan mönö gölmenöhök qeriga mötzal.
GEN.4.11	Gölme kiaŋgö numbuŋan aŋaŋiba mungahö sep börögeyök mezawi, nöŋön mönö kiaŋgöreŋök közöl gihibi anman. Jöramörahö mi mönö göhö qake albi öŋgöza. 
GEN.4.12	Közöl gihibiga kölkömöt nup menöŋga gölmenöŋ möriamŋaŋgö ölŋi aŋgön köl gihiiga gölme dop mömölaköba kekelolo aka ölöŋ köla laŋ anda kaba malman.”
GEN.4.13	Mewö jiiga Keinöŋ Kembugöra kewö jiyök, “Keunaŋgö likepŋi meleŋnöŋga qakne öŋgözawi, miaŋön mönö ösumni oŋgiri lömböriiga bisimamgö osimam. 
GEN.4.14	Mötnöŋ, gi merak ni nupqeqe gölmenöhök nuataŋgönöŋga jemesoholgeyök mömölaköba gölme dop kekelolo aka ölöŋ köla laŋ anda kaba malmam. Miaŋgöra kunŋan ni neka ölöp nuŋgui kömumbileŋbuk.”
GEN.4.15	Mewö jiyökmö, Kembunöŋ kewö jii mörök: “Mewö qahö. Kunŋan Kein qei kömuma ewö, miaŋgö likepŋi mönö yaŋgö qakŋe öŋgöiga ambemŋi 7 akŋa. “Mewö jiba kunŋan Kein miwikŋaiba i qei kömumbapuköra sileŋe aiwesök kulem kun alök. 
GEN.4.16	Mi aliga Kembugö jemesoholŋi mosöta anda anda gölme qetŋi Laŋlaŋ lilikqilik (Nod) miaŋgöreŋ aŋgota malök. Gölme mi Edenök wehön kotkotŋe göröken ahöza. Mewö.
GEN.4.17	Keinöŋ anömŋambuk mala amiyohotka gölöm ala Henok meyök. Keinöŋ taon kun memba nahönŋaŋgö qetŋi Henok qet waŋgiyök. 
GEN.4.18	Henokö nahönŋi qetŋi Irad. Iradkö nahönŋi Mehujael. Mehujaelgö nahönŋi Metusael. Metusaelgö nahönŋi Lamek. Mewö asuhuget. 
GEN.4.19	Lameknöŋ ambi yahöt etkömeyök: Kun qetŋi Ada, kun qetŋi Zila. 
GEN.4.20	Adanöŋ gölöm ala Jabal meyök. Yaŋön ambazip opo seri koumŋine ahöba mala bau bulmakau galöm köl eŋgiba maljei, yeŋgö bömönŋini ahök. 
GEN.4.21	Jabalgö munŋaŋgö qetŋi mi Jubal. Yaŋön ambazip gita kulele qeba awölop uba maljei, yeŋgö bömönŋini ahök. 
GEN.4.22	Zilanöŋ mewöyök nahönŋi qetŋi Tubal-Kein meyök. Yaŋön qariba börögö tulsŋi aka bimqeqegö yuaiŋi könaŋi könaŋi mi bras aka ainöŋ ohoi kolkolgöi qekötahöba mezapma. Tubal-Keingö nenŋi qetŋi Nama.
GEN.4.23	Lameknöŋ nalö kunöŋ anömyahötŋi mi kewö jii mörohot,
GEN.4.23	“Ada aka Zila anömyahötni, iŋiri mönö kezap ala keuni ki mötmahot: Kunŋan nuŋgum kuziriga uzinaŋgö kitipŋaŋgöra mönö azi kun qebi kömuma. Kunŋan nuŋgum miziriga gurusep (gulibambam) löpötnaŋgö kitipŋaŋgöra mönö azi gwabö kun qebi kömuma.
GEN.4.24	kunŋan Lamek ni nuŋguiga miaŋgö likepŋi mönö yaŋgö qakŋe öŋgöiga ambemŋi 77 akŋa. “Mewö.
GEN.4.25	Azi mutukŋi Adam yaŋön kunbuk anömŋambuk mala amiyohotka nahönŋiri kun memba kewö jiyök: “Keinöŋ Abel qei kömuyöhaŋgöra Anutunöŋ Abelgö salupŋe nahöni kun niŋgiza. “Miaŋgöra qetŋi Set (Niŋgiza) qerök. 
GEN.4.26	Setkö nahönŋi mewöyök asuhuiga qetŋi Enos qerök. Mewö.
GEN.4.26	Nalö miaŋgöreŋ ambazip yeŋön könahiba Kembugö qetŋi köuluköba malget. Mewö.
GEN.5.2	Mewö memba azi ambi malmahotköra miwikŋaim etkiba nalö miaŋgöreŋ qetŋiri ambazip 
GEN.5.3	Adamnöŋ mala yambuŋi 130 aiga nahönŋi kun asuhuyök. Mi Adam nanŋi kaisoŋgolomŋi aka tandökŋaŋgö dop maliga qetŋi Set qerök. 
GEN.5.4	Set asuhuiga nalö miaŋgöreŋök Adamnöŋ toroqeba yambu 800 mala mala maliga nalö sutŋe miaŋgöreŋ nahönböratŋi tosatŋi asuhuba öŋgöget. 
GEN.5.5	Adamnöŋ mewö mala öŋgöba yambuŋi mindiriba 930 meköba kömuyök.
GEN.5.6	Kömuiga nahönŋi Set yaŋön yambuŋi 105 aiga nahönŋi Enos asuhuyök. 
GEN.5.7	Enos asuhuiga nalö miaŋgöreŋök Setnöŋ toroqeba yambu 807 mala mala maliga nalö sutŋe miaŋgöreŋ nahönböratŋi tosatŋi asuhuba öŋgöget. 
GEN.5.8	Öŋgögetka Setnöŋ mala mala öŋgöba yambuŋi mindiriba 912 meköba kömuyök.
GEN.5.9	Kömuiga nahönŋi Enos yaŋön yambuŋi 90 aiga nahönŋi Kenan asuhuyök. 
GEN.5.10	Kenanöŋ asuhuiga nalö miaŋgöreŋök Enosnöŋ toroqeba yambu 815 mala mala mal öŋgöiga nalö sutŋe miaŋgöreŋ nahönböratŋi tosatŋi asuhuba öŋgöget. 
GEN.5.11	Öŋgögetka Enosnöŋ mala mala öŋgöba yambuŋi mindiriba 905 meköba kömuyök.
GEN.5.12	Kömuiga nahönŋi Kenan yaŋön yambuŋi 70 aiga nahönŋi Mahalalel asuhuyök. 
GEN.5.13	Mahalalel asuhuiga nalö miaŋgöreŋök Kenanöŋ toroqeba yambu 840 mala mala mal öŋgöiga nalö sutŋe miaŋgöreŋ nahönböratŋi tosatŋi asuhuba öŋgöget. 
GEN.5.14	Öŋgögetka Kenanöŋ mala mala öŋgöba yambuŋi mindiriba 910 meköba kömuyök.
GEN.5.15	Kömuiga nahönŋi Mahalalel yaŋön yambuŋi 65 aiga nahönŋi Jared asuhuyök. 
GEN.5.16	Jared asuhuiga nalö miaŋgöreŋök Mahalalelnöŋ toroqeba yambu 830 mala mala mal öŋgöiga nalö sutŋe miaŋgöreŋ nahönböratŋi tosatŋi asuhuba öŋgöget. 
GEN.5.17	Öŋgögetka Mahalalelnöŋ mala mal öŋgöba yambuŋi mindiriba 895 meköba kömuyök.
GEN.5.18	Kömuiga nahönŋi Jared yaŋön yambuŋi 162 aiga nahönŋi Enok asuhuyök. 
GEN.5.19	Enok asuhuiga nalö miaŋgöreŋök Jarednöŋ toroqeba yambu 800 mala mala mal öŋgöiga nalö sutŋe miaŋgöreŋ nahönböratŋi tosatŋi asuhuba öŋgöget. 
GEN.5.20	Öŋgögetka Jarednöŋ mala mala mal öŋgöba yambuŋi mindiriba 962 meköba kömuyök. 
GEN.5.21	Kömuiga nahönŋi Enok yaŋön yambuŋi 65 aiga nahönŋi Metusela asuhuyök.
GEN.5.22	Metusela asuhuiga nalö miaŋgöreŋök Enoknöŋ yambu 300:gö dop uruŋi Anutubuk jöhöba anda kaba maliga nalö sutŋe miaŋgöreŋ nahönböratŋi tosatŋi asuhuba öŋgöget. 
GEN.5.23	Öŋgögetka Enoknöŋ mala mal öŋgöba yambuŋi mindiriba 365 meköyök. 
