MAT.1.1	Mokanda mobatata baYesu Masiya, mwana oDawidi, mwana oAbalayama. 
MAT.1.23	Âbota mwana-momi, na bâmobakea kombe Imanuele.
MAT.1.23	Cina ekombe emina edi—Njambe adi na su. 
MAT.1.24	Yana asisoa Yosepa, akɔ o ama bala obwɛnji na nde. Asɔ mwali onde bo adae na nde. 
MAT.1.25	Iyo ko aijebeana na nde oko adaka yo pɛ bopeta bota mwana’nde, na amobakea kombe Yesu.
MAT.2.1	Yana abotama Yesu a Bɛtɛlɛmɛ a likota liYuda, a ehole ekumu Elode, bato babowɛi badonga a ɛsɛta, na bamea a Yelusalema. 
MAT.2.2	Bahɔjɔ bo, Yona obotami kumu oBaYuda adi jɔ? Iso bonɛ monjɔtɔ onde a dɔngɔ diɛsɛta, na bodoi bo bomosakoe. 
MAT.2.3	Kumu Elode, ama yo ka mojɔ momina, ami ko da oko na mokakwano, na bato basusu ba Yelusalema pongono. 
MAT.2.4	A mojɔ momina, yo abolea likita libasuku banganga na basɔni bangando, na abahɔjɔ esika ebobotama boMasiya. 
MAT.2.5	Ibo babala na nde bo, A Bɛtɛlɛmɛ, ngando eYuda; mojɔ bo motɔndɔi asɔnɔ boa bo,
MAT.2.6	Wɛ Bɛtɛlɛmɛ a likota liYuda;
MAT.2.6	Oditi ngɔngɔ jibakumu basusu baYuda;
MAT.2.6	Mojɔ bo okina kumu adi bomana ai we,
MAT.2.6	Yona ôda mobanei obato bambi baYisalaele.
MAT.2.7	Elode abea bato babowɛi na poloso, na abakokeleja a mojɔ moehole emana monjɔtɔ. 
MAT.2.8	Abaloma a Bɛtɛlɛmɛ, na abala na bu bo, Kɛni aduke mwana omina na bingi. Okamobolojani, doani a bojebeja mbi, bo mbi nakɛe namosakoe pongono. 
MAT.2.9	Aka bo ekenge yena ekumu, bakɛ oko a njea ebu. Monjɔtɔ monɛ bo a ɛsɛta akɛkɛ boso bobu, na ama a diko diesika edaka mwana. 
MAT.2.10	Basepa bou mɛnɛ yana anɛ bo monjɔtɔ. 
MAT.2.11	Akwea bo a ndako, banɛ mwana na ngwa’nde Malia; na basumana na banmosakoa. Baloloja leka lobu, na bamopa bipeeli biwɔlɔ, na malasi, na mila. 
MAT.2.12	Njambe ko abajebeja a njɔti bo bata-sɔmbɔ ai Elode; na bayana a ngando ebu a njea etongo.
MAT.2.13	Ama bo yana, okina obwɛnji oKumu ami doa oko ai Yosepa a njɔti. Abala na nde bo, Angɔ; tomba mwana na ngwa’nde, cia na bu oho Ejipito. Yeyoa oho oko a ehole êbala mbi na wɛ, mojɔ bo Elode akɛkɛ aduke mwana bo amowoe. 
MAT.2.14	Yosepa angɔ, atomba mwana na ngwa’nde na bulu; akɛ a Ejipito 
MAT.2.15	na ayeyoa oho oko a bogwa boElode, a bongameja ekenge ema bala Kumu na motɔndɔi bo, Mbi nabei mwana’mbi bo ahule Ejipito.
MAT.2.16	Elode ko, yana anɛ yo bo bato babowɛi bamokosea, aka kɛlɛ enɛnɛ. Adumba mobeko bo bawoe bana-bami basusu baya badaka na bianga bibae na dea, a ngando eBɛtɛlɛmɛ na a likota dia lisusu. Iyo ahieja ehole, cina bo ama kokeleja mojɔ na bato babowɛi. 
MAT.2.17	Oko boa ekenge esɔnɔ motɔndɔi Yelemaya engama bo,
MAT.2.18	Ba’ka hulɔ a Lama,
MAT.2.18	Bio na kɔndɔ enɛnɛ.
MAT.2.18	Lakɛlɛ ayeaka bana bande.
MAT.2.18	Molema monde motagɔmbɔ,
MAT.2.18	Mojɔ bo bana bande baditi koko.
MAT.2.19	Yana agwa Elode, obwɛnji oKumu adoa ai Yosepa a njɔti oho Ejipito. 
MAT.2.20	Abala na nde bo, Angɔ; tomba mwana na ngwa’nde, sɔmbɔ na bu a ngondo eYisalaele, mojɔ bo baya baduka mwana bo bamowoe bagwi. 
MAT.2.21	Oko boa yo angɔ, atomba mwana na ngwa’nde, na asɔmbɔ na bu a ngondo eYisalaele. 
MAT.2.22	Yanako aka yo bo Alukelao asangoa bokumu boYuda a esika esangwa ’nde Elode, adaka na bɔ a bokɛ oho. Na Njambe amojebeja a njɔti bo akɛe a likota liGalile. 
MAT.2.23	Akɛ oho, na ada a ekina ngando yena edi na kombe Nasaleta. Oko boa mojɔ mobala batɔndɔi mongama bo,
MAT.2.23	Bâmobea moto oNasaleta.
MAT.3.1	Yoane Mobatisi adoa a masu mamina, na atɔndɔ mwako moNjambe a lisobe liYuda. 
MAT.3.2	Abala bo, Hekojani milema minu, mojɔ bo Bokumu boDiko boba’i mea, 
MAT.3.3	Motɔndɔi Yisaya abala a mojɔ moYoane yana abala yo bo,
MAT.3.3	Kɔpi emoto yona obetoaka a lisobe bo,
MAT.3.3	Sɛlingoani mokɛngɛ moKumu;
MAT.3.3	Tangbojani njea jinde.
MAT.3.4	Yoane adaka na bisenja bingungi jikamela; adaka na ekpoka eyobo etito a bongo bonde; dia linde lidaka oko bapaala na pɔki eesika. 
MAT.3.5	Bato baYelusalema na Yuda, na bato badɔngɔ disusu diYoladene bakɛ ai yo. 
MAT.3.6	Bajima jibe jibu, na yo 
MAT.3.7	Yana anɛ yo BaPalusi na BaSadoki banɛnɛ bakadoe ai yo bo ababatise, abala na bu bo, Ino bana banjɔ! Oehi no nda bo ocieni likundu lia likɛkɛ adoe? 
MAT.3.8	Isa ohekojaini milema, anejani bimbete bia bibwani, 
MAT.3.9	T’olɛeni oko bo, Abalayama adi tata osu, Mbi natɔndɔkɔ no bo Njambe akapala, abwani bongɔjɔ bana ai Abalayama oko na matai ma. 
MAT.3.10	Epondo esambi edɛye a cina jimele. Mele mimiti bota mbuma jipele, mîkwɛlɛmɛ misusu, na mîdumbama a mosa. 
MAT.3.11	Mbi nabatisaka no a madiba cina ebohekoja bomilema; yo ko yona okɛkɛ adoe ngɔngɔ jimbi anɔi mbi na ngulu. Mbi nabɔngiti bo natombe sapata jinde. Iyo âbatisa no a Mwembo Mosɛnɔke na a mosa. 
MAT.3.12	Adi na ehɛhɛi a ebɔ ende, âpueja moboku monde, na âbolea ndongo jinde a edejai. Âtumba ko poso a mosa, na mosa momina motadimea nongo.
MAT.3.13	Yesu adonga a Galile, na adoa a Yoladene bo Yoane amobatise. 
MAT.3.14	Yoane ko amosia; abala bo, Wɛ odoi ai mbi? mbi yona obwani bobatisama na wɛ. 
MAT.3.15	Yesu ko amosɔmbeja bo, Yɛ modae boa edɛye; mojɔ bo bobwani bosuma ngando jisusu jibodongo boa. Oko boa Yoane ajima. 
MAT.3.16	Yana abatisama Yesu, aduboa bokpa a madiba. A ehole emina, Diko didipoama oko bodipoaraa; anɛ Mwembo moNjambe mokatite o sungu na mokabakame ai yo. 
MAT.3.17	Na kɔpi emana oho Diko bo, Iyo adi Mwana’mbi ongɛnjɔ. Nadi na sepi a mojɔ monde.
MAT.4.1	A ehole emina Mwembo molinda Yesu a lisobe bo Satana amomeke. 
MAT.4.2	Akia dia masu domi-inɛi, na yana asia ehole emina, aka nja. 
MAT.4.3	Momeki adoa ai yo na abala bo, Isa wɛ odi Mwana ’Njambe, bala na matai mama bo mabongoe milɛmbɛ. 
MAT.4.4	Yesu amosɔmbeja bo, Mosɔnɔmɔ bo,
MAT.4.4	Moto atahela na milɛmbɛ pɛ,
MAT.4.4	Oko na bikenge bisusu bia bimanaka a monɔkɔ moNjambe.
MAT.4.5	Ngɔngɔ jimina, Satana akɛ na nde a ngando yena esɛnɔke. Amobakea a diko ditempelo, na abala na nde bo, Isa wɛ odi Mwana ’Njambe, sadumba nase. Mojɔ bo, mosɔnɔmɔ bo,
MAT.4.6	Adi bopa babwɛnji bande monɔkɔ a mojɔ mowɛ,
MAT.4.6	Na bâbanda wɛ na mɔmɔ mabu,
MAT.4.6	Bo ebota ewɛ esaka lakimea a litai.
MAT.4.7	Yesu abala na nde bo, Mosɔnɔmɔ pongono bo,
MAT.4.7	T’odingee oko Kumu Njambe owe.
MAT.4.8	Satana ake na nde koko a diko dimono monɛnɛ, na amoneja makumu masusu mangondo, na ekumu emakumu mamina. 
MAT.4.9	Abala na nde bo, Mbi nadi bopa we makumu ma masusu, okasumana a bosakoa mbi. 
MAT.4.10	Yesu abala na nde bo, Satana, donga ya; mojɔ bo mosɔnɔmɔ bo,
MAT.4.10	Toma sakoa Kumu Njambe owɛ;
MAT.4.10	Toma kɔme oko yo pɛ.
MAT.4.11	Satana amokina boa, na babwɛnji baDiko badoa ai Yesu bo bamokɔmejae.
MAT.4.12	Yana aka Yesu bo bapea Yoane, asɔmbɔ a Galile. 
MAT.4.13	Adonga a Nasaleta, na adoa a Kapalanauma bo adae ena a dɔngɔ dimadiba, a likota liSebulona na Nepatali, 
MAT.4.14	bo angamejae ekenge ebala motɔndɔi Yisaya bo,
MAT.4.15	Bato baSebulona na Nepatali,
MAT.4.15	A njea emadiba-mamukwa, na a dɔngɔ ditongo diYoladene,
MAT.4.15	Na BaGalile baMidoa;
MAT.4.16	Bato baya badaka modidi
MAT.4.16	Bani bohu bonɛnɛ.
MAT.4.16	Na busa bohoi
MAT.4.16	Ai bato baya badaka a esika ebogwa na a esie ebogwa.
MAT.4.17	Yesu abanga bokoja a ehole emina, na atɔndɔ bato bo, Hekojani milema minu, mojɔ bo Bokumu boDiko bobengi bomea.
MAT.4.18	Adaka yo akadale a dɔngɔ dimbongu elibale liGalile, anɛ bami babae, moto na mwananango, oko Simona yona odaka na kombe Pɛtɛlo, na mwangwa’nde Andalea, Ibo badaka bakadumbe eyoma ebu a madiba, mojɔ bo badaka badukeli baswi. 
MAT.4.19	Yesu abala na bu bo, Cingamani na mbi, na mbi nâkɔ no badukeli babato. 
MAT.4.20	Ibo bakina biyoma bibu bokpa, na bacingama na nde. 
MAT.4.21	Anɔ yo esikaemina, anɛ bami batongo babae, moto na mwananango, Yakobo mwana ’Sebede na mwangwa’nde Yoane. Badaka na sangwa’bu a bwato, na batataka biyoma bibu. 
MAT.4.22	Yesu ababea, na bakina bwato na sangwa’bu bokpa, na bacingama na nde.
MAT.4.23	Yesu akɛ akadale a likota lisusu liGalile, Akoja bato a sinagoge; atɔndɔ Mwako Mopele moBokumu, na aheleja bato a bego na bipeko tungu jisusu. 
MAT.4.24	Gala ende epele etunda a makota masusu maSilia; badoa ai yo na bato basusu baya badaka na bego, na baya badingoaka na bipeko na saya a mikuku, bato bamiembo mibe, bato balilale, na bato bamikutumeli, na abaheleja. 
MAT.4.25	Bato bacingama na nde kanga mandundu mɛnɛ, bato baGalile, na Dekapoli, na Yelusalema, na Yuda, na dɔngɔ ditongo diYoladene.
MAT.5.1	Yana anɛ Yesu bimumu bibato, awea a mokina mono. Adaka yo oho, bacingami bande badoa ai yo. 
MAT.5.2	Iyo adipoa monɔkɔ na abakoja na bikenge bi.
MAT.5.3	Bojongoa ai bato baya basatitejaka a milema, mojɔ bo Bokumu boDiko bodi oko ai bo.
MAT.5.4	Bojongoa ai bato baya bayeaka edɛye, mojɔ bo bâgɔmbɔ.
MAT.5.5	Bojongoa ai bato baya badi na milema miyɛmbu, mojɔ bo bâsangoa ngondo.
MAT.5.6	Bojongoa ai bato baya badi na nja na posa ebodongo, mojɔ bo bâgola.
MAT.5.7	Bojongoa ai bato bamonganji, mojɔ bo bâsɔ monganji.
MAT.5.8	Bojongoa ai bato baya badi na milema misɛnɔke, mojɔ bo bânɛ Njambe.
MAT.5.9	Bojongoa ai bato bamasiili, mojɔ bo bâbeama bana baNjarabe.
MAT.5.10	Bojongoa ai bato baya badingoaka a mojɔ mobodongo, mojɔ bo Bokumu boDiko bodi oko ai bo.
MAT.5.11	Bojongoa ai no, bakalolea no, bakadingoja no, na bakalongɔ no na bibaeli bibe bibokosea a mojɔ mombi. 
MAT.5.12	Sepani, dani na enanga, mojɔ bo ndese enu edi enɛnɛ oho Diko. Badingoja batɔndɔi baehele koko boa.
MAT.5.13	Ino odini mukwa mongondo. Mukwa ko mokabeha, modi bobɔngɔ koko na ye? Mobwaniti nongo na ekina elomu. Mobwani oko na bodumba pɛ, bo bato bamodalakake na bibota. 
MAT.5.14	Ino odini bohu bongondo. Ngando yena edi a diko dimono etabombama nongo. 
MAT.5.15	Bato te bayojake paka bo baebombe cina jiteni. Baebakeaka a mesa bo bato basusu baya badi a ndako badi bonɛ bohu. 
MAT.5.16	Oko boa, kinani eyoi enu eyoe a boso bobato. Baka’nɛ bikɔmɛli binu bipele, badi bokumeja Sangwa’nu yona odi oho Diko.
MAT.5.17	T’olɛeni oko bo mbi nadoi bo nadimojae Mibeko na mikanda mibatɔndɔi. Nadoiti bo namidimojae; nadoi oko bo namingamejae. 
MAT.5.18	Mbi natɔndɔkɔ no bo, Nongo busa bokagwa, na ngondo ekagwa, pɛpɛ nongo litɔnɔ limɔci isa mosɔnɔ momɔci mo. Mibeko modi bokputoa; midi bongama kanga misusu mɛnɛ. 
MAT.5.19	A mojɔ momina, moto akambɛjɛ mokina mobeko, nongo mobeko mokɛkɛlɛkɛ mɛnɛ, na akakoja bato boa, moto omina adi boda moto osuka mɛnɛ a Bokumu boDiko. Moto na moto ko yona okojaka bato bo bamisume, na amisumaka yo mɛnɛ, yo adi boda na ekumu enɛnɛ a Bokumu boDiko. 
MAT.5.20	Mojɔ bo, mbi natɔndɔkɔ no bo, Bodongo bonu bomiti nɔ bodongo bobasɔni na BaPalusi, otakweani nongo a Bokumu boDiko.
MAT.5.21	Ino o’kani bo batata basɔ mobeko bo,
MAT.5.21	T’owoe oko moto.
MAT.5.21	na bo,
MAT.5.21	Moto akawa adi bosamba.
MAT.5.22	Mbi ko natɔndɔkɔ no bo, Moto akakɛnjɔ na mwangwa’nde abwani bosamba. Moto akatangola mwangwa’nde abwani bosamba a likita libasuku. Na moto akalolea mwangwa’nde bo, Wɛ egegele; abwani oko na mosa moGehena. 
MAT.5.23	Oko boa, okadoa a litumbu, na okasalɛjɛ bo mwangwao adi na wɛ mokina mojɔ, 
MAT.5.24	kina epeeli ewɛ a boso bohtumbu; peta kɛ a bosieja mojɔ na mwangwao, osa ko ohule a bopa epeeli ewɛ. 
MAT.5.25	Sieja mojɔ na soki ewɛ, nongo yana adi no a njea eesambi. Omiti kɔ boa, soki ewe adi bopa wɛ a mɔmɔ majuji, na juji adi bopa we a mɔmɔ mapolisi, na ôkwea a blɔkɔ. 
MAT.5.26	Mbi natɔndɔkɔ wɛ na soti bo, Omiti pa likonja kanga lisusu menɛ, otamana nongo.
MAT.5.27	Ojebakani mobeko bo,
MAT.5.27	T’ongɛe oko bɔɔli.
MAT.5.28	Mbi ko natɔndɔkɔ no bo, Moto akanja mwali na posa, asi angi na nde bɔɔli a molema monde. 
MAT.5.29	Diso diwɛ diebɔ ebami dikasakeja wɛ, ihwa na dumba diso dimina. Enɔi na bopele bo enama ewɛ emɔci egwɛ, bo mokuku mowɛ mosusu motadumbama a Gehena. 
MAT.5.30	Ebo ewɛ ebami ekasakeja wɛ, lena na dumba ebo emina. Enɔi na bopele bo enama ewɛ emɔci egwɛ, bo mokuku mowɛ mosusu motadumbama a Gehena. 
MAT.5.31	Babala koko bo, Moto akalona mwali onde, adi bomopa mokanda mobobɔtɔnɔ. 
MAT.5.32	Mbi ko natɔndɔkɔ no bo, Moto na moto yona oyanejaka mwali onde, na editi na cina ebɔɔli, akɔkɔ mwali omina moto obɔɔli. Na moto yona osɔkɔ mwali omina angɛkɛ na nde bɔɔli.
MAT.5.33	Ino o’kani koko bo batata basɔ mobeko bo,
MAT.5.33	T’obɛle oko bɛli na bokosea. Kɔ mojɔ mobɛli we ai Njambe.
MAT.5.34	Mbi ko natɔndɔkɔ no bo otabɛlɛni nongo bɛli, isa eDiko, mojɔ bo didi mongbɛlɛngɔ moNjambe; 
MAT.5.35	isa bɛli engondo, mojɔ bo edi ebakei ebibota biNjambe; isa bɛli eYelusalema, mojɔ bo edi ngando ekumu monɛnɛ. 
MAT.5.36	T’obɛle oko bɛli emolo mowɛ, mojɔ bo oditi na ngulu a bopueja isa a bohindeja moswe momɔci. 
MAT.5.37	Kinani ebaeli enu edae isa Ee, ee! isa Pɛpɛ, pɛpɛ! Ekina ebaeli etongo edi oko ebe.
MAT.5.38	Ino o’kani bo babala bo,
MAT.5.38	Diso dibukana na diso; dino dîbukana na dino.
MAT.5.39	Mbi ko natɔndɔkɔ no bo otaswianani na moto mobe. Moto aka’la wɛ epapata a mobanga momɔci, moneja mobanga motongo pongono. 
MAT.5.40	Moto akabea we a esambi a mojɔ mosimisi ewɛ, kina atombe kasaka ewɛ pongono. 
MAT.5.41	Moto akapea wɛ bo omopakae kilometa emɔci, mopaka kilometa jibae. 
MAT.5.42	Moto aka’nga wɛ eka, mopa; t’obulɛe oko moto yona opalaka boboa njabo ai wɛ.
MAT.5.43	Ino ’kani bo babala bo,
MAT.5.43	Toma pala motuteano mowe, na toma lona soki ewɛ.
MAT.5.44	Mbi ko natɔndɔkɔ no bo, Toma palani soki jinu. Toma’ngɔɔnoni Njambe a mojɔ mobato baya banɔngejaka no. 
MAT.5.45	Oko boa ôdani bana baSangwa’nu yona odi oho Diko. Mojɔ bo yo ahojaka busa ai bato babe na bato bapele. Alomaka mbua a mojɔ mobato bapele na bato babe pongono. 
MAT.5.46	Isa opalakani oko bato baya bapalaka no, obwanitini bosɔ ndese a mojɔ momina. Baputeja batako baditi koko na ekɔmɛli emina pongono? 
MAT.5.47	Okabɛjɛni oko bina’nu pɛ, bato batongo baditi koko na ekɔmɛli emina? Nongo bapakano bakɔkɔ boa pongono. 
MAT.5.48	Ino ko, toma dani babɔngɔke mɛnɛ, mojɔ bo Sangwa’nu yona odi a Diko adi kanga mobɔngɔke mɛnɛ.
MAT.6.1	Toma nganjamani bo otakɔni bilomu binu bibodongo a boso bobato bo banɛe no. Okakɔni boa, otasɔni nongo ndese ai Sangwa’nu yona odi a Diko.
MAT.6.2	Oko boa, wɛ okakɔ monganji ai bato batongo, pɛ bohueja mo-ndule a boso bowɛ. Bato babokosea bakɔkɔ boa a sinagoge, na a licilinga, bo bato babakumejae. Mbi natɔndɔkɔ no na soti mɛnɛ bo bato bamina ba’si ndese yena ebwani na bu. 
MAT.6.3	Wɛ ko, okakɔ monganji, t’okine oko bo ebɔ ewɛ ebali ejebe mojɔ mokɔkɔ ebɔ ewɛ ebami. 
MAT.6.4	Kɔ bato monganji oko a libombi; na Sangwao yona onɛkɛ a libombi âda na likabo ai wɛ.
MAT.6.5	Oka’ngani Njambe, t’odaeni oko na ekɔmɛli ebakosei. Ibo bapalaka bo bangɔe a sinagoge, na bo bamae a licilinga a mojɔ mobo’nga, bo bato babanɛe. 
MAT.6.6	Wɛ ko, oka’nga Njambe, kwea a tei endako ewɛ, dipa modipe mowɛ, na inga Njambe a libombi. Sangwao yona onekɛ a libombi âda na likabo ai wɛ. 
MAT.6.7	Yana angaka no, t’odaeni oko na bikenge binɛnɛ bingasangasa o akɔkɔ bapakano. Mojɔ bo, ibo badingaka bo Njambe adi bobahokea a mojɔ mobikenge bibu binɛnɛ. 
MAT.6.8	T’odaeni oko na ekɔmɛli ebu, mojɔ bo Sangwa’nu ajebaka taka enu oko omongakinini. 
MAT.6.9	Obwanini bonga Njambe na ekɔmɛli ye;
MAT.6.9	Sangwa’su yona odi a Diko;
MAT.6.9	Yɛ kombe ewɛ esumame;
MAT.6.10	Yɛ Bokumu bowɛ bodoe;
MAT.6.10	Yɛ bolulea bowɛ bokɔɔme ya nase o akɔɔmɔkɔ bo a Diko.
MAT.6.11	Bopa so busa bu milɛmbɛ mia mibwani.
MAT.6.12	Boyɛ so nongo jisu ai wɛ o ayɛkɛ so baya badi na nongo ai so.
MAT.6.13	Bambeja so a njea ebomeka.
MAT.6.13	Heleja so ko a bobe
MAT.6.13	Bokumu bodi ai wɛ, na ndangasa, na ekumu, oko na bosusu. 
MAT.6.14	Ino okayɛni bato jibe jibu, Sangwa’nu adi boyɛ no pongono. 
MAT.6.15	Ino ko omiti yɛni bato jibe jibu, Sangwa’nu atayɛ no jibe jinu.
MAT.6.16	Yana adi na bikia, t’odaeni oko na wa a miso manu o ekɔmɛli ebakosei. Ibo bakinaka maso mabu mabehe, a boneja bato bo bakiaka dia. Mbi natɔndɔkɔ no soti bo ndese ebato bamina ebwani. 
MAT.6.17	Wɛ ko okakia, baka swe jiwɛ, na sosa boso bowɛ, bo bato batajeba nongo bo okiaka; 
MAT.6.18	aneja oko Sangwao yona odi a libombi, na Sangwao yona onɛkɛ a libombi âda na likabo ai wɛ.
MAT.6.19	T’ohɛjeni oko leka loyumu lonɛnɛ a mojɔ monu bɛnɛ ya nase, mojɔ bo lobebaka ya na sɛ na bikpa, na babi babukaka ndako a bo’ba. 
MAT.6.20	Kinani leka lonu loyumu lohɛe oko oho Diko; lotabeha nongo na sɛ oho, na babi batalusa nongo a boba. 
MAT.6.21	Mojɔ bo, esika edi leka lowɛ loyumu, molema mowɛ mosambi oko ena.
MAT.6.22	Diso didi paka emokuku. Isa diso diwɛ didi dipele, mokuku mowɛ mosusu modi a bohu. 
MAT.6.23	Diso diwɛ ko dikabeha, mokuku mowɛ mosusu modi oko a modidi. Oko boa, isa bohu bua bodi a tei ewɛ bodi oko modidi, modi modidi tuu.
MAT.6.24	Moto t’ajebake bokɔmɛ baswa babae. Isa adi bolona okina, na âpala yona otongo; isa adi bocingama na okina, na âsɛtoja yona otongo. Otahɔnɔkɔni bokɔmɛ Njambe na makonja pongono.
MAT.6.25	A mojɔ momina, mbi nabalaka na nu bo otakakwanani nongo a mojɔ momohelo monu, a mojɔ moboyaka na bomwaka na elwaeli enu. Na mohelo na mia, edi boso nde, te mohelo? Na mokuku na bisenja, edi boso nde, te nɔokuku? 
MAT.6.26	Anjani mbulu badiko; te banake gbie, te bajuake, te baboleake leka a ndako, Sangwa’nu ko yona odi oho Diko ababɔ kɔkɔ. Na no na mbulu, banɔi na bobuno nda, te no? 
MAT.6.27	Okina onu adi bakaeja masu mande mweka na mokakwano? Oko adi bokakwana a mojɔ mobisenja cina eye? 
MAT.6.28	Anjani bohohu bomanga maesika; te makɔke elomu; te mayoake bisenja. 
MAT.6.29	Mbi ko natɔndɔ kɔ no bo elwaeli eSɔlɔ mɔ a ekumu ende esusu, eibwana na elwaeli edikina danga diesika. 
MAT.6.30	Leka loesika lua lodi busa bu lodi botumbama puma; na isa Njambe alwajaka leka lomina, esingaiti no! Ino bato baejimeli ekɛkɛ! 
MAT.6.31	Yɛni boda na mokakwano; yɛni bobala bo, Êyaka so nde? Êrawaka so nde? 
MAT.6.32	Bapakano badukaka oko leka lomina, Sangwa’nu ko yona odi oho Diko ajebaka bo obwanini bosɔ leka lu losusu. 
MAT.6.33	Ino, peta dukani Bokumu boNjambe na bodongo bonde, nongo osɛni leka lu losusu pongono. 
MAT.6.34	Oko boa, t’okakwaneni oko a mojɔ mopuma. Kinani puma etombe muna mopuma. Monɔngɔ mobusa bu mobwani na busa bu.
MAT.7.1	Yɛni bosambejani, bo otasambani no bɛnɛ. 
MAT.7.2	Mojɔ bo, ôsambani oko na esambi esambejaka no; badi bongɛ ai no oko na mwɛngi mongɛkɛ no bɛnɛ. 
MAT.7.3	Onjaka mobumbu mua modi a diso dimwangwao, pɛ ko bonɛ epaso yena edi a diso diwɛ mɛne mojɔ moye? 
MAT.7.4	Wɛ yona odi na epaso a diso diwɛ mɛnɛ, obwani bobala na mwangwao bo, Kina nahwɛ mobumbu a diso diwɛ? 
MAT.7.5	Wɛ mokosei, peta hwa epaso a diso diwɛ mɛnɛ; oko boa odi bonɛ bohu a bohwa mobumbu a diso dimwangwao.
MAT.7.6	Yɛni bopa leka losɛnɔke ai mbwa. T’odumbeni oko leka lonu loyumu a boso bongulube, basaka lodɛhɛkɛkɛ na sɛkɛ jibu, na bâhekoa a bona na nu.
MAT.7.7	Ingakani nongo osɛni. Dukani nongo obolojaeni. Bomani nongo modipe modipoame ai no. 
MAT.7.8	Mojɔ bo, yona ongaka asɔkɔ; yona odukaka abolojaka, na modipe môdipoama ai yona obomaka. 
MAT.7.9	Okina onu adi bopa mwana’nde litai akamo’nga molɛmbɛ? 
MAT.7.10	Na mwana’nde akamo’nga swi, adi bomopa njɔ? 
MAT.7.11	Oko boa, isa ino ojebakani bopa bana banu leka lopele, nongo adi no bato babe, esingaiti Sangwa’nu yona odi oho Diko! Iyo âpa leka lopele ai baya bamongaka. 
MAT.7.12	Kɔni ai bato batongo o apalaka no bo bato batongo bakɔe ai no. Cina esusu eMibeko na mikanda mibatɔndɔi edi oko bosi. 
MAT.7.13	Kweani a modipe mokototake; mojɔ bo njea yena edi na sasa esukeaka na bogwa; modipe momina modi monɛnɛ, na bato banɛnɛ bakweaka ena. 
MAT.7.14	Njea yena esukeaka na bomɔ edi ekototake; modipe momina modi mokɛkɛ, na baya bakweaka ena badi oko baleka pɛ.
MAT.7.15	Toma nganjamani na batɔndoi babokosea, Badoaka ai no na elwaeli ebata, na badi soti oko swa babila. 
