GEN.1.1	I begynnelsen skapade Gud himmel och jord.
GEN.5.20	 Jereds hela ålder blev alltså 962 år. Därefter dog han. 
GEN.5.21	När Hanok var 65 år blev han far till Metusela. 
GEN.5.22	 Och sedan Hanok hade fått Metusela vandrade han med Gud i 300 år och fick söner och döttrar. 
GEN.5.23	 Hanoks hela ålder blev alltså 365 år. 
GEN.5.24	 Sedan Hanok på detta sätt hade vandrat med Gud fanns han inte mer, ty Gud hämtade honom. 
GEN.5.25	När Metusela var 187 år blev han far till Lemek. 
GEN.5.26	 Sedan Metusela hade fått Lemek levde han 782 år och fick söner och döttrar. 
GEN.5.27	 Metuselas hela ålder blev alltså 969 år. Därefter dog han. 
GEN.5.28	När Lemek var 182 år fick han en son. 
GEN.5.29	 Han gav honom namnet Noa,
GEN.5.30	 Sedan Lemek hade fått Noa levde han 595 år och fick söner och döttrar. 
GEN.5.31	 Lemeks hela ålder blev alltså 777 år. Därefter dog han. 
GEN.5.32	När Noa var 500 år blev han far till Sem, Ham och Jafet. 
GEN.6.1	När människorna började föröka sig på jorden och döttrar föddes åt dem, 
GEN.6.2	 såg Guds söner att människornas döttrar var vackra, och de tog till hustrur alla de ville ha. 
GEN.6.3	 Då sade 
GEN.6.4	Vid denna tid, då Guds söner gick in till människornas döttrar och dessa födde barn åt dem, och även senare, levde våldsverkarna på jorden. Detta var forntidens väldiga män som var så ryktbara. 
GEN.6.5	Och 
GEN.6.6	 Då ångrade 
GEN.6.8	 Men Noa hade funnit nåd inför 
GEN.6.9	Detta är Noas fortsatta historia. Noa var en rättfärdig man och fullkomlig bland sina samtida. Han vandrade med Gud. 
GEN.6.10	 Och Noa blev far till tre söner, Sem, Ham och Jafet. 
GEN.6.11	 Men jorden blev mer och mer fördärvad inför Gud och full av våld. 
GEN.6.12	 Gud såg på jorden, och se, den var fördärvad, eftersom alla människor
GEN.6.13	Då sade Gud till Noa: "Jag har beslutat att förgöra alla levande varelser, ty för deras skull är jorden full av våld. Se, jag skall fördärva dem tillsammans med jorden. 
GEN.6.14	 Gör dig en ark av goferträ, inred den med kamrar och bestryk den med jordbeck både på insidan och utsidan. 
GEN.6.15	 Och så skall du göra arken: Den skall vara trehundra alnar lång, femtio alnar bred och trettio alnar hög. 
GEN.6.16	 Högst upp skall du göra en öppning för ljuset, en aln hög, runt hela arken. En dörr till arken skall du sätta på sidan. Du skall inreda den så att den får en undervåning, en mellanvåning och en övervåning. 
GEN.6.17	Se, jag skall låta floden komma med vatten över jorden för att utrota alla varelser under himlen som har livsande. Allt på jorden skall förgås. 
GEN.6.18	 Men med dig vill jag upprätta mitt förbund. Du skall gå in i arken med dina söner, din hustru och dina sonhustrur. 
GEN.6.19	 Av allt levande, av alla varelser, skall du föra in ett par i arken för att de skall överleva tillsammans med dig. Hankön och honkön skall det vara. 
GEN.6.20	 Av fåglarna efter deras slag, av fyrfotadjuren efter deras slag och av alla kräldjur på marken efter deras slag skall ett par av varje slag gå in till dig för att förbli vid liv. 
GEN.6.21	 Och du skall ta med dig allt slags mat, sådant som kan ätas, och samla i förråd. Det skall tjäna som föda för dig och dem." 
GEN.6.22	 Och Noa gjorde så. Han gjorde i allt som Gud hade befallt honom. 
GEN.7.1	 sade till Noa: "Gå in i arken med hela din familj. Dig har jag nämligen funnit rättfärdig inför mig i detta släkte. 
GEN.7.2	 Av alla rena fyrfotadjur skall du ta med dig sju par, hanne och hona, men av sådana fyrfotadjur som inte är rena ett par, hanne och hona, 
GEN.7.3	 likaså av himlens fåglar sju par, hanne och hona, för att en avkomma skall leva vidare över hela jorden. 
GEN.7.4	 Ty om sju dagar skall jag låta det regna på jorden i fyrtio dagar och fyrtio nätter, och jag skall utplåna från jorden alla varelser som jag har gjort." 
GEN.7.5	 Och Noa gjorde i allt som 
GEN.7.6	Noa var sexhundra år när floden kom med sitt vatten över jorden. 
GEN.7.7	 Han gick in i arken med sina söner och sin hustru och sina sonhustrur undan flodens vatten. 
GEN.7.8	 Av både rena och orena fyrfotadjur, av fåglar och av allt som krälar på marken 
GEN.7.9	 gick två och två, hanne och hona, in till Noa i arken, så som Gud hade befallt Noa. 
GEN.7.10	 Och efter de sju dagarna kom flodens vatten över jorden. 
GEN.7.11	Det år då Noa var sexhundra år, på sjuttonde dagen i andra månaden, bröt alla det stora djupets källor fram, himlens fönster öppnades, 
GEN.7.12	 och det regnade över jorden i fyrtio dagar och fyrtio nätter. 
GEN.7.13	 Just den dagen gick Noa in i arken tillsammans med sina söner Sem, Ham och Jafet, sin hustru och sina tre sonhustrur. 
GEN.7.14	 De hade med sig alla djur efter deras slag: vilda djur och boskapsdjur, kräldjur som rör sig på jorden och fåglar, alla flygande varelser. 
GEN.7.15	 De gick in till Noa i arken, två och två av allt levande, det som hade livsande i sig. 
GEN.7.16	 De som gick in var hanne och hona av allt levande, så som Gud hade befallt Noa. Och 
GEN.7.17	Floden kom över jorden i fyrtio dagar, och vattnet steg och lyfte arken så att den höjde sig över jorden. 
GEN.7.18	 Vattnet tilltog och steg högt över jorden, och arken flöt på vattnet. 
GEN.7.19	 Ja, vattnet bredde ut sig mer och mer över jorden, till dess det täckte alla höga berg under hela himlen. 
GEN.7.20	 Femton alnar över topparna steg vattnet, och bergen blev övertäckta. 
GEN.7.21	 Då förgicks allt levande på jorden: fåglar och boskapsdjur, vilda djur och alla smådjur som rörde sig på jorden, likaså alla människor. 
GEN.7.22	 Allt som fanns på torr mark omkom, allt som hade livsande i sig. 
GEN.7.23	 Alla levande varelser på jordens yta utplånades, både människor och fyrfotadjur, kräldjur och himlens fåglar. De utplånades från jorden. Bara Noa och de som var med honom i arken räddades. 
GEN.7.24	 Och vattnet stod högt över jorden i etthundrafemtio dagar. 
GEN.8.1	Men Gud tänkte på Noa och på alla vilda djur och alla boskapsdjur som var med honom i arken, och han lät en vind gå fram över jorden, så att vattnet sjönk undan. 
GEN.8.2	 Djupets källor och himlens fönster stängdes och regnet från himlen upphörde. 
GEN.8.3	 Vattnet drog sig tillbaka från jorden mer och mer. Efter etthundrafemtio dagar började det avta. 
GEN.8.4	 Den sjuttonde dagen i sjunde månaden stannade arken på Araratbergen. 
GEN.8.5	 Vattnet fortsatte att minska fram till den tionde månaden. Första dagen i den månaden blev bergstopparna synliga. 
GEN.8.6	Efter fyrtio dagar öppnade Noa luckan som han hade gjort på arken 
GEN.8.7	 och lät en korp flyga ut. Den flög fram och tillbaka, till dess vattnet hade torkat bort från jorden. 
GEN.8.8	 Sedan lät han en duva flyga ut för att få se om vattnet hade sjunkit undan från jordens yta. 
GEN.8.9	 Men duvan hittade ingen plats där hon kunde vila sin fot utan kom tillbaka till honom i arken, eftersom vatten täckte hela jorden. Då räckte Noa ut handen och tog in duvan till sig i arken. 
GEN.8.10	 Sedan väntade han ytterligare sju dagar innan han lät duvan flyga ut ur arken än en gång. 
GEN.8.11	 Mot kvällen kom hon tillbaka till honom, och se, då hade hon ett friskt olivlöv i näbben. Noa förstod då att vattnet hade sjunkit undan från jorden. 
GEN.8.12	 Men han väntade ännu sju dagar innan han lät duvan flyga ut igen. Då kom hon inte mer tillbaka till honom. 
GEN.8.13	Det sexhundraförsta året, på första dagen i den första månaden, hade vattnet torkat bort från jorden. Då tog Noa av taket på arken och såg att jordytan hade torkat. 
GEN.8.14	 Och den tjugosjunde dagen i andra månaden var jorden alldeles torr. 
GEN.8.15	 Då talade Gud till Noa och sade: 
GEN.8.16	 "Gå ut ur arken med din hustru, dina söner och dina sonhustrur. 
GEN.8.17	 Låt alla de djur, allt levande som du har hos dig, gå med dig, både fåglar och fyrfotadjur och alla kräldjur som rör sig på marken, så att de växer till och blir fruktsamma och förökar sig på jorden." 
GEN.8.18	 Så gick Noa ut med sina söner, sin hustru och sina sonhustrur. 
GEN.8.19	 Och alla fyrfotadjur och kräldjur, alla fåglar och alla djur som rör sig på jorden, alla efter sina slag, gick ut ur arken. 
GEN.8.20	Noa byggde ett altare åt 
GEN.8.21	 När 
GEN.8.22	Så länge jorden består,
GEN.8.22	skall sådd och skörd,
GEN.8.22	köld och värme,
GEN.8.22	sommar och vinter,
GEN.8.22	dag och natt
GEN.8.22	aldrig upphöra."
GEN.9.1	Gud välsignade Noa och hans söner och sade till dem: "Var fruktsamma, föröka er och uppfyll jorden. 
GEN.9.2	 Fruktan och skräck för er skall komma över alla djur på jorden och alla fåglar under himlen, över allt som krälar på marken och över alla fiskar i havet. De är givna i er hand. 
GEN.9.3	 Allt som rör sig och har liv skall ni ha till föda. Så som jag har gett er de gröna örterna ger jag er nu allt detta. 
GEN.9.4	 Men kött som har sin själ i sig, nämligen sitt blod, skall ni inte äta, 
GEN.9.5	 och för ert eget blod, som har er själ i sig, skall jag kräva räkenskap. Jag skall utkräva det av alla djur, likaså av människorna. Av var och en som dödar sin broder skall jag utkräva den människans liv. 
GEN.9.6	Den som utgjuter människoblod,
GEN.9.6	hans blod skall utgjutas av människor,
GEN.9.6	ty Gud har gjort människan till sin avbild.
GEN.9.7	Men var fruktsamma och föröka er.
GEN.9.7	Väx till på jorden och föröka er på den."
GEN.9.8	Vidare sade Gud till Noa och hans söner: 
GEN.9.9	 "Se, jag skall upprätta mitt förbund med er och era efterkommande efter er 
GEN.9.10	 och med alla levande varelser som är hos er: fåglar, boskapsdjur och jordens alla vilda djur, alla som har gått ut ur arken, alla djur på jorden. 
GEN.9.11	 Jag skall upprätta mitt förbund med er: Aldrig mer skall allt liv utrotas genom flodens vatten. Aldrig mer skall en flod komma och fördärva jorden." 
GEN.9.12	 Och Gud sade: "Detta är tecknet på det förbund som jag för all framtid sluter med er och med alla levande varelser hos er: 
GEN.9.13	 Min regnbåge sätter jag i skyn, och den skall vara tecknet på förbundet mellan mig och jorden. 
GEN.9.14	 När jag låter moln stiga upp över jorden och regnbågen syns i skyn 
GEN.9.15	 skall jag tänka på mitt förbund, det som har slutits mellan mig och er och alla levande varelser, allt liv, och vattnet skall inte mer bli en flod som utplånar allt liv. 
GEN.9.16	 När regnbågen syns i skyn och jag ser på den, skall jag tänka på det eviga förbundet mellan Gud och alla levande varelser, allt liv på jorden." 
GEN.9.17	 Och Gud sade till Noa: "Detta är tecknet på det förbund som jag har upprättat mellan mig och allt liv på jorden." 
GEN.9.18	Noas söner som gick ut ur arken var Sem, Ham och Jafet. Ham var far till Kanaan. 
GEN.9.19	 Dessa tre var Noas söner och från dem har jordens alla folk spritt ut sig. 
GEN.9.20	Noa som var åkerbrukare var den förste som anlade en vingård. 
GEN.9.21	 Men när han drack av vinet blev han berusad och låg blottad i sitt tält. 
GEN.9.22	 Ham, Kanaans far, såg sin far naken och berättade det för sina båda bröder, som var utanför tältet. 
GEN.9.23	 Men Sem och Jafet tog en mantel och lade den på sina axlar, gick baklänges in och täckte över sin fars nakna kropp. De vände bort ansiktet så att de inte såg sin fars nakenhet. 
GEN.9.24	 När Noa vaknade upp ur ruset och fick veta vad hans yngste son hade gjort honom, sade han: 
GEN.9.25	"Förbannad vare Kanaan,
GEN.9.25	en slavars slav skall han vara
GEN.9.25	åt sina bröder!"
GEN.9.26	Han sade vidare:
GEN.9.26	"Välsignad vare 
GEN.9.26	och Kanaan skall vara hans slav!
GEN.9.27	Gud skall utvidga Jafet,
GEN.9.27	han skall bo i Sems tält,
GEN.9.27	och Kanaan skall vara deras slav."
GEN.9.28	Noa levde trehundrafemtio år efter floden. 
GEN.9.29	 Alltså blev Noas hela ålder niohundrafemtio år. Därefter dog han. 
GEN.10.1	Detta är Noas söners, Sems, Hams och Jafets, fortsatta historia. Åt dem föddes söner efter floden. 
GEN.10.2	Jafets söner var Gomer, Magog, Madaj, Javan, Tubal, Mesek och Tiras. 
GEN.10.3	 Gomers söner var Askenas, Rifat och Togarma. 
GEN.10.4	 Javans söner var Elisa och Tarsis, kitteerna och dodaneerna.
GEN.10.5	 Från dessa har inbyggarna i hedningarnas kustområden spritt ut sig i sina länder, alla med sitt språk i sina stammar och folk. 
GEN.10.6	Hams söner var Kush, Misrajim, Put och Kanaan. 
GEN.10.7	 Söner till Kush var Seba, Havila, Sabta, Raama och Sabteka. Raamas söner var Saba och Dedan. 
GEN.10.8	 Kush blev far till Nimrod, som var den förste som fick stor makt på jorden. 
GEN.10.9	 Han var en väldig jägare inför 
GEN.10.10	 Hans rike hade sin början i Babel, Erek, Ackad och Kalne i Sinars land. 
GEN.10.11	 Från det landet drog han sedan ut till Assyrien och byggde Nineve, Rehobot-Ir, Kela 
GEN.10.12	 och Resen mellan Nineve och Kela. Detta är "den stora staden". 
GEN.10.13	 Misrajim blev far till ludeerna, anameerna, lehabeerna, naftuheerna, 
GEN.10.14	 patroseerna, kasluheerna, den stam som filisteerna härstammar från, och kaftoreerna. 
GEN.10.15	Kanaan blev far till Sidon, som var hans förstfödde, och Het, 
GEN.10.16	 vidare jebusiterna, amoreerna, girgaseerna, 
GEN.10.17	 hiveerna, arkeerna, sineerna, 
GEN.10.18	 arvadeerna, semareerna och hamateerna. Senare utbredde sig kananeernas släkter ytterligare 
GEN.10.19	 så att deras område sträckte sig från Sidon mot Gerar ända till Gaza och mot Sodom, Gomorra, Adma och Sebojim ända till Lesa. 
GEN.10.20	Detta var Hams söner efter deras stammar och språk i deras länder och bland deras folk. 
GEN.10.21	Söner föddes också åt Sem, Jafets äldre bror, och han blev stamfader till alla Ebers söner. 
GEN.10.22	Sems söner var Elam, Assur, Arpaksad, Lud och Aram. 
GEN.10.23	Arams söner var Us, Hul, Geter och Mash. 
GEN.10.24	Arpaksad blev far till Sela och Sela blev far till Eber. 
GEN.10.25	Men åt Eber föddes två söner. Den ene hette Peleg,
GEN.10.26	Joktan blev far till Almodad, Selef, Hasarmavet, Jera, 
GEN.10.27	 Hadoram, Usal, Dikla, 
GEN.10.28	 Obal, Abimael, Saba, 
GEN.10.29	 Ofir, Havila och Jobab. Alla dessa var Joktans söner. 
GEN.10.30	 De hade sina boplatser från Mesha mot Sefar, mot Östra berget. 
GEN.10.31	Detta var Sems söner efter deras stammar och språk i deras länder och efter deras folk. 
GEN.10.32	Detta var Noas söners stammar efter deras släktled i deras folk. Från dem har folken utbrett sig på jorden efter floden. 
GEN.11.1	Hela jorden hade ett enda språk och samma ord. 
GEN.11.2	 Men när människorna bröt upp och drog österut, fann de en lågslätt i Sinars land och bosatte sig där. 
GEN.11.3	 De sade till varandra: "Kom, så slår vi tegel och bränner det!" Teglet använde de som sten, och som murbruk använde de jordbeck. 
GEN.11.4	 Och de sade: "Kom, så bygger vi oss en stad och ett torn som har spetsen uppe i himlen. Låt oss göra oss ett namn, så att vi inte sprids ut över hela jorden." 
GEN.11.5	Då steg 
GEN.11.7	 Låt oss stiga ner och förbistra deras språk, så att den ene inte förstår vad den andre säger." 
GEN.11.8	 Så spred 
GEN.11.9	 Den fick namnet Babel, eftersom 
GEN.11.10	Detta är Sems fortsatta historia. När Sem var 100 år blev han far till Arpaksad, två år efter floden. 
