GEN.1.1	I begynnelsen skapade Gud himmel och jord.
GEN.2.23	Kvinna skall hon heta,
GEN.2.23	av man är hon tagen.«
GEN.2.24	Det är därför en man lämnar sin far och mor för att leva med sin hustru, och de blir ett.
GEN.2.25	Både mannen och kvinnan var nakna, och de kände ingen blygsel inför varandra.
GEN.3.1	Ormen var listigast av alla vilda djur som Herren Gud hade gjort. Den frågade kvinnan: »Har Gud verkligen sagt att ni inte får äta av något träd i trädgården?« 
GEN.3.2	Kvinnan svarade: »Vi får äta frukt från träden, 
GEN.3.3	men om frukten från trädet mitt i trädgården har Gud sagt: Ät den inte och rör den inte! Gör ni det kommer ni att dö.« 
GEN.3.4	Ormen sade: »Ni kommer visst inte att dö. 
GEN.3.5	Men Gud vet att den dag ni äter av frukten öppnas era ögon, och ni blir som gudar med kunskap om gott och ont.« 
GEN.3.6	Kvinnan såg att trädet var gott att äta av: det var en fröjd för ögat och ett härligt träd, eftersom det skänkte vishet. Och hon tog av frukten och åt. Hon gav också till sin man, som var med henne, och han åt. 
GEN.3.7	Då öppnades deras ögon, och de såg att de var nakna. Och de fäste ihop fikonlöv och band dem kring höfterna.
GEN.3.8	De hörde Herren Gud vandra i trädgården i den svala kvällsvinden. Då gömde sig mannen och kvinnan bland träden för Herren Gud. 
GEN.3.9	Men Herren Gud ropade på mannen: »Var är du?« 
GEN.3.10	Han svarade: »Jag hörde dig komma i trädgården och blev rädd, eftersom jag är naken, och så gömde jag mig.« 
GEN.3.11	Herren Gud sade: »Vem har talat om för dig att du är naken? Har du ätit av trädet som jag förbjöd dig att äta av?« 
GEN.3.12	Mannen svarade: »Kvinnan som du har ställt vid min sida, hon gav mig av trädet, och jag åt.« 
GEN.3.13	Då sade Herren Gud till kvinnan: »Vad är det du har gjort?« Hon svarade: »Ormen lurade mig, och jag åt.«
GEN.3.14	Då sade Herren Gud till ormen:
GEN.3.14	»Du som gjorde detta,
GEN.3.14	förbannad skall du vara,
GEN.3.14	utstött från boskapen och de vilda djuren.
GEN.3.14	På din buk skall du kräla
GEN.3.14	och jord skall du äta så länge du lever.
GEN.3.15	Jag skall väcka fiendskap mellan dig och kvinnan,
GEN.3.15	mellan din avkomma och hennes:
GEN.3.15	de skall trampa på ditt huvud
GEN.3.15	och du skall hugga dem i hälen.«
GEN.3.16	Till kvinnan sade han:
GEN.3.16	»Stor skall jag göra din möda
GEN.3.16	när du är havande,
GEN.3.16	med smärta skall du föda dina barn.
GEN.3.16	Din man skall du åtrå,
GEN.3.16	och han skall råda över dig.«
GEN.3.17	Till mannen sade han:
GEN.3.17	»Du som lyssnade till din hustru
GEN.3.17	och åt av trädet som jag förbjöd dig att äta av,
GEN.3.17	förbannad skall marken vara för din skull.
GEN.3.17	Med möda skall du hämta din näring från den
GEN.3.17	så länge du lever,
GEN.3.18	törne och tistel skall den ge dig.
GEN.3.18	Du skall äta av växterna på marken,
GEN.3.19	du skall slita för ditt bröd i ditt anletes svett
GEN.3.19	tills du vänder åter till jorden.
GEN.3.19	Ty av den är du tagen,
GEN.3.19	jord är du och jord skall du åter bli.«
GEN.3.20	Mannen gav sin hustru namnet Eva, ty hon blev moder till alla som lever. 
GEN.3.21	Herren Gud gjorde kläder av skinn åt mannen och kvinnan och klädde dem.
GEN.3.22	Herren Gud sade: »Människan har blivit som en av oss, med kunskap om gott och ont. Nu får hon inte plocka och äta också av livets träd, så att hon lever för alltid.« 
GEN.3.23	Och Herren Gud förvisade människan från Edens trädgård och lät henne bruka jorden varav hon var tagen. 
GEN.3.24	Han drev ut människan, och öster om Edens trädgård satte han keruberna och det ljungande svärdet att vakta vägen till livets träd.
GEN.4.1	Mannen låg med sin hustru Eva, och hon blev havande och födde Kain. »Jag har gett liv åt en man, med Herrens hjälp«, sade hon. 
GEN.4.2	Därefter födde hon Abel, Kains bror.
GEN.4.2	Abel var herde och Kain brukade jorden. 
GEN.4.3	En gång frambar Kain en offergåva till Herren av markens gröda. 
GEN.4.4	Abel frambar också en gåva och offrade de fetaste delarna av de förstfödda djuren i sin hjord. Herren såg med välvilja på Abel och hans gåva 
GEN.4.5	men inte på Kain och hans gåva. Då blev Kain vred, och han sänkte blicken. 
GEN.4.6	Herren sade till Kain: »Varför är du vred, och varför sänker du blicken? 
GEN.4.7	Om du handlar rätt vågar du ju lyfta blicken, men om du inte handlar rätt ligger synden vid dörren. Dig skall den åtrå, men du skall råda över den.«
GEN.4.8	Kain sade till sin bror Abel: »Kom med ut på fälten.« Där överföll han sin bror Abel och dödade honom.
GEN.4.9	Herren sade till Kain: »Var är din bror Abel?« Han svarade: »Det vet jag inte. Skall jag ta hand om min bror?« 
GEN.4.10	Herren sade: »Vad har du gjort? Din brors blod ropar till mig från marken. 
GEN.4.11	Förbannad skall du vara, bannlyst från marken som öppnat sin mun för att ta emot din brors blod, som du har utgjutit. 
GEN.4.12	Om du odlar marken skall den inte längre ge dig sin gröda. Rastlös och rotlös skall du vara på jorden.« 
GEN.4.13	Kain sade till Herren: »Mitt straff är för tungt att bära. 
GEN.4.14	Du driver mig bort från marken, bort ur din åsyn. Rastlös och rotlös kommer jag att vara på jorden. Vem som helst som möter mig kan döda mig.« 
GEN.4.15	Herren svarade honom: »Jag lovar att Kain skall bli hämnad sju gånger om, om någon dödar honom.« Och Herren satte ett tecken på Kain, för att han inte skulle bli dräpt av vem som helst som mötte honom. 
GEN.4.16	Och Kain drog bort, undan Herren, och slog sig ner i landet Nod, öster om Eden.
GEN.4.17	Kain låg med sin hustru, och hon blev havande och födde Henok. Han byggde då en stad och kallade den Henok efter sin son. 
GEN.4.18	Henok fick en son, Irad, och Irad blev far till Mechujael, Mechujael blev far till Metushael och Metushael blev far till Lemek. 
GEN.4.19	Lemek tog sig två hustrur, den ena hette Ada, den andra hette Silla. 
GEN.4.20	Ada födde Javal, och han blev stamfar till dem som bor i tält och håller boskap. 
GEN.4.21	Hans bror hette Juval, och han blev stamfar till alla som spelar lyra och flöjt. 
GEN.4.22	Också Silla födde en son, Tuval Kain, stamfar till alla kopparsmeder och järnsmeder. Tuval Kain hade en syster, Naama.
GEN.4.23	Lemek sade till sina hustrur:
GEN.4.23	»Ada och Silla, lyssna till mig,
GEN.4.23	Lemeks hustrur, hör mina ord.
GEN.4.23	Jag dödar en man för ett sår,
GEN.4.23	en yngling för en skråma.
GEN.4.24	Kain blir hämnad sju gånger om,
GEN.4.24	Lemek sjuttiosju.«
GEN.4.25	Åter låg Adam med sin hustru, och hon födde en son. Hon gav honom namnet Set, »ty«, sade hon, »Gud har skänkt mig ett nytt barn i stället för Abel, som Kain dödade«. 
GEN.4.26	Också Set fick en son, och han gav honom namnet Enosh.
GEN.4.26	Det var vid denna tid man började åkalla Herren.
GEN.5.1	Detta är Adams släkttavla. Då Gud skapade människan gjorde han henne lik Gud. 
GEN.5.2	Som man och kvinna skapade han dem. Han välsignade dem och gav dem namnet människa när de skapades.
GEN.5.3	När Adam var 130 år fick han en son som liknade honom och var hans avbild; han gav honom namnet Set. 
GEN.5.4	Efter Sets födelse levde Adam 800 år och fick söner och döttrar. 
GEN.5.5	Adams hela livstid blev 930 år; sedan dog han.
GEN.5.6	När Set var 105 år blev han far till Enosh. 
GEN.5.7	Efter Enoshs födelse levde Set 807 år och fick söner och döttrar. 
GEN.5.8	Sets hela livstid blev 912 år; sedan dog han.
GEN.5.9	När Enosh var 90 år blev han far till Kenan. 
GEN.5.10	Efter Kenans födelse levde Enosh 815 år och fick söner och döttrar. 
GEN.5.11	Enoshs hela livstid blev 905 år; sedan dog han.
GEN.5.12	När Kenan var 70 år blev han far till Mahalalel. 
GEN.5.13	Efter Mahalalels födelse levde Kenan 840 år och fick söner och döttrar. 
GEN.5.14	Kenans hela livstid blev 910 år; sedan dog han.
GEN.5.15	När Mahalalel var 65 år blev han far till Jered. 
GEN.5.16	Efter Jereds födelse levde Mahalalel 830 år och fick söner och döttrar. 
GEN.5.17	Mahalalels hela livstid blev 895 år; sedan dog han.
GEN.5.18	När Jered var 162 år blev han far till Henok. 
GEN.5.19	Efter Henoks födelse levde Jered 800 år och fick söner och döttrar. 
GEN.5.20	Jereds hela livstid blev 962 år; sedan dog han.
GEN.5.21	När Henok var 65 år blev han far till Metushelach. 
GEN.5.22	Efter Metushelachs födelse levde Henok 300 år och fick söner och döttrar. 
GEN.5.23	Henoks hela livstid blev 365 år. 
GEN.5.24	Henok levde i gemenskap med Gud. Sedan fanns han inte mer, ty Gud tog honom härifrån.
GEN.5.25	När Metushelach var 187 år blev han far till Lemek. 
GEN.5.26	Efter Lemeks födelse levde Metushelach 782 år och fick söner och döttrar. 
GEN.5.27	Metushelachs hela livstid blev 969 år; sedan dog han.
GEN.5.28	När Lemek var 182 år fick han en son. 
GEN.5.29	Han gav honom namnet Noa, »ty«, sade han, »denne skall ge oss lättnad i vårt arbete och vår möda när vi brukar jorden som Herren har förbannat«. 
GEN.5.30	Efter Noas födelse levde Lemek 595 år och fick söner och döttrar. 
GEN.5.31	Lemeks hela livstid blev 777 år; sedan dog han.
GEN.5.32	När Noa hade levt i 500 år blev han far till Sem, Ham och Jafet.
GEN.6.1	När människorna nu började bli talrika på jorden och döttrar föddes åt dem, 
GEN.6.2	såg gudaväsendena att människornas döttrar var vackra, och dem de tyckte bäst om tog de till hustrur. 
GEN.6.3	Då sade Herren: »Min livsande skall inte bli kvar i människan för alltid — hon är dock av kött. Hennes livstid skall vara 120 år.«
GEN.6.4	På den tiden — och även senare — när gudaväsendena låg med människornas döttrar och fick barn med dem, fanns det jättar på jorden. Detta var urtidens hjältar, och deras rykte var stort.
GEN.6.5	Herren såg att ondskan på jorden var stor; människornas uppsåt och tankar var alltid och alltigenom onda. 
GEN.6.6	Då ångrade Herren bittert att han hade gjort människor på jorden. 
GEN.6.7	Herren sade: »Människorna som jag har skapat skall jag utplåna från jordens yta, och med dem alla fyrfotadjur, kräldjur och himlens fåglar. Jag ångrar att jag gjorde dem.« 
GEN.6.8	Men Noa hade vunnit Herrens välvilja.
GEN.6.9	Detta är berättelsen om Noa och hans släkt. Noa, som levde i denna tid, var en oförvitlig och rättfärdig man; han levde i gemenskap med Gud. 
GEN.6.10	Noa fick tre söner, Sem, Ham och Jafet. 
GEN.6.11	Men inför Guds ögon blev jorden alltmer fördärvad och full av våld. 
GEN.6.12	Gud såg att jorden var fördärvad, eftersom allt vad människorna gjorde på jorden var fördärvligt. 
GEN.6.13	Han sade till Noa: »Jag har bestämt att jag skall göra slut på alla människor, ty de har fyllt jorden med våld. Jag skall förgöra både dem och jorden. 
GEN.6.14	Bygg dig en ark av goferträ och inred den med olika rum. Bestryk den både invändigt och utvändigt med jordbeck. 
GEN.6.15	Så skall du göra arken: den skall vara 150 meter lång, 25 meter bred och 15 meter hög, 
GEN.6.16	och du skall göra ett tak på den med en halv meters resning. Ingången till arken skall du göra på ena sidan, och du skall bygga den i tre våningar. 
GEN.6.17	Jag skall nu låta floden översvämma jorden och förgöra alla levande varelser under himlen. Allting på jorden skall gå under. 
GEN.6.18	Men med dig vill jag upprätta ett förbund. Du skall gå in i arken tillsammans med dina söner, din hustru och dina sonhustrur, 
GEN.6.19	och av allt som lever, av alla varelser, skall du föra in i arken ett par, hane och hona, av varje art, så att de kan överleva tillsammans med dig. 
GEN.6.20	Av de olika arterna av fåglar, fyrfotadjur och markens kräldjur skall ett par av varje komma till dig, så att de kan överleva. 
GEN.6.21	Du skall lägga upp förråd av all slags föda, så att ni har att äta, du själv och alla de andra.« 
GEN.6.22	Noa gjorde i allt så som Gud hade befallt honom att göra.
GEN.7.1	Herren sade till Noa: »Gå in i arken, du och hela din familj. Ty jag har funnit att du ensam är rättfärdig inför mig i denna tid. 
GEN.7.2	Av alla rena fyrfotadjur skall du ta med dig sju par av varje art, hanar och honor, och av alla djur som inte är rena skall du ta ett par, hane och hona — 
GEN.7.3	också av himlens fåglar sju par av varje art, hanar och honor — så att de kan överleva på jorden. 
GEN.7.4	Om sju dagar skall jag låta det regna på jorden i fyrtio dagar och fyrtio nätter, och jag skall utplåna från jordens yta allt som finns till, allt som jag har gjort.« 
GEN.7.5	Noa gjorde i allt så som Herren hade befallt honom.
GEN.7.6	Noa var 600 år när floden översvämmade jorden. 
GEN.7.7	Då gick Noa in i arken tillsammans med sina söner, sin hustru och sina sonhustrur för att rädda sig undan flodens vatten. 
GEN.7.8	Av de rena fyrfotadjuren och av de fyrfotadjur som inte är rena, av fåglarna och av allt det som krälar på marken 
GEN.7.9	kom ett par av varje art in till Noa i arken, hane och hona, så som Gud hade befallt Noa. 
GEN.7.10	Efter sju dagar kom flodens vatten över jorden.
GEN.7.11	Det år då Noa blev 600 år, den sjuttonde dagen i andra månaden, den dagen bröt alla det stora djupets källor fram och himlens dammluckor öppnades, 
GEN.7.12	och regnet strömmade ner över jorden i fyrtio dagar och fyrtio nätter. 
GEN.7.13	Just den dagen gick Noa och hans söner Sem, Ham och Jafet in i arken, och med dem Noas hustru och hans tre sonhustrur, 
GEN.7.14	vidare alla de olika arterna av vilda djur och boskap, de olika arterna av det som krälar på jorden och av det som flyger, både fåglar och alla andra djur med vingar. 
GEN.7.15	Alla kom de in till Noa i arken, ett par av alla levande varelser. 
GEN.7.16	De kom, hanar och honor av alla slags djur, så som Gud hade befallt Noa. Och Herren stängde igen om honom.
GEN.7.17	Då kom floden över jorden. Den varade i fyrtio dagar, och det kom så mycket vatten att arken lyftes och flöt över jorden. 
GEN.7.18	Vattnet steg högt över jorden, och arken drev på vattnet. 
GEN.7.19	Allt högre steg vattnet över jorden, tills det täckte även de högsta bergen under himlen. 
GEN.7.20	Vattnet steg mer än sju meter över bergen. 
GEN.7.21	Hela myllret av varelser på jorden gick under: fåglar, boskap och vilda djur, allt liv som jorden vimlade av, och alla människor. 
GEN.7.22	Allt som levde och andades dog, alla varelser som levde på land. 
GEN.7.23	Herren utplånade allt som fanns till på jorden, människor och fyrfotadjur, kräldjur och himlens fåglar: allt utplånades från jorden. Kvar blev bara Noa och de som var med honom i arken. 
GEN.7.24	Vattnet fortsatte att stiga över jorden i 150 dagar.
GEN.8.1	Då tänkte Gud på Noa och alla de vilda och tama djur som var med honom i arken. Han lät en vind blåsa över jorden och vattnet började sjunka undan. 
GEN.8.2	Djupets källor och himlens dammluckor stängdes till, regnet hejdades 
GEN.8.3	och vattnet drog sig efter hand bort från jorden. Efter de 150 dagarna började vattnet minska. 
GEN.8.4	På sjuttonde dagen i sjunde månaden blev arken stående på Araratbergen. 
GEN.8.5	Vattnet fortsatte hela tiden att minska, och när den tionde månaden kom, på första dagen i månaden, blev bergens toppar synliga.
GEN.8.6	Efter fyrtio dagar öppnade Noa ett fönster som han hade gjort på arken 
GEN.8.7	och släppte ut en korp. Den flög fram och åter till dess vattnet torkat upp på jorden. 
GEN.8.8	Sedan släppte han ut en duva för att se om vattnet hade sjunkit undan från marken. 
GEN.8.9	Men duvan fann ingen plats där den kunde vila utan återvände till honom i arken, eftersom det stod vatten över hela jorden. Då sträckte Noa ut handen och tog in duvan till sig i arken. 
GEN.8.10	Han väntade sju dagar till, sedan släppte han ut duvan ur arken ännu en gång. 
GEN.8.11	Om kvällen kom den tillbaka till honom, och då hade den ett friskt blad från ett olivträd i näbben. Då förstod Noa att vattnet hade sjunkit undan från jorden. 
GEN.8.12	Han väntade sju dagar till, sedan släppte han ut duvan igen, och nu kom den inte mer tillbaka till honom.
GEN.8.13	I Noas sexhundraförsta år, på första dagen i första månaden, hade vattnet torkat bort på jorden, och när Noa lyfte undan taket på arken fick han se att marken hade torkat upp. 
GEN.8.14	På tjugosjunde dagen i andra månaden var jorden torr. 
GEN.8.15	Då sade Gud till Noa: 
GEN.8.16	»Gå ut ur arken tillsammans med din hustru, dina söner och sonhustrur. 
GEN.8.17	Alla de djur av alla slag som du har hos dig, fåglar, fyrfotadjur och alla kräldjur som finns på jorden, skall du ta med dig ut, och det skall bli ett myller av dem på jorden; de skall vara fruktsamma och föröka sig.« 
GEN.8.18	Och Noa gick ut ur arken tillsammans med sina söner och sin hustru och sina sonhustrur. 
GEN.8.19	Alla fyrfotadjur och kräldjur och fåglar, allt som myllrar på jorden, gick ut ur arken, den ena arten efter den andra.
GEN.8.20	Noa byggde ett altare åt Herren. Han tog fyrfotadjur och fåglar av alla rena arter och offrade dem som brännoffer på altaret. 
GEN.8.21	Och Herren kände den blidkande lukten, och han sade till sig själv: »Aldrig mer skall min förbannelse drabba marken för människans skull, för att hon alltifrån ungdomen har ett ont uppsåt. Jag skall aldrig mer förgöra allt levande, så som jag nu har gjort.
GEN.8.22	Så länge jorden består
GEN.8.22	skall sådd och skörd, köld och värme,
GEN.8.22	sommar och vinter, dag och natt
GEN.8.22	aldrig upphöra att skifta.«
GEN.9.1	Gud välsignade Noa och hans söner och sade till dem: »Var fruktsamma och föröka er och uppfyll jorden. 
GEN.9.2	Alla markens djur och alla himlens fåglar skall känna skräck och fruktan för er. Över dem och över allt som krälar på jorden och över alla fiskar i havet ger jag er makt. 
GEN.9.3	Allt som lever och rör sig skall vara er föda; allt detta ger jag er så som jag gav er de gröna örterna. 
GEN.9.4	Men kött som har liv, det vill säga blod, i sig får ni inte äta. 
GEN.9.5	Och för ert eget blod skall jag kräva vedergällning. Jag skall utkräva den av varje djur, och av varje människa skall jag kräva vedergällning, om hon dödar en annan människa.
GEN.9.6	Den som utgjuter människoblod,
GEN.9.6	hans blod skall utgjutas av människor,
GEN.9.6	ty Gud gjorde människan till sin avbild.
GEN.9.7	Var fruktsamma och föröka er,
GEN.9.7	bli en myllrande mängd på jorden
GEN.9.7	och härska över den.«
GEN.9.8	Gud sade till Noa och hans söner: 
GEN.9.9	»Jag upprättar nu ett förbund med er och era efterkommande 
GEN.9.10	och med alla levande varelser som finns hos er, fåglar, boskap och alla vilda djur, alla som gick ut ur arken. 
GEN.9.11	Jag skall upprätthålla mitt förbund med er: aldrig mer skall det hända att alla varelser utplånas av flodens vatten, aldrig mer skall en flod ödelägga jorden.«
GEN.9.12	Gud sade: »Detta är tecknet för det förbund jag instiftar mellan mig och er och alla levande varelser ni har med er, för alla kommande släktled: 
GEN.9.13	min båge ställer jag bland molnen. Den skall vara tecknet för förbundet mellan mig och jorden. 
GEN.9.14	När jag hopar moln över jorden och bågen blir synlig bland molnen, 
GEN.9.15	då skall jag tänka på mitt förbund, förbundet mellan mig och er och alla levande varelser av alla slag, och aldrig mer skall vattnet bli till en flod som utplånar alla varelser. 
GEN.9.16	När bågen står bland molnen skall jag se den och tänka på det eviga förbundet mellan Gud och alla levande varelser av alla slag på jorden.« 
GEN.9.17	Och Gud sade till Noa: »Detta är tecknet för det förbund som jag upprättar mellan mig och alla varelser på jorden.«
GEN.9.18	Noas söner, de som gick ut ur arken, var Sem, Ham och Jafet. Ham var far till Kanaan. 
GEN.9.19	Dessa tre var Noas söner, och från dem härstammar alla människor på hela jorden.
GEN.9.20	Noa var åkerbrukare, han var den förste som anlade en vingård. 
GEN.9.21	När han drack av vinet blev han berusad och låg naken i sitt tält. 
GEN.9.22	Och Ham, Kanaans far, såg sin far ligga där blottad och gick ut och berättade det för sina bröder. 
GEN.9.23	Då tog Sem och Jafet en mantel, lade den på sina axlar och gick baklänges in och höljde över sin far; de vände bort ansiktet, så att de inte skulle se sin far blottad. 
GEN.9.24	När Noa sedan vaknade upp ur ruset och fick veta vad hans yngste son hade gjort honom 
GEN.9.25	sade han:
GEN.9.25	»Förbannad skall Kanaan vara
GEN.9.25	och den uslaste slav åt sina bröder.«
GEN.9.26	Och han sade:
GEN.9.26	»Lovad vare Herren, Sems Gud!
GEN.9.26	Kanaan skall vara deras slav.
GEN.9.27	Må Gud låta Jafet växa
GEN.9.27	och bo tillsammans med Sem.
GEN.9.27	Kanaan skall vara deras slav.«
GEN.9.28	Efter floden levde Noa 350 år. 
GEN.9.29	Noas hela livstid blev 950 år; sedan dog han.
GEN.10.1	Detta är släkttavlan för Noas söner, Sem, Ham och Jafet. De fick söner efter floden. 
GEN.10.2	Jafets söner var Gomer, Magog, Madaj, Javan, Tuval, Meshek och Tiras. 
GEN.10.3	Gomers söner var Ashkenas, Rifat och Togarma. 
GEN.10.4	Javans söner var Elisha och Tarshish, kitteerna och rodaneerna. 
GEN.10.5	Från dem kom folken som spred sig till öarna och kustlandet, vart och ett i sitt land och med sitt språk, i olika stammar och folk.
GEN.10.6	Hams söner var Kush, Misrajim, Put och Kanaan. 
GEN.10.7	Kushs söner var Seba, Havila, Savta, Ragma och Savteka. Ragmas söner var Saba och Dedan.
GEN.10.8	Kush blev far till Nimrod, som var den förste härskaren på jorden. 
GEN.10.9	Han var en väldig jägare inför Herren; det är därför man säger »som Nimrod, en väldig jägare inför Herren«. 
GEN.10.10	Hans rike omfattade från början Babel, Erek, Ackad och Kalne i Shinar. 
GEN.10.11	Från detta land kom han till Assyrien och byggde Nineve, Rechovot Ir, Kelach 
GEN.10.12	och Resen mellan Nineve och Kelach; det är den stora staden.
GEN.10.13	Misrajim blev far till ludeerna, anameerna, lehaveerna, naftucheerna, 
GEN.10.14	patruseerna, kaslucheerna, från vilka filisteerna härstammar, och kaftoreerna.
GEN.10.15	Kanaan blev far till Sidon, den förstfödde, och till Het, 
GEN.10.16	till jevuseerna, amoreerna, girgasheerna, 
GEN.10.17	hiveerna, arkeerna, sineerna, 
GEN.10.18	arvadeerna, semareerna och hamateerna. Sedan utbredde sig de kanaaneiska stammarna, 
GEN.10.19	så att deras område sträckte sig från Sidon fram till Gerar och ända bort till Gaza, vidare fram till Sodom och Gomorra, Adma och Sevojim, ända bort till Lasha. 
GEN.10.20	Detta var Hams söner, stam för stam och språk för språk, land efter land och folk efter folk.
GEN.10.21	Också Sem, Jafets äldste bror, fick söner. Han blev stamfar till alla Evers ättlingar. 
GEN.10.22	Sems söner var Elam, Assur, Arpakshad, Lud och Aram. 
GEN.10.23	Arams söner var Us, Hul, Geter och Mash. 
