GEN.1.1	I början skapade Gud himlarna och jorden.
GEN.4.10	Men Herren sa: ”Vad har du gjort? Din brors blod ropar till mig från marken. 
GEN.4.11	Från och med nu är du förbannad och förvisad från den mark som öppnade sin mun för att ta emot din brors blod ur din hand. 
GEN.4.12	Den kommer inte längre att ge dig någon skörd. Du ska vara hemlös och fredlös och irra omkring på jorden.”
GEN.4.13	Kain svarade 
GEN.4.14	för du har förvisat mig från min mark och från dig själv och gjort mig till en rastlös vandrare. Vem som helst som ser mig kan döda mig.” 
GEN.4.15	Då svarade 
GEN.4.16	Kain gick sedan bort från 
GEN.4.17	Därefter låg Kain med sin hustru, och hon blev gravid och födde Henok. När Kain sedan byggde en stad, kallade han den Henok efter sin son.
GEN.4.18	Henok var Irads far. Irad var Mechujaels far, Mechujael var Metushaels far, Metushael var Lemeks far.
GEN.4.19	Lemek gifte sig med två kvinnor – Ada och Silla. 
GEN.4.20	Ada födde ett barn som hette Javal, och han blev stamfar för alla som bor i tält och lever av boskapsskötsel. 
GEN.4.21	Hans bror hette Juval, och han var den förste att spela lyra och flöjt. 
GEN.4.22	Silla födde Tuval Kain. Han var den förste att gjuta redskap av koppar och järn. Tuval Kain hade en syster som hette Naama.
GEN.4.23	En dag sa Lemek till sina båda hustrur:
GEN.4.23	”Ada och Silla, hör på!
GEN.4.23	Lemeks hustrur, hör mina ord!
GEN.4.23	Jag har dödat en man för att han sårat mig,
GEN.4.23	en ung man för att han skadat mig. 
GEN.4.24	Kain ska hämnas sju gånger,
GEN.4.24	men Lemek sjuttiosju gånger!”
GEN.4.25	Adam låg igen med sin hustru, och hon födde ytterligare en son. Han fick namnet Set
GEN.4.26	Set fick en son som han kallade Enosh. Det var under dennes livstid som människorna började åkalla 
GEN.5.1	Här följer en förteckning över Adams släkt.
GEN.5.1	Människan var lik Gud när hon skapades. 
GEN.5.2	Gud skapade dem till man och kvinna, och välsignade dem och kallade dem människor
GEN.5.3	Adam var 130 år när hans son Set föddes. Denne liknade honom och var hans avbild.
GEN.5.4	Sedan levde Adam ytterligare 800 år, fick söner och döttrar 
GEN.5.5	och dog 930 år gammal.
GEN.5.6	Set var 105 år när hans son Enosh föddes. 
GEN.5.7	Sedan levde han ytterligare 807 år och fick söner och döttrar 
GEN.5.8	och dog 912 år gammal.
GEN.5.9	Enosh var 90 år när hans son Kenan föddes. 
GEN.5.10	Sedan levde han ytterligare 815 år och fick söner och döttrar 
GEN.5.11	och dog 905 år gammal.
GEN.5.12	Kenan var 70 år när hans son Mahalalel föddes. 
GEN.5.13	Sedan levde han ytterligare 840 år och fick söner och döttrar 
GEN.5.14	och dog 910 år gammal.
GEN.5.15	Mahalalel var 65 år när hans son Jered föddes. 
GEN.5.16	Sedan levde han ytterligare 830 år och fick söner och döttrar 
GEN.5.17	och dog 895 år gammal.
GEN.5.18	Jered var 162 år när hans son Henok föddes. 
GEN.5.19	Sedan levde han ytterligare 800 år och fick söner 
GEN.5.20	och döttrar och dog 962 år gammal.
GEN.5.21	Henok var 65 år när hans son Metushelach föddes. 
GEN.5.22	Sedan levde han ytterligare 300 år i gemenskap med Gud
GEN.5.23	Han blev 365 år. 
GEN.5.24	Henok vandrade i gemenskap med Gud och fanns sedan inte mer, för Gud tog bort honom.
GEN.5.25	Metushelach var 187 år när hans son Lemek föddes. 
GEN.5.26	Sedan levde han ytterligare 782 år och fick söner och döttrar 
GEN.5.27	och dog 969 år gammal.
GEN.5.28	Lemek var 182 år när han fick en son. 
GEN.5.29	Lemek kallade honom för Noa
GEN.5.30	Sedan levde Lemek 595 år och fick söner och döttrar 
GEN.5.31	och dog 777 år gammal. 
GEN.5.32	När Noa var 500 år fick han tre söner, Sem, Ham och Jafet.
GEN.6.1	Befolkningen började föröka sig nu på jorden, och döttrar föddes åt människorna. 
GEN.6.2	Då såg Guds söner
GEN.6.3	Då sa 
GEN.6.4	På den tiden, och även senare,
GEN.6.5	 Gud såg vidden av den mänskliga ondskan på jorden, och att människornas liv och tankar ständigt var alltigenom inriktade på det onda. 
GEN.6.6	 sörjde
GEN.6.8	Men på Noa såg 
GEN.6.9	Detta är berättelsen om Noas släkt:
GEN.6.9	Noa var en rättfärdig och oklanderlig man bland sina samtida. Han levde i gemenskap med Gud. 
GEN.6.10	Han hade tre söner: Sem, Ham och Jafet.
GEN.6.11	I Guds ögon blev världen mer och mer fördärvad och full av våld. 
GEN.6.12	Gud såg hur fördärvad jorden var: hela människosläktet
GEN.6.13	Och Gud sa till Noa: ”Jag har beslutat mig för att utplåna hela människosläktet, för på grund av människan är jorden fylld av våld. Jag ska utplåna både henne och jorden. 
GEN.6.14	Bygg en ark
GEN.6.15	Gör den 150 meter lång, 25 meter bred och 15 meter hög. 
GEN.6.16	Gör också ett tak med en halv meters resning
GEN.6.17	Jag ska låta en översvämning täcka jorden och förgöra varje levande varelse, alla som det finns livsande i. Allting på jorden kommer att gå under.
GEN.6.18	Men med dig vill jag upprätta ett förbund. Du ska gå in i arken tillsammans med din hustru, dina söner och deras hustrur. 
GEN.6.19	Ta ett par av varje djurart, en hane och en hona, med dig i arken för att hålla dem vid liv med dig. 
GEN.6.20	Ett par av varje art av fåglar, fyrfotadjur och kräldjur ska komma till dig för att överleva. 
GEN.6.21	Samla också ihop all slags mat som ni och dessa kan äta.”
GEN.6.22	Noa gjorde allt precis som Gud hade befallt.
GEN.7.1	Sedan sa 
GEN.7.2	Av de rena fyrfotadjuren ska du ta sju par av varje art, hane och hona. Av alla orena djur ska du ta ett par, hane och hona. 
GEN.7.3	Också av himlens alla fåglar ska du ta sju par, hane och hona, av varje slag, för att de ska överleva på jorden. 
GEN.7.4	Om en vecka ska jag sända ett regn som kommer att vara i fyrtio dagar och fyrtio nätter, och jag ska utplåna från jorden alla levande varelser som jag har skapat.”
GEN.7.5	Noa gjorde i allt som 
GEN.7.6	Han var 600 år när översvämningen kom över jorden. 
GEN.7.7	Han gick in i arken med sin hustru, sina söner och sina svärdöttrar, för att fly undan översvämningen. 
GEN.7.8	Hanar och honor av alla fyrfotadjur, både rena och orena, och av fåglar och alla markens kräldjur 
GEN.7.9	kom in i arken till Noa parvis, precis som Gud hade befallt Noa.
GEN.7.10	En vecka senare kom flodvattnen över jorden. 
GEN.7.11	Noa var 600 år gammal när floden kom den sjuttonde dagen i andra månaden. Då bröt det stora djupets källor fram, och himlens luckor öppnades. 
GEN.7.12	Regnet föll över jorden under fyrtio dygn. 
GEN.7.13	Men Noa hade samma dag gått in i arken med sin hustru och sina söner Sem, Ham och Jafet och deras hustrur. 
GEN.7.14	Med dem fanns de olika sorterna av vilda djur och boskap, alla slags kräldjur, fåglar och andra bevingade djur. 
GEN.7.15	De kom alla till Noa, ett par av varje levande varelse, de som har livsande i sig. 
GEN.7.16	Hanar och honor av alla slags djur kom, precis som Gud hade befallt Noa. Och 
GEN.7.17	Under fyrtio dagar kom floden över jorden. Det kom så mycket vatten att arken lyftes och flöt högt ovanför jorden. 
GEN.7.18	Vattnet steg högre och högre, och arken flöt på vattnet. 
GEN.7.19	Vattnet steg allt mer och täckte slutligen alla berg under himlen. 
GEN.7.20	Vattnet steg mer än sju meter över de högsta topparna.
GEN.7.21	Hela myllret av jordens levande varelser gick under: fåglar, boskap, vilda djur, hela jordens vimmel av smådjur och alla människor. 
GEN.7.22	Allt som andades och levde på torra land dog, 
GEN.7.23	ja, allt liv på jorden utplånades. Allt levande på jorden utplånades: människor och djur, kräldjur och himlens fåglar. Bara Noa och de som var med honom i arken blev kvar. 
GEN.7.24	Vattnet täckte jorden i 150 dagar.
GEN.8.1	Gud tänkte på Noa och alla vilda och tama djur i arken. Han lät en vind blåsa över jorden så att vattnet började sjunka undan. 
GEN.8.2	Djupets källor och himlens luckor stängdes, och skyfallen avtog. 
GEN.8.3	Vattnet fortsatte att sjunka undan. Efter 150 dagar minskade vattnet så mycket 
GEN.8.4	att arken stannade på Araratbergen på sjuttonde dagen i sjunde månaden. 
GEN.8.5	På första dagen i tionde månaden hade vattnet minskat så mycket att bergstoppar började bli synliga.
GEN.8.6	Efter fyrtio dagar öppnade Noa fönstret som han hade gjort i arken 
GEN.8.7	och släppte ut en korp som flög fram och tillbaka tills jorden blivit torr. 
GEN.8.8	Sedan skickade Noa också ut en duva för att se om den kunde hitta torr mark, 
GEN.8.9	men duvan fann ingen plats att vila på utan återvände till Noa i arken. Vattnet stod fortfarande för högt på jorden. Då sträckte Noa ut sin hand och tog in duvan i arken igen.
GEN.8.10	Sju dagar senare släppte Noa än en gång ut duvan ur arken, 
GEN.8.11	och nu återvände fågeln mot kvällen med ett friskt olivlöv i näbben. Då visste Noa att vattnet sjunkit undan. 
GEN.8.12	En vecka senare släppte han ut duvan igen och den gången kom den inte tillbaka.
GEN.8.13	I Noas sexhundraförsta år, på första månadens första dag, hade vattnet torkat bort från jorden. Noa tog bort arkens tak och såg att marken hade torkat upp. 
GEN.8.14	På tjugosjunde dagen i andra månaden var jorden torr. 
GEN.8.15	Då sa Gud till Noa: 
GEN.8.16	”Gå ut ur arken, du och din hustru, dina söner och dina svärdöttrar. 
GEN.8.17	Ta med dig ut alla djur som är hos dig, fyrfotadjur, fåglar och markens kräldjur. Det ska bli ett myller av dem på jorden. De ska föröka sig och bli många på jorden.” 
GEN.8.18	Noa, hans söner, hans hustru och hans svärdöttrar gick ut. 
GEN.8.19	Fyrfotadjuren, kräldjuren och fåglarna, allt som rör sig på jorden lämnade arken, den ena sorten efter den andra.
GEN.8.20	Sedan byggde Noa ett altare åt 
GEN.8.21	 kände den behagliga doften och sa för sig själv: ”Jag ska aldrig mer förbanna jorden för människans skull, för människans hjärtas tankar är onda redan från den tidigaste ungdomen. Jag ska aldrig mer förgöra allt levande som jag nu har gjort.
GEN.8.22	Så länge som jorden finns kvar
GEN.8.22	kommer sådd och skörd,
GEN.8.22	köld och värme,
GEN.8.22	sommar och vinter,
GEN.8.22	dag och natt
GEN.8.22	aldrig att upphöra.”
GEN.9.1	Gud välsignade Noa och hans söner och sa till dem: ”Var fruktsamma, föröka er och uppfyll jorden!
GEN.9.2	Alla vilda djur och fåglar, allt som rör sig på marken, och fiskar i haven kommer att vara rädda och känna skräck för er, för jag har ställt dem under er makt. 
GEN.9.3	Allt levande som rör sig ska vara er föda, liksom jag gett de gröna växterna. 
GEN.9.4	Men ät aldrig kött som har blod, dess liv,
GEN.9.5	Ert eget blod
GEN.9.6	Den som utgjuter en annan människas blod,
GEN.9.6	hans blod ska utgjutas av en människa,
GEN.9.6	för Gud gjorde människan till sin avbild.
GEN.9.7	Var fruktsamma, föröka er och bli en stor mängd på jorden!”
GEN.9.8	Sedan sa Gud till Noa och hans söner: 
GEN.9.9	”Jag upprättar nu ett förbund med er och era ättlingar 
GEN.9.10	och med alla levande varelser med er, alla fåglar och boskapsdjur och vilda djur, alla som kom ut ur arken. 
GEN.9.11	Jag ska upprätthålla mitt förbund med er och aldrig mer låta flodvattnen utplåna allt liv och fördärva jorden.”
GEN.9.12	Gud sa: ”Jag ska sätta ett tecken på förbundet mellan mig och er och alla levande varelser som är med er för alla kommande generationer: 
GEN.9.13	min regnbåge sätter jag bland molnen. Den ska vara tecknet för förbundet mellan mig och jorden. 
GEN.9.14	När jag sänder moln över jorden, kommer regnbågen att synas bland molnen, 
GEN.9.15	och jag ska komma ihåg mitt förbund med er och med varje levande varelse och aldrig mer låta vattnet övertäcka jorden och utplåna allt liv. 
GEN.9.16	När regnbågen är i skyn, ska jag komma ihåg det eviga förbundet mellan Gud och alla slags levande varelser på jorden.” 
GEN.9.17	Och Gud sa till Noa: ”Detta är tecknet på det förbund jag instiftat mellan mig och allt levande på jorden.”
GEN.9.18	Noas tre söner som kom ut ur arken hette Sem, Ham och Jafet. (Ham var Kanaans far.) 
GEN.9.19	Alla folken på jorden härstammar från dessa Noas tre söner.
GEN.9.20	Noa blev lantbrukare och planterade en vingård. 
GEN.9.21	En dag när han var drucken och låg naken i sitt tält, 
GEN.9.22	såg Ham, Kanaans far, sin far ligga där naken och gick ut och berättade det för sina två bröder. 
GEN.9.23	Då tog Sem och Jafet en mantel, höll den över sina axlar och gick in baklänges i tältet och täckte sin fars nakenhet, medan de tittade åt ett annat håll för att inte se sin far naken. 
GEN.9.24	När Noa vaknade ur sitt rus och fick reda på vad hans yngste son hade gjort honom, 
GEN.9.25	sa han:
GEN.9.25	”Kanaan ska vara förbannad
GEN.9.25	och vara den lägste av sina bröders slavar.”
GEN.9.26	Sedan sa han:
GEN.9.26	”Välsignad är 
GEN.9.26	Må Kanaan vara deras slav.
GEN.9.27	Må Gud låta Jafet växa och leva tillsammans med Sem
GEN.9.27	och Kanaan vara deras slav.”
GEN.9.28	Noa levde ytterligare 350 år efter floden 
GEN.9.29	och var 950 år gammal när han dog.
GEN.10.1	Detta är berättelsen om Noas söners, Sems, Hams och Jafets, släkt. De fick söner
GEN.10.2	Jafets söner var Gomer, Magog, Madaj, Javan, Tuval, Meshek och Tiras.
GEN.10.3	Gomers söner var Ashkenas, Rifat och Togarma.
GEN.10.4	Javans söner var Elisha och Tarshish, kittéerna och rodanéerna.
GEN.10.5	Deras ättlingar spred sig till olika kustländer med sina skilda folk, stammar och språk.
GEN.10.6	Hams söner var Kush, Misrajim, Put och Kanaan.
GEN.10.7	Kushs söner var Seba, Havila, Savta, Ragma och Savteka.
GEN.10.7	Ragmas söner var Saba och Dedan.
GEN.10.8	Från Kush härstammade också Nimrod, den förste härskaren på jorden. 
GEN.10.9	Han var en väldig jägare inför 
GEN.10.10	Kärnan i hans rike omfattade Babel, Erek, Ackad och Kalne, i Shinars
GEN.10.11	Därifrån utsträckte han sitt välde till Assyrien. Han byggde Nineve, Rechovot Ir, Kelach 
GEN.10.12	och Resen, som är beläget mellan Nineve och Kelach, den stora staden.
GEN.10.13	Misrajim var stamfar till ludéerna, anaméerna, lehavéerna, naftuchéerna, 
GEN.10.14	patruséerna, kasluchéerna, som filistéerna härstammar från, och kaftoréerna.
GEN.10.15	Kanaan var far till Sidon, som var hans förstfödde. Han var också stamfar till Het, 
GEN.10.16	jevuséerna, amoréerna, girgashéerna, 
GEN.10.17	hivéerna, arkéerna, sinéerna, 
GEN.10.18	arvadéerna, semaréerna och hamatéerna.
GEN.10.18	Slutligen spred sig Kanaans ättlingar 
GEN.10.19	från Sidon och hela vägen till Gerar, ända till Gaza och till Sodom, Gomorra, Adma och Sevojim, bort till Lasha
GEN.10.20	Dessa var Hams ättlingar efter sina stammar, språk, länder och folkslag.
GEN.10.21	Också Sem, Jafets äldste bror, fick söner och blev stamfar till alla Evers ättlingar.
GEN.10.22	Sems söner var Elam, Assur, Arpakshad, Lud och Aram.
GEN.10.23	Arams söner var Us, Hul, Geter och Mash.
GEN.10.24	Arpakshad var far till Shelach, och Shelach var far till Ever.
GEN.10.25	Ever fick två söner, den ene hette Peleg
GEN.10.26	Joktan var far till Almodad, Shelef, Hasarmavet, Jerach,
GEN.10.27	Hadoram, Usal, Dikla, 
GEN.10.28	Oval, Avimael, Saba,
GEN.10.29	Ofir, Havila och Jovav. Alla dessa var Joktans söner.
GEN.10.30	De bodde i området från Mesha till Sefar, bergstrakten i öster.
GEN.10.31	Dessa var alltså Sems ättlingar, efter sina stammar, språk, länder och folkslag.
GEN.10.32	Dessa är Noas söners stammar efter sina släkter. Från dem har alla folk spridit sig över jorden efter floden.
GEN.11.1	Alla människorna på jorden talade ett och samma språk. 
GEN.11.2	När de spred sig österut, upptäckte de en slätt i Shinar
GEN.11.3	De sa till varandra: ”Låt oss tillverka bränt tegel.” Så använde de tegel som byggsten och beck som murbruk. 
GEN.11.4	Sedan sa de: ”Låt oss bygga en stad med ett torn som når upp till himlen och göra vårt namn känt, så att vi inte skingras över hela jorden.”
GEN.11.5	Men när 
GEN.11.6	sa han: ”De är ett folk och har ett och samma språk. När de börjar så här kommer inget att bli omöjligt för dem! 
GEN.11.7	Kom, låt oss gå dit ner och ge dem olika språk, så att de blir förvirrade och inte kan förstå varandra!”
GEN.11.8	Så skingrade 
GEN.11.9	Det är därför som den kallas Babel
GEN.11.10	Detta är berättelsen om Sems släkt.
GEN.11.10	När Sem var 100 år gammal, föddes hans son Arpakshad två år efter floden. 
GEN.11.11	Efter Arpakshads födelse levde Sem ytterligare 500 år och fick söner och döttrar.
GEN.11.12	När Arpakshad var 35 år gammal föddes hans son Shelach, 
GEN.11.13	och därefter levde han ytterligare 403 år och fick söner och döttrar.
GEN.11.14	Shelach var 30 år gammal när hans son Ever föddes, 
GEN.11.15	och han levde därefter ytterligare 403 år och fick söner och döttrar.
GEN.11.16	Ever var 34 år gammal när hans son Peleg föddes, 
GEN.11.17	och han levde därefter ytterligare 430 år och fick söner och döttrar.
GEN.11.18	Peleg var 30 år gammal när hans son Regu föddes, 
GEN.11.19	och han levde därefter ytterligare 209 år och fick söner och döttrar.
GEN.11.20	Regu var 32 år gammal när Serug föddes, 
GEN.11.21	och han levde därefter ytterligare 207 år och fick söner och döttrar.
GEN.11.22	Serug var 30 år gammal när hans son Nachor föddes, 
GEN.11.23	och han levde därefter ytterligare 200 år och fick söner och döttrar.
GEN.11.24	Nachor var 29 år gammal när hans son Terach föddes, 
GEN.11.25	och han levde därefter ytterligare 119 år och fick söner och döttrar.
GEN.11.26	När Terach var 70 år gammal var han far till Abram, Nachor och Haran.
GEN.11.27	Detta är berättelsen om Terachs släkt. Terach var far till Abram, Nachor och Haran, och Haran var far till Lot. 
GEN.11.28	Haran dog i det land där han föddes, i Ur i Kaldéen, medan hans far ännu levde.
GEN.11.29	Både Abram och Nachor gifte sig. Abrams hustru hette Saraj, och Nachors hustru Milka, dotter till Haran som var far till både Milka och Jiska. 
GEN.11.30	Men Saraj kunde inte få några barn. 
GEN.11.31	Terach tog sin son Abram, sin sonson Lot, Harans son, och sin svärdotter Saraj och lämnade Ur i Kaldéen för att flytta till Kanaans land. Men de stannade och bosatte sig i staden Harran. 
GEN.11.32	Där dog Terach, 205 år gammal.
GEN.12.2	Jag ska göra dig till ett stort folk.
GEN.12.2	Jag ska välsigna dig och göra ditt namn stort,
GEN.12.2	så att du blir till välsignelse.
GEN.12.3	Jag ska välsigna dem som välsignar dig
GEN.12.3	och förbanna dem som hädar dig.
GEN.12.3	Genom dig ska alla jordens släkter bli välsignade.”
GEN.12.4	Då bröt Abram upp, som 
GEN.12.5	Han tog med sig sin hustru Saraj, sin brorson Lot och allt han ägde, boskapen och slavarna han hade fått i Harran, och kom slutligen till Kanaan. 
GEN.12.6	När de reste genom Kanaan, kom de till en plats nära Shekem och slog läger bredvid Mores ek
GEN.12.7	Här uppenbarade sig 
GEN.12.8	Efteråt lämnade Abram platsen och reste till det bergiga landskapet mellan Betel i väst och Aj i öst. Där slog han läger och byggde ett altare åt 
GEN.12.9	Sedan flyttade han undan för undan längre söderut till Negev.
GEN.12.10	Det blev hungersnöd i landet. Abram reste då ner till Egypten för att bo där, eftersom hungersnöden var så svår. 
GEN.12.11	När han närmade sig Egypten, sa han till sin hustru Saraj: ”Jag vet ju att du är en mycket vacker kvinna. 
GEN.12.12	När egypterna ser dig kommer de att säga: ’Detta är hans hustru.’ Då dödar de mig och låter dig leva. 
GEN.12.13	Säg därför att du är min syster, och då kommer egypterna att behandla mig väl för din skull och skona mitt liv.” 
