MAT.1.1	Livre d' la généalogie d' Jésus‐Christ, fis Dâvi, fis Abĕrham.
MAT.2.4	Et quànd il aeut assèmbllaï tous les chefs des prêtres et les scribes ou docteurs du peuplle, i s' enquêtit d' aeux où l' Christ devait naître.
MAT.2.5	I lli dirent que ch' 'tait dans Bethléhem, d' la tribu d' Juda, coumme v'là qui' a étaï écrit par le prophéte:
MAT.2.6	Et té, Bethléhem, terre de Juda, tu n' es pas la drâine des prìncipales vìlles de Juda; car ch' est d' té qu' sortira l' chef qui condira men peuplle d'Israël.
MAT.2.7	Là‐d'ssus Hérode, aquànd il aeut fait v'nìr les mages en d'muchon, s'enquêtit d' aeux ôve grànd soin du temps où l' ételle avait paru:
MAT.2.8	Et coumme i l's envyait à Bethléhem, i leû dît: Allaïz et enquêtous bien au nétt d' chu qui concerne ch't éfànt‐là: et quànd vous l' airaïz trouvaï, faites‐mél' saver, à ceulle fìn qu' j' aûge étout l'adoraïr.
MAT.2.9	Quànd il aeurent oui ches paroles‐là du roué, i s' en allirent. Et en même temps l'ételle qu'il avaient veue en orient allait d' vànt iaeux, en tché que coumme a' vìnt sus l' llu où l' éfànt était, a' s' y'arrêtit.
MAT.2.10	Quànd i virent l'ételle, il en aeurent une jouaie jamais itâille;
MAT.2.11	Et quànd il aeurent èntraï dans la maîson, i trouvirent l'éfànt ôve Marie sa mére, et quànd i s' furent prosternaïs sus la terre, i l'adorirent, et dépillirent leux tĕrsors, et lli' offrirent pour pĕrsents d' l'or, d' l'enchens et d' la myrrhe.
MAT.2.12	Et quànd il aeurent r'chu, coumme i dormaient, ùn guerniss'ment du cieil d' n' aver pas à r'venìr cîs Hérode, i s' en r'tournirent dans leû pâis par ùn aûte chemìn.
MAT.2.13	Quànd i s' furent en allaïs, ùn ànge du Signeur apparut à Jôseph coumme i dormait, et lli dît: L'vous, pĕrnaïz l' éfànt et sa mére, et alloûs‐en en Egypte, et d'meuraïz‐ŷ jusqu' à tànt que j' vous diche d' en r'venìr; car Hérode trach'ra l' éfànt pour le faire mouarìr.
MAT.2.14	Quànd Jôseph se fut l'vaï, i prìnt l' éfànt et sa mére de gnett, et s' en fut en Egypte;
MAT.2.15	Où i d'meurit jusqu' à la mort d' Hérode, à ceulle fìn qu' la parole que l' Signeur avait dite par le prophéte fusse accompllie: J' ai app'laï men fiss hors d' Egypte.
MAT.2.16	Là‐d'ssus Hérode, quànd i vît qu' les mages l' avaient abllûtaï, s' mît dans une diverse colére; et il envyit tuaïr dans Bethléhem et dans toute sa contrâie tous l's éfànts d' l' âge de daeux àns et au‐d'ssous, siévànt l' temps d' qui i s' était enquis si bien au nétt des mages.
MAT.2.17	Ch' est d' même que s' accompllit chu qui' avait étaï dit par le prophéte Jérémie:
MAT.2.18	Un grànd brit a étaï oui à Râma; nou‐s‐y' a oui des pllâintes et des cris lamèntablles; Râché qui plleure sĕs éfànts, et qui n' veurt pas r'chevaïr d' consolâtions, parç qu' i n' sont pus.
MAT.2.19	Quànd Hérode fut mort, ùn ànge du Signeur apparut à Jôseph en Egypte coumme i dormait,
MAT.2.20	Et lli dît: L'vous, pĕrnaïz l'éfànt et sa mére, et r'tournaïz dans l' pâis d'Israël; car chaeux qui trachaient l'éfànt pour lli halaïr la vie, sont morts.
MAT.2.21	Jôseph s'étànt l'vaï, prìnt l' éfànt et sa mére, et s' mît en ch'mìn pour rev'nìr dans l' pâis d'Israël.
MAT.2.22	Mais quànd nou lli' aeut dit qu' Archélaüs régnait en Judâie à la plléche d' Hèrode sen pére, il appĕrhèndit d' y' allaïr; et quànd il aeut r'chu, coumme i dormait, ùn guerniss'ment du cieil, i se r'tirit dans la Galilâie.
MAT.2.23	Et vìnt d'meuraïr dans une vìlle app'lâïe Nâzareth; à ceulle fìn qu' chu qui' avait étaï prédit par les prophétes fusse accomplli: I s'ra app'laï Nâzaréian.
MAT.3.1	Dans chu temps‐là Jean‐Batiste vìnt prêchier au désert de Judâie,
MAT.3.2	Disànt: R'pèntous; car le royaûme des ciux s' en vient.
MAT.3.3	Ch' est li qui' a étaï merqui par le prophéte Isaïe, quànd il a dit: V'chìn la vouaix du cien qui crie dans l' désert: Préparaïz l' chemìn du Signeur: r'derchiz ses sentes.
MAT.3.4	Ho Jean avait ùn vêtement d' pel de chameau et une châinture de cuir aûtouar de ses râins; et sa nourriture était d's avoûtresses et du mieil saûvage.
MAT.3.5	Et dans chu temps‐là la vìlle de Jérusâlem, toute la Judâie et toute la contrâie d's environs du Jourdaïn v'naient à li;
MAT.3.6	Et i confessaient leux péchês, et étaient bâtisaïs par li dans l' Jourdaïn.
MAT.3.7	Mais quànd i vît une route de pharisians et d' saducéians qui v'naient à sen bâtême, i leû dît: Râce de vipéres, qui' est qui vous a apprìns à fìr la colére qui dét quaie sus vous?
MAT.3.8	Faites don des frits propres à la r'pèntànce.
MAT.3.9	Et n' pensaïz pas dire en vous‐mêmes: J' avons Abĕrham pour pére; car j' vous décllére que Gyu peut faire sourdre d' ches roques‐ichìn d's éfànts à Abĕrham.
MAT.3.10	Car la hâche est dêjà mise à la rachine dĕs arbres: toute arbre don qui n' porte pouìnt d' bouan frit s'ra copâie et houlâie au faeu.
MAT.3.11	Pour mé j' vous bâtise dans l' iaue pour vous am'naïr à la r'pèntànce; mais l' cien qui dét v'nìr souventĕr mé est pus fort que mé; et je n' sis pas digne de portaïr ses sôlers: ch' est li qui vous bâtis'ra dans l' Sâint‐Esprit et dans l' faeu.
MAT.3.12	Il a sa païlle en sa maïn, et i nettiera s'n aire à fìn et à fait, et ramâssera sen bllaï dans l' grigner; mais i brûlera la pâille au faeu qui n' s' étaïndra jamais.
MAT.3.13	Là‐d'ssus Jésus vìnt d' la Galilâie au Jourdaïn trouvaïr Jean pour êtĕr bâtisaï par li.
MAT.3.14	Mais Jean s' en d'fèndait, disànt: Ch' est mé qui devrais êtĕr bâtisaï par vous; et vous v'naïz à mé?
MAT.3.15	Et Jésus lli répounit: Laissiz‐mé faire à ch't haeure; car ch' est d' même que j' devons accompllìr toute justice. Là‐d'ssus Jean n' s' y' oppôsit pus.
MAT.3.16	Ho Jésus, aquànd i fut bâtisaï, sortit ossitôt hors de l' iaue; et en même temps les ciux lli furent ouverts: et i vît l' Esprit de Gyu qui d'vallit coumme une tourterelle, et qui vìnt se r'paûsaïr sus li.
MAT.3.17	Et au même môment une vouaix s' fît ouìr du cieil, qui disait: Chtin'chìn est men fis bien‐aïmaï, en qui j' ai mis toute mĕn affection.
MAT.4.1	Là‐d'ssus Jésus fut emm'naï par l' Esprit dans l' désert pour y' êtĕr tèntaï par le gyablle;
MAT.4.2	Et quànd il aeut junaï quérànte jours et quérànte nits, enaprès il aeut faïm.
MAT.4.3	Et l' tèntateur, quànd i s' appĕrchit d' li, lli dît: Si vous êtes le Fis de Gyu, dites que ches roques‐ichìn d'viennent des pâins.
MAT.4.4	Mais Jésus lli répounit: Il est écrit: L' houmme ne vit pas seul'ment d' païn, mais de toute parole qui sort d' la bouche de Gyu.
MAT.4.5	L' gyablle là‐d'ssus l' trànsportit dans la sâinte vìlle; et l' mettànt sus l' coupé du templle,
MAT.4.6	I lli dît: S' ous êtes le Fis de Gyu, déroquous d' illo; car il est écrit, qu' il a ordounnaï à sĕs ànges de prendĕr soin d' vous, et d' vous soût'nìr d' leux mâins, d' crâinte qu' ous n' burguiz vote pid contĕr quique roque.
MAT.4.7	Jésus lli répounit: Il est écrit ossìn: Vous n' tènt'raïz pas l' Signeur vote Gyu.
MAT.4.8	L' gyablle l' trànsportit acouore sus une montâigne qui' était hardi haûte; et quànd i lli' aeut mourtraï tous les royaûmes du monde et toute leû guelouére,
MAT.4.9	I lli dît: J' vous baillerai toutes ches chôses‐là, s' ous voulaïz vous prosternaïr d'vànt mé et m' adoraïr.
MAT.4.10	Mais Jésus lli répounit: Hors de ma veie, Satan; car il est écrit: Ch' est l' Signeur vote Gyu qu' ous ador'raïz, et ch' est li seul qu' ous serviraïz.
MAT.4.11	Là‐d'ssus l' gyablle l' lâquit; et en même temps l's ànges s' appĕrchirent, et i l' servaient.
MAT.4.12	Ho Jésus ayànt oui dire qu' Jean avait étaï mis en prîson, i s' en fut en Galilâie;
MAT.4.13	Et quànd il aeut quittaï la vìlle de Nâzareth, i s' en vìnt d'meuraïr à Capharnaüm, vìlle au bord d' la maïre ès marches d' Zabulon et d' Nephthali;
MAT.4.14	A ceulle fìn qu' chutte parole‐ichìn du prophéte Isaïe fusse accompllie:
MAT.4.15	La contrâie d' Zabulon et la contrâie d' Nephthali, le ch'mìn qui méne à la maïre, la contrâie qui' est d' l' aûte bord du Jourdaïn, la Galilâie des nâtions;
MAT.4.16	Chu peuplle‐là qui' était assis dans la nére gnett a veue une grànd lumiére, et la lumiére s' est l'vâie sus chaeux qui' étaient assis dans la région d' l' ombĕr de la mort.
MAT.4.17	De d'pîs chu temps‐là Jésus c'mènchit à prêchier, et i disait: R'pèntous, car le royaûme des ciux apperche.
MAT.4.18	Ho, coumme Jésus marchait le long d' la maïre de Galilâie, i vît daeux fréres, Simon dit Pierre et André sen frére, qui houlaient leux rets dans la maïre; car il étaient pêqueux;
MAT.4.19	Et i leû dît: Siéviz‐mé, et j' vous f'rai pêqueux d' hoummes.
MAT.4.20	I quittirent ossitôt leux rets, et l' siévirent.
MAT.4.21	D' là, continuànt sen ch'mìn, i vît daeux aûtes fréres, Jacques fis d' Zébédée, et Jean sen frére, qui' étaient dans une barque ôve Zébédée leû pére, et i ramèndaient leux rets; et i l's app'lit.
MAT.4.22	Ossitôt i quittirent leux rets et leû pére, et i l' siévirent.
MAT.4.23	Et Jésus allait par toute la Galilâie, ensignànt dans leux synagôgues, prêchànt l' évàngile du royaûme, et guérissànt toutes les làngueurs et toutes les maladies du peuplle.
MAT.4.24	Et sen nom s' étànt r'pàndu par toute la Syrie, i lli' am'naient tous chaeux qui' étaient malades, et afflligis de divers maux et d' douleurs, chaeux qui' étaient possédaïs du démon, les lunatiques, chaeux qui' étaient en paralysie, et i les guérissait.
MAT.4.25	Et une grànd route de gens l' siévit d' la Galilâie, d' la Décapole, d' Jérusâlem, d' la Judâie, et d' l' aûte bord du Jourdaïn.
MAT.5.1	Aquànd Jésus vît tout chu peuplle‐là, i montit sus une montâigne, où i s' assiévit, et ses disciplles s' appĕrchirent de li;
MAT.5.2	Et il ouvrit sa bouche, l's ensignit, et dît:
MAT.5.3	Bienhaeûraeux les paures d' esprit, parç que l' royaûme des ciux est à iaeux.
MAT.5.4	Bienhaeûraeux chaeux qui sont paisiblles, parç qu' i posséd'ront la terre.
MAT.5.5	Bienhaeûraeux chaeux qui plleurent, parç qu' i s'ront consolaïs.
MAT.5.6	Bienhaeûraeux chaeux qui' ont faïm et sét d' la justice, parç qu' i s'ront rassâsiaïs.
MAT.5.7	Bienhaeûraeux chaeux qui' ont piti d'autri, parç que nou‐s‐aira piti d' aeux.
MAT.5.8	Bienhaeûraeux chaeux qui' ont l' coeur pur, parç qu' i verront Gyu.
MAT.5.9	Bienhaeûraeux chaeux qui trachent la paix, parç qu' i s'ront noummaïs éfànts de Gyu.
MAT.5.10	Bienhaeûraeux chaeux qui sont persécutaïs pour la justice, parç que l' royaûme des ciux est à iaeux.
MAT.5.11	Vous êtes haeûraeux quànd l's hoummes vous escllànder'ront, et qu' i vous persécut'ront, et qu' i diront fauss'ment toute sorte de mal contĕr vous à cause de mé.
MAT.5.12	Réjouissous là‐d'ssus, et tĕrsaûtaïz d' jouaie; parç qu' une grànd récompense vous attend dans les ciux: car ch' est d' même qu' il ont persécutaï les prophétes qui' étaient d'vànt vous.
MAT.5.13	Vous êtes l' saill de la terre. Si l' saill perd sa forche, óve qui l' sal'ra‐nou? i n' est pus bouan à rien qu' à êtĕr houlaï d'hors, et pillvaûdaï par les hoummes.
MAT.5.14	Vous êtes la lumiére du monde: une vìlle situâie sus une montâigne n' sairait pas êtĕr muchie:
MAT.5.15	Et nou n' allume pas une làmpe pour la mettĕr sous l' bouissé; mais nou la mét sus un chandiller, à ceulle fìn qu' alle écllaire tous chaeux qui sont dans la maîson.
MAT.5.16	Aïnchìn qu' vote lumiére llése d' vànt l's hoummes, à ceulle fìn qu' i véent vos bouannes œuvres, et qu' i glorifient vote Pére qui' est dans les ciux.
MAT.5.17	N' pensaïz pas que j' seis v'nu détruire la loué ou les prophétes: je n' sis pas v'nu les détruire, mais l's accompllìr.
MAT.5.18	Car j' vous dis, et ch' est la véritaï, que l' cieil et la terre ne pâss'ront pouìnt, en tché qu' tout chu qui' est dans la loué n' sét accomplli à fìn et à fait jusqu' à ùn seul titre et à ùn seul point.
MAT.5.19	L' cien don qui viol'ra ùn des mâindres d' ches c'màndements‐ichìn, et qui' apprèndra ès hoummes à les violaïr, s'ra r'gardaï dans l' royaûme des ciux coumme le draïn; mais l' cien qui f'ra et ensign'ra, s'ra grànd dans l' royaûme des ciux.
MAT.5.20	Car j' vous dis qu' si vote justice n' est pas pus abondànte qu' chelle des scribes et des pharisians, vous n' ènter'raïz pouìnt dans l' royaûme des ciux.
MAT.5.21	Vous avaïz apprìns qu' il a étaï dit ès àncians: Vous n' tueraïz pouìnt; et tout houmme qui tuera mérit'ra d' êtĕr condamnaï par le jug'ment.
MAT.5.22	Mais mé j' vous dis qu' tout houmme qui s' mettra en colére contĕr sen frére, mérit'ra d' êtĕr condamnaï par le jug'ment; et que l' cien qui dira à sen frére, Raca, mérit'ra d' êtĕr condamnaï par le conseil; et l' cien qui lli dira, Vous êtes fo, mérit'ra d' êtĕr condamnaï au faeu d' enfer.
MAT.5.23	Si don, quànd vous pĕrsèntaïz votre offrànde à l' aûtel, vous vous souv'naïz qu' vote frére a quique chôse contĕr vous,
MAT.5.24	Lâquiz‐là vote don d'vànt l' aûtel, et allaïz vous r'conciliaïr prumiérement ôve vote frére, et pîs vous r'viendraïz offrìr vote don.
MAT.5.25	Accordous au pus tôt ôve votre adverse partie quànd vous êtes acouore en ch'mìn ôve elle, d' crâinte qu' votre adverse partie n' vous livre au juge, et que l' juge n' vous livre à l' officier d' justice, et qu' ous n' séyiz mis en prîson.
MAT.5.26	J' vous dis, et ch' est la véritaï, qu' ous n' sortiraïz pouìnt d' illo, qu' ous n' aiyiz paiyi tout jusqu' au draïn ferlìn.
MAT.5.27	Vous avaïz apprìns qu' il a étaï dit ès àncians: Vous n' coummettraïz pouìnt d' adultére.
MAT.5.28	Mais mé j' vous dis qu' tout houmme qui' aira miraï une fâme ôve ùn maûvais d'sir pour elle, a dêjà coummis l' adultére ôve elle dans sen coeur.
MAT.5.29	Si don votre ieil dêtre vous scàndalise, érachiz‐lé, et houlaïz‐lé hors de vote veie; car i vaût mux pour vous qu' ùn des membres d' vote corps sét perdu, qu' si tout vote corps était houlaï en enfer.
MAT.5.30	Et si vote maïn dêtre vous scàndalise, copaïz‐la, et houlaïz‐la hors de vote veie; car i vaût mux pour vous qu' ùn des membres d' vote corps sét perdu, qu' si tout vote corps était houlaï en enfer.
MAT.5.31	Nou‐s‐a dit étout: Tout houmme qui veurt rènvyaïr sa fâme, qu' i lli baille ùn écrit, par où i décllére qu' i la démarie.
MAT.5.32	Et mé j' vous dis qu' tout houmme qui' aira rènvyaï sa fâme, si ch' n' est pour cas d' adultére, la fait dev'nir adultéresse; et tout houmme qui marie chelle que s'n houmme aira rènvyâie, coummét ùn adultére.
MAT.5.33	Vous avaïz apprìns étout qu' il a étaï dit ès àncians: Vous n' vous parjur'raïz pouìnt; mais vous vous acquitt'raïz au Signeur des serments qu' ous airaïz faits.
MAT.5.34	Et mé j' vous dis de n' juraïr d' aûcune magnére, ni par le cieil, parç que ch' est l' trône de Gyu;
MAT.5.35	Ni par la terre, parç qu' a' sert de scabé à ses pids; ni par Jérusâlem, parç que ch' est la vìlle du grànd roué.
MAT.5.36	Vous n' jur'raïz pas nitout par vote tête, parç qu' ous n' pouvaïz en faire ùn seul qu' vaeu bllànc ou nér.
MAT.5.37	Mais contèntous d' dire: Vére, vére; ou, Nàn, nàn; car chu qui va au d'là, vient du malìn.
MAT.5.38	Vous avaïz apprìns qu' il a étaï dit: Ieil pour ieil, et dent pour dent.
MAT.5.39	Et mé j' vous dis de n' pas faire tête au mal qu' nou veurt vous faire: mais si quiquiùn vous a cllamûsaï sus la jaue dêtre, offraïz‐lli étout l' aûtre.
MAT.5.40	Et si quiquiùn veurt pllaigyer contĕr vous pour vous halaïr vote câsaque, lâquiz‐lli étout vote mànté.
MAT.5.41	Et si quiquiùn veurt vous forchier d' allaïr ôve li mìlle pas, allaïz‐en étout daeux mìlle.
MAT.5.42	Dounnaïz au cien qui d'mànde, et n' cachiz pas l' cien qui veurt emprùntaïr d' vous.
MAT.5.43	Vous avaïz apprìns qu' il a étaï dit: Vous aïm'raïz vote pĕrchaïn, et vous haïraïz votre enn'mi.
MAT.5.44	Mais mé j' vous dis: Aïmaïz vos enn'mis, faites bien à chaeux qui vous haïssent, et pryaïz pour chaeux qui vous persécutent et qui vous calomnient;
MAT.5.45	A ceulle fìn qu' ous séyiz l's éfànts d' vote Pére qui' est dans les ciux, qui fait l'vaïr sen soleil sus les bouans et sus les maûvais, et fait plluvaïr sus les justes et sus l's ìnjustes.
MAT.5.46	Car si vous n' aïmaïz qu' chaeux qui vous aïment, quâille récompense en airous? Les publlicâins étout n' font‐i pas la même chôse?
MAT.5.47	Et s' ous n' saluaïz qu' vos fréres, qui' est qu' ous faites pus que l's aûtres? Les païans n' font‐i pas la même chôse?
MAT.5.48	Séyiz don vous étout parfaits coumme vote Pére qui' est ès ciux est parfait.
MAT.6.1	Gardous bien de n' pas faire vos bouannes œuvres d'vànt l's hoummes pour en êtĕr r'gardaïs; aûtĕrment vous n' en r'chevraïz pas la récompense d' vote Pére qui' est dans les ciux.
MAT.6.2	Quànd don vous f'raïz vote chéritaï, n' faites pas sounnaïr la trompette d'vànt vous, coumme lĕs hypocrites l' font dans les synagôgues et dans les rues, pour être hounoraïs d's hoummes. J' vous dis, et ch' est la véritaï, il ont r'chu leû récompense.
MAT.6.3	Mais quànd vous faites vote chéritaï, qu' vote maïn gaûche ne sache brìn chu qu' vote dêtre fait;
MAT.6.4	A ceulle fìn qu' vote chéritaï sét en d'muchon: et vote Pére qui vét chu qui s' fait en d'muchon, vous en r'compènsera.
MAT.6.5	De d'même quànd vous pryaïz, ne r'ssèmbllaïz pas ès hypocrites, qui s' pllaîsent à pryaïr de d'but dans les synagôgues et ès coins des rues pour êtĕr veues d's hoummes. J' vous dis, et ch' est la véritaï, il ont r'chu leû récompense.
MAT.6.6	Mais vous, quànd vous voudraïz pryaïr, èntraïz dans vote condan, et quànd vous airaïz frumaï l' us, pryaïz vote Pére en d' muchon; et vote Pére qui vét chu qui s' fait en d' muchon, vous en rèndra la récompense.
MAT.6.7	N' vous pllaisiz pas à faire de longues periéres, coumme les païans, qui s' imaginent qu' à forche de paroles i s'ront écoutaïs.
MAT.6.8	N' tâchiz don pas d' leû r'ssèmbllaïr; parç que vote Pére sait d' qui' est qu' ous avaïz besoin d'vànt qu' ous lli' aiyiz d'màndaï.
MAT.6.9	V'chìn don coumme vous prieraïz: Notĕr Pére qui' êtes ès ciux, qu' vote nom sét sànctifiaï:
MAT.6.10	Qu' vote régne vienge: Qu' vote volèntaï sét faite sus la terre coumme au cieil:
MAT.6.11	Dounnaïz‐nous agnett note païn d' tous les jours.
MAT.6.12	Et r'mettaïz‐nous nos dettes, coumme je r'mettons étout leux dettes à chaeux qui nous dévent:
MAT.6.13	Et n' nous laissiz pas quaie en tèntâtion; mais délivraïz‐nous du malìn. Aïnchìn sét‐i.
MAT.6.14	Car s' ous pardounnaïz ès hoummes leux méfaits contĕr vous, vote Pére céleste vous pardounn'ra étout les vos.
MAT.6.15	Mais s' ous n' pardounnaïz pouìnt ès hoummes leux méfaits contĕr vous, vote Pére nitout n' vous pardounn'ra pouìnt vos péchês.
MAT.6.16	Et quànd vous junaïz, n' séyiz pas tristes coumme lĕs hypocrites: car i s' font des visages tout défaits, à ceulle fìn que l's hoummes sachent qu' i junent. J' vous dis, et ch' est la véritaï, qu' il ont r'chu leû récompense.
MAT.6.17	Mais vous, quànd vous junaïz, parfumaïz vote tête, et lavaïz vote fache;
MAT.6.18	A ceulle fìn de n' pas faire paraître ès hoummes qu' ous junaïz, mais à vote Pére qui' est là en secrét; et vote Pére qui vét chu qui' est là en secrét, vous en r'compènsera.
MAT.6.19	N' vous amâssaïz pas des tĕrsors sus la terre, où l' roût et les vers les gâtent, et où les larrons les déterrent et les volent.
MAT.6.20	Mais amâssous des tĕrsors dans l' cieil, où ni l' roût ni les vers n' les gâtent, et où i gn' y' a pas d' larrons qui les déterrent et qui les volent.
MAT.6.21	Car où vote tĕrsor est, ch' est là qu' vote coeur est étout.
MAT.6.22	Vote ieil est l' crâsset d' vote corps: si vote ieil est sìmplle, tout vote corps s'ra r'llésànt.
MAT.6.23	Mais s' vote ieil est maûvais, tout vote corps s'ra obscur. Si don la lumiére qui' est en vous n' est qu' obscuritaï, qu' a' s'ra grànde ch't obscuritaï‐là!
MAT.6.24	Nul houmme ne peut servìr daeux maîtres; car, de daeux chôses l' une, i haïra l' ùn et aïm'ra l' aûtre; ou bien i s' soumettra à l' ùn et n' f'ra aûcùn cas d' l' aûtre. Vous n' pouvaïz pas servìr Gyu et les richesses.
MAT.6.25	Vlà pourqui j' vous dis: N' séyiz pas en souci pour vote vie d' chu qu' ous màng'raïz, ni d' où vous airaïz des hardes pour couvrìr vote corps: la vie n' estalle pas pus qu' la nourriture, et l' corps pus qu' les hardes?
MAT.6.26	R'gardaïz ùn p'tit les mouissons du cieil: i n' sément pouìnt, i n' scient pouìnt d' bllaï, et i n' amâssent rien dans des grigners; mais vote Pére céleste les nourrit: n' êtous pouìnt bien au‐d'ssus d' aeux?
MAT.6.27	Et où' est qui' est l' cien d' entĕr vous qui pourrait par sen souci ajoûtaïr à sa taille la haûteur d' sen coute?
MAT.6.28	Pourqui' est‐che étout qu' ous êtes en souci pour les hardes? R'gardaïz ùn p'tit coumme les liss des courtis crêssent; i n' travâillent pouìnt, i n' fillent pouìnt:
MAT.6.29	Et pourtànt j' vous asseure qu' Salomon même dans toute sa guelouére n' a jamais étai vetu coumme aûcùn d' aeux.
MAT.6.30	Si don Gyu a soin d' grâie coumme chun'na une herbe des càmps, qui' est agnett en essence, et qui d'maïn s'ra houlâie au fouar; combien pus aira‐t‐i soin d' vous grâie, ô hoummes de p'tite foué!
MAT.6.31	N' séyiz don pouìnt en souci, disànt: Qui' est que j' màng'rons, ou qui' est que j' bérons, ou coumme est qu' j' nous grierons?
MAT.6.32	Coumme les païans font, qui trachent toutes ches chôses‐là: car vote Pére sait qu' ous en avaïz besoin.
MAT.6.33	Trachiz don prumiérement l' royaûme de Gyu et sa justice, et toutes ches chôses‐là vous s'ront dounnâies pardessus.
MAT.6.34	N' séyiz don pouìnt en souci pour le lend'maïn; car le lend'maïn aira soin d' li‐même: à chaque jour suffit sa pâine.
MAT.7.1	N' jugiz pouìnt, à ceulle fìn qu' ous n' séyiz pas jugis.
MAT.7.2	Car vous s'raïz jugis coumme vous airaïz jugi l's aûtres; et nou s' servira pour vous d' la même mesure ôve qui vous airaïz m'suraï l's aûtres.
MAT.7.3	Pourqui' est‐che qu' ous véyiz une pâille dans l' ieil de vote frére, vous qui n' véyiz pas une poutre dans vote ieil?
MAT.7.4	Ou coumme est‐che qu' ous dites à vote frére: Laissiz‐mé halaïr une pâille d' vote ieil, vous qui' avaïz une poutre dans l' vôtre?
MAT.7.5	Hypocrite, halaïz prumiérement la poutre d' vote ieil, et pîs vous verraïz coumme est‐che qu' ous pourraïz halaïr la pâille d' l' ieil de vote frére.
