MAT.1.1	Guijtz ni rusule' laj retoxpeṉgoldoo xten Jesucrist xi'n toDavid, xi'n toAbraham.
MAT.3.2	―Coḻgusiechlajztu rextojḻtu sa'csi xcäḻrnibee Dios abidzuṉgajxhni.
MAT.3.3	Juan najc nani basä't Isaías, te niguii ni gunii xtidx Dios, cheni bacuaani:
MAT.3.3	Riejn xse' te ni rbedxa' nez lo reyubijdz:
MAT.3.3	“Coḻguslii xnezyuj Dad, coḻguslii xnezyulajzni.”
MAT.3.4	Najcw Juan xquichlajd cameii. Naliib te duguijd xque'ni. Rajwni guxha't näjza dzujn xten baseerguijxh. 
MAT.3.5	Riääd rebeṉ guedx Jerusalén näj guiraa rebeṉ Judea näjza rebejṉ ni tre' gajxh nez ro' gueu Jordán, riädcuadiajgreni xtiidxni. 
MAT.3.6	Che ruxhobdojḻreni xtojḻreni, rutiobnis Juanreni ro' gueu Jordán.
MAT.3.7	Che bahuiini siääd xhidajl rebeṉ guidoo ni najc refarisee näjza ni najc resaducee, rlajzreni gutiobnisnireni, räjpni lojreni:
MAT.3.7	―La'tu beṉguidxduxh, najctu si'c bäḻ. ¿Chu balijdxtu guxuṉtu loj xcäḻrdxe'ch Dios ni siääd? 
MAT.3.8	Coḻguibaṉsa'c si'cni nungäjḻ te fiipac rebejṉ guliipac abasiechlajztu. 
MAT.3.9	Na'c litis guntu xhigab naatu: “¡Ni nurnu najcnu rexagdoo toAbram!” Rniliä lojtu, sajc xca' Dios reguijre gunni gacreni rexi'n toAbram. 
MAT.3.10	Asojb guibyajg lo xlobaa reyajg, luxh guiraa reyajg nani di ninexhsa'c xcaj lojni, sidinni te checni. 
MAT.3.11	Narä guliicani rustiobnisä con nis si'c te seen cheni abasiechlajztu, abaxhobdojḻtu. Niluxh nani siääd detzä sutiobnisni la'tu con Sprit Dxan xten Dios näjza con guiboo. Rnibeeruni loä. Beṉsacduxhni. Nicla xcura'chni digacdi chanää́. 
MAT.3.12	Aca'ni xhi cojn gusiani triuu xtenni te chuchee triuuga neṉ ngodx xtenni. Dxejcti guixhtriuuga, suze'cni guijxhga lo guiboo ni rejc par tejpas.
MAT.3.13	Dxejc birii Jesús nez Galilee, bidzujṉni ro' gueu Jordán cadro yu' Juan te gutiobnis Juanni. 
MAT.3.14	Niluxh naaddi Juan gutiobnis Jesús. Räjp Juan lojni:
MAT.3.14	―Luj nanab gutiobnislu narä, niluxh ṉaj alga luj siäädlu loä te gutiobnisälu.
MAT.3.15	Dxejc räjp Jesús lojni:
MAT.3.15	―Basaan gacni si'c ṉaj, sa'csi nanab gusoobnu guiraa ni rlajz Dios gac.
MAT.3.15	Dxejctiru batiobnis Juan Jesús.
MAT.3.16	Cheni gulujx gurobnis Jesús, birigajcni lo nis. Dxejc bixal xhaguibaa, bahuiini siädyäjt Sprit Dxan xten Dios si'c te palom, biäjtni lojni. 
MAT.3.17	Dxejc xhaguibaali biejn diajgreni te xse' ni räjp:
MAT.3.17	―Dee najc xi'nä ni sanälazä. Laani rbanälazä.
MAT.4.1	Dxejc bejn Sprit Dxan xten Dios huij Jesús nez lo reyubijdz te nejzga nuhuaḻ beṉdxab Jesús.
MAT.4.2	Che gulujx bacua'n Jesús tiuu gubijdx, tiuu guxhijṉ, gulaanni. 
MAT.4.3	Sas biääd beṉdxab lojni, räjpni:
MAT.4.3	―Palga guliilu Xi'n Dioslu, gunibee gac reguijre yätxtiil.
MAT.4.4	Badzu' Jesús diidxre lojni, räjpni:
MAT.4.4	―Loj reguijtz xten Dios caj scree: “Xhet ganaxdi yäḻtxtiil guibajṉ rebejṉ; sibajṉzani con guiraa diidx nani rnii Dios.”
MAT.4.5	Dxejcti huinä beṉdxab Jesús guedx Jerusalén. Gulä'pnini jiaa yejc xques guidoro. Dxejcru räjp beṉdxab lojni:
MAT.4.6	―Palga Xi'n Dios luj, bitiäjs lo yujli, sa'csi scree caj loj rexquijtz Dios:
MAT.4.6	Sinibee Dios rexanglni ga'preni luj;
MAT.4.6	siliäsreni luj con ṉaareni didi gacnaj ni'lu lo reguijga.
MAT.4.7	Badzu' Jesús diidxre lojni, räjpni:
MAT.4.7	―Caj loj rexquijtz Dios: “Na'c faḻlu Dad ni najc Xtioslu.”
MAT.4.8	Stee huält huinä beṉdxab Jesús yejc te danro. Dxejcti baluiini lojni guiraa reguejdx, reguedxro ni tre' lo guedxliuj näj guiraa xcäḻnasa'creni. 
MAT.4.9	Dxejcti räjpni loj Jesús:
MAT.4.9	―Guiraa redee sunidxä lojlu palga guzuxhijblu nez loä te gaṉlu narä.
MAT.4.10	Dxejcti räjp Jesús lojni:
MAT.4.10	―¡Huij nez rec beṉdxab! Scree caj loj rexquijtz Dios: “Dad Xtiostislu gaṉlu; lojtisni chulu.”
MAT.4.11	Dxejcti gubicaj beṉdxab loj Jesús. Dxejc biääd rexangl Dios biädhuiireni Jesús.
MAT.4.12	Che biejn diajg Jesús yu' Juan neṉ ladzguiib, huijni nez Galilee. 
MAT.4.13	Dxejcti gudejdni guedx Nasare't, huiläjzni guedx Capernaum ni tre' gajxh nez ro' nis, nez reguejdx Zabulón con Neftalí. 
MAT.4.14	Si'c gujc te guzojb diidx ni bacuaa Isaías ni gunii xtidx Dios:
MAT.4.15	Lajdx Zabulón, lajdx Neftalí, nezyuj ni rij nez ro' nisdoo, stelaad gueu Jordán,
MAT.4.15	Galilee cadro rbäjz rebejṉ nani di gac rexpeṉ Israel.
MAT.4.16	Rebejṉ nani rbäjz neṉ te yäḻcäjy abahuiireni te bajlga,
MAT.4.16	luxh bajlga basanij xcäriejn renani nabajṉ lo xcäḻrdxejb, lo xpalaa yäḻgujt.
MAT.4.17	Dxejcli gusloj cagulijdx Jesús, räjpni:
MAT.4.17	―Coḻgusiejchlajztu, coḻguxhobdojḻ te guibaṉsa'ctu sa'csi abidzuṉgajxh xcäḻrnibee Dios.
MAT.4.18	Sasaj Jesús nez ro' nisdoo xten Galilee che bahuiini lo tio'p niguii. Tejni laa Simón, ni laaza Pedr. Steeni najc lagajc bejtzni, ni laa Andrés. Dzuun ni rujnreni najc rniaazreni bäjl, ni'c cacuaareni guijxh lo nisdoo. 
MAT.4.19	Dxejcti räjp Jesús lojreni:
MAT.4.19	―Coḻtanajl narä. N̲aj riniaaztu bäjl, niluxh narä gunä cueedxtu rebejṉ.
MAT.4.20	Lagajc dxejc basa'nreni xquijxhreni te sanajlreni laani.
MAT.4.21	Che gudejdreni ro'c, bahuiini loj stio'p niguii, Jacoob con bejtzni Juan. Yu'reni neṉ te barcw con xtadreni, ni laa Zebedeo cayunsa'creni guijxh. Dxejc gurejdx Jesúsreni. 
MAT.4.22	Lagajc dxejc basa'nreni barcw näjza xtadreni te sanajlreni Jesús.
MAT.4.23	Sasajti Jesús guideb nez región xten Galilee, caguluiini neṉ tejga rexquidooreni. Cagusule'ni redidxcoob xten xcäḻrnibee Dios. Cagusiajczani guiraa yäḻracxhuu ni rajc rebejṉ guejdxga, guiraa yäḻguijdx. 
MAT.4.24	Biejn diajg rebeṉ Siria diidx xcuent ni cayujn Jesús. Sas biädnäreni guiraa rebeṉracxhuu ni cayajc guiraloj yäḻguijdx, yäḻnayan; guiraa reni rajc yejcreni, guiraa reni rajc malyäḻguijdx, reni rajc yäḻguidxbej, guiraareni abixu'ṉ tiejxhreni. Dxejcti basiajc Jesús rebejṉga. 
MAT.4.25	Xhidalduxh beṉ Galilee huinajlni, näj rebeṉ reguedx Decápolis, näjza rebeṉ guedx Jerusalén, näjza rebeṉ Judea näjza rebejṉ ni tre' stelaad gueu Jordán.
MAT.5.1	Che bahuii Jesús loj rebeṉ xhidajl, huä'pni yejc te dajn. Dxejcti gubig rexpejṉni ni gurejdxni lojni. 
MAT.5.2	Dxejc gusloj caguluii Jesús reni'c, scree räjpni:
MAT.5.3	―Sibaalajz rebejṉ nani nanchee rquinduxhreni xcäḻracnäj Dios, sa'csi laareni nungäjḻreni xcäḻrnibee Dios.
MAT.5.4	’Sibaalajz rebejṉ nani rac-huin lajzreni xcuent rextojḻreni, sa'csi sudzucaj Dios xtojḻreni, susiäjḻni lajzreni.
MAT.5.5	’Sibaalajz rebejṉ nani nadolajz nani rlajz guntis si'cni rnibee Dios, sa'csi sacnäj Diosreni lo xcäḻnabajṉreni lo guedxliujre.
MAT.5.6	’Sibaalajz rebejṉ ni nastoocanu rliaanreni, riojlreni, sa'csi rlajzreni guibaṉsa'ctisreni nez loj Dios, sa'csi sudeed Dios lojreni guiraa ni rniabreni.
MAT.5.7	’Sibaalajz rebejṉ nani rulaslajz sa'reni, sa'csi sulaslajzza Diosreni.
MAT.5.8	’Sibaalajz rebejṉ nani najc nayatis lastooreni rujnreni rexhigabsa'c xten Dios sa'csi suhuiireni lo Dios.
MAT.5.9	’Sibaalajz rebejṉ nani ruscuecdxilajz sabejṉreni, sa'csi laareni sirilajreni rexi'n Dios.
MAT.5.10	’Sibaalajz rebejṉ nani rusutijp lajzreni che rusacsí bejṉreni sa'csi nabaṉsa'creni nez loj Dios, sa'csi xtenreni najc xcäḻrnibee Dios xhaguibaa.
MAT.5.11	’Coḻspaalajztu che gusacsí bejṉtu tiḻnäjreni la'tu, guiniireni guiraloj didx-xhii xcuent xtidxä. 
MAT.5.12	Coḻguibaalajz, coḻbalajz sa'csi xhaguibaali sunidxduxh Dios xcuent xtzuuntu. Sigajcza basacsíreni reniguii ni gubajṉ galoo ni gunii xtidx Dios.
MAT.5.13	Räjpzani:
MAT.5.13	―La'tu najctu si'c sejd lo guedxliujre. Palga di sejd gac nadzujy, ¿xho gacsacni nadzujy? ¿Xhi gun bejṉni dxejc? Susäḻreni sejdga detz yu', suläj bejṉ yejcni.
MAT.5.14	’La'tu najctu si'c te bianij lo guedxliujre. Te guejdx nani tre' jiaa yejc te dajn, digacdi guiga'tzni. 
MAT.5.15	Digacdi xcaguij te bajl dxejcti jiäuuni neṉ te caj. Maazru huen soobni jiaa neṉ te gandilieer te gusänijni loj guiraa rebejṉ ni tre' neṉ yu'. 
MAT.5.16	Xcäḻnabaṉsa'ctu najc si'c te bajl loj rebeṉ guedxliuj. Suhuiireni xtzunsa'ctu dxejc siliä'preni xpala'n xtadtu ni yu' xhaguibaa.
MAT.5.17	Räjpzani:
MAT.5.17	―Na'c guntu xhigab siädgudzucaä́ leii xten toMoisés, niclaza rediidx ni baluii redad ni gunii xtidx Dios. Xhet siäddzucaä́dini, narä siälä te guluiäpacni si'cni najcni. 
MAT.5.18	Rniliä́pac, dxejli che ni nitloj guibaa näjza guedxliuj, nicla tej letr ni caj loj leii di nit. Sajcpac guiralii ni caj lo reguijtzga. 
MAT.5.19	Ni'cni chutis ni rlajz gusaan te diidx nani caj loj leii, mase te didxbäzni, luxh ruluiini gun bejṉ si'c, laani guxiduxh sajcni lajdx Dios guibaa. Niluxh renani rucuadiajg xtidx leii, luxh rujnpacreni si'cni caj lo leii, ruluiizani leii, beṉsacduxh gacni lajdx Dios guibaa. 
MAT.5.20	Ni'cni rniä lojtu, palga ditu gunsa'cru xtzun Dios, ditu guibaṉsa'cru loj reni najn xcuent xleii toMoisés, näjza loj rebeṉ guidoo ni laa farisee, dipactu jiu' lajdx Dios xhaguibaa.
MAT.5.21	Räjpzani:
MAT.5.21	―Abiejnza diajgtu nani gunii rebeṉgoldoo: “Na'c ju'tlu. Chutis te nani ju't sa'ni, sinärenini lo guxhtis te jiäuuni neṉ latzguiib.” 
MAT.5.22	Niluxh narä rniä chutis nani guidxechduxh lo sa'ni sijni lo guxhtis. Chutis ni guinii didxnaj lo sa'ni, sijni lo juejz. Chutis ni gäb lo sa'ni: “beṉnayäḻlajz” sidejdni loj yäḻguxhtis xten Dios, sijni gabijl cadro cayejc guiboduxh.
MAT.5.23	’Che sanälu gojn guidoo te gusa'nluni lo bacuug, palga guinaj lajzlu yu' chu lo cadxe'chlu, 
MAT.5.24	basansijc gojn xtenlu lagajc ro'c, huisiäḻxgaa diidx con sa'lu, dxejcti guibi'lu te gac gusa'nlu gojn xtenlu.
MAT.5.25	’Palga yu' chu rdxe'ch lojlu, basquejn basiäjḻ diidx con laani lagajc cheni sasanäjluni lonezyuj te di guteedni luj lo juejz. Luxh juejz suteedni luj loj reguixhajg te gusäureni luj neṉ latzguiib. 
MAT.5.26	Rniliä́pac lojlu: “Dilu guirii ro'c palga dilu cue'c guiralii meel nani guiniabni lojlu.”
MAT.5.27	Räjpzani:
MAT.5.27	―Abiejn diajgtu guniireni galoo: “Na'c guesnäjtu gunaa nani di gac chäältu.” 
MAT.5.28	Narä rniä, chutis te nani fii loj te gunaa dxejcti guisia' lajzni gunaaga, abejnni dojḻ neṉ lastooni. 
MAT.5.29	Palga balojlu ladbee rujn rujnlu dojḻ, gulääni basäḻni te laad sa'csi hueenru gunijtlu te balojlu quela chää guideb tiejxhlu gabijl. 
MAT.5.30	Palga ṉaalu ladbee rujn rujnlu dojḻ, batiu'ni sa'csi hueenru gunijtlu te ṉaalu quela chää guideb tiejxhlu gabijl.
MAT.5.31	Räjpzani:
MAT.5.31	―Abiejn diajgtu guniireni galoo: “Chutis niguii ni rlajz guṟo'n chäälni, nanabtis gudeedni te guijtz nani rnii abaṟo'nni chäälni.” 
MAT.5.32	Narä rniä, niguii nani guṟo'n chäälni niluxh xhet dojḻdi bejn chäälni, niguiiga sujn gun chäälni yäḻgubejxh, niluxh chutis ni guchṉaa gunaaga sujnzani yäḻgubejxh.
MAT.5.33	Räjpzani:
MAT.5.33	―Abiejnza diajgtu gunii rebeṉgool: “Che ria'nlu diidx lo Dios gunlu xhi gunlu, na'c jial lajzlu; basa'pac xtiidxlu lo Dios.” 
MAT.5.34	Narä rniä, na'c gunlu juraar, nicla tej mood, nicla por xhaguibaa, sa'csi ro'c najc lajdx Dios, 
MAT.5.35	nicla por loj guedxliuj sa'csi ro'c rsiuj ni'ni; nicla por guedx Jerusalén sa'csi ro'c najc guedxlajdx ṟeiiro, 
MAT.5.36	niclaza por lagajc bitiuyejclu, sa'csi digacdi guncheelu te guichyas niclaza te guichnol, nicla tej guijch. 
MAT.5.37	Nanab guiniitislu: “Mbaj” o “Ajndi”. Palga yu' xhiru rniilu, beṉdxab najc ni rujn rniiluni.
MAT.5.38	Räjpzani:
MAT.5.38	―Abiejn diajgtu gunii rebeṉgool galoo: “Te baloj por ste baloj, te läjy por ste läjy, nalajznu bejn lo sa'lu si'ctis ni rujnni lojlu.” 
MAT.5.39	Narä rniä, na'c tiḻnäjlu te bejṉ ni bejn te cos guijdx lojlu. Palga chääzni ladbee lojlu badeed stelaad lojlu chääzni. 
MAT.5.40	Palga yu' chu rlajz tiḻnäjlu te xca'ni xcamangwlu, badeedza näj xsa'cwlu lojni. 
MAT.5.41	Palga yu' chu guinibee guulu xcargwni te kilómetro, huinäni tio'p kilómetro. 
MAT.5.42	Nani guiniab xhi guiniabxlia'ni lojlu, badeedni. Nani guiniablaa xhi guinablaani lojlu na'c gudxojnluni lojni, na'c gäblu: “Xhetini.”
MAT.5.43	’Abiejn diajgtu gunii rebeṉgool: “Coḻchanälajz sa'tu. Coḻguidxe'ch loj renani rdxe'ch lojtu.” 
MAT.5.44	Narä rniä lojtu, coḻchanälajz rebejṉ ni rdxe'ch lojtu. Benle' yejc reni rgue lojlu. Coḻyejn dxunsa'c loj renani rdxe'ch lojtu. Coḻcuejdx, coḻnab loj Dios xcuent rebejṉ nani rdxagdijḻtu, rusacsíreni la'tu, 
MAT.5.45	te si'c gactu xi'n xtadtu ni yu' xhaguibaa nani rujn ṟii xcubijdxni lo rebeṉsa'c sigajcza lo rebeṉ guijdx. Rujnzani riajb nisguij lo rebeṉsa'c sigajcza lo rebeṉguijdx. 
MAT.5.46	Palga la'tu chanälajztu lagajctis rebejṉ nani rinälajz la'tu, ¿xhi gaan guntu dxejc? Najctu lagajc si'c najc rebejṉ ni rutie' meel ni rajx lo gubier. 
MAT.5.47	Palga guiniitu: “Xchan”, lagajctis loj resa'tu, ¿xhini'c rujntu ni najc hueenru lo chutis bejṉ? ¿La et sigajcdiza rujn rebejṉ nani di gumbee Dios? 
MAT.5.48	Coḻyajc beṉsa'c si'c ni najc xtadtu ni yu' xhaguibaa.
MAT.6.1	Räjpzani:
MAT.6.1	―Na'c gusäbdiidx guntu dzunsa'c nez loj rebejṉ te fiitisreni xhi rujntu. Palga gusäbdiidxtu di xtadtu ni yu' xhaguibaa guniidx xhi xca'tu. 
MAT.6.2	Che gudeedlu gojn, na'c güilu diidx xhi badeedlu. Na'c gunlu si'c rujn rebejṉ nani rusguee neṉ reguidoo, näjza lad nezyuj. Rujnsireni si'c te ruhuii rebejṉ xhi rujnreni te rliä'p rebejṉ xpala'nreni. Narä rniä acua'reni gaan xtenreni. 
MAT.6.3	Luj che gudeedlu gojn xtenlu, na'c gacbee nicla tej xamiigwlu xhi badeedlu, 
MAT.6.4	te gac gojn xtenlu xhiga'tz. Dxejcti xtadlu ni cahuii nani bejnlu xhiga'tz, sacnäjni luj nez loj rebejṉ.
MAT.6.5	Räjpzani:
MAT.6.5	―Cheni rbejdx, rniabtu lo Dios, na'c guntu si'c rujn rebeṉguidoo ni rusguee. Rchaglajzreni rniabreni lo Dios rsiuliireni neṉ reyu' cadro rieḻ xtidx Dios, näjza guiraa resquiin, näjza nez ronejz te ruhuii rebejṉ xho rujnreni. Rniliä́pac, acua'reni gaan xtenreni. 
MAT.6.6	N̲aj luj cheni cueedx, guiniablu lo Dios, biu' neṉ xyu'lu. Basäuu ro' yu'ga, dxejcti xhiga'tz gunii loj xtadlu ni yu' xhaguibaa. Dxejcti xtadlu ni cahuii xhi rujnlu xhiga'tz, sacnäjni luj nez loj rebejṉ.
MAT.6.7	’Cheni caniitu lo Dios, na'c guinisactu balti huält rediidx nani aguniitu. Si'c rujn rebejṉ nani di gumbee Dios. Naareni sa'csi sanuutis rniireni xhidajl diidx balti huält, siejn diajg Dios. 
MAT.6.8	Na'c guntu sigajc ni rujnreni, sa'csi anajn xtadtu xhini'c rquiintu che guiniabtuni lojni. 
MAT.6.9	Ni'cni scree coḻguinii lo Dios:
MAT.6.9	Xtadnu ni yu' xhaguibaa dxan najc lajlu.
MAT.6.10	Sujiääd xcäḻrnibeelu;
MAT.6.10	bejn si'cni rlajzlu lo guedxliujre sigajc rujnlu xhaguibaa.
MAT.6.11	Nadxej baniidx xcu'nnu sa' ni rdaunu guira dxej.
MAT.6.12	Basiäjḻ lajzlu redojḻ xtennu si'c riäjḻ lajznu redojḻ xten rebejṉ ni rujn dojḻ loonu.
MAT.6.13	Na'c gusaanlu jiaabnu xhigabguijdx,
MAT.6.13	basḻaa nuure lo dojḻ,
MAT.6.13	sa'csi xten guejblu najc yäḻrnibee, yäḻnadip näjza yäḻrdimbicha' par tejpas.
MAT.6.13	Sugacni si'c.
MAT.6.14	Palga la'tu gusiäjḻ lajztu redojḻ ni rujn rebejṉ lojtu, xtadtu ni yu' xhaguibaa susiäjḻza lajzni rextojḻtu. 
MAT.6.15	Palga ditu gusiäjḻ lajztu redojḻ ni rujn rebejṉ lojtu, sigajcza xtadnu ni yu' xhaguibaa di lajzni jiäjḻza rextojḻtu.
MAT.6.16	Räjpzani:
MAT.6.16	―Che rucua'ntu na'c guntu si'c rujn rebejṉ nani rusguee; rumbaa lojreni te fii rebejṉ cagucua'nreni. Rniliä acua'reni rexgaanreni. 
MAT.6.17	Niluxh la'tu, che rucua'ntu, coḻcuṉ yejctu, coḻquiib lojtu 
MAT.6.18	te na'c gacbee rebejṉ cagucua'ntu, xtadtistu suhuii cagucuanxhiga'tztu. Xtadtu ni cahuii xhi cayunxhiga'tztu suniidxni xhi xca'tu nez loj rebejṉ.
MAT.6.19	Räjpzani:
