MAT.1.1	Ulu lwe lukoono ulwa ulukolo lwa Yesu Kilisito umwisukulu va Daudi, umwisukulu va Abulahamu:
MAT.3.7	Ave iwona lino peawene Avafalisayo na Avasadukayo wolofu vakusa sambi vabatisiwe, ndawe avatigilige, “Nyenye nye mbegalo va inzoka! Ye nani ye avalonje ulwa mwepage ililakaali lya Nguluvi ilikusa? 
MAT.3.8	Apo mupigage ifipigo ifilagila ukuta mupesile nu kusileka inzanangifu. 
MAT.3.9	Ino mulahosa ukutigila, ‘Twinave Udadetu Abulahamu!’” Nene nguvalongela ulwa, Nguluvi ahwanite apitule amaganga iga gave vana va Abulahamu. 
MAT.3.10	Nayilino de isilanga yilimwisina lya umubiki; umubiki gula gwesigwagwiveleka amaveleko, gwidumulwa neke gutagwe mumoto. 
MAT.3.11	Nene nguvabatisa na ululenga sambi mupituke na ukupela. Ino yeakusa mu mbele mwa nene ina ludali ukulutila nene, nene sinywaniti nambi ukuhogosa inzisi sa indatu sakwe. Uyo avabatisa na uludali lwa umuhe umwelu na umoto. 
MAT.3.12	Uluhelo lulimumawoko gakwe ipeta imeke sakwe sambi akong'ase ingano mukisande, neke umwelelo anyanya mumoto gwesigwisimagi.
MAT.3.13	Ndawe Yesu aasige uluhuma ku Galilaya mbaka ku Yolodani kwa Yohane, sambi abatisiwe na Yohane. 
MAT.3.14	Neke Yohane amukanile, itigila, “veve yuke umbatisage nene, ino veve ukusa kwa nene?” 
MAT.3.15	Ndawe Yesu amupitulige, “Leke luve ndahihyo pakuva tuva twikwisa sila seisaka Nguluvi.” Ndawe Yohane idikisige.
MAT.3.16	Nave Yesu peyeabatisiwe, ahumite uluhuma mululenga. Ndawe kwilanga kwadindukige, swe akumuwona umuhe umwelu uva Nguluvi akwika nda nziva pachanya pa umwene. 
MAT.3.17	Swe lipulisa iliswi uluhuma kuchanya litigila, “Uyu ye Mwanangu umwende, ye ndinogelwa.”
MAT.4.1	Ndawe Umuhe Umwelu amusindikige Yesu ku balali sambi agelwe na Setani. 
MAT.4.2	Ndawe iyimige ukulya ifilo machumi gatayi swe pambele ifwa musale. 
MAT.4.3	Ndawe Setani asige kwa Yesu swe itigila, “Manyi veve wi mwana va Nguluvi, lonze amaganga iga gave wugali.” 
MAT.4.4	Swe Yesu ipitula, “Lwandike ‘Ulwa umunu sisaanana kwa kilyo hela nda pesi ulukani ulwihuma kwa Nguluvi hela.’”
MAT.4.5	Ndawe Setani amusindikige ku Yelusalemu iboma inzelu, ndawe amuvikige kuluneng'esi ulwa itembeli, 
MAT.4.6	Ndawe Setani amutigilige Yesu, “Veve manyi wimwana va Nguluvi, witose pasi; pakuva lwandike:
MAT.4.6	‘Nguluvi akuletela Vanyivaha va Nguluvi vakwe
MAT.4.6	vakugabe mumawoko gawo vakutegule,
MAT.4.6	sambi ulemwe ukwikuvala mumaganga.’”
MAT.4.7	Ndawe Yesu amutigilige Setani, “Kangi lwandike: ‘Ulamugela Nguluvi Umutwa vako.’”
MAT.4.8	Kangi, Setani swe akumusindika Yesu kukidunda ikitali, swe akumulagila uwutwa mbewuli uwa ing'i na indolo sakwe. 
MAT.4.9	Ndawe amulongelige, “Ifi mbefili fiva fyako manyi ufugamile nu kusunyalila.” 
MAT.4.10	Ndawe Yesu atigilige kwa Setani, “Hege ipa Setani! Pakuva lwandike: ‘Saumufugamila nu kumusunyalila Nguluvi vako yeiyena swe.’”
MAT.4.11	Ndawe Setani amulekige, neke baho baho vaase vanyivaha nu kumupigila Yesu.
MAT.4.12	Yesu ave ipulika ulwa Yohane mudindile ahele ku Galilaya. 
MAT.4.13	Neke ahege na ku Nasaleti, abite akikale ku Kapelenaumu, imbali sa mu Sabuloni na mu Nafutali, 
MAT.4.14	Sambi lukwile ulwalonzilwe na umuvisi Yesaya:
MAT.4.15	“Ulutanana ulwa Sabuloni na
MAT.4.15	Ulutanana lwa Nafutali,
MAT.4.15	kulubali lwa kumwani ukulowoka ku Yolodani, ing'i iya
MAT.4.15	ku Galilaya ya avamyanza!
MAT.4.16	Avanu vevevikalite mulwisa
MAT.4.16	vawuwene uwelu uwukomi.
MAT.4.16	Na avikalige mung'i
MAT.4.16	inyalwisa na umwigigi ugwa ifwa,
MAT.4.16	vawuwona uwelu pe wivala.”
MAT.4.17	Ukuhuma baho Yesu avanzile ukudalika, itigila, “Mupelage, pakuva Uwutwa uwakuchanya wuhegelye!”
MAT.4.18	Yesu peagendige mulubali mumwani ya ku Galilaya, avawene Simoni Petulo na Andeleya mwanakwave vitoosa ifilovelo mululenga; pakuva vevalofi vaisomba. 
MAT.4.19	Ndawe Yesu avatigilige, “Muninile nene ndivigisa ukuva muvalofi va avanu.” 
MAT.4.20	Lulusika lulo vafilesile ifilovelo fyawo, nu kumuninila.
MAT.4.21	Neke peahesile pala, avawene vangi vavili munu na mwanakwawo Yakobo na Yohane avana va Sebedayo, vevali mukipugu pamwi nayu dadawo, viwuyapa ifilovelo fyawo. Neke Yesu avakemele, 
MAT.4.22	Swe lulusika lulo vakukileka ikipugu nayu dadawo, nu kumuninila.
MAT.4.23	Ndawe Yesu avangige ukupilima mung'i mbeyili iya mu Galilaya akwigisa mumasinagogi gawo na ukudalika Ulukani Ulunofu lwa Uwutwa wa Nguluvi. Na kuponia avanu avahomefu na avanyafitamwa. 
MAT.4.24	Ndawe ing'ani sakwe sapulisige mung'i mbeyili ya mu Siliya. Neke avanu pevalete avatamwa, avanyakuguda na ifitamwa mbefili; avanu avanya masoka, nalilibisi, litela na avalema mbevali iwo avaponise. 
MAT.4.25	Swe amalugu molofu ga avanu gakumufwata uluhuma ku Galilaya na ku Dekapoli (boma isinyichumi) na ku Yelusalemu na ku Yudaya na uluhuma kumwambu gwa Yolodani.
MAT.5.1	Neke Yesu ave akuliwona ililugu lya avanu agang'amwike kukidunda swe iteng'emala pasi. Avanyigendo vakwe nawo swe vakusa, 
MAT.5.2	ndawe avangige ukuvigisa avene itigila:
MAT.5.3	“Vafunyilile avamikaa
MAT.5.3	munumbula,
MAT.5.3	pakuva uwutwa uwa kuchanya wawo.
MAT.5.4	Vafunyilile avahuguvafu
MAT.5.4	pakuva valaposwa imitima jawo.
MAT.5.5	Vafunyilile avalele,
MAT.5.5	pakuva ililila lya ing'i liva lyawo.
MAT.5.6	Vafunyilile avanyanzala na ing'elu
MAT.5.6	ya uwugolofu,
MAT.5.6	pakuva saviguta na ukusimya ing'elu.
MAT.5.7	Vafunyilile avanyakudegepela,
MAT.5.7	pakuva savadegepelwa.
MAT.5.8	Vafunyilile avanyanumbula nzelu,
MAT.5.8	pakuva savamuwona Nguluvi.
MAT.5.9	Vafunyilile avavileta uwikalakunoga
MAT.5.9	pakuva savatambulwa,
MAT.5.9	vana va Nguluvi.
MAT.5.10	Vafunyilile avivipilwa fibi ukuvalwa uwugolofu,
MAT.5.10	pakuva Uwutwa wa kuchanya wawo!
MAT.5.11	“Mwivafunyilile nyenye yemuligwa na avanu, muvifisiwa na ukulongwa imbi sa uwudesi vakuvavala nene. 
MAT.5.12	Muvesage na luhekelelo na ukukimilila pakuva ililila lyenyu saliva likomi kuchanya, siso se vapigilwe avavisi nyenye pesimwe mwikwali.”
MAT.5.13	“Nyenye mwindawe umwino mung'i! Neke umwino peguhupite kusopwa kiki sambi gunone kangi? Guva sipe mwino nda gwakutaga hela, sambi gulivatwe na avanu.”
MAT.5.14	“Nyenye mwindawe ulumuli mung'i! Iboma inzenge pachanya pakidunda siyayifihwagi. 
MAT.5.15	Kangi avanu sivavikunga itala neke vavike mwifungu, vavivika pachanya paluwumba ying'alikage ibwalo mbeyili. 
MAT.5.16	Mulekage itala senyu sing'alikage pa vanu, sambi vafiwone ifipigo fyenyu, kangi vamulumbe udadenyu uva kuchanya.
MAT.5.17	“Mulatigila nene ngasile mukuyasa indagilo sa Musa na sevigisige avavisi, singasili mukuyasa nda ngasile mukukangasa. 
MAT.5.18	Nachene nguvalongela mbaka kuchanya na ing'i pesafihega neke nambi lukani ludodo sisaluhega mundagilo mbaka pesikwilye mbesili. 
MAT.5.19	Ino yeyeavesaga siakwinatila ululagi nambi lumwi mwa isi indodo na ukuvigisa avangi vapigage ndahihyo, uyo ava mudodo hilo ku wutwa uwa kuchanya. Neke yula yeakwinatila indagilo na ukuvigisa avangi ukupiga iso atambulwa muvina ku wutwa uwa kuchanya. 
MAT.5.20	Nambi nene nguvalongela nditigila uwugolofu wenyu pesiwilutila uwugolofu uwa avigisi va indagilo na avafalisayo sisamwingila ku wutwa uwa kuchanya.
MAT.5.21	“Nyenye yemukapulike ulwa avanu vanyakatali vevalongele ukutigila ‘sa ulawulaga! Ye iwulaga saahigwa’ 
MAT.5.22	Ino nene nguvalongela de, ye akumuvipila umunu muyagwe saahigwa. Naye akumubedala umunu muyagwe asindikwa pawuhigilo. Na yakumutigila umuyagwe: ‘Wimupufi’ asindikwa kwitemela ilya umoto. 
MAT.5.23	Ino pewisindika inambika yako pifunyo neke wiwuke ukutigila twinalitata na umuyangu, 
MAT.5.24	Kileke bahala ikitawulwa chako bite tasi mukipulike na umuyago neke peupiluke utawule ikitawulwa chako.
MAT.5.25	“Mwangupage mwipulike na yula yemwina litata nave we pe mulimung'asi wesimulafika kuwihigilo. Alonga akusindike kulumunyakuhiga, neke nave akusindike kulumunyigalu sambi udindilwe. 
MAT.5.26	Nachene ngukulongela, sisauhuma umo mbaka puhombite amagobole mbegali.
MAT.5.27	“Mwapulike ukutigila lwalonzilwe: ‘Ulapiga uwugoni’ 
MAT.5.28	Ino nene nguvalongela ukuta ye ilavaga umung'inetu kono we akumudoboka uyo ava agonite nave munumbula yakwe. 
MAT.5.29	Wone iliho lyako ilyakundyo likwambuse upige inzanangifu hese neke utage kutali, ikiba pe uve wihela ikigawamuvili ikimwi mumuvili na ukuleka umuvili mbeguli gusopwe mumoto. 
MAT.5.30	Neke wone iliwoko lyako ilyakundyo likwambuse upige inzanangifu, dumule neke utage kutali. Ikiba pe uve wihela ikigawamuvili ikimwi mumuvili na ukuleka umuvili mbeguli gusopwe Mumoto.”
MAT.5.31	“Kangi lulonge ukutigila: ‘Umunyidama yakumuleka uvakwe apo amwandikilage ulwandiko ulwa ukulekana.’ 
MAT.5.32	Neke nene nguvalongela ye akumuleka uvakwe, pesi kwa wugoni hela, uyo akumwambusa uvakwe ave mugoni; Kangi umunu manyi amutegule umung'inetu uyu ava mugoni.”
MAT.5.33	“Kangi mwapulike chevalongilwe avanyidaha ulwa, ‘Ulilapa, mbaka ukwisage tandi sewe umwilapye Umutwa.’ 
MAT.5.34	Neke nene nguvalongela, mulilapa nambi sukumwi; na kuve kuchanya, pakuva uko chekigoda cha Nguluvi. 
MAT.5.35	Naive mung'i, pakuva ipa peaivika amagulu gakwe; nakuve ku Yelusalemu, pakuva ye boma ingomi iya umutwa umuvina. 
MAT.5.36	Na ulilapila umutwe gwako, pakuva suhwaniti upitule nambi lufwili lumwi luve lwelu apangi lutitu. 
MAT.5.37	Peutige, ‘Ena’, apo, yivelage ‘Ena’; na peutige, ‘Nda’, apo yivelage nachene ‘Nda’ Na chekiva kilutila pa iso icho kiva kihuma kwa yula umwanangifu.”
MAT.5.38	“Mwapulike ukutigila: ‘Liho kwa liho, na lino kwa lino.’ 
MAT.5.39	Neke nene nguvalongela ulihombela mukole kwa umwananzi vako. Yeakutofile ikipi kulusese ulwa kundyo mupitulile na lulusese ulwa kung'igi. 
MAT.5.40	Neke umunu yeisaka akusindike pawihigilo akutose sambi akupoke isopeka yako mulekele ategule na gumugolole, 
MAT.5.41	na umunu yakukugogelesa umuteguse ikifundo mulugendo lwa ikivalilo kimwi mutegusage fivalilo fivili. 
MAT.5.42	Mupelage ye akukusuka, kangi lemwage ukutanila kwa yeakwasimya.”
MAT.5.43	“Mwapulike ukutigila: ‘Umwendage umunyawiyendi vako neke umuvipilage umutavangu vako.’ 
MAT.5.44	Neke nene nguvalongela, muvendage avatavangu venyu kangi muvasukilage avakuvatesa nyenye. 
MAT.5.45	Sambi nyenye muve mwivana va Udadenyu yealikuchanya. Pakuva umwene akuvang'alikila ilisuva avananzi na avagolofu, na ukuvaletela indonya avagolofu na avananzi. 
MAT.5.46	Pakuva pemuvendite avakuvenda nyenye muhombwa kiki? Pakuva na avanyakukong'asa imbemenenge vavipiga siso! 
MAT.5.47	Neke wone muvahungilage avanyalukolo venyu swe, muvamwipiga kiki ikilutye kuvangi? Na avanu mbevali vesivamuseli Nguluvi nawo vavipiga siso. 
MAT.5.48	Apo nyenye muvesage mwivakwilanifu, ndawe lwemukwilanifu Udadenyu uva kuchanya.”
MAT.6.1	“Mwikomalilage mulemwage ukupiga uwuwuya pa vanu sambi musumilwe nawo. Pakuva pemugisile ndahihyo pavanu, simuhombwa kinu nda ukuhuma kuludadenyu yealikuchanya.”
MAT.6.2	“Apo pukumutanga umumikaa ulemwage ukwihala. Mutane ukupiga ndawe avabuganisi mumasinagogi na mumakasi sambi avanu vavasumile. Nachene nene nguvalongela nyenye, iwo yevanuche uluhombo lwawo. 
MAT.6.3	Neke veve peukumutanga umumikaa, nambi umunyawiyendi vako alemwage ukulukagula lwewipiga. 
MAT.6.4	Tawulage uwutanzi wako kukinyele, na yudadenyu yeilavaga isa ikinyele avapela nyenye ifilutye.
MAT.6.5	“Pe mukwifunya, mulemwage ukuva ndawe avabuganisi. Pakuva avene vaviwenda ukwima neke vifunye mumasinagogi na mumakasi sambi vawoneke kuvanu. Nachene nguvalongela iwo yevanuche uluhombo lwawo. 
MAT.6.6	Neke veve peukwifunya, wingilage kugati, udinde na mulyango, neke wifunye kuludado yeali kukinyele. Na yudado yeilavaga isa ikinyele akuhomba veve uluhombo.
MAT.6.7	“Pe mukwifunya, mulemwage ukuyova chaka ndawe avanu vesivamuseli Nguluvi. Avene vavitigila wanda Nguluvi avapulika pevalonzile ing'ani nzolofu. 
MAT.6.8	Mulihwana na iwo. Pakuva udadenyu afisele fyemwisaka nambi wesimulamumusuka. 
MAT.6.9	Apo, nyenye mwifunyage de:
MAT.6.9	‘Ve dadetu ye ulikuchanya:
MAT.6.9	Ichoga kivelage kulitawa lyako;
MAT.6.10	Uwutwa wako wusage,
MAT.6.10	lwewiwenda lupigikage
MAT.6.10	mung'i ndawe kuchanya.
MAT.6.11	Utupelage neng'ino ikilyo chetu cha mbepali.
MAT.6.12	Utudegepelage inzanangifu setu,
MAT.6.12	ndawe hwehwe lwe twakuvadegepela
MAT.6.12	avatwananje.
MAT.6.13	Ulatuvika mu kugelwa,
MAT.6.13	lino utupokage kwa yula Umwanangifu.’
MAT.6.14	“Pakuva pemwidegepela avanu inzanangifu sevavapije, udadenyu yealikuchanya avadegepela nayi nyenye. 
MAT.6.15	Neke pesimwidegepela avangi apo nayu Dadenyu siavadegepela inzanangifu semumupije nyenye.”
MAT.6.16	“Pemukwiyima ukulya, mulemwage ukwihohoveka nu kukumbing'ana kumiho ndawe avabuganisi we vavigita. Vavihohovala sambi vakagulanike na avanu ukuta viyimite ukulya. Nene nguvalongela iwo yevahombitwe uluhombo lwawo. 
MAT.6.17	Neke veve peukwiyima ukulya, kalavage kumiho neke wibake na amafuta kumutwe, 
MAT.6.18	sambi ukwiyima kwako ukulya, kulemwe ukuwoneka na avanu, lekage kuwoneke kuludado ye alikukinyele. Neke udado yeailava na kukinyele akuhomba uluhombo.”
MAT.6.19	“Mulemwage ukukong'asa uwunono wa mung'i umu, pakuva mwina imalata na ing'angaga isakwananga kangi movali na avaposi avavimamula neke vahiise. 
MAT.6.20	Apo mukong'asage uwunono uwa kuchanya kwe sikikwanangikagi kinu nambi malata nambi ng'angaga, na kwe sivimamulagi nu kuhiisa. 
MAT.6.21	Pakuva, uwunono wako pepowoli pepene peyiva nayi numbula yako.
MAT.6.22	“Iliho lwe lung'ali ulwa umuvili. Apo iliho lyako manyi live linofu, umuvili gwako mbeguli guva muwelu. 
MAT.6.23	Neke manyi iliho lyako live lyanangike, umuvili gwako mbeguli guva muwutitu. Neke manyi uwelu wewulimugati mwaveve wuve wutitu, wuva wutitu wa kogofya.”
MAT.6.24	“Sikwali umunu yeahwanite avapigile avatwa vavili. Pakuva amuvipila uyu nu kumwenda uyu. Kangi ahwanite ave na choga kwa uyu neke amubedale uyu. Si muhwaniti mumupigile Nguluvi na uwunono.”
MAT.6.25	“Pa ulo nguvalongela, mulahuguvala ulwa uwumi wenyu ukuta mulya kiki, apangi munywa kiki, na ulwa kangi imivili jenyu ukuta mufwala kiki. Ndawuli uwumi wenyu siwukomi ukulutila ikilyo? Na umuvili ukulutila imyenda? 
MAT.6.26	Mulavage ifidege ifya mwihala sifivyalagi, kangi sifibetagi nu kuvika mufisande. Udadenyu uva kuchanya akufipela ukulya. Ndawuli nyenye simulikiba ukulutila ifyo? 
MAT.6.27	Yenani mwa nyenye yahwanite ongelese uwunani wa uwumi wakwe nambi kwa kimunyi kimwi? 
MAT.6.28	Na mulahuguvala ulwa imyenda, mulavage amaluva agamwihala wegagikula sigipigagi kinu kangi sigitivagi. 
MAT.6.29	Nayi nene nguvalongela, ulwa nayi Solomoni pamwi na sindolo sakwe mbesili siealafwikwa wunofu ndawe ilimwi lya amaluva igo. 
MAT.6.30	Lino wone Nguluvi aifwika amasoli agamwihala amanyawumi wa ikimunyi kimwi, imilawu gakasile na ukupya mumoto, mwitigila siahwaniti avafwike hilo nyenye? Nye nyevanyalufuuwo lukefu! 
MAT.6.31	Ino, mulahuguvala ukutigila, ‘Mbi tulya kiki, kangi mbi tunywa kiki, kangi mbi tufwala kiki!’” 
MAT.6.32	Pakuva avanu vesivamuseli Nguluvi vavisaka ifyo mbefili. Neke udadenyu yealikuchanya alusele ulwa mwisaka ifyo mbefili. 
MAT.6.33	Lino musakage tasi uwutwa wa Nguluvi na uwugolofu wakwe na ifyo mbefili fiva fyenyu. 
MAT.6.34	Lino mulahuguvala ulwa milawu; pakuva ulwa milawu lwilamulila lulwene. Chekivesaga kimunyi kina sakwe, mulongelesa singi.
MAT.7.1	“Mulahiga avangi, mulonga nayi nyenye muhigwe na Nguluvi. 
MAT.7.2	Pakuva uluhigilo lwemuhigila lwelwene lwemuhigilwa na ikigelo che mwigelela avangi chechene chemugelelwa. 
MAT.7.3	Mbi ndawuli wilava ikibandi ikilimugati muliho ilya umuyago, neke ulemwe ukuluwona ulwangiko ululi muliho ilyako? 
MAT.7.4	Ino umulongela ndawuli umuyago, ‘Ukutigila leke nguhese ikibandi ikili muliho ilyako.’” Kumbi veve wina ulwangiko muliho lyako? 
MAT.7.5	Wimubuganisi veve! Hese tasi ulwangiko muliho lyako, peulava wunofu ikibandi chekili muliho ilya umuyago.
MAT.7.6	“Mulemwage ukupela imbwa ifinu ifyelu, kangi mulemwage ukutaga ifinu ifinofu pamiho ga ingubi, sasilivata na amawondo neke sipituke sivagalukile.”
MAT.7.7	“Musukage nayi nyenye samupelwa; musakage, nayi nyenye samufiwona; muhodesage, nayi nyenye samudindulilwa. 
MAT.7.8	Pakuva ye aisuka aipelwa, naye aisaka akufiwona, naye aihodesa aidindulilwa. 
MAT.7.9	Kwina munu muki ukwenyu umunya mwana vakwe, pe asukite uwugali amupela iliganga? 
MAT.7.10	Nape asukite isomba amupela inzoka? 
MAT.7.11	Pe nyenye, nyevanyanzanangifu muwusele ukuvapela avanenyu ifipelwa ifinofu, ndawuli Udadenyu siavapela ifinu ifinofu hilo; vala vevakumusuka. 
MAT.7.12	Kwekutigila mbefili fye mwisaka nyenye avayenyu vavapigile nayi nyenye muvapigilage ndahihyo. Pakuva ulo lwe lulagilo lwa Musa na sevigise avavisi.”
