GEN.1.1	Hasieran, Jainkoak zeru-lurrak egin zituen
GEN.2.9	Orotariko zuhaitzak sorrarazi zituen lurretik, ikusgarriak eta fruitu gozodunak. Baratze erdian bi zuhaitz ernearazi zituen: batak bizia ematen zuen eta besteak dena ezagutzeko ahalmena
GEN.2.10	Edendik ibai bat sortzen zen; baratzea ureztatu eta gero, lau adarretan banatzen zen. 
GEN.2.11	Lehenari Pixon zeritzan; urrea aurkitzen den Habilako
GEN.2.12	Urre ona hangoa; badira han erretxina eta harribitxiak ere. 
GEN.2.13	Bigarrenari Gihon zeritzan; honek Etiopiako
GEN.2.14	Hirugarrenari Tigris, Axurko ekialdetik doana. Laugarrenari Eufrates
GEN.2.15	Jainko Jaunak gizona hartu eta Edengo baratzean ezarri zuen, landu eta zain zezan. 
GEN.2.16	Eta agindu zion: «Baratzeko zuhaitz guztietatik jan dezakezu; 
GEN.2.17	baina ez jan dena ezagutzeko ahalmena ematen duen zuhaitzetik; hartatik jaten baduzu, hil egingo zara».
GEN.2.18	Gero, esan zuen Jainko Jaunak: «Ez da on gizona bakarrik egotea; egin diezaiodan berari dagokion laguna».
GEN.2.19	Jainko Jaunak, landako abere guztiak eta zeruko hegazti guztiak lurrez moldatu eta gizonari eraman zizkion zein izen ezartzen zien ikusteko; honela, bizidun orok gizonak ezarritako izena izango zuen. 
GEN.2.20	Beren izena jarri zien, beraz, abere guztiei, zeruko hegaztiei eta piztiei; baina berari zegokion lagunik ez zuen aurkitu. 
GEN.2.21	Orduan, Jainko Jaunak lozorroan murgilarazi zuen gizona. Loak hartu zuenean, saihets-hezur bat kendu zion, hezurraren hutsunea haragiz bete ziolarik. 
GEN.2.22	Jainko Jaunak gizonari
GEN.2.23	Honek esan zuen:
GEN.2.23	«Hau bai dela
GEN.2.23	ene hezurraren hezur,
GEN.2.23	ene haragiaren haragi!
GEN.2.23	“Emakume” izango da deitua,
GEN.2.23	gizakumeagandik
GEN.2.23	izan baita hartua».
GEN.2.24	Hargatik, gizonak bere aita-amak utziko ditu bere emaztearekin elkartzeko, eta bat bera
GEN.2.25	Biluzik zeuden gizona eta emaztea; hala ere, ez zuten elkarren lotsarik.
GEN.3.1	Sugea zen Jainko Jaunak egindako piztiarik maltzurrena.
GEN.3.1	Sugeak esan zion emakumeari:
GEN.3.1	—Jainkoak debekatu egin dizue, beraz, baratzeko arbola guztietako fruituetarik jatea?
GEN.3.2	Emakumeak erantzun:
GEN.3.2	—Ez, jan dezakegu baratzeko arboletako fruituetarik. 
GEN.3.3	Baratze erdian dagoen zuhaitzaz bakarrik esan digu Jainkoak: «Ez jan horretatik, ezta ukitu ere, hil nahi ez baduzue».
GEN.3.4	—Ez zarete inolaz ere hilko —esan zion sugeak—. 
GEN.3.5	Ongi daki Jainkoak, hartatik jan dezazuenean, begiak zabalduko zaizkizuela, eta bera bezalako bihurtuko zaretela, dena ezagutzeko ahalmena
GEN.3.6	Ikusi zuen emakumeak fruitua gozoa zela, arbola ikusgarria eta jakituria lortzeko desiragarria. Hartu zuen, beraz, haren fruituetariko bat eta jan egin zuen. Gero, bere senarrari eman eta honek ere jan egin zuen.
GEN.3.7	Orduan, begiak zabaldu zitzaizkien eta biluzik zeudela ohartu ziren. Piku-hosto batzuk josi eta estalki bana egin zuten.
GEN.3.8	Arratsean, gizonak eta emazteak baratzean zebilen Jainko Jaunaren oin-hotsa entzun zuten eta harengandik gorde egin ziren zuhaitz artean. 
GEN.3.9	Baina Jainko Jaunak dei egin zion gizonari:
GEN.3.9	—Non zara?
GEN.3.10	Gizonak erantzun:
GEN.3.10	—Zure oin-hotsa baratzean entzun dudanean, beldurtu eta gorde egin naiz, biluzik nagoelako.
GEN.3.11	Jainkoak esan zion:
GEN.3.11	—Eta nork jakinarazi dizu biluzik zaudela? Galarazi nizun arbolako fruitua jan al duzu?
GEN.3.12	Gizonak erantzun:
GEN.3.12	—Laguntzat eman didazun emakumeak fruitua eskaini dit eta jan egin dut.
GEN.3.13	Jainko Jaunak esan zion emakumeari:
GEN.3.13	—Zer egin duzu?
GEN.3.13	Emakumeak erantzun:
GEN.3.13	—Sugeak engainatu nau eta jan egin dut.
GEN.3.14	Orduan, Jainko Jaunak sugeari esan zion:
GEN.3.14	«Hori egin dualako,
GEN.3.14	madarikatua hi abere guztien artean
GEN.3.14	eta basapiztia guztien artean!
GEN.3.14	Sabel gainean arrastaka ibiliko haiz
GEN.3.14	eta hautsa jango duk
GEN.3.14	heure bizitzako egun guztietan.
GEN.3.15	Elkarren etsai egingo zaituztet
GEN.3.15	hi eta emakumea,
GEN.3.15	hire eta haren ondorengotza;
GEN.3.15	honek burua zapalduko dik
GEN.3.15	eta hik orpotik helduko diok».
GEN.3.16	Emakumeari esan zion:
GEN.3.16	«Haurdun gelditzean,
GEN.3.16	oinazeak ugalduko dizkizut
GEN.3.16	eta saminez izango dituzu haurrak;
GEN.3.16	irritsak senarrarengana
GEN.3.16	bultzatuko zaitu,
GEN.3.16	eta hura izango duzu nagusi».
GEN.3.17	Eta gizonari esan zion:
GEN.3.17	«Emaztearen esanari jaramon egin
GEN.3.17	eta galarazi nizun zuhaitzetik
GEN.3.17	jan duzunez gero,
GEN.3.17	madarikatua lurra zure erruz!
GEN.3.17	Nekearen nekez
GEN.3.17	aterako diozu janaria
GEN.3.17	zeure bizitzako egun guztietan.
GEN.3.18	Sasia eta laharra emango dizkizu,
GEN.3.18	basalandarez elikatu beharko duzu.
GEN.3.19	Zeure bekokiko izerdiz
GEN.3.19	jango duzu ogia,
GEN.3.19	lurrera itzuli arte,
GEN.3.19	handik izan zara hartua eta:
GEN.3.19	hautsa zara
GEN.3.19	eta hautsera itzuliko zara».
GEN.3.20	Gizonak bere emazteari Eva, hau da, «Bizi», eman zion izen, bizidun guztien ama delako. 
GEN.3.21	Jainko Jaunak larruzko arropaz jantzi zituen gizona eta emaztea. 
GEN.3.22	Gero, Jainko Jaunak esan zuen: «Horra gizakia gutariko bat bihurtua, dena ezagutzeko ahalmena
GEN.3.23	Beraz, Jainko Jaunak, Edengo baratzetik bota egin zuen, lurra landu zezan, handik izan baitzen hartua.
GEN.3.24	Gizakia bota ondoren, izaki hegaldun batzuk jarri zituen Edengo baratzearen ekialdean, suzko ezpata distiratsuak zituztela
GEN.4.1	Gizonak bere emazte Evarekin harremanak izan zituen. Haurdun gelditu zen Eva, eta Kain —hau da, «Eskuratua
GEN.4.2	Gero, haren anaia Abel izan zuen.
GEN.4.2	Abel artzain bilakatu zen; Kain, berriz, nekazari. 
GEN.4.3	Handik aldi batera, Kainek lurreko fruituen eskaintza egin zion Jaunari.
GEN.4.4	Abelek ere ekarri zituen artaldeko lehen bildotsak eta ardi-gantza. Jaunak abegi on egin zien Abeli eta honen emaitzari; 
GEN.4.5	ez, ordea, Kaini eta honen emaitzari. Kain biziki haserretu zen, eta kopetilun zebilen. 
GEN.4.6	Jaunak esan zion, orduan:
GEN.4.6	— Zergatik zaude haserre? Zergatik kopetilun? 
GEN.4.7	Zuzen jokatuko bazenu, argituko litzaizuke aurpegia; baina oker zabiltzanez gero, atean duzu bekatua, gainera erortzeko zain. Hala ere, mendera dezakezu
GEN.4.8	Behinola, Kainek esanda, Abel eta biak landara elkarrekin joan zirelarik, Kainek anaiari eraso eta hil egin zuen.
GEN.4.9	Jaunak esan zion Kaini:
GEN.4.9	—Non da anaia?
GEN.4.9	Kainek erantzun:
GEN.4.9	—Ez dakit. Anaiaren zaintzaile ote naiz, bada, ni?
GEN.4.10	Jaunak, orduan:
GEN.4.10	—Zer egin duk? Hire anaiaren odola lurretik oihuka ari zaidak.
GEN.4.11	Horregatik, madarikatu egiten hau hik isuritako odola edan duen lurrak. 
GEN.4.12	Lurra landuko duk, baina ez dik fruiturik emango; noraezean ibiliko haiz munduan.
GEN.4.13	Kainek esan zion Jaunari:
GEN.4.13	—Astunegia dut zigor hau, eraman ahal izateko. 
GEN.4.14	Gaur lur hauetatik botatzen nauzularik, zure begi-bistatik urrun eta munduan noraezean ibili beharko dut; hala, aurki nazan edonork hil egingo nau.
GEN.4.15	Jaunak, ordea, erantzun zion:
GEN.4.15	—Ez horixe! Kain hiltzen duena, zazpi aldiz gogorrago izango da zigortua.
GEN.4.15	Eta Jaunak ezaugarri bat ezarri zion Kaini, aurkitzen zuen inork hil ez zezan.
GEN.4.16	Honela, Kain, Jaunarengandik aldendurik, Nod
GEN.4.17	Kain bere emazteari batu eta haurdun gelditu zen emaztea, eta Henok izan zuen. Hiri bat eraiki zuen Kainek eta Henok eman zion izen, bere semeari bezala. 
GEN.4.18	Henok Iraden aita izan zen; Irad Mehuiaelena; Mehuiael Metuxaelena, eta Metuxael Lamekena.
GEN.4.19	Lamekek bi emazte hartu zituen. Batak Ada zuen izena, besteak Tzila. 
GEN.4.20	Adak Jabal sortu zuen, oihal-etxoletan bizi diren abeltzainen arbasoa. 
GEN.4.21	Honen anaiak Jubal zuen izena, zitara- eta txirula-jotzaileen arbasoa. 
GEN.4.22	Tzilak, berriz, Tubalkain sortu zuen; errementaria izan zen, brontze- eta burdin lanetan ari direnen arbasoa. Arreba bat izan zuen: Naama.
GEN.4.23	Lamekek esan zien bere emazteei:
GEN.4.23	«Ada eta Tzila, entzun!
GEN.4.23	Lameken emazteok,
GEN.4.23	aditu nire kopla:
GEN.4.23	Zauritu ninduelako, gizona hil dut;
GEN.4.23	jipoitu ninduelako, mutikoa.
GEN.4.24	Kainen hilketa zazpi aldiz
GEN.4.24	mendekatuko badute,
GEN.4.24	zazpi mila aldiz
GEN.4.24	Lamekena».
GEN.4.25	Adam berriro batu zitzaion bere emazteari; honek semea sortu eta Set
GEN.4.26	Setek ere semea izan zuen, Enox izenekoa. Orduan hasi ziren Jaunaren izena gurtzen
GEN.5.1	Hau da Adamen ondorengoen izen-zerrenda
GEN.5.2	Gizaseme eta emakume egin zituen, bedeinkatu eta «gizaki
GEN.5.3	Ehun eta hogeita hamar urte zituela, Adamek semea izan zuen, bere antz eta irudikoa, eta Set eman zion izen. 
GEN.5.4	Set izan zuenetik, beste zortziehun urtez bizi izan zen, eta seme-alabak izan zituen. 
GEN.5.5	Beraz, guztira bederatziehun urte bizi izan ondoren, hil egin zen.
GEN.5.6	Ehun eta bost urte zituela, Setek Enox izan zuen. 
GEN.5.7	Enox izan zuenetik, beste zortziehun eta zazpi urtez bizi izan zen, eta seme-alabak izan zituen. 
GEN.5.8	Beraz, guztira bederatziehun eta hamabi urtez bizi izan ondoren, hil egin zen.
GEN.5.9	Laurogeita hamar urte zituela, Enoxek Kenan izan zuen. 
GEN.5.10	Kenan izan zuenetik, beste zortziehun eta hamabost urtez bizi izan zen, eta seme-alabak izan zituen. 
GEN.5.11	Beraz, guztira bederatziehun eta bost urtez bizi izan ondoren, hil egin zen.
GEN.5.12	Hirurogeita hamar urte zituela, Kenanek Mahalalel izan zuen. 
GEN.5.13	Mahalalel izan zuenetik, beste zortziehun eta berrogei urtez bizi izan zen, eta seme-alabak izan zituen. 
GEN.5.14	Beraz, guztira bederatziehun eta hamar urtez bizi izan ondoren, hil egin zen.
GEN.5.15	Hirurogeita hamabost urte zituela, Mahalalelek Jered izan zuen. 
GEN.5.16	Jered izan zuenetik, beste zortziehun eta hogeita hamar urtez bizi izan zen, eta seme-alabak izan zituen. 
GEN.5.17	Beraz, guztira zortziehun eta berrogeita hamabost urtez bizi izan ondoren, hil egin zen.
GEN.5.18	Ehun eta hirurogeita bi urte zituela, Jeredek Henok izan zuen. 
GEN.5.19	Henok izan zuenetik, beste zortziehun urtez bizi izan zen, eta seme-alabak izan zituen. 
GEN.5.20	Beraz, guztira bederatziehun eta hirurogeita bi urtez bizi izan ondoren, hil egin zen.
GEN.5.21	Hirurogeita bost urte zituela, Henokek Matusalem izan zuen.
GEN.5.22	Matusalem izan zuenetik, beste hirurehun urtez bizi izan zen, Jainkoak nahi bezala jokatuz, eta seme-alabak izan zituen. 
GEN.5.23	Beraz, guztira hirurehun eta hirurogeita bost urtez bizi izan zen. 
GEN.5.24	Jainkoak nahi bezala jokatuz bizi izan zenez gero, behin batean desagertu egin zen, Jainkoak eramanik
GEN.5.25	Ehun eta laurogeita zazpi urte zituela, Matusalemek Lamek izan zuen. 
GEN.5.26	Lamek izan zuenetik, beste zazpiehun eta laurogeita bi urtez bizi izan zen, eta seme-alabak izan zituen. 
GEN.5.27	Beraz, guztira bederatziehun eta hirurogeita bederatzi urtez bizi izan ondoren, hil egin zen.
GEN.5.28	Ehun eta laurogeita bi urte zituela, Lamekek semea izan zuen, 
GEN.5.29	eta Noe
GEN.5.30	Noe izan zuenetik, beste bostehun eta laurogeita bost urtez bizi izan zen, eta seme-alabak izan zituen. 
GEN.5.31	Beraz, guztira zazpiehun eta hirurogeita hamazazpi urtez bizi izan ondoren, hil egin zen.
GEN.5.32	Bostehun urte zituela, Noek Sem, Kam eta Jafet izan zituen.
GEN.6.1	Gizakiak munduan ugaltzen hasi ziren eta alabak izan zituzten. 
GEN.6.2	Jainkoaren semeek
GEN.6.3	Orduan, Jaunak esan zuen: «Ez diot neure bizi-arnasa betiko utziko gizakiari, haragi hutsekoa
GEN.6.4	Jainkoaren semeek gizakien alabekin batu eta haurrak izan zituztenean, baita geroago ere, baziren erraldoiak
GEN.6.5	Ikusi zuen Jaunak handituz zihoala munduan gizakiaren gaiztakeria eta honen burubide guztiek txarrera jotzen zutela beti.
GEN.6.6	Damutu zen Jauna gizakia egin izanaz eta, bihozmindurik,
GEN.6.7	esan zuen: «Desagerrarazi egingo dut mundutik egin dudan gizakia, eta gizakia ez ezik, baita abereak, narrastiak eta zeruko hegaztiak ere, damu bainaiz hauek egin izanaz».
GEN.6.8	Baina Noe begiko izan zuen Jaunak.
GEN.6.9	Hona hemen Noeren historia.
GEN.6.9	Gizon zuzena zen Noe eta akatsik gabea bere garaikoen artean. Jainkoak nahi bezala jokatzen zuen.
GEN.6.10	Hiru seme izan zituen: Sem, Kam eta Jafet.
GEN.6.11	Mundua gaiztakeriaz eta indarkeriaz betea zegoen, 
GEN.6.12	den-denek jokaera makurra baitzeramaten. Jainkoak, mundua hain gaiztotua ikustean, 
GEN.6.13	esan zion Noeri: «Izaki oro suntsitzea erabaki dut, gizakien erruz indarkeriaz betea baitago mundua; gizakia eta mundua, biak suntsituko ditut.
GEN.6.14	«Egizu zeuretzat ontzi bat erretxina-egurrez
GEN.6.15	Hona zein neurritakoa egingo duzun: ehun eta berrogeita hamar metro luze, hogeita bost metro eta erdi zabal, eta hamabost metro eta erdi gora. 
GEN.6.16	Sabaiez estaliko duzu, gailurretik hegalera metro eta erdiko jaitsiera emanez. Alboan atea jarriko diozu. Hiru solairu izango ditu
GEN.6.17	«Nik uholdea bidaliko dut mundura, zerupeko bizidun guztiak suntsitzeko. Munduko izaki guztiak hilko dira.
GEN.6.18	Baina zurekin ituna eginen dut.
GEN.6.18	«Sar zaitezte ontzian emaztea eta biok, baita zure semeak ere emazteekin.
GEN.6.19	Animali mota bakoitzetik bikotea, ar-emeak, sartuko duzu, zurekin batera bizirik iraun dezaten. 
GEN.6.20	Hegazti-, abere- eta narrasti-mota bakoitzetik bina sartuko dira zurekin, bizirik iraun dezaten. 
GEN.6.21	Elikagai guztietatik bildu, zer jan izan dezazuen».
GEN.6.22	Jainkoak agindu guztia egin zuen Noek zehatz-mehatz.
GEN.7.1	Jaunak esan zion Noeri: «Sar zaitez ontzian zeure etxeko guztiekin, zu beste gizon zuzenik ez baitut ikusi zure garaikideen artean.
GEN.7.2	Har itzazu zeurekin zazpina bikote, ar-emeak, legez kutsatu gabeko
GEN.7.3	Zeruko hegaztietatik ere zazpina bikote, ar-emeak, hauen arrazak munduan iraun dezan. 
GEN.7.4	Zazpi egunen buruan euria bidaliko dut lurrera berrogei egun eta berrogei gauez, egin dudan izaki oro suntsitzeko».
GEN.7.5	Noek Jaunak agindu guztia egin zuen. 
GEN.7.6	Seiehun urte zituen uholdea gertatu zenean.
GEN.7.7	Uholdea hasi baino lehen, ontzian sartu zen bere emazte, seme eta errainekin batera.
GEN.7.8	Abere kutsatu gabe eta kutsatu, hegazti eta lurrean narraska dabiltzan guztietatik, 
GEN.7.9	bikote bana sartu zen ontzian Noerekin batera, Jainkoak agindu bezala.
GEN.7.10	Zazpi egunen buruan uholdea hasi zen.
GEN.7.11	Noeren bizitzako seiehungarren urtean, bigarren hilaren hamazazpian, lur azpiko itsasoaren iturri guztiak lehertu ziren eta zeruko atexkak
GEN.7.12	Euri-jasa izan zen berrogei egun eta berrogei gauez.
GEN.7.13	Egun hartan bertan sartu zen Noe ontzian bere seme Sem, Kam eta Jafetekin, bere emazte eta errainekin. 
GEN.7.14	Sartu ziren, baita ere, mota guztietako abere eta piztiak, lurreko narrasti eta hegaztiak. 
GEN.7.15	Bizidun guztiak binaka sartu ziren ontzian Noerekin batera, 
GEN.7.16	mota bakoitzetik arra eta emea, Jainkoak Noeri agindu bezala. Gero, Jaunak ontziko atea itxi zuen.
GEN.7.17	Berrogei egunez iraun zuen uholdeak. Gora egin zuten urek eta ontzia lurretik jaso zuten. 
GEN.7.18	Urak gero eta handiago eta indartsuago ziren, eta ontzia ur gainean zebilen.
GEN.7.19	Hain uholde handia izan zen, ezen zerupeko mendi-gailurrik garaienak ere estali baitzituen. 
GEN.7.20	Eta oraindik ere zazpi metro gorago igo ziren urak.
GEN.7.21	Bizidun guztiak hil ziren: narrastiak, hegaztiak, abereak eta piztiak, eta lurrazalean mugitzen den oro, eta gizaki guztiak. 
GEN.7.22	Lehorrean bizi-arnasa zuen oro hil zen. 
GEN.7.23	Munduko izaki guztiak, bada, suntsitu ziren: gizakietatik hasi eta abere, narrasti eta zeruko hegazti guztietaraino. Ez zen gelditu Noe eta beronekin ontzian zirenak besterik.
GEN.7.24	Ehun eta berrogeita hamar egunez iraun zuen uholdeak.
GEN.8.1	Gogoratu zen Jainkoa Noe eta beronekin ontzian ziren piztia eta abere guztiez: haizea bidali zuen, eta urak jaisten hasi ziren. 
GEN.8.2	Lur azpiko itsasoaren iturriak eta zeruko atexkak itxi ziren eta euria atertu. 
GEN.8.3	Poliki-poliki atzera egin zuten urek lurrazaletik. Ehun eta berrogeita hamar egunen buruan jaitsiak ziren urak, 
GEN.8.4	eta, zazpigarren hilaren hamazazpian, ontzia Ararat
GEN.8.5	Urak gutxituz joan ziren hamargarren hila arte; hilaren lehen egunean mendi-gailurrak agertu ziren.
GEN.8.6	Berrogei egunen buruan, Noek, berak egindako ontziko leihoa irekiz, 
GEN.8.7	belea bidali zuen. Hau atera eta joan eta etorri ibili zen, lurreko urak lehortu arte.
GEN.8.8	Ondoren, usoa bidali zuen, urak lurrean gutxitu ote ziren jakiteko. 
GEN.8.9	Baina usoa, bere hankak non pausaturik ez eta, ontzira itzuli zen, oraindik ura baitzegoen lurrazalean. Noek, eskua luzatuz, usoa hartu eta ontzi barrura sartu zuen.
GEN.8.10	Beste zazpi egun itxaron eta berriro bidali zuen usoa ontzitik. 
GEN.8.11	Arratsean etorri zitzaion, olibondo-adartxo moztu berria mokoan zekarrela. Hortik jakin zuen Noek urak gutxitu zirela lur gainean. 
GEN.8.12	Beste zazpi egun itxaron eta usoa bidali zuen; oraingoan ez zen itzuli.
GEN.8.13	Beraz, Noeren bizitzaldiko seiehun eta batgarren urtean, lehen hilaren lehen egunean, lehortu ziren urak. Noek ontziko estalkia zabaldu eta lurrazala lehor ikusi zuen. 
GEN.8.14	Bigarren hilaren zazpian zen hori.
GEN.8.15	Orduan, Jainkoa mintzatu zitzaion Noeri: 
GEN.8.16	«Irten zaitez ontzitik emazte, seme eta errainekin. 
GEN.8.17	Atera zeurekin dituzun bizidun guztiak ere: hegazti, abere eta narrasti guztiak. Zabal bitez munduan, sortu umeak eta ugaldu».
GEN.8.18	Atera zen Noe bere emazte, seme eta errainekin. 
GEN.8.19	Atera ziren ontzitik bizidun guztiak ere: abere, hegazti eta narrastiak.
GEN.8.20	Noek aldarea eraiki zion Jaunari, eta, kutsatu gabeko abere eta hegazti batzuk harturik, erre-oparitzat eskaini zituen aldarean. 
GEN.8.21	Jaunak, oparien lurrina atseginez usnatuz, bere baitarako esan zuen: «Ez dut berriro mundua madarikatuko gizakia dela eta; egia da okerrera jarria dagoela gizakia gaztetandik, baina ez ditut bizidunak berriro suntsituko, orain egin dudan bezala.
GEN.8.22	«“Lurrak diraueino,
GEN.8.22	ereiteak eta uzta-biltzeak,
GEN.8.22	hotzak eta beroak,
GEN.8.22	udak eta neguak,
GEN.8.22	egunak eta gauak
GEN.8.22	ez dute behin ere huts egingo”».
GEN.9.1	Jainkoak Noe eta beronen semeak bedeinkatu zituen, esanez: «Sortu umeak, ugaldu eta bete lurra.
GEN.9.2	Zuen beldur-ikara izango dute abereek eta zeruko hegaztiek; lurreko narrastiak eta itsasoko arrainak zuen esku uzten ditut.
GEN.9.3	Bizi eta mugitzen den guztitik jan dezakezue; lehenago landareak bezala, den-dena ematen dizuet.
GEN.9.4	Baina ez duzue haragia odolarekin jango, odolean baitago bizia.
GEN.9.5	Horregatik, zuen odolaren, hau da, zuen biziaren, kontu eskatuko diet abereei, eta bere lagun hurkoaren biziaren kontu gizakiari.
GEN.9.6	«“Giza odola isuriko duenari
GEN.9.6	giza eskuak isuriko dio berea,
GEN.9.6	Jainkoak bere irudiko
GEN.9.6	egin baitu gizakia.
GEN.9.7	Zuek sortu umeak, ugaldu,
GEN.9.7	zabaldu munduan
GEN.9.7	eta bete ezazue jendez”».
GEN.9.8	Jainkoak Noeri eta beronen semeei esan zien, gainera: 
GEN.9.9	«Ituna egiten dut zuekin eta zuen ondorengoekin,
GEN.9.10	baita zuekin dituzuen bizidun guztiekin ere: hegazti, abere eta piztiekin, ontzitik atera diren guztiekin. 
GEN.9.11	Hona ematen dizuedan itun-hitza: ez duela uholdeak berriro bizidunik hondatuko, ez dela aurrerantzean mundua suntsituko duen uholderik izango».
GEN.9.12	Hau ere esan zien Jainkoak: «Hau da zuei eta zuen artean bizi diren bizidun guztiei belaunez belaun eta betiko ematen dizuedan itun-hitzaren ezaugarria: 
GEN.9.13	neure ostadarra ezartzen dut hodeien artean, eta nire eta munduaren arteko itunaren seinale izango da.
GEN.9.14	«Nik zerua lainotzean, ostadarra azalduko da hodeietan; 
GEN.9.15	orduan, zuei eta bizidun guztiei emandako itun-hitz honetaz oroituko naiz: ez direla aurrerantzean urak uholde bihurtuko, bizidun oro suntsitzeko. 
GEN.9.16	Ostadarra hodeietan ikustean, bizidun guztiei betiko ematen diedan itun-hitz honetaz oroituko naiz».
GEN.9.17	Jainkoak esan zion Noeri: «Hau da, bada, lurreko bizidun guztiekin egiten dudan itunaren ezaugarria».
GEN.9.18	Noerekin beronen semeok atera ziren ontzitik: Sem, Kam, Kanaanen aita, eta Jafet.
GEN.9.19	Noeren hiru seme hauetatik sorturiko ondorengoak munduan barrena hedatu ziren.
GEN.9.20	Noe nekazaria zen eta mahastia landatu zuen. 
GEN.9.21	Ardoa edan zuen batean, mozkortu egin zen eta bere oihal-etxolaren erdian biluzik zegoen etzana.
GEN.9.22	Kanaanen aita Kamek, bere aita biluzik ikusirik, kanpoan ziren beste bi anaiei jakinarazi zien. 
