MRK.1.1	O glanapen o Evangeliester Jezus Kristusester o Devlester čaveste. 
MRK.2.6	Pala bešena buteder i livrenger‐sikermangere ta fanele ani lengr dzia: Her rakerela kava keake! 
MRK.2.7	Job čingerelo o Devleste. Kon našti ta meken o došia her o Devel kokeres. 
MRK.2.8	Ta hajerdes Jezus ani leskr šero, ta panderden keake paše lende, phendes job ape lenge: Hoske pandervena keake ane tumare dzia? 
MRK.2.9	Ho hi phareder, ta phene apo bango dženes: Tire došia hi tuke meklo; oder ta phene: Šte pre, ane tiro čiven ta naše tuke? 
MRK.2.10	Ta džanehas tume, ta hi o dženenger čavo api phub keake zorelo, ta mekelo o došia keake (phendeslo api bango dženes): 
MRK.2.11	Phenaua me tuke: Šte pre, an tiro čiven, ta džahas an tiro kher. 
MRK.2.12	Te kava štejes sik pre, andes lesker čiven, ta gejes glane hake džene nikli, keake, ta kerdena bare jaka, šarden o Devles ta phenden: Keake čomoni dikhames kome ger. 
MRK.2.13	Job gejes komoli i baro paneste vri, ta hake čel vejen paše leste, ta job sikerden len.
MRK.2.14	Ta našeslo langs lende, dikheslo Levi o čavo o Alfeusester, job bešdes glane hundakesker kher, ta phendeslo ape leste: Dža manca! Ta job štejes pre ta gejes les pale. 
MRK.2.15	Her ta bešeslo ani leskr kher paše chamaskero, bešdena but hundakengere ta došengere o Jezuseste ta leskr sikermangere, jon has but, kai kandenlen les. 
MRK.2.16	O librengere‐sikermangere ta i Fariseare dikjane, ta chajeslo o hundakengerenca ta o došengerenca, ta jon phenden ape leskre sikermangerenge: Hoske chalo ta pielo tumaro sikermasker‐rai o hundakengerenca ta o došengerenca? 
MRK.2.17	Her ta šundas kava Jezus, phendeslo apa lende: Naslepaskero hi ger kai o sastenenge, job hi kai i naselenge dženenge. Me vejom ger ta kharaues o lače džene, me kharaues o došiengere.
MRK.2.18	Ta o sikermangere o Johanesester ta o Farizeeste chana buteder moli či. Ta phendenle leste: Hoske chana o sikermangere o Johaneseste ta o Farizeenger buteder moli či, ta tire sikermangere kerene ger keake. 
MRK.2.19	Ta phendes o Jezus lenge: Naštene ta chana o romedenger džene či, keake raha ta hi o romedino paše lende. Keake raha, ta hi o romedino paše lende, našte ačenelen ger bokheles. 
MRK.2.20	Kana vejena divese, ta vel o romedino lenge čordo, ta her an kova dives chana lenge či. 
MRK.2.21	Kenk dženo sivelo i koter i nevo pochtanester api phuro coches, ger ta cerdelo o nevo koter i phureder tele, ta vela o cheb bareder. 
MRK.2.22	Kenk dženo čorelo nevo mol ane phure morcene pedenge, ta o mol vele mulo, ta o morcene pede hin našerdo. I nevo mol našti ani nevo morcene pedenge drin špildo.
MRK.2.23	I vaver kopo, ta gejes o rai ani kurko druche gib, vela ta lejen leskre sikermangere gib tele. 
MRK.2.24	Ta phenden o Farizeare leske: Hoske kerene ani kurko, ta hi ger mišto? 
MRK.2.25	Job ta phendes lenge: Draverden tume ger, ho kerdes o David ta haslo čorelo, ta haslo bokhales her leskre džene, kai his len paše leste? 
MRK.2.26	Har ta gejeslo an kova ciro o baro rašaies Abiathar ani devlesker kher, ta chajeslo kova maro, kai našte chajes kaimeneste har i rašaienge, ta dejeslo nina leskr malenge? 
MRK.2.27	Ta job phendes lenge: O kurko hi kerdo vaške i dženes, ger o dženo i kurkeskro. 
MRK.2.28	Doske hi o dženenger čavo nina o rai o kurkeske.
MRK.3.1	Ta job gejes ani khangeri. Kote has i dženo, koves has i čilačo vast. 
MRK.3.2	Jon dejene jak ape leste, ta kerelo les ani kurko sasto, ta phukeden len ape leste. 
MRK.3.3	Job phendes apa kova dženes, kai has kole čilači vast: Ve kai ani maškeral. 
MRK.3.4	Ta job phendes lenge: Hi mišto, ta kere lačo kova ta midžiko, ta hildervahas i džiben oder ta marahas? 
MRK.3.5	Jon hin pokoni. Ta job dikhele chojemen ape lende, lesker dzi dukheslo prala lengr kašakopen, ta phendeslo o dženeske: Štaker tiro vast vri! Ta job štakerdes li vri, ta leskr vast has pale sasto. 
MRK.3.6	O Farizeare gejen pen vri, ta rakerdenlen sik o dženenge Herodeseskro her ta maren pen les.
MRK.3.7	Jezus našes leskr sikermangerenca paše baro pani, ta but čel i Galilester ta Judester gejen 
MRK.3.8	pen les pale ta nina o Jeruzalemester ta Idumester, ta i vaver rikester o Jordaneste, ta i themester i Tyrus ta Sidon vejes i baro hufka leske, her ta šunden lesker baro kovester. 
MRK.3.9	Job phendes lesker sikermangerenge: Anen mange i bero vaške i čeleske džin ta vel me ger knoblmen. 
MRK.3.10	Job kerdas but saste, keake hakeni her hin midžiko kova ana lenge, ta gejenle trucake lehe ta taperen‐le les. 
MRK.3.11	Ta dikhene kole čikele mule les, pejenle glana leste tele, dejene godli ta phendene: Tu hal i Devlesker čavo. 
MRK.3.12	Job preterdes len, te kerene les ger hajerdo.
MRK.3.13	Te job štejes api brego, ta khardeslo kolen kai kamjeslo, ta jon vejene. 
MRK.3.14	Job lejes kole dešdui, ta has len paše leste, ta bičerelo len api rakerpen vri. 
MRK.3.15	Job dejes lenge i zorlopen, ta tradenlen o bengen vri. 
MRK.3.16	O Simoneste dejeslo o lab Petrus, ta Jakobus o čavo o Zebedeusester, 
MRK.3.17	ta Johanes i phral Jakobusester dejes job o lab Boanerges, 
MRK.3.18	kava kharde veradenger čave, ta Andreas, ta Filipus, ta Bartolomeus, ta Mateus, ta Tomas, ta Jakobus, o čavo o Alfeusester, ta Tadeus, 
MRK.3.19	ta Simon o Kanara, ta Judas Iskariot, kova kai phukerdes apa leste. 
MRK.3.20	Her ta gejenle khere, has but džene ketene, keake ta chanele buter ger lengr maro. 
MRK.3.21	Ta šunden kova lesker dai ta lesker phrala, gejenle vri, ta taperdenle les, ta phendenle: Job vejes narbelo. 
MRK.3.22	Ta kole librenger sikerpangere, kai vejena o Jeruzalemender phendena: Les hi o beng Belzebul ana leste, ta drucho baro beng tradela kole vaver bengen vri. 
MRK.3.23	Job khardes lenge ketene, ta rakerdes lenge ani parnisende: Her ta tradela o beng i benges, 
MRK.3.24	ta hi i them an peske vaverčandes, keake našte ta ačela ger o them. 
MRK.3.25	Ta hi i kher an peske vaverčandes, keake našte ta ačela ger o kher. 
MRK.3.26	Ta štela o beng an peske vri, keake hilo nikli ta job ačelo buter ger, ta lesker kova hi vri. 
MRK.3.27	Kenk dženo našti velo ani kher o zorelester ta čorelo lesker kova, ta phandelo sikeder o zoreleste, pala našte čorelo leskr kher vri. 
MRK.3.28	Čačo me phenau tumenge: Hake došia vel o dženenger čavenge meklo, ta hake prasepenia kai kerdenle. 
MRK.3.29	Kova kai prasela o boldo muleste, kova vela kenk mekapen ani hamaskri, kova kerdas doš, kai ačela ha. 
MRK.3.30	(Jon phenden „les hi čikalo mulo“.)
MRK.3.31	Kana vejena leskr dai ta leskr phrala, ta ačena štejenle vri, ta bičerdenle lehe drin, ta vela job vri. 
MRK.3.32	O čel bešdas drumo leste, ta phenden lehe: Dike, tiri dai ta tire phrala hin vri ta rodene tuke. 
MRK.3.33	Job phendas lenge: Kon hi miri dai, kon hin mire phrala? 
MRK.3.34	Ta job dikhes kola kai bešden leste trujum, ta phendeslo: Dike, ake miri dai ta mire phrala. 
MRK.3.35	Kava ta kerelo ho kamela o Devel, kava hi miro phral, miri phen, ta miri dai.
MRK.4.1	Ta job sikerdes papele langs o baro paneste. Ta vejene i baro hufka lehe ketene, keake ta štejeslo ani bero ta bešjeslo api baro pani; o celo čel has api them langs o baro paneste. 
MRK.4.2	Ta job sikerden len but drucha parnisende, ta phendes lenge ani leskr sikerpen: Šunena: 
MRK.4.3	Dike, gejes i hacho vrin, ta vicerdeslo lesker gib vri. 
MRK.4.4	Ta vejes, her job vicerdes lesker gib, pejes čomoni api drom, pale vejene o čirkle o bolepenester ta chanene les pre. 
MRK.4.5	Čomoni pejes api barester kunč, kai his ger but phub; gejes sik pre, vel ta has o phub ger chor. 
MRK.4.6	Her ta gejes o baro kham pre, has len mule, vel ta has len kenk drab. 
MRK.4.7	Čomoni pejes tele boriate, ta kole boria vejene bares, ta has len mule, keake ta dejes kenk gib. 
MRK.4.8	Čomoni pejes api lačo phub, ta andes gib, vel ta gejes la pre, ta vejes la bares, keake ta hidžerdes čomoni trianda, čomoni šobvardeš, čomoni šel kopo. 
MRK.4.9	Ta job phendes: Kova, koles ta hi kan, kova šune. 
MRK.4.10	Ta haslo kokeres, phučen les o dešedui, kai haslen paše leste, prala kava parniseste. 
MRK.4.11	Ta job phenela ape lende: Tume našte (sei) džanene o čorochanepen o Devlesker themester; kolen ta hin vri, vela hako ani parnisepen rakerdo, 
MRK.4.12	ta dikhenele o jakenca, ta dikhenele či; ta šunen lengr kanenca, ta hajvenele či, ta riserden pen ger, ta lengr došia vel lenge ger meklo. 
MRK.4.13	Ta job phendes lenge: Hajeven tume kava parnise ger, her našte ta hajvene tume hake vaver parnisepen? 
MRK.4.14	O chacho vicerelo o lab. 
MRK.4.15	Kola kai hin langs o drom: kai hi o lab vicerdo, ta šundene, pala vela sik o beng, ta anela o lab nikli, ta has drane lengr dzi vicerdo. 
MRK.4.16	Keake hin nina kale, kai hi apo baresker kunč vicerdo; ta šunden kale kova lab, 
MRK.4.17	anenelen les sik i dziviate pre, ta ane lenge hi kenk drab, jon rikerene ger vri, ta vel pala i midžiko ciro, ta i bibanderpen i labeste, pala hi len sik chojemen. 
MRK.4.18	Vaver hi, kai velen tele boria vicerdo: kava hi kole, ta šunene o lab, 
MRK.4.19	ta kova phubienger traš, o chochepen o bravalepenester, ta o kamapen o vaver pedenca vejene čorochanes drin, ta pucene o lab, keake ta ačene kenk gibester. 
MRK.4.20	Kole kai hi api lačo phub vicerdo, kale hi kolen, her ta hunen o lab, ta anene les pre, ta andene gib, jekto trianda, jekto šobvardeš, ta jekto šelkopo.
MRK.4.21	Ta job phendes lenge: Vele pale i momeli, ta kerene les tele i koršnica ta tele i čiven? Ger doleske. Ger ta vele api momelipaskero tardo? 
MRK.4.22	Či hi gardo, mo ta hi ger hajerdo, ta či džala čorochanes, ta vela ger ana dives. 
MRK.4.23	Kova koles kai hi kan, kova šune. 
MRK.4.24	Ta job phendes ape lenge: Dejene jak, ho šunene tume! Keake but ta dejene tume, keake but vejene pale, ta tume vel kome buteder pašal. 
MRK.4.25	Kava ta hi, koves vejes buteder, ta kova ta hi či, koveste vela kava ho hislo, čordo.
MRK.4.26	Job phendes nina: Keake hi o Devlesker themeske, her te vicerdo o dženo gib api phub. 
MRK.4.27	Job kamela ta sovelo ta štejeslo paši dives ta paši rati, o gib vele vri ta vele bares, ta job džanele les ger. 
MRK.4.28	Ta o phub hidžerela an peske gib, sikeder i zenelo, pale i sungeli, pale i pherdo gib ani sungelo. 
MRK.4.29	Ta vejes o gib vri, pala bičervele job sik i činepaskeri, vel ta has o činemasker ciri kai.
MRK.4.30	Ta job phenele: Her mo te rakerahas o Devlesker themeste, ta hovester parnisepen mo ta sikerahas les? 
MRK.4.31	Keake hi har i pepurester tikno gib, kova kai vela ani phub vicerdo, ta hi tikneder telo hakeni gib, 
MRK.4.32	kai hin api phub, ta hi kome vicerdo, džala les pre, ta vele bareder her hakeni drabenge, ta kerela keake bare patria, ta ačene o čirikle o bolepenester tele les. 
MRK.4.33	Ta but keake parnisenca rakerdeslo o lab, keake kai naštene ta hunena. 
MRK.4.34	Ta job rakerdes lenge foni ani parnisende, ta hi len kokeres, sikerdes job leskre sikermangerende lauter.
MRK.4.35	Ta job phenela kova diveste, ta vejes brevul: Mek men ta džas menge api vaver rik. 
MRK.4.36	Ta jon mekjene o čel, ta andenle les paše lende, keake ta haslo ano bero, ta has nina vaver bere pašal. 
MRK.4.37	Pala vejes i baro braval, ta vejes o pani ano bero drin, keake te vejes les phardo pani. 
MRK.4.38	Job ta sodeslo palduno i bereste api pernica. Jon kerene pen les džanglo ta phenden leske: Sikerpasker‐rai, hi tuke jek, ta marahas? 
MRK.4.39	Ta job štejes pre, preterdes o braval ta phendes o baro paneste: Ač pokoni ta lalerehe! Ta o braval bašeslo pes, ta vejes celo pokoni. 
MRK.4.40	Ta job phendes lenca: Hoske darene tume keake? Hi tumen kenk pacepen? 
MRK.4.41	Jon trašen pen ta phenden vaverkend: Kon hi kava, ta kandelo les o braval ta o baro pani?
MRK.5.1	Ta jon vejene vaver rikeste o baro paneste ani Gerazinesker them. 
MRK.5.2	Te vejeslo drani bero vri, vejes leske sik drani handakenge i dženo, kones his i čikelo mulo ani leste. 
MRK.5.3	Job čejes ani handakenge, ta kenkes našte bandeldes les či, ger i verkliende. 
MRK.5.4	But kopo vejeslo kliderdo ta bandlo i verklende, ta job cerdeslo o verklia, ta i kliderpenia, ta kenkes vejeslo kerdo lester. 
MRK.5.5	Ta ha, dives ta rati rikerdeslo pes ani handakenge ta ani brege pre, dejes godlo, ta kurdas pes i barenge. 
MRK.5.6	Ta dikheslo Jezuses duralester, našeslo apa leste, 
MRK.5.7	pejeslo lester tele, dejes godlo i zorelo bašester ta phenelo: Me kamau či tuter Jezu o baresker Devlesker čavo! Me dau tuke sovel paše Devel: dukhe man ger! 
MRK.5.8	Ta job kames ta phendes: Dža nikli kava dženester tu čikalo mulo! 
MRK.5.9	Job phučeslo nina: Her khare tu? Ta job phendes ape leste: Legion hi miro lab, mare hi but. 
MRK.5.10	Ta job mangdes les, ta tradelo les ger vri kava themester. 
MRK.5.11	His kote langs i brege i baro hufka bala, kole chanena. 
MRK.5.12	Ta i mule mangden les ta phenden: Bičervehe men ani kole balende, ta džahas ane lende drin. 
MRK.5.13	Ta job phendes: Vaške mange! Te kole čikele mule gejen pen vri, ta vejene ani bale drin; kova hufka našena sik i brego tele i baro godlenca ani baro pani, les hin dui šal, jon tasjen ani baro pani. 
MRK.5.14	Ta o balenger valete našjen ta phenden les ani foro ta api gabia, ta o džene gejene vri, ta dikhene ho dejes. 
MRK.5.15	Te jon vejene api Jezuseste ta dikhene koles kai vejes bengester dukdo, bešdo, ridlo ta gosvero, ta jon darene len pen. 
MRK.5.16	Kole kai dikden les, ginden lenge drin, her gejes koles kai his o benges, ta gejes o balenca. 
MRK.5.17	Jon mangden les, ta džal peske lo lender. 
MRK.5.18	Te štejeslo ani bero drin, mangdas kova, kav has o beng ano leste, ta ačelo paše leste. 
MRK.5.19	Job kamelo ger, ta phendeslo leste: Dža tuke an tiro kher paše tire, te phene lenge, ho kerdes o rai bares tuke, ta her kaideslo tuke. 
MRK.5.20	Job gejes ta rakerdes ani kole dešforia, ho kerdes bares o Jezus lehe, ta lauter kerdena bare jaka.
MRK.5.21	Ta gejes Jezus papele prali baro pani ani bero, has but čel ketene paš leste, ta job his paš o baro paneste. 
MRK.5.22	Pala vela jek i moskerender i kangeriender, o labeste Jairus. 
MRK.5.23	Ta dikhes kova les, pejeslo tele lesker čangenca, mangdeslo les ta phendes: Miri čai hi api meripen. Vehe ta kere tiro vast ape late, ta veleli sasti ta džideli. 
MRK.5.24	Job gejes paše leste, ta but čel vejen les pale, ta gnobltes les. 
MRK.5.25	I romni, kai has dešedui berš i naslepen, ta hasli but naslepangere, joi štejes but dukhepen vri vaške lenge, 
MRK.5.26	ta dejes len laker celo love, ta vejesli bute ger sasto, gejes ha čilačeder. 
MRK.5.27	Ta šundesli o Jezusester, pale vejesli ta taperdesli palduno lesker ripen. 
MRK.5.28	Joi phendes: Ta taperau foni lesker ripen, pala vaua sasti. 
MRK.5.29	Ta sik hasli sasti laker naslepenester, ta joi hajerdes ano laker trupo, ta hi laker dukhedo nikli. 
MRK.5.30	Ta Jezus kai hajerdes sik ani leste ta gejes o zorelepen lester vri, riserdes pes lo o čelenge ta phendes: Kon taperdes mire kolenge? 
MRK.5.31	Ta lesker sikermangere phenden ape leste: Tu dikhe ta knoblvela tuke o čel, ta phenehe: „Kon taperdes man?“ 
MRK.5.32	Ta job dikhes trujum, ta dikhelo kola, kai kerdes les. 
MRK.5.33	Pala vejes i romni, joi dardes lake, džandeli mišto her gejes lake, pejesli glan leste tele, ta phendesli leske i celo čačepen. 
MRK.5.34	Job ta phendes ape late: Čai, tiro pacepen hilderdes tuke, ma traše tuke, ta vejal sasto tiri naslepenester!
MRK.5.35	Her te rakerdeslo, pale vejene gadže i kangeriater moskerester ta phenden: Tiri čai mujes, hoske pharele tu o sikerpasker‐raieste. 
MRK.5.36	Her ta šundes Jezus o rakerpen her te phenden le, phendeslo api kangeriater moskereste: Ma traše tuke, pace foni. 
MRK.5.37	Job mekjeslo ger ta našeslo leske jekes pale, her Petrus, ta Jakobus, ta Johanes o phral o Jakobuseste. 
MRK.5.38	Ta jon vejene an o kangeriater moskerester kher, pala dikhes job o godlepen, ta her ta rondenle. 
MRK.5.39	Ta job gejes drin, ta phendes ap lenge: Hoske dejene tume keake godlo ta rondenes? O čai hi ger mulo, joi sovele! Ta jon sanden pen les vri. 
MRK.5.40	Job tradeslo hakene vri, andes o dadeste ta i dajake i čaiater, te kolen kai hin paše leste, ta gejes vrin, kai bašes i čai. 
MRK.5.41	Pala andeslo o čaiakr vast, ta phendes lake: Talitha kumi! kava kharela: Čai me phenau tuke: šte pre! 
MRK.5.42	Ta sik štejes i čai pre, ta gejesli trujum; joi has dešedui berš phuro. 
MRK.5.43	Ta jon kerdenele bare jaka. Job phendes lenge bisermaske, ta vele ger hajerdo, ta phendes, mo ta dejen lake ta chal.
MRK.6.1	Kater gejeslo nikli, ta vejes an lesker dadesker foro, ta leskre sikermangere našen pen leske pale. 
MRK.6.2	Ta vejes o kurko, sikerdes job ani kangeri, ta but, kai šunden leste, kerden bare jaka prala lesker sikerpen, ta phenden: Kater hilo kava lauter, ta keake bari hi i gosverepen kai vejes les. Ta leskre kova hin keake bares drucho leskre vastenge. 
MRK.6.3	Hi kava ger o kaštengero, o Mariater čavo, ta i phral o Jakobusester, Josester, Judas ta Simonester? Ta hin leskre pheja ger kai? Ta len has chojermen lester. 
MRK.6.4	Ta Jezus phendes ape lenge: I profeto hi ger šardo an lesker dadenger foro, ta an lesker kakopen, ta an lesker kher. 
MRK.6.5	Ta job našte kerdeslo kenk baro kova kote, foni ger but kai hin i bresla naseli, ta čideslo lesker vast ap lende, ta kerdaslo len saste. 
MRK.6.6	Ta job kerdes bare jaka prala lenger bipacepen. Ta gejeslo druchi gibia trujum ta sikerdeslo.
MRK.6.7	Ta job khardes kola dešedui paš leste, ta bičerdes le dui ta dui vri, ta dejes len zorlepen prale kole čikele mulenge. 
MRK.6.8	Job phendes lenge nina, ta anden pen len či api dromeste her i kašt: kenk posita, kenk maro ta kenk love an lesker girtlo; 
MRK.6.9	mo ta hidžerden le kircha, ta cerdenle kenk dui ripen ape lende. 
MRK.6.10	Ta phendes ape lenge: Kai ta džan tume ani kher, kote ačene džin ta džan tume dureder. 
MRK.6.11	Kole kai rikerene tume ger pre, ta šunen pen ger, ta kolender džanene vri ta krodlervena o čik tumare pirender, lenge o boteste. 
MRK.6.12	Ta jon gejen vri, ta rakerden len, ta vele len vaverčandes. 
MRK.6.13	Ta jon tradene nina but bengen vri, ta makjen le buteder nasele i džetester drin, ta vele len saste.
MRK.6.14	Ta o kralo Herodes šundes les, ta lesker lab has hajerdo; ta job phendes: Johanes o boldeskero štejes o mulender pre, ta keake kerdes lo keake bare kova. 
MRK.6.15	I vaveren phenden: Job h Elias; ta kome vaver phenden: Job hi i profeto her jekes i profetenge. 
MRK.6.16	Her ta šundas kava Herodes phendeslo: Johanes, kai kurdom lesker šero tele, kova štejes pre i mulender. 
MRK.6.17	Kava Herodes bičerdes, ta taperden o Johaneses, ta ta kliderdenle les, ta anden len les ano štilepen, vaška i Herodiasake, lesker phralesker Filipus leskr romni, vel ta andeslo la i romniake. 
MRK.6.18	Ta Johanes phendes api Herodeste: Kava hi ger mišto, ta lejel tu tiro phralesker romni. 
MRK.6.19	Herodias hidžerdes les pale, ta kamel ta marele les, ta joi našte ger. 
MRK.6.20	Herodes trašes o Johanes, vel ta džandeslo, te hilo i čačo ta i boldo rom. Ta job rakjes les, ta kerdas but, ta šundes les pale, te job kamel ta šunel les. 
MRK.6.21	Her te vejes i lačo dives, i pernopester dives o Herodeses, job dejes kole bare dženenge, ta bare kuremangerenge ta railengr gadženge i Galilester i chaben. 
MRK.6.22	Pala vejes o Herodias lakr čai drin, te kheldesla, ta feldes o Herodeste, ta nina kolen, kai bešjen drumi chamaskero. Ta phendes o kralo api čaiate: Mange mander ho kamehe, me dau tuke les! 
MRK.6.23	Job dejes lake sovel: Ho kame ha mander, me dau tuke les džin i paš miro kralesker themeste. 
MRK.6.24	Joi gejes vri ta phendes laker daiake: Mo ta kamaues me? Joi ta phendes: O boldesker Johanesester šero. 
MRK.6.25	Joi gejes sik drin paši kraleste, mangdes les ta phendes: Me kamaua, ta ane mange sik api čaro o boldesker Johanesester šeres. 
MRK.6.26	O krales has ger mišto, ta vaške i sovles, ta kolen kai hin paše chamaskero, kamel ta phendeslo gar: na! 
MRK.6.27	Job bičerdes i kuremaskeres kote, ta phendes, ta andeslo lesker šero api čaro. 
MRK.6.28	Kava kurdes leskro šero tele ano štilepen, ta andes lesker šero api čaro, ta dejes les i čaiate, ta i čai dejes les laker dake. 
MRK.6.29	Ta šundene leskre sikermangere, vejene len, ta lejen lesker mulo trupes, ta čiden les ani handako.
MRK.6.30	Ta i sikermangere vejen ketene paše Jezuseste, ta phenden leste lauter ho kerden len ta sikerden len. 
MRK.6.31	Ta job phendes ape lenge: Džan tumenge kokeres ani kokero kunč, ta ačene tume i bisla; ta kolen kai vejene ta čejene his but, ta his len kenk ciro ta chanene. 
MRK.6.32	Ta jon gejene ani bero drin, ta gejen paši rik ani fulelo phub. 
MRK.6.33	Ta jon gejen nikli, ta but hajerden les ta našjenle drani hake foria api pirenca ketene ta vejenlen lenge glan. 
