MAT.1.1	Detta är förfäderna till Jesus Kristus
MAT.4.24	Ryktet om hans under spreds långt utanför Galileens gränser och snart kom det sjuka människor också från Syrien
MAT.4.25	Stora folkmassor följde honom vart han än gick - människor från Galileen, Tiostadsområdet
MAT.5.1	En dag när Jesus såg folkmassorna gick han upp på ett berg tillsammans med sina efterföljare, 
MAT.5.2	och han satte sig ner och började undervisa dem. Han sa:
MAT.5.3	"Lyckliga är de som inser att de behöver Gud, för de får vara Guds eget folk.
MAT.5.4	Lyckliga är de som sörjer, för de ska bli tröstade.
MAT.5.5	Lyckliga är de ödmjuka, för hela världen tillhör dem.
MAT.5.6	Lyckliga är de som hungrar och törstar efter att göra Guds vilja,
MAT.5.7	Lyckliga är de som visar medlidande, för de ska få medlidande från Gud.
MAT.5.8	Lyckliga är de som av hela hjärtat söker Gud,
MAT.5.9	Lyckliga är de som strävar efter frid, för de ska kallas Guds barn.
MAT.5.10	Lyckliga är de som förföljs därför att de gör Guds vilja, för de får vara Guds eget folk.
MAT.5.11	Ja, ni är lyckliga när man hånar och förföljer er och ljuger om er därför att ni är mina efterföljare. 
MAT.5.12	Jubla och var glada, för Gud ska belöna er. Kom ihåg att profeterna som förr i tiden framförde Guds budskap
MAT.5.13	Ni är det salt som bevarar världen från förruttnelse. Men till vilken nytta är salt om det har förlorat sin kraft?
MAT.5.14	Ni är det ljus som lyser upp världen. Ni liknar en stad uppe på ett berg. En stad uppe på ett berg är synlig för alla. 
MAT.5.15	När man tänder en lampa så täcker man inte över den, utan tvärtom ställer man den så att den lyser för alla i huset. 
MAT.5.16	På samma sätt ska ert ljus lysa för människorna, så att de ser allt gott ni gör och hyllar er Far i himlen.
MAT.5.17	Tro inte att jag har kommit för att upphäva det Gud har sagt genom Moses lag och profeterna.
MAT.5.18	Jag försäkrar er, att varje ord i lagen ska gälla så länge himlen och jorden finns kvar och tills allt som Gud har förutsagt har inträffat. 
MAT.5.19	Den som bryter mot minsta lilla bud i lagen, och lär andra att göra likadant, han ska betyda minst bland dem som får vara Guds eget folk. Men den som håller lagen och lär andra att göra det, han ska få stor betydelse bland Guds eget folk.
MAT.5.20	Men jag varnar er, att om ni inte lyckas följa Guds vilja bättre än vad laglärarna
MAT.5.21	Ni har hört att det står i Moses lag: 'Du ska inte mörda,
MAT.5.22	Men jag säger: Det räcker med att du blir arg på någon, så ska du dömas. Kallar du en person för idiot, så ska du ställas inför domstol, och förbannar du någon så väntar dig helvetets eld. 
MAT.5.23	Om du därför står inför altaret i templet för att bära fram ett offer åt Gud och plötsligt kommer ihåg att någon människa har något emot dig, 
MAT.5.24	så lägg ner ditt offer framför altaret och gå och gör upp med den personen
MAT.5.25	Om någon anklagar dig för något, så skynda dig att komma överens med din motpart redan innan ni är framme vid domstolen. Annars kanske han överlämnar dig till domaren, som sedan låter vakten ta hand om dig och sätta dig i fängelse. 
MAT.5.26	Och jag försäkrar dig att du måste stanna där tills du betalt hela bötesbeloppet.
MAT.5.27	Ni har hört att det står i Moses lag: 'Du ska inte vara otrogen i ditt äktenskap.'
MAT.5.28	Men jag säger: den som ser på en kvinna med begär i blicken har redan varit otrogen med henne i sitt hjärta. 
MAT.5.29	Om ditt högra öga får dig att synda, så riv ut det och kasta det ifrån dig. Det är bättre att en del av din kropp förstörs än att hela du kastas i helvetet. 
MAT.5.30	Och om din hand får dig att synda så hugg av den och kasta bort den, även om det skulle råka vara din högra hand! Det är bättre att en del av din kropp förstörs än att hela du kommer till helvetet.
MAT.5.31	Det står i Moses lag: 'Om någon vill skilja sig från sin fru, så kan han göra det genom att ge henne ett intyg som bevis på skilsmässan.'
MAT.5.32	Men jag säger: Den man som skiljer sig från sin fru, utan att hon varit otrogen, han blir orsak till att hon verkligen kan vara otrogen. Och den som gifter sig med en frånskild kvinna gör så att hon är otrogen.
MAT.5.33	Ni har också hört att det står i Moses lag: 'Du ska inte bryta en ed som du har svurit, utan du ska hålla allt som du har lovat inför Gud.'
MAT.5.34	Men jag säger: svär överhuvudtaget inga eder! Om du säger: 'Jag svär vid himlen' så har du svurit inför Gud, för himlen är Guds tron. 
MAT.5.35	Om du säger: 'Jag svär vid jorden', så har du svurit inför Gud, för jorden är pallen under hans fötter. Och om du säger: 'Jag svär vid Jerusalem', så har du svurit inför Gud, för Jerusalem är Guds stad.
MAT.5.36	Säg inte heller: 'Det sätter jag huvudet i pant på!' för du kan inte göra ett enda hårstrå vare sig vitt eller svart. 
MAT.5.37	Säg bara: 'Ja, det vill jag' eller 'Nej, det vill jag inte'. Det räcker. Tanken att ge mer tyngd åt orden kommer från den Onde.
MAT.5.38	Ni har hört att det står i Moses lag: 'Om ett öga skadas, måste den skyldige betala med sitt eget öga. Och om en tand skadas, ska han betala med sin egen tand.'
MAT.5.39	Men jag säger: Möt inte våld med våld. Slår någon dig på ena kinden, så vänd också den andra mot honom. 
MAT.5.40	Ställs du inför domstol och man tar ifrån dig din skjorta, så ge dem ytterplagget också. 
MAT.5.41	Befaller någon dig att bära hans packning en mil, så bär den två. 
MAT.5.42	Ge till den som ber dig och vänd inte ryggen åt den som vill låna av dig.
MAT.5.43	Ni har hört att det står i Moses lag: 'Du ska älska din medmänniska
MAT.5.44	Men jag säger: Älska era fiender! Be för dem som förföljer er! 
MAT.5.45	Då visar ni att ni verkligen är barn till er Far i himlen. För han låter solen skina och regnet falla på både onda och goda, både på dem som följer hans vilja och dem som inte gör det.
MAT.5.46	Vad är det för märkvärdigt med att ni älskar dem som älskar er? Det gör ju tullindrivarna
MAT.5.47	Och om ni hälsar vänligt på era vänner men inte på någon annan, vad är det för märkvärdigt med det? Det gör ju de som inte känner Gud också. 
MAT.5.48	Var lika goda som er Far i himlen, han som är fullständigt god.
MAT.6.1	Jesus fortsatte: "När ni gör det som är gott, se då till att ni inte gör det bara för att människor ska lägga märke till er, för annars har ni ingen lön att vänta från er Far i himlen. 
MAT.6.2	När ni ger en gåva till en nödlidande, ropa då inte ut det till andra. Var inte som de falska människor som bara låtsas lyda Gud. De basunerar ut sina goda gärningar i synagogorna
MAT.6.3+MAT.6.4	Nej, om du hjälper någon, så gör det i hemlighet. Din vänstra hand ska inte veta vad den högra gör. Då kommer din Far, som ser allt, att belöna dig.
MAT.6.5	När ni ber, ska ni inte visa upp er för andra. Var inte som de falska människor som bara låtsas lyda Gud. De älskar att be offentligt i gathörnen och i synagogorna
MAT.6.6	Nej, när du ber, gå då istället in i ditt rum och stäng dörren om dig. Låt din bön vara en hemlighet mellan dig och din Far i himlen. Han vet allt och ska belöna dig.
MAT.6.7	Rabbla inte upp samma bön gång på gång, som de människor gör som inte känner Gud. De tror att bönen har större chans att bli besvarad om de använder många ord. 
MAT.6.8	Var inte som de, för er Far vet precis vad ni behöver, innan ni ens ber honom om det!
MAT.6.9	Be istället så här:
MAT.6.9	 Vår Far i himlen, vi ber att du ska bli ärad. 
MAT.6.10	Kom och regera bland oss,
MAT.6.11	Ge oss den mat vi behöver, dag för dag,
MAT.6.12	och förlåt oss det vi har gjort fel mot dig, liksom vi förlåter dem som har gjort fel mot oss.
MAT.6.13	Och låt oss inte utsättas för frestelser, utan rädda oss från den Onde
MAT.6.14	Ja, om ni förlåter dem som har gjort fel mot er, ska er Far i himlen också förlåta er. 
MAT.6.15	Men om ni vägrar att förlåta andra, kommer han inte att förlåta er era synder.
MAT.6.16	När ni fastar
MAT.6.17	Nej, när du fastar ska du tvätta dig och sköta om ditt hår precis som vanligt. 
MAT.6.18	Låt fastan vara en hemlighet mellan dig och din Far i himlen. Han vet allt och ska belöna dig.
MAT.6.19	Samla inte rikedomar här på jorden, där de förlorar sitt värde och lätt kan bli stulna. 
MAT.6.20	Samla dina skatter i himlen, där de behåller sitt värde och är säkra för tjuvar. 
MAT.6.21	För om din skatt finns i himlen, då kommer också ditt hjärta och dina tankar att vara där.
MAT.6.22	Ögat är kroppens lampa
MAT.6.23	Men om ditt öga är förstört stänger det ute ljuset, så att det blir mörkt i ditt inre. Om det ljus du tror dig ha i själva verket är mörker, då är ditt mörker verkligen nattsvart!
MAT.6.24	Ingen kan tjäna två herrar samtidigt, för antingen kommer han att hata den förste och älska den andre, eller att älska den förste och hata den andre. Ni måste alltså välja. Ni kan inte tjäna Gud och samtidigt älska pengar.
MAT.6.25	Därför säger jag: Oroa er inte för hur ni ska klara livet, hur ni ska få mat och dryck eller kläder att ta på er. Nog finns det viktigare saker i livet än mat och dryck och kläder? 
MAT.6.26	Se på fåglarna! De oroar sig inte för vad de ska äta. De sår inte och skördar inte och samlar inte i några lador, men er Far i himlen ger dem mat ändå. Är ni inte mycket mer värda för honom än vad fåglarna är? 
MAT.6.27	Vad tjänar det till att oroa sig? Kan det förlänga era liv med en enda timma? Naturligtvis inte!
MAT.6.28	Och varför oroar ni er för kläder? Se på liljorna på ängen. De arbetar inte och tillverkar inga kläder. 
MAT.6.29	Ändå försäkrar jag er, att inte ens kung Salomo i all sin prakt var så vackert klädd som de. 
MAT.6.30	Men om Gud nu ger så underbara kläder åt gräset, som idag står på ängen och imorgon kastas på elden, skulle han då inte ordna kläder åt er? Litar ni fortfarande så lite på Gud?
MAT.6.31+MAT.6.32	Oroa er alltså inte för vad ni ska äta och dricka, eller för vad ni ska ta på er. Gör inte som de människor som inte känner Gud. De jagar efter allt detta och oroar sig hela tiden. Men er Far i himlen vet redan vad ni behöver. 
MAT.6.33	Han kommer att ge er allt detta, om ni först och främst strävar efter att göra hans vilja, så att han får regera bland er.
MAT.6.34	Oroa er alltså inte för morgondagen, utan lös problemen den dag de verkligen dyker upp. En dags bekymmer räcker mer än väl."
MAT.7.1	Jesus fortsatte: "Döm inte andra, så blir ni själva inte dömda, 
MAT.7.2	för Gud kommer att behandla er som ni behandlar andra. Den måttstock ni använder då ni dömer andra, den kommer Gud att använda när han dömer er. 
MAT.7.3	Varför hänger du upp dig på din medmänniskas små svagheter, när du inte erkänner din egen skuld som är mycket större? 
MAT.7.4	Varför säger du till henne: 'Kom hit så ska jag öppna ögonen på dig så att du ser dina fel', när du samtidigt är blind för din egen synd? 
MAT.7.5	Du falska människa som bara låtsas lyda Gud! Rätta först till dina egna fel! Sedan kan du se klart och försöka hjälpa din medmänniska.
MAT.7.6	Men ge inte heller Guds budskap till människor som inte vill lyda honom, för det är som att kasta pärlor åt svinen. De kommer att trampa på budskapet och sedan vända sig om och angripa er.
MAT.7.7	Be, så ska ni få. Sök, så ska ni finna. Knacka och dörren ska öppnas. 
MAT.7.8	För alla som ber, de får, och alla som söker, de finner. Och för var och en som knackar ska dörren öppnas.
MAT.7.9+MAT.7.10	Du som är förälder, inte ger du väl ditt barn en sten när det ber om bröd, eller en orm när det ber om en fisk? Naturligtvis inte! 
MAT.7.11	Men om nu ni, som är onda och hårdhjärtade, har förstånd att ge goda gåvor till era barn, skulle då inte er Far i himlen ge goda gåvor till dem som ber honom om det?
MAT.7.12	Behandla andra så som ni vill att de ska behandla er. Detta är vad Gud har sagt genom Moses lag och profeterna.
MAT.7.13	Den som vill bli räddad måste gå in genom den trånga porten. Vägen till evigt straff är bred, och porten dit in är vid, och många är de som väljer den lättaste vägen. 
MAT.7.14	Men porten till livet är trång, och vägen dit är smal. Därför är det bara några få som finner den.
MAT.7.15	Akta er för människor med ett falskt budskap om Gud. De kommer till er förklädda till oskyldiga får, men är i verkligheten glupska vargar som vill slita sönder er. 
MAT.7.16	Ni kan känna igen dem på deras handlingar, på samma sätt som man känner igen träd och växter på deras frukt. Man plockar ju inte vindruvor på törnbuskar eller fikon på tistlar. 
MAT.7.17	Ett bra träd bär bra frukt och ett dåligt träd bär dålig frukt. 
MAT.7.18	Ett bra träd kan inte bära dålig frukt, och ett dåligt träd kan inte bära bra frukt. 
MAT.7.19	Men varje träd som inte bär bra frukt huggs ner och bränns upp. 
MAT.7.20	På samma sätt som ett träd känns igen på frukten, kan ni alltså känna igen människorna på deras handlingar.
MAT.7.21	Inte alla som talar väl om mig är mina efterföljare. Många kallar mig 'Herre', men ska ändå inte få tillhöra Guds eget folk,
MAT.7.22	På domens dag ska många säga till mig: 'Herre, Herre! Vi har ju framfört budskap från Gud i ditt namn och drivit ut onda andar i ditt namn och gjort under i ditt namn.' 
MAT.7.23	Men då ska jag säga dem sanningen: 'Jag känner er inte. Försvinn härifrån! Det ni har gjort, det har ni gjort i det ondas tjänst.'
MAT.7.23	 Om att bygga på stadig grund 
MAT.7.24	Den som hör min undervisning och handlar efter den är klok. Han liknar en man som bygger sitt hus på berggrunden. 
MAT.7.25	Även om det blir skyfall och översvämning, och stormvindarna blåser med våldsam kraft mot huset, så rasar det inte eftersom det är byggt på fast mark.
MAT.7.26	Men den som hör min undervisning och inte handlar efter den är en dåre. Han liknar en man som bygger sitt hus direkt på sanden. 
MAT.7.27	När sedan regnet kommer och det blir översvämning, och stormvindarna blåser mot huset, så faller det ihop med ett stort brak."
MAT.7.28	När Jesus hade avslutat detta tal var människorna mycket häpna över hans undervisning, 
MAT.7.29	för han undervisade med makt, och inte som deras laglärare
MAT.8.1	När Jesus sedan gick ner från berget följde massor av människor efter honom. 
MAT.8.2	Då närmade sig plötsligt en spetälsk
MAT.8.3	Jesus räckte genast ut handen och rörde vid mannen och sa: "Det vill jag. Du är frisk!" Och i samma stund var mannen fri från sin spetälska.
MAT.8.4	Men Jesus sa till honom: "Berätta inte detta för någon, utan gå till prästen så att han kan undersöka dig. Ta också med dig det offer som Mose har bestämt,
MAT.8.5+MAT.8.6	När Jesus gått in i Kafarnaum, kom en romersk officer fram till honom och bad om hjälp. "Herre, min tjänare ligger förlamad därhemma och har svåra plågor", förklarade han.
MAT.8.7	"Ska jag komma med och bota honom?" frågade Jesus.
MAT.8.8	Men officeren sa: "Herre, jag är inte värd att du går in i mitt hus.
MAT.8.9	Jag vet det, för jag har själv överordnade officerare som ger mig order, och jag har andra soldater som är under mig. Om jag säger till en av dem: 'Gå', så går han, och till en annan: 'Kom', så kommer han, och om jag säger till min tjänare: 'Gör det här, eller det där', så gör han det."
MAT.8.10	Jesus blev mycket förvånad och vände sig till dem som följde honom och sa: "Jag försäkrar er att jag inte har sett en så stark tro hos någon bland Israels folk. 
MAT.8.11	Jag säger er att många människor, likt den här romerska officeren, ska komma från jordens alla länder och vara tillsammans med Abraham, Isak och Jakob på festen i Guds nya värld.
MAT.8.12	Men många israeliter, som borde ha varit med bland dem som får vara Guds eget folk, ska kastas ut i mörkret.
MAT.8.13	Sedan sa Jesus till den romerska officeren: "Gå hem. Det ska bli så som du trodde!" Och i samma stund blev tjänaren frisk.
MAT.8.14	När Jesus sedan kom hem till Petrus fick han se att Petrus svärmor låg till sängs med hög feber. 
MAT.8.15	Han rörde då vid hennes hand och genast försvann febern, och hon steg upp och började laga mat åt dem.
MAT.8.16	Samma kväll förde man många besatta människor till Jesus, och han drev ut de onda andarna genom att bara tala till dem. Han botade också alla de sjuka. 
MAT.8.17	Genom detta blev det verklighet som Gud förutsagt genom profeten Jesaja: "Han la våra plågor på sig själv och tog bort våra sjukdomar."
MAT.8.18	När Jesus såg att det samlades mer och mer folk bad han sina efterföljare att göra sig beredda att åka över till andra sidan sjön. 
MAT.8.19	Då kom en av laglärarna
MAT.8.20	Jesus svarade: "Du måste förstå, att rävarna har lyor och fåglarna har bon, men jag, Människosonen
MAT.8.21	En annan av hans efterföljare sa: "Herre, jag vill gärna följa dig, men låt mig först gå hem och begrava min pappa."
MAT.8.22	Då svarade Jesus honom: "Följ mig och låt dem som är andligt döda
MAT.8.23	Sedan steg Jesus i en båt och åkte över sjön tillsammans med sina efterföljare. 
MAT.8.24	Och plötsligt blåste en fruktansvärd storm upp med höga vågor som slog in över båten. Men Jesus sov.
MAT.8.25	Då gick hans efterföljare fram till honom och väckte honom och började ropa: "Herre, hjälp oss! Vi sjunker!" 
MAT.8.26	Men Jesus svarade: "Varför är ni rädda? Har ni så svårt att tro?" Sedan reste han sig upp och talade strängt till vinden och sjön, och allt blev lugnt. 
MAT.8.27	Jesus efterföljare blev alldeles häpna. "Vem är han", sa de till varandra, "eftersom till och med vinden och sjön lyder honom?"
MAT.8.28	När Jesus hade kommit över till andra sidan sjön, till gadarenernas område
MAT.8.29	Och de ropade till Jesus: "Lämna oss ifred, du Guds Son! Har du kommit för att plåga oss i förtid?"
MAT.8.30	Samtidigt gick en stor svinhjord och betade inte långt därifrån, 
MAT.8.31	och andarna tiggde och bad: "Om du driver ut oss, så skicka oss åtminstone in i svinhjorden."
MAT.8.32	Jesus sa: "Som ni vill, ge er iväg!" Och genast lämnade de onda andarna männen och for in i svinen, och hela hjorden rusade utför bergssluttningen och drunknade i sjön. 
MAT.8.33	Herdarna som vaktat svinen flydde, och när de kom till den närliggande staden berättade de alltihop, även det som hänt med de besatta. 
MAT.8.34	Alla i staden gick då ut för att träffa Jesus, och när de kom fram till honom bad de honom lämna deras område.
MAT.9.1	Jesus steg sedan i en båt och åkte över till Kafarnaum, den stad där han bodde. 
MAT.9.2	Där kom de till honom med en förlamad man som låg på en bår. Och när Jesus såg vilken stor tro de hade, sa han till den förlamade: "Var inte ledsen, min son. Jag har förlåtit dina synder!"
MAT.9.3	Några av laglärarna
MAT.9.4	Men Jesus visste vad de tänkte och frågade dem: "Varför tänker ni onda tankar? 
MAT.9.5	Är det inte lika omöjligt för en människa att säga till den förlamade: 'Res dig upp och gå' som att säga: 'Jag förlåter dig dina synder'?" 
MAT.9.6	Sedan vände han sig till den förlamade och sa: "För att bevisa att jag, Människosonen
MAT.9.7	Och mannen reste sig och gick hem.
MAT.9.8	När folket såg vad som hände blev de alldeles förskräckta, och de hyllade Gud för att han gett sådan makt till människor.
