GEN.1.1	Alguses lõi Jumal taevad ja maa.
GEN.1.30	Ja kõigile loomadele maa peal ja kõikidele lindudele taeva all ja kõigile roomajaile maa peal, kelles on elav hing, annan Ma kõiksugu haljast rohtu toiduks!” Ja nõnda sündis.
GEN.1.31	Ja Jumal vaatas kõike, mis Ta oli teinud, ja vaata, see oli väga hea! Siis sai õhtu ja sai hommik, — kuues päev.
GEN.2.1	Nõnda on taevas ja maa ning kõik nende väed valmis saanud.
GEN.2.2	Ja Jumal lõpetas seitsmendal päeval Oma töö, mis Ta tegi, ja hingas seitsmendal päeval kõigist Oma tegudest, mis Ta oli teinud.
GEN.2.3	Ja Jumal õnnistas seitsmendat päeva ja pühitses seda, sest Ta oli siis hinganud kõigist Oma tegudest, mis Jumal luues oli teinud.
GEN.2.4	See on lugu taevaste ja maa sündimisest, kui need loodi. Sel ajal, kui Issand Jumal tegi maa ja taevad,
GEN.2.5	kui ainustki väljapõõsast ei olnud veel maa peal ja ainustki väljarohtu ei olnud veel tärganud, sest Issand Jumal ei olnud lasknud vihma sadada maa peale, ja inimest ei olnud põldu harimas,
GEN.2.6	tõusis udu maast ja kastis kogu mullapinda.
GEN.2.7	Ja Issand Jumal valmistas inimese, kes põrm on, mullast, ja puhus tema ninasse elavat õhku: nõnda sai inimene elavaks hingeks.
GEN.2.8	Ja Issand Jumal istutas Eedeni rohuaia päevatõusu poole ja pani sinna inimese, kelle Ta oli valmistanud.
GEN.2.9	Ja Issand Jumal laskis maast tõusta kõiksugu puid, mis armsad olid pealtnäha ja millest hea oli süüa, ja elupuu keset aeda, ning hea ja kurja tundmise puu.
GEN.2.10	Ja Eedenist väljus jõgi rohuaeda kastma, sealtpeale jagunedes neljaks haruks:
GEN.2.11	esimese nimi on Piison, see voolab ümber kogu Havilamaa, kus kulda on;
GEN.2.12	selle maa kuld on hea, seal on bedolavaiku ja karneoolikive.
GEN.2.13	Ja teise jõe nimi on Giihon, see voolab ümber kogu Kuusimaa.
GEN.2.14	Ja kolmanda jõe nimi on Hiddekel, see voolab hommiku pool Assurit; ja neljas jõgi on Frat.
GEN.2.15	Ja Issand Jumal võttis inimese ja pani ta Eedeni aeda harima ja hoidma.
GEN.2.16	Ja Issand Jumal keelas inimest ja ütles: „Kõigist aia puudest sa võid küll süüa,
GEN.2.17	aga hea ja kurja tundmise puust sa ei tohi süüa, sest päeval, mil sa sellest sööd, pead sa surma surema!”
GEN.2.18	Ja Issand Jumal ütles: „Inimesel ei ole hea üksi olla; Ma tahan teha temale abi, kes tema kohane on!”
GEN.2.19	Ja Issand Jumal valmistas mullast kõik loomad väljal ja kõik linnud taeva all ning tõi inimese juurde, et näha, kuidas tema neid nimetab. Ja kuidas inimene igat elavat olendit nimetas, nõnda pidi selle nimi olema.
GEN.2.20	Ja inimene pani nimed kõigile lojustele ja lindudele taeva all ja kõigile loomadele väljal, aga inimesele ei leidunud abi, kes tema kohane oleks.
GEN.2.21	Siis Issand Jumal laskis tulla raske une inimese peale ja see uinus magama; siis Ta võttis ühe tema küljeluudest ning sulges selle aseme taas lihaga.
GEN.2.22	Ja Issand Jumal ehitas küljeluu, mille Ta inimesest oli võtnud, naiseks ja tõi tema Aadama juurde.
GEN.2.23	Ja Aadam ütles: „See on nüüd luu minu luust ja liha minu lihast! Teda peab hüütama mehe naiseks, sest ta on mehest võetud!”
GEN.2.24	Seepärast mees jätab maha oma isa ja ema ning hoiab oma naise poole, ja nemad on üks liha!
GEN.2.25	Ja nad olid mõlemad alasti, Aadam ja tema naine, ega häbenenud mitte.
GEN.3.1	Aga madu oli kavalam kõigist loomadest väljal, kelle Issand Jumal oli teinud, ja ta ütles naisele: „Kas Jumal on tõesti öelnud, et te ei tohi süüa mitte ühestki rohuaia puust?”
GEN.3.2	Ja naine vastas maole: „Me sööme küll rohuaia puude vilja,
GEN.3.3	aga selle puu viljast, mis keset aeda, on Jumal öelnud: Te ei tohi sellest süüa ega selle külge puutuda, et te ei sureks!”
GEN.3.4	Ja madu ütles naisele: „Te ei sure kummatigi mitte,
GEN.3.5	vaid Jumal teab, et mil päeval te sellest sööte, lähevad teie silmad lahti ja te saate Jumala sarnaseks, tundes head ja kurja!”
GEN.3.6	Ja naine nägi, et puust oli hea süüa, ja see tegi ta silmadele himu, ja et puu oli ihaldusväärne, sest see pidi targaks tegema. Siis ta võttis selle viljast ja sõi ning andis ühtlasi ka oma mehele, ja tema sõi.
GEN.3.7	Siis nende mõlemate silmad läksid lahti ja nad tundsid endid alasti olevat, ja nad õmblesid viigilehti kokku ning tegid enestele põlled.
GEN.3.8	Ja nad kuulsid Issanda Jumala häält, kes rohuaias sinna ja tänna käis, kui päev viluks läks, ja Aadam ja tema naine peitsid endid Issanda Jumala palge eest rohuaia puude keskele.
GEN.3.9	Ja Issand Jumal hüüdis Aadamat ning ütles temale: „Kus sa oled?”
GEN.3.10	Ja tema vastas: „Ma kuulsin Su häält rohuaias ja kartsin, sest ma olen alasti. Sellepärast ma peitsin enese ära!”
GEN.3.11	Siis Ta küsis: „Kes on sulle teada andnud, et sa alasti oled? Või oled sa söönud puust, millest Ma sind keelasin söömast?”
GEN.3.12	Ja Aadam vastas: „Naine, kelle Sa mulle kaasaks andsid, tema andis mulle puust ja ma sõin!”
GEN.3.13	Ja Issand Jumal küsis naiselt: „Miks sa seda tegid?” Ja naine vastas: „Madu pettis mind, ja ma sõin!”
GEN.3.14	Siis Issand Jumal ütles maole: „Et sa seda tegid, siis ole sa neetud kõigi lojuste ja kõigi väljaloomade seas! Sa pead roomama oma kõhu peal ja põrmu sööma kogu eluaja!
GEN.3.15	Ja Ma tõstan vihavaenu sinu ja naise vahele, sinu seemne ja tema seemne vahele, kes purustab su pea, aga kelle kanda sa salvad!”
GEN.3.16	Naisele Ta ütles: „Sinule Ma saadan väga palju valu, kui sa käima peal oled: sa pead valuga lapsi ilmale tooma! Sa himustad küll oma meest, aga tema valitseb su üle!”
GEN.3.17	Aga Aadamale Ta ütles: „Et sa kuulsid oma naise sõna ja sõid puust, millest Mina sind keelasin, öeldes, et sa ei tohi sellest süüa, siis olgu maapind neetud sinu üleastumise pärast! Vaevaga pead sa sellest sööma kogu eluaja!
GEN.3.18	Ta peab sulle kasvatama kibuvitsu ja ohakaid, ja põllutaimed olgu sulle toiduks!
GEN.3.19	Oma palge higis pead sa leiba sööma, kuni sa jälle mullaks saad, sest sellest sa oled võetud! Tõesti, sa oled põrm ja pead jälle põrmuks saama!”
GEN.3.20	Ja Aadam pani oma naisele nimeks Eeva, sest ta sai kõigi elavate emaks.
GEN.3.21	Ja Issand Jumal tegi Aadamale ja ta naisele nahkriided ning pani neile selga.
GEN.3.22	Ja Issand Jumal ütles: „Vaata, inimene on saanud nagu üheks meie hulgast, tundes head ja kurja! Aga nüüd, et ta oma kätt ei sirutaks ega võtaks ka elupuust ja ei sööks ega elaks igavesti”, —
GEN.3.23	siis saatis Issand Jumal tema Eedeni rohuaiast välja, et ta hariks maad, millest ta oli võetud.
GEN.3.24	Ja Ta ajas Aadama välja ja pani hommiku poole Eedeni rohuaeda keerubid ja tuleleegina sähviva mõõga, et need valvaksid elupuu teed.
GEN.4.1	Ja Aadam sai ühte oma naise Eevaga, kes sai käima peale ja tõi Kaini ilmale ning ütles: „Ma olen Issanda abiga mehe ilmale toonud!”
GEN.4.2	Ja tema sünnitas taas: ta venna Aabeli. Ja Aabel oli pudulojuste karjane, Kain aga oli põllumees.
GEN.4.3	Ja mõne aja pärast juhtus, et Kain tõi Issandale roaohvri maaviljast,
GEN.4.4	ja ka Aabel tõi oma pudulojuste esimesest soost ning nende rasvast, ja Issand vaatas Aabeli ja tema roaohvri peale,
GEN.4.5	aga Kaini ja tema roaohvri peale ta ei vaadanud. Siis Kain vihastus väga ja lõi pilgu maha.
GEN.4.6	Ja Issand küsis Kainilt: „Mispärast sa vihastud? Ja mispärast sa pilgu maha lööd?
GEN.4.7	Eks ole: kui sa head teed, siis on su pilk tõstetud üles? Aga kui sa head ei tee, siis luurab patt ukse ees ja himustab sind! Kuid sina pead tema üle valitsema!”
GEN.4.8	Ja Kain kõneles oma venna Aabeliga. Ja sündis, kui nad väljal olid, et Kain kippus oma venna Aabeli kallale ja tappis tema.
GEN.4.9	Aga Issand küsis Kainilt: „Kus on su vend Aabel?” Ja tema vastas: „Ei mina tea. Kas ma olen oma venna hoidja?”
GEN.4.10	Ja Tema ütles: „Mis sa oled teinud? Sinu venna vere hääl kisendab maa pealt Minu poole!
GEN.4.11	Aga nüüd ole sa neetud siit maa pealt, mis oma suu on avanud, su venna verd sinu käest vastu võttes!
GEN.4.12	Kui sa harid maad, siis see ei anna sulle enam oma rammu! Sa pead maa peal olema hulkur ja põgenik!”
GEN.4.13	Ja Kain ütles Issandale: „Mu karistus on suurem kui ma suudan kanda!
GEN.4.14	Vaata Sa oled mind täna ära ajanud siit maalt ja ma pean varjule minema Su palge eest ning maa peal olema hulkur ja põgenik! Ja igaüks, kes mind leiab, tapab mu!”
GEN.4.15	Ja Issand ütles temale: „Sellepärast peab igaühele, kes Kaini tapab, seitsmekordselt kätte makstama!” Ja Issand pani Kainile märgi, et leidja teda maha ei lööks.
GEN.4.16	Ja Kain läks ära Issanda palge eest ning elas Noodimaal, hommiku pool Eedenit.
GEN.4.17	Ja Kain sai ühte oma naisega, kes sai käima peale ja tõi ilmale Hanoki; ja ta ehitas ühe linna ning nimetas selle linna oma poja Hanoki nime järgi.
GEN.4.18	Ja Hanokile sündis Iirad, Iiradile sündis Mehuujael, Mehuujaelile sündis Metuusael, Metuusaelile sündis Lemek.
GEN.4.19	Ja Lemek võttis enesele kaks naist: ühe nimi oli Aada ja teise nimi oli Silla.
GEN.4.20	Ja Aada tõi ilmale Jaabali, kes sai nende isaks, kes elasid telkides ja kasvatasid karja.
GEN.4.21	Ja tema venna nimi oli Juubal, kes sai kõigi kandlelööjate ja vilepuhujate isaks.
GEN.4.22	Ja Silla tõi ilmale Tuubal-Kaini, kes õpetas sepist taguma kõiki, kes tegid vask- ja raudsepa tööd; ja Tuubal-Kaini õde oli Naama.
GEN.4.23	Ja Lemek ütles oma naistele: „Aada ja Silla, kuulge mu häält, te Lemeki naised, pange tähele mu kõnet! Jah, haava pärast ma tapan mehe ja verme pärast nooruki!
GEN.4.24	Kui Kaini pärast makstakse kätte seitse korda, siis Lemeki pärast seitsekümmend seitse korda!”
GEN.4.25	Ja Aadam sai taas ühte oma naisega, kes tõi ilmale poja ja pani temale nimeks Sett, öeldes: „Jumal andis mulle teise järeltulija Aabeli asemele, kuna Kain ta tappis.”
GEN.4.26	Ja Setile sündis ka poeg, ja ta pani temale nimeks Enos. Sel ajal hakati Issand nime appi hüüdma.
GEN.5.1	See on Aadama sünniraamat. Sel päeval, mil Jumal inimese lõi, tegi Ta tema Jumala sarnaseks.
GEN.5.2	Ta lõi tema meheks ja naiseks, ja Ta õnnistas neid ning andis neile loomisepäeval nime: inimene!
GEN.5.3	Kui Aadam oli elanud sada kolmkümmend aastat, siis sündis temale poeg, kes oli tema sarnane, tema nägu, ja ta pani sellele nimeks Sett.
GEN.5.4	Ja Aadama elupäevi oli pärast Seti sündimist kaheksasada aastat, ja temale sündis poegi ja tütreid.
GEN.5.5	Nõnda oli kõiki Aadama elupäevi, mis ta elas, üheksasada kolmkümmend aastat; siis ta suri.
GEN.5.6	Kui Sett oli elanud sada viis aastat, siis sündis temale Enos.
GEN.5.7	Ja Sett elas pärast Enosi sündimist kaheksasada seitse aastat, ja temale sündis poegi ja tütreid.
GEN.5.8	Nõnda oli kõiki Seti elupäevi üheksasada kaksteist aastat; siis ta suri.
GEN.5.9	Kui Enos oli elanud üheksakümmend aastat, siis sündis temale Keenan.
GEN.5.10	Ja Enos elas pärast Keenani sündimist kaheksasada viisteist aastat, ja temale sündis poegi ja tütreid.
GEN.5.11	Nõnda oli kõiki Enosi elupäevi üheksasada viis aastat; siis ta suri.
GEN.5.12	Kui Keenan oli elanud seitsekümmend aastat, siis sündis temale Mahalalel.
GEN.5.13	Ja Keenan elas pärast Mahalaleli sündimist kaheksasada nelikümmend aastat, ja temale sündis poegi ja tütreid.
GEN.5.14	Nõnda oli kõiki Keenani elupäevi üheksasada kümme aastat; siis ta suri.
GEN.5.15	Kui Mahalalel oli elanud kuuskümmend viis aastat, siis sündis temale Jered.
GEN.5.16	Ja Mahalalel elas pärast Jeredi sündimist kaheksasada kolmkümmend aastat, ja temale sündis poegi ja tütreid.
GEN.5.17	Nõnda oli kõiki Mahalaleli elupäevi kaheksasada üheksakümmend viis aastat; siis ta suri.
GEN.5.18	Kui Jered oli elanud sada kuuskümmend kaks aastat, siis sündis temale Eenok.
GEN.5.19	Ja Jered elas pärast Eenoki sündimist kaheksasada aastat, ja temale sündis poegi ja tütreid.
GEN.5.20	Nõnda oli kõiki Jeredi elupäevi üheksasada kuuskümmend kaks aastat; siis ta suri.
GEN.5.21	Kui Eenok oli elanud kuuskümmend viis aastat, siis sündis temale Metuusala.
GEN.5.22	Ja Eenok kõndis pärast Metuusala sündimist ühes Jumalaga kolmsada aastat, ja temale sündis poegi ja tütreid.
GEN.5.23	Nõnda oli kõiki Eenoki elupäevi kolmsada kuuskümmend viis aastat.
GEN.5.24	Eenok kõndis ühes Jumalaga, ja siis ei olnud teda enam, sest Jumal võttis tema ära.
GEN.5.25	Kui Metuusala oli elanud sada kaheksakümmend seitse aastat, siis sündis temale Lemek.
GEN.5.26	Ja Metuusala elas pärast Lemeki sündimist seitsesada kaheksakümmend kaks aastat, ja temale sündis poegi ja tütreid.
GEN.5.27	Nõnda oli kõiki Metuusala elupäevi üheksasada kuuskümmend üheksa aastat; siis ta suri.
GEN.5.28	Kui Lemek oli elanud sada kaheksakümmend kaks aastat, siis sündis temale poeg
GEN.5.29	ja ta pani sellele nimeks Noa ning ütles: „See trööstib meid meie töös ja käte vaevas maa pärast, mille Issand on neednud!”
GEN.5.30	Ja Lemek elas pärast Noa sündimist viissada üheksakümmend viis aastat, ja temale sündis poegi ja tütreid.
GEN.5.31	Nõnda oli kõiki Lemeki elupäevi seitsesada seitsekümmend seitse aastat; siis ta suri.
GEN.5.32	Ja kui Noa oli viissada aastat vana, siis sündisid Noale Seem, Haam ja Jaafet.
GEN.6.1	Ja kui inimesi hakkas maa peal palju saama ja neile sündis tütreid,
GEN.6.4	Sel ajal, ja veel pärastpoolegi, kui Jumala pojad heitsid inimeste tütarde juurde ja need neile lapsi ilmale tõid, olid hiiglased maa peal: needsamad vägimehed, kes muistsest ajast on kuulsad mehed.
GEN.6.6	siis Issand kahetses, et ta inimese oli teinud maa peale, ja Ta süda valutas.
GEN.6.7	Ja Issand ütles: „Ma tahan inimese, kelle Ma olen loonud, maa pealt kaotada, niihästi inimesed kui loomad ja roomajad ja taeva linnud, sest Ma kahetsen, et Ma nad olen teinud!”
GEN.6.8	Aga Noa leidis armu Issanda silmis.
GEN.6.9	See on jutustus Noa soost: Noa oli üks õige mees, täiesti vaga oma rahvapõlve seas; Noa kõndis ühes Jumalaga.
GEN.6.10	Ja Noale sündis kolm poega — Seem, Haam ja Jaafet.
GEN.6.11	Aga maa oli Jumala palge ees raisku läinud ja vägivald täitis maad.
GEN.6.12	Ja Jumal vaatas maad, ja näe, see oli raisku läinud, sest kõik liha maa peal oli oma eluviisides raiskunud!
GEN.6.13	Ja Jumal ütles Noale: „Ma olen otsustanud teha lõpu kõigele lihale, sest maa on täis nende vägivalda, ja seepärast, vaata, Ma hävitan nad ühes maaga!
GEN.6.14	Tee enesele laev goferipuust; laev tee kambritega ja pigita seda seest ning väljast maapigiga.
GEN.6.15	Ja tee see nõndaviisi: laeva pikkus olgu kolmsada küünart, laius viiskümmend küünart ja kõrgus kolmkümmend küünart;
GEN.6.16	valmista see küünramõõdu järgi; tee laevale katus peale ja tee uks laeva küljesse; tee sellele alumine, keskmine ja ülemine lagi.
GEN.6.17	Sest vaata, Ma saadan veeuputuse maa peale ja hävitan taeva alt kõik liha, kus eluvaim sees on; kõik mis maa peal on, peab hinge heitma!
GEN.6.18	Aga sinuga Ma teen lepingu ja sina pead minema laeva, sina ja su pojad, su naine ja su poegade naised sinuga.
GEN.6.19	Ja sa pead viima laeva kõigist elavaist olendeist, kõigest lihast, igast liigist kaks, et nad koos sinuga jääksid elama: need olgu isane ja emane.
GEN.6.20	Lindudest nende liikide järgi ja loomadest nende liikide järgi, kõigist roomajaist maa peal nende liikide järgi, kõigist peavad kaks tulema sinu juurde, et nad võiksid jääda elama.
GEN.6.21	Ja sina võta enesele kõigest roast, mida süüakse, ja kogu enese juurde, et see oleks toiduks sinule ja neile.”
GEN.6.22	Ja Noa tegi kõik. Nõnda nagu Jumal teda käskis, nõnda ta tegi.
GEN.7.1	Ja Issand ütles Noale: „Mine sina ja kogu su pere laeva, sest Ma olen näinud, et sa selle rahvapõlve seas Minu ees õige oled.
GEN.7.2	Võta enesele kõigist puhtaist loomadest seitse paari, isane ja emane; ja loomadest, kes puhtad ei ole, kaks — isane ja emane.
GEN.7.3	Nõndasamuti lindudest taeva all seitse paari, isane ja emane, et nende sugu jääks elama kogu maa peale.
GEN.7.4	Sest juba seitsme päeva pärast Ma lasen vihma sadada maa peale nelikümmend päeva ja nelikümmend ööd, ja Ma kaotan maapinnalt kõik olendid, keda Ma olen teinud!”
GEN.7.5	Ja Noa tegi kõik nõnda, nagu Issand teda käskis.
GEN.7.6	Ja Noa oli kuussada aastat vana, kui uputusevesi maa peale tuli.
GEN.7.7	Ja Noa läks laeva, ja ta pojad ja ta naine ja ta poegade naised temaga, veeuputuse eest.
GEN.7.8	Puhtaist loomadest ja loomadest, kes puhtad ei ole, ja lindudest ja kõigist, kes maa peal roomavad,
GEN.7.9	tulid kahekesi Noa juurde laeva isane ja emane, nõnda nagu Jumal Noale oli käsu andnud.
GEN.7.10	Ja seitsme päeva pärast tuli veeuputus maa peale.
GEN.7.11	Sel aastal, mil Noa kuussada aastat vanaks sai, teise kuu seitsmeteistkümnendal päeval, otse selsamal päeval puhkesid kõik suure sügavuse allikad ja taeva luugid tehti lahti.
GEN.7.12	Ja sadu tuli maa peale nelikümmend päeva ja nelikümmend ööd.
GEN.7.13	Otse selsamal päeval läksid Noa ja Noa pojad Seem ja Haam ja Jaafet ning Noa naine ja kolm ta poegade naist üheskoos laeva,
GEN.7.14	nemad ja kõik loomad oma liikide järgi, ja kõiksugu lojused oma liikide järgi, ja kõiksugu roomajad, kes maa peal roomavad, oma liikide järgi, ja kõiksugu lendajad oma liikide järgi, kõik linnud, kõik tiivulised.
GEN.7.15	Ja need tulid Noa juurde laeva kahekaupa kõigest lihast, kus eluvaim sees on.
GEN.7.16	Ja need, kes sisse läksid, olid isane ja emane kõigest lihast, nõnda nagu Jumal temale oli käsu andnud. Ja Issand sulges tema tagant.
GEN.7.17	Siis tuli nelikümmend päeva veeuputust maa peale; vesi tõusis ja tõstis laeva, nõnda et see kerkis kõrgele maast.
GEN.7.18	Ja vesi võttis võimust ning seda sai maa peal väga palju, ja laev liikus veepinnal.
GEN.7.19	Ja vesi võttis maa peal üpris väga võimust ja kõik kõrged mäed kogu taeva all kaeti.
GEN.7.20	Vesi tõusis neist viisteist küünart kõrgemale, nõnda et mäed olid kaetud.
GEN.7.21	Siis heitis hinge kõik liha, mis maa peal liikus, niihästi linnud kui lojused ja metselajad ja kõik roomajad, kes maa peal roomasid, ja kõik inimesed ka.
GEN.7.22	Kõik, kellel eluvaimu hingus ninas oli, kõik kes olid kuival maal, need surid.
GEN.7.23	Nõnda hävitati kõik olendid, kes maa peal olid; niihästi inimesed kui loomad ja roomajad ja linnud taeva all hävitati maa pealt, ja jäid järele ainult Noa ja need, kes temaga laevas olid.
GEN.7.24	Ja vesi võimutses maa peal sada viiskümmend päeva.
GEN.8.1	Siis Jumal mõtles Noale ja kõigile metselajaile ja kõigile lojustele, kes temaga laevas olid; ja Jumal laskis tuult puhuda üle maa ja vesi alanes.
GEN.8.2	Ja sügavuse allikad ja taevaluugid suleti, ja sadu taevast keelati.
GEN.8.3	Ja vesi taganes maa pealt, taganes üha, ja saja viiekümne päeva pärast oli vesi vähenenud.
GEN.8.4	Ja seitsmenda kuu seitsmeteistkümnendal päeval peatus laev Ararati mägede kohal.
GEN.8.5	Ja vesi vähenes üha kümnenda kuuni; kümnenda kuu esimesel päeval paistsid mägede tipud.
GEN.8.6	Ja kui nelikümmend päeva oli möödunud, siis Noa avas laeva akna, mille ta oli teinud,
GEN.8.7	ja laskis välja ühe kaarna; see lendas sinna ja tänna, kuni vesi maa pealt oli kuivanud.
GEN.8.8	Siis ta laskis enese juurest välja ühe tuvi, et näha, kas vesi on maa pealt kahanenud.
GEN.8.9	Aga tuvi ei leidnud oma jalavarvastele puhkepaika ja tuli tagasi tema juurde laeva, sest vesi oli veel kogu maa peal; siis ta pistis oma käe välja ja võttis tema ning pani enese juurde laeva.
GEN.8.10	Ja ta ootas veel teist seitse päeva ning laskis taas ühe tuvi laevast välja.
GEN.8.11	Ja õhtul tuli tuvi tema juurde, ja vaata, tal oli nokas haljas õlipuu leht! Siis Noa mõistis, et vesi oli maa pealt kahanenud.
GEN.8.12	Ja ta ootas veel teist seitse päeva ning laskis ühe tuvi välja, aga see ei tulnud enam tagasi tema juurde.
GEN.8.13	Ja kuuesaja esimesel aastal, esimese kuu esimesel päeval, oli vesi maa pealt kuivanud. Ja Noa võttis ära laeva katuse ja vaatas, ja ennäe, maapind oli tahenenud!
GEN.8.14	Ja teise kuu kahekümne seitsmendal päeval oli maa täiesti kuiv.
GEN.8.15	Ja Jumal kõneles Noaga ning ütles:
GEN.8.16	„Mine laevast välja, sina ja su naine ja su pojad ja su poegade naised ühes sinuga!
GEN.8.17	Kõik loomad, kes su juures on, kõik liha, niihästi linnud kui lojused, ja kõik roomajad, kes maa peal roomavad, vii enesega ühes välja, et nad sigineksid maa peal, oleksid viljakad ja et neid maa peale saaks palju!”
GEN.8.18	Ja Noa läks välja ja ta pojad ja ta naine ja ta poegade naised ühes temaga.
GEN.8.19	Kõik loomad, kõik roomajad ja kõik linnud, kes liiguvad maa peal, läksid laevast välja sugukondade kaupa.
GEN.8.20	Ja Noa ehitas Issandale altari ja võttis kõigist puhtaist loomadest ja kõigist puhtaist lindudest ning ohverdas altaril põletusohvreid.
GEN.8.21	Ja Issand tundis meeldivat lõhna ja Issand mõtles Oma südames: „Ma ei nea enam maad inimese pärast, sest inimese südame mõtlemised on kurjad ta lapsepõlvest peale; Ma ei hävita ka enam kõike, mis elab, nõnda nagu Ma olen teinud.
GEN.8.22	Niikaua kui püsib maa, ei lõpe külv ega lõikus, külm ega kuum, suvi ega talv, päev ega öö!”
GEN.9.1	Ja Jumal õnnistas Noad ja tema poegi ning ütles neile: „Olge viljakad, teid saagu palju ja täitke maa!
GEN.9.2	Teid peavad kartma ja pelgama kõik maa loomad ja kõik taeva linnud, kõik, kes maa peal liiguvad, ja kõik mere kalad; need on teie kätte antud.
GEN.9.3	Kõik, mis liigub ja elab, olgu teile roaks; kõik selle annan Ma teile nagu halja rohugi.
GEN.9.4	Kummatigi ei tohi te liha süüa ta hingega, see on: ta verega!
GEN.9.5	Tõepoolest, teie eneste verd Ma nõuan taga: Ma nõuan seda kõigilt loomadelt, ja Ma nõuan inimestelt vastastikku inimese hinge!
GEN.9.6	Kes valab inimese vere, selle vere valab inimene, sest inimene on tehtud Jumala näo järgi!
GEN.9.7	Ja teie olge viljakad, teid saagu palju, siginege maa peal ja paljunege seal!”
GEN.9.8	Ja Jumal rääkis Noa ja tema poegadega, kes ta juures olid, ning ütles:
GEN.9.9	„Mina, vaata, teen lepingu teiega ja teie järglastega pärast teid,
GEN.9.10	ja iga elava hingega, kes teie juures on: lindudega, lojustega ja kõigi metselajatega, kes teie juures on, kõigiga, kes laevast välja tulid, kõigi maa loomadega.
GEN.9.11	Ma teen teiega lepingu, et enam ei hävitata kõike liha uputuse veega ja veeuputus ei tule enam maad rikkuma!”
