MAT.1.1	Yesu Krisita doho nala rɛ nyɛ. Ʋ naabaa rɛ gyɩ yaa Deviti, Deviti mɛ naabaa yaa Abɩraham.
MAT.2.22	Amɛ Gyosɛfʋ aa ko nɩɩ anɩɩ Kuwori Hɛrɔtɩ sʋba rɛ, ka ʋ biye Akɩlɔɔsɩ di koro Gyudɩya paalʋʋ tɩyaŋ, kambɩŋ gyɩ fa kana ʋ rɛ doŋ mʋyɩ wɩya. Ɛɛ rɛ Wɩɩsɩ bɩl basɩ tɩya ʋ duwoso tɩyaŋ abee sɩfɩyasɩ anɩɩ ʋ mʋ hɔŋ Galili paalʋʋ tɩyaŋ. 
MAT.2.23	Ʋ aa mʋʋ Galili paalʋʋ, ʋ mʋʋ hɔŋ Nazarɛti tɩyaŋ nɛ. Nyɛ yaa rɛ dɩ wɩya hʋ Wɩɩsɩ aa tɩŋ ʋ tɩŋdaala hʋ tɩyaŋ basɩ ko yaa wɩtɩɩ. Ba gyɩ basa rɛ a baa,
MAT.2.23	“Ba sɩ kana ʋ kɩ yɩrɩ Nazarɛti tɩɩna.”
MAT.3.1	Saŋa no tɩyaŋ nɛ baal kɩdɩgɩ ba aa yɩrɩ Gyɔɔŋ Wɩɩsɩnɩɩfool hʋ mɛ sii ko Gyudɩya paalʋʋ, a we pogo tɩyaŋ a piili kɩ basɩ Wɩɩsɩ wɩya. 
MAT.3.2	Ʋ gyɩ basɩ tɩya ba rɛ a baa, “Ma bɩrɩmɩ lɩɩ ma wɩbɔmɔ tɩyaŋ, beewɩya Wɩɩsɩbee koro hʋ kpaga rɛ!” 
MAT.3.3	Gyɔɔŋ no wɩya rɛ Wɩɩsɩ gyɩ tɩŋ ʋ tɩŋdaal Azaaya tɩyaŋ a gyɩ basɩ gɛɛ. Ʋ gyɩ baa, dɩ Wɩɩsɩ baa,
MAT.3.3	“Nal lɛ we pogo tɩyaŋ a heeli kɩ basɩ,
MAT.3.3	“Ma marɩ ma tɩsɩ dɩ á Tɩɩna ko kɩ tɩŋa anɩɩ ma aa marɩ ŋmaŋ-deginii a pɔ nɩbal koyi gɛɛ.”
MAT.3.4	Nyɔgɩmaa pʋna gannɩ rɛ Gyɔɔŋ gyɩ fa kɩ laalɩ, aŋ aa kpa tɛpɩɩŋbii vʋwa ʋ tɩŋa. Nyɩŋgɩrɩgɩsɩ abee tʋʋ rɛ gyɩ yaa ʋ kɩdiiliye. 
MAT.3.5	Nala gyɩ lɩɩ Gyerusalɛm abee Gyudɩya paalʋʋ abee tɔnɩ hʋ buloŋ aa kpaga Gyɔɔdaŋ fuwo hʋ buloŋ nɛ, a kɩ ko ʋ lee. 
MAT.3.6	Ba aa ko lusi ba wɩbɔmɔ aŋ tuu Gyɔɔdaŋ fuwo hʋ, ʋ fo ba wɩɩkyʋwalnɩɩ.
MAT.3.7	Amɛ Gyɔɔŋ aa ko na dɩ Farasiima abee Sadusiima yʋga aa kɩ ko ʋ lee dɩ ʋ fo ba wɩɩkyʋwalnɩɩ gɛɛ, ɛɛ rɛ ʋ basɩ tɩya ba a baa, “Ɛɛdɔŋ dʋma! Ma dawarɩ yʋga ma tɩyaŋ! Ma bɩɩna ma sɩ wuwo fá nyʋgɩsɩ kyɛɛ hʋ Wɩɩsɩ aa sɩ di nala sarɩya rɛ koo? 
MAT.3.8	Ma kɩ yaa wɩya hʋ aa daga anɩɩ ma bɩrɩma lɩɩ ma wɩbɔmɔ tɩyaŋ nɛ, 
MAT.3.9	aŋ ta bɩɩna anɩɩ Abɩraham aa yaa ma naabaa wɩya, Wɩɩsɩ bɩ sɩ dɔgɩsɩ ma. Ma leŋ dɩ ŋ basɩ tɩya ma anɩɩ Wɩɩsɩ sɩ wuwo leŋ dɩ bʋwa no ma aa naa nyɛ bɩrɩmɩ Abɩraham doho nala. 
MAT.3.10	Ma na, Wɩɩsɩ yaa siri abee ʋ saa rɛ dɩ ʋ ŋmaŋ tɩɩsɩ lo. Tɩya hʋ buloŋ aa bee nɔŋ nɔŋweliye, ʋ sɩ ŋmana ʋ lo a paa we diŋ tɩyaŋ.
MAT.3.11	Nɩɩ dʋŋ nɛ ŋ kɛ kaŋ kɩ fo ma wɩɩkyʋwalnɩɩ, dɩ gɛɛ daga anɩɩ ma bɩrɩma lɩɩ ma wɩbɔmɔ tɩyaŋ nɛ, amɛ nal hʋ aa sɩ tɩŋa ŋ hal ko, ʋ kɛ sɩ kpa Wiyesi Welii hʋ abee diŋ a fo ma wɩɩkyʋwalnɩɩ. Ʋ rɛ te ŋ. Ŋ paalɩ bɩ maga dɩ ŋ kol ʋ naatɔbɔ mɛ gba. 
MAT.3.12	Ʋ kol ʋ mɩkyaarɩgbaha rɛ, dɩ ʋ ko ŋmaa ʋ mɩya buloŋ teŋ, dɩ ʋ kpa gbaha hʋ a kyaarɩ lɩɩ miŋbii hʋ a we ʋ busol tɩyaŋ aŋ kpa mɩŋgyɔrʋ hʋ we diŋ tɩyaŋ. Diŋ hʋ aa bɩ sɩ maakyiye dɩsɩ.”
MAT.3.13	Saŋa hʋ Gyɔɔŋ gyɩ aa basɩ Wɩɩsɩ wɩya aŋ kɩ fo nala wɩɩkyʋwalnɩɩ hʋ tɩyaŋ nɛ, Yesu sii lɩɩ Galili paalʋʋ a ko Gyɔɔŋ lee Gyɔɔdaŋ fuwo hʋ tɩyaŋ dɩ ʋ fo ʋ wɩɩkyʋwalnɩɩ. 
MAT.3.14	Amɛ Gyɔɔŋ aa naa gɛɛ, ʋ kɩ lʋga dɩ Yesu bɩrɩmɩ ʋ hakɩla. Ɛɛ rɛ Gyɔɔŋ basɩ tɩya ʋ a baa, “Ɩ rɛ maga dɩ ɩ fo ŋ wɩɩkyʋwalnɩɩ, aŋka ɩ mɩɩgɩ ko ŋ lee dɩ mɩyaŋ fo ɩ wɩɩkyʋwalnɩɩ?” 
MAT.3.15	Ɛɛ rɛ Yesu basɩ tɩya ʋ a baa, “Ɩ kɛ yaa gɛɛ ŋ aa baa ɩ yaa. Nyɛ rɛ sɩ leŋ dɩ á yaa wɩya hʋ buloŋ Wɩɩsɩ aa kyɛɛ.” Ɛɛ rɛ Gyɔɔŋ laa nyʋwa, a fo Yesu wɩɩkyʋwalnɩɩ. 
MAT.3.16	Gyɔɔŋ aa yaŋ fo Yesu wɩɩkyʋwalnɩɩ hʋ ko teŋ, ɛɛ rɛ Yesu mɩɩgɩ lɩɩ nɩɩ hʋ tɩyaŋ a ko dɩ ʋ lɩɩ, dɩ ʋ naa wɩɩsɩnyuu lɔgɔ suri. Ka ʋ na Wɩɩsɩ Wiyesi Welii hʋ a kɩɩ gɛɛ anɩɩ kokomo, a ko tuu saga ʋ tɩyaŋ. 
MAT.3.17	Doŋ tɩyaŋ nɛ, ʋ nɩɩ taal dɩ ʋ lɩɩ wɩɩsɩnyuu a baa, “Ŋ biikyoolii rɛ nyɛ. Ŋ teŋ fɩyɛla rɛ ʋ tɩyaŋ.”
MAT.4.1	Ɛɛ rɛ Wɩɩsɩ Wiyesi Welii hʋ kpa Yesu gyʋʋ pogo. Doŋ tɩyaŋ nɛ Sɩtaanɩ magɩsɩ ʋ. 
MAT.4.2	Nyɛ rɛ Yesu gyɩ we pogo hʋ tɩyaŋ kyɛyɛ mɔllɩ balɩya dɩ ʋ bɩ dii kɩŋ buloŋ tebine bee wɩɩhaa buloŋ. Ɛɛ rɛ losi gyɩ kana ʋ. 
MAT.4.3	Doŋ nɛ Sɩtaanɩ ko basɩ tɩya ʋ a baa, “Na ɩ yaa Wɩɩsɩ Biye rɛ, ɛɛ kɛ leŋ dɩ bʋwa no bɩrɩmɩ kɩdiiliye.” 
MAT.4.4	Ɛɛ rɛ Yesu basɩ tɩya ʋ a baa, “Ba saba Wɩɩsɩ teŋ tɩyaŋ nɛ a baa,
MAT.4.4	“Kɩdiiliye dʋŋ daa aa tɩya nihuwobiŋ mɩɩbol,
MAT.4.4	amɛ wɩɩ buloŋ aa lɩɩ Wɩɩsɩ nyʋwa tɩyaŋ mɛ aa tɩya nihuwobiŋ mɩɩbol lɛ.”
MAT.4.5	Ɛɛ rɛ Sɩtaanɩ kaŋ Yesu mʋ Gyerusalɛm, a kana ʋ mʋ gyɩŋ Wɩɩkyʋwaldɩɩbal hʋ nyugbaŋfara, 
MAT.4.6	aŋ basɩ tɩya ʋ a baa, “Na ɩ yaa Wɩɩsɩ Biye rɛ, ɛɛ kɛ sɩŋ daha aŋ gyaa tuu kyigisi taŋha tɩyaŋ. Beewɩya ba saba Wɩɩsɩ teŋ tɩyaŋ nɛ a baa dɩ Wɩɩsɩ baa,
MAT.4.6	“Ŋ sɩ leŋ dɩ ŋ malɩkasɩ
MAT.4.6	kɩ pɔ ɩ. Ba sɩ kyeŋ kana ɩ,
MAT.4.6	dɩ ɩ naaŋ mɛ ta dige taŋha.”
MAT.4.7	Ɛɛ rɛ Yesu basɩ tɩya ʋ a baa,
MAT.4.7	“Ba bɩl saba Wɩɩsɩ teŋ logiŋ kɩdɩgɩ tɩyaŋ nɛ a baa,
MAT.4.7	“Ta kɩ magɩsɩ ɩ Tɩɩna Wɩɩsɩ.”
MAT.4.8	Ɛɛ rɛ Sɩtaanɩ bɩl kaŋ Yesu mʋ gyɩŋ dogiŋbal kɩdɩgɩ nyuu a daga ʋ dʋnɩya koro abee ʋ weliŋ buloŋ fine, 
MAT.4.9	aŋ basɩ tɩya ʋ a baa, “Ŋ sɩ kpa kɩna no buloŋ tɩya ɩ, dɩ ɩ rɛ sɩ tuu gbinni a kyʋwalɩ ŋ abee gyɩrɩma.” 
MAT.4.10	Ɛɛ rɛ Yesu basɩ tɩya ʋ a baa, “Sɩtaanɩ, fasɩ mʋ ŋ sɩyaŋ! Wɩɩsɩ teŋ tɩyaŋ ba saba rɛ a baa, Kɩ kyʋwalɩ ŋ Tɩɩna Wɩɩsɩ dʋŋ abee gyɩrɩma aŋ kɩ tɩŋa ʋ.” 
MAT.4.11	Doŋ tɩyaŋ nɛ Sɩtaanɩ leŋ Yesu aŋ kpa mʋ. Doŋ nɛ ka malɩkasɩ ko tuu kyiyeli ʋ.
MAT.4.12	Yesu aa ko nɩɩ dɩ ba kaŋ Gyɔɔŋ Wɩɩsɩnɩɩfool hʋ tɔ dɩyaŋ, ɛɛ rɛ ʋ sii lɩɩ Gyudɩya paalʋʋ tɩyaŋ a kpa mʋ Galili paalʋʋ. 
MAT.4.13	Nyɛ rɛ ʋ sii kpa mʋ Nazarɛti a bɩl lɩɩ doŋ a mɩɩgɩ kpa mʋ hɔŋ Kapɛɛnam tɩyaŋ. Tɔɔ no kpaga Galili fuwobal hʋ rɛ, a we Zebulɔŋ abee Nafitali paalʋʋ tɩyaŋ. 
MAT.4.14	Wɩɩ no gyɩ yaa rɛ dɩ wɩɩ hʋ Wɩɩsɩ gyɩ aa tɩŋ ʋ tɩŋdaal Azaaya tɩyaŋ basɩ ko yaa wɩtɩɩ.
MAT.4.15	Ʋ gyɩ baa,
MAT.4.15	“Ma nala hʋ aa we Zebulɔŋ abee Nafitali paalʋʋ aa kyaasɩ Galili fuwobal hʋ, Gyɔɔdaŋ fuwobal hʋ kyolo, abee
MAT.4.15	Galili paalʋʋ nala, lee hʋ tɩyaŋ nala hʋ aa bɩ yaa Gyuuma aa yʋga,
MAT.4.15	ma nɩɩ daha,
MAT.4.16	“Nala hʋ aa we bilhuu tɩyaŋ,
MAT.4.16	ba na pʋlʋŋbal lɛ.
MAT.4.16	Nala hʋ mɛ buloŋ aa bɩ gyɩŋ Wɩɩsɩ,
MAT.4.16	Ba naa Wɩɩsɩ laatayɩ rɛ ʋ kɩɩ gɛɛ anɩɩ pʋlʋŋ nɛ kyaanɩ we ba tɩyaŋ.”
MAT.4.17	Saŋa no tɩyaŋ nɛ Yesu gyɩ piili kɩ basɩ Wɩɩsɩ wɩya a baa, “Ma bɩrɩmɩ lɩɩ ma wɩbɔmɔ tɩyaŋ, beewɩya, Wɩɩsɩbee koro hʋ kpaga rɛ.”
MAT.4.18	Yesu gyɩ kpaa Galili fuwobal hʋ nyʋwa a kpala kɩ baŋ dɩ ʋ naa fuwonaŋkasɩla balɩya dɩ ba aa kasɩ fuwonamɩɩsɩ abee ba keliŋsi. Ba gyɩ yaa nɩmmabalɩya rɛ. Kɩdɩgɩ feŋ nɛ yaa Siimɔŋ (ʋ feŋ kɩdɩgɩ mɛ rɛ yaa Piita.) Ʋ naabiye hʋ mɛ feŋ nɛ Aŋduru. 
MAT.4.19	Ɛɛ rɛ Yesu basɩ tɩya ba a baa, “Ma ko kɩ tɩŋa ŋ hal. Ŋ sɩ daga ma gɛɛ ma aa sɩ kɩ kasɩ nihuwobisi.” 
MAT.4.20	Haŋ lagɩlagɩbiye hʋ ba kpa ba keliŋsi hʋ ta, aŋ sii tɩŋa ʋ hal. 
MAT.4.21	Yesu bɩl kpaa kɩ mʋ dɩ ʋ naa Gyemsi bee ʋ naabiye Gyɔɔŋ abee ba kuwo Zebedi, dɩ ba we nɩɩduworiboro tɩyaŋ a kɩ marɩ ba keliŋsi. 
MAT.4.22	Ɛɛ rɛ Yesu yɩrɩ ba, ba guu sii a leŋ ba nɩɩduworiboro hʋ abee ba kuwo buloŋ ta, aŋ tɩŋ Yesu hal.
MAT.4.23	Ɛɛ rɛ Yesu gɔllɩ Galili paalʋʋ buloŋ a kɩ daga nala Gyuuma wɩɩkyʋwaldɩɩsɩ tɩyaŋ, a basɩ Wɩɩsɩ koro hʋ wɩweliye wɩya a kɩ tɩya nala aŋ pɛ kɩ tɩɩbɩ nala aa kaŋ wɩɩla iriŋ iriŋ buloŋ mɛ. 
