MAT.1.1	Nde nguinu scua nii ta nten 'in Jesucristo, sñe' ta nten 'in Davi, cui' sñe' ta nten 'in Abraham. 
MAT.1.25	Una la cua' mdiyaan cuhui' chendyu xacan' m'ni ca'an yu 'in nten 'in yu, lo' mdi'in tyaa yu nii cuhui' ca naan cuhui' Jesús, nde sñe' ne' nu culoo.
MAT.2.1	Xa nu ncua cune' Jesús quichen Belén se'en lyi'ya loo Judea, cui' xa nu lca yu Herode ree, xacan' mdiyaa tucua snan yu mago quichen Jerusalén nu mdo'o tijyo', luhua' se'en nchcua cucha, 
MAT.2.2	lo' mñicha' yu: ¿La ndi'in yu nu lca ree 'in ne' judio, yu nu ngula can'? Si'yana cua' na'an hua mdo'o tucua sca cuii, lo' nchcui' na cha' 'in yu, ljyaan hua si'yana cu'ni tnu hua 'in yu. 
MAT.2.3	Xa ynan yu ree Herode cha' re, msu'hua yu cha' tiquee yu, lo' cui' cuaña'an quichen Jerusalén. 
MAT.2.4	M'ni yu cha' nguio' ti'in nchgaa nu ntsu'hui cunta cha' 'in laa, tsatlyu lo'o ne' escriba nu ndi'in quichen can', lo' mñicha' yu 'in ne' cha' la ca ntsu'hui cha' cula ñi nu lca Cristo. 
MAT.2.5	Mxcuen ne' 'in yu: Cui' quichen Belén se'en lyi'ya loo Judea, si'yana ndeña'an nguinu scua cha' nu mxiycui' Ndiose 'in nguso 'in ñi cua' s'ni: 
MAT.2.6	—Nu'huin Belén, cui' quichen nu m'ni ca'an 'in Judá, a lca um nu chin' la cha' 'in lja nu ndon loo lati se'en lyi'ya loo Judea, si'yana loo nu'huin ntsu'hui cha' tyi'o sca nu culo ca tñan, nu chu'hui cunta 'in quichen 'ñan nu lca Israel—. 
MAT.2.7	Xacan' yu Herode msi'ya cunan ti yu 'in yu mago can', lo' mñicha' lyicua yu 'in, cha' ti' ñi xaa mdo'o tucua cuii can', 
MAT.2.8	xacan' ngua'an tñan yu 'in tsaa quichen Belén, lo' juin yu: Yaa um, lo' cunan tsu'hue um suun ña'an ndi'in cha' 'in cuhui' can', xa quija lyoo um 'in cuhui', xitucui um lo' quitsa' um 'ñan, si'yana lo'on nan' tsa y'nin tnun 'in cuhui'. 
MAT.2.9	Xa mdyi ycui' ree can' lo'o yu, mdo'o yu nguiaa yu, lo' yuhue 'a ti' yu si'yana xiya' mdo'o tucua cuii nu cua' na'an yu, luhua' se'en nchcua cucha, lo' mducua loo na loo yu tsaya' mdiyaa na chcua se'en ndi'in cuhui' can', lo' can' ycan' tucui na. 
MAT.2.10	Ndyijyin ya' tsu'hue ntsu'hui tiquee yu xa na'an yu 'in na. 
MAT.2.11	Xa yten yu ña'an can', na'an yu 'in cuhui' can' lo'o María jyi'an cuhui', mdyi'ya xtyin' yu lo' m'ni tnu yu 'in cuhui', msla yu se'en ntsu'hui cha' tsu'hue nu ljyan lo'o yu, lo' mdaa yu na oro 'in cuhui', lo'o na xityi'i nu ndiquin tucua ne' tloo Ndiose, lo'o mirra. 
MAT.2.12	Yato'o jui nu mtsa' 'in yu ni' cula, si'yana a xitucui 'a yu se'en ndi'in yu Herode, can' cha' xca tucueen mxitucui yu nde quichen tyi yu.
MAT.2.13	Xa cua' nguiaa yu mago can', sca angujle 'in Ñi X'nan na ngulo'o tloo 'in yu See can' ni' cula, lo' juin 'in yu: Ndla ti cu'ni, lo' tsa lo'o 'in cuhui' cua lo'o jyi'an cuhui' se'en lca Egipto, can' tyi'in um la xa nu nan' quitsan' 'in, si'yana yu Herode nan yu ña'an nu cujui yu 'in cuhui'. 
MAT.2.14	Cui' xaa mdyi'o sla yu, lo' ticui' tla can' mdo'o yu nguiaa yu lo'o cuhui' can' lo'o jyi'an cuhui' se'en lca Egipto. 
MAT.2.15	Can' ndi'in yu xa ngujui yu Herode, yato'o cha' re si'yana chcua cha' nu mxiycui' Ñi X'nan na 'in nguso 'in ñi cua' s'ni, lo' nchcui' na: —Se'en lca Egipto msi'yan 'in Sñen'—. 
MAT.2.16	Lo' yato'o lyee 'a ycuen tique' yu Herode, xa ngujlyo ti' yu si'yana nguñilyi'o yu mago 'in yu, ngulo yu tñan si'yana caja nchgaa cuhui' nu ndi'in quichen Belén lo'o chcua tyi'iin tso', tsalca cuhui' nu ndiyaa tucua yjan, tsaña'an cunta nu ngulo yu lo'o suun nu mdaa yu mago can'. 
MAT.2.17	Cuaña'an mducua cha' nu mxiycui' Ndiose 'in yu ncua naan Jeremía xa juin yu: 
MAT.2.18	—Ngune msi'ya yja cueen ne' quichen Ramá, nguinan ne', ti'i nga'an 'in Raquel si'ya sñe', lo' a ncua lca tiquee caja nu tyaa cha' tnu tiquee 'in si'yana ngujui sñe'—. 
MAT.2.19	Xa cua' ngujui yu Herode can', ngulo'o tloo sca angujle 'in Ñi X'nan na 'in yu See can' ni' cula, se'en ndi'in yu quichen Egipto, 
MAT.2.20	lo' juin 'in yu: Tyaa juesa xitucui se'en lca Israel lo'o cuhui' cua lo'o jyi'an cuhui', si'yana cua' ngujui yu nu ncua ti' cujui 'in cuhui'. 
MAT.2.21	Xacan' mxitucui jun lo'o cuhui' can', lo' nguila jun se'en lca Israel. 
MAT.2.22	Xa ynan yu cha' si'yana yu Arquelao ndlo yu tñan se'en lyi'ya loo Judea, tñan loo Herode sti yu, ytsen yu quila yu can', una jui nu mtsa' 'in yu ni' cula, can' cha' mdo'o yu nguiaa yu se'en lyi'ya loo Galilea. 
MAT.2.23	Mdiya ti'in jun quichen Nazaret, cuaña'an mducua cha' nu ycui' nchgaa yu nu mxiycui' Ndiose 'in cua' s'ni, ña'an ca si'yana ca naan ñi Nazareno.
MAT.3.1	Ya tucua tsaan, yu Xuhua nu mducua tya 'in nten, mdyisnan ycui' yu cha' tsu'hue 'in Ndiose sca se'en ngutyi, cui' se'en lyi'ya loo Judea, 
MAT.3.2	lo' nchcui' yu: Xilo'o chon' um qui'ya ngui'ni um, si'yana cua' mdiyaa xaa culo Ndiose tñan 'in na. 
MAT.3.3	Nde cha' nu mxiycui' Ndiose 'in Isaía cua' s'ni: —Tyi'an yu se'en ngutyi lo' chcui' cueen yu: Cu'ni chu'hue um tucueen se'en caan Ñi X'nan na, lo' cu'ni ñi um tucueen nu ntsu'hui cha' tyijyin ñi—. 
MAT.3.4	Yu Xuhua can' lco' yu sca te' nu nguiaa' lo'o quichan' camello, lo'o sca quijyin nchcan' na sii' yu, lo' scua nu nchcu yu lca 'in sco', lo' ndyi'yo yu cuiñan' nu ntsu'hui ni' quixin'. 
MAT.3.5	Mdiyaan nten nu mdo'o quichen Jerusalén se'en ndlyu yu, lo'o quichen se'en lyi'ya loo Judea, lo'o sca chcui se'en lyi'ya loo chco tlyu Jordan, 
MAT.3.6	mducua tya yu 'in ne' chco tlyu can', lo' ñee ne' qui'ya 'in ne'. 
MAT.3.7	Xa na'an yu si'yana qui'an ne' fariseo lo'o ne' saduceo ljyaan ne' si'yana chcua tya ne', nchcui' yu lo'o ne': 'Un ta nten nu cuiñi, ¿ti nu ngulo'o 'in um si'yana xnan yu'hui um, lo' a qui'ni ca'an 'in um lo'o cha' nsin' ti' nu tyi'o tiquee Ndiose tiyaa xaa? 
MAT.3.8	Xilo'o chon' um qui'ya ngui'ni um, lo' culo'o xñan um 'in um lo'o sca chendyu nu luhui. 
MAT.3.9	A cu'ni siye' um ta ljuin um: Sñe' ta nten 'in Abraham lca hua. Cunen lo'o um sca cha': Ndiose tca cu'ni ñi cha' cutsu xca ta nten chon' quee re, lo' ca can' sñe' Abraham. 
MAT.3.10	A cunta chcuan yca cua' nducui cuta na chon' xcua' yca, can' cha' nchgaa yca nu a ndyi'yu mti ntsu'hui cha' xi'yu na, lo' tsaa na loo quii'. 
MAT.3.11	Cha' ñii si'yana nducua tyan 'in um lo'o tyi'a, si'yana cua' mxilo'o chon' um qui'ya 'in um, una nde loo la re ljyaan sca nu ndon loo la que ña'an nan', lo' ndyijyin ya' tsu'hue ntsu'hui tiqueen cha' cua na tca cui'yan snan ñi, cui' ñi tucua tya ñi 'in um lo'o Espíritu nu Luhui 'in Ndiose, a cunta lo'o quii'. 
MAT.3.12	Yaa' ñi cua' nducua tiyaa na nu ntsu'hui cha' tyuhui trigo nu cua' nguio' ti'in, lo' xu'hua se'en ñi trigo can', a cunta ntsu'hui cha' tiquin ñi quixin can', lo'o sca quii' nu a ntsu'hui 'a cha' ti' tyuhui'.
MAT.3.13	Xacan' mdo'o Jesús se'en lca Galilea, lo' mdiyaa ñi chco tlyu Jordan se'en nu tucua tya yu Xuhua 'in ñi. 
MAT.3.14	Una yu Xuhua a ncua ti' yu tucua tya yu 'in ñi, lo' juin yu: 'Un ntsu'hui cha' tucua tya um 'ñan nan', lo' nde ljyaan um si'yana nan' tucua tyan 'in um. 
MAT.3.15	Una mxcuen Jesús 'in yu: Tyaa ya', si'yana cuaña'an ntsu'hui cha' tucua na tñan nchgaa cha' nu ñi 'in Ndiose. La xacan' mslyaa yu. 
MAT.3.16	Ña'aan mducua tya Jesús mdyi'o ñi loo tyi'a, cui' ña'an lcaa nguila ni' cuaan, lo' na'an ñi ngu'ya tucua Espíritu 'in Ndiose que ñi, tsaña'an nchca ti' ndyi'ya tucua sca scun' jo'o. 
MAT.3.17	Xacan' ngune ycui' sca nu ycui' la ni' cuaan: Nde Sñen' nu ta'a lati 'ñan, tsu'hue 'a ntsu'hui tiqueen lo'o.
MAT.4.1	Xacan' Espíritu 'in Ndiose mxicu'ni 'in Jesús si'yana tsaa ñi sca se'en ngutyi, lo' can' ncua ti' laxa'an xityu 'in ñi loo qui'ya. 
MAT.4.2	Xa cua' m'ni ñi ayuna tucua yla tsaan lo' tucua yla tla, xacan' mdyisnan ngute' ti' ñi. 
MAT.4.3	Cui' ña'an lcaa yaan laxa'an tloo ñi, lo' juin 'in ñi: Cha' nu'huin lca Sñe' Ndiose, chcui' lo'o quee re lo' chca na jaslya. 
MAT.4.4	Mxcuen ñi 'in, ndeña'an nchcui' quityi 'in Ndiose: —Si'i tsaloo ti si'ya cha' nchcu ndyu'hui nten chendyu, cui' ca nu si'ya nchgaa cha' nu nchcui' Ndiose—. 
MAT.4.5	Xacan' ya lo'o laxa'an 'in ñi quichen Jerusalén, lo' ycuen lo'o 'in ñi sca se'en cuaan lati 'in laa can', 
MAT.4.6	lo' juin 'in ñi: Cha' lca Sñe' Ndiose, tyi'o cuaan re lo' qui'ya ton la 'ya cua, si'yana nchcui' quityi 'in Ndiose: —Culo ñi tñan 'in angujle 'in ñi si'yana chu'hui cunta 'in, lo' su'hua yaa' can' 'in se'en nguiaa, si'yana a tsa ton quiya' loo quee—. 
MAT.4.7	Lo' juin Jesús: Una lo'o cha' re nguinu scua na loo quityi 'in Ndiose: —A tyijyin lyoo 'in Ndiose X'nan—. 
MAT.4.8	Xacan' ya lo'o laxa'an 'in ñi sca loo qui'ya cuaan ya', lo' ngulo'o 'in ñi sca chcui chendyu se'en ndlo ne' tñan, lo'o cha' cuilyiya' 'in ne', 
MAT.4.9	lo' juin 'in ñi: Ña'aan cha' re taan 'in, cha' tyon xtyin' lo' cu'ni tnu 'ñan. 
MAT.4.10	Mxcuen Jesús: Tyi'o tso' siin', Laxa'an, si'yana ndeña'an nchcui' quityi 'in Ndiose: —'In Ndiose X'nan ntsu'hui cha' cu'ni tnu, lo' scati 'in ñi ca ja'an—. 
MAT.4.11	Xacan' mdo'o tso' laxa'an can' sii' ñi, cui' ña'an lcaa mdiyaan angujle nu ta yaa' 'in ñi.
MAT.4.12	Xa ynan Jesús cha' si'yana yu Xuhua cua' ntsu'hui na'an chcuan, mxitucui ñi se'en lca Galilea. 
MAT.4.13	Xacan' mdo'o ñi quichen Nazaret, lo' mcha'an ti'in ñi Capernaum, sca quichen ndi'in tu'hua tiyo', cui' loo yuu nu m'ni ca'an 'in Zabulón lo'o Neftalí, 
MAT.4.14	si'yana tsato'o cha' nu mxiycui' Ndiose 'in yu Isaía cua' s'ni xa juin yu: 
MAT.4.15	—Yuu nu m'ni ca'an 'in ta nten 'in Zabulón lo'o se'en lyi'ya loo Neftalí, cui' tucueen nu ndiyaa tu'hua tiyo' xca tso' chco tlyu Jordan, se'en lyi'ya loo Galilea, se'en ndi'in ne' gentil, 
MAT.4.16	sca quichen ndi'in se'en tla yta, na'an ne' sca xaa nu tlyu, nten nu ntsu'hui tuyaa' cha' ndyija, m'ni sca xaa 'in ne'—. 
MAT.4.17	Ti' xacan' mdyisnan Jesús ngulo'o ñi 'in nten, lo' nchcui' ñi: Xilo'o chon' um qui'ya ngui'ni um, si'yana cua' mdiyaa xaa culo Ndiose tñan 'in um. 
MAT.4.18	Yato'o sca tsaan mda'an Jesús tu'hua tiyo' Galilea, lo' na'an ñi 'in yu Tyo lo'o yu Ndre ta'a ngula yu, nduguun yu quitan loo tyi'a can' si'yana yu cuta cula lca yu. 
MAT.4.19	Lo' juin ñi 'in yu: Chcui ncha'an um 'ñan, nan' culo'on 'in um cu'ni um cuta, tyicana 'in nten. 
MAT.4.20	Ticui' xaa ngula' sti yu quitan 'in yu, lo' mducui ncha'an yu 'in ñi. 
MAT.4.21	Chin' ti se'en ti' mda'an ñi, xa na'an ñi 'in tucua yu nu nda'an lo'o ta'a ngula, Jacobo lo'o yu Xuhua, ndlyu yu lo'o Zebedeo sti yu ni' sca yca na'an, nxcuan su'hua yu quitan 'in yu, lo' msi'ya ñi 'in yu. 
MAT.4.22	Cui' xaa mdyi'o yu ni' yca na'an can', ngula' ton yu 'in sti yu lo' mducui ncha'an yu 'in ñi. 
MAT.4.23	Ña'aan se'en lyi'ya loo Galilea mda'an lo'o ñi cha' tsu'hue 'in Ndiose, lo'o se'en ndiyo' ti'in ne' judio, ngulo'o ñi ña'an ntsu'hui cha' culo Ndiose tñan 'in nten, lo' m'ni chca ñi 'in nchgaa nu ti'i lo'o cuati loo quicha. 
MAT.4.24	Ña'aan se'en lyi'ya loo Siria mscua cueen cha' 'in ñi, mdiyan lo'o ne' 'in nu ti'i lo'o cuati loo quicha, a cunta lo'o nu ntsu'hui cui'in xa'an 'in, lo'o nu nxñi cui'in 'in, lo'o nu mchcun' quiya', lo' m'ni chca ñi 'in. 
MAT.4.25	Qui'an 'a nten mducui ncha'an 'in ñi nu mdo'o se'en lyi'ya loo Galilea, lo'o Decápolis, lo'o quichen Jerusalén, lo'o se'en lyi'ya loo Judea, a cunta nu mdo'o xca tso' chco tlyu Jordan.
MAT.5.1	Xa na'an Jesús si'yana qui'an 'a nten mdiya ti'in can', ycuen ñi sca se'en nu cuaan la, lo' ña'aan yten tucua ñi mdiyaa yu ta'a nda'an ñi tloo ñi. 
MAT.5.2	Xacan' mdyisnan ngulo'o ñi 'in nten, lo' juin ñi: 
MAT.5.3	Tsu'hue ca xu'hue nu ndyi'ya cha' tiyaa si'yana 'ni cha' 'in lo'o Ndiose, can' nu caja cha' tsu'hue 'in se'en ndlo Ndiose tñan. 
MAT.5.4	Tsu'hue ca xu'hue nu ti'i nga'an 'in si'ya qui'ya m'ni, can' nu caja cha' tnu tiquee 'in. 
MAT.5.5	Tsu'hue ca xu'hue nu suun nten lca, can' nu qui'ni ca'an 'in yuu se'en ndlo Ndiose tñan. 
MAT.5.6	Tsu'hue ca xu'hue nu nguite' ti' lo' nguityi ti' cha' nu ñi 'in Ndiose, can' nu cha'an yu'hui cusya 'in. 
MAT.5.7	Tsu'hue ca xu'hue nu ña'an 'tnan ti' 'in ta'a, can' nu caja nu ña'an 'tnan ti' 'in. 
MAT.5.8	Tsu'hue ca xu'hue nu luhui cusya 'in, can' nu ña'an tloo 'in Ndiose tiyaa xaa. 
MAT.5.9	Tsu'hue ca xu'hue nu ndiya nan ña'an tyi'in tsu'hue lo'o nchgaa tucui, can' nu ca naan sñe' Ndiose. 
MAT.5.10	Tsu'hue ca xu'hue nu ndijin cha' si'ya tñan tsu'hue nu ngui'ni, can' nu caja cha' tsu'hue 'in se'en ndlo Ndiose tñan. 
MAT.5.11	Tsu'hue ca xu'hue um xa caja nu ña'an ti'i, lo' chcui' ca'an 'in um si'ya cha' 'ñan, lo' tñan ne' scasca qui'ya 'in um. 
MAT.5.12	Chcui ti' um lo' ca tsu'hue chu'hui tiquee um, si'yana tlyu cha' tsu'hue qui'ni ca'an 'in um la ni' cuaan, si'yana cuaña'an jui nu m'ni lyi'o 'in yu nu mxiycui' Ndiose 'in cua' s'ni.
MAT.5.13	'Un nguiaa cha' 'in um ña'an nchca ti' teje' lja nten chendyu, cha' teje' can' tyi'o tiyen' na, ¿ña'an ta tca ca tiyen' na xiya'? A la 'a cunajo'o na, tsaloo chcuan ti na lo' caja nu culo' su'hua 'in na.
MAT.5.14	'Un nguiaa cha' 'in um ña'an nchca ti' xaa nu ndu'hui loo chendyu, cui' cuaña'an sca quichen nu ndi'in sca loo qui'ya, a tca nu a ca chcan' na. 
MAT.5.15	A tucui nu ca'an sca quii' lo' nde tucun ti'in 'in na, cui' ca nu cuaan chcua na si'yana tu'hui na xaa 'in nchgaa nu ndi'in ña'an can'. 
MAT.5.16	Cui' cuaña'an taa um ya' ca um sca xaa 'in nten chendyu, ña'an ca si'yana ca chcan' loo tñan tsu'hue nu ngui'ni um, lo' cu'ni tnu ne' 'in Stina Ndiose, ñi nu nducua ni' cuaan.
MAT.5.17	A quiñan ti' um ljyaan si'yana tyijyin lyoon 'in lee, lo'o cha' nu ngua'an scua yu nu mxiycui' Ndiose 'in cua' s'ni, si'i na xcuan tloon 'in na, cui' ca nu si'yana ca ja'an 'in na. 
MAT.5.18	Nu cha' ñi cunen lo'o um, tsalja nu ti' chcan' ni' cuaan lo'o chendyu re, ñi sca cha' nu suhue lati nducua loo lee can', lo' a tyijyin cha' 'in na cuati ña'an, cui' ca nu tsato'o nchgaa cha' nu nducua loo na. 
MAT.5.19	Can' cha' nu cucha ti'in cha' nu suhue lati ngulo Ndiose tñan, lo' cha' cuaña'an culo'o can' 'in xca tucui, a caja nu su'hua loo 'in se'en ndlo Ndiose tñan. Una nu tucua tñan 'in na lo' culo'o 'in na, can' nu ca sca nu ndon loo se'en ndlo Ndiose tñan. 
MAT.5.20	Cunen lo'o um sca cha', cha' a lyee la quia nan um 'in Ndiose que ña'an ngui'ni ne' escriba lo'o ne' fariseo, a tca sten um se'en ndlo Ndiose tñan.
MAT.5.21	Cua' ngune 'in um ña'an jui nu ycui' lo'o ne' mdi'in s'ni: —A cujui nten—, lo' nu cujui nten tyi'o qui'ya 'in lo' ca xñan bsya 'in. 
MAT.5.22	Una nan' cunen lo'o um, nu nscuen tique' lo'o ta'a, tyi'o qui'ya 'in lo' ca xñan bsya 'in. Ticui' cuaña'an cha' caja nu chcui' lo'o ta'a: Tijyi 'a nan, tyi'o qui'ya 'in can' se'en nchca cuiya' qui'ya. Lo' ña'an tucui ti nu chcui' lo'o ta'a: Tinto 'a, chen nchcui tsaa can' loo quii'. 
MAT.5.23	Can' cha' xa yan lo'o um sca lcuan 'in Ndiose, lo' lja xacan' quia yu'hui ti' um si'yana nducui ncha'an cha' 'in um lo'o ta'a um, 
MAT.5.24	cula' scua um lcuan can', lo' quia y'ni chu'hue um cha' 'in um lo'o ta'a um culo nducua la, xacan' xitucui um, lo' tyaa um lcuan can' 'in Ndiose. 
MAT.5.25	Ndla ti cu'ni chu'hue um cha' 'in um lo'o ta'a cusuun um tucueen nguiaa um, lja nu ti' lyijyi ca cuiya' cha' 'in um, ña'an tu' tyaa can' cunta 'in um tloo bse, lo' yu bse can' tyaa yu cunta 'in um yaa' silyiya, can' nu su'hua 'in um na'an chcuan. 
MAT.5.26	Nu cha' ñi cunen lo'o um, a tyi'o um na'an chcuan, cha' si'i la su'hua lyiya' um nchgaa cunta nu nducui ncha'an 'in um.
MAT.5.27	Cua' ngune 'in um ña'an jui nu ycui': —A sten yu'hui um lo'o cuilyi'o nten—. 
MAT.5.28	Una nan' cunen lo'o um, nu ñan' 'ya 'in sca ne' cuna'an, lo' su'hua cha' nducun' ni' cusya 'in lo'o ne', ña'an loo cha' cua' yten yu'hui lo'o ne'. 
MAT.5.29	Cha' si'ya quiloo um ngui'ni um qui'ya, lyoo um 'in na, tsu'hue lati nu ndiya lyijyi sca tso' quiloo um sten um ni' cuaan, lo' si'i nu ña'an chcui um tsaa um loo quii'. 
MAT.5.30	Cui' cuaña'an, cha' si'ya yaa' um cu'ni um qui'ya, si'yu co' um 'in na, tsu'hue lati nu ndiya lyijyi sca tso' yaa' um sten um ni' cuaan, lo' si'i nu ña'an chcui um tsaa um loo quii'.
MAT.5.31	A cunta jui nu ycui': —Sca yu qui'yu nu nchca ti' cula' ti'in 'in cuilyi'o, 'ni cha' tsa' scua sca quityi 'in yu—. 
MAT.5.32	Una nan' cunen lo'o um, yu nu cula' ti'in 'in cuilyi'o, lo' cha' si'i si'yana yten yu'hui ne' lo'o xca tucui, ña'an loo cha' nxicu'ni yu 'in ne' sten yu'hui ne' lo'o ña'an tucui ti, lo' yu nu ca cuilyi'o 'in can', lo'o can' cu'ni qui'ya.
MAT.5.33	A cunta cua' ngune 'in um ña'an jui nu ycui' lo'o ne' mdi'in s'ni: —A tyi'in tya ca um sca cha'—, cui' ca nu —tucua um tñan cha' nu tyi'in tyaa um tloo Ñi X'nan na—. 
MAT.5.34	Una nan' cunen lo'o um: Ñi sca cha' lo' a ntsu'hui cha' tyi'in tya ca um, ñi ni' cuaan lo' a cu'ni tyi'ya um si'yana la cua nducua Ndiose, 
MAT.5.35	ñi loo chendyu re si'yana nde nxitñan' quiya' ñi, ñi a cu'ni tyi'ya um quichen Jerusalén si'yana lca na quichen 'in ñi nu lca Ree. 
MAT.5.36	Ñi a tyi'in tya ca um chendyu 'in um, si'yana ñi sca quichan' que um lo' a tca cu'ni um cha' ca mta na uta ca mten na. 
MAT.5.37	Xa chcui' um sca cha', ljuin um: Cui' na, uta, si'i na, si'yana cha' ti' tucua la um cha' can', cua' lo'o cha' cuiñi ljyan lo'o na.
MAT.5.38	Cua' ngune 'in um jui nu ycui': —Cha' caja nu culo quiloo um, cui' cuaña'an cu'ni um lo'o can', cha' caja nu xityu lyi'ya um, ticui' cuaña'an cu'ni um—. 
MAT.5.39	Una nan' cunen lo'o um, a cu'ni su'hua um 'in um lo'o nu nducun', cui' ca nu cha' ycuan' yu sca tso' tloo um, tyaa um xca tso' na ycuan' yu. 
MAT.5.40	Cha' nde'en nu nchca ti' taa qui'ya 'in um lo' lyaa xcan' um, tyaa um 'in na 'in cui' ña'aan lo'o te' ycan' tnu tu'hua can' 'in um. 
MAT.5.41	Cha' caja nu xicu'ni 'in um cui'ya um su'hua sca kilometro, 'un cui'ya um 'in na tucua kilometro. 
MAT.5.42	Cha' nde'en la na jñan ne' 'in um, tyaa um 'in na, cui' cuaña'an cha' ntsu'hui nu jñi' na 'in um, a cu'ni tiji um lo'o can'. 
MAT.5.43	Cua' ngune 'in um jui nu ycui': —Ña'an 'tnan ti' um 'in ta'a nten um—, lo' xcuan tloo um 'in ta'a cusuun um. 
MAT.5.44	Una nan' cunen lo'o um: Ña'an 'tnan ti' um 'in ta'a cusuun um, lo' chcui' um cha' tsu'hue lo'o nu nchcui' cha' ti'i 'in um, cu'ni um tsu'hue lo'o nu nxcuan tloo 'in um, jñan um 'in Ndiose si'ya cha' 'in nu ndaja 'in um lo' nducui ncha'an 'in um, 
MAT.5.45	cuaña'an ca chcan' loo si'yana lca um sñe' Stina Ndiose, ñi nu nducua ni' cuaan, ñi nu n'ni cha' ndu'hui xaa 'in nten nducun' lo'o nten nu tsu'hue, lo' nxi 'ya ñi quioo 'in nten nu tsu'hue lo'o nten nu nducun'. 
