MAT.1.1	ibrAhImaH santAnO dAyUd tasya santAnO yIzukhrISTastasya pUrvvapuruSavaMzazrENI|
MAT.2.4	sarvvAn pradhAnayAjakAn adhyApakAMzca samAhUyAnIya papraccha, khrISTaH kutra janiSyatE?
MAT.2.5	tadA tE kathayAmAsuH, yihUdIyadEzasya baitlEhami nagarE, yatO bhaviSyadvAdinA itthaM likhitamAstE,
MAT.2.6	sarvvAbhyO rAjadhAnIbhyO yihUdIyasya nIvRtaH| hE yIhUdIyadEzasyE baitlEham tvaM na cAvarA|isrAyElIyalOkAn mE yatO yaH pAlayiSyati| tAdRgEkO mahArAjastvanmadhya udbhaviSyatI||
MAT.2.7	tadAnIM hErOd rAjA tAn jyOtirvvidO gOpanam AhUya sA tArakA kadA dRSTAbhavat , tad vinizcayAmAsa|
MAT.2.8	aparaM tAn baitlEhamaM prahItya gaditavAn, yUyaM yAta, yatnAt taM zizum anviSya taduddEzE prAptE mahyaM vArttAM dAsyatha, tatO mayApi gatvA sa praNaMsyatE|
MAT.2.9	tadAnIM rAjnja EtAdRzIm AjnjAM prApya tE pratasthirE, tataH pUrvvarsyAM dizi sthitaistai ryA tArakA dRSTA sA tArakA tESAmagrE gatvA yatra sthAnE zizUrAstE, tasya sthAnasyOpari sthagitA tasyau|
MAT.2.10	tad dRSTvA tE mahAnanditA babhUvuH,
MAT.2.11	tatO gEhamadhya pravizya tasya mAtrA mariyamA sAddhaM taM zizuM nirIkSaya daNPavad bhUtvA praNEmuH, aparaM svESAM ghanasampattiM mOcayitvA suvarNaM kunduruM gandharamanjca tasmai darzanIyaM dattavantaH|
MAT.2.12	pazcAd hErOd rAjasya samIpaM punarapi gantuM svapna IzvarENa niSiddhAH santO 'nyEna pathA tE nijadEzaM prati pratasthirE|
MAT.2.13	anantaraM tESu gatavatmu paramEzvarasya dUtO yUSaphE svapnE darzanaM datvA jagAda, tvam utthAya zizuM tanmAtaranjca gRhItvA misardEzaM palAyasva, aparaM yAvadahaM tubhyaM vArttAM na kathayiSyAmi, tAvat tatraiva nivasa, yatO rAjA hErOd zizuM nAzayituM mRgayiSyatE|
MAT.2.14	tadAnIM yUSaph utthAya rajanyAM zizuM tanmAtaranjca gRhItvA misardEzaM prati pratasthE,
MAT.2.15	gatvA ca hErOdO nRpatE rmaraNaparyyantaM tatra dEzE nyuvAsa, tEna misardEzAdahaM putraM svakIyaM samupAhUyam| yadEtadvacanam IzvarENa bhaviSyadvAdinA kathitaM tat saphalamabhUt|
MAT.2.16	anantaraM hErOd jyOtirvidbhirAtmAnaM pravanjcitaM vijnjAya bhRzaM cukOpa; aparaM jyOtirvvidbhyastEna vinizcitaM yad dinaM taddinAd gaNayitvA dvitIyavatsaraM praviSTA yAvantO bAlakA asmin baitlEhamnagarE tatsImamadhyE cAsan, lOkAn prahitya tAn sarvvAn ghAtayAmAsa|
MAT.2.17	ataH anEkasya vilApasya ninAda: krandanasya ca| zOkEna kRtazabdazca rAmAyAM saMnizamyatE| svabAlagaNahEtOrvai rAhEl nArI tu rOdinI| na manyatE prabOdhantu yatastE naiva manti hi||
MAT.2.18	yadEtad vacanaM yirImiyanAmakabhaviSyadvAdinA kathitaM tat tadAnIM saphalam abhUt|
MAT.2.19	tadanantaraM hErEdi rAjani mRtE paramEzvarasya dUtO misardEzE svapnE darzanaM dattvA yUSaphE kathitavAn
MAT.2.20	tvam utthAya zizuM tanmAtaranjca gRhItvA punarapIsrAyElO dEzaM yAhI, yE janAH zizuM nAzayitum amRgayanta, tE mRtavantaH|
MAT.2.21	tadAnIM sa utthAya zizuM tanmAtaranjca gRhlan isrAyEldEzam AjagAma|
MAT.2.22	kintu yihUdIyadEzE arkhilAyanAma rAjakumArO nijapitu rhErOdaH padaM prApya rAjatvaM karOtIti nizamya tat sthAnaM yAtuM zagkitavAn, pazcAt svapna IzvarAt prabOdhaM prApya gAlIldEzasya pradEzaikaM prasthAya nAsarannAma nagaraM gatvA tatra nyuSitavAn,
MAT.2.23	tEna taM nAsaratIyaM kathayiSyanti, yadEtadvAkyaM bhaviSyadvAdibhirukttaM tat saphalamabhavat|
MAT.3.1	tadAnOM yOhnnAmA majjayitA yihUdIyadEzasya prAntaram upasthAya pracArayan kathayAmAsa,
MAT.3.2	manAMsi parAvarttayata, svargIyarAjatvaM samIpamAgatam|
MAT.3.3	paramEzasya panthAnaM pariSkuruta sarvvataH| tasya rAjapathAMzcaiva samIkuruta sarvvathA| ityEtat prAntarE vAkyaM vadataH kasyacid ravaH||
MAT.3.4	EtadvacanaM yizayiyabhaviSyadvAdinA yOhanamuddizya bhASitam| yOhanO vasanaM mahAggarOmajaM tasya kaTau carmmakaTibandhanaM; sa ca zUkakITAn madhu ca bhuktavAn|
MAT.3.5	tadAnIM yirUzAlamnagaranivAsinaH sarvvE yihUdidEzIyA yarddantaTinyA ubhayataTasthAzca mAnavA bahirAgatya tasya samIpE
MAT.3.6	svIyaM svIyaM duritam aggIkRtya tasyAM yarddani tEna majjitA babhUvuH|
MAT.3.7	aparaM bahUn phirUzinaH sidUkinazca manujAn maMktuM svasamIpam AgacchtO vilOkya sa tAn abhidadhau, rE rE bhujagavaMzA AgAmInaH kOpAt palAyituM yuSmAn kazcEtitavAn?
MAT.3.8	manaHparAvarttanasya samucitaM phalaM phalata|
MAT.3.9	kintvasmAkaM tAta ibrAhIm astIti svESu manaHsu cIntayantO mA vyAharata| yatO yuSmAn ahaM vadAmi, Izvara EtEbhyaH pASANEbhya ibrAhImaH santAnAn utpAdayituM zaknOti|
MAT.3.10	aparaM pAdapAnAM mUlE kuThAra idAnImapi lagan AstE, tasmAd yasmin pAdapE uttamaM phalaM na bhavati, sa kRttO madhyE'gniM nikSEpsyatE|
MAT.3.11	aparam ahaM manaHparAvarttanasUcakEna majjanEna yuSmAn majjayAmIti satyaM, kintu mama pazcAd ya Agacchati, sa mattOpi mahAn, ahaM tadIyOpAnahau vOPhumapi nahi yOgyOsmi, sa yuSmAn vahnirUpE pavitra Atmani saMmajjayiSyati|
MAT.3.12	tasya kArE sUrpa AstE, sa svIyazasyAni samyak prasphOTya nijAn sakalagOdhUmAn saMgRhya bhANPAgArE sthApayiSyati, kiMntu sarvvANi vuSANyanirvvANavahninA dAhayiSyati|
MAT.3.13	anantaraM yIzu ryOhanA majjitO bhavituM gAlIlpradEzAd yarddani tasya samIpam AjagAma|
MAT.3.14	kintu yOhan taM niSidhya babhASE, tvaM kiM mama samIpam Agacchasi? varaM tvayA majjanaM mama prayOjanam AstE|
MAT.3.15	tadAnIM yIzuH pratyavOcat; IdAnIm anumanyasva, yata itthaM sarvvadharmmasAdhanam asmAkaM karttavyaM, tataH sO'nvamanyata|
MAT.3.16	anantaraM yIzurammasi majjituH san tatkSaNAt tOyamadhyAd utthAya jagAma, tadA jImUtadvArE muktE jAtE, sa IzvarasyAtmAnaM kapOtavad avaruhya svOparyyAgacchantaM vIkSAnjcakrE|
MAT.3.17	aparam ESa mama priyaH putra EtasminnEva mama mahAsantOSa EtAdRzI vyOmajA vAg babhUva|
MAT.4.1	tataH paraM yIzuH pratArakENa parIkSitO bhavitum AtmanA prAntaram AkRSTaH
MAT.4.2	san catvAriMzadahOrAtrAn anAhArastiSThan kSudhitO babhUva|
MAT.4.3	tadAnIM parIkSitA tatsamIpam Agatya vyAhRtavAn, yadi tvamIzvarAtmajO bhavEstarhyAjnjayA pASANAnEtAn pUpAn vidhEhi|
MAT.4.4	tataH sa pratyabravIt, itthaM likhitamAstE, "manujaH kEvalapUpEna na jIviSyati, kintvIzvarasya vadanAd yAni yAni vacAMsi niHsaranti tairEva jIviSyati|"
MAT.4.5	tadA pratArakastaM puNyanagaraM nItvA mandirasya cUPOpari nidhAya gaditavAn,
MAT.4.6	tvaM yadizvarasya tanayO bhavEstarhItO'dhaH pata, yata itthaM likhitamAstE, AdEkSyati nijAn dUtAn rakSituM tvAM paramEzvaraH| yathA sarvvESu mArgESu tvadIyacaraNadvayE| na lagEt prastarAghAtastvAM ghariSyanti tE karaiH||
MAT.4.7	tadAnIM yIzustasmai kathitavAn Etadapi likhitamAstE, "tvaM nijaprabhuM paramEzvaraM mA parIkSasva|"
MAT.4.8	anantaraM pratArakaH punarapi tam atyunjcadharAdharOpari nItvA jagataH sakalarAjyAni tadaizvaryyANi ca darzayAzcakAra kathayAnjcakAra ca,
MAT.4.9	yadi tvaM daNPavad bhavan mAM praNamEstarhyaham EtAni tubhyaM pradAsyAmi|
MAT.4.10	tadAnIM yIzustamavOcat, dUrIbhava pratAraka, likhitamidam AstE, "tvayA nijaH prabhuH paramEzvaraH praNamyaH kEvalaH sa sEvyazca|"
MAT.4.11	tataH pratArakENa sa paryyatyAji, tadA svargIyadUtairAgatya sa siSEvE|
MAT.4.12	tadanantaraM yOhan kArAyAM babandhE, tadvArttAM nizamya yIzunA gAlIl prAsthIyata|
MAT.4.13	tataH paraM sa nAsarannagaraM vihAya jalaghEstaTE sibUlUnnaptAlI EtayOruvabhayOH pradEzayOH sImnOrmadhyavarttI ya: kapharnAhUm tannagaram itvA nyavasat|
MAT.4.14	tasmAt, anyAdEzIyagAlIli yarddanpArE'bdhirOdhasi| naptAlisibUlUndEzau yatra sthAnE sthitau purA|
MAT.4.15	tatratyA manujA yE yE paryyabhrAmyan tamisrakE| tairjanairbRhadAlOkaH paridarziSyatE tadA| avasan yE janA dEzE mRtyucchAyAsvarUpakE| tESAmupari lOkAnAmAlOkaH saMprakAzitaH||
MAT.4.16	yadEtadvacanaM yizayiyabhaviSyadvAdinA prOktaM, tat tadA saphalam abhUt|
MAT.4.17	anantaraM yIzuH susaMvAdaM pracArayan EtAM kathAM kathayitum ArEbhE, manAMsi parAvarttayata, svargIyarAjatvaM savidhamabhavat|
MAT.4.18	tataH paraM yIzu rgAlIlO jaladhEstaTEna gacchan gacchan Andriyastasya bhrAtA zimOn arthatO yaM pitaraM vadanti EtAvubhau jalaghau jAlaM kSipantau dadarza, yatastau mInadhAriNAvAstAm|
MAT.4.19	tadA sa tAvAhUya vyAjahAra, yuvAM mama pazcAd AgacchataM, yuvAmahaM manujadhAriNau kariSyAmi|
MAT.4.20	tEnaiva tau jAlaM vihAya tasya pazcAt AgacchatAm|
MAT.4.21	anantaraM tasmAt sthAnAt vrajan vrajan sivadiyasya sutau yAkUb yOhannAmAnau dvau sahajau tAtEna sArddhaM naukOpari jAlasya jIrNOddhAraM kurvvantau vIkSya tAvAhUtavAn|
MAT.4.22	tatkSaNAt tau nAvaM svatAtanjca vihAya tasya pazcAdgAminau babhUvatuH|
MAT.4.23	anantaraM bhajanabhavanE samupadizan rAjyasya susaMvAdaM pracArayan manujAnAM sarvvaprakArAn rOgAn sarvvaprakArapIPAzca zamayan yIzuH kRtsnaM gAlIldEzaM bhramitum Arabhata|
MAT.4.24	tEna kRtsnasuriyAdEzasya madhyaM tasya yazO vyApnOt, aparaM bhUtagrastA apasmArargINaH pakSAdhAtiprabhRtayazca yAvantO manujA nAnAvidhavyAdhibhiH kliSTA Asan, tESu sarvvESu tasya samIpam AnItESu sa tAn svasthAn cakAra|
MAT.4.25	EtEna gAlIl-dikApani-yirUzAlam-yihUdIyadEzEbhyO yarddanaH pArAnjca bahavO manujAstasya pazcAd Agacchan|
MAT.5.1	anantaraM sa jananivahaM nirIkSya bhUdharOpari vrajitvA samupavivEza|
MAT.5.2	tadAnIM ziSyESu tasya samIpamAgatESu tEna tEbhya ESA kathA kathyAnjcakrE|
MAT.5.3	abhimAnahInA janA dhanyAH, yatastE svargIyarAjyam adhikariSyanti|
MAT.5.4	khidyamAnA manujA dhanyAH, yasmAt tE sAntvanAM prApsanti|
MAT.5.5	namrA mAnavAzca dhanyAH, yasmAt tE mEdinIm adhikariSyanti|
MAT.5.6	dharmmAya bubhukSitAH tRSArttAzca manujA dhanyAH, yasmAt tE paritarpsyanti|
MAT.5.7	kRpAlavO mAnavA dhanyAH, yasmAt tE kRpAM prApsyanti|
MAT.5.8	nirmmalahRdayA manujAzca dhanyAH, yasmAt ta IzcaraM drakSyanti|
MAT.5.9	mElayitArO mAnavA dhanyAH, yasmAt ta Izcarasya santAnatvEna vikhyAsyanti|
MAT.5.10	dharmmakAraNAt tAPitA manujA dhanyA, yasmAt svargIyarAjyE tESAmadhikarO vidyatE|
MAT.5.11	yadA manujA mama nAmakRtE yuSmAn nindanti tAPayanti mRSA nAnAdurvvAkyAni vadanti ca, tadA yuyaM dhanyAH|
MAT.5.12	tadA Anandata, tathA bhRzaM hlAdadhvanjca, yataH svargE bhUyAMsi phalAni lapsyadhvE; tE yuSmAkaM purAtanAn bhaviSyadvAdinO'pi tAdRg atAPayan|
MAT.5.13	yuyaM mEdinyAM lavaNarUpAH, kintu yadi lavaNasya lavaNatvam apayAti, tarhi tat kEna prakArENa svAduyuktaM bhaviSyati? tat kasyApi kAryyasyAyOgyatvAt kEvalaM bahiH prakSEptuM narANAM padatalEna dalayitunjca yOgyaM bhavati|
MAT.5.14	yUyaM jagati dIptirUpAH, bhUdharOpari sthitaM nagaraM guptaM bhavituM nahi zakSyati|
MAT.5.15	aparaM manujAH pradIpAn prajvAlya drONAdhO na sthApayanti, kintu dIpAdhArOparyyEva sthApayanti, tEna tE dIpA gEhasthitAn sakalAn prakAzayanti|
MAT.5.16	yEna mAnavA yuSmAkaM satkarmmANi vilOkya yuSmAkaM svargasthaM pitaraM dhanyaM vadanti, tESAM samakSaM yuSmAkaM dIptistAdRk prakAzatAm|
MAT.5.17	ahaM vyavasthAM bhaviSyadvAkyanjca lOptum AgatavAn, itthaM mAnubhavata, tE dvE lOptuM nAgatavAn, kintu saphalE karttum AgatOsmi|
MAT.5.18	aparaM yuSmAn ahaM tathyaM vadAmi yAvat vyOmamEdinyO rdhvaMsO na bhaviSyati, tAvat sarvvasmin saphalE na jAtE vyavasthAyA EkA mAtrA bindurEkOpi vA na lOpsyatE|
MAT.5.19	tasmAt yO jana EtAsAm AjnjAnAm atikSudrAm EkAjnjAmapI laMghatE manujAMnjca tathaiva zikSayati, sa svargIyarAjyE sarvvEbhyaH kSudratvEna vikhyAsyatE, kintu yO janastAM pAlayati, tathaiva zikSayati ca, sa svargIyarAjyE pradhAnatvEna vikhyAsyatE|
MAT.5.20	aparaM yuSmAn ahaM vadAmi, adhyApakaphirUzimAnavAnAM dharmmAnuSThAnAt yuSmAkaM dharmmAnuSThAnE nOttamE jAtE yUyam IzvarIyarAjyaM pravESTuM na zakSyatha|
MAT.5.21	aparanjca tvaM naraM mA vadhIH, yasmAt yO naraM hanti, sa vicArasabhAyAM daNPArhO bhaviSyati, pUrvvakAlInajanEbhya iti kathitamAsIt, yuSmAbhirazrAvi|
MAT.5.22	kintvahaM yuSmAn vadAmi, yaH kazcit kAraNaM vinA nijabhrAtrE kupyati, sa vicArasabhAyAM daNPArhO bhaviSyati; yaH kazcicca svIyasahajaM nirbbOdhaM vadati, sa mahAsabhAyAM daNPArhO bhaviSyati; punazca tvaM mUPha iti vAkyaM yadi kazcit svIyabhrAtaraM vakti, tarhi narakAgnau sa daNPArhO bhaviSyati|
MAT.5.23	atO vEdyAH samIpaM nijanaivEdyE samAnItE'pi nijabhrAtaraM prati kasmAccit kAraNAt tvaM yadi dOSI vidyasE, tadAnIM tava tasya smRti rjAyatE ca,
MAT.5.24	tarhi tasyA vEdyAH samIpE nijanaivaidyaM nidhAya tadaiva gatvA pUrvvaM tEna sArddhaM mila, pazcAt Agatya nijanaivEdyaM nivEdaya|
MAT.5.25	anyanjca yAvat vivAdinA sArddhaM vartmani tiSThasi, tAvat tEna sArddhaM mElanaM kuru; nO cEt vivAdI vicArayituH samIpE tvAM samarpayati vicArayitA ca rakSiNaH sannidhau samarpayati tadA tvaM kArAyAM badhyEthAH|
MAT.5.26	tarhi tvAmahaM taththaM bravImi, zESakapardakE'pi na parizOdhitE tasmAt sthAnAt kadApi bahirAgantuM na zakSyasi|
MAT.5.27	aparaM tvaM mA vyabhicara, yadEtad vacanaM pUrvvakAlInalOkEbhyaH kathitamAsIt, tad yUyaM zrutavantaH;
MAT.5.28	kintvahaM yuSmAn vadAmi, yadi kazcit kAmataH kAnjcana yOSitaM pazyati, tarhi sa manasA tadaiva vyabhicaritavAn|
MAT.5.29	tasmAt tava dakSiNaM nEtraM yadi tvAM bAdhatE, tarhi tannEtram utpATya dUrE nikSipa, yasmAt tava sarvvavapuSO narakE nikSEpAt tavaikAggasya nAzO varaM|
MAT.5.30	yadvA tava dakSiNaH karO yadi tvAM bAdhatE, tarhi taM karaM chittvA dUrE nikSipa, yataH sarvvavapuSO narakE nikSEpAt EkAggasya nAzO varaM|
MAT.5.31	uktamAstE, yadi kazcin nijajAyAM parityakttum icchati, tarhi sa tasyai tyAgapatraM dadAtu|
MAT.5.32	kintvahaM yuSmAn vyAharAmi, vyabhicAradOSE na jAtE yadi kazcin nijajAyAM parityajati, tarhi sa tAM vyabhicArayati; yazca tAM tyaktAM striyaM vivahati, sOpi vyabhicarati|
MAT.5.33	punazca tvaM mRSA zapatham na kurvvan IzcarAya nijazapathaM pAlaya, pUrvvakAlInalOkEbhyO yaiSA kathA kathitA, tAmapi yUyaM zrutavantaH|
MAT.5.34	kintvahaM yuSmAn vadAmi, kamapi zapathaM mA kArSTa, arthataH svarganAmnA na, yataH sa Izvarasya siMhAsanaM;
MAT.5.35	pRthivyA nAmnApi na, yataH sA tasya pAdapIThaM; yirUzAlamO nAmnApi na, yataH sA mahArAjasya purI;
MAT.5.36	nijazirOnAmnApi na, yasmAt tasyaikaM kacamapi sitam asitaM vA karttuM tvayA na zakyatE|
MAT.5.37	aparaM yUyaM saMlApasamayE kEvalaM bhavatIti na bhavatIti ca vadata yata itO'dhikaM yat tat pApAtmanO jAyatE|
MAT.5.38	aparaM lOcanasya vinimayEna lOcanaM dantasya vinimayEna dantaH pUrvvaktamidaM vacananjca yuSmAbhirazrUyata|
MAT.5.39	kintvahaM yuSmAn vadAmi yUyaM hiMsakaM naraM mA vyAghAtayata| kintu kEnacit tava dakSiNakapOlE capETAghAtE kRtE taM prati vAmaM kapOlanjca vyAghOTaya|
MAT.5.40	aparaM kEnacit tvayA sArdhdaM vivAdaM kRtvA tava paridhEyavasanE jighRtitE tasmAyuttarIyavasanamapi dEhi|
MAT.5.41	yadi kazcit tvAM krOzamEkaM nayanArthaM anyAyatO dharati, tadA tEna sArdhdaM krOzadvayaM yAhi|
MAT.5.42	yazca mAnavastvAM yAcatE, tasmai dEhi, yadi kazcit tubhyaM dhArayitum icchati, tarhi taM prati parAMmukhO mA bhUH|
MAT.5.43	nijasamIpavasini prEma kuru, kintu zatruM prati dvESaM kuru, yadEtat purOktaM vacanaM Etadapi yUyaM zrutavantaH|
MAT.5.44	kintvahaM yuSmAn vadAmi, yUyaM ripuvvapi prEma kuruta, yE ca yuSmAn zapantE, tAna, AziSaM vadata, yE ca yuSmAn RृtIyantE, tESAM maggalaM kuruta, yE ca yuSmAn nindanti, tAPayanti ca, tESAM kRtE prArthayadhvaM|
MAT.5.45	tatra yaH satAmasatAnjcOpari prabhAkaram udAyayati, tathA dhArmmikAnAmadhArmmikAnAnjcOpari nIraM varSayati tAdRzO yO yuSmAkaM svargasthaH pitA, yUyaM tasyaiva santAnA bhaviSyatha|
MAT.5.46	yE yuSmAsu prEma kurvvanti, yUyaM yadi kEvalaM tEvvEva prEma kurutha, tarhi yuSmAkaM kiM phalaM bhaviSyati? caNPAlA api tAdRzaM kiM na kurvvanti?
MAT.5.47	aparaM yUyaM yadi kEvalaM svIyabhrAtRtvEna namata, tarhi kiM mahat karmma kurutha? caNPAlA api tAdRzaM kiM na kurvvanti?
MAT.5.48	tasmAt yuSmAkaM svargasthaH pitA yathA pUrNO bhavati, yUyamapi tAdRzA bhavata|
MAT.6.1	sAvadhAnA bhavata, manujAn darzayituM tESAM gOcarE dharmmakarmma mA kuruta, tathA kRtE yuSmAkaM svargasthapituH sakAzAt kinjcana phalaM na prApsyatha|
MAT.6.2	tvaM yadA dadAsi tadA kapaTinO janA yathA manujEbhyaH prazaMsAM prAptuM bhajanabhavanE rAjamArgE ca tUrIM vAdayanti, tathA mA kuriु, ahaM tubhyaM yathArthaM kathayAmi, tE svakAyaM phalam alabhanta|
MAT.6.3	kintu tvaM yadA dadAsi, tadA nijadakSiNakarO yat karOti, tad vAmakaraM mA jnjApaya|
MAT.6.4	tEna tava dAnaM guptaM bhaviSyati yastu tava pitA guptadarzI, sa prakAzya tubhyaM phalaM dAsyati|
MAT.6.5	aparaM yadA prArthayasE, tadA kapaTina_iva mA kuru, yasmAt tE bhajanabhavanE rAjamArgasya kONE tiSThantO lOkAn darzayantaH prArthayituM prIyantE; ahaM yuSmAn tathyaM vadAmi, tE svakIyaphalaM prApnuvan|
MAT.6.6	tasmAt prArthanAkAlE antarAgAraM pravizya dvAraM rudvvA guptaM pazyatastava pituH samIpE prArthayasva; tEna tava yaH pitA guptadarzI, sa prakAzya tubhyaM phalaM dAsyatil
MAT.6.7	aparaM prArthanAkAlE dEvapUjakAiva mudhA punaruktiM mA kuru, yasmAt tE bOdhantE, bahuvAraM kathAyAM kathitAyAM tESAM prArthanA grAhiSyatE|
MAT.6.8	yUyaM tESAmiva mA kuruta, yasmAt yuSmAkaM yad yat prayOjanaM yAcanAtaH prAgEva yuSmAkaM pitA tat jAnAti|
MAT.6.9	ataEva yUyama IdRk prArthayadhvaM, hE asmAkaM svargasthapitaH, tava nAma pUjyaM bhavatu|
MAT.6.10	tava rAjatvaM bhavatu; tavEcchA svargE yathA tathaiva mEdinyAmapi saphalA bhavatu|
MAT.6.11	asmAkaM prayOjanIyam AhAram adya dEhi|
MAT.6.12	vayaM yathA nijAparAdhinaH kSamAmahE, tathaivAsmAkam aparAdhAn kSamasva|
MAT.6.13	asmAn parIkSAM mAnaya, kintu pApAtmanO rakSa; rAjatvaM gauravaM parAkramaH EtE sarvvE sarvvadA tava; tathAstu|
MAT.6.14	yadi yUyam anyESAm aparAdhAn kSamadhvE tarhi yuSmAkaM svargasthapitApi yuSmAn kSamiSyatE;
MAT.6.15	kintu yadi yUyam anyESAm aparAdhAn na kSamadhvE, tarhi yuSmAkaM janakOpi yuSmAkam aparAdhAn na kSamiSyatE|
MAT.6.16	aparam upavAsakAlE kapaTinO janA mAnuSAn upavAsaM jnjApayituM svESAM vadanAni mlAnAni kurvvanti, yUyaM ta_iva viSaNavadanA mA bhavata; ahaM yuSmAn tathyaM vadAmi tE svakIyaphalam alabhanta|
MAT.6.17	yadA tvam upavasasi, tadA yathA lOkaistvaM upavAsIva na dRzyasE, kintu tava yO'gOcaraH pitA tEnaiva dRzyasE, tatkRtE nijazirasi tailaM marddaya vadananjca prakSAlaya;
MAT.6.18	tEna tava yaH pitA guptadarzI sa prakAzya tubhyaM phalaM dAsyati|
MAT.6.19	aparaM yatra sthAnE kITAH kalagkAzca kSayaM nayanti, caurAzca sandhiM karttayitvA cOrayituM zaknuvanti, tAdRzyAM mEdinyAM svArthaM dhanaM mA saMcinuta|
MAT.6.20	kintu yatra sthAnE kITAH kalagkAzca kSayaM na nayanti, caurAzca sandhiM karttayitvA cOrayituM na zaknuvanti, tAdRzE svargE dhanaM sanjcinuta|
MAT.6.21	yasmAt yatra sthAnE yuSmAMka dhanaM tatraiva khAnE yuSmAkaM manAMsi|
MAT.6.22	lOcanaM dEhasya pradIpakaM, tasmAt yadi tava lOcanaM prasannaM bhavati, tarhi tava kRtsnaM vapu rdIptiyuktaM bhaviSyati|
MAT.6.23	kintu lOcanE'prasannE tava kRtsnaM vapuH tamisrayuktaM bhaviSyati| ataEva yA dIptistvayi vidyatE, sA yadi tamisrayuktA bhavati, tarhi tat tamisraM kiyan mahat|
