MAT.1.1	ibrAhImaH santAno dAyUd tasya santAno yIshukhrIShTastasya pUrvvapuruShavaMshashreNI|
MAT.1.20	sa tathaiva bhAvayati, tadAnIM parameshvarasya dUtaH svapne taM darshanaM dattvA vyAjahAra, he dAyUdaH santAna yUShaph tvaM nijAM jAyAM mariyamam AdAtuM mA bhaiShIH|
MAT.1.21	yatastasyA garbhaH pavitrAdAtmano.abhavat, sA cha putraM prasaviShyate, tadA tvaM tasya nAma yIshum (arthAt trAtAraM) karIShyase, yasmAt sa nijamanujAn teShAM kaluShebhya uddhariShyati|
MAT.1.22	itthaM sati, pashya garbhavatI kanyA tanayaM prasaviShyate| immAnUyel tadIya ncha nAmadheyaM bhaviShyati|| immAnUyel asmAkaM sa NgIshvara_ityarthaH|
MAT.1.23	iti yad vachanaM purvvaM bhaviShyadvaktrA IshvaraH kathAyAmAsa, tat tadAnIM siddhamabhavat|
MAT.1.24	anantaraM yUShaph nidrAto jAgarita utthAya parameshvarIyadUtasya nideshAnusAreNa nijAM jAyAM jagrAha,
MAT.1.25	kintu yAvat sA nijaM prathamasutaM a suShuve, tAvat tAM nopAgachChat, tataH sutasya nAma yIshuM chakre|
MAT.2.1	anantaraM herod saMj nake rAj ni rAjyaM shAsati yihUdIyadeshasya baitlehami nagare yIshau jAtavati cha, katipayA jyotirvvudaH pUrvvasyA disho yirUshAlamnagaraM sametya kathayamAsuH,
MAT.2.2	yo yihUdIyAnAM rAjA jAtavAn, sa kutrAste? vayaM pUrvvasyAM dishi tiShThantastadIyAM tArakAm apashyAma tasmAt taM praNantum aाgamAma|
MAT.2.3	tadA herod rAjA kathAmetAM nishamya yirUshAlamnagarasthitaiH sarvvamAnavaiH sArddham udvijya
MAT.2.4	sarvvAn pradhAnayAjakAn adhyApakAMshcha samAhUyAnIya paprachCha, khrIShTaH kutra janiShyate?
MAT.2.5	tadA te kathayAmAsuH, yihUdIyadeshasya baitlehami nagare, yato bhaviShyadvAdinA itthaM likhitamAste,
MAT.2.6	sarvvAbhyo rAjadhAnIbhyo yihUdIyasya nIvR^itaH| he yIhUdIyadeshasye baitleham tvaM na chAvarA|isrAyelIyalokAn me yato yaH pAlayiShyati| tAdR^igeko mahArAjastvanmadhya udbhaviShyatI||
MAT.2.7	tadAnIM herod rAjA tAn jyotirvvido gopanam AhUya sA tArakA kadA dR^iShTAbhavat , tad vinishchayAmAsa|
MAT.2.8	aparaM tAn baitlehamaM prahItya gaditavAn, yUyaM yAta, yatnAt taM shishum anviShya taduddeshe prApte mahyaM vArttAM dAsyatha, tato mayApi gatvA sa praNaMsyate|
MAT.2.9	tadAnIM rAj na etAdR^ishIm Aj nAM prApya te pratasthire, tataH pUrvvarsyAM dishi sthitaistai ryA tArakA dR^iShTA sA tArakA teShAmagre gatvA yatra sthAne shishUrAste, tasya sthAnasyopari sthagitA tasyau|
MAT.2.10	tad dR^iShTvA te mahAnanditA babhUvuH,
MAT.2.11	tato gehamadhya pravishya tasya mAtrA mariyamA sAddhaM taM shishuM nirIkShaya daNDavad bhUtvA praNemuH, aparaM sveShAM ghanasampattiM mochayitvA suvarNaM kunduruM gandharama ncha tasmai darshanIyaM dattavantaH|
MAT.2.12	pashchAd herod rAjasya samIpaM punarapi gantuM svapna IshvareNa niShiddhAH santo .anyena pathA te nijadeshaM prati pratasthire|
MAT.2.13	anantaraM teShu gatavatmu parameshvarasya dUto yUShaphe svapne darshanaM datvA jagAda, tvam utthAya shishuM tanmAtara ncha gR^ihItvA misardeshaM palAyasva, aparaM yAvadahaM tubhyaM vArttAM na kathayiShyAmi, tAvat tatraiva nivasa, yato rAjA herod shishuM nAshayituM mR^igayiShyate|
MAT.2.14	tadAnIM yUShaph utthAya rajanyAM shishuM tanmAtara ncha gR^ihItvA misardeshaM prati pratasthe,
MAT.2.15	gatvA cha herodo nR^ipate rmaraNaparyyantaM tatra deshe nyuvAsa, tena misardeshAdahaM putraM svakIyaM samupAhUyam| yadetadvachanam IshvareNa bhaviShyadvAdinA kathitaM tat saphalamabhUt|
MAT.2.16	anantaraM herod jyotirvidbhirAtmAnaM prava nchitaM vij nAya bhR^ishaM chukopa; aparaM jyotirvvidbhyastena vinishchitaM yad dinaM taddinAd gaNayitvA dvitIyavatsaraM praviShTA yAvanto bAlakA asmin baitlehamnagare tatsImamadhye chAsan, lokAn prahitya tAn sarvvAn ghAtayAmAsa|
MAT.2.17	ataH anekasya vilApasya ninAda: krandanasya cha| shokena kR^itashabdashcha rAmAyAM saMnishamyate| svabAlagaNahetorvai rAhel nArI tu rodinI| na manyate prabodhantu yataste naiva manti hi||
MAT.2.18	yadetad vachanaM yirImiyanAmakabhaviShyadvAdinA kathitaM tat tadAnIM saphalam abhUt|
MAT.2.19	tadanantaraM heredi rAjani mR^ite parameshvarasya dUto misardeshe svapne darshanaM dattvA yUShaphe kathitavAn
MAT.2.20	tvam utthAya shishuM tanmAtara ncha gR^ihItvA punarapIsrAyelo deshaM yAhI, ye janAH shishuM nAshayitum amR^igayanta, te mR^itavantaH|
MAT.2.21	tadAnIM sa utthAya shishuM tanmAtara ncha gR^ihlan isrAyeldesham AjagAma|
MAT.2.22	kintu yihUdIyadeshe arkhilAyanAma rAjakumAro nijapitu rherodaH padaM prApya rAjatvaM karotIti nishamya tat sthAnaM yAtuM sha NkitavAn, pashchAt svapna IshvarAt prabodhaM prApya gAlIldeshasya pradeshaikaM prasthAya nAsarannAma nagaraM gatvA tatra nyuShitavAn,
MAT.2.23	tena taM nAsaratIyaM kathayiShyanti, yadetadvAkyaM bhaviShyadvAdibhirukttaM tat saphalamabhavat|
MAT.3.1	tadAnoM yohnnAmA majjayitA yihUdIyadeshasya prAntaram upasthAya prachArayan kathayAmAsa,
MAT.3.2	manAMsi parAvarttayata, svargIyarAjatvaM samIpamAgatam|
MAT.3.3	parameshasya panthAnaM pariShkuruta sarvvataH| tasya rAjapathAMshchaiva samIkuruta sarvvathA| ityetat prAntare vAkyaM vadataH kasyachid ravaH||
MAT.3.4	etadvachanaM yishayiyabhaviShyadvAdinA yohanamuddishya bhAShitam| yohano vasanaM mahA NgaromajaM tasya kaTau charmmakaTibandhanaM; sa cha shUkakITAn madhu cha bhuktavAn|
MAT.3.5	tadAnIM yirUshAlamnagaranivAsinaH sarvve yihUdideshIyA yarddantaTinyA ubhayataTasthAshcha mAnavA bahirAgatya tasya samIpe
MAT.3.6	svIyaM svIyaM duritam a NgIkR^itya tasyAM yarddani tena majjitA babhUvuH|
MAT.3.7	aparaM bahUn phirUshinaH sidUkinashcha manujAn maMktuM svasamIpam AgachChto vilokya sa tAn abhidadhau, re re bhujagavaMshA AgAmInaH kopAt palAyituM yuShmAn kashchetitavAn?
MAT.3.8	manaHparAvarttanasya samuchitaM phalaM phalata|
MAT.3.9	kintvasmAkaM tAta ibrAhIm astIti sveShu manaHsu chIntayanto mA vyAharata| yato yuShmAn ahaM vadAmi, Ishvara etebhyaH pAShANebhya ibrAhImaH santAnAn utpAdayituM shaknoti|
MAT.3.10	aparaM pAdapAnAM mUle kuThAra idAnImapi lagan Aste, tasmAd yasmin pAdape uttamaM phalaM na bhavati, sa kR^itto madhye.agniM nikShepsyate|
MAT.3.11	aparam ahaM manaHparAvarttanasUchakena majjanena yuShmAn majjayAmIti satyaM, kintu mama pashchAd ya AgachChati, sa mattopi mahAn, ahaM tadIyopAnahau voDhumapi nahi yogyosmi, sa yuShmAn vahnirUpe pavitra Atmani saMmajjayiShyati|
MAT.3.12	tasya kAre sUrpa Aste, sa svIyashasyAni samyak prasphoTya nijAn sakalagodhUmAn saMgR^ihya bhANDAgAre sthApayiShyati, kiMntu sarvvANi vuShANyanirvvANavahninA dAhayiShyati|
MAT.3.13	anantaraM yIshu ryohanA majjito bhavituM gAlIlpradeshAd yarddani tasya samIpam AjagAma|
MAT.3.14	kintu yohan taM niShidhya babhAShe, tvaM kiM mama samIpam AgachChasi? varaM tvayA majjanaM mama prayojanam Aste|
MAT.3.15	tadAnIM yIshuH pratyavochat; IdAnIm anumanyasva, yata itthaM sarvvadharmmasAdhanam asmAkaM karttavyaM, tataH so.anvamanyata|
MAT.3.16	anantaraM yIshurammasi majjituH san tatkShaNAt toyamadhyAd utthAya jagAma, tadA jImUtadvAre mukte jAte, sa IshvarasyAtmAnaM kapotavad avaruhya svoparyyAgachChantaM vIkShA nchakre|
MAT.3.17	aparam eSha mama priyaH putra etasminneva mama mahAsantoSha etAdR^ishI vyomajA vAg babhUva|
MAT.4.1	tataH paraM yIshuH pratArakeNa parIkShito bhavitum AtmanA prAntaram AkR^iShTaH
MAT.4.2	san chatvAriMshadahorAtrAn anAhArastiShThan kShudhito babhUva|
MAT.4.3	tadAnIM parIkShitA tatsamIpam Agatya vyAhR^itavAn, yadi tvamIshvarAtmajo bhavestarhyAj nayA pAShANAnetAn pUpAn vidhehi|
MAT.4.4	tataH sa pratyabravIt, itthaM likhitamAste, "manujaH kevalapUpena na jIviShyati, kintvIshvarasya vadanAd yAni yAni vachAMsi niHsaranti taireva jIviShyati|"
MAT.4.5	tadA pratArakastaM puNyanagaraM nItvA mandirasya chUDopari nidhAya gaditavAn,
MAT.4.6	tvaM yadishvarasya tanayo bhavestarhIto.adhaH pata, yata itthaM likhitamAste, AdekShyati nijAn dUtAn rakShituM tvAM parameshvaraH| yathA sarvveShu mArgeShu tvadIyacharaNadvaye| na laget prastarAghAtastvAM ghariShyanti te karaiH||
MAT.4.7	tadAnIM yIshustasmai kathitavAn etadapi likhitamAste, "tvaM nijaprabhuM parameshvaraM mA parIkShasva|"
MAT.4.8	anantaraM pratArakaH punarapi tam atyu nchadharAdharopari nItvA jagataH sakalarAjyAni tadaishvaryyANi cha darshayAshchakAra kathayA nchakAra cha,
MAT.4.9	yadi tvaM daNDavad bhavan mAM praNamestarhyaham etAni tubhyaM pradAsyAmi|
MAT.4.10	tadAnIM yIshustamavochat, dUrIbhava pratAraka, likhitamidam Aste, "tvayA nijaH prabhuH parameshvaraH praNamyaH kevalaH sa sevyashcha|"
MAT.4.11	tataH pratArakeNa sa paryyatyAji, tadA svargIyadUtairAgatya sa siSheve|
MAT.4.12	tadanantaraM yohan kArAyAM babandhe, tadvArttAM nishamya yIshunA gAlIl prAsthIyata|
MAT.4.13	tataH paraM sa nAsarannagaraM vihAya jalaghestaTe sibUlUnnaptAlI etayoruvabhayoH pradeshayoH sImnormadhyavarttI ya: kapharnAhUm tannagaram itvA nyavasat|
MAT.4.14	tasmAt, anyAdeshIyagAlIli yarddanpAre.abdhirodhasi| naptAlisibUlUndeshau yatra sthAne sthitau purA|
MAT.4.15	tatratyA manujA ye ye paryyabhrAmyan tamisrake| tairjanairbR^ihadAlokaH paridarshiShyate tadA| avasan ye janA deshe mR^ityuchChAyAsvarUpake| teShAmupari lokAnAmAlokaH saMprakAshitaH||
MAT.4.16	yadetadvachanaM yishayiyabhaviShyadvAdinA proktaM, tat tadA saphalam abhUt|
MAT.4.17	anantaraM yIshuH susaMvAdaM prachArayan etAM kathAM kathayitum Arebhe, manAMsi parAvarttayata, svargIyarAjatvaM savidhamabhavat|
MAT.4.18	tataH paraM yIshu rgAlIlo jaladhestaTena gachChan gachChan Andriyastasya bhrAtA shimon arthato yaM pitaraM vadanti etAvubhau jalaghau jAlaM kShipantau dadarsha, yatastau mInadhAriNAvAstAm|
MAT.4.19	tadA sa tAvAhUya vyAjahAra, yuvAM mama pashchAd AgachChataM, yuvAmahaM manujadhAriNau kariShyAmi|
MAT.4.20	tenaiva tau jAlaM vihAya tasya pashchAt AgachChatAm|
MAT.4.21	anantaraM tasmAt sthAnAt vrajan vrajan sivadiyasya sutau yAkUb yohannAmAnau dvau sahajau tAtena sArddhaM naukopari jAlasya jIrNoddhAraM kurvvantau vIkShya tAvAhUtavAn|
MAT.4.22	tatkShaNAt tau nAvaM svatAta ncha vihAya tasya pashchAdgAminau babhUvatuH|
MAT.4.23	anantaraM bhajanabhavane samupadishan rAjyasya susaMvAdaM prachArayan manujAnAM sarvvaprakArAn rogAn sarvvaprakArapIDAshcha shamayan yIshuH kR^itsnaM gAlIldeshaM bhramitum Arabhata|
MAT.4.24	tena kR^itsnasuriyAdeshasya madhyaM tasya yasho vyApnot, aparaM bhUtagrastA apasmArargINaH pakShAdhAtiprabhR^itayashcha yAvanto manujA nAnAvidhavyAdhibhiH kliShTA Asan, teShu sarvveShu tasya samIpam AnIteShu sa tAn svasthAn chakAra|
MAT.4.25	etena gAlIl-dikApani-yirUshAlam-yihUdIyadeshebhyo yarddanaH pArA ncha bahavo manujAstasya pashchAd AgachChan|
MAT.5.1	anantaraM sa jananivahaM nirIkShya bhUdharopari vrajitvA samupavivesha|
MAT.5.2	tadAnIM shiShyeShu tasya samIpamAgateShu tena tebhya eShA kathA kathyA nchakre|
MAT.5.3	abhimAnahInA janA dhanyAH, yataste svargIyarAjyam adhikariShyanti|
MAT.5.4	khidyamAnA manujA dhanyAH, yasmAt te sAntvanAM prApsanti|
MAT.5.5	namrA mAnavAshcha dhanyAH, yasmAt te medinIm adhikariShyanti|
MAT.5.6	dharmmAya bubhukShitAH tR^iShArttAshcha manujA dhanyAH, yasmAt te paritarpsyanti|
MAT.5.7	kR^ipAlavo mAnavA dhanyAH, yasmAt te kR^ipAM prApsyanti|
MAT.5.8	nirmmalahR^idayA manujAshcha dhanyAH, yasmAt ta IshcharaM drakShyanti|
MAT.5.9	melayitAro mAnavA dhanyAH, yasmAt ta Ishcharasya santAnatvena vikhyAsyanti|
MAT.5.10	dharmmakAraNAt tADitA manujA dhanyA, yasmAt svargIyarAjye teShAmadhikaro vidyate|
MAT.5.11	yadA manujA mama nAmakR^ite yuShmAn nindanti tADayanti mR^iShA nAnAdurvvAkyAni vadanti cha, tadA yuyaM dhanyAH|
MAT.5.12	tadA Anandata, tathA bhR^ishaM hlAdadhva ncha, yataH svarge bhUyAMsi phalAni lapsyadhve; te yuShmAkaM purAtanAn bhaviShyadvAdino.api tAdR^ig atADayan|
MAT.5.13	yuyaM medinyAM lavaNarUpAH, kintu yadi lavaNasya lavaNatvam apayAti, tarhi tat kena prakAreNa svAduyuktaM bhaviShyati? tat kasyApi kAryyasyAyogyatvAt kevalaM bahiH prakSheptuM narANAM padatalena dalayitu ncha yogyaM bhavati|
MAT.5.14	yUyaM jagati dIptirUpAH, bhUdharopari sthitaM nagaraM guptaM bhavituM nahi shakShyati|
MAT.5.15	aparaM manujAH pradIpAn prajvAlya droNAdho na sthApayanti, kintu dIpAdhAroparyyeva sthApayanti, tena te dIpA gehasthitAn sakalAn prakAshayanti|
MAT.5.16	yena mAnavA yuShmAkaM satkarmmANi vilokya yuShmAkaM svargasthaM pitaraM dhanyaM vadanti, teShAM samakShaM yuShmAkaM dIptistAdR^ik prakAshatAm|
MAT.5.17	ahaM vyavasthAM bhaviShyadvAkya ncha loptum AgatavAn, itthaM mAnubhavata, te dve loptuM nAgatavAn, kintu saphale karttum Agatosmi|
MAT.5.18	aparaM yuShmAn ahaM tathyaM vadAmi yAvat vyomamedinyo rdhvaMso na bhaviShyati, tAvat sarvvasmin saphale na jAte vyavasthAyA ekA mAtrA bindurekopi vA na lopsyate|
MAT.5.19	tasmAt yo jana etAsAm Aj nAnAm atikShudrAm ekAj nAmapI laMghate manujAM ncha tathaiva shikShayati, sa svargIyarAjye sarvvebhyaH kShudratvena vikhyAsyate, kintu yo janastAM pAlayati, tathaiva shikShayati cha, sa svargIyarAjye pradhAnatvena vikhyAsyate|
MAT.5.20	aparaM yuShmAn ahaM vadAmi, adhyApakaphirUshimAnavAnAM dharmmAnuShThAnAt yuShmAkaM dharmmAnuShThAne nottame jAte yUyam IshvarIyarAjyaM praveShTuM na shakShyatha|
MAT.5.21	apara ncha tvaM naraM mA vadhIH, yasmAt yo naraM hanti, sa vichArasabhAyAM daNDArho bhaviShyati, pUrvvakAlInajanebhya iti kathitamAsIt, yuShmAbhirashrAvi|
MAT.5.22	kintvahaM yuShmAn vadAmi, yaH kashchit kAraNaM vinA nijabhrAtre kupyati, sa vichArasabhAyAM daNDArho bhaviShyati; yaH kashchichcha svIyasahajaM nirbbodhaM vadati, sa mahAsabhAyAM daNDArho bhaviShyati; punashcha tvaM mUDha iti vAkyaM yadi kashchit svIyabhrAtaraM vakti, tarhi narakAgnau sa daNDArho bhaviShyati|
MAT.5.23	ato vedyAH samIpaM nijanaivedye samAnIte.api nijabhrAtaraM prati kasmAchchit kAraNAt tvaM yadi doShI vidyase, tadAnIM tava tasya smR^iti rjAyate cha,
MAT.5.24	tarhi tasyA vedyAH samIpe nijanaivaidyaM nidhAya tadaiva gatvA pUrvvaM tena sArddhaM mila, pashchAt Agatya nijanaivedyaM nivedaya|
MAT.5.25	anya ncha yAvat vivAdinA sArddhaM vartmani tiShThasi, tAvat tena sArddhaM melanaM kuru; no chet vivAdI vichArayituH samIpe tvAM samarpayati vichArayitA cha rakShiNaH sannidhau samarpayati tadA tvaM kArAyAM badhyethAH|
MAT.5.26	tarhi tvAmahaM taththaM bravImi, sheShakapardake.api na parishodhite tasmAt sthAnAt kadApi bahirAgantuM na shakShyasi|
MAT.5.27	aparaM tvaM mA vyabhichara, yadetad vachanaM pUrvvakAlInalokebhyaH kathitamAsIt, tad yUyaM shrutavantaH;
MAT.5.28	kintvahaM yuShmAn vadAmi, yadi kashchit kAmataH kA nchana yoShitaM pashyati, tarhi sa manasA tadaiva vyabhicharitavAn|
MAT.5.29	tasmAt tava dakShiNaM netraM yadi tvAM bAdhate, tarhi tannetram utpATya dUre nikShipa, yasmAt tava sarvvavapuSho narake nikShepAt tavaikA Ngasya nAsho varaM|
MAT.5.30	yadvA tava dakShiNaH karo yadi tvAM bAdhate, tarhi taM karaM ChittvA dUre nikShipa, yataH sarvvavapuSho narake nikShepAt ekA Ngasya nAsho varaM|
MAT.5.31	uktamAste, yadi kashchin nijajAyAM parityakttum ichChati, tarhi sa tasyai tyAgapatraM dadAtu|
MAT.5.32	kintvahaM yuShmAn vyAharAmi, vyabhichAradoShe na jAte yadi kashchin nijajAyAM parityajati, tarhi sa tAM vyabhichArayati; yashcha tAM tyaktAM striyaM vivahati, sopi vyabhicharati|
MAT.5.33	punashcha tvaM mR^iShA shapatham na kurvvan IshcharAya nijashapathaM pAlaya, pUrvvakAlInalokebhyo yaiShA kathA kathitA, tAmapi yUyaM shrutavantaH|
MAT.5.34	kintvahaM yuShmAn vadAmi, kamapi shapathaM mA kArShTa, arthataH svarganAmnA na, yataH sa Ishvarasya siMhAsanaM;
MAT.5.35	pR^ithivyA nAmnApi na, yataH sA tasya pAdapIThaM; yirUshAlamo nAmnApi na, yataH sA mahArAjasya purI;
MAT.5.36	nijashironAmnApi na, yasmAt tasyaikaM kachamapi sitam asitaM vA karttuM tvayA na shakyate|
MAT.5.37	aparaM yUyaM saMlApasamaye kevalaM bhavatIti na bhavatIti cha vadata yata ito.adhikaM yat tat pApAtmano jAyate|
MAT.5.38	aparaM lochanasya vinimayena lochanaM dantasya vinimayena dantaH pUrvvaktamidaM vachana ncha yuShmAbhirashrUyata|
MAT.5.39	kintvahaM yuShmAn vadAmi yUyaM hiMsakaM naraM mA vyAghAtayata| kintu kenachit tava dakShiNakapole chapeTAghAte kR^ite taM prati vAmaM kapola ncha vyAghoTaya|
MAT.5.40	aparaM kenachit tvayA sArdhdaM vivAdaM kR^itvA tava paridheyavasane jighR^itite tasmAyuttarIyavasanamapi dehi|
MAT.5.41	yadi kashchit tvAM kroshamekaM nayanArthaM anyAyato dharati, tadA tena sArdhdaM kroshadvayaM yAhi|
MAT.5.42	yashcha mAnavastvAM yAchate, tasmai dehi, yadi kashchit tubhyaM dhArayitum ichChati, tarhi taM prati parAMmukho mA bhUH|
MAT.5.43	nijasamIpavasini prema kuru, kintu shatruM prati dveShaM kuru, yadetat puroktaM vachanaM etadapi yUyaM shrutavantaH|
MAT.5.44	kintvahaM yuShmAn vadAmi, yUyaM ripuvvapi prema kuruta, ye cha yuShmAn shapante, tAna, AshiShaM vadata, ye cha yuShmAn R^iृtIyante, teShAM ma NgalaM kuruta, ye cha yuShmAn nindanti, tADayanti cha, teShAM kR^ite prArthayadhvaM|
MAT.5.45	tatra yaH satAmasatA nchopari prabhAkaram udAyayati, tathA dhArmmikAnAmadhArmmikAnA nchopari nIraM varShayati tAdR^isho yo yuShmAkaM svargasthaH pitA, yUyaM tasyaiva santAnA bhaviShyatha|
MAT.5.46	ye yuShmAsu prema kurvvanti, yUyaM yadi kevalaM tevveva prema kurutha, tarhi yuShmAkaM kiM phalaM bhaviShyati? chaNDAlA api tAdR^ishaM kiM na kurvvanti?
MAT.5.47	aparaM yUyaM yadi kevalaM svIyabhrAtR^itvena namata, tarhi kiM mahat karmma kurutha? chaNDAlA api tAdR^ishaM kiM na kurvvanti?
MAT.5.48	tasmAt yuShmAkaM svargasthaH pitA yathA pUrNo bhavati, yUyamapi tAdR^ishA bhavata|
MAT.6.1	sAvadhAnA bhavata, manujAn darshayituM teShAM gochare dharmmakarmma mA kuruta, tathA kR^ite yuShmAkaM svargasthapituH sakAshAt ki nchana phalaM na prApsyatha|
MAT.6.2	tvaM yadA dadAsi tadA kapaTino janA yathA manujebhyaH prashaMsAM prAptuM bhajanabhavane rAjamArge cha tUrIM vAdayanti, tathA mA kuriु, ahaM tubhyaM yathArthaM kathayAmi, te svakAyaM phalam alabhanta|
MAT.6.3	kintu tvaM yadA dadAsi, tadA nijadakShiNakaro yat karoti, tad vAmakaraM mA j nApaya|
MAT.6.4	tena tava dAnaM guptaM bhaviShyati yastu tava pitA guptadarshI, sa prakAshya tubhyaM phalaM dAsyati|
MAT.6.5	aparaM yadA prArthayase, tadA kapaTina_iva mA kuru, yasmAt te bhajanabhavane rAjamArgasya koNe tiShThanto lokAn darshayantaH prArthayituM prIyante; ahaM yuShmAn tathyaM vadAmi, te svakIyaphalaM prApnuvan|
MAT.6.6	tasmAt prArthanAkAle antarAgAraM pravishya dvAraM rudvvA guptaM pashyatastava pituH samIpe prArthayasva; tena tava yaH pitA guptadarshI, sa prakAshya tubhyaM phalaM dAsyatil
MAT.6.7	aparaM prArthanAkAle devapUjakAiva mudhA punaruktiM mA kuru, yasmAt te bodhante, bahuvAraM kathAyAM kathitAyAM teShAM prArthanA grAhiShyate|
MAT.6.8	yUyaM teShAmiva mA kuruta, yasmAt yuShmAkaM yad yat prayojanaM yAchanAtaH prAgeva yuShmAkaM pitA tat jAnAti|
MAT.6.9	ataeva yUyama IdR^ik prArthayadhvaM, he asmAkaM svargasthapitaH, tava nAma pUjyaM bhavatu|
MAT.6.10	tava rAjatvaM bhavatu; tavechChA svarge yathA tathaiva medinyAmapi saphalA bhavatu|
MAT.6.11	asmAkaM prayojanIyam AhAram adya dehi|
MAT.6.12	vayaM yathA nijAparAdhinaH kShamAmahe, tathaivAsmAkam aparAdhAn kShamasva|
MAT.6.13	asmAn parIkShAM mAnaya, kintu pApAtmano rakSha; rAjatvaM gauravaM parAkramaH ete sarvve sarvvadA tava; tathAstu|
MAT.6.14	yadi yUyam anyeShAm aparAdhAn kShamadhve tarhi yuShmAkaM svargasthapitApi yuShmAn kShamiShyate;
MAT.6.15	kintu yadi yUyam anyeShAm aparAdhAn na kShamadhve, tarhi yuShmAkaM janakopi yuShmAkam aparAdhAn na kShamiShyate|
MAT.6.16	aparam upavAsakAle kapaTino janA mAnuShAn upavAsaM j nApayituM sveShAM vadanAni mlAnAni kurvvanti, yUyaM ta_iva viShaNavadanA mA bhavata; ahaM yuShmAn tathyaM vadAmi te svakIyaphalam alabhanta|
MAT.6.17	yadA tvam upavasasi, tadA yathA lokaistvaM upavAsIva na dR^ishyase, kintu tava yo.agocharaH pitA tenaiva dR^ishyase, tatkR^ite nijashirasi tailaM marddaya vadana ncha prakShAlaya;
MAT.6.18	tena tava yaH pitA guptadarshI sa prakAshya tubhyaM phalaM dAsyati|
MAT.6.19	aparaM yatra sthAne kITAH kala NkAshcha kShayaM nayanti, chaurAshcha sandhiM karttayitvA chorayituM shaknuvanti, tAdR^ishyAM medinyAM svArthaM dhanaM mA saMchinuta|
MAT.6.20	kintu yatra sthAne kITAH kala NkAshcha kShayaM na nayanti, chaurAshcha sandhiM karttayitvA chorayituM na shaknuvanti, tAdR^ishe svarge dhanaM sa nchinuta|
MAT.6.21	yasmAt yatra sthAne yuShmAMka dhanaM tatraiva khAne yuShmAkaM manAMsi|
MAT.6.22	lochanaM dehasya pradIpakaM, tasmAt yadi tava lochanaM prasannaM bhavati, tarhi tava kR^itsnaM vapu rdIptiyuktaM bhaviShyati|
MAT.6.23	kintu lochane.aprasanne tava kR^itsnaM vapuH tamisrayuktaM bhaviShyati| ataeva yA dIptistvayi vidyate, sA yadi tamisrayuktA bhavati, tarhi tat tamisraM kiyan mahat|
MAT.6.24	kopi manujo dvau prabhU sevituM na shaknoti, yasmAd ekaM saMmanya tadanyaM na sammanyate, yadvA ekatra mano nidhAya tadanyam avamanyate; tathA yUyamapIshvaraM lakShmI nchetyubhe sevituM na shaknutha|
MAT.6.25	aparam ahaM yuShmabhyaM tathyaM kathayAmi, kiM bhakShiShyAmaH? kiM pAsyAmaH? iti prANadhAraNAya mA chintayata; kiM paridhAsyAmaH? iti kAyarakShaNAya na chintayata; bhakShyAt prANA vasanA ncha vapUMShi kiM shreShThANi na hi?
