MAT.1.1	ibrāhīmaḥ santāno dāyūd tasya santāno yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśreṇī|
MAT.1.22	itthaṁ sati, paśya garbhavatī kanyā tanayaṁ prasaviṣyate| immānūyel tadīyañca nāmadheyaṁ bhaviṣyati|| immānūyel asmākaṁ saṅgīśvara̮ityarthaḥ|
MAT.1.23	iti yad vacanaṁ purvvaṁ bhaviṣyadvaktrā īśvaraḥ kathāyāmāsa, tat tadānīṁ siddhamabhavat|
MAT.1.24	anantaraṁ yūṣaph nidrāto jāgarita utthāya parameśvarīyadūtasya nideśānusāreṇa nijāṁ jāyāṁ jagrāha,
MAT.1.25	kintu yāvat sā nijaṁ prathamasutaṁ a suṣuve, tāvat tāṁ nopāgacchat, tataḥ sutasya nāma yīśuṁ cakre|
MAT.2.1	anantaraṁ herod saṁjñake rājñi rājyaṁ śāsati yihūdīyadeśasya baitlehami nagare yīśau jātavati ca, katipayā jyotirvvudaḥ pūrvvasyā diśo yirūśālamnagaraṁ sametya kathayamāsuḥ,
MAT.2.2	yo yihūdīyānāṁ rājā jātavān, sa kutrāste? vayaṁ pūrvvasyāṁ diśi tiṣṭhantastadīyāṁ tārakām apaśyāma tasmāt taṁ praṇantum aाgamāma|
MAT.2.3	tadā herod rājā kathāmetāṁ niśamya yirūśālamnagarasthitaiḥ sarvvamānavaiḥ sārddham udvijya
MAT.2.4	sarvvān pradhānayājakān adhyāpakāṁśca samāhūyānīya papraccha, khrīṣṭaḥ kutra janiṣyate?
MAT.2.5	tadā te kathayāmāsuḥ, yihūdīyadeśasya baitlehami nagare, yato bhaviṣyadvādinā itthaṁ likhitamāste,
MAT.2.6	sarvvābhyo rājadhānībhyo yihūdīyasya nīvṛtaḥ| he yīhūdīyadeśasye baitleham tvaṁ na cāvarā|isrāyelīyalokān me yato yaḥ pālayiṣyati| tādṛgeko mahārājastvanmadhya udbhaviṣyatī||
MAT.2.7	tadānīṁ herod rājā tān jyotirvvido gopanam āhūya sā tārakā kadā dṛṣṭābhavat , tad viniścayāmāsa|
MAT.2.8	aparaṁ tān baitlehamaṁ prahītya gaditavān, yūyaṁ yāta, yatnāt taṁ śiśum anviṣya taduddeśe prāpte mahyaṁ vārttāṁ dāsyatha, tato mayāpi gatvā sa praṇaṁsyate|
MAT.2.9	tadānīṁ rājña etādṛśīm ājñāṁ prāpya te pratasthire, tataḥ pūrvvarsyāṁ diśi sthitaistai ryā tārakā dṛṣṭā sā tārakā teṣāmagre gatvā yatra sthāne śiśūrāste, tasya sthānasyopari sthagitā tasyau|
MAT.2.10	tad dṛṣṭvā te mahānanditā babhūvuḥ,
MAT.2.11	tato gehamadhya praviśya tasya mātrā mariyamā sāddhaṁ taṁ śiśuṁ nirīkṣaya daṇḍavad bhūtvā praṇemuḥ, aparaṁ sveṣāṁ ghanasampattiṁ mocayitvā suvarṇaṁ kunduruṁ gandharamañca tasmai darśanīyaṁ dattavantaḥ|
MAT.2.12	paścād herod rājasya samīpaṁ punarapi gantuṁ svapna īśvareṇa niṣiddhāḥ santo 'nyena pathā te nijadeśaṁ prati pratasthire|
MAT.2.13	anantaraṁ teṣu gatavatmu parameśvarasya dūto yūṣaphe svapne darśanaṁ datvā jagāda, tvam utthāya śiśuṁ tanmātarañca gṛhītvā misardeśaṁ palāyasva, aparaṁ yāvadahaṁ tubhyaṁ vārttāṁ na kathayiṣyāmi, tāvat tatraiva nivasa, yato rājā herod śiśuṁ nāśayituṁ mṛgayiṣyate|
MAT.2.14	tadānīṁ yūṣaph utthāya rajanyāṁ śiśuṁ tanmātarañca gṛhītvā misardeśaṁ prati pratasthe,
MAT.2.15	gatvā ca herodo nṛpate rmaraṇaparyyantaṁ tatra deśe nyuvāsa, tena misardeśādahaṁ putraṁ svakīyaṁ samupāhūyam| yadetadvacanam īśvareṇa bhaviṣyadvādinā kathitaṁ tat saphalamabhūt|
MAT.2.16	anantaraṁ herod jyotirvidbhirātmānaṁ pravañcitaṁ vijñāya bhṛśaṁ cukopa; aparaṁ jyotirvvidbhyastena viniścitaṁ yad dinaṁ taddinād gaṇayitvā dvitīyavatsaraṁ praviṣṭā yāvanto bālakā asmin baitlehamnagare tatsīmamadhye cāsan, lokān prahitya tān sarvvān ghātayāmāsa|
MAT.2.17	ataḥ anekasya vilāpasya nināda: krandanasya ca| śokena kṛtaśabdaśca rāmāyāṁ saṁniśamyate| svabālagaṇahetorvai rāhel nārī tu rodinī| na manyate prabodhantu yataste naiva manti hi||
MAT.2.18	yadetad vacanaṁ yirīmiyanāmakabhaviṣyadvādinā kathitaṁ tat tadānīṁ saphalam abhūt|
MAT.2.19	tadanantaraṁ heredi rājani mṛte parameśvarasya dūto misardeśe svapne darśanaṁ dattvā yūṣaphe kathitavān
MAT.2.20	tvam utthāya śiśuṁ tanmātarañca gṛhītvā punarapīsrāyelo deśaṁ yāhī, ye janāḥ śiśuṁ nāśayitum amṛgayanta, te mṛtavantaḥ|
MAT.2.21	tadānīṁ sa utthāya śiśuṁ tanmātarañca gṛhlan isrāyeldeśam ājagāma|
MAT.2.22	kintu yihūdīyadeśe arkhilāyanāma rājakumāro nijapitu rherodaḥ padaṁ prāpya rājatvaṁ karotīti niśamya tat sthānaṁ yātuṁ śaṅkitavān, paścāt svapna īśvarāt prabodhaṁ prāpya gālīldeśasya pradeśaikaṁ prasthāya nāsarannāma nagaraṁ gatvā tatra nyuṣitavān,
MAT.2.23	tena taṁ nāsaratīyaṁ kathayiṣyanti, yadetadvākyaṁ bhaviṣyadvādibhirukttaṁ tat saphalamabhavat|
MAT.3.1	tadānoṁ yohnnāmā majjayitā yihūdīyadeśasya prāntaram upasthāya pracārayan kathayāmāsa,
MAT.3.2	manāṁsi parāvarttayata, svargīyarājatvaṁ samīpamāgatam|
MAT.3.3	parameśasya panthānaṁ pariṣkuruta sarvvataḥ| tasya rājapathāṁścaiva samīkuruta sarvvathā| ityetat prāntare vākyaṁ vadataḥ kasyacid ravaḥ||
MAT.3.4	etadvacanaṁ yiśayiyabhaviṣyadvādinā yohanamuddiśya bhāṣitam| yohano vasanaṁ mahāṅgaromajaṁ tasya kaṭau carmmakaṭibandhanaṁ; sa ca śūkakīṭān madhu ca bhuktavān|
MAT.3.5	tadānīṁ yirūśālamnagaranivāsinaḥ sarvve yihūdideśīyā yarddantaṭinyā ubhayataṭasthāśca mānavā bahirāgatya tasya samīpe
MAT.3.6	svīyaṁ svīyaṁ duritam aṅgīkṛtya tasyāṁ yarddani tena majjitā babhūvuḥ|
MAT.3.7	aparaṁ bahūn phirūśinaḥ sidūkinaśca manujān maṁktuṁ svasamīpam āgacchto vilokya sa tān abhidadhau, re re bhujagavaṁśā āgāmīnaḥ kopāt palāyituṁ yuṣmān kaścetitavān?
MAT.3.8	manaḥparāvarttanasya samucitaṁ phalaṁ phalata|
MAT.3.9	kintvasmākaṁ tāta ibrāhīm astīti sveṣu manaḥsu cīntayanto mā vyāharata| yato yuṣmān ahaṁ vadāmi, īśvara etebhyaḥ pāṣāṇebhya ibrāhīmaḥ santānān utpādayituṁ śaknoti|
MAT.3.10	aparaṁ pādapānāṁ mūle kuṭhāra idānīmapi lagan āste, tasmād yasmin pādape uttamaṁ phalaṁ na bhavati, sa kṛtto madhye'gniṁ nikṣepsyate|
MAT.3.11	aparam ahaṁ manaḥparāvarttanasūcakena majjanena yuṣmān majjayāmīti satyaṁ, kintu mama paścād ya āgacchati, sa mattopi mahān, ahaṁ tadīyopānahau voḍhumapi nahi yogyosmi, sa yuṣmān vahnirūpe pavitra ātmani saṁmajjayiṣyati|
MAT.3.12	tasya kāre sūrpa āste, sa svīyaśasyāni samyak prasphoṭya nijān sakalagodhūmān saṁgṛhya bhāṇḍāgāre sthāpayiṣyati, kiṁntu sarvvāṇi vuṣāṇyanirvvāṇavahninā dāhayiṣyati|
MAT.3.13	anantaraṁ yīśu ryohanā majjito bhavituṁ gālīlpradeśād yarddani tasya samīpam ājagāma|
MAT.3.14	kintu yohan taṁ niṣidhya babhāṣe, tvaṁ kiṁ mama samīpam āgacchasi? varaṁ tvayā majjanaṁ mama prayojanam āste|
MAT.3.15	tadānīṁ yīśuḥ pratyavocat; īdānīm anumanyasva, yata itthaṁ sarvvadharmmasādhanam asmākaṁ karttavyaṁ, tataḥ so'nvamanyata|
MAT.3.16	anantaraṁ yīśurammasi majjituḥ san tatkṣaṇāt toyamadhyād utthāya jagāma, tadā jīmūtadvāre mukte jāte, sa īśvarasyātmānaṁ kapotavad avaruhya svoparyyāgacchantaṁ vīkṣāñcakre|
MAT.3.17	aparam eṣa mama priyaḥ putra etasminneva mama mahāsantoṣa etādṛśī vyomajā vāg babhūva|
MAT.4.1	tataḥ paraṁ yīśuḥ pratārakeṇa parīkṣito bhavitum ātmanā prāntaram ākṛṣṭaḥ
MAT.4.2	san catvāriṁśadahorātrān anāhārastiṣṭhan kṣudhito babhūva|
MAT.4.3	tadānīṁ parīkṣitā tatsamīpam āgatya vyāhṛtavān, yadi tvamīśvarātmajo bhavestarhyājñayā pāṣāṇānetān pūpān vidhehi|
MAT.4.4	tataḥ sa pratyabravīt, itthaṁ likhitamāste, "manujaḥ kevalapūpena na jīviṣyati, kintvīśvarasya vadanād yāni yāni vacāṁsi niḥsaranti taireva jīviṣyati|"
MAT.4.5	tadā pratārakastaṁ puṇyanagaraṁ nītvā mandirasya cūḍopari nidhāya gaditavān,
MAT.4.6	tvaṁ yadiśvarasya tanayo bhavestarhīto'dhaḥ pata, yata itthaṁ likhitamāste, ādekṣyati nijān dūtān rakṣituṁ tvāṁ parameśvaraḥ| yathā sarvveṣu mārgeṣu tvadīyacaraṇadvaye| na laget prastarāghātastvāṁ ghariṣyanti te karaiḥ||
MAT.4.7	tadānīṁ yīśustasmai kathitavān etadapi likhitamāste, "tvaṁ nijaprabhuṁ parameśvaraṁ mā parīkṣasva|"
MAT.4.8	anantaraṁ pratārakaḥ punarapi tam atyuñcadharādharopari nītvā jagataḥ sakalarājyāni tadaiśvaryyāṇi ca darśayāścakāra kathayāñcakāra ca,
MAT.4.9	yadi tvaṁ daṇḍavad bhavan māṁ praṇamestarhyaham etāni tubhyaṁ pradāsyāmi|
MAT.4.10	tadānīṁ yīśustamavocat, dūrībhava pratāraka, likhitamidam āste, "tvayā nijaḥ prabhuḥ parameśvaraḥ praṇamyaḥ kevalaḥ sa sevyaśca|"
MAT.4.11	tataḥ pratārakeṇa sa paryyatyāji, tadā svargīyadūtairāgatya sa siṣeve|
MAT.4.12	tadanantaraṁ yohan kārāyāṁ babandhe, tadvārttāṁ niśamya yīśunā gālīl prāsthīyata|
MAT.4.13	tataḥ paraṁ sa nāsarannagaraṁ vihāya jalaghestaṭe sibūlūnnaptālī etayoruvabhayoḥ pradeśayoḥ sīmnormadhyavarttī ya: kapharnāhūm tannagaram itvā nyavasat|
MAT.4.14	tasmāt, anyādeśīyagālīli yarddanpāre'bdhirodhasi| naptālisibūlūndeśau yatra sthāne sthitau purā|
MAT.4.15	tatratyā manujā ye ye paryyabhrāmyan tamisrake| tairjanairbṛhadālokaḥ paridarśiṣyate tadā| avasan ye janā deśe mṛtyucchāyāsvarūpake| teṣāmupari lokānāmālokaḥ saṁprakāśitaḥ||
MAT.4.16	yadetadvacanaṁ yiśayiyabhaviṣyadvādinā proktaṁ, tat tadā saphalam abhūt|
MAT.4.17	anantaraṁ yīśuḥ susaṁvādaṁ pracārayan etāṁ kathāṁ kathayitum ārebhe, manāṁsi parāvarttayata, svargīyarājatvaṁ savidhamabhavat|
MAT.4.18	tataḥ paraṁ yīśu rgālīlo jaladhestaṭena gacchan gacchan āndriyastasya bhrātā śimon arthato yaṁ pitaraṁ vadanti etāvubhau jalaghau jālaṁ kṣipantau dadarśa, yatastau mīnadhāriṇāvāstām|
MAT.4.19	tadā sa tāvāhūya vyājahāra, yuvāṁ mama paścād āgacchataṁ, yuvāmahaṁ manujadhāriṇau kariṣyāmi|
MAT.4.20	tenaiva tau jālaṁ vihāya tasya paścāt āgacchatām|
MAT.4.21	anantaraṁ tasmāt sthānāt vrajan vrajan sivadiyasya sutau yākūb yohannāmānau dvau sahajau tātena sārddhaṁ naukopari jālasya jīrṇoddhāraṁ kurvvantau vīkṣya tāvāhūtavān|
MAT.4.22	tatkṣaṇāt tau nāvaṁ svatātañca vihāya tasya paścādgāminau babhūvatuḥ|
MAT.4.23	anantaraṁ bhajanabhavane samupadiśan rājyasya susaṁvādaṁ pracārayan manujānāṁ sarvvaprakārān rogān sarvvaprakārapīḍāśca śamayan yīśuḥ kṛtsnaṁ gālīldeśaṁ bhramitum ārabhata|
MAT.4.24	tena kṛtsnasuriyādeśasya madhyaṁ tasya yaśo vyāpnot, aparaṁ bhūtagrastā apasmārargīṇaḥ pakṣādhātiprabhṛtayaśca yāvanto manujā nānāvidhavyādhibhiḥ kliṣṭā āsan, teṣu sarvveṣu tasya samīpam ānīteṣu sa tān svasthān cakāra|
MAT.4.25	etena gālīl-dikāpani-yirūśālam-yihūdīyadeśebhyo yarddanaḥ pārāñca bahavo manujāstasya paścād āgacchan|
MAT.5.1	anantaraṁ sa jananivahaṁ nirīkṣya bhūdharopari vrajitvā samupaviveśa|
MAT.5.2	tadānīṁ śiṣyeṣu tasya samīpamāgateṣu tena tebhya eṣā kathā kathyāñcakre|
MAT.5.3	abhimānahīnā janā dhanyāḥ, yataste svargīyarājyam adhikariṣyanti|
MAT.5.4	khidyamānā manujā dhanyāḥ, yasmāt te sāntvanāṁ prāpsanti|
MAT.5.5	namrā mānavāśca dhanyāḥ, yasmāt te medinīm adhikariṣyanti|
MAT.5.6	dharmmāya bubhukṣitāḥ tṛṣārttāśca manujā dhanyāḥ, yasmāt te paritarpsyanti|
MAT.5.7	kṛpālavo mānavā dhanyāḥ, yasmāt te kṛpāṁ prāpsyanti|
MAT.5.8	nirmmalahṛdayā manujāśca dhanyāḥ, yasmāt ta īścaraṁ drakṣyanti|
MAT.5.9	melayitāro mānavā dhanyāḥ, yasmāt ta īścarasya santānatvena vikhyāsyanti|
MAT.5.10	dharmmakāraṇāt tāḍitā manujā dhanyā, yasmāt svargīyarājye teṣāmadhikaro vidyate|
MAT.5.11	yadā manujā mama nāmakṛte yuṣmān nindanti tāḍayanti mṛṣā nānādurvvākyāni vadanti ca, tadā yuyaṁ dhanyāḥ|
MAT.5.12	tadā ānandata, tathā bhṛśaṁ hlādadhvañca, yataḥ svarge bhūyāṁsi phalāni lapsyadhve; te yuṣmākaṁ purātanān bhaviṣyadvādino'pi tādṛg atāḍayan|
MAT.5.13	yuyaṁ medinyāṁ lavaṇarūpāḥ, kintu yadi lavaṇasya lavaṇatvam apayāti, tarhi tat kena prakāreṇa svāduyuktaṁ bhaviṣyati? tat kasyāpi kāryyasyāyogyatvāt kevalaṁ bahiḥ prakṣeptuṁ narāṇāṁ padatalena dalayituñca yogyaṁ bhavati|
MAT.5.14	yūyaṁ jagati dīptirūpāḥ, bhūdharopari sthitaṁ nagaraṁ guptaṁ bhavituṁ nahi śakṣyati|
MAT.5.15	aparaṁ manujāḥ pradīpān prajvālya droṇādho na sthāpayanti, kintu dīpādhāroparyyeva sthāpayanti, tena te dīpā gehasthitān sakalān prakāśayanti|
MAT.5.16	yena mānavā yuṣmākaṁ satkarmmāṇi vilokya yuṣmākaṁ svargasthaṁ pitaraṁ dhanyaṁ vadanti, teṣāṁ samakṣaṁ yuṣmākaṁ dīptistādṛk prakāśatām|
MAT.5.17	ahaṁ vyavasthāṁ bhaviṣyadvākyañca loptum āgatavān, itthaṁ mānubhavata, te dve loptuṁ nāgatavān, kintu saphale karttum āgatosmi|
MAT.5.18	aparaṁ yuṣmān ahaṁ tathyaṁ vadāmi yāvat vyomamedinyo rdhvaṁso na bhaviṣyati, tāvat sarvvasmin saphale na jāte vyavasthāyā ekā mātrā bindurekopi vā na lopsyate|
MAT.5.19	tasmāt yo jana etāsām ājñānām atikṣudrām ekājñāmapī laṁghate manujāṁñca tathaiva śikṣayati, sa svargīyarājye sarvvebhyaḥ kṣudratvena vikhyāsyate, kintu yo janastāṁ pālayati, tathaiva śikṣayati ca, sa svargīyarājye pradhānatvena vikhyāsyate|
MAT.5.20	aparaṁ yuṣmān ahaṁ vadāmi, adhyāpakaphirūśimānavānāṁ dharmmānuṣṭhānāt yuṣmākaṁ dharmmānuṣṭhāne nottame jāte yūyam īśvarīyarājyaṁ praveṣṭuṁ na śakṣyatha|
MAT.5.21	aparañca tvaṁ naraṁ mā vadhīḥ, yasmāt yo naraṁ hanti, sa vicārasabhāyāṁ daṇḍārho bhaviṣyati, pūrvvakālīnajanebhya iti kathitamāsīt, yuṣmābhiraśrāvi|
MAT.5.22	kintvahaṁ yuṣmān vadāmi, yaḥ kaścit kāraṇaṁ vinā nijabhrātre kupyati, sa vicārasabhāyāṁ daṇḍārho bhaviṣyati; yaḥ kaścicca svīyasahajaṁ nirbbodhaṁ vadati, sa mahāsabhāyāṁ daṇḍārho bhaviṣyati; punaśca tvaṁ mūḍha iti vākyaṁ yadi kaścit svīyabhrātaraṁ vakti, tarhi narakāgnau sa daṇḍārho bhaviṣyati|
MAT.5.23	ato vedyāḥ samīpaṁ nijanaivedye samānīte'pi nijabhrātaraṁ prati kasmāccit kāraṇāt tvaṁ yadi doṣī vidyase, tadānīṁ tava tasya smṛti rjāyate ca,
MAT.5.24	tarhi tasyā vedyāḥ samīpe nijanaivaidyaṁ nidhāya tadaiva gatvā pūrvvaṁ tena sārddhaṁ mila, paścāt āgatya nijanaivedyaṁ nivedaya|
MAT.5.25	anyañca yāvat vivādinā sārddhaṁ vartmani tiṣṭhasi, tāvat tena sārddhaṁ melanaṁ kuru; no cet vivādī vicārayituḥ samīpe tvāṁ samarpayati vicārayitā ca rakṣiṇaḥ sannidhau samarpayati tadā tvaṁ kārāyāṁ badhyethāḥ|
MAT.5.26	tarhi tvāmahaṁ taththaṁ bravīmi, śeṣakapardake'pi na pariśodhite tasmāt sthānāt kadāpi bahirāgantuṁ na śakṣyasi|
MAT.5.27	aparaṁ tvaṁ mā vyabhicara, yadetad vacanaṁ pūrvvakālīnalokebhyaḥ kathitamāsīt, tad yūyaṁ śrutavantaḥ;
MAT.5.28	kintvahaṁ yuṣmān vadāmi, yadi kaścit kāmataḥ kāñcana yoṣitaṁ paśyati, tarhi sa manasā tadaiva vyabhicaritavān|
MAT.5.29	tasmāt tava dakṣiṇaṁ netraṁ yadi tvāṁ bādhate, tarhi tannetram utpāṭya dūre nikṣipa, yasmāt tava sarvvavapuṣo narake nikṣepāt tavaikāṅgasya nāśo varaṁ|
MAT.5.30	yadvā tava dakṣiṇaḥ karo yadi tvāṁ bādhate, tarhi taṁ karaṁ chittvā dūre nikṣipa, yataḥ sarvvavapuṣo narake nikṣepāt ekāṅgasya nāśo varaṁ|
MAT.5.31	uktamāste, yadi kaścin nijajāyāṁ parityakttum icchati, tarhi sa tasyai tyāgapatraṁ dadātu|
MAT.5.32	kintvahaṁ yuṣmān vyāharāmi, vyabhicāradoṣe na jāte yadi kaścin nijajāyāṁ parityajati, tarhi sa tāṁ vyabhicārayati; yaśca tāṁ tyaktāṁ striyaṁ vivahati, sopi vyabhicarati|
MAT.5.33	punaśca tvaṁ mṛṣā śapatham na kurvvan īścarāya nijaśapathaṁ pālaya, pūrvvakālīnalokebhyo yaiṣā kathā kathitā, tāmapi yūyaṁ śrutavantaḥ|
MAT.5.34	kintvahaṁ yuṣmān vadāmi, kamapi śapathaṁ mā kārṣṭa, arthataḥ svarganāmnā na, yataḥ sa īśvarasya siṁhāsanaṁ;
MAT.5.35	pṛthivyā nāmnāpi na, yataḥ sā tasya pādapīṭhaṁ; yirūśālamo nāmnāpi na, yataḥ sā mahārājasya purī;
MAT.5.36	nijaśironāmnāpi na, yasmāt tasyaikaṁ kacamapi sitam asitaṁ vā karttuṁ tvayā na śakyate|
MAT.5.37	aparaṁ yūyaṁ saṁlāpasamaye kevalaṁ bhavatīti na bhavatīti ca vadata yata ito'dhikaṁ yat tat pāpātmano jāyate|
MAT.5.38	aparaṁ locanasya vinimayena locanaṁ dantasya vinimayena dantaḥ pūrvvaktamidaṁ vacanañca yuṣmābhiraśrūyata|
MAT.5.39	kintvahaṁ yuṣmān vadāmi yūyaṁ hiṁsakaṁ naraṁ mā vyāghātayata| kintu kenacit tava dakṣiṇakapole capeṭāghāte kṛte taṁ prati vāmaṁ kapolañca vyāghoṭaya|
MAT.5.40	aparaṁ kenacit tvayā sārdhdaṁ vivādaṁ kṛtvā tava paridheyavasane jighṛtite tasmāyuttarīyavasanamapi dehi|
MAT.5.41	yadi kaścit tvāṁ krośamekaṁ nayanārthaṁ anyāyato dharati, tadā tena sārdhdaṁ krośadvayaṁ yāhi|
MAT.5.42	yaśca mānavastvāṁ yācate, tasmai dehi, yadi kaścit tubhyaṁ dhārayitum icchati, tarhi taṁ prati parāṁmukho mā bhūḥ|
MAT.5.43	nijasamīpavasini prema kuru, kintu śatruṁ prati dveṣaṁ kuru, yadetat puroktaṁ vacanaṁ etadapi yūyaṁ śrutavantaḥ|
MAT.5.44	kintvahaṁ yuṣmān vadāmi, yūyaṁ ripuvvapi prema kuruta, ye ca yuṣmān śapante, tāna, āśiṣaṁ vadata, ye ca yuṣmān ṛृtīyante, teṣāṁ maṅgalaṁ kuruta, ye ca yuṣmān nindanti, tāḍayanti ca, teṣāṁ kṛte prārthayadhvaṁ|
MAT.5.45	tatra yaḥ satāmasatāñcopari prabhākaram udāyayati, tathā dhārmmikānāmadhārmmikānāñcopari nīraṁ varṣayati tādṛśo yo yuṣmākaṁ svargasthaḥ pitā, yūyaṁ tasyaiva santānā bhaviṣyatha|
MAT.5.46	ye yuṣmāsu prema kurvvanti, yūyaṁ yadi kevalaṁ tevveva prema kurutha, tarhi yuṣmākaṁ kiṁ phalaṁ bhaviṣyati? caṇḍālā api tādṛśaṁ kiṁ na kurvvanti?
MAT.5.47	aparaṁ yūyaṁ yadi kevalaṁ svīyabhrātṛtvena namata, tarhi kiṁ mahat karmma kurutha? caṇḍālā api tādṛśaṁ kiṁ na kurvvanti?
MAT.5.48	tasmāt yuṣmākaṁ svargasthaḥ pitā yathā pūrṇo bhavati, yūyamapi tādṛśā bhavata|
MAT.6.1	sāvadhānā bhavata, manujān darśayituṁ teṣāṁ gocare dharmmakarmma mā kuruta, tathā kṛte yuṣmākaṁ svargasthapituḥ sakāśāt kiñcana phalaṁ na prāpsyatha|
MAT.6.2	tvaṁ yadā dadāsi tadā kapaṭino janā yathā manujebhyaḥ praśaṁsāṁ prāptuṁ bhajanabhavane rājamārge ca tūrīṁ vādayanti, tathā mā kuriु, ahaṁ tubhyaṁ yathārthaṁ kathayāmi, te svakāyaṁ phalam alabhanta|
MAT.6.3	kintu tvaṁ yadā dadāsi, tadā nijadakṣiṇakaro yat karoti, tad vāmakaraṁ mā jñāpaya|
MAT.6.4	tena tava dānaṁ guptaṁ bhaviṣyati yastu tava pitā guptadarśī, sa prakāśya tubhyaṁ phalaṁ dāsyati|
MAT.6.5	aparaṁ yadā prārthayase, tadā kapaṭina̮iva mā kuru, yasmāt te bhajanabhavane rājamārgasya koṇe tiṣṭhanto lokān darśayantaḥ prārthayituṁ prīyante; ahaṁ yuṣmān tathyaṁ vadāmi, te svakīyaphalaṁ prāpnuvan|
MAT.6.6	tasmāt prārthanākāle antarāgāraṁ praviśya dvāraṁ rudvvā guptaṁ paśyatastava pituḥ samīpe prārthayasva; tena tava yaḥ pitā guptadarśī, sa prakāśya tubhyaṁ phalaṁ dāsyatil
MAT.6.7	aparaṁ prārthanākāle devapūjakāiva mudhā punaruktiṁ mā kuru, yasmāt te bodhante, bahuvāraṁ kathāyāṁ kathitāyāṁ teṣāṁ prārthanā grāhiṣyate|
MAT.6.8	yūyaṁ teṣāmiva mā kuruta, yasmāt yuṣmākaṁ yad yat prayojanaṁ yācanātaḥ prāgeva yuṣmākaṁ pitā tat jānāti|
MAT.6.9	ataeva yūyama īdṛk prārthayadhvaṁ, he asmākaṁ svargasthapitaḥ, tava nāma pūjyaṁ bhavatu|
MAT.6.10	tava rājatvaṁ bhavatu; tavecchā svarge yathā tathaiva medinyāmapi saphalā bhavatu|
MAT.6.11	asmākaṁ prayojanīyam āhāram adya dehi|
MAT.6.12	vayaṁ yathā nijāparādhinaḥ kṣamāmahe, tathaivāsmākam aparādhān kṣamasva|
MAT.6.13	asmān parīkṣāṁ mānaya, kintu pāpātmano rakṣa; rājatvaṁ gauravaṁ parākramaḥ ete sarvve sarvvadā tava; tathāstu|
MAT.6.14	yadi yūyam anyeṣām aparādhān kṣamadhve tarhi yuṣmākaṁ svargasthapitāpi yuṣmān kṣamiṣyate;
MAT.6.15	kintu yadi yūyam anyeṣām aparādhān na kṣamadhve, tarhi yuṣmākaṁ janakopi yuṣmākam aparādhān na kṣamiṣyate|
