MAT.1.1	ibraahiima.h santaano daayuud tasya santaano yii"sukhrii.s.tastasya puurvvapuru.sava.m"sa"sre.nii|
MAT.1.19	tatra tasyaa.h pati ryuu.saph saujanyaat tasyaa.h kala"nga.m prakaa"sayitum anicchan gopanene taa.m paarityaktu.m mana"scakre|
MAT.1.20	sa tathaiva bhaavayati, tadaanii.m parame"svarasya duuta.h svapne ta.m dar"sana.m dattvaa vyaajahaara, he daayuuda.h santaana yuu.saph tva.m nijaa.m jaayaa.m mariyamam aadaatu.m maa bhai.sii.h|
MAT.1.21	yatastasyaa garbha.h pavitraadaatmano.abhavat, saa ca putra.m prasavi.syate, tadaa tva.m tasya naama yii"sum (arthaat traataara.m) karii.syase, yasmaat sa nijamanujaan te.saa.m kalu.sebhya uddhari.syati|
MAT.1.22	ittha.m sati, pa"sya garbhavatii kanyaa tanaya.m prasavi.syate| immaanuuyel tadiiya nca naamadheya.m bhavi.syati|| immaanuuyel asmaaka.m sa"ngii"svara_ityartha.h|
MAT.1.23	iti yad vacana.m purvva.m bhavi.syadvaktraa ii"svara.h kathaayaamaasa, tat tadaanii.m siddhamabhavat|
MAT.1.24	anantara.m yuu.saph nidraato jaagarita utthaaya parame"svariiyaduutasya nide"saanusaare.na nijaa.m jaayaa.m jagraaha,
MAT.1.25	kintu yaavat saa nija.m prathamasuta.m a su.suve, taavat taa.m nopaagacchat, tata.h sutasya naama yii"su.m cakre|
MAT.2.1	anantara.m herod sa.mj nake raaj ni raajya.m "saasati yihuudiiyade"sasya baitlehami nagare yii"sau jaatavati ca, katipayaa jyotirvvuda.h puurvvasyaa di"so yiruu"saalamnagara.m sametya kathayamaasu.h,
MAT.2.2	yo yihuudiiyaanaa.m raajaa jaatavaan, sa kutraaste? vaya.m puurvvasyaa.m di"si ti.s.thantastadiiyaa.m taarakaam apa"syaama tasmaat ta.m pra.nantum aाgamaama|
MAT.2.3	tadaa herod raajaa kathaametaa.m ni"samya yiruu"saalamnagarasthitai.h sarvvamaanavai.h saarddham udvijya
MAT.2.4	sarvvaan pradhaanayaajakaan adhyaapakaa.m"sca samaahuuyaaniiya papraccha, khrii.s.ta.h kutra jani.syate?
MAT.2.5	tadaa te kathayaamaasu.h, yihuudiiyade"sasya baitlehami nagare, yato bhavi.syadvaadinaa ittha.m likhitamaaste,
MAT.2.6	sarvvaabhyo raajadhaaniibhyo yihuudiiyasya niiv.rta.h| he yiihuudiiyade"sasye baitleham tva.m na caavaraa|israayeliiyalokaan me yato ya.h paalayi.syati| taad.rgeko mahaaraajastvanmadhya udbhavi.syatii||
MAT.2.7	tadaanii.m herod raajaa taan jyotirvvido gopanam aahuuya saa taarakaa kadaa d.r.s.taabhavat , tad vini"scayaamaasa|
MAT.2.8	apara.m taan baitlehama.m prahiitya gaditavaan, yuuya.m yaata, yatnaat ta.m "si"sum anvi.sya tadudde"se praapte mahya.m vaarttaa.m daasyatha, tato mayaapi gatvaa sa pra.na.msyate|
MAT.2.9	tadaanii.m raaj na etaad.r"siim aaj naa.m praapya te pratasthire, tata.h puurvvarsyaa.m di"si sthitaistai ryaa taarakaa d.r.s.taa saa taarakaa te.saamagre gatvaa yatra sthaane "si"suuraaste, tasya sthaanasyopari sthagitaa tasyau|
MAT.2.10	tad d.r.s.tvaa te mahaananditaa babhuuvu.h,
MAT.2.11	tato gehamadhya pravi"sya tasya maatraa mariyamaa saaddha.m ta.m "si"su.m niriik.saya da.n.davad bhuutvaa pra.nemu.h, apara.m sve.saa.m ghanasampatti.m mocayitvaa suvar.na.m kunduru.m gandharama nca tasmai dar"saniiya.m dattavanta.h|
MAT.2.12	pa"scaad herod raajasya samiipa.m punarapi gantu.m svapna ii"svare.na ni.siddhaa.h santo .anyena pathaa te nijade"sa.m prati pratasthire|
MAT.2.13	anantara.m te.su gatavatmu parame"svarasya duuto yuu.saphe svapne dar"sana.m datvaa jagaada, tvam utthaaya "si"su.m tanmaatara nca g.rhiitvaa misarde"sa.m palaayasva, apara.m yaavadaha.m tubhya.m vaarttaa.m na kathayi.syaami, taavat tatraiva nivasa, yato raajaa herod "si"su.m naa"sayitu.m m.rgayi.syate|
MAT.2.14	tadaanii.m yuu.saph utthaaya rajanyaa.m "si"su.m tanmaatara nca g.rhiitvaa misarde"sa.m prati pratasthe,
MAT.2.15	gatvaa ca herodo n.rpate rmara.naparyyanta.m tatra de"se nyuvaasa, tena misarde"saadaha.m putra.m svakiiya.m samupaahuuyam| yadetadvacanam ii"svare.na bhavi.syadvaadinaa kathita.m tat saphalamabhuut|
MAT.2.16	anantara.m herod jyotirvidbhiraatmaana.m prava ncita.m vij naaya bh.r"sa.m cukopa; apara.m jyotirvvidbhyastena vini"scita.m yad dina.m taddinaad ga.nayitvaa dvitiiyavatsara.m pravi.s.taa yaavanto baalakaa asmin baitlehamnagare tatsiimamadhye caasan, lokaan prahitya taan sarvvaan ghaatayaamaasa|
MAT.2.17	ata.h anekasya vilaapasya ninaada: krandanasya ca| "sokena k.rta"sabda"sca raamaayaa.m sa.mni"samyate| svabaalaga.nahetorvai raahel naarii tu rodinii| na manyate prabodhantu yataste naiva manti hi||
MAT.2.18	yadetad vacana.m yiriimiyanaamakabhavi.syadvaadinaa kathita.m tat tadaanii.m saphalam abhuut|
MAT.2.19	tadanantara.m heredi raajani m.rte parame"svarasya duuto misarde"se svapne dar"sana.m dattvaa yuu.saphe kathitavaan
MAT.2.20	tvam utthaaya "si"su.m tanmaatara nca g.rhiitvaa punarapiisraayelo de"sa.m yaahii, ye janaa.h "si"su.m naa"sayitum am.rgayanta, te m.rtavanta.h|
MAT.2.21	tadaanii.m sa utthaaya "si"su.m tanmaatara nca g.rhlan israayelde"sam aajagaama|
MAT.2.22	kintu yihuudiiyade"se arkhilaayanaama raajakumaaro nijapitu rheroda.h pada.m praapya raajatva.m karotiiti ni"samya tat sthaana.m yaatu.m "sa"nkitavaan, pa"scaat svapna ii"svaraat prabodha.m praapya gaaliilde"sasya prade"saika.m prasthaaya naasarannaama nagara.m gatvaa tatra nyu.sitavaan,
MAT.2.23	tena ta.m naasaratiiya.m kathayi.syanti, yadetadvaakya.m bhavi.syadvaadibhiruktta.m tat saphalamabhavat|
MAT.3.1	tadaano.m yohnnaamaa majjayitaa yihuudiiyade"sasya praantaram upasthaaya pracaarayan kathayaamaasa,
MAT.3.2	manaa.msi paraavarttayata, svargiiyaraajatva.m samiipamaagatam|
MAT.3.3	parame"sasya panthaana.m pari.skuruta sarvvata.h| tasya raajapathaa.m"scaiva samiikuruta sarvvathaa| ityetat praantare vaakya.m vadata.h kasyacid rava.h||
MAT.3.4	etadvacana.m yi"sayiyabhavi.syadvaadinaa yohanamuddi"sya bhaa.sitam| yohano vasana.m mahaa"ngaromaja.m tasya ka.tau carmmaka.tibandhana.m; sa ca "suukakii.taan madhu ca bhuktavaan|
MAT.3.5	tadaanii.m yiruu"saalamnagaranivaasina.h sarvve yihuudide"siiyaa yarddanta.tinyaa ubhayata.tasthaa"sca maanavaa bahiraagatya tasya samiipe
MAT.3.6	sviiya.m sviiya.m duritam a"ngiik.rtya tasyaa.m yarddani tena majjitaa babhuuvu.h|
MAT.3.7	apara.m bahuun phiruu"sina.h siduukina"sca manujaan ma.mktu.m svasamiipam aagacchto vilokya sa taan abhidadhau, re re bhujagava.m"saa aagaamiina.h kopaat palaayitu.m yu.smaan ka"scetitavaan?
MAT.3.8	mana.hparaavarttanasya samucita.m phala.m phalata|
MAT.3.9	kintvasmaaka.m taata ibraahiim astiiti sve.su mana.hsu ciintayanto maa vyaaharata| yato yu.smaan aha.m vadaami, ii"svara etebhya.h paa.saa.nebhya ibraahiima.h santaanaan utpaadayitu.m "saknoti|
MAT.3.10	apara.m paadapaanaa.m muule ku.thaara idaaniimapi lagan aaste, tasmaad yasmin paadape uttama.m phala.m na bhavati, sa k.rtto madhye.agni.m nik.sepsyate|
MAT.3.11	aparam aha.m mana.hparaavarttanasuucakena majjanena yu.smaan majjayaamiiti satya.m, kintu mama pa"scaad ya aagacchati, sa mattopi mahaan, aha.m tadiiyopaanahau vo.dhumapi nahi yogyosmi, sa yu.smaan vahniruupe pavitra aatmani sa.mmajjayi.syati|
MAT.3.12	tasya kaare suurpa aaste, sa sviiya"sasyaani samyak praspho.tya nijaan sakalagodhuumaan sa.mg.rhya bhaa.n.daagaare sthaapayi.syati, ki.mntu sarvvaa.ni vu.saa.nyanirvvaa.navahninaa daahayi.syati|
MAT.3.13	anantara.m yii"su ryohanaa majjito bhavitu.m gaaliilprade"saad yarddani tasya samiipam aajagaama|
MAT.3.14	kintu yohan ta.m ni.sidhya babhaa.se, tva.m ki.m mama samiipam aagacchasi? vara.m tvayaa majjana.m mama prayojanam aaste|
MAT.3.15	tadaanii.m yii"su.h pratyavocat; iidaaniim anumanyasva, yata ittha.m sarvvadharmmasaadhanam asmaaka.m karttavya.m, tata.h so.anvamanyata|
MAT.3.16	anantara.m yii"surammasi majjitu.h san tatk.sa.naat toyamadhyaad utthaaya jagaama, tadaa jiimuutadvaare mukte jaate, sa ii"svarasyaatmaana.m kapotavad avaruhya svoparyyaagacchanta.m viik.saa ncakre|
MAT.3.17	aparam e.sa mama priya.h putra etasminneva mama mahaasanto.sa etaad.r"sii vyomajaa vaag babhuuva|
MAT.4.1	tata.h para.m yii"su.h prataarake.na pariik.sito bhavitum aatmanaa praantaram aak.r.s.ta.h
MAT.4.2	san catvaari.m"sadahoraatraan anaahaarasti.s.than k.sudhito babhuuva|
MAT.4.3	tadaanii.m pariik.sitaa tatsamiipam aagatya vyaah.rtavaan, yadi tvamii"svaraatmajo bhavestarhyaaj nayaa paa.saa.naanetaan puupaan vidhehi|
MAT.4.4	tata.h sa pratyabraviit, ittha.m likhitamaaste, "manuja.h kevalapuupena na jiivi.syati, kintvii"svarasya vadanaad yaani yaani vacaa.msi ni.hsaranti taireva jiivi.syati|"
MAT.4.5	tadaa prataarakasta.m pu.nyanagara.m niitvaa mandirasya cuu.dopari nidhaaya gaditavaan,
MAT.4.6	tva.m yadi"svarasya tanayo bhavestarhiito.adha.h pata, yata ittha.m likhitamaaste, aadek.syati nijaan duutaan rak.situ.m tvaa.m parame"svara.h| yathaa sarvve.su maarge.su tvadiiyacara.nadvaye| na laget prastaraaghaatastvaa.m ghari.syanti te karai.h||
MAT.4.7	tadaanii.m yii"sustasmai kathitavaan etadapi likhitamaaste, "tva.m nijaprabhu.m parame"svara.m maa pariik.sasva|"
MAT.4.8	anantara.m prataaraka.h punarapi tam atyu ncadharaadharopari niitvaa jagata.h sakalaraajyaani tadai"svaryyaa.ni ca dar"sayaa"scakaara kathayaa ncakaara ca,
MAT.4.9	yadi tva.m da.n.davad bhavan maa.m pra.namestarhyaham etaani tubhya.m pradaasyaami|
MAT.4.10	tadaanii.m yii"sustamavocat, duuriibhava prataaraka, likhitamidam aaste, "tvayaa nija.h prabhu.h parame"svara.h pra.namya.h kevala.h sa sevya"sca|"
MAT.4.11	tata.h prataarake.na sa paryyatyaaji, tadaa svargiiyaduutairaagatya sa si.seve|
MAT.4.12	tadanantara.m yohan kaaraayaa.m babandhe, tadvaarttaa.m ni"samya yii"sunaa gaaliil praasthiiyata|
MAT.4.13	tata.h para.m sa naasarannagara.m vihaaya jalaghesta.te sibuuluunnaptaalii etayoruvabhayo.h prade"sayo.h siimnormadhyavarttii ya: kapharnaahuum tannagaram itvaa nyavasat|
MAT.4.14	tasmaat, anyaade"siiyagaaliili yarddanpaare.abdhirodhasi| naptaalisibuuluunde"sau yatra sthaane sthitau puraa|
MAT.4.15	tatratyaa manujaa ye ye paryyabhraamyan tamisrake| tairjanairb.rhadaaloka.h paridar"si.syate tadaa| avasan ye janaa de"se m.rtyucchaayaasvaruupake| te.saamupari lokaanaamaaloka.h sa.mprakaa"sita.h||
MAT.4.16	yadetadvacana.m yi"sayiyabhavi.syadvaadinaa prokta.m, tat tadaa saphalam abhuut|
MAT.4.17	anantara.m yii"su.h susa.mvaada.m pracaarayan etaa.m kathaa.m kathayitum aarebhe, manaa.msi paraavarttayata, svargiiyaraajatva.m savidhamabhavat|
MAT.4.18	tata.h para.m yii"su rgaaliilo jaladhesta.tena gacchan gacchan aandriyastasya bhraataa "simon arthato ya.m pitara.m vadanti etaavubhau jalaghau jaala.m k.sipantau dadar"sa, yatastau miinadhaari.naavaastaam|
MAT.4.19	tadaa sa taavaahuuya vyaajahaara, yuvaa.m mama pa"scaad aagacchata.m, yuvaamaha.m manujadhaari.nau kari.syaami|
MAT.4.20	tenaiva tau jaala.m vihaaya tasya pa"scaat aagacchataam|
MAT.4.21	anantara.m tasmaat sthaanaat vrajan vrajan sivadiyasya sutau yaakuub yohannaamaanau dvau sahajau taatena saarddha.m naukopari jaalasya jiir.noddhaara.m kurvvantau viik.sya taavaahuutavaan|
MAT.4.22	tatk.sa.naat tau naava.m svataata nca vihaaya tasya pa"scaadgaaminau babhuuvatu.h|
MAT.4.23	anantara.m bhajanabhavane samupadi"san raajyasya susa.mvaada.m pracaarayan manujaanaa.m sarvvaprakaaraan rogaan sarvvaprakaarapii.daa"sca "samayan yii"su.h k.rtsna.m gaaliilde"sa.m bhramitum aarabhata|
MAT.4.24	tena k.rtsnasuriyaade"sasya madhya.m tasya ya"so vyaapnot, apara.m bhuutagrastaa apasmaarargii.na.h pak.saadhaatiprabh.rtaya"sca yaavanto manujaa naanaavidhavyaadhibhi.h kli.s.taa aasan, te.su sarvve.su tasya samiipam aaniite.su sa taan svasthaan cakaara|
MAT.4.25	etena gaaliil-dikaapani-yiruu"saalam-yihuudiiyade"sebhyo yarddana.h paaraa nca bahavo manujaastasya pa"scaad aagacchan|
MAT.5.1	anantara.m sa jananivaha.m niriik.sya bhuudharopari vrajitvaa samupavive"sa|
MAT.5.2	tadaanii.m "si.sye.su tasya samiipamaagate.su tena tebhya e.saa kathaa kathyaa ncakre|
MAT.5.3	abhimaanahiinaa janaa dhanyaa.h, yataste svargiiyaraajyam adhikari.syanti|
MAT.5.4	khidyamaanaa manujaa dhanyaa.h, yasmaat te saantvanaa.m praapsanti|
MAT.5.5	namraa maanavaa"sca dhanyaa.h, yasmaat te mediniim adhikari.syanti|
MAT.5.6	dharmmaaya bubhuk.sitaa.h t.r.saarttaa"sca manujaa dhanyaa.h, yasmaat te paritarpsyanti|
MAT.5.7	k.rpaalavo maanavaa dhanyaa.h, yasmaat te k.rpaa.m praapsyanti|
MAT.5.8	nirmmalah.rdayaa manujaa"sca dhanyaa.h, yasmaat ta ii"scara.m drak.syanti|
MAT.5.9	melayitaaro maanavaa dhanyaa.h, yasmaat ta ii"scarasya santaanatvena vikhyaasyanti|
MAT.5.10	dharmmakaara.naat taa.ditaa manujaa dhanyaa, yasmaat svargiiyaraajye te.saamadhikaro vidyate|
MAT.5.11	yadaa manujaa mama naamak.rte yu.smaan nindanti taa.dayanti m.r.saa naanaadurvvaakyaani vadanti ca, tadaa yuya.m dhanyaa.h|
MAT.5.12	tadaa aanandata, tathaa bh.r"sa.m hlaadadhva nca, yata.h svarge bhuuyaa.msi phalaani lapsyadhve; te yu.smaaka.m puraatanaan bhavi.syadvaadino.api taad.rg ataa.dayan|
MAT.5.13	yuya.m medinyaa.m lava.naruupaa.h, kintu yadi lava.nasya lava.natvam apayaati, tarhi tat kena prakaare.na svaaduyukta.m bhavi.syati? tat kasyaapi kaaryyasyaayogyatvaat kevala.m bahi.h prak.septu.m naraa.naa.m padatalena dalayitu nca yogya.m bhavati|
MAT.5.14	yuuya.m jagati diiptiruupaa.h, bhuudharopari sthita.m nagara.m gupta.m bhavitu.m nahi "sak.syati|
MAT.5.15	apara.m manujaa.h pradiipaan prajvaalya dro.naadho na sthaapayanti, kintu diipaadhaaroparyyeva sthaapayanti, tena te diipaa gehasthitaan sakalaan prakaa"sayanti|
MAT.5.16	yena maanavaa yu.smaaka.m satkarmmaa.ni vilokya yu.smaaka.m svargastha.m pitara.m dhanya.m vadanti, te.saa.m samak.sa.m yu.smaaka.m diiptistaad.rk prakaa"sataam|
MAT.5.17	aha.m vyavasthaa.m bhavi.syadvaakya nca loptum aagatavaan, ittha.m maanubhavata, te dve loptu.m naagatavaan, kintu saphale karttum aagatosmi|
MAT.5.18	apara.m yu.smaan aha.m tathya.m vadaami yaavat vyomamedinyo rdhva.mso na bhavi.syati, taavat sarvvasmin saphale na jaate vyavasthaayaa ekaa maatraa bindurekopi vaa na lopsyate|
MAT.5.19	tasmaat yo jana etaasaam aaj naanaam atik.sudraam ekaaj naamapii la.mghate manujaa.m nca tathaiva "sik.sayati, sa svargiiyaraajye sarvvebhya.h k.sudratvena vikhyaasyate, kintu yo janastaa.m paalayati, tathaiva "sik.sayati ca, sa svargiiyaraajye pradhaanatvena vikhyaasyate|
MAT.5.20	apara.m yu.smaan aha.m vadaami, adhyaapakaphiruu"simaanavaanaa.m dharmmaanu.s.thaanaat yu.smaaka.m dharmmaanu.s.thaane nottame jaate yuuyam ii"svariiyaraajya.m prave.s.tu.m na "sak.syatha|
MAT.5.21	apara nca tva.m nara.m maa vadhii.h, yasmaat yo nara.m hanti, sa vicaarasabhaayaa.m da.n.daarho bhavi.syati, puurvvakaaliinajanebhya iti kathitamaasiit, yu.smaabhira"sraavi|
MAT.5.22	kintvaha.m yu.smaan vadaami, ya.h ka"scit kaara.na.m vinaa nijabhraatre kupyati, sa vicaarasabhaayaa.m da.n.daarho bhavi.syati; ya.h ka"scicca sviiyasahaja.m nirbbodha.m vadati, sa mahaasabhaayaa.m da.n.daarho bhavi.syati; puna"sca tva.m muu.dha iti vaakya.m yadi ka"scit sviiyabhraatara.m vakti, tarhi narakaagnau sa da.n.daarho bhavi.syati|
MAT.5.23	ato vedyaa.h samiipa.m nijanaivedye samaaniite.api nijabhraatara.m prati kasmaaccit kaara.naat tva.m yadi do.sii vidyase, tadaanii.m tava tasya sm.rti rjaayate ca,
MAT.5.24	tarhi tasyaa vedyaa.h samiipe nijanaivaidya.m nidhaaya tadaiva gatvaa puurvva.m tena saarddha.m mila, pa"scaat aagatya nijanaivedya.m nivedaya|
MAT.5.25	anya nca yaavat vivaadinaa saarddha.m vartmani ti.s.thasi, taavat tena saarddha.m melana.m kuru; no cet vivaadii vicaarayitu.h samiipe tvaa.m samarpayati vicaarayitaa ca rak.si.na.h sannidhau samarpayati tadaa tva.m kaaraayaa.m badhyethaa.h|
MAT.5.26	tarhi tvaamaha.m taththa.m braviimi, "se.sakapardake.api na pari"sodhite tasmaat sthaanaat kadaapi bahiraagantu.m na "sak.syasi|
MAT.5.27	apara.m tva.m maa vyabhicara, yadetad vacana.m puurvvakaaliinalokebhya.h kathitamaasiit, tad yuuya.m "srutavanta.h;
MAT.5.28	kintvaha.m yu.smaan vadaami, yadi ka"scit kaamata.h kaa ncana yo.sita.m pa"syati, tarhi sa manasaa tadaiva vyabhicaritavaan|
MAT.5.29	tasmaat tava dak.si.na.m netra.m yadi tvaa.m baadhate, tarhi tannetram utpaa.tya duure nik.sipa, yasmaat tava sarvvavapu.so narake nik.sepaat tavaikaa"ngasya naa"so vara.m|
MAT.5.30	yadvaa tava dak.si.na.h karo yadi tvaa.m baadhate, tarhi ta.m kara.m chittvaa duure nik.sipa, yata.h sarvvavapu.so narake nik.sepaat ekaa"ngasya naa"so vara.m|
MAT.5.31	uktamaaste, yadi ka"scin nijajaayaa.m parityakttum icchati, tarhi sa tasyai tyaagapatra.m dadaatu|
MAT.5.32	kintvaha.m yu.smaan vyaaharaami, vyabhicaarado.se na jaate yadi ka"scin nijajaayaa.m parityajati, tarhi sa taa.m vyabhicaarayati; ya"sca taa.m tyaktaa.m striya.m vivahati, sopi vyabhicarati|
MAT.5.33	puna"sca tva.m m.r.saa "sapatham na kurvvan ii"scaraaya nija"sapatha.m paalaya, puurvvakaaliinalokebhyo yai.saa kathaa kathitaa, taamapi yuuya.m "srutavanta.h|
MAT.5.34	kintvaha.m yu.smaan vadaami, kamapi "sapatha.m maa kaar.s.ta, arthata.h svarganaamnaa na, yata.h sa ii"svarasya si.mhaasana.m;
MAT.5.35	p.rthivyaa naamnaapi na, yata.h saa tasya paadapii.tha.m; yiruu"saalamo naamnaapi na, yata.h saa mahaaraajasya purii;
MAT.5.36	nija"sironaamnaapi na, yasmaat tasyaika.m kacamapi sitam asita.m vaa karttu.m tvayaa na "sakyate|
MAT.5.37	apara.m yuuya.m sa.mlaapasamaye kevala.m bhavatiiti na bhavatiiti ca vadata yata ito.adhika.m yat tat paapaatmano jaayate|
MAT.5.38	apara.m locanasya vinimayena locana.m dantasya vinimayena danta.h puurvvaktamida.m vacana nca yu.smaabhira"sruuyata|
MAT.5.39	kintvaha.m yu.smaan vadaami yuuya.m hi.msaka.m nara.m maa vyaaghaatayata| kintu kenacit tava dak.si.nakapole cape.taaghaate k.rte ta.m prati vaama.m kapola nca vyaagho.taya|
MAT.5.40	apara.m kenacit tvayaa saardhda.m vivaada.m k.rtvaa tava paridheyavasane jigh.rtite tasmaayuttariiyavasanamapi dehi|
MAT.5.41	yadi ka"scit tvaa.m kro"sameka.m nayanaartha.m anyaayato dharati, tadaa tena saardhda.m kro"sadvaya.m yaahi|
MAT.5.42	ya"sca maanavastvaa.m yaacate, tasmai dehi, yadi ka"scit tubhya.m dhaarayitum icchati, tarhi ta.m prati paraa.mmukho maa bhuu.h|
MAT.5.43	nijasamiipavasini prema kuru, kintu "satru.m prati dve.sa.m kuru, yadetat purokta.m vacana.m etadapi yuuya.m "srutavanta.h|
MAT.5.44	kintvaha.m yu.smaan vadaami, yuuya.m ripuvvapi prema kuruta, ye ca yu.smaan "sapante, taana, aa"si.sa.m vadata, ye ca yu.smaan .rृtiiyante, te.saa.m ma"ngala.m kuruta, ye ca yu.smaan nindanti, taa.dayanti ca, te.saa.m k.rte praarthayadhva.m|
MAT.5.45	tatra ya.h sataamasataa ncopari prabhaakaram udaayayati, tathaa dhaarmmikaanaamadhaarmmikaanaa ncopari niira.m var.sayati taad.r"so yo yu.smaaka.m svargastha.h pitaa, yuuya.m tasyaiva santaanaa bhavi.syatha|
MAT.5.46	ye yu.smaasu prema kurvvanti, yuuya.m yadi kevala.m tevveva prema kurutha, tarhi yu.smaaka.m ki.m phala.m bhavi.syati? ca.n.daalaa api taad.r"sa.m ki.m na kurvvanti?
MAT.5.47	apara.m yuuya.m yadi kevala.m sviiyabhraat.rtvena namata, tarhi ki.m mahat karmma kurutha? ca.n.daalaa api taad.r"sa.m ki.m na kurvvanti?
MAT.5.48	tasmaat yu.smaaka.m svargastha.h pitaa yathaa puur.no bhavati, yuuyamapi taad.r"saa bhavata|
MAT.6.1	saavadhaanaa bhavata, manujaan dar"sayitu.m te.saa.m gocare dharmmakarmma maa kuruta, tathaa k.rte yu.smaaka.m svargasthapitu.h sakaa"saat ki ncana phala.m na praapsyatha|
MAT.6.2	tva.m yadaa dadaasi tadaa kapa.tino janaa yathaa manujebhya.h pra"sa.msaa.m praaptu.m bhajanabhavane raajamaarge ca tuurii.m vaadayanti, tathaa maa kuriु, aha.m tubhya.m yathaartha.m kathayaami, te svakaaya.m phalam alabhanta|
MAT.6.3	kintu tva.m yadaa dadaasi, tadaa nijadak.si.nakaro yat karoti, tad vaamakara.m maa j naapaya|
MAT.6.4	tena tava daana.m gupta.m bhavi.syati yastu tava pitaa guptadar"sii, sa prakaa"sya tubhya.m phala.m daasyati|
MAT.6.5	apara.m yadaa praarthayase, tadaa kapa.tina_iva maa kuru, yasmaat te bhajanabhavane raajamaargasya ko.ne ti.s.thanto lokaan dar"sayanta.h praarthayitu.m priiyante; aha.m yu.smaan tathya.m vadaami, te svakiiyaphala.m praapnuvan|
MAT.6.6	tasmaat praarthanaakaale antaraagaara.m pravi"sya dvaara.m rudvvaa gupta.m pa"syatastava pitu.h samiipe praarthayasva; tena tava ya.h pitaa guptadar"sii, sa prakaa"sya tubhya.m phala.m daasyatil
MAT.6.7	apara.m praarthanaakaale devapuujakaaiva mudhaa punarukti.m maa kuru, yasmaat te bodhante, bahuvaara.m kathaayaa.m kathitaayaa.m te.saa.m praarthanaa graahi.syate|
MAT.6.8	yuuya.m te.saamiva maa kuruta, yasmaat yu.smaaka.m yad yat prayojana.m yaacanaata.h praageva yu.smaaka.m pitaa tat jaanaati|
MAT.6.9	ataeva yuuyama iid.rk praarthayadhva.m, he asmaaka.m svargasthapita.h, tava naama puujya.m bhavatu|
MAT.6.10	tava raajatva.m bhavatu; tavecchaa svarge yathaa tathaiva medinyaamapi saphalaa bhavatu|
MAT.6.11	asmaaka.m prayojaniiyam aahaaram adya dehi|
MAT.6.12	vaya.m yathaa nijaaparaadhina.h k.samaamahe, tathaivaasmaakam aparaadhaan k.samasva|
MAT.6.13	asmaan pariik.saa.m maanaya, kintu paapaatmano rak.sa; raajatva.m gaurava.m paraakrama.h ete sarvve sarvvadaa tava; tathaastu|
MAT.6.14	yadi yuuyam anye.saam aparaadhaan k.samadhve tarhi yu.smaaka.m svargasthapitaapi yu.smaan k.sami.syate;
MAT.6.15	kintu yadi yuuyam anye.saam aparaadhaan na k.samadhve, tarhi yu.smaaka.m janakopi yu.smaakam aparaadhaan na k.sami.syate|
MAT.6.16	aparam upavaasakaale kapa.tino janaa maanu.saan upavaasa.m j naapayitu.m sve.saa.m vadanaani mlaanaani kurvvanti, yuuya.m ta_iva vi.sa.navadanaa maa bhavata; aha.m yu.smaan tathya.m vadaami te svakiiyaphalam alabhanta|
