GEN.1.1	Are nakuexinxion beꞌe kain, Ndo Dio binchechjian ngajni ko nunthe. 
GEN.1.21	Kai binchechjian Ndo kuxiigo anto yeye te chringi ndachaon, ko binchechjian Ndo kain kuxiigo techon ko thingi ngangi nda ko kain kuxiigo tjaganga, ko bikon Ndo Dio ixin jaan, jian.
GEN.1.22	Ko Ndo Dio binchenchaon ba ko ndachro Ndo: «Nchian choo ra ko nchetsjé choo ra ko nchekaon ra ndachaon, ko sinchetsjé choo kain kuxiigo tjaganga ngain nunthe.»
GEN.1.23	Ko batho thi̱e ko bingasaan, ko jañaa xethja thi nchaꞌon naunxin.
GEN.1.24	Ko ndachro Ndo Dio: «Nunthe ncho dajon kain thi jichon: Kuxiigo chrjikua ko te ngagaꞌa jna, kuxiigo nchekjanii ni ngain nchia, kunchee ko kain kuxiigo thingajintaon tseꞌe nunthe.»
GEN.1.24	Ko jañaa kuꞌen. 
GEN.1.25	Ko Ndo Dio binchechjian kain kuxiigo: Kuxiigo chrjikua ko te ngagaꞌa jna, kuxiigo nchekjanii ni ngain nchia, kain kuxiigo thingajintaon tseꞌe nunthe ko icha kuxiigo. Ko Ndo Dio bikon ixin jiꞌi jaan, jian.
GEN.1.26	Ko ndachro Ndo Dio: «Nthuchjian ná xii inchin jaꞌan ná, ko tsetuꞌen kuchee te ngain ndachaon, kain kuxiigo tjaganga, ko tsetuꞌen kuxiigo chrjikua ko te ngagaꞌa jna ko kuxiigo nchekjanii na̱ ngain nchia, ko kain kuxiigo thingajintaon tseꞌe nunthe.»
GEN.1.27	Ko Ndo Dio binchechjian xii
GEN.1.27	inchin jeꞌe Ndo, jañaa inchin jeꞌe Ndo kunchjian xa;
GEN.1.27	xii ko nchrii binchechjian Ndo.
GEN.1.28	Ko Ndo Dio binchenchaon ko ndachro Ndo:
GEN.1.28	«Dinthechunda ra tsjé chjan ko nchetsjé choo ra
GEN.1.28	ko nchekaon ra nunthe ko thetuꞌan ra ngain nunthe,
GEN.1.28	ko thetuꞌen ra kain kuchee jii ngain ndachaon, kain kuxiigo tjaganga ngajni
GEN.1.28	ko kain kuxiigo thingi ngataꞌa nunthe.»
GEN.1.29	Kai ndachro Ndo Dio: «Tsjeꞌe ra, jaꞌan chjaꞌa ra kain ka dajon tsee jii ngataꞌa nunthe, ko kain nthaa dajon thuchjuin ko tsee ixin sinthe ra. 
GEN.1.30	Ko kain kuxiigo te ngataꞌa nunthe, kain kuxiigo tjaganga ko kain kuxiigo thingajintaon tseꞌe nunthe sine ba ka yua.»
GEN.1.30	Ko jañaa kuꞌen. 
GEN.1.31	Ko bikon Ndo Dio kain thi binchechjian Ndo, ¡anto chrjuin jii! Ko batho thi̱e ko bingasaan, ko jañaa xethja thi nchaꞌon inkjaunxin.
GEN.2.1	Ko jañaa jueꞌe Ndo Dio binchechjian Ndo ngajni ko nunthe, ko kain thi jii. 
GEN.2.2	Ko ngain nchaꞌon yatuxin, Ndo Dio ujuexin binchechjian Ndo kain, ko binchejugaꞌa Ndo ixin kain xra bincheꞌe Ndo. 
GEN.2.3	Ko Ndo Dio binchenchaon nchaꞌon yatuxin ko ndachro Ndo ixin nchaꞌon jiꞌi naa nchaꞌon anto renthe, ixin ngain nchaꞌon yaa binchejugaꞌa Ndo ixin kain xra jeꞌe Ndo bincheꞌe Ndo. 
GEN.2.4	Ko jaꞌin kuꞌen are Nchaa ná Dio binchechjian ngajni ko nunthe.
GEN.2.4	Ko are Nchaa ná Dio binchechjian nunthe ko ngajni, 
GEN.2.5	xra xruꞌin ka yua ko ka chunda tsee beꞌe, ixin Nchaa ná Dio xra ruanꞌa chrin nguii ngataꞌa nunthe, ko xrabeꞌa xii runchencheꞌe xra nunthe. 
GEN.2.6	Ko ngain nunthe bagachrjeduxin tjao, ko jañaa bakuntjao nguii ngataꞌa nunthe. 
GEN.2.7	Kuthimejan Nchaa ná Dio binchechjian xii kunixin nche ko banuthe Ndo ngain chinthjon ko jañaa bechon xa, ko xii kjan naa thi jichon.
GEN.2.8	Kuthimejan Nchaa ná Dio kjuenga ntha thuchjuin ngain nunthe dithuꞌe nu thi chrinxin nchaꞌon, ko nunthe mee diꞌin Edén, ko bakeꞌe Ndo nthiꞌa thi xii binchechjian Ndo. 
GEN.2.9	Ko Nchaa ná Dio bincheꞌe ixin bangi kain ntha thuchjuin chrjuin te ko nchao rune ni thuchjuiin ntha. Kai bakeꞌe Ndo ngusine nunthe mee naa ntha thuchjuin dajon thuchjuin nchegechon ni kainxin nchaꞌon, kai naa ntha thuchjuin nchekinxin ni thi jian ko thi jianꞌa.
GEN.2.10	Ko ngain Edén chrinxin jinda ko bakinga nda, ko banchetjao nguii nunthe Edén, ko nda jiꞌi noo chjeeya nda. 
GEN.2.11	Ko naa nda chjeeya, mee biꞌin Pisón, ko nda jiꞌi bakingarianda nda nguii nunthe biꞌin Havila, ko ngain nunthe jiꞌi beꞌe chia oro. 
GEN.2.12	Ko juxon oro jian beꞌe ngain nunthe jiꞌi, kai beꞌe nthaa bagajon chingo xraa tsjuka ko chrjuin xrajni ko kai beꞌe xro ónice. 
GEN.2.13	Ko nda yuxin chjeeya biꞌin Gihón; nda yaa bakingarianda nda nguii nunthe diꞌin Cus. 
GEN.2.14	Ko nda ninxin dichjeeya biꞌin Tigris o Hidekel, ko nda jiꞌi bakinga nda nu nunthe Asiria, nu thi chrinxin nchaꞌon. Ko nda nunxin dichjeeya biꞌin Éufrates.
GEN.2.15	Ko Nchaa ná Ndo Dio bakeꞌe xii ngain nunthe Edén ixin runcheꞌe xra ko rugenda nunthe. 
GEN.2.16	Ko Nchaa ná Dio kuetuꞌan ngain thi xii ko ndachro: «Jaꞌa nchao sinthe thuchjuiin kain ntha jii ngain nunthe Edén, 
GEN.2.17	aro sintheꞌa thuchjuiin ntha nchekinxin ni thi jian ko thi jianꞌa, ko ndua thi rindathjo ixin ja̱ sinthe tho yaa, ndaseꞌen.»
GEN.2.18	Kuthimejan, Nchaa ná Dio ndachro: «Jeꞌa jian ixin xii jiꞌi jeꞌo seꞌe. Icha nchao sinthachjiaan naa thi sakao ko tsjengijna.» 
GEN.2.19	Ko Nchaa ná Dio jinche binchechjianxin Ndo kain kuxiigo ko kain kunthua tjanga ngajni, ko binchechieꞌen Ndo ba ngain Adán ixin rukjee kexreen rugiꞌin kain ba, ko inchin biꞌin ba, jañaa chunxinxin ni ba jai. 
GEN.2.20	Ko jañaa Adán ndachro kexreen biꞌin kain kuxiigo ko kain kunthua, aro binchueꞌa kensen rugakao ko rukjengijna jeꞌe. 
GEN.2.21	Mexinxin Nchaa ná Dio kuenjua Adán ngain naa kuthachrin anto suji, ko are tajijua bantsjeꞌe Ndo naa nthanthakuin, ko kjan kuejee Ndo thi xiree nthauꞌe. 
GEN.2.22	Ko thi nthanthakuin xa bachrjeꞌe xa, Nchaa ná Dio binchechjian naa nchrii, ko binchechieꞌen Ndo nchra ngain xa. 
GEN.2.23	Ko Adán ndachro:
GEN.2.23	«Nchrii jiꞌi luruna kunchjianxin nchra ko nthauꞌe nchra inchin nthauꞌna, mexinxin siꞌin nchra “nchrii” ixin nthanthakuin na kunchjianxin nchra.»
GEN.2.24	Mexinxin xii sachrjendeꞌe ndudee ko janee, ixin thi xii ko thi nchrii ndarrukjan na̱ xraa nakua chujni.
GEN.2.25	Ko thi xii ko thi nchrii thulucho nthao binthe, ko bechunxinꞌa na̱ juasuaxin.
GEN.3.1	Aro kunchee icha bakinxin ba ke kain kuxiigo binchechjian Nchaa ná Dio, ko naa nchaꞌon kunchee ndachro ba ngain thi nchrii:
GEN.3.1	—¿A ko ndua ndachro Ndo Dio ixin chroꞌa sinthe ra thuchjuiin kain nthaa jii ngain Edén jiꞌi?
GEN.3.2	Ko thi nchrii batheꞌe ngain kunchee ko ndachro:
GEN.3.2	—Jaan, nchao sine ná thuchjuiin kain nthaa jii ngain nunthe jiꞌi; 
GEN.3.3	aro ntha thuchjuin jii ngusine nunthe jiꞌi, Ndo Dio ndachro: «Ntheꞌa ra ko katheꞌa ra tho dajon ntha thuchjuin yaa, ko ixin ja̱ sinthe ra thuchjuiin ntha, ndaseꞌen ra.
GEN.3.4	Kuthimejan kunchee ndachro ngain thi nchrii:
GEN.3.4	—¡Nduaꞌa; senꞌa ra! 
GEN.3.5	Ndo Dio ndachro jañaa ixin jeꞌe Ndo nuꞌe Ndo jian ixin are jaꞌa ra sinthe ra thuchjuiin ntha yaa, rukjan ra inchin jeꞌe Ndo ko ruchunxin ra thi jian ko thi jianꞌa.
GEN.3.6	Ko thi nchrii bikon ixin thuchjuiin ntha anto chrjuin te tho ko nchao rune tho, ko juinao rugayee juaxraxauen Ndo Dio. Ko jañaa kunchrijin naa tho ko juine tho. Ko kai bajon tho ngain xixiꞌi ko jeꞌe xa juine xa tho kai. 
GEN.3.7	Ko xirebeꞌo juaxraxauen kayui ko jañaa binthegikon ixin xruꞌin luntho tengaa. Ko mexinxin kunchrijin nchin kee ntha higo ko binthekjaon ka ixin binthekjamataunxin nthauꞌe.
GEN.3.8	Ko are jidanuthe chrintho tsukjin, thi xii ko thi nchrii binthekiꞌin ixin Nchaa ná Dio tarredeꞌe ngain nunthe Edén ko tabinthegemeꞌe Ndo ngagaꞌa nthayua jii ngain nunthe mee. 
GEN.3.9	Aro Nchaa ná Dio nichjee thi xii ko ndachro:
GEN.3.9	—Adán, ¿thinoo riꞌi jaꞌa?
GEN.3.10	Ko thi xii batheꞌe:
GEN.3.10	—Kuian bejiꞌi Suixin ko anto xraon na ixin xruꞌin luntho ringaꞌa ko tabarima.
GEN.3.11	Kuthejan Ndo Dio banchiangi Ndo:
GEN.3.11	—¿Kensen ndathjo ixin xruꞌin luntho ringaꞌa? ¿Ajuinthe thuchjuiin nthaa ndathjo ixin runtheꞌa?
GEN.3.12	Ko thi xii ndachro:
GEN.3.12	—Thi nchrii Suixin binchechjian ko chjana, nchrii yaa thi tse thuchjuin, ko chjana juine.
GEN.3.13	Kuthimejan Nchaa ná Dio ndachro ngain thi nchrii:
GEN.3.13	—¿Keꞌe bincheꞌe?
GEN.3.13	Ko thi nchrii batheꞌe ko ndachro:
GEN.3.13	—Kunchee bincheyana ko juine tho.
GEN.3.14	Ko Nchaa ná Dio ndachro ngain kunchee:
GEN.3.14	—Ixin thi bincheꞌe jaꞌa, tangi tsuꞌan ngayee kain kuxiigo ixin jaꞌa tsingajintaon tsee ngataꞌa nunthe ko jinche sinthe kain nchaꞌon sarichon. 
GEN.3.15	Ko jaꞌan sinthaꞌa ixin thi nchrii ko jaꞌa runingakuꞌen choo ra ko sinthaꞌa ixin runingakuꞌen choo xaꞌan ra kain nchaꞌon. Ko naa thi sachrjeninxin nchra sincheniꞌi jaa ko jaꞌa sincheniꞌi chreen ruthee.
GEN.3.16	Ko ndachro Ndo ngain thi nchrii:
GEN.3.16	—Ko jaꞌa tangi sathuꞌe ko tsiin are sinchekunkjiꞌi xaꞌan, ko maski jamee, jaꞌa icha sinao sariꞌi ngain xixiꞌa, ko jaꞌa sincheꞌe kain thi tsethuꞌan xa.
GEN.3.17	Ko ngain thi xii ndachro:
GEN.3.17	—Ixin bithikaon thi ndachro chriꞌa ko juinthe thuchjuin jaꞌan ndathjo runtheꞌa, nunthe jiꞌi isinthanchaonꞌa nunthe ixin thi jaꞌa bincheꞌe, ko anto tsunchrjen ko tangi sinchii thi sinthe kain nchaꞌon sarichon. 
GEN.3.18	Ko nchaꞌa ko kanchaꞌa suan ngain nunthe, ko sinthe ka duan ngataon jngi. 
GEN.3.19	Ko anto suji xra sincheꞌe ko ndachjian sachaxin thi sinthe ruxethjaja nchaꞌon rukjan ngain jinche. Xraxaon ixin jinche kunchjianxin ko ngain jinche rukjan.
GEN.3.20	Ko Adán binchegiꞌin chriꞌi Eva, yaa ruchro ixin jeꞌe tsji janaꞌa ngain kain chujni sechon ngataꞌa nunthe. 
GEN.3.21	Kuthimejan Nchaa ná Dio binchechjian thi bengaa Adán ko chriꞌi kunixin ruee kuxiigo. 
GEN.3.22	Ko ndachro Nchaa ná Dio: «Jai thi xii ko thi nchrii ndakjan inchin jaꞌan ná, ixin unuꞌe na̱ thi jian ko thi jianꞌa. Ditjanxion sinao na̱ sine na̱ thuchjuiin ntha nchegechon ni kainxin nchaꞌon, ixin ja̱ sine na̱ tho ixruꞌin nchaꞌon seꞌen na̱.»
GEN.3.23	Ko Nchaa ná Dio bantsjexin ngayee nunthe Edén thi xii ko thi nchrii, ixin runcheꞌe ná xra ngain jinche, thi jinche kunchjianxin na̱. 
GEN.3.24	Ko jañaa Nchaa ná Dio bantsjexin ngain Edén thi xii ko thi nchrii. Ko bakeꞌe Ndo ngain Edén nu thi chrinxin nchaꞌon kainxion ángel kerubín ko kai bakeꞌe naa chia taade jitjama xruꞌi ko bakji chia ko bakjan chia ixin rukunchienꞌa na̱ ngain ntha thuchjuin nchegechon ni kain nchaꞌon.
GEN.4.1	Adán bejuakaꞌo Eva, nchri chriꞌi ko tabeyaa nchra chjan ko binchekunkjiꞌi naa chjan biꞌin Caín, ko ndachro nchra: «Ndo Dio binchenchaon na ko chjana naa xan xii.» 
GEN.4.2	Kuthimejan binchekunkjiꞌi nchra inaa xan xii ko xan yaa biꞌin xan Abel. Ko xan Caín bancheꞌe xra ngataon jngi ko xan Abel bagakuꞌen xan kuleko.
GEN.4.3	Ko batho nano, ko naa nchaꞌon Caín bikao ngain Ndo Dio nchin thi jeꞌe batse ngain jngi ko binchendusen ngain Ndo. 
GEN.4.4	Ko kai Abel bikao nchin kuleko guan saꞌo ngakjan kue, ko kuinchieꞌe ku icha chrjuin te ixin binchendusen ngain Ndo Dio. Ko jeꞌe Ndo bayee Ndo Abel ko thi bajon Abel. 
GEN.4.5	Aro bayeꞌa Ndo Caín ko thi bajon Caín, ko jiꞌi binchexruxinꞌa Caín ko ngakon kjuaago ixin anto guñao ko tabechiin. 
GEN.4.6	Kuthejan Ndo Dio banchiangi ngain Caín ko ndachro: «¿Unda anto rituñao ko tarrichiꞌin? 
GEN.4.7	Ja̱ sincheꞌe thi jian, ¿asinchexruxinaꞌa jaꞌan thi rincheꞌe? Aro ja̱ rincheꞌe thi jianꞌa, thi jianꞌa mee jii xraa naa kuxiigo chrintho rukatja, aro dithuaxinꞌa tsetuꞌan ngajin.»
GEN.4.8	Ko naa nchaꞌon Caín ndachro ngain xan choo:
GEN.4.8	—Jina ngataon jngi.
GEN.4.8	Ko are tate nthiꞌa ngain jngi, Caín kjuaaya ngain xan choo ko naguenxon xan. 
GEN.4.9	Kuthimejan Ndo Dio banchiangiꞌi Caín ko ndachro:
GEN.4.9	—¿Thinoo jii Abel xan choo?
GEN.4.9	Ko Caín batheꞌe ko ndachro:
GEN.4.9	—Nunaꞌa thinoo jii xan, ¿ajikininxin na jaꞌan sarinda xan?
GEN.4.10	Ko Ndo Dio ndachro Ndo ngain Caín:
GEN.4.10	—¿Keꞌe bincheꞌe jaꞌa? ¿Unda buꞌen xan choo? Ixin jnii xan choo thi digingo ngataꞌa nunthe, jni mee jidanchia ixin sinthaꞌa jie̱ ngain thi buen xan. 
GEN.4.11	Ko jai jaꞌa, ixin guꞌen xan choo ko kuingo jnii xan ngataꞌa nunthe, jaꞌa tangi sathuꞌe ko tangi tsuꞌan. 
GEN.4.12	Ko maski anto sinchencheꞌe xra nunthe, nunthe mee isuanꞌa, ko jaꞌa sakjika ngain inaa nunthe ko sinchiꞌa thinoo sinchejugaꞌa.
GEN.4.13	Ko Caín ndachro ngain Ndo Dio:
GEN.4.13	—Jaꞌan tsixinaꞌa sathua thi tangi jiꞌi. 
GEN.4.14	Jai Suixin bantsjexin na nunthe jiꞌi ko irukjanꞌa na tsian thaa, ko sakjika, ko sarichundaꞌa thi sinthajugaxin ko kexeꞌo thi setan sinao suen na.
GEN.4.15	Aro Ndo Dio batheꞌe ko ndachro:
GEN.4.15	—Tsuenꞌa yaa ixin thi suen jaꞌa yaato nthiꞌa icha tangi tsuꞌen.
GEN.4.15	Mexinxin Ndo Dio bakeꞌe Ndo naa neꞌe ngain Caín ixin thi sikon mee isuenꞌa. 
GEN.4.16	Ko jañaa Caín sakjuixin ngain thi nunthe beꞌe ko kai ngathexin kon Ndo Dio, ko Caín sakjui bigeꞌe ngain nunthe diꞌin Nod, nu thi chrinxin nchaꞌon.
GEN.4.17	Caín bejuakaꞌo chriꞌi ko tabeyaa nchra chjan ko binchekunkjiꞌi naa chjan ko binchegiꞌin xan Enoc. Kuthimejan Caín kuexinxin binchechjian naa rajna ko rajna mee binchegiꞌin Enoc, inchin xeꞌen. 
GEN.4.18	Enoc bechunda naa xeꞌen biꞌin Irad, ko Irad kjui ndudee Mehujael, ko Mehujael kjui ndudee Metusael ko Metusael kjui ndudee Lamec. 
GEN.4.19	Ko Lamec bekaꞌo yoo nchrii; naa nchra biꞌin Ada ko inaa nchra biꞌin nchra Zila. 
GEN.4.20	Ko Ada binchekunkjiꞌi naa chjan biꞌin Jabal, ko Jabal kjui ndudee ni saꞌo binthexiꞌin nchia ndaasin, ko bagayakuꞌen na̱ kuxiigo. 
GEN.4.21	Jabal bechunda naa xan choo biꞌin Jubal, ko Jubal kjui ndudee ni saꞌo binchechjian soon kunixin nthaxro ko arpa. 
GEN.4.22	Ko Zila nchri yuxin bekaꞌo Lamec binchekunkjiꞌi naa chjan biꞌin Tubal-caín, ko xan jiꞌi banchechjian xan tsjé thi bagundeꞌe na̱ kunixin chia bronce ko hierro. Ko Tubal-caín bechunda naa xan choo xan nchrii biꞌin Naama.
GEN.4.23	Naa nchaꞌon Lamec ndache kayui chriꞌi, Ada ko Zila:
GEN.4.23	«¡Thiꞌin ra jian thi rundachrjan:
GEN.4.23	Ja̱ chrujan thi sinchenina,
GEN.4.23	ni yeye o ni nchinchin, jaꞌan suꞌen na̱.
GEN.4.24	Ja̱ yaato nthiꞌa tangi tsuꞌen thi suen Caín,
GEN.4.24	thi suen Lamec nii kan ko theyaato nthiꞌa icha tangi tsuꞌen.»
GEN.4.25	Ko Adán kjan bejuakaꞌo chriꞌi, ko chriꞌi binchekunkjiꞌi inaa chjan ko xan mee biꞌin Set, ko ndachro nchra: «Ndo Dio chjana inaa chjan ixin xan Abel, thi xan guen Caín.»
GEN.4.26	Ko Set kjui ndudee naa chjan biꞌin Enós. Ko nchaꞌon teꞌa chujni kuexinxin binchesayeꞌe na̱ Ndo Dio, ko nchaꞌon mee kuexiꞌin ndache na̱ Ndo Dio, Jehová.
GEN.5.1	Ko ngain xroon jiꞌi jitaxin ni bachrjeninxin Adán. Are Ndo Dio binchechjian thi xii, binchechjian Ndo inchin jeꞌe Ndo. 
GEN.5.2	Ko binchechjian xii ko nchrii ko binchenchaon Ndo. Ko ngain nchaꞌon jeꞌe na̱ kunchjian na̱, jeꞌe Ndo binchegiꞌin Ndo na̱ «chujni.»
GEN.5.3	Ko are Adán bechunda naa renkia ko kan ko the nano, guan naa xeꞌen ko anto dixexin xan jeꞌe ko binchegiꞌin xan Set. 
GEN.5.4	Kuthimejan are guan Set, Adán xra bechon jni renkia nano, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.5	Ko Adán bechon na̱a̱ renkia ko kan ko the nano ko beꞌen.
GEN.5.6	Ko are Set bechunda naa renkia ko naꞌo nano, guan xeꞌen biꞌin Enós. 
GEN.5.7	Kuthimejan are guan Enós, Set xra bechon jni renkia ko yaato nano, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.8	Ko Set bechon na̱a̱ renkia ko theyoo nano ko beꞌen.
GEN.5.9	Ko are Enós bechunda noo kan ko the nano, guan xeꞌen biꞌin Cainán. 
GEN.5.10	Kuthimejan are guan Cainán, Enós xra bechon jni renkia ko thenaꞌo nano, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.11	Ko Enós bechon na̱a̱ renkia ko naꞌo nano ko beꞌen.
GEN.5.12	Ko are Cainán bechunda nii kan ko the nano, guan xeꞌen biꞌin Mahalaleel. 
GEN.5.13	Kuthimejan are guan Mahalaleel, Cainán xra bechon jni renkia ko yoo kan nano, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.14	Ko Cainán bechon na̱a̱ renkia ko the nano ko beꞌen.
GEN.5.15	Ko are Mahalaleel bechunda nii kan ko naꞌo nano, guan xeꞌen biꞌin Jared. 
GEN.5.16	Kuthimejan are guan Jared, Mahalaleel xra bechon jni renkia ko kan ko the nano, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.17	Ko Mahalaleel bechon jni renkia ko noo kan ko thenaꞌo nano ko beꞌen.
GEN.5.18	Ko are Jared bechunda naa renkia ko nii kan ko yoo nano, guan xeꞌen biꞌin Enoc. 
GEN.5.19	Kuthimejan are guan Enoc, Jared xra bechon jni renkia nano, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.20	Ko Jared bechon na̱a̱ renkia ko nii kan ko yoo nano ko beꞌen.
GEN.5.21	Ko are Enoc bechunda nii kan ko naꞌo nano, guan xeꞌen biꞌin Matusalén. 
GEN.5.22	Kuthimejan are guan Matusalén, Enoc xra bechon inchin nii renkia nano ko anto bagithikaon Ndo Dio, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.23	Ko Enoc bechon nii renkia ko nii kan ko naꞌo nano. 
GEN.5.24	Ko ixin anto bagithikaon Enoc ngain Ndo Dio, ikjanꞌa na̱ bikon na̱ ixin sabikao Ndo Dio.
GEN.5.25	Ko are Matusalén bechunda naa renkia ko noo kan ko yaato nano, guan xeꞌen biꞌin Lamec. 
GEN.5.26	Kuthimejan are guan Lamec, Matusalén xra bechon yaato renkia ko noo kan ko yoo nano, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.27	Ko Matusalén bechon na̱a̱ renkia ko nii kan ko na̱a̱ nano ko beꞌen.
GEN.5.28	Ko are Lamec bechunda naa renkia ko noo kan ko yoo nano, guan naa xeꞌen. 
GEN.5.29	Ko binchegiꞌin xan Noé, ko ndachro: «Xan jiꞌi sincheꞌe xan ixin sinthujugaꞌa ná ixin kain xra nthoꞌo ná ngain nunthe jiꞌi, thi nunthe Ndo Dio binchetsingataꞌa thi jianꞌa.» 
GEN.5.30	Kuthimejan are guan Noé, Lamec xra bechon naꞌo renkia ko noo kan ko thenaꞌo nano, kai bechunda icha xeꞌen xan xii ko xan nchrii. 
GEN.5.31	Ko Lamec bechon yaato renkia ko nii kan ko theyaato nano ko beꞌen.
GEN.5.32	Ko are Noé bechunda naꞌo renkia nano, jeꞌe ubechunda nii chjan ko mee xan Sem, xan Cam ko xan Jafet.
GEN.6.1	Are kuexiꞌin kutsjé chujni ngataꞌa nunthe, ko bintheguan xeꞌen na̱ xan nchrii, 
GEN.6.2	kuthimejan kainxion xeꞌen Ndo Dio bikon xan ngataꞌa nunthe ixin xan nchrii anto chrjuin te xan, ko kjuee xan xan nchrii icha chrjuin te ko binthekaꞌo xan. 
GEN.6.3	Ko Ndo Dio ndachro Ndo: «Tsajandaꞌa ixin chujni sinthechon na̱ kainxin nchaꞌon, ixin jeꞌe na̱ jeꞌo nthao na̱, mexinxin sechon na̱ jeꞌo naa renkia ko kan nano.»
GEN.6.4	Ko ni xeꞌen Ndo Dio bekaꞌo xan nchrii, xeꞌen chujni, ko binthekunkjiꞌi chjan anto yeye bangi. Ko anto binuꞌe xan bakjaaya xan ko anto suji xan ko chujni anto bechunxin na̱ xan.
GEN.6.5	Ko Ndo Dio bikon Ndo ixin anto tsjé thi jianꞌa bancheꞌe chujni ngataꞌa nunthe ko juxon thi jianꞌa baxraxaon na̱ ngathe anseen na̱. 
GEN.6.6	Ko anto kuiin anseen Ndo ko ndachro Ndo: «¡Nchenina ixin binthachjian chujni!» 
GEN.6.7	Ko ndachro Ndo Dio: «Sinthatjaan kain chujni binthachjian nguixin ngataꞌa nunthe, sinthatjaan kain chujni ko kain kuxiigo yeye, kuxiigo thingajintaon tseꞌe nunthe ko kain kuxiigo tjaganga; ¡nchenina ixin bindachjian chujni!»
GEN.6.8	Aro Ndo Dio banchexruxiꞌin thi bancheꞌe Noé.
