GEN.1.1	EN el 
GEN.3.9	Y llamó Jehová Dios al hombre, y le dijo: ¿Dónde estás tú?
GEN.3.10	Y él respondió: Oí tu voz en el huerto, y tuve miedo, porque estaba desnudo; y escondíme.
GEN.3.11	Y díjole: ¿Quién te enseñó que estabas desnudo? ¿Has comido del árbol de que yo te mandé no comieses?
GEN.3.12	Y el hombre respondió: La mujer que me diste por compañera me dió del árbol, y yo comí.
GEN.3.13	Entonces Jehová Dios dijo á la mujer: ¿Qué es lo que has hecho? Y dijo la mujer: La serpiente me engañó, y comí.
GEN.3.14	Y Jehová Dios dijo á la serpiente: Por cuanto esto hiciste, maldita serás entre todas las bestias y entre todos los animales del campo; sobre tu pecho andarás, 
GEN.3.15	Y enemistad pondré entre ti y la mujer, y entre 
GEN.3.16	A la mujer dijo: Multiplicaré en gran manera tus dolores y tus preñeces; con dolor parirás los hijos; y a tu marido será tu deseo, 
GEN.3.17	Y al hombre dijo: Por cuanto obedeciste á la voz de tu mujer, y comiste del árbol de que te mandé 
GEN.3.18	Espinos y cardos te producirá, y comerás hierba del campo;
GEN.3.19	En el sudor de tu rostro comerás el pan hasta que vuelvas á la tierra; porque de ella fuiste tomado: 
GEN.3.20	Y llamó el hombre el nombre de su mujer, Eva; por cuanto ella era madre de todos lo vivientes.
GEN.3.21	Y Jehová Dios hizo al hombre y á su mujer túnicas de pieles, y vistiólos.
GEN.3.22	Y dijo Jehová Dios: He aquí el hombre es como uno de Nos sabiendo el bien y el mal: ahora, pues, porque no alargue su mano, 
GEN.3.23	Y sacólo Jehová del huerto de Edén, para que labrase la tierra de que fué tomado.
GEN.3.24	Echó, pues, fuera al hombre, y puso al oriente del huerto de Edén 
GEN.4.1	Y CONOCIÓ Adam á su mujer Eva, la cual concibió y parió á Caín, y dijo: Adquirido he varón por Jehová.
GEN.4.2	Y después parió á su hermano Abel. Y fué Abel pastor de ovejas, y Caín fué labrador de la tierra.
GEN.4.3	Y aconteció andando el tiempo, que Caín trajo 
GEN.4.4	Y Abel trajo también de los 
GEN.4.5	Mas no miró propicio á Caín y á la ofrenda suya. Y ensañóse Caín en gran manera, y decayó su semblante.
GEN.4.6	Entonces Jehová dijo á Caín: ¿Por qué te has ensañado, y por qué se ha inmutado tu rostro?
GEN.4.7	Si bien hicieres, ¿no serás ensalzado? y si no hicieres bien, el pecado está á la puerta: con todo esto, 
GEN.4.8	Y habló Caín á su hermano Abel: y aconteció que estando ellos en el campo, Caín se levantó contra su hermano Abel, 
GEN.4.9	Y Jehová dijo á Caín: ¿Dónde está Abel tu hermano? Y él respondió: 
GEN.4.10	Y él le dijo: ¿Qué has hecho? La voz de la sangre de tu hermano 
GEN.4.11	Ahora pues, maldito seas tú de la tierra que abrió su boca para recibir la sangre de tu hermano de tu mano:
GEN.4.12	Cuando labrares la tierra, no te volverá á dar su fuerza: errante y extranjero serás en la tierra.
GEN.4.13	Y dijo Caín á Jehová: Grande es mi iniquidad para ser perdonada.
GEN.4.15	Y respondióle Jehová: Cierto que cualquiera que matare á Caín, 
GEN.4.16	Y salió Caín de delante de Jehová, y habitó en tierra de Nod, al oriente de Edén.
GEN.4.17	Y conoció Caín á su mujer, la cual concibió y parió á Henoch: y edificó una ciudad, y llamó el nombre de la ciudad del nombre de su hijo, Henoch.
GEN.4.18	Y á Henoch nació Irad, é Irad engendró á Mehujael, y Mehujael engendró á Methusael, y Methusael engendró á Lamech.
GEN.4.19	Y tomó para sí Lamech dos mujeres; el nombre de la una fué Ada, y el nombre de la otra Zilla.
GEN.4.20	Y Ada parió á Jabal, el cual fué padre de los que habitan en tiendas, y 
GEN.4.21	Y el nombre de su hermano fué Jubal, el cual fué padre de todos los que manejan arpa y órgano.
GEN.4.22	Y Zilla también parió á Tubal-Caín, acicalador de toda obra de metal y de hierro: y la hermana de Tubal-Caín fué Naama.
GEN.4.23	Y dijo Lamech á sus mujeres:
GEN.4.23	Ada y Zilla, oid mi voz;
GEN.4.23	Mujeres de Lamech, escuchad mi dicho:
GEN.4.23	Que varón mataré por mi herida,
GEN.4.23	Y mancebo por mi golpe:
GEN.4.24	Si 
GEN.4.24	Lamech en verdad setenta veces siete 
GEN.4.25	Y conoció de nuevo Adam á su mujer, la cual parió un hijo, 
GEN.4.26	Y á Seth también 
GEN.5.1	ESTE es el libro de las generaciones de Adam. El día en que crió Dios al hombre, 
GEN.5.3	Y vivió Adam ciento y treinta años, y engendró 
GEN.5.4	Y 
GEN.5.5	Y fueron todos los días que vivió Adam novecientos y treinta años, 
GEN.5.6	Y vivió Seth ciento y cinco años, 
GEN.5.7	Y vivió Seth, después que engendró á Enós, ochocientos y siete años: y engendró hijos é hijas.
GEN.5.8	Y fueron todos los días de Seth novecientos y doce años; y murió.
GEN.5.9	Y vivió Enós noventa años, y engendró á Cainán.
GEN.5.10	Y vivió Enós después que engendró á Cainán, ochocientos y quince años: y engendró hijos é hijas.
GEN.5.11	Y fueron todos los días de Enós novecientos y cinco años; y murió.
GEN.5.12	Y vivió Cainán setenta años, y engendró á Mahalaleel.
GEN.5.13	Y vivió Cainán, después que engendró á Mahalaleel, ochocientos y cuarenta años: y engendró hijos é hijas.
GEN.5.14	Y fueron todos los días de Cainán novecientos y diez años; y murió.
GEN.5.15	Y vivió Mahalaleel sesenta y cinco años, y engendró á Jared.
GEN.5.16	Y vivió Mahalaleel, después que engendró á Jared, ochocientos y treinta años: y engendró hijos é hijas.
GEN.5.17	Y fueron todos los días de Mahalaleel ochocientos noventa y cinco años; y murió.
GEN.5.18	Y vivió Jared ciento sesenta y dos años, y engendró á 
GEN.5.19	Y vivió Jared, después que engendró á Henoch, ochocientos años: y engendró hijos é hijas.
GEN.5.20	Y fueron todos los días de Jared novecientos sesenta y dos años; y murió.
GEN.5.21	Y vivió Henoch sesenta y cinco años, y engendró á Mathusalam.
GEN.5.23	Y fueron todos los días de Henoch trescientos sesenta y cinco años.
GEN.5.24	Caminó, pues, Henoch con Dios, y 
GEN.5.25	Y vivió Mathusalam ciento ochenta y siete años, y engendró á Lamech.
GEN.5.26	Y vivió Mathusalam, después que engendró á Lamech, setecientos ochenta y dos años: y engendró hijos é hijas.
GEN.5.27	Fueron, pues, todos los días de Mathusalam, novecientos sesenta y nueve años; y murió.
GEN.5.28	Y vivió Lamech ciento ochenta y dos años, y engendró un hijo:
GEN.5.29	Y llamó su nombre Noé, diciendo: Este nos aliviará de nuestras obras, y del tabajo de nuestras manos, á causa de la tierra que Jehová 
GEN.5.30	Y vivió Lamech, después que engendró á Noé, quinientos noventa y cinco años: y engendró hijos é hijas.
GEN.5.31	Y fueron todos los días de Lamech setecientos setenta y siete años; y murió.
GEN.5.32	Y siendo Noé de quinientos años, engendró á Sem, Châm, y á Japhet.
GEN.6.1	Y ACAECIÓ que, cuando comenzaron los hombres á multiplicarse sobre la faz de la tierra, y les nacieron hijas,
GEN.6.2	Viendo los hijos de Dios que las hijas de los hombres eran hermosas, 
GEN.6.3	Y dijo Jehová: 
GEN.6.4	Había gigantes en la tierra en aquellos días, y también después que entraron los hijos de Dios á las hijas de los hombres, y les engendraron hijos: éstos fueron los valientes que desde la antigüedad fueron varones de nombre.
GEN.6.5	Y vió Jehová que la malicia de los hombres 
GEN.6.7	Y dijo Jehová: Raeré los hombres que he criado de sobre la faz de la tierra, desde el hombre hasta la bestia, y hasta el reptil y las aves del cielo: porque me arrepiento de haberlos hecho.
GEN.6.8	Empero Noé 
GEN.6.9	Estas son las generaciones de Noé: 
GEN.6.10	Y engendró Noé tres hijos: á Sem, á Châm, y á Japhet.
GEN.6.11	Y corrompióse la tierra delante de Dios, y estaba la tierra llena de violencia.
GEN.6.13	Y dijo Dios á Noé: 
GEN.6.14	Hazte un arca de madera de Gopher: harás aposentos en el arca, y la embetunarás con brea por dentro y por fuera.
GEN.6.15	Y de esta manera la harás: de trescientos codos la longitud del arca, de cincuenta codos su anchura, y de treinta codos su altura.
GEN.6.16	Una ventana harás al arca, y la acabarás á un codo 
GEN.6.18	Mas estableceré mi pacto contigo, 
GEN.6.19	Y de todo lo que vive, de toda carne, 
GEN.6.20	De las aves según su especie, y de las bestias según su especie, de todo reptil de la tierra según su especie, dos de cada especie entrarán contigo para que hayan vida.
GEN.6.21	Y toma contigo de toda vianda que se come, y allégala á ti; servirá de alimento para ti y para ellos.
GEN.7.1	Y JEHOVÁ dijo á Noé: 
GEN.7.2	De todo 
GEN.7.3	También de las aves de los cielos de siete en siete, macho y hembra; para guardar en vida la casta sobre la faz de toda la tierra.
GEN.7.4	Porque 
GEN.7.6	Y siendo Noé de seiscientos años, el diluvio de las aguas fué sobre la tierra.
GEN.7.7	Y vino Noé, y sus hijos, y su mujer, y las mujeres de sus hijos con él al arca, por las aguas del diluvio.
GEN.7.8	De los animales limpios, y de los animales que no eran limpios, y de las aves, y de todo lo que anda arrastrando sobre la tierra,
GEN.7.9	De dos en dos entraron á Noé en el arca: macho y hembra, como mandó Dios á Noé.
GEN.7.10	Y sucedió que al séptimo día las aguas del diluvio fueron sobre la tierra.
GEN.7.11	El año seiscientos de la vida de Noé, en el mes segundo, á diecisiete días del mes, aquel día fueron rotas todas 
GEN.7.12	Y hubo lluvia sobre la tierra cuarenta días y cuarenta noches.
GEN.7.13	En este mismo día entró Noé, y Sem, y Châm y Japhet, hijos de Noé, la mujer de Noé, y las tres mujeres de sus hijos con él en el arca;
GEN.7.14	Ellos, y todos los animales 
GEN.7.16	Y los que vinieron, macho y hembra de toda carne vinieron, 
GEN.7.18	Y prevalecieron las aguas, y crecieron en gran manera sobre la tierra; y andaba el arca sobre la faz de las aguas.
GEN.7.19	Y las aguas prevalecieron mucho en extremo sobre la tierra; y todos los montes altos que había debajo de todos los cielos, fueron cubiertos.
GEN.7.20	Quince codos en alto prevalecieron las aguas; y fueron cubiertos los montes.
GEN.7.22	Todo lo que tenía 
GEN.7.23	Así fué destruída toda sustancia que vivía sobre la faz de la tierra, desde el hombre hasta la bestia, y los reptiles, y las aves del cielo; y fueron raídos de la tierra; 
GEN.7.24	Y prevalecieron las aguas sobre la tierra ciento y cincuenta días.
GEN.8.1	Y 
GEN.8.3	Y tornáronse las aguas de sobre la tierra, yendo y volviendo: y decrecieron las aguas al cabo 
GEN.8.4	Y reposó el arca en el mes séptimo, á diecisiete días del mes, sobre los montes de Armenia.
GEN.8.5	Y las aguas fueron decreciendo hasta el mes décimo: en el décimo, al primero del mes, se descubrieron las cimas de los montes.
GEN.8.6	Y sucedió que, al cabo de cuarenta días, abrió 
GEN.8.7	Y envió al cuervo, el cual salió, 
GEN.8.8	Envió también de sí á la paloma, para ver si las aguas se habían retirado de sobre la faz de la tierra;
GEN.8.9	Y no halló la paloma donde sentar la planta de su pie, y volvióse á él al arca, porque las aguas estaban 
GEN.8.10	Y esperó aún otros siete días, y volvió á enviar la paloma fuera del arca.
GEN.8.11	Y la paloma volvió á él á la hora de la tarde: y he aquí 
GEN.8.12	Y esperó aún otros siete días, y envió la paloma, la cual no volvió ya más á él.
GEN.8.13	Y sucedió que en el año seiscientos y uno 
GEN.8.14	Y en el mes segundo, á los veintisiete días del mes, se secó la tierra.
GEN.8.15	Y habló Dios á Noé diciendo:
GEN.8.16	Sal del arca 
GEN.8.17	Todos los animales que están contigo de toda carne, de aves y de bestias y de todo reptil que anda arrastrando sobre la tierra, sacarás contigo; y vayan por la tierra, 
GEN.8.18	Entonces salió Noé, y sus hijos, y su mujer, y las mujeres de sus hijos con él.
GEN.8.19	Todos los animales, y todo reptil y toda ave, todo lo que se mueve sobre la tierra según sus especies, salieron del arca.
GEN.8.20	Y edificó Noé un altar á Jehová, y tomó de todo animal limpio y de toda ave limpia, y ofreció holocausto en el altar.
GEN.8.21	Y percibió Jehová 
GEN.8.22	Todavía serán todos los tiempos de la tierra; la sementera y la siega, y el frío y calor, verano é invierno, 
GEN.9.1	Y BENDIJO Dios á Noé y á sus hijos, y díjoles: 
GEN.9.5	Porque ciertamente demandaré la sangre de vuestras vidas; 
GEN.9.7	Mas vosotros fructificad, y multiplicaos; procread abundantemente en la tierra, y multiplicaos en ella.
GEN.9.8	Y habló Dios á Noé y á sus hijos con él, diciendo:
GEN.9.9	Yo, he aquí que 
GEN.9.10	Y con toda alma viviente que está con vosotros, de aves, de animales, y de toda bestia de la tierra que está con vosotros; desde todos los que salieron del arca hasta todo animal de la tierra.
GEN.9.12	Y dijo Dios: 
GEN.9.14	Y será que cuando haré venir nubes sobre la tierra, se dejará ver entonces mi arco en las nubes.
GEN.9.16	Y estará el arco en las nubes, y verlo he para acordarme del pacto perpetuo entre Dios y toda alma viviente, con toda carne que hay sobre la tierra.
GEN.9.17	Dijo, pues, Dios á Noé: Esta será la señal del pacto que he establecido 
GEN.9.18	Y los hijos de Noé que salieron del arca fueron 
GEN.9.19	Estos tres son los hijos de Noé; 
GEN.9.20	Y comenzó Noé á labrar la tierra, y plantó una viña:
GEN.9.21	Y bebió del vino, y se embriagó, y estaba descubierto en medio de su tienda.
GEN.9.22	Y Châm, padre de Canaán, vió la desnudez de su padre, y díjolo á sus dos hermanos á la parte de afuera.
GEN.9.23	Entonces Sem y Japhet tomaron la ropa, y la pusieron sobre sus propios hombros, y andando hacia atrás, cubrieron la desnudez de su padre, teniendo vueltos sus rostros, y así no vieron la desnudez de su padre.
GEN.9.24	Y despertó Noé de su vino, y supo lo que había hecho con él su hijo el más joven;
GEN.9.25	Y dijo:
GEN.9.26	Dijo más: Bendito Jehová el Dios de Sem,
GEN.9.26	Y séale Canaán siervo.
GEN.9.27	Engrandezca Dios á Japhet,
GEN.9.27	Y habite en las tiendas de Sem,
GEN.9.27	Y séale Canaán siervo.
GEN.9.28	Y vivió Noé después del diluvio trescientos y cincuenta años.
GEN.9.29	Y fueron todos los días de Noé novecientos y cincuenta años; y murió.
GEN.10.1	ESTAS son las generaciones de los hijos de Noé: Sem, Châm y Japhet, á los cuales nacieron hijos después del diluvio.
GEN.10.3	Y los hijos de Gomer: Ashkenaz, y Riphat, y Togorma.
GEN.10.4	Y los hijos de Javán: Elisa, y 
GEN.10.5	Por éstos fueron repartidas las 
GEN.10.7	Y los hijos de Cush: Seba, Havila, y Sabta, y Raama, y Sabtecha. Y los hijos de Raama: Sheba y Dedán.
GEN.10.8	Y Cush engendró á Nimrod: éste comenzó á ser poderoso en la tierra.
GEN.10.9	Este fué vigoroso cazador delante de Jehová; por lo cual se dice: Así como Nimrod, vigoroso cazador delante de Jehová.
GEN.10.10	Y fué la cabecera de su reino 
GEN.10.11	De aquesta tierra salió Assur, y edificó á Nínive, y á Rehoboth, y á Calah,
GEN.10.12	Y á Ressen entre Nínive y Calah; la cual es ciudad grande.
GEN.10.13	Y Mizraim engendró á Ludim, y á Anamim, y á Lehabim, y á Naphtuhim,
GEN.10.14	Y á Pathrusim, y á Casluim 
GEN.10.15	Y 
GEN.10.16	Y al Jebuseo, y al Amorrheo, y al Gergeseo,
GEN.10.17	Y al Heveo, y al Araceo, y al Sineo,
GEN.10.18	Y al Aradio, y al Samareo, y al Amatheo: y después se derramaron las familias de los Cananeos.
GEN.10.19	Y fué el término de los Cananeos desde Sidón, viniendo á Gerar hasta Gaza, hasta entrar en Sodoma y Gomorra, Adma, y Zeboim hasta Lasa.
GEN.10.20	Estos son los hijos de Châm por sus familias, por sus lenguas, en sus tierras, en sus naciones.
GEN.10.21	También le nacieron hijos á Sem, padre de todos los hijos de Heber, y hermano mayor de Japhet.
GEN.10.23	Y los hijos de Aram: Uz, y Hul, y Gether, y Mas.
GEN.10.24	Y Arphaxad engendró á 
GEN.10.26	Y Joctán engendró á Almodad, y á Sheleph, y Hazarmaveth, y á Jera,
GEN.10.27	Y á Hadoram, y á Uzal, y á Dicla,
GEN.10.28	Y á Obal, y á Abimael, y á Seba,
GEN.10.29	Y á 
GEN.10.30	Y fué su habitación desde Mesa viniendo de Sephar, monte 
GEN.10.31	Estos fueron los hijos de Sem por sus familias, por sus lenguas, en sus tierras, en sus naciones.
GEN.10.32	Estas son las familias de Noé por sus descendencias, en sus naciones; 
GEN.11.1	ERA entonces toda la tierra de una lengua y unas mismas palabras.
GEN.11.2	Y aconteció que, como se partieron de oriente, hallaron una vega en la 
GEN.11.3	Y dijeron los unos á los otros: Vaya, hagamos ladrillo y cozámoslo con fuego. Y fuéles el ladrillo en lugar de piedra, 
GEN.11.4	Y dijeron: Vamos, edifiquémonos una ciudad y una torre, 
GEN.11.6	Y dijo Jehová: He aquí el pueblo es uno, y todos éstos tienen un lenguaje: y han comenzado á obrar, y nada les retraerá ahora de lo que han pensando hacer.
GEN.11.7	Ahora pues, 
GEN.11.9	Por esto fué llamado el nombre de ella Babel, porque allí confudió Jehová el lenguaje de toda la tierra, y desde allí los esparció sobre la faz de toda la tierra.
GEN.11.11	Y vivió Sem, después que engendró á Arphaxad quinientos años, y engendró hijos é hijas.
GEN.11.12	Y Arphaxad vivió treinta y cinco años, y engendró á Sala.
GEN.11.13	Y vivió Arphaxad, después que engendró á Sala, cuatrocientos y tres años, y engendró hijos é hijas.
GEN.11.14	Y vivió Sala treinta años, y engendró á Heber.
GEN.11.15	Y vivió Sala, después que engendró á Heber, cuatrocientos y tres años, y engendró hijos é hijas.
GEN.11.17	Y vivió Heber, después que engendró á Peleg, cuatrocientos y treinta años, y engendró hijos é hijas.
GEN.11.18	Y vivió Peleg, treinta años, y engendró á Reu.
GEN.11.19	Y vivió Peleg, después que engendró á Reu, doscientos y nueve años, y engendró hijos é hijas.
GEN.11.20	Y Reu vivió treinta y dos años, y engendró á Serug.
GEN.11.21	Y vivió Reu, después que engendró á Serug, doscientos y siete años, y engendró hijos é hijas.
GEN.11.22	Y vivió Serug treinta años, y engendró á Nachôr.
GEN.11.23	Y vivió Serug, después que engendró á Nachôr, doscientos años, y engendró hijos é hijas.
GEN.11.24	Y vivió Nachôr veintinueve años, y engendró á Thare.
GEN.11.25	Y vivió Nachôr, después que engendró á Thare, ciento diecinueve años, y engendró hijos é hijas.
GEN.11.26	Y vivió Thare setenta años, 
GEN.11.27	Estas son las generaciones de Thare: Thare engendró á Abram, y á Nachôr, y á Harán; y Harán engendró á Lot.
GEN.11.28	Y murió Harán antes que su padre Thare en la tierra de su naturaleza, en Ur de los Caldeos.
GEN.11.29	Y tomaron Abram y Nachôr para sí mujeres: el nombre de la mujer de Abram fué 
GEN.11.31	Y tomó Thare á 
GEN.11.32	Y fueron los días de Thare doscientos y cinco años; y murió Thare en Harán.
GEN.12.1	EMPERO 
GEN.12.4	Y fuése Abram, como Jehová le dijo; y fué con él Lot: y era Abram de edad de setenta y cinco años cuando salió de Harán.
GEN.12.5	Y tomó Abram á Sarai su mujer, y á Lot hijo de su hermano, y toda su hacienda que habían ganado, 
GEN.12.7	Y apareció Jehová á Abram, y le dijo: 
GEN.12.8	Y pasóse de allí á un monte al oriente de Bethel, y tendió su tienda, teniendo á Bethel al occidente y Hai al oriente: 
GEN.12.9	Y movió Abram 
GEN.12.11	Y aconteció que cuando estaba para entrar en Egipto, dijo á Sarai su mujer: He aquí, ahora conozco que eres mujer hermosa de vista;
GEN.12.12	Y será que cuando te habrán visto los Egipcios, dirán: Su mujer es: 
GEN.12.13	Ahora pues, di que eres mi hermana, para que yo haya bien por causa tuya, y viva mi alma por amor de ti.
GEN.12.14	Y aconteció que, como entró Abram en Egipto, los Egipcios vieron la mujer que era hermosa en gran manera.
GEN.12.15	Viéronla también los príncipes de Faraón, y se la alabaron; y fué llevada la mujer á casa de Faraón:
GEN.12.16	E hizo bien á Abram por causa de ella; y tuvo ovejas, y vacas, y asnos, y siervos, y criadas, y asnas y camellos.
GEN.12.18	Entonces Faraón llamó á Abram, y le dijo: ¿Qué es esto que has hecho conmigo? ¿Por qué no me declaraste que era tu mujer?
GEN.12.19	¿Por qué dijiste: Es mi hermana? poniéndome en ocasión de tomarla para mí por mujer? Ahora pues, he aquí tu mujer, tómala y vete.
GEN.12.20	Entonces Faraón dió orden á 
GEN.13.1	SUBIÓ, pues, Abram de Egipto hacia el Mediodía, él y su mujer, con todo lo que tenía, y con él Lot.
GEN.13.2	Y Abram era riquísimo en ganado, en plata y oro.
GEN.13.3	Y volvió por sus jornadas 
GEN.13.5	Y asimismo Lot, que andaba con Abram, tenía ovejas, y vacas, y tiendas.
GEN.13.6	Y 
GEN.13.8	Entonces Abram dijo á Lot: 
GEN.13.10	Y alzó Lot sus ojos, y vió toda 
GEN.13.11	Entonces Lot escogió para sí toda la llanura del Jordán: y partióse Lot de Oriente, y apartáronse el uno del otro.
GEN.13.12	Abram asentó en la tierra de Canaán, y Lot asentó en las ciudades de la llanura, y fué poniendo sus tiendas hasta Sodoma.
GEN.13.14	Y Jehová dijo á Abram, después que Lot se apartó de él: Alza ahora tus ojos, y mira desde el lugar donde estás hacia el Aquilón, y al Mediodía, y al Oriente y al Occidente;
GEN.13.15	Porque toda la tierra que ves, 
GEN.13.17	Levántate, ve por la tierra á lo largo de ella y á su ancho; porque á ti la tengo de dar.
GEN.13.18	Abram, pues, removiendo su tienda, vino 
GEN.14.1	Y ACONTECIÓ en los días de Amraphel, rey de 
GEN.14.2	Que éstos hicieron guerra contra Bera, rey de Sodoma, y contra Birsha, rey de Gomorra, y contra Shinab, rey de 
GEN.14.3	Todos estos se juntaron en el valle de Siddim, 
GEN.14.4	Doce años habían servido á Chêdorlaomer, y al décimotercio año se rebelaron.
GEN.14.5	Y en el año décimocuarto vino Chêdorlaomer, y los reyes que estaban de su parte, y derrotaron á 
GEN.14.6	Y á los Horeos en el monte de Seir, hasta la 
GEN.14.7	Y volvieron, y vinieron á Emmisphat, que es Cades, y devastaron todas las haciendas de los Amalecitas, y también al Amorrheo, que habitaba en 
GEN.14.8	Y salió el rey de Sodoma, y el rey de Gomorra, y el rey de Adma, y el rey de Zeboim, y el rey de Bela, que es Zoar, y ordenaron contra ellos batalla en el valle de Siddim;
GEN.14.10	Y el valle de Siddim estaba lleno de pozos de 
GEN.14.11	Y tomaron toda 
GEN.14.12	Tomaron también á Lot, 
GEN.14.13	Y vino uno de los que escaparon, y denunciólo á Abram el Hebreo, 
GEN.14.14	Y oyó Abram que su 
GEN.14.15	Y derramóse sobre ellos de noche él y sus siervos, é hiriólos, y fuélos siguiendo hasta Hobah, que está á la izquierda de Damasco.
GEN.14.16	Y recobró todos los bienes, y también á Lot su hermano y su hacienda, y también las mujeres y gente.
GEN.14.17	Y salió el rey de Sodoma á recibirlo, cuando volvía de la derrota de Chêdorlaomer y de los reyes que con él estaban, al valle de Shave, 
GEN.14.18	Entonces 
GEN.14.19	Y bendíjole, y dijo: Bendito sea Abram del Dios alto, 
GEN.14.20	Y bendito sea el Dios alto, que entregó tus enemigos en tu mano. 
GEN.14.21	Entonces el rey de Sodoma dijo á Abram: Dame las personas, y toma para ti la hacienda.
GEN.14.22	Y respondió Abram al rey de Sodoma: 
