GEN.1.1	En el principio, Dios creó los cielos y la tierra.
GEN.3.20	Después, el hombre —Adán— le puso a su esposa el nombre Eva, porque ella sería la madre de todos los que viven.
GEN.3.21	Y el 
GEN.3.22	Luego el 
GEN.3.23	Así que el 
GEN.3.24	Después de expulsarlos, el 
GEN.4.1	Ahora bien, Adán
GEN.4.2	Tiempo después, dio a luz al hermano de Caín y le puso por nombre Abel.
GEN.4.2	Cuando crecieron, Abel se hizo pastor de ovejas, mientras que Caín se dedicó a cultivar la tierra. 
GEN.4.3	Al llegar el tiempo de la cosecha, Caín presentó algunos de sus cultivos como ofrenda para el 
GEN.4.4	Abel también presentó una ofrenda: las mejores partes de algunos de los corderos que eran primeras crías de su rebaño. El 
GEN.4.5	pero no aceptó a Caín ni a su ofrenda. Esto hizo que Caín se enojara mucho, y se veía decaído.
GEN.4.6	«¿Por qué estás tan enojado? —preguntó el 
GEN.4.7	Serás aceptado si haces lo correcto, pero si te niegas a hacer lo correcto, entonces, ¡ten cuidado! El pecado está a la puerta, al acecho y ansioso por controlarte; pero tú debes dominarlo y ser su amo».
GEN.4.8	Cierto día Caín dijo a su hermano: «Salgamos al campo».
GEN.4.9	Luego el 
GEN.4.9	—¿Dónde está tu hermano? ¿Dónde está Abel?
GEN.4.9	—No lo sé —contestó Caín—. ¿Acaso soy yo el guardián de mi hermano?
GEN.4.10	Pero el 
GEN.4.10	—¿Qué has hecho? ¡Escucha! ¡La sangre de tu hermano clama a mí desde la tierra! 
GEN.4.11	Ahora eres maldito y serás expulsado de la tierra que se ha tragado la sangre de tu hermano. 
GEN.4.12	La tierra ya no te dará buenas cosechas, ¡por mucho que la trabajes! De ahora en adelante, serás un vagabundo sin hogar sobre la tierra.
GEN.4.13	Caín respondió al 
GEN.4.13	—¡Mi castigo
GEN.4.14	Me has expulsado de la tierra y de tu presencia; me has hecho un vagabundo sin hogar. ¡Cualquiera que me encuentre me matará!
GEN.4.15	El 
GEN.4.15	—No, porque yo castigaré siete veces a cualquiera que te mate.
GEN.4.15	Entonces el 
GEN.4.16	Luego, Caín salió de la presencia del 
GEN.4.17	Caín tuvo relaciones sexuales con su esposa, y ella quedó embarazada y dio a luz a Enoc. Luego Caín fundó una ciudad, que llevaba el nombre de su hijo Enoc. 
GEN.4.18	Enoc tuvo un hijo llamado Irad, Irad fue el padre de
GEN.4.19	Lamec se casó con dos mujeres. La primera se llamaba Ada y la segunda, Zila. 
GEN.4.20	Ada dio a luz a Jabal, quien fue el primero de los que crían animales y viven en carpas. 
GEN.4.21	El nombre de su hermano fue Jubal, el primero de todos los que tocan el arpa y la flauta. 
GEN.4.22	La otra esposa de Lamec, Zila, dio a luz un hijo llamado Tubal-caín, el cual se hizo experto en forjar herramientas de bronce y de hierro. Tubal-caín tuvo una hermana llamada Naama. 
GEN.4.23	Cierto día Lamec dijo a sus esposas:
GEN.4.23	«Ada y Zila, oigan mi voz;
GEN.4.23	escúchenme, esposas de Lamec.
GEN.4.23	Maté a un hombre que me atacó,
GEN.4.23	a un joven que me hirió.
GEN.4.24	Si se castiga siete veces a quien mate a Caín,
GEN.4.24	¡el que me mate a mí será castigado setenta y siete veces!».
GEN.4.25	Adán volvió a tener relaciones sexuales con su esposa, y ella dio a luz otro hijo, al cual llamó Set,
GEN.4.26	Cuando Set creció, tuvo un hijo y lo llamó Enós. Fue en aquel tiempo que la gente por primera vez comenzó a adorar al 
GEN.5.1	Este es el relato escrito de los descendientes de Adán. Cuando Dios creó a los seres humanos,
GEN.5.2	Los creó hombre y mujer, y los bendijo y los llamó «humanos».
GEN.5.3	Cuando Adán tenía ciento treinta años, fue padre de un hijo que era igual a él, su viva imagen, y lo llamó Set. 
GEN.5.4	Después del nacimiento de Set, Adán vivió ochocientos años más y tuvo otros hijos e hijas. 
GEN.5.5	Adán vivió novecientos treinta años y después murió.
GEN.5.6	Cuando Set tenía ciento cinco años, fue padre de
GEN.5.7	Después del nacimiento de
GEN.5.8	Set vivió novecientos doce años y después murió.
GEN.5.9	Cuando Enós tenía noventa años, fue padre de Cainán. 
GEN.5.10	Después del nacimiento de Cainán, Enós vivió ochocientos quince años más y tuvo otros hijos e hijas. 
GEN.5.11	Enós vivió novecientos cinco años y después murió.
GEN.5.12	Cuando Cainán tenía setenta años, fue padre de Mahalaleel. 
GEN.5.13	Después del nacimiento de Mahalaleel, Cainán vivió ochocientos cuarenta años más y tuvo otros hijos e hijas. 
GEN.5.14	Cainán vivió novecientos diez años y después murió.
GEN.5.15	Cuando Mahalaleel tenía sesenta y cinco años, fue padre de Jared. 
GEN.5.16	Después del nacimiento de Jared, Mahalaleel vivió ochocientos treinta años más y tuvo otros hijos e hijas. 
GEN.5.17	Mahalaleel vivió ochocientos noventa y cinco años y después murió.
GEN.5.18	Cuando Jared tenía ciento sesenta y dos años, fue padre de Enoc. 
GEN.5.19	Después del nacimiento de Enoc, Jared vivió ochocientos años más y tuvo otros hijos e hijas. 
GEN.5.20	Jared vivió novecientos sesenta y dos años y después murió.
GEN.5.21	Cuando Enoc tenía sesenta y cinco años, fue padre de Matusalén. 
GEN.5.22	Después del nacimiento de Matusalén, Enoc vivió en íntima comunión con Dios trescientos años más y tuvo otros hijos e hijas. 
GEN.5.23	Enoc vivió trescientos sesenta y cinco años 
GEN.5.24	andando en íntima comunión con Dios. Y un día desapareció, porque Dios se lo llevó.
GEN.5.25	Cuando Matusalén tenía ciento ochenta y siete años, fue padre de Lamec. 
GEN.5.26	Después del nacimiento de Lamec, Matusalén vivió setecientos ochenta y dos años más y tuvo otros hijos e hijas. 
GEN.5.27	Matusalén vivió novecientos sesenta y nueve años y después murió.
GEN.5.28	Cuando Lamec tenía ciento ochenta y dos años, fue padre de un hijo varón. 
GEN.5.29	Lamec le puso por nombre a su hijo Noé, porque dijo: «Que él nos traiga alivio
GEN.5.30	Después del nacimiento de Noé, Lamec vivió quinientos noventa y cinco años más y tuvo otros hijos e hijas. 
GEN.5.31	Lamec vivió setecientos setenta y siete años y después murió.
GEN.5.32	Cuando Noé tenía quinientos años, fue padre de Sem, Cam y Jafet.
GEN.6.1	Luego los seres humanos comenzaron a multiplicarse sobre la tierra, y les nacieron hijas. 
GEN.6.2	Los hijos de Dios vieron a las hermosas mujeres
GEN.6.3	Entonces el 
GEN.6.4	En esos días y durante algún tiempo después, vivían en la tierra gigantes nefilitas, pues siempre que los hijos de Dios tenían relaciones sexuales con las mujeres, ellas daban a luz hijos que luego se convirtieron en los héroes y en los famosos guerreros de la antigüedad.
GEN.6.5	El 
GEN.6.6	Entonces el 
GEN.6.7	Entonces el 
GEN.6.8	Pero Noé encontró favor delante del 
GEN.6.9	Este es el relato de Noé y su familia. Noé era un hombre justo, la única persona intachable que vivía en la tierra en ese tiempo, y anduvo en íntima comunión con Dios. 
GEN.6.10	Noé fue padre de tres hijos: Sem, Cam y Jafet.
GEN.6.11	Ahora bien, Dios vio que la tierra se había corrompido y estaba llena de violencia. 
GEN.6.12	Dios observó toda la corrupción que había en el mundo, porque todos en la tierra eran corruptos. 
GEN.6.13	Entonces Dios le dijo a Noé: «He decidido destruir a todas las criaturas vivientes, porque han llenado la tierra de violencia. Así es, ¡los borraré a todos y también destruiré la tierra!
GEN.6.14	»Construye una gran barca
GEN.6.15	Haz la barca de ciento treinta y ocho metros de longitud, veintitrés metros de anchura y catorce metros de altura.
GEN.6.16	Deja una abertura de cuarenta y seis centímetros
GEN.6.17	»¡Mira! Estoy a punto de cubrir la tierra con un diluvio que destruirá a todo ser vivo que respira. Todo lo que hay en la tierra morirá, 
GEN.6.18	pero confirmaré mi pacto contigo. Así que entren en la barca tú y tu mujer, y tus hijos y sus esposas. 
GEN.6.19	Mete en la barca junto contigo a una pareja —macho y hembra— de cada especie animal a fin de mantenerlos vivos durante el diluvio. 
GEN.6.20	Una pareja de cada especie de ave, de animal, y de animal pequeño que corre por el suelo vendrá a ti para mantenerse con vida. 
GEN.6.21	Y asegúrate de llevar a bordo suficiente alimento para tu familia y para todos los animales».
GEN.6.22	Entonces Noé hizo todo exactamente como Dios se lo había ordenado.
GEN.7.1	Cuando todo estuvo preparado, el 
GEN.7.2	Toma contigo siete parejas —macho y hembra— de cada animal que yo he aprobado para comer y para el sacrificio,
GEN.7.3	Toma también siete parejas de cada especie de ave. Tiene que haber un macho y una hembra en cada pareja para asegurar que sobrevivan todas las especies en la tierra después del diluvio. 
GEN.7.4	Dentro de siete días, haré que descienda la lluvia sobre la tierra; y lloverá durante cuarenta días y cuarenta noches, hasta que yo haya borrado de la tierra a todos los seres vivos que he creado».
GEN.7.5	Así que Noé hizo todo tal como el 
GEN.7.6	Noé tenía seiscientos años cuando el diluvio cubrió la tierra. 
GEN.7.7	Subió a bordo de la barca para escapar del diluvio junto con su esposa, sus hijos y las esposas de ellos. 
GEN.7.8	Con ellos estaban todas las diferentes especies de animales —los aprobados para comer y para el sacrificio, y los no aprobados— junto con todas las aves y los animales pequeños que corren por el suelo. 
GEN.7.9	Entraron en la barca por parejas —macho y hembra— tal como Dios había ordenado a Noé. 
GEN.7.10	Después de siete días, las aguas del diluvio descendieron y cubrieron la tierra.
GEN.7.11	Cuando Noé tenía seiscientos años, el día diecisiete del segundo mes, todas las aguas subterráneas entraron en erupción, y la lluvia cayó en grandes torrentes desde el cielo. 
GEN.7.12	La lluvia continuó cayendo durante cuarenta días y cuarenta noches.
GEN.7.13	Ese mismo día Noé había entrado en la barca con su esposa y sus hijos —Sem, Cam y Jafet— y las esposas de ellos. 
GEN.7.14	Con ellos en la barca había parejas de cada especie animal —domésticos y salvajes, grandes y pequeños— junto con aves de cada especie. 
GEN.7.15	De dos en dos entraron en la barca, en representación de todo ser vivo que respira. 
GEN.7.16	Entraron un macho y una hembra de cada especie, tal como Dios había ordenado a Noé. Luego el 
GEN.7.17	Durante cuarenta días, las aguas del diluvio crecieron hasta que cubrieron la tierra y elevaron la barca por encima de la tierra. 
GEN.7.18	Mientras el nivel del agua subía más y más por encima del suelo, la barca flotaba a salvo sobre la superficie. 
GEN.7.19	Finalmente, el agua cubrió hasta las montañas más altas de la tierra 
GEN.7.20	elevándose casi siete metros
GEN.7.21	Murieron todos los seres vivos que había sobre la tierra: las aves, los animales domésticos, los animales salvajes, los animales pequeños que corren por el suelo y todas las personas. 
GEN.7.22	Todo lo que respiraba y vivía sobre tierra firme murió. 
GEN.7.23	Dios borró de la tierra a todo ser vivo: las personas, los animales, los animales pequeños que corren por el suelo y las aves del cielo. Todos fueron destruidos. Las únicas personas que sobrevivieron fueron Noé y los que estaban con él en la barca. 
GEN.7.24	Y las aguas del diluvio cubrieron la tierra durante ciento cincuenta días.
GEN.8.1	Entonces Dios se acordó de Noé y de todos los animales salvajes y domésticos que estaban con él en la barca. Envió un viento que soplara sobre la tierra, y las aguas del diluvio comenzaron a retirarse. 
GEN.8.2	Las aguas subterráneas dejaron de fluir y se detuvieron las lluvias torrenciales que caían del cielo. 
GEN.8.3	Entonces las aguas del diluvio se retiraron de la tierra en forma gradual. Después de ciento cincuenta días, 
GEN.8.4	exactamente cinco meses después de que comenzó el diluvio,
GEN.8.5	Dos meses y medio más tarde,
GEN.8.6	Pasados otros cuarenta días, Noé abrió la ventana que había hecho en la barca 
GEN.8.7	y soltó un cuervo. El pájaro voló ida y vuelta hasta que las aguas del diluvio terminaron de secarse sobre la tierra. 
GEN.8.8	También soltó una paloma para ver si el agua se había retirado y si la paloma podía encontrar suelo seco; 
GEN.8.9	pero la paloma no pudo encontrar ningún lugar donde posarse, porque el agua aún cubría la tierra. Así que volvió a la barca, y Noé extendió su mano y metió la paloma adentro. 
GEN.8.10	Después de esperar otros siete días, Noé volvió a soltar la paloma; 
GEN.8.11	esta vez la paloma regresó a él por la tarde con una hoja de olivo fresca en su pico. Entonces Noé supo que las aguas del diluvio se habían retirado casi por completo. 
GEN.8.12	Esperó otros siete días y volvió a soltar la paloma. Esta vez el ave no regresó.
GEN.8.13	Ahora Noé tenía seiscientos un años de edad. El primer día del nuevo año, diez meses y medio después del comienzo del diluvio,
GEN.8.14	Pasaron otros dos meses,
GEN.8.15	Entonces Dios le dijo a Noé: 
GEN.8.16	«Todos ustedes —tú y tu esposa, y tus hijos y sus esposas— salgan de la barca. 
GEN.8.17	Suelta a todos los animales —las aves, los animales y los animales pequeños que corren por el suelo— para que puedan ser fructíferos y se multipliquen por toda la tierra».
GEN.8.18	Entonces Noé, su esposa, sus hijos y las esposas de sus hijos salieron de la barca; 
GEN.8.19	y todos los animales, grandes y pequeños, y las aves salieron de la barca, pareja por pareja.
GEN.8.20	Luego Noé construyó un altar al 
GEN.8.21	Al 
GEN.8.22	Mientras la tierra permanezca, habrá cultivos y cosechas, frío y calor, verano e invierno, día y noche».
GEN.9.1	Después Dios bendijo a Noé y a sus hijos, y les dijo: «Sean fructíferos y multiplíquense; llenen la tierra. 
GEN.9.2	Todos los animales de la tierra, todas las aves del cielo, todos los animales pequeños que corren por el suelo y todos los peces del mar tendrán temor y terror de ustedes. Yo los he puesto bajo su autoridad. 
GEN.9.3	Se los he dado a ustedes como alimento, como les he dado también los granos y las verduras; 
GEN.9.4	pero nunca deben comer de ninguna carne con su vida, es decir, que aún tenga sangre.
GEN.9.5	»Yo exigiré la sangre de cualquiera que le quite la vida a otra persona. Si un animal salvaje mata a una persona, ese animal debe morir; y cualquiera que asesine a otro ser humano debe morir. 
GEN.9.6	Si alguien quita una vida humana, la vida de esa persona también será quitada por manos humanas. Pues Dios hizo a los seres humanos
GEN.9.7	Ahora sean fructíferos y multiplíquense, y vuelvan a poblar la tierra».
GEN.9.8	Entonces Dios les dijo a Noé y a sus hijos: 
GEN.9.9	«Ahora mismo, yo confirmo mi pacto con ustedes y con sus descendientes, 
GEN.9.10	y con todos los animales que estuvieron en la barca con ustedes —las aves, los animales domésticos y todos los animales salvajes—, con toda criatura viviente sobre la tierra. 
GEN.9.11	Sí, yo confirmo mi pacto con ustedes. Nunca más las aguas de un diluvio matarán a todas las criaturas vivientes; nunca más un diluvio destruirá la tierra».
GEN.9.12	Entonces Dios dijo: «Les doy una señal de mi pacto con ustedes y con todas las criaturas vivientes, para todas las generaciones futuras. 
GEN.9.13	He puesto mi arco iris en las nubes. Esa es la señal de mi pacto con ustedes y con toda la tierra. 
GEN.9.14	Cuando envíe nubes sobre la tierra, el arco iris aparecerá en las nubes 
GEN.9.15	y yo me acordaré de mi pacto con ustedes y con todas las criaturas vivientes. Nunca más las aguas de un diluvio volverán a destruir a todos los seres vivos. 
GEN.9.16	Cuando yo vea el arco iris en las nubes, me acordaré del pacto eterno entre Dios y toda criatura viviente sobre la tierra». 
GEN.9.17	Entonces Dios le dijo a Noé: «Este arco iris es la señal del pacto que yo confirmo con todas las criaturas de la tierra».
GEN.9.18	Los hijos de Noé que salieron de la barca con su padre fueron Sem, Cam y Jafet (Cam es el padre de Canaán). 
GEN.9.19	De estos tres hijos de Noé provienen todas las personas que ahora pueblan la tierra.
GEN.9.20	Después del diluvio, Noé comenzó a cultivar la tierra y plantó un viñedo. 
GEN.9.21	Cierto día, bebió del vino que había hecho y se emborrachó, y estaba recostado y desnudo dentro de su carpa. 
GEN.9.22	Cam, el padre de Canaán, vio que su padre estaba desnudo y salió a contárselo a sus hermanos. 
GEN.9.23	Entonces Sem y Jafet tomaron un manto, se lo pusieron sobre los hombros y entraron de espaldas a la carpa para cubrir a su padre. Mientras lo hacían, miraban para otro lado a fin de no ver a su padre desnudo.
GEN.9.24	Cuando Noé despertó de su estupor, se enteró de lo que había hecho Cam, su hijo menor. 
GEN.9.25	Entonces maldijo a Canaán, el hijo de Cam:
GEN.9.25	«¡Maldito sea Canaán!
GEN.9.25	¡Que sea el más inferior de los siervos para con sus familiares!».
GEN.9.26	Entonces dijo Noé:
GEN.9.26	«¡Bendito sea el 
GEN.9.26	y sea Canaán su siervo!
GEN.9.27	¡Que Dios extienda el territorio de Jafet!
GEN.9.27	Que Jafet comparta la prosperidad de Sem,
GEN.9.27	y sea Canaán su siervo».
GEN.9.28	Noé vivió trescientos cincuenta años más después del gran diluvio. 
GEN.9.29	Vivió novecientos cincuenta años y luego murió.
GEN.10.1	Este es el relato de las familias de Sem, Cam y Jafet, los tres hijos de Noé, a quienes les nacieron muchos hijos después del gran diluvio.
GEN.10.2	Los descendientes de Jafet fueron Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras.
GEN.10.3	Los descendientes de Gomer fueron Askenaz, Rifat y Togarmá.
GEN.10.4	Los descendientes de Javán fueron Elisa, Tarsis, Quitim y Rodanim.
GEN.10.5	Los descendientes de ellos llegaron a ser los pueblos marineros que se dispersaron por diversas tierras, cada uno identificado por su propio idioma, clan e identidad nacional.
GEN.10.6	Los descendientes de Cam fueron Cus, Mizraim, Fut y Canaán.
GEN.10.7	Los descendientes de Cus fueron Seba, Havila, Sabta, Raama y Sabteca. Los descendientes de Raama fueron Seba y Dedán.
GEN.10.8	Cus también fue antepasado de Nimrod, el primer guerrero heroico de la tierra. 
GEN.10.9	Ya que Nimrod fue el mejor cazador del mundo,
GEN.10.10	Él construyó su reino en la tierra de Babilonia,
GEN.10.11	Desde allí extendió su territorio a Asiria
GEN.10.12	y Resén (la gran ciudad situada entre Nínive y Cala).
GEN.10.13	Mizraim fue antepasado de los ludeos, los anameos, los lehabitas, los naftujitas, 
GEN.10.14	los patruseos, los caslujitas y los caftoritas, de los cuales descendieron los filisteos.
GEN.10.15	El hijo mayor de Canaán fue Sidón, antepasado de los sidonios. Canaán también fue antepasado de los hititas,
GEN.10.16	los jebuseos, los amorreos, los gergeseos, 
GEN.10.17	los heveos, los araceos, los sineos, 
GEN.10.18	los arvadeos, los zemareos y los hamateos. Con el tiempo, los clanes cananeos se dispersaron 
GEN.10.19	y el territorio de Canaán se extendió desde Sidón, en el norte, hasta Gerar y Gaza, en el sur, y por el oriente tan lejos como Sodoma, Gomorra, Adma y Zeboim, cerca de Lasa.
GEN.10.20	Ellos fueron los descendientes de Cam, identificados por clan, idioma, territorio e identidad nacional.
GEN.10.21	También le nacieron hijos a Sem, el hermano mayor de Jafet.
GEN.10.22	Los descendientes de Sem fueron Elam, Asur, Arfaxad, Lud y Aram.
GEN.10.23	Los descendientes de Aram fueron Uz, Hul, Geter y Mas.
GEN.10.24	Arfaxad fue el padre de Sala,
GEN.10.25	Heber tuvo dos hijos. El primero se llamó Peleg (que significa «división»), porque durante su vida los habitantes del mundo estaban divididos en diferentes grupos según su idioma. Su hermano se llamó Joctán.
GEN.10.26	Joctán fue el antepasado de Almodad, Selef, Hazar-mavet, Jera, 
GEN.10.27	Adoram, Uzal, Dicla, 
GEN.10.28	Obal, Abimael, Seba, 
GEN.10.29	Ofir, Havila y Jobab. Todos ellos fueron descendientes de Joctán. 
GEN.10.30	El territorio que ocupaban se extendía desde Mesa hasta Sefar, en las montañas orientales.
GEN.10.31	Ellos fueron los descendientes de Sem, identificados por clan, idioma, territorio e identidad nacional.
GEN.10.32	Esos son los clanes que descendieron de los hijos de Noé, ordenados por nación, de acuerdo con la línea de descendencia correspondiente. Todas las naciones de la tierra descendieron de esos clanes después del gran diluvio.
