MAT.1.1	Hawe Daawita zariyaanne Abraahaame zare gideedda Yesuusi Kiristtoosa yeletaa odiyaa maxaafaa.
MAT.1.24	Yooseefo gemi77ishuwaappe beegottiide, Godaa kiitanchchay barena azazowaadan, Mayraamo bare golle afeedda. 
MAT.1.25	Shin na7ay yelettana gakkanaw Yooseefo izikko shiiqibeenna; qassi na7aakka Yesuusa giide suntheedda. 
MAT.2.1	Yesuusi Yihudaa gadiyan Beeteliheeme geetettiyaa katamaan Heroodise kawutiide de7iyaa wode yeletteedda; hewaappe guyyiyan, xoolinttiyaa paydiyaa asay 
MAT.2.2	<<Ayihuda kaatiyaa gidanaw yeletteedda na7ay haqan de7ii? Nuuni awayfi doliyaa bagganna keseedda A xoolinttiyaa be7iide, aw goyinnanaw yeeddo>> yaagiide oochcheeddino.
MAT.2.3	Kaatiyaa Heroodise, hewaa sisiide dagammeedda; Yeerusalaamen de7iyaa asay ubbaykka wozanaa bayeeddino. 
MAT.2.4	Heroodise qeesatuwaa kaappatuwaa ubbatuwaanne Muse higgiyaa tamaarissiyaawantta xeesiide, <<Kiristtoosi haqan yelettanddeeshsha?>> yaagiide oochcheedda.
MAT.2.5+MAT.2.6	Unttunttu zaariide, <<Yihudaa gadiyan Beeteliheeme katamaan yelettanawaa. Nabii,
MAT.2.5+MAT.2.6	<Yihudaa gadiyan de7iyaa Beeteliheeme,
MAT.2.5+MAT.2.6	neeni Yihudaa gadiyan de7iyaa woliqqaama katamatuwaappe laafakka.
MAT.2.5+MAT.2.6	Isra7eeliya mooddiyaawe neeppe kesanawaa>
MAT.2.5+MAT.2.6	giide xaafeedda>> yaageeddino. 
MAT.2.7	Hewaappe kaalla, Heroodise awayfi doliyaa baggappe yeedda asatuwaa geeman xeesiide, xoolinttii unttunttoo beetteedda wodiyaa unttunttuppe geeshshiide ereedda. 
MAT.2.8	Yaatiide Beeteliheeme unttuntta yeddiidde, <<Biide na7aa loythi koyyite; A demmeedda wode taanikka baade aw goyinnanaadan, taanakka erissite>> yaageedda.
MAT.2.9	Unttunttu kaatii geeddawaa sisi biidde ogiyaan awayfi doliyaa bagganna unttunttu kase be7eedda xoolinttiyaa be7eeddino; na7ay de7iyaasaa gakkiide eqqana gakkanaw, xoolinttii unttuntta kaaletheedda. 
MAT.2.10	Unttunttu he xoolinttiyaa be7eedda wode, zaway baynna daro nashechchaa nashetteeddino. 
MAT.2.11	Golle geliide, na7ay bare daayi Mayraaminna de7iyaawaa be7eeddino; gulbbatiide aw goyinneeddino; hewaappe kaalla, barenttu saaxiniyaa dooyyiide, worqqaa, ixaanaanne kawaraa 
MAT.2.12	Unttunttu Heroodisakko simmenna mala, Xoossay akumuwan unttuntta, <<Hinttena erite>> giina hara ogiyaanna barenttu gade simmeeddino.
MAT.2.13	Unttunttu beeddawaappe guyyiyan, Godaa kiitanchchay akumuwan Yooseefoo beettiide, <<Heroodise na7aa wodhanaw koyyiyaa diraw, denddaade na7aanne A daayo akkaade Gibxe gadiyaa beta; taani new odana gakkanaw, yaani de7ashsha>> yaageedda.
MAT.2.14+MAT.2.15	Yooseefo qamma denddiide, na7aanne A daayo akkiide, Gibxe gadiyaa beedda; Goday nabiyaa bagganna, <<Taani ta na7aa Gibxe gadiyaappe xeesaaddi>> yaageeddawe polettana mala, Heroodise hayqqana gakkanaw I yaani de7eedda. 
MAT.2.16	Hewaappe guyyiyan, Heroodise awayfi doliyaa baggappe yeeddawanttu barena cimmeeddawaa ereedda wode, daro hanqqettiide, xoolinttii kase beetteedda wodiyaa unttunttuppe siseeddawaadan, wottaaddaratuwaa yeddiide, Beeteliheemeninne yuushshuwaan de7iya laa77u laythaa attuma naanaanne laa77u laythaappe garssanna de7iyaa attuma naanaa ubbaa wodhisseedda.
MAT.2.17+MAT.2.18	Nabiyaa Ermiyaasi,
MAT.2.17+MAT.2.18	<<Yeekuunne zilassay Raama geetettiyaa katamaan sisetteedda;
MAT.2.17+MAT.2.18	Raaheela bare naanaw yeekkaw.
MAT.2.17+MAT.2.18	Unttunttu hayqqidiggo diraw,
MAT.2.17+MAT.2.18	agga giina, aggennaan ixxaaddu>>
MAT.2.17+MAT.2.18	giide odeeddawe poletteedda. 
MAT.2.19	Heroodise hayqqeeddawaappe guyyiyan, Godaa kiitanchchay Gibxen Yooseefoo akumuwan beettiide 
MAT.2.20	A, <<Dendda; na7aanne A daayo akkaade, Isra7eeliya gadiya simma. Na7aa wodhanaw koyyiyawanttu hayqqidiggeeddino>> yaageedda. 
MAT.2.21	Yooseefo denddiide, na7aanne A daayo akkiide, Isra7eeliya simmeedda.
MAT.2.22	Shin Yooseefo Arkkelawoosi bare aawuwaa Heroodisa oydiyaan Yihudaa gadiyan kawuteeddawaa siseedda wode, yaa baanaw yayyeedda; Xoossay aw akumuwan hinttena erite giina, Galiilaa gadiya beedda. 
MAT.2.23	Nabatuu, <<Asay A, <Naazireetiyaa asa> 
MAT.3.1+MAT.3.2	He wode Xammaqiyaa Yohaannisi asaa, <<Saluwaa kawutethay matatteedda diraw, hintte nagaraappe simmite>> yaagiidde, Yihudaa mela biittaan odiidde yeedda. 
MAT.3.3	Ayissi gooppe, nabiyaa Iisiyaase, Yohaannisabaa odiidde,
MAT.3.3	<<Ittuu mela biittaan bare qaalaa dhoqqu udiide,
MAT.3.3	<Godaa ogiyaa giigissite.
MAT.3.3	I hemettana loossuwaakka
MAT.3.3	aw sitti udite> geedda>>
MAT.3.3	yaageedda. 
MAT.3.4	Yohaannisaw gaaluwaa iskiyan dadetteedda mayuu de7ee; qassi bare xeessan dafuwaa dancceedda; I miyaa qumaykka booliyaanne bazzuwaa eessaa. 
MAT.3.5	Asay he wode Yeerusalaameppe, Yihudaa gadiyaa ubba saappenne Yorddaanoosa Shaafaa heeran de7iyaa gadiya ubbaappe aakko yiino. 
MAT.3.6	Barenttu nagaraa paaxina, Yorddaanoosa Shaafan asaa xammaqeedda.
MAT.3.7	Shin Yohaannisi daro Parisaawatuunne 
MAT.3.8	Simmi hintte, hinttenttu nagaraappe simmeeddawaa erissiyaa oosuwaa, oothite. 
MAT.3.9	Hintte hinttenttu wozanaan, <Abraahaame nu aabba> giide qoppiyaawaa hinttew malatoppo. Ayissi gooppe, taani hinttenttussi oday; Xoossay ha shuchchatuwaappe Abraahaamossi naanaa udi denthanaw danddayee. 
MAT.3.10	Beexi mithaa xaphuwan qanxxanaw giigi utteedda; lo77o ayfiyaa ayfenna mithaa ubbay qanxxettiide, tamaan yegettana.
MAT.3.11	<<Hintte hinttenttu nagaraappe simmiyaawaa bessanaw, taani hinttena haathaan xammaqay; shin taappe guyyenna yiyaawe, hinttentta Geeshsha Ayyaanaaninne tamaan xammaqana. 
MAT.3.12	A kushiyan kathaa sexxiyaa layday de7ee. Uddummaan de7iyaa kaathaa loythi geeshshee; bare zarggaa diyyiyan qolana; shin dalaa to7enna tamaan guuddana>> yaageedda.
MAT.3.13	Yesuusi he wode Yohaannisan xammaqettanaw, Galiilaappe Yorddaanoosa geetettiyaa shaafaa aakko beedda. 
MAT.3.14	Shin Yohaannisi, <<Taani neenan xammaqettanaw bessiyaa wode, neeni taakko yay?>> yaagiide, A digganaw koyyeedda.
MAT.3.15	Shin Yesuusi zaariide A, <<Nuuni xillotethaa oosuwaa ubbaa hawaadan polanaw bessiyaa diraw, ha77i taw eeno ga>> yaageedda. Yohaannisikka aw eeno geedda.
MAT.3.16	Yesuusi xammaqettowaappe guyyiyan, ellekka haathaappe keseedda; saluu dooyettina, Xoossaa Ayyaanay haraphphiyaadan saluwaappe wodhdhiide bare bolla yiyaa wode be7eedda; 
MAT.3.17	qassi saluwaappe, <<Taani siiqiyaa, taana nashechchiyaa, ta Na7ay hawaa>> yaagiyaa qaalay yeedda. 
MAT.4.1	Hewaappe guyyiyan, xalahiyaan paacettana mala, Geeshsha Ayyaanay asay de7enna sa7aa Yesuusa afeedda. 
MAT.4.2	Yesuusi oytamu gallassaanne oytamu qammaa xoomowaappe guyyiyan koshatteedda. 
MAT.4.3	Xalahii yiide A, <<Neeni Xoossaa Na7aa gidooppe, ane ha shuchchatuwaa ukithaa gidana mala ga>> yaageedda.
MAT.4.4	Shin Yesuusi zaariide, <<Xoossaa maxaafaan, <Asay Xoossay haasayiyaa qaalaa ubbaan de7anaappe attin, ukithaa xalalaan de7enna> yaagetti xaafetteedda>> yaageedda. 
MAT.4.5	Hewaappe guyyiyan, xalahii Yesuusa geeshsha katamaa afi Geeshsha Golliyaa xeeraan essiide, 
MAT.4.6	<<Neeni Xoossaa Na7aa gidooppe, ane duge kundda. Ayissi gooppe, Xoossaa maxaafaan,
MAT.4.6	<Xoossay bare kiitanchchatuwaa
MAT.4.6	new azazanawaa>
MAT.4.6	qassi <Unttunttu ne gedi shuchchaan dhubettenna mala,
MAT.4.6	barenttu kushiyan neena denthanawantta>
MAT.4.6	yaagetti xaafetteedda>> yaageedda. 
MAT.4.7	Yesuusi zaariide A, <<Qassikka Xoossaa maxaafaan, <Godaa ne Xoossaa paaccoppa> yaagetti xaafetteedda>> yaageedda. 
MAT.4.8	Qassi xalahii Yesuusa itti daro wolqqaama deriyaa xeeraa kessiide, ha alamiyaan de7iyaa kawutethaa ubbaanne unttunttu bonchchuwaa 
MAT.4.9	bessiide A, <<Neeni taw gulbbataade goyinnooppe, taani hawaa ubbaa new immana>> yaageedda.
MAT.4.10	He wode Yesuusi zaariide A, <<Laa ha Seexaanaw haakka; ayissi gooppe, Xoossaa maxaafaan, <Godaw, ne Xoossaw goyinna; A xalalaa gosheta> geetetti xaafetteedda>> yaageedda. 
MAT.4.11	Hewaappe guyyiyan, xalahii Yesuusa aggina, kiitanchchatuu yiide, aw ootheeddino.
MAT.4.12	Yohaannisi qashetteeddawaa Yesuusi siseedda wode, Galiilaa geetettiyaa gadiyaa beedda. 
MAT.4.13	Naazireeteppe kesiide, Qifirinaahooma katamaa biide, yaani de7eedda; Qifirinaahoomi Zaabiloonaninne Nifttaaleeme gadiyan de7iyaa Galiilaa abbaa mataan de7ee. 
MAT.4.14	Hawe haneeddawe nabiyaa Iisiyaasi,
MAT.4.15	<<Zaabiloone gadiyaninne Nifttaaleeme gadiyan,
MAT.4.15	abbaa ogiyaan Yorddaanoosa Shaafaappe hefintha baggan,
MAT.4.15	Ayihuda gidenna asay de7iyaa Galiilaan,
MAT.4.16	dhumaani de7iyaa asay
MAT.4.16	wolqqaama poo7uwaa be7eedda.
MAT.4.16	Qassi hayquwaa kuway de7iyaa gadiyan
MAT.4.16	utteeddawanttoo poo7uu keseedda>>
MAT.4.16	yaageeddawe polettana malaassa. 
MAT.4.17	He wodiyaappe doommiide Yesuusi,
MAT.4.17	<<Hintte nagaraa paaxite; ayissi gooppe,
MAT.4.17	saluwaa kawutethay matatteedda diraassa>>
MAT.4.17	giide qaalaa oduwaa doommeedda.
MAT.4.18	Yesuusi Galiilaa Abbaa mataanna aadhdhiidde, laa77u ishatuu Phexiroosa geetettiyaa Simooninne A ishaa Inddiraasi, moliyaa oyqqiyaawantta gido diraw, dabbaa 
MAT.4.19	Unttuntta, <<Taana kaallite; taani hinttena moliyaa oyqqiyaawaadan asaa taakko ahiyaa ogiyaa tamaarissana>> yaageedda. 
MAT.4.20	Unttunttu ellekka barenttu dabbaa aggiide, Yesuusa kaalleeddino.
MAT.4.21	Yesuusi hewaappe sinthakko biidde, hara laa77u ishatuwaa, Zabiddiyoosa naanaa Yayiqoobanne A ishaa Yohaannisa be7eedda; unttunttu barenttu aawuwaa Zabiddiyoosanna haathaa bollan biyaa wonggiriyaa giddon barenttu dabbaa giigissiyaawantta be7iide, xeeseedda. 
MAT.4.22	Unttunttu ellekka haathaan biyaa wonggiriyaanne barenttu aawuwaa aggiide, Yesuusa kaalleeddino.
MAT.4.23	Yesuusi Ayihuda woosa golletuwan tamaarissiidde, kawutethaa mishiraachchuwaa qaalaa odiiddinne qassi harggiyaa ubbaappenne sakuwaa ubbaappe asaa pathiidde, Galiilaa gadiyaa ubbaan yuuyyeedda. 
MAT.4.24	A waarii Sooriyaa gadiyaa ubbaa gakkeedda; dumma dumma harggiyaan oyqettiide harggeedda asaa ubbaa, xalahatuwaan oyqetteeddawantta, yiicuwaa sakuu de7iyaawantta, qassi gunddeedddawantta asay Yesuusakko aheedda; I unttuntta patheedda. 
MAT.4.25	Cora asay Galiilaappe, tammu katamatuwappe, Yeerusalaameppe, Yihudaappenne Yorddaanoosappe hefinthan de7iyaa gadiyaappe Yesuusa kaalleeddino.
MAT.5.1	Yesuusi cora asaa be7iide, pude deriyaa kesiide utteedda. A kaalliyaawanttu aakko shiiqeeddino. 
MAT.5.2	Unttuntta hawaadan yaagi tamaarissuwaa doommeedda.
MAT.5.3	<<Barenttu ayyaanaa de7uwaan hiyyeesaa gideeddawaa
MAT.5.3	eriyaawanttu anjjetteeddawantta;
MAT.5.3	ayissi gooppe, saluwaa kawutethay unttunttussa.
MAT.5.4	Kayyottiyaawanttu anjjetteeddawantta;
MAT.5.4	ayissi gooppe, Xoossay unttuntta minissana. 
MAT.5.5	Ashikke gideeddawanttu anjjetteeddawantta;
MAT.5.5	ayissi gooppe,
MAT.5.5	unttunttu sa7aa laattana. 
MAT.5.6	Xillotethaa koshattiyaawanttunne saamettiyaawanttu 
MAT.5.6	anjjetteeddawantta;
MAT.5.6	ayissi gooppe, Xoossay unttuntta kalissana.
MAT.5.7	Maariyaawanttu anjjetteeddawantta;
MAT.5.7	ayissi gooppe,
MAT.5.7	Xoossay unttuntta maarana.
MAT.5.8	Wozanaa geeshshatuu anjjetteeddawantta;
MAT.5.8	ayissi gooppe,
MAT.5.8	unttunttu Xoossaa be7ana.
MAT.5.9	Asaa sigethiyaawanttu anjjetteeddawantta;
MAT.5.9	ayissi gooppe, Xoossay unttuntta,
MAT.5.9	bare naanaa giide xeesana.
MAT.5.10	Xillotethaa diraw
MAT.5.10	yedersettiyaawanttu anjjetteeddawantta;
MAT.5.10	ayissi gooppe, saluwaa kawutethay unttunttussa. 
MAT.5.11	<<Hintte taana kaalliyaa diraw, asay hinttena boriyaa wodenne waayissiyaa wode, qassi hintte bolla iitabaa ubbaa wordduwan haasayiyaa wode, hintte anjjetteeddawantta. 
MAT.5.12	Hinttew saluwan wolqqaama woytay de7iyaa diraw, nashettite; hashshu giite; ayissi gooppe, asay hintteppe kase de7eedda nabatuwaa hewaadan yedersseeddino.
MAT.5.13	<<Asaa ubbaassi hintte maxine mala; shin maxinii mal77ana dhayooppe, zaariide A wooti mal77ethanee? Kare olina, asay A yedhdhi hamettanaappe attin, sinthaw aynne maaddenna.
MAT.5.14	<<Ha alamew hintte poo7o; deriyaa huuphiyan keexetteedda katamay geemmana danddayenna. 
MAT.5.15	Xomppiyaa xomppiide, soyin de7iyaa asaa ubbaw poo7ana mala, dhoqqiyaa saan wotheeppe attin, kammiyaa miishshaa giddon qum77i wothiyaa asay ooninne baawa. 
MAT.5.16	Hewaadankka, asay hintte oothiyaa lo77o oosuwaa be7iide, saluwan de7iya hintte Aawuwaa bonchchana mala, hintte poo7uu asaa sinthaan poo7o.
MAT.5.17	<<Taani Muse higgiyaanne nabatuu tamaarissiyaawaa 
MAT.5.18	Ayissi gooppe, taani hinttew tumuwaa oday; saluunne sa7ay aadhdhana gakkanaw, qassi ubbabaykka polettana gakkanaw,
MAT.5.19	Hewaa diraw, ha azazuwaa ubbaappe guuxxiyaa itti azazuwaa menthiyaa uray ooninne, qassi haratuukka barewaadan hananaadan tamaarissiyaa uray ooninne, saluwaa kawutethaan ubbaappe guutha gidana; shin azazuwaa oothiyaawenne haranttukka oothanaadan tamarissiyaawe ooninne saluwaa kawutethaan dhoqqa gidana. 
MAT.5.20	Ayissi gooppe, hintte xillotethay Muse higgiyaa tamaarissiyaawanttu xillotethaappenne Parisaawatuwaa xillotethaappe darana dhayooppe, saluwaa kawutethaa hintte mule gelennawaa taani oday.
MAT.5.21	<<Beni asaw, <Asaa wodhoppa; asaa wodheedda ooninne pirddettana> geeddawaa siseeddita. 
MAT.5.22	Shin taani hinttew oday; bare ishaa hanqqettiyaa ubbay pirddettana; bare ishaa boriyaa ubbay shangguwaa pirddaw shiiqana; qassi bare ishaa, <Dhullowe> giyaa ubbay Gaannamiyaa tamaa pirddaw shiiqana. 
MAT.5.23	Hewaa diraw, neeni yarshshiyaasaan yarshshishshin, ne ishaa naaqqeeddabay new hewaan hassayettooppe, 
MAT.5.24	ne yarshshuwaa hewaan aggaade ba; kasetaade ne ishaanna sigetta digga; hewaappe kaalla yaade, ne yarshshuwaa yarshsha.
MAT.5.25	<<Neena mootiyaawaanna wodii de7ishshin elle aananna sigetta digga; hewe dhayooppe, I neena daannaa sintha aathana; qassi daannay neena polisew aathi immina, polisii neena qasho gollen yeggana. 
MAT.5.26	Taani new tumuwaa oday; neeni itti santtimii attennaan, ne maggaccuwaa wurssaade ciggana gakkanaw, mulekka qasho golleppe kesakka.
MAT.5.27	<< <Woshummoppa> geeddawaa siseeddita. 
MAT.5.28	Shin taani hinttew yaagay; <Maccawunno xeelliide amottiyaa ubbay, bare wozanaa giddon he wode iinanna woshummeedda.> 
MAT.5.29	Ne ushechcha ayfii neena nagaraa oosisooppe, neeppe woocaade olaa agga; ayissi gooppe, ne bollay mulekka Gaannamiyaa tamaan olettiyaawaappe, aappe ittuu paccintto new lo77a. 
MAT.5.30	Qassi ne ushechcha kushii neena nagaraa oosisooppe, neeppe qanxxaade olaa agga; ayissi gooppe, ne bollay mulekka Gaannamiyaa tamaan olettiyaawaappe, aappe ittuu paccintto new lo77a.
MAT.5.31	<< <Qassi bare machchatto yeddiyaa ooninne izo yeddiyaa paramaa immo> geetetteedda. 
MAT.5.32	Shin taani hinttew yaagay; <Bare machchatta woshummennaan de7ishshin yeddiyaa ooninne izo woshumma kessee; qassi asinay yeddeedda mishiratto akkiyawe ooninne woshummee.> 
MAT.5.33	<<Qassi beni asaw, <Wordduwan caaqqoppa; shin ne Godaw caaqqeeddawaa pola> geeddawaa siseeddita. 
MAT.5.34	Shin taani hinttew yaagay; <Ubbakka caaqqoppite>; saluu Xoossaa kawutethaa oydiyaa gidiyaa diraw, <Saluwan caaqqoppite> 
MAT.5.35	qassi sa7ay A gedi yedhdhiyaasaa gidiyaa diraw, <Sa7aan caaqqoppite>; qassikka, Yeerusalaame wolqqaama kaatiyaa katamaa gidiyaa diraw, <Yeerusalaamenikka caaqqoppite> 
MAT.5.36	Neeni itti binnanaakka bootha woy karethaa kessanaw danddayenna diraw, <Ne huuphiyankka caaqqoppa.> 
MAT.5.37	Shin hintte, <E> woy, <Gidenna> giite; hawanttuppe haray Seexaanaappe yee.
MAT.5.38	<< <Ayifiyaa diraw ayifiyaa; achchaa diraw achchaa> geeddawaa siseeddita. 
MAT.5.39	Shin taani hinttew yaagay; <Hinttew iitabaa oothiyaa uraw iitan zaaroppite; ooninne ne ushechcha bagga shayyiyaa baqqooppe, ne haddirssa bagga shayyiyaakka A bessa; 
MAT.5.40	ne shaamiciyaa akkanaw itti uray neena mootooppe, he uraw ne kootiyaakka gujja imma. 
MAT.5.41	Ooninne neena itti saatiyaa ogiyaa barenanna baanaadan wolqqanthooppe, aananna laa77u saatiyaa ogiyaa ba. 
MAT.5.42	Neena woossiyaa uraw imma; qassi neeppe tal77ana koyyiyaa urawukka diggoppa.>
MAT.5.43	<< <Ne laggethatuwaa siiqa; ne morkkiyaa morkka> geeddawaa siseeddita. 
MAT.5.44+MAT.5.45	Shin taani hinttew yaagay; saluwan de7iyaa hintte Aawuwassi naanaa gidana mala, hintte morkketuwaa siiqite; hinttena sheqqiyaawantta anjjite; hinttena ixxiyaawanttoo lo77obaa udite; hinttena yederssiyaawanttoo, Xoossaa woossite; ayissi gooppe, iita asawukka lo77o asawukka Xoossay bare awaa awaxxissee; qassi xillatuwassikka nagaranchchatuwaassikka bare iraa bukissee. 
MAT.5.46	Hintte hinttena siiqiyaawanttu xalalaa siiqooppe, hinttew ay woytay de7ii? Haray atto, nagaranchchatuukka hewaadan udiino. 
MAT.5.47	Hintte hinttenttu ishatuwaa xalalaa sarotooppe, haratuu udiyaawaappe aadhdhiyaabaa ayaa udeedditee? Haray atto, Ayihude gidenna asaykka hewaadan udee. 
MAT.5.48	Hewaa diraw, saluwan de7iyaa hintte Aawuu polo gidowaadan, hinttekka polo gidite. 
MAT.6.1	<<Hintte lo77o oosuwaa asaa bessanaw asaa sinthaan oothenna mala naagettite; hewe dhayooppe, saluwan de7iya hintte Aawuu hinttew gatiyaa immenna.
MAT.6.2	<<Hewaa diraw, hintte awudenne hiyyeesaw immiyaa wode, lo77a malatiyaa iitatuu barentta bonchchissanaw, Ayihuda woosa golleninne ogiyaan haraani be7ettanaw udiyaawaadan udoppite; taani hinttew tumuwaa oday; unttunttu barenttu gatiyaa akkidiggeeddino. 
MAT.6.3+MAT.6.4	 Shin neeni hiyyeesaw immiya wode, geeman immanaadan, ne ushechcha kushii oothiyaawaa haddirssa kushii eroppo. Geeman ootheeddawaa be7iyaa ne Aabbu, ne lo77o oosuwaa gatiyaa zaaranawaa.
MAT.6.5	<<Xoossaa woossiidde, lo77a malatiyaa iitatuwadan hanoppite; ayissi gooppe, barentta asay be7ana mala, Ayihuda woosa golleninne ogiyaa doonan eqqiide, Xoossaa woossiyaawaa dosiino; taani hinttew tumuwaa oday; unttunttu barenttu gatiyaa ubbaakka akkeeddino. 
MAT.6.6	Shin neeni Xoossaa woossiyaa wode, ne golle gela; ipithaa qachchaade, beettenna ne Aawuuwaa woossa; geeman oosettowaa be7iyaa ne Aabbu new immanawaa.
MAT.6.7	<<Xoossaa hintte woossiyaa wode, Xoossaa ammanenna asaadan, coo mela zaarethuwaa darissoppite; unttunttu haasayaa daruwan sisettee giide qoppiino. 
MAT.6.8	Hewaa diraw, he asaadan hanoppite; ayissi gooppe, hintte Aabbu hinttena koshshiyaawaa hinttenttu woossanaappe kasetiide eree. 
MAT.6.9	Simmi hinttenttu hawaa mala woosaa woossite;
MAT.6.9	<Saluwan de7iyaa nu Aabboo,
MAT.6.9	ne geeshsha sunthay anjjetto.
MAT.6.10	Ne Kawutethay yo;
MAT.6.10	ne shenii saluwan haneeddawaadan,
MAT.6.10	sa7ankka hano.
MAT.6.11	Gallassaan gallassan koshshiyaa qumaa
MAT.6.11	nuussi hachche imma.
MAT.6.12	Nuuni nuuna naaqqowanttussi
MAT.6.12	atto yaagiyaawaadan,
MAT.6.12	neenikka nu naaquwaa atto ga.
MAT.6.13	Nuuna iitabaappe ashshappe attin,
MAT.6.13	paaciyaan gelissoppa.
MAT.6.13	Kawutethay, wolqqaynne bonchchuu
MAT.6.13	medhinawukka neessa.
MAT.6.13	Amen77i>
MAT.6.14	<<Hinttenttu hinttena naaqqeedda hara asaa naaquwaa atto gooppe, saluwan de7iyaa hinttenttu Aawuukka hinttew atto gaana.
MAT.6.15	<<Shin hinttenttu hinttena naaqqeedda hara asaa naaquwaa atto gaana dhayooppe, hinttenttu Aawuukka hintte naaquwaa atto geenna. 
MAT.6.16	<<Qassi hinttenttu xoomiyaa wode, lo77a malatiyaa iitatuwaadan, kayyottiyaawaa malatoppite; ayissi gooppe, unttunttu xoomiyaawaa asay be7ana mala, barenttu som77iyaa bullaalissiino; taani hinttenttoo tumuwaa oday; unttunttu barenttu gatiyaa akkeeddino.
MAT.6.17+MAT.6.18	<<Shin hinttenttu xoomiyaa wode, hinttenttu Aabbu hintte xoomiyaawaa erooppe attin, asay erenna mala, hintte som77iyaa meecettite; hintte huuphiyaakka okettite; yaatooppe, beettenna hintte Aawuu hinttenttu oothiyaawaa geeman be7iide, hintte gatiyaa immanawaa.
MAT.6.19	<<Miishshaa bil77ay miyasaaninne biratay shi7iide bayizziyaasan, kayisuukka bookkiide wuu77iyaasan, ha sa7aan hinttenttu huuphiyaassi dagayoppite. 
MAT.6.20	Shin bil77ay meennasaaninne shi7enna saan, kayisuukka bookkiide wuu77enna saan hinttenttu huuphiyaassi saluwan miishshaa dagayite. 
MAT.6.21	Ayissi gooppe, ne wozanay ne miishshay de7iyaasaan de7ana.
MAT.6.22	<<Bollaa poo7uu ayfiyaa; hewaa diraw, ne ayfii paxa gidooppe, ne bollaa ubbay poo7o gidana. 
MAT.6.23	Shin ne ayfii paxa gidana dhayooppe, ne bollaa ubbay dhumana; simmi neenan de7iyaa poo7uu dhumooppe, dhumay ay keenaa daranee!
